GEN.1.1	Vowambeela Mulugu ahipaddusa odhulu ni elabo ya vati. 
EXO.3.22	Kadda mwihiyana amulobege mwaaddamani aaye naari namadha onakaliiyena, amvahege dhoosasanyiwa ni parata ni oro, amvahege guwo dhowaawariha aniinyu anaalobwana ni anaahiyana. Ndala munoodha mwawaake dhooreela dheewa aEgubuddu>>.
EXO.4.1	Mozezi ahaakulaga, wiira: <<Ki yeera wi ehifunave ogiroromela naari wiiwelela owoga waaga, yiira: <
EXO.4.2	 ahimukohaga Mozezi, wiira: <<Eyo eli mmadani mwaawo ddi?>> Ahaakulaga, wiira: <<Mukumbuzo>>. 
EXO.4.3	 ahiiraga: <<Ovokedhe vati>>. Mukumbuzo wahisadduwaga nyowa. Vevale Mozezi oothawaga. 
EXO.4.4	 ahiiraga wa Mozezi: <<Ohidde mwiila>>. Oliye ahitadeelaga moono waaye ohidda nyowa ele mwiila, vano yahisadduwaga okala mukumbuzo. 
EXO.4.5	 ahiwogaga, wiira: <<Ela etoonyihedho, eroromele wi 
EXO.4.7	Nabwiya ahiwogaga, wiira: <<Ovolosihe ndada naawo omurimani>>. Mozezi ahiwelelaga ovolosihawo, vavenyihiliiyewo ahoonaga nigali wona mwakaleliiwa nikupa naaye. 
EXO.4.8	 ahiwogaga, wiira: <<Yahuuroromela, naari ehirumeedhela pama etoonyihedho yowambeela, mwa emohi, enoodha eroromele. 
EXO.4.9	Mbwenye yahiroromela dhitoonyihedho dhedho biili, ehiiwa teto owoga waawo, orugwe mahinje a muNilu, othathiledhe vati vowumma. Mahinje ayene onaarugwiiwe mwinko enoodha esadduwe ekale a mwazi vati vevale>>.
EXO.4.10	Ndala Mozezi ahiiraga wa 
EXO.4.11	 ahimwaakulaga, wiira: <<Osasanyile mulomo wa muthu baani? Naari omusasanyile muthu okala oohuwoga, oohiiwa, owoona naari ohoona baani? Kahuwo miyo 
EXO.4.12	Dhowa dhiinoveva! Miyo ginowuukamihedha yoofwaneela owoga>>.
EXO.4.13	Mozezi ahaakulaga, wiira: <<Aa, Nabwiya! Murumeni mmohi ogihiya miyo>>. 
EXO.4.14	Vevale 
EXO.4.15	Ndala onoodha omwaaddele ni omvaheedhele madhuya. Miyo ginoodha gikale ni we vamohi ni Aroni, ginoodha gusuuzihe yego munaafunigiinyu wiirana. 
EXO.4.16	Aroni onoodha awoge ni mulogo vamburoni vaawo wona namafiyihedha, afiyihedhege dhoowoga dhaawo, ndala we onoodha okale wona Mulugu a oliye. 
EXO.4.17	Thukula mukumbuzo ola mmadani mwaawo; mwa olena onoodha wiirena dhitoonyihedho>>.
EXO.4.18	Mozezi ahiwelela wa mooya aaye Zhetero, wiira: <<Mugihiye giwelele wEgubuddu wi gawoone addibilaga akala agumi>>. Zhetero ahimwaakulaga, wiira: <<Dhowa mmurenddeleni>>.
EXO.4.20	Ndala Mozezi ahimuthukulaga mwihiyanaaye vamohi ni anaaye, waagweliha vabuuruni, owelelaga elabo ya wEgubuddu, agathukule mukumbuzo wa Mulugu mmadani mwaaye.
EXO.4.22	Omwaaddele Farawo, wiire: <
EXO.4.23	Guhuwaaddela wi: Omwihiye adhowege mwaanaga adhowe agilabege. Akala we ohumukooddiha odhowa, ginompa mwaanawo owambeela> >>.
EXO.4.24	Mozezi voolenddoni, agali vamburoni voogonavo, 
EXO.4.25	Vevale Zipora ahithukulaga nibwe nowiirwa, omwiinelana mwaanaye; omukahinyana manyalo Mozezi, ahiwogaga, wiira: <<Ebaribareene, we oli ndala mamuna a mwazi wa miyo>>. 
EXO.4.26	Ndala 
EXO.4.28	Mozezi ahimwaaddelaga Aroni madhu maatene yamurumile 
EXO.4.29	Ahivenyaga Mozezi ni Aroni, waatugumanya apogo aatene aEzarayeli. 
EXO.4.30	Aroni ahawaaddelaga madhu maatene ayene 
EXO.4.31	Mulogo wa Ezarayeli wahiroromelaga. Veewiliiwa wi 
EXO.5.1	Ndala ahivenyaga Mozezi ni Aroni owoga ni Farawo, wiira: <<
EXO.5.2	Farawo ahaakulaga, wiira: <<
EXO.5.3	Aliwa yahiiraga: <<Mulugu a aHeberi ohugumana ni hiyo. Mowindala, munihiye wi nidhowe wiiddeddereni malabo maraaru wi nakuthe mukutho wa 
EXO.5.4	Vevale mwene a wEgubuddu ahiiraga: <<We Mozezi ni Aroni, mwaha bwaddi munaahiiheliinyu athu olaba mmabasani mweewa? Dhowani, mwawelele mmabasani mweenyu!>> 
EXO.5.5	Teto Farawo ahiwogaga, wiira: <<Athu ala ehiinjiva waakwaranya a mwiilaboni mu, mbwenye nyoovo munowaahiiha mabasa eewa!>>
EXO.5.6	Nlabo nendde Farawo ahaalamulaga apogo a mabasa ni asupayi, wiira: 
EXO.5.7	<<Wambeela peeno odhowa musogolo muhaavahege manasi athu alena oosasanyana njola wona mweeresiinyu. Aliwa yaadhowelege, etugumanyege weekiiwa>>. 
EXO.5.8	Ahawaaddelaga teto wi wiinjiva wiwa wa njola okale wona malabo amundduli. <<Muhuvuguleve! Booyere, mwahaya buuyene enawogeliisu, yiiraga: <Ndoweni nakuthe mukutho wa Mulugu eehu>. 
EXO.5.9	Mweenjedhedhe mabasa wa alobwana ale, esugwiwege ohidda dhedho wi ehiiwelelege madhu ooratha>>.
EXO.5.10	Ndala yahivenyaga apogo a mabasa vamohi ni asupayi, waaddela mulogo, yiiraga: <<Farawo dinawoga wi nuhuuvahegeni manasi.
EXO.5.11	Mwaadhowelege weekiinyu wewo munooniinyu. Mbwenye kilivo nneeriihu nivugule va mabasa eenyu>>. 
EXO.5.12	Vevale athu yahimwadheyela elabo yaatene ya wEgubuddu osayela dhoolalela dha manasi baahi. 
EXO.5.13	Apogo a mabasa yowaavahesa mabasa yiiraga: <<Mwaaguve mmarihe mabasa eenyu wona vevale vaaliiwawo manasi>>. 
EXO.5.14	Asupayi ayene Farawo yaasakuliiye mwa aEzarayeli, yoowaxuliwa ni apogo a mabasa. Apogo ale yowaakoha, yiiraga: <<Mwaha bwaddi muhumariheliinyu mabasa a ndilo naari a peeno oosasanya njola wona mweeresiinyu?>>
EXO.5.15	Asupayi aEzarayeli yahidhowa wa Farawo wiikubanyedha, yiiraga: <<Mwaha bwaddi munanirabulihiinyu mowindala hiyo, anamalaba eenyu? 
EXO.5.16	Manasi kinanivaha. Enoniruma teto yiiraga: <Musasanye njola>. Hiyo, anamalaba eenyu, nnowaxuliwa vihili mwaha, mbwenye athu eenyu bineeriha>>.
EXO.5.17	Farawo ahaakulaga, wiira: <<Muli ooyere, vano muli ooyere! Veva munawogiinyu, mwiiraga: <Nidhowege nakuthe mukutho wa 
EXO.5.18	Dhowani dhiinoveva, mwalabege. Manasi ebaribareene kamunavahiwege, mbwenye ginafuna wiinjiva wa njola okalege wona mwemule guulamuleliimini>>. 
EXO.5.19	Vevale asupayi aEzarayeli yahihaleeliheya mwaha dhawaaddeliiwa wi: <<Kagidha givugulave wiinjiva wa njola guulamuleliimini wuuba nlabo ni nlabo>>. 
EXO.5.20	Evenyagavo vameentoni va Farawo yahigumanaga ni Mozezi vamohi ni Aroni, ayene yaajejihedhaga. 
EXO.5.21	Asupayi yahaawogana, yiiraga: <<
EXO.5.22	Vevale Mozezi ahiwelelaga wa 
EXO.5.23	Wambeela vevale giwogiliimi ni Farawo mu ndina neenyu, oliye onorabulihave mulogo weenyu teto kamunaakamihedha athu eenyu>>.
EXO.6.2	Mulugu ahiwogaga teto ni Mozezi, wiira: <<Miyo gili 
EXO.6.3	Geyooneyihile wa Abarahamu, Ezaaki ni wa Yakobo wona Mulugu oowodha-wodha, mbwenye ndina naaga nowi 
EXO.6.4	Gahisasanya nipangano naaga no Waandana ni aliwa wi gaavahe elabo ya oKanani, wewo wamagiliiwa wona anamadha. 
EXO.6.5	Ndala gihiiwa wuundda wa aEzarayeli, alene aEgubuddu yawiiriiwa adhaari. Guhuubuwelela nipangano naaga no waandana ni aliwa. 
EXO.6.6	Mowindala, wawaaddele aEzarayeli, wiire: Miyo 
EXO.6.7	Ginoodha guuthukuleni mukale mulogo waaga, ginoodha gikale Mulugu eenyu. Muneere munone wi miyo gili 
EXO.6.8	Ginoodha guudhowiheni elabo eyene galibeleliimi waavaha makolo eenyu Abarahamu, Ezaaki ni Yakobo. Ginowuuvahani, okala yeenyu. Miyo gili 
EXO.6.9	Mozezi ahawaaddelaga dhedhi aEzarayeli, mbwenye aliwa kayamwiiwelele mwaha wookathamiheya ni odhaari wa owali. 
EXO.6.10	Nuwindo 
EXO.6.11	<<Dhowa, wamwaaddele Farawo, mwene a wEgubuddu, wi aahiye edhowege aEzarayeli mwiilaboni mweewa>>. 
EXO.6.12	Mozezi ahimwaakulaga 
EXO.6.13	Mbwenye ndala 
EXO.6.14	Ala makolo ni asogoleli a emudhi ya aEzarayeli, eharihaga abaabi eewa:
EXO.6.14	Rubeni, mwaana owambeela obaliwa a Yakobo
EXO.6.15	Simiyoni anna ahima ala: Yemuweli, Yamini, Ohadi, Yakini, Zohari, ni Xawuli (ola amaaye yaali muKanani); alena asogoleli a emudhi ya Simiyoni.
EXO.6.16	Leevi, oyene anna yaaka zana ni makumi maraaru ni yaaka tanu nabiili (137), anaaye baala, owambeela a mulubale ofiyedha oogomihedha: Gerexoni, Kowati, ni Merari.
EXO.6.17	Ahima a Gerexoni, asogoleli a emudhi, baala: Libini ni Ximeyi.
EXO.6.18	Kowati, oliye anna yaaka zana ni makumi maraaru ni yaaka thaaru (133), anaaye baala: Amerami, Yisari, Heboroni ni Uziyeli.
EXO.6.19	Ahima a Merari baala: Mali ni Muxi.
EXO.6.19	Ala ba emudhi ya aLeevi wona mwa makolo eewa.
EXO.6.20	Amerami mwihiyanaaye aali Yokobedi, muLeevi teto.
EXO.6.21	Ahima a Yisari baala: Kora, Nefege ni Zikiri.
EXO.6.22	Ahima a Uziyeli baala: Mixayeli, Elezafani ni Sitiri.
EXO.6.23	Aroni mwihiyanaaye aali Elixeba, mwaana a Aminadabi, murogora a Naxoni. Elixeba ahaabala Nadabi, Abihu, Eleyazari ni Etamari.
EXO.6.24	Ahima a Kora yaali: Asiri, Elikana ni Abiyasafi. Baalena ahima a emudhi ya Kora.
EXO.6.25	Eleyazari, mwaana a Aroni, mwihiyanaaye aali mmohi a ahima a Putiyeli, oliye ahimbala Fineyasi.
EXO.6.25	Baalena asogoleli a emudhi ya aLeevi wona mwa makolo eewa.
EXO.6.26	Aroni ni Mozezi, baalena 
EXO.6.27	Aroni ni Mozezi, baalena yawogile ni Farawo, mwene a wEgubuddu wi yaakumihemo mu Egubuddu aEzarayeli.
EXO.6.28	Nlabo 
EXO.6.29	ahimwiirelaga: <<Miyo gili 
EXO.6.30	Mozezi ahimwaakulaga 
EXO.7.1	Vevale 
EXO.7.2	Weevo omwaaddelege ddibilo Aroni dhaatedhene gineerigiimi guulamulelege, oliye amwaaddelege Farawo wi aahiye aEzarayeli evenyemo mwiilaboni mwaaye. 
EXO.7.3	Mbwenye ginoodha gimummihe murima Farawo wi geenjedhedhe dhitoonyihedho ni dhootikiniha dhaaga mwiilaboni ya wEgubuddu. 
EXO.7.4	Farawo kadha arumeedha mbwenye miyo ginoodha goonihedhe kopolo dhaaga mu Egubuddu. Ginoodha gikumihemo mulogo waaga, aEzarayeli, makuru aaga a anyakoddo, gaathonge ni goyi ejinji aEgubuddu. 
EXO.7.5	Enoodha enone aEgubuddu wi miyo gili 
EXO.7.6	Mozezi ni Aroni yahiirana dhedho wona 
EXO.7.7	Mozezi anna yaaka makumi matanu namaraaru (80), Aroni anna yaaka makumi matanu namaraaru ni yaaka thaaru (83) mudhidhi wawogiliisu ni Farawo.
EXO.7.9	<<Akala wi Farawo oorumani wi: <Mwiirena yootikiniha>, omwaaddele Aroni wi athukule mukumbuzo waaye avokedhe vinaakale Farawo. Oyene onoodha osadduwe nyowa yuulubale>>. 
EXO.7.10	Veva Mozezi ni Aroni yahigumana ni Farawo, wiirana wona valamuleliwiiwa ni 
EXO.7.11	Farawo ahawiithana atthottho, akwiri ni amasenga aEgubuddu. Aliwa yahiirana emodha-modhave mwa masenga eewa. 
EXO.7.12	Yahivokedhaga mukumbuzo dheewa mmohi ni mmohi, vano mikumbuzo dhahisadduwaga nyowa. Mbwenye mukumbuzo wa Aroni wahimira mikumbuzo dheewa. 
EXO.7.13	Naari ndala Farawo murima wahimumma, kaarumeedhele wona 
EXO.7.15	Menselo bebeheene Farawo onadhowa wiiko. Wamujejihege wewo wi wagumanena. Waadhowaga othukule teto mukumbuzo ole wasadduwile nyowa, vano weere: 
EXO.7.16	<
EXO.7.17	Ndala 
EXO.7.18	Somba dhili mmahinjeni mu dhineere okwa. Mahinje a mwihinje ola eneerege onukwa, vano aEgubuddu yaang'waga eneerege waweeddiha murima> >>.
EXO.7.19	Ahiwogaga teto 
EXO.7.20	Mozezi ni Aroni yahiirana ndala wona 
EXO.7.21	Ebaribareene somba dhahikwamo mmwihinjeni vano mwihinje woonukwa nriba nootakala. Vevale aEgubuddu kayaanda ong'wa mwaha elabo yaatene ya wEgubuddu yahidhaala mwazi. 
EXO.7.22	Mbwenye amasenga aEgubuddu yahiirana ndala teto mwa masenga eewa. Va mwaha olena Farawo murima wahimumma, karumeedhele wona 
EXO.7.23	Ahivenyavo Farawo ahidhowa vaade vaaye, moohupwatha. 
EXO.7.24	AEgubuddu aatene yahitiba maceela seresere ya mwihinje wi efwanye mahinje apama, vowi mahinje a mwinko kayawaakwaniha waang'wa.
EXO.7.25	Yavirile malabo matanu nameenddi 
EXO.8.1	Oliye ahiwogaga ni Mozezi, wiira: <<Dhowa wa Farawo wamwaaddele, wiire: <
EXO.8.2	Wakooddiha mulogo waaga odhowa, ginoodha guurabulihe ni anamujoro elabo yaawo yaatene. 
EXO.8.3	Mwihinje onoodha waatotore anamujoro ajinji. Ayene enaagwelege evolowege mba mwaawo, vakamani vaawo, ni nyuba dha anamalaga aawo, ni wa athu aawo aatene, ni mwemule munosiinyumo mikaathe dheenyu ni moopiya mweenyu. 
EXO.8.4	Anamujoro enaadheege wa we, wa athu aawo ni wa anamalaga aawo aatene> >>.
EXO.8.5	Ahiwoga teto 
EXO.8.6	Ndala Aroni ahogoolela moono waaye mahinje a wEgubuddu, vano yahigwela anamujoro, ohuruwedha elabo elene. 
EXO.8.7	Mbwenye amasenga a Egubuddu yahiirana ndale teto mwa masenga eewa, yahaadhana teto anamujoro elabo ya wEgubuddu. 
EXO.8.8	Farawo ahawiithana Mozezi ni Aroni, wiira: <<Lobelani wa 
EXO.8.9	Mozezi ahimwaakula Farawo, eeraga: <<Munafuna gamulobele 
EXO.8.10	Oliye ahaakulaga, wiira: <<Menselo>>. Mozezi ahiiraga: <<Dhikale ndo wona muwogeliinyu, munone wi kalivo teto mmohi wona 
EXO.8.11	Enoodha evenyevo anamujoro va nyoovo, mmanyubani mweenyu, mwa anamalaga eenyu ni wa athu eenyu. Anamujoro enodha ewelele mmwihinjeni>>.
EXO.8.12	Vevale yahivenyavo Mozezi ni Aroni wa Farawo. Mozezi ahikuwa wa 
EXO.8.13	 ahiirana wona yooloba ya Mozezi; okwa anamujoro yaali mmamba, vaade ni mmiddani. 
EXO.8.14	Athu yahawuugela milu ni milu, vano elabo yoonukwa yuudde. 
EXO.8.15	Vooniliiye Farawo wi yahivenyihiwavo anamujoro ale, ahummiha teto murima waaye, karumeedhele wona 
EXO.8.17	Yahiirana ndo; Aroni ahithukula mukumbuzo waaye oddwadha nthubi na theya, vano dhahaadheela dhimbu athu ni aneenyameene. Nthubi naatenene na wEgubuddu nahisadduwa dhimbu. 
EXO.8.18	Amasenga yahixixa osasanya teto dhimbu mwa masenga eewa mbwenye kayaandile. Ebaribareene athu ni aneenyama yahirijiwa ni dhimbu. 
EXO.8.19	Vevale amasenga yahiwoga ni Farawo, yiiraga: <<Ela mwiinya di Mulugu diirilena>>. Mbwenye Farawo murima wahimumma, kaarumeedhileve wona 
EXO.8.21	Mbwenye waahirumeedha waahiya athu aaga, ginoodha guurumihedhe makwedda a gulihi, wa we ni wa anamalaga aawo, wa athu aawo ni mmanyubani mwaawo. Mmanyubani dha aEgubuddu mwahidhaala makwedda a gulihi, yahihuruwedha theya yaatene. 
EXO.8.22	Nlabo nenddo ginoodha gitale munddile wa elabo ya oGoxeni wewo omagile athu aaga wi aliwa dhihaafwanye gulihi dhedho; vano onone wi miyo 
EXO.8.23	Ginoodha gaamwalanihe athu aaga ni athu aawo. Menselo eneere yiireye etoonyihedho elena> >>.
EXO.8.25	Farawo ahawiithana Mozezi ni Aroni, owoga, wiira: <<Dhowani wi mwakuthe mukutho wa Mulugu eenyu mwiilaboni mwemu>>. 
EXO.8.26	Mozezi ahimwaakulaga, wiira: <<Dhinorumeedheya wi hiyo nikuthe mukutho wa 
EXO.8.27	Nnafuna needde olenddo wa malabo maraaru nidhowaga mwiiddeddereni wi nakuthe mukutho wa 
EXO.8.28	Ndala Farawo ahiira: <<Ginowuuhiyani wi mwakuthe mukutho wa 
EXO.8.29	Mozezi ahimwaakulaga, wiira: <<Ginoovenyavo va nyoovo wi gamulobele 
EXO.8.30	Vevale Mozezi ahivenyagavo va Farawo, ahilobelaga wa 
EXO.8.31	 ahiirana wona yooloba ya Mozezi. Gulihi dhahivenyavo va Farawo ni va anamalaga aaye vamohi ni athu aaye, kayahalileve gulihi, naari emohi. 
EXO.8.32	Mbwenye dila ela teto Farawo ahummiha murima waaye kaahiyileve athu wi emaruwe.
EXO.9.1	Nuwindo 
EXO.9.2	Mbwenye walibihedhave waawadeeliha wi ehidhowege, 
EXO.9.3	kopolo dha 
EXO.9.4	Mbwenye 
EXO.9.5	 ahitoonyaga mudhidhiya, wiira: <<Menselo 
EXO.9.6	Ebaribareene, omenseloni wiwa 
EXO.9.7	Farawo ahaarumaga athu wi yoone dhoofuwa dha aEzarayeli. Aliwa yahimwaaddelaga wi kadhakwile. Naari ndala Farawo murima wahimumma, kaahiyilege athu wi emaruwe.
EXO.9.9	Nenddo nneere nsadduwe nikale nthubi nivavele veelaboni yaatene ya wEgubuddu. Ndda nneere osadduwa nikale analibwe enapuduwege wi ekale makwadda wa athu, ni wa aneenyama aatene a elabo ya wEgubuddu>>.
EXO.9.10	Aliwa yahithukulaga nddoora na muthukuthani, vano yahooneyihaga wa Farawo. Mozezi ahivavihedhaga odhulu, vano nahisadduwaga okala analibwe ayene yahipuduwa osadduwaga anamungovola wa athu ni wa aneenyama. 
EXO.9.11	Amasenga kayaandile ofiya vameentoni va Mozezi mwaha wa analibwe oopuduwa. Yaali ni aliba masengeene wona teto aEgubuddu aatene. 
EXO.9.12	Naari ndala 
EXO.9.14	Vano ginoodha girumihe mulili dhaaga dhaatedhene wa weevo mwiinya, wa anamalaga aawo ni wa athu aawo, onone wi mwiilaboni yaatene ya vati kalivo onafwanafwana ni miyo. 
EXO.9.15	Gahaafune wuupa ni athu aawo aatene ni yoolaga ya kopolo dhaaga, wootolowa mwiilaboni ya vati. 
EXO.9.16	Gahuulogolela wi gawoonihedhe kopolo dhaaga wi ndina naaga nivuwihiwe mwiilaboni yaatene. 
EXO.9.17	Naari ndala onowaakooddiha athu aaga wi emaruwe. 
EXO.9.18	Menselo mudhidhi wowi huulena ginomurubwiha muzongwe mujinji a maralala, oyene ohunarubwege wEgubuddu wambeela vevo vipaddusiwe elabo eyo ofiyedha peeno. 
EXO.9.19	Vano wavenyihevo ng'ombe dhaawo ni dhego dhaatedhene dhili ode. Athu aatene ni aneenyama waathawihedhe mba, vowi dhafwanyiwave muzongwe a maralala oyo dhinookwa> >>.
EXO.9.20	Anamalaga amohi a Farawo yahoovaga madhu a 
EXO.9.21	Ale yaheewelelege madhu a 
EXO.9.22	 ahiwogaga ni Mozezi, wiira: <<Otedeedhele moono odhulu, wewo onoodha odhe muzongwe mulubale a maralala emorele elabo yaatene ya wEgubuddu. Enoodha yaaddwadhe athu, aneenyama ni dhoovaha dhaatedhene dha mmiddani mwa elabo eyene>>. 
EXO.9.23	Mozezi ahitedeedhelaga mukumbuzo waaye odhulu, vano 
EXO.9.24	Maralala ale yaali malubale ni dari dhooharana, yaaligi yego ehineereyege wambeela vevale athu vamagiliiwa wewule. 
EXO.9.25	Mwiilaboni yaatene ya wEgubuddu, muzongwe ole a maralala ahiddwadha onoonga dhego dhaatedhene dhaali ode, wambeela athu, aneenyama, dhoovaha, ni mithanko dhaatedhene dha mukokolani. 
EXO.9.26	Mbwenye muzongwe ole a maralala kaafiyile elabo ya oGoxeni wakala aEzarayeli.
EXO.9.27	Vevale Farawo ahimwiithanaga Mozezi ni Aroni, wiira: <<Vano gihithega. 
EXO.9.28	Lobani wa 
EXO.9.29	Mozezi ahaakulaga, wiira: <<Gaakumaga muluwani mu ginomuloba 
EXO.9.30	Mbwenye gihinona wi nyoovo ni anamalaga eenyu ebaribareene nivanove kamunamoova 
EXO.9.31	Nthoje ni mahele dhahinoongeya, vowi dheereya mahele egamagile mihubu vano nthoje niganna todo. 
EXO.9.32	Mbwenye tirigu ni dhoodhaliwa dhimohi kadhawaxuliwe vowi dhaali dhihinamele.
EXO.9.33	Mozezi ahivenyagavo va Farawo ahikumagamo muluwani mule, otadeelela moono wa 
EXO.9.34	Vooniliiye Farawo wi muzongwe ni dari dhahimaala ahiwelela othega; wummiha murima waaye vamohi ni anamalaga aaye. 
EXO.9.35	Vevale Farawo mwa ohaaddeleya waaye kaarumeedhele wi aEzarayeli emaruwe wona 
EXO.10.2	Gahiirana ndala teto wi wawaaddelege anaawo ni aniiwa waavevusa waaga aEgubuddu ni dhitoonyihedho dhedho giiragana vaari veewa, enone wi miyo gili 
EXO.10.3	Mozezi ni Aroni yahidhowaga wa Farawo, wiira: <<
EXO.10.4	Wakooddave waahiya athu aaga wi emaruwe, menselo ginowuurumihedha mwiilaboni mwaawo pombo. 
EXO.10.5	Dhedho dhinadha dhidhaale elabo yaatene, theya ehooneyege. Enoodha eje dhoodhaliwa dhaatedhene ni mithanko dhaatedhene dhahalile mudhidhi wa muzongwe a maralala. 
EXO.10.6	Pombo dhedhi, dhinoodha dhidhaale mmanyubani mwaawo, mmanyubani mwa anamalaga aawo aatene ni mmanyubani mwa aEgubuddu aatene, yego ehinaabihege wiireya wa ababiinyu naari wa makolo eenyu, ovenya omambeelelo vamagiliiwa veva ofiyedha peeno>>. Mozezi ahirugunuwaga ovenyavo va Farawo. 
EXO.10.7	Vevale anamalaga a Farawo yahiiraga wa oliye: <<Ofiyedha alini mulobwana ola anireyelaga musapa ndala? Mwaahiye alobwana ala wi yamweebedhege 
EXO.10.8	Mozezi ni Aroni yahidhowiwagana wa Farawo. Oliye ahiwogaga ni aliwa, wiira: <<Dhowani wi mwamulabe 
EXO.10.9	Mozezi ahimwaakulaga, wiira: <<Nnadhowawo ni azombwe eehu, ni owuuluvala eehu ni ahima eehu anaalobwana ni anaahiyana. Nnodhowana teto mabila eehu, mbuzi dheehu ni ng'ombe dheehu, vowi nnaya osasanya mathanga a 
EXO.10.10	Farawo ahiwogaga ni aliwa, wiira: <<Goohiyani odhowa ni ahima, sowi 
EXO.10.11	Mudhowe alobwanave wi mwamulabe 
EXO.10.12	Vevale 
EXO.10.13	Mozezi ahogoolaga moono otoonya elabo ya wEgubuddu ni mukumbuzo vano 
EXO.10.14	Nda dhaali dhijinji dhahimorela elabo ya wEgubuddu, dhahimwadheya okuneela elabo yaatene ele. Yoopadduwa ela kinaabihege wiireya wewule ovenya omambeelelo, ofiyedha peeno. 
EXO.10.15	Dhahihuruwedha elabo yaatene, vati viribaga; dhahija dhoodhaliwa dhaatedhene ni dhoovaha dha mithanko, dhende muzongwe a maralala dhahanoongiliiye. Kayaalivo yaali ekiiti, mmithankoni ni dhoodhaliwa dhaatedhene dha mmiddani mwiilaboni ya wEgubuddu.
EXO.10.16	Mowaaguva Farawo ahimwiithanaga Mozezi ni Aroni, wiira: <<Gihimuthegela 
EXO.10.17	Vano ginoloba wi mugikurumuwele yoothega yaaga olenddo olena. Mulobele wa 
EXO.10.18	Mozezi avenyaga vameentoni va Farawo, ahilobelaga wa 
EXO.10.19	Vevale 
EXO.10.20	Naari ndala 
EXO.10.22	Vevale Mozezi ahogoolaga moono waaye, vano yahidhaaga epipi, oribiha elabo ele yaatene ofiyedha malabo maraaru. 
EXO.10.23	Athu kayoonanaga, vano kaalivo avenyagavo vevale vakaraatiligiiye ofiyedha malabo maraaru. Mbwenye aEzarayeli aatene yahikalagana waara mumburoni mweewa. 
EXO.10.24	Vevale Farawo ahimwiithanaga Mozezi, wiira: <<Dhowani ni mirala dheenyu mwamulabe 
EXO.10.25	Mozezi ahaakulaga, wiira: <<Munihiye wi nakuthe mukutho wa 
EXO.10.26	Nnothukula dhifuwo dheehu dhaatedhene, vowi kinahalave ya ddoddobwa naariwene. Dhaatedhene nnothukula wi nakuthe mukutho wa 
EXO.10.28	Farawo ahiwogaga ni Mozezi, wiira: <<Ogivenyedhevo, wiyiinanele teto kuwele woona kove yaaga. Wawelave ginowuupa>>. 
EXO.10.29	Mozezi ahaakulaga, wiira: <<Ohuwoga pama. Kagidha teto goona kove yaawo>>.
EXO.11.1	Vevale 
EXO.11.2	Wawaaddele athu wi alobwana aatene yaalobege amwaaddamani eewa, ahiyana aatene yaalobege amwaaddamani eewa, dhego dhoosasanyiwa ni parata ni oro>>. 
EXO.11.3	 ahiirana wi a Ezarayeli erumeedhiwege pama ni a wEgubuddu. Mulobwana ole Mozezi aali oovuweya mwiilaboni ya wEgubuddu, oovuweya wa anamalaga a Farawo ni wa athu aatene.
EXO.11.4	Mozezi ahiwogaga, wiira: <<Ndala 
EXO.11.5	Dhowambeela obaliwa dhaatedhene dhinoodha dhikwe, wambeela wa mwaana a Farawo, oyene onalamula, ofiyedha mwaana owambeela a mwihiyana mudhaari, oyene oli vasiloni. Enoodha ekwe teto aneenyama oofuwiwa aatene owambeela obaliwa. 
EXO.11.6	Onoodha wiiweye wuundda wuulubale mwiilaboni yaatene ya wEgubuddu, wuundda wewo ohunaabihege wiireya, kudha wiireya teto dila emohi. 
EXO.11.7	Mbwenye wi munone yowi 
EXO.11.8	Vevale Mozezi ahiwogaga teto, wiira: <<Enoodha egifwanye anamalaga aawo alena aatene egikokorele, yiiraga: <Mvenyemo, we vamohi ni athu aawo aatene yuuharege>. Egeereyile ela fineeriimi givenye>>. Mozezi ootakaleliweene ahivenyavo va Farawo.
EXO.11.9	Ndala 
EXO.11.10	Mozezi ni Aroni yahiirana dhootikiniha dhedhi dhaatedhene vameentoni va Farawo, mbwenye 
EXO.12.1	Mwiilaboni ya wEgubuddu 
EXO.12.2	<<Wa nyoovo mweeri olena oneere okale mweeri wowambeela wa yaaka. 
EXO.12.3	Mwaaddele mulogo waatene wa Ezarayeli, mwiire: Wa malabo kumi a mweeri olena, kadda muthu vaade vaaye athukulege nibila nimohi va emudhi yaaye. 
EXO.12.4	Veemudhini yaahinjivavo athu, egawanege nibila nimohi ni owaaddamanana eewa wona viinjiveliiwa, mooligana ni majelo a kadda muthu. 
EXO.12.5	Muthukulege nibila naari mbuzi, mbwenye ekalege yowaakwanela, yapogo emalile yaaka emohi. 
EXO.12.6	Mulogolele ofiyedha yaakwanaga malabo kumi ni mannayi a mweeri olena. Vevale mulogo waatene wa Ezarayeli funeeriiwa wiibege ociguwoni. 
EXO.12.7	Muthukule mwazi mudholihe vamulago wula ni wula ni vadhuluviwa, nyuba dhedho munaatakuniwege nyama ya aneenyama ale. 
EXO.12.8	Mahiyu alene mutakune nyama yowoosiwa veeko vamohi ni mikaathe dhoohuheliwa emela teto ni mataakuru oowaawa. 
EXO.12.9	Ehikalevo muneeriinyu mutakune ekiiti, naari yoopiyiwa ni mahinje, mbwenye yowoosiwa veeko. Mutakune teto muru ni meddo ni mirubo. 
