MAT.1.1	Tuhca̱ cochi nda̱ta yahn Dihvo vo Jesucristo. Ihyan ndico yahn ye ne, David ma̱n, Abraham ma̱n.
MAT.12.7	Nchuhn ne, nde hua renahn ne ndudo yahn Dendiohs che ndirun tuhca̱: “Tahque náhn che cuahtenan cuma nchuhn vedeva̱hino che co che ca̱hno ne ite, co te vedino ná̱n.” Ndete che renahn nchuhn ndudo min ne, nde hua ndere ca̱hma nunde ne yahn ye. 
MAT.12.8	Cuedevano ne te u che rinducó nducoya̱ca ihyan ne, rihquentiyón nde nducuahn che redin ihyan ro che rahtetuhno ye.
MAT.12.9	Chuh Dihvo vo min, ne chenda̱ ye chete a̱ma ya̱co yahn ihyan nación yahn Israel. 
MAT.12.10	Min quenun a̱ma sa̱hn che ndi cuma a̱ma ta̱h se. Namin min chenun a̱ma o sa̱hn fariseo, ne nducote nahn ca̱ca nunde se yahn Dihvo vo ne, tumerune se ihyan:
MAT.12.10	―¿A rihquentiyon na̱n Ndudo yahn Dendiohs che co din vo che ndoyahn ihyan ro che rahtetuhno vo ne?
MAT.12.11	Ndahconan Dihvo vo, ne ra̱hn ye ri ye sa̱hn:
MAT.12.11	―Ndete che va itecuche yahn nchuhn ne conda̱hnun te chete veh ico ro che rahtetuhno ihyan ne, ndeta̱hno ca̱hn ne ndetenda̱h ne ite. 
MAT.12.12	Nducote tahque rigonun chihve a̱ma ihyan che co itecuche ne, chemin che co conan vo ihyan andahre ro che rahtetuhno vo.
MAT.12.13	Tuhme ra̱hn ye ri ye sa̱hn min:
MAT.12.13	―Cua̱condihque tah.
MAT.12.13	Chacondihco ta̱h se, ne ndo ndah nduhca̱ ta̱h se che ta̱ma me. 
MAT.12.14	Ndeta̱hno quenda̱h vah sa̱hn fariseo chahn rentuhno se nduco vih ta̱ca̱ ca̱hno se Dihvo vo.
MAT.12.15	Checadino Dihvo vo che tihca̱ rentuhno se, ne chica ye min, cuahn ye. A̱ma ya̱hn ihyan cuahn ye nduco ye, ne din ye che ndoyahn nducoya̱ca ihyan che cah ye. 
MAT.12.16	Chihquentiyon Dihvo vo che hua ca̱hma ihyan chahn che a ihyan min che a va ca̱de che dechuh Dendiohs, ndedevahn ye ihyan iyehnse. 
MAT.12.17	Tihca̱ din ye ca̱va che conahn ndudo che ra̱hn Dendiohs yahn ye, dirun ihyan profeta Isaías tuhca̱:
MAT.12.18	Sa̱hnguh che redin se ntiyon yáhn, a má̱n tenda̱hnún sa̱hn.
MAT.12.18	A̱ma yahinó sa̱hn, a̱ma yenó ca̱va se.
MAT.12.18	Dín che conun Vacó sa̱hn,
MAT.12.18	ne cuahndudo se va̱n ihyan nación chena̱hn nduhca̱ che va che techeca̱dé yahn ye.
MAT.12.19	Hua cuhma chende se nduco ihyan, nde huane cuah nun se na̱n ye, ca̱hya se ihyan.
MAT.12.19	Hua cochica se yune viya̱n cuahndudo se.
MAT.12.20	Hua ca̱h nda̱che nduh se ihyan che nda̱che ri ye yahn nunde yahn ye.
MAT.12.20	Tahque ndah se ne, neca̱h se vedechahtino ihyan.
MAT.12.20	Tihca̱ quendi se nde conan ca̱hcantiyon se numachahte iyehnse,
MAT.12.21	ne ihyan nación chena̱hn ne, cochahtino ye sa̱hn.
MAT.12.22	Chihno min ne, nda̱ ihyan na̱n Dihvo vo, nda ye a̱ma sa̱hn che quenun vaco chihnga̱ sa̱hn. Sa̱hn min ne, nde ve se nde lihme se. Ndetenda̱h Dihvo vo vaco chihnga̱ me, ne chi ro na̱n se ma̱n, chi ca̱hn se ma̱n. 
MAT.12.23	Chahn ino nducoya̱ca ihyan, ne ra̱hn ye:
MAT.12.23	―¿A din ndete che ihyan cuh che da̱ya David ne?
MAT.12.24	Ate chihnevan a̱ma o sa̱hn fariseo, ne ra̱hn se:
MAT.12.24	―Ihyan tih ne, quenan cuma ye vederihquentiyon yahn chundah, ne nduco chemin rendetenda̱h ye vaco chihnga̱.
MAT.12.25	A checadino Dihvo vo che tihca̱ ra̱hn se, ne ra̱hn ye ri ye sa̱hn:
MAT.12.25	―Ndete ihyan che vate ye rihquentiyon ye cuahtecuhma ye va̱n ma̱n ye nduco vih ne, hua co quendi ye ca̱hcantiyon ye. Ndete intiyahn ya̱n cuahtecuhma ye va̱n ma̱n ye nduco vih ne, hua co quendi ye ca̱hcantiyon ye. Ndete ihyan che chenun ye a̱ma vah cuahtecuhma ye va va̱n ma̱n ye nduco vih ne, hua co quendi ye cuahtenun da̱ma ye. 
MAT.12.26	A namin no tun chundah. Ndete che ndetenda̱h se vaco chihnga̱ yahn se ne, anduhneca̱ ndete che cuhma se nduco ihyan yahn se, ne hua co quendi vederihquentiyon yahn se. 
MAT.12.27	Nchuhn ne, ra̱hn ne che nduco vederihquentiyon yahn chundah che rendetendá̱h vaco chihnga̱, ate sa̱hn che rinduco se nchuhn ne, nducote rendotenan se duh che conan sa̱hn ca̱va che ndetenda̱h se vaco chihnga ne, co ca̱hma se co se nchuhn che hua cua̱co che ra̱hn ne. 
MAT.12.28	Cuedevano nchuhn te a nduco vederihquentiyon yahn Vaco Ndah yahn Dendiohs rendetendá̱h vaco chihnga̱. Nduco chemin ne, a ndero ndi che a rihquentiyon Dendiohs va̱n nchuhn.
MAT.12.29	’A̱ma sa̱hn dito ne, atena̱n ndete che dechiche ihyan sa̱hn co conda̱ ye chete va̱co se, duco ye yahn se. U ne, anduhneca̱ ndete che tihca̱ dín nduco chundah, nda̱hco ndiyá vederihquentiyon yahn se.
MAT.12.30	’Ihyan che hua rinduco ye u ne, anduhneca̱ ndete che ta̱n ye nducó. Ntiyon che redín ne, anduhneca̱ ndete che renedin da̱má ndute nda̱ta, ne ihyan che hua rinduco ye u ne, anduhneca̱ ndete che rihtera ye.
MAT.12.31	’Nducote ra̱hn nchuhn yáhn che quenan cumá vederihquentiyon yahn chundah ne, chemin che rá̱hn rí nchuhn che va vederenchahco ca̱va ihyan adecodehno nunde yahn ye ma̱n, che chihnga̱ ca̱hma ye ma̱n, ate ihyan che renda̱hchenan ye Vaco Ndah yahn Dendiohs ne, metah vederenchahco ca̱va ye. 
MAT.12.32	Adecoduhno ihyan che nda̱hchenan ye u che rinducó nducoya̱ca ihyan ne, va vederenchahco ca̱va ye, ate ihyan che nda̱hchenan ye Vaco Ndah yahn Dendiohs ne, hua nda̱ca ye vederenchahco.
MAT.12.33	’Ya̱hn nda̱ta ne, a na̱n ndute yahn rihnde ro ndete che ndah o hua ndah. Ya̱hn nda̱ta che ndah ndute yahn ne, ya̱hn ndah, ne ya̱hn nda̱ta che chihnga̱ ndute yahn ne, hua ndah. Cua cuande nchuhn yahn ejemplo cuh, te hua redin yahn che nda̱hchenan ne vederihquentiyon che quenan cumá cuahn che a ro na̱n ne che ntiyon cochihve redín. 
MAT.12.34+MAT.12.35	¡A̱ma duhtuno ihyan nchuhn! A ndero ndi na̱n ndudo yahn ne. Ihyan che ndah ihyan ye ne, runeca̱de na̱n ndudo yahn ye, ne ihyan che duhtuno ihyan ye ne, chihnga̱ ndudo yahn ye. 
MAT.12.36	Rá̱hn rí nchuhn te ca̱va nducuahn ndudo chihnga̱ che ra̱hn ihyan ne, va che din Dendiohs castigo ihyan. 
MAT.12.37	Ihyan che runeca̱de ndudo yahn ye ne, hua co ye castigo, ne ihyan che chihnga̱ ndudo yahn ye ne, co ye castigo.
MAT.12.38	Tuhme ra̱hn a̱ma o sa̱hn fariseo ma̱n, sa̱hn devano ley che dirun Moisés ma̱n:
MAT.12.38	―Ihyan Ricuahn, nahn nuhn che din ne a̱ma vederihno ndihchero nuhn ca̱va che co devano nuhn che Dendiohs dechuh ye ndih.
MAT.12.39	Ndahconan Dihvo vo, ne ra̱hn ye ri ye sa̱hn:
MAT.12.39	―Ihyan che vate ye ma̱n ro cuh ne, a̱ma duhtuno ihyan ye ma̱n, rahcota̱hn ye yahn Dendiohs ma̱n. Nahn ndihchero ye vederihno, ate atena̱n a̱ma vederihno nduhca̱ che chinahn nduco ihyan profeta Jonás nda̱ca ndihchero ye. 
MAT.12.40	A̱ma ite ndico che quenun te va̱n nuniya̱hn ne, ca tuhn te ihyan min, ne quenun ye chete te ino ro ino ya̱n. Atihnoca̱ u che rinducó nducoya̱ca ihyan va che conún ma̱n ya̱hn ino ro ino ya̱n. 
MAT.12.41	Rá̱hn rí nchuhn te cuahn che nda̱ ro che techeca̱de Dendiohs yahn nducoya̱ca ihyan ne, necuan ihyan ya̱n Nínive, nda̱hco ndiya ye nchuhn, te ihyan chahn ne, nto ino ye nunde yahn ye cuahn che cahndudo ihyan profeta Jonás ndudo yahn Dendiohs, ate nchuhn ne, nde hua rihcovan ne ndudo yáhn andahre tahque chahte vederihquentiyon quenan cumá che co ihyan min. 
MAT.12.42	Namin ta̱hn reina che va te cua̱hn ya̱hn ndiya ne, nda̱hco ndiya te nchuhn nda̱ ro min, te ta̱hn min ne, a̱ma yahn chica te, chihnevan te vedevano yahn Salomón, ate nchuhn ne, nde hua rihcovan ne ndudo yáhn andahre tahque chahte vederihquentiyon quenan cumá che co ihyan min.
MAT.12.43	’Cuahn che rendiquenda̱h vaco chihnga̱ a̱ma ihyan ne, rechica ya̱hn na̱n che metah duhva, renuhn na̱n che conan tahn. Ate cuahn che hua renda̱ca ne, 
MAT.12.44	rendaconan, conun ihyan na̱n che a ndiquenda̱h, te ihyan min ne, a nduhca̱ a̱ma vah che va ma̱n, nde tuno ntache ma̱n, necuco ma̱n. 
MAT.12.45	Tuhme rahn regua te ndache combiero yahn che tahque duhtuno ca che co ma̱n, ne rahtenun ihyan min, redin che tahque chuhrihn ye che co ro mena̱n. Tihca̱ cuahno co ihyan che duhtuno ihyan ye che vate ye ma̱n ro cuh.
MAT.12.46	Numanahn che rente ca Dihvo vo nduco ihyan chahn ne, nda̱ chaco ye nduco dihno ye, rinuhn ye ihyan. Chahtendi ye cua̱hn chevah, nahn nte ye nduco ye. 
MAT.12.47	Ra̱hn ihyan ri ye Dihvo vo:
MAT.12.47	―Nda̱ chaco ne nduco dihno ne, vatendi ye cua̱hn chevah, nahn nte ye nduco ne.
MAT.12.48	Ate ndahconan Dihvo vo, ne ra̱hn ye ri ye ihyan che ra̱hn ye nduco ye:
MAT.12.48	―Ta̱ca̱ hua. Ihyan ca̱h che chacó ma̱n, ihyan sih che dihnó ma̱n.
MAT.12.49	Tuhme na̱hma Dihvo vo ihyan che rinduco ye ihyan, ne ra̱hn ye:
MAT.12.49	―Namin ihyan chuhn ne, anduhneca̱ chacó ma̱n, anduhneca̱ dihnó ma̱n, 
MAT.12.50	te nducoya̱ca ihyan che redinahn ye vederihquentiyon yahn Chidá che va ye vahchetero ne, ihyan chahn ne, anduhneca̱ chacó ma̱n, anduhneca̱ cahvé ma̱n, anduhneca̱ dihnó ma̱n.
MAT.13.1	Ro min ne, quenda̱h vah Dihvo vo cuahn ye chihto vine, ne min chihnde ye. 
MAT.13.2	A̱ma ya̱hn ihyan chi da̱ma ye na̱n ye, nde quenan cuma che chihnde ye chete a̱ma ba̱rco che va na̱n vine. 
MAT.13.3	Chicuahn Dihvo vo a̱ma ndeh na̱n dehtenduh ihyan chahn nduco ejemplo. Cana̱n ye tuhca̱:
MAT.13.3	―A̱ma yune ne, cuahn a̱ma ihyan retuhdo ye ndute nda̱ta. 
MAT.13.4	Cuahn che tuhdo ye ne, chera neve ndute chihto yune, ne nda̱ ya̱hda cheh te. 
MAT.13.5	Te neve ndute ne, chera va̱n roh, ne nducote hua ya̱no ya̱hn min ne, ndeta̱hno quenda̱h. 
MAT.13.6	Ate cuahn che chi ihno ne, chihno tih, yahn che hua ya̱no nda dihyoduto. 
MAT.13.7	Te neve ndute ne, chera va̱n chano ya̱n. Ate cuahn che quenda̱h ne, chendih, ne chenun ma̱n. 
MAT.13.8	Te neve ndute ne, chera na̱n che dema̱n ya̱hn, ne a̱ma ndah chi yahn; na̱hn ne, chi a̱ma ciento yahn, na̱hn ne, chi ino raco yahn, ne na̱hn ne, chi ndico ndiche yahn. 
MAT.13.9	Nducoya̱ca nchuhn ne, condedecadino ndah ne ca̱va che tumacadino ne deh conahn.
MAT.13.10	Tuhme chahn nda̱ ihyan apóstol na̱n Dihvo vo, ne tumerune ye ihyan:
MAT.13.10	―Dihve nuhn, ¿deh cuande che nduco ejemplo rente ne nduco ihyan ne?
MAT.13.11	Ndahconan ye, ne ra̱hn ye ri ye ihyan chahn:
MAT.13.11	―Nduhca̱ che rihquentiyon Dendiohs ne, nde hua devano ihyan, ate nchuhn ne, din Dendiohs che cadino ne yahn. 
MAT.13.12	Tihca̱ te, ihyan che chenahn ye ne, din Dendiohs che conahn ndah ye, ne ihyan che hua ndah chenahn ye ne, nde cona̱n ye tah che chenahn ye. 
MAT.13.13	Chemin che nduco ejemplo rahndudó, rihnevan ye, ca̱va che cahnevan no ye ate hua conahn ye. 
MAT.13.14	Tihca̱ rinahn nduco ye nduhca̱ che dirun ihyan profeta Isaias tuhca̱:
MAT.13.14	Ihyan sih ne, rihnevan ye ate hua renahn ye ma̱n,
MAT.13.14	rendihchero ye ate anduhneca̱ ndete che hua ri ro na̱n ye ma̱n,
MAT.13.15	te a̱ma cheche nda̱conda̱ chedave yahn ye, ndi i ye,
MAT.13.15	anduhneca̱ ndete che hua rihnevan ye ma̱n,
MAT.13.15	anduhneca̱ ndete che hua ro na̱n ye ma̱n,
MAT.13.15	anduhneca̱ ndete che hua retumacadino ye ma̱n.
MAT.13.15	Tihca̱ ri yahn ye, te a va che hua neca̱hco ye u,
MAT.13.15	ne hua nchahcó ca̱va ye.
MAT.13.16	’Me nchuhn ne, a̱ma ndah ro yahn ne, te renahn ne vederihquentiyon yahn Dendiohs. 
MAT.13.17	Cua̱co rá̱hn rí nchuhn te nde a ra̱hn me ne, a̱ma ya̱hn ihyan profeta ma̱n, ihyan che runeca̱de ye ma̱n ne, a̱ma chenan ino ye che ndihchero ye che rendihchero nchuhn ma̱n, che cahnevan ye che rihnevan ne ma̱n, ate hua chinahn nduco ye.
MAT.13.18	’Cuihcovan nchuhn. Tuhca̱ conahn ejemplo yahn ihyan che retuhdo ye ndute nda̱ta me. 
MAT.13.19	Ndute nda̱ta che chera chihto yune me ne, nduhca̱ ihyan che rihnevan ye ndudo yahn vederihquentiyon yahn Dendiohs, ne hua renun ino ye, te ndeta̱hno che rihnevan ye ne, renda̱ chundah, redin se che rina̱n ye. 
MAT.13.20	Ndute che chera va̱n roh me ne, nduhca̱ ihyan che rihnevan ye ndudo, ne numacuahn vedeyeno renevahnecun ye. 
MAT.13.21	Ate ihyan chahn ne, nduhca̱ chenda̱ta che metah cota̱h ya̱no dihyoduto ne, tihchan ye, te cuahn che rechuhrihn ye o redin ta̱n ihyan nduco ye yahn che renevahnecun ye ndudo me ne, ndeta̱hno rihcoma̱n ye. 
MAT.13.22	Ndute che chera va̱n chano ya̱n me ne, nduhca̱ ihyan che rihnevan ye ndudo me, ate a̱ma rendedecadino ye ca̱va ntiyon yahn ye ma̱n, rihncheh ma̱n ye ihyan che a̱ma nahn yahn ye vedecuihca ma̱n, ne chemin che hua ri redin ndudo me che ndah nduco ye. 
MAT.13.23	Me ndute che chera na̱n che dema̱n ya̱hn me ne, nduhca̱ ihyan che rihnevan ye ndudo me, ne renahn ye. Ihyan chahn ne, nduhca̱ chenda̱ta che chi a̱ma ciento yahn ma̱n, chi ino raco yahn ma̱n, chi ndico ndiche yahn ma̱n ne, tihchan ye, te reca̱h yune ye che redin ndudo me che ndah nduco ye.
MAT.13.24	Chihno min ne, nte Dihvo vo ta̱ma ejemplo, chihnevan ihyan chahn. Ra̱hn ye:
MAT.13.24	―Ca̱hmá có nchuhn nduhca̱ vederihquentiyon yahn Dendiohs. A̱ma ihyan ne, tuhdo ye trigo na̱n ya̱hn ya̱hn ye, 
MAT.13.25	ate chete ra̱hn, ura che vateya̱do ihyan ne, chahn a̱ma sa̱hn che hua ri rendihche se ihyan, ne tuhdo se ndute yahn chano ya̱n va̱n trigo me. 
MAT.13.26	Cuahn che a chendudo cuiyon ya̱ma trigo me ne, chihnde ro chano ya̱n me va̱n. 
MAT.13.27	Tuhme chahn sa̱hn redin ntiyon, chengo se dihve se: “Dihve nuhn, uvo ne, trigo tuhdo vo min. ¿Ta̱ca̱ che a̱ma quenda̱h chano ya̱n ne? 
MAT.13.28	Ndahconan ye, ne ra̱hn ye ri ye sa̱hn: “A̱ma sa̱hn che hua ri rendihche se u ne, chahn se tuhdo se ndute chano ya̱n.” Tuhme tumerune se ihyan: “¿A nahn ne che tico nuhn chano ya̱n me ne?” 
MAT.13.29	Ndahconan ye, ne ra̱hn ye ri ye sa̱hn: “Hua tico ne chano ya̱n me, te dena̱n nde nduco trigo tico ne. 
MAT.13.30	Tahque ndah ca̱hcoma̱n vo che cuihta da̱ma nduco vih nde nda̱ ro che co cuma trigo me. Tuhme dechúh ihyan che tico ye chano ya̱n me, din ticua ye, cuih ye va̱coya̱hn. Cuihno min ne, din da̱ma ye trigo me, cuih ndah ye.”
MAT.13.31	Namin nte Dihvo vo ejemplo cuh:
MAT.13.31	―Vederihquentiyon yahn Dendiohs ne, nduhca̱ a̱ma ndute mosta̱za che chihche ihyan na̱n ya̱hn yahn ye. 
MAT.13.32	Ndute mosta̱za ne, andahre chemin che tahque ca̱hya va̱n nducuahn ndute, ate cuahn che rihta ne, ri rahte ya̱hn yahn che nde ya̱hda redin ndahque te va̱n dune.
MAT.13.33	Nte Dihvo vo ta̱ma ejemplo:
MAT.13.33	―Vederihquentiyon yahn Dendiohs ne, nduhca̱ tahsihn ya̱ che chihcheta̱hn a̱ma nda̱hta va̱n ndeh ya̱che pa̱n, ne quendih va̱n nducuahn.
MAT.13.34	Nducuahn ndudo che cahndudo Dihvo vo, chihnevan ihyan ne, dema̱n nduco ejemplo, 
MAT.13.35	ca̱va che conahn nduhca̱ che dirun ihyan profeta, tuhca̱:
MAT.13.35	Cuahndudó dema̱n ejemplo.
MAT.13.35	Cacuáhn ihyan yahn dehtenduh che nde hua devano ihyan numacuahn ro nde ro che chihnde iyehnse.
MAT.13.36	Chihno min ne, ndedechuh Dihvo vo nducoya̱ca ihyan, ne ndonda̱ ye vah nduco ihyan apóstol yahn ye. Tuhme ra̱hn ihyan chahn ri ye ihyan:
MAT.13.36	―Te cuande ne nuhn deh conahn ejemplo yahn chano ya̱n me.
MAT.13.37	Ndahconan Dihvo vo, ne ca̱h cuande ye ihyan chahn:
MAT.13.37	―Ihyan che retuhdo ndute nda̱ta me ne, u che rinducó nducoya̱ca ihyan. 
MAT.13.38	Ya̱hn me ne, iyehnse. Ndute nda̱ta me ne, ihyan che renevahnecun ye vederihquentiyon yahn Dendiohs. Chano ya̱n me ne, ihyan che rihquentiyon chundah. 
MAT.13.39	Sa̱hn che tuhdo ndute yahn chano ya̱n me ne, chundah. Ro che ndo da̱ma trigo me ne, a ro che cuhnde ca̱de yahn nducoya̱ca ihyan. Ihyan che nedin da̱ma ye trigo me ne, ángel. 
MAT.13.40	Nduhca̱ che ndo da̱ma chano ya̱n me, conun va̱coya̱hn me ne, tihca̱ cuahno co ihyan che duhtuno ihyan ye cuahn che cuhnde ca̱de yahn nducoya̱ca ihyan. 
MAT.13.41	Nda̱ ro min ne, u che rinducó nducoya̱ca ihyan ne, dechúh ángel yáhn numachahte na̱n che rihquentiyón, nedin da̱ma ye nducoya̱ca ihyan nunde, mena̱n vihca ihyan che retihyon yune ye ihyan chena̱hn che rahtendihco ye nunde. 
MAT.13.42	Cuih ángel chahn ihyan nunde chahn va̱n ruchiya̱hn. Min cuaco ye ma̱n, cheh dihyon ye ma̱n. 
MAT.13.43	Me ihyan che redinahn ye vederihquentiyon yahn Dendiohs, ihyan min che Chida ye ne, quenda̱h yavena̱n ye, cuahtenan ye vahchetero na̱n che rihquentiyon ihyan min. Nducoya̱ca nchuhn, condedecadino ndah ne yahn che renté nduco ne.
MAT.13.44	’Vederihquentiyon yahn Dendiohs ne, nduhca̱ a̱ma vedecuihca che quenun ndeh ma̱n ya̱hn. A̱ma se ne, nta̱ca se vedecuihca me, ne a min no ndaconan tihyon ndeh se. A̱ma chi yeno se, ne chahn se ndihcue se nducuahn dehtenduh yahn se, ne ca se ya̱hn na̱n che quenun vedecuihca me.
MAT.13.45+MAT.13.46	’Vederihquentiyon yahn Dendiohs ne, nduhca̱ a̱ma tu diya̱hn che a̱ma nda̱hca̱ ma̱n, che a̱ma yahn chihve ma̱n. Ndihchero a̱ma se che ra se tu chemin chan, ne chahn se ndihcue se nducuahn dehtenduh yahn se, ne ca se tu me.
MAT.13.47	’Vederihquentiyon yahn Dendiohs ne, nduhca̱ a̱ma ya̱na che reta̱h ya̱hca che tihyon ihyan chete nuniya̱hn, ne cheta̱h ye nducoya̱ca na̱n ya̱hca. 
MAT.13.48	Cuahn che a chito ya̱na me ne, ndetenda̱h ye cua̱hn chihto nuniya̱hn. Min tenda̱hnun ye ya̱hca che ndah te, chih ye ite chete cuahte, ne chihtera ye ite che hua cochihve te. 
MAT.13.49	Tihca̱ va che co ro che techeca̱de Dendiohs yahn nducoya̱ca ihyan. Cuahtechica ángel din vi ye ihyan che duhtuno ihyan ye va̱n ihyan che ndah ye, 
MAT.13.50	ne cuih ye ihyan che duhtuno ihyan chahn va̱n ruchiya̱hn. Min cuaco ma̱n, cheh dihyon ye ma̱n.
MAT.13.51	Tuhme tumerune Dihvo vo ihyan chahn:
MAT.13.51	―¿A renahn nchuhn nducuahn che renté ne?
MAT.13.51	Ndahconan ihyan chahn, ne ra̱hn ye:
MAT.13.51	―Ta̱ca̱ hua, Dihve nuhn, renahn nuhn.
MAT.13.52	Tuhme ra̱hn Dihvo vo ri ye ihyan:
MAT.13.52	―Nducoya̱ca ihyan che retuno ye vederihquentiyon yahn Dendiohs ne, ri ye nduhca̱ ihyan cuihca che retenda̱h ye dehtenduh che ra ma̱n, dehtenduh che ndico ma̱n, va̱n vedecuihca yahn ye, te ihyan chahn ne, a̱ma ndeh na̱n vededevano chenan cuma ye.
MAT.13.53	Cuahn che a chihno cahndudo Dihvo vo ejemplo chemin chan ne, chica ye min. 
MAT.13.54	Nta̱ ye ya̱n na̱n che chihta ye, ne chahn ye chete ya̱co chicuahn ye. A̱ma chahn ino ihyan ya̱n min, ne ra̱hn ye:
MAT.13.54	―¿Ti chehua sa̱hn tih vededevano che ricuahn se? ¿Ta̱ca che ri redin se vederihno? 
MAT.13.55	Sa̱hn tih che da̱ya vihcheya̱hn me. Chaco se ne, María. Dihno se ne, Jacobo ma̱n, José ma̱n, Simón ma̱n, Judas ma̱n. 
MAT.13.56	Namin ta̱hn cahve se ne, muhn vate te. ¿Tira chehua se che tihca̱ ricuahn se?
MAT.13.57	Ihyan chahn ne, hua nevahnecun ye Dihvo vo. Chemin che ra̱hn Dihvo vo ri ye ihyan:
MAT.13.57	―Ihyan profeta ne, atena̱n ya̱n va̱co ihyan che renevahnecun ye ihyan, te ihyan ya̱n va̱co ye ma̱n, ihyan ndeva̱co ye ma̱n ne, renda̱hchenan ye ihyan.
MAT.13.58	Dihvo vo ne, atena̱n a̱ma o vederihno din ye min yahn che hua chitahno ihyan chahn ihyan.
MAT.14.1	Ta̱hn min ne, Herodes gobernador yahn Galilea ne, checadino se yahn Dihvo vo Jesucristo, 
MAT.14.2	ne ra̱hn se ri se sa̱hn che rinan se sa̱hn na̱n che rihquentiyon se:
MAT.14.2	―Ihyan che redin ye vederihno ne, Jua̱n Bautista. A ntuche ye va̱n tena̱hn, ne chemin che quenan cuma ye vederihquentiyon che redin ye vederihno.
MAT.14.3	Tihca̱ ra̱hn se, te sa̱hn min din se preso Jua̱n, chihquentiyon se sanda̱do che dechiche se cadena ihyan, tihyon se ihyan va̱coya̱hn. Tihca̱ din se, te tihca̱ nahn Herodías ta̱hn nda̱hta yahn dihno se Felipe. 
MAT.14.4	Jua̱n ne, a ra̱hn ye ri ye Herodes:
MAT.14.4	―Hua redin yahn che conan come ta̱hn tih nduhca̱ nda̱hta yehn.
MAT.14.5	Nahn ca̱hno Herodes Jua̱n, ate va̱h se ihyan ya̱n, te nducoya̱ca ye ritahno ye che Dendiohs dechuh ye ihyan. 
MAT.14.6	Ate ro che vihco duche Herodes ne, ndeh ta̱hn da̱ya Herodías na̱n ihyan che vate ye min, ne a̱ma quenan ino Herodes. 
MAT.14.7	Numacuahn vedeyudo ca̱h se ndudo yahn se ta̱hn che adecodehno che ca̱ca te ne, ca̱h se ta̱hn. 
MAT.14.8	Nducote a nchinun chaco te ta̱hn ne, ra̱hn te ri te sa̱hn:
MAT.14.8	―Te ne tin Jua̱n Bautista u chete a̱ma cuh.
MAT.14.9	A̱ma chi ra̱n Herodes che tihca̱ ra̱hn te, ate nducote a ca̱h se ndudo yahn se ta̱hn na̱n nducoya̱ca ihyan che vate min ne, dinahn se. 
MAT.14.10	Chihquentiyon se sanda̱do che chahn se chete va̱coya̱hn, chihca ya̱n se da̱ndo Jua̱n. 
MAT.14.11	Ndaconan se, nda se tin Jua̱n chete a̱ma cuh. Ca̱h se ta̱hn, ne neca̱h te chaco te.
MAT.14.12	Tuhme nda̱ ihyan che rinduco ye Jua̱n, ne quenda ye ihyan chihche ye ihyan. Chihno min ne, chahn ye chengo ye Dihvo vo.
MAT.14.13	Cuahn che checadino Dihvo vo che chihno se Jua̱n ne, chica ye min, quenun ye chete a̱ma ba̱rco cuahn ye a̱ma cua̱n, ya̱hn na̱n che metah duhva. Ate checadino ihyan che cuahn ye, ne chica ye viya̱n, rica ca̱h ye, cuahn ye quendi ye ihyan. 
MAT.14.14	Cuahn che ndiquenda̱h Dihvo vo chete ba̱rco me ne, ndihchero ye che a̱ma ya̱hn ihyan ndi da̱ma ye. Quenan va̱hino ye ihyan chahn, ne din ye che ndoyahn ihyan cah che nduco ye min. 
MAT.14.15	Cuahn che a chi chino ne, chahn nda̱ ihyan apóstol na̱n Dihvo vo, ne ra̱hn ye ri ye ihyan:
MAT.14.15	―Muhn ne, ya̱hn na̱n che metah duhva. Ava̱ne ne, a chino cuahn. Cuendedechuh ne ihyan sih ca̱va che ca̱hn ye ti tenduh ya̱n, cua ye che cheh ye.
MAT.14.16	Ra̱hn Dihvo vo ri ye ihyan chahn:
MAT.14.16	―Metah deh cuande che ndedechúh ihyan. Ca̱h nchuhn cheh ye.
MAT.14.17	Ate ra̱hn ihyan chahn ri ye ihyan:
MAT.14.17	―Atena̱n uhn ra pa̱n nduco o ya̱hca va yahn nuhn.
MAT.14.18	Ra̱hn ye ri ye ihyan chahn:
MAT.14.18	―Cuahn nchuhn ngua ne.
MAT.14.19	Tuhme chihquentiyon Dihvo vo che cuahte nducoya̱ca ihyan na̱n yune. Cheta̱h ye nduh che uhn pa̱n me nduco o ya̱hca me quetuhma ye. Chenihyon na̱n ye na̱n ro, neca̱h ye nundihve cuahn Dendiohs, ne ndeh ye pa̱n me, ca̱h ye ihyan apóstol chahn ca̱va che cuih ye va̱n nducoya̱ca ihyan. 
MAT.14.20	Cheh nducoya̱ca ihyan chahn nde na̱n che chito ihyan. Chihno min ne, nedin da̱ma ihyan apóstol chahn che nga̱va, ne decuto ye ndichio cuahte. 
MAT.14.21	Ihyan che cheh ye ne, ri ye uhn mil che dema̱n ihyan cha̱hn, ava̱ne ihyan nda̱hta ma̱n, checa̱hya ma̱n.
MAT.14.22	Chihno min ne, chihquentiyon Dihvo vo ihyan apóstol che cuahtenun ye chete ba̱rco me, tuche ye ta̱ma la̱do viche yahn vine me numanahn che ndedechuh ye ihyan chahn. 
MAT.14.23	Cuahn che chihno ndedechuh ye ihyan chahn ne, cocha ye a̱ma tingüete dema̱n ye ca̱va che cova̱h ye. Cuahn che a chi ra̱hn me ne, quenan ca ye min dema̱n ye. 
