GEN.1.1	O konmansman, Bondye ti kree lesyel ek later. 
NUM.26.39	Soufanm, sorti dan klan Soufamit; Houfanm sorti dan klan Houfamit. 
NUM.26.40	Bann garson Bela: Ard ek Naaman, sorti dan klan Ardit ek bann Naamanit. 
NUM.26.41	Zot ti bann desandan Benzamen. Ti annan an tou 45,600 zonm resanse dan sa klan.
NUM.26.42	Bann desandan tribi Dann, klan par klan: Souhanm, dan klan Souhanmit. Zot ti bann klan sorti dan tribi Dann kan sa resansman ti ganny fer. 
NUM.26.43	Ti annan an tou 64,400 zonm resanse dan klan Souhanmit.
NUM.26.44	Bann desandan dan tribi Aser, klan par klan: Yimna, dan klan Yimnit; Yisva, dan klan Yisvit; Beria, dan klan bann Berit. 
NUM.26.45	Bann garson Beria: Heber, dan klan bann Heberit; Malkiel, dan klan bann Malkielit. 
NUM.26.46	Fiy Aser ti apel Sera. 
NUM.26.47	Zot ti bann klan bann garson Aser. An tou ti annan 53,400 zonm resanse.
NUM.26.48	Bann desandan dan tribi Neftali, klan par klan: Yaseel, dan klan Yaseelit; Gouni, dan klan Gounit; 
NUM.26.49	Yeser, dan klan Yeserit; Silenm, dan klan Silemit. 
NUM.26.50	Sa ti bann klan Neftali, klan par klan, dapre resansman. Ti annan an tou 45,400 zonm.
NUM.26.51	An tou, ti annan 601,730 Izraelit.
NUM.26.52	SENYER ti dir avek Moiz: 
NUM.26.53	Diviz pei Kanaan par tribi dapre zot popilasyon e zot grander. 
NUM.26.54	Partaz later dapre grander sak tribi. En gran morso later pour sa ki pli gran, en pli pti morso pour sa ki pli pti. Partaz dapre rezilta resansman. 
NUM.26.55	Partaz ava ganny fer lo tiraz osor, dapre non sak tribi, zot zanset. 
NUM.26.56	Later ava ganny divize par tiraz osor. Donn en pli gran morso tribi ki pli gran, en par pli pti pour tribi ki pli pti, dapre rezilta resansman.
NUM.26.57	La tribi Levi par klan dapre resansman: Gersonn, sorti dan klan Gersonit; Keat, dan klan Keatit; Merari, dan klan Merarit.
NUM.26.58	La klan bann Levit: Bann Libnit, Hebronit, Malit, Mousit e bann Koreit. Keat ti papa Anmranm.
NUM.26.59	Fanm Anmranm ti apel Yokebed. I ti fiy Levi ki ti ne Lezip. I ti ganny de garson ek en fiy: Aaron, Moiz e zot ser Mirianm. 
NUM.26.60	Aaron ti ganny kat garson: Nadab, Abihou, Eleazar e Itamar. 
NUM.26.61	Nadab ek Abihou ti mor akoz zot ti prezant en dife ordiner devan SENYER.
NUM.26.62	Bann garson ki ti annan en mwan an montan, ti ganny konte apar. Zot pa ti ganny en par dan partaz later. Ti annan 23,000 zot an tou.
NUM.26.63	Tou sa bann klan ti ganny resanse par Moiz ek Eleazar dan laplenn Moab, obor larivyer Zourden, vizavi Zeriko.
NUM.26.64	Tou dimoun ki ti dan premye resansman ki Moiz ek Aaron ti'n fer dan dezer Sinai, ti'n mor. 
NUM.26.65	SENYER ti'n dir ki zot tou, zot pou mor dan dezer, eksepte Kaleb garson Zefoune ek Zozye, garson Noun.
NUM.27.1	Mala, Noa, Hogla, Milka ek Tirsa ti bann fiy Selofad, garson Efer, garson Galaad, garson Makir, garson Manase ek son klan, garson Zozef. 
NUM.27.2	Zot ti vin kot Moiz ek pret Eleazar. Tou bann sef tribi e kominote Izrael ti la devan lantre Latant Rankont. Zot ti dir: 
NUM.27.3	Nou papa in mor dan dezer; i pa ti parmi bann ki ti revolte kont SENYER dan group Kore. In mor avek son prop pese. I ti napa garson. 
NUM.27.4	Eski non nou papa devret disparet dan son klan, zis akoz i ti napa garson? Donn nou alor, en par propriyete nou papa, parmi nou bann frer.
NUM.27.5	Moiz ti prezant zot ka devan SENYER. 
NUM.27.6	SENYER ti koz avek Moiz: 
NUM.27.7	Bann fiy Selofad i annan rezon. Donn zot par propriyete zot papa; en par parmi bann frer zot papa devre vin pour zot.
NUM.27.8	Dir sa osi avek pep Izrael: Kan en zonm i mor san les deryer li en garson, son fiy ava erit son byen. 
NUM.27.9	Si i napa fiy, alor, donn son par son bann frer. 
NUM.27.10	Si i napa frer, alor, ou ava donn son par frer son papa. 
NUM.27.11	Si son papa napa frer, alor ou ava donn son par enn son fanmir pli pros.
NUM.27.11	Sa i pou en lalwa e en drwa pour bann Izraelit, parey SENYER in ordonn Moiz.
NUM.27.12	SENYER ti dir Moiz, “Mont lo montanny Abarim e get later ki mon'n donn bann Izraelit. 
NUM.27.13	Apre sa, ou pou mor parey ou frer Aaron. 
NUM.27.14	Annefe, zot tou le de, zot ti revolte kont mon lord dan dezer Sin. Kan lepep ti revolte kont mwan, ou pa ti fer konnen mon sentete devan zot.”
NUM.27.14	Sa ti lo size sours delo Meriba, savedir rebel, ki sorti Kades dan dezer Sin.
NUM.27.15	Moiz ti priy SENYER, 
NUM.27.16	“SENYER Bondye! Ou ki donn lavi tou sa ki ou'n kree, swazir en zonm pour diriz sa kominote 
NUM.27.17	pour komann zot dan lager, pour ki ou pep pa egare parey bann mouton san berze.”
NUM.27.18	SENYER ti dir Moiz, “Pran Zozye, garson Noun, en zonm ki mon lespri i lo li. Enpoz ou lanmen lo son latet. 
NUM.27.19	Prezant li devan pret Eleazar e devan kominote. La, devan zot tou, proklanm li koman ou sikseser. 
NUM.27.20	Donn li en par ou lotorite pour ki Izrael i obei li. 
NUM.27.21	I pou asiste pret Eleazar ki ava konsilte Ourim. Konmsa, i ava diriz Zozye e lepep ava swiv.”
NUM.27.22	Moiz ti fer sa ki SENYER ti'n dir li. I ti prezant Zozye devan pret Eleazar e devan kominote antye. 
NUM.27.23	I ti enpoz lanmen lo latet Zozye e proklanm li koman son sikseser, parey SENYER ti'n dir par lentermedyer Moiz.
NUM.28.1	SENYER ti dir Moiz: 
NUM.28.2	Donn sa bann lord pep Izrael: Dan letan fikse, zot ava ofer mon lofrann mon nouritir, brile par dife, ki donn loder ki fer mwan plezir.
NUM.28.3	Ou ava dir zot: La bann lofrann ki zot ava prezant devan SENYER: Tou le zour, de zenn mouton mal, aze enn e an san defo, koman en sakrifis konplet.
NUM.28.4	Ou ava ofer en zenn mouton bomaten e en lot zenn mouton, soley kouse.
NUM.28.5	Pour lofrann vezetal: En kilo lafarin melanze avek en lit delwil doliv pir. 
NUM.28.6	Sa i zot lofrann ordiner ki ganny brile parey sa ki ti ganny ofer lo montanny Sinai: En sakrifis konplet ki donn en loder ki fer plezir SENYER.
NUM.28.7	Pour lofrann bomaten, ou ava ofer en lit diven ki ou ava vers lo lotel pour sak zenn mouton devan SENYER. 
NUM.28.8	Ler soley i kouse, ou ava ofer lot zenn mouton avek menm lofrann delwil ek diven, parey bomaten. Sa i ava en lofrann brile par dife ki donn loder ki fer plezir SENYER.
NUM.28.9	Zour saba, ofer de mouton mal, aze enn an e san defo, avek de kilo lafarin petri ansanm avek delwil e avek son lofrann diven. 
NUM.28.10	Sa sakrifis konplet devret ganny ofer sak saba, an plis sakrifis ki zot ofer sak zour avek lofrann diven.
NUM.28.11	Lo konmansman sak mwan, zot ava ofer SENYER en sakrifis konplet: De toro, en mouton mal, set mouton enn an, san defo. 
NUM.28.12	An plis ki sa, pour sak toro, zot ava ofer en lofrann trwa kilo lafarin petri dan trwa lit delwil. Avek sa mouton mal, de kilo lafarin petri avek delwil. 
NUM.28.13	Avek sak mouton, ofer en kilo lafarin petri avek delwil. Sa i pou en sakrifis konplet ki donn loder ki fer plezir SENYER.
NUM.28.14	Lofrann diven ki ganny verse kot lotel ava konmsa: De lit pour en toro; en lit edmi pour en mouton mal; en lit pour sak mouton.
NUM.28.14	Sa i bann regleman pour bann sakrifis ofer konmansman sak mwan tou dilon lannen. 
NUM.28.15	An plis ki sa bann sakrifis ordiner e bann lofrann diven, zot ava ofer en bouk pour pardon pese.
NUM.28.16	Lafet Pak an loner SENYER devret ganny selebre katorzyenm zour premye mwan. 
NUM.28.17	Son lannmen, kenzyenm zour sa premye mwan, zot ava fer en lafet. Zot ava manz dipen san lelven pandan set zour. 
NUM.28.18	Son premye zour, zot ava fer en rasanbleman sakre: Sa zour, zot pa pou fer okenn travay. 
NUM.28.19	Zot ava ofer SENYER en sakrifis konplet: De toro, en mouton mal ek set zenn mouton mal enn an, san okenn defo. 
NUM.28.20	Zot ava azout lafarin petri dan delwil, trwa kilo pour en toro, de kilo pour en mouton mal, 
NUM.28.21	e en kilo pour sak mouton. 
NUM.28.22	Zot ava ofer avek sa sakrifis en bouk pour pardon pese. Konmsa, rekonsilyasyon dan ou faver i ganny fer.
NUM.28.23	Sa i ava en sakrifis an plis ki sakrifis ordiner pour tou le zour. 
NUM.28.24	Zot ava repet sa sakrifis tou le zour pandan sa set zour, en sakrifis konplet avek lofrann vezetal ki donn loder ki fer plezir SENYER.
NUM.28.25	Setyenm zour, ou ava konvok en lasanble spirityel. Zot pa pou fer okenn travay sa zour.
NUM.28.26	Zour ki ou prezant lofrann premye rekolt sereal devan SENYER, konvok en rasanbleman sakre. Zot pa pou fer okenn travay sa zour.
NUM.28.27	Zot ava ofer en sakrifis konplet ki fer plezir devan SENYER: De toro, en mouton mal ek set mouton enn an. 
NUM.28.28	Pour lofrann vezetal: Petri lafarin dan delwil: Nef kilo pour sak toro, sis kilo pour sak mouton mal, 
NUM.28.29	trwa kilo pour sak mouton enn an.
NUM.28.30	Ofer osi en bouk pour rityel pardon ou pese. 
NUM.28.31	Anplis, avek sa sakrifis konplet ek sereal tou le zour, ou ava ofer lofrann diven. Tousala devret san defo.
NUM.29.1	Premye zour, setyenm mwan, zot ava fer en rasanbleman sakre. Zot pa pou travay sa zour. I ava en zour lafet. 
NUM.29.2	Zot ava ofer en sakrifis konplet ki donn en loder ki fer plezir SENYER: En toro, en mouton mal adilt ek set zenn mouton mal, enn an, san okenn defo. 
NUM.29.3	Prezant en lofrann vezetal petri avek delwil doliv: Trwa kilo lafarin pour sak toro, de kilo pour sak mouton mal adilt, 
NUM.29.4	e kat kilo pour sak zenn mouton mal, enn an. 
NUM.29.5	Zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.6	Sa bann sakrifis ava anplis, avek sakrifis konplet pour nouvellin, son lofrann vezetal, ek bann sakrifis ordiner, son lofrann vezetal ek lofrann diven dapre regleman. Sa bann lofrann ava donn en loder ki fer plezir SENYER.
NUM.29.7	Dizyenm zour, setyenm mwan, zot ava fer en rasanbleman sakre. Zot pa devre manz nanryen, ni travay sa zour. 
NUM.29.8	Zot ava ofer en sakrifis konplet ki donn en loder ki fer plezir SENYER: En zenn toro, en mouton mal adilt ek set zenn mouton mal enn an. Zot devret san okenn defo.
NUM.29.9	Prezant zot lofrann vezetal meyer kalite petri avek delwil doliv: Trwa kilo lafarin pour sak toro, de kilo pour sak mouton mal adilt 
NUM.29.10	e en kilo pour sak zenn mouton mal enn an. 
NUM.29.11	Zot ava osi ofer en bouk pour rityel pardon zot pese, ansanm avek zot sakrifis konplet ordiner, son bann lofrann vezetal ek diven.
NUM.29.12	Kenzyenm zour dan setyenm mwan, konvok en rasanbleman sakre e selebre en lafet an loner SENYER pandan set zour. Zot pa devre travay sa zour. 
NUM.29.13	Premye zour, zot ava ofer en sakrifis konplet ki donn en loder ki fer plezir SENYER: 13 zenn toro, de bouk ek 14 zenn mouton mal, aze enn an e san okenn defo. 
NUM.29.14	Zot ava prezant en lofrann vezetal petri avek delwil doliv: Trwa kilo lafarin pour sak toro, de kilo pour sak mouton mal adilt, 
NUM.29.15	en kilo pour sak zenn mouton mal, enn an. 
NUM.29.16	An plis, ofer en bouk pour pardon zot pese, ansanm avek zot sakrifis konplet ordiner, zot lofrann vezetal avek diven.
NUM.29.17	Dezyenm zour, zot ava ofer 12 zenn toro, de mouton mal e 14 zenn mouton mal, enn an, tou san defo. 
NUM.29.18	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven dapre regleman 
NUM.29.19	Zot ava osi ofer en bouk pour pardon pese apar sakrifis konplet ordiner, bann lofrann vezetal ek diven.
NUM.29.20	Trwazyenm zour, zot ava ofer 11 zenn toro, de mouton mal adilt ek 14 zenn mouton mal, enn an, tou san okenn defo. 
NUM.29.21	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven dapre regleman. 
NUM.29.22	Anplis zot sakrifis konplet ordiner ek zot lofrann vezetal ek diven, zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.23	Katriyenm zour, zot ava ofer dis zenn toro, de mouton mal adilt ek 14 zenn mouton mal, enn an, tou san defo. 
NUM.29.24	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven dapre regleman. 
NUM.29.25	Anplis zot sakrifis konplet ordiner ek zot lofrann vezetal ek diven, zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.26	Senkyenm zour, zot ava ofer nef zenn toro, de mouton mal adilt ek 14 zenn mouton mal, enn an, zot tou san defo. 
NUM.29.27	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven dapre regleman. 
NUM.29.28	Anplis zot sakrifis konplet ordiner ek zot lofrann vezetal ek diven, zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.29	Sizyenm zour, zot ava ofer wit zenn toro, de mouton mal adilt ek 14 zenn mouton mal, enn an, zot tou san defo. 
NUM.29.30	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven dapre regleman. 
NUM.29.31	Anplis zot sakrifis konplet ordiner, ek zot lofrann vezetal ek diven, zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.32	Setyenm zour, zot ava ofer set zenn toro, de mouton mal adilt ek 14 zenn mouton mal, enn an, zot tou san defo. 
NUM.29.33	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven parey in ganny ordonnen. 
NUM.29.34	Anplis zot sakrifis konplet ordiner, ek zot lofrann vezetal ek diven, zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.35	Wityenm zour, zot ava konvok en dernyen rasanbleman sakre. Zot pa devre fer okenn travay sa zour. 
NUM.29.36	Zot ava ofer en sakrifis konplet ki donn en loder ki fer plezir SENYER: En toro, en mouton mal ek set zenn mouton mal, enn an, san defo. 
NUM.29.37	Zot ava osi ofer avek sakrifis bann toro, mouton mal, ek bann zenn mouton, lofrann vezetal ek diven dapre regleman. 
NUM.29.38	Anplis sa sakrifis konplet ordiner, ek zot lofrann vezetal ek diven, zot ava osi ofer en bouk pour pardon zot pese.
NUM.29.39	Sa i bann regleman konsernan bann sakrifis konplet ordiner, lofrann vezetal ek lofrann diven ek bann sakrifis lakominyon ki zot ava ofer SENYER kan zot oule, oubyen pour akonpli en ve.
NUM.29.40	Moiz ti dir pep Izrael tou sa ki SENYER ti'n ordonn li.
NUM.30.1	Moiz ti koz avek bann sef tribi dan Izrael e donn zot sa bann lord swivan: La sa ki SENYER in ordonnen: 
NUM.30.2	Kan en zonm i fer en ve anver SENYER, oubyen pran en langazman avek serman anver li menm, i pou bezwen gard son parol; i ava fer parey i'n promet.
NUM.30.3	Kan en zenn fanm ki pe ankor reste kot son paran i fer en ve anver SENYER, e en langazman pour li menm, 
NUM.30.4	si son papa i konnen ki i'n fer sa ve oubyen sa promes e ki i pa dir li nanryen, tou son ve ava valab, tou langazman ki i'n fer pou osi valab. 
NUM.30.5	Me si ler i tande, son papa i met lobzeksyon, tou son bann ve e tou son bann langazman ki i'n pran pou tonbe. SENYER ava pardonn li, akoz son papa pa ti dakor avek li.
NUM.30.6	Si avan son maryaz i ti'n fer en ve oubyen i ti'n pran en langazman. 
NUM.30.7	I bezwen gard son ve e tenir son langazman; amwen ki son mari ti'n met lobzeksyon ler i ti tande. 
NUM.30.8	Me si zour i ti tande, son mari ti met lobzeksyon, ve oubyen langazman ki son fanm ti'n fer pou ganny annile: SENYER pou pardonn li.
NUM.30.9	En vev oubyen en fanm divorse ki fer en ve, devret tenir son langazman.
NUM.30.10	Me si sa fanm ti'n fer son ve oubyen son serman anver li menm letan i ti'n marye, 
NUM.30.11	e ki son mari pa ti dir nanryen ler i ti konnen, e i pa'n dezaprouve, alor tou son bann ve e tou son bann langazman anver li menm i reste valab. 
NUM.30.12	Me si, zour i aprann, son mari ti deside anil tou, alor son ve ek son langazman anver li menm pou tonbe. SENYER pou pardonn li, akoz son mari ki'n anil tou.
NUM.30.13	En mari i annan tou drwa mentenir oubyen anil nenport ve oubyen langazman ki son fanm in fer. 
NUM.30.14	Me, si zour son mari i tande, i pa met okenn lobzeksyon ziska son lannmen, son fanm i bezwen akonpli tou ve oubyen tou langazman ki i ti'n fer anver li menm. Sa i akoz i pa ti'n dir nanryen zour i ti konnen. 
NUM.30.15	Me si plitar, son mari i deside anil tousala, i pou responsab fot son fanm.
NUM.30.16	Sa i bann regleman ki SENYER ti donn Moiz konsernan bann rapor ant en mari ek son fanm, oubyen ant en papa ek son fiy anba laz ki ankor pe reste anba son twa.
NUM.31.1	SENYER ti koz avek Moiz. I ti dir li: 
NUM.31.2	Pini bann Madyanit pour sa ki zot in fer pep Izrael. Apre, ou ava kapab al kot ou bann zanset.
NUM.31.3	Alor, Moiz ti dir pep Izrael: Met zot pare pour al lager e atak bann Madyanit, pour zot egzekit vanzans SENYER lo Madyann. 
NUM.31.4	Zot ava anvoy 1,000 gerye sorti dan sak tribi Izrael pour al lager.
NUM.31.5	Alor, parmi bann milye zonm dan Izrael, 1,000 zonm ti ganny swazir dan sak tribi; an tou 12,000 ti met zot pare pour al lager. 
NUM.31.6	Moiz ti anvoy zot lager 1,000 par tribi ansanm avek Fineas, garson pret Eleazar ki ti ansarz bann lobze sakre ek bann tronpet. 
NUM.31.7	Zot ti al atak Madyann parey SENYER ti'n ordonn Moiz; zot ti touy tou bann zonm. 
NUM.31.8	Zot ti touy osi sa senk lerwa Madyann: Evi, Rekenm, Zour, Hour, Reba. Zot ti osi touy Balaanm, garson Beor. 
NUM.31.9	Pep Izrael ti pran prizonnyen bann fanm Madyanit ek zot zanfan. Zot ti sezi zot bann zannimo, zot troupo ek tou zot byen koman piyaz lager. 
NUM.31.10	Zot ti met dife partou dan bann lavil ek kanpman. 
NUM.31.11	Zot ti anmenn avek zot, tou sa bann byen ki zot ti'n sezi, enkli dimoun ek zannimo. 
NUM.31.12	Zot ti anmenn bann prizonnyen ek bann byen kot Moiz, pret Eleazar e devan pep Izrael ki ti pe kanpe dan laplenn Moab, obor larivyer Zourden, vizavi Zeriko.
NUM.31.13	Moiz, pret Eleazar ek tou bann sef kominote ti sorti dan kanpman pour al zwenn zot. 
NUM.31.14	Moiz ti pran lakoler kont sa bann komandan larme: Bann sef 1,000 ek sef 100 ki ti'n retournen sorti lager. 
NUM.31.15	I ti demann zot: Akoz zot in gard tou sa bann fanm vivan? 
NUM.31.16	Zot menm zot sa bann fanm ki, lo konsey Balaanm, ti antrenn bann Izraelit dan lenfidelite anver SENYER, kan nou ti kanpe Peor. Akoz zot ki sa fleo ti tonm lo pep SENYER. 
NUM.31.17	Aprezan, al touy tou bann zenn garson ek tou bann fanm ki'n deza dormi avek en zonm. 
NUM.31.18	Me gard pour zot, tou bann zenn fiy ki pa ankor dormi avek en zonm. 
NUM.31.19	Zot ava reste an deor kan pandan set zour. Sa bann parmi zot ki'n touy dimoun oubyen ki'n tous en kadav, ava bezwen pirifye zot ek zot prizonnyen, trwazyenm zour e setyenm zour. 
NUM.31.20	Zot bezwen pirifye tou zot lenz, tou lobze an kwir, avek pwal kabri, ek tou bann lobze an bwa.
NUM.31.21	Pret Eleazar ti dir avek bann gerye ki ti'n al lager: La bann regleman ki SENYER in donn Moiz: 
NUM.31.22	Lor, larzan, bronz, feray, ferblan, diplon, 
NUM.31.23	ava bezwen pas dan dife pour ganny pirifye. Me zot ava osi ganny pirifye avek delo pirifikasyon. Tou sa ki pa reziste dife ava pas dan delo. 
NUM.31.24	Setyenm zour, zot ava lav zot lenz e zot ava vin pir. Apre, zot ava kapab antre dan kan.
NUM.31.25	SENYER ti dir Moiz: 
NUM.31.26	Ou, avek pret Eleazar, bann sef fanmir dan kominote, fer lenvanter tou sa bann depouy lager, dimoun ek zannimo. 
NUM.31.27	Partaz tousala an de: En par pour bann zonm ki ti al lager, en lot pour kominote. 
NUM.31.28	Dan par bann zonm ki ti al lager, tir en par pour SENYER: En zonm lo sak 500, en zannimo lo sak 500, bef, bourik, kabri ek mouton. 
NUM.31.29	Ou ava pran sa lo zot par e ou ava donn pret Eleazar koman en don pour SENYER. 
NUM.31.30	Lo lanmwatye ki vin pour pep Izrael, ou ava pran enn lo sak 50 dimoun, bef, bourik, mouton oubyen kabri, ek tou zannimo. Ou ava donn sa bann levit ki asir servis dan Latant prezans SENYER.
NUM.31.31	Moiz ek pret Eleazar ti fer sa ki SENYER ti'n ordonn Moiz.
NUM.31.32	La tou sa ki zot ti sezi dan lager: Kabri ek mouton 675,000; 
NUM.31.33	bef: 72,000; 
NUM.31.34	bourik: 61,000. 
NUM.31.35	An sa ki konsern bann et imen, savedir bann fiy ki pa'n dormi avek en zonm, ti annan 32,000 an tou. 
NUM.31.36	Pour sa lanmwatye par ki ti vin pour bann zonm ki ti al fer lager, ti annan 337,500 kabri ek mouton. 
NUM.31.37	Par pour SENYER: 675 kabri ek mouton. 
NUM.31.38	Lo 36,000 bef, 72 ti vin pour SENYER. 
NUM.31.39	Lo 30,500 bourik, 61 ti vin pour SENYER. 
NUM.31.40	Lo 16,000 dimoun, 32 ti vin pour SENYER. 
NUM.31.41	Moiz ti donn pret Eleazar, par ki ti ganny rezerve pour SENYER, parey SENYER ti'n ordonnen par lentermedyer Moiz.
NUM.31.42	Konsernan sa lanmwatye ki ti vin pour pep Izrael, ki Moiz ti'n tire lo bann zonm ki ti al lager, 
NUM.31.43	sa lanmwatye ki ti vin pour kominote: 337,500 kabri ek mouton; 
NUM.31.44	bef: 36,000; 
NUM.31.45	bourik: 30,500 
NUM.31.46	ek 16,000 et imen.
NUM.31.47	Parey SENYER ti'n ordonn li, Moiz ti tir lo par pep Izrael 50 zonm ek zannimo. I ti donn sa avek bann levit ki ti responsab servis dan tanp SENYER.
NUM.31.48	Bann zofisye ki ti komann bann inite plis ki 1,000 dan kanpanny larme; sef 1,000 ek sef 100 ti apros Moiz. 
NUM.31.49	Zot ti dir li: Nou'n kont tou bann zonm ki ti anba nou komann e napa okenn ki manke. 
NUM.31.50	Alor, nou pou anmenn pour SENYER tou sa bann lobze ki nou'n sezi: Lobze annor, sennon, brasle, bag, zanno, kolye. Nou pe anmenn tousala devan SENYER koman lofrann pardon pour nou pese.
NUM.31.51	Moiz ek pret Eleazar ti resevwar tou sa bann bizou. 
NUM.31.52	Lor ki sa bann zofisye larme ti anmennen koman par pour SENYER, ti fer an tou 200 kilo. 
NUM.31.53	Bann zonm ki pa ti zofisye, ti gard pour zot sa ki zot ti'n sezi. 
NUM.31.54	Alor, Moiz ek pret Eleazar ti pran sa lor sorti kot bann komandan 1,000 ek 100 e poz dan Latant Rankont, koman en memoryal devan SENYER.
NUM.32.1	Tribi Riben ek Gad ti annan bann gran troupo zannimo. Ler zot ti remarke ki teritwar Yazer ek Galaad ti bon pour elvaz zannimo, 
NUM.32.2	zot ti vin koz avek Moiz, pret Eleazar ek tou bann sef kominote. Zot ti dir: 
NUM.32.3	Atarot, Dibonn, Yazer, Nimra, Hesbonn, Eleale, Sebanm, Nebo, Beonn, rezyon ki SENYER in donn nou, 
NUM.32.4	i bon pour elvaz zannimo e ou bann serviter i annan bokou zannimo. 
NUM.32.5	Si ou dakor, donn nou sa rezyon pour nou okipe; i ava vin nou posesyon. Pa fer nou travers larivyer Zourden.
NUM.32.6	Moiz ti dir avek sa bann garson Riben ek Gad, “Zot bann frer pou al lager tandis ki zot, zot pou reste isi deryer? 
NUM.32.7	Akoz zot anvi dekouraz lepep e anpes zot travers larivyer Zourden pour al dan later ki SENYER in promet? 
NUM.32.8	Zot zanset ti fer parey ler mon ti anvoy zot depi Kades Barnea pour eksplor pei. 
NUM.32.9	Zot ti al ziska dan vale Eskol pour eksplor pei. Me ler zot ti retournen, zot ti dekouraz pep Izrael pou antre dan sa pei ki SENYER in donn zot. 
NUM.32.10	Lakoler SENYER ti sape sa zour. I ti fer sa promes: 
NUM.32.11	Akoz zot pa'n obei mwan, tou sa bann ki'n sorti Lezip, apartir laz 20 an, pa pou antre dan pei ki mon'n promet Abrahanm, Izaak, ek Zakob, 
NUM.32.12	eksepte Kaleb, garson Zefoune, en Kenizit ek Zozye, garson Noun ki'n swiv fidelman parol SENYER. 
NUM.32.13	SENYER ti ankoler kont pep Izrael e ti fer zot vir vire dan dezer pandan 40 an, ziska ki sa zenerasyon ki pa ti oule obei SENYER ti'n disparet. 
NUM.32.14	Aprezan, zot desandan sa bann zonm peser, zot oule swiv legzanp zot zanset? Zot pare pour fer lakoler SENYER tonm pli for lo pep Izrael? 
NUM.32.15	Si zot refize obei li, i pou kontinyen les Izrael dan dezer e zot pou responsab lanmor tou sa pep.”
NUM.32.16	Zot ti apros Moiz e zot ti dir, “Nou pou aranz landrwa, konstri park pour nou troupo e konsolid bann lavil pour nou bann fanmir. 
NUM.32.17	Apre sa, nou pou pare pour nou pran zarm pour al lager ansanm avek nou bann frer Izraelit, ziska ki zot ava'n etabli zot. Nou bann dimoun ava pe viv an sekirite dan sa pei. 
NUM.32.18	Nou pou retourn kot nou selman kan tou Izraelit ava'n fini resevwar sakenn son patrimwann. 
NUM.32.19	Nou pa pou pran okenn par dan zot patrimwann ki lo lot kote larivyer Zourden, akoz nou ava'n fini ganny nou par dan kote Les.”
NUM.32.20	Moiz ti dir zot, “Si zot fer parey zot in dir; si zot pran zarm pour al konbat pour SENYER; 
NUM.32.21	si tou zot bann zonm i travers larivyer Zourden e konbat pour SENYER ziska laviktwar total lo bann lennmi; 
NUM.32.22	si zot reste laba ziska ki SENYER in sas tou bann lennmi, alor, zot ava lib devan SENYER ek Izrael pour promes ki zot in fer. Alor, SENYER ava rekonnet ki tou sa teritwar lo kote Les larivyer Zourden i pour zot. 
NUM.32.23	Me si zot pa gard zot promes, mon averti zot ki zot pou komet en pese devan SENYER. Konnen ki i pou pini zot pour sa pese. 
NUM.32.24	Al konstri bann lavil pour zot zanfan, fer park pour zot troupo, me pa oubliye pour fer sa ki zot in dir.”
NUM.32.25	Bann Gadit ek bann Ribenit ti dir Moiz, “Ou bann serviter pou fer parey ou'n demande. 
NUM.32.26	Nou bann zanfan, nou fanm avek nou bann zannimo pou reste dan bann lavil Galaad. 
NUM.32.27	Nou tou, nou pare pour al lager anba komann SENYER parey ou'n dir.”
NUM.32.28	Alor, Moiz ti donn lord lo zot size avek pret Eleazar ek Zozye, garson Noun e avek bann sef bann fanmir dan tribi Izrael. 
NUM.32.29	I ti dir zot: Si bann Gadit ek bann Ribenit i travers larivyer Zourden avek zot pour al lager devan SENYER, e pei Kanaan i soumet anba pwisans SENYER, teritwar Galaad ava vin pour zot. 
NUM.32.30	Me si zot pa travers larivyer Zourden pour al lager avek zot, zot ava ganny en par propriyete parmi zot dan pei Kanaan.
NUM.32.31	Bann Gadit ek bann Ribenit ti reponn, “Nou pou fer sa ki SENYER in dir avek son bann serviter. 
NUM.32.32	Anba komann SENYER, nou pou travers larivyer Zourden e al lager, pour ki nou gard nou par patrimwann lo kote Les larivyer Zourden.”
NUM.32.33	Alor, Moiz ti donn tribi Gad, Riben ek demi tribi Manase, garson Zozef, tou rwayonm lerwa Sihonn, lerwa bann Amorit, ek Og, lerwa Basann, osi bann teritwar ki ti dan zalantour. 
NUM.32.34	Tribi Gad ti konstri bann lavil Dibonn, Atarot, Aroer, 
NUM.32.35	Atrot-Sofann, Yazer, Yogboa, 
