GEN.1.1	Fɔlɔfɔlɔ, Alla ka sankolo dan ka duukolo dan, 
GEN.30.2	Yakuba jusu bɔra. A ka a fɔ a yɛ ko: «N ye Alla le ɲɔɔn jala wo rɔ wa? Ale le ma i lakanya den sɔrɔnna wa?» 
GEN.30.3	Rasɛli kan ko: «Nba, n na jɔnmuso Bilaha ta, i ye si a fɛ, sa a ri den sɔrɔn n yɛ, sa n fanan di kɛ denbatii ri.»
GEN.30.4	Wo rɔ, Rasɛli ka a la jɔnmuso Bilaha di Yakuba ma, ka a kɛ a muso ri. Yakuba ni wo sira. 
GEN.30.5	Bilaha ka kɔnɔ ta Yakuba la, ka dencɛ sɔrɔn a yɛ. 
GEN.30.6	Rasɛli kan ko: «Alla ra jo di n ma. N ka mɛn fɔ, a ra wo mɛn ka n sɔ dencɛ la.» Wo le rɔ, Rasɛli ka den wo tɔɔ la ko Daan
GEN.30.7	Rasɛli la jɔnmuso Bilaha ka kɔnɔ ta Yakuba la ikɔ, ka a dencɛ filanan sɔrɔn a yɛ. 
GEN.30.8	Rasɛli kan ko: «Nde ni n kɔrɔmuso bilani tɛrɛ an ɲɔɔn na kojuuya. Sisen, n kɔnin da se a la.» Wo le rɔ, a ka den wo tɔɔ la Nefitali
GEN.30.9	Nba, Leya ka a yen tuma mɛn na ko a tɛ kɔnɔ ta la butun, a ka a la jɔnmuso Silipa ta ka a di Yakuba ma ka a kɛ a muso ri. 
GEN.30.10	Silipa ka kɔnɔ ta. A ka dencɛ sɔrɔn Yakuba yɛ tuma mɛn na, 
GEN.30.11	Leya kan ko: «N da kunnadiya.» Wo le rɔ, a ka den wo tɔɔ la ko Kadi
GEN.30.12	Silipa ka kɔnɔ ta ikɔ tuunni. A ka a dencɛ filanan sɔrɔn Yakuba yɛ tuma mɛn na, 
GEN.30.13	Leya kan ko: «Ɛɛ, n da sewa kosɛbɛ. Musoilu ri a fɔ n ma sisen ko mɔɔ ɲalenni le n di.» Wo le rɔ, a ka den wo tɔɔ la ko Asɛri
GEN.30.14	Suman ka waati, Rubɛn wara jiri lulu doilu tɛrɛn sɛnɛ rɔ. A ka lulu woilu bɔ ka na alu di a na ma. Rasɛli ka jiri lulu woilu yen Leya bolo tuma mɛn na, a kan ko: «I jaandi, i ye n sɔ i dencɛ la ɲanman basi jiri lulu doilu rɔ.»
GEN.30.15	Kɔni Leya ka a jabi: «I ra n cɛ bɔ n bolo kɔni wo ma i wasa, ko di? I ri n dencɛ la ɲanman basi jiri lulu fanan bɔ n bolo wa?» Rasɛli kan ko: «Ale le wo ri. Ni i ka n sɔ i dencɛ la ɲanman basi jiri lulu rɔ, n na cɛ Yakuba ri si i fɛ su ɲin dɔ.» Leya sɔnda wo ma.
GEN.30.16	Wura fɛ, Yakuba nara ka bɔ sɛnɛ rɔ. Leya ka i bori ka wa a kunbɛn, ka a fɔ a yɛ ko: «I sitɔ nde le wara bi. N da i sɔrɔn n dencɛ la ɲanman basi jiri lulu la.» Yakuba sira Leya fɛ su wo rɔ. 
GEN.30.17	Alla tolo tɛrɛ ye Leya la tarali kan na. Wo rɔ, Leya ka kɔnɔ ta ka a dencɛ looluna sɔrɔn Yakuba yɛ. 
GEN.30.18	Leya kan ko: «Alla ra n sara ka a masɔrɔn n ka n na jɔnmuso di n cɛ ma.» Wo le rɔ, a ka dencɛ wo tɔɔ la ko Isakari
GEN.30.19	Leya ka kɔnɔ ta ikɔ tuunni ka a dencɛ wɔɔrɔna sɔrɔn Yakuba yɛ. 
GEN.30.20	A kan ko: «Alla ra ko ba kɛ n yɛ. N cɛ ri n bonya sisen, ka a masɔrɔn n da dencɛ wɔɔrɔ sɔrɔn a yɛ.» Wo le rɔ, a ka den wo tɔɔ la ko Sabulɔn
GEN.30.21	Wo kɔ rɔ, a ka denmuso fanan sɔrɔn, ka wo tɔɔ la ko Dina.
GEN.30.22	Nba, Alla hankili tora Rasɛli la ko kɔ, ka a la tarali kan namɛn, ka den ko nɔɔya a yɛ. 
GEN.30.23	Wo rɔ, a ka kɔnɔ ta ka dencɛ sɔrɔn. A kan ko: «Alla ra maloya bɔ n na. 
GEN.30.24	Allabatala ye dencɛ gbɛrɛ la ɲin kan.» Wo le rɔ, a ka den wo tɔɔ la ko Yusufu
GEN.30.25	Nba, Rasɛli ka Yusufu sɔrɔn tuma mɛn na, Yakuba ka a fɔ Laban yɛ ko: «Sila di n ma. N ye n kɔseyi n wara. 
GEN.30.26	I ye n musoilu ni n denilu di n ma. N ka baara kɛ i yɛ, woilu le la ko rɔ. I ye alu di n ma, sa n di wa. N da baara mɛn kɛ i yɛ, i jɛrɛ ka wo lɔn.» 
GEN.30.27	Laban ka a jabi: «N fa, i sabari. N da ɲaɲininnin kɛ ka a yen ko Allabatala ka baraka don n ko rɔ ile le la ko kosɔn. 
GEN.30.28	Wo rɔ, i sara ka kan ka bɛn mɛn na, i ye wo fɔ n yɛ. N di wo di i ma.» 
GEN.30.29	Yakuba ka a jabi: «Nde ka baara kɛ i yɛ ɲa mɛn ma, i jɛrɛ ka wo lɔn. I la kolofenilu siyayara ɲa mɛn ma nde bolo, i ka wo fanan lɔn. 
GEN.30.30	N nara kolofen mɛn tɛrɛn i bolo, woilu ma siya tɛrɛ, kɔni sisen, alu ra siyaya ka kɛ kolofen kuru ba ri. Allabatala ka baraka don i la ko rɔ nde le la ko kosɔn. Wo rɔ, n tɛ baara kɛ n jɛrɛ yɛ sisen, ka n na denbaya balo wa?»
GEN.30.31	Laban kan ko: «N ye nfen di i ma ka a kɛ i sara ri?»
GEN.30.31	Yakuba ka a jabi: «I kana foyi di nde ma, kɔni ni i ka ko kelen pe ɲin kɛ n yɛ, n di to yan ka i la saailu gbɛn ka alu kanda. 
GEN.30.32	I ye diɲɛ, n ye wa i la kolofen bɛɛ kɔrɔsi bi. N wa kolofen finman mɛnilu yen, n di woilu bɔ a rɔ, a ni kolofen manɲɛɛnman. Woilu ri kɛ n sara ri. 
GEN.30.33	Lon do natɔ, ni i ka n na kolofen kɔrɔsi i ri a lɔn ni n telenni wala n telenni tɛ. Ni i ka ba do yen n bolo, mɛn manɲɛɛnman tɛ, i ri a lɔn ko n da wo sonya ile ma. Ni i ka saa do yen n bolo, mɛn finni tɛ, i ri a lɔn ko n da wo sonya ile ma.» 
GEN.30.34	Laban kan ko: «Ale le wo ri. I ka a fɔ ɲa mɛn ma, a ri kɛ wo ɲa ma.»
GEN.30.35	Wo lon kelen, Laban wara bakɔrɔn manɲɛɛnman ni bamuso manɲɛɛnman bɛɛ bɔ a la kolofenilu rɔ. Fen fen, ni gbɛ ye a rɔ, a ka wo bɛɛ bɔ alu rɔ. A ka saa finilu la woilu kan ka a bɛɛ karifa a dencɛilu la. 
GEN.30.36	Alu ka tele sawa taama kɛ kolofen woilu ri ka alu mabɔ Yakuba la fewu! Yakuba tora Laban na kolofenilu gbɛnna ka alu lakanda.
GEN.30.37	Nba, Yakuba ka jiribolo kɛndɛ doilu tɛɛ jiri su sawa la, pepiliye, amande
GEN.30.38	A ka jiribolo kɛndɛ manɲɛɛnnin woilu bilabila bailu la jiminfen kɔndɔ, sa bailu wa na alu min diya, alu ri jiribolo manɲɛɛnnilu yen, baa bailu ye yɛlɛla i ɲɔɔn kan i min waati le. 
GEN.30.39	Alu wa yɛlɛ i ɲɔɔn kan jiribolo woilu ɲɛ, alu ri den manɲɛɛnilu sɔrɔn.
GEN.30.40	Yakuba ka saamusoilu bɔ kolofen tɔilu rɔ, ka alu bila Laban na saa manɲɛɛnilu ni finmanilu ɲakɔrɔ, sa alu ri Laban na saa woilu yen. Wo rɔ, Yakuba la saa woilu ka den manɲɛɛnman ni den finmanilu sɔrɔn. Wo bolo ma, Yakuba ka kolofen kuru sɔrɔn a jɛrɛ yɛ. A ma sɔn a ta ni Laban ta ye basan.
GEN.30.41	Ni kolofen tɔlɔnninilu nara ka i min, Yakuba ri jiribolo manɲɛɛnilu bila jiminfen kɔndɔ alu ɲakɔrɔ. Wo rɔ, alu ri yɛlɛ i ɲɔɔn kan jiribolo dafɛ, 
GEN.30.42	kɔni ni kolofen baraninilu nara ka i min, Yakuba tɛ jiribolo bila jiminfen kɔndɔ alu ɲakɔrɔ. Wo bolo ma, kolofen baranin denilu kɛra Laban ta ri, kɔni kolofen tɔlɔnni denilu kɛra Yakuba ta ri.
GEN.30.43	Nba, Yakuba kɛra fentii ri wo ɲa le ma. A ka kolofen misɛn siyaman sɔrɔn. A ka jɔnilu fanan sɔrɔn, a ni ɲɔɔmɛilu ni falilu.
GEN.31.1	Laban dencɛilu tɛrɛ ye a fɔla ko: «Yakuba ra an fala nanfulu bɛɛ ta. A ra a jɛrɛ kɛ fentii ri wo rɔ an fa bolofen dɔ.» Wo kuma fɔra Yakuba yɛ. 
GEN.31.2	Yakuba ka Laban nakɔrɔsi ka a yen ko Laban tɛrɛ ye a mirila a ma ɲa mɛn ma fɔlɔ, a tɛ a mirila a ma wo ɲa ma butun.
GEN.31.3	Lon do rɔ, Allabatala ka a fɔ Yakuba yɛ ko: «I kɔseyi i fa so la, ka wa i badenmailu tɛma. N di to i fɛ.» 
GEN.31.4	Wo rɔ, Yakuba ka kela di Rasɛli ni Leya ma ko alu ye na a tɛrɛn wula kɔndɔ, a la kolofen ye yɔrɔ mɛn. 
GEN.31.5	Alu seni ye, Yakuba ka a fɔ alu yɛ ko: «N da a yen ai fa ɲa rɔ ko a tɛrɛ ye mirila n ma ɲa mɛn ma fɔlɔfɔlɔ, a tɛ mirila n ma wo ɲa ma butun, kɔni n fa Maari Alla ra to n fɛ. 
GEN.31.6	Ai jɛrɛ ka a lɔn ko n da baara kɛ ai fa yɛ n fanka bɛɛ la. 
GEN.31.7	Hali wo, ai fa ka n janfa, ka do bɔ n sara la ko tan, kɔni Alla ma sɔn a ye kojuu kɛ n na. 
GEN.31.8	Ni ai fa ka a fɔ ko finman ni gbɛman ye kolofen mɛnilu rɔ, ko woilu ri kɛ n sara ri, nba, kolofen bɛɛ ra kɛ finman ni gbɛman di. Ni a ka a fɔ ko kolofen mɛnilu manɲɛɛnnin, ko woilu ri kɛ n ta ri, nba, kolofen bɛɛ ri manɲɛɛn. 
GEN.31.9	Alla le ka ai fa la kolofenilu bɔ a bolo ka alu di nde ma.»
GEN.31.10	Yakuba ka a fɔ a musoilu yɛ ikɔ tuun ko: «Kolofen ye yɛlɛla i ɲɔɔn kan waati mɛn na, n sibora. N ka a yen sibo rɔ ko bakɔrɔn mɛnilu ye yɛlɛla bamusoilu kan, wo bɛɛ manɲɛɛnnin de. 
GEN.31.11	Wo waati rɔ, Alla la mɛlɛka ka a fɔ n yɛ ko: ‹Yakuba.› N kan ko: ‹Naamun.› 
GEN.31.12	A kan ko: ‹Bakɔrɔn mɛnilu ye yɛlɛla bamusoilu kan, i ye woilu kɔrɔsi. A bɛɛ manɲɛɛnnin de. A ye wo ɲa le ka a masɔrɔn Laban ka fen fen kɛ i la, n ka wo bɛɛ yen.› 
GEN.31.13	A kan ko: ‹Alla le nde ri, mɛn ka a jɛrɛ yiraka i la Betɛli. I ka tulu kɛ kabakurun kan dinkira mɛn dɔ ka a kɛ tɔɔmasere ri, ka i dakan ta n yɛ. Nba, sisen, i wuli ka bɔ jamana ɲin dɔ, ka i kɔseyi i fa so la.›»
GEN.31.14	Rasɛli ni Leya ka a jabi: «An tɛ foyi sɔrɔnna yan an fa la cɛɛrɔ a la saya kɔrɔ. 
GEN.31.15	An fa jɛrɛ tɛ an jatela foyi ri sisen fo siya gbɛrɛ mɔɔ. A ra an san, ka an furu fen bɛɛ damunun ka a ban.» 
GEN.31.16	Alu kan ko: «Alla ra nanfulu mɛn bɛɛ mira an fa la ka a di i ma, an ta le wo bɛɛ ri, a ni an denilu. Nba, Alla ka mɛn fɔ i yɛ, i ye wo kɛ fasayi.»
GEN.31.17	Wo rɔ, Yakuba wulira ka a musoilu ni a denilu layɛlɛ ɲɔɔmɛilu kan, ka sila mira ka wa. 
GEN.31.18	A ka a la kolofen bɛɛ bila a ɲɛ ka wa a fa Isiyaka wara, Kanaan jamana rɔ. A ka a la kolofenilu ni a bolofen bɛɛ ta, a tun ka fen fen sɔrɔn Padani Aramu.
GEN.31.19	Alu watɔla, Rasɛli ka a fa Laban na jooilu sonya ka wa alu ri a bolo. A ka woilu sonya a fa kɔ ma, baa Laban wani tɛrɛ a la saailu si mali diya.
GEN.31.20	Yakuba ka Aramu bɔnsɔn Laban janfa wo ɲa le ma. A ma a sara a la fo ka a dokon a ma ka wa. 
GEN.31.21	A ka a bolofen bɛɛ ta ka a bori. A ka Efirati ba tɛɛ, ka wa Kiliyadi koyinkɛ jamana fan fɛ.
GEN.31.22	Yakuba wa tele sawanan lon, a fɔra Laban yɛ ko Yakuba ra a bori.
GEN.31.23	Laban ka a badenmailu ladɛn ka wa Yakuba kɔ. Alu ka tele wɔrɔnwula kɛ a kɔsaranna. Alu ka Yakuba tɛrɛn Kiliyadi koyinkɛ yɔrɔ rɔ, 
GEN.31.24	kɔni sani alu ye i ɲɔɔn yen, Alla ka a jɛrɛ yiraka Aramu bɔnsɔn Laban na sibo rɔ, ka a fɔ a yɛ ko: «Laban, i ye a kɛ koɲuma. I kana Yakuba danka, i kana duwawu kɛ a yɛ!»
GEN.31.25	Nba, Laban wara Yakuba tɛrɛn tumana mɛn na, Yakuba tun da a la faaninbonilu lɔ koyinkɛ do le kan. Laban ni a badenmailu ka alu la faaninbonilu lɔ Kiliyadi koyinkɛilu kɔrɔ. 
GEN.31.26	Laban wara ka a fɔ Yakuba yɛ ko: «I ka nfen de ko kɛ n na ɲin ten? I ra janfa don n ma ka n denmusoilu ta ikomin jɔn ye mirala kɛlɛ rɔ ɲa mɛn ma. 
GEN.31.27	Nfenna i ka i dooko n ma ka i bori? I ma i sara n na fo ka n janfa. Ni wo tɛ, n tun di tolon ba kɛ i yɛ. An tun di sewa ka donkilila, ka dundun fɔ, ka kora fɔ ka i bilasila. 
GEN.31.28	Hali ka n denmusoilu ni n mamarenilu kɔndɔn, i ma wo fɛrɛ di n ma. I na nfen nalonmaya ko kɛla ɲin di? 
GEN.31.29	An ye yɔrɔ mɛn dɔ ɲin, a se ye n yɛ ka kojuu kɛ i la, kɔni su taminni, i fa Maari Alla kumara n yɛ sibo rɔ. A kan ko: ‹Laban, i ye a kɛ koɲuma. I kana Yakuba danka, i kana duwawu kɛ a yɛ.› 
GEN.31.30	Nba, n ka a lɔn ko i kunfani ba le tɛrɛ ka wa i fa so la, kɔni nfenna i ka n na jooilu sonya?» 
GEN.31.31	Yakuba ka Laban jabi: «N ka n bori ka a masɔrɔn n silanni tɛrɛ i ɲɛ. A tɛrɛ ye n kɔndɔ ko i ri i denmusoilu bɔ n bolo fanka la 
GEN.31.32	kɔni i la jooilu ta fan fɛ, ni i ka woilu tɛrɛn mɔɔ mɛn bolo yan, wo tii ri faa de! An badenmailu siini yan ka kɛ an sereilu ri. Wa i ɲalankalan an na dinkira bɛɛ rɔ. Ni i ka i la fen do yen, i ye a ta.» Yakuba tun ma a lɔn ko Rasɛli le ka a fa Laban na jooilu sonya.
GEN.31.33	Laban wara a ɲalankalan Yakuba la faaninbon na, ka bɔ ye ka wa a ɲalankalan Leya la faaninbon na, ka bɔ ye ka wa a ɲalankalan jɔnmuso fila la faaninbonilu la. A ma fen si yen ye. A bɔra ye ka wa a ɲalankalan Rasɛli la faaninbon na. 
GEN.31.34	Jaa, Rasɛli le tun ka a fa la jooilu dookoma ɲɔɔmɛ siifen kɔrɔ, ka a sii a kan. Laban ka a ɲalankalan fan bɛɛ rɔ bon na, kɔni a ma foyi yen. 
GEN.31.35	Rasɛli ka a fɔ a yɛ ko: «N fa, i ri hakɛ to. N ye musoilu la landa karɔyen na bi. Wo rɔ, n ti se n wulila.» Laban ka a la jooilu ɲinin fan bɛɛ rɔ, kɔni a ma alu yen.
GEN.31.36	Wo rɔ, Yakuba jusu bɔra Laban kanma fo ka a kɛlɛ loo tɛrɛ ye a la. A ka a fɔ a yɛ ko: «I ra n kɔsaran ten nfenna? N ka kojuu su ɲuman de kɛ i la? N ka hakɛ su ɲuman ta i la? 
GEN.31.37	Nba, i ra i ɲalankalan ka n bolofen bɛɛ mafɛnɛ sisen, i ka i la fen su ɲuman yen? I ka mɛn yen, wo labɔ an badenma bɛɛ ɲana yan, sa alu ri kititɛɛ an tɛma. 
GEN.31.38	Nde ka san muwan kɛ i wara. I la saamusoilu ni i la bamusoilu fen fen kɔnɔ ma tiɲan. N ma i la saaji si mafaa ka a damun. 
GEN.31.39	Wara wa mɛn mira ka wo faa, n tɛ wo yiraka i la. N jɛrɛ ri wo ɲɔɔn sara. Mɛn wa sonya su rɔ, a ni mɛn wa sonya tele rɔ, i ri a fɔ ko n ye wa wo ɲɔɔn ɲinin. 
GEN.31.40	Tara gbara n na tele rɔ. Nɛnɛ ka n mira su rɔ. N ma se sunoola. 
GEN.31.41	N ka san muwan kɛ i wara. N ka san tan ni naanin kɛ baarala i yɛ i denmuso fila ko kosɔn. N ka san wɔɔrɔ kɛ baarala ka kolofen doilu sɔrɔn, kɔni i ka do bɔ n sara la siɲa tan. 
GEN.31.42	N benba Iburahima Maari Alla, n fa silanni Maari Alla mɛn yɛ kɔnin, ni wo tun ma kɛ n fɛ, sa i ra n bolokolon gbɛn a to, kɔni Alla ka n na tɔrɔya le yen. N ka baara mɛn kɛ, ale le ka wo lɔn. Wo le kosɔn, a ka kititɛɛ ile ni nde tɛ su taminni ɲin dɔ.»
GEN.31.43	Laban ka Yakuba jabi: «Muso ɲin ye n denmusoilu le ri. Alu den ye n mamaren de ri. Kolofen ɲin ye n na kolofen de ri. I ɲa yen fen fen na ɲin, n ta le wo bɛɛ ri, kɔni n ti se n denmusoilu ni n mamarenilu bɔla i bolo butun. 
GEN.31.44	Wo rɔ, an ye bɛn kan kelen ma an ni i ɲɔɔn tɛma, sa sereya ri kɛ nde ni ile tɛma.»
GEN.31.45	Yakuba ka kabakurun do ta ka a lalɔ ka a kɛ tɔɔmasere ri. 
GEN.31.46	A ka a fɔ a badenmailu yɛ ko: «Ai ye na kabakurun di.» Alu ka kabakurun ta ka a ton i ɲɔɔn kan. Wo kɛni, alu bɛɛ ka i ladɛn ka damunun kɛ kabakurun ton tɔrɔfɛ. 
GEN.31.47	Laban ka kabakurun ton wo tɔɔ la ko Sekari Sahaduta. Yakuba ka a tɔɔ la ko Kalɛdi. 
GEN.31.48	Laban kan ko: «Kabakurun ton mɛn ye sereya le ri nde ni ile tɛma bi.» Wo le kosɔn yɔrɔ wo tɔɔ lara ko Kalɛdi. 
GEN.31.49	A ye kilila fanan ko Misipa, ka a masɔrɔn Laban ka a fɔ Yakuba yɛ ko: «An wa fara, Allabatala ye an fila bɛɛ kɔrɔsi. 
GEN.31.50	Ni i ka kojuu kɛ n denmusoilu la, ni i ka muso gbɛrɛilu ta, hali n ma ko lɔn a rɔ, Alla ɲa yen an fila bɛɛ la. I kana ɲina wo kɔ rɔ.»
GEN.31.51	Laban ka a fɔ Yakuba yɛ ko: «I ɲa lɔ kabakurun ton ɲin dɔ, ka i ɲa lɔ kabakurun ɲin dɔ, n ka mɛn lɔ ka a kɛ tɔɔmasere ri. 
GEN.31.52	Kabakurun ton ɲin di kɛ sereya ri. Kabakurun lɔni ɲin fanan di kɛ sereya ri. Wo rɔ, n kana tamin alu la ka wa i kɛlɛ. I fanan kana tamin alu la ka na n kɛlɛ. 
GEN.31.53	I benba Iburahima ni n benba Nakɔri a ni alu failu Maari ri kititɛɛ nde ni ile tɛma.»
GEN.31.53	Yakuba ka a kali Alla la, a fa Isiyaka silanni mɛn yɛ. 
GEN.31.54	Yakuba ka kolofen do faa ka Alla sɔ wo rɔ koyinkɛ kan ye, ka a janin ka a badenma bɛɛ kili ko alu ye na damunun kɛ. Alu ka damunun kɛ ka si koyinkɛ kan ye.
GEN.32.1	Wo sɔɔma da la jona, Laban wulira ka a denmusoilu ni a mamarenilu kɔndɔn ka duwa alu yɛ, ka ban ka sila mira ka a kɔseyi a wara.
GEN.32.2	Yakuba ni a la mɔɔilu ka sila mira ka wa. Alu watɔla, Alla la mɛlɛka doilu nara bɛn Yakuba la. 
GEN.32.3	A ka alu yen waati mɛn na, a kan ko: «Dinkira ɲin ye Alla la daa makɛ diya le ri.» Wo rɔ, a ka dinkira wo tɔɔ la ko Mahanimu.
GEN.32.4	Yakuba ka keladenilu lawa a ɲɛ a kɔrɔcɛ Esawu ma Seyiri la jamana rɔ, Edɔmu mara rɔ kɔnin. 
GEN.32.5	A ka alu kelaya ko: «Ai ye wa a fɔ n tii Esawu yɛ ko a la jɔncɛ Yakuba kan ko n wani tɛrɛ Laban wara. Ko n tun da mɛn ye, kɔni sisen n da n kɔseyi. 
GEN.32.6	Ko nisi ye n bolo, a ni fali, a ni saa, a ni ba, a ni jɔnilu. Ko n ye kela la wala a ma, sa n na ko ri diya n tii Esawu yɛ.» 
GEN.32.7	Keladenilu wara kela wo fɔ Esawu yɛ. Alu ban mɛn kɛni kela fɔla, alu ka alu kɔseyi Yakuba ma ka a fɔ a yɛ ko: «An wara i kɔrɔcɛ Esawu tɛrɛn ye. A natɔ i labɛnna. Cɛ kɛmɛ naanin ye a bolo.»
GEN.32.8	Yakuba silanda kojuuya foo ka a kɔnɔ rakaliya. A ka a la mɔɔilu ratala ka alu kɛ kuru fila ri, ka a la saa a ni ba a ni nisi a ni ɲɔɔmɛilu fanan datala wo ɲa ma. 
GEN.32.9	A tɛrɛ ye a mirila ko: «Ni Esawu nara be kuru kelen kan, a tɔ kelen di i bori ka bɔ a bolo.»
GEN.32.10	A ka Alla tara ko: «Ɛɛ Allabatala, n benba Iburahima ni n fa Isiyaka Maari, ile le ka a fɔ n yɛ ko n ye n kɔseyi n fa so la, ka wa n badenmailu tɛma. I kan ko i ri hɛrɛ kɛ n yɛ ye. 
GEN.32.11	I la kaninteya ka bon nde ma. N ka Juridɛn ba tɛɛ fɔlɔman, foyi tɛrɛ tɛ n bolo, fo n na taama gbeleke dɔrɔn, kɔni bi, n na mɔɔilu ra siyaya kosɛbɛ, foo ka kɛ kuru fila ri. 
GEN.32.12	I jaandi, i ye n bɔ n kɔrɔcɛ Esawu bolo. N silanni a ɲɛ. A kana na be n kan, ka n na denilu ni ie nailu faa. 
GEN.32.13	I jɛrɛ le ka a fɔ ko i ri hɛrɛ kɛ n yɛ ka n bɔnsɔn siyaya iko kɔɔji kiɲɛ, mɔɔ tɛ wo mɛn dan lɔnna.»
GEN.32.14	Yakuba banda Alla matarala ka su si dinkira wo rɔ. A ka a la kolofen doilu ɲenematɔmɔn, ka alu sanba a kɔrɔcɛ Esawu ma. 
GEN.32.15	A ka bamuso kɛmɛ fila ni bakɔrɔn muwan bɔ, ka saamuso kɛmɛ fila ni saaji muwan la woilu kan. 
GEN.32.16	A ka ɲɔɔmɛmuso bisawa ni woilu sinmindenilu fanan bɔ. Ka la woilu bɛɛ kan, a ka nisimuso binaanin ni tora tan fanan bɔ, a ni falimuso muwan ni falicɛ tan. 
GEN.32.17	A ka kolofen woilu kɛ kuru doilu ri, bɛɛ ni a ta. A ka kuru kelen kelenna bɛɛ karifa a la jɔn kelen kelenna la. A ka a fɔ alu yɛ ko: «Alu ye wa n ɲɛ, ka tɛɛ ladon kolofen kuruilu tɛma.» 
GEN.32.18	A ka a fɔ jɔn fɔlɔ yɛ ko: «I wa n kɔrɔcɛ Esawu yen, a ri i maɲininka ko: ‹I tii ye yon di? I watɔ mi ten? Kolofen ɲinilu ye yon ta ri?› 
GEN.32.19	A wa ɲininkali kɛ ten, i ye a jabi: ‹I la jɔncɛ Yakuba ta le. A ka alu lana ile le ma, ko ka a tii Esawu sanba. A jɛrɛ natɔ kɔ fɛ.›»
GEN.32.20	Yakuba ka kuma kelen wo fɔ jɔn filanan yɛ, a ni jɔn sawanan, a ni a tɔ bɛɛ, kolofen kuruilu karifani mɛnilu la. A ka a fɔ alu yɛ ko: «Ai wa n kɔrɔcɛ Esawu yen, ai ye jabili kelen wo di a ma. 
GEN.32.21	Ai ye a fɔ a yɛ fanan ko a la jɔncɛ Yakuba natɔ le ɲin di.» Yakuba ye a mirila ko: «Ni n ka a ladiya kolofenilu la fɔlɔ, a jusu ri suma. Wo rɔ, an wa an ɲɔɔn yen, n na ko ri diya a yɛ.» 
GEN.32.22	Nba, Yakuba ka sanba fen woilu lawa a ɲɛ, kɔni ale jɛrɛ ka su si dinkira wo rɔ ye.
GEN.32.23	Su kelen wo rɔ, Yakuba wulira. A ka a muso fila ni a la jɔnmuso fila, a ni a dencɛ tan ni kelen, natamin Jabɔki ba kɔma. 
GEN.32.24	A ka alu latamin ba kɔ, ka ban ka a bolofenilu bɛɛ fanan natamin. 
GEN.32.25	Yakuba kelen pe tora ba fan kelen wo fɛ. Su wo rɔ, cɛ do nara be Yakuba kan. Alu ka sɛɛdon foo ka kɛnɛ bɔ. 
GEN.32.26	Cɛ wo ka a yen ko a ti na lasela Yakuba la waati mɛn na, a ka Yakuba gbasi a worokudu rɔ. Wo rɔ, Yakuba woro kolo mukara. 
GEN.32.27	Cɛ kan ko: «I ye n bila. Kɛnɛ bɔtɔ le.» Yakuba ka a jabi: «N tɛ! Ni i ma baraka don n dɔ, n tɛ i bila fewu!» 
GEN.32.28	Cɛ kan ko: «I tɔɔ di?» A ka a jabi: «N tɔɔ le Yakuba.» 
GEN.32.29	Cɛ kan ko: «I tɔɔ tɛ wo ri butun. I tɔɔ le sisen ko Isirayɛli, ka a masɔrɔn i ni Alla ra sɛɛdon, i ni mɔɔilu ra sɛɛdon, wo bɛɛ rɔ fanka ye i bolo.»
GEN.32.30	Yakuba ka a fɔ a yɛ ko: «I jaandi, i tɔɔ fɔ n yɛ.» Cɛ kan ko: «Nfenna i ye n tɔɔ maɲininkala?» A ka baraka don Yakuba la ko rɔ. 
GEN.32.31	Yakuba ka wo dinkira tɔɔ la ko Penuyɛli. Wo kɔrɔ le ko: «N da Alla yen ɲa ni ɲa, kɔni n ma faa.»
GEN.32.32	Yakuba bɔra Penuyɛli telebɔ waati. A tɛrɛ ye taamala ka jii a sen kelen ma ka a masɔrɔn a sen da muka. 
GEN.32.33	Nba, Yakuba gbasira a worokudu le rɔ wo ɲa le ma. Wo le ka a kɛ, Isirayɛlika tɛ kolofen worokudu fasa damunna, haan bi.
GEN.33.1	Nba, Yakuba ka a ɲa lɔ ka Esawu natɔla yen. Cɛ mɔɔ kɛmɛ naanin ye a kɔfɛ. Wo rɔ, Yakuba ka a denilu ratala Rasɛli ni Leya tɛma, a ni jɔnmuso fila tɛma, bɛɛ ni a na. 
GEN.33.2	A ka jɔnmusoilu ni alu den bila ɲɛ fɛ, ka Leya ni a denilu tuun woilu la, ka Rasɛli ni Yusufu bila kɔ fɛ. 
GEN.33.3	A jɛrɛ taminda ɲɛ fɛ. A wara ka i majii bakɛ siɲa wɔrɔnwula, ka i madon a kɔrɔcɛ Esawu la. 
GEN.33.4	Esawu ka i bori ka na a labɛn. A ka a to a kan ka a sunbu. Alu fila bɛɛ kasira. 
GEN.33.5	Esawu ka a ɲa lɔ ka Yakuba musoilu ni a denilu yen. A kan ko: «Mɛnilu nani i fɛ ɲin di, yon de woilu ri?» Yakuba kan ko: «N tii, Alla kininkininda n ma ka den mɛnilu di n ma, woilu le ten.»
GEN.33.6	Jɔnmusoilu ni alu deni ka ai madon ka ai majii ka a fo. 
GEN.33.7	Leya ni a denilu fanan nara ka alu majii. A laban, Rasɛli ni Yusufu nara ka alu majii.
GEN.33.8	Esawu ka Yakuba maɲininka ko: «N bɛnda kolofen kuru siyaman di. Wo kɔrɔ ye nfen di?» Yakuba ka a jabi: «N tii, n ka alu lawa i ma, kosa n na ko ri diya i yɛ.» 
