GEN.1.1	Diyà te keteboan te kedita, mig-inang se Timanem te langit aw keneyonan. 
MRK.12.42	Penga niyan, dimateng se sagkep bayi balo, aw migsawol sikandin te didowa kedakò kidoen wedad nael keelagà niyan. 
MRK.12.43	Penga niyan, tinawal i Jesus se menge tinoledaan din, aw minikagi sikandin, “Eneng-enengi niyo se kagi ko seini. Pengkey dakel se imbowang te kedita te doma otaw migsawol te kwarta kidoen, meneng labi pa meelagà se imbowang te bayi balo sida. 
MRK.12.44	Dakel se kwarta te doma otaw aw eked dan kelimahi tandà te pegpemegay dan. Meneng se bayi sida sagkep, tinigkan din imbowang se kedakel te kedònan din, pengkey nelimahan sikandin.”
MRK.13.1	Nayan, peglowà i Jesus lekat te dakel simbahan te Jerusalem, doen sebad tinoledaan din minikagi, “Sir, tengtengi se menge balay te simbahan, so mèpiya se bawa niyan, aw ininang iyan te bato mèpiya se bawa niyan.”
MRK.13.2	Minikagi si Jesus, “Pengkey induyun niyo se dakel simbahan seini, meneng tigkan iyan kebàtan te modi aldaw, aw wedad palos bato ketenanan diyà te lanto te doma bato.”
MRK.13.3	Wedà kenamay, dimoton dan te bontod te Olibo dipag te dakel simbahan. Nenenoo si Jesus, aw dimoton kandin si Pedro, si Santiago, si Juan, aw si Andres te wedad doma dan. Mig-insà dan, 
MRK.13.4	“Indani kay. Kano lay ketoman se in-indan nikaw? Eden lay se pengilala kitaen day aw agpet metoman se kedita niyan?”
MRK.13.5	Minikagi si Jesus, “Peg-ahà kaw amon eked kaw keekali. 
MRK.13.6	Doen kwani medita otaw megpelingo-lingo te insogò ko dan. Mikagi dan te sikandan se Misiyas, aw medita se otaw keekalan dan aw tomaking kandan. 
MRK.13.7	Aw domineg kaw te doen gira aw menge samok, ikà niyo egkelemitan. Keilangan onà iyan meinang, meneng kenà pa niyan se temanan te keneyonan. 
MRK.13.8	Medita se otaw meggira, so doen pongan megbolaw diyà te doma pongan, aw doen heman menge sakop te sebad selotan megbolaw diyà te menge sakop te doma selotan. Megelà se otaw te medita ogpeanan tandà te linog aw bayil domateng diyà kandan. Pengkey medaet iyan, meneng yan olò se keteboan te kelimahan domateng dini te keneyonan, iling te keteboan te mesakit domateng te bayi agpet tebawan.
MRK.13.9	“Meneng peg-ahà kaw, so ibingen kaw te doma otaw doton te howis, aw bedasen kaw dan kidoen te menge simbahan te Judiyo. Ipeibing kaw doton te menge gobirnador aw selotan tandà te pegpesakop niyo diyà kanak, amon mekeindan kaw te kebenalan tepad kanak diyà kandan. 
MRK.13.10	Keilangan onà itoladà se Mèpiya Indan diyà te kedita te otaw te eked pa dateng se temanan te keneyonan. 
MRK.13.11	Aw ibingen kaw doton te otaw meg-okom kenyo, ikà niyo egketetana aw eden se ikegiyen niyo kandan. Dalem te aldaw sìyan, begayan kaw te kebiyasa amon meketaba kaw kandan, so kenà lekat te kenyo kebiyasa se ikegiyen niyo, meneng lekat iyan te Espiritu Santo. 
MRK.13.12	Doen menge otaw megtolok te kandan menge kedowa amon imetayan dan. Doen heman amay megtolok te kandan menge batà amon imetayan dan. Doen heman menge otaw eked pegsagman te kandan amay aw inay, aw ipeimatay dan. 
MRK.13.13	Kebensihan kaw te keditaan te otaw tandà te pegpesakop niyo diyà kanak. Meneng aw tomayod kaw te kedita te kelimahan, ipelowà kaw.”
MRK.13.14	“Doen pa domateng meg-inang te medaet doton te dakel simbahan te Jerusalem, pengkey eked iyan kepakay, aw ontò mekelamit te otaw. (Keilangan kelebetan iyan te kedita te otaw megbasa te kagi din sìyan insolat.) Aw kitaen niyo iyan doton te dakel simbahan, keilangan komadas se kedita te otaw lekat te Judiya pesalo doton te bontod. 
MRK.13.15	Keilangan eked awop diyà te balay din se otaw doton te lowà amon ebaten din se kedònan, meneng keilangan tenanan din se kedita. 
MRK.13.16	Se otaw egterbaho doton te pawà, eked heman olì amon ebaten din se ekasan, meneng keilangan komadas. 
MRK.13.17	Mekelelayò heman se menge bayi mebedes aw egsosowan te aldaw sìyan. 
MRK.13.18	Pegtawal-tawal kaw diyà te Timanem te kenà pengodan se pegkadas niyo, 
MRK.13.19	so ontò medaet se kelimahan domateng diyà te keneyonan. Wedad palos kelimahan labi pa medaet diyà kenyan lekat te peg-inang te Timanem te keneyonan lamig seini, aw wedad palos heman kelimahan domateng labi pa medaet diyà kenyan. 
MRK.13.20	Meneng pekebebaen te Timanem se kenamay te aldaw te kelimahan sìyan amon eked kegelà se kedita te otaw. Pekebebaen din iyan tandà te menge otaw pinemallì din.
MRK.13.21	“Aw domateng se aldaw sìyan, aw doen otaw mikagi, ‘Na, dini den se Misiyas,’ aw doen otaw mikagi, ‘Na, doton se Misiyas,’ ikà niyo egpemenal kandan, 
MRK.13.22	so doen menge otaw domateng megpelingo-lingo te sikandan se Misiyas aw menge telekeliwat te kagi te Timanem. Meg-inang dan heman te menge kepelahan amon keekalan dan peden heman se menge otaw pinemallì te Timanem. 
MRK.13.23	Meneng peg-ahà kaw, so mig-indan a den te kedita diyà kenyo te eked pa dateng.”
MRK.13.24	“Aw mepenga se kelimahan sìyan, megkengitngit se keneyonan, so eked ebey senang se aldaw aw bolan. 
MRK.13.25	Medagdag heman se menge bitoen lekat te langit, so mebilit se kedita dan. 
MRK.13.26	Penga niyan, kitaen te kedita te otaw se pegdateng ko, so lomikò a Timanem Migpekeotaw tekingan te labon. Komità dan te ontò a metolos aw melangkaw a. 
MRK.13.27	Isogò ko se menge anghil, aw ipetipon ko se kedita te otaw pinemallì ko lekat te kebelad te keneyonan, pengkey kenan dan peg-ogpà.”
MRK.13.28	“Penenalan kaw den te tegdeyanan seini tepad te kayo igira. Aw tomobed iyan aw domawen, ketegahan niyo te agpet den domateng se pengaldaw. 
MRK.13.29	Iling heman kenyan, aw kitaen niyo se pegketoman te kedita niyan inikagi ko diyà kenyo, ketegahan niyo te agpet a den lomikò. 
MRK.13.30	Eneng-enengi niyo se kagi ko kenyo seini. Doen menge otaw komità te pengilala sìyan, eked dan kematay singed aw metoman se kedita niyan. 
MRK.13.31	Doen temanan te langit aw tanà, meneng gayed metoman se kagi ko te wedad temanan.”
MRK.13.32	“Meneng eked ko indani aw eden eldawi aw orasi se peglikò ko. Wedad palos netaga-taga aw kano a likò, pengkey menge anghil doton te langit, so olò Amay ko se netaga-taga kenyan. 
MRK.13.33	Keilangan gayed kaw megpeketagad, so wedà niyo ketegahi aw eden eldawi se pegketoman niyan. 
MRK.13.34	Iling a te otaw domoton te mediyò ogpeanan. Te eked pa kesayo, doen ipunù din diyà te kedita te sineligan din, so doen inangen te teg sebad-sebad kandan te iyogan din. Megpunù heman sikandin te keilangan gayed megpeketagad se otaw egbantay te balay din. 
MRK.13.35	Yan se doun te keilangan gayed kaw megpeketagad, so wedà niyo ketegahi aw eden orasi se peglikò te Pengolo niyo, atok te pegsallep te aldaw, atok megtengà te delem, atok eked pa libtak se aldaw, atok iselem. Yan se doun te keilangan gayed kaw megpeketagad, 
MRK.13.36	so aw lomikò a te wedà kaw pa peketagad, kitaen ko sikiyo timedogi pa. 
MRK.13.37	Se impunù ko kenyo seini, yan se ipunù ko heman diyà te kedita te otaw, te keilangan megpeketagad se teg sebad-sebad otaw.”
MRK.14.1	Nayan, dowa mendad se aldaw te pegdateng te Pista te Pegpelowà. Yan se pegpengaen dan te pan kenà eglebag. Gayed mig-aneng-aneng se menge pengolo te simbahan aw menenoladà te punù aw eden se inangen dan amon dekepen dan si Jesus te wedad pa doma otaw metaga-taga amon imetayan dan. 
MRK.14.2	Minikagi dan, “Keilangan eked kidon pegdakep kandin dalem te pista, amon eked pegsamok se kedita te otaw.”
MRK.14.3	Nayan, pegdoton i Jesus te lonsod te Bitanya, limaoy sikandin ki Simon, sìyan otaw pinegolian din te tompig. Dalem te pegpengaen dan, doen bayi nengibing te lana metinadeg insawol diyà te deitek botilya. Ontò iyan meelagà so ininang te ontò nardo. Penga niyan, linebak din se botilya aw intoyong din se lana diyà te olo i Jesus. 
MRK.14.4	Na, doen menge otaw kidoen mig-aneng-aneng, “Tay law. Pigbàtan din se lana sìyan. 
MRK.14.5	Simpana ibeligyà iyan, ginatos pa se kwarta dinaryo iteped peden diyà te menge otaw sagkep.”
MRK.14.5	Sinila dan heman se bayi sìyan. 
MRK.14.6	Meneng minikagi si Jesus, “Pebeyai niyo sikandin. Ikà niyo egsila te bayi sìyan. Mèpiya se ininang din diyà kanak. 
MRK.14.7	Gayed doen otaw sagkep mebatog niyo tebangan pengkey kano doen ibeg niyo. Meneng eked a gayed peg-ogpà dini kenyo. 
MRK.14.8	Ininang te bayi sìyan se mebatog din inangen. Pineokit te pegtoyong din te lana sìyan diyà kanak, impetagad a din te peglebeng kanak. 
MRK.14.9	Eneng-enengi niyo se kagi ko seini. Eked palos sikandin kelibeli, so pengkey kenan toledai se Mèpiya Indan doton te kebelad te keneyonan, iindan heman se ininang te bayi sìyan.”
MRK.14.10	Nayan, doen sebad tinoledaan i Jesus ngadan din si Judas Iscariote. Dimoton sikandin te menge pengolo te simbahan aw migpebelaw-belaway dan tepad te pegtolok din ki Jesus amon dekepen dan. 
MRK.14.11	Pegdineg dan te kagi din, neluba dan aw migpakang dan te doen kwarta ibegay dan diyà kandin. Penga niyan, migtagad si Judas te mèpiya aldaw amon itolok din si Jesus.
MRK.14.12	Nayan, dimateng se tagnà aldaw te pista te pegpengaen te menge Judiyo te pan kenà eglebag. Yan heman se aldaw te pegpengiyaw dan te nati te karniro kànen dan te Pista te Pegpelowà. Dimoton se menge tinoledaan i Jesus kandin aw mig-insà dan, kagi dan, “Kenan kay lay peg-inang te kànen tadon te Pista te Pegpelowà?”
MRK.14.13	Penga niyan, insogò din se didowa tinoledaan din, kagi din, “Doton kaw te Jerusalem. Aw domateng kaw doton, kitaen niyo se otaw neniang te sibolan nepenò te wayeg. Taking kaw kandin. 
MRK.14.14	Aw domateng sikandin doton te balay, ikagi kaw diyà te tig-apò, ‘Insogò kay te Pengolo amon meg-insà kay kamno aw kenan se kànan te kedita day te Pista te Pegpelowà.’ 
MRK.14.15	Penga niyan, ipekità din diyà kenyo se dakel gibelayan kidoen diatas te balay tapay doen telepagan impetagad kenitadon. Peg-inang kaw te kànen tadon kidoen.”
MRK.14.16	Penga niyan, nesayo se didowa tinoledaan din aw dimoton dan te Jerusalem. Kinità dan se kedita iling te tapay inikagi i Jesus diyà kandan. Penga niyan, mig-inang dan te kànen.
MRK.14.17	Pegkedelem niyan, dimoton si Jesus aw kedita te sempolò teg dowa tinoledaan din. 
MRK.14.18	Dalem te kimaen dan, minikagi si Jesus, “Eneng-enengi niyo se kagi ko kenyo seini. Doen sebad kenyo megtolok kanak, aw kimaen sikandin doma ko.”
MRK.14.19	Nepuluk se pedowan dan, aw migpetibos-tibosay dan mig-insà diyà kandin, kagi dan, “Kenà ko lay lebò?”
MRK.14.20	Minikagi si Jesus, “Yan se sebad diyà te sempolò teg dowa kenyo. Timogen sikandin kanak. 
MRK.14.21	Metoman a imetayan, so yan se kagi te Timanem insolat gebii tepad kanak Timanem Migpekeotaw. Meneng mekelelayò se otaw megtolok kanak. Mèpiya peden aw wedà sikandin tebaw.”
MRK.14.22	Nayan, dalem te pegpengaen dan, nengabat si Jesus te pan, aw migpesiontong sikandin diyà te Timanem. Penga niyan, binelà-belà din se pan, aw inteped din iyan diyà kandan, aw minikagi sikandin, “Kàni niyo se pan seini, so yan se lawa ko.”
MRK.14.23	Penga niyan, inabat din heman se tabò, aw migpesiontong sikandin diyà te Timanem, aw inteped din heman diyà kandan, aw mininem se kedita dan kenyan. 
MRK.14.24	Minikagi si Jesus, “Yan se dipanog ko, aw pineokit kani, doen den kaling peokit pesalo doton te Timanem. Pineokit te pegkematay ko, medita se otaw tebangan. 
MRK.14.25	Eneng-enengi niyo se kagi ko kenyo seini. Eked a todà inem te ininem tadon seini singed aw metoman kidon minem te kaling bino doton te peglowan te Timanem.”
MRK.14.26	Penga niyan, migdelangan dan tepad te pegduyun dan te Timanem, aw nesayo dan lekat kidoen, aw dimoton dan te bontod te Olibo.
MRK.14.27	Penga niyan, minikagi si Jesus diyà te menge tinoledaan din, “Tomanan se kedita niyo kanak, so doen kagi te Timanem insolat gebii,
MRK.14.27	‘Ipeimatay ko se otaw egtonggò te ayam-ayam karniro, aw mebilit se kedita te karniro tinonggoan din.’
MRK.14.28	Meneng penga te pegkeantay ko lekat te nematay, mekeonà a diyà kenyo doton te Galiliya.”
MRK.14.29	Minikagi si Pedro diyà ki Jesus, “Pengkey tomanan se kedita te doma kamno, meneng eked a palos tanan kamno.”
MRK.14.30	Minikagi si Jesus, “Eneng-enengi se kagi ko kamno seini. Kwani te eked pegkolaak se manok te mekedowa te delem seini, ibolon a nikaw te meketelo.”
MRK.14.31	Meneng ontò minikagi si Pedro, “Eked a palos pegbolon kamno, pengkey imetayan a sipat kamno.”
MRK.14.31	Iling heman kenyan se inikagi te kedita te tinoledaan i Jesus.
MRK.14.32	Nayan, dimoton dan te kekeyowan iningedanan Gitsimani. Pegdateng dan doton, minikagi si Jesus diyà te menge tinoledaan din, “Pegtagad kaw dini, so domoton a sida amon megtawal-tawal a.”
MRK.14.33	Penga niyan, impetaking din si Pedro, aw si Santiago, aw si Juan. Ontò den nepuluk se pedowan din, 
MRK.14.34	aw minikagi sikandin, “Ontò den nepuluk se pedowan ko, iling te matay a. Peg-ogpà kaw den dini, aw ikà niyo egtedogi.”
MRK.14.35	Penga niyan, dimeleg si Jesus te kenà mediyò, aw limemlem sikandin aw migtawal-tawal. Nemoyò sikandin diyà te Timanem aw mepakay diyà kandin, eked din peden sikandin peokiti diyà te kelimahan agpet domateng diyà kandin. 
MRK.14.36	Migtawal-tawal sikandin, kagi din, “Amà, wedad palos eked no kebatog. Yan eked a no peden peokiti diyà te kelimahan seini. Meneng ibeg ko, kamno ibeg se metoman, kenà kanak.”
MRK.14.37	Peglikò din doton te tinoledaan din, timedogi den dan. Linoka din sikandan aw minikagi sikandin diyà ki Pedro, “Simon, nepela a den kenyo, so timedogi kaw. Wedà kaw kedì peketayod te sebad olò oras. 
MRK.14.38	Ikà niyo egtedogi, meneng pegtawal-tawal kaw amon eked kaw keboyo. Pengkey mèpiya se ibeg te pedowan niyo, meneng wedad kagsen te lawa niyo.”
MRK.14.39	Todà migpekediyò-diyò si Jesus aw migtawal-tawal. Onawa heman se intawal-tawal din. 
MRK.14.40	Todà limikò si Jesus doton te menge tinoledaan din, aw kinità din dan timedogi, so ontò dan nepilot. Wedà dan ketegahi aw eden se itaba dan kandin.
MRK.14.41	Peglikò i Jesus doton kandan te iketelo, minikagi sikandin, “Nepela a so gayed kaw timedogi. Na, botong den iyan, so dimateng den se oras te pegtolok kanak Timanem Migpekeotaw amon dekepen a te menge otaw nelegeb te salà. 
MRK.14.42	Enaw kaw den. Dimateng den se otaw megtolok kanak. Somongon kidon kandin.”
MRK.14.43	Telobo pa minikagi si Jesus, pegketà dimateng si Judas, sìyan tinoledaan i Jesus. Medita se otaw timaking kandin, aw migkekamang dan te menge podok aw batota. Insogò dan te menge pengolo te simbahan aw menge menenoladà te punù ingkeliwat i Moises aw menge obanen te Judiyo. 
MRK.14.44	Tapay dan netegahan aw eden se inangen i Judas, so minikagi sikandin, “Se otaw edekan ko, yan se otaw inahà niyo. Dekepi niyo sikandin aw bentayi niyo sikandin te pegpengibing niyo kandin doton te otaw meg-osay kandin.”
MRK.14.45	Nayan, pegdateng dan doton, wedà peg-alà-alà si Judas meneng dimoton ki Jesus, aw minikagi, “Sir.”
MRK.14.45	Penga niyan, inedekan din si Jesus. 
MRK.14.46	Penga niyan, dinakep dan sikandin. 
MRK.14.47	Meneng doen sebad tinoledaan i Jesus nenagnos te podok din aw tinigbas din se sineligan te ontò pengolo te simbahan, aw nepalot se dibaloy telinga din. 
MRK.14.48	Penga niyan, minikagi si Jesus diyà kandan, “Kolang se pegkekamang niyo te podok aw batota amon megdakep kaw kanak, so kenà a megdedempasay. 
MRK.14.49	Gayed a migtoladà doton te dakel simbahan, meneng wedà a niyo dekepi doton. Meneng keilangan metoman se kagi te Timanem insolat tepad kanak.”
MRK.14.50	Penga niyan, kimadas se kedita te tinoledaan i Jesus, aw tinenanan dan sikandin.
MRK.14.51	Doen sebad telaki timelokon ki Jesus olò migdiping. Dinakep dan heman sikandin, 
MRK.14.52	meneng nekelowà, so tinenanan din se diping din aw kimadas migpetabeg-tabeg.
MRK.14.53	Penga niyan, inibing dan si Jesus doton te ontò pengolo te simbahan. Tapay netipon kidoen se menge pengolo te simbahan, aw menge obanen te Judiyo, aw menge menenoladà te punù ingkeliwat i Moises. 
MRK.14.54	Timelokon heman si Pedro, meneng migpekediyò sikandin lamig dimateng doton te dowangen te balay te ontò pengolo te simbahan. Nenenoo sikandin doma te menge otaw migtonggò te dakel simbahan, aw mig-ingadang sikandin diyà te apoy dan.
MRK.14.55	Nayan, ibeg te menge pengolo te simbahan aw menge doma dan obanen, doen inangan dan si Jesus te salà amon doen tindegan te pegpeimatay dan kandin. Meneng wedad palos salà din kinità dan. 
MRK.14.56	Pengkey medita se otaw migkebolalaw tepad kandin, meneng kenà onawa se in-indan dan. 
MRK.14.57	Doen menge otaw migkebolalaw tepad kandin, kagi dan, 
MRK.14.58	“Dinineg day se inikagi din te mekebatog sikandin megbaet te dakel simbahan sida ininang te otaw, aw ipetindeg din se kaling simbahan eked inangi te otaw dalem te telo se aldaw.”
MRK.14.59	Pengkey yan se in-indan dan tepad kandin, meneng kenà onawa se in-indan dan. 
MRK.14.60	Penga niyan, timindeg se ontò pengolo te simbahan aw mig-insà diyà ki Jesus, “Eden lay se itaba no kenyan? Indani kay aw benal se inikagi dan.”
MRK.14.61	Meneng wedà taba si Jesus. Minikagi heman se ontò pengolo te simbahan, “Sikona ekon se Misiyas, sìyan Batà te Timanem. Indani kay den aw benal iyan.”
MRK.14.62	Minikagi si Jesus, “Benal iyan. Komità kaw kanak Timanem Migpekeotaw egpenenoo kidoen te tangkil te Amay ko metolos amon lomowan a doma din. Lomikò a heman dini lekat te langit tekingan te labon.”
MRK.14.63	Penga niyan, miglisì se ontò pengolo te simbahan te saol din tandà te keopal din, aw minikagi sikandin, “Wedad den kekemowan te peg-indan te doma otaw diyà kenitadon tepad kandin, 
MRK.14.64	so dinineg tadon den se pegtompuyus din te Timanem pineokit te pegpelingo-lingo din Batà te Timanem. Na, eden lay se aneng-aneng niyo tepad kandin?”
MRK.14.64	Penga niyan, minikagi se kedita dan te keilangan imetayan sikandin so doen salà din. 
MRK.14.65	Lekat niyan, tineptepan dan sikandin, aw doen nenampeng te mata din aw nenombag kandin, aw minikagi dan, “Na, etoki aw sinu se nenombag kamno.”
MRK.14.65	Nenombag heman kandin se menge otaw migtonggò te dakel simbahan.
MRK.14.66	Dalem niyan, mig-ogpà si Pedro kidoen te dowangen. Doen bayi egtelaban te ontò pengolo te simbahan minokit kidoen te dowangen. 
MRK.14.67	Pegkità din ki Pedro mig-ingadang kidoen te apoy, mininoet sikandin aw minikagi, “Sikona se egdoma ki Jesus tege Nasarit.”
MRK.14.68	Meneng migbolon si Pedro, kagi din, “Wedà ko ketegahi aw eden se eg-ikegiyen nikaw.”
MRK.14.68	Penga niyan, minalin si Pedro doton te dapag te dalan, aw migkolaak se manok. 
MRK.14.69	Wedà kenamay, todà kimità se bayi sìyan ki Pedro aw minikagi diyà te menge otaw kidoen, “Sebad heman sakop din se otaw seini.”
MRK.14.70	Meneng todà migbolon si Pedro.
MRK.14.70	Penga niyan, te wedà kenamay, doen menge doma otaw kidoen minikagi diyà ki Pedro, “Benal sikona se sebad egdoma te otaw sida dinakep, so tege probinsya ka te Galiliya.”
MRK.14.71	Meneng ontò migsapà si Pedro aw minikagi, “Wedà a palos kilala te otaw eg-ikegiyen niyo sìyan.”
MRK.14.72	Pegketà, migkolaak se manok te ikedowa. Yan neeneng-enengan i Pedro se tapay inikagi i Jesus te ibolon din sikandin te meketelo te eked pa pegkolaak se manok te mekedowa. Penga niyan, ontò sikandin migkelag.
MRK.15.1	Nayan, peglibtak te aldaw sìyan, netipon se kedita te pengolo te simbahan, aw menge obanen te Judiyo, aw menge menenoladà te punù ingkeliwat i Moises. Netipon se kedita dan amon meglalang dan aw eden se inangen dan. Penga niyan, ginapos dan si Jesus, aw inibing dan sikandin doton te gobirnador si Pilato. 
MRK.15.2	Pegdateng dan doton, mig-insà si Pilato ki Jesus, kagi din, “Sikona lay se Selotan te menge Judiyo?”
MRK.15.2	Timaba si Jesus, “Ee. Benal se kagi nikaw.”
MRK.15.3	Penga niyan, medita se indimanda te menge pengolo te simbahan tepad kandin. 
MRK.15.4	Minikagi heman si Pilato, “Medita se indimanda dan tepad kamno. Eden lay se itaba no kandan?”
MRK.15.5	Meneng wedà den taba si Jesus, aw yan se doun te nepela si Pilato.
MRK.15.6	Nayan, kelikit te Pista te Pegpelowà, doen ketanem te gobirnador te ipelowà din se sebad otaw kineleboso, pengkey sinu se pemellien te kedita te otaw. 
MRK.15.7	Na, dalem niyan, doen menge ribildi kineleboso, so nemonò dan te otaw te peg-ato dan te gobirno. Doen sebad kandan iningedanan ki Barabas. 
MRK.15.8	Pegketipon te medita otaw, nemoyò dan ki Pilato amon ipelowà din se otaw kineleboso, so yan se ketanem din. 
MRK.15.9	Penga niyan, mig-insà si Pilato, “Meibeg kaw lay aw ipelowà ko se Selotan te menge Judiyo?”
MRK.15.10	Yan se inikagi i Pilato, so netegahan din te impedakep te menge pengolo te simbahan si Jesus so miningà dan kandin. 
MRK.15.11	Meneng gayed migdeliseg se menge pengolo te simbahan diyà te otaw netipon kidoen amon ipelowà din si Barabas aw eked din pelowai si Jesus. 
MRK.15.12	Mig-insà heman si Pilato, “Menonen ko sikandin egtewalen niyo Selotan te menge Judiyo?”
MRK.15.13	Migbelobansag dan heman, kagi dan, “Imetayi sikandin. Lensangi diyà te kros.”
MRK.15.14	Mig-insà si Pilato, “Nengà lay? Eden lay se salà ininang din?”
MRK.15.14	Meneng labi pa dakel se kagi dan, aw migbelobansag dan, “Imetayi sikandin. Lensangi diyà te kros.”
MRK.15.15	Penga niyan, impelowà i Pilato si Barabas lekat te keleboso, so ibeg din meluba se medita otaw netipon. Impebadas din si Jesus, aw impeibing din amon ilansang diyà te kros.
MRK.15.16	Penga niyan, inibing te menge sondalo si Jesus doton didalem te balay te gobirnador, aw migtipon dan te kedita te doma dan sondalo. 
MRK.15.17	Penga niyan, pineseolan dan sikandin te melalag saol iling te saol te selotan. Linekò dan se belagen doen tigis aw yan se insangkob dan diyà te olo din iling te korona te selotan. 
MRK.15.18	Penga niyan, migpelingo-lingo dan te egsegmanen dan sikandin, kagi dan, “Iduyun sikona Selotan te menge Judiyo.”
MRK.15.19	Penga niyan, binadas dan se olo din te tigbaw, aw tineptepan dan sikandin. Limongken dan heman diyà kandin aw migpelingo-lingo dan te sikandin se selotan egsegmanen dan. 
MRK.15.20	Penga te pegtompuyus dan kandin, linowas dan se melalag saol lekat kandin, aw impesaol dan diyà kandin se kandin saol. Penga niyan, inibing dan sikandin lekat te balay te gobirnador amon ilansang diyà te kros.
MRK.15.21	Nayan, kidoen te dalan, netelaan te menge sondalo se sebad tege Sirene kaling dimateng lekat te saka. Ngadan din si Simon, aw batà din si Alejandro aw si Rufo. Lineges dan sikandin neniang te kros. 
MRK.15.22	Inibing te menge sondalo si Jesus doton te bontod iningedanan Golgota. (Se kelebadan niyan, “Tòlan te Olo.”) 
MRK.15.23	Pegdateng dan doton, imbegay te sondalo diyà ki Jesus se bino sinengedan te bebolong te saka iningedanan mira amon eked din imenmani se kesakit. Meneng wedà din inemi. 
MRK.15.24	Penga niyan, inlansang dan sikandin diyà te kros. Penga niyan, pigtalad-talad te menge sondalo se penenaktun linowas din, aw migbonot dan aw eden se penenaktun meabat te teg sebad-sebad kandan. 
MRK.15.25	Menge alas nowibi se oras te peglansang dan kandin diyà te kros. 
MRK.15.26	Doen solat tepad te indimanda kandin insawol dan kidoen, kagi niyan, “Seini se Selotan te menge Judiyo.”
MRK.15.27	Doen heman dowa megdedempasay inlansang diyà te kros kidoen te tangkil din, aw si Jesus diyà te tengà-tengà. [ 
MRK.15.28	Yan netoman se kagi te Timanem insolat gebii,
MRK.15.28	“Ipelumun sikandin iling te otaw dakel se salà.”]
MRK.15.29	Migtompuyus kandin se menge otaw minokit diyà te dalan medapag kidoen. Migkiling-kiling dan te olo dan te pegsila dan kandin, aw minikagi dan, “Ehe. Minikagi ka te mekebatog ka megbaet te dakel simbahan sida, aw todà no iyan ipetindeg dalem te telo se aldaw. 
MRK.15.30	Na, aw mekebatog ka kenyan, pekitai diyà kenami te doen tolos no pineokit te pegtabang no te kamno pegkeotawun amon eked ka kematay. Tenà ka den lekat te kros.”
MRK.15.31	Iling heman kenyan se pegtompuyus te menge pengolo te simbahan, aw menenoladà te punù ingkeliwat i Moises. Minikagi dan, “Migtabang sikandin te menge doma otaw netigdaan amon eked dan pa kematay. Meneng eked den sikandin peketabang te kandin pegkeotawun amon eked kematay. 
MRK.15.32	Aw benal sikandin se Misiyas aw Selotan te menge bowad-bowad i Israel, mekebatog sikandin tomenà lekat te kros dalem te pegtengteng tadon kandin, amon memenal kidon kandin.”
MRK.15.32	Iling heman kenyan se pegtompuyus te doma otaw inlansang diyà te kros kidoen te tangkil din.
MRK.15.33	Nayan, pegkealas dosi te aldaw, migkengitngit se langit aw tanà lamig alas tris te meapon. 
MRK.15.34	Menge alas tris te meapon, timawal si Jesus te dakel se kagi din, kagi te Hebreo, “Eloi, Eloi, lama sabaktani?” Se kelebadan niyan, “E Timanem ko, nengà lay tinenanan a nikaw?”
MRK.15.35	Pegdineg te menge otaw netipon kidoen, minikagi dan, “Na, nengenganay den sikandin diyà ki Elias, sìyan telekeliwat te kagi te Timanem gebii.”
MRK.15.36	Doen otaw ayas minangay te ispongha aw inagem din iyan diyà te bino sinengedan te wayeg. Intangen din iyan diyà te toktok te tigbaw, aw impesopsop din iyan ki Jesus. Minikagi heman se otaw, “Pebeyai niyo sikandin, so kitaen tadon aw domini si Elias amon mengabat kandin.”
MRK.15.37	Penga niyan, timawal si Jesus te dakel se kagi din, aw penga niyan nematay.
MRK.15.38	Nayan, tigkan nelisì se kayad kidoen te tengà-tengà te dakel simbahan te Jerusalem. Nelisì iyan lekat diatas lamig diyà te ongan. 
MRK.15.39	Gayed timengteng se kapitan te sondalo ki Jesus, aw pegkità din te pegtawal din aw pegkematay din, minikagi sikandin, “Ontò Batà te Timanem se otaw sìyan.”
MRK.15.40	Doen heman menge bayi kidoen kenà mediyò te kros, aw kinità dan se kedita te neinang. Sikandan si Maria tege Magdala, aw kesangay din si Maria inay te kaling otaw si Santiago aw si Jose. Kidoen heman si Salome. 
MRK.15.41	Sikandan se tapay timaking ki Jesus te peglegeb din kidoen te probinsya te Galiliya amon megtabang dan kandin. Medita heman se doma dan bayi timaking ki Jesus te pegdoton din te Jerusalem.
MRK.15.42+MRK.15.43	Agpet den somallep se aldaw, aw keeldawan niyan se Sebado aw aldaw te peg-etod. Doen otaw si Jose tege Arimatiya. Sikandin se sebad obanen egsegmanen te menge doma din obanen eglowan diyà te menge Judiyo, aw egpeliman sikandin te peglowan te Timanem. Pegkeapon niyan, impesalig din se pedowan din, aw dimoton ki Pilato, aw pinemoyò din se lawa i Jesus amon ilebeng din. 
MRK.15.44	Nepela si Pilato te nematay den si Jesus. Yan se doun te impeangay din se kapitan te sondalo, aw mig-insà kandin aw nematay den si Jesus. 
MRK.15.45	Peg-ikagi te kapitan te benal nematay den si Jesus, migpunù si Pilato te mepakay aw ebaten i Jose se lawa din. 
