MAT.1.1	Kabuttuanna Yesus Kristus peampoanna tomaraya Daud, peampoanna Abraham, susi inde laoannae:
LUK.4.4	Natimba' Puang Yesus nakua: “Dengan tiuki' illalan Buku Masero nakua:
LUK.4.4	‘Tangngia angga roti la napotuo ma'rupa tau.’ ”
LUK.4.5	Umbawaimi Puang Yesus ponggawana setang langngan angngenan malangka' anna paitaii sappalli' angganna kaparentaan illalan lino, 
LUK.4.6	anna kuanni: “Angganna te mai kakuasaan sitonda kamatandeannae mangka asammi dipalessu' rokko lisu pala'ku. La kupalulakomi kalemu annu kao pawa benna la kubengan. 
LUK.4.7	Ianna mupenombaina' Iko asammo la ummampuii.”
LUK.4.8	Natimba' Puang Yesus nakua: “Dengan tiuki' illalan Buku Masero nakua:
LUK.4.8	‘Penombaiko Puang Allata'alla Dewatammu anna angga ia la mupengkaolai.’ ”
LUK.4.9	Mangkai, ussolammi Puang Yesus lako Yerusalem anna payaoi bubungan Banua Ada'na Puang Allata'alla anna kuanni: “Ianna Anakna tongangko Puang Allata'alla, dondonangko kalemu rokko 
LUK.4.10	annu dengan tiuki' illalan Buku Masero nakua:
LUK.4.10	‘La ussua malaeka'na Puang Allata'alla undagai manappako,
LUK.4.11	anna natimangko diong napolalan tae' titumbu lentekmu lako batu.’ ”
LUK.4.12	Natimba' Puang Yesus nakua: “Dengan duka' tiuki' illalan Buku Masero nakua:
LUK.4.12	‘Dau ammu sandak-sandak Puang Allata'alla Dewatammu.’ ”
LUK.4.13	Mangka asanni umpalako passudianna ponggawana setang, umpelleimi Puang Yesus anna ummampai attu maliwang.
LUK.4.14	Nakuasaimi Penawa Masero Puang Yesus anna ma'pasule lako Galilea. Silelemi kareba diona pengkaranganna Puang Yesus dio lembang iatoo. 
LUK.4.15	Ulleleammi banua pa'sambayanganna to Yahudi ma'pa'guru anna naporai angganna tau.
LUK.4.16	Mangkai too, lu lakomi Nazaret Puang Yesus, angngenan dingei umpakamaii. Nalambi'i allo katorroan, tamami banua pa'sambayanganna to Yahudi, susi beasa sinapogau'. Ke'de'mi illalan la umbaca Buku Masero. 
LUK.4.17	Dibengammi sura'na nabi Yesaya. Nabillangmi, napolalan ullambisan battakada nakua:
LUK.4.18	“Naluangna' Penawa Maserona Dewata,
LUK.4.18	annu mangkamo' nabassei bayu-bayu la umpalanda' Kareba Kadoresan lako to mase-mase.
LUK.4.18	Anna nasuana' umpa'peassakan kadirappanananna to disakka,
LUK.4.18	kamalapusanna to buta,
LUK.4.18	anna urrappanan to dianda'i onggo'-onggo'na,
LUK.4.19	anna umpa'peassakan kumua nalambi'mi attunna la umpakawanan pa'kamasena Dewata lako ma'rupa tau.”
LUK.4.20	Ullulummi sule inde sura'e anna beenni lako to simengkarang illalan banua pa'sambayangan anna mane ma'loko. Nasinenne'-nenne'imi tau illalan pa'sambayangan. 
LUK.4.21	Naparandukmi ma'pa'guru Puang Yesus nakua: “Allo temo murangnginna inde battakadae lemba'mi issinna.”
LUK.4.22	Natula' mapia asammi tau anna mangnga-mangnga urrangngii annu maleke sambakan kadanna. Nakuamo inde mai taue: “Tangngiaka te anakna Yusuf-e?”
LUK.4.23	Nakuamo Puang Yesus: “Innang la mupokada inde samparan kada lako kalekua'e kumua: ‘O tuandotto' pomalapu'ko kalemu, kalembasanna pogau'i duka' inde tondokmu tanda memangnga-mangnga kirangngi mangka mupogau' dio Kapernaum.’ ” 
LUK.4.24	Ma'kada pole omi Puang Yesus nakua: “Kupokadangkoa' sitonganna, tae' dengan nabi diangga' dio tondokna. 
LUK.4.25	Innang manassa te tula'kue: Attunna nabi Elia, dengan pissan attu kulla' allo tallu taun annan bulanna lambisan kendek karorian salembang Israel. Buda baine balu dio Israel attu iatoo 
LUK.4.26	sapo ta'ra ia disua Elia lao umpellambi'i mesa baine balu dio Israel, sangngadinna disua lao umpellambi'i baine balu dio Sarfat, illalan lembangna Sidon. 
LUK.4.27	Susi toi duka' anna attunna nabi Elisa, buda to dolengan dio Israel tae' duka' dengan moi mesamo napomalapu' salianna Naaman to lu dio mai Siria.”
LUK.4.28	Urrangnginna tula'na Puang Yesus, keara' asammi tau illalan inde pa'sambayanganne. 
LUK.4.29	Ke'de' asammi anna urrambai Puang Yesus lako salian tondok anna baai lako palimping dio sa'de tondok la nasulunan rokko. 
LUK.4.30	Sapo umpa'tangngai tau buda Puang Yesus anna le'ba umpelleii.
LUK.4.31	Mangkai too, le'bami Puang Yesus rokko kota Kapernaum dio Galilea anna umpa'guru tau ke nalambi' omi allo katorroan. 
LUK.4.32	Mangnga-mangnga asan tau urrangngi pepa'guruanna annu sitonda kakuasaan tula'na.
LUK.4.33	Illalan inde pa'sambayanganne dengan mesa to natamai setang. Inde taue meoli-oli nakua: 
LUK.4.34	“Yesus to Nazaret, la muakakanni? La saerokoka untallannikan? Kuissanan kumua To Maseroko lu yao mai Puang Allata'alla.”
LUK.4.35	Sapo tappa nasadangngi Puang Yesus nakua: “Kamma'ko, mallaiko illalan mai kalena itin tauo.” Umpessambakammi inde tau rokko litak illalan alla'-alla'na tau budae anna mane mallai sapo tae' sia nasanggangngi.
LUK.4.36	Mangnga-mangnga asammi tau, napolalan sipantula'-tula' nakua: “Battakada akamoa' te sanganna anna mala ussua lao setangnge? Inde battakadae sitonda kakuasaan anna kamatoroan.” 
LUK.4.37	Silelemi kareba diona pengkaranganna Puang Yesus dio lembang iatoo.
LUK.4.38	Mangkai too, suummi Puang Yesus illalan mai banua pa'sambayangan anna le'ba lako banuanna Simon. Attu iatoo makula' matukanna Simon baine. Napelaumi to dio reen lako Puang Yesus kenamala napomalapu'. 
LUK.4.39	Leba'mi lako sa'de mammasanna inde bainee ke'de' anna suai lao sakinna. Monda siami sakinna napolalan millik anna untarakanni to saena.
LUK.4.40	Lendu'i allo, sasaeammi tau pantan ussolaan to masaki, ma'rupa-rupa sakinna. Narisimi Puang Yesus naanda'i lambisan malapu' asan. 
LUK.4.41	Susi duka' to natamai setang, mallai asan setang illalan mai kalena napasiolaan kumillong-killong nakua: “Anakna tongangko Puang Allata'alla!” Sapo nasadangngi Puang Yesus anna tae' napabeai mantula' annu naissanan asammi kumua To dibassei bayu-bayu la ma'pasalama'.
LUK.4.42	Masiangna mengkalaomi Puang Yesus lako mesa angngenan maitu-itu. Sapo nasipeang-peangngi tau buda napolalan nalambi'. Umpeangmi lalan anna malara tae' napellei Puang Yesus.
LUK.4.43	Sapo ma'kada Puang Yesus nakua: “Kareba Kadoresan diona kaparentaanna Puang Allata'alla innang la kupalanda' duka' lako tondok senga' annu iamo nangei ussuana' Puang Allata'alla tama lino.” 
LUK.4.44	Ulleleammi pa'sambayanganna to Yahudi Puang Yesus dio lembangna Yudea ma'pa'guru.
LUK.5.1	Pissan attu ke'de' Puang Yesus dio biring Tasik Genesaret ma'pa'guru.
LUK.5.2	Ummitami dua lopi dio biring tasik lo'bang, annu marassan umbasei dalana puangna. 
LUK.5.3	Langngammi mesa lopi, lopinna Simon anna ussua Simon umbussunni tama tasik titti'. Ma'lokomi yao inde lopie anna umpa'guru tau buda.
LUK.5.4	Mangkai ma'pa'guru, ma'kadami lako Simon nakua: “Palutamai mandalanna tasik lopimmu ammu madala mupolalan ummala be'dok.”
LUK.5.5	Natimba' Simon nakua: “Sabongimi kipetonganni mengkarang, tae' dengan aka kilolongan. Sapo Iko ussuana', dadi la lao polepa' madala.”
LUK.5.6	Napalako tongammi, napolalan buda be'dok naala lambisan napollo'mo sesse' dalana. 
LUK.5.7	Ungka'bi'mi solana dio lopi senga' anna sae umpamoloii. Saei solana, ummissiimi inde dua lopi saponnonae napolalan ambo' titti' tallan.
LUK.5.8	Tappana naita Simon Petrus, malimuntu' siami dio tingngayona Puang Yesus anna ma'kada nakua: “O Dewata, pelleina' lao annu to kasalaanna'!” 
LUK.5.9	Annu mangnga-mangnga tongan Simon sola angganna to nasolaan ummita inde budanna be'dok naalae. 
LUK.5.10	Mangnga-mangnga duka' solana Simon disanga Yakobus anna Yohanes, bassi anakna Zebedeus.
LUK.5.10	Nakuamo Puang Yesus lako Simon: “Dau marea'! Mengkalao temo rupa taumo la mudala.” 
LUK.5.11	Umpalangngammi gantanan lopinna sola solana anna untampe porewana le'ba unturu' Puang Yesus.
LUK.5.12	Pissan attu, illalan mesa kota Puang Yesus, saemi duka' mesa to nakabu' doleng kalena. Tappana ummita Puang Yesus, sae siami napellambi'i anna malimuntu' dio tingngayona anna mengkarumase-mase melau nakua: “O Tuang, kuissanan kumua malana' mupomalapu' ke moraiko.”
LUK.5.13	Ummanda'imi inde taue napasiolaan ma'kada nakua: “Moraina', malapu'moko!” Monda siami sakinna.
LUK.5.14	Napakari'di'mi Puang Yesus kumua tae' la napokada lako tau inde kara-karae. Nakuammi Puang Yesus: “Laomoko umpa'paitaan kalemu lako imam ammu baa bua pemala'mu situru' pepa'guruanna Musa la napotanda lako tau buda kumua malapu'moko.” 
LUK.5.15	Sapo tuttuan sileleria kareba diona pengkaranganna Puang Yesus napolalan buda tau sae la umperangngii pepa'guruanna anna la dipomalapu'. 
LUK.5.16	Moi anna susimo too, sapo sibassa'pi ullessusan kalena Puang Yesus anna le'ba lako angngenan maitu-itu ma'sambayang.
LUK.5.17	Pissan attu anna marassan ma'pa'guru Puang Yesus, dio duka' reen pira-pira to Farisi anna to untarru' issinna sura'na Musa. Inde mai taue pantan sae dio mai Yerusalem, dio mai angganna tondok dio lembangna Galilea anna lembangna Yudea. Dengan kakuasaanna Puang Allata'alla illalan kalena Puang Yesus napolalan mala umpomalapu' to masaki. 
LUK.5.18	Saemi pira-pira tau umbulle mesa to balimbingan mamma' dio ampa'na. Umpeangmi lalan la tama banua umbaa inde to masaki lako tingngayona Puang Yesus-e. 
LUK.5.19	Sapo tae' dengan naola annu nalawai tau buda napolalan lu langngammo papa anna so'boi rokko sipatunna Puang Yesus anna mane lolloranni sitonda ampa'na rokko tingngayona Puang Yesus illalan alla'-alla'na tau buda. 
LUK.5.20	Inde anna itami Puang Yesus kapangngoreanannae, ma'kadami lako inde to balimbinganne nakua: “Digarri'imi kasalaammu.”
LUK.5.21	Nakuamo illalan penawanna inde to Farisi anna to untarru' issinna sura'na Musae: “Bennara inde taue? Maakaria anna barani untelle Puang Allata'alla? Tae' dengan tau mala unggarri'i kasalaan, mesa-mesanna Puang Allata'alla!”
LUK.5.22	Sapo nalosa Puang Yesus tama penawanna lambisan ma'kada nakua: “Maakari anna kendek pekutana susi illalan penawammua'? 
LUK.5.23	Umbanna la madommi' dikua lako inde taue: ‘Digarri'iammoko kasalaammu,’ anna la dikuanni: ‘Millikko ammu menono'?’ 
LUK.5.24	Sapo la kupaitaikoa' temo kumua ma'kuasa Anak Mentolino unggarri'i kasalaan illalan inde linoe.” Anna mane ma'kada lako inde to balimbinganne nakua: “Millikko, alai ampa'mu ammu sule lako banuammu!” 
LUK.5.25	Millik siami inde to masaki naita tau budae, anna ummala ampa'na anna mane le'ba sule lako banuanna napasiolaan umpakasalle Puang Allata'alla. 
LUK.5.26	Mangnga-mangnga asammi tau anna umpakasalle Puang Allata'alla, sapo marea' toi duka' napolalan ma'kada nakua: “Memangnga-mangnga tongan inde kadadian taita allo temoa'e.”
LUK.5.27	Mangkai too, suummi Puang Yesus, ummitami mesa tuang passima disanga Lewi ma'loko-loko illalan kantoro'na. Napa'kadaimi Puang Yesus nakua: “Maiko ammu turu'na'.” 
LUK.5.28	Ke'de' siami Lewi anna umpellei angganna aka-akanna le'ba unturu' Puang Yesus.
LUK.5.29	Umpadadimi mesa rame-rame Lewi dio banuanna la umpakasalle Puang Yesus. Sasaeammi tuang passima sola tau senga' nasolaan ummande. 
LUK.5.30	Sapo tae' masannang to Farisi sola to untarru' issinna sura'na Musa ummitai lambisan ma'kada lako passikolana Puang Yesus nakua: “Maakari ammu ummandea' sola tuang passima anna to kasalaan?”
LUK.5.31	Natimba' Puang Yesus nakua: “Tangngia to malapu' umparallui tuandotto', sapo to masaki. 
LUK.5.32	Tangngia Kao to malolo sae kutambai sapo to kasalaan anna malara mengkatoba'.”
LUK.5.33	Mangkai too, ma'kadami pira-pira tau lako Puang Yesus nakua: “Sibassa' ia ma'puasa passikolana Yohanes anna ma'sambayang. Susi toi duka' passikolana to Farisi. Sapo passikolamu Iko siummande liu sola ummiru', tae' dengan ma'puasa.”
LUK.5.34	Natimba' Puang Yesus ummala mesa pa'rapanan nakua: “La malarika disua ma'puasa to ullomba pa'sombaan ke diopi reen to mane dipakebaine? Manassa anna tae'! 
LUK.5.35	Sapo la dengan attunna inde to mane dipakebainee la dialai illalan mai alla'-alla'na to ullombai. Attu iamo too anna mane ma'puasa.”
LUK.5.36	Ummala polemi mesa pa'rapanan senga' nakua: “Tae' dengan tau la ussesse'i bayu bakaru anna mane tampisanni bayu malusa. Annu la situmang babang, sesse' inde bayu bakarue, tae' toi duka' la mapia diita bayu malusa ditampi' sampin bakaru. 
LUK.5.37	Tae' toi duka' dengan tau ummala anggur bakaru anna patamai pa'pengngean malusa. Annu inde anggur bakarue la untessean pa'pengngean malusa. Katampakanna bassi masala susi anggurna tenni pa'pengngeanna.
LUK.5.38	Dadi, anggur bakaru manggi' dipalutama pa'pengngean bakaru.
LUK.5.39	Tae' dengan tau ma'din ummiru' anggur bakaru ke mangkai ummiru' anggur masaemo. Annu nakua: ‘Marru mammi' ia anggur masaemo.’ ”
LUK.6.1	Pissan attu, sirupang allo katorroan umpa'tangngai bela' gandum Puang Yesus sola passikolana. Marassanni menono' napasiolaan siami ummala gandum passikolana anna kuli'i anna mane andei. 
LUK.6.2	Dengan pira-pira to Farisi mekutana nakua: “Maakari ammu pogau' tala malanna dikarang ke allo katorroan?”
LUK.6.3	Natimba' Puang Yesus nakua: “Ta'paka iko dengan mubaca diona pa'palakona Daud sola to unturu'i anna tadea'?
LUK.6.4	Attu iatoo lu tama angngenan kapemalasan Daud anna ummala roti mangka dipopemala' langngan Puang Allata'alla anna andei anna mane beenni lako to unturu'i, moika anna angga imam mala ummandei.” 
LUK.6.5	Nakua pole omo Puang Yesus: “Anak Mentolinomo puangna allo katorroan.”
LUK.6.6	Pissan attu nalambi' omi allo katorroan. Tamami pa'sambayanganna to Yahudi Puang Yesus ma'pa'guru. Illalan inde pa'sambayanganne dengan mesa tau mate lima kananna. 
LUK.6.7	Dio duka' reen pira-pira to untarru' issinna sura'na Musa sola to Farisi. Umpalao mata liumi Puang Yesus annu nakua illalan penawanna umba ke tokke'i umpomalapu' to masaki ke allo katorroan anna malara dengan lalan umpaalinni kasalaan. 
LUK.6.8	Sapo naissanan Puang Yesus pikki'na napolalan ma'kada lako inde to mate limanna sabalie, nakua: “Maiko ammu ke'de' illalan inde alla'-alla'e.” Le'ba siami tama alla'-alla'na tau buda anna ke'de' illalan. 
LUK.6.9	Ma'kadami Puang Yesus lako tau buda nakua: “Dengan la kupekutanaan: Situru' atoran aluk, umbanna mala dipogau' ke allo katorroan, kamapiaarraka kakadakearraka? La umpesangkairiki'ka solata la dipateirika?” 
LUK.6.10	Umpalelemi matanna Puang Yesus lako tau buda, anna mane ma'kada lako inde to mate limanna sabalie nakua: “Ette'i limammu!” Naette'mi, tappa malapu' siami. 
LUK.6.11	Keara' asammi inde mai to untarru' issinna sura'na Musa sola to Farisie. Sipantula'-tula'mi umpokada aka la napogau' lako Puang Yesus.
LUK.6.12	Mangkai too, lu langngammi tanete Puang Yesus annu la ma'sambayang. Napesabongimi yao ma'sambayang langngan Puang Allata'alla. 
LUK.6.13	Masiangngi, untambaimi angganna passikolana anna pileii sapulo dua to la mendadi rasulna. Inde to napilee iamo: 
LUK.6.14	Simon sinasangai Petrus, Andreas sirondongna Simon, Yakobus, Yohanes, Filipus, Bartolomeus, 
LUK.6.15	Matius, Tomas, Yakobus anakna Alfeus, Simon to nakala' kombongan Zelot,
LUK.6.16	Yudas anakna Yakobus, anna Yudas Iskariot to la umpa'perososan Puang Yesus.
LUK.6.17	Mangkaii, ma'pasulemi Puang Yesus sola rasulna yao mai inde tanetee lu rokko merrantena. Saei rokko, ullambi'mi passikolana ma'rempun anna buda tau senga' nasolaan to lu dio mai lembangna Yudea anna to yao mai Yerusalem, anna to lu dio mai kota dio biring tasik iamo Tirus anna kota Sidon. 
LUK.6.18	Inde mai taue sae la umperangngii Puang Yesus anna morai la napomalapu'. Dengan duka' to natamai setang sae napomalapu' Puang Yesus. 
LUK.6.19	Morai asammi la urrumbu Puang Yesus annu dengan kakuasaan suun illalan mai kalena umpomalapu'i.
LUK.6.20	Unnenne'imi passikolana Puang Yesus anna ma'kada nakua:
LUK.6.20	“Kerongko'koa' anggammu to mase-mase,
LUK.6.20	annu ikomoa' petauanna Puang Allata'alla illalan kaparentaanna.
LUK.6.21	Kerongko'koa' anggammu to tadea' temo,
LUK.6.21	annu la dipedea'ikoa'.
LUK.6.21	Kerongko'koa' anggammu to tumangi' temo
LUK.6.21	annu la metawakoa'.
LUK.6.22	Kerongko'koa' anggammu to dikabassi, to tae' ditarima, to ditula' kadake, anna to disumbala annu diangga' to kadake ura'na unturu'koa' Anak Mentolino. 
LUK.6.23	Annu susimi duka' naduppa nabi yolona nadarra nenena to ungkabassikoa' temo. La dore'koa' ammu sumayo ke nalambi'koa' kara-kara iatoo annu kamai saromua' yao suruga.
LUK.6.24	Sapo la sanggangkoa' anggammu tomakaka temo,
LUK.6.24	annu ussa'dingammokoa' kamasannangan.
LUK.6.25	La sanggangkoa' anggammu to dea'mo temo
LUK.6.25	annu la tade'koa' ke dako'.
LUK.6.25	La sanggangkoa' anggammu to metawa temo
LUK.6.25	annu la ma'pote bolongkoa' sola tumangi'.
LUK.6.26	La sanggangkoa' anggammu to natede tau
LUK.6.26	annu susimi duka' napogau' nenena to untedekoa' lako to ussanga kalena nabi.”
LUK.6.27	“Sapo lako ikoa' to urrangngi tula'ku temo, kupelau matin: Kamaseikoa' ewalimmu, ma'gau' mapiakoa' lako to ungkabassikoa'. 
LUK.6.28	Pelauanni tamba' to untadokoa', pa'sambayanganni to ma'gau' kadake lako kalemu. 
LUK.6.29	Ianna dengan tau untampiling papomu sabali, tananan polei sabalinna. Ianna dengan tau tokke' ummala bayu rui'mu, bengan polei bayummu. 
LUK.6.30	Ianna dengan tau umpelau aka-akammu, beenni. Ianna dengan tau urrappa aka-akammu dau pelaui sule. 
LUK.6.31	Iamo muporai la napogau' tau lako kalemu, iamo mupogau' lako.
LUK.6.32	Ianna anggamo to ungkamaseiko mukamasei tae' dengan lalammu la disaroi. Annu to kadake gau' duka' anna ungkamasei to ungkamaseii. 
LUK.6.33	Ianna anggamo to ma'gau' mapia lako kalemu mungei ma'gau' mapia, tae' dengan lalammu la disaroi. Annu to kadake gau' duka' anna ma'gau' susi. 
LUK.6.34	Ianna anggamo to la nabela umpasule doi'mu mupaindanni, tae' dengan lalammu la disaroi. Annu to kadake gau' duka' anna sipaindan-indanni annu la nabela napasule. 
LUK.6.35	Sapo la ungkamaseikoa' iko ewalimmu ammu ma'gau' mapia lako. La umbengangkoa' pangngindanan tau anna tae' la murannuan sulena. Ianna susimo too, la kamai saromua' anna la manassamo kumua anaknamokoa' Puang Allata'alla to randan matande annu to mapia penawa lako to tanaissan ma'kurru' sumanga' sola lako to kadake. 
LUK.6.36	Iamo too la mamasekoa' susi Ambemu sumpu mamase.”
LUK.6.37	“Daua' tokke' umpasala padammu, indana pasalakoa' duka' Puang Allata'alla. Daua' umpabambanni sangka' padammu indana pabambannikoa' duka' sangka' Puang Allata'alla. Garri'ikoa' kasalaanna padammu anna garri'iangkoa' duka' kasalaammu Puang Allata'alla. 
LUK.6.38	Ma'petandokoa' lako padammu anna tandoikoa' duka' Puang Allata'alla. Dengan sukasan randan mapia la dipassuka'iangkoa', la didodak anna mane dipede' saponnona lambisan lempan lao la dibengangkoa'. Annu inde sukasan mupake lako padammue iamo duka' dipassuka'iangko.”
LUK.6.39	Anna mane ummala mesa pa'rapanan Puang Yesus nakua: “Ianna to butamo untette to buta bassi la metobang rokko garotin.
LUK.6.40	Tae' dengan leleanna la tanda langnganan passikola anna tuanggurunna. Sapo ianna tamma'mo passikola pada rantemi tuanggurunna.
LUK.6.41	Maakari ammu ummita polinna solamu pada nennu' anna tae'ko iko la ussa'ding bulissak illalan matammu? 
LUK.6.42	Umbamo la mukua ma'kada lako solamu: ‘Maiko angku alaiangko polimmu pada nennu',’ anna bulissak iko illalan matammu tae' musa'ding? O to ma'dua tambuk, alai yolo bulissak illalan mai matammu anna malara muita ummalaian polinna solamu pada nennu'.”
LUK.6.43	“Tae' dengan kayu mapia la ungkembuaan bua kadake, battu' kayu kadake la ungkembuaan bua mapia. 
LUK.6.44	Annu' simesa-mesa to' kayu mala diissanan ke diitami buana. Ta'pa dengan tau ummala bua ara dio mai to' kayu ma'duri battu bua anggur naala dio mai to' duri. 
LUK.6.45	Susimi duka' lako ma'rupa tau. Angganna to mapia penawa, angga mapianna suun dio pudukna annu mengkalao illalan penawanna mapia. Sapo lako to kadake, angga kadakena suun dio pudukna annu mengkalao illalan penawanna kadake. Annu iamo illalan penawa iamo lemba' dio puduk.”
LUK.6.46	“Maakari ammu kua lako kalekua': ‘O Dewata, O Dewata’, moi kenada tae'koa' unturu' tula'ku? 
LUK.6.47	Aka la dipasiundusan to sae umperangngii tula'ku anna palakoi? Perangngii angku tulasangkoa'. 
LUK.6.48	Inde mai taue dipasirapan to la mebanua. Nakalimi rokko saullambi'na batu anna mane pa'pake'de'i banuanna. Tapakala sae wai buda unta'dulan inde banuae tae' nabela songka annu matoto'. 
LUK.6.49	Sapo lako to urrangngi tula'ku anna tae' napalako, dipasirapan to umpake'de' banua dio litak tae' nabatui. Saei wai unta'dulanni roppok siami anna pokak-pokak.”
LUK.7.1	Mangkai umpokada inde mai kara-kara Puang Yesus lako tau budae, lu lakomi Kapernaum. 
LUK.7.2	Dio inde tondokke, dengan ponggawana tantara Roma ummampui sabua' anna naangga' tongan-tongan. Attu iatoo masanta' inde sabua'nae lambisan ambo' titti' bonno'. 
LUK.7.3	Tappana urrangngi karebana Puang Yesus, ussuami perepi'na to Yahudi lao umpellambi'i anna pelaui kenamala sae umpomalapu' inde sabua'nae. 
LUK.7.4	Silambi'i Puang Yesus, mengkarumase-masemi melau lako nakua: “La sipato' mukamasei inde ponggawana tantarae, 
LUK.7.5	annu ungkamasei tongan-tongan to Yahudi anna mangkamokan napake'desan banua pa'sambayangan.” 
LUK.7.6	Mengkalaomi Puang Yesus sola inde to sae untambaie.
LUK.7.6	La ullambi' kalei banuanna ponggawana tantara Puang Yesus, ussuami solana inde ponggawana tantarae lao umpalandasanni tula'na lako Puang Yesus nakua: “O Tuang, daumo ussussai kalemu tarru' lako banuangku, annu tae'na' sipato' mupellambi'i dio banuangku, 
LUK.7.7	iamo too anna tae'na' duka' barani lao umpellambi'iko. Sapo pokada mammi sabatta kada, la malapu'mi to sabua'kuo. 
LUK.7.8	Annu to diparentana' duka' tee anna pira-pira toi duka' tantara kupatandarokkoan. Ianna kukua lako mesa tantara: ‘Mengkalaoko,’ le'ba siami. Anna lako senga'na kukua: ‘Maiko,’ sae siami; battu lakoraka sabua'ku kukua: ‘Karangngi indee,’ nakarang siami.”
LUK.7.9	Mangnga-mangngami Puang Yesus urrangnginna tula'na inde taue. Menggirikmi unnenne'i tau buda ummula'i anna ma'kada nakua: “Kupokadangkoa', ta'pa dengan kulambi' nasusian kapangngoreananna inde taue moi to Israel.”
LUK.7.10	Sulei lako banua inde mai to disuae, malapu'mi inde sabua'e.
LUK.7.11	Tae' masae mangkanna, le'bami Puang Yesus sola passikolana lako mesa kota disanga Nain, anna budapa tau senga' ma'karompo' ummula'i. 
LUK.7.12	La ullambi'i ba'ba kota, sitammumi to lao umbaa to mate. Inde to matee anak muanemi, anak mesa, balu polepi indona. Buda to ma'tondok unturu' inde baine balue. 
LUK.7.13	Rantang siami buana Puang Yesus ummita inde baine balue. Nakuamo lako: “Dau tumangi'.” 
LUK.7.14	Umpengkadappi'imi bullean anna anda'i. Torromi duka' to ma'bulle. Nakuamo Puang Yesus: “O anak muane, kukua matin, millikko.” 
LUK.7.15	Membangun siami inde taue anna ma'loko mantula'. Anna mane palessu' rokkoi lisu pala'na indona.
LUK.7.16	Marea' asammi inde mai taue anna umpakasalle Puang Allata'alla nakua: “Mesa nabi kamai kendek illalan alla'-alla'ta! Saemi Puang Allata'alla umpasalama' petauanna!” 
LUK.7.17	Silelemi kareba illalan lili'na Yudea anna lako angngenan sapanambena diona kara-kara napogau' Puang Yesus.
LUK.7.18	Urrangnginna kareba Yohanes to simantedok dio mai passikolana diona pengkaranganna Puang Yesus, 
LUK.7.19	untambaimi dua passikolana anna suai lao mekutana lako Puang Yesus kumua: “Ikomoka to la sae situru' pa'dandinna Puang Allata'alla, dengampika tau senga' la kiampai?”
LUK.7.20	Ullambi'i Puang Yesus inde dua passikolana Yohanes-e, nakuamo: “Nasuakan Yohanes to simantedok sae mekutana lako kalemu kumua: ‘Ikomoka to la sae situru' pa'dandinna Puang Allata'alla, dengampika tau senga' la kiampai?’ ”
LUK.7.21	Attu iatoo buda to masaki napomalapu' Puang Yesus anna urrambai setang illalan mai kalena tau anna buda to buta napomalapu' lambisan mala paita. 
LUK.7.22	Natimba'mi Puang Yesus nakua: “Sulemokoa' ammu tulasanni Yohanes angga muitanna anna murangnginna: To buta malami paita, to balimbingan malami menono', to dolengan monda dolengna, to taru mala parangngi, to mate mala tuo sule, anna to mase-mase urrangngi Kareba Kadoresan.
LUK.7.23	Kerongko' angganna to tae' tikanna penawanna ummitana'.”
LUK.7.24	Le'bai pesuanna Yohanes to simantedok, mantula' omi Puang Yesus lako tau buda untula' Yohanes nakua: “Aka lao mutungkaa' lako padang alla'? Laorokoka umpetua' to' tille napalurekke lu sau' bara'? 
LUK.7.25	Aka lao mupetua' lakoa'i? Laorokoka umpetua' to ma'pakean maleke? Dio ia banuanna tomaraya nangei to ma'pakean maleke anna to natambunni ewanan. 
LUK.7.26	Dadi aka lao mukarang lakoa'i? Laorokoka umpetua' nabi? Tonganna, anna nasanga Kao kadangku tanda langnganna nabi. 
LUK.7.27	Annu Yohanesmo napatu battakadanna Puang Allata'alla nakua:
LUK.7.27	‘Indemi pesuangkue, kusuami uyyoloanangko,
LUK.7.27	anna iamo la umpatokangko lalan la muola.’
LUK.7.28	Kupokadangkoa' sitonganna, mengkalao dio mai ta'pa dengan rupa tau illalan lino la untondon Yohanes to simantedok. Sapo natondon to nakala' kaparentaanna Puang Allata'alla moi randan wiring rokkonamo.”
LUK.7.29	Angganna to urrangngi tula'na Puang Yesus sae lako tuang passima untonganan asammi pa'kuanna Puang Allata'alla annu mangkami natedok Yohanes. 
LUK.7.30	Sapo inde mai to Farisi sola to untarru' issinna sura'na Musae ussumbala asan pa'kuanna Puang Allata'alla lako kalena, annu moka natedok Yohanes.
LUK.7.31	Ma'kada pole omi Puang Yesus nakua: “Akamo la kupasirapanan ma'rupa tau lapik temo anna akamo la kupasiundusanni? 
LUK.7.32	Inde mai taue la kupasirapan anak pantan ma'kombong-kombong ma'loko dio pasa' anna sialo'-alo' nakua:
LUK.7.32	‘Kipa'tulaliangkoa' sapo mokakoa' sumayo.
LUK.7.32	Umbatingkan sapo mokakoa' tumangi'.’
LUK.7.33	Annu sae Yohanes to simantedok bassa' sima'puasa anna tae' siummiru' anggur, musangaia': ‘To natamai setang.’ 
LUK.7.34	Tapakala sae duka' Anak Mentolino, siummande anna ummiru' anggur, mukuaa': ‘Petua'ria', poppokan, pangngiru', solana tuang passima anna to kasalaan.’ 
LUK.7.35	Sapo moika anna susimo too kakeakasanna Puang Allata'alla innang la kawanan ummolai panggauanna angganna to unturu'i.”
