MAT.1.1	Annayan mansùsùnufan na nginkanà an Jesu Cristu wi kanà David wi kanà ako Abraham.
LUK.21.24	Mapatoy na uchum ya milayaw akon uchum ta ad-adchayuwani ili à mifarud. Ad na annay ilin na Judio wi Jerusalem, yamyam-anon na foon pù Judio ingkanà pagpakon Apudyus na manturayancha.
LUK.21.25	“Na sachi koy timpu, kaog-ogyat na màwa ta init ya furan ya uray fituwon. Ad na annay luta, maid miyisuwan na ogyat na atakutaku tan sumafalin fayfay wi pumigsan challuyunna ya mamagngor na akungiyongna. 
LUK.21.26	Matarà na somsomò na taku ta ogyatcha ta manguullayancha nu sinun asin màwa ta annay luta, tan makorkor na losani mailad langit. 
LUK.21.27	Ad sachin mangil-anchan saoni namfalin taku, wi iyaliyà ta lifuu, ad maila kon mannakafalin-u ya sumilingà ta kina-Apudyus-u. 
LUK.21.28	Siyan nu milukin anchanayay màwa, masorkag-ayu ya papigsaonyun somsomòyu tan ngannganin masaraknifanyu ta losani likat.”
LUK.21.29	Sachi ad nan-alig à Jesus an chicha, wi anana, “Somsom-onyun imongi ikus ya uchum akoy ayu. 
LUK.21.30	Akammuyu wi nu mangutar, chanchanin chakun. 
LUK.21.31	Isuna ko, nu ilanyuy màwan anchanayay inukud-u, akammuwonyu wi chanchanin milukiyan na Manturayan Apudyus.
LUK.21.32	“Tuttuwan ifakà an chiayu, wi foon pù losan matoy na taku ta annay lunap ad màwan losani inukud-u. 
LUK.21.33	Ad uray maumas losan na mailad langit ya asnay luta, achi pu mabmab-os na losani inukud-ù ing-ingkana, tan masapur matungpar losan.”
LUK.21.34	Inturuy Jesus wi anana, “Man-annad-ayu ta achiyu un-unnoyon na mallagragsakanyu ya makainumanyu, ya ilanyu ko ta achi marafos na chanagyu mipangkop ta probleman na annay mafiyakan, tan awni ad ananyu pun nu chaan na padchay mangulinà ad foon à makasakanaayu. 
LUK.21.35	Tan na mangulinà, maid pu mismù mangakammu ta losani taku ta arutaruta. 
LUK.21.36	Siyan tatanchaananyu ya iluruwaruyun Apudyus ta papigsaonan somsomòyu ta mafalinyuy maanusan losan na mapasamak, ya ta mamfarun misanguwanyun saoni namfalin taku.”
LUK.21.37	Finikati umoy à Jesus ta Templo mantudtuchu, ad minaschom akoy umoy umiyan ta Filig wi Olivo. 
LUK.21.38	Ad finigfikati umoy na losani taku ta Templo mangngor ta itudtuchuna.
LUK.22.1	Sachi ad ngannganin timpun na fiyastay mangananchà tinapoy wi achi pu fumtar, wi siya kon fiyastay ananchay Mangiyakasmoan. 
LUK.22.2	Ad chachi mangitudtuchu ta Lintog ya pangpangun na papachi, nan-uupngacha nu sinun in-inonchay mamatoy an Jesus à foon pu kumà maakammuwan, tan ummogyatchà makuru na taku.
LUK.22.3	Sachi ad finarfaray Satan à Judas Iscariote wi osa ta chachi nasawaran à chuway disipulus Jesus. 
LUK.22.4	Siyan ummoy Judas inturag ta chachi pangpangun na papachi ya uchumi kapitan na kuwarcha ta Templo na mangififikanan Jesus. 
LUK.22.5	Siyan naragsakcha ad nantuturagcha wi fayachanchà siya. 
LUK.22.6	Ummamfuruy à Judas ad illukinay man-anap à wayanay mangififik an Jesus à foon pu kumà maakammuwan ta taku.
LUK.22.7	Naarkawanan ad, chummatong na padchay manganan na Judio ta tinapoy wi achi pu fumtar, wi siya kon mamartiyancha ta pannilu wi maan ta padchay Mangiyakasmoan. 
LUK.22.8	Ad imfaun Jesus cha Pedro an Juan, wi anana, “Ing-ayu isakanan manganantau ta sanay fiyastay Mangiyakasmoan.”
LUK.22.9	Ad inimuschan siya, “Sinun ustù mangisakanaanni?”
LUK.22.10	Ad anana, “Nu lumnòayud aschi Jerusalem, sib-atonyun osay larai wi man-aagtù simfangà chanum. Siyan mitun-uchanyu. Ad na foroy wi lumnoana, 
LUK.22.11	ifakayu ta nginforoy wi, ‘Anan na Misturu, Sinun awachan na kuwartu wi mangananni ta disipulus-u ta annay fiyastay Mangiyakasmoan?’ 
LUK.22.12	Ad ituchunan osay chakor wi kuwartu ta miyagway karachun na foroyna wi wachawad na losani masapur, ad sachin mangisakanaanyu ta manganantau.”
LUK.22.13	Ad lummigwatcha ad inchasanchan losani imfakan Jesus, siyan insakanachan manganancha ta sachi fiyasta.
LUK.22.14	Chummatong pun na ustuy timpun na manganancha ta sachi fiyasta, nan-ooancha Jesus ta chachi nasawaran à chuway apostolesna. 
LUK.22.15	Ad ananan chicha, “Isag-u pion wi makaan an chiayu ta annayay fiyastay Mangiyakasmoan ta chaanà pu mapalikatan! 
LUK.22.16	Tan tuttuway achiyà pu asin makaragsak ta annay fiyasta ingkanà tumuttuwan niyalikana ad langit ta Manturayan Apudyus.”
LUK.22.17	Sachi ad, innaran Jesus na sintasay fayas, ad nanyaman an Apudyus, ad ananan chicha, “Aranyuna ad mamfanfansanyu inumon, 
LUK.22.18	tan na ifakà an chiayu, manipud ta sana achiyà pu asin uminum à fayas ingkanà chumatong na Manturayan Apudyus.”
LUK.22.19	Ad innarana kon osay tinapoy ad asin nanyaman an Apudyus, ad pinotpotlàna ad innadchonan chicha, wi anana, “Sanan long-ag-u wi michatun à mangilisin chiayu. Anonyunà mangiyakasmoanyun saon.”
LUK.22.20	Narpascha pun wi nangan, innadchonan fayas an chicha, wi anana, “Na annay fayas, siyan singyar na àooyyay turag Apudyus ta takuna, ad na charà nu matoyà, siyan matuttuwaan na sachi turag, tan na charà, mifùfù à para an chiayu.
LUK.22.21	“Ngim chongronyu yan! Awad an chitausnan osay makaan wi mangififik an saon! 
LUK.22.22	À saoni namfalin taku, mapatoyà tan sachin imfafagkan Apudyus, ngim kakkaasin takuy mangififik an saon!”
LUK.22.23	Sachi ad nan-asisarudsudcha nu sinun mangwan chicha ta amaschi.
LUK.22.24	Sachi ad nansusukob chachi disipulus Jesus nu sinun angatuwan an chicha. 
LUK.22.25	Siyan anan Jesus an chicha, “Na turay ad asnay luta, amod na pinagmancharcha ta chachi iturayancha. Ad chachi turay wi annan karobfongancha, ad ichayawchan long-agcha wi mangwanani chicha nun mamachang ta taku. 
LUK.22.26	Ngim foon kumà mafalin na amaschin chiayu, tan na angatuwan an chiayu, masapur ifafanan long-agnà isù kafafaan wi afachang na uchum. Ad na pangat an chiayu, masapur mamfalin isù kafafaan wi mansilfi ta uchum. 
LUK.22.27	Sinun nangatngatu ta somsomòyu, na takuy tumùchu wi mangan winnu chi manakung an siya? Chi nasakungan wi tumutùchu. Ngim uray nu apuyù saon, isuwà à saniluyu. Ad amaschin turachonyu.
LUK.22.28	“Fufurun-u, tuttuway inan-anusanyu kon losani likat-u. 
LUK.22.29	Siyan na isun na nangadchan Ama an saon ta karobfongà wi manturay, amaschi kon mangadchà an chiayu ta karobfonganyu wi manturay. 
LUK.22.30	Ad mitatappiayun saon ta manturayà wi makainum ya makaufung an saon, ya chiayun manguis ta asintatakuyuy Judio wi kanà chachi nasawaran à chuway anà Jacob wi ananchay Israel.”
LUK.22.31	Sachi ad anan Jesus an Pedro, “Simon! Chongromna! Chinawat Satan ta miparufus na mamachasanan chiayu losan, ta ilana nu awad an chiayun milasin à isun na milasinan na chuki ta fokas. 
LUK.22.32	Ngim illuwaruwà sia, Simon, ta achi pu matarà na pammatim an saon. Ad nu asin-a mansakung an saon, papigsaom na pammatin na fufurunnu.”
LUK.22.33	Ngim anan Pedro, “Apu, nakasakanaà uray nu mifaruchà ya makàtoyà an sia!”
LUK.22.34	Ad anan Jesus, “Oo, ngim na katuttuwaana, Pedro, nu chaan pun na awitan manullaù à lafi, namitluwonà illifak.”
LUK.22.35	Sachi ad anan Jesus ta chachi disipulusna, “Na nangifaunà an chiayu ta sin-arkawan wi maid inaw-awityù pilak ya pasiing ya uray sapatusyu, nakurangan na masapuryu?”
LUK.22.35	“Foon met,” anancha.
LUK.22.36	“Ngim safali ta sana,” anan Jesus, “tan na sana, nu sinun awad pilakna, masapur awitona, ya masapur mampasiing ako. Ad nu sinun maid kamanna, inginana kuman silupnà kamanna. 
LUK.22.37	Kattoi masapur tumuttuwan sachi niyug-is wi ukud Apudyus mipangkop an saon, wi anana, ‘Nitaurung ta akkawan,’ tan matungpar losan na niyug-is mipangkop an saon.”
LUK.22.38	Ad anan na disipulusna, “Apu, ilam! Annayan chuway kaman!”
LUK.22.38	“Umanaynat!” anan Jesus.
LUK.22.39	Ad lummayawcha Jesus ta chachi disipulusna wi ummoy ta Filig wi Olivo tan sachin umayaayana nu maschom. 
LUK.22.40	Chummatongcha pun, anan Jesus an chicha, “Malluwaruayu ta achiayu pu maawis wi makafasur.”
LUK.22.41	Sachi ad inachayuwana chicha, ad nampalintumong wi malluwaru, 
LUK.22.42	wi anana, “Ama, nu siyan piom, ilisim à saon ta annay likat wi sangsanguwò. Ngim uray nu amasnan chawatò, pìo wi matungpar kan piom wi màwa, wi foon pu kà piò.” 
LUK.22.43	Sachi ad nampailan siyan osay anghel wi narpud langit wi namachang an siya. 
LUK.22.44	Ad naam-amod na somsomò Jesus wi isù iyatoyna, ad sin-umisag na illulluwaruna, wi na lingotna, isù chara wi tumodtod ta luta.
LUK.22.45	Narpas pun na luwaruna, summiad ad nangulin ta ingkawan na disipulusna ad inchasana chichay nasusuyop tan amod na somsomòcha. 
LUK.22.46	Ad ananan chicha, “Taayuko nasusuyop? Fumangon-ayu ta malluwaruayu ta achiayu maawis wi fumasur.”
LUK.22.47	Na man-ukuukuchan Jesus, chummatong na ad-adchuwani taku, wi impuyut Judas wi osan chichay nasawaran à chuway disipulus Jesus. Ad ummoy à Judas an Jesus ad kinayyomnà siya.
LUK.22.48	Ad anan Jesus, “Judas, namfalinom singyar na ayat à singyar na fifik ta mangififikam an saoni namfalin taku?”
LUK.22.49	Ad illasin pun chachi fufurun Jesus na nànàwa, inimuschan Jesus, “Apu, faakonni chicha?” 
LUK.22.50	Ad na osa, piningasnan chiwawani ingan na sanilun na Angatuwani Pachi.
LUK.22.51	Ngim anan Jesus, “Sachi! Akayyunat!” Ad inaranan ingan chi nafaag ad impar-ogna.
LUK.22.52	Sachi ad anan Jesus ta chachi ummali mangaran siya, wi chichan pangpangun na papachi ya kakapitan na susurchachu ta Templo ya chachi mamangpanguwon na Judio, “Akkawanà, ta masapur masabsabliyan-ayu ya mapangpang-oan-ayu wi umali maniliw an saon? 
LUK.22.53	Finakati miyas-aslangà an chiayu ta Templo, ad apay achiyà pu tiniliw ta sachi nù? Ngim sanan timpun na manturayan na lawing, siyan sachin miparufusanyu wi mangwa ta oyyoonyu.”
LUK.22.54	Sachi ad tiniliwchà Jesus, ad inyoychà siya ta foroy na Angatuwani Pachi. Ad à Pedro, nan-ag-agkaaw wi nitun-ud an chicha. 
LUK.22.55	Nan-apuy na taku ta kawan na paway na foroy, siyan ummoy à Pedro nakaanichu an chicha. 
LUK.22.56	Ad na nangil-an na osay fafarasang wi sanilu an Pedro wi makaanichu, intotollongna ad anana, “Sanat akon osay furun Jesus!”
LUK.22.57	Ngim illifak Pedro, wi anana, “Foon, fafarasang! Maid akammù an siya!”
LUK.22.58	Napannos pun iningkaw akon osay larai wi nangimatun an Pedro, an anana, “Sia met na osan chicha!”
LUK.22.58	Ngim anan Pedro, “Foon!”
LUK.22.59	Ad lummaus pu kon osay uras, immatunan akon osay laraì Pedro, ad impapilitna anani, “Kattoi siyan osay furun Jesus, tan maiimmatunan wi iGalilea!”
LUK.22.60	Ngim anan ako Pedro, “Maid pu akammù ta ug-ugkuchom!”
LUK.22.60	Ad na sachi man-ukuchan Pedro, natanullaù na awitan. 
LUK.22.61	Ad nantuwilì Jesus wi nangilan Pedro, ad nasnasmò Pedro na imfakan na Apunan siya wi anana, “Nu chaan pun na awitan manullaù à lafi, namitluwonà illifak.” 
LUK.22.62	Ad lummayaw à Pedro wi amod na somsomònay nan-ifil.
LUK.22.63	Chachi nanguwarchan Jesus, inam-amsiwchà siya ad linipakcha ko. 
LUK.22.64	Ad finungutchan atana ad inimuscha, “Sinun nanlipak an sia? Ifakam!” 
LUK.22.65	Ya achu kon imfakacha wi nanginsurtun siya.
LUK.22.66	Figfikat pun, naamung chachi namangpanguwon na Judio ya pangpangun na papachi ya mangitudtuchu ta Lintog, ad impasanguchà Jesus an chichay kukunsisar. 
LUK.22.67	Ad anancha, “Ifakam an chiani! Sian Cristu wi uullayonni?”
LUK.22.67	Ad sinongfatan Jesus chicha, wi anana, “Uray nu ifakà, achiyu pu tuttuwaon. 
LUK.22.68	Ad nu awad akon sarudsuchò an chiayu, achiyu pu ko songfatan. 
LUK.22.69	Ngim nu marpas na annay màwan saon, à saoni namfalin taku, tumùchuwà ta apot ta chiwawan Apudyus wi mannakafalin.”
LUK.22.70	Ad anancha losan, “Ad sian anà Apudyus?”
LUK.22.70	Ad anana, “Siyan ananyu.”
LUK.22.71	Ad anancha, “Na! Maid asintau anapon à fasurna, tan chingngortau met losan na imfakana wi umanay à iyatoyna!”
LUK.23.1	Sachi ad lummigwatcha losan ad inyoycha impasangù Jesus an Pilato wi fifinnachur. 
LUK.23.2	Ad imfakachan losani pangpangnuchay lawing wi ingwan anu Jesus. Anancha, “Chingngornin annay larai ta mangawisana ta kailiyanni ya ipalitnan mamfayachancha ta fukis ta Emperador. Ad anana koy siya nun Cristu wi impustan Apudyus wi umalì man-alitau.”
LUK.23.3	Sachi ad anan Pilato an siya, “Sia nun Alin na Judio.”
LUK.23.3	“Siyan anam,” anan Jesus wi summongfat.
LUK.23.4	Sachi ad imfakan Pilato ta chachi pangpangun na papachi ya losan chachi takuy naaarus, “Maid met inchasà à fasur na annay laraì umanay à matoyana.”
LUK.23.5	Ngim impapilitcha anani, “Nantudtudtuchun sanat ta losani ilid asnay Judea, wi imparpunad Galilea, wi aw-awisonan taku ta kuruwonchan kufilnu, ad na sana, annay chummatong ako ad asnay Jerusalem.”
LUK.23.6	Chingngor pu Pilato na imfakacha, inimusna, “iGalilea lawan annay larai?” 
LUK.23.7	Ad inakammuna pun wi narpù Jesus ta sakupon na iturayan Herod, impaoynà Jesus an siya tan niyaspur wi iningkaw à Herod ad Jerusalem ta sachi timpu. 
LUK.23.8	Ad à Herod, naragsak wi mangilan Jesus tan nafayag wi pionay mangilan siya kapu ta losani chingngorna wi mipangkop an siya. Ad piona koy mangilà kaskaschaaw à oyyoon Jesus. 
LUK.23.9	Siyan nan-im-imus à Herod an Jesus, ngim ingkikinnò à Jesus wi maid insongfatna. 
LUK.23.10	Ad chachi pangpangun na papachi ya mangitudtuchu ta Lintog, inam-amodchan nangipafasuranchan Jesus. 
LUK.23.11	Siyan à Herod ya susurchachuna, ininsurtuchà Jesus ya imfafaincha ko. Ad na anungusna, sinilupanchà siyà mamfaru ad inyulincha an Pilato. 
LUK.23.12	Ad nanipud ta sachi padcha, nangkayyomcha Herod an Pilato, uray nu namfusurchay sikud.
LUK.23.13	Sachi ad impaarus Pilato chachi pangpangun na papachi ya mamangpanguwon na taku ya uchum akoy taku, 
LUK.23.14	ad ananan chicha, “Impasanguyun annay takun saon, ad imfakayu wi aw-awisonan taku. Siyan inimfistikar-ù siya ta sangwananyu, ngim maid pu inchasà à iningwanà isun na ipafasuryun siya. 
LUK.23.15	Ad isun ako Herod, maid pu ko inchasanà kafasurana, tan nangulinonà siya an chitau. Siyan maila wi maid pun ingwan na annay laraì umanay à matayana. 
LUK.23.16	Siyan paabchoy-u kà siya ad imparufus-u.”
LUK.23.17	Amaschin anan Pilato tan kakangayna wi tinawoni umiparufus à osa ta farud ta timpun na fiyastay Mangiyakasmoan. 
LUK.23.18	Ngim chachi takuy naaamung, asipopoawcha wi anancha, “Patoyom à siya, ta Barrabas na iparufusnu!” 
LUK.23.19	(Na sachi Barrabas, nifarud tan nitipun nakakuru ta kufilnud Jerusalem, ya iningkaw akon pinatoynay taku.)
LUK.23.20	Ngim à Pilato, pionay iparufus kumà Jesus, siyan pinachasnay mangawis ta taku. 
LUK.23.21	Ngim inip-awcha anani, “Ilansayù siya ta kros! Ilansayù siya ta kros!”
LUK.23.22	Sachi ad impitlun Pilato pinachas wi mangàarù an chicha, wi anana, “Tamako? Sinun ingwanay lawing à milansaana ta kros? Tan maid met inchasà à fasurnà umanay à mapatoyana! Winnu paabchoy-u kà siya ad imparufus-u?”
LUK.23.23	Ngim inip-ip-awcha wi mangipapilit wi milansà Jesus ta kros. Ad na anungusna, intay-un Pilato. 
LUK.23.24	Ad sinintinsiyaanà Jesus à mapatoy, wi sachin chawatcha. 
LUK.23.25	Ad imparufusnà Barrabas, wi siyan nifafarud kapu ta pummatoyana ya nanguruwana ta kufilnu, tan siyan pionchay miparufus. Ad impurangnà Jesus an chicha ta oyyoonchan sinumani pionchay oyyoon an siya.
LUK.23.26	Ad illawachà Jesus, ad inafotcha ta charan na osay taku wi nangngachan à Simon wi iCirene. Jerusalem na ustuy umayana wi narpu ta payawna, ngim impafuudchan siyan kros Jesus ad ituntun-udnan siya.
LUK.23.27	Ad-adchuwan na takuy nituntun-ud an Jesus, wi nitapi kon uchumi fubfufai wi asiiifil ya asitutuking mipakapu ta màmàwan siya. 
LUK.23.28	Ad nantuwilì Jesus an chicha ad anana, “Chiayuy fubfufai wi iJerusalem, achiyu kumà saon ifilan ta siya kay ifilanyun long-agyu ya an-ananàyu. 
LUK.23.29	Tan chumtong na amochi likat ad asna, wi mangwanaan na taku, ‘Nakasat chachi fubfufai wi maid anàcha, wi foon à nafugfuki ya maid pu tinagtakificha!’ 
LUK.23.30	Tan kapu ta amochi likat ta sachi timpu, chawaton na taku ta uray na filfilig ya takudtud, tapilancha chicha ta mitarucha kuma. 
LUK.23.31	Tan ilanyu, nu amaschin mapalikatà wi maid pu fasur-u, sin-umamod na mapalikatanyu ya kanàyu wi managfasur!”
LUK.23.32	Iningkaw akon chuway pumappatoy à mitapi mapatoy an Jesus. 
LUK.23.33	Ad na nichaumancha ta osay lukar wi ananchay “Fàag,” illansachà Jesus ta kros, ad illansacha ko namfuwaon chi chuway pumappatoy ta kroscha, na osa ta apot ta chiwawan Jesus ya osa ta apot ta chuwikina. 
LUK.23.34	Narpas pun na sachi, anan Jesus, “Ama, pakawanom chicha tan maid maawatancha ta oy-oyyooncha.”
LUK.23.34	Na susurchachu wi iningkaw, namfinnunutcha nu sinun mangin-uwa ta luputna. 
LUK.23.35	Ad ummaagsad na taku wi nampapalliu, ad chachi namangpanguwon na Judio inin-insurtuchà Jesus anani, “Finadnganan uchum, siyan fadngana kuman long-agna nu tuttuway siyan Cristu wi chinutukan Apudyus!”
LUK.23.36	Ad inamsiw akon susurchachù siya, wi painumancha siyà ilom, 
LUK.23.37	ad anancha, “Noy! Nu tuttuway sian alin na Judio, apay achim saraknifan na long-agnu nù?”
LUK.23.38	Iningkaw na niyug-is ta kros ta uulluwan Jesus, wi anana, “Annayan Alin na Judio.”
LUK.23.39	Na osay pumappatoy wi nichar-ag nilansa an Jesus, ininsurtuna kò siya, wi anana, “Nu tuttuway sian Cristu wi impustan Apudyus, saraknifam na long-agnu ya chiani ko!”
LUK.23.40	Ngim chi osay pumappatoy, inomorana chi osa, wi anana, “Maid ogyatnun Apudyus? Nilansatau losan, 
LUK.23.41	ngim à chita, lobfongta met wi mapatoy ta chusan na iningwata, ngim na sanat, maid pun ingwanà lawing.” 
LUK.23.42	Sachi ad, ananan Jesus, “Apu Jesus, somsom-onà ad nu umalia manturay!”
LUK.23.43	Ad anan Jesus, “Ipustà an sia, wi na sanay padcha, mitapian saon ad langit.”
LUK.23.44	Mamatù ad, fummulingot losan na luta ingkana ta ar-arkaw. 
LUK.23.45	Ad na sochorani kurtina wi nitatayyun ta Templo, nan-agwa nakissay. 
LUK.23.46	Ad nampoaw à Jesus wi anana, “Ama, ipurang-un sian alichodwà!” Imfakana pun na sachi, natoy.
LUK.23.47	Na nangil-an na kapitan na susurchachu ta losani nàwa, chinayawnà Apudyus, wi anana, “Tuttuway maid kafasuran na annay larai!”
LUK.23.48	Ad chachi takuy iningkaw wi nampapalliu, innilacha pun na losani nàwan Jesus, asisasauychay lummayaw. 
LUK.23.49	Ngim losan chachi fufurun Jesus, ya chachi fubfufai wi nitun-ud an siya ta narpuwanchad Galilea, ummaagsadcha ta niyadchayang wi nampapalliu ta losani nànàwa.
LUK.23.50+LUK.23.51	Iningkaw ad Jerusalem na osay larai wi Jose na ngachanna wi iyArimatea wi osay ili ta provinsiyay Judea. Machayaw à Jose tan naakammuwan na kinafaruna, ad siya kon osay man-uullay ta milukiyan na Manturayan Apudyus. Ngim uray nu siyan osay kunsisar na Judio, achina pu inamfuruyan na simsimmòcha oyyoon an Jesus.
LUK.23.52	Ummoy Jose an Pilato chinawat na lachag Jesus. Ad intay-una. 
LUK.23.53	Ad impasnan lachag Jesus ta kros, ad finussungnà uros ad inyoyna illofon ta attutukutukanchay fatuy lofon wi maid nilobrofon. 
LUK.23.54	Na timpun na nilobnana, nganngani masiut na init wi sachin milukiyan na padchay ngingillinan na Judio wi Safachu.
LUK.23.55	Na fubfufai wi nituntun-ud an Jesus ta narpuwanchad Galilea, nitun-udchan Jose ad innilachan lofon Jesus ya nangilobnancha ta lachagna. 
LUK.23.56	Sachi ad lummayawcha wi ummoycha insakanan fangfanguy tufu ya lana wi milafu ta lachag.
LUK.23.56	Nafikat pun wi Safachu, nangkakayamcha man-illong tan siyan lintogchay Judio.
LUK.24.1	Wiswisnit pun ta Chumingku, lummigwat chachi fubfufai wi ummoy ta lofon, wi inawitchan fangfangu wi insakanacha. 
LUK.24.2	Nichaumcha ad ta lofon, innilachan fatuy tangob na lofon wi niyadchayang nalikad ta liwangan. 
LUK.24.3	Siyan linumnòcha, ad maid inchasanchà lachag Apu Jesus. 
LUK.24.4	Ad ummaagsadcha wi napasar, ad nakaagsad akon chuway larai wi sumiling na luputcha. 
LUK.24.5	Ad chachi fubfufai, nampalintumongcha ta ogyatcha. Ad anan chachi larain chicha, “Tayuko anapon na natattaku ta ikaw na natoy? 
LUK.24.6	Maid à siya ta anna tan ummuli nataku. Naliwatanyu nin na imfakanan chiayu ta iningkawanad Galilea, 
LUK.24.7	wi anana, ‘À saon wi namfalin taku, masapur mipurangà ta chachi lawingi taku ya milansaà ta kros, ad na miyatluy padcha umuliyà mataku.’”
LUK.24.8	Ad sachin nangiyakasmoan chachi fubfufai ta imfakan Jesus, 
LUK.24.9	siyan nangulincha ta ili ad imfakacha losan chachi ta disipulus Jesus wi simpuru ya osa, ya losan chachi uchumi fufuruncha. 
LUK.24.10	Na ngachan chachi fubfufai, cha Maria Magdalena, Juana, Maria wi inan Jaime, ya iningkaw akon uchum. Imfakacha losan na innilacha ya chingngorcha ta chachi apostoles. 
LUK.24.11	Ngim achicha pu tuttuwaon chicha, tan anancha pun nu maid kutù na ug-ugkuchoncha. 
LUK.24.12	Ngim à Pedro, narnigwat wi nanodchà ummoy ta lofon. Nichaum ad, nayyuung wi nangila ta charomna, ad afus yakan fussung à iningkaw. Siyan nangulin ta foroy, wi naschaaw wi mammomammò nu in-inon na nàwaana.
LUK.24.13	Na sachi padcha, lummigwat na chuwa ta chachi sumurut an Jesus wi umoy ad Emaus wi nasuruk à simpuru ya chuway kilometron aachayunad Jerusalem. 
LUK.24.14	Ad na nanadcharanancha, inug-ugkudchan losani napasamak. 
LUK.24.15	Ad na nan-ug-ugkuchancha, inchasan Jesus chicha ad nifurun an chicha, 
LUK.24.16	ngim achicha pu makailasin an siya. 
LUK.24.17	Ad anan Jesus an chicha, “Sinu kon ug-ugkuchonyuy manadcharan?”
LUK.24.17	Ad ummillongchay mangngunguspoy. 
LUK.24.18	Ad anan na osa wi nangngachan Cleopas, “Adchachatong-ad Jerusalem, wi afus-a kà foon à nangngor ta losani nàwa ta sanay timpu?”
LUK.24.19	Ad inimus Jesus, “Sinuman?”
LUK.24.19	Ad anancha, “Chachi napasamak an Jesus wi iNazaret. À siya, naakammuwan wi profetan Apudyus, wi lispituwon Apudyus ya uray na taku. Ya impailanan karobfongana wi mantudtuchu ta losani intudtuchuna, ya nangwa kò kaskaschaaw. 
LUK.24.20	Ngim chachi pangpangun na papachitau ya mamangpanguwontau, impurangchà siya an Pilato ad sinintinsiyaanà matoy, siyan illansachà siya ta kros. 
LUK.24.21	Ngim chiani, ananni pun nu siyan manaraknib an chitauy kanà Israel! Ngim lawing ta miyatluy padchanan sana nanipud ta nàwan siya. 
LUK.24.22	Nataag-anid kanad ta inisturyan na uchumi fufurunni wi fubfufai, tan naawisnitcha ummoy ta lofon, 
LUK.24.23	ad maid anun lachagna. Ad nangulinchay nangifakan chiani wi innilacha nun aangheles wi nangifakan chicha wi ummuli natakù Jesus! 
LUK.24.24	Siyan ummoy akon uchumi fufurunni wi nangila ta lofon, ad na inchasancha, isun akon inisturyan chachi fubfufai, ngim maid pu innilachan Jesus.”
LUK.24.25	Sachi ad anan Jesus an chicha, “Maid pu akammuyu! Tan apay mansikab na manuttuwaanyu ta losani imfakan chachi profetas ta awi! 
LUK.24.26	Achiyu pu maawatan wi masapur mapalikatan na Cristu wi impustan Apudyus wi umali achinaot ochasan na machayawana.” 
LUK.24.27	Sachi ad insuplikar Jesus losan na niyug-is ta awi mipangkop an siya, wi illukina ta inyug-is Moses ingkana ta inyug-is losan na profetas.
LUK.24.28	Sachi ad wi ummachanicha ta ili wi umayancha, isù mangaw-as à Jesus wi lumayaw, 
LUK.24.29	ngim tinawichanchà siya wi anancha, “Umiyan-asna, tan mummaschom ad mafulingtan-a.” Siyan nanchakas Jesus ad nakarnò an chicha ta foroy. 
LUK.24.30	Ad na nan-ooanancha, inaran Jesus na tinapoy ad nanyaman an Apudyus, ad pinotlàna ad innadchonan chicha. 
LUK.24.31	Ad sachin nangilasinancha wi siyà Jesus, ngim nammaag wi maid à siya. 
LUK.24.32	Sachi ad anancha, “Kattoi naragsak na somsomòta ta nangug-ugkuchana ta charan ta nangisuplikarana ta sachi niyug-is wi ukud Apudyus, ad sana kan ustuy mangawatanta!”
LUK.24.33	Ad narnigwatcha wi nangulin ad Jerusalem, ad inchasanchan chachi nasawaran à osay disipulus Jesus, wi nakaamung akon uchum. 
LUK.24.34	Ad anancha, “Tuttuway ummuli natakun Aputau! Ad nampailan Simon!”
LUK.24.35	Sachi ad inisturyachan losani nàwa ta nafurkancha ya nangilasinanchan Jesus ta namotlaana ta tinapoy.
LUK.24.36	Ad na sachi nan-ug-ugkuchancha, nampailà Apu Jesus ta kawacha, ad ananan chicha, “Fumarun somsomòyu!”
LUK.24.37	Ngim isagcha ummogyat, tan anancha pun nu aran. 
LUK.24.38	Ngim anan Jesus an chicha, “Taayuko umogyat? Tamako ta manchuwachuwaayu mipangkop an saon? 
LUK.24.39	Ilanyun imà ya ikì! Saon na! Agpachanà ta mat-op-ayu, tan maid pun met long-ag na aran! Ngim mailayun long-ag-u.”
LUK.24.40	Sachi ad impailan Jesus na imana ya ikina. 
LUK.24.41	Ad naragsakcha ya naschaawcha, ngim uray nu amaschi, isù foon pù tuttuwa. Siyan inimus Jesus an chicha, “Awad maan ta manganà?” 
LUK.24.42	Ad sinakunganchà siyà nautù ukachiw, 
LUK.24.43	ad innanna ta sangwanancha.
LUK.24.44	Sachi ad ananan chicha, “Losani napasamak an saon, imfakafakà ta iningkawà an chiayu, tan masapur wi matungpar losan na niyug-is mipangkop an saon nanipud ta inyug-is Moses ya chachi profetas ya uray na niyug-is ta chachi kankanta wi Salmo.”
LUK.24.45	Sachi ad linawakanan somsomòcha ta maawatanchan losani niyug-is ta awi wi ukud Apudyus. 
LUK.24.46	Ad anana kon chicha, “Annayan niyug-is mipangkop an saon: Masapur mapalikatan na Cristu, wi siyan impustan Apudyus wi umali, ya mapatoy, ngim na miyatluy padcha umuli mataku. 
