GEN.1.1	 Khangla Mühghaüei müh si kaodak yaükei. 
NUM.13.24	Kho pholi kho to Eshkol dogo laukei, aieilausi Israel shousi shuongei khünei semlüh shen wetan sungkei.
NUM.13.25	Hobaje chalou saonyinyet kian phaia shuchühbü shuong kaonyek ka sepeinyu longeikei. 
NUM.13.26	Hobaje Mosa, Aron hoba Kadesha Paran lamanga Israel shousi tan pendou jungto haoen longeikei; hoba haoen tan pendou jungto sepeinyu ngühlang sungbakei, hoba kaonyeka hekbü buhek kho haoen la lenkei. 
NUM.13.27	Hobaje haoenei hao to laukei, “Nyi kün laito hautikei kho kaonyek to haukei, hoba khünei maimaitham sendei hoba naodei kouda, hoba khükabü buhek ho ki. 
NUM.13.28	Khei yingasikei khünei kibü müt hau kibü hoba sangnyu shuong ba lelepan kia, hoba aeibou yaangkei, hoba khüto liman künei Anakbü shousi shuong khünei hapa. 
NUM.13.29	Yungkük kaonyeka Amalekbü kia hoba Jebusbü hoba Amorbü kida; hoba Kananbü Yungko hoba Jordan yungkoa kida.”
NUM.13.30	Kheijinei Mosa thedanga Kalebei mütshuong ngüh üangtiko laukei, “Sen meimeijung angkho hoba kho kaonyek lekho aishanga senei kho thükenakei.”
NUM.13.31	Lausikei hao yoa angbü shuongei laukei, “Aying, senei khübü mütshuong limbo angla athük, aishanga sen toje haoen hau kibou ki.” 
NUM.13.32	Hobaje haoenei shuchühbü kaonyek shanga ngühlang amaibü sungbaan laukei, “Laobou kaonyek künei shuchühla haukei, kaonyeka kibü mütshuongei shauthüng ongkei langle kesiong alongda, hoba khünei künei hapbü mütshuong süngsilop loubü yaangbü ong ki. 
NUM.13.33	Hobaje khünei Nefilim ka loubü Anak shousi shuong Nefilimbü künei hapbei, hoba kün koksüng tegü ong kikei, hoba kün haoen to takteisi khei ong kikei.”
NUM.14.1	Kheijinei mütshuong pendouei ngüh angko ngekkei, hoba khüyou mütshuong haapbei. 
NUM.14.2	Hobaje Israel shousi pendouei Mosa si Aron khulimbo nyamnyambei hoba shuong pendouei haosi to laukei, “Mühghaüei kün Ijep kaodaka haitian kikei yingma! ayingsi kho lamanga haitikei tegüje maikhoulabü! 
NUM.14.3	Aila kün inei tuongtila Mühghaüei leian loukei? Küneibü yaksi hoba shousi shuong haitilabü lele yeilabü kün shanga Ijep to sepeian ngaibü maibou aying lo?” 
NUM.14.4	Hobaje haoen cheei che to laukei, “Senei lajamleibou che pienan Ijep to sepeinyu ngaikho.”
NUM.14.5	Kheijinei mütshuong pendou kaman kibü thedanga Mosa si Aron haosi ham the khüman apbei. 
NUM.14.6	Hobaje kaonyek saabü to haubü yoa Naneibü shou Joshuaei si Jefuneeibü shou Kaleb haosi hamei jembü neisimei jitnyinkei, 
NUM.14.7	hoba Israel shousi pendou to haosiei laukei, “Kaonyek laobou shuchühko künei danjung haukei kho kao maibü ki. 
NUM.14.8	ei sen to maang shikalanga haoei kho kaodak to sen leian haulabü hoba sendei si naodei kouko kibü kaodak kho sen la kulabü. 
NUM.14.9	 khulimbo ong temeimei ayingsi kaonyeka kibü mütshuong to kan tehütma; aishanga khübü kho sen shanga shausiyung ong yinglabü, haoen püetlabü hau haoen ka sungngaia, hoba 
NUM.14.10	Lausikei shuong pendouei haosi to laangei tetla lauyokei, kheijinei 
NUM.14.12	Ngei haoen limeilangei shemtilabü hoba haoenei phet aphantilabü, hoba haoen toje ka ka phang yaangbü hoba yaangenbü yeitilabü.”
NUM.14.13	Hobaje Mosaei 
NUM.14.14	hoba kho haoenei kho kaonyeka kibü shuong to lenlabü. No 
NUM.14.15	“Tou nyi habü mütshuong müt che tegü haitikho laualonga kheijinei kaibü nyenhaang ditbü phangshuongei, 
NUM.14.16	‘
NUM.14.17	Hobaje tou ngei ka to sudajada, ‘
NUM.14.18	dogo nyi laubü tegü 
NUM.14.19	Ngei ka to sudajada, kaibü üeisanou yaangbü tegü habü mütshuongei shed shonbü, hoba Ijep ka tou sühko habü mütshuong la shed apbubü tegü shedbü apbushima.”
NUM.14.20	Hobaje 
NUM.14.21	lausikei ngo tükde lang kibü hoba kaodak pendou ngeibü soneikangbüei shenlabü; 
NUM.14.22	aieilausi ngei Ijepa hoba yama kümbü hapbü shuongei toukei tou hoei anboubü ngo takteia hoba ngeibü ngüha ale. 
NUM.14.23	Kheijinei ngei haoeneibü nyusibousi la thekubü kaodak haoenei ühüplabü, ayingsi kü la nyikubü cheei ongkei kho ühüplabü; 
NUM.14.24	lausikei ngo khangenbou Kaleb to soushou phangche kisije hao haubü kaonyek khüto ngei hao leian loulabü, hoba haoeibü shousi shuongei kho lelabü. 
NUM.14.25	Tou Amalekbü si Kananbü pholia kisije ngiet kan sepeiashi, hoba Saklangbü Yungnyu ae yam khüto atashi.”
NUM.14.27	“Lalokche ngo khulimbo nyamnyambü habü amaibü dan to ngei aman apla? Israel shousi shuongei nyamnyambü laobou haoenei ngo khulimbo lauyokei kho ngei dida. 
NUM.14.28	Haoen to lenashi, 
NUM.14.29	Kaneibü haibü mang ho yamlamanga nyaüan aplabü, hoba kaneibü lühbaka yobü dan khümbo po saoche ka thükae aoyouei ngo khulimbo nyamnyambei, 
NUM.14.30	maimaitham Jefuneeibü shou Kaleb hoba Naneibü shou Joshua to liman, laobou kaodak shanga kan kitila ngei ngeibü ik tuokkei, khüto kan aloulabü. 
NUM.14.31	Lausikei kan nashou hanbü shuong, aoyou haitila shanga kilabü dogo kanei laukei, haoen ngei leian loulabü, hoba kanei asungletbü kaodak kho ngelabü. 
NUM.14.32	Lausikei kan shangaje kaneibü mang nyaüan aplabü. 
NUM.14.33	Hobaje kaneibü shousi shuong yama po saonyi sanlombou la yeian kilabü, hoba yama kaneibü mang anyaület shongko kan pejapelabü on kanei künlabü. 
NUM.14.34	Kanei kaonyek saabü chalou tetan, khei chalou saonyi, chalou che che kho po che che, khei po saonyi, kanei shonshaibü shedbü kanei künlabü, hoba kanei kü ka thangetbü ngejung loulabü. 
NUM.14.35	 Ngo 
NUM.14.36	Hobaje Mosaei kaonyek shu- chühla hautibü sepeinyu longeibü mütshuong, aoyouei kaonyek khulimbo ngühlang amaibü künan loubüei shuong pendouei hao khulimbo nyamnyamtikei, 
NUM.14.37	khei kaonyek shangabü ngühlang amaibü sungbabü shuong 
NUM.14.38	Lausikei kaonyek shuchühla haubü shuong yoa Naneibü shou Joshua hoba Jefuneeibü shou Kaleb lang joukei.
NUM.14.39	Ladang Mosaei Israel shousi shuong pendou to habü ngüh laukei, haoen pendou khauko mang haapbei. 
NUM.14.40	Hobaje haoen pian ngeyang shongh to angan laukei, “
NUM.14.41	Lausikei Mosaei laukei, “Thük ühüplabü dogo kan lolo chühenan aila 
NUM.14.42	Kaneibü dangbou thedanga kan haitisi amaibüla tüang, aishanga 
NUM.14.43	Aishanga kan thedanga Kananbü si Amalekbü kia, hoba haoeneibü inei kan tuonglabü; aieilausi kanei 
NUM.14.44	Lausikei haoenei ü dogo tukosekko shongh to angkei; khei yingsikei 
NUM.14.45	Kheijinei Amalekbü si kho shongha kibü Kananbü louyenkei, hoba haoen to wapyokei, hoba Horma sühko haoen shikei.
NUM.15.2	Israel shousi shuong to lenashi, Ladang ngei kan la kubü kan jembü kaonyek to louan kilaje, 
NUM.15.3	hoba 
NUM.15.4+NUM.15.5	kheijinei aoei lembü kulaje, onang hin che phejan leiboubü yoa wen inyaibü efa chea anboubü phejan kheiyoan shausiyung lembü 
NUM.15.6	Ayingsi sanlon paang che shanga shausiyung lembü penyi lamlela shanga wen inyaibü efa che anboubü phejan penyi yoa onang hin che semboubü phejan kheiyoan nyi lemjan. 
NUM.15.7	Hobaje yunglabü lembü shanga ih hin che phejan semboubü ponlem maibü shanga 
NUM.15.8	Hobaje juokbü lembü ayingsi phangche takletbü loushedtila haitian lembü ayingsi sangmai lembü shanga 
NUM.15.9	Haoei masu pongsu yoa shausiyung lembü wen inyaibü efa an phejana semthüng onang hin thoche yoa lemjan. 
NUM.15.10	Hobaje 
NUM.15.11	Kho tegü masu pongsu weko, sanlon weko, sanlon paang weko, hoba lonshou weko shanga kümjan. 
NUM.15.12	Kanei lajuche lemlaje kho weko shanga kho tegü khübü lühbak thüng kanei kümjan. 
NUM.15.13	 la ponlem maibü shanga lembü kujinei sangbüshou wekoei ho tegü kümjan. 
NUM.15.14	Hobaje yenbou che ka yoa kialonga, ayingsi kan yoa ponpen kibü yingasikei, haoei 
NUM.15.15	Mütshang pendou shanga hoba yenbou shanga ngühkhüm deikhüm che ong kijan, kan meten sünga lole ngühkhüm yenbou hoba kan 
NUM.15.16	Kan hoba kan yoa kibü yenbou shanga ngühkhüm deikhüm che ong kilabü.
NUM.15.18	Israelbü to lenashi: Ngei kan leian loulabü kaodak to kan ladang atlaje, 
NUM.15.19	kheijinei kaonyek kabü shausiyung kanei shaujinei kanei 
NUM.15.20	Shaangla wen kümbü jihsi- phaia amshang ka heshaibü tegü lulu phoan kanei wentek che lemla shanga kujan. 
NUM.15.21	Kanei shaangla wen kümbü ka kan meten sünga 
NUM.15.22	Hobaje ladang 
NUM.15.23	khei Mosa danko 
NUM.15.24	kheijinei kho shuongei angeko mashikan kümsi ngühkhüm tegü shausiyung lembü yoa yunglabü lembü yoa, hoba shabü lembü shanga lonpaang che, 
NUM.15.25	Hobaje Israel shousi shuong shanga ungshedbouei shabü debü kümsilei kümjan, hoba haoen la shedbü apbulabü, aishanga kho mashikbü kikei, hoba 
NUM.15.26	hoba Israel shousi khümbo hoba haoen yoa kibü yenboula shedbü apbulabü, aishanga müt pendouei alemlele mashikkei.
NUM.15.27	Hobaje müt cheei mashikan shabü shonalonga, kheijinei shabü lembü shanga haoei po cheeibü shou lon saoen cheei lemjan. 
NUM.15.28	Hobaje mashikbü müt shanga ungshedbouei shabü debü kümsilei kümjan, ladang haoei 
NUM.15.29	Israelbü yoa kaonyek kabü sangbüshou yingsikei ayingsi kan yoa küksithang yingasikei, aoei angeko denche kümlaje hao shanga ngühkhüm che kijan.
NUM.15.30	Lausikei aaomüt aoei ngean shabü shonlaje, hao kaonyeka bukmüt yingasikei, yenbou yingasikei haoei 
NUM.15.31	Aieilausi kho 
NUM.15.32	Hobaje Israel shousi shuong yamlamanga kijinei haoenei müt che Nounyet bu lakko hapbei. 
NUM.15.33	Hobaje aoyouei hao bu lakko hapbei haoenei hao Mosa, Aron hoba shuong pendou jungto leian loukei. 
NUM.15.34	Hobaje haoenei hao thüngshanga phokei, aieilausi hao to ai kümla hao la angetiko kikei. 
NUM.15.35	Hobaje 
NUM.15.36	ei Mosa to laubü tegü, noknyühei hao shaishang ka leian longan laangei hao to tetkei hoba hao haikei.
NUM.15.38	Israel shousi shuong to lenashi, hoba haoen to haoen meten sünga nei-ikshobü wekoa pi leithonei phenan haoen shanga nei-ik haoenei kümjan dogo lenshi. 
NUM.15.39	Hobaje nei-ik kho kan shanga kanei chühlabü hoba 
NUM.15.40	Khei ngeibü ngühkhüm pendou kanei damenko khübü kümla hoba kaneibü Mühghaü shanga saüenan kila shanga. 
NUM.15.41	Ngo 
NUM.16.1	Tou Levi ka pakbü Kohateibü shou Izhareibü shou Kora, Reuben ka pakbü Peleteibü shou Eliab hoba Oneibü shou Dathan hoba Abiram yoan, 
NUM.16.2	haoenei Israel mütshuong yoa at yoan nyenshen müt tan ka pienan tan leiyeibü 250ei Mosa khulimbo meimeikei; 
NUM.16.3	hoba Mosa khulimbo, hoba Aron khulimbo haoen takshatkei hoba haosi to laukei, “Ho yongko limshanga; aishanga tan pendou khei müt weko saopobü ki; khülonga aila kanei 
NUM.16.4	Mosaei kho ditjinei hao the khümbei; 
NUM.16.5	kho phaia haoei Kora hoba haoeibü tan pendou to lenkei: “Ngeyang 
NUM.16.6	Ho kümashi, Kora hoba haoeibü tan pendouei wankak suokjin phau jungashi; 
NUM.16.7	hoba khünei wan jinashi; hoba ngiet 
NUM.16.8	Hobaje Mosaei Kora to laukei, “Tou ditashi, kan Levi shousi shuong; 
NUM.16.9	Israelbü shuong yo ka kan ong khanan pian sungan hao nyangko loutibü, 
NUM.16.10	hoba haoei no hao nyangko loutilabü, hoba ka yoa kaibü jaisina Levi shousi pendou hao nyangko loutibü, ho kan shanga takübü kümsilei sai? hoba kanei ungshed kümsileikei lamda sai? 
NUM.16.11	Khei yingsije khoei no hoba kaibü phaisembü pendou chela takshatbü ho 
NUM.16.12	Hobaje Mosaei Eliabeibü shou Dathan si Abiram ngala hautikei; hoba haosiei kün alonglabü dogo laukei. 
NUM.16.13	“Sendei hoba naodei kouko kibü kaonyek ka nyi kün leian louan yama haitila, hoba kün thüka no lolo leiyeibü lela ho takübü che ong sai? 
NUM.16.14	Tokei nyi sendei hoba naodei kouko kibü kaonyek to kün leian alou, ayingsi kün la sek ayingsi semlühlaak phetphanla aku; habü mütshuongeibü nyek nyi thutikulep sai? Kün alonglabü.”
NUM.16.15	Kheijinei Mosa aeibou khau- angkei, hoba 
NUM.16.16	Hobaje Mosaei Kora to laukei, “Ngiet no hoba kaibü tan pendou 
NUM.16.17	hoba kan müt wekoei lulueibü wanphau junglabü, kho wanphau 250 kilabü; no hoba Aron kasikei lulueibü wanphau jungashi.” 
NUM.16.18	Hobaje haoen mütpem wekoei lulueibü wanphau jungkei, hoba khünei wan jinkei hoba khünei jen phokei, hoba kamshang neichem koukhüna Mosa hoba Aron yoa lokei. 
NUM.16.19	Hobaje Koraei haoen khulimbo kamshang nei- chem koukhüna mütshuong pendou kamshaitikei; hoba 
NUM.16.20	Hobaje 
NUM.16.21	“Haoen lepde mautilabü lele kan ho tan ka bangashi.”
NUM.16.22	Lausikei Mosa si Aron haosi lolo the khümbei hoba laukei, “O Mühghaü, khunak shousi soushou pendou thükkabü Mühghaü, müt cheei ong shabü shonbü shanga ho tan khümbo thükto khau anglep lo?”
NUM.16.23	Hibü 
NUM.16.24	“Shuong to lenashi, Kora, Dathan hoba Abiram lan ki, kho nyangko ka kukashi.”
NUM.16.25	Kheijinei Mosa meimeian Kora, Dathan hoba Abiram jungto haukei, hoba Israelbü jaishou hao phai sembei. 
NUM.16.26	Kheijinei haoei shuong to laukei, “Habü müt amaibüeibü neichem ka kukashi, hoba haoeneibü peisilei aitokei temeiti; khei ayinglonga haoeneibü shabü pendou yoa nokei yoan kujung satlabü.” 
NUM.16.27	Hibü Kora, Dathan hoba Abiram haoeneibü yaksi, shousi, hoba hanbü shuong yoan longan haoeneibü neichem koukhüna lokei. 
NUM.16.28	Hobaje Mosaei laukei, “Habü ho ngei maangei kümda aying, habü kümsilei pendou kümla 
NUM.16.29	Habü mütshuong, pendou haibü tegü haialonga, ayingsi müt pendou haangei haibü tegü haialonga, khei yingalonga 
NUM.16.30	Lausikei 
NUM.16.31	Kheijinei habü ngüh pendou laukhümjinei, haoen phanga kao kho paknyinkei; 
NUM.16.32	hoba kaoei sembung kaakei hoba haoen pendou hoba haoeneibü peisilei pendou suikei. 
NUM.16.33	Hibü haoen hoba haoen yoa yobü pendou Sheol to lang ong yankei, hoba kaoei haoen thüka küplepbei, hoba shuong yo ka haoen maukei. 
NUM.16.34	Kheijinei haoen kaijembo kibü Israelbü pendou haoenei ngekjinei, “Hali khou! Senkei kaoei suisi amailabü,” dogo lauko satyokei.
NUM.16.35	Hobaje 
NUM.16.36	Kheijinei 
NUM.16.37	“Aron ungshedboueibü shou Eleazar to, longan kibü wan kho phaua yoshaishi dogo lenshi, hoba nyi wan kho pendou aeto saabü to phinan apyoshi, aieilausi phau shuong kho saopobü ki. 
NUM.16.38	Aishanga habü shabü mütei haoeneibü langkeiei mubü habü wan phau saopobü yeitia. Hibü Israelbü shanga tetlatalabü yeila shanga lemshang shanga küpjinla lela khübü kho sheletham apbo jangjan, aishanga khübü kho 
NUM.16.39	Hobaje Eleazar ungshedbouei chinam wanphau laobou juoketbü shuongei lembei, haoenei kho lemshang küpjin shanga jangkei. 
NUM.16.40	Kho tetlabü Aron shousi to liman lubü aokei 
NUM.16.41	Lausikei nyibounyet Israel shousi shuong pendouei Mosa si Aron khulimbo nyamnyambo laukei, “Kanei 
NUM.16.42	Hobaje ladang mütshuongei Mosa si Aron khulimbo takshatko kikei, haoenei kamshang neichem naphei to chühkei, hoba chühashi, sangmeiei kho yuklepbei, hoba 
NUM.16.43	Hobaje Mosa si Aron kamshang neichem thedang aeto loukei. 
NUM.16.44	Hobaje 
NUM.16.45	“Ngei haoen lepde mautila shanga shuong yo ka kukashi, hoba haoen the khüman apbei.” 
NUM.16.46	Hobaje Mosaei Aron to laukei, “Kaibü wan phau sungjung louan lemshang ka khünei wan jinashi, hoba kho thüka jenjuokbü denan phokushi, hoba kho shuong yoto hali jungan haushi, hoba haoen shanga shabü debü kümsilei kümashi; aishanga 
NUM.16.47	Hobaje Mosaei laubü tegü Aronei jungkei hoba kamshaian kibü jenyu to laangjung atkei, hoba chühashi, müt yoa lim kho khangan kiteikei; hoba haoei jenjuokbü kho phokukei hoba mütshuong shanga shabü apbula haoei kho kümbei. 
NUM.16.48	Hobaje hao haibü si langkeibü kanglanga lokei, hoba lim kho thakkei. 
NUM.16.49	Tou limei haibü kho, Koraeibü kümsilei shanga haibü ayoko hajar 14,700 kikei. 
NUM.16.50	Hobaje Aron kamshang neichem ka Mosa jungto sepeinyu ngaikei hoba lim kho thakkei.
NUM.17.1	Kheijinei 
NUM.17.2	“Israel shousi shuong to lenshi; hoba haoen chung weko ka julo che che sungbashi, haoen chung leiyeibü ka pendouei anthüknyi, mütpem wekoeibü juloa lulueibü nyen nyi doashi, 
NUM.17.3	hoba Levieibü juloa Aroneibü nyen nyi dojan; aishanga haoen chung leiyeibü weko julo che che kilabü. 
NUM.17.4	Hobaje kamshang neichem ainei ngo ka to haüyoda khünei Ngühkhüm Busen junga nyi khübü kho phokushi. 
NUM.17.5	Hobaje müt ao ngei pienlaje haoeibü juloa tonglabü, hoba Israelbü nyamnyambü laobou haoenei ka khulimbo nyamnyamda, kho ngei lolo thaktilabü.”
NUM.17.6	Hibü Mosaei Israel shousi shuong to joyokei, hoba haoeneibü leiyeibü pendouei hao la julo kukei; haoen chung chung leiyeibü wekoei che che khei julo anthüknyi, hoba haoeneibü julo yoa Aroneibü julo kikei. 
NUM.17.7	 Hobaje Mosaei Ngühkhüm Busen neichema 
NUM.17.8	Hobaje nyibounyet kho Mosa ngühkhüm Busen neichem to atkei, hoba chühashi, Aroneibü julo Levi chung shangabü tongan kikei, hoba tongbü kho pungkei, hoba almond hek sembü hekkei. 
NUM.17.9	Hobaje 
NUM.17.10	 Hobaje 
NUM.17.11	Kho tegü Mosaei 
NUM.17.12	Hobaje Israel shousi shuongei Mosa to laukei, “Chüh- ashi, kün shemda, kün mauda, kün akisap. 
NUM.17.13	eibü lemshang nyangko loubü mütpem weko hailabü. Kün pendou hailep lo?”
NUM.18.2	Hobaje toukei kaibü jaisinasi shuong, Levibü shuong, kho kaibü bousi shuong chung haoen ka yolabü, no khangenlabü, nyi haoen ka jungto nyangko leian loushi; lausikei no hoba ka yoa kaibü shousi shuong ngühkhüm Busen neichem thedanga kijan. 
NUM.18.3	Haoenei no hoba neichem pendou thounoulabü; haoenkei kankei ühaila shanga haoen ong lemshanga peisilei hoba lembü kushang nyangko aloujan. 
NUM.18.4	Hobaje haoenei neichem kümsilei pendou shanga kamshang nei- chem chühlabü; hoba küksithang kan jungto nyangko telouti. 
NUM.18.5	Hobaje Israel shousi thük to touje khauang lotbü akila shanga kanei lemshang hoba lembü kushang chühlabü. 
NUM.18.6	Hobaje chühashi, ngo boushou, ngei kaibü jaisinasi Levibü Israel shousi yo ka piena; ka shanga haoen kho 
NUM.18.7	Hobaje no hoba kaibü shousi shuongei lembü kushanga ajanjan kümsilei hoba thangtet nei maang aenei ungshed kümsilei kümlabü, hoba khübü kho kanei chühlabü; ngei kan la ungshed kümsilei kho jongsak kümsilei tegü kubü ki; hoba küksithang ao nyangko loulaje haitilabü.”
NUM.18.8	Kheijinei 
NUM.18.9	Wana ajuokko jouletbü saopoboutham peiseilei shuong kaibü yinglabü; haoeneibü lembü weko hoba haoeneibü shausiyung lembü weko, hoba haoeneibü shabü lembü weko laobou haoenei kü la kuda, ka shanga hoba kaibü shousi shuong shanga saopoboutham kilabü. 
NUM.18.10	Pendou to saopobou tegütham nyi kho shaulabü; bousu phaiei kho shaulabü; kho ka shanga saopobü kilabü.
NUM.18.11	“Hobaje kho ka shangabü lembü jongsak, khei Israel shousi jipbü lembü pendou; khübü kho ngei ka la, hoba kaibü shousi, hoba ka yoa kibü kaibü nou- yangnyu shuong la ponpen phejan kua; kaibü chung hinseitham kibü wekoei kho shaulabü.
NUM.18.12	“Onang maiboutham pendou hoba ih hoba youshou maiboutham pendou shaangbü buhek laobou haoenei 
NUM.18.13	Haoeneibü kaonyeka shaang libü buhek, laobou haoenei 
NUM.18.14	“Israelbüei khümbo meiko kubü saüenbü peisilei pendou ka shangabü.
NUM.18.15	“Ajanjan pendou büngbü nasetshang ipbü 
NUM.18.16	Hobaje angngaila kibü shuong kho lit che jailebü ka nyi khübü munam lemshanga kibü shekel tegütham nam shekel ngao nyi lolo lenenbüei angngaijan (kho gera saoche). 
NUM.18.17	Lausikei shaangla shatbü masu ayingsi shaangla shatbü sanlon, ayingsi lon nyi üangngaijan; haoen saopobü ki; haoeneibü sii nyi lemshanga lakkulabü, hoba 
NUM.18.18	Lausikei haoeneibü phe kan shanga yingjan; jipbü senlang hoba maeae youshi kho ka shangabü kilabü.
NUM.18.19	“Saopobü peisilei lembü pendou laobou Israel shousi shuongei 
NUM.18.20	Hobaje 
NUM.18.21	Hobaje 
NUM.18.22	Hobaje tou ka jaüan Israel shousi shuongei haoenei shabü shonan ühaila shanga kamshang neichem nyangko aloujan. 
NUM.18.23	Lausikei Levi shuongei kamshang neichem kümsilei kümlabü, hoba haoenei luluei shed shonbü künlabü, hoba haoen meten sünga kho ponpen shanga kho ngühkhüm kilabü, hoba Israel shousi shuong yoa haoen phetphan akilabü. 
NUM.18.24	Aishanga Israel shousi shuongeibü an phejan laobou haoenei 
NUM.18.26	“Nyi Levibü shuong to lenshi, ladang kanei Israel shousi shuong ka ngei kan la kaneibü phetphan shanga haoen ka an phejan lelaje, kheijinei 
NUM.18.27	Hobaje kan shanga lembü kho amshanga youshou kibü tegütham hoba semlühhek nitshang ka longbü semlühdei tegü weeilabü. 
NUM.18.28	Kho tegü kanei Israel shousi shuong ka hapbü kaneibü an phejan pendou ka 
NUM.18.29	 shanga lembü weko kanei jongsak pendou ka khübü maiboutham khei kho ka saopobü phejan kanei lemjan. 
NUM.18.30	Hibü nyi haoen to laulabü, ‘Ladang kanei maiboutham lemlaje, kheijinei Levi shuong shanga amshang ka hapbü tegü, hoba semlüh nitshang ka hapbü tegü kho weeilabü. 
NUM.18.31	Hobaje kho kanei pendou aenei kan hoba kan chempenei shaulabü; aishanga kamshang neichema kaneibü kümsilei shanga hapmaibü kan shanga pailetbü ki. 
NUM.18.32	Hobaje kho ka maiboutham kanei sungan phoan phaiaje kho danko kan aikei shabü akilabü; lausikei kan ühaila shanga kanei Israel shousi shuongeibü saopobü peisilei ashatikujan.’”
NUM.19.2	“Ho 
NUM.19.3	hoba kanei kho Eleazar ungshedbou la kulabü, hoba haoei shaishang khoongaeto kho leijung angan hao thedanga haitilabü; 
NUM.19.4	hoba Eleazar ungshedbouei khoeibü sii kho haoeibü ikjishoua sungbalabü, hoba kamshang neichem thedang aenei sii kho nyetnei laklabü; 
NUM.19.5	hoba hao thedanga müt cheei masu pi kho juoklabü. 
NUM.19.6	Kheijinei ungshedbouei cedar bu hoba hisop hoba nakthüngan sakbü peisilei sungan kho masu pi jikbü jenyu to jinkulabü. 
NUM.19.7	Kho phaia ungshedbouei haoeibü neisimei saklabü, hoba kho phaia hao shaishang neichem to atlabü, hoba ungshedbou kho chasem sühko asaopoko kilabü. 
NUM.19.8	Hobaje aoei kho jiklaje, haoei haoeibü neisimei saklabü, hoba hao mang yulabü, hoba chasem sühko asao- poko kilabü. 
NUM.19.9	Hobaje saüenan kibü müt cheei masu jikbü tap kho yoshaian shaishang khong- aenei sakteibü kaoena pholabü, hoba kho Israel shousi dan shanga asaopobü dei shanga pholabü; ho shabü lembü ki. 
NUM.19.10	Hobaje aoei masueibü tap kho yoshailaje jembü neisimei saklabü, hoba chasem sühko asaopoko kilabü, hoba kho Israel shousi shuong hoba küksithang haoen yoa kibü shanga ponpen shanga song kilabü.”
NUM.19.11	Aoei müt at haibümang to meitilaje chalou nyet sühko asaopoko kilabü. 
NUM.19.12	Chalou semnyet hoba nyetbounyet haoei jembü lolo dei khoei shabü ka saüenlabü; lausikei haoei sembounyet hoba nyetbounyet hao lolo asaüenlonga, hao ihinseilabü. 
NUM.19.13	Aoei ong haibümang, khei müt haibü manga meitilaje, hoba jembü lolo ahinseiko kilaje hoba 
NUM.19.14	Neichema haijinei ho ngühkhüm kia; neichem to atbü mütpem weko chalou nyet asao- poko kilabü. 
NUM.19.15	Hobaje ipan kibü chaksiam laoboua küpjin ayoko ki, asaopoko kilabü. 
NUM.19.16	Hobaje ao- youei tangakhonga haitian kibü to ayingsi haibümang to ayingsi müt ateibü lo to ayingsi heea meitilaje chalou nyet asaopoko kilabü.
NUM.19.17	Hobaje asaopobü shanga haoenei shabü juokbü tap sunglabü hoba dei haanbü khünei chak chenei jinlabü. 
NUM.19.18	Hobaje hinseian kibü müt cheei hisop sungan kho deia shemlabü, hoba neichem thüka hoba chaksiam pendou thüka hoba khünei kibü müt to ayingsi haitian kibü to ayingsi haibü, ayingsi hee to meitibü la lakkulabü. 
NUM.19.19	Hobaje saüenbü müt khoei asaopobü khola sembounyet hoba nyetbounyet haoei hao saüenkulabü, hoba haoei haoeibü neisimei saklabü, hoba hao lolo mang yulabü, hoba chasem hao saüenan kilabü.
NUM.19.20	Lausikei müt ao asaopoko kilaje, hoba jembü lolo asaüenda kho mütshuong yo ka wapan aplabü, aieilausi haoei 
NUM.19.21	Hobaje haoen shanga kho ponpen song kilabü; hoba aoei asaopobü dei kho lakkulaje haoeibü neisimei sakjan; hoba aoei asaopobü dei to meitilaje, chasem sühko asaopoko kilabü; 
NUM.19.22	hoba asaopobü mütei ai ong meitilaje asaopoko kilabü; hoba müt aoei khüto meitilaje chasem sühko asaopoko kilabü.
NUM.20.1	Kheijinei shaangbou lita Israelbü tan khümbo Zin yam sühkei, hoba mütshuong haoen lolo Kadesha kikei; hoba khünei Miriam haikei, hoba khünei khünkei.
NUM.20.2	Hobaje shuong shanga khünei dei akitei; hoba haoen liko haoen lolo Mosa si Aron khulimbo takshatkei. 
NUM.20.3	Hobaje mütshuongei Mosa to tokyoko laukei, “
NUM.20.4	Hobaje aila 
NUM.20.5	Kaonyek ho youshou, ayingsi bhuk, semlüh, chilang, ayingsi ai yunglabü dei akishang kaonyek haang alongbü hato leian loula aila Ijep ka kanei kün leian loukei?” 
NUM.20.6	Hobaje Mosa si Aron haosi hamei takshatan kibü shuong thedang ka kukan kamshang neichem koukhün to atan haosieibü the khümbei hoba 
NUM.20.7	Hobaje 
NUM.20.8	“Julo kho sungashi, hoba shuong kamtiashi, hoba kaibü jai Aron kasiei haoen thedanga kasiei laang to dei longtila joyoashi, hoba nyi haoen shanga laang ka dei longtilabü; kho tegü nyi shuong hoba haoeneibü meisiau la yunglabü kulabü.” 
NUM.20.9	Hobaje haoei sakkubü tegü Mosaei 
NUM.20.10	Mosa si Aronei laang thedanga shuong kamtikei, hoba haoei haoen to laukei, “Kan khulimbo lobü shuong; tou ditashi; küsiei ho laang ka dei longtikulabü.” 
NUM.20.11	Hobaje Mosaei haoeibü ik shingan haoeibü juloei laang to nyinei ngümbei; hoba dei juongnyu longkei, hoba mütshuongei hoba haoeneibü meisiauei yungkei.
NUM.20.12	Lausikei 
