GEN.1.1	Aino luai God kata asinong na mete kuku na kuli rina. 
GEN.26.27	Au, kitol la serei na Isak kala sui iritol, “Au, marai sa kana mitolpo serei singig, taun mita tav aiveven aro anig na mila kirikai suai anig pelek kami rina?” 
GEN.26.28	Na kitol la polpol ia ta, “Namemtol tala arai amalangas vang ta IAVE katapo uli auai ve numai, asukang na namemtol la lomlomonai ta kapo ro ani ka atogon na ainainakai roron nei liuan ira. Asukang na namemtolpo buk palpalatung ve numai 
GEN.26.29	ta tara ago ta angridikekai angpokpokai anira. Parik namemta akeke tatam na namem aiveven aro ua na namemta asok suai anim ta luai na marip. Asukang palau ku ago kapa ta vil arikek an ane singimem. Using kana vang, kala po malangas ta IAVE kapo atauia alava luai anim.” 
GEN.26.30	Au, na Isak kala itoitonai ani mang sikei a matan angan aniritol na kitol la angan. 
GEN.26.31	Si tenei vauk lik kitol la palpalatung kuvul angpokpokai aniritol. Le na Isak kala atatung iritol na kila angtaliungai ta marip. 
GEN.26.32	Singina si taun ang palau, kana keve asosokai kimela serei singina na kila antok ia ta dim tanginang i kari tep ang. 
GEN.26.33	Kala atuk ia ta Siba, supsupai ina ta palpalatung. Na asukang, tung si taun ke kipo posong lak a rina ang ta Ber Seba.
GEN.26.34	Esau, si taun kata lapo puat a sangauli na matas aongos, kala osongon a kavulik ang si Beri, i pat vap ang ri It, kana asan ta Iudit. Na kala osongon kapa na Basemat, kavulik ang si Elon i pat vap ang i Itit kapa. 
GEN.26.35	Sikei ngono aina ang kilongta po uli vil amamakus ani ri Isak ve Rebeka.
GEN.27.1	Au, Isak kata lapo lapan paspasal na kalapo mataba. Mang sikei a taun kala songo kana nat tuan ta Esau ta “Kag nat.” Na Esau kala antok ta, “Io, nau kana.” 
GEN.27.2	Na Isak kala mengen ia asukang ke, “Nalapo lapan kana na parik napa malangas a taun ang naka mat singina. 
GEN.27.3	Asukang na ku luk kam usausan ipo akalat, kam vatilau, na kam keve vut na ku pasal ane nei uten na ku an akalat ta ring avus anig. 
GEN.27.4	Taun ku papok ku me itoitonai amoso ania asukang palau val matan pok ang nau napo uli buk angan ania na ku luk ia ane singig, ani taun nala angan sip le ia nala posong atautauia ua aino le ani na mat.”
GEN.27.5	Sikei nia si taun ang akorong ri Rebeka kitapo kokolongong tainau na Isak sipo angmemengenai ve kana nat ta Esau. Asukang na taun a Esau kala ultaliung ane nei uten asian akalat ani tamana, 
GEN.27.6	kila pasal na kianla mengen ve kari mang nat ta Iakov. Kila antok ia asukang ke ta, “A ku longong tapai! Nata longo-tainau nang a tamam sipo mengen ani tasim ta, 
GEN.27.7	‘Ku pasal na kuanla so le ta kag ring avus, na kume itoitonai amoso ania val matan pok ang napo uli buk angan ania, ani taun nala angan le ia, nala posong atautauia ua e matana i IAVE aino le ani na mat’. 
GEN.27.8	Au, kag nat, ku longong aroron luai na ku abis a sa kana na atatai ua tatana. 
GEN.27.9	Ku pasal ane nei liuan i kara keve vongo na kuan daung le ta pongua na natnat vubukan ro i me, na name itoitonai ani matan pok ang a tamam kapo uli buk ania. 
GEN.27.10	Le na ku luk le ia na kuan alis a tamam asi kana angan, na ka posong atautauia ua aino le ani ka mat.” 
GEN.27.11	Na Iakov kala antok ta, “Iau? Esau nang kapo pukun ungan na nau napo pukun ratal palau. 
GEN.27.12	Man a mamai kala sigil a pukun ig, nala sa? Kala nas akorong ta napo kapau ia. Varas nganlak kala uak kulug na parik ta posong atautauia.” 
GEN.27.13	Sikei kila antok ta, “Kag nat, ku ago ta leng an. Ago na varas ang ka lak iau. Ku abis palau a sa kana napo antok ua tatana. La luk le na ngono vongo lik suke.”
GEN.27.14	Au, Iakov kala pasal na kanla luk le na ngono vongo lik ang na kame la alis rinana na kila itoitonai ani matan pok ang ani tamana. 
GEN.27.15	Kila luk a keve sualakai roron luai si Esau voiang katapo sinong nei lu na kala amaus a Iakov tatana. 
GEN.27.16	Kila luk kulit i me na kila pakut a ngono kungana na palpal iruna voiang katapo ratal. 
GEN.27.17	Le na kila alis ia ta keve pok ang na keve saui i kari la itoiton ang.
GEN.27.18	Au, Iakov kanla serei si tamana na kala songo, “Mamai!” Na tamana kala polpol, “Io kag nat. Numai nang a si?” 
GEN.27.19	Au, kala antok ta, “Nau nang kam ainoai i nat ta Esau. Natala vil apunuk kam atatai anig. Ku sinong atung nang na ku angan tapai si pok ke, le na ku posong atautauia iau.” 
GEN.27.20	Sikei Isak kala sui ia ta, “Au, kag nat, kuta sa sabonai sumasuma nang ani bil ang?” Na kala antok ta, “IAVE kam God kata pakangai anig.” 
GEN.27.21	Asukang na Isak kala antok ta, “Au, kanat kag nat, me asung ani na sigil korong ua. Na nanas ta numai akorong nang kag nat ta Esau vo parik.” 
GEN.27.22	Au, Iakov kala pasal asung na tamana kala sigil ia na kala antok ta, “Kalingam kapo tangis val kalingana i Iakov sikei ngono kungam kapo asukang val ngono kungana i Esau.” 
GEN.27.23	Si taun ke Isak parik katapa arai kinle ania, using ngono kungana katapo ungan val ke Esau. Ninia vanang a tukulai ina kata posong atautauia ia. 
GEN.27.24	Au, Isak kala sigil ia na kala sui, “Si? Numai akorong kana kag nat ta Esau?” Na kala antok ta, “Io, nau palau.” 
GEN.27.25	Au kala antok ta, “Kag nat, luk a pok ang na name angan, le na na posong atautauia ua.” Na Iakov kala luk dong ia ta pok ang ve kana men wine kapa na kala sonkos. 
GEN.27.26	Emung ina Isak kala antok ia, “Me asung iau, kag nat, na kume lulus iau.” 
GEN.27.27	Na Iakov kala pasal asung a tamana na kala lulus ia. Au, vuk taun ang kapo lulus ia, Isak kala sain korong a sain i kana keve sualakai na Esau na kala tapasuk na kala posong atautauia na Iakov. Kana posong atautauia asukang ke, “Io, sain i kag nat kapo asukang ta sain i nei matang, voiang a IAVE katala atauia ia. 
GEN.27.28	God ka alis ua ta langit i mete kuku na tauia i kuli roe. Ku duk luai ta uai i ei na wine tanginang. 
GEN.27.29	Mang keve pat vap ki abis anim na ki soturungai taun ua. Keve tasim ki abis anim, na ki soturungai taun ua. Riria kipo varas ua ki kun duk ta rikek. Na riria kipo posong atautauia ua ki kun tauia kapa.”
GEN.27.30	Au, Isak kala aulei ta mengen na Iakov kala pataliung a tamana. Na akorong palau tasina ta Esau kamela serei i akalat. 
GEN.27.31	Kala itoitonai aroron ani kana matan pok asi an sasagi dong ani tamana tatana. Au, kala palak na kala antok a tamana ta, “Au, mamai, ku sinong atung na ku angan le si sasagian ke, ani ku posong atautauia iau.” 
GEN.27.32	Na tamana kala sui ia, “Au, numai nang a si?” Na kala antok ta, “Nau apok na Esau, kam ainoai i nat.” 
GEN.27.33	Au, vuk taun ang kapo mengen asukang suke, Isak kala tetek alava luai na kala sui, “Au, na mang si nang katanla akalat le na kana palau katamela lis pok le anig? Natala angan asip le ia kana aino ani kupo tavas alak, na natala posong atautauia ia kapa. Io, kalapo kakana ta posong atautauia ang. Parik kapa angkoai ani na luk pok ia.” 
GEN.27.34	Esau kata longong a keve mengen ke si tamana na kala kup alava ta tangis na kala antok ia ta, “Ku posong atautauia iau kapa. Io nau, nau kapa mamai dangis!” 
GEN.27.35	Sikei tamana kala antok ia, “Tasim kata serei singig ta kapau na kamela luk a posong atautauia ang pat anim.” 
GEN.27.36	Na Esau kala antok ta, “Kita atuk aro luai nang ania ta Iakov, using katala kapau a matan pongua iau lenginang. Katala luk suai ani kag sinsinong i nat tuan, na kana kala luk kag posong atautauia!” Na kala sui a tamana ta, “Sa mamai, parik kutapa lomon akipai ta ring posong atautauia anig?” 
GEN.27.37	Na Isak kala polpol asukang ke, “Parik nang. Tasim vanang kana kalapo tu-ainoai anim, na keve tasina natala posong iria ta ki ago neite kana sausaupai. Natala posong atautauia ia ta uai i ei na vaen tanginang. Kalapo asukang vanang. Nau parik napa angkoai si posong ta mang sa anim nang ka pok petekai. Kalapo kovek nang, kag nat!” 
GEN.27.38	Na Esau kala sui ta, “Mamai, kupo atogon ta sikei palau a posong atautauia? Mamai, napo sokotuk ua ta ku posong atautauia iau kapa.” Na Esau kala tangis alava. 
GEN.27.39	Au, Isak kala posong dong ia ta vuk mengen asukang ke, “Longong! Kam ring asi ago ka ago akipai ani roron na tauia i nei roe, na ka ago akipai ani keve langit i mete kuku. 
GEN.27.40	Ku igenen visvis ta samele na ku abis ani tasim. Sikei, ka serei lak a taun ku mamal ani ago neite kana sausaupai na kula sip pelek ia.”
GEN.27.41	Io, le si taun ang Esau kalapo uli atogon marala lava ani Iakov le si posong atautauia ang tamana kata posong dong ia tatana. Asukang na kalapo lomlomonai ta, “Uring lik a mamai nang ka mat. Man kala mat, io nala raung suai ani tasig ta Iakov.” 
GEN.27.42	Au, taun ri Rebeka kila longong a mengen ang si Esau, kila songo na Iakov na kila antok ia ta, “Tasim nang ta Esau kapo alos pulakai ta kana lomlomonai asi raung anim. 
GEN.27.43	Ku longong aro iau, kag nat. Ku sip sumasuma palau ane si lavam ta Laban e Aran. 
GEN.27.44	Na ku ago e iang ve nia ani mang rukun taun tung kana marala anim a tasim ka livus. 
GEN.27.45	Man kala livus kana marala na kala lomon taun a sa kuta abis ia ane singina, naka alis mengen anim asi kam papok. Kapo rikek ani milong aongos milong mat pelek iau si sikei palau a vuk taun.”
GEN.27.46	Na Rebeka kala antok a Isak asukang ke, “Napo kirik luai nang ani ago kuvul ve ngono omog ke i ri It. Man a Iakov kala kun osongon korong kapa singiria, loi, kag to parik luai kapa angkoai si ka roron.”
GEN.28.1+GEN.28.2+GEN.28.3	Asukang na Isak kala songo na Iakov na kala pinipini ia ta mengen asukang ke, “Ku ago luai ta osongon an ta sikei i keve aina ke i Kanan. Ku tapasuk na ku pasal ane Padan Aram ane si tivum ta Betuel, tamaria i rinam. Ku luk ta mangsikei i kana keve kavulik a Laban ani kam aina. Laban nang kapo tauria i rinam.” Isak kata posong dong kapa ia ta poso-atauia ke, “God Tavirimok Luai ka vil atauia ua. Ka apolokai ani kam polpolokan ki serei a matan vap lava luai. 
GEN.28.4	Ka alomonaus imi ve keve matan tivum na ka alis imi ta roe ang, kana kupo ago ia val sokoung. Roe ang nang God katala atogon a Abaram tatana.” 
GEN.28.5	Au, Isak kala mengen asip na kala asok na Iakov asi kana pasal ane si Laban e Padan Aram. Tamana i Laban ta Betuel le Aram. Na ri Laban kilongpo angtaumal ve ri Rebeka. Na ri Rebeka vanang kipo rinarilong i ri Iakov ve Esau. 
GEN.28.6	Si pangau i taun ang Esau kala longong ta Isak katala poso-atauia na Iakov na kala asok suai ania ane Padan Aram asian luk ta kana aina le iang. Na taun kata poso-atauia ia kata pinipini ia ta ka ago luai ta osongon an ta sikei i keve aina ke i Kanan. 
GEN.28.7	Na Esau kala kun longong ta Iakov katala longong a tamana na rinana na kala pasal ane Padan Aram. 
GEN.28.8	Le iang Esau kala kinle ta tamana kapo kirik ani ri aina i Kanan. 
GEN.28.9	Asukang na kala pasal ane si matan vap ang si Ismael, mang nat ang si Abaram, na kanla osongon kana mang kavulik kana asan ta Ma-alat. Tauna i Ma-alat ta Nebaiot. Osongon ke kata vil a tataot lava na mang keve aina ang katala osongon lenginang iria.
GEN.28.10	Io, Iakov kala papelek a Berseba asi kana pasal ane Aran. 
GEN.28.11	Au, nei liuan i kana paspasal kanla serei si mang vuk ring na kala vong ania. Na kala lomlomonai ani ka matung ausai ani tenei vong ang e iang. Kala luk a mang sikei a vuk iat asi kana kirang vangang na kala pok suai asi kana rot. 
GEN.28.12	Taun kalapo rot kala arai ani mang sikei a kikiklakan kapo tung asiang le mete kuku ane kuli vunep. Kana keve angelo a God kitapo pasal angpok kuluna. 
GEN.28.13	Na IAVE kapo tung e pangkul. Kala mengen asukang ke, “Nau kana na IAVE, nia palau a God, nang a tivum ta Abaram na tamam ta Isak kilongpo lomlomon singina. Naka alis imi ve keve matan tivum ta roe ke kana kupo matung singina. 
GEN.28.14	Matan tivum ki duk pitpitliu luai. Ki polok apapanai alava luai ane si keve matana i malu aongos i kuli rina. Naka asereai ta sikei le nei liuan imi voiang na mamain ta matan vap aongos i kuli rina ke ki luk kari alomonaus le singina. 
GEN.28.15	Teng akit a mengen ke. Nau kana ve numai. Naka aiveven ua si kam keve paspasal aongos. Na emung nala songo pok ua ane si roe ke, using parik luai napa angkokoai si papelek anim tung si nala vil korong a palpalatung ang natala palpalatung ia ve numai.” 
GEN.28.16	Au, na Iakov kala tapangun na kala lomlomonai ta, “Pua, kapo tutuman luai, IAVE kana kapo ago si vuk vunep ke, na parik natapa malangas tatana.” 
GEN.28.17	Vuk leng lava kalapo serei singina na kala antok ta, “Vuk vunep ke kana kalapo vil a leng iau. Kapo tutuman luai, oring ke kana kapo lu si God, na kana na takaman i mete kuku.”
GEN.28.18	Si tenei vauk lik Iakov kala tapasuk na kala luk a iat ang kata kirang vangang tatana na kala atung atung ia na kala vekai rul i oliv kuluna. 
GEN.28.19	Na kala atuk a ring ang ta Betel, supsupai ina ta lu si God. Aino kitapo uli posong ania ta Lus. 
GEN.28.20	Eiang Iakov kala vil a mang palpalatung ve God asukang ke, “Man ku auai ve nau, na man ku ararai bat anig si paspasal ke napo pasal ia, na man kapa ku alis pok na ku amaus iau, 
GEN.28.21	na man nala vil korong ia ta nanla serei pok si kana lu na mamai, io, man ku pakangai anig asukang suke, nala luk vang ua val kag God, IAVE. 
GEN.28.22	Akanangai ke kana natala atung atung ia kalapo kam lu. Le si keve tauia ang ku alis iau tatana, nala alis pok ua ta tataot-sangauli iria aongos.”
GEN.29.1	Au Iakov kala pasal na kanla serei si palpal roe ang si matan vap ang si ring ipo sanglak ta makarap. 
GEN.29.2	Eiang kala arai ani potol a kuvkuvulan i sipsip na kipo matung ngere mang sikei a dim. Kitapo ainuinum ri sipsip si dim ang. Vuk iat i nguruna i dim ang katapo vuk iat lava, 
GEN.29.3	na si taun na ri sipsip kianpo ago kuvul eiang, vap ipo aiveven ang aniria kipo uli ul suai ani iat ang le na ki ainum iria. Emung ina kipo uli ul pok ani iat ang bat a nguruna i dim ang. 
GEN.29.4	Au, Iakov kala serei eiang na kala sui na vap ang ta, “Au si, keve tungag, nami akorong kana le voi?” Na kila antok ta, “Namem nang le Aran.” 
GEN.29.5	Au, na kala sui iria ta, “A, mipo nas kana na Laban, nang a tivuna ta Naor?” Na kila antok ta, “E, namempo nas ia.” 
GEN.29.6	Na Iakov kala sui ta, “Au sa, kapo to aro palau?” Na kila antok ta, “E, kapo to aro. A! Ta kana kavulik kana ia ta Rakel kapo pakasang ve kari keve sipsip.” 
GEN.29.7	Na kala antok ta, “Apua, makarap kana kapo ago e pangkul lak. Parik lak kapa taun si songo aiton ani ri sipsip asi kari rot. Mi ainum iria, le na mi songo iria asi kari an angan. 
GEN.29.8	Sikei kila antok ta, “Parik kapa angkoai tung a keve sipsip aongos kila seserei, io kila ul suai vanang ani iat ke na namem la ainum vang a ri sipsip aongos.” 
GEN.29.9	Au, taun ang kapo angmemengenai lak ve ria, Rakel kamela serei ve keve sipsip ang si tamana. Katapo kun katakai i aiveven sipsip kapa. 
GEN.29.10	Tamana i kavulik ke kapo tauna i rinana i Iakov. Au, kamela serei ve keve sipsip ang si tamana na Iakov kala arai ania na kala paliu na kala ul suai ani iat ang na kala ainum a keve sipsip ang si lavana. 
GEN.29.11	Si vuk taun ang Iakov kalapo maramarak arikek luai. Ka lulus ia, ka tangis alava luai ta uruk. 
GEN.29.12	Na kala antok ia ta kapo angtogon ve tamana na ninia kapo nat si ri Rebeka. Au, Rakel kala sang pok na kanla antok a tamana. 
GEN.29.13	Taun a Laban kata longong a akuskus i tipasina ta Iakov, kala pasal sumasuma asian ruduai ania. Kala vongok ia na kala lulus ia, le na kala songo alak ia ane nei lu. Eiang Iakov kanla atatai ia ta keve bil aongos ang kata serei singina.
GEN.29.14	Asukang na Laban kala antok ia ta, “Numai kupo palpal ig atutuman luai.” Au, Iakov katala ago na sikei a ulen ve nia, 
GEN.29.15	na Laban kala antok ia asukang ke, “Kupo tipasig, sikei napo misag ani ku abis palau anig. Ku posong amalangas a samui ang kupo buk ia.” 
GEN.29.16	Au, Laban katapo atogon kana pongua na kavulik, anu aino ang kana asan ta Lea, na vopo using ania nang Rakel palau. 
GEN.29.17	Lea katapo ararai ro, sikei Rakel katapo ararai talupus luai si pukun ina aongos. 
GEN.29.18	Iakov katapo buk a Rakel, asukang na kala antok a Laban ta, “Naka abis anim ani limalengua na matas aongos, na emung ku lis iau ta kam kavulik tanginang ta Rakel ani na osongon ia.” 
GEN.29.19	Na Laban kala antok ta, “Pua, kapo roron luai ta na alis ia ane singim na parik ta ane si mang igenen petekai. Ku ago eke ve nau.” 
GEN.29.20	Au, le iang Iakov kala abis ani limalengua na matas aongos asi luk ani Rakel. Na limalengua na matas ang kata asukang ta rukun taun lik palau using kana vubuk ani kavulik ke katapo tavirimok.
GEN.29.21	Emung ina Iakov kala antok a Laban ta, “Au, ku lis iau vang ta kag aina. Kag taun i abis ania kala kamus na kana nalapo buk ago ve nia.” 
GEN.29.22	Asukang na Laban kala songo akuvul aongos na vap i ring ang na kala teng a mang sikei a matan angan. 
GEN.29.23	Sikei si tenei ngelik sagup, kala songo le na Lea na kanla alis a Iakov tatana. Na Iakov kala rot ve nia. 
GEN.29.24	Laban kata alis kapa kana ainan asosokai ta Silpa ani kan asosokai si Lea. 
GEN.29.25	Au, si tenei vauk Iakov kala tapangun na kala taping ta Lea eiang. Na kala antok a Laban ta, “Au, marai sa kana kupo vil iau asukang ke? Nata abis anim asi kag osongon ani Rakel. Na marai sa kana kutala kapau iau?” 
GEN.29.26	Na Laban kala atatai ia asukang ke, “Kamem laulauan eke parik kapa ainak ani kavulik emung kan osongon aino ani kavulik aino ang. 
GEN.29.27	Parik. Sikei kapo ro. Ku akamusai tapai ani limalengua na taun i matan angan i osongon ke ve Lea, na emung ina namemla alis ua kapa ta Rakel. Sikei, kula abis pok le vanang na mang limalengua na matas.” 
GEN.29.28	Au, kila akamusai tapai ani matan angan i osongon ani Lea na emung Laban kala alis ia ta Rakel ani ka osongon ia kapa. 
GEN.29.29	Kata alis kapa ta kana ainan asosokai ta Bila ani ka asosokai si Rakel. 
GEN.29.30	Au, na Iakov kala kun ago ve Rakel, na kata buk alava luai ania sikei Lea parik. Na Iakov kata abis ani Laban ani mang limalengua na matas aongos pok an.
GEN.29.31	Au, IAVE kata arai ta Iakov parik katapa buk a Lea, na kala asereiai ania ta Lea ka atogon nat, sikei Rakel ka ngolo. 
GEN.29.32	Asukang na Lea kala atogon kana sungsungukan na kala ingus kana nat tauan. Na kala lomlomonai asukang ke, “IAVE katala arai korong ani kag mamakus. Kala koi vang kana ta kag tauan kala kun buk anig.” Le si mengen suke vanang na kala atuk a nat ang ta Ruben. 
GEN.29.33	Au, kala anguan vinga an na kala ingus kana mang nat. Na kala lomlomonai ta, “IAVE katala nas ta kag tauan parik lak kapa buk iau, na kala alis iau kapa ta mang nat ke.” Le si mengen suke vanang na kala atuk a nat ang ta Simeon. 
GEN.29.34	Au, na kala anguan vinga an na kala ingus kana mang nat. Na kala lomlomonai ta, “Au, kana vang nganing kisngag kala pataun iau, using natala ingus kana potol a nat.” Le si mengen suke vanang na kala atuk a nat ang ta Levi. 
GEN.29.35	Au, na kala anguan vinga an na kala ingus a mang nat na kala lomlomonai ta, “Si nat ke, naka alatun a IAVE.” Le si mengen suke vanang na kala atuk a nat ang ta Iuda. Au, emung i nat ke, parik kata lapa anguan ingus an ani rukun taun lik.
GEN.30.1	Au, Rakel kala arai ta parik kapa angkoai si ingus korong ta ring nat anirilong ve Iakov na kala atogon vinga maiten ani tasina. Na kala antok a Iakov ta, “Ku alis ta kag ring nat vei nganing naka mat ta mese!” 
GEN.30.2	Iakov kala marala na kala antok ia, “Au sa? Nau nang naka luk a pangau ang si God, voiang ninia kapo teng akit ua si atogon nat?” 
GEN.30.3	Au, na Rakel kala antok ia ta, “Kapo ro, sikei kana kag ainan asosokai kana ta Bila. Ku ago tapai ve nia na ka ingus tapai ta kag ring nat, na le si nat ang, na kun tutapong apolokai ta kakag ta kun matan vap.” 
GEN.30.4	Asukang na kala alis a Iakov ta kana ainan asosokai ta Bila ani kan rot ve nia asukang ta kana aina. Io, na Iakov kala rot ve nia 
GEN.30.5	na kala atogon kana sungsungukan na kala ingus a sikei a nat. 
GEN.30.6	Au, na Rakel kala antok ta, “God kana vang katala asapang iau. Katala longong iau, na kala alis nat anig.” Le si mengen suke vanang na kala atuk a nat ang ta Dan. 
GEN.30.7	Au, Bila kala anguan vinga pok an na kala ingus kana vapongua i nat. 
GEN.30.8	Na Rakel kala antok ta, “Nata atogon angkasai lava ve tasig na kana nala dual.” Le si mengen suke vanang na kala atuk a nat ang ta Naptali.
GEN.30.9	Au, Lea kala arai ta parik kapa anguan ingus an na kala kun songo ani kana ta kun ainan asosokai ta Silpa na kala kun alis ania ane si Iakov ani kan kun ago ve nia asukang val kana aina. 
GEN.30.10	Eiang Silpa kala kun ingus ta mang sikei a nat ani Iakov. 
GEN.30.11	Na Lea kala antok ta, “Pua, kag bil roron luai!” Le si mengen suke vanang na kala atuk a nat ang ta Gad. 
GEN.30.12	Ago lik na Silpa kala anguan ingus pok an ani kana vapongua i nat ani Iakov. 
GEN.30.13	Na Lea kala antok ta, “Pua, napo maramarak luai! Ri aina aongos kana ki posong iau ta nau a aina maramarak.” Le si mengen suke vanang na kala atuk a nat ang ta Aser.
GEN.30.14	Kalapo vuk taun vunga lik na taun i kopkopos kon kala serei. Mang taun Ruben kala pasal ane matang na kanla sabonai ani mang keve uriuri roron. Kala luk le ia na kamela alis a rinana ta Lea tatana. Au, Rakel kala arai ania na kala antok a Lea ta, “Pua tasig, ku alis kapa ta kag ta kun keve uriuri ani taun na inum ia nala kun atogon vinga.” 
GEN.30.15	Sikei kala antok ia asukang ke, “Sa, parik kupa angkoai lak? Kutala luk pakang iau ta kag tauan, na kana kulapo anguan buk luk pakang anig ta keve uriuri ke.” Na Rakel kala antok asukang ke, “Kala ro luai, nganlak tenei vong ke Iakov kame rot ve numai, ngenget ani keve uriuri ke.” 
GEN.30.16	Asukang vanang na taun a Iakov kata papok le matang tenei ngelik ang, Lea kata pasal na kanla ruduai ia na ka antok ia ta, “Natala seupok nang ua ta mang keve uriuri i la alis ta kag nat, ani ku ago vong nganlak ve nau.” Asukang na si tenei vong ang kala rot kuvul ve nia. 
GEN.30.17	Na God katala longong korong a Lea na asukang kala anguan vinga pok an na kala ingus ta kana vapalpalima i nat ani Iakov. 
GEN.30.18	Na kala antok ta, “God kana kapo seupok iau using natala alis kag ainan asosokai ane si kag tauan.” Le si mengen suke vanang na kala atuk a nat ang ta Isakar. 
GEN.30.19	Na kala anguan vinga pok an na kala ingus kana valimalesikei i nat ani Iakov. 
GEN.30.20	Na kala antok ta, “Kana God kapo alis iau ta alilis talupus luai. Kana vang kisngag ka aminaung singig using natala ingus ania ta limalesikei a nat aongos.” Le si mengen suke vanang na kala atuk a nat ang ta Sebulun. 
GEN.30.21	Si mang vuk pangau pok emung ina kala ingus kana kavulik na kala atuk ia ta Dina. 
GEN.30.22	Au, emung ina God kala lomlomonai pok ani Rakel. Kata longong kana tangis na kala itoiton pok a laka ipo matung nei vinga ta ri popo lik. 
GEN.30.23	Au, na kala vinga na kala ingus a sikei a nat. Na kala antok ta, “Si taun ke God katala luk suai ani kag mese. 
GEN.30.24	Kapo roron ta IAVE ka alis anig ta kag mang sikei pok a nat.” Le si mengen suke vanang na kala atuk a nat ang ta Iosep.
GEN.30.25	Emung i Rakel i la ingus tapai ani Iosep, Iakov kala antok a Laban asukang ke, “Almug, kalapo taun ani ku atalipai anig na naka papok ane si kag rina akorong pok. 
GEN.30.26	Ku alis iau ta kag ngono aina na kag inatus kana nata mela abis amarai aniria singim, na naka pasal. Numai akorong kupo malangas aro luai ani abis lava ang natala teng anim tatana.” 
GEN.30.27	Sikei Laban kala antok ta, “Man kupo ainak, napo sokotuk ani ku ago. Natala arai si kag keve tangatangai ta IAVE kapo vil atauia iau using numai palau. 
GEN.30.28	Kapo ro, posong kam samui na naka seupok ua.” 
GEN.30.29	Na Iakov kala antok ta, “Numai kupo malangas aro ta natalapo abis alava luai anim, na kupo malangas aro ta kam keve vongo kita polok aro si kag aiveven. 
GEN.30.30	Menlik ang kutapo atogon ia aino ani kag serei eke, kana katala polok alava luai. Si saka oring an natapo ago singina IAVE katapo vil atauia ua. Sikei nei akorong vang kakag ta kun taun si abis akorong anig na kag inatus?” 
GEN.30.31	Au, Laban kala sui ia ta, “Naka alis vang kana ua ta sa?” Na Iakov kala polpol ta, “Ago ta alis an anig ta mang sikei a bil. Sikei man ku abis a ring sikei a bil palau anig, naka aiveven aliu lak tapai ani kam keve vongo. 
GEN.30.32	Napo buk ani tarung ainainakai asukang ke: Atalipai anig na nakan pasal nei liuan kam keve meme na kam keve sipsip, na nakan irang suai nei liuan iria, riria kipo atogon salik na riria kapa kipo ituitumai na kipo pukun miting. Riria vanang, kilapo kag samui. 
GEN.30.33	Kag atutuman si bil ke ka serei amalangas singim iles lak, man kupo buk ararai pok ani samui ke ku seupok iau tatana. Saka meme vo sipsip an parik kapa atogon salsalikai kime serei lak nei liuan i kakag ta keve vongo, ka malangas singirung aongos ta nata tainau iria.” 
GEN.30.34	Au, Laban kala antok ta, “Io, napo ainak luai. Kapo ro ani ka asukang palau val kutala posong atangis ia.” 
GEN.30.35	Na nia si taun ang akorong Laban kala pasal na kanla irang suai ani keve meme tauan vap po ituitumai na salik ang, na asukang kapa si keve meme aina aongos ang. Keve sipsip kitapo atogon ituitumai posok singiria na keve sipsip miting aongos kata irang suai kapa aniria. Riria aongos vang kana kata alis kana keve nat ani ki an aiveven iria. 
GEN.30.36	Kila pasal ane ring vunga akipai ani Iakov. Pangau ang nei liuan irilong ve Iakov, kipo angkoai si pasal ania ani potol a taun aongos. Au, na Iakov si taun ke katapo aiveven lak kana mang keve vongo na Laban.
GEN.30.37	Au, Iakov kanla tangai le ta mang keve ngakan lik i mang keve ei posok. Kala dek suai ani palpal i kulit iria ani ki atogon salsalikai. 
GEN.30.38+GEN.30.39	Le na kamela asiang iria nei keve vulvul ipo inum ang ta ri vongo, ani taun ki serei sime inum, bil ang kapo matung amalangas luai e noria. Taun ri vongo aina kila pukun manas ta buk tauan, na ki pasal sime inum, kimela ago kuvul ve keve vongo tauan e mete keve ngakan ang. Na si selen ke nganlak kila ingus na keve natnat tanginang atogon salik na pukun ituitumai kapa. 
GEN.30.40	Na Iakov kala irang suai ani keve natnat tanginang lik ang apetekai, na mang matan ang kala atung iria ani ki tu talang a keve vongo salik na pukun miting ang si Laban. 
GEN.30.41	Na taun a keve vongo aina vap po dual ang kila pukun manas, Iakov kala amatung a keve ngakan ang e noria ani ki ago kuvul mete nem ang. 
GEN.30.42	Si keve vongo vo ngau ang parik katapa abis iria asukang ke. Asukang na si selen ke, vap po pukun ngau ang kita pasal ane si Laban, na keve anu dual kita pasal ane singina. 
GEN.30.43	Au, si selen ke Iakov kata serei atauia alava luai na kala kun atogon ani kakana ta kun tangan vongo lava luai akorong. Kata atogon kapa kana keve asosokai i ri aina na ri tauan, na kana keve kamel na keve dongki kapa.
GEN.31.1	Na Iakov kala longong kana keve nat a Laban kipo angtokai ta, “Iakov nang katala luk aongos a sa na tamara katapo atogon ia na kala tauia le si kana keve bil a tamara.” 
GEN.31.2	Na kala arai ta karilong angtunganan ve Laban parik katalapo anguan roron an val aino. 
GEN.31.3	Asukang na IAVE kala antok ia asukang ke, “Ku papok ane si roe ang si keve tamam na kam pat vap akorong. Naka auai ve numai.” 
GEN.31.4	Au, Iakov kala alis mengen ani Rakel ve Lea asi karitol me angruduai si ring ang kana keve vongo kitapo ago singina. 
