MAT.1.1	Ri' ri jb'ijak yak jmam Kakaj Jesucristo ri rijajl David y Abraham. 
LUK.13.1	La' mak k'ij li, xtawtak nic'j cristian chi rilic Kakaj Jesús y xijtak re nen mo xansaj rechak nic'j cristian aj Galilea ri xcamsajtak jwi'l Pilato cuando tijin tijsujtak awaj re Kakaj Dios.
LUK.13.2	Kakaj Jesús xtz'onaj rechak: ¿Ri'c'u chach'ol atak xcamsajtak yak cristian aj Galilea jwi'l wi' mas jmacak chiwchak yak cristian laj jtilmitak? 
LUK.13.3	Ma' ji'ta'lonli jcholajl. Y jilon atak wi mita' taq'uex ano'jak y ta' tac'am jk'ab'al amacak chiwch Kakaj Dios, tib'ansaji' k'atb'itzij chab'ak chapca' xansaj re yak cristian li. 
LUK.13.4	¿O ri'c'u chach'ol atak chi mak waxaklajuj (18) cristian ri xcamtak cuando xtzaakch man tz'aak ri naj rak'aneb' chib'ak ri wi' Siloé, jwi'li' wi' mas jmacak chiwchak juntir cristian ri wi'tak Jerusalén? 
LUK.13.5	Ma' ji'ta'lonli jcholajl. Pero wi atak ta' taq'uex ano'jak y ta' tac'am jk'ab'al amacak chiwch Kakaj Dios, jilon c'ax tatijtak chapca' xtijtak yak cristian li, xche' Kakaj Jesús rechak.
LUK.13.6	Kakaj Jesús xoc chi jb'ij jun esb'i no'j rechak cristian jilonri: Wi' jun winak tiquil jun jche'l higo jwi'l laj rulew. Jun k'ij xe' rile' wi wi'chak jwich, pero ta' xta' ni jun jwich. 
LUK.13.7	Jwi'li'li xpe man rajw ulew li, xij re man jmocom ri tiak'inan re mak jtico'n: Xi' uxib' junab', nojel junab' tiyuk wile' man jche'l higo wi wi' jwich, pero ni jun b'welt xinta' jwich. Lajori tac'urb'ic, pire ma' tran latz', xche'.
LUK.13.8	Pero man mocom xij re rajw man ulew: Kaj, wa'xna cla', re man junab' ri tzi jc'upic rij tamb'an y tanye' abono laj ra'. 
LUK.13.9	Y wi tiwichin la' man junab' ri, wa'xna cla' y wi mita' tiwichinc, ajruc're' tac'urb'ic, xche' man mocom re man rajw ulew, xche' Kakaj Jesús rechak.
LUK.13.10	Li jun k'ij re uxlan, cuando tijin Kakaj Jesús chi jtijojcak cristian re Jyolj Kakaj Dios li jun sinagog 
LUK.13.11	y cla' wi' jun sic' anm chijxo'lak cristian, wi'chak waxaklajuj (18) junab' yaj jwi'l jun etzl, t'ust'ic rij tib'en y ta' tijna' tiwa'r pi suc'ulc. 
LUK.13.12	Kakaj Jesús xril sic' anm li, xsiq'uij y xij re: At anm, lajori xatcolmaji' riq'ui ayaj, xche' re.
LUK.13.13	Y xye' jk'ab' laj jb'a sic' anm y sic' anm laj or xtzib'c, xsuc'ulab' rij y xoc chi jb'ixaj jnimirsaj jk'ij Kakaj Dios. 
LUK.13.14	Pero man jb'ab'al man k'at ri tijmulb'a' rib'ak li sinagog cla', sub'laj xpe retzal chirij Kakaj Jesús jwi'l xtzib'saj sic' anm la' k'ij re uxlan. Jwi'li'li xij rechak juntir cristian: La' nojel xuman wi' wakakib' (6) k'ij pire chac. Y la' mak k'ij li petentak pire attzib'sajtak, ma' ajri' ta' atpetak la' mak k'ij re uxlan, xche' rechak cristian.
LUK.13.15	Pero Kakaj Jesús ri Kajawl xij rechak: Atak, atake ajsolcopil acayb'alak, ¿ta'c'u ni jono chawechak ma' tijquirb'i jb'ur o jwacx laj richoch awaj pire tib'e jye' ruc'a' la' k'ij re uxlan? 
LUK.13.16	Y anm ri, rijajli' Abraham y xana' waxaklajuj (18) junab' jximic jwi'l man etzl la' man yajel ri, ¿ta'c'u tijna' titzib'saj re jyaj la' k'ij re uxlan? xche' rechak.
LUK.13.17	Cuando xij jilonli Kakaj Jesús rechak, juntir mak ri xcontrin re, xq'uixib'tak chiwch. Pero yak nic'j cristian chic sub'laj xqui'cot ranmak jwi'l xriltak chi Kakaj Jesús tran nimaktak kelen ri sachom ch'olal rilic.
LUK.13.18	Kakaj Jesús xij: ¿Nen quiek la' tiniq'uib'sajwi' jtakon Kakaj Dios chib'ak cristian? ¿Nen quiek la' tanniq'uib'sajwi'? 
LUK.13.19	In tamb'ij chawechak chi niq'ui' chapca' jun ra íjaj re mostas ri tijtic jun winak laj rulew. Cuando tiq'uiyc, sub'laj nim titaw chapca' rilic jun che' y mak tz'iquin tran jsocak lak jk'ab', xche' Kakaj Jesús.
LUK.13.20	Kakaj Jesús xij chic: ¿Nen quiek la' tanniq'uib'sajwi' jtakon Kakaj Dios chib'ak cristian? 
LUK.13.21	Niq'ui' chapca' ch'amk'or ri tijc'am jun anm, tijyuj pach uxib' pajb'l chi c'aj pire tijch'amab'saj juntir man k'or, xche'.
LUK.13.22	Kakaj Jesús b'esalc, b'enam re Jerusalén, pi k'axem tran, xk'ax lak jujun tilmit y lak jujun luwar chi jtijoj cristian re Jyolj Kakaj Dios. 
LUK.13.23	Xpe jun rechak, xtz'onaj re Kakaj Jesús: Kajawl, ¿quib' uxib'inke cristian ticolmajtak laj jk'ab' mac? xche' re.
LUK.13.23	Kakaj Jesús xij re: 
LUK.13.24	Coj jcowil awanmak chi oquem la' man pwert nuch' jwich, jwi'l sub'laj cristian rajak tioctak la', pero ta' ticwintak. 
LUK.13.25	Cuando man rajw ja tib'iitc y tijtz'apij man pwert, atak ri watak rij ja, atoctak chi jc'osc'oj man pwert y tab'ijtak: Kaj, teb'a'cojo' man pwert chikawch, atche'tak.
LUK.13.25	Pero re tijb'ij chawechak: Ta' tanch'ob' awchak y ta' wetam lamas atpetak, tiche' chawechak.
LUK.13.26	Y atak tab'ijtak chic re: Oji' ri xojwi'n y xojuc'a'janc aac'l y lak b'e re katilmit xkatijoji' cristian re Jyolj Kakaj Dios, atche'tak re.
LUK.13.27	Pero re tijb'ij chawechak: Tijin tamb'ij chawechak chi ta' tanch'ob' awchak y ta' wetam lamas atpetak. ¡Elantakb'ic, atak juntir ataka' ajb'analtak etzltak no'j! tiche' chawechak.
LUK.13.28	Cla' tib'e awok'b'ej ayb'ak y takuch'uch'uj aweeak cuando tawiltak Abraham, Isaac, Jacob y juntir yak ajk'asaltak Jyolj Kakaj Dios wi'tak li man luwar lamas titakon Kakaj Dios y atak xatcan esajtak.
LUK.13.29	La' mak k'ij li tipetaka' mas cristian, wi' tipetak laj jsuc'lal lamas tielch k'ij y wi' tipetak laj jsuc'lal lamas tikej k'ij y wi' tipetak li norte y wi' tipetak li sur. Juntir rechak tib'e wa'xtak li man luwar lamas titakon Kakaj Dios chapca' ticub'artak chi' mex chi wic'. 
LUK.13.30	Jwi'li'li wi' jujun rechak ri q'uisb'ire lajori jwi'l ta' cojol jk'ijak, ri'taka' tinab'ertak jwi'l tina cojsajna jk'ijak y wi' jujun rechak ri nab'etak lajori jwi'l nim jk'ijak, ri'taka' ticantak pi q'uisb'ire jwi'l ta' chiqui' ticojsaj jk'ijak, xche' Kakaj Jesús rechak cristian.
LUK.13.31	Laj or xtawtak nic'j fariseo riq'ui Kakaj Jesús y xijtak re: Elamb'i neri, Herodes Antipas raj atjcamsaj, xche'tak re.
LUK.13.32	Kakaj Jesús xij rechak: Jattak riq'ui man utiwlaj k'atb'itzij y b'ijtatak re: In tina wesajna mak etzl laj ranmak yak cristian y tina intzib'sajtakna yak cristian ri yajtak lajori, chwek' y cab'ij tanq'uis jb'anic juntir inchc, tiche', atche'tak re.
LUK.13.33	Pero lajori rajwaxi' tina intakejna jb'anic lawi' ri rajwax tamb'an, chwek' y cab'ij, jwi'l ta' ni jono yak ajk'asaltak Jyolj Kakaj Dios ticam li jun jalan luwar, rajwaxi' ji' ticam Jerusalén, xche'.
LUK.13.34	Y xij chic chirijak mak cristian ri wi'tak Jerusalén: ¡Atak aj Jerusalén, atak aj Jerusalén, ri tacamsajtak yak ajk'asaltak Jyolj Kakaj Dios y tasec'tak chi ab'aj yak jtako'n Kakaj Dios ri takaltakch aac'lak! ¡Q'uilaj b'welt roj chwaj xinmulb'a' awchak chapca' tran jun chuch ac' tijmulb'a' tra jk'un ralaj jxic', pero atak ta' chawajak! 
LUK.13.35	Tatak jcholajl, awichochak tina canna pi cane'l ja. Y tamb'ij chawechak chi lajori ta' chiqui' tawiltak inwch, ajri' tawiltak chic inwch cuando tab'ijtak jilonri:
LUK.13.35	¡Nim jk'ij ri petzal laj jb'ij Kakaj Dios ri Kajawl! atche'tak, xche' Kakaj Jesús rechak.
LUK.14.1	Li jun k'ij re uxlan Kakaj Jesús xe' chi wic' laj richoch jun rechak mak jb'ab'alak mak fariseo. Cla' wi' chiqui' nic'j fariseo xmukche'jtake nen tran Kakaj Jesús. 
LUK.14.2	Cla' wi' jun winak yaj, sub'laj sipo'l. 
LUK.14.3	Kakaj Jesús xtz'onaj rechak yak ajtijoltak cristian re Jpixb' Kakaj Dios y rechak mak fariseo ri wi'tak la ja cla': ¿Ton jna' titzib'saj jun cristian la' k'ij re uxlan o ta'n? xche' rechak.
LUK.14.4	Pero rechak ta' xch'a'wtak. Xpe Kakaj Jesús, xchap sic' winak ri yaj, xtzib'saj y xij re chi tib'ec. 
LUK.14.5	Y Kakaj Jesús xij chic rechak: Wi wi' jono chawechak titzaakb'i jc'ajol o jwacx li jun jul la' k'ij re uxlan, ¿ta'c'u atb'etak jol chi resajc? xche' rechak.
LUK.14.6	Yak ajtijoltak cristian re Jpixb' Kakaj Dios pach mak fariseo ta' xta'tak nen mo jc'ululaj jyolj Kakaj Jesús xantak.
LUK.14.7	Kakaj Jesús cuando xril chi mak ri siq'uiltak chi wic', xcha'tak mak tem ri lamas ticub'artak yak ri wi' rekle'nak, xij jun esb'i no'j rechak jilonri: 
LUK.14.8	Cuando wi' jono cristian tib'in chawe chi atb'e riq'uil li nimak'ij re jun tz'am, wi nab'e attaw, mat cub'ar la' man tem lamas ticub'artak yak ri wi' rekle'nak. Jwi'l wi cub'ulcatchak cla' cuando titaw jun mas nim jk'ij chic chawch at, 
LUK.14.9	tipe man rajw ja ri xin chawe chi atb'e riq'uil pach man ajri' xtaw, tijb'ij chawe: B'an tok'ob', elan cla', can ye' man tem pire winak ri, tiche' chawe.
LUK.14.9	Y at, atchak q'uixib'c, atb'e cub'ar chic la' man q'uisb'i tem. 
LUK.14.10	Y jwi'li'li wi tib'ijsaj chawe chi atb'e li nimak'ij re jun tz'am, cub'ren la' man q'uisb'i tem. Jilonli cuando atilsaj jwi'l man ri xin chawe chi atb'e li nimak'ij riq'uil tipe aac'l y tijb'ij chawe: At wichc'ulchi', cub'ren la' man tem ri lamas ticub'artak yak ri wi' rekle'nak, tiche' chawe.
LUK.14.10	Y cuando tib'ansaj jilonli chawe, tinimirsaji' ak'ij chiwchak juntir mak cristian ri wi'tak cla'. 
LUK.14.11	Jwi'l nen tijcoj jk'ij ric'an, ta' ticojsaj jk'ij y nen ta' tijcoj jk'ij, ri' li ticojsaj jk'ij, xche' Kakaj Jesús rechak.
LUK.14.12	Kakaj Jesús xij chic re man winak ri xin re chi tib'e wi'nok riq'uil: At, cuando tab'an jono comon wic' laj awichoch y tab'ij re cristian pire tiyuk wi'ntak aac'l, ma b'ij re yak awichc'ulchi', yak ak'un awatz, yak awech'elxic y yak ac'ulja ri b'iomtak, jwi'l rechak atjsiq'uij chiqui' at chi jtijic wa riq'uilak cuando trantak comon wic'. Jilonli trantak chic chi jye'ic jq'uixel chawe ri xaye' rechak. 
LUK.14.13	Pero at, cuando tab'an jono comon wic' laj awichoch y wi tab'ij re cristian chi tipetak chi wic' aac'l, b'ij re yak ri wi' rajwax rechak, yak ri ta' tz'akat rakan jk'ab'ak, yak co'x y yak moy. 
LUK.14.14	Y jilonli sub'laj tzi awe, jwi'l rechak ta' ticwintak chi jye'ic jq'uixel chawe ri taye' rechak. Ajri' tiye'saj jq'uixel chawe cuando tic'astasaj awch laj acamnakl pach yak cristian ri suc'ul ranmak chiwch Kakaj Dios, xche' Kakaj Jesús re.
LUK.14.15	Y wi' jun winak cub'ul cla', cuando xta nen xij Kakaj Jesús, re xij: Tzi re jun cristian ri tiwi'n li man luwar lamas titakonwi' Kakaj Dios, xche' re.
LUK.14.16	Kakaj Jesús xij: Wi' jun winak xan comon wic' laj richoch y raj roj xtzuke' sub'laj cristian, jwi'li'li xij rechak chi titawtak riq'uil la ja. 
LUK.14.17	Cuando xtaw or trantak man comon wic', xpe man winak xtak jun jtako'n chi jsiq'uij mak cristian ri quiek re xijwi' chi titawtak laj richoch chi wic' y man tako'n xec', xe' jb'ij rechak: Jo'tak, tijtatak wa laj richoch impatron, wa xantaji'n, xche' rechak.
LUK.14.18	Pero juntir xoctak chi jtz'onaj jcuyb'i jmacak. Wi' jun xij: Cuy immac, ta' imb'antaj imb'ec, jwi'l wi' jun ulew ajri' xinlok' y rajwaxi' imb'e chi rilic, xche'.
LUK.14.19	Y jun chic xij: Cuy immac, ta' imb'antaj imb'ec, jwi'l wi' job' yunt inwacx ajri' xinlok' y lajori rajwaxi' tib'e incoje'tak li chac pire twil nen mo tichacuntak, xche'.
LUK.14.20	Y jun chic xij: Ta' tijna' imb'ec, jwi'l ajri' xkac'am kib' pach wixokl, xche'.
LUK.14.21	Cuando xk'ajch man tako'n ri xtaksajb'i chi jsiq'uijcak, xyuk jb'ij re jpatron juntir nen ri xijsajch re. Man jpatron sub'laj xpe retzal chi jtaic y xij chic re man jtako'n: Lajori jat lak b'e y li c'ayb'l re tilmit, toctach juntir yak ri wi' rajwax rechak, yak ri ta' tz'akat rakan jk'ab'ak, yak moy y yak co'x, xche' re man jtako'n.
LUK.14.22	Y cuando xk'ajch man jtako'n, xij: Kaj, xinc'ama'ch yak cristian ri xab'ij chwe, pero ajwi' mas tem, xche' re man jpatron.
LUK.14.23	Y man jpatron xij chic re: Lajori jat lak nimaktak b'e y lak k'untak b'e, b'ijta rechak juntir yak cristian ri wi'tak xo'lak b'e chi tipetak laj wichoch, in ri' chwaj tinoj wichoch chi cristian, 
LUK.14.24	jwi'l kes tz'etel tz'et tamb'ij chi ni jono rechak yak ri siq'uiltak inwi'l nab'e, tipetak chi wic' laj wichoch, xche' man patron, xche' Kakaj Jesús.
LUK.14.25	Sub'laj cristian b'esaltak chirij Kakaj Jesús y re xsolcopij rib' chi rilicak y xij rechak: 
LUK.14.26	Wi wi' jono ri xam chwij raj tioc pire ajtijol rib' chwij, pero wi masna tijlok'aj jkaj jchuch, rixokl, ralc'wal y rech'elxic o masna tijlok'aj jc'aslemal chinwch in, ta' tzi tioc pire ajtijol rib' chwij. 
LUK.14.27	Y nen ta' raj tijtij c'ax laj jc'aslemal y tixamb'er chwij, ta' tioc pire ajtijol rib' chwij.
LUK.14.28	Wi wi' jono chawechak tran jono richoch sub'laj nim, ¿ta'c'u tijchomorsaj nab'e nen jnimal pwak tichocon jwi'l, wi ton rana' jpwaak o ta'n? 
LUK.14.29	Jwi'l wi mita' tran jpwaak, xike tijchol jb'anic y ta' tijq'uis jb'anic. Cuando tiilsaj jwi'l cristian chi ta' chiqui' ticwin chi jq'uisic, tijtze'jtak jwich 
LUK.14.30	y tijb'ijtak chirij: Man winak xike xchol jb'anic man richoch, pero ta' chiqui' xcwin chi jq'uisic, tiche'tak chirij.
LUK.14.31	Wi wi' jono rey raj tib'e ch'o'jin riq'ui jono rey chic, ¿ta'c'u tijchomorsaj nab'e wi ticwini' lajuj mil (10,000) chi soldad chi ch'o'j riq'ui junwinak mil (20,000) chi soldad? 
LUK.14.32	Tijchomorsaj wi mita' ticwin mak soldad chi ch'o'j, aj naji' ajqui' chi taw mak jcontre cuando tijtakb'i jono jtako'n chi jb'ij re man rey chi ticantak pi utzil pire ma' tich'o'jintak.
LUK.14.33	Y ji'c'ulon atak wi wi' jono chawechak ta' tican jye' juntir kelen re ri wi', ta' tzi tioc pire ajtijol rib' chwij, xche' Kakaj Jesús.
LUK.14.34	Man atz'am tziyi'n, pero wi man atz'am tiel jqui'l ta' chiqui' tijna' tran qui'. 
LUK.14.35	Ta' chiqui' nen tichacuj, ta' tzi re ulew ni ta' chiqui' tzi pire ticojsaj xo'lak abono, tichak t'ojsajb'ic.
LUK.14.35	Nen titonc, jte' jcholajl ri tamb'ij, xche' Kakaj Jesús rechak cristian.
LUK.15.1	Mak ajtz'onaltak alcabar pachak nic'j ajmacb' xjutuntak riq'ui Kakaj Jesús chi jtaic Jyolj Kakaj Dios ri tijin tijb'ij. 
LUK.15.2	Xpetak mak fariseo pach yak ajtijoltak cristian re Jpixb' Kakaj Dios, xoctak chi yok'on chirijil Kakaj Jesús, xijtak: Man winak ri tijc'ula' mak ajmacb' y tiwi'n riq'uilak, xche'tak chirib'il rib'ak.
LUK.15.3	Jwi'li'li Kakaj Jesús xoc chi jb'ij jun esb'i no'j rechak jilonri: 
LUK.15.4	Wi wi' jono chawechak wi' jun cient (100) jcarner y tib'e chi jyuk'icak y etke tican saach jun rechak, re tican jye' mak junmuch' b'elejlajuj (99) wich tak'j y tib'e chi jtoquic man jun ri xcan sachok asta tina jta'na.
LUK.15.5	Y cuando tib'e jte'ch, tichak qui'cotc, tijt'ojch rij jkul, tipetc. 
LUK.15.6	Y cuando titaw laj richoch, tijtak jsiq'uij yak richc'ulchi' pach yak jc'ulja y tijb'ij rechak: Qui'cotentak wiq'uil jwi'l xinta' man incarner ri xsaachc, tiche' rechak.
LUK.15.7	Kes tz'etel tz'et tamb'ij chawechak chi wi' mas qui'cotemal lecj cuando jun ajmac tijc'am jk'ab'al jmac chiwch Kakaj Dios chiwchak yak junmuch' b'elejlajuj (99) cristian ri q'uexelchak jno'jak jwi'lak y suc'ulchak ranmak chiwch Kakaj Dios, xche' Kakaj Jesús rechak.
LUK.15.8	Kakaj Jesús xij chic: Wi wi' jono anm wi' lajuj (10) jpwaak y tijtzak jun jpwaak la ja, ¿ta'c'u tijtzij jk'ak' chi jtoquic? Y, ¿ta'c'u tioc chi jmesic jpam richoch y tijtoc jpwaak laj mes asta tina jta'na? 
LUK.15.9	Y cuando tijta' man pwak, tijtak jsiq'uij juntir yak richc'ulchi' pach yak jc'ulja y tijb'ij rechak: Qui'cotentak wiq'uil jwi'l xinta' impwaak ri xintzakc, tiche' rechak.
LUK.15.10	Kes tz'etel tz'et tamb'ij chawechak, cuando wi' jono ajmac tijc'am jk'ab'al jmac chiwch Kakaj Dios, yak ranjl Kakaj Dios sub'laj tiqui'cottak, xche' rechak.
LUK.15.11	Kakaj Jesús xij chic jun esb'i no'j rechak cristian jilonri: Wi' jun winak wi' quib' jc'ajol. 
LUK.15.12	Xpe man k'unixel, xij re jkaj: Tat, jach chwe lajori lawi' ri textament ri tajach chwe nen or, xche' re jkaj.
LUK.15.12	Xpe jkajak, xjach chiwchak nen jnimakl tito'ntak chi quib' rib'ilak.
LUK.15.13	Ajri'ke quib' uxib' k'ij jjachic textament rechak, xpe man k'unixel xoc chi jc'ayaj lawi' ri xjachsaj re. Xc'amb'i man pwak li, xe' chinaj li jun tilmit chic. Cla' xoc chi jsachic jpwaak lak etzltak kelen ri raj re tran laj jc'aslemal. 
LUK.15.14	Man c'ojol winak li xq'uis juntir jpwaak chi sachem.
LUK.15.14	Xpe jun nimlaj wi'jal li tilmit ri lamas wi'w, re sub'laj xc'ok jwi'l wi'jal. 
LUK.15.15	Xe' jtz'onaj jchac riq'ui jun winak cla'. Xpe man winak li, xtakb'i chi rilb'ej aak laj rulew. 
LUK.15.16	Man c'ojol winak li sub'laj ticam jwi'l wi'jal, rajti ranm tijtij man jlo' aak, pero ta' tiye'saj luwar re tijtij.
LUK.15.17	Ajruc're' xcuxtaj jwi'l, xoc chi jchomorsaj laj ranm y xij: Sub'laj mocom wi' riq'ui inkaj, rechak ta' ajlal jwaak tijtijtak y ruc' in incam jwi'l wi'jal neri. 
LUK.15.18	Lajori ink'aj la ja riq'ui inkaj y tamb'ij re: Tat, cuy immac, xintoca' immac chiwch Kakaj Dios y chawch at. 
LUK.15.19	Ta' chiqui' tic'ular pi we tab'ij chi ini' ac'ajol, in acoje' pi jun amocom, inche' re, xche' laj ranm.
LUK.15.20	Jilonli xchomorsaj xk'aj la ja riq'ui jkaj. Aj naji' wi'w re ja cuando xilsajb'i jwi'l jkaj y jkaj cuando xril jwich jc'ajol, sub'laj xril c'ur jwich. Xe' jol chi jc'ulic, xk'aluj y xtz'ub'aj.
LUK.15.21	Xpe jc'ajol, xij: Tat, cuy immac, xintoca' immac chiwch Kakaj Dios y chawch at. Ta' chiqui' tic'ular pi we tab'ij chi ini' ac'ajol, xche' re jkaj.
LUK.15.22	Xpe jkaj, xij re yak jmocom: Esajtakch jono kuslaj itz'ik cla', cojtak chirij laj or y cojtak jun matk'ab' la' jk'ab' y jxajb' la' rakan. 
LUK.15.23	C'amtatakch man tio'jlaj wacx, camsajtak, katije'tak, kab'ane'tak nimak'ij, 
LUK.15.24	jwi'l inc'ajol ri chinch'ol in xcami'n, pero nic' riq'uil xc'astasaji' jwich laj jcamnakl. Xsaachna, pero lajori xk'aj chiqui'ch, xche'.
LUK.15.24	Jilonli xcholtak jb'anic jun nimak'ij. 
LUK.15.25	Y man nab'eal re jc'ajol b'esali' li chac y cuando xk'ajch, xtaw chijc'ulel ja ri'chak tijta tichak tijin k'ojom re nimak'ij la ja y xojoj. 
LUK.15.26	Xpe re, xsiq'uij jun mocom, xtz'onaj re nen chac tijin nimak'ij la ja.
LUK.15.27	Man mocom xij re: Jwi'l xyuki' ak'un, akajak xtak jcamsaj man tio'jlaj wacx y xan jun nimak'ij pi re jwi'l tziyi' jwich ta' nen xta'w, xche' re.
LUK.15.28	Sub'laj xpe retzal man nab'eal cuando xta chi jilonli xijsaj re, ta' chiqui' raj tioc la ja. Xe'na jkaj chi jb'ij re chi tioc la ja.
LUK.15.29	Re xij re jkaj: Sub'laj junab' inchacunak aac'l y ni jun b'welt miti b'anal inwi'l ri inatakwi'. Y ni jun q'uisic' sipal chwe awi'l pire tamb'an jono nimak'ij pach yak wichc'ulchi'. 
LUK.15.30	Ruc' lajori cuando xyuk ac'ajol ri, ri xe' jq'uise'ch apwaak chi sachem riq'ui mak tz'i'taklaj anm, xataka' jcamsaj man tio'jlaj wacx pire jnimak'j, xche' re jkaj.
LUK.15.31	Jkaj xij re: At walc'wal, at wati' wiq'uil y juntir kelen we ri wi' awechi'n. 
LUK.15.32	Pero lajori pi jcholajli' tikab'an nimak'ij chirij ak'un jwi'l chinch'ol in xcami'n, pero nic' riq'uil xc'astasaji' jwich laj jcamnakl. Xsaachna, pero xk'aj chiqui'ch, xche' winak re jc'ajol, xche' Kakaj Jesús.
LUK.16.1	Kakaj Jesús xij chic jilonri rechak yak ajtijol rib'ak chirij: Wi' jun winak sub'laj b'iom y wi' jun jmocom wi' pire jb'ab'al mocom chi jchajaj juntir kelen re. Xpetak nic'j cristian, xe' jb'ijtak re man b'iom chi man mocom li tijin tijq'uis juntir kelen re. 
LUK.16.2	Xpe man b'iom, xtak jsiq'uij man jb'ab'al mocom y cuando xtaw man jmocom riq'uil xtz'onaj re: ¿Nen tab'ij chirij ri xyuk b'ijsaj chwe jwi'l cristian chawij? Lajori chwaj twetemaj nen jb'anic juntir kelen we ri jachal laj ak'b' inwi'l, jwi'l lajori ateli' li chac wiq'uil, xche' re man mocom.
LUK.16.3	Man jb'ab'al mocom xoc chi jchomorsaj laj ranm nen tran, xij: ¿Nen tamb'an lajori jwi'l impatron ta' chiqui' tijye' inchc? Y ta' chiqui' inchok'b' chi chac y wi tantz'onaj limoxn xo'lak b'e, q'uixib'al pi we, xche'.
LUK.16.4	Etke xyuk laj ranm, xij: Lajori wetamchak nen tamb'an pire inc'ulsaj laj richoch jono cristian cuando inesajb'i laj inchc neri, xche'.
LUK.16.5	Xtak jsiq'uijcak chi jujunal mak cristian ri wi' jc'asak riq'ui jpatron y xtz'onaj re man xtaw nab'e: ¿Jurub' ac'as riq'ui impatron? xche' re.
LUK.16.6	Y man winak ri wi' jc'as, xij: B'elejeb' cient riq'ui oxc'al waxaklajuj (978) galón aceit olivo inc'as, xche'.
LUK.16.6	Y xpe man jb'ab'al mocom, xij re: Co' ri jwujal man ac'as, lajori cub'ren y c'am man awuj y tz'ib'aj xilj chi quejab' cient riq'ui jun much' b'elejeb' (489) galónke ac'as, xche' re.
LUK.16.7	Cuando xtaw chic man jun ri wi' jc'as, xtz'onaj re: Y at, ¿jurub' ac'as riq'ui impatron? xche' re.
LUK.16.7	Man winak ri wi' jc'as, xij: Jun cient (100) quintal chi trig inc'as, xche'.
LUK.16.7	Y xpe man jb'ab'al mocom, xij re: Co' ri jwujal man ac'as, lajori cub'ren y c'am man awuj y tz'ib'aj xilj chi junmuch' (80) quintalke ac'as, xche' re.
LUK.16.8	Cuando xta man patron nen mo mak no'j ri tijin tran man jb'ab'al mocom, sub'laj xsaach jch'ol chi jtaic mak jno'j. Mak cristian ri retake wich ulew wi'na mas jno'jak chi jchomorsaj rij mak kelen ri, chiwchak yak cristian ri wi'takchak chi sak jwi'l wi'takchak laj jk'ab' Kakaj Dios.
LUK.16.9	Tamb'ij chawechak chi cojtak mak ab'iomilak ri reke wich ulew pire atcwintak chi jta'ic mas awichc'ulchi'ak y cuando tiq'uis juntir ab'iomilak, wi' nen atc'uluwtak li jun luwar ri ta' jq'uisic lamas atjekertak. 
LUK.16.10	Nen jun cristian tzi tran re junquitz, tziyi' tran cuando tiye'saj mas re. Pero nen jun cristian ta' tzi tran re junquitz, ta' tzi tran cuando tiye'saj mas re.
LUK.16.11	Atak wi ta' tzi tab'antak chirij ab'iomilak ri reke wich ulew, ¿nenc'u tiye'w tz'etel b'iomil re lecj chawechak ri ta' jq'uisic? 
LUK.16.12	Y wi mita' tzi ano'jak chirijak mak kelen ri ma' awechak ta'n, ¿nenc'u tiye'w chawechak lawi' ri awechak?
LUK.16.13	Ta' ni jono mocom ticwin chi chac riq'ui quib' patron, jwi'l tina jxutna jun y tijlok'aj jun chic. Ticojon chiwch jun y ta' ticojon chiwch jun chic. Atak ta' atcwintak chi jb'anic lawi' raj Kakaj Dios tab'antak wi tib'e awanmak chirij b'iomil ri reke wich ulew, xche' Kakaj Jesús rechak.
LUK.16.14	Mak fariseo cuando xtatak nen xij Kakaj Jesús, xritz'b'ejtak jwich jwi'l rechak ri' b'esal ranmak chirij jb'iomilak.
LUK.16.15	Kakaj Jesús xij rechak mak fariseo: Atak tacoj ak'ijak chiwchak cristian chi suc'uli' awanmak chiwch Kakaj Dios, pero Kakaj Dios retami' nen achomorsa'n laj awanmak. Nen jono cojol jk'ij jwi'lak cristian xutuli' jwi'l Kakaj Dios, xche' Kakaj Jesús rechak mak fariseo.
LUK.16.16	Kakaj Jesús xij chic rechak: Ojr ri' xijsaj rechak cristian ri tijb'ij Jpixb' Kakaj Dios pach ri xcan jtz'ib'ajtak yak ajk'asaltak Jyolj Kakaj Dios asta cuando xyuk Juan Ajb'anal Ja'tiox. Y la' mak junab' re Juan Ajb'anal Ja'tiox xticarch jb'ij tzilaj jtaquil re nen mo titakon Kakaj Dios chib'ak cristian. Jwi'li'li sub'laj q'ui tijin tijcoj jcowil ranmak chi jcojic jyolj Juan Ajb'anal Ja'tiox pire tioctak laj jk'ab' Kakaj Dios. 
LUK.16.17	Ta' mas c'ax wi tisaach jwich caj pach ulew chiwch tisaach jwich junquitz re Jpixb' Kakaj Dios pach ri xcan jtz'ib'ajtak yak ajk'asaltak Jyolj Kakaj Dios.
LUK.16.18	Wi wi' jono winak tican jache' rixokl y tic'uli'y chic riq'ui jun anm chic, chiwch Kakaj Dios tijin trechb'ej jun anm ri ma' jc'ulajl ta'n. Y wi wi' jono winak tic'uli'y riq'ui man anm ri xcan jachsajok jwi'l richjil, chiwch Kakaj Dios tijin trechb'ej jun anm ri ma' jc'ulajl ta'n, xche' Kakaj Jesús rechak.
