GEN.1.1	Kjok ëre dämär, l̇l̇ëye l̇l̇ëm obishko ga Sbö kjok shäryono uunkong, kjopkwo, kl̈ung bakoe. 
GEN.16.8	Ga tjl̈ẽ ba kong ga «Agar, ¿pja tek kjone dwayo? ¿Pja to kjone?»
GEN.16.8	«Tja to shäng bor sogo Saray töywë» l̈e ba kong.
GEN.16.9	Kuya ga tjl̈ẽ ba kong ga «Pja nom jek bop pjl̈u Saray ushko iröng obi. L̇l̇ëye l̈e bop kong l̈i kol̈ozong» l̈e. 
GEN.16.10	Ga tjl̈ẽ ba kong obi ga
GEN.16.10	«Bop tjëyo tek ber bop irgo l̈i iër ber shdär träk l̇l̇ëm,
GEN.16.10	shtëy ga äär l̇l̇ëme.
GEN.16.11	Pja shäng kjl̈araso l̇l̇ëme.
GEN.16.11	L̇l̇ono ga pja wa buk kjl̈ara domer,
GEN.16.11	e koiëp Ismael,
GEN.16.11	pja woydë ara l̈i miyde Jehovárë pjir kjĩshko.
GEN.16.12	Bop wa, e ber shäng tjëkso l̇l̇ëm,
GEN.16.12	sëgro äya kjl̈oshko so wl̈eni.
GEN.16.12	E ber nopga uunkong moskwo.
GEN.16.12	Ëye wotjl̈ĩk pjl̈ú ba kong l̇l̇ëme.
GEN.16.12	E ber shäng ëngkjwë ba pjeyoga tjok ĩyado» l̈e.
GEN.16.13	Kuya ga wotjl̈ĩk ga «Tja ĩna Sbörë, ga tja sök së obi» l̈e. E kjĩshko ga Jehová, e tjl̈ẽno ba tjok l̈i kowara Sbö, Bor Ĩga. 
GEN.16.14	E kjĩshko ga di bäng buk Cades kjokyo, Béred kjokyo, e tjrëko l̈i kowëba Sbö Sök Ĩyado, Bor Ĩga l̈i di bäng.
GEN.16.15	E irgo ga wa buk kjl̈ara domer, ga koiara ba data Abramdë Ismael. 
GEN.16.16	Eshko ga Abram l̈u pjl̈ogl̈o sak kjwong kjingsho tjer (86).
GEN.17.1	Abram l̈u pjl̈ogl̈o sak shkaw kjingsho shkawshko (99) ga Jehová weno shäng ba kong, ga tjl̈ẽ ba kong ga «Tja ëre Sbö, l̇l̇ëye shäryër woydë l̈i shäryër ga pjl̈úe. Tja kol̈ozong. Pja jëk pjl̈o bek bor bokso bakoe. 
GEN.17.2	Tjl̈õkwo twër bop kong, ber ĩyado wl̈o, ga bop tjëyo tek ber bop irgo l̈i iër ber shdär träk l̇l̇ëme» l̈e ba kong.
GEN.17.3	Kuya ga kjök tono, kjujono bokdo kjl̈ay kl̈ung go. Eshko ga Sbö tjl̈ẽ ba kong ga 
GEN.17.4	«Tjl̈õkwo twër bop kong, ber ĩyado wl̈o l̈i eni: Pja ber tjëyoga ara data. 
GEN.17.5	Ga eeri jek l̈ëkong ga pja ko ber Abram
GEN.17.6	Bop tjëyo tek ber bop irgo l̈i iër ber shdär träk l̇l̇ëme. E tjrëko pjl̈upga wen. Epga ber l̈öng tjëyoga obl̈ë obl̈ëe. 
GEN.17.7	Tjl̈õkwo ëre twër bop kong, bop tjëyo tek ber bop irgo l̈i kong bakoe. Tja bop Sbö ĩyado, tja ber ba Sbö ĩyado bakoe. 
GEN.17.8	Pja sökshko l̈i ko Canaán. Pja kjok ëre so l̇l̇ëm, gueniyo kjok buk kës ëre twër ber bop kong ĩyado wl̈o, epga kong bakoe. Ga tja ber ba Sbö ĩyado» l̈e.
GEN.17.9	Ga tjl̈ẽ Abraham kong obi ga «Tjl̈õkwo twër bop kong l̈i shäryos eni ĩyado. Bop tjëyo tek ber bop irgo l̈i omshäryë eni bakoe. 
GEN.17.10	Tjl̈õkwo twër bop kong, ber ĩyado wl̈o l̈i ber eni: Domerga l̈öng bomi tjok kjl̈obi l̈i ber l̈öng doyo jyã tak pjire. 
GEN.17.11	Eni ga bomi chimkwo dbo kwota zëmi tas, e ber tjl̈õkwo ëre kjroromi jl̈õkoyo l̈i jyãgl̈o. 
GEN.17.12+GEN.17.13	Eeri jek l̈ëkong ga chidaga domerga wen tjeng bomi tjrëko kjl̈obi l̈i äär dbar kjwongshko (8) ga doyo jyã tëmi pjir eni, bomi wapga, bomi parkagaga tjwl̈ẽk l̈öng pjir wl̈eniyo l̈i wapga bakoe. Bomi parkagaga tjwl̈ẽnomi shto obl̈ë so kong l̈i doyo jyã tëmi pjir bakoe. Pjãy domerga doyo jyã të uunkong. Ba jyãgl̈o ëre ber pjang bomi sho go ĩyado, tjl̈õkwo tworor bomi kong l̈i dik. 
GEN.17.14	Ëye doyo jyã të l̇l̇ëm ga ber sök bomi tjok ga äe. Eni wl̈eni ga tjl̈õkwo tworor bomi kong l̈i shäryara l̇l̇ëm kjĩshko ga ichozĩ bomi shwoy dwayo» l̈e.
GEN.17.15	Eshko ga tjl̈ẽ ba kong obi ga «Bop boy kjwe ko ber Saray ame. Eeri jek l̈ëkong ga ko ber Sara shara. 
GEN.17.16	L̇l̇ëbo shäryër ber pjl̈ú ba kong. Bop kong wa twër kjl̈ara domer ba tjok. Sara, e ber tjëyoga ara mekë. Ba tjëyo tek ber ba irgo l̈i tjrëko pjl̈upga wen» l̈e.
GEN.17.17	Kuya ga kjök tono, kjujono bokdo kjl̈ay kl̈ung go, ga jar jonge. Wotjl̈ĩk sök ga «¿Domer l̈uyo sak dbäw (100) ga data sorë? ¿E ga Sara l̈uyo sak shkaw (90) ga wa tjok sorë?» l̈e. 
GEN.17.18	Eni ga tjl̈ẽ Sbö kong ga «Rokër bop kong ga tjl̈õkwo tworop bor kong l̈i twos Ismael kong dey» l̈e.
GEN.17.19	Kuya ga tjl̈ẽ ba kong ga «L̇l̇ëme. L̈oror bop kong ga bop boy Sara, e l̇l̇ono ga wa buk kjl̈ara domer. E koiëp Isaac. Tjl̈õkwo tworor bop kong, ber ĩyado wl̈o l̈i shäryër ber ba kong, ber ba tjëyo tek ber ba irgo l̈i kong bakoe. 
GEN.17.20	Pja syõshtë sök Ismael kjĩshko l̈i kuror, ga kjimtër bakoe. Ba tjëyo tek ber ba irgo l̈i iër ber shdär träk l̇l̇ëme. Ga iër ber tjëyo kësbange. E tjrëko pjl̈upga wen dogl̈o sak kjwara kjingsho pjök (12). 
GEN.17.21	Gueniyo ga l̈u pjl̈ara go ga pjãy wa buk kjl̈ara domer ko Isaac. Tjl̈õkwo tworor bop kong, ber ĩyado wl̈o l̈i, e ber ba kong eröe» l̈e.
GEN.17.22	Sbö tjl̈ẽno ba kong pjir ga opshino to ey dwayo. 
GEN.17.23+GEN.17.24+GEN.17.25+GEN.17.26+GEN.17.27	E dbaryo ga domerga l̈öng ba ushko l̈i doyo jyã tara Abrahamdë uunkong, ba wa Ismael, ba parkagaga tjwl̈ẽk l̈öng pjir wl̈eniyo weno tjeng ba ushko, ba parkagaga tjwl̈ẽna shto obl̈ë l̈i bakoe. Eshko ga Abraham l̈u pjl̈ogl̈o sak shkaw kjingsho shkaw (99), ba wa Ismael l̈u pjl̈ogl̈o sak kjwara kjingsho mya (13). Domerga l̈i doyo jyã tara uunkong, l̈ara Sbörë ba kong sorë l̈i eni.
GEN.18.1	Dbar kjwara ga Abraham sök Mamré kjor këskës l̈ok l̈ishko, ba u zl̈ong bäng. Eni ga dl̈o dl̈uw wl̈eni ga Jehová weno shäng ba kong. 
GEN.18.2	Ĩya jekdo ga domerga bë l̈öng ba zl̈ong bäng dogl̈o mya. Sök l̈i kojono mal̈ing ba wl̈okjrë, ga kjök tono, kjujono bokdo kjl̈ay kl̈ung go, 
GEN.18.3	ga tjl̈ẽ ba kong ga «Tjl̈apgaga, rokër bomi kong sira ga pjãy brik mal̈ing l̇l̇ëme. 
GEN.18.4	Kumi ga pjl̈ú wl̈eni ga tja di rokë bomi kong, pjãy dre shkwë e go wl̈o. Pjir ga pjãy woshtë wop tjok kjor ëre dorko. 
GEN.18.5	Pjãy l̈öng töshko. Pjãy brikdë l̇l̇ëm obi ga pjãy sën, pjãy jëk ga dbo tjok wl̈o. Pjãy shrono bor ĩk kjĩshko ga tja wopjl̈úe. Bor u ëre bomipjõy bebi» l̈e.
GEN.18.5	Kuya l̈ok ga «Pjl̈úe» l̈e l̈ok ba kong.
GEN.18.6	Eni ga Abraham opzrëno jek ba u roy, ga tjl̈ẽ Sara kong ga «Pjl̈ung sho kjros bayo eeje. Sho l̇l̇rus, ga suzong. ¡Shäryos mal̈inge!» l̈e. 
GEN.18.7	L̈ara eni ga opshino ey dwayo, ga jek öötong shäng ba sögl̈a tjeng l̈ishko, shara kjl̈ara pjl̈ú wl̈eniyo, twara ba parkaga kong, poshäryë jekdo wl̈o. 
GEN.18.8	Eni ga dl̈i l̈i poshäryara pjir ga söra, twara Abrahamdë ba kong l̈ok, ue l̈ok wl̈o. Öng nä dyo, öng nä dyo shor, e twara ba kong l̈ok bakoe. Ië l̈öng kjor dorko wopro ga e shäng ba dë.
GEN.18.9	Iono l̈ok pjir ga tjl̈ẽ l̈ok ba kong ga «¿Bop boy Sara kwonl̇l̇o?»
GEN.18.9	«Shäng kjweshko, kjër roy» l̈e ba kong.
GEN.18.10+GEN.18.11+GEN.18.12+GEN.18.13	Domerga dogl̈o mya l̈i, kjl̈ara, e Jehová. Tjl̈ẽ Abraham kong ga «L̈u pjl̈ara go ga pja ĩn tjwe obi. Eshko ga bop boy Sara wl̈oshko wa tjeng kjl̈ara domer tjän» l̈e.
GEN.18.10+GEN.18.11+GEN.18.12+GEN.18.13	Kura Sararë kjër pjl̈or go, ba l̈anma kokso l̈ëkong. Eshko dbaryo ga Abraham tjl̈abl̈a, Sara bakoe. Ga Sara, ba dbar mokyo ĩya ame. E kjĩshko ga jar jong, ga wotjl̈ĩk ga «Tja tjl̈abl̈ae. Bor l̈anma tjl̈abl̈a bakoe. ¿Tja wa tjok sorë?» l̈e.
GEN.18.10+GEN.18.11+GEN.18.12+GEN.18.13	Jar shäng l̈i kuya Jehovárë ga tjl̈ẽ Abraham kong ga «¿Sara jar ega? ¿Tjl̈abl̈a kjĩshko ga wa tjok ga äe l̈ere? 
GEN.18.14	¿L̇l̇ëbo kjang, shäryako l̇l̇ëm Jehová kong tjokde? L̈u pjl̈ara go ga pja ĩn tjwe obi. Eshko ga Sara wl̈oshko wa tjeng kjl̈ara domer tjän» l̈e.
GEN.18.15	Kuya Sararë ga bangkjrara ara, ga tjl̈ẽ ga «Tja jatong l̇l̇ëme» l̈e.
GEN.18.15	«Miydër pjir ga pja jatong» l̈e Jehovárë ba kong.
GEN.18.16	Iono l̈ok pjir ga irbo shano to Sodoma kjokyo, ga wl̈obyara Abrahamdë irbo. 
GEN.18.17+GEN.18.18	Eshko ga Jehová wotjl̈ĩk ga «Abraham ber tjëyo kësbang, dbo ara data. Tja tjl̈ẽno ba kong jl̈õkoyo ga ba kjĩshko ga tjëyo l̈öng kjrina kjrina kjok kjwang jĩkong l̈i kjimtër. E kjĩshko ga l̇l̇ëye shäryër l̈i l̈ër ba kong dey. 
GEN.18.19	E kjroror nopga uunkong tjrëko, ba tjëyo tek ber ba irgo l̈i pĩya bor kol̈ë wl̈o, jëk l̈öng bëy wl̈o. Eni ga l̇l̇ëye l̈oror l̈i shäryër uunkong. Kjroror parkë shäng bor tjok e kjĩshko» l̈e.
GEN.18.20	Eni ga Jehová tjl̈ẽ ba kong ga «Sodoma sopga, Gomorra sopga, e roy owa. Kur ga l̇l̇ëbo shärye l̈öng owa l̈i, e kësbang anmoyõ. 
GEN.18.21	E kjĩshko ga tja jongya eshko roy kuror owa l̈i jl̈õre ĩk wl̈o. Eni l̇l̇ëm wl̈eni ga miydër eshko» l̈e.
GEN.18.22	Eshko ga domerga do pjök ba pjl̈oga l̈i jer Sodoma kjokyo, gueniyo Jehová beno shäng Abraham tjok obi. 
GEN.18.23	Wop tjok ga Abraham tjl̈ẽ ba kong ga «¿Nopga owa l̈i tjrëko nopga pjl̈o bek tjok wl̈eni ga pjip uunkongde? 
GEN.18.24	¿Kjok eshko nopga kjwe l̈öng pjl̈o bek sak shkëng (50) wl̈eni ga pjip jek enire? ¿Zröp nopga owa l̈öng l̈i tjokde? 
GEN.18.25	Nopga pjl̈o bek shdum nopga owa l̈i tjok ga äe. Nopga pjl̈o bek l̇l̇gwep nopga owa l̈i dik ga äe. Rokër bop kong sira ga shäryëp eni l̇l̇ëme. Pja nopga l̈öng kjok ëre kjing go l̈i l̇l̇gwega. Miydër ga pja kjok l̇l̇gwek beke» l̈e.
GEN.18.26	Kuya ga tjl̈ẽ ba kong ga «Sodoma sopga wl̈ẽnor pjl̈o bek l̈öng sak shkëng (50) wl̈eni ga epga kjĩshko ga shdun l̇l̇ëme» l̈e ba kong.
GEN.18.27	Eshko ga tjl̈ẽ ba kong obi ga «Tja jnep kësbang, pja bangkjrër l̇l̇ëm wl̈eni. Pja Sbö, tja domer. Tja domer song, tjwl̈õ l̇l̇ëme. 
GEN.18.28	Kjwe shkëng (5) obi äär sak shkëng (50) wl̈o. ¿Shkëng (5) kjĩshko ga kjok pjip jek enire?»
GEN.18.28	Kuya ga tjl̈ẽ ba kong ga «Wl̈ẽnor pjl̈o bek l̈öng sak pkëng kjingsho shkëng (45) wl̈eni ga shdun l̇l̇ëme» l̈e.
GEN.18.29	Eshko ga tjl̈ẽ obi ga «Wl̈ẽp tjeng sak pkëng (40) erö dikjoyoe» l̈e.
GEN.18.29	Kuya ga tjl̈ẽ ba kong ga «Epga sak pkëng (40) l̈i kjĩshko ga shdun l̇l̇ëme» l̈e.
GEN.18.30	Eshko ga tjl̈ẽ ga «Rokër jek bop kong obi ga pja iirkë bor kong l̇l̇ëm, rokër bop kong ara l̈i kjĩshko. ¿Wl̈ẽnop tjeng sak mya (30) erö wl̈eni ga l̇l̇ëye shäryëp?»
GEN.18.30	Kuya ga tjl̈ẽ ba kong ga «Epga sak mya (30) l̈i kjĩshko ga shdun l̇l̇ëme» l̈e.
GEN.18.31	Eshko ga tjl̈ẽ obi ga «Tjl̈apga, pja bangkjrër l̇l̇ëm wl̈eni. ¿Wl̈ẽnop pjl̈o bek l̈öng sak pjök (20) erö wl̈eni ga l̇l̇ëye shäryëp?»
GEN.18.31	Kuya ga tjl̈ẽ ba kong ga «Epga sak pjök (20) l̈i kjĩshko ga shdun l̇l̇ëme» l̈e.
GEN.18.32	Eshko ga tjl̈ẽ pjl̈ara obi ga «Tjl̈apga, pja iirkë bor kong l̇l̇ëme. Kjakrokër bop kong pjir ëre döe. Pja barwër ame. ¿Wl̈ẽnop tjeng sak kjwara (10) wl̈eni ga l̇l̇ëye shäryëp?»
GEN.18.32	Kuya ga tjl̈ẽ ba kong ga «Epga sak kjwara (10) l̈i kjĩshko ga shdun l̇l̇ëme» l̈e ba kong.
GEN.18.33	Jehová tjl̈ẽno ba kong pjir ga to ey dwayo, ga Abraham jek ba ushko iröng obi.
GEN.19.1	Kjok ro zar jekshko ga Sbö parkagaga kjok dogo so do pjök l̈i jek öötong l̈öng Sodoma kjokyo. Ga opzrëno jek kjok l̈i roshkoshko ga Lot sök eshko. Ĩya sök ga kojono ba wl̈okjrë, ga kjök tono, kjujono bokdo kjl̈ay kl̈ung go, 
GEN.19.2	ga tjl̈ẽ ba kong ga «Tjl̈apgaga, rokër bomi kong sira ga pjãy ber l̈öng bor ushko shkër kjwara. Bor u, e bomipjõy bebi. Eshko ga pjãy dre shkwë ga pjl̈úe. Pjãy brik bong, kjok shröngto jã» l̈e.
GEN.19.2	Kuya l̈ok ga tjl̈ẽ ba kong ga «L̇l̇ëme. Tjawa ber l̈öng kjoko dey» l̈e.
GEN.19.3	Gueniyo «Shji to ushko» l̈e ba kong kjër kjĩshko ga to jek l̈ok ba tjok ushko. Öötong l̈öng eshko ga sëna dl̈i owa l̇l̇ëm, pjl̈ung shosho suk pjir shäryak ba uukkl̈o tjok l̇l̇ëm bako, ga uara l̈ok.
GEN.19.4	L̈öng poydë l̇l̇ëm obishko ga domerga Sodoma so öötong l̈öng eshko uunkong, këskës chila, ga Lot u kopjrina l̈ok pjribrie. 
GEN.19.5	Eshko ga öö l̈e l̈ok Lot kong, tjl̈ẽ ga «¿Domerga tjwe l̈öng l̈una bop ushko yẽ kwonl̇l̇o? ¡Shis borwa kong kjoko! ¡Tjawa pë woydë ba tjok!» l̈e.
GEN.19.6	Kuya Lotdë ga opshino jek kjoko, l̈an ba tjok wl̈o, ga u bäng bängzara tuk, ba kokso l̈ëkong. 
GEN.19.7	Eshko ga tjl̈ẽ ba kong l̈ok ga «L̈ër bomi kong ga l̇l̇ëbo owa shäryëmi eni l̇l̇ëme. 
GEN.19.8	Tja wapga wal̈ëga tjeng do pjök, domerga miydoydë l̇l̇ëm obi. Epga twotë bomi kong dey. L̇l̇ëye shäryëmi woydë ba tjok l̈i miydaga ber pjãydë. Gueniyo rokër bomi kong sira ga domerga l̈ëmi l̈i maga tjarë kjĩshko ga kong l̇l̇ëye owa shäryëmi l̇l̇ëme» l̈e.
GEN.19.9	Kuya l̈ok ga tjl̈ẽ ba kong ga «¡Pja opkjos ëre dwayo! Pja na so l̇l̇ëme. Tjawa ichëp woydë kuzong ga pja kong l̇l̇ëbo owa shäryërwa, l̇l̇ëbo owa shäryërwa ba kong l̈ok l̈i kjinmo» l̈e l̈ok ba kong eni, ga jek ri ri ba kjing go, u bäng l̈i dl̈oya wl̈o.
GEN.19.10	Gueniyo ga Lot wl̈ikara domerga l̈öng ba u roshko l̈irë, shira jek u roy, ga u bäng bängzara tuke. 
GEN.19.11	Eshko ga domerga l̈öng kjoko l̈i iara l̈ok uunkong beno l̈öng kjok ĩgö l̇l̇ëme. Eni ga u bäng wl̈ẽya l̈ok ga drete.
GEN.19.12+GEN.19.13	Eshko ga domerga do pjök l̈i tjl̈ẽ Lot kong ga «Sodoma sopga ëre l̇l̇ëbo shäryë l̈öng owa anmoyõ, ga roy öötong Jehová sök kjok dogo l̈i kong. E kjĩshko ga tjawa ichara kjok ëre pjik. Pja opshis na dwayo, pja nom pjolae. Pja pjeyo obl̈ë na tjok ga jek sös bop tjok uunkong, bop wapga, bop kwosga, bop pjeyo obl̈ë tjeng kjok ëreshko bako, kjok ëre pjirwa kjĩshko» l̈e.
GEN.19.14	Eni ga Lot opshino jek ba kwosga ĩni rokë, tjl̈ẽ ba kong ga «Kjok ëre pjiya Jehovárë. E kjĩshko ga pjãy wl̈ẽp l̇l̇ëme. Pjãy tökzong pjolae» l̈e.
GEN.19.14	Gueniyo tjl̈õkwo kjrara l̈ok l̇l̇ëme. Wotjl̈ĩk l̈ok ga «Shäng tjötoro» l̈e.
GEN.19.15	Wẽshko kjok shröngto ga Sbö parkagaga kjok dogo so l̈i tjl̈ẽ Lot kong ga «Pja kojõs mal̈ing, bop boy, bop wapga wal̈ëga do pjök, e jek sös bop tjok. L̇l̇ëm ga kjok ëre shdunwashko ga pjãy wol̈on jek kjok ëre sopga tjok» l̈e.
GEN.19.16	Gueniyo ga Lot wor kuzong ga shara l̈ok ba orkwo go, songe l̈e Jehovárë kjĩshko. Shäryara eni ba boy, ba wapga tjok bakoe. Eshko ga shira l̈ok kjok eshko dwayo, wol̈on l̇l̇ëm wl̈o. 
GEN.19.17	Shira l̈ok pjir ga kjl̈ara tjl̈ẽ ba kong ga «Pjãy zronzong. Iröng ĩmi l̇l̇ëme. Pjãy sl̈an kjok ëreshko l̇l̇ëm bakoe. Pjãy tökzong dl̈up l̈ëkong, pjãy wol̈on woydë l̇l̇ëmda eni» l̈e.
GEN.19.18	Kuya Lotdë ga tjl̈ẽ ba kong ga «L̇l̇ëme. Tjl̈apgaga, 
GEN.19.19	tja kjimtoromi ara. Pjãy pjl̈ú bor tjok. Tja shiromi kjĩshko ga tja sök së obi. Gueniyo ga tja tök dl̈up go ga äe. Kjok pjimishko ga tja doshaya irbo, ga tja wol̈on. 
GEN.19.20	Ëreshko kjok buk chira kjrina soye. Tja jek äär eshko ga pjl̈úe. Tja ichozĩ jek eshko, tja ber sök së obi wl̈o. ¿Ĩmi ga chirawa jl̈õ l̇l̇ëmdo?» l̈e.
GEN.19.21	Kuya l̈ok ga kjl̈ara tjl̈ẽ ba kong ga «Pja kuror. L̇l̇ëye rokorop bor kong l̈i shäryër eni. Kjok buk l̈ëp l̈i pjir l̇l̇ëme. 
GEN.19.22	Pja jëkzong mal̈ing kjweshko. Pja äätë kjweshko l̇l̇ëm obishko ga l̇l̇ëye shäryër ga äe» l̈e.
GEN.19.22	Kjok buk eshko chira l̈i, e kowaraba beno Zoar
GEN.19.23	Lot äär shäng eshko ga kjok shröng tjän. 
GEN.19.24	Eshko ga akkwo ko 
GEN.19.25	Eni ga kjok eshko pjitong dret, nopga l̈öng eshko kjl̈obi l̈i wol̈ono dret, l̇l̇ëbo tjeng së eshko kës l̈i pjitong beno dret bakoe. 
GEN.19.26	Lot boyda tek shäng ba irgo, ga iröng ĩya yal̈erbo ga posgono beno shäng dl̈ungna akyo.
GEN.19.27	Wẽshko kjok shröngto ga Abraham jek öötong shäng l̈ano Jehová tjok bäm go l̈ishko, 
GEN.19.28	ga ĩya ga sdam kjwang jĩkong pjë jong träk l̇l̇ëm obi äär jong Sodoma kjokyo, Gomorra kjokyo bebi. Beno yõbor erä. 
GEN.19.29	Lot sökshko sdamyo pjira Sbörë eni. Gueniyo Abraham woyoshrara kuzong ga Lot shira kjok pjira l̈ishko dwayo.
GEN.19.30	E irgo ga Zoar sopga bangkjrara Lotdë ara kjĩshko ga opshino jek shäng dl̈up shwo l̈ëkong, ba wapga wal̈ëga do pjök l̈i tjok, ga beno l̈öng guëng jong ööng kjwara eshko l̈i roshko. 
GEN.19.31	Pjl̈ara ga ba wa këguëyo tjl̈ẽ ba l̈ëng kong ga «Bi data kjwe tjl̈abl̈ae. Kjok kjwang jĩkong ga oba orkwosmok ĩyado. Gueniyo jũshko ga domerga shji orkwosmok ba tjok wl̈o drete. 
GEN.19.32	Kjweri nel̈õtkëy, shji pë ba tjok wl̈o, shji wapga shdär jek këgong wl̈o» l̈e. 
GEN.19.33	E shkëyo ga kjil̇l̇gwo bo dyo dbo ara twara ba data kong. Nel̈õtkono ga Lot wa bäm ĩyo pono ba tjok. Gueniyo nel̈õ kjĩshko ga to miydara l̇l̇ëme.
GEN.19.34	Wẽshko ga Lot wa këguëyo tjl̈ẽ ba l̈ëng kong ga «Tja kuzong. L̈una shkëyo ga tja pono bi data tjok. Eeri shkëyo ga nel̈õtkëy jek obi, pja pë ba tjok shara wl̈o, shji wapga shdär jek këgong wl̈o» l̈e. 
GEN.19.35	E shkëyo ga nel̈õtkara l̈ok jek obi, ga Lot wa mite pono ba tjok shara. Gueniyo to miydara l̇l̇ëm obi.
GEN.19.36	Eni ga Lot wapga l̈i beno l̈öng kjl̈araso l̇l̇ëm, ba data l̈i ĩ. 
GEN.19.37	E irgo ga ba wa këguëyo wa buk kjl̈ara domer, ga koiara Moab. E beno Moab tjëyo data. 
GEN.19.38	Ga ba l̈ëng wa buk kjl̈ara domer bebi, ga koiara Ben Amí. E beno Amón tjëyo data.
GEN.20.1	E irgo ga Abraham wl̈o opshino Mamré kjokyo dwayo, to jongya jong Néguev kjokyo. Eshko ga beno l̈öng Guerar kjokyo, e buk Cades kjokyo, Sur kjokyo, e tjrëko. 
GEN.20.2	Äär l̈öng eshkoshko ga ba boy Sara, e ba dor l̈e uunkong kong. E kjĩshko ga Guerar so pjl̈uyo Abimélec no ichono Sara wl̈okjrë, pë ba tjok wl̈o l̈e. 
GEN.20.3	Eshko ga Sbö tjl̈ẽ Abimélec kong yoshko ga «Wal̈ë sörop kjwe orkwosmok shäng pjire. E kjĩshko ga pja wol̈on» l̈e.
GEN.20.4	Eshko ga poydë ba tjok l̇l̇ëm obi kjĩshko ga tjl̈ẽ Sbö kong ga «Tjl̈apga, ¿ëye l̇l̇ëbo owa shäryoydë l̇l̇ëm ga pja wotjl̈ĩk ba zrökde? 
GEN.20.5	Abraham tjl̈ẽno bor kong ga “Wal̈ë kjwe bor dor” l̈ara. “Kjwe bor sing jl̈õe” l̈ara wal̈ë l̈irë bakoe. Eni ga tja opshäryë shäng pjl̈ú bop bokso l̈ër eni bor pjl̈úshko, l̇l̇ëye owa shäryotë l̇l̇ëme» l̈e.
GEN.20.6	Kuya ga tjl̈ẽ ba kong ga «Miydër pjl̈ú ga pja opshäryë shäng pjl̈ú bor bokso l̈ëp eni bop pjl̈úshko jl̈õe. E kjĩshko ga pja ichoror ba porwë l̇l̇ëm, l̇l̇ëbo owa l̈ër l̈i shäryëp l̇l̇ëm wl̈o. 
GEN.20.7	Wal̈ë kjwe to twëp ba l̈anma kong iröng obi. Domer, e bor tjl̈õkwo l̈aga. E kjĩshko ga syõshtë bor kong bop kjĩshko, pja wol̈on l̇l̇ëm wl̈o. Gueniyo twëp ba kong iröng l̇l̇ëm ga l̈ër bop kong jl̈õkoyo ga pja wol̈on, bop pjeyoga uunkong wol̈on bakoe» l̈e.
GEN.20.8	Wẽshko kjok shröngto ga ba dboryagaga rokara ba shwoy, ga yoĩno sorë ga l̈ara ba kong pjire. Kuya l̈ok ga bangkjrara ara. 
GEN.20.9	E irgo ga Abraham rokara Abimélecdë ba shwoy, ga tjl̈ẽ ba kong ga «¿L̇l̇ëye shäryorop borwa kongdo? Tja jëktong bëy bop tjok. Gueniyo tja ichorop l̇l̇ëbo owa shäryë, bor nopga ichorop l̇l̇ëbo owa shäryë bakoe. E shäryako l̇l̇ëme. 
GEN.20.10	¿“Kjwe bor dor” l̈ëp bor kongshko ga pja wotjl̈ĩk shäng l̇l̇ëro?»
GEN.20.11	«Tja wotjl̈ĩno ga kjok ëre sopga Sbö bangkjrë l̇l̇ëmdo l̈oror, ga tja zröya l̈ok bor boy kjwe kjĩshko. 
GEN.20.12	Jl̈õkoyo ga kjwe bor dor, bor data wa, gueniyo bor mekë wa l̇l̇ëme. Tja orkwosmono ba tjok ga pjl̈ú e kjĩshko. 
GEN.20.13	“Pja opshis bop data ushko dwayo” l̈ara Sbörë bor kongshko ga tja tjl̈ẽ bor boy kong ga “Tja kjimtëp sira. Shji äär kjone pogo ga tja bop sing l̈ëp eni” l̈ër ba kong» l̈e Abrahamdë eni.
GEN.20.14	Eshko ga ba boy Sara twara Abimélecdë ba kong iröng obi. Öng ushko so, sögl̈a, domerga parkagaga tjwl̈ẽk l̈öng pjir wl̈eniyo, wal̈ëga parkagaga tjwl̈ẽk l̈öng pjir wl̈eniyo, e twara ba kong bakoe. 
GEN.20.15	Ga tjl̈ẽ ba kong ga «Kjok ëre ĩzong. Woydëp ara kjone dey ga kjros, pja ber sök eshko wl̈o» l̈e. 
GEN.20.16	Ga tjl̈ẽ Sara kong ga «L̇l̇ëbo tworor bop sing kong kjwe tjwl̈õ dbur sho pjl̈ubl̈ún kjwo sak dbäw dbäw (1,000). Tworor ba kong, pja l̇l̇ëbo owa shäryono l̇l̇ëm miydëba e go wl̈o, pja ber pjl̈ú nopga uunkong ëre bokso wl̈o, pja owa l̈aga ërë l̇l̇ëm wl̈o» l̈e.
GEN.20.17+GEN.20.18	Sara kjĩshko ga wal̈ëga l̈öng Abimélec ushko kjl̈obi l̈i shduna Jehovárë, beno l̈öng wapga ame. Gueniyo ga Abraham syõshtono Jehová kong. E kjĩshko ga Abimélec poptara Sbörë. Ba boy, ba parkaga wal̈ëga poptara bako, wapga tjok obi wl̈o.
GEN.21.1	E irgo ga l̇l̇ëbo shäryara Jehovárë pjl̈ú Sara kong, l̈ara sorë l̈i eni. 
GEN.21.2	Abraham tjl̈abl̈ashko ga Sara beno shäng kjl̈araso l̇l̇ëme. L̈ara Sbörë dbaryo l̈ishko ga wa buk kjl̈ara domer, 
