GEN.1.1	Kotiyamale sitali dla Godtapo ta꞉lamo mate pepele di mate mimita꞉piyo. 
MAT.14.16	Epalati Yesuta yia꞉ watle epo atlaiyo, “Wua꞉ yia꞉ye daya halomala taiya demiya. Amasiyama muwolo yia꞉ye daya halopiya,” diyo.
MAT.14.17	Epalati asiyama yia꞉tapo ya꞉ watle epo atlaiyo, “Dia꞉ dla isikimi daya mo-halomale do supulastale mate amalo dapiyamte mateta hutiyema,” diyo.
MAT.14.18	Epalati Yesuta asiyama epo atlaiyo, “Daya e mate epo amalo e mate na꞉ watle halopo puaiya,” diyo. 
MAT.14.19	Epame ya꞉ opa hapulomaye tuptu dla popa꞉iya depame daya mo-halomale do supulastale mate amalo dapiyamte mate halopame pepele di dla omhalemama God dla siyele yu atlepame daya hauwokokomaiyo. Epame ya꞉ alotle tlalo so watle hapiyo, yia꞉tapo ma opa hapuloma watle alemelepo depame. 
MAT.14.20	Opa hapulomatapo daya dlopame sikemte susukalemama daya popokadiyo. Epalati Yesu ya꞉ alotle tlalo sota daya akutu mate amalo akutu mate popomelleye yekalo 12 dla atilimama sikemte poposatilimaiyo. 
MAT.14.21	Epedeme opa mate epo wola꞉ mate epame yimlala mate daya i deiyo. Amasiyama sesa꞉le oloma edla opa siyapo tlo sesa꞉mama 5,000 umaiyo.
MAT.14.22	Yesuta 5,000 opa daya ilipo gudepame ya꞉ alotle tlalo so watle epo atlaiyo, “Wua꞉ tatle koa hame kaula seme dla uliya. Na꞉ opa iwoloye taiye depo alotle puluwamo,” diyo. 
MAT.14.23	Epame ya꞉ opa alumaleye ma-taiya depame ma meyelo hallowedeme tamali di dla inoma sumala hetaiyo. Ya꞉ tamali di edla hetame hallati ma-amtuwaiyo. 
MAT.14.24	Amasiyama oloma edla ya꞉ alotle tlalo sotapo koa dla alupame mo-kaula dukuslopi dla tamha꞉ha꞉iyo. Epalati mosisita ulo mate puame yia꞉ koa dla heyulati yia꞉tapo sikemte itiyamale mate koa sosolemtamalaiyo.
MAT.14.25	Epo utulala ikadepe ala iki yulumhallati Yesutapo yú di tle yia꞉ hala dla taiyo. 
MAT.14.26	Epalati yia꞉tapo Yesu natipame sikemte yiyelepo wowota꞉mama ikiyeliyo. Adipalati, yia꞉ta malamaleta semte bataliyata pumapo diyo.
MAT.14.27	Amasiyama Yesuta yia꞉ watle epo atlaiyo, “Ase sikemte wowota꞉miya. Na꞉ta puma,” diyo.
MAT.14.28	Epalati Pitata epo atlaiyo, “Lod, ikadepe wa꞉ta puma dlepiye, wa꞉ ma na꞉ye yú di tle puane dene,” diyo.
MAT.14.29	Epalati asiyama Yesuta epo atlaiyo, “Puane.” Epapele oloma dla Pitata tulume yú dla posokolome yú di tle kotiyapo Yesu hala dla taiyo. 
MAT.14.30	Amasiyama ya꞉ tamama ulo patotota pumhalla natipame sikemte wota꞉iyo. Epapele oloma edla ya꞉tapo yú dulu dla mo-ollodemtulumama yu teta꞉le mate epo atlaiyo, “Lod, na꞉ gadene,” diyo.
MAT.14.31	Epalati Yesuta pakasiyamalalo ya꞉ dota ola꞉mtulume ya꞉ye hampame ya꞉ watle epo atlaiyo, “Wa꞉ta mikadepe dleye pta yimka꞉mala. Wa꞉ adipalati malamale tatlamo?” diyo.
MAT.14.32	Epame yia꞉ta madipatata koa dulu dla poposokollati mosisita medla ka꞉liyo. 
MAT.14.33	Epalati ya꞉ alotle tlalo sota Yesu hete sitali dla tulume heodepo popa꞉mama epo atlaiyo, “Wa꞉ye ikadepe God Yamipo,” diyo.
MAT.14.34	Yesu mate ya꞉ alotle tlalo so mate kaula ulume Genesalet mo dla tame woyapame koa himiyo. 
MAT.14.35	Edla ha꞉ha꞉lalo opata Yesu malanatipame mo meyelope meyelope dle dla yu hamtamalaiyo. Epalati opata esusulumale so opa hapulomaye Yesu hala dla hohopo pumhalaiyo. 
MAT.14.36	Epalati esusulumale sota Yesu watle otomama epo atlamyaiyo, “Di isikimi wa꞉ tluka ipi tlo umamolowama,” demyaiyo. Epapele dulu dla Yesu tluka ipi umamale so hapulomata ma-ka꞉ka꞉dlalimaiyo.
MAT.15.1	Pa꞉lisi so opa opi mate epo aiyalma imalalo so opa opi mate Yelusalem tle puame Yesu hala dla alupame ya꞉ watle epo atlaiyo, 
MAT.15.2	“Wa꞉ alotle tlalo sota di toto koko podolumalalo wekemama yia꞉ doye woloma pohowahalomalalo daya dlompopa꞉ye adipalati amma꞉?” diyo.
MAT.15.3	Amasiyama Yesuta yia꞉ watle epo atlaiyo, “Ame wua꞉ adipalati Godta imale aiyalma kokoye melepame ma opata imale aiyalma koko dolumsiyama꞉? 
MAT.15.4	Adipalati, Godta epo atluwapo, ‘Wa꞉ a mate wa꞉ wai mate yia꞉ yu dla heodepo salladepo siyamaiya. Amasiyama antapo ya꞉ a mate ya꞉ wai mate dla yu batalimale atlepiye, ya꞉ye yumuluwe ka꞉pi,’ duwapo. 
MAT.15.5	Amasiyama wua꞉ta atlemama oplamitapo ya꞉ a mate ya꞉ wai mate gadlowe yilo alisisi himhalaleye ma God watle hamiloweye ka꞉pi demdepo. 
MAT.15.6	Epapele koko tle wua꞉tapo oplamita ya꞉ a mate ya꞉ wai mate gadlowe yilo dinapopo halaleye humatlemdepo. Wua꞉ta ipapele koko hamha꞉ha꞉mama Godta aiyalma hamili koko tlo podolumalalo, ma wua꞉ toto koko tlo dolumha꞉ha꞉po. 
MAT.15.7	Wua꞉ wuskamu pepemalalo sopo. God tle yu hapame molo atlalo oplami Aisayata ikadepe koko atluwapo, wua꞉ epapele so dla. Adipalati, ya꞉ta ipo ilimuwapo,
MAT.15.8	‘Opa iwolotapo isikimi mati tle na꞉ dla siyele ta꞉demdepo.
MAT.15.8	Amasiyama yia꞉ dupa dulu dla na꞉ malamaleye hawa ikadepe.
MAT.15.9	Epedeme yia꞉ta na꞉ dla heodepame na꞉ hi di dla ta꞉demha꞉ha꞉ye dulu koko pa꞉na.
MAT.15.9	Adipalati, yia꞉tapo opata imale aiyalmaye na꞉ta imale tepo depame ma opa watle imsiyamapo.’”
MAT.15.10	Yesuta opa hapuloma sisilapame yia꞉ watle epo atlaiyo, “Wua꞉ta hapuloma na꞉ yu dalepame malamale haiya. 
MAT.15.11	Epedeme wua꞉ natiya, oplamitapo dlowe alisisi demdeta ya꞉ dupa duluye pobatalimasemde. Amasiyama oplami ya꞉ dupa dulu tle malamale woyamdeta ya꞉ dupa duluye batalimdepo,” diyo.
MAT.15.12	Epalati ya꞉ alotle tlalo sota ya꞉ watle puame epo atlaiyo, “Wa꞉ Pa꞉lisi sotapo wa꞉ta atlamale koko dla siyalasiyaladeye me-malanatima꞉?” diyo.
MAT.15.13	Amasiyama Yesuta asiyama yia꞉ watle epo atlaiyo, “Dlomoko dali adiye na꞉ Ata pe-emalalo wekuwa, dlomoko dali hapuloma eye kese mate dodokalepo polollepe. 
MAT.15.14	Epedeme Pa꞉lisi soye dlomoko dali epapele some ha꞉ha꞉po. Wua꞉ yia꞉ ase sikemte malamiya. Yia꞉ inoma pa꞉talo so epapele some ha꞉ha꞉mama opaye elemtapo. Epapedeme inoma pa꞉le oplamitapo ya꞉mkale inoma pa꞉le oplami haleye semtlepiye, yia꞉ta madipatata munamu dulu dla teteyulupe.”
MAT.15.15	Epalati Pitata epo atlaiyo, “Wa꞉ta atla wayu ya꞉ dulu kokoye di watle woloma imane,” diyo.
MAT.15.16	Epapalati asiyama Yesutapo epo atlaiyo, “Wua꞉ ala yu i ya꞉ dulu kokoye yeitampopa꞉pa? 
MAT.15.17	Epedeme wua꞉ natiya, wua꞉ta dlowe alisisi hame dlomdeta wua꞉ dupa dulu pobatalimasemde. Adipalati, dlowe alisisi iye isikimi koko dulu dla tulupame ma alikili dla ulatamdepo. 
MAT.15.18	Amasiyama oplami mati tle yukamde koko hapulomatapo ya꞉ dupa dulu tle woyapame ya꞉ye batalimdepo. 
MAT.15.19	Adipalati, ya꞉ dupa dulu tle ipapele kokota wowoyamdepo, batalimale koko malamolowe, epo ya꞉mkale yumuluwe, epo ya꞉mkale ya꞉llu mate ya꞉mkale ya꞉wolali mate uhalowe, epo opa mate wola꞉ mate uhalomolowe, epo upo alisisi uhalowe, epo ya꞉mkale mala-atlowe, epo ya꞉mkale hi mate putlopo atlowe. 
MAT.15.20	Epedeme batalimale koko hapuloma itapo wa꞉ye batalimale oplami demdepo. Amasiyama do pohowahalalo daya dlomdetapo wa꞉ye pobatalimale oplami desemde.”
MAT.15.21	Yesu mo eye saliyome ma Taya mo mate epo Saidon mo mate dla taiyo. 
MAT.15.22	Ya꞉ edla tame woyamalati a꞉ya haletapo ya꞉ hala dla puaiyo. A꞉ya eye Keinan a꞉yayo. Epapeleye ya꞉tapo Yesu natipame yu teta꞉le mate epo atlaiyo, “Lod, Deibidi Yami, wa꞉ na꞉ polowamane. Adipalati, na꞉ amseyemalaye bataliyata ya꞉ dulu dla tuwame halemama ya꞉ dla wotiyalle pato hapimhalemde,” diyo.
MAT.15.23	Amasiyama Yesuta yu e dalepame yu hale po-atlaiyo. Epalati ya꞉ alotle tlalo sota Yesu watle puame epo atlaiyo, “A꞉ya iye di dolumsela꞉mama sikemte yu teta꞉msela꞉ma. Epedeme wa꞉ ya꞉ye ma-tane dene,” diyo.
MAT.15.24	Epalati Yesutapo yia꞉ watle epo atlaiyo, “Godtapo na꞉ye isikimi Isalael so dla tane duwapo. Adipalati, Isalael soye ma sipi aliya halo epapele some mo-haohaodepo ha꞉ha꞉po,” diyo.
MAT.15.25	Epedeme a꞉yatapo ma puame Yesu hete sitali dla heodepo polomama epo atlaiyo, “Lod, na꞉ gadene,” diyo.
MAT.15.26	Epalati Yesuta asiyama a꞉ya watle wayu mate epo atlaiyo, “Yimlala dayaye halopame ma esemala dla ilimoloweye poka꞉dena,” diyo.
MAT.15.27	Amasiyama a꞉yatapo Yesu watle epo atlaiyo, “Yao, Lod, wa꞉ ikadepe atlapo. Epapele tlope esemalaye yia꞉ ata daya demama akutu ta꞉la dla teteyulati dlomsiyamdepo,” diyo.
MAT.15.28	Epalati Yesuta ya꞉ watle epo atlaiyo, “A꞉ya, wa꞉ta mikadepe dleye pta pato. Epedeme na꞉tapo wa꞉ta atlale kokoye ala꞉lowepo,” diyo. Epapele oloma medla a꞉ya e ya꞉ amseyemalata ma-ka꞉diyo.
MAT.15.29	Yesu mo e saliyome ma Ga꞉lili kaula peleyama tle polomyaiyo. Ya꞉ etle ma hetame tamali di dla polaiyo. 
MAT.15.30	Epalati opata Yesu watle esusulumale so hohopo puame ya꞉ hete sitali dla ipila꞉iyo. Opitapo akoloyalemale so hohopo pumhalaiyo, epo opitapo inoma pa꞉talo so, epo opitapo moto palli so, epo opitapo yu pa꞉talo so, epame esusulumale opi mila꞉pi meyelope meyelope dle so opi ma me-hohopo pumhalaiyo. Epalati Yesutapo esusulumale so hapulomaye ka꞉ka꞉diyo. 
MAT.15.31	Epapele dulu dla opata koko i natipame sikemte yiyelemama Isalael so yia꞉ God dla siyele pato ta꞉diyo. Adipalati, yu pa꞉talo sota ma yuhamyaiyo, epame moto palli so ma mo-sillipo siyamaiyo, epame akoloyalemale so ma ka꞉ka꞉depo siyamaiyo, epame inoma pa꞉talo so ma ma-tlamaiyo.
MAT.15.32	Epalati Yesutapo ya꞉ alotle tlalo so sisilapame epo atlaiyo, “Opa alumale iwoloye na꞉ mate alila dapahatlope dla siyamuwapo. Epame ma yia꞉ta daya dimi popa꞉lati natipame yia꞉ sikemte bokotiyama. Na꞉ yia꞉ daya po-ilimalalo ma-taiya dlowe tlope yia꞉ api duka dla tamalemama daya yilo hopeyalimelepe,” diyo.
MAT.15.33	Epalati ya꞉ alotle tlalo sota ya꞉ watle epo atlaiyo, “Dlowe pa꞉le mo hema dita hadima dlowe hapo opa pato iwolo ilipa꞉?” diyo.
MAT.15.34	Epalati Yesuta asiyama epo atlaiyo, “Wua꞉ dla daya adisowata hutiyema꞉?” diyo.
MAT.15.34	Epalati yia꞉ta asiyama epo atlaiyo, “Isikimi daya 7 mate epo amalo dapiyamte yemalata hutiyema,” diyo.
MAT.15.35+MAT.15.36	Epalati Yesuta opa hapulomaye ta꞉la dla popa꞉iya depame daya 7 mate epo amalo mate halopo siyele yu God dla hamiyo. Epo daya mate amalo mate hauwokokopo ya꞉ alotle tlalo so watle hapiyo, opa watle alemelepo depame. 
MAT.15.37	Opa hapulomata daya dlopo sikemte susukaliyo. Epalati ya꞉ alotle tlalo sota daya akutu ipi popomelleye yekalo 7 dla atilimama poposatilimaiyo. 
MAT.15.38	Epedeme opa mate epo wola꞉ mate epame yimlala mate daya i deiyo. Amasiyama sesa꞉le oloma dla opa siyapo tlo sesa꞉mama 4,000 umaiyo. 
MAT.15.39	Yesu opa hapuloma ma-taiya depame ya꞉ alotle tlalo so mate koa dla tulume alumaiyo. Epame Magadan mo mateka꞉pi dla uliyo.
MAT.16.1	Epame Pa꞉lisi so mate epo Sa꞉dusi so mate Yesu hala dla puame ya꞉ta itiyamale hamsela꞉ye ikadepe God tle malata꞉ depame epo atlaiyo, “Wa꞉ pepele di tle ulugiyemale koko di watle nati-ine,” diyo.
MAT.16.2+MAT.16.3	Amasiyama Yesuta yia꞉ watle epo atlaiyo, “Wua꞉ tamila꞉la salita ka꞉pi tutula꞉la natipame epo atlemdepo, ‘Iyela sali ka꞉pi hallepe,’ demdepo. Epame wua꞉ ma utulalati wuala dikilita pepele di bopudepo ellati natipame, ‘Wata tiyo hellepe,’ demdepo. Epedeme wua꞉ ipapele kokota wowoyamoloweye mo-wua꞉malamana. Amasiyama wata oloma hema wowoyamhala koko hapuloma yia꞉ dulu kokoye powua꞉malamana. 
MAT.16.4	Wata oloma hema ha꞉ha꞉ so opaye pta bobtalimana. Epame yia꞉ ma God kokoye pokoko desemdepo. Epammama yia꞉ ulugiyemale koko tlo tlamha꞉ha꞉lowedeme na꞉ watle atlamha꞉ha꞉po. Amasiyama na꞉ yia꞉ dla ulugiyemale koko hale ponati-iliwa, isikimi Yona koko tlo yia꞉ watle nati-iliwepo.” Yesu koko i atlepo gudepame yia꞉ saliyome ma-taiyo.
MAT.16.5	Epame Yesu mate epo ya꞉ alotle tlalo so mate kaula seme dla uliyo. Yia꞉ edla tame popa꞉mama ya꞉ alotle tlalo sota yia꞉ta daya dimi puale kokoye momalampopa꞉iyo. 
MAT.16.6	Yia꞉ epo momalampopa꞉lati Yesuta yia꞉ watle epo atlaiyo, “Ka꞉e, wolomape! Pa꞉lisi so mate Sa꞉dusi so mate yia꞉ta imale kokoye daya haka꞉le sepena. Adipalati, daya amko ka꞉dleye daya haka꞉le mate dukumelepiye, daya amko ka꞉dleye batalimelepe.”
MAT.16.7	Amasiyama Yesu ya꞉ alotle tlalo sota koko i dalepame yiskamu yia꞉ dulu dla esempopa꞉mama epo atlamyaiyo, “Dita daya pohame pulalo wekele koko tle Yesutapo di natipo yu epo atlapo,” demyaiyo.
MAT.16.8	Epapalati Yesuta yia꞉ta momalampopa꞉leye ma-natipame yia꞉ watle epo atlaiyo, “Wua꞉ adipapalati wua꞉ta daya pohampulalo wekele koko dla sikemte momalampopa꞉ma꞉? Wua꞉ta mikadepe dleye pta yimka꞉sikilipo. 
MAT.16.9	Epame wua꞉ na꞉ta itiyamale dla ala pomikadepe dlalo ha꞉ha꞉pa? Epame wua꞉ na꞉ta 5,000 opaye daya do supulastale mate hauwokokopo ilimuwaye mo-woweluwapa? Epame yia꞉ta daya dlopo popomellati wua꞉tapo yekalo adisowa dla atilimuwa? 
MAT.16.10	Epame wua꞉ ma na꞉ta 4,000 opaye daya 7 mate hauwokokopo ilimuwaye wua꞉ e ma mo-woweluwapa? Epame yia꞉ta daya dele popomelleye yekalo adisowa dla atilimuwa? 
MAT.16.11	Epedeme na꞉ daya kokoye wua꞉ watle po-atlana. Wua꞉ koko iye adipalati ala pomalamalalo popa꞉ma꞉? Amasiyama na꞉ta atlama kokoye wua꞉tapo Pa꞉lisi so mate epo Sa꞉dusi so mate yia꞉ta imale dla tullala depame wuskamu woloma omha꞉ha꞉lepo depo yu i atlalepo.” 
MAT.16.12	Epalati ya꞉ alotle tlalo sotapo edla malanatiyo, Yesuta ikadepe daya koko dla po-atlalo, isikimi Pa꞉lisi so mate epo Sa꞉dusi so mateta imale koko dla atlaleye.
MAT.16.13	Yesuta tame Kasaliya Pilipi mo dla sela꞉mama ya꞉ alotle tlalo so watle epo atlaiyo, “Opatapo Opa Yamiye ana demdi?” diyo.
MAT.16.14	Epalati yia꞉ta ya꞉ watle epo atlaiyo, “Opa opitapo wa꞉ye Yon opa yú dla ka꞉ka꞉timalalo demdepo. Epame ma opita wa꞉ye Ilaya mle demdepo. Epalati asiyama opita wa꞉ye Yelemaya mle demdepo. Epame ma opita wa꞉ye God tle yu hapame molo atlamalalo so ka꞉yapa ha꞉ha꞉uwa oplami hale mle demdepo.”
MAT.16.15	Epalati Yesuta asiyama yia꞉ watle epo atlaiyo, “Amasiyama wua꞉ta na꞉ye ana demdi?” diyo.
MAT.16.16	Epalati Saimon Pitata asiyama epo atlaiyo, “Wa꞉ye Keliso, kokó halepo halemhala God Yamipo,” diyo.
MAT.16.17	Epapalati asiyama Yesuta ya꞉ watle epo atlaiyo, “Saimon Pita, Yona yami, wa꞉ye siyene. Adipalati, oplami haletapo wa꞉ watle koko iye po-imana. Amasiyama na꞉ A Pepele di dla halatapo wa꞉ imalepo. 
MAT.16.18	Epedeme Pita, na꞉ wa꞉ dla atlema, wa꞉ye ewalapo. Epedeme na꞉tapo ewala tama hema na꞉ sosye kotiyamolowepo. Epapele dulu dla polowe itiyamaletapo sos eye potla꞉mtlowa. 
MAT.16.19	Epame na꞉ Pepele dimo kokoloma eloye wa꞉ watle hapilowepo. Epedeme wa꞉ apa kokoye ta꞉lamo hema polupo ellepiye, Pepele dimo dla ma mepo polupo ellepe. Epame wa꞉ apa kokoye ta꞉lamo hema towastlepiye, Pepele dimo dla ma mepo towastlepe.”
MAT.16.20	Ya꞉ epo halemama yu itiyamale mate ya꞉ alotle tlalo so watle epo atlaiyo, “Wua꞉ opa watle atlemama na꞉ye Kelisopo demiyo,” diyo.
MAT.16.21	Epame oloma etle Yesutapo ya꞉ alotle tlalo so watle ya꞉ta polowe kokoye atlamsela꞉lowe kotiyamaiyo. Epammama ya꞉ta yia꞉ watle epo atlaiyo, “Na꞉ye Yelusalem dla hetlati Yu so dokopala so mate epo aiyalma aya dokopala so mate epo aiyalma imalalo so mateta na꞉ dla wotiyalle hamilipe. Epame opata na꞉ye yumulati wabasi dulu dla powame elepo alila dapahatlope dla ma pasakalo depame sila꞉tilipe,” diyo.
MAT.16.22	Epalati Pitata Yesuye alikili dla hamamtame halemama ya꞉ watle epo atlaiyo, “Hao Lod, koko ipapeleta wa꞉ dla woyamoloweye poka꞉dena,” diyo.
MAT.16.23	Amasiyama Yesuta Pita dla helestame halemama epo atlaiyo, “Saiten, na꞉ tle alikili a꞉ma tane. Wa꞉ta yu ipo atlatapo na꞉ye pogadesema. Adipalati, wa꞉ta yu atlaleye God tle popuasema. Amasiyama opata malamale tle puapo,” diyo.
MAT.16.24	Yesu matle ya꞉ alotle tlalo so dla epo atlaiyo, “Oplami antapo na꞉ dolumpuluwe solotamelepiye, ya꞉ ya꞉skamu ya꞉ta solotamale koko hamsela꞉ye memelepame ya꞉ dali yekelemhimiliye maka꞉himsela꞉mama na꞉ dolumpulupe. 
MAT.16.25	Amasiyama oplami antapo ya꞉ pasakaloye meyelo gadlowedeme apelepiye, ya꞉ pasakaloye haodlepe. Amasiyama oplami antapo na꞉ yilo ya꞉ pasakaloye haodlepiye, ya꞉ matle halepo halepo pasakalo halepe. 
MAT.16.26	Amasiyama oplami antapo ta꞉lamo pato hema halemama ya꞉ta solotamale koko hapulomaye ma-halopame hatlo pasakalo hallowe koko tlo hotlepiye, ya꞉ ma apa koko hapa꞉? Hawa. Adipalati, ya꞉ta alisisi hapuloma ta꞉lamo hema halopo halale e mate halepo halepo pasakalo pohalowa. 
MAT.16.27	Epapedeme Opa Yamitapo ya꞉ ata hela꞉dle mate epo ya꞉ banakaka so mate pumama opa hapuloma dla yia꞉ta halomha꞉ha꞉le asiyamaye mepo ala꞉po halopilipe. 
MAT.16.28	Epapele dulu dla na꞉ mikadepe koko wua꞉ watle atlema. Wua꞉ dulu dla opa opi me-ha꞉ha꞉po. Yia꞉tapo Opa Yamita ya꞉ Pepele dimo koko mate pulati natipame alotle pallipe.”
MAT.17.1	Epame alila 6 mogudlati Yesutapo Pita mate epo Yeims mate epo Yeims ya꞉ ei Yon mate tamali di ikadepe dla miyelo ha꞉ha꞉la hetaiyo. 
MAT.17.2	Yia꞉ edla hetame popa꞉mama natilati Yesutapo ya꞉ Pepele dimo mila꞉pi himhalla natiyo. Epalati ya꞉ mila꞉pitapo sali some hela꞉demama usiyemaiyo. Epame ya꞉ tlukatapo sikemte kamama hela꞉dle some halaiyo. 
MAT.17.3	Yia꞉ edla me-ompopa꞉mama natilati Moses mate epo Ilaya mate wowoyapo Yesu mate yuhamha꞉ha꞉iyo. 
MAT.17.4	Epalati Pitata Yesu watle epo atlaiyo, “Lod, di mo hema ha꞉ha꞉lowe ka꞉pi. Epedeme wa꞉ta ka꞉dena dlepiye, na꞉ hema kimna꞉ya dapahatlope kimtimolowepo. Kimna꞉ya haleye wolëpo, epame haleye Moses tete, epame haleye Ilaya tete dlowepo,” diyo.
MAT.17.5	Pita ala me-yukamhallati wuala sikemte hela꞉dletapo malame yia꞉ye bopudiyo. Epalati wuala dulu tle yuta epo atlaiyo, “Iye na꞉ta sikemte malamama dupa ellalo maseyemalapo. Na꞉ ya꞉ dla sikemte siyema. Epedeme ya꞉ yu dla daliya,” diyo.
MAT.17.6	Epalati Pita wolota koko i natipame sikemte wowota꞉mama ta꞉la dla tulume hutiyemama yia꞉ mila꞉pi isili dla poutalepo hutiyeiyo. 
MAT.17.7	Amasiyama Yesuta puame yia꞉ dla umama epo atlaiyo, “Wua꞉ silliya. Ase sikemte wowota꞉miya,” diyo. 
MAT.17.8	Epalati yia꞉ta sillipame toko natitepo Yesuta meyelo halla natiyo.
MAT.17.9	Epame yia꞉ tamali di tle malemha꞉ha꞉mama Yesuta yia꞉ watle epo atlaiyo, “Wua꞉ta tlamale kokoye opa opi watle atlamiyo. Amasiyama Opa Yamita popo sila꞉time me-hetlati alotle atlamsiyamaiye,” diyo.
MAT.17.10	Epalati Pita wolota Yesu watle epo atlanatiyo, “Adipalati aiyalma imalalo sota imama ‘Ilayata itapu pulati Kelisota alotle pulupe’ demdi?” diyo.
MAT.17.11	Yesuta asiyama yia꞉ watle epo atlaiyo, “Ikadepe, Ilaya tatle puame koko hapulomaye ma woloma ka꞉ka꞉depo dinapelepe. 
MAT.17.12	Amasiyama na꞉ wua꞉ dla atlema, Ilayaye mo-puwapo. Epapele tlope opatapo ya꞉ye woloma pomalanatilalo ya꞉ dla wotiyalle halopimyeuwapo. Epammama yia꞉tapo Opa Yami dla ma mepo wotiyalle halopimyelepe.”
MAT.17.13	Epalati yia꞉tapo Yesuta epo atla dalepame asiyama yia꞉ta malamaleta Yon opa yú dla ka꞉ka꞉timalaloye semte ikadepe Ilayata pua tepo diyo.
MAT.17.14	Yesuta ya꞉ alotle tlalo so dapahatlope mate tamali di tle tulume opa hapuloma yia꞉ ompopa꞉le so dla woyamalati oplami haleta puame Yesu hete isili dla heodepo polomama epo atlaiyo, 
MAT.17.15	“Lod, wa꞉ na꞉ maseyemalaye polowamane. Adipalati, ya꞉tapo yiyilamaleta ya꞉ dla halati ya꞉skamu yú dulu dla epo dlapa dulu dla tutula꞉msela꞉mama wotiyalle pato hamde. 
MAT.17.16	Epapeleye na꞉tapo maseyemala eye wa꞉ alotle tlalo so dla puame nati-ilati yia꞉tapo ya꞉ye poka꞉dena,” diyo.
MAT.17.17	Asiyama Yesuta epo atlaiyo, “Wua꞉ye mikadepe dle pa꞉talo bobtalimale sopo. Wua꞉ta na꞉ dla mikadepe dlepo depame na꞉ alila adisowaye wua꞉ mate halepa꞉? Amasiyama maseyemala eye na꞉ watle hamampuaiya,” diyo. 
MAT.17.18	Epame Yesuta maseyemala dulu tle bataliyaye alikili dla dodolomaiyo. Epapele oloma edla maseyemalatapo ma-ka꞉diyo.
MAT.17.19	Koko ita tame gudlati alotle Yesu ya꞉ alotle tlalo sotapo miyelo popa꞉mama Yesu watle epo atlaiyo, “Di adipalati bataliyaye maseyemala tle alikili dla dodolomolowe dla itiyamale hawa halo?” diyo.
MAT.17.20	Epalati Yesuta asiyama yia꞉ watle epo atlaiyo, “Wua꞉ta mikadepe dleye pta yimka꞉sikili ikadepe. Epapele koko tle wua꞉ta bataliya i alikili dla dodolomoloweye itiyamale hawa halalepo. Epedeme na꞉ ikadepe koko wua꞉ dla atlema. Wua꞉ta mikadepe dleta dlomoko ale yimka꞉sikili epapele some wua꞉ dla me-hutiyelepiye, eta wua꞉ ala꞉na, tamali watle atlemama ‘ma huma tame polane’ dlepiye, mepapelepe. Epedeme koko haletapo wua꞉ dla pokokallowa. [ 
MAT.17.21	Amasiyama bataliya ipapeleye isikimi daya aiyalma depo halemama inoma sumale mate alikili dla dodolomlala.”]
MAT.17.22	Yesu ya꞉ alotle tlalo sota puame Ga꞉lili dla alupame ha꞉ha꞉lati Yesuta yia꞉ watle epo atlaiyo, “Opa Yamiye opa do tama dla homellepe. 
MAT.17.23	Epalati yia꞉tapo ya꞉ye yumilipe. Amasiyama ya꞉ye powame elepame ma dapahatlope alila dla ma pasakalo depame sila꞉tilipe.” Epalati Yesu ya꞉ alotle tlalo sotapo yu i dalepame sikemte dupa koliyo.
MAT.17.24	Epame matle Yesu mate epo ya꞉ alotle tlalo so mate tame Kapaniyem mo dla woyamalati aiyalma aya gadlowe koko dla ta꞉kis mani halomalalo sotapo Pita watle puame epo atlaiyo, “Wua꞉ imalalo oplamiye aiyalma aya gadlowe koko dla ta꞉kis mani hatitimdi?” diyo.
MAT.17.25	Epalati Pitata asiyama epo atlaiyo, “Yao, me-hatitimdepo,” diyo. Amasiyama Pita ala aya dulu dla tumhallati Yesuta ya꞉ watle epo atlaiyo, “Pita, wa꞉ koko iye na꞉ dla atlane. Ta꞉lamo dokopala sotapo opa anawolo tle ta꞉kis mani halomdi? Me-yia꞉ yimlala tle halomdi, o opa opi tle halomdi?” diyo.
MAT.17.26	Epalati Pitata asiyama epo atlaiyo, “Opa opi tle halomde,” diyo.
MAT.17.26	Epalati asiyama Yesuta epo atlaiyo, “Epedeme dokopala oplami ya꞉ yimlalatapo yia꞉ a watle ta꞉kis mani pohatitimolowa. 
MAT.17.27	Amasiyama di poka꞉dena, aiyalma aya gadlowe koko dla ta꞉kis mani halomalalo so iwolo dla siyaladle hamiloweye. Epapedeme wa꞉ tame kaula dla tudi pololepame amalo yelene. Epame ya꞉ mati gowalastame elo mani natilipe. Epame wa꞉ mani e hamtame yia꞉ dla ta꞉kis mani hamimama nolë mate epo wolë mate hatitimane,” diyo.
MAT.18.1	Alila oloma edla Yesu ya꞉ alotle tlalo sotapo puame Yesu watle epo atlaiyo, “Pepele dimo dulu dla anta pato halema꞉?” diyo.
MAT.18.2	Epalati Yesutapo maseyemala hale sisilapame yia꞉ dulu dla pamelepo halemama ya꞉ alotle tlalo so watle epo atlaiyo, 
MAT.18.3	“Na꞉ ikadepe koko wua꞉ watle atlema. Wua꞉ malamale meyelope depame maseyemala yimka꞉mala ipapele some poha꞉ha꞉lalo wekelepiye, wua꞉ Pepele dimo dla po-u-ulapo tuluwa. 
MAT.18.4	Epedeme oplami antapo maseyemala yimka꞉mala ipapele some ya꞉skamu isili dla hamtulupo hallepiye, ya꞉ye Pepele dimo dulu dla pato depo halapo.
