MAT.1.1	Este libro es el registro de Jesús el Mesías
LUK.5.30	“¿Por qué ustedes comen y beben con los recaudadores de impuestos y pecadores?”
LUK.5.31	“Las personas que están sanas no necesitan de un médico, pero las personas enfermas sí lo necesitan,” respondió Jesús. 
LUK.5.32	“No vine a llamar al arrepentimiento a los que viven en rectitud. Vine a llamar a los pecadores.”
LUK.5.33	“Bueno, los discípulos de Juan a menudo ayunan y oran, y los discípulos de los Fariseos también lo hacen. Pero tus discípulos no, ellos andan comiendo y bebiendo,” le dijeron.
LUK.5.34	“¿Acaso los invitados a la boda ayunan cuando el novio está con ellos?” preguntó Jesús. 
LUK.5.35	“No, pero viene el tiempo cuando el novio será quitado de en medio de ellos. Entonces ellos ayunarán.”
LUK.5.36	Entonces les contó un relato para enseñarles: “Nadie quita un parche de la ropa nueva para remendar la ropa vieja. De lo contrario se arruinaría la ropa nueva, y el parche no quedaría bien con la ropa vieja. 
LUK.5.37	Nadie echa vino nuevo en odres viejos, porque si lo hicieran, el vino nuevo rompería los odres. Entonces se dañaría tanto el vino como los odres. 
LUK.5.38	El vino nuevo se echa en odres nuevos. 
LUK.5.39	Y nadie, después de beber vino viejo quiere vino nuevo, pues dicen: ‘el vino viejo sabe mejor.’”
LUK.6.1	Sucedió que un sábado, mientras Jesús caminaba por los campos de trigo, sus discípulos comenzaron a recoger algunas espigas, frotándolas en sus manos
LUK.6.2	Entonces algunos de los Fariseos lo cuestionaron, diciéndole: “¿Por qué están ustedes haciendo lo que no está permitido hacer en sábado?”
LUK.6.3	Jesús respondió: “¿Ustedes nunca han leído lo que David hizo cuando él y sus hombres tuvieron hambre? 
LUK.6.4	¿Y cómo entró a la casa de Dios y tomó el pan consagrado? Lo comió, y lo dio a comer a sus hombres también. Eso tampoco está permitido. El pan consagrado es solo para los sacerdotes.”
LUK.6.5	Entonces les dijo: “El Hijo del hombre es Señor del sábado.”
LUK.6.6	Aconteció que otro sábado Jesús entró a enseñar en la sinagoga. Y había allí un hombre que tenía su mano derecha lisiada. 
LUK.6.7	Los maestros religiosos y los Fariseos estaban observando a Jesús atentamente para ver si sanaría en sábado. Porque ellos querían encontrar algún motivo para acusarlo.
LUK.6.8	Pero Jesús sabía lo que había en sus mentes. Entonces le dijo al hombre con la mano lisiada: “Levántate, y ponte en pie aquí delante de todos.” Y el hombre se levantó y se quedó allí en pie.
LUK.6.9	Entonces Jesús se dio vuelta hacia ellos y dijo: “Permítanme hacerles una pregunta: ¿Es legal hacer el bien en sábado, o el mal? ¿Salvar vidas o destruirlas?”
LUK.6.10	Y miró a su alrededor a todos los que estaban allí. Entonces le dijo al hombre: “Extiende tu mano.” Y el hombre lo hizo, y su mano volvió a estar como nueva. 
LUK.6.11	Pero ellos se enfurecieron, y comenzaron a analizar respecto a lo que podrían hacerle a Jesús.
LUK.6.12	Un día, poco tiempo después, Jesús subió a una montaña para orar. Allí se quedó toda la noche, orando a Dios. 
LUK.6.13	Cuando llegó la mañana, reunió a sus discípulos, y eligió a doce de ellos. Estos son los nombres de los apóstoles: 
LUK.6.14	Simón (también llamado Pedro por Jesús), Andrés su hermano, Santiago, Juan, Felipe, Bartolomé, 
LUK.6.15	Mateo, Tomás, Santiago el hijo de Alfeo, Simón el Revolucionario, 
LUK.6.16	Judas el hijo de Santiago, y Judas Iscariote (quien llegó a ser el traidor).
LUK.6.17	Jesús descendió de la montaña con ellos, y se detuvo en un lugar donde había una gran llanura. Estaban rodeados de una multitud de discípulos y muchas otras personas de toda Judea, de Jerusalén y de la costa de Tiro y Sidón. Y se habían reunido para escucharlo y para que los sanara de sus enfermedades. 
LUK.6.18	Los que estaban aquejados por espíritus malignos también eran sanados. 
LUK.6.19	Todos los que estaban en la multitud intentaban tocarlo, porque de él salía poder y los sanaba a todos.
LUK.6.20	Mirando a sus discípulos, Jesús les dijo: 
LUK.6.21	“Cuán felices ustedes los pobres, porque el reino de Dios es de ustedes. Cuán felices ustedes los que ahora tienen hambre, porque comerán todo lo que necesiten. Cuán felices ustedes los que ahora están llorando, porque reirán.
LUK.6.22	“Cuán felices ustedes cuando la gente los odie, los rechace, los insulte y maldiga sus nombres por mí, que soy el Hijo del hombre. 
LUK.6.23	Cuando llegue ese día, estén felices. Salten de alegría porque es grande la recompensa que tienen ustedes en el cielo. No olviden
LUK.6.24	“Pero cuánto pesar por ustedes los ricos, porque ya tienen su recompensa. 
LUK.6.25	“Cuánto pesar por los que ahora están saciados, porque estarán hambrientos. Cuánto pesar por ustedes los que ahora ríen, porque llorarán y se lamentarán. 
LUK.6.26	“Cuánto pesar por ustedes cuando todos los alaben. No olviden que sus ancestros también alabaron de esta manera a los falsos profetas.
LUK.6.27	“Pero yo les digo a todos ustedes que están oyendo: Amen a sus enemigos. Hagan el bien a quienes los odian. 
LUK.6.28	Bendigan a quienes los maldicen. Oren por quienes los maltratan. 
LUK.6.29	Si alguien los golpea en la mejilla, pongan la otra. Si alguien les quita el abrigo, no se opongan a que les quiten su camisa. 
LUK.6.30	Den a cualquiera que les pida. Si alguien les quita algo, no lo pidan de vuelta. 
LUK.6.31	Hagan con otros lo que quieren que hagan con ustedes.
LUK.6.32	“Si ustedes aman a quienes los aman, ¿por qué merecerían algún crédito por ello? Hasta los pecadores aman a quienes los aman. 
LUK.6.33	Si ustedes hacen el bien a quienes les hacen el bien, ¿Por qué merecerían algún crédito por eso también? Los pecadores también hacen eso. 
LUK.6.34	Si ustedes prestan dinero para que se lo devuelvan, ¿Por qué merecerían crédito por ello? Los pecadores también prestan dinero a otros pecadores, esperando que les devuelvan lo que prestaron. 
LUK.6.35	No. Amen a sus enemigos, háganles el bien, y presten sin esperar que les paguen. Entonces recibirán una gran recompensa, y ustedes serán los hijos del Altísimo, porque él es bueno con los ingratos y los malvados. 
LUK.6.36	Sean compasivos, como su Padre lo es.
LUK.6.37	“No juzguen
LUK.6.38	den, y recibirán de vuelta con generosidad. ¡Cuando a ustedes les den, será apretado, para que haya lugar para más, y estará desbordándose y derramándose en sus regazos! Porque lo mucho que ustedes den, determinará lo mucho que recibirán
LUK.6.39	Entonces ilustró este tema así: “¿Acaso puede un ciego guiar a otro ciego? ¿No caerían ambos en una zanja? 
LUK.6.40	¿Acaso los estudiantes saben más que el maestro? Solo cuando lo hayan aprendido todo, entonces serán semejantes a su maestro. 
LUK.6.41	¿Por qué te preocupas por la astilla que está en el ojo de tu hermano, cuando ni siquiera te das cuenta del tronco que está en tu propio ojo? 
LUK.6.42	¿Cómo puedes decirle a tu hermano: ‘Hermano, déjame sacar la astilla que tienes en tu ojo,’ cuando ni siquiera ves la tronco que tienes en tu propio ojo? ¡Hipócrita! Saca primero la tronco que tienes en tu ojo, y entonces podrás ver suficientemente bien para sacar la astilla del ojo de tu hermano.
LUK.6.43	“Un buen árbol no produce frutos malos, y un árbol malo no produce frutos buenos. 
LUK.6.44	Ustedes reconocen un árbol por los frutos que produce. Nadie recoge higos de un arbusto con espinas, ni cosecha uvas de una zarza. 
LUK.6.45	La gente buena produce lo que es bueno de las cosas buenas que ellos atesoran de lo que guardan por dentro. Las personas malas producen cosas malas de lo malo que guardan dentro de ellos. Lo que llena las mentes de las personas se evidencia en lo que dicen.
LUK.6.46	“¿Por qué, entonces, se molestan en llamarme ‘Señor, Señor,’ si no hacen lo que digo? 
LUK.6.47	Les daré el ejemplo de alguien que viene a mí, oye mi instrucción y la sigue. 
LUK.6.48	Esa persona es como el hombre que construye una casa. Cava un hueco y establece allí el fundamento sobre la roca sólida. Cuando se desborda el río y las aguas golpean contra aquella casa, la casa no se daña porque está bien construida. 
LUK.6.49	La persona que me oye pero no hace lo que yo digo es como un hombre que construye una casa sin fundamentos. Cuando la creciente viene contra la casa, la casa colapsa de inmediato, y queda completamente destruida.”
LUK.7.1	Cuando terminó de hablarle a la gente, Jesús se fue hacia Capernaúm. 
LUK.7.2	Allí vivía un centurión que tenía un siervo a quien apreciaba mucho y estaba enfermo, a punto de morir. 
LUK.7.3	Cuando el centurión oyó hablar de Jesús, envió a unos ancianos judíos donde Jesús estaba, pidiéndole que viniera a sanar a su siervo.
LUK.7.4	Cuando los ancianos llegaron donde estaba Jesús, le suplicaron de corazón, diciendo: “Por favor, ven y haz lo que él te pide. Él merece tu ayuda, 
LUK.7.5	porque ama a nuestro pueblo y construyó una sinagoga para nosotros.”
LUK.7.6	Jesús fue con ellos, y cuando se aproximaba a la casa, el centurión envió a unos amigos donde Jesús para que le dijeran: “Señor, no te molestes en venir a mi casa, porque no soy digno de ello. 
LUK.7.7	Ni siquiera creo que yo sea digno de ir a verte. Solo da la orden, y mi siervo será sanado. 
LUK.7.8	Porque yo mismo estoy bajo autoridad de mis superiores, y tengo soldados bajo mi autoridad también. Yo ordeno a uno que vaya, y él va, a otro le ordeno que venga, y él viene. Yo ordeno a mi siervo que haga algo, y él lo hace.”
LUK.7.9	Cuando Jesús oyó esto, se quedó estupefacto. Se dio vuelta hacia la multitud que lo seguía y dijo: “Les digo que no he encontrado una fe como esta ni siquiera en Israel.” 
LUK.7.10	Entonces los amigos del centurión regresaron a la casa y encontraron al siervo con buena salud.
LUK.7.11	Poco después de esto, Jesús fue a una ciudad llamada Naín, acompañado de sus discípulos y una gran multitud.
LUK.7.12	Cuando se acercaba a la puerta de la ciudad, venía en camino una procesión fúnebre. El hombre que había muerto era el único hijo de una viuda, y una enorme multitud de la ciudad la acompañaba. 
LUK.7.13	Cuando el Señor la vio se llenó de compasión por ella. “No llores,” le dijo. 
LUK.7.14	Jesús se dirigió hacia el ataúd, y los portadores del féretro se detuvieron.
LUK.7.14	Jesús dijo: “Joven, a ti te digo, levántate.” 
LUK.7.15	El hombre que estaba muerto se incorporó y comenzó a hablar, y Jesús lo entregó de regreso a su madre.
LUK.7.16	Todos los que estaban allí quedaron impresionados y alababan a Dios, diciendo: “Se ha levantado entre nosotros un gran profeta,” y “Dios ha visitado a su pueblo.” 
LUK.7.17	Y la noticia acerca de Jesús se difundió por toda Judea y sus alrededores.
LUK.7.18	Los discípulos de Juan le contaron todo esto a él. 
LUK.7.19	Entonces él llamó a dos de sus discípulos y les dijo que fueran a ver a Jesús, y le preguntaran: “¿Eres tú el que hemos estado esperando, o debemos esperar a otro?” 
LUK.7.20	Y cuando ellos llegaron donde Jesús, le dijeron: “Juan el Bautista nos envió donde ti, para preguntarte: ‘¿Eres tú el que hemos estado esperando o deberíamos esperar a otro?’”
LUK.7.21	Justo en ese momento Jesús sanó a muchas personas de sus enfermedades, de espíritus malignos e hizo ver a muchos ciegos.
LUK.7.22	Entonces Jesús le respondió a los discípulos de Juan: “Vayan y díganle a Juan lo que han visto y oído. Los ciegos ven, los cojos caminan, los leprosos son curados, los sordos oyen, los muertos han vuelto a vivir, y los pobres tienen la buena noticia. 
LUK.7.23	Cuán bueno es para los que no se ofenden por mi causa.”
LUK.7.24	Después que los mensajeros de Juan se fueron, Jesús comenzó a decir a la multitud: “Respecto a Juan: ¿Qué esperaban ver ustedes cuando salían a verlo en el desierto? ¿Una caña movida por el viento? 
LUK.7.25	¿Esperaban encontrar a un hombre vestido con ropas finas? No, los que usan ropas elegantes y viven con lujos se encuentran en los palacios. 
LUK.7.26	¿Buscaban a un profeta? Sí, él es un profeta, y les aseguro que él es más que un profeta.
LUK.7.27	“De él se escribió en la Escritura: ‘Mira, yo envío a mi mensajero para que vaya delante de ti y prepare tu camino.’
LUK.7.28	“¡Yo les digo a ustedes, ningún hombre nacido de mujer es más grande que Juan, pero incluso es menos importante en el reino de Dios es más grande que él!”
LUK.7.29	Cuando oyeron esto, todos—incluyendo los cobradores de impuestos—siguieron lo que Dios dijo que era lo correcto, pues habían sido bautizados por Juan. 
LUK.7.30	Pero los Fariseos y los maestros religiosos rechazaban lo que Dios quería que hicieran, porque se habían negado a ser bautizados por Juan.
LUK.7.31	“¿Con qué compararé a este pueblo?” preguntó Jesús. “¿A qué son semejantes? 
LUK.7.32	“Son como niños sentados en la plaza del mercado, diciéndose unos a otros: ‘Tocamos la flauta para ustedes y ustedes no bailaron; cantamos canciones pero ustedes no lloraron.’ 
LUK.7.33	Cuando Juan el Bautista vino, él no comía pan ni bebía vino, pero ustedes decían: está poseído por el demonio. 
LUK.7.34	Ahora está aquí el Hijo del hombre, y él come y bebe con las personas, pero ustedes dicen: ‘Miren, pasa el tiempo comiendo mucha comida y bebiendo mucho vino
LUK.7.35	¡Sin embargo, los caminos sabios de Dios son demostrados por todos aquellos que lo siguen!”
LUK.7.36	Uno de los Fariseos invitó a Jesús a comer con él. Y Jesús fue a la casa del Fariseo y se sentó a comer. 
LUK.7.37	Pero una mujer, que era una pecadora
LUK.7.38	Se arrodilló junto a Jesús y con sus lágrimas mojó sus pies, luego las secó con su cabello. Ella besó sus pies, y luego derramó el perfume sobre ellos.
LUK.7.39	Cuando el Fariseo que había invitado a Jesús vio esto, pensó: “Si este hombre realmente fuera un profeta, sabría quién es esta mujer que lo está tocando, y qué clase de persona fue. ¡Sabría que ella es una pecadora!”
LUK.7.40	Jesús alzó la voz y dijo: “Simón, tengo algo que decirte.”
LUK.7.40	“Dime, maestro,” respondió él.
LUK.7.41	“En cierta ocasión, dos personas le debían a un prestamista. Una persona debía quinientos denarios
LUK.7.42	Ninguna de las dos personas podía devolverle el dinero, así que el prestamista les perdonó las deudas. ¿Cuál de las dos personas lo amará más?”
LUK.7.43	“Aquella a la que le perdonó más, diría yo,” respondió Simón.
LUK.7.43	“Estás completamente en lo correcto,” dijo Jesús. 
LUK.7.44	Y dándose vuelta hacia la mujer, le dijo a Simón: “¿Ves a esta mujer? Cuando vine a tu casa, no me ofreciste agua para lavar mis pies. Pero ella ha lavado mis pies con sus lágrimas, y los ha secado con su cabello. 
LUK.7.45	Tú no me diste un beso, pero desde que llegué ella no ha parado de besar mis pies. 
LUK.7.46	Tú no ungiste mi cabeza con aceite
LUK.7.47	Así que yo te digo: sus muchos pecados han sido perdonados, por eso ella ama tanto
LUK.7.48	Entonces Jesús le dijo a la mujer: “Tus pecados han sido perdonados.”
LUK.7.49	Y los que estaban sentados comiendo allí comenzaron a hablar entre ellos, diciendo: “¿Quién es este que incluso perdona pecados?” 
LUK.7.50	Pero Jesús le dijo a la mujer: “Tu fe te ha salvado, vete en paz.”
LUK.8.1	Poco después de esto, Jesús fue por las ciudades y aldeas anunciando la buena noticia del reino de Dios. Los doce discípulos iban con él, 
LUK.8.2	junto con un grupo de mujeres que habían sido sanadas de espíritus malignos y enfermedades: María llamada Magdalena, de quien Jesús había expulsado siete demonios; 
LUK.8.3	Juana, la esposa de Chuza, quien era el administrador de Herodes; Susana; y muchas otras que contribuían con sus recursos personales.
LUK.8.4	En cierta ocasión se reunió una gran multitud que venía de muchas ciudades para verlo. Jesús les hablaba, usando relatos como ilustraciones. 
LUK.8.5	“Un granjero salió a sembrar su semilla. Mientras la esparcía, algunas cayeron en el camino, donde las personas las pisaban y las aves se las comían. 
LUK.8.6	Algunas cayeron sobre suelo rocoso, y cuando las semillas germinaron se marchitaron por falta de humedad. 
LUK.8.7	Algunas otras semillas cayeron entre espinos, y como crecieron juntos, los espinos ahogaron las plantas. 
LUK.8.8	Algunas semillas cayeron en buen suelo y después que crecieron produjeron una cosecha cien veces mayor de lo que se había sembrado.” Después que les dijo esto, exclamó: “¡Si ustedes tienen oídos, oigan!”
LUK.8.9	Pero sus discípulos le preguntaron: “¿Qué quiere decir esta ilustración?”
LUK.8.10	Jesús respondió: “A ustedes se les han dado entendimiento de los misterios del reino de Dios, pero a los demás se les han dado ilustraciones, de manera que ‘aunque ven, realmente no ven; y aunque oyen, realmente no entienden.’
LUK.8.11	“Este es el significado de la ilustración: la semilla es la palabra. 
LUK.8.12	Las semillas que caen en el camino son los que oyen el mensaje, pero el diablo se lleva la verdad de sus mentes a fin de que ellos no puedan confiar en Dios ni salvarse. 
LUK.8.13	Las semillas que caen en las rocas son aquellos que oyen y reciben el mensaje con alegría pero no tienen raíces. Creen por un tiempo pero cuando llegan momentos difíciles se rinden. 
LUK.8.14	Las semillas que caen entre los espinos son aquellos que oyen el mensaje pero es ahogado por las distracciones de la vida—preocupaciones, riqueza, placer— y no produce nada. 
LUK.8.15	Las semillas que son sembradas en buena tierra son aquellos que son honestos y hacen lo correcto. Ellos oyen el mensaje de la verdad, se aferran a él, y por su perseverancia producen buena cosecha.
LUK.8.16	“Nadie enciende una lámpara y luego la cubre con una cesta, o la esconde bajo la cama. No. Se coloca sobre un lugar alto para que todos los que entran puedan ver la luz. 
LUK.8.17	Porque no hay nada oculto que no sea revelado; no hay nada secreto que no llegue a saberse y sea obvio.
LUK.8.18	“Así que estén atentos a la manera como ‘oyen.’
LUK.8.19	Entonces la madre de Jesús y sus hermanos llegaron, pero no pudieron pasar en medio de la multitud para verlo. 
LUK.8.20	Entonces le dijeron a Jesús: “Tu madre y tus hermanos están afuera. Quieren verte.”
LUK.8.21	“Mi madre y mis hermanos son aquellos que oyen la palabra de Dios y hacen lo que ella dice,” respondió Jesús.
LUK.8.22	Un día Jesús dijo a sus discípulos: “Crucemos al otro lado del lago.” Así que se subieron a un bote y partieron. 
LUK.8.23	Mientras navegaban, Jesús se durmió, y llegó una tormenta sobre el lago. El bote comenzó a inundarse y corrían peligro de hundirse. 
LUK.8.24	Entonces ellos fueron donde estaba Jesús y lo despertaron. “Maestro, maestro, ¡vamos a ahogarnos!” dijeron ellos. Jesús entonces se despertó y ordenó al viento y a las fuertes olas que se detuvieran. Y se detuvieron, y todo quedó en calma.
LUK.8.25	“¿Dónde está su confianza?” les preguntó. Aterrorizados y sorprendidos, ellos se decían unos a otros: “Pero ¿quién es este? ¡Da órdenes a los vientos y a las aguas y éstos le obedecen!”
LUK.8.26	Entonces navegaron y atravesaron la región de Gerasene, que estaba al otro lado de Galilea. 
LUK.8.27	Cuando Jesús descendió del bote a la orilla, un hombre poseído por un demonio vino desde la ciudad a verlo. Por mucho tiempo no había usado ropas ni había vivido en casa alguna. Vivía en las tumbas. 
LUK.8.28	Cuando vio a Jesús gritó, se lanzó a los pies de Jesús y le preguntó en voz alta: “¿Qué quieres conmigo, Jesús, Hijo del Dios Altísimo? ¡Por favor, no me tortures, te lo ruego!” 
LUK.8.29	Pues Jesús ya le había ordenado al espíritu maligno que saliera del hombre. A menudo se apoderaba de él, y a pesar de estar atado con cadenas y grilletes, y puesto bajo guardia, él rompía las cadenas y era llevado por el demonio a regiones desiertas.
LUK.8.30	“¿Cuál es tu nombre?” le preguntó Jesús. “Legión,”
LUK.8.31	Ellos le rogaban a Jesús que no los mandara al Abismo
LUK.8.32	Y había un enorme hato de cerdos que comían junto a la ladera, y los demonios le suplicaron que les permitiera entrar en los cerdos. Entonces Jesús les dio permiso, 
LUK.8.33	así que ellos dejaron al hombre y entraron en los cerdos. El hato de cerdos salió corriendo por la pendiente empinada hacia el lago y los cerdos se ahogaron.
LUK.8.34	Cuando los cuidadores de cerdos vieron lo que había ocurrido, salieron corriendo y difundieron la noticia por toda la ciudad y el campo. 
LUK.8.35	El pueblo salió a ver lo que había ocurrido. Cuando vinieron donde estaba Jesús, encontraron al hombre libre de demonios. Estaba sentado a los pies de Jesús, usando ropas y en su sano juicio; y se asustaron. 
LUK.8.36	Los que habían visto lo ocurrido explicaron cómo había sido curado el hombre endemoniado. 
LUK.8.37	Entonces toda la gente de la región de Gerasene le pidió a Jesús que se fuera porque estaban abrumados por el temor. Entonces Jesús entró al bote y regresó. 
LUK.8.38	El hombre que había sido liberado de los demonios le suplicó que lo dejara ir con él, pero Jesús le ordenó que se marchara: 
LUK.8.39	“Regresa a casa, y cuéntale a la gente todo lo que Dios ha hecho por ti,” le dijo Jesús. Así que él se fue, contándole a toda la ciudad todo lo que Jesús había hecho por él.
LUK.8.40	Había allí una multitud de personas para recibir a Jesús cuando regresara, y todos estaban esperándolo con entusiasmo. 
LUK.8.41	Uno de ellos era un hombre llamado Jairo, quien era líder de una sinagoga. Él vino y se postró ante los pies de Jesús. Le suplicó que viniera a su casa 
LUK.8.42	porque su única hija estaba muriendo. Y ella tenía aproximadamente doce años de edad.
LUK.8.42	Aunque Jesús iba de camino, las personas iban amontonándose a su alrededor. 
LUK.8.43	Entre la multitud había una mujer que había sufrido de sangrado durante doce años. Y había gastado todo lo que tenía en médicos, pero ninguno de ellos había podido ayudarla. 
LUK.8.44	Ella se acercó a Jesús por detrás y tocó el borde de su manto. E inmediatamente el sangrado se detuvo.
LUK.8.45	“¿Quién me tocó?” preguntó Jesús. Todos los que lo rodeaban negaron haberlo hecho.
LUK.8.45	“Pero Maestro,” dijo Pedro, “hay mucha gente aglomerada a tu alrededor, y todos empujan hacia ti.”
LUK.8.46	“Alguien me tocó,” respondió Jesús. “Lo sé porque salió poder de mí.”
LUK.8.47	Cuando la mujer se dio cuenta de que lo que había hecho no quedaría inadvertido, pasó al frente, temblando, y se postró delante de Jesús. Justo allí frente a todos ella explicó la razón por la que había tocado a Jesús, y que había sido curada de inmediato.
LUK.8.48	Jesús le dijo: “Hija, tu fe te ha sanado, vete en paz.”
LUK.8.49	Mientras aún hablaba, alguien vino de la casa del líder de la sinagoga para decirle: “Tu hija murió. Ya no necesitas molestar más al maestro.”
LUK.8.50	Pero cuando oyó esto, Jesús le dijo a Jairo: “No tengas miedo. Si crees, ella será sanada.”
LUK.8.51	Cuando Jesús llegó a la casa, no permitió que nadie más entrara, excepto Pedro, Juan y Santiago, y el padre y la madre de la niña. 
LUK.8.52	Todas las personas que estaban allí lloraban y se lamentaban por ella.
LUK.8.52	“No lloren,” les dijo Jesús. “Ella no está muerta, solo está durmiendo.” 
LUK.8.53	Entonces ellos se rieron de él, porque sabían que ella estaba muerta. 
LUK.8.54	Pero Jesús la tomó de la mano, y dijo en voz alta: “Hija mía, ¡levántate!”
LUK.8.55	Entonces ella volvió a vivir
LUK.8.56	Sus padres estaban asombrados por lo que había sucedido, pero Jesús les dio instrucciones de no contarle a nadie sobre ello.
LUK.9.1	Jesús reunió a sus doce discípulos. Y les dio poder y autoridad sobre todos los demonios, y el poder para sanar enfermedades. 
LUK.9.2	Entonces los envió para que proclamaran el reino de Dios y para que sanaran a los enfermos.
LUK.9.3	“No lleven nada para el viaje,” les dijo. “No lleven bastón, no lleven bolsas, no lleven pan, no lleven dinero, ni siquiera ropa adicional. 
LUK.9.4	Cualquier casa en la que entren, quédense allí, y cuando deban irse, váyanse de allí. 
LUK.9.5	Si la gente se niega a aceptarlos, sacudan el polvo de sus pies cuando abandonen la ciudad como una advertencia contra ellos.” 
LUK.9.6	Entonces ellos partieron y se fueron a las aldeas, anunciando la buena noticia y sanando por dondequiera que iban.
LUK.9.7	Herodes el tetrarca había oído sobre todas las cosas que estaban pasando
LUK.9.8	otros decían que había aparecido Elías; y también había otros que decían que uno de los antiguos profetas había vuelto a vivir.
LUK.9.9	Herodes dijo: “No hay duda
LUK.9.10	Cuando los apóstoles regresaron, le informaron a Jesús lo que habían hecho. Entonces él se fue con ellos y se dirigieron a una ciudad llamada Betsaida. 
LUK.9.11	Sin embargo, las multitudes lo encontraron cuando se iba y lo siguieron. Él los recibió y les explicó el reino de Dios, y sanó a todos los que necesitaban ser sanados.
LUK.9.12	Siendo más tarde ese día, los doce discípulos vinieron donde él estaba y le dijeron: “Debes despedir ahora a la multitud para que puedan ir a las aldeas y encuentren un lugar donde quedarse y alimento para comer, pues estamos alejados de todo aquí.”
LUK.9.13	“¡Dénles ustedes de comer!” dijo Jesús.
LUK.9.13	“Lo único que tenemos son cinco panes y dos peces, a menos que quieras que vayamos y compremos alimento para todos,” dijeron ellos. 
LUK.9.14	Y había aproximadamente cinco mil hombres allí.
LUK.9.14	“Siéntenlos en grupos de aproximadamente cincuenta personas,” dijo a sus discípulos. 
LUK.9.15	Los discípulos lo hicieron y todos se sentaron. 
LUK.9.16	Entonces Jesús tomó los cinco panes y los dos peces, y alzando su vista al cielo, bendijo el alimento y lo partió en pedazos. Y continuó entregando el alimento a los discípulos para que lo compartieran con la gente. 
LUK.9.17	Todos comieron hasta que quedaron saciados, y luego se recogieron doce canastas con lo que quedó.
LUK.9.18	En otra ocasión, cuando Jesús estaba orando en privado solamente con sus discípulos, les preguntó: “Toda esta multitud de personas, ¿quién dicen que soy?”
LUK.9.19	“Algunos dicen que eres Juan el Bautista, otros dicen que Elías, y todavía otros dicen que eres uno de los antiguos profetas que resucitó de entre los muertos,” respondieron ellos.
LUK.9.20	“¿Y ustedes?” preguntó él. “¿Quién dicen ustedes que soy yo?”
LUK.9.20	“El Mesías de Dios,” respondió Pedro.
LUK.9.21	Entonces Jesús les dio instrucciones estrictas de no contarle a nadie sobre ello. 
LUK.9.22	“El Hijo del hombre tendrá que experimentar horribles sufrimientos,” dijo. “Será rechazado por los ancianos, por los jefes de los sacerdotes, y por los maestros religiosos. Lo matarán, pero el tercer día se levantará de nuevo.”
LUK.9.23	“Si alguno de ustedes quiere seguirme debe negarse así mismo, tomar su cruz diariamente, y seguirme,” les dijo Jesús a todos ellos. 
LUK.9.24	“Porque si ustedes quieren salvar sus vidas, la perderán; y si pierden su vida por mi causa, la salvarán. 
LUK.9.25	¿Qué valor tiene que ganen el mundo entero si al final terminan perdidos o destruidos? 
LUK.9.26	Si ustedes se avergüenzan de mí y de mi mensaje, el Hijo del hombre se avergonzará de ustedes cuando venga en su gloria, y en la gloria del Padre, junto a los santos ángeles. 
LUK.9.27	Les digo la verdad, algunos de los que están aquí no probarán la muerte hasta que vean el reino de Dios.”
LUK.9.28	Aproximadamente ocho días después de haberles dicho esto, Jesús llevó consigo a Pedro, Juan y Santiago y subió a una montaña para orar. 
LUK.9.29	Mientras oraba, la apariencia de su rostro cambió, y su ropa se volvió blanca, tanto que deslumbraba a la vista. 
LUK.9.30	Entonces aparecieron dos hombres rodeados de una gloria brillante. Eran Moisés y Elías, y comenzaron a hablar con Jesús. 
LUK.9.31	Hablaban de su muerte
LUK.9.32	Pedro y los otros dos discípulos estaban dormidos. Cuando se despertaron vieron a Jesús en su gloria, y a los dos hombres que estaban de pie junto a él. 
LUK.9.33	Cuando los dos hombres estaban a punto de marcharse, Pedro le dijo a Jesús, “Maestro, es grandioso estar aquí. Hagamos unos refugios: uno para ti, uno para Moisés, y uno para Elías.” Pero Pedro en realidad no sabía lo que estaba diciendo.
LUK.9.34	Mientras aún hablaba, vino una nube y los cubrió. Y ellos estaban aterrorizados mientras la nube los cubría.
LUK.9.35	Y una voz habló desde la nube, diciendo: “Este es mi Hijo, el Escogido. ¡Escúchenlo a él!” 
LUK.9.36	Y cuando la voz terminó de hablar, Jesús estaba solo. Ellos se guardaron esto, y no le contaron a nadie en ese momento sobre lo que habían visto.
LUK.9.37	Al día siguiente, cuando ya habían descendido de la montaña, una gran multitud estaba esperando para ver a Jesús. 
LUK.9.38	Y un hombre que estaba entre la multitud gritó: “Maestro, por favor, mira a mi hijo. Es mi único hijo. 
LUK.9.39	Pero un espíritu toma posesión de él y comienza a gritar, haciéndolo convulsionar y botar espuma por la boca. Casi nunca lo deja en paz y le causa mucho sufrimiento. 
LUK.9.40	Le rogué a tus discípulos que lo expulsaran, pero no pudieron hacerlo.”
LUK.9.41	“¡Qué pueblo tan incrédulo y corrupto son ustedes! ¿Hasta cuándo tendré que estar aquí con ustedes y soportarlos?” dijo Jesús. “Trae aquí a tu hijo.” 
LUK.9.42	Incluso cuando el niño se aproximaba, el demonio lo hizo convulsionar, lanzándolo al suelo. Pero Jesús intervino, reprendiendo al espíritu maligno y sanando al niño, y luego lo entregó de vuelta a su padre. 
LUK.9.43	Todos estaban asombrados por esta demostración del poder de Dios. Sin embargo, aunque todos estaban impresionados por todo lo que él hacía, Jesús les advirtió a sus discípulos: 
LUK.9.44	“Escuchen con atención lo que les digo: el Hijo del hombre está a punto de ser entregado en manos de hombres.”
