GEN.1.1	En 
DEU.24.7	¶ Quando fuere hallado alguno que aya hurtado perſona de ſus hermanos los hijos de Iſrael, y ouiere mercadeado con ella, o la ouiere vendido, el tal ladron morirá, y quitarás el mal de en medio de ti.
DEU.24.8	¶ Guardate de llaga de lepra, guardãdo mucho y haziẽdo ſegun todo loque os enseñaren los sacerdotes Leuitas: 
DEU.24.9	Acuerdate de loque hizo Iehoua tu Dios à Maria en el camino deſpues que ſalistes de Egypto.
DEU.24.10	¶ Quando dieres à tu proximo alguna coſa 
DEU.24.11	Euera estarás, y el hombre a quien prestaste, te sacará à fuera la prenda. 
DEU.24.12	Y ſi fuere hombre pobre, no duermas con ſu prenda. 
DEU.24.13	Boluiendo le boluerás la prenda quãdo el Sol ſe põga, porque duerma en ſu ropa, y bendezirteha, y a ti ſerá justicia delãte de Iehoua tu Dios.
DEU.24.14	¶ 
DEU.24.15	En ſu dia ledarás ſu jornal, y el sol nose pondrá ſobre el, porque pobre es, y con el sustenta ſu vida: porque no clame contra ti à Iehoua, y ſea en ti peccado.
DEU.24.16	¶ 
DEU.24.17	¶ No torcerás el derecho del peregrino y del huerfano: ni tomarás por prenda la ropa de la biuda. 
DEU.24.18	Mas acuerdate que fueste sieruo en Egypto, y de alli te rescató Iehoua tu Dios: por tanto 
DEU.24.19	¶ 
DEU.24.20	Quando sacudieres tus oliuas, no ramonearás tras ti: del estrangero, y del huer fano, y de la biuda ſerá: 
DEU.24.21	Quãdo vendimiares tu viña no rebuscarás tras ti, del estrãgero, y del huerfano, y de la biuda ſerá. 
DEU.24.22	Y acuerdate que fueste sieruo en tierra de Egypto: por tanto 
DEU.25.1	Qvando ouiere pleyto entre algunos, y vinierẽ à juyzio, y los juzgaren, y 
DEU.25.2	Será, 
DEU.25.3	Quarenta 
DEU.25.4	¶ 
DEU.25.5	¶ 
DEU.25.6	Y ſerá, 
DEU.25.7	Y ſi el hombre no quisiere tomar à ſu cuñada, entonces ſu cuñada vendrá 
DEU.25.8	Entonces los Ancianos de aquella ciudad lo haran venir, y hablarán con el: y el ſe leuantará, y dirá, Y
DEU.25.9	Y ſu cuñada ſe llegarâ à el delante de los Ancianos, y descalçarlehá ſu çapato de ſu pie, y escupirlehá en el rostro, y hablará, y dirâ, Ansi 
DEU.25.10	Y 
DEU.25.11	¶ Quando algunos riñeren juntos el vno con el otro, y llegare la muger del vno para librar à ſu marido de mano del que lo hiere, y metiere ſu mano, y le trauare de ſus verguenças, 
DEU.25.12	Entonces cortarlehás la mano, no perdonará tu ojo.
DEU.25.13	¶ 
DEU.25.14	No tendrás en tu caſa epha grande y epha chica. 
DEU.25.15	Pesas cumplidas y justas tendrás: epha cumplida y justa tendrás: paraque tus dias ſean prolongados ſobre la tierra, que Iehoua tu Dios te da. 
DEU.25.16	Porque abominacion es à Iehoua tu Dios qualquiera que haze eſto, qualquiera que haze tuerto.
DEU.25.17	¶ 
DEU.25.18	Que te ſalió al camino, y te desguarnecio la retaguarda de todos los flacos que 
DEU.25.19	Y ſerá, 
DEU.26.1	Y Será 
DEU.26.2	Entonces tomarás de las primicias de todos los frutos de la tierra, que truxeres de tu tierra, que Iehoua tu Dios te dá, y põdrás en vn canastillo, y yrás àl lugar que le houa tu Dios escogiere, para hazer habitar alli ſu nombre, 
DEU.26.3	Y vendrás àl Sacerdote que fuere en aquellos dias, y dezirlehás, 
DEU.26.4	Y el Saoerdote tomará el canastillo de tu mano, y ponerlohá delante del altar de Iehoua tu Dios. 
DEU.26.5	Y 
DEU.26.6	Y los Egypcios nos maltrataron, y nos affligieron, y puſieron ſobre noſotros dura ſeruidumbre. 
DEU.26.7	Y clamamos à Iehoua Dios de nuestros padres, y oyó Iehoua nueſtra boz, y vido nueſtra afflicion, y nuestro trabajo, y nueſtra oppreſsion: 
DEU.26.8	Y sacónos Iehoua de Egypto con mano fuerte y con braço estendido, y con espanto grande, y con ſeñales y con milagros, 
DEU.26.9	Y truxonos à eſte lugar, y dionos eſta tierra, tierra 
DEU.26.10	Y aora heaqui he traydo las primicias del fruto de la tierra que me diſte ô Iehoua. Y dexarlohás delante de Iehoua tu Dios y inclinartehás delante de Iehoua tu Dios. 
DEU.26.11	Y alegrartehás con todo el bien que Iehoua tu Dios te ouiere dado 
DEU.26.12	¶ Quando ouieres acabado de dezmar todo el diezmo de tus frutos enel año tercero, 
DEU.26.13	Y dirás delante de Iehoua tu Dios, Y
DEU.26.14	No he comido deella en miluto, ni he sacado deella en immundicia, ni he dado deella para mortuorio: obedecido hé à la boz de Iehoua mi Dios, hecho hé conforme à todo loque me has mandado. 
DEU.26.15	Mira desde la morada de tu sanctidad, desde el cielo, y bendize à tu pueblo Iſrael, y à la tierra que nos has dado, como juraste à nuestros padres, tierra que corre leche y miel.
DEU.26.16	¶ Iehoua tu Dios te manda oy, que hagas estos estatutos y derechos: guarda pues que los hagas con todo tu coraçon, y con toda tu anima. 
DEU.26.17	A Iehoua has ensalçado oy paraser à ti por Dios, y para andar en ſus caminos, y para guardar ſus estatutos y ſus mandamientos, y ſus derechos, y para oyr ſu boz. 
DEU.26.18	Y Iehoua te há ensalçado oy para ſer à el por pueblo singular, como el te lo ha dicho, y para guardar todos ſus mandamientos: 
DEU.26.19	Y para ponerte alto ſobre todas las gentes que hizo, 
DEU.27.1	Y Mandó Moyſen y los ancianos de Iſrael àl pueblo, diziendo, Guardareys todos los mandamientos, que yo os mando oy: 
DEU.27.2	Y ſerá, 
DEU.27.3	Y escriuirás en ellas todas las palabras deesta Ley, quando ouieres paſſado para entrar en la tierra que Iehoua tu Dios te dá, tierra que corre leche y miel, como Iehoua el Dios de tus padres te ha dicho. 
DEU.27.4	Y ſerá, 
DEU.27.5	Y edificarás alli altar à Iehoua tu Dios, altar de piedras: no alçarás ſobre ellas 
DEU.27.6	De piedras enteras edificarás el altar de Iehoua tu Dios, y offrecerás ſobre el holocaustos à Iehoua tu Dios: 
DEU.27.7	Y sacrificarás pacificos, y comerás alli, y alegrartehás delante de Iehoua tu Dios. 
DEU.27.8	Y escriuirás 
DEU.27.9	Y habló Moyſen, y los sacerdotes Leuitas à todo Iſrael, diziendo, Escucha y oye Iſrael, Oy eres hecho pueblo de Iehoua tu Dios. 
DEU.27.10	Oyrás pues la boz de Iehoua tu Dios, y harás ſus mandamientos y ſus estatutos, que yo te mando oy.
DEU.27.11	¶ Y mãdó Moyſen àl pueblo en aquel dia diziendo, 
DEU.27.12	Estos estarán para bendezir el pueblo 
DEU.27.13	Y estos estarán 
DEU.27.14	Y hablarán los Leuitas, y dirán à todo varon de Iſrael à alta boz, 
DEU.27.15	Maldito el varon que hiziere 
DEU.27.16	Maldito el que deshonrrare à ſu padre o à ſu madre. Y dirá todo el pueblo, Amen. 
DEU.27.17	Maldito el que 
DEU.27.18	Maldito el que hiziere errar àl ciego en el camino. Y dirá todo el pueblo, Amen. 
DEU.27.19	Maldito el que torciere el derecho del estrangero, del huerfano, y de la biuda. Y dira todo el pueblo, Amen. 
DEU.27.20	Maldito el que ſe echare con la muger de ſu padre, porquanto descubrio el manto de ſu padre. Y dirá todo el pueblo, Amen. 
DEU.27.21	Maldito el que tuuiere parte cõ qualquiera bestia. Y dirá todo el pueblo, Amen. 
DEU.27.22	Maldito el que ſe echare cõ ſu hermana, hija de ſu padre, o hija de ſu madre. Y dirá todo el pueblo, Amen. 
DEU.27.23	Maldito el que ſe echare cõ ſu suegra. Y dirá todo el pueblo, Amen. 
DEU.27.24	Maldito el que hiriere à ſu proximo ocultamente. Y dira todo el pueblo, Amẽ. 
DEU.27.25	Maldito el que recibiere don para herir 
DEU.27.26	Maldito el que no confirmare las palabras de eſta Ley para hazerlas. Y dirá todo el pueblo, Amen.
DEU.28.1	Y 
DEU.28.2	Y vendrán ſobre ti todas estas bendiciones, y alcançartehan, quando oyeres la boz de Iehoua tu Dios. 
DEU.28.3	Bendito 
DEU.28.4	Bendito el fruto de tu vientre, y el fruto de tu tierra, y el fruto de tu bestia: la cria de tus vacas, y los rebaños de tus ouejas. 
DEU.28.5	Bendito tu canastillo, y tus, sobras. 
DEU.28.6	Bendito serás en tu entrar, y bendito serás en tu ſalir. 
DEU.28.7	Dará Iehoua tus enemigos, que ſe leuãtaren contra ti, heridos delante de ti: por vn camino saldrán à ti, y por ſiete caminos huyran delante de ti. 
DEU.28.8	Embiará Iehoua contigo à la bendiciõ en tus cilleros, y en todo aquello en que pusieres tu mano, y bendezirtehá en la tierra que Iehoua tu Dios te da. 
DEU.28.9	Cõfirmarteha Iehoua por pueblo sancto suyo, como te ha jurado, quando guardares los mandamiẽtos de Iehoua tu Dios, y anduuieres en ſus caminos, 
DEU.28.10	Y verã todos los pueblos de la tierra, que el nombre de Iehoua es llamado ſobre ti, y temertehan. 
DEU.28.11	Y hazertehá Iehoua que te ſobre el bien en el fruto de tu vientre, y en el fruto de tu bestia, y en el fruto de tu tierra, ſobre la tierra que juró Iehoua à tus padres que te auia de dar. 
DEU.28.12	Abrirtehá Iehoua ſu buẽ cillero, el cielo, para dar lluuia á tu tierra en ſu tiempo, y para bendezir toda obra de tus manos: y prestarás à muchas gentes, y tu no tomarás emprestádo. 
DEU.28.13	Y ponerteha Iehoua 
DEU.28.14	Y no te apartes de todas las palabras que yo os mãdo oy, à diestra ni à siniestra, para yr tras dioses agenos para seruirles.
DEU.28.15	¶ 
DEU.28.16	Maldito 
DEU.28.17	Maldito tu canastillo, y tus sobras. 
DEU.28.18	Maldito el fruto de tu vientre, y el fruto de tu tierra, y la cria de tus vacas, y los rebaños de tus ouejas. 
DEU.28.19	Maldito serás en tu entrar, y maldito en tu ſalir. 
DEU.28.20	Iehoua embiará en ti la maldicion, quebranto y aſſombramiento en todo quãto pusieres mano y hizieres, haſta que seas destruydo, y perezcas presto 
DEU.28.21	Iehoua hara que ſe te pegue 
DEU.28.22	Iehoua te herirá de Pthysica, y de siebre, y de ardor, y de calor, y de chuchillo, y de Hydropesia, y de Ythericia, y perseguirtehán haſta que perezcas. 
DEU.28.23	Y tus cielos, que eſtan ſobre tu cabe ça, serán de metal, y la tierra que eſta debaxo de ti, de hierro. 
DEU.28.24	Dará Iehoua 
DEU.28.25	Iehoua 
DEU.28.26	Y ſerá tu cuerpo por comida à toda aue del cielo, y bestia de la tierra, y no 
DEU.28.27	Iehoua te herirâ de la plaga de Egypto y con almorrhanas, y con sarna, y con rosia de que no puedas ſer curado. 
DEU.28.28	Iehoua te herirá con locura y con ceguedad, y con pasmo de coraçon. 
DEU.28.29	Y palparás àl mediodia, como palpa el ciego en la escuridad, y no serás prosperado en tus caminos y serás solamente opprimido y robado todos los dias, y no 
DEU.28.30	Desposartehás con muger, y otro varon dormirá con ella: edificarás caſa, y no habitarás enella: plãtarás viña, y no la 
DEU.28.31	Tu buey ſerá matado delante de tus ojos, y tu no comerás del: tu asno 
DEU.28.32	Tus hijos y tus hijas serán entregados à otro pueblo, y tus ojos lo verán, y desfallecerán por ellos 
DEU.28.33	El fruto de tu tierra y todo tu trabajo comerá pueblo que no conociste: y solamente seràs opprimido y quebrantado todos los dias. 
DEU.28.34	Y en loquecerás à cauſa
DEU.28.35	Herirteha Iehoua cõ mala sarna en las rodillas y en las piernas, que no puedas ſer curado, desde la planta de tu pie haſta tu mollera. 
DEU.28.36	Iehoua lleuará à ti y à tu rey que ouie res pueſto ſobre ti à gente que no conociste tu ni tus padres, y allá seruirás à dioses age nos,
DEU.28.37	Y serás 
DEU.28.38	Sacarás mucha ſimiente à la tierra, y cogerás poco, porque la lãgosta lo cõsumirá. 
DEU.28.39	Plantaras viñas y labrarâs, mas no beuerás vino, ni cogerás, porque el gusano lo comerá. 
DEU.28.40	Tendrás oliuas en todo tu termino, mas no te vngirás con el azeyte: porque tu azeytuna ſe caerá. 
DEU.28.41	Hijos y hijas egẽdrarás, y no serán para ti, porque yrán en captiuerio. 
DEU.28.42	Toda tu arboleda y el fruto de tu tierra consumirá la langosta. 
DEU.28.43	El estrangero que estará en medio de ti subirá ſobre ti encima, encima: y tu decendiras abaxo abaxo. 
DEU.28.44	El te prestará à ti, y tu no prestarás à el:
DEU.28.45	Y vendrán ſobre ti todas estas maldiciones, y perseguirtehán, y àlcançartehán haſta que perezcas: porquanto no aurás oydo à la boz de Iehoua tu Dios guardando ſus mandamientos y ſus estatutos, que el te mandó. 
DEU.28.46	Y 
DEU.28.47	Porquanto no seruiste à Iehoua tu Dios con alegria y cõ goz o de coraçõ por la abundancia de todas las coſas. 
DEU.28.48	Y seruirás à tus enemigos, que Iehoua embiare contra ti, con hãbre y cõ sed, y cõ desnudez, y cõ falta de todas las coſas: y el pondrá 
DEU.28.49	Iehoua traerá ſobre ti gente de lexos, del cabo de la tierra, que buele como aguila, gente cuya lengua no entiendas. 
DEU.28.50	Gente 
DEU.28.51	Y comerá el fruto de tu bestia y el fruto de tu tierra haſta que perezcas: y no te dexará grano, ni mosto, ni azeyte, ni la cria de tus vacas, ni los rebaños de tus ouejas haſta destruyrte. 
DEU.28.52	Y ponerteha cerco en todas tus ciudades, hastaque caygan tus muros altos y en castillados, en que tu confias, en toda tu tierra: y cercarteha en todas tusciudades y en toda tu tierra, que Iehoua tu Dios te dió. 
DEU.28.53	Y comerás el fruto de tu viẽtre, la carne de tus hijos y de tus hijas, que Iehoua tu Dios te dió, en el cerco y en el angustia cõ que te angustiará tu enemigo. 
DEU.28.54	El hõbre tierno en ti y el muy delicado, 
DEU.28.55	Para no dar à alguno deellos de la carne de ſus hijos, que el comerá, porqueno le aurá 
DEU.28.56	La tierna en ti y la delicada, que nunca la planta de ſu pie prouó à eſtar 
DEU.28.57	Y para cõ ſu chiquita que sale 
DEU.28.58	Si no guardâres para hazer todas las palabras de aquesta Ley, que estã escriptas en eſte libro, temiendo eſte Nombre glorioso y terrible, Iehoua tu Dios. 
DEU.28.59	Iehoua 
DEU.28.60	Y hará boluer en ti todos los dolores de Egypto delante de los quales temiste, y pegarsehán en ti. 
DEU.28.61	Ansi mismo toda enfermedad y toda plaga, que no eſtá escripta en el libro de eſta Ley, Iehoua la embiará ſobre ti, haſta que tu seas destruydo. 
DEU.28.62	Y que dareys en pocos varones, en lugar de auer sido como las eſtrellas del cielo en multitud: por quanto no obedeciste à la boz de Iehoua tu Dios. 
DEU.28.63	Y ſerá, 
DEU.28.64	Y esparzirteha Iehoua por todos los pueblos desde el 
DEU.28.65	Y ni aun en las mismas Gentes reposarás, ni la planta de tu pie tendrá repoſo: que 
DEU.28.66	Y tendrás tu vida colgada delante, y estarás temeroso de noche y de dia, y no confiarás de tu vida. 
DEU.28.67	Por la mañana dirás, Quien dieſſe la tardé. Y à la tarde dirás, Quien dieſſe la mañana: del miedo de tu coraçon conque estarás amedrentado: y de loque veran tus ojos. 
DEU.28.68	Y Iehoua te hará tornar à Egypto en nauios, por el camino del qual te ha dicho, Nunca mas boluerás à verlo: y alli os venderán à vuestros enemigos por esclauos y por esclauas, y no aurá quien 
DEU.29.1	ESTas 
DEU.29.2	Moyſen pues llamó à todo Iſrael, y dixoles,
DEU.29.3	Las prueuas grandes que vieron tus ojos, las ſeñales, y las grandes marauillas. 
DEU.29.4	Y nunca Iehoua os dió coraçon para entender, ni ojos para ver, ni orejas para oyr, haſta oy. 
DEU.29.5	Y 
DEU.29.6	Nunca comistes pan, ni beuistes vino ni sidra, porque supiessedes que yo 
DEU.29.7	Y llegastes à eſte lugar, y ſalió Sehon rey de Hesebon, y Og rey de Basan delante de noſotros para pelear, y herimoslos: 
DEU.29.8	Y tomamos ſu tierra, y dimosla por heredad à Ruben y à Gad, y àl medio tribu de Manaſſe. 
DEU.29.9	Guardareys pues 
DEU.29.10	Vosotros todos estays oy delante de Iehoua vuestros Dios, vuestros principes de vuestros tribus, vuestros ancianos, y vuestros alcaldes, todos los varones de Iſrael: 
DEU.29.11	Vuestros niños, vuestras mugeres, y tus estrangeros que habitan en medio de tu campo, desde el que corta tu leña haſta el que saca tus aguas: 
DEU.29.12	Para que 
DEU.29.13	Para confirmarte oy por ſu pueblo, y que el te ſea à ti por Dios, de la manera que el te ha dicho, y de la manera que el juró à tus padres Abraham, Iſaac, y Iacob. 
DEU.29.14	Y no con vosotros solos conciérto yo eſte Concierto, y eſte juramento, 
DEU.29.15	Mas con los que eſtan aqui estantes oy con noſotros delante de Iehoua nuestro Dios, y con los que no eſtan aqui oy con noſotros. 
DEU.29.16	Porque vosotros sabeys como habitamos en la tierra de Egypto, y como auemos paſſado por medio de las gentes que aueys paſſado, 
DEU.29.17	Y aueys viſto ſus abominaciones, y ſus idolos, 
DEU.29.18	Por ventura aurá entre vosotros varõ o muger, o familia o tribu, cuyo coraçon ſe buelua oy de con Iehoua nuestro Dios por andar à seruir à los dioses de aquellas gentes: por ventura aurá en vosotros rayz que eché veneno y axenxo: 
DEU.29.19	Y ſea, 
DEU.29.20	Iehoua no querrá perdonar àl tal, que luego humeará el furor de Iehoua y ſu zelo ſobre el tal hombre, y acostarsehá ſobreel toda maldicion escripta en eſte libro, y Iehoua raerá ſu nombre de debaxo del cielo. 
DEU.29.21	Y apartarloha Iehoua de todos los tribus de Iſrael para mal, conforme à todas las maldiciones del Concierto eſcripto eneste libro de la Ley. 
DEU.29.22	Y dirà la generaciõ venidera, vuestros hijos que vendrán deſpues de vosotros, y el estrangero que vendrá de lexos tierras, quando vieren las plagas de aquesta tierra y ſus enfermedades deque Iehoua la hizo enfermar, 
DEU.29.23	(Asufre, y sal, quemada toda ſu tierra: no ſerá sembrada, ni produzirá, ni crecerá en ella yerua ninguna, 
DEU.29.24	Y 
DEU.29.25	Y 
DEU.29.26	Y fueron, y siruieron à dioses agenos, y inclinaronſe à ellos; dioses que no conocieron, y que ninguna coſa les auian dado. 
DEU.29.27	Y el furor de Iehoua ſe encendió contra eſta tierra, para traer ſobre ella todas las maldiciones escriptas en eſte libro. 
DEU.29.28	Y Iehoua los deſſarraygó de ſu tierra con enojo y con saña, y con furor grande, y los echó à otra tierra, como 
DEU.29.29	Lo encubierto de Iehoua nuestro Dios es descubierto à noſotros y à nuestros hijos para siempre, paraque hagamos todas las palabras de eſta Ley.
DEU.30.1	Y ſerá, 
DEU.30.2	Y te conuirtieres à Iehoua tu Dios, y oyeres ſu boz conforme à todo loque yo te mando oy, tu y tus hijos, contodo tu coraçon y con toda tu anima, 
DEU.30.3	Iehoua tambien boluerá 
DEU.30.4	Si ouieres sido arronjado haſta el cabo de los cielos, de allá te juntará Iehoua tu Dios, y de allà te tomará. 
DEU.30.5	Y boluertehá Iehoua tu Dios à la tierra que heredaron tus padres, y heredarlahás: y hazerteha biẽ y multiplicartehá mas que à tus padres.
DEU.30.6	¶ Y circũcidará Iehoua tu Dios tu coraçon, yel coraçon de tu ſimiente, paraque ames à Iehoua tu Dios contodo tu coraçõ, y con toda tu anima para tu vida. 
DEU.30.7	Y pondrá Iehoua tu Dios todas estas maldiciones ſobre tus enemigos, y ſobre tus aborrecedores, que te persiguieron. 
DEU.30.8	Y tu boluerás, y oyrás la boz de Iehoua, y harás todos ſus mandamientos, que yo te mando oy. 
DEU.30.9	Y hazertehá Iehoua tu Dios abũdar en toda obra de tus manos, 
DEU.30.10	Quando oyeres la boz de Iehoua tu Dios para guardar ſus mandamientos y ſus estatutos escriptos eneste libro de la Ley, quãdo te cõuirtieres à Iehoua tu Dios con todo tu coraçon, y con toda tu anima. 
DEU.30.11	Porque eſte mandamiento que yo te mando oy no te es 
DEU.30.12	No eſtá en el cielo, paraque digas,
DEU.30.13	Ni eſtá de la otra parte de la mar, para que digas, Quien nos paſſará la mar paraque nos lo tome, y nos lo recite, paraque lo cumplamos? 
DEU.30.14	Porque muy cerca de ti eſtá el negocio, en tu boca y en tu coraçon paraque lo hagas.
DEU.30.15	¶ Mira, 
DEU.30.16	Porque yo te mando oy que ames à Iehoua tu Dios: que andes en ſus caminos y guardes ſus mandamientos y ſus estatutos, y ſus derechos, porque biuas y seas multiplicado, y Iehoua tu Dios te bendiga en la tierra à la qual entras para heredarla. 
DEU.30.17	Mas ſi tu coraçõ ſe apartâre, y no oyeres, y fuêres impelido, y te inclinares à dioses agenos, y les siruieres, 
DEU.30.18	Y
DEU.30.19	Alos cielos y à la tierra llamo por teſtigos oy contra vosotros, que os he pueſto delãte la vida y la muerte, la bendiciõ y la maldicion: escoge pues la vida, porque biuas tu y tu ſimiente: 
DEU.30.20	Que ames à Iehoua tu Dios, Que oygas ſu boz y te allegues à el: por que el 
DEU.31.1	Y Fue Moyſen, y habló estas palabras a todo Iſrael, 
DEU.31.2	Y dixoles, De edad de ciento y veynte años ſoy oy, no puedo mas ſalir ni entrar: aliede deesto Iehoua 
DEU.31.3	Iehoua tu Dios el paſſa delante de ti, el destruyrá estas gentes delante de tu faz, y heredarlashás: Iosue, el paſſa delante de ti, 
DEU.31.4	Y hará Iehoua con ellos 
DEU.31.5	Y darlosha Iehoua delãte de vosotros, y hareys con ellos conforme à todo loque os he mandado. 
DEU.31.6	Esforçaos y confortaos, no temays ni ayays miedo deellos, que Iehoua tu Dios es el que va contigo: no te dexará, ni te desamparará. 
DEU.31.7	Y llamó Moyſen à Iosue, y dixole en ojos de todo Iſrael, Esfuerçate y confortate: porque tu entrarás con eſte pueblo à la tierra que juró Iehoua à ſus padres, que les auia de dar, y tu ſe la harás heredar. 
DEU.31.8	Y Iehoua es el que va delante de ti, el ſerá contigo, no te dexará, ni te desamparará, no temas ni ayas miedo.
DEU.31.9	¶ Y escriuio Moyſen eſta Ley, y diola à los Sacerdotes hijos de Leui, que lleuauã el arca del Concierto de Iehoua, y 
DEU.31.10	Y mandóles Moyſen, diziendo, 
DEU.31.11	Quádo viniere todo Iſrael a preſentaise delãte de Iehoua tu Dios enel lugar que el escogiere, leerás eſta Ley delante de todo Iſrael en ſus orejas. 
DEU.31.12	Harás congregár el pueblo, varones y mugeres y niños, y tus estrãgeros que estuuieren en tus ciudades, paraque oygan y aprendan, y teman à Iehoua vuestro Dios, y guardẽ para hazer todas las palabras deesta Ley. 
DEU.31.13	Y ſus hijos que no 
DEU.31.14	¶ Y Iehoua dixo à Moyſen, Heaqui tus dias ſon ya llegados para que mueras: llama à Iosue, y eſperad en el Tabernaculo del Testimonio, y mandarlehé. Y fué Moyſen y Iosue, y eſperaron enel Tabernaculo del Testimonio. 
DEU.31.15	Y appareciose Iehoua enel Tabernaculo, en la coluna de nuue, y la coluna de nuue ſe puso ſobre la puerta del Tabernaculo. 
DEU.31.16	Y Iehoua dixo à Moyſen, Heaqui tu duermes con tus padres, y eſte pueblo ſe leuantará, y fornicará tras los dioses agenos de la tierra adonde va, 
DEU.31.17	Y mi furor ſe encenderá contra el en el mismo dia, y 
DEU.31.18	Empero yo escondiendo esconderé mi rostro en aquel dia, por todo el mal que el aurá hecho, por auerse buelto à dioses agenos.
DEU.31.19	¶ 
DEU.31.20	Porque 
DEU.31.21	Y ſerá, 
DEU.31.22	Y Moyſen escriuió eſta cancion aquel dia, y enseñola à los hijos de Iſrael. 
DEU.31.23	Y 
DEU.31.24	¶ Y como acabó Moyſen de escreuic las palabras deesta Ley enel libro, hastaque fueron acabadas, 
DEU.31.25	Moyſen mandó à los Leuitas que lleuauan el arca del Concierto de Iehoua, diziendo, 
DEU.31.26	Tomad eſte libro de la Ley, y poneldo en vn canto del arca del Concierto de Iehoua vuestro Dios, y esté alli portestigo 
DEU.31.27	Porque yo conozco tu rebellion, y tu ceruiz dura: heaqui que aun biuiendo yo oy con vosotros soys rebeldes à Iehoua, y quãto mas 
DEU.31.28	¶ Congredad à mi todos los ancianos de vuestros tribus, y à vuestros alcaldes, y hablaré en ſus orejas estas palabras: y llamaré por teſtigos contra ellos los cielos y la tierra. 
DEU.31.29	Porque 
DEU.31.30	Entonces habló Moyſen en oydos de toda la cougregacion de Iſrael las palabras de eſta cancion, haſta acabarla.
DEU.32.1	Escuchad cielos, y hablaré y oyga la tierra los dichos de mi boca. 
DEU.32.2	Goteará, como la lluuia, mi doctrina: distilará, como el rocio, mi dicho: como las mollinas ſobrela grama, y como las gotas ſobre la yerua. 
DEU.32.3	Porque el Nombre de Iehoua inuocaré, dad grandeza à nuestro Dios. 
DEU.32.4	Del Fuerte, cuya obra 
DEU.32.5	La corrupcion no 
DEU.32.6	Ansi pagays à Iehoua? pueblo loco y ignorãte. No es el tu padre que te posseyo? el te hizo y te compuso. 
DEU.32.7	Acuerdate de los tiempos antiguos, considerad los años de generacion y generacion: pregũta à tu padre, que el te declarará: à tus viejos, y ellos te dirán: 
DEU.32.8	Quando el Altiſsimo hizo heredar à las gentes, quãdo hizo diuidir los hijos de los hombres: 
DEU.32.9	Porque la parte de Iehoua 
DEU.32.10	Hallolo en tierra de desierto, y en 
DEU.32.11	Como el aguila despierta ſu nido, buela ſobre ſus pollos, estiẽde ſus àlas, tomalo, lleualo ſobre ſus espaldas: 
DEU.32.12	Iehoua solo lo guió, que no vuo conel dios ageno. 
DEU.32.13	Hizolo subir ſobre las alturas de la tierra, y comio los frutos del campo, y hizo que chupaſſe miel de la peña, y azeyte de pedernal fuerte. 
DEU.32.14	Manteca de vacas, y leche de ouejas, cõ groſſura de corderos, y carneros de Basan: y cabrones, con groſſura de riñones de trigo; y sangre de vua beuiste, vino. 
DEU.32.15	Y engordó 
DEU.32.16	Despertarõlo à celos 
DEU.32.17	Sacrificaron à los diablos, no à Dios: à los dioses, que no conocieron: nueuos, venidos de cerca, que vuestros padres 
DEU.32.18	Del Fuerte que te crió, te has oluidado, has te oluidado del Dios tu criador. 
DEU.32.19	Y vido 
DEU.32.20	Y dixo, Esconderé deellos mi rostro, veré qual 
DEU.32.21	Ellos me deſpertaron à celos con no dios: hizieronme ensañar con ſus vanidades: 
DEU.32.22	Porque fuego ſe encenderá en mi furor, y arderá 
DEU.32.23	Y
DEU.32.24	Consumidos de hãbre, y comidos de fiebre ardiente, y 
DEU.32.25	De fuera deshijará el cuchillo, y en las recamaras 
DEU.32.26	Dixe, 
DEU.32.27	Sino temieſſe la yra del enemigo, porque no enagenẽ 
DEU.32.28	Porque 
DEU.32.29	Oxala fueran ſabios, entendieran eſto, entendieran ſu postrimeria. 
DEU.32.30	Como podria perseguir vno à mil, y dos harian huyr à diez mil, ſi 
DEU.32.31	Que 
DEU.32.32	Por tanto de la cepa de Sodoma 
DEU.32.33	Veneno de dragones 
DEU.32.34	No tengo yo 
DEU.32.35	Mia es la vengança y el pago àl tiempo que ſu pie vacilará: porque el dia de ſu afflicciõ 
DEU.32.36	Porque Iehoua 
DEU.32.37	Y 
DEU.32.38	Que comian el seuo de ſus sacrificios, beuian el vino desus derramaduras: leuantense, y ayuden os, 
DEU.32.39	Ved aora que yo, yo ſoy, y no 
DEU.32.40	Quando 
DEU.32.41	Si amolâre 
DEU.32.42	Embriagaré mis saetas en sangre, y mi cuchillo tragará carne: en la sangre delos muertos y de los captiuos 
DEU.32.43	Alabad Gentes à ſu pueblo, porque 
DEU.32.44	Y vino Moyſen, y recitó todas las pa. labras desta cancion à oydos del pueblo, el y Iosue hijo de Nun. 
DEU.32.45	Y acabó Moyſen de recitar todas estas palabras à todo Iſrael, 
DEU.32.46	Y dixoles,
DEU.32.47	Porque no os es coſa vana, mas es vuestra vida: y por eſte negocio hareys prolongar los dias ſobre la tierra, para heredar la qual paſſays el Iordan. 
DEU.32.48	Y habló Iehoua à Moyſen aquel mismo dia, diziendo, 
DEU.32.49	Sube à eſte monte de Abarim, àl monte de Nebo, que 
DEU.32.50	Y muere enel monte àl qual subes, y ſe ayuntado à tus pueblos,
DEU.32.51	Por quanto 
DEU.32.52	Por tanto delante verás la tierra, mas no entrarás allá, à la tierra que 
DEU.33.1	Y Esta 
DEU.33.2	Y dixo, Iehoua vino de Sinai, y de Seir les esclareció: resplandeció del monte de Pharã, y vino 
