GEN.1.1	En el principio creó Dios los cielos y la tierra. 
EXO.26.2	Las medidas serán de doce metros y medio de largo y un metro con ochenta de ancho. Todas las cortinas tendrán las mismas medidas. 
EXO.26.3	Las unirás por sus extremos, de cinco en cinco, para formar dos cortinas largas, una para cada lado. 
EXO.26.4+EXO.26.5	Estarán unidas por medio de ojales de color morado, cincuenta a cada lado. 
EXO.26.6	Harás cincuenta corchetes de oro para unir los ojales de los dos conjuntos de cortinas, de modo que el santuario, que es la morada de Dios, sea un todo.
EXO.26.7+EXO.26.8	»El techo del santuario estará hecho de lonas de pelo de cabra. Harás once de estas lonas, cada una de trece metros y medio de largo y un metro ochenta de ancho. 
EXO.26.9	Unirás cinco lonas para una parte y seis para la otra. La sexta lona colgará al frente de la tienda. 
EXO.26.10+EXO.26.11	Usarás cincuenta ojales en los bordes de cada una de estas piezas, para unirlas con cincuenta corchetes de bronce. De esta manera las dos piezas formarán una sola. 
EXO.26.12	Sobrará medio metro de estas lonas, el cual colgará en la parte posterior del santuario, 
EXO.26.13	y medio metro por la parte frontal. 
EXO.26.14	Sobre estas lonas colocarás una cubierta de cueros de carnero, teñida de rojo, y sobre esta cubierta colocarás otra de pieles de cabras. Esto completará el techo.
EXO.26.15+EXO.26.16	»El armazón del santuario estará hecho de madera de acacia. Cada pieza será de cuatro metros y medio de largo por setenta centímetros de ancho. Irán en posición vertical 
EXO.26.17	y se unirán con espigas por los costados. 
EXO.26.18+EXO.26.19	Con veinte de estas tablas formarás el costado sur del santuario, sobre cuarenta bases de plata, dos bases para cada tabla. 
EXO.26.20	En el costado norte también habrá veinte de estas tablas 
EXO.26.21	con sus cuarenta bases de plata, dos bases por cada tabla, una debajo de cada esquina. 
EXO.26.22	En el costado occidental habrá seis tablas, 
EXO.26.23	y dos más en cada esquina. 
EXO.26.24	Estas tablas estarán unidas de las esquinas mediante ganchos, abajo y arriba. 
EXO.26.25	De modo que serán ocho tablas en ese extremo, con dieciséis bases de plata para las tablas, dos bases por cada tabla.
EXO.26.26+EXO.26.27	»Harás cinco travesaños de madera de acacia para cada costado del santuario, y cinco para las tablas de la parte occidental. 
EXO.26.28	Uno de los travesaños centrales pasará por el centro de las tablas a todo lo largo del santuario. 
EXO.26.29	Cubrirás las tablas de oro, y harás argollas de oro por donde pasen los travesaños. También cubrirás los travesaños con oro. 
EXO.26.30	Construirás el santuario como yo te he mostrado en el monte.
EXO.26.31	»Dentro del santuario harás una cortina de tela azul, morada y escarlata, de lino fino torcido, con querubines bordados en ella. 
EXO.26.32	La colgarás de cuatro postes de acacia cubiertos de oro, cada una con un gancho de oro. Los postes estarán asentados en cuatro bases de plata. 
EXO.26.33	Colgarás la cortina de los ganchos. Detrás de esta cortina pondrás el cofre que contiene las tablas de piedra donde están grabadas las leyes de Dios. La cortina separará el Lugar Santo del Lugar Santísimo. 
EXO.26.34	Sobre el cofre, que estará en el Lugar Santísimo, pondrás el propiciatorio, es decir, la cubierta de oro del cofre. 
EXO.26.35	La mesa y el candelabro los pondrás frente a frente en la parte exterior de la cortina. El candelabro estará en la parte sur del Lugar Santo, y la mesa en el costado norte.
EXO.26.36	»Para la entrada del santuario harás otra cortina de lino fino torcido de color azul, morado y escarlata, bordada artísticamente. 
EXO.26.37	Colgarás esta cortina de cinco postes de madera de acacia cubiertos de oro, con un gancho de oro y base de bronce para cada columna.
EXO.27.1	»Con madera de acacia harás un altar cuadrado, de dos metros y medio por lado, y de un metro y medio de alto. 
EXO.27.2	En cada esquina del altar pondrás un cuerno firmemente unido; y todo estará cubierto de bronce. 
EXO.27.3	Los recipientes para las cenizas, las palas, las vasijas y los braseros serán de bronce. 
EXO.27.4	Harás un enrejado de bronce, con una argolla de metal en cada esquina, 
EXO.27.5	y lo colocarás debajo de la cubierta del altar, de modo que llegue a la mitad de la altura. 
EXO.27.6	Para mover el altar harás varas de madera de acacia, cubiertas de bronce. 
EXO.27.7	Para transportar el altar pondrás las varas en las argollas que tiene a cada costado. 
EXO.27.8	El altar será hueco, hecho de tablas, como te fue mostrado en el monte.
EXO.27.9+EXO.27.10	»Luego harás un atrio para el santuario, el cual estará encerrado con cortinas hechas de lino fino torcido. En el costado sur, las cortinas se extenderán a lo largo de cuarenta y cinco metros y estarán suspendidas de veinte postes, asentados sobre veinte bases de bronce. Las cortinas estarán sujetas por medio de ganchos y varillas de plata, unidos a los postes. 
EXO.27.11	El costado norte será igual: cortinas a lo largo de cuarenta y cinco metros, colgadas de veinte postes asentados sobre bases de bronce y sujetas con ganchos y varillas de plata. 
EXO.27.12	El costado occidental del atrio será de veintidós metros y medio, con diez postes y diez bases. 
EXO.27.13	El lado oriental también será de veintidós metros y medio. 
EXO.27.14+EXO.27.15	A cada costado de la entrada habrá siete metros de cortinas, con tres postes y tres bases en cada lado.
EXO.27.16	»La entrada del atrio tendrá una cortina de nueve metros de largo, hecha de lino fino torcido, teñido de azul, morado y escarlata, y bordada en forma artística. Estará colgada de cuatro postes asentados sobre cuatro bases. 
EXO.27.17	Todos los postes alrededor del atrio estarán unidos por medio de barras de plata, montadas en ganchos de plata. Los postes estarán asentados sobre bases de bronce. 
EXO.27.18	Todo el atrio será de cuarenta y cinco metros de largo y veintidós y medio de ancho, y las cortinas serán de dos metros y medio de alto, hechas de lino fino torcido.
EXO.27.19	»Todos los utensilios que se necesiten en el santuario, incluyendo todas las estacas y los clavos, serán de bronce.
EXO.27.20	»Pide al pueblo de Israel que te traiga aceite puro de oliva, para usarlo en las lámparas del santuario, de modo que se mantengan siempre encendidas. 
EXO.27.21	Aarón y sus hijos colocarán las lámparas en el Lugar Santo, y las mantendrán encendidas delante del 
EXO.28.1	»Consagra a tu hermano Aarón y a sus hijos Nadab, Abiú, Eleazar e Itamar, para que me sirvan como sacerdotes y ministros. 
EXO.28.2	Hazle vestiduras especiales a Aarón, para indicar que está separado para el servicio de Dios, vestiduras hermosas que señalen la dignidad de su oficio. 
EXO.28.3	Ordena a quienes he dotado de capacidad para ello, que le hagan vestiduras que lo distingan de los demás, para que pueda desempeñar el oficio de sacerdote. 
EXO.28.4	Estas son las vestiduras que harán: un pectoral, un efod, un manto, una túnica bordada, una mitra y un cinturón. También harán vestiduras especiales para los hijos de Aarón.
EXO.28.5+EXO.28.6	»El efod será una gran obra de arte, en la que usarán hilos de oro e hilos de lino fino de color azul, morado y escarlata. 
EXO.28.7	Consistirá de dos piezas que se unirán sobre los hombros. 
EXO.28.8	El cinto estará hecho del mismo material, hilos de oro e hilos de lino fino torcido de color azul, morado y escarlata. 
EXO.28.9	Tomarán dos piedras de ónice y grabarán en ellas los nombres de las tribus de Israel. 
EXO.28.10	Habrá seis nombres en cada piedra, dispuestos según el orden de su nacimiento. 
EXO.28.11	Cuando graben estos nombres, deberán usar la misma técnica que se usa para hacer un sello, y montarán las piedras en oro. 
EXO.28.12	Deberán montar las dos piedras sobre las hombreras del efod, como piedras de recuerdo para Israel: Aarón llevará sus piedras delante del 
EXO.28.13+EXO.28.14	Harán dos cadenas de oro puro, trenzadas en forma de cordón, la cuales se unirán con enlaces de oro, sobre las hombreras del efod.
EXO.28.15	»Luego, con gran esmero harán el pectoral, para que sea usado para impartir justicia. Usa hilos de oro y de lino fino torcido de color azul, morado y escarlata, como en el efod. 
EXO.28.16	Será cuadrado, y estará hecho de dos pedazos de tela que formarán una bolsa de veinte centímetros de lado. 
EXO.28.17	Pondrás cuatro hileras de piedras. En la primera hilera habrá un rubí, un topacio y una esmeralda. 
EXO.28.18	En la segunda hilera, una turquesa, un zafiro y un diamante. 
EXO.28.19	En la tercera, un jacinto, un ágata y una amatista. 
EXO.28.20	En la cuarta, un berilo, un ónice y un jaspe. Todas estarán engastadas en oro. 
EXO.28.21	Cada piedra representará una tribu de Israel, y el nombre de cada tribu será grabado en cada piedra como un sello.
EXO.28.22+EXO.28.23+EXO.28.24	»Unirás la parte superior del pectoral al efod por medio de dos cordones trenzados de oro puro. Un cabo de cada cordón estará atado a un anillo de oro colocado en la parte superior del pectoral. 
EXO.28.25	Los otros extremos de los dos cordones serán atados a la parte delantera de los engastes de las piedras de ónice, que estarán sobre las hombreras del efod. 
EXO.28.26	Harás dos anillos de oro y los colocarás en las partes interiores e inferiores del pectoral. 
EXO.28.27	Además, harás dos anillos de oro para fijarlos en la parte delantera de las dos hombreras del efod, a la altura del cinto. 
EXO.28.28	Fijarás la parte inferior del pectoral a los anillos del efod por medio de cintas azules. Esto evitará que el pectoral se separe del efod. 
EXO.28.29	De esta manera, Aarón llevará los nombres de las tribus de Israel en el pectoral, sobre su corazón, cuando entre al Lugar Santo. Así el 
EXO.28.30	Dentro del pectoral pondrás el urim y el tumim,
EXO.28.31	»El manto del efod será hecho con tela de color morado, 
EXO.28.32	con una abertura para la cabeza. Tendrá un borde tejido alrededor de la abertura, como refuerzo. Será como el que se hace en el cuello de un chaleco, para que no se rompa fácilmente. 
EXO.28.33+EXO.28.34	El borde inferior del efod estará bordado con granadas de color azul, morado y escarlata, que se alternarán con campanillas de oro. 
EXO.28.35	Aarón usará el efod siempre que entre a servir delante del 
EXO.28.36	»Además, harás una lámina de oro puro y grabarás en ella: 
EXO.28.37+EXO.28.38	Esta lámina estará atada con una cinta morada a la parte delantera de la mitra. Aarón la llevará siempre sobre la frente, para que el 
EXO.28.39	»Tejerás la túnica de Aarón de lino fino, y también del mismo lino harás la mitra y un cinto bordado.
EXO.28.40	»Para los hijos de Aarón harás túnicas, cintos y mitras que les den un aspecto honorable y respetable. 
EXO.28.41	Les pondrás a Aarón y a sus hijos estas vestiduras y luego los dedicarás al ministerio, ungiéndolos en la cabeza con aceite de oliva y santificándolos como sacerdotes y ministros míos. 
EXO.28.42	También les harás calzoncillos de lino, que usarán debajo de la túnica, pegados a su cuerpo, que les lleguen desde la cadera hasta las rodillas. 
EXO.28.43	Aarón y sus hijos los usarán cada vez que entren en el santuario, al altar del Lugar Santo, para que no incurran en falta y, por esto, mueran. Esta es una ordenanza permanente para Aarón y sus hijos.
EXO.29.1	»Esta es la ceremonia para la dedicación de Aarón y sus hijos como sacerdotes: Tomarás un becerro y dos carneros sin defectos, 
EXO.29.2	pan y tortas sin levadura, pasados por aceite, y hojaldres sin levadura, sobre los que se haya rociado aceite. Los diversos tipos de pan estarán hechos de harina fina. 
EXO.29.3+EXO.29.4	Colocarás el pan en un canasto y lo llevarás a la entrada del santuario, junto con el becerro y los dos carneros.
EXO.29.3+EXO.29.4	»Bañarás a Aarón y a sus hijos allí a la entrada. 
EXO.29.5	Luego vestirás a Aarón con su túnica, el efod, el pectoral y el cinto, 
EXO.29.6	y le pondrás en la cabeza la mitra con la lámina de oro. 
EXO.29.7	Tomarás el aceite de la unción y lo derramarás sobre su cabeza. 
EXO.29.8	Después vestirás a sus hijos con sus túnicas 
EXO.29.9	y sus cintos tejidos, y les pondrás las mitras. Serán sacerdotes para siempre. De esa manera consagrarás a Aarón y a sus hijos.
EXO.29.10	»Traerás el becerro al santuario, y Aarón y sus hijos pondrán sus manos sobre la cabeza del animal. 
EXO.29.11	Lo matarás delante del 
EXO.29.12	Pondrás su sangre sobre los cuernos del altar, mojándolos con el dedo, y derramarás el resto en la base del altar. 
EXO.29.13	Tomarás toda la grasa que cubre los intestinos y el hígado, así como los dos riñones y la grasa que hay sobre ellos, y los quemarás sobre el altar. 
EXO.29.14	Después tomarás el cuerpo, incluyendo la piel y el excremento, los llevarás fuera del campamento y los quemarás como una ofrenda por el pecado.
EXO.29.15+EXO.29.16	»Luego Aarón y sus hijos pondrán sus manos sobre la cabeza de uno de los carneros que va a ser sacrificado. Su sangre será recogida para ser rociada sobre el altar. 
EXO.29.17	Cortarás el carnero en pedazos, y lavarás los intestinos y las piernas; lo pondrás con la cabeza y las demás partes del cuerpo 
EXO.29.18	y lo quemarás sobre el altar. Este es un holocausto de muy grato olor para el 
EXO.29.19+EXO.29.20	»Luego tomarás el otro carnero, y Aarón y sus hijos le pondrán las manos sobre la cabeza mientras lo sacrifican. Tomarás un poco de la sangre y la untarás en el lóbulo de la oreja derecha y en los pulgares de la mano derecha y del pie derecho de Aarón y de sus hijos; con el resto rociarás el altar. 
EXO.29.21	También tomarás sangre del altar, la mezclarás con aceite de la unción, y rociarás esto sobre Aarón, sus hijos y sus vestiduras. En esta forma ellos serán consagrados al 
EXO.29.22	»Luego, toma del carnero la grasa, la cola, la grasa que cubre los intestinos y el hígado, los dos riñones y la grasa que los rodea, y la espaldilla derecha, porque este es el carnero para la ordenación de Aarón y sus hijos. 
EXO.29.23	Toma también un pan, una torta de pan de aceite y un hojaldre del canastillo de panes sin levadura, que fue puesto delante del 
EXO.29.24	y ponlos en las manos de Aarón y de sus hijos, quienes los ofrecerán meciéndolos ante el 
EXO.29.25	Luego ellos te entregarán todos estos productos, para que tú los quemes sobre el altar, como holocausto de olor delante del 
EXO.29.26	Después tomarás el pecho del carnero de la ordenación de Aarón y lo ofrecerás, meciéndolo delante del 
EXO.29.27	»Les darás el pecho y la espadilla del carnero de la consagración 
EXO.29.28	a Aarón y a sus hijos. El pueblo de Israel siempre debe dar esta porción de sus sacrificios de paz a Aarón y a sus hijos, como contribución.
EXO.29.29	»Las vestiduras sagradas de Aarón serán preservadas para los hijos que le sucedan de generación en generación, en la ceremonia en que sean consagrados como sacerdotes. 
EXO.29.30	Cualquiera que sea el sumo sacerdote que suceda a Aarón, deberá usar estas vestiduras durante siete días, al entrar al santuario para ministrar en el Lugar Santo.
EXO.29.31	»Tomarás el carnero de la consagración, el carnero usado en la ceremonia ordinaria, y cocerás su carne en un lugar santificado. 
EXO.29.32	Aarón y sus hijos comerán la carne y el pan del canasto en la puerta del santuario. 
EXO.29.33	Sólo ellos comerán estas cosas usadas en su expiación, es decir, en la ceremonia de su consagración. El hombre común no comerá de ello, porque estas cosas son sagradas. 
EXO.29.34	Deberás quemar el pan o la carne que sobre. Lo que sobre no podrá ser comido al día siguiente, porque es sagrado.
EXO.29.35	»Este, pues, es el modo de ordenar a Aarón y a sus hijos para el desempeño de sus funciones. Esta ordenación durará siete días. 
EXO.29.36	Cada día sacrificarás un becerro como ofrenda expiatoria por el pecado. Después purificarás el altar, haciendo expiación por él y derramando aceite de oliva sobre él para consagrarlo. 
EXO.29.37	Harás expiación por el altar y lo consagrarás a Dios cada uno de los siete días. Después de esto, el altar será muy santo, y cualquiera que lo toque será apartado para el 
EXO.29.38	»Cada día ofrecerás dos corderos de un año sobre el altar, 
EXO.29.39	uno en la mañana y otro en la tarde. 
EXO.29.40	Con uno de ellos ofrecerás dos kilos de harina fina, mezclada con un litro de aceite de oliva y un litro de vino, para la libación. 
EXO.29.41	Ofrecerás el otro cordero en la tarde, junto con la harina y el vino para la libación, como se hizo en la mañana, como ofrenda de olor fragante al 
EXO.29.42	»Esta será una ofrenda diaria que me ofrecerán todos los israelitas, a través de todas sus generaciones. Me la ofrecerán a la entrada del santuario, que es el lugar donde me encontraré contigo y te hablaré. 
EXO.29.43	Allí me reuniré con el pueblo de Israel, y el santuario será santificado por mi gloria. 
EXO.29.44	Yo santificaré el santuario y el altar, y a Aarón y a sus hijos, que son mis ministros, mis sacerdotes. 
EXO.29.45	Viviré en medio del pueblo de Israel y seré su Dios, 
EXO.29.46	y ellos sabrán que yo soy el 
EXO.30.1	»Harás luego un pequeño altar para quemar incienso. Lo harás de madera de acacia. 
EXO.30.2	Tendrá cuarenta y cinco centímetros de ancho, cuarenta y cinco centímetros de largo y noventa centímetros de alto. Tallarás sus cuernos de la misma pieza, para que sean parte del altar. 
EXO.30.3	Cubrirás la parte superior, los costados y los cuernos del altar con oro puro, y en todo su contorno pondrás una moldura de oro. 
EXO.30.4	Bajo la moldura, a ambos costados, harás dos argollas de oro para poner las varas que servirán para transportarlo. 
EXO.30.5	Las varas serán de madera de acacia, cubiertas de oro. 
EXO.30.6	Pondrás el altar junto a la cortina, por el lado exterior, cerca de la tapa que cubre el cofre que contiene los Diez Mandamientos. Allí es donde me encontraré contigo.
EXO.30.7	»Cada mañana, cuando Aarón prepare las lámparas, quemará incienso aromático sobre el altar, 
EXO.30.8	y cada tarde cuando encienda las lámparas, quemará el incienso delante del 
EXO.30.9	No ofrecerás incienso, holocaustos, ofrendas ni libaciones que no hayan sido autorizados por el 
EXO.30.10	»Una vez al año, Aarón deberá consagrar el altar, poniendo sobre los cuernos la sangre de la ofrenda de expiación por el pecado. Esta será una ceremonia que se hará sin falta cada año, de generación en generación, porque este es el altar que ha sido consagrado por completo al 
EXO.30.11+EXO.30.12	El 
EXO.30.13	Este pago equivaldrá a medio siclo del santuario, es decir, seis gramos de plata. 
EXO.30.14	Todos los que hayan cumplido veinte años darán esta ofrenda. 
EXO.30.15	El rico no dará más, ni el pobre dará menos, porque es una ofrenda para el 
EXO.30.16	Usarás este dinero para el cuidado del Santuario. Esto servirá para que el 
EXO.30.17+EXO.30.18	El 
EXO.30.19	Aarón y sus hijos se lavarán las manos y los pies allí 
EXO.30.20	cuando entren al Santuario a presentarse delante del 
EXO.30.21	Estas son instrucciones para Aarón y sus hijos, de generación en generación».
EXO.30.22+EXO.30.23	Entonces el 
EXO.30.24	seis kilos de casia y cuatro litros de aceite de oliva. Para esto, deberás usar la medida que se usa en el santuario. 
EXO.30.25	Con estos ingredientes prepararás el aceite, tal como lo hacen los expertos en preparar perfumes. Este será el aceite santo de la unción.
EXO.30.26+EXO.30.27	»Usarás este aceite para ungir el santuario, la mesa y todos sus instrumentos, el candelabro y todos sus utensilios, el altar del incienso, 
EXO.30.28	el altar del holocausto con todos sus instrumentos, y el lavamanos con su base. 
EXO.30.29	Conságralos para que sean sagrados. Cualquier cosa que los toque será sagrada. 
EXO.30.30	También lo usarás para ungir a Aarón y a sus hijos, consagrándolos para que puedan servir delante de mí como sacerdotes. 
EXO.30.31	Y dile al pueblo de Israel: “Este será siempre mi aceite de unción. 
EXO.30.32	No debe ser derramado sobre personas comunes, y no harás jamás este aceite por tu cuenta, porque es sagrado y será tratado por ti como algo sagrado. 
EXO.30.33	Cualquiera que prepare un aceite semejante a este o lo ponga sobre alguien que no sea un sacerdote, será expulsado de la comunidad”».
EXO.30.34	Estas fueron las instrucciones que el 
EXO.30.35	y, según las técnicas del perfumista, harás un perfume sazonado con sal. Será un incienso puro y santo. 
EXO.30.36	Molerás una parte y la pondrás frente al cofre, donde yo me reúno contigo en el santuario. Este incienso es muy sagrado. 
EXO.30.37	No lo hagan jamás para ustedes mismos, porque está reservado para el 
EXO.30.38	Cualquiera que lo haga será expulsado de la comunidad».
EXO.31.1	También el 
EXO.31.2	«Yo he designado a Bezalel hijo de Uri y nieto de Jur, de la tribu de Judá. 
EXO.31.3	Lo he llenado con mi Espíritu y le he dado sabiduría, capacidad y habilidad para la construcción del santuario y todo lo que contiene. 
EXO.31.4	Está altamente capacitado como diseñador artístico de objetos de oro, de plata y de bronce. 
EXO.31.5	También ha sido dotado como joyero y tallador de madera.
EXO.31.6	»Igualmente, he designado a Aholiab hijo de Ajisamac, de la tribu de Dan, para que sea su ayudante. Además, he dado habilidad especial a todos los que son conocidos como expertos, para que puedan hacer todas las cosas que he ordenado, esto es, 
EXO.31.7	el santuario, el cofre con el propiciatorio sobre ella, todos los utensilios del templo, 
EXO.31.8	la mesa y sus utensilios, el candelabro de oro y sus utensilios, el altar del incienso, 
EXO.31.9	el altar del holocausto con sus utensilios, el lavamanos y su base, 
EXO.31.10	las hermosas y sagradas vestiduras sacerdotales de Aarón y de sus hijos, 
EXO.31.11	el aceite de la unción y el incienso perfumado para el Lugar Santo. Ellos seguirán exactamente las instrucciones que yo te he dado».
EXO.31.12+EXO.31.13	El 
EXO.31.14+EXO.31.15	Descansarán en ese día, porque es santo. Cualquiera que no obedezca este mandamiento, morirá. Cualquiera que haga alguna clase de trabajo en ese día, será ejecutado. 
EXO.31.16	Solamente trabajarán seis días, porque el día séptimo es el día de descanso solemne, santo para el 
EXO.31.17	Es un símbolo eterno del pacto que he hecho con el pueblo de Israel, porque en seis días yo, el 
EXO.31.18	Cuando terminó de hablar con Moisés sobre el monte Sinaí, Dios le entregó dos tablas de piedra con los Diez Mandamientos, escritos con su propio dedo.
EXO.32.1	Como Moisés se demoraba en descender del monte, el pueblo se presentó ante Aarón:
EXO.32.1	―Mira —le dijeron—, haznos dioses que nos dirijan, porque este Moisés que nos sacó de Egipto no aparece; algo debe de haberle ocurrido.
EXO.32.2+EXO.32.3	―Tráiganme los aretes de oro que tengan sus esposas, hijos e hijas —respondió Aarón.
EXO.32.2+EXO.32.3	Así que todos los que tenían aretes se los quitaron y se los entregaron a Aarón. 
EXO.32.4	Entonces él fundió el oro, y con un cincel hizo un becerro. Al ver el becerro, el pueblo exclamó: «¡Israel, este es tu dios que te sacó de Egipto!».
EXO.32.5	Cuando Aarón vio lo feliz que estaba el pueblo con el becerro, edificó un altar delante del becerro, y anunció:
EXO.32.5	―Mañana habrá fiesta en honor del 
EXO.32.6	A la mañana siguiente madrugaron y comenzaron a presentar holocaustos y ofrendas de paz. Luego de comer y beber, se entregaron a la diversión. 
EXO.32.7	Por eso, el 
EXO.32.7	―Date prisa, desciende, porque el pueblo que sacaste de Egipto se ha contaminado, 
EXO.32.8	y pronto han abandonado mis leyes. Han hecho un becerro y lo han adorado; le han ofrecido sacrificios y han dicho: “¡Israel, este es tu dios que te sacó de Egipto!”.
EXO.32.9	El 
EXO.32.9	―He visto que este pueblo es rebelde y testarudo. 
EXO.32.10	Deja que desate contra ellos mi ira y los destruya; y de ti, Moisés, haré otra nación grande.
EXO.32.11	Pero Moisés le rogó al 
EXO.32.11	―
EXO.32.12	¿Quieres que los egipcios digan: “Dios los engañó y los hizo ir a las montañas para matarlos y borrarlos de la tierra”? Aparta tu ira y no le hagas eso a tu pueblo. 
EXO.32.13	Recuerda lo que le prometiste a tus siervos Abraham, Isaac e Israel cuando juraste por ti mismo: “Yo multiplicaré tu descendencia como las estrellas del cielo, y les daré toda la tierra que he prometido a tus descendientes, y la heredarán para siempre”.
EXO.32.14	Entonces el 
EXO.32.15	Luego Moisés descendió del monte, llevando en sus manos las dos tablas de piedra, en las que estaban escritos los mandamientos por ambos lados. 
EXO.32.16	Dios mismo preparó las tablas y escribió en ellas.
EXO.32.17	Cuando Josué oyó el bullicio del pueblo que gritaba, le dijo a Moisés:
EXO.32.17	―Suena como si estuvieran preparándose para la guerra.
EXO.32.18	Pero Moisés le respondió:
EXO.32.18	―No es grito de victoria ni de derrota lo que yo oigo; lo que escucho son canciones.
EXO.32.19	Cuando llegaron cerca del campamento, Moisés vio el becerro y las danzas, y con terrible ira arrojó las tablas al suelo, al pie del monte, y se rompieron. 
EXO.32.20	Luego tomó el becerro, lo fundió en fuego, y cuando se enfrió el metal, lo molió hasta hacerlo polvo. Mezcló ese polvo con agua, para que el pueblo bebiera. 
EXO.32.21	Después se dirigió a Aarón, y le preguntó:
EXO.32.21	―¿Qué te ha hecho este pueblo, para que le hagas cometer este terrible pecado?
EXO.32.22	―No te enojes tanto —dijo Aarón—. Tú bien sabes que este pueblo es inclinado a la maldad. 
EXO.32.23	Ellos me dijeron. “Haznos un dios que nos dirija, porque algo le habrá ocurrido a Moisés, el que nos sacó de Egipto”. 
EXO.32.24	Entonces les dije: “Tráiganme sus aretes”. Ellos me los trajeron, los eché al fuego… y ¡salió este becerro!
EXO.32.25	Cuando Moisés vio que Aarón no había podido guiar bien a los israelitas, y que por eso se habían vuelto locos, de tal modo que la gente de otros pueblos se estaban burlando de ellos, 
EXO.32.26	se paró a la entrada del campamento y gritó: «¡Todos los que estén de parte del 
EXO.32.27	Moisés les dijo: «El 
EXO.32.28	Los levitas lo hicieron, y aquel día mataron a unos tres mil hombres.
EXO.32.29	Moisés, entonces, les dijo: «Hoy se han santificado para el servicio del 
EXO.32.30	Al día siguiente, Moisés le dijo al pueblo: «Ustedes han cometido un gran pecado, pero yo regresaré a la montaña, y me presentaré delante del 
EXO.32.31	Moisés regresó a la presencia del 
EXO.32.31	―Desgraciadamente este pueblo ha pecado en gran manera y ha hecho ídolos de oro. 
EXO.32.32	Sólo te ruego que perdones su pecado. Si no lo haces, te pido que borres mi nombre del libro que has escrito.
EXO.32.33	―Cualquiera que haya pecado contra mí —dijo el 
EXO.32.34	Ahora vé y conduce al pueblo al lugar que yo te indiqué, y diles que mi ángel irá delante de ellos. Sin embargo, cuando yo visite a este pueblo, lo castigaré por sus pecados.
EXO.32.35	Luego el 
EXO.33.1	El 
EXO.33.2	Enviaré un ángel delante de ti para que expulse a los cananeos, a los amorreos, a los hititas, a los ferezeos, a los heveos y a los jebuseos. 
EXO.33.3	Es una tierra de la que fluye leche y miel. Pero yo no iré con ustedes, porque son un pueblo rebelde y soberbio, y no resistiré el deseo de destruirlos en el camino».
EXO.33.4	Cuando los israelitas oyeron estas duras palabras, se pusieron a llorar, y se despojaron de sus joyas y ornamentos, 
EXO.33.5	porque el 
EXO.33.6	Después de esto, ellos dejaron de usar joyas.
EXO.33.7	Moisés siempre levantaba, a cierta distancia del campamento, el santuario o Tienda de reunión con Dios. Todo el que quería consultar al 
EXO.33.8	Siempre que Moisés salía hacia la Tienda de reunión, el pueblo se levantaba y se paraba a la entrada de sus tiendas, y se quedaban mirando hasta que él entraba en la Tienda. 
EXO.33.9	Cuando él entraba, la columna de nube descendía y cubría la entrada, mientras el 
EXO.33.10	Entonces todo el pueblo adoraba delante de sus tiendas, y se inclinaba ante la columna de nube. 
EXO.33.11	En la Tienda de reunión, el 
EXO.33.12	Moisés un día habló allí con el 
EXO.33.12	―Me has pedido que lleve a este pueblo a la Tierra prometida, pero no me has dicho a quién enviarás conmigo. Dices que eres mi amigo y que he hallado gracia delante de ti. 
EXO.33.13	Si es así, te ruego que me indiques qué quieres que haga, para que pueda comprenderte claramente y saber que cuento con tu ayuda. No olvides que esta nación es tu pueblo.
EXO.33.14	Y el 
EXO.33.14	―Yo iré contigo y te daré descanso.
EXO.33.15	Moisés le dijo:
EXO.33.15	―Si no vas a ir con nosotros, no dejes que nos movamos ni un paso de este lugar. 
EXO.33.16	Si no vas con nosotros, ¿quién sabrá que mi pueblo y yo contamos con tu ayuda, y que somos diferentes a los demás pueblos que habitan la tierra?
EXO.33.17	Entonces el 
EXO.33.17	―Haré lo que tú has pedido, porque ciertamente cuentas con mi ayuda, y eres mi amigo.
EXO.33.18	Moisés, entonces, le dijo:
EXO.33.18	―¡Permíteme contemplar tu gloria!
EXO.33.19	Y el 
EXO.33.19	―Haré que pase delante de ti mi gloria, y pronunciaré mi nombre, pues soy bondadoso y compasivo con quien quiero. 
EXO.33.20	Pero no podrás ver mi rostro, porque ningún hombre podrá verme y seguir viviendo. 
EXO.33.21	Sin embargo, quédate en esta roca que está junto a mí, 
EXO.33.22	y cuando pase mi gloria, yo te pondré en una hendidura de la roca y te cubriré con mi mano hasta que haya pasado. 
EXO.33.23	Luego quitaré mi mano, y podrás verme la espalda, pero no el rostro.
EXO.34.1	El 
EXO.34.1	―Prepara dos tablas de piedra como las primeras, y yo escribiré en ellas los mismos mandamientos que estaban en las tablas que quebraste. 
EXO.34.2	Prepárate para subir a la cumbre del monte Sinaí, para presentarte ante mí. 
EXO.34.3	Nadie vendrá contigo y nadie deberá estar en ningún lugar del monte. Ni dejes que los animales pasten junto al monte.
EXO.34.4	Moisés tomó dos tablas de piedra similares a las primeras, se levantó de madrugada y subió al monte Sinaí, tal como el 
EXO.34.5+EXO.34.6	El 
EXO.34.5+EXO.34.6	―Yo soy el 
EXO.34.7	Yo, el 
EXO.34.8	Moisés se postró delante del 
EXO.34.9	y le dijo:
EXO.34.9	―
EXO.34.10	El 
EXO.34.10	―Bien, este es el pacto que voy a hacer contigo. Haré milagros como nunca han sido hechos en toda la tierra, y todo el pueblo de Israel verá mi poder, el terrible poder que mostraré por medio de ti. 
