GEN.1.1	Adikeh la Tsingrangbanü ninglih thricho. 
JDG.7.1	Nyümong khüdu Gideon ko abi nyitsarüti mütoh suropü wü Harod Kihna shündhün müdongcho. Midianrü tsü More Zong te arüh tenü kihku lahpi angah la liyacho.
JDG.7.3	 Hütsüeko müyurü te hita züdeing, ‘Sürünü dro lümro arüh thali tsieng. Ihrü hila Gilead Zong la liyanung.’ ” Hütsüde nyüh hajar mükyüpü anyüh thali tsicho, ta hajar dhüre nyingcho.
JDG.7.4	Hütsüpü 
JDG.7.5	Gideon-nü yongkhi lang tsü arüh no jowücho ko 
JDG.7.6	Khehnü khachehpü yongrü arüh thsih asang ko anyingcho tsü mükhoh thungpü yongrü thsacho. 
JDG.7.7	nü Gideon te yocho, “Ihnü kih khachehpü yongrü nyüh thsih asang tsü bichi Medianrü michah nü khyang akoh jünung. Aparü atümung kuh lang thali tsisohng.” 
JDG.7.8	Hütsüta Gideon-nü arüh thsih asang khyang tsü thsunohrü ko rühti bisohcho, ta aparü Israelrü atümung kuh lang thalisohcho. Midianrü tsü arüh pohki angah la liyacho.
JDG.7.9	Hütsü romang 
JDG.7.10	Ta nühnü mahnung drükhang, nü kulirü Pura nüpü amüdonglang jowüng. 
JDG.7.11	Arühnü tu chotarünang nühnü yuchinung ko arüh mahnung müdrünung.” Achotsü Gideon-nü akulirü Pura nüpü arüh lichah achangka chii jowücho. 
JDG.7.12	Midianrü, Amalekrü ko azong nyitsarüti tsü angah la tsü khengqu tii kyo sühpücho ko kihbekhüm la lihpi doi hütsüla arüh ut licho.
JDG.7.13	Khode Gideon chihcho, nyüh khüdunü amüyangrü khüdu te abi melang yocho abinü yuchicho. Abinü hita yocho. “Lüdinü külüpcho hümthse khüdu Ihsa lichah khülu jüro Shükuh khüdu chah müpkeh Shükuh tsü khülutsu alih la yüpjo melangko.”
JDG.7.14	Amüyangba tsünü lalingcho, “Hütsü Joash tsurü Gideon, Israelrü nohsheng thsanung! Apa tu adüzü müthsanung! Tsingrangbanü abi khyang Midian ko Ihsa rothsarü apüm michah akoh jüko!”
JDG.7.15	Khode Gideon-nü nyitsarüba melang tsü ko hütsü adüzü tsü yuchicho, abinü mükhoh thung Tsingrangba mübücho. Hütsüpü abinü Israelrü müdonglang thali wünü yocho, “Shemüsung! 
JDG.7.16	Abinü anyitsarü thsih asang tsü mülung asang kang changnahcho ko nyitsarü müipi khyang rühti khüdu ko dsi ayonglang zehpü alihfüh khüdu-khüdu jücho. 
JDG.7.17	Abinü arüh te yocho, “Khode Ih arüh lichah amünyeh chihnang, Ih dheng, ko Ihnü tu nguchinang hütsü kyo nguching. 
JDG.7.18	Khode ihrü mülungnü rühti tsü mehnang, hütsüde nührüsü nührü rühti arüh lichah mükang mehng ko hita züdeing, ‘
JDG.7.19	Gideon ko abi yola nyüh thsih khüdu yürüptülung chinyo rode, anyahrü mülitayeng, arüh müdongchah amünyeh chii rocho. Hütsüde arühnü rühti tsü mehcho ko arühnü biba füh tsü mapnahcho, 
JDG.7.20	ko aparü mülung anyüh tsü nüsü hütsüta nguchicho. Arüh atümungnü fülilangnü dsi tsü bicho ko tsalangnü rühti tsü bipü züde, “
JDG.7.21	Nyitsarü müipi yang tsü mükangmüla palu yaji la yacho ko arorüh rothsarü atümung dro tsipehcho. 
JDG.7.22	Arühnü rühti tsü mehyade, 
JDG.7.23	Hütsüpü Naftali, Asher ko Manase anyüding lanü nyitsarü dsipü arühnü Midianrü iiwücho. 
JDG.7.24	Gideon-nü azong lih apümlang yuva mütheh yocho, “Midianrü te khatanung jürung. Midianrü keh mütsisohnung Jordan Yongkhi lanü Bethbara yongkhi chii mükangtieng.” Efraim la lirüti dsimükhong, arühnü Jordan yongkhi lanü Bethbara yongkhi chii mükangticho. 
JDG.7.25	Arühnü Midianrü akurahrü anyüh Oreb ko Zeeb rangcho; ko arühnü Oreb tsü Oreb lung ko Zeeb tsü Zeeb Cikih nyehji la müpsehcho. Mütozah arühnü Midianrü tsü iiwücho ko Gideon Jordan nyüchürolang liyade, abi yang Oreb ko Zeeb nyüh thah hirojücho.
JDG.8.1	Hütsüpü Efraimrünü Gideon te yocho, “Tuepü Midianrü te khatanung wüde ihrü müdsicho? Tuepü ihrü te hita bichiro?” Arühnü hütsü nengdang dee mükünyangcho. 
JDG.8.2	Ta abinü yocho, “Ihnü nguchichehnung liba tsü nührünü nguchicho te tulasü mükihtacheh. Nührü Efraimrünü nguchiba azikyah tsü mii ihrü hung apümshünü nguchicho tenü awüu lile. 
JDG.8.3	Ajüje, Tsingrangba tase khu nührünü Midianrü akurahrü anyüh Oreb ko Zeeb nyüh kyüsehko. Hütsü te kihtachehnung Ihnü tu nguchicho?” Abinü hütsü yode, arüh zichürocho zah pehcho. 
JDG.8.4	Hitadelü Gideon ko abi nyitsarü thsih asang tsü Jordan Yongkhi chii rocho ko hütsü kehpü licho. Arüh kyahsehpü licho, ta mütozah arorüh iiwücho. 
JDG.8.5	Khode arühnü Sukot chihcho, abinü hütsüla lirü te yocho, “Yanglilüm I nyitsarü khyang hümthse khürü tüpm. Arüh kyahsehko ko Midianrü yangthsarü Zebe ko Zalmuna iiwüre.”
JDG.8.6	Ta Sukot zirünü yocho, “Tuepü ihrünü nü rothsarüti khyang tsuyongnung jünung? Nühnü ade yingcheh Zeba e Zalmuna nyüh mürang.”
JDG.8.7	Achotsü Gideon-nü yocho, “He! Khode 
JDG.8.8	Gideon-nü Penuel lang wücho ko hütsüla lirü te hütsüroh-i du kihchicho, ta Penuelrünüsü Sukot-rü nü lalingcho kyo du lalingcho. 
JDG.8.9	Achotsü abinü arüh te yocho, “Ih khümcho thali ronung, ko khode Ih thali ronang, Ihnü nührü rangrangkuh thsangnyangjünung!”
JDG.8.10	Zeba e Zalmuna nyüh arüh rothsarü nüpü Karkor la licho. Azong nyitsarü rothsarü apüm yolanü hajar dhüre-münga oshi du nyingcho; ko rothsarü lakh khüdupü hajar mükyü changpehcho. 
JDG.8.11	Gideon-nü Noba ko Jogbeha nyüchürolang lipilih lanü langjüp wü rothsarüti tsü thohdhünü mahcho. 
JDG.8.12	Midian yangthsarü Zeba e Zalmuna nyüh tsü rang tsicho, ta abinü arüh iiwü rangcho, ko arüh rothsarü apüm lümdhamasohcho.
JDG.8.13	Khode Gideon khata langnü Heres lang lanü thalicho, 
JDG.8.14	abinü Sukot lanü dhrezarü khüdu rangcho ko abi te yu tsingcho. Dhrezaba tsünü abi khyang Sukot-rü langnürü nyitsarü nyührepü dhünyeh neng thrahjücho. 
JDG.8.15	Hütsüpü Gideon-nü Sukot lang wünü arüh te yocho, “Nührünü Ih mütrobasü mülümcheh-o? Ihnü Zeba ko Zalmuna nyüh mürangde kyahseh liba I rothsarüti khyang tu atsunung müjünungepü nührünü yocho. Dheng arüh hila lile.” 
JDG.8.16	Hütsüpü abinü rangmü zeng khyo Sukot-rü langnürüti khingchicho. 
JDG.8.17	Adesü abinü Penuel la rangrangkuh thsangnyangjücho ko hütsüla lirüti kyüsehcho.
JDG.8.18	Hütsüpü Gideon-nü Zeba e Zalmuna nyüh te tsingdhengcho, “Nührünü Tabor la kyüsehba nyitsarü tsü tu roh-io?”
JDG.8.18	Arühnü lalingcho, “Arüh tsü nührü kyole, arüh atümung yangthsarü khüdu tsurü kyole.”
JDG.8.19	Gideon-nü yocho, “Arüh tsü I nirüti lile, Itpa khung tsurüti lile. Ihnü yuchüm yore, nührünü arüh tsü mükyüsehlang, Ihnü nührü mükyüsehba thsachoe.” 
JDG.8.20	Hütsüpü abinü atsurü aukhuba Jother te yocho, “Arüh tsü kyüsehng!” Ta azaba tsünü akheh mülehchehcho. Abinü tütohnyünyehcho, tunüo abi azarü du thsacho.
JDG.8.21	Hütsüde Zeba ko Zalmuna nyühnü Gideon te yocho “Thsaang, nüpu khehnü ihrü kyüsehng. Adhrerü nguchi tsü adhrerünü du nguchire.” Achotsü Gideon-nü arüh kyüsehcho ko arüh ut hong la zehcho thsidi kohroti tsü khyücho.
JDG.8.22	Hütsüpü khanglang, Israelrünü Gideon te yocho, “Nüh ko nü shümtsurü chii nüh ihrü Yangthsaba thsaang. Nühnü Midianrü kheh lanü ihrü khümchoko.”
JDG.8.23	Gideon-nü lalingcho, “Ih ko I tsurütinüsü nührü michah yangthsa müthsanung. 
JDG.8.24	Ta abinü adesü yocho, “Ihnü nührü tenü lango tsingdhengnung. Nührü atümungnü nührünü hirocho nangmüshi tsü I khyang jüng.” (Aparü lihpi nyitsarü kyo Midianrü nüsü hon-nü külüpcho nangmüshi nangcho.)
JDG.8.25	Müyurütinü lalingcho, “Ihrünü künyangseh nü khyang jünung.” Arühnü shü khyangpü hütsüla palunü hirocho nangmüshi tsü thohyohcho. 
JDG.8.26	Hon nangmüshi dunü süreh mükyü-o thsacho ko hütsüla thsidi kohro, lah ko Midianrü yangthsarünü khyüba anyahrüm shü mahkhang arüh ut hong la zehba kohro müzeh. 
JDG.8.27	Hon tsünü Gideon-nü kyothri khüdu külüpcho ko abi yangdi Ofra la abi kuhla yohpücho. Ko Israelrü atümungnü Tsingrangba pehjüpü hütsüba kyothri tsü mübünung wücho. Hütsü Gideon ko abi kukhi nengdang uzathsa khüdu licho.
JDG.8.28	Hütsüta Midian tsü Israelrünü kohchehcho ko adelü tu adrünung mülicho. Gideon müsüde kang yüre alih la yangtsa licho.
JDG.8.29	Gideon-nü thali apu kuh lang wü hütsüla licho. 
JDG.8.30	Abi tsurü adhrerü nyühre licho tunüo anitpü adrong licho. 
JDG.8.31	Shekem la abi ashüm sü licho; abükyünü adhrerü khüdu nümüsucho, ko abinü aneng Abimelek dsijücho. 
JDG.8.32	Joash tsurü Gideon tsü shiseh sücho ko Abiezer hung yangdi Ofra la au Joash kong la abi dhrürangcho.
JDG.8.33	Gideon süpü Israelrünü thali Tsingrangba te yuje müchocho ko Baal mübücho. 
JDG.8.34	Arühnü azengtacho Baal tsü arüh tsingrang kangsohcho ko arüh rorüh chahnü khümchoba 
JDG.8.35	Arühnü Israelrü nengdang atsa hütsüdoi nguchijüba Gideonrü kukhi te künyang mülümcho.
JDG.9.1	Gideon tsurü Abimeleknü atparü Jünirü atümung liba Shekem lang wücho 
JDG.9.2	ko Shekemrü te hita tsingdhengnung arüh te yocho, “Nührünü khüi mürunung? Gideon tsurü nyühredingnü yangthsasohnung a mahkhang nyüh khüdu dunü yangthsasohnung? Abimelek tsü nührü shushüh khüduepü müdheing.” 
JDG.9.3	Hütsü nengdang atparü tsutpurünü Shekemrü te chotacho ko Shekemrünü Abimelek khanglang wünung dhrongchehcho, tunüo abi tsü arüh tsutpurü thsacho. 
JDG.9.4	Arühnü abi khyang azengtacho Baal amübükuh lanü taripi nyühre jücho, ko hütsüba thsi tsünü abi yola zehsohnung afüashi khürü mülihcho. 
JDG.9.5	Abinü Ofra la au kuh lang wücho ko hütsüla lungpüm khüdu michahnü Gideon tsurü arüh nyühre tsü kyüsehcho. Ta Gideon tsurü achangba Jothamlü rangpehpü mükyüsehcho. 
JDG.9.6	Hütsüde Shekemrü ko Bethmillorü atümung shimükhongcho ko Shekem la Amüsa langsing yang wücho ko hütsüla arühnü Abimelek Yangthsaba kangsohcho.
JDG.9.7	Jothamnü hütsü yuchide abinü wü Gerizim Khang chah yapü züdecho, “Nührü Shekemrü I yu nyieng, ko Tsingrangbanü nührü te nyinung! 
JDG.9.8	Shikhe khüdu singdongtinü arüh michah yangthsarü thronung shimükhongcho. Arühnü olive singdong te yocho, ‘Nüh ihrü Yangthsaba thsaang’ 
JDG.9.9	Olive singdongnü lalingcho, ‘Nührü michah yangthsanung nengdang tsingrangrü ko nyitsarü hechijüba tuji chixiba pehjünung do?’ 
JDG.9.10	Achotsü arühnü ngurüsidong te yocho, ‘Nüh rung ko ihrü yangthsarü kang.’ 
JDG.9.11	Ta ngurüsidongnü lalingcho, ‘Nührü michah yangthsanung nengdang Ih singsih anyiyah pehjünung do?’ 
JDG.9.12	Achotsü arühnü shükusishü te yocho, ‘Nüh rung ko ihrü yangthsarü kang’ 
JDG.9.13	Ta shüsidongnü lalingcho, ‘Nührü michah yangthsanung nengdang tsingrangrü ko nyitsarü künyangsohba cikih pehjünung do?’ 
JDG.9.14	Achotsü singdong apümnü zengtrung te yocho, ‘Nüh rung ko ihrü yangthsarü kang’ 
JDG.9.15	Zengtrungnü lalingcho, ‘Nührünü yuje Ih nührü Yangthsaba kangsohnyükhang, rung ko I khümki ku münyieng. Mahkhang I zengtrung lanü michang chüro Lebanon lanü Cedar sing tsü trüp-pehng.’
JDG.9.16	“Khang ade”, Jothamnü müchikeh yocho, “Nührünü Abimelek yangthsarü kangsohde lümkhung lümnü kangsohcho mah-o? Nührünü Gideon ko abi nguchi lümkeh abi kukhi te chomangcho mah-o? 
JDG.9.17	Uwanü nührü nengdang khatajücho lümchehng. Midianrü kheh lanü nührü khümchonung abi akang jücho. 
JDG.9.18	Ta chünye nührünü Uwa kukhi nyüm yare. Nührünü abi tsurü nyühre lungpüm khüdu michahnü kyüsehpü, nührü tsutpurü thsachonü, Abimelek abi kulilarü tsurü nührünü Shekem Yangthsaba kangsohre. 
JDG.9.19	Hütsüeko chünye nührünü Gideon ko abi kukhi te tu nguchiro, hütsü lümkhung nguchirü thsakhang, Abimelek te longlang ko abinü nührü chah longlangsohng. 
JDG.9.20	Mahkhang, Abimelek chahnü michang chüro Shekem ko Bethmillo trüp-pehsohng. Ko Shekem ko Bethmillo chahnü michang chüro Abimelek trüp-pehsohng.” 
JDG.9.21	Hütsüpü amung Abimelek drüchonü, Jothamnü rang tsicho ko wü Beer la licho.
JDG.9.22	Abimeleknü Israel la kang asang yangthsacho. 
JDG.9.23	Hütsüpü, Tsingrangbanü Abimelek e Shekemrü kahla mükehmükhu chürosohcho ko arühnü abi nyüm yacho. 
JDG.9.24	Hütsü Abimelek ko Shekemrü sürünü Gideon tsurü nyühre kyüsehsohnung müsi mülahsohcho, arüh rühyangnung nengdang tikehcho. 
JDG.9.25	Shekemrünü akhang chah Abimelek nyüm jümsohcho ko alahkhurü atümung chahnü arühnü kengchocho. Ko hütsü Abilemeknü müdhecho.
JDG.9.26	Hütsüde Ebed tsurü Gaal Shekem lang anirüti yola rocho ko Shekemrünü abi chah longlangcho. 
JDG.9.27	Arüh atümung arüh shükusih yolang wü shükusih laacho ko cikih külüp-pü thsüti licho. Arühnü arüh Tsingrang amübü kuh lang wücho ko hütsüla tsuyong Abimelek müthsamünyücho. 
JDG.9.28	Gaalnü yocho, “Ihsa Shekemrü hi tuo?” Tuepü Ihsa Abimelek pohki liro? Abi tsü süo? Gideon tsurü. Ko Zebulnü abi chahnü amülaba khyüre, ta tuepü Ihsa abi pohki linung? Nührü jümürü Hamor yochonyi lieng. 
JDG.9.29	Ih nührü michah langnürüelang, Ihnü Abimelek süsohnung. Ihnü abi te, “Nü rothsarü thali norung ko khataang,” pü yonung.
JDG.9.30	Khode Gaalnü hütsüta chocho yangdi Yangthsaba Zebulnü yuchicho, abi mükünyangcho. 
JDG.9.31	Abinü Aruma la Abimelek yang yusi hirü mütheh yocho, “Ebed tsurü Gaal ko anirüti Shekem la roko, ko arühnü nüh yangdi la müzürosohnung rungnümko. 
JDG.9.32	Hütsüeko ade, nüh ko nü nyitsarüti shomülangnü shehmüi rangmü la rang. 
JDG.9.33	Ko atunyang mütoh dhrongyengnü yangdi tsü mahng. Khode Gaal ko abi nyitsarütinü nyüm yanang nühnü kohchonü arüh chah thahpüng.”
JDG.9.34	Achotsü Abimelek ko anyitsarütinü aromang tsünü shehmüi Shekem shündhün mülung müyü kang changnahpü rang pümcho. 
JDG.9.35	Khode Abimelek ko abi nyitsarünü Gaal chüro yangdi tbükhüm te ya ngucho, arühnü arüh rang pümcho lanü shemüsucho. 
JDG.9.36	Gaalnü arüh ngu Zebul te yocho, “Dheng! Azonglang tsünü nyitsarü shicho jürole.”
JDG.9.36	“Hütsüri nyitsarü mah.” Zebulnü lalingcho. “Arüh tsü azong chah nbükhüm due.”
JDG.9.37	Gaalnü thali yocho, “Dheng! Azong alongtüshung lanü nyitsarü jürole ko mülung khüdulü amüchehrü langsingdong la tsünü tung jürole.”
JDG.9.38	Hütsüde Zebulnü abi te yocho, “Nü yu mülahbasü khülo-o? Abimelek pohki Ihsa tuepü linung pü yoba tsü nüh mado? Nühnü mükhimünguba nyitsarü tsü hirie. Ade shemüsu wü arüh te khataang.” 
JDG.9.39	Gaalnü Shekemrü nüpü wü Abimelek te khatacho. 
JDG.9.40	Gaal rang tsicho ta Abimeleknü abi iiwücho. Yangdi tbükhüm lanü mii arüh khütang lerohpehcho. 
JDG.9.41	Abimelek Aruma la licho ko Zebulnü Gaal ko anirüti Shekem la mülisohnung iipehcho.
JDG.9.42	Nyümong khüu tsü Shekemrü luh lang wünung lümchung lilepü Abimeleknü müdhecho. 
JDG.9.43	Achotsü abinü anyitsarü nowü mülung asang kang changpü rangmü la tsü arüh jüm pümsohcho. Arüh yangdi la tsünü chürochi ngude, abinü arüh kyüsehnung chürocho. 
JDG.9.44	Khode Abimelek ko abi mülungnü yangdi tbükhüm la tsü jümnung dhsüthsa wücho, aparü mülung anyüh tsünü luh la lirü tsü apüm kyüsehcho. 
JDG.9.45	Khata tsü mükhyang khatacho. Abimeleknü yangdi tsü mahchehcho, nyitsarüti kyüsehkhangcho, yangdi tsü thsangnyangjücho ko alih tsü mihnü thohti yohpüjücho.
JDG.9.46	Khode Shekem la langnürütinü hütsü yuchicho, arühnü azengtacho Baal tsingrang amübükuh roshengvi yang kumünyinung shangcho. 
JDG.9.47	Arüh hütsüla shimükhong liba tsü Abimeleknü müdhecho, 
JDG.9.48	achotsü abinü anyitsarü nüpü Zalmon khang chah küducho. Hütsüla abinü püh khüdu hiro singjengza khüdu kyühsahcho, ko apakyarü chahnü dhicho. Abinü anyitsarü te abi kyo zah nguchinung yocho. 
JDG.9.49	Hütsüta nyitsarü müipinü singjengza khüdu-khüdu kyüsahcho; ko arühnü Abimelek iithsa sing tsü roshengvi chah tsü zangbhümcho. Arühnü nyitsarü tsü ayonglang pümsohpü hütsü chah tsü michang thsürangcho. Ko hütsüla lirü khingkurü adhrerü hajar khüdu-o sücho.
JDG.9.50	Hütsüpü Abimeleknü Thebez lang wü yangdi tsü mükangticho ko hütsü mahchehcho. 
JDG.9.51	Hütsüla roshengvi arangcheh khüdu licho ko yangdi la lirü khingkurü adhrerü apüm hütsüla tsiyohcho. Arühnü arühbürü jangjangthsa ayonglangnü khangticho ko kuhmung lang tuwücho. 
JDG.9.52	Khode Abimeleknü hütsü mahnung rocho, abinü hütsü chah michang thsürangnung trahtri lang tsü wücho. 
JDG.9.53	Ta khingkurü khüdunü zahlung khüdu athahchah dhi kengjücho ko athah müprüpcho. 
JDG.9.54	Hütsüde abinü abi thsunohrü hiba dhrezaba tsü zahnü dsi yocho, “Nü nohsheng tohcheh Ih kyüsehng. Khingkurü khüdunü Ih müpsehchoepü müdangchisohnyüre.” Achotsü dhrezaba tsünü khakhu thracho ko abi sücho. 
JDG.9.55	Khode Israelrünü Abimelek sücho ngucho, arüh atümung kuh lang thalicho.
JDG.9.56	Hütsüta Abimeleknü au nyüm ko arüh jünirüti nyühre kyüsehcho mülih Tsingrangbanü mülihcho. 
JDG.9.57	Shekemrüsü arüh mütsacho nengdang, Gideon tsurü Jothamnü chokehcholade yocho kyo Tsingrangbanü arüh chongchasohcho.
JDG.10.1	Abimelek süpü khanglang, Pua tsurü ko Dodo shümtsurü Tolanü Israel nüchehnung rocho. Abi Isakar hung lanü ko Efraim azong lih la Shamir la licho. 
JDG.10.2	Abi Israel langnürü thsa kang mükyüpü asang licho. Hütsüpü abi sücho ko Shamir la dhrürangcho.
JDG.10.3	Tola khanglang Gilead lanü Jair rocho. Abinü Israel kang mükyüpü anyüh langnücho. 
JDG.10.4	Abi tsurü sangre licho ko arühnü arüh gadu sangre nücho. Gilead lih la arüh yangdi sangre licho, ko ade mii Jair yangdongti pü dsire. 
JDG.10.5	Jair sücho ko Kamon la dhrürangcho.
JDG.10.6	Adesü thali Israelrünü Baal ko Ashtarot, Syria, Sidon, Moab, Amon ko Filistiarü tsingrangti mübo 
JDG.10.7	Hütsü khu Israelrü te 
JDG.10.8	Kang dhüre-keh Gilead la Jordan Yongkhi nyüchürolang Amor lih la liba Israelrü arühnü sehchi dhsümthse bichicho. 
JDG.10.9	Amonrünü Juda, Benjamin ko Efraimrü te khatanung Jordan mii keh küducho. Israelrü dee chongchacho.
JDG.10.10	Hütsüde Israelrünü 
JDG.10.12	Sidonrü, Amalekrü ko Moabrünü, atsicho la nührü sehchi rocho ko nührünü I te kihchicho. Ihnü arüh kheh lanü nührü mükhümchocho mah-o? 
JDG.10.13	Hütsüpü mii nührünü Ih pehjüpü aparü tsingrang mübücho. Hütsüeko adelü Ihnü nührü mükhümchonung. 
JDG.10.14	Wüng ko nührünü mübüba tsingrang te kihchieng. Nührü dhsürü la züdude arüh khyang nührü khümchosohng”.
JDG.10.15	Ta Israelrünü 
JDG.10.16	Hütsüta arühnü shupa tsingrang pehjüpü 
JDG.10.17	Hütsüde Ammor-rü rothsarünü khatanung küdang Gilead la arüh müdongcho. Ko Israelrünü ro Gilead la Mizpa la müdongcho. 
JDG.10.18	Hütsüla Israelrü müyurü ko langnürütinü tsingdhengtacho, “Ammor-rü nyüm khatanung sünü langnünung? Sünü nonang, abi tsü Gilead la atümung michah langnürü thsanung.”
JDG.11.1	Gilead lanü rothsarü yola akurahrü Jeftha tsü nahtrahnaxenglarü khüdu tsurü licho. 
JDG.11.2	Au Gilead tsü anitpü chahnü atsurü apasü licho ko arüh lümjingde, Jeftha tsü kuh lanü iipehcho. Arühnü abi te yocho, “Ihrü au chahnü nüh tu thsiking müngunung; nüh khingkurü apa chahnü lile.” 
JDG.11.3	Hütsüta Jeftha tsü arüh tenü tsiwü Tob lih la licho. Hütsüla amükhyu mülung khüdu abinü nübülung abi yola lisohcho.
JDG.11.4	Tunyah mülipü Amonrünü Israelrü nyüm khata wücho. 
JDG.11.5	Hi tikehde, Gilead la langnürütinü Tob lih lang Jeftha nüli ronung wücho. 
JDG.11.6	Arühnü yocho, “Amonrü te khatanung nüh rung ko ihrü lang nüng.”
JDG.11.7	Ta Jefthanü lalingcho, “Nührünü Ih hidoi thrünyi Iu kuh lanü Ih iipehcho. Tuepü ade nührü chongchade I yanglang roro?”
JDG.11.8	Arühnü Jeftha te yocho, “Ade ihrü nü yanglang thali rore, tunüo Amonrü te khatanung nühnü no wüsohnyüre ko Gileadrü atümung nüsohnyüre.”
JDG.11.9	Jefthanü arüh te yocho, “Amonrü te khatanung nührünü kuh lang Ih thali nowükhang ko 
JDG.11.10	Arühnü lalingcho, “Ihrünü nyengchore. 
JDG.11.11	Achotsü Jefthanü Gileadrü langnürü yola wücho ko müyurünü abi arüh Yangthsaba ko langnürü kangsohcho. Jefthanü Mizpa la abi alümcho apüm 
JDG.11.12	Hütsüpü Jefthanü Amon Yangthsaba yanglang hita yonung yusi hirü müthehcho, “Ihrü te tu nengdang khataro? Tuepü nühnü ihrü lih mahro?”
JDG.11.13	Amon Yangthsabanü Jeftha yusi hirü te yocho, “Israelrü Ijip lanü chüropü, arühnü I lih Arnon Yongkhi lanü Jabbok Yongkhi ko Jordan Yongkhi chii khyüko. Ade hütsü nühnü yangtsa lanü thali jüng.”
JDG.11.14	Jefthanü Yangthsaba Amon yanglang alalingba hi hipü müthehcho: 
JDG.11.15	“Israelrünü Moabrü mahkhang Amonrü lih khyüjükoba tsü arahkheh. 
JDG.11.16	Ta hiroh-i tikehcho: Israelrü Ijip pehjo tside, arühnü Amoh kihlang akungaselih khu ro Kadesh chihcho. 
JDG.11.17	 Hütsüpü arühnü Edom Yangthsaba yang abi lih khu tsinung mülajüngpü tsingdhengnung yuhirü müthehcho. Ta Edom Yangthsabanü mümülacho. Arühnü Moab Yangthsaba tesü tsingdhengcho, ta abinüsü abi lih khu tsinung mümülacho. Achotsü Israelrünü Kadesh la licho. 
JDG.11.18	 Hütsüpü arühnü akungaselih khu Edom ko Moabrü Arnon Yongkhi khüulang, Moab nyüchüro lahpi ro chihcho. Arühnü hütsüla müdongcho, ta Arnon mükhucho tunüo hütsü Moabrü luhrü thsacho. 
JDG.11.19	 Hütsüpü arühnü Heshbon la Amor-rü Yangthsaba Sihon te arühbürü lih lang wünung abi lih khu tsisohngpü tsingdhengnung yuhirü müthehcho. 
JDG.11.20	Ta Sihon-nü mümülacho. Abinü abi rothsarü apüm nüpülung Jahaz la müdongnü Israelrü mahcho. 
JDG.11.21	Ta Israel Tsingrang 
JDG.11.22	Arühnü Amor-rü lih apüm kihjinglang Arnon lanü kihku lahpi Jabbok chii ko nyüchüro akungaselih lanü nyüzüdu lahpi Jordan chii khyücho. 
JDG.11.23	Hütsüta, 
JDG.11.24	Nühnü hütsü thali khyünung müküprü mah-o? Nü tsingrang Khemoshnü nü khyang jüchoti khyünung kohle. Ta ihrünü ihrü Tsingrang, 
JDG.11.25	 Nühnü nüh tsü Moab Yangthsaba, Zippor tsurü Balak tenü atsauepü lümrü mah-o? Abinü Israelrü khyangchicho mah-o? Abinü ihrü nyüm khata dhengcho do? 
JDG.11.26	Israelrünü Heshbon ko Aroer, ko hütsü mükang yangditi ko Arnon yongkhi bekhüm la liba yangditi kang thsih asang khyo rore. Hütsü bekhyah tuepü nührünü hütsüri thali mükhyücho? 
JDG.11.27	Mah, Ihnü nü te tu müthsameh. I te chitaba tsünü nüh thsamehre. 
JDG.11.28	Ta Amon Yangthsabanü Jeftha yu tsü münyicho.
JDG.11.29	Hütsüde 
JDG.11.30	Jefthanü 
JDG.11.31	Ih akoh ngupü rode, Ih mütohnung I kukhi lanü sü akhu chüronang, Ihnü abi Nü khyang trüp mübünung. Ihnü abi Nü khyang kangmübü jünung.”
JDG.11.32	Hütsüpü Jefthanü Amonrü te khatanung yongkhi tsü keh wücho ko 
JDG.11.33	Abinü Aroer lanü Minnit mükangnü Abel Keramim chii, apümnü yangdi mükyü khyücho. Hütsü nyümong khütang kingthrümcho ko Israelrünü Amonrü kohcho.
JDG.11.34	Khode Jeftha tsü Mizpa lanü kuh lang thali rocho, abi mütohnung atsulatpü tambourin bipü khi thsa tsohchi chürocho. Abi tsurü hütsü du thsacho. 
JDG.11.35	 Abinü abükyü ngude, awahchonü ajengki rehnah yocho, “O I tsulatpü! Nühnü I lasih thsangnyangjüle. Ih thsasohba hi tuepü nüh thsacho? Ihnü 
JDG.11.36	Abükyünü abi te yocho, “Nühnü 
JDG.11.37	Ta abükyünü au te tsingdhengcho, “I nengdang lang khüdu hi nguchijüng. I shangrüti yola azonglang tsü wünü Ih lazadenü sünunge ang pü longri rachinung nengdang, I khyang choo anyüh mülajüng” 
JDG.11.38	Abinü abükyü tsü choo anyüh nengdang mülajo wüsohcho. Abükyü ashangrüti yola azong la tsü wünü abükyü kuh mükangpü ko azarü mülipü sopehnung shulüm longricho. 
JDG.11.39	Choo anyüh khanglang abükyünü au yang thali rocho. Abinü 
JDG.11.40	Hiba hi Israel la kang mükhu lazarütinü nyümong müyü nengdang wünü Gileadrü Jeftha tsulatpü nengdang meshüba liyah adikeh licho.
JDG.12.1	Efraimrünü khatanung rungnümcho; arühnü Zafon lang Jordan Yongkhi keh wüpü Jeftha te yocho, “Tuepü Amonrü te khatanung ihrü müdsipü luhrü khu wücho? Ihrünü nü thah chah nührü kuh trüpjünung!”
JDG.12.2	Ta Jefthanü arüh te yocho, “Ih ko I müyurüti Amonrü te khütang nyümta licho. Ihnü nührü dsiko ta arüh kheh lanü nührünü Ih mükhümcho. 
JDG.12.3	Nührünü Ih mükhümchochehnungepü müdhechonü, Ihnü Ipu akang jo luhrü tsü khu wünü arüh te khatacho ko arüh michah 
