MAT.1.1	Yisu †Kilisi ndê apai si ŋadênaŋ dindec. Iŋ sa akêŋ Dawid ndê, ma Dawid sa akêŋ Abraham ndê.
MRK.13.22	Lau naŋ sêŋsau bu ŋac Mesaya, ma propet tasaŋ oc sêmeŋ ma sêkôm gêŋ dalô ti gêŋ atu-tu bu sêŋsau lau. Ma ŋac oc sêŋsahê bu sêtim lau naŋ Anötö kêyaliŋ ŋac sa, naŋ sêwhiŋ. 
MRK.13.23	Aö gakêŋ puc mac gwanaŋ, ma bocdinaŋ ayob daôm ŋapep.”
MRK.13.24	Ma Yisu sôm, “Ndoc ŋawapac-ŋga dinaŋ oc pacndê, ma tiŋambu lau oc sêlic gêŋ dalô atu-tu. Ac oc nem ganduc ma ayô oc ŋawê tiyham dom. 
MRK.13.25	Ma tata oc sêpeŋ akêŋ umboŋ, ma gêŋ ti ŋaclai naŋ sêlhac umboŋ oc wiwic sa. 
MRK.13.26	Ma tiŋambu lau oc sêlic Ŋamalac ndê Atu meŋ ndöc dao ŋahô ti ndê ŋaclai ma ŋawasi atu. 
MRK.13.27	Ma iŋ oc êŋkiŋ ndê aŋela sêsa sêtêŋ nom ŋabatiŋ ti undambê ŋabatiŋ hoŋ sêndi, bu sêndic lau naŋ iŋ kêyaliŋ ŋac sa su, naŋ sa.
MRK.13.28	“Gauc nem a laŋ. Têŋ ndoc mac alic ŋalauŋ wakuc bu lêc, naŋ mac aŋyalê bu ndoc ac-ŋga meŋ kêpiŋ. 
MRK.13.29	Ma bocdinaŋ têŋ ndoc mac alic gêŋ naŋ aö gasôm yom pi, naŋ hôc asê, dec aŋyalê bu Ŋamalac ndê Atu ndê bêc mbu meŋ-ŋga meŋ kêpiŋ su, gitôm iŋ meŋ kalhac gatam. 
MRK.13.30	Yomandô! Lau têm dinaŋ-ŋga oc sêniŋga dom e gêŋ hoŋ dinaŋ hôc asê. 
MRK.13.31	Undambê ti nom oc niŋga, magoc aneŋ yom oc niŋga dom. Gêŋ hoŋ oc ŋandô sa tôm aö gasôm.”
MRK.13.32	Ma Yisu sôm, “Lau daŋ sêŋyalê bêc me acgatu naŋ Ŋamalac ndê Atu oc mbu meŋ, naŋ dom. Aŋela undambê-ŋga sêŋyalê dom, Anötö ndê Atu kêyalê dom, Damaŋ tawasê kêyalê. 
MRK.13.33	Bocdinaŋ anem ali ma ayob daôm ŋapep! Mac am gauc têm naŋ bêc ŋambu-ŋga dau oc meŋ sa. 
MRK.13.34	Gitôm andu ŋadau daŋ naŋ bu sa ndi lic gameŋ ŋatô. Iŋ hu ndê andu siŋ ma kêŋ iŋ ndê lau akiŋ sêwêkaiŋ si gweleŋ têŋtêŋ. Ma iŋ oc sôm têŋ ŋgac yob gatam-ŋga, bu iŋ nem ali ma tatiŋ gameŋ ŋapep e iŋ mbu meŋ. 
MRK.13.35	Bocdinaŋ anem ali, bu mac aŋyalê ndoc naŋ andu ŋadau oc mbu meŋ, naŋ dom. Iŋ oc hôc asê têŋ telha me timaniŋhu, me dalec taŋ, me bêbêc ganduc, naŋ mac aŋyalê dom. 
MRK.13.36	Ayob daôm ŋapep, mboe iŋ oc mbu meŋ ŋagahô, ma tap mac sa ayêc bêc ayêc. 
MRK.13.37	Yom naŋ aö gasôm têŋ mac, naŋ dec wasôm têŋ lau hoŋ bocdinaŋ. Anem ali!”
MRK.14.1	Lau Israel si †Mwasiŋ Pasowa ti †Mwasiŋ Bolom Yist Mba-ŋga ŋandoc meŋ kêpiŋ, ma bêc lu yêc dôŋ yêc. Ma dabuŋ-siga atu-tu ti lau naŋ sêndôhôŋ yomsu-ŋga sêŋsalê lêŋ daŋ bu sêkôc Yisu dôŋ gelec ma sêndic iŋ ndu. 
MRK.14.2	Tigeŋ sêhêgo dau ma sêsôm, “Dakôm têŋ Mwasiŋ Pasowa-ŋga ŋandoc dom, mboe lau daêsam naŋ sêmbo Jerusalem tu om atu Pasowa-ŋga, naŋ oc sêlic ma sêli dau sa.”
MRK.14.3	Têŋ têm dinaŋ Yisu mbo malac Betani, ma gêŋ gêŋ ndöc whiŋ ŋgac daŋ ŋaê Saimon. Muŋ-ŋga iŋ ŋgac ti gêmbac leprasi. Yisu ndöc tebo ma awhê daŋ meŋ, naŋ kôc bu ŋamalu ŋayham ŋaôli atu sip kac daŋ. Iŋ kac gêŋ dau sa, ma kêc gêŋ malu dau pi Yisu ndê ŋagôlôŋ. 
MRK.14.4	Lau ŋatô sêlic dec tac ŋandê têŋ awhê dau, ma sêsôm, “Tu sake-ŋga iŋ kêyaiŋ gêŋ ŋamalu dinaŋ? 
MRK.14.5	Gitôm bu dakêŋ têŋ lau sênemlhi ma datap awa atu sa, ma dakêŋ têŋ lau ŋalôm sawa. Ŋaôli dau oc hôc gêlêc ŋaôli tu gweleŋ yala sambuc-ŋga su.” Ma sêhec yom iŋ ŋalêŋ sac.
MRK.14.6	Magoc Yisu sôm, “Ahu iŋ siŋ ma akêŋ ŋawapac têŋ iŋ dom. Iŋ kôm gêŋ ŋayham solop têŋ aö. 
MRK.14.7	Lau ŋalôm sawa oc sêmbo sêwhiŋ mac ŋapaŋ, ma bocdinaŋ dec têm bocke mac bu atac whiŋ, naŋ oc tôm bu mac anem ŋac sa. Tigeŋ aö oc wambo wawhiŋ mac ŋapaŋ dom. 
MRK.14.8	Awhê dindec gitôm bu êmwasiŋ aö ŋalêŋ dinaŋ, dec kôm. Iŋ kêc gêŋ ŋamalu pi aö, dec tôm iŋ kêmasaŋ aö neŋ ŋamlic gwanaŋ tu sêŋsuhuŋ aö-ŋga. 
MRK.14.9	Yomandô aö wasôm têŋ mac, bu tiŋambu lau oc sêhoc ŋawaê ŋayham asê yêc gameŋ hoŋ, ma têŋ dinaŋ ŋac oc sêsôm yom pi awhê dindec ma lau oc gauc nem iŋ.”
MRK.14.10	Têŋ ndoc dinaŋ Judas Iskeriot, ŋgacsêŋomi 12 si daŋ, têŋ dabuŋsiga atu-tu gi ma sôm bu iŋ oc hoc Yisu asê têŋ ŋac. 
MRK.14.11	Ŋac sêŋgô iŋ ndê yom ti atac ŋayham, ma sêsôm tidôŋ bu sênemlhi iŋ. Bocdinaŋ iŋ kêsalê lêŋ tu bu hoc Yisu asê-ŋga.
MRK.14.12	Têŋ Mwasiŋ Bolom Yist Mba-ŋga ŋabêc ŋamata-ŋga, bêc naŋ lau Israel-ŋga sic domba Pasowa-ŋga ndu, naŋ ŋgacsêŋomi sêsôm têŋ Yisu bu, “Am tac whiŋ bu yac amasaŋ Mwasiŋ Pasowa bu am neŋ whiŋ yac-ŋga yêc nde?” 
MRK.14.13	Dec Yisu kêkiŋ ndê ŋgacsêŋom lu ma sôm têŋ iŋlu, “Asôc malac Jerusalem andi, ma amlu oc atap ŋgac daŋ sa naŋ kêbalaŋ bu lôŋ daŋ. Awhiŋ iŋ atêŋ iŋ ndê ŋadau ndê andu andi. 
MRK.14.14	Ma asôm têŋ andu ŋadau, ‘Alu mba kêdôhôŋwaga ndac am tu andu ŋalôm ŋacleŋ-ŋga, bu iŋ ti ndê ŋgacsêŋomi bu sêneŋ Mwasiŋ Pasowa-ŋga yêc am nem andu.’ 
MRK.14.15	Ma iŋ oc tôc ŋalôm atu daŋ yêc andu dau ŋahô-ŋga têŋ amlu. Tebo ti gêŋ hoŋ tu yac daneŋ Mwasiŋ Pasowa-ŋga yêc ŋalôm dau, goc amasaŋ gêŋ yêc dinaŋ.” 
MRK.14.16	Goc sêŋom lu dinaŋ sêsôc malac si, ma sêtap gêŋ hoŋ sa tôm Yisu sôm su, ma sêmasaŋ Pasowa.
MRK.14.17	Têŋ ac gi su Yisu ti ŋgacsêŋomi 12 sêtêŋ andu dau si. 
MRK.14.18	Ŋac sêndöc ti seŋ gêŋ sêmbo, ma Yisu sôm, “Yomandô aö wasôm têŋ mac, bu mac nem daŋ oc hoc aö asê. Ŋgac dau kwahic dec ndöc ma gêŋ gêŋ whiŋ aö.” 
MRK.14.19	Yom dau kôm ŋac sêsö, ma ŋalôm ŋawapac atu, ma ŋac tigeŋ-tigeŋ sêsôm têŋ iŋ, “Mboe aö, a? Mba!” 
MRK.14.20	Goc iŋ sôm têŋ ŋac, “Ŋgac dau iŋ mac lau 12 nem daŋ, ma kwahic dec alu aŋ gêŋ sip pele tigeŋ. 
MRK.14.21	Gêŋ dau oc ŋandô sa pi Ŋamalac ndê Atu, tôm yom naŋ sêto yêc. Tigeŋ ŋgac naŋ hoc aö asê, naŋ oc tap ŋawapac atu sa, ma tu dinaŋ-ŋga iŋ dinda bu kôc iŋ dom, dec oc ŋayham.”
MRK.14.22	Têŋ têm ŋac seŋ gêŋ sêmbo, naŋ Yisu kôc bolom, gêm mbec, pô kôc-kôc, ma gic sam têŋ ŋac. Ma iŋ sôm, “Akôc sa loc, aö neŋ ŋandô dau dindec.” 
MRK.14.23	Ma iŋ kôc laclhu wain-ŋga daŋ ma gêm daŋge, goc kêŋ têŋ ŋac ma ŋac hoŋ sênôm. 
MRK.14.24	Iŋ sôm têŋ ŋac, “Aö neŋ dac wamatiŋ pwac-ŋga dau dec, naŋ wakêc siŋ tu lau daêsam-ŋga. 
MRK.14.25	Yomandô aö wasôm têŋ mac bu aö oc wanôm wain tiyham dom e Damaŋ ndê gôliŋ meŋ sa tiawê, ma têŋ ndoc dinaŋ aö wanôm tiyham.”
MRK.14.26	Tiŋambu ŋac sem wê daŋ, ma sêlhö sêsa sêtêŋ Lôc Olib si.
MRK.14.27	Ma Yisu sôm têŋ ŋac, “Mac hoŋ oc ahu aö siŋ, tôm yom naŋ sêto yêc bocdec bu, ‘
MRK.14.28	Magoc tiŋambu aö watisa tiyham, ma wamuŋ mac watêŋ gameŋ Galili-ŋga wandi.” 
MRK.14.29	Dec Pita sôm têŋ iŋ, “Ŋac hoŋ bu sêhu am siŋ, tigeŋ aö wahu am siŋ dom.” 
MRK.14.30	Ma Yisu ô yom ma sôm, “Aö wasôm yomandô bu ôbwêc dau dindec am oc sêc aö ahuc tidim tö su, goc dalec oc taŋ tidim lu-ŋga.” 
MRK.14.31	Tigeŋ Pita sôm yom ti ŋaŋga, “Mba! Gitôm sêndic aö ndu wawhiŋ am, aö oc wasêc am ahuc dom.” Ma ŋac hoŋ sêsôm yom kaiŋ tigeŋ.
MRK.14.32	Ŋac sêsa si e sêhôc asê ôm †olib-ŋga daŋ, ôm naŋ sêsam bu Getsemani, ma Yisu sôm têŋ ndê ŋgacsêŋomi, “Andöc dec ma aö wateŋ mbec.” 
MRK.14.33	Goc iŋ kôc Pita, Jems ma Jon sêwhiŋ iŋ si, ma sêhu ŋgacsêŋomi ŋatô siŋ. Têŋ ndoc dinaŋ Yisu ndê ŋalôm ŋawapac atu ma iŋ pô sim dau ŋandô. 
MRK.14.34	Iŋ sôm têŋ ŋac, “Aö neŋ ŋalôm kêsahê ŋawapac atu, kêpiŋ bu oc wambac ndu. Mac andöc dec ma anem ali.” 
MRK.14.35	Goc iŋ hu ŋac siŋ ma sa ŋasawa sauŋ gi. Iŋ hu dau sip nom gi ma teŋ mbec, bu nditôm goc Anötö nem iŋ sa bu êŋlêc têm hôc ŋandê-ŋga naŋ oc hôc asê iŋ. 
MRK.14.36	Iŋ sôm, “Damaŋ, O Damaŋ, am gitôm bu kôm gêŋ hoŋ. Kôc laclhu ŋawapac-ŋ ga dindec su yêc aö. Magoc êmkuc aö neŋ atac whiŋ dom, kôm tôm am daôm nem atac whiŋ bu kôm.”
MRK.14.37	Iŋ teŋ mbec su, dec mbu gi ma tap sa bu ŋgacsêŋomi sêyêc bêc sêyêc. Goc iŋ uŋ ŋac sa ma sôm têŋ Pita, “Saimon, bocke dec am yêc bêc? Am gitôm dom bu nem ali tôm acgatu ŋasawa tigeŋ, a? 
MRK.14.38	A nem ali ma ateŋ mbec bu lêtôm tap mac sa dom. Mac nem gatôm licbalê, tigeŋ ŋamlic kwapac.”
MRK.14.39	Goc Yisu sa gi, ma teŋ mbec tigeŋ dinaŋ tiyham. 
MRK.14.40	Pacndê, goc iŋ mbu gi ma gêlic ŋac sêyêc bêc, bu ŋac tandô hê ŋac sa ŋandô. Ma ŋac sêpônda yom tu sêsôm têŋ iŋ-ŋga. 
MRK.14.41	Goc iŋ gi ma teŋ mbec tidim tö-ŋga. Ma têŋ ndoc iŋ mbu têŋ ŋac tiyham, naŋ iŋ sôm, “Tu sake-ŋga mac ayêc bêc ti aŋwhaŋ daôm ŋapaŋ? Gitôm! Ndoc meŋ hôc asê su bu sêhoc Ŋamalac ndê Atu asê ma sêkêŋ iŋ sip lau sac amba. 
MRK.14.42	Atisa ma dandi! Alic ŋgac naŋ hoc aö asê dec meŋ su.”
MRK.14.43	Yisu sôm yom dinaŋ mbo, ma Judas, ŋgacsêŋomi 12 si daŋ hôc asê whiŋ lau daêsam naŋ sêhôc bieŋ ti síŋ. †Dabuŋsiga atu-tu ti kêdôhôŋwaga yomsu-ŋga ma lau bata sêŋkiŋ lau toŋ dinaŋ sêwhiŋ Judas sêmeŋ. 
MRK.14.44	Judas kêŋ puc lau d au gwanaŋ su, ma sôm, “Ŋgac naŋ mac aŋsalê, naŋ aö oc waŋgutô iŋ bu watôc iŋ asê têŋ mac. Akôc iŋ dôŋ ma akêŋ lau sêyob iŋ, goc awê iŋ sa andi.” 
MRK.14.45	Bocdinaŋ têŋ ndoc Judas hôc asê, naŋ iŋ têŋ Yisu solop gi ma sôm, “Kêdôhôŋwaga,” ma ŋgutô iŋ. 
MRK.14.46	Dec lau naŋ sêwhiŋ Judas, naŋ sêkôc Yisu dôŋ. 
MRK.14.47	Yisu ndê lau sêlhac sêmpiŋ iŋ, ma ŋac si daŋ puc ndê bieŋ sa ma pa dabuŋsiga atu ndê ŋgac akiŋ ndê daŋgalauŋ daŋ su.
MRK.14.48	Goc Yisu sôm, “Bocke dec mac akôc bieŋ ti gêŋ siŋ-ŋga ma asa ameŋ bu akôc aö dôŋ gitôm ŋgac kaŋ daŋ? 
MRK.14.49	Tôm bêc hoŋ aö gambo gawhiŋ mac ma kadôhôŋ lau yêc lôm dabuŋ ŋabatêmndö, magoc mac akôc aö dôŋ dom. Tigeŋ gêŋ naŋ mac akôm kwahic dec, naŋ kôm Anötö ndê yom naŋ sêto yêc, naŋ ŋandô sa.”
MRK.14.50	Têŋ dinaŋ Yisu ndê lau hoŋ sêhu iŋ siŋ ma sêlhö si. 
MRK.14.51	Ŋgac batac daŋ kêkuc Yisu ma mbo whiŋ iŋ ti ndê lau têŋ ôbwêc dinaŋ, ma iŋ puc po ŋambwa. Lau siŋ bu sêlô iŋ dôŋ, 
MRK.14.52	tigeŋ iŋ hu ndê po siŋ yêc ŋac si amba, ma kölhö ŋamlic ŋambwa gi.
MRK.14.53	Dabuŋsiga atu-tu Israel-ŋga, ti lau bata ma kêdôhôŋwaga yomsu-ŋga hoŋ sêkac sa sêmbo dabuŋsiga ŋamata-ŋga ndê andu. Ma lau naŋ sêkôc Yisu dôŋ sêwê iŋ sêtêŋ andu dau si. 
MRK.14.54	Pita kêsêlêŋ kêkuc Yisu mbo ahê, e gi sôc dabuŋsiga ŋamata-ŋga ndê andu ŋatuŋlôm gi. Ma iŋ ndöc sic whiŋ lau siŋ sêyob lôm dabuŋ-ŋga ŋatô ma kêsulu ya.
MRK.14.55	Dabuŋsiga atu-tu ma lau bata hoŋ naŋ sêndöc Sanedrin si toŋ, naŋ sêŋsalê yom bu sêŋgôliŋ pi Yisu ma sêkêŋ iŋ sip lau Rom-ŋga amba bu sêndic iŋ ndu. Magoc sêtap yom daŋ sa dom. 
MRK.14.56	Bu lau daêsam sêtisa bu sêhoc yom tasaŋ asê pi Yisu, magoc ŋac hoŋ si yom so dau. 
MRK.14.57	Tiŋambu lau ŋatô sêtisa, ma sêkêŋ yom tasaŋ pi iŋ bocdec bu, 
MRK.14.58	“Yac aŋgô ŋgac dau sôm, ‘Lôm dabuŋ naŋ ŋamalac sêkwê sa, naŋ aö oc waseŋ su. Ma têŋ bêc titö-ŋga aö oc wakwê andu wakuc daŋ sa, naŋ gitôm andu naŋ ŋamalac sêkwê, naŋ dom.’” 
MRK.14.59	Magoc ŋac tigeŋ-tigeŋ si yom so dau tiyham.
MRK.14.60	Goc dabuŋsiga ŋamata-ŋga tisa kalhac ŋalhu, ma ndac Yisu, “Am ŋgô yom dê sêŋgôliŋ pi am, me? Am bu ô yom, me mba?” 
MRK.14.61	Tigeŋ Yisu gêm dau dôŋ ma ô yom dom. Goc dabuŋsiga dau ndac iŋ tiyham, “Am Mesaya dau, Anötö Atuŋgac, me mba?” 
MRK.14.62	Ma Yisu sôm, “Aêc, aö dauŋ dindec. Ma tiŋambu mac oc alic Ŋamalac ndê Atu ndöc Anötö Ŋaclai Ŋadau ndê amba andô-ŋga, ma sip meŋ ndöc dao ŋahô.”
MRK.14.63	Têŋ ndoc dabuŋsiga ŋamata-ŋga ŋgô yom dinaŋ, naŋ tac ŋandê atu dec kêc dau ndê ŋakwê kic ma sôm, “Yac dapônda yom daŋ tu taŋgôliŋ pi iŋ-ŋga dom. 
MRK.14.64	Yom naŋ iŋ sôm pi dau, naŋ sac sambuc! Mac aŋgô su, ma mac gauc gêm bocke?” Ma ŋac hoŋ sêsôm pitigeŋ bu iŋ mbac ndu. 
MRK.14.65	Lau ŋatô sêhu gasôp pi iŋ. Ŋac sêkic iŋ tandô ahuc ŋa po, goc sêtap iŋ ma sêsôm, “Am bu propet, naŋ sôm asê bu asa gic am.” Ma lau siŋ-ŋga sêkôc iŋ sêsa si, ma sêhi iŋ ŋa sö.
MRK.14.66	Têŋ têm dinaŋ Pita mbo andu dau ŋamakê, ma dabuŋsiga ŋamata-ŋga ndê awhê akiŋ daŋ kêsêlêŋ meŋ. 
MRK.14.67	Iŋ gêlic Pita kêsulu ya mbo, goc tahê iŋ ma sôm, “Am ŋgac naŋ kêkuc Yisu Nasaret-ŋga whiŋ.” 
MRK.14.68	Magoc Pita pa dau ma sôm, “Mba, aö kayalê am nem yom ŋahu dom.” Dec iŋ tisa gi kalhac kêpiŋ tuŋlôm ŋagatam.
MRK.14.69	Malô goc awhê akiŋ dau gêlic iŋ tiyham, ma sôm yom kaiŋ tigeŋ têŋ lau naŋ sêlhac sêmpiŋ, “Alic ŋgac kêlê. Iŋ Yisu ndê lau si daŋ.” 
MRK.14.70	Magoc Pita pa dau tiyham. Ŋasawa sauŋ ma lau naŋ sêlhac dindê, naŋ sêsôm, “Am ŋgac Galili-ŋga. Yomandô, am ŋac si daŋ.” 
MRK.14.71	Magoc Pita sôm ti ŋaŋga, “Mba! Aö bu wasôm yom tasaŋ, naŋ goc Anötö ndic aö. Aö kayalê ŋgac naŋ mac asôm yom pi iŋ, naŋ dom andô!” 
MRK.14.72	Ma ŋagahô dalec taŋ tilu-ŋga, dec Pita gauc gêm Yisu ndê yom bu iŋ oc sêc iŋ ahuc tidim tö su, goc dalec oc taŋ tidim lu-ŋga. Ma iŋ taŋ dau ndu-ndu.
MRK.15.1	Têŋ bêbêc ganduc, dabuŋsiga atu-tu ti lau bata ma lau naŋ sêndôhôŋ yomsu ti lau †Sanedrin-ŋga hoŋ si ŋalôm tigeŋ tu gêŋ bocke bu sêkôm têŋ Yisu-ŋga. Goc sêsô iŋ amba dôŋ ma sêwê iŋ sêtêŋ Pailot si. 
MRK.15.2	Ma Pailot ndac iŋ, “Am lau Israel-ŋga si kiŋ, a?” Goc Yisu ô yom ma sôm, “Tôm naŋ am daôm sôm.” 
MRK.15.3	Têŋ dinaŋ dabuŋsiga atu-tu sêŋgôliŋ yom daêsam pi iŋ. 
MRK.15.4	Dec Pailot ndac iŋ tiyham, “Am oc ô ŋac si yom, me mba? Ŋac sêŋgôliŋ yom daêsam pi am.” 
MRK.15.5	Tigeŋ Yisu ô yom dom, dec Pailot hêdaê.
MRK.15.6+MRK.15.7	Têŋ têm dinaŋ ŋgac daŋ ndöc gapocwalô, naŋ ndê ŋaê Barabas. Muŋ-ŋga lau ŋatô sêli dau sa têŋ lau Rom-ŋga naŋ sem gôliŋ lau Israel-ŋga, ma sic lau ŋatô ndu. Magoc lau Rom-ŋga sêkôc ŋac dôŋ ma sêkêŋ ŋac sêndöc gapocwalô. Ma Barabas iŋ ŋac si daŋ.
MRK.15.6+MRK.15.7	Tôm yala hoŋ têŋ ndoc lau Israel-ŋga si om atu Mwasiŋ Pasowa-ŋga hôc asê, naŋ Pailot kêkuc lêŋ daŋ bocdec bu. Lau Israel-ŋga oc sêndac ŋgac gapocwalô-ŋga daŋ, dec iŋ oc êŋgapwêc iŋ su têŋ ŋac. 
MRK.15.8	Lau daêsam naŋ sêkac dau sa têŋ ndoc Pailot kêsahê Yisu, naŋ sêndac iŋ bu êŋgapwêc ŋgac gapocwalô-ŋga daŋ su êŋkuc ŋagôliŋ dinaŋ. 
MRK.15.9+MRK.15.10	Pailot kêyalê bu dabuŋsiga atu-tu sem lêmuŋ Yisu ŋambwa, ma tu dinaŋ-ŋga dec sêwê Yisu sêtêŋ iŋ sêmeŋ. Bocdinaŋ iŋ gauc gêm bu êŋgapwêc Yisu su, dec ndac ŋac, “Mac atac whiŋ bu aö wahu Kiŋ Israel-ŋga siŋ têŋ mac, me mba?” 
MRK.15.11	Tigeŋ dabuŋsiga atu-tu sêŋgalôm lau toŋ atu dinaŋ e sêndac Pailot bu hu Barabas siŋ têŋ ŋac. 
MRK.15.12	Goc Pailot ndac ŋac, “Bocdinaŋ aö oc wakôm sake têŋ ŋgac dindec, naŋ mac asam bu lau Israel-ŋga si Kiŋ?” 
MRK.15.13	Ma sêmbwêc, “Ndic iŋ pi a gicso dau!” 
MRK.15.14	Magoc Pailot ndac ŋac, “Tu sake-ŋga? Iŋ kôm giso bocke?” Magoc sêmbwêc ti ŋaŋga, “Ndic iŋ pi a!”
MRK.15.15	P ailot bu kôm lau atac ŋayham sa, dec gôlôc bu êŋgapwêc Barabas su têŋ ŋac. Ma iŋ kêkiŋ Yisu têŋ lau siŋ-ŋga bu sêhi iŋ ŋa sö, ma sêndic iŋ ndu pi a gicso dau.
MRK.15.16	Lau siŋ-ŋga sêwê Yisu sêsa Pailot ndê andu ŋamalaclôm si, ma sêta yom bu lau siŋ-ŋga hoŋ sêkac sa. 
MRK.15.17	Goc sêkêŋ Yisu sôc ŋakwê kokoc baliŋ tôm kiŋ sêsôc, ma sêwhê wac kêm ma sêkêŋ iŋ uŋ gitôm suŋsuŋ. 
MRK.15.18	Goc ŋac sic hu sêmbwêc iŋ, “Ei! Datoc lau Israel-ŋga si kiŋ dindec sa maŋ!” 
MRK.15.19	Ma ŋac sêkôc a daŋ ma sic iŋ pi ŋagôlôŋ tidim daêsam, ma sêhê gasôp pi iŋ. Sêpôŋ haduc têŋ iŋ, ma sêŋsau bu sêtoc iŋ sa. 
MRK.15.20	Sêsu iŋ susu pacndê, goc sêkôc ŋakwê baliŋ dinaŋ su, ma sêkêŋ iŋ sôc dau ndê ŋakwê sa tiyham. Ma sêwê iŋ sêsa malac Jerusalem ŋamakê si, bu sêndic iŋ ndu pi a gicso dau.
MRK.15.21	Lau siŋ-ŋga sêwê Yisu sêmbo seŋ, ma ŋgac daŋ kêsêlêŋ mbo seŋ akêŋ gameŋ ŋamakê-ŋga meŋ. Ma sêkac iŋ bu hôc Yisu ndê a gicso dau. Ŋgac dau ndê ŋaê Saimon. Iŋ Aleksanda lu Rupas damba, ma iŋ ndê malachu Sairin. 
MRK.15.22	Sêwê Yisu sêsa si e sêhôc asê gameŋ naŋ sêsam bu Golgota. (Ŋaê dau danem kwi bu ‘Gameŋ Ŋakêcyha-ŋga.’ ) 
MRK.15.23	Lau siŋ-ŋga bu sêkêŋ wain ti bu ŋamakic têŋ Yisu nôm, magoc iŋ tec. 
MRK.15.24	Bocdinaŋ sêhu siŋ, ma sic iŋ pi a gicso dau. Ma tiŋambu sêwhê iŋ ndê ŋakwê kôc ma sêpuc gapoc bu sêlic asa oc kôc ŋakwê bocke.
MRK.15.25	Ŋac sic iŋ pi a gicso têŋ bêbêc, acgatu gitôm 9 kilok. 
MRK.15.26	Ma yom naŋ lau bata Israel-ŋga sêŋgôliŋ pi iŋ, naŋ sêto pi bapia daŋ, naŋ sôm, “Lau Israel-ŋga si Kiŋ.” 
MRK.15.27+MRK.15.28	Ŋac sic ŋgac sac lu pi a gicso dau sêwhiŋ, daŋ kêgalêŋ Yisu amba andô-ŋga, ma daŋ kêgalêŋ gasê-ŋga. 
MRK.15.29	Lau naŋ sêŋsêlêŋ si sêmeŋ, naŋ sêndahiŋ ŋasu ma sêtaŋ bôlê Yisu. Sêsôm, “Ei. Am ŋgac naŋ sôm bu seŋ lôm dabuŋ su ma kwê sa tiyham tôm bêc tö. 
MRK.15.30	Dec sip akêŋ a gicso dau mweŋ, ma nem daôm sa!” 
MRK.15.31	Ma dabuŋsiga atu-tu ti kêdôhôŋwaga yomsu-ŋga bocdinaŋ sêsu iŋ susu ma sêsôm têŋ dandi, “Iŋ gêm lau daêsam sa, tigeŋ gitôm dom bu nem dau sa. 
MRK.15.32	Yac bu alic Mesaya, lau Israel si kiŋ dindec-ŋga, sip akêŋ a gicso dau meŋ, dec yac oc akêŋ whiŋ iŋ.” Ma ŋgac lu naŋ sic pi a gicso sêwhiŋ Yisu, naŋ sêsu iŋ susu bocdinaŋ.
MRK.15.33	Têŋ ac kalhac lhu, ŋasec atu gêm gameŋ sambuc ahuc e acgatu gitôm 3 kilok telha-ŋga. 
MRK.15.34	Ma têŋ 3 kilok Yisu mbwêc awha atu, “Eloi, Eloi, lama sabaktani?” (Yom dau danem kwi bu, ‘Aö neŋ Anötö, aö neŋ Anötö, tu sake-ŋga am hu aö siŋ?’ ) 
MRK.15.35	Lau naŋ sêlhac sêmpiŋ, naŋ sêŋgô iŋ ŋapep dom ma sêsôm, “Aŋgô, iŋ ta propet Elaija.” 
MRK.15.36	Ma ŋgac daŋ kêti gi kêŋ sôwam daŋ sip wain ŋamakic, ma sô dôŋ pi a baliŋ daŋ. Goc iŋ puc pi Yisu whasuŋ bu iŋ nôm ma sôm, “Dahu iŋ siŋ ma dalic, Elaija oc sip meŋ ma kôc iŋ su, me mba.”
MRK.15.37	Têŋ têm dinaŋ Yisu mbwêc awha atu ma mbac ndu. 
MRK.15.38	Ma têŋ dinaŋ po baliŋ naŋ kêgalêŋ lôm dabuŋ ŋalôm, naŋ dau kic gi lu, kalhac ŋahô ma gi têŋ ŋapu-ŋga. 
MRK.15.39	Ma ŋgac bata siŋ-ŋga naŋ kalhac Yisu aŋgô-ŋga, naŋ gêlic iŋ ndê mbac ndu ŋalêŋ, goc sôm, “Yomandô, ŋgac dindec iŋ Anötö ndê Atu.”
MRK.15.40	Lauwhê ŋatô sêlhac ahê ma sêlic gêŋ hoŋ dinaŋ. Maria Magadala lu Maria naŋ Jems sauŋ lu Joses dinda, ma Salome sêmbo sêwhiŋ ŋac. 
MRK.15.41	Muŋ-ŋga, têŋ têm Yisu mbo gameŋ Galili-ŋga, naŋ lauwhê dinaŋ sêŋkuc iŋ, ma sem akiŋ iŋ. Ma lauwhê daêsam naŋ sêpi Jerusalem sêwhiŋ Yisu, naŋ sêlhac sêwhiŋ ŋac.
MRK.15.42	Bêc naŋ sic Yisu ndu, naŋ lau Israel-ŋga si bêc sêmasaŋ dau tu Sabat-ŋga.
MRK.15.43	ŋgac bata Israel-ŋga daŋ ŋaê Josep gauc gêm bu êŋsuhuŋ Yisu ŋamlaŋ. Josep iŋ ŋgac akêŋ malac Arimatiya-ŋga, ma iŋ lau Sanedrin-ŋga si ŋgac tiwaê daŋ naŋ kêŋ bata Anötö ndê gôliŋ bu meŋ sa tiawê. Iŋ ndê ŋalôm pêŋ dôŋ, dec têŋ Pailot gi ma ndac Yisu ndê ŋamlaŋ. 
