MAT.1.1	Yə̀mē sē lə̀tafē yə̀ mə̀sān mə̄cici Yɛso Krisəti, ywâ 
LUK.14.26	“Də̀ sē nənè lə fɔ̀ de gu lə zwē nggə̄ mān, yə sē kpaki nə̄ gu nyɛn nggə̄ mwɔ̄n tèywə̄, bə̄ gyə̀ywə̄, bə̄ mbə̄ywə̄, bə̄ nywɛnywə̄, bə̄ nywɛngyə̀ywə̄ kūkwār də̀ man kàdə kàn beshi tè shishɛ̄n mə̄gu mwɔ̄n nggə̄ yo nə̀nàn. Nē wān də̀gbà nàn ənə̀mē yo, gu la ma wān gu lə sē wān lə zwē nggə̄ mān yo. 
LUK.14.27	Də̀ nənè lə la sē wān lə zwē nggə̄ mān yo màn gu də̀gbà kpə̄nyɛ̀n yə̄ gu lə kpə̄ mgbŭ ə nkɔ̄n yə̄ gu là zwē nggə̄ mān yo.
LUK.14.28	“Sē nggwɔ ənywī gyə̄ wān də̀ dan de gu lə mɛ̄, gu lə la te kə kyɛn kē gu te kə̄jī yə̄ gu lə ngun mâ ndē mɛ̄ yə̄ lə nyə̄ krɛ yo? 
LUK.14.29	Gu də̀ kàn gàn dòglò me də̀ zwè mkplā tswē də̀ kàn sə̀ mɛ̄ də̀ la nyə̄ mɛ̄ yə krɛ̀ yo, mə̄nē kūkwār lə kyɛn kə̄ yəmē də̀ sə̄ mla gu, 
LUK.14.30	də̀ sə̄ dan de, ‘Kān gyə̄ kyɛn məgyə̀r, və̄lɔn mūn doglò de gu là mɛ̄ də̀ mē la nyə̄ mɛ̄ yə krɛ̀ yo.’
LUK.14.31	“Kē nzɛ̂nmē, də̀ sē cūn ntsə̄nē lə dōglo krè de gu lə ywē kə̄ tā kɔ̄n bə̄ cūn nə̄mān wān lwe mə̄nē nà-sɛ̀-ywā nyə̀ tswē tā kɔ̄n də̀ bān mə̄gu sē mə̄nē nà-gùr me, gu lə la tekə kyɛn kē gu sē bə̄ mə̄nē bān lə tā kɔ̄n yəmē anrīn yo? 
LUK.14.32	Də̀ sē gu la ma yo, gu lə kà rɛn yə̄ tā kɔ̄n yəmē dɔn də̀ lə te mə̄nē ndu ywē bə̄ cūn wān nyə tswē tā kɔ̄n bə̄ gu mē de nə̄ bə kyūn də̀ man sɔ̄n sɔ̀n susù bə̄ nkəywə̀. 
LUK.14.33	Yə sē ənə̀mē, nənè wān də̀gbà kà kī yə̄ gu te dɔ̀n kūkwār yo, la ma wān gu lə sē wān zwē nggə̄ mān yo.
LUK.14.34	“Mə̀mān tɔ̀nzɛ̄ njìnjì mbăn nān də̀ ə mkpān yə̄ mər ywə̄ də̀ nyə̄ krɛ̀, bə lə nansɛn də̀ kan mər ywə̄ yəmē sū mān? 
LUK.14.35	Yəmē la sē nkinē zəzè yə̀ bə lə kan sū nə̄ mə̀mē man tɔ̀nzɛ̄ kē yə̀ bə lə kàn zwē də̀ man vu sū mbɛ̄ kī yo. Yə sē ənə̀mē, bə lə kàn yə̄ kankərɛ̄. Nē wān də̀ te tɔ̄n yə̄ gu lə gwɔ rɛn də̀ man vūn lwè, yə kədè mə̄gu.”
LUK.15.1	Mə̄nē nə̄mān bān là kpə gānjūn bə̄ mə̄nē bān là nan məme sə̄ kūci nyə ə tswē yə̄ bə lə gwɔ Yɛso ə tswē dan mə̄nē rɛn. 
LUK.15.2	Bān 
LUK.15.3	Yɛso kàn sà bə mān bə̄ rɛn gyə̄r de, 
LUK.15.4	“Kə̄de nzɛ̂nmē, nənè ənywī gyə̄ sē wān là wɔ̀ gbə̄ntan yə̄ sē gĭ-gyə̀r, də̀ gyə̀r ənywī ywə̄ də̀ nyə kàn də̄, gu lə la kà nkyɛn sɛ̀-tīyār bə̄ tīyār mē dɔn də̀ ywē kə̄ fɔ̀ gyə̀r yə̀ kan də̄ mē ngrɛ̄n anrīn yo? 
LUK.15.5	Gu də̀ fɔ̀ yə̄ ywē kə̄ ngrɛ̄n yə, anrɛ̀n zə̀zè yə̀ gu lə te, gu lə ban yə̄ sa ə gā 
LUK.15.6	də̀ ywè kə̄ gu. Gu də̀ ywè kə̄ sū man ə kə̀, gu lə gyɔ kpə̄kpàn ywə̄ bə̄ mə̄nē bān bə kur gi nkəywə̀ te mgbɔ̀ də̀ dàn bə de, ‘Nggə̄ gyɔ gyə̄ nyə de nə̄ gyə̄ nyə̄ là nggə̄ zə̀zè tè mān anrɛ̀n gbə̄ntan mə̄nggə̀ yə̀ kan də̄, nggə̄ fɔ yə̄ ywe kə ngrɛ̄n.’ 
LUK.15.7	Kān nggə̄ dan gyə̄, yə sē ənə̀mē nə̀nàn, yə̄ bə lə te zə̀zè mwɔ̄n ə mkparū màn nənè gyə̄r wān là nan məme də̀ kà nkɔ̄n yəmē dɔ̀n, mwɔ̄n mə̄nē sɛ̀-tīyār bə̄ tīyār bān là ngrɛn kə̄de zər mə̄bə tɔ̄nzɛ̄.
LUK.15.8	“Yɛso la kàn dàn me nzɔ̆ de, kə̄de nzɛ̂nmē, mbə̄ nənè te mgbrɛ̄n kə̄jī gùr də̀ mgbrɛ̄n gyə̀r kan də̄, nggə̄ de kē gu lə mər glo gyɔ̄ ə bə̀telà də̀ ban kə̀ntsà vu tswē fɔ̀ kyɛn mândē mkpān yə̄ gu lə ban yə̄ məkē? 
LUK.15.9	Gu lə la gyɔ kpə̄kpàn ywə̄ bə̄ mə̄nē bān bə kur gi nkəywə̀ nə̄ bə man la gu zə̀zè te mān yo? 
LUK.15.10	Yə sē ənə̀mē nə̀nàn màn nənè gyə̄r wān là nan məme də̀ kà nkɔ̄n yə̄ nan məme dɔ̀n, mə̀lɛ̀kū yə̀ Rì là te zə̀zè nggānme.”
LUK.15.11	Yɛso kūci ə tswē rɛn bə̄ bə də̀ kàn dàn bə rɛn gyə̄r de, “Və̄lɔn gyə̄r shāmān wān te nywɛn ywā. 
LUK.15.12	Mbrɛ̄ gyə̄r, fəshishar kàn ywē kə dan tĕ bə de, ‘Kān kī yə̄ wə̄ te gə̀ tè ywā də̀ man kàn mpə mə̄nggə̀ nə̄ nggə̀.’ Ə tswēyəmē, tĕ bə gu kàn kī mə̄gu gə̀ bə ywə̄ywăywə̀.
LUK.15.13	“Ə mkpān yə̄ fəshishar gu kyūn kī yə̄ sē mə̄gu kūkwār, gu dòglò vu yə də̀ zər ywè ə mə̀mē gyə̀r nkan də̀ ywē kàn kī yəmē vàr tè gbəjā. 
LUK.15.14	Ə mkpān yə̄ kī yəmē nyə krɛ dē gu ngwɔn, gyɔ̀n nggɔ̀n kàn dōglò ə mə̀mē yəmē də̀ gu la tè nkinē yə̀ rē yo. 
LUK.15.15	Ə tswēyəmē, gu dòglò ywē kə rɛ̀n bə̄ və̄lɔn gyə̄r wān là wɔ̀ ləsō de nə̄ gu man bàn gu nə̄ gu man sē wān lə sə̀ wɔ̀ gu ləsō yə. 
LUK.15.16	Gu sə̀ sà beshi de ənywī kīrē yə̄ ləsō yə lə sə̀ re, gu nə̀nàn lə sə̀ rè ənywī ywə̄ də̀ yə la nyə sē mān ənə̀mē yo. Nənè la sə̀ shāmān wān lə sə̀ nə̄ gu nkinē gyə̀r yə̀ rē yo nə̀nàn.
LUK.15.17	“Ə mkpān yə̄ kə zəze kwɔ nyə gu ə də̆r, gu kàn sə̀ tèkə de, ‘Mə̄nē kūkwār bān tĕ nggə̄ vu də̀ bə sē bān là nan gu ndu, là re kīrē wu de nkyɛn də̀ nggə̄ mē sɔn ə sə̄kànmē mfə mfə! 
LUK.15.18	Nggə̄ lə dōglo ywe də̀ mān kə dan tĕ nggə̄ de, Tīyà, nggə̄ la rɛn ə nggà bēshi Rì də̀ la rɛn ə nggà bēshi wə̄ nə̀nàn, 
LUK.15.19	də̀ la ma wān nggə̄ lə sē zə̄ywē nzɔ̆ yo, yə sē ənə̀mē, kan nggə̄ tè kə̄de nggə̄ sē gyə̄r ənywī mə̄nē bān là nan wə̄ ndu.’ 
LUK.15.20	Ə tswēyəmē, gu dòglò bàn nkɔ̀n də̀ ywè bə̄ tèywə̄.
LUK.15.20	“Ə mkpān yə̄ gu sə̀ nyə̀ də̀ kàsə̄ sē ə tswē rərɛ̄ mənrīn, tèywə̄ ngrɛ̄n gu də̀ tè mə̀tù gu nggānme. Gu kàn dòglò kulwe ywē kə̄ ma bə̄ gu ə nkɔ̀n də̀ ywē kə̄ kàn ngwɔn nyɛn gu lwè.
LUK.15.21	“Ə tswēyəmē, zə̄ywə̄ gu kàn dàn gu de, ‘Tīyà, nggə̄ la rɛn ə nggà bēshi Rì bə̄ ə nggà bēshi wə̄, nzɛ̂n mē, nggə̄ la ma wān bə lə gyɔ nggə̄ de nggə̄ sē zə̄ywē nzɔ̆ yo.’
LUK.15.22	“Ə tswēyəmē, tèywə̄ gu kàn dàn mə̄nē bān là nan ndu ə kə̀ gu de, ‘Kān gyə̄ tè kplā də̀ man ywē kə̄ vu kī yə̄ sē zəze mwɔ̄n ənywī kə̀ nyə̄ kpm gu də̀ man bàn bēkər yə̀ tɔ̀nzɛ̄ njìnjì nyə̄ gyɔ̄ gu ə ngwɔ̀n də̀ man kàn vu zəkpə zəze nə̀nàn nyə̄ lwè sɔ̀n gu ə zə̀. 
LUK.15.23	Nə̄ gyə̄ man ywē kə̄ vūn və̆ndō fɛ te nggɔn nggɔn nyə̄ ngun, nə̄ tə̄ man nan gān də̀ man te zə̀zè, 
LUK.15.24	anrɛ̀n vɛ̄n nggə̄ mē wān nggə̄ kyɛn de nggə̄ lə la ngrɛ̄n gu nzɔ̆ yo, mē shāmān shishɛ̄n də̀ gu sē wān kan də̄ də̀ tə̄ mē la kan ngrɛ̄n gu nzɔ̆. Ə tswēyəmē, bə kan kūci bə̄ gān yə̄.
LUK.15.25	“Kì mē tè kūkwār ə mkpān mlà mə̀gu sə̀ sē ə hwān. Yə̀ gu sə̀ ngā, gu gwɔ zuzù sə̄ gī də̀ gwàrgwàr yə̀ rɔ̄ sə̀ dōglò. 
LUK.15.26	Gu kàn gyɔ gyə̄r ənywī mə̄nē bān là nan ndu ə kə̀ tĕ bə də̀ rì gu de, ‘Sē nə̄nggyɛ̆ yə̀ là te?’ 
LUK.15.27	Gu kàn sà gu mān de, ‘Zāngyə̀ywē nga kə̄ yə yə̄ tèywē vun və̆ndō ngun anrɛ̀n gu nga kpə susù.’
LUK.15.28	“Ə tswēyəmē, mlà gu kàn tè gyār də̀ kà rɛn yə̄ gu lə nyər kə̄. Yə̀ tèywə̄ gwɔ, gu ywē kə̄ tè gu bùbwɔ̀ 
LUK.15.29	də̀ gu kàn dàn tèywə̄ gu de, ‘Kyɛn məgyə̀r, nggə̄ wān sɔn ə kə̀ bə̄ wə̄ te sɛ̆ də̀ sə̄ nan wə̄ ndu də̀ là ka gwɔ rɛn yə̄ mə̄wə̀ yo, wə̄ la tèkə kyɛn gbàngyə̀r ənə̀mē də̀ vūn və̆gūgu nə̄mān nə̄ nggə̄ kpə̄ ngun tə̄ man tan man te zə̀zè bə̄ kpə̄kpàn nggə̄ yo; 
LUK.15.30	zə̄ywē mē kya wān kpə wə̄ kī ywē kə̄ ngun bə̄ kilakī də̀ kàn ngā kə̄, yə yə̄ wə̄ vun və̆ndō ngun gu yə̄.’
LUK.15.31	“Gu kàn sà gu mān de, ‘Vɛ̄n nggə̄, wə̄ sē wān sē bə̄ nggə̄ ə kə̀ cùcùn mun mbɛ̄, kī yə̄ nggə̄ sē bə̄ yə kūkwār sē yə̄ mə̄wə̀. 
LUK.15.32	Yə sē kpaki nə̄ tə̄ nan gān yəmē də̀ man te zə̀zè anrɛ̀n zāngyə̀ywē mē wān kyu də̀ kàn tāshɛ̀n. Gu sē wān kan də̄ də̀ la kan ngā.’ ”
LUK.16.1	Yɛso kàn dàn bān sə̄ zwē gu mān de, “Və̄lɔn gyə̄r shāmān wān te kī nggānme də̀ bàn və̄lɔn gyə̄r zwè wān là kyūn gu yə. Mə̄nē kan nyə dan gu de və̄lɔn wān gu ban zwè mē la gī gu kī lwe yo. 
LUK.16.2	Ə tswēyəmē, gu kàn gyɔ və̄lɔn gu də̀ rì gu de, ‘Sē rɛn nggyɛ̆ yə̄ te də̀ mə̄nē là rɛn nyɔnyɔn ətù wə̄? Dan nggə̄ kì yə̀ sē ətù ndu yə̄ wə̄ nan, anrɛ̀n nggə̄ lə la kà ndu mē dɔn wə̄ nzɔ̆ yo.’
LUK.16.3	“Və̄lɔn gu kàn sə̀ tèkə ə də̆r gu de, ‘Tāki kə̀ nggə̄ mē là nyə̄ tswē glā nggə̄ ə ndu, nggə̄ lə nansɛn mûn? Nggə̄ mē la sē bə̄ mgbrêmgbrē yə̄ nggə̄ lə nan ndu nkinē yə̄ tswe kpə yo, də̀ mùmwɔ̀n mē lə la kà nggə̄ dɔn nə̄ nggə̄ zər man sə̄ bər mə̄nē kī yo, nggə̄ lə nansɛn mûn? 
LUK.16.4	Nggə̄ tsə kì yə̀ nggə̄ lə nan nə̄ mə̄nē man kpə̄ nggə̄ bə̄ ngwɔn ywā ə mə̀kə̀ bə màn nggə̄ də̄ gbān nan ndu nggə̄ yəmē.’
LUK.16.5	“Ə tswēyəmē, gu gyɔ mə̄nē bān lwe tāki kə̀ gu la gyər gyər də̀ sə̀ rì bə la yə̄ bə lwe tāki kə̀ gu.
LUK.16.6	“Wān kùcī dàn gu de, ‘Nggə̄ lwe gu la mə̀nyɛ̀n galɔ̀n gigi-tāndà.’ Gu kàn dàn və̄lɔn gu de, ‘Ban kì də̀ man car de yə sē gigi-nlyɛ̄.’
LUK.16.7	“Gu kàn rì wān ywā de, ‘Wə̄ kya, wə̄ lwe gu sɛn?’ Gu kàn sà gu mān de, ‘Nggə̄ lwe gu la bekī nggūnggū nà-gyə̀r.’
LUK.16.7	“Gu kàn dàn gu de, ‘Ban kì də̀ man car de sē nggūnggū gigi-tāndà.’
LUK.16.8	“Tāki kə̀ gu kàn bɛ̀ və̄lɔn gu mē wān sē wān la dan njìnjì yo anrɛ̀n gu sē wān sē fəgbəgbrè. Yə̀mē sē kì yə̀ mə̄nē bān là zwe mgbəmgbrè mē là nan, anrɛ̀n gbəgbrè yə̄ bə sē bə̄ yə ətù nkəywə̀ mwɔ̄n mə̄nē bān là zər ə tswē yə̄ glo yə̄ Rì là lan tsar bə. 
LUK.16.9	Kān nggə̄ dan gyə̄, nə̄ gyə̄ nàn ndu bə̄ kī yə̄ mgbəmgbrè mē də̀ man kyūn kpə̄kpàn zwè nkəywə̀, də̀ ə mkpān yə̄ kī yə də̄ krɛ, nə̄ gyə̄ man sē bə̄ tswē sɔ̀n bə̄ Rì wān là lwe mə̄nē. 
LUK.16.10	Nē wān bə də̄ kan nkinē fətsɛ̀ te gu ə ngwɔ̀n, də̀ mə̄nē kpənyɛn bə̄ kì yə̀ gu là nan bə̄ yə̄, sē ənə̀mē nə̀nàn yə̄ gu lə nan bə̄ kì nggɔ̀n yə̀ bə də̄ kan te gu ə ngwɔ̀n. Nē wān bə də̄ kan nkinē fətsɛ̀ te gu ə ngwɔ̀n də̀ mə̄nē la kpə̄nyɛn bə̄ kì yə̀ gu là nan bə̄ yə̄ yo, yə sē ənə̀mē nə̀nàn màn bə də̄ kàn kì nggɔ̀n te gu ə ngwɔ̀n. 
LUK.16.11	Də̀ sē mə̄nē la kpə̄nyɛn bə̄ wə̄ ətù kī yə̄ mgbəmgbrè mē yə̄ bə kan te wə̄ ə ngwɔ̀n yo, sē nggwɔ gyə̄r wān lə kan kī yə̄ sē ə mkparū te wə̄ ə ngwɔ̀n? 
LUK.16.12	Də̀ sē wə̄ la gī kī yə̄ nənè nan lwe yo, sē nggwɔ gyə̄r wān lə kan nkinē gyə̀r yə̀ lə sē mə̀wə̄ nə̄ wə̀?
LUK.16.13	“Nənè nə̄mān wān là nan nē ndu lə la sē bə̄ mə̄nē ywā bān gu lə nan bə ndu ə mkpān gyə̄r yo, anrɛ̀n gu də̀ sē bə̄ bə ywā, də̆r gu lə ban wān gyə̄r mwɔ̄n də̀ gu lə nan gyə̄r zəze mwɔ̄n gyə̄r nə̀nàn. Yə sē ənə̀mē, gyə̄ lə la sə̀ nyɛn Rì də̀ sə̀ nyɛn kī yə̄ mgbəmgbrè mē ngan mān yo.”
LUK.16.14	Ə mkpān yə̄ mə̄nē bān 
LUK.16.15	Yɛso kàn dàn bə de, “La sē gyə̄ bān là nan kī ə nggà bēshi mə̄nē de gyə̄ sē bān là nan zəze mwɔ̄n yo? Sē Rì me wān tsə dər gyə̄ anrɛ̀n kì yə̀ nē là ngrɛ̄n de yə̄ sē zəzè, la sē nkinē zəzè ə nggà bēshi Rì yo.
LUK.16.16	“Gyə̄ sə̀ sē bə̄ Bān yə̀ Musa bə̄ mə̀rɛn yə̀ mə̄nē bān dɔ̀n rɛn Rì sū mə̄nē yə̄ sē mə̀rɛn yə̀ sə̀ là gyə̄ mān mâ nyə sū mkpān Yɔhanan sə̄ dōglò kūci ə tswē dan mə̄nē rɛn yə̄ Rì. Nzɛ̂nmē, yə sē rɛn zəze yəmē yə̄ nkɔ̄n Rì là lwe mə̄nē yə yə̄ bə là dan mə̄nē yə, də̀ mə̄nē mē kūkwār là sə nər nggān yə̄ bə ngrɛ̄n de bə kan te bān Rì lə lwe bə. 
LUK.16.17	Yə lə la sē kì yə̀ te dē yo yə̄ mkparū bə̄ mə̀mē lə nyə̄ vūn ngā, də̀ sē Bān yə̀ Rì, rɛn yə māgba sē fətsɛ̀ me sɛn nàn, yə lə la gə̄gə̄ ywe fà me yo.
LUK.16.18	“Nənè nə̄mān wān də̀ glā mbə̄ywə̄ də̀ kàn ywē kə̄ gbō gyə̄r nkan, sē nggā yə̀ bə lə sə̀ te gìgyə̀r. Də̀ nē wān də̀ ywē kə̄ gbō mbə̄ wān bə gla gu, sē nggā nə̀nàn yə̀ bə lə sə̀ te bə̄ mbə̄ gu mē.
LUK.16.19	“Və̄lɔn gyə̄r sə̀ shāmān wān te ngwɔn nggānme wān sə̄ kpm kī yə̄ te kə̄jī də̀ sə̀ sɔ̀n sɔ̀n yə̀ mə̄nē bān nggɔn nggɔn zwē mbrɛ̄ mē kūkwār. 
LUK.16.20	Və̄lɔn gyə̄r wān re Ləyazaro wān mpə̄mpà shɛ̄ gu kpə, bə sə̄ ban gu lwe kə zwè mān ə nyūlə̄nkɔ̀n yə̄ lə̄kpə və̄lɔn wān te ngwɔn gu, 
LUK.16.21	də̀ gu Ləyazaro sə̀ sɔ̀n mān də̀ sə̀ sà beshi kē gu lə sə̀ tān mbumbu kīrē yə̄ də̄ kankərɛ̄, màn və̄lɔn gu mē də̀ là sə̀ rè kī rē. Ə tswēyəmē nggagyū sə̄ nyə sə̄ ra gu kpə anrɛ̀n mpə̄mpà yə̀ sē gu kpə̀. 
LUK.16.22	Ə mkpān yə̄ Ləyazaro nyə̄ kyù, mə̀lɛkā yə̀ Rì nyə̄ bàn gu ywe kə̄ zwè ə ngga tswē yə̄ bə Bərayi. Sə̄sē man yə sē ənə̀mē nə̀nàn və̄lɔn wān te ngwɔn gu kàn nyə̄ kyù də̀ bə kan ban gu ryūn. 
LUK.16.23	Də̀ mkpān yə̄ mgbŭ vūn gu nggānme ə tswē yə̄ gu sə̀ sē mān yə̄ sē tswē yə̄ mə̄nē bān tsu də̀ sē mān də̀ là kpə mgbŭ, gu zo beshi kyɛn də̀ kàn ngrɛ̄n Bərayi krè ə tswē rərɛ̄ də̀ Ləyazaro krè gĭ gu. 
LUK.16.24	Gu kàn gyɔ Bərayi gu də̀ dàn gu de, ‘Tĕ nggə̄ Bərayi, te mə̀tù nggə̄ man nə̄ Ləyazaro ywē kàn kə̀mvrè ngwɔ̀n me cɔ̀ ə mə̀sər man lwè nyə̄ tsɔ gyɔ̄ nggə̄ ə gbàr anrɛ̀n yə̄ ku nggānme də̀ nggə̄ là kpə mgbŭ ə sə̄kànmē nggānme mwɔ̄n!’ 
LUK.16.25	Bərayi gyɛ̂n kàn sà gu mān de, ‘Vɛ̄n nggə̄, te kə kyɛn anrīn mûn. Nggə̄ de ə mkpān yə̄ wə̄ sə̀ sē ə mgbəmgbrè, wə̄ sə̄ ngrɛ̄n kī zəze də̀ Ləyazaro sə̀ sē wān sə̄ kū jə̄ məkē? Nzɛ̂nmē, gu mē sɔ̀n sɔ̀n susù ə sə̄kànmē də̀ wə̄ mē sē ənywī jə̄. 
LUK.16.26	Kì gyə̀r yə̀ shāmān nzɔ̆ sē nàn de, bə mē gya jūjū gyə̄r nggɔn ə də̀ntswe tə̄ nə̄ nənè man kàdə dòglò ə nggà nə̄mān ywè nggà nə̄mān yo.’
LUK.16.27	“Və̄lɔn gu la kàn dàn de, ‘Tĕ nggə̄, bùbwɔ̀ me, te Ləyazaro ndu ywè kə̄ tĕ nggə̄ 
LUK.16.28	nə̄ gu ywē kə̄ gbìn nywɛngyə̆r nggə̄ tun bān sē mān tɔ̄n nə̄ bə nə̀nàn man kādə nyə nyər ə tswē yə̄ rànkpə yəmē yo.’
LUK.16.29	“Bərayi kàn sà gu mān de, ‘Bə sē bə̄ lə̀tafē yə̀ Musa bə̄ yə̄ bān dɔ̀n rɛn sū mə̄nē car zwē, nə̄ nywɛngyə̀ywē bə kpə̄ te njìnjì bə̄ yə.’
LUK.16.30	“Də̀ və̄lɔn gu dàn de, ‘An àn, tĕ nggə̄ Bərayi, də̀ sē nənè wān tashɛ̀n ə brɛ kya də̀ ywē kə̄ rɛ̀n bə̄ bə, bə lə gwɔ gu də̀ kā nkɔ̄n nan məme dɔn.’
LUK.16.31	“Ə tswēyəmē, Bərayi kàn sà gu mān də̀ dàn gu de, ‘Də̀ sē bə lə la gwɔ rɛn yə̄ Musa kē yə̄ mə̄nē bān dɔ̀n rɛn sū mə̄nē car zwē yo, nənè màgba dòglò ənywī brɛ̆ də̀ ywē kə̄ rɛ̀n bə̄ bə, bə lə la gwɔ gu yo.’ ”
LUK.17.1	Yɛso kàn dàn bān sə̄ zwē gu mān de, “Kī nə̄mān là nyə yə̄ lə nə̄ mə̄nē nan məme, nē wān də̀ kpə̄nyɛ̀n nə̄ kī yəmē glə ngwɔn gu, jə̄ lə te nē gu mē. 
LUK.17.2	Rɛn yə̄ nē gu mē lə sɔ̀n də̀ man sə̀ nàn mə̄nē shishar nə̄ bə sə̄ la rɛn, yə lə tɔ̀ mwɔ̄n nə̄ bə mā ban nə̄nə̄ yə̄ kwɔ̀ nggɔn klə̄ gu ə tə̄ də̀ man kan gu tāgyɔ̄ ənywī nē. 
LUK.17.3	Nə̄ gyə̄ gbà sə̀ gbyɛ̄n nkəywə̀. Zāngyə̀ywē də̀ nan wə̄ məme, nə̄ wə̄ vɛn gu də̀ gu də̀ ngàr nyū nə̄ wə̀, wə̄ man fù màtɔ̀ sū gu. 
LUK.17.4	Gu də̀ là wə̄ rɛn tè kə tāmgbā mbrɛ̄ gyə̄r, də̀ nyə̄ bər wə̄ de nə̄ wə̄ fù màtɔ̀ sū gu, kpə̄nyɛ̀n də̀ man fù yə̄ sū gu.”
LUK.17.5	Mə̄nē bān gu cu bə kan dan Nggɔn Yɛso de, “Kān tə̄ tè mə̄nē bān lə kpə̄ te njìnjì bə̄ wə̄ mwɔ̄n nkɔ̄n yə̄ tə̄ kpə te njìnjì nzɛ̂nmē.”
LUK.17.6	Nggɔn Yɛso gu kàn sà bə mān de, “Də̀ sē nkɔ̄n yə̄ gyə̄ là kpə tè njìnjì bə̄ nggə̄ də̀ sē fənyɛn kə̄de bĕntsù, gyə̄ də̀ dan tərkì mē de, ‘Vūn nkəywē gbò mgbənrìnrìn də̀ man lwè nkəywē ywē kə̄ zwè ənywī nē,’ tərkì yəmē lə nan kì yə̀ gyə̄ dan yə.
LUK.17.7	“Kə̄de nzɛ̂nmē, nənè ənywī gyə̄ də̀ te nē wān là dɔ̀ gu lan, kē gu là wɔ̀ gu gūgu, gu də̀ ywē kə̄ nàn ndu də̀ dòglò nyə̀ kə̄, wə̄ lə dan gu de, ‘Gə̄gə̄ nyə̄ tè sɔ̀n də̀ man rè kī’? 
LUK.17.8	Nggə̄ de kē wə̄ lə dan gu de, ‘Kyūn nkəywē də̀ man nàn nggə̄ kīrē də̀ nggə̄ də̄ rē də̀ sə̄ wū anrīn wə̄ man sə̄ rè mə̄wə̀ məkē’? 
LUK.17.9	Yə sē kpaki nə̄ wə̄ nyə̄r və̄lɔn gu mē anrɛ̀n gu nan ndu yə̄ bə ban gu de nə̄ gu nàn? 
LUK.17.10	Yə sē ənə̀mē bə̄ gyə̄ nə̀nàn, mkpān yə̄ gyə̄ də̀ nàn kī yə̄ bə dan gyə̄ de nə̄ gyə̄ nàn kūkwār, nə̄ gyə̄ man dan de, ‘Tə̄ sē mə̄nē bān bə vu bān là nan ndu də̀ sē ndu yə̄ bə vu tə̄ de nə̄ tə̄ nan mē, sē yə yə̄ tə̄ là nan.’ ”
LUK.17.11	Ə mkpān yə̄ Yɛso sə̀ ywè ə Wurisheliman, gu gə̄gə̄ glə̀ də̄r yə̄ mə̀mē yə̀ Samariya bə̄ Galili. 
LUK.17.12	Ə mkpān yə̄ gu sə̀ nyər nywī və̆gbù fəgyə̄r, mə̄nē nə̄mān gur bān ku shì bān krē cər də̀ sə̄ jī gu ə nkɔ̀n 
LUK.17.13	kan vu gi sū kpān də̀ dan gu de, “Yɛso, Nggɔn tə̄, te mə̀tù tə̄!”
LUK.17.14	Ə mkpān yə̄ Yɛso kwɔ̀ beshi də̀ ngrɛ̄n bə, gu kàn dàn bə de, “Nə̄ gyə̄ lwè nkəywə̀ ywē kə̄ tsàr mə̄nē bān là tɔ kī nə̄ Rì.” Yə̀ bə kwɔ beshi də̀ sə̄ ywe, bə kan ngrɛ̄n de bə te zəze kūkwār.
LUK.17.15	Və̄lɔn gyə̄r ənywī bə wān ngrɛ̄n de gu te zəze, mə̀rtu də̀ sə̀ kplɔ sɛn də̀ sə̀ bɛ̀ Rì 
LUK.17.16	də̀ nyə̄ gyɛkū ə zə̀ Yɛso də̀ nyə̄r gu. Və̄lɔn gu mē sē wān Samariya.
LUK.17.17	Yɛso kàn kwɔ̀ beshi də̀ rì de, “La sē mə̄nē gur bān Rì nan bə tè zəze yo? Nkyɛn mə̄nē tīyār mūn kan nansɛn? 
LUK.17.18	Yə sē rɛn nggyɛ̆ kya yə̄ te də̀ nənè gyə̄r ənywī bə la tèkə man nyə̄ nyə̄r Rì yo, də̀ sē wə̄ wān sē cə̄r mē wān kan mə̀rtu nyə̀?” 
LUK.17.19	Ə tswēyəmē, Yɛso kàn kwɔ̀ beshi də̀ dàn gu de, “Doglò də̀ man ywè nkəywē, sē nkɔ̄n yə̄ wə̄ kpə tè njìnjì yə̄ nə̄ wə̄ tè zəze.”
LUK.17.20	Mə̄nē nə̄mān bān 
LUK.17.21	Də̀ nənè la shāmān wān lə dan de, ‘Kyɛn, nggə̄ mē ngrɛn yə ə sə̄kànmē,’ kē ‘Kyɛn, nggə̄ mē ngrɛn yə ə sə̄kànmūn,’ yo anrɛ̀n nkɔ̄n yə̄ Rì là lwe mə̄nē mē sē bə̄ gyə̄ ə sə̄kànmē.”
LUK.17.22	Gu kàn dàn bān sə̄ zwē gu mān de, “Mkpān là nyə yə̄ gyə̄ lə fɔ̀ de nə̄ gyə̄ màn ngrɛ̄n mbrɛ̄ nə̄mān ənywī vē yə̀ nggə̄ Vɛ̄n Nēnjì nyə tè bə̄ gyə̄ də̀ lə la ngrɛ̄n vē yə̄ yo. 
LUK.17.23	Gyə̄ lə gyɛ̂n sə̀ gwɔ mə̄nē lə sə̀ dan gyə̄ de, ‘Kyɛn gu mūn ə sə̄kànmē,’ kē ‘Kyɛn gu mē ə sə̄kànmē!’ Nə̄ gyə̄ kàdə dòglò zər sə̀ kulwe gɔ̀n zwē mbùmbŭ mə̀rɛ̄n yəmē yo. 
