MAT.1.1	Iesu Keriso ena rama kupu torina Aberahamo mai Davida bibirakiai emai.
LUK.20.8	Iesu ehina benakia etibaha, “Au abomo wai a'i kahina benimi, taba neiakia tai ena beroai nababainakia.”
LUK.20.9	Ba Iesu 'abi ibabatai neianai maearima ehina benakia etibaha, “Hau ha bine haharuana ebatona, biraura haukia baika ea'inakia kate'imana, 'a ia hanona ekaobo rani homa'ana hanopaka haeai emiaho. 
LUK.20.10	Bine buana ibararona ranina etaina, poki hauna ena ta'ara'i hauna ha euhuna eao haharua i'imana haukia herekiai bine buakia baika katebena. 'A bai'ima haukia tehore ta'ara'i hauna teahuna imana 'abaeana teuhuna emue. 
LUK.20.11	Haeamona ena ta'ara'i hauna haeai ha euhuna, ia bai'ima haukia aka hamomona mo tebabaina, teahuna tebahaumaeana imana 'abaeana teuhuna emue. 
LUK.20.12	Ibaihauna euhuna, 'a bai'ima haukia tehore tebamani'ana teu'u ahina. 
LUK.20.13	Weiana haharua poki hauna etibaha, ‘Tabamo kababaina? Au Naha'u tohana, e'u raona'au kauhuna keao hanona pa'e ia aba katemariki aina.’ 
LUK.20.14	'A haharua i'imana haukia ia teihana raninai te'abi'abi aina tetibaha, ‘Neiana hanona haharua poki hauna nahuna, hamahu 'arina, haharua hanona aika 'eukai keao.’ 
LUK.20.15	Temikiri teberi ahina haharua kapenai teahu 'arina.
LUK.20.15	Ba haharua poki hauna taba kebabaina haharua i'imana haukia herekiai? 
LUK.20.16	Ia hanona kemai haharua i'imana haukia weiakia keahu 'arinakia haharua hanona maearima haeai kebenakia.” Maearima 'abi weiana teona raninai tetibaha, “Neiana ua a'i pehoma.”
LUK.20.17	Iesu eiha 'ini 'ininakia ba ebakainakia etibaha, “Puka Robenai tererena 'abina anina hanona taba?
LUK.20.17	‘Itu ibakorina haukia
LUK.20.17	tebaoao aina piharana hanona
LUK.20.17	aba itu ibua 'inina piharanai
LUK.20.17	eao.’ 
LUK.20.18	Hau ha ke'eho pihara weiana ahanai hanona keahu ahu hurina, 'a pihara weiana ke'eho hau ha ahanai hanona hau weiana ke'iti 'iti obo matoha apuroro 'abana.”
LUK.20.19	Rani weianai rauhubu poki haukia mai robe haukia apa'uakia taeara tetabu Iesu katebirina, pokina 'abi ibabatai hanona ia mo ahakiai ehinana, ia maearima teta'u ainakia buonai a'i etainakia.
LUK.20.20	Iesu teiha 'inina, 'abi bai'oi haukia baika teuhunakia katebakai bai'oina matoha bero haukia 'abakia. Ena 'abiai hanona katea'ina, rauhubu mai hiabu haukia imakiai kateutana. 
LUK.20.21	Weiana bai'oi haukia tebakaina tetibaha, “Ba'iobi haumu e, ai ta'iobina oi emu ba'iobi mai emu 'abi hanona tebero ki'a baha, maearima ekia hoahoa hanona oi a'i nuraonanakia, 'a Tirama ena 'abi tohana taearanai nuba'iobi harainamai. 
LUK.20.22	Ai takiti monina obia arana katabena hanona ebero 'ao aha'i?” 
LUK.20.23	'A Iesu ekia bai'oi weiana hanona aba e'iobina, ba ehina benakia etibaha, 
LUK.20.24	“Moni ha tomobaihana'u. Tai aubaubana mai tai atana?” Ia te'abi, “Obia 'arana 'euna.” 
LUK.20.25	Iesu ehina benakia etibaha, “Obia 'arana 'euna hanona Obia 'arana katobena, 'a Tirama 'euna hanona Tirama katobena.” 
LUK.20.26	Maearima wairakiai ena 'abiai katebarewana hanona a'i etainakia, ia ena 'abiai mo teta'uta'u huri, 'abi ha a'i tehina 'apuana.
LUK.20.27	Sadukea haukia baika weiakia 'ariai mikiri mue a'i tibatohana haukia temai Iesu herena tebakaina tetibaha, 
LUK.20.28	“Ba'iobi haumu e, Mose eka rauhubu ṉa erere aihona, hau ha ke'ari atawana kemiaho nahuna aha'i raninai ia uaho'abana kehore wapu keatawana, miori katebarama e'ari hauna 'euna. 
LUK.20.29	Weiana uaho'aba 'abaihau hamomo temiaho, pakana babi'e ha eatawana nahuna aha'i aonai e'ari. 
LUK.20.30	Ibaruana wapu weiana eatawana ba e'ari, 
LUK.20.31	ibaihauna abomo wapu weiana eatawana, ba taeara hamonaimo haukia 'abaihau hamomo teatawana nahukia aha'i te'ari. 
LUK.20.32	Muri 'akinai babi'e weiana abomo e'ari. 
LUK.20.33	Ba mikiri mue raninai babi'e weiana hanona tai atawanai keao, pokina ia haukia 'abaihau hamomo ikoikiai teatawana.”
LUK.20.34	Iesu ia ehina benakia etibaha, “Hanopaka neiana haukia hanona ikoikiai tihawainibe. 
LUK.20.35	'A hanopaka weiana haukia 'ariai katemikiri mue haukia hanona a'i katehawainibe. 
LUK.20.36	Ia a'i kate'ari mue, pokina ia hanona aneru ihobokia abomo aba 'ariai temikiri mue Tirama nahunai kateao. 
LUK.20.37	'Ariai mikiri mue 'abina hanona Mose abomo ebaihana matiu 'ini'inina arabuna e'ara orina aonai. Ia Obiapaka e'uahina Aberahamo ena Tirama, Isako ena Tirama, Iakobo ena Tirama. 
LUK.20.38	Ia hanona 'ari haukia ekia Tiramana aha'i, 'a mauri haukia ekia Tiramana, pokina Ia aonai maearima ikoikai nahamauri.”
LUK.20.39	Iesu ena 'abi teona raninai rauhubu poki haukia baika te'abi tetibaha, “Ba'iobi haumu e, 'abi tohana mo naiana.” 
LUK.20.40	Weiana murinai ibakaina tebaoao aina.
LUK.20.41	Iesu ehore maearima ebakainakia etibaha, “Aeahoma buonai maearima ti'abi Keriso hanona Davida nahuna? 
LUK.20.42	Davida kipona Salamo pukanai e'abi,
LUK.20.42	‘Obiapaka hanona e'u Obia
LUK.20.42	ehina bena etibaha,
LUK.20.42	Itipa'u tainai momiati,
LUK.20.43	keaomo oi emu 'ou haukia
LUK.20.43	ikoikiai oi 'apumu iehe'auna
LUK.20.43	tabanai kabaonakia.’ 
LUK.20.44	Neiana Davida ehore ia Obiana ehinana ba aea homanai mo Keriso hanona Davida nahuna?”
LUK.20.45	Maearima ikoinai tibahu aonai, Iesu i'abana haukia ehina benakia etibaha, 
LUK.20.46	“Rauhubu poki haukia herekiai kato'ima harainimi, ekia nuatae hanona habuni homa'akia katebatoto katekaoao kaoao, mai kawakawa 'ekakiai maearima ia kateba namonakia, haeamona mareai mai tatu 'ekakiai imia'au 'ekakia namokiai mo katemia'au. 
LUK.20.47	Wapu ekia itu tiani 'aunakia, maearima ia kateihanakia paunai ekia bahuba'ari Tibahoma'anakia. Maearima uahomakia haukia puma rarina katea'ina.”
LUK.21.1	Iesu mahana eao kepu herekia tebo'o haukia ekia baibeni marea monina iutana mauana aonai teuta eihanakia. 
LUK.21.2	Abomo wapu uraruna ha ena toea papakia rua eutanakia eihana. 
LUK.21.3	Iesu e'abi etibaha, “'Abi tohana au wai nahina benimi, wapu uraruna neiana euta tabana eapa'ua ba ikoikiai. 
LUK.21.4	Maearima neiakia ikoikiai ekia obiai baibeni tabakia papakia tehoroti, 'a wapu neiana ena uraruai kemiaho aina tabana maikoina ehorotina.”
LUK.21.5	I'abana haukia baika marea robe terobahu aina ena nuabi piharakia namoabukiai mai baibeni Tirama tebena tabakiai tebabaina. 'A Iesu e'abi etibaha, 
LUK.21.6	“Bariu ṯoiha tabakia neiakia rani kemai aonai pihara ha pihara ha ahanai a'i kemiaho maikoinai kateruru ore.”
LUK.21.7	Tebakaina tetibaha, “Ba'iobi haumu e, aita raninai taba neiakia katerama? Abomo katerama ranina mai hoana hanona taba?” 
LUK.21.8	Iesu e'abi etibaha, “Kato'ima harainimi, a'i teme'oinimi, weiana maearima bo'ona au ata'uai katemai kate'abi, ‘Hauna neiana Au,’ haeamona ‘Rani aba herekai,’ hanona murikiai a'i kato'au. 
LUK.21.9	Huari mai 'au urukia kato'o hanona a'i katota'u, taba neiakia hanona katerama 'uai, 'a puana hanona wairai.”
LUK.21.10	Haeamona ia ehina benakia etibaha, “Hanopaka ha kemikiri hanopaka ha kehuarina, itubu ha kemikiri itubu ha kehuarina. 
LUK.21.11	'Eka haeai haeai kanokau apa'uakia, arobo, mai inawa ki'a obokia katerama, abomo ta'u tabakia mai hoa rarikia kupai katerama.
LUK.21.12	“'A taba neiakia ikoikiai a'i katerama baha aonai, au ata'u paunai katea'inimi haeamona katebapo'onimi ba kateaoainimi mareai mai wapura 'ekakiai katehorotinimi, abomo kateberinimi kateaoainimi obia mai kabamani haukia wairakiai. 
LUK.21.13	Ia rani neiana hanona wai Pou Namona katohinana herekiai ranina. 
LUK.21.14	Aea katobakai aiho paunai, aomi a'i katearo 'ari. 
LUK.21.15	Pokina Au kahore aobero 'abikia kabenimi, weiana emi 'ou haukia katebamuenakia 'ao katebuniai ainakia hanona a'i ketaina.
LUK.21.16	“Hamami, hinami, uaho'abami, hatia'ami, mai emi hau katehore katehina hinainimi, abomo wai baika kateahu 'arinimi. 
LUK.21.17	Maearima ikoikiai kate'oatanimi au pau'uai. 
LUK.21.18	'A aramiai bui ha hamona a'i keki'a. 
LUK.21.19	Emi bapahihiai wai emi mauri katoa'inakia.
LUK.21.20	“'A huari haukia Ierusalema katekori kaiarona katoihanakia raninai, aba kato'iobina ena pua ranina aba herekai. 
LUK.21.21	Ba weiakia Iudea ai ṯemiaho haukia katebeau kobio kateao, weiakia aiara apa'uana aonai haukia katekarahi mahanai, weiakia mahanai haukia aiara apa'uanai a'i katekatoto. 
LUK.21.22	Pokina rani neiakia hanona haiara ranikia taba ikoikiai Puka Robenai tererenakia haukia ibatohakia. 
LUK.21.23	'A rani weiakia aokiai babi'e mai nuakia abomo nahukia 'oru'orukia babi'ekia herekia hanona keki'a ki'a baha, haiara rarina 'akina hano ahanai kerama abomo Tirama ena opuere keriri maearima neiakia ahakiai. 
LUK.21.24	Ia baika kareba mahanai kate'ari, ba baika katea'i maurinakia kateaoainakia hanopaka haeai haeai aokiai wapura haukiai kateao, rama haea haukia hanona Ierusalema katebaripu ripuna keaomo ekia rani Tirama e'uahina hauna ketaina.
LUK.21.25	“Beraura, nawa, mai bihiu aokiai hoa katerama mai 'aku roio mai harapuni urukiai hanopaka haukia ikoikiai aokia kearo 'ari abomo nuakia ketae. 
LUK.21.26	Hanopakai taba kerama hauna kate'imana aonai maearima kateta'u aokia katerea, pokina kupai hiabu tabakia kateibiu ibiu. 
LUK.21.27	Rani weianai maearima hanona Maearima Nahuna kateihana 'auhao ahanai kemai mai hiabuna mai nuabina. 
LUK.21.28	'A taba neiakia katea'i ramana raninai katokoroti arami katoa'i taeana, pokina ibamaurimi aba niherekai.”
LUK.21.29	Ba Iesu 'abi ibabatai neiana ehina benakia etibaha, “Kuropou mai matiu ikoikiai katoihanakia. 
LUK.21.30	Raukia hubu hubukia katekarahi katoihanakia raninai kato'iobina hioro aba herekai. 
LUK.21.31	Ba ihobonaimo wai abomimo taba neiakia katerama katoihanakia raninai, kato'iobina Tirama ena obia aiarana hanona aba herekai.
LUK.21.32	“'Abi tohana au wai nahina benimi, uru neiana maearimakia a'i kate'ari ore baha aonai taba neiakia ikoikiai katerama. 
LUK.21.33	Kupa mai hanopaka kate'akauma, 'a e'u 'abi hanona a'i ke'akauma 'apua.
LUK.21.34	“Kipomi kato'ima 'ima harainimi. Tatuai inuinuai abomo hanopaka ena aoaniai aomi a'i mebareana marikina, rani kemai hanona aba herekai matoha rio 'abana, a'i mebata'u ta'u hurinimi. 
LUK.21.35	Rani weiana kemai hanona maearima ikoikiai hanopakai ṯemiaho haukia ahakiai. 
LUK.21.36	Rani ikoinai katobai'ima abomo katobahuba'ari, weianai katotabura taba neiakia ikoikiai katerama haukia herekiai katokapare Maearima Nahuna wairanai katokoroti.”
LUK.21.37	Iesu rani weiakiai mararani hanona marea robe aonai eba'iobi, 'a rabirabi hanona ekarahi eao Olibe oeonai rabi maikoina weia emiaho. 
LUK.21.38	Raurani amarikiai maearima ikoikiai teao marea robe aonai aiana kateona.
LUK.22.1	Parawa ibakupu aha'i tatuna beraurana teaparina Kabanai tatuna hanona aba niherekai. 
LUK.22.2	Robe haukia apa'uakia mai rauhubu poki haukia Iesu iahu 'arina taearana tetabu iamo maearima teta'u ainakia.
LUK.22.3	Satani ehore Iuda Kariote hauna Iesu i'abana haukia harauhaea rua ha aonai etoto. 
LUK.22.4	Iuda eao robe haukia apa'uakia mai marea robe ṯe'imana poki haukia kipokia teroba ahu Iesu aea kehinahinai aihona. 
LUK.22.5	Ia aokia enamo, ba te'abi'uai moni katebena. 
LUK.22.6	Iuda ekia 'abi ea'i taeana, taeara etabu rani namona tabanai to'u aha'i aonai imakiai keutana.
LUK.22.7	Parawa ibakupu aha'i tatuna wapuna etaina hanona Kabanai banamo mamoekia kateahu 'arinakia ranina. 
LUK.22.8	Iesu Petero mai Ioane euhunakia e'abi etibaha, “Tomoao eka Kabanai anianina aika kahani hauna katoa'ia'i haraina.” 
LUK.22.9	Terarua tehina bena tetibaha, “Nonuatae ae'eai kata'ia'i haraina.” 
LUK.22.10	Ia ehina benakia etibaha, “Aiara apa'uanai katokatoto aonai hau ha puou mai beina aronai kebuana katoihana, murinai katoao ketoto itunai katokatoto. 
LUK.22.11	Weiana itu poki hauna katohina bena, ‘Ba'iobi hauna ninoini'o, baki ikaihurina hanona ae'e ai. Weia au mai i'aba'u haukia kipokia emai Kabanai tatuna anianina katana.’ 
LUK.22.12	Ia kehore ikaihuri apa'uana 'ubiai aba iba'oru hauna kebaihanimi, weia aniani katoa'ia'i haraina.” 
LUK.22.13	Terarua tekaobo teao Iesu ehina benakia tabakia ikoinai ihobona tohanai tetabu ahinakia, weia Kabanai tatuna anianina tea'ia'i haraina.
LUK.22.14	Beraura hoana etaina Iesu ena iuhubeau haukia kipokia aniani 'ekanai temiati. 
LUK.22.15	Ia ehina benakia, etibaha, “Au e'u nuatae tohana hanona Kabanai tatuna anianina neiana kipokia kahaniani oioi 'uaina ba kateba haiarana'u. 
LUK.22.16	Pokina au wai nahina beninimi, Au hanona neiana a'i kani muena keaomo anina tohana Tirama ena obia aiaranai ketohana.”
LUK.22.17	Ba 'ere ha ea'ina ebanamona e'abi etibaha, “Neiana tomoa'ina ikoimiai tomoinu. 
LUK.22.18	Pokina au wai nahina benimi, bine buana beina a'i kainu mue bariu keaomo Tirama ena obia aiarana kemai.” 
LUK.22.19	Parawa ha ea'ina ebanamona haeamona ehobina ebenakia e'abi etibaha, “Neiana hanona au hau'u, wai paumiai nabaibeni. Neiana katobabaina au iraona'u.” 
LUK.22.20	Taeara ihobonaimo teaniani murinai ia 'ere ha ea'ina ehina benakia etibaha, “'Ere neiana hanona baibua mahamahana ibatohana hoana au aruaru'u ai, wai paumiai kekiki oioi. 
LUK.22.21	Ia au hinahina'u kehinahina hauna imana abomo neia au ima'u kipokia aniani 'ekanai. 
LUK.22.22	'Abi tohana Maearima Nahuna hanona keao Tirama ena raona ihobona, 'a hau weiana kehinahina hauna ki'ana herenai ki'a rarina kerama.” 
LUK.22.23	Ia kipokia ha ha tebakai bakai baiatakiai, tai hanona aka weiana kebabaina.
LUK.22.24	I'abana haukia kipokia baiatakiai tebaihara tae tai hanona keapa'ua. 
LUK.22.25	Iesu ehina benakia etibaha, “Rama haeai obia arana haukia hanona ekia maearima Tiobia ainakia, ekia nuatae weiakia ekia iha 'ini ba'anai ṯemiaho haukia hanona kateaparinakia ia maearima namokia. 
LUK.22.26	'A wai heremiai hanona ua a'i kehoma, keapa'ua baiatamiai hauna hanona aona mebamiorina, ne'uai ainimi hauna hanona matoha barai barai akana nibabaina hauna 'abana. 
LUK.22.27	Tai hanona eapa'ua, weiana aniani 'ekanai nemia'au hauna 'ao barai barai akana nibabaina hauna? Weiana aniani 'ekanai nemiati hauna hanona eapa'ua. Ia au wai baiatamiai hanona barai barai akana nibabaina haunai naeao.
LUK.22.28	“Wai hanona au kipokia hamiaho haeamo baihobo ikoikiai aokiai. 
LUK.22.29	Hama'u hiabu ebena'u ena 'eka ka'imana, ihobonai mo bariu Au hiabu kabenimi e'u 'eka kato'imana. 
LUK.22.30	Weiana e'u obia aiaranai wai hanona e'u aniani 'ekanai katoaniani katoinuinu, haeamona obia imia'aunai katomia'au Isaraela itubuna harauhaea rua i'imana haumiai katoao.
LUK.22.31	“Simona e, Simona e, Satani aba enoinoi ikoimiai kebarobonimi kehobonimi ihobona witi 'abana. 
LUK.22.32	Iamo Simona au aba ahamuai abahuba'ari emu a'ikakauma a'i me'eho, ba oi koraona kabe raninai uaho 'abamu abokiamo koba taburanakia.”
LUK.22.33	Petero ehore Iesu ehina bena etibaha, “Obiapaka e, au aba aba'oru oi ka'abani'o kahaeao kahawapura 'ao kaha'ari.” 
LUK.22.34	Iesu ena 'abi ebamuena etibaha, “Petero e, au oi nahina beni'o, bariu rabi neianai kokoro'u a'i ke'arara baha aonai, oi rani aihau au kobuniaina'u, au a'i o'iobina'u ṉa kohoma.”
LUK.22.35	Iesu ehore i'abana haukia ebakainakia etibaha, “'Uainai auhu ahinimi, toao mahoa ihiuaihiua, mahoa mai tamaka aha'i toka'a raninai taba ha heremiai tokapu, 'ao?” Ia te'abi tetibaha, “Aha'i.” 
LUK.22.36	Ia ehina benakia etibaha, “'A bariu tai mahoa ihiuaihiua herenai hanona kea'ina, mahoa abomo kea'ina, mai tai kareba herena aha'i hauna ena habuni kekawa kawa aina moninai kareba ha kekawana. 
LUK.22.37	Pokina au wai nahina benimi, tererena ‘Kakikaki haunai tebaona,’ 'abina neiana hanona au here'uai ketohana, taba tererena au aha'uai hauna ibatohana ranina aba nimai.” 
LUK.22.38	I'abana haukia te'abi tetibaha, “Obiapaka e, moihana kareba rua neiakia.” Weiana ia ehina benakia, “Abetaina.”
LUK.22.39	Iesu nibabai babai bena ihobonai ekarahi Olibe oeona eao, i'abana haukia ia murinai teao. 
LUK.22.40	'Eka weianai tekara'au raninai ia ehina benakia etibaha, “Tomobahuba'ari baihobo aonai a'i tomototo.” 
LUK.22.41	Herekiai ekaobo baiatakia ena homa'a matoha pihara ha pahakapona peao pe'eho ihobonai weia ekaipehu ebahuba'ari. 
LUK.22.42	E'abi etibaha, “Hama'u e, konuatae raninai haiara 'erena neiana here'uai koa'i obona, iamo au e'u nuataeai aha'i, 'a oi emu nuatae mobabaina.”
LUK.22.43	Ba aneru ha kupai emai ia herenai ewaira tina, ebataburana. 
LUK.22.44	Aona earo'ari, ebahuba'ari haeamona ebahuba'ari tabura tabura, maorona te'eho 'anoai ihobona aruaru kokoma'akia 'abana. 
LUK.22.45	Ena bahuba'ari murinai emikiri eao i'abana haukia herekia, aoko'oai aba temahe harai buonai parua reakia etabu ahinakia. 
LUK.22.46	Ehina benakia etibaha, “Taba buonai tuparua? Tomono'a, tomobahuba'ari baihobo aonai a'i tomototo marikina.”
LUK.22.47	Iesu ni'abi oho mo aonai i'abana harauhaea rua haukia 'abakia ha atana Iuda to'u rarina e'uai ainakia temai, ba ekahaha Iesu herena eao kepauna. 
LUK.22.48	'A Iesu ehore Iuda ehina bena etibaha, “Oi hanona baipauai Maearima Nahuna nohinahinaina, u?”
LUK.22.49	Weiakia herenai tekoroti haukia taba kerama hauna te'iobina aonai te'abi tetibaha, “Obiapaka e, karebai tamaharanakia, u?” 
LUK.22.50	Ba 'abakia ha robe haukia 'arakiai hauna ena ta'ara a'i hauna haiana itipana ehara obona. 
LUK.22.51	'A Iesu e'abi etibaha, “Naiana mepua.” Ba ia ehore hau weiana haiana ea'i 'apuana ebanamona.
LUK.22.52	Iesu ehore robe haukia apa'uakia marea robe 'ima haukia mai aiara hau apa'uakia temai ia katea'ina haukia ehina benakia etibaha, “Mai karebami mai pura'ami tomai matoha bainao hauna katoa'ina 'abana, u? 
LUK.22.53	Rani ikoinai au hanona wai kipokia marea robe aonai, iamo wai a'i toa'i 'inina'u. 'A bariu rani neiana hanona wai emi rani, wapura ena hiabu ranina.”
LUK.22.54	Ia tehore Iesu tea'ina tebaka'ana teaoaina robe haukia 'arakiai hauna ena ituai, 'a Petero hanona murikiai eao ia mo mai baiatakia. 
LUK.22.55	Baika tehore ara aona ibuanai iruba teba'arana ba temia kakaiarona, Petero abomo weia baiatakia emiati. 
LUK.22.56	Ba ta'ara a'i uahona ha iruba eanai Petero emiati eihana, eiha iha haraina e'abi etibaha, “Hau neiana hanona Iesu 'abana ha.” 
LUK.22.57	'A Petero ebuniai etibaha, “Uaho e, au ia a'i a'iobina.” 
LUK.22.58	Rani a'i ehoma'a aonai, hau ha ia eihana e'abi etibaha, “Oi abomo 'abakia ha.” Petero e'abi etibaha, “Hau e, au hanona aha'i.” 
LUK.22.59	Beraura hoana ha eao 'abana hau ha ia eihana ba e'abi tabura etibaha, “'Abi tohana hau neiana abomo ia 'abana ha, pokina ia abomo Galilea hauna.” 
LUK.22.60	Ba Petero e'abi etibaha, “Hau e, au a'i a'iobina oi taba robana nuahuna.” Ni'abi oho mo aonai kokoro'u e'arara. 
LUK.22.61	Weiana Obiapaka eiha kabe Petero eihana. Ba Petero ehore Obiapaka ena 'abi ehinana hauna eraona tinana, “Oi bariu rani neianai kokoro'u a'i ke'arara baha aonai au rani aihau kobuniai aina'u.” 
LUK.22.62	Weiana Petero ekarahi eao atapakai ehai ki'a.
LUK.22.63	Hau weiakia Iesu tea'i 'inina haukia tebatae aina. 
LUK.22.64	Mahana te'apa abunakia te'atina ba tebakaina tetibaha, “Mohina benamai. Tai oi e'atini'o?” 
LUK.22.65	Abomo 'abi ki'a obokia bo'ona herenai tehinanakia.
LUK.22.66	Erani aonai aiara hau apa'uakia, robe haukia apa'uakia, mai rauhubu poki haukia kipokia teto'u ba Iesu temaiaina bakai apa'uana weiana wairakiai. 
LUK.22.67	Bakai apa'uana haukia tebakaina tetibaha, “Mohina benamai. Oi hanona Keriso, 'ao?” 'A Iesu ia ehina benakia etibaha, “Pahina benimi hanona a'i patobatohana'u. 
LUK.22.68	Abomo pabakainimi hanona a'i patobamuena. 
LUK.22.69	Ia bariu rani neiana keaoaina hanona Maearima Nahuna hiabu Tiramana imana itipana tainai kemiati.”
LUK.22.70	Ia ikoikiai tebakaina tetibaha, “Ba oi hanona Tirama Nahuna, u?” Weiana Iesu ia ehina benakia etibaha, “'E, aba tu'abi mo naia.” 
LUK.22.71	Ba ia te'abi tetibaha, “Taba buonai hinau 'abikia nahatabunakia? Aika aba ia kipona pinanai Tirama nia'i ki'ana aiana haona.”
LUK.23.1	Weiana bakai apa'uana haukia maikoina temikiri Iesu teaoaina Pilato herena. 
LUK.23.2	Weia ena beho 'abikia tea'i ramana tetibaha, “Hau neiana tatabu ahina emai hanopaka maearimakia aokia niana aiara niba'uri 'urina mai obia arana herenai takiti katabaibeni hauna nikaiabuna, abomo kipona ni'abi ia hanona Keriso, obia arana.” 
LUK.23.3	Ba Pilato ehore Iesu ebakaina etibaha, “Oi hanona Iuda haukia ekia obia arana, u?” Ia ena 'abi ebamuena etibaha, “'Abimo naiana aba nohinana.” 
LUK.23.4	Pilato ehore robe haukia apa'uakia mai to'u haukia ehina benakia etibaha, “Au hau neiana herenai beho ha a'i atabu ahina.” 
LUK.23.5	Ia te'abi tabura tetibaha, “Ena ba'iobi 'abikiai Iuda maearimakia aba eba'uri 'urinakia, weia Galilea ai ea'i ramana emai mo aba 'eka neianai ekara'au.”
LUK.23.6	Pilato 'abi weiana 'uruna eona hanona ebakai bakai hau neiana Galilea hauna 'ao. 
LUK.23.7	Pilato e'iobina Iesu hanona Heroda ena iha'ini ba'anai buonai euhuna teaoaina Heroda herena, rani weianai Heroda abomo weia Ierusalema ai.
LUK.23.8	Heroda Iesu eihana raninai aona enamo ki'a pokina aba wa'i baha 'akinai Iesu pouna eona, enuatae ia peihana abomo ena nuatae Iesu hoa baika pebabai peihanakia. 
LUK.23.9	Ua buonai 'abi bo'okiai ebakaina, 'a Iesu ia ena 'abi ha a'i ebamuena. 
LUK.23.10	Robe haukia apa'uakia mai rauhubu poki haukia weia tekoroti te'abi pahihi herenai. 
LUK.23.11	Ba Heroda mai ena huari haukia kipokia Iesu tebapo'ona, 'abi ki'a obokia haeai haeai tehina murinai, obia habunina ha tebabatotona, haeamona temue aina teaoaina Pilato herena. 
LUK.23.12	Rani weianai Heroda mai Pilato hanona tebaihau, ia 'uainai terarua hanona tebai'oata.
LUK.23.13	Pilato ehore robe haukia apa'uakia aiara obiakia mai aiara maearimakia eaparinakia ebato'unakia. 
LUK.23.14	Ehina benakia etibaha, “Hau neiana tomaiaina here'uai to'abi, maearima aokia niani aiara niba'uri 'urina, ia au wairamiai 'abi weiakia tohina herenai haukia abakaina hanona ena ki'a ha a'i atabu ahina. 
LUK.23.15	Heroda abomo ua homana buonai euhuna emue emai hereka, katoihana ia hanona 'ari akana ha a'i ebabaina. 
LUK.23.16	Weiana buonai ka'atina ba kahabona keao.” 
LUK.23.17	Rani ikoinai Kabanai tatuna aonai Pilato ena hoa hoa tainai wapura hauna ha ebakarahina.
LUK.23.18	'A mako teio haeamo tetibaha, “Hau neiana moahu 'arina! Baraba morubuna mobenamai!” 
LUK.23.19	Baraba hanona aba ua'a wapura 'ekanai emiaho pokina aiara apa'uana aonai baripuripu mai ahuahu ebaramanakia paunai. 
LUK.23.20	Pilato ena nuatae hanona Iesu pebakarahina paunai to'u haukia ehinabe muenakia. 
LUK.23.21	'A to'u haukia teio hao io hao tetibaha, “Matiu ibiri ropo 'ubinai me'ari! Matiu ibiri ropo 'ubinai me'ari!” 
LUK.23.22	Pilato rani ibaihauna to'u haukia ehinabe muenakia, “Hau neiana beho tabana ebabaina? Ia ke'ari hauna behona ha a'i atabu ahina. Ua paunai ka'atina ba kahabona keao.” 
LUK.23.23	'A to'u haukia teio to'o baihana aiakia 'ubi tohanai Iesu matiu ibiri ropo 'ubinai ke'ari. Ekia ioai Pilato etara haona. 
LUK.23.24	Ua buonai Pilato ehore ekia nuatae ebabaina Iesu behoai ehorotina. 
LUK.23.25	Pilato ehore hau weiana baripuripu mai ahuahu ebaramanakia paunai wapura 'ekanai tehorotina hauna ebakarahina ekia noinoi ihobonai, ba Iesu ebenakia ekia nuatae akakia katebabai.
LUK.23.26	Huari haukia Iesu tebaka'ana teaoaina aonai Kurene hauna ha atana Simona ia hanona 'uniai emai Ierusalema niao tetabu ahina ba tea'ina matiu ibiri ropo tebabua ahina Iesu murinai eka'a aina.
LUK.23.27	Maearima bo'ona 'akina Iesu murina te'au baiatakiai babi'e baika ia teaoko'o aina tehai. 
LUK.23.28	Iesu ekabe ehina benakia etibaha, “Ierusalema nahuna babi'emi e, au a'i tomohai aina'u, 'a wai mai nahumi kipokia paumiai tomohai. 
LUK.23.29	Pokina rani kemai aonai maearima kate'abi katetibaha, ‘Babi'e te'one 'one miori a'i tebarama, mai a'i teba'ae ba'ae babi'ekia hanona namo tea'ina.’ 
LUK.23.30	Weiana
LUK.23.30	‘kobio katehina benakia,
LUK.23.30	“tomo'eho ahamai ai”,
LUK.23.30	mai oeo katehina benakia,
LUK.23.30	“tomobahu abunamai.” ’ 
LUK.23.31	Au matiu maurina 'abana here'uai ṉa tibabai aiho raninai, wai matiu 'ororona 'abana heremiai aea patebabai aihona?”
LUK.23.32	Beho haukia rua abomo tebaka'anakia teaoainakia Iesu kipokia kateahu 'arinakia. 
LUK.23.33	Temai 'eka atana ‘'Ara huriana’ ai tekara'au aonai, Iesu matiu ibiri ropo ahanai tekoko 'auna beho haukia rua kipokia hamona itipanai, ha awarinai. 
LUK.23.34	Ba Iesu e'abi etibaha, “Hama'u e, mohina haonakia pokina ia a'i te'iobina taba tibabaina.” Weiana huari haukia pu'i ai ena habuni tewatena.
LUK.23.35	Maearima tekoroti tebaiaruru, aiara obiakia tehore Iesu tebapo'ona te'abi tetibaha, “Ia maearima haeai ebamaurinakia, ba ia Tirama ena Keriso Tirama etina'ana hauna raninai kipona mebamaurina.” 
LUK.23.36	Huari haukia abomo tebapo'ona tekahaha herena bine beina manoina tebena. 
