GEN.1.1	Ndee jaxtnañuꞌu ja ni junkoo ñuyiu, ni saꞌa ia Dios andivi jin ñuyiu. 
GEN.31.25	Yun te ni ka jintnaꞌa ña Labán jin Jacob. Te ja siun ja ni saꞌa Jacob veꞌe saꞌun de in nuu yuku, guaa Labán jin tee ka ndeka tnaꞌa jin de ni ka jakin de veꞌe saꞌun de nuu yuku Galaad yun. 
GEN.31.26	Te jiñaꞌa Labán nuu Jacob:
GEN.31.26	―¡Nase luu kaa ja ni saꞌa ña ni! ¿Nau ja ni xndaꞌu ña ni, te vaji ni jin sesiꞌi san na kuinio nuu ka suꞌu ndevaꞌa ña ñayiu nuu jaxin tnaꞌi? 
GEN.31.27	¿Te nau ja ni tayuꞌu nuu ni, te ni jino yuꞌu ni vaji ni? ¿Nau ja ni xndaꞌu ña ni, te tu ni kaxtnoꞌo ni nuu san ja ndakuantaꞌu sii ini ña san jin tee ka jita yaa vi ka tee de tamborín vi arpa? 
GEN.31.28	Te ni ja tu ni jandetu ni visi ja chitu san yuꞌu seꞌe ñani kueli san jin sesiꞌi san, te ndakuantaꞌu nuu tnaꞌo. Maa ndia ni, guaa vi na saꞌa in ñayiu ndukueꞌe saꞌa ni vitna. 
GEN.31.29	Nuu siun chi kuu saꞌa ña san in jakueꞌe jin ni, su nuu jakuaa ni kaꞌan ia Dios tata yua ni nuu san, te kachi ya: “Koto maa ron masu ja koskiti ini tnaꞌa ron jin Jacob” kachi ya. 
GEN.31.30	Su nuu ja noꞌo ni kaꞌan ni, chi ni ndioo ndija ini ni ja ndenta ni veꞌe tata yua ni, ¿su nau ja ni suꞌu ni chuꞌchi san? ―jiñaꞌa de.
GEN.31.31	Yun te ni kaꞌan Jacob nuu Labán, te jiñaꞌa de:
GEN.31.31	―Saa chi ni yuꞌu ña san, chi ni ndakani ini san axi saa vatu ni ndakindee ni sesiꞌi ni guaa tu ni kaxtnoꞌo san. 
GEN.31.32	Su nuu ja ndee in ñayiu ka oo jin san yaꞌa nukuꞌun ni ja nevaꞌa chuꞌchi ni, te vi na kui yaꞌa. Te vi jin nuu tnaꞌa kuikion yaꞌa, te ndakaji ni nuu ndatniuu san nuu ja ndakuni ni na in ndatniuu ni, te ndakiꞌin ni ―jiñaꞌa Jacob, chi tu jini de ja ni suꞌu Raquel chuꞌchi yun.
GEN.31.33	Saa te ni kiuu Labán xna ka veꞌe saꞌun maa Jacob. Yun te ni ndee de, te ni ndiuu tuku de veꞌe saꞌun Lea vi saa ni ndayaꞌa de veꞌe nduu ñaꞌa ka jinokuechi yun, te tu nagua ni ndaniꞌi saꞌun de. Yun te ni ndee de ja ni ndiuu de veꞌe saꞌun oo Raquel. 
GEN.31.34	Su ni kiꞌin Raquel chuꞌchi yun, te ni chiꞌi ña maꞌñu ja yiꞌi yata kameyu, te ni jinkoo niꞌnu ña. Guaa ni ndanduku Labán nii ini veꞌe yun, su tu nagua ni ndaniꞌi saꞌun de. 
GEN.31.35	Yun te jiñaꞌa ña nuu tata ña:
GEN.31.35	―Ma kiti ini ni nuu san, vi tata yua san, ja ma kuu ndakoo san nuu ni, chi vitna ndakiꞌin ña kueꞌe san, nagua kueꞌe ka ndoꞌo ñasiꞌi jiꞌin san ―jiñaꞌa ña.
GEN.31.35	Su vi ni ndaa ni nuu Labán nuu ndatniuu ña, te tu ni ndaniꞌi de chuꞌchi de.
GEN.31.36	Yun te ni kiti ini Jacob, te ni kaꞌan xeen de jin Labán, te jiñaꞌa de:
GEN.31.36	―¿Nagua kuu in jakueꞌe ni saꞌa san jin ni? ¿Axi ndeja kuu yika kuechi san ja vi niꞌi ndevaꞌa ni sondikin ña ni? 
GEN.31.37	Su vitna ja vi nii ndaa nii nuu ni nuu ndiꞌi ndatniuu nevaꞌa san, ¿te a na in ndatniuu veꞌe ni guaa ni ndaniꞌi ni? Te kani ni yaꞌa vi jin nuu ndiꞌi ñayiu veꞌe ni vi ñayiu veꞌe san, te suu de guaa na vi kaꞌan ndeo guaa oo kuechi. 
GEN.31.38	Chi oko kuia yaꞌa ja ni satniuu san nuu ni, te tu saꞌun na in kiuu, te ni kanuu seꞌe ndikachi ni, te ni ndixiꞌu ni, te suni tu na in kiuu te ni jaa san in ndikachi ni. 
GEN.31.39	Te ni in kiuu tu ni ndatenuu ña san kiti ja ni ka ojaꞌni ña kiti xeen, chi ndiꞌi ni ondatniuyaꞌu san. Te ni in ti ña ni ojunaa, chi ni ondatnoꞌo ña maa ni visi kiti ni ka ondoñuꞌu jakuaa axi nduu. 
GEN.31.40	Su sein ndaꞌu guaa vi ni okai san nuu kaꞌni tnoꞌo nduu, te tnoꞌo jakuaa ni okuitnu san jin yuaꞌa ja vi ndee ñuaꞌna kusun san ni okujioo. 
GEN.31.41	Te saa ni oo san oko kuia veꞌe ni. Uxi kuun kuia ni jinokuechi san nuu ni ja jaꞌa nduu sesiꞌi ni, te iñu kuia ja jaꞌa kiti ni, te ni ndasama ni yaꞌu san ndee uxi jichi. 
GEN.31.42	Su nuu suaꞌa te tu ia Dios ndi tata jaꞌnu san Abraham, ia Dios xiin nuu yuꞌu niꞌnu tata yua san Isaac ni ojito ña jin san, chi vi jini ndandaa san ja suaꞌa ni ndaꞌa uun san ndatetniuu ña ni nuu siun. Su ia Dios, chi ni jini ya tnundoꞌo ja ni otnaꞌa san jin tniuu ja ni satniuu san jin ndaꞌa san, te yun guaa ni kaꞌan ya jin ni nuu jakuaa ja masu vatu ka saꞌa ni ―jiñaꞌa de.
GEN.31.43	Yun te ni kaꞌan Labán nuu Jacob, te jiñaꞌa de:
GEN.31.43	―Ñaꞌa yaꞌa, chi sesiꞌi maa san ka kuu ña, te suchi yii kueli yaꞌa, chi seyii maa san ka kui, te suni ndikachi yaꞌa, chi kiti maa san ka kuu ti, te ndiꞌi ja ndiaꞌa ni yaꞌa, chi kuenta maa san ka kuu. Te naxa kokaꞌan uꞌu sein nuu ña, te sesiꞌi san ka kuu ña vi señani san ka kuu seꞌe ni. 
GEN.31.44	Neꞌe ni te na vi saꞌo in tratu ja na vi koo manio, te na vi kondakaꞌan ndi nduo ja siaꞌa ni ka ndatnoꞌo ―jiñaꞌa de.
GEN.31.45	Yun te ni kiꞌin Jacob in kava, te ni jani de ja na kokuu in seña. 
GEN.31.46	Te jiñaꞌa Jacob nuu tnaꞌa de ja na vi xtutui yuu. Te ndiꞌi ni ka xtutu yuu ja ka saꞌa montoo, te siki montoo yuu yun ni ka jaa de xtaa. 
GEN.31.47	Te ni xnani Labán yun Jegar Sahaduta
GEN.31.48	Chi ni kaꞌan Labán:
GEN.31.48	―Montoo yuu yaꞌa guaa kokuu testiu jaꞌa ndi nduo ―jiñaꞌa de.
GEN.31.48	Te su guaa ni jinkonani Galaad, 
GEN.31.49	vi Mispa,
GEN.31.49	―Maa Jitoꞌo guaa na kokondiaꞌa ña ya nuu na vi kuu siin sion. 
GEN.31.50	Te nuu ja kuni uꞌu ni sesiꞌi san axi nuu ja ndakuaka tnaꞌa ni jin inka ñasiꞌi, te vi siin ka kuu sesiꞌi san, su visi tu na ñayiu ka oo jion, su oo ia Dios ja ndiaꞌa ña ya, te suu ya kuu testiu ndi nduo.
GEN.31.51	Te ni kaꞌan ka Labán nuu Jacob:
GEN.31.51	―Kondiaꞌa ni yaꞌa oo montoo yuu vi yaꞌa oo kava kuu seña ja ni jani san. 
GEN.31.52	Te testiu na kokuu montoo yaꞌa vi testiu na kokuu seña yaꞌa ja vi ni sein ma yaꞌa san yaꞌa ja jaa san siki ni, te ni maa ni ma yaꞌa ni nuu oo montoo yaꞌa ni nuu oo kava ja kuu seña yaꞌa ja jaa ni siki san ja saꞌa ña ni in jakueꞌe. 
GEN.31.53	Te maa ia Dios Abraham vi Dios Nacor guaa na saꞌa ndaa ya kuechi ndi nduo ―jiñaꞌa de.
GEN.31.53	Yun te ni kee yuꞌu Jacob ja skunkuu de nuu Dios, ia ni oyuꞌu niꞌnu tata yua de Isaac. 
GEN.31.54	Yun te ni jaꞌni Jacob kiti ja ni soko de nuu ia Dios nuu oo de yuku yun, te ni ndakana de ndiꞌi tnaꞌa kuikin de ja vi kaa de xtaa. Te ndiꞌi de ni ka jaa xtaa, te vi yun ni ka kixin de nuu jakuaa yuku yun. 
GEN.31.55	Te neꞌe ndevaꞌa ni ndakoo Labán inka kiuu tnee suaꞌa, te ni chitu de nuu señani kueli de vi nuu sesiꞌi de, te ni jikantaꞌu ña de nuu ia Dios. Te ni ndajiokuiin Labán ja ni ndajino de veꞌe nuu oo de.
GEN.32.1	Yun te ni ndakiꞌin ichi Jacob ja kuanoꞌo de, te yun ni kentakuei ia ka jinokuechi nuu Dios ja ni ka nitnaꞌa jin de. 
GEN.32.2	Te nuu ni jini ña Jacob, te ni kaꞌan de:
GEN.32.2	―Yaꞌa ndia guaa vi in nuu ka ndatatu soldado maa ia Dios kuu ―ni kachi de.
GEN.32.2	Te yun guaa ni xnani de yun Mahanaim.
GEN.32.3	Yun te ni tetniuu Jacob sava tee ni ka kakoxnoꞌo nuu de ja kuaꞌankuei de ñuu Seir ja suni nani Edom ja vi kaxtnoꞌo de nuu Esaú ja kuanoꞌo de. 
GEN.32.4	Te jiñaꞌa de:
GEN.32.4	―Kuaꞌankuei ni te suaꞌa vi kuñaꞌa ni nuu jitoꞌo san Esaú: “Kachi ñani ni Jacob, tee jinokuechi nuu ni, ja veꞌe xtoo ni Labán ni oo de, te vi yun ni ndee de ja mandii de vitna. 
GEN.32.5	Te nevaꞌa de isndiki vi mentu vi ndikachi vi teyii vi ñasiꞌi ja ka jinokuechi nuu de, te ni tetniuu ña de vajikuei san ja mavikikaxtnoꞌo san nuu ni, vi jitoꞌo san, nagua ja kaꞌan mani ni de”, vi kuñaꞌa ni ―jiñaꞌa de.
GEN.32.6	Te nuu ni ka ndajiokuiin de, te ka jiñaꞌa de nuu Jacob:
GEN.32.6	―Ni ndajakuei san ja ni ka jinkaxtnoꞌo san nuu ñani ni Esaú, te suni vaji maa de jin kuun ciento ñayiu vitna ja manditnaꞌa ña de jin ni ―ka jiñaꞌa de.
GEN.32.7	Yun te ni yuꞌu ndevaꞌa Jacob vi ni ndakani ini de, guaa ni jaꞌnde de uu yukun ñayiu ka oo jin de yun, vi suni ni jaꞌnde de ndikachi vi isndiki vi kameyu, te ni saꞌa de uu yukun ti. 
GEN.32.8	Chi ni ndakani ini de ja nuu ja tnoꞌo kiti ini vaji jin Esaú, chi kiꞌin de siki sava ñayiu, te sava kai, chi vi kaku. 
GEN.32.9	Yun te ni jinkondee de ndakuatu de nuu ia Dios:
GEN.32.9	―Tata Dios ja kuu ni ia Dios ndi tata jaꞌnu san Abraham vi kuu ni Dios tata yua san Isaac ja ni kachi ni ja ndajiokuiin san ñuu san nuu ka oo tnaꞌa kuikin san, te saꞌa ña ni javii javaꞌa. 
GEN.32.10	Vi tu kaa tu oo san ja ndiꞌi ja chindee chituu ña ni jin san. Su luu ndevaꞌa ini maa ni, guaa ni saꞌa ndaa ni jin tee jinokuechi nuu ni, chi tu saꞌun nagua nee san na ni yaꞌa san yute Jordán yaꞌa, chi kaa invaa yutnu tuu san nuu ñuꞌu. Te vitna ja ni ndajiokuiin san vi suaꞌa jaꞌnde san uu yukun ñayiu vi kiti san ja ni kachi ndaꞌu ña maa ni. 
GEN.32.11	Te jikantaꞌu san vitna ja skaku niꞌnu ña ni nuu ndaꞌa ñani san Esaú, chi yuꞌu san ja kii de, te kaꞌni ña de jin maa san vi nana suchi kueli yaꞌa vi mai. 
GEN.32.12	Chi maa ni, vi Dios, ni kachi ni ja chindee chituu ña ni, te saꞌa ña ni in javaꞌa, te vi kaya kuaꞌa ndikin tata san na kuinio ñuti nduei yuꞌu ndute mar ja tu na in kundee kaꞌu ja kuaꞌi kuu, ni kachi ni ―jiñaꞌa de nuu ia Dios.
GEN.32.13	Te vi yun ni ndoo de jakuaa yun. Te ni kiꞌin de vi nani guaa kuu ja ni junkuꞌun ndaꞌa de ja skutaꞌu de ñani de Esaú. 
GEN.32.14	Ni kiꞌin de uu ciento ndixiꞌu siꞌi naꞌnu vi oko chivatu vi uu ciento ndikachi siꞌi vi oko karneru, 
GEN.32.15	vi oko uxi kameyu siꞌi ninoꞌo kiti ka ndeka yikin vi uu xiko isndiki siꞌi vi uxi mansu vi oko mentu siꞌi jin uxi mentu. 
GEN.32.16	Te ni saꞌa siin siin de ti, te ni jiñaꞌa de ti nuu in in tee ka jinokuechi nuu de, te jiñaꞌa de:
GEN.32.16	―Vi kakoxnoꞌo ni kiꞌinkuei ni jin kiti yaꞌa, te yijika yijika kiꞌinkuei ni jin in in yukun ti.
GEN.32.17	Te jiñaꞌa de nuu tee yoxnoꞌo kuiti:
GEN.32.17	―Nuu ja ni ka jinkuntnaꞌa ni jin ñani san Esaú, te jikan tnoꞌo ña de: “¿Na xiin nuu jinokuechi ni? ¿Te ndenu kiꞌin ni? ¿Te na xiin kiti ka kuu kiti taa ni jian?”, kachi de. 
GEN.32.18	Yun te kuñaꞌa ni: “Kiti ni tetniuu Jacob, tee jinokuechi nuu ni, ja skutaꞌu ña de jin maa jitoꞌo san Esaú ka kuu ti. Te vi suni intandikin kuee ka maa de yata san vaji de”, kuñaꞌa ni suaꞌa ―jiñaꞌa de.
GEN.32.19	Te vi suni saa ni jiñaꞌa de nuu tee kuu uu ja kuaꞌan jin inka yukun ti yun vi suni saa ni tee kuu uni vi sava ka tee ja ka intandikin ka jin sava yukun ti yun, te jiñaꞌa de:
GEN.32.19	―Suaꞌa vi kuñaꞌa ni nuu Esaú nuu vi jinkuntnaꞌa ni jin de. 
GEN.32.20	Te suni vi kuñaꞌa ni: “Yaꞌa vaji maa Jacob, tee jinokuechi nuu ni, intandikin de yata nuu vajikuei san yaꞌa”, vi kuñaꞌa ni ―jiñaꞌa Jacob, chi ni ndakani ini de: “Suaꞌa na saꞌo nagua ja na yaꞌa ini de jin tnoꞌo kiti ini nuu na kuni de kiti ja skutaꞌuo de, yun saa kenta mao ja vi ndakuni tnaꞌo a saa vatu ni saa, te kaꞌan mani ña de”, ni ndakani ini de.
GEN.32.21	Guaa saa ni saꞌa de. Ni skakoxnoꞌo de tee ka yituu kiti ja skutaꞌu de ñani de. Te ni kixin ka maa de in jakuaa ka nuu ni ka oo de yun.
GEN.32.22	Yun te ni ndakoo Jacob nuu jakuaa saa, te ni jaka de nduu ñasiꞌi de vi nduu ñaꞌa ka jinokuechi nuu de jin ndi uxi in seꞌe de, te ni siaꞌa ña de yute nani Jaboc. 
GEN.32.23	Te ni siaꞌa de ndiꞌi ñayiu veꞌe de vi ndiꞌi ja nevaꞌa de yute yun. 
GEN.32.24	Saa te saa maintnoꞌo ni ka Jacob ni ndoo, te yun ni ka kagua tnaꞌa de jin in tee vi ndee nuu matuu saꞌun. 
GEN.32.25	Te nuu ni jini tee yun ja ña kundee de ja yaa de, te ni keꞌe de nuu ñutnaꞌa yiki kaꞌa Jacob, te nuu ka kagua tnaꞌa ka de, te ni yaꞌa ndoso yiki kaꞌa de yun. 
GEN.32.26	Te jiñaꞌa ya:
GEN.32.26	―Siaa ña, chi matuu saꞌun ―jiñaꞌa ya.
GEN.32.26	―Ma siaa ña san nuu ja ma saꞌa vii saꞌa vaꞌa ña ni ―jiñaꞌa Jacob.
GEN.32.27	Te ni jikan tnoꞌo ña ya:
GEN.32.27	―¿Nagua nani ron? ―jiñaꞌa ya.
GEN.32.27	Te ni kaꞌan de:
GEN.32.27	―Maa san nani Jacob ―jiñaꞌa de.
GEN.32.28	Yun te jiñaꞌa ia yun:
GEN.32.28	―Ma konani ka ron Jacob, chi Israel
GEN.32.29	Yun te ni jikan tnoꞌo ña Jacob, te jiñaꞌa de:
GEN.32.29	―Vitna te kaxtnoꞌo maa ni nagua nani ni ―jiñaꞌa de.
GEN.32.29	―¿Nau ja kuini ron ja kuni ron sivi rin? ―jiñaꞌa ya.
GEN.32.29	Te ni kaꞌan vii ni kaꞌan vaꞌa ña ya jin Jacob yun. 
GEN.32.30	Te ni xnani Jacob nuu ni ka kagua tnaꞌa de yun Peniel,
GEN.32.30	―Vitna te ni jinio ia Dios vi nuu jin nuu ya, te vi ni saa te ni kaku anuo, tu ni jiꞌo ―ni kachi de.
GEN.32.31	Yun te kuaꞌan Jacob guaa vi ja ni yaꞌa de Peniel, te ni jinonta nikandii, te ja siun ndoꞌo kaꞌa de guaa jika uꞌu jika uꞌu de kuaꞌan de. 
GEN.32.32	Te yun guaa vi ndee kiuu vitna tu ka jaa ñayiu Israel kuñu kokin ndiꞌi yiki kaꞌa kiti, chi ja nuu kuñu kokin nuu nukuntnaꞌa yiki kaꞌa Jacob kuu nuu ni tuji.
GEN.33.1	Te nuu ni ndanenuu Jacob, te ni jini ña de jin ñani de Esaú ja manutnaꞌa ña tee yun jin kuun ciento teyii ndeka de. Yun te ni jaꞌnde ña Jacob jin seꞌe kueli de, savai ni chiꞌi de ndaꞌa Lea, te savai ndaꞌa Raquel, te savai ndaꞌa nduu ñaꞌa ka jinokuechi nuu de. 
GEN.33.2	Te ni skakoxnoꞌo de ñaꞌa ka jinokuechi nuu de jin seꞌe de jin ña. Yun te ni tnaa maꞌñu de Lea jin seꞌe de jin ña, te sandiꞌi kuaꞌan Raquel jin seꞌe de jin ña ja kui José. 
GEN.33.3	Te ni kakoxnoꞌo maa de nuu ña, te ni chindei de xini de vi ndee nuu ñuꞌu uja jichi guaa ndee ni juntnaꞌa de ñani de.
GEN.33.4	Su yun te ni jino Esaú ni nukanu niꞌnu de ñani de, te ni kanu niꞌnu de sukun ñani de, te ni chitu de nuu ñani de, te ni ka ndaꞌi nduu de. 
GEN.33.5	Yun te ni ndakondiaꞌa de nuu ka oo ñasiꞌi yun vi suchi kueli yun, te ni jikan tnoꞌo ña de:
GEN.33.5	―Ñani, ¿na ñayiu ka kuu ñayiu yaꞌa?
GEN.33.5	Yun te jiñaꞌa Jacob:
GEN.33.5	―Tata ñani, seꞌe maa san ka kui ja ni jini mani ña ia Dios jin tee jinokuechi nuu ni ―jiñaꞌa de.
GEN.33.6	Yun te ni ka juntnaꞌa ña ñaꞌa ka jinokuechi yun jin seꞌe ña, te ni ka chindei ña xini ña. 
GEN.33.7	Yun te ni ka jintnaꞌa ña Lea jin seꞌe ña, te ni ka chindei ña xini ña. Yun saa ni jinokuei José jin nanai Raquel, te suni ni ka chindei xini.
GEN.33.8	Yun te jiñaꞌa Esaú:
GEN.33.8	―¿Naxa ndakani ini ni jin ndiꞌi kiti ja junkuntnaꞌa jin san ichi vaji san yaꞌa?
GEN.33.8	Te jiñaꞌa Jacob:
GEN.33.8	―Kiti ni taa san nuu maa ni ka kuu ti, nagua ja kaꞌan ndaꞌu kaꞌan kee ña ni jin san, vi tata ñani.
GEN.33.9	Te jiñaꞌa Esaú:
GEN.33.9	―Ñaꞌa, ma ndakani ini ni, ñani, chi nevaꞌa kuaꞌa san kiti maa san. Konevaꞌa maa ni ti, chi kiti maa ni ka kuu ti ―jiñaꞌa de.
GEN.33.10	Yun te jiñaꞌa Jacob:
GEN.33.10	―Ñaꞌa, kuantaꞌu tna ni ti joo, nuu ja ni kaꞌan ndaꞌu ni kaꞌan kee ña ni jin san, vi tata ñani, chi ni jini san yunuu ni na kuinio yunuu ia Dios, chi ni jantaꞌu vii ni jantaꞌu vaꞌa ña ni. 
GEN.33.11	Te tanundaꞌa ni kuantaꞌu ni joo ja nee ndiso san vaji san, chi ia Dios ni jini kuii ni jini mani ña jin san, te ndiꞌi ja oo yaꞌa nevaꞌa maa san ―jiñaꞌa de.
GEN.33.11	Ni tenini ndevaꞌa ña de vi guaa ndee ni kundee de ja ni jantaꞌu Esaú ja ni skutaꞌu ña de.
GEN.33.12	Te jiñaꞌa Esaú nuu Jacob:
GEN.33.12	―Nuu saa te kiꞌon kokoxnoꞌo san, te kuinta ndikin ni na kiꞌon ―jiñaꞌa de.
GEN.33.13	Su jiñaꞌa Jacob:
GEN.33.13	―Ja jini maa ni, vi jitoꞌo san, ja chiaꞌan ka vi kuu jaa suchi kueli yaꞌa vi ka oo lelu kueli vi chikeru kueli ja inu ii ti, te nuu na tenini ndevaꞌa san ti ja vi kaka ti, te invaa kiuu ni, te vi kuu ndiꞌi ti. 
GEN.33.14	Kojiuꞌun ni joo, vi jitoꞌo san, te saa jaa kuee san ja jinokuechi san nuu ni na kuu na kuu ka jika joo kiti kuechi san, vi na kuu ka kundee joo suchi kueli san ka jikai, guaa ndee na ndenta san joo ñuu Seir nuu oo maa jitoꞌo san ―jiñaꞌa de.
GEN.33.15	Yun te jiñaꞌa Esaú:
GEN.33.15	―Nuu saa te xndoo san sava tee vajikuei jin san ja vi chituu ña de jin ni nuu saa ―jiñaꞌa de.
GEN.33.15	Yun te jiñaꞌa Jacob:
GEN.33.15	―Ñaꞌa. Ma kondiꞌni ni joo, vi tata ñani, chi kanuu ka ja ni jantaꞌu vii jantaꞌu vaꞌa ña maa jitoꞌo san ―jiñaꞌa de.
GEN.33.16	Saa ni kuu ja ni ndakiꞌin ichi Esaú kiuu yun kuanoꞌo de ñuu de Seir. 
GEN.33.17	Te kuaꞌan Jacob nuu nani Sucot,
GEN.33.18	Yun te ni ndajino vii ndajino vaꞌa Jacob ñuu Siquem ja tnii Canaán nuu ni kee de Padan-aram kuanoꞌo de, te ni jinkoo de ichi yuꞌu ñuu yun. 
GEN.33.19	Te ni ndakuaan de joo ñuꞌu nuu seyii Hamor, tee ni okuu yua Siquem, ja ni junkuꞌun in ciento xuꞌun kaa ja kuu plata, te yun ni jakin de veꞌe saꞌun de. 
GEN.33.20	Te suni ni saꞌa de in altar, te ni xnani de yun El Elohe Israel.
GEN.34.1	Yun te ni kee Dina sesiꞌi Lea jin Jacob ja kondiaꞌi suchi siꞌi ka oo ñuu yun. 
GEN.34.2	Te ni jini ña Siquem seyii Hamor, tee heveo, tee tatnuni nuu ñayiu ñuu yun, guaa ni jaka ña de ja ni ka jinkonduei de jin, te ni saꞌa neꞌe ña de jin. 
GEN.34.3	Su ni jioꞌo ña de jin Dina, sesiꞌi Lea, te ni kutoo ña de, guaa ni kaꞌan de nui ja kaꞌan ndevaꞌa ña de jin. 
GEN.34.4	Te ni kaꞌan Siquem nuu tata de Hamor, te jiñaꞌa de:
GEN.34.4	―Kakan ni suchi siꞌi yun na kondeka san, vi tata ―jiñaꞌa de.
GEN.34.5	Su nuu ni jini soꞌo Jacob ja ni saꞌa neꞌe ña Siquem jin sesiꞌi de Dina, te tu ni kaꞌan saꞌun ni de guaa ndee na vi ndajiokuiin seyii de ja ka oi yuku ka jitoi kiti.
GEN.34.6	Te ni kee Hamor tata Siquem kuaꞌan de ja kaꞌan de jin Jacob. 
GEN.34.7	Te nuu ni ndajinokuei seꞌe Jacob ja ni ka oi yuku yun, te ni ka jini ja siun ni ndoꞌo kuaꞌi yun, guaa ni ka tnaꞌu ndevaꞌa ini vi ni ka kiti ndevaꞌa ini, chi ni saꞌa neꞌe Siquem ñayiu Israel ja ni ka jinkonduei de jin sesiꞌi Jacob, ja masu ja saꞌa de kuu.
GEN.34.8	Te ni kaꞌan Hamor nuu ndiꞌi de, te jiñaꞌa de:
GEN.34.8	―Ni jioꞌo ña seyii san Siquem jin sesiꞌi ni, te jikantaꞌu san ja kuni mani ña ni sesiꞌi ni na kuaka tnaꞌa jin seyii san. 
GEN.34.9	Te vi kokuu ni tnaꞌa kuikin san, vi taa ni sesiꞌi ni na vi kuaka tnaꞌa jin suchi ñuu san, te suni vi kuaka ni suchi siꞌi ñuu san ja vi kondeka suchi kuechi ni. 
GEN.34.10	Te vi saꞌa ñuu ni yaꞌa na vi koo, chi ñuꞌu yaꞌa oo nuu ndiꞌi maa ni, te vi koo maa ni ndenu ka kuini ni ja vi kokuu ñuꞌu ni, te vi kuaan maa ni nagua ka kuini ni vi suni vi xiko ni ―jiñaꞌa de.
GEN.34.11	Te suni saa ni jiñaꞌa Siquem nuu tata yua Dina vi nuu kuaꞌi:
GEN.34.11	―Nuu ja vi kaꞌan ndaꞌu vi kaꞌan kee ña ni joo jin san, te taa san nani guaa kuu ja vi kakan ni. 
GEN.34.12	Vi kakan ni yaꞌui axi na in ja yaꞌu ka kuini ni ja skutaꞌu ña san, te sein, nani guaa kuu ja vi kakan ni, su vi taa ni joo suchi siꞌi yaꞌa na kondeka san ―jiñaꞌa de.
GEN.34.13	Su yun te ka jiñaꞌa seyii Jacob nuu Siquem vi nuu tata de Hamor jin tnoꞌo ka xndaꞌu ñai ja siun ni saꞌa neꞌe de kuaꞌi Dina. 
GEN.34.14	Te ka jiñaꞌi:
GEN.34.14	―Ma kuu vi saꞌa san siun ja vi kuñaꞌa san kuaꞌa san nuu in tee tu yitnuni nuu yiki kuñu de, chi kanoo ndevaꞌa kaa nuu in in maa san. 
GEN.34.15	A saa vatu ni vi jino ini san nuu ja vi skunkuu maa ni ja vi koo inuu ni nagua ka oo san ja vi chitnuni ni nuu yiki kuñu ndiꞌi teyii ja ka oo jin ni. 
GEN.34.16	Yun te kuu ja vi taa san sesiꞌi san, te suni vi kuantaꞌu san sesiꞌi ni, te vi koo san ñuu ni, te vi kokuo ñayiu invaa ni ñuu. 
GEN.34.17	Su nuu ja ma vi konini ni ja vi chitnuni ni nuu yiki kuñu ni, te vi ndakuaa san kuaꞌa san, te kiꞌinkuei san inka ñuu ―ka jiñaꞌi.
GEN.34.18	Te ni ka jinkuaan ini Hamor jin seꞌe de Siquem tnoꞌo ni ka kaꞌan seyii Jacob. 
GEN.34.19	Te vini tu ni ondetu nuu tee yun, te ni saꞌa ni de nagua ka jikan seyii Jacob, chi ni kutoo ndevaꞌa ña de jin sesiꞌi Jacob, te maa de kuu tee xiin nuu ka nee yiñuꞌu ka ndiꞌi ñayiu veꞌe tata de. 
GEN.34.20	Yun te ni kekuei Hamor jin seꞌe de Siquem yeꞌe ñuu yun, te ni ka kaꞌan de jin tee ñuu de, te ka jiñaꞌa de:
GEN.34.21	―Tee yun, chi tee mani ini ka kuu de jion, te vi koo de ñuo, te vi kuaan maa de nagua ka kuini de vi saa ni vi xiko de nuu ñuo, chi oo jite ndevaꞌa ñuꞌu ñuo ja vi koo de, te vi jinkuakao sesiꞌi de ja vi kondekao, te suni vi kuñaꞌo sesiꞌo ja vi kondeka de. 
GEN.34.22	Su kuini ja vi skunkuo nagua ka jikan de, te vi kendoo vaꞌa ini de ja vi koo de ñuo nagua ja vi kokuo jin de invaa ni ñuu. Te na vi chitnunio nuu yiki kuñu ndiꞌi teyii ka oo jion nagua ka yitnuni maa de. 
GEN.34.23	Te kiti tata de vi nagua ka nevaꞌa de vi ndiꞌi kiti jiso ka nevaꞌa de vi kokuu kitio, su maintnoꞌo ni na vi saꞌo nagua ka jikan de, te vi koo jin de ñuo ―ka jiñaꞌa de.
GEN.34.24	Te ni ka jantnoꞌo de ja ni ka kaꞌan Hamor jin seyii de Siquem, guaa ndiꞌi teyii ja ni kekuei yeꞌe ñuu yun ni ka chitnuni de nuu yiki kuñu de, te ndiꞌi teyii ñuu yun ni ka jinkitnuni.
GEN.34.25	Su nuu uni kiuu ja kaa jatu kaa janiꞌni ka de, te ni jaꞌankuei uu seyii Jacob, Simeón vi Leví, kuaꞌa Dina, ni ka kundaꞌi in in yuchi kani, te ni kiukuei ñuu yun ni ka jaꞌni ndiꞌi teyii, chi tu ka nee saꞌun ini ñayiu ñuu yun. 
GEN.34.26	Te ni ka jaꞌni Hamor vi seyii de Siquem jin yuchi kani ka nei yun, te ni ka ndakuakai Dina veꞌe ndi Siquem yun, te kuanoꞌokuei jin. 
GEN.34.27	Te jaꞌankuei sava ka seyii Jacob nuu ka nduei ndiyi yun, te ni ka jisoi ndiꞌi ja oo ñuu yun ja siun ni ka saꞌa neꞌe kuaꞌi. 
