MAT.1.1	Ингье, Иса 
MRK.6.51	Ам абурун луьткведа акьахайла, гар секин хьана. Тилмизар лап мягьтел хьанвай. 
MRK.6.52	Исади гзаф инсанар вад фалди тухарунин гъавурда абур гилани гьатнавачир. Абурун рикӀер буьркьуь тир.
MRK.6.53	Исани 
MRK.6.54	Абур луьткведай эвичӀайла, анин жемятдиз Иса гьасятда чир хьана. 
MRK.6.55	Иса флан чкада ава лагьана ван хьайи инсанри, вири патарай къвез, месерал алаз азарри кьунвайбур гъиз хьана. 
MRK.6.56	Хуьруьз, шегьердиз, къазмайрал – гьиниз Ам фейитӀани, азарри кьунвайбур гъана майданрал эцигдай. Адаз, Вичин пекерин ценцин цӀирхиник кьванни азарри кьунвайбурув са тӀуб кягъиз тур лугьуз, минетдай. Адак гъил хкӀурбур дири хъжедай.
MRK.7.1	Садра Ярусалимдай атай 
MRK.7.2+MRK.7.3+MRK.7.4+MRK.7.5	Адан бязи 
MRK.7.2+MRK.7.3+MRK.7.4+MRK.7.5	– Ви тилмизри вучиз бубайрин адетрал амал ийизвач? Абуру вучиз чиркин гъилеривди фу незва?
MRK.7.2+MRK.7.3+MRK.7.4+MRK.7.5	(Фарисейри ва вири 
MRK.7.6	Исади абуруз жаваб яз лагьана:
MRK.7.6	– Куьн хьтин кьве чин алайбурукай Яшаян ктабда хъсандиз кхьенва: «И инсанри мецелди Заз гьуьрмет ийизватӀани, рикӀелди абур Завай яргъа я. 
MRK.7.7	Абуру Заз ийизвай 
MRK.7.8	Куьне, Аллагьди авунвай тагькимар туна, инсанри кутунвай адетар кьунва.
MRK.7.9	Ада абуруз мадни лагьана:
MRK.7.9	– Куьн Аллагьдин тагькимар жуван адетралди дегишардай хъсан устӀарар я! 
MRK.7.11	Амма куьне лугьузва: «инсанди вичин бубадизни дидедиз „за квев вахгана кӀанзавай бурж Аллагьдив ахгакьарда“ лагьайтӀа, 
MRK.7.12	а касди вичин дидени буба патал са карни тавуртӀани жеда». 
MRK.7.13	Гьа идалди куьне Аллагьдин гафар куь адетралди эвез ийизва ва ихьтин гзаф маса кӀвалахарни ийизва.
MRK.7.14	Исади халкь мад Вичин патав кӀватӀна, лагьана:
MRK.7.14	– За лугьузвай гафариз хъсандиз яб гана, куьн гъавурда гьат: 
MRK.7.15+MRK.7.16	къецяй инсандин къенез физвай гьич са затӀунивайни ам чиркин ийиз жедач, инсан чиркин ийизвайди адай вичяй акъатзавайди я.
MRK.7.17	Ам халкьдин арадай экъечӀна кӀвализ гьахьайла, Адавай тилмизри а 
MRK.7.18	– Куьнни гьахьтин авамар яни? – жаваб гана Исади. – Къецяй инсандин къенез физвай са затӀунини ам чиркин тийидайдан гъавурда гьатзавачни? 
MRK.7.19	Къецяй къвезвайди инсандин рикӀиз ваъ, руфуниз физва. Гьанайни ам къецел акъатзава. (Гьа икӀ Исади инсанди незвай вири затӀар 
MRK.7.20	Исади давамарна:
MRK.7.20	– Инсан чиркин ийизвайди адай вичяй акъатзавай крар я, 
MRK.7.21	куьз лагьайтӀа инсандин рикӀин къеняй чӀуру ниятар, явавилер, чуьнуьхунар, кьиникьар, 
MRK.7.22	 акъатзава. Мадни ришветар, хъилер, фендигарвал, пехилвал, асивал, кьуру дамах, диливал акъатда. 
MRK.7.23	Вири и пис крари адан вичин къеняй атана инсан вич чиркин ийизва.
MRK.7.24	Гьанай экъечӀна, Иса Туьрс шегьер галай патариз атана. Гьана Ам са кӀвализ фена. Адаз Вич ана масадбуруз чир хьана кӀанзавачир. Амма Адавай а кар чуьнуьхиз хьанач. 
MRK.7.25	 акатнавай руш авай са папаз адакай хабар хьана, ам атана Исадин кӀвачерихъди чилел ярх хьана. 
MRK.7.26	А паб 
MRK.7.27	Амма Исади лагьана:
MRK.7.27	– КӀвенкӀве аялар тухарна кӀанда, абурун сивихъай атӀана, фу кицӀериз вегьин хъсан кар туш.
MRK.7.28	Амма папа жаваб яз лагьана:
MRK.7.28	– ГьакӀ я, Агъа. Амма аялри экӀягъандин кӀаник авадарай гъвелер кицӀерални гьалтзава эхир.
MRK.7.29	– Ихьтин хъсан жавабдин хатурдай вавай хъфейтӀани жеда, – лагьана Исади. – Ахлад! Ви рушакай жин хкатна.
MRK.7.30	КӀвализ хтайла, папаз вичин руш жин хкатна месел къатканваз жагъана.
MRK.7.31	Туьрс шегьердин патарив гвай чкайрилай эгечӀна, Иса сифте Сидун галайвал, ахпа Галилейдин 
MRK.7.32	Адан патав са биши лалакӀ гъана, ада вичел гъилер 
MRK.7.33	Исади ам халкьдин арадай къерехдиз тухвана, адан япара тупӀар туна. Ахпа Исади цуькӀуьн
MRK.7.34	Цавуз вил яна, дериндай ухьт аладарна, адаз лагьана:
MRK.7.34	– Еффата! (яни «Ачух хьухь!»)
MRK.7.35	Адан биши япар гьасятда ачух хьана, мезни ахъа хьана, вични михьидаказ рахана. 
MRK.7.36	Исади и кардикай садазни ахъаймир лагьана эмирна. Амма Ада гьикьван къадагъа авуртӀани, абуру Исадикай амайдалайни гзаф ихтилатар ахъайиз хьана. 
MRK.7.37	Вирибуру рикӀивай мягьтел хьана лугьузвай:
MRK.7.37	– Вири крар иердаказ ийизва: бишибурун япар ачухарзава, лалбурун – мецер.
MRK.8.1	Гьа йикъара Исадин патав гзаф инсанар атана, абуруз недайди тахьуниз килигна, Исади Вичин 
MRK.8.2	– Пуд юкъуз зи патав гвай и инсанрин язух къвезва Заз: абуруз недай затӀни авач. 
MRK.8.3	ТӀуьн тагана чпин кӀвалериз ахъаяйтӀа, абур рекье гьалдай фин мумкин я, са бязибур яргъарай атанва эхир.
MRK.8.4	– Хелвет чкада абуруз гудай кьван фу гьинай атурай? – жаваб гана тилмизри.
MRK.8.5	– Квев шумуд фу гва? – хабар кьуна Исади.
MRK.8.5	– Ирид фу, – жаваб гана абуру.
MRK.8.6	Ада халкьдиз чилел ацукь лагьана. Ирид фуни къачуна, 
MRK.8.7	Абурув са тӀимил кӀезриярни гвай. Хийир-дуьа авуна, Исади гьабурни пайиз туна. 
MRK.8.8	ТӀуьна, халкь тух хьана. Амукьай фан кӀусарай ирид зимбил ацӀана. 
MRK.8.9	Фу тӀуьрбурун кьадар кьуд агъзур итимдив агакьнавай. Абур Ада кӀвалериз ахъайна. 
MRK.8.10	Ахпа Иса Вичин тилмизарни галаз луьткведа акьахна, Далманут галай патахъ фена.
MRK.8.12	Ада дериндай агь чӀугуна, лагьана:
MRK.8.12	– Вучиз и несилди керемат-ишара къалурун тӀалабзава? За квез рикӀивай лугьузва: и несилдиз керемат-ишара аквадач.
MRK.8.13	Фарисеяр гьанал туна, Ам Вичин 
MRK.8.14	Тилмизрин рикӀелай фу къачун алатна, луьткведа чпив гвайдини тек са фу тир.
MRK.8.15	– Килиг гьа, фарисейрин маядикайни 
MRK.8.16	Тилмизриз и гафар чпив фу гвачирвиляй лагьай хьиз хьанай. 
MRK.8.17	Абурун гъавурда авай Исади лагьана:
MRK.8.17	– Фу гвач вуч лагьай чӀал я? Куьне гилани кьатӀузвачни? Куьн гилани гъавурда акьазвачни? Куь рикӀер гилани къванер яз амани? 
MRK.8.18	Вилер аваз квез аквазвачни? Япар аваз квез ван къвезвачни? Куь рикӀел затӀни аламачни? 
MRK.8.19	За вад фу вад агъзур итимдиз пай авурла, куьне амукьай кӀусарай шумуд зимбил ацӀурнай?
MRK.8.19	– ЦӀикьвед зимбил, – жаваб гана абуру.
MRK.8.20	– Ирид фу кьуд агъзур итимдиз пай авурла, куьне амукьай кӀусарай шумуд зимбил ацӀурнай?
MRK.8.20	– Ирид зимбил, – жаваб гана абуру.
MRK.8.21	– Куьн гила кьванни гъавурда акьуначни? – лагьана Ада.
MRK.8.22	Исани 
MRK.8.23	Исади буьркьуьдан гъил кьуна, ам хуьруьн къерехдиз тухвана, адан вилериз цуькӀуьн вегьена, адал гъилер 
MRK.8.23	– Ваз аквазвай затӀ авани?
MRK.8.24	Буьркьуьда кьил хкажна лагьана:
MRK.8.24	– Заз патавай физвай инсанар тарар хьиз аквазва.
MRK.8.25	Ахпа Исади мад адан вилерал гъилер эцигна, буьркьуьди мад атӀумна килигна. Исади ам сагъар хъувуна. Адан вилериз экв хтана. 
MRK.8.26	Исади, ам кӀвализ рахкурдайла, лагьана:
MRK.8.26	– Хуьруьз гьахьмир.
MRK.8.27	Иса Вичин 
MRK.8.27	– Инсанар Зун Вуж я лугьуз рахазва?
MRK.8.28	– Садбуру Ягья 
MRK.8.29	– Бес куьне Зун Вуж я лугьузва? – жузун хъувуна Ада.
MRK.8.29	– Вун 
MRK.8.30	Ада абуруз Вич Вуж ятӀа масадбуруз лугьун къадагъа авуна.
MRK.8.31	Исади Вичин 
MRK.8.31	– Агъсакъалри, чӀехи 
MRK.8.32	И гафар Ада ачухдиз лугьузвай. Амма Петруди, Адаз са къерехдиз эверна, ахьтин чӀуру гафар сивяй акъудмир лагьана. 
MRK.8.33	Элкъвена Вичин тилмизриз килигиз-килигиз, Исади Петрудин гаф атӀана:
MRK.8.33	– Алат Залай, 
MRK.8.34	Ахпа Исади халкьдизни Вичин тилмизриз санал эверна.
MRK.8.34	– Низ Захъ галаз къвез кӀанзаватӀа, къуй ам, чандилайни гъил къачуна, вичин азабрин 
MRK.8.35	Низ вичин чан хуьз кӀанзаватӀа, адавай ам къакъатда, Зун ва Шад 
MRK.8.36	Вичин чан пучна вири дуьнья къачуникай инсандиз вуч хийир ава? 
MRK.8.37	Вичин къакъатай чан элкъвена къахчун патал гудай затӀ инсандиз жагъидани?
MRK.8.38	Къенин несил гьикьван чӀур ва чалкечир хьанва! Адакай низ Зунни Зи Гафар кьабулиз регъуь хьайитӀа, Инсандин Хцизни, Вичин 
MRK.9.1	Исади абуруз мад лагьана:
MRK.9.1	– За квез рикӀивай лугьузва: инал акъвазнавайбурук ахьтинбур ква хьи, абуруз Аллагьди къудрат гваз ийидай Пачагьвал акун тавунмаз, гьич ажални аквадач.
MRK.9.2	Ругуд югъ алатайла, Петрудилай, 
MRK.9.3	Адан пекер, жив хьиз, лацу хьана, рапрап гуз акъвазнавай. Ахьтин лацувал чилин винел садавайни арадал гъиз жедачир. 
MRK.9.4	Садлагьана 
MRK.9.5	Гьа и арада Петруди Исадиз лагьана:
MRK.9.5	– Я Муаллим! Чун ина аваз хъсан хьана. Ша, чна инал пуд кума эцигин: сад – Ваз, сад – Мусадиз, садни – Ильясаз.
MRK.9.6	Петрудизни амай тилмизриз лап гзаф кичӀе хьанвай, адаз лугьудай маса гаф жагъаначир.
MRK.9.7	И чӀавуз абурун кьилел лацу цифеди хъен вегьена. Адан къеняй рахадай ван акъатна:
MRK.9.7	– Ам Зи рикӀ алай Хва я. Гьадан чӀалаз килиг!
MRK.9.8	Садлагьана элкъвена кьуд патахъ килигайла, абуруз Исадилай гъейри мад касни акунач.
MRK.9.9	Дагъдай эхвичӀзавайла, Исади 
MRK.9.10	Абуру Адан Гаф кьилиз акъудна, амма «кьейидалай кьулухъ чан хкведалди» вуч лагьай чӀал я лугьуз, абур веревирдер ийиз амукьна.
MRK.9.11	Абуру Адавай хабар кьуна:
MRK.9.11	– Вучиз 
MRK.9.12	– Гьахъ я, Ильяса Адалай вилик хтана, вири крар гуьнгуьна тун лазим я, – жаваб гана Ада. – АкӀ хьайила, бес вучиз 
MRK.9.13	Амма За квез лугьун хьи, Ильясакай 
MRK.9.14	Амай 
MRK.9.15	Иса акунмазни халкь мягьтел хьана. Инсанри, Адаз салам гун патал, Адан патав зверзавай.
MRK.9.16	Ада абурувай хабар кьуна:
MRK.9.16	– Куьне абурухъ галаз квекай гьуьжетарзава?
MRK.9.17	– Муаллим, – лагьана сада халкьдин арадай. – За Ви патав зи хва гъанва. Лал 
MRK.9.18	Гьинал ам жинжи кьуна чилел гадрайтӀа, гьанал ам чӀур жезва: адан сивяй каф къвезва, сарари жакь-жакьзава, вични къах хьана амукьзава. За Ви тилмизривай адак квай жин хкудун тӀалабнай, амма абурулай а кар алакьначир.
MRK.9.19	– Эй 
MRK.9.20	Гада Исадин патав гъана. Иса акунмазни, жинжи гададик зурзун кутуна. Ам сивел каф акьалтна чилел ярх хьана ва ам къатадиз эгечӀна.
MRK.9.21	– Ам икӀ мусалай ава? – хабар кьуна Исади адан бубадивай.
MRK.9.21	– Аял чӀавалай, – жаваб гана ада. – 
MRK.9.22	Гзаф гъилера зи велед тергиз кӀанз жинжи ам цӀузни вацӀуз вегьенай. Валай алакьдатӀа, чаз са чара ая. Ваз чи язух ша!
MRK.9.23	– «Валай алакьдатӀа» вуч лагьай гаф я! – лагьана Исади. – Иман гвайдалай алакь тийидай кар авач.
MRK.9.24	– Зун имандал ала! – гьарай акъатна гададин бубадай. – Зи иман бегьемди туштӀа, ам бегьем хъийиз куьмек ая!
MRK.9.25	– Лал ва биши жин! – кӀевелай лагьана анал инсанар алтӀуш жез акур Исади. – За ваз адай экъечӀ лугьузва! Мад адак акат хъийимир.
MRK.9.26	Жинжяй гьарай акъатна. Гада кӀевиз зурзурна, жин адай экъечӀна. Аял мейит хьиз ярх хьана. Анал алайбуруни ам кьена лугьузвай. 
MRK.9.27	Исади гъил кьуна гада къарагъарна.
MRK.9.28	КӀвализ гьахьна, Исадихъ галаз кьилди амайла, тилмизри Адавай хабар кьуна:
MRK.9.28	– А кар чалай вучиз алакьначир?
MRK.9.29	– А жин масакӀа ваъ, анжах 
MRK.9.30	Анай экъечӀна, абур 
MRK.9.31	вучиз лагьайтӀа Ада Вичин 
MRK.9.32	И гафарин гъавурда гьатначтӀани, тилмизриз Адавай хабар кьазни кичӀезвай.
MRK.9.33	Абур Кефернагьумдиз атана кӀвале авайла, Исади абурувай хабар кьуна:
MRK.9.33	– Рекье куьне квекай гьуьжетарзавай?
MRK.9.34	Абуру чуькьни авунач, вучиз лагьайтӀа абуру рекье, чпикай вуж сад лагьай чкадал алатӀа лугьуз, гьуьжетарзавай.
MRK.9.35	Иса ацукьайла, Ада цӀикьвед 
MRK.9.35	– Низ сад лагьайди жез кӀанзаватӀа, гьам виридакай эхиримжиди ва амайбурун кьилел-кӀвачел элкъведайди хьухь, – лагьана абуруз Исади.
MRK.9.36	Исади аял къачуна, ам абурун юкьвал акъвазарна, адан гардан кьуна, лагьана:
MRK.9.37	– Ни Зи хатурдай ихьтин аялрикай сад жуванди яз кьабулайтӀа, гьада Зун кьабулзава. Зун кьабулзавайда са Зун ваъ, Зун Ракъурайдини кьабулзава.
MRK.9.38	Инал 
MRK.9.38	– Я Муаллим! Чаз Ви 
MRK.9.39	– Адаз къадагъа ийимир, – лагьана Исади. – Зи ТӀварцӀелай аламатар авурдавай гуьгъуьниз закай пис рахаз жедач. 
MRK.9.40	ГьакӀ хьайила вуж чаз акси туштӀа, гьам чи патал ала.
MRK.9.41	Куьн 
MRK.9.42	Зи 
MRK.9.43+MRK.9.44	Ви са гъили вун 
MRK.9.45+MRK.9.46	Ви са кӀвачи вун гунагь ийидай йикъаз гъизватӀа, вуна ам атӀутӀ: кьве кӀвач кваз жегьеннемдин цӀуз аватдалди са кӀвач кваз даим ацӀай уьмуьрдиз гьахьун хъсан я.
MRK.9.47	Ви са вили вун гунагь ийидай йикъаз гъизватӀа, вуна ам акъудна гадара: кьве вил аваз цӀун гургур авай жегьеннемдиз аватдалди ваз са вил аваз Аллагьдин 
MRK.9.48	Жегьеннемда, лагьайтӀа, сурун квакни рекьидач, цӀайни хкахьдач.
MRK.9.49	Къурбанд патал тукӀунвай гьайвандин як кьелелди михьдайвал, гьар са инсанни цӀалди михьда.
MRK.9.50	Кьел хъсан затӀ я. Кьел шит хьайитӀа, адан тӀеам куьв эвез хъийида? Кьел жувак кваз хьана кӀанда. Куьне квехъ галаз ислягьвилелди уьмуьр твах.
MRK.10.1	Гьанай экъечӀна, Исани 
MRK.10.2	Иса синагъ ийиз кӀанз, 
MRK.10.2	– Гъуьлуь паб рахкурун дуьз кар яни?
MRK.10.3	– 
MRK.10.4	– Мусади «тӀалакьар ганвай чар кхьена чара хьухь»
MRK.10.5	– Ада а тагьким куь чӀуру рикӀер акурла кхьейди я, – жаваб яз лагьана Исади. – 
MRK.10.6	Дуьнья халкь ийидайла, Аллагьди итимни паб арадал гъана. 
MRK.10.7+MRK.10.8	Гьавиляй, вичин бубани диде туна, итимдикайни папакай кьведакай сад жеда. Абур кьве чан ваъ, са чан жеда. 
MRK.10.9	Гьа икӀ, Аллагьди сад авурбур инсанди чара авун лазим туш.
MRK.10.10	КӀвале Адан тилмизри Адавай мадни а кардикай хабар кьуна.
MRK.10.11	– Ни вичин папахъ галаз чара хьана, масад гъайитӀа, гьада 
MRK.10.12	Паб вичин гъуьлуькай чара хьана, масадаз фейитӀа, гьадани зинавал ийизва.
MRK.10.13	Исади кап алтадун патал, Адан патав аялар гъиз хьана, амма 
MRK.10.14	И кар акур Исади, хъел атана, лагьана:
MRK.10.14	– Аялар Зи патав атурай, куьне абуруз манийвал гумир, вучиз лагьайтӀа Аллагьдин 
MRK.10.15	За квез рикӀивай лугьузва: Аллагьдин Пачагьлугъ ни аялди хьиз кьабул тавуртӀа, ам аниз акъатдач.
MRK.10.16	Аялар къужахда кьуна, абурал кап алтадна, Ада абуруз 
MRK.10.17	Иса рекьиз экъечӀдайла, сада, чукурна атана, Адан вилик метӀерал акъвазна, Адавай хабар кьуна:
MRK.10.17	– Хъсан Муаллим! Эбеди 
MRK.10.18	– Вуна Заз хъсанди вучиз лугьузва? – жаваб гана Исади. – Аллагьдилай гъейри садни хъсанди туш.
MRK.10.19	Ваз Аллагьдин тагькимар чида: «Ягъна рекьимир, 
MRK.10.20	– Я Муаллим, за вири а тагькимрал жуван жегьил чӀавалай амал ийизва, – лагьана ада.
MRK.10.21	Жегьилдиз килигай Исадин ам рикӀи чӀугуна.
MRK.10.21	– Ваз кимизвайди са кар я – лагьана Исади, – алад, фена вахъ вуч аватӀа, гьам маса гана, кесибриз пай ая, гьа чӀавуз вахъ цавара хазинаяр жеда. ГьакӀ авурла, Захъ галаз ша.
MRK.10.22	И гафар ван хьайила, вич вичивай квахьна, жегьил пашмандаказ хъфена, вучиз лагьайтӀа адахъ зурба девлет авай.
MRK.10.23	Элкъвена килигна, Исади Вичин 
MRK.10.23	– Девлет авайбуруз Аллагьдин 
MRK.10.24	И гафари Адан тилмизар мягьтеларна. Амма Исади мад лагьана:
MRK.10.24	– Веледар! Аллагьдин Пачагьлугъдиз гьахьун акьван четин я хьи! 
MRK.10.25	Девлет авайдаз Аллагьдин Пачагьлугъдиз гьахьунилай деведиз рапунин хъуькъуьмдай экъечӀун регьят я.
MRK.10.26	Абур мад мягьтел хьана.
MRK.10.26	– АкӀ хьайила, бес нивай вич хиласиз жеда? – хабар кьуна абуру сад-садавай.
MRK.10.27	Абуруз килигна, Исади лагьана:
MRK.10.27	– И кар инсанрилай ваъ, анжах са Аллагьдилай алакьда, Аллагьдилай алакь тийидай затӀни авайди туш.
MRK.10.28	Гьа чӀавуз Петруди Адаз лагьана:
MRK.10.28	– Ингье, вири туна, чун Ви гуьгъуьна аваз атанва.
MRK.10.29	– За квез рикӀивай лугьузва – лагьана Исади. – Зи ва Шад 
MRK.10.30	и девирда, виш гъилерилайни артух кӀвалерни, стхаярни, вахарни, дидеярни, аяларни, мулкарни, чеб хурук кутурбурукай, гьалт тийидай садни амукьдач. Къведай девирдани абуруз эбеди уьмуьр жеда.
MRK.10.31	Исятда вилик квай гзафбур кьулухъ жеда, кьулухъ галайбур – вилик.
MRK.10.32	Исани 
MRK.10.33	– Ингье чун Ярусалимдиз физва, Инсандин 
MRK.10.34	Ам, ягьанатар авуна, гатана, тфуяр гана, рекьида. Пуд лагьай юкъуз Адал чан 
MRK.10.35	Гьанал Исадин патав Зебедеян рухваяр 
MRK.10.35	– Муаллим, – лагьана абуру. – Вуна чи тӀалабун кьилиз акъудна кӀанзава чаз.
MRK.10.36	– Квез За вуч авуна кӀанзава? – хабар кьуна Ада.
MRK.10.37	– Вал 
MRK.10.38	Амма Исади абуруз лагьана:
MRK.10.38	– Куьне тӀалабзавайдакай квез хабар авач. За хъвазвай гъам-пияла квевай хъваз жедани? За эхай кьван азабар квевай эхиз жедани?
MRK.10.39	– Жеда, – жаваб гана абуру.
MRK.10.39	– За хъвазвай гъам-пияла куьнени хъвада, За эхай кьван азабар куьнени эхда, 
MRK.10.40	амма Зи эрчӀи ва чапла патаривай ацукьун – им Завай ихтияр гуз жедай кӀвалах туш, – лагьана Исади. – А чкаяр – низ гьазурнаватӀа, гьабурунбур я.
MRK.10.41	И гафарин ван хьайила, амай цӀуд 
MRK.10.42	Исади, абур кӀватӀна, лагьана:
MRK.10.42	– Вири халкьарихъ абурал гуж гъалибна агъавал ийизвай вилик-кьилик квай инсанар авайди, вири халкьарал гьахьтин чӀехи ксари гьакимвал тухузвайди квез чида. 
MRK.10.43	Амма куь арада акӀ туш: куь арадай низ вилик-кьилик жез кӀанзаватӀа, къуй ам куь кьилел-кӀвачел элкъуьрай. 
MRK.10.44	Куь арада низ сад лагьай чкадал жез кӀанзаватӀа, гьам виридаз лукӀ хьун лазим я. 
MRK.10.45	Инсандин 
MRK.10.46	Ахпа абур Еригьандиз атана. Еригьандай Ам Вичин 
MRK.10.47	Назаретви Иса патавай фейиди чир хьайила, къекъверагди гьарайиз эгечӀна:
MRK.10.47	– Я Иса! Заз регьим ая! Я 
MRK.10.48	Гзафбуру адаз лал хьухь лагьана, амма ада амайдалайни кӀевиз гьарайна:
MRK.10.48	– Давуд пачагьдин Хва, заз регьим ая! 
MRK.10.49	Исади, акъваз хьана, адаз Вичин патав эвериз туна.
MRK.10.49	– Къарагъ, викӀегь акъваз, – лагьана адаз анал алайбуру. – Ада ваз эверзава. 
MRK.10.50	Вичин аба хтӀунна гадарна, къудгъунна къарагъна, ам Исадин патав атана.
MRK.10.51	– Ваз Завай вуч кӀанзава? – хабар кьуна Исади.
MRK.10.51	– Заз вилериз экв ахкуна кӀанзава, зи Муаллим, – лагьана буьркьуьда.
MRK.10.52	– Алад, ви 
MRK.10.52	Адан вилериз гьасятда экв хтана, гьамни Исадин гуьгъуьна аваз гьа са рекьяй фена.
MRK.11.1	Исани 
MRK.11.2	абуруз лагьана:
MRK.11.2	– Куь вилик квай хуьруьз алад. Финни кумаз квез гьаятда кутӀуннавай хам лам аквада, адал садрани инсан акьахайди туш. А лам ахъайна иниз гъваш. 
MRK.11.3	Квез «Куьне вуч ийизва?» лугьудай кас хьайитӀа, куьне адаз икӀ лагь: «Ам Агъадиз герек я, Ада ам вав ахгакьарда».
MRK.11.4	Абур фена. Агакьайла, къецихъай варарал кутӀуннавай жегьил лам акуна. Абуру ам ахъайна.
MRK.11.5	Анал акъвазнавай са бязибуру лагьана:
MRK.11.5	– Куьне вуч ийизва? Лам вучиз ахъайзава?
MRK.11.6	Абуру Исади лагьайвал жаваб гана. АтӀабуруни абуруз лам тухудай ихтияр гана.
MRK.11.7	Абуру ламрал чпин пекер-парталар вегьена, ам Исадин патав гъана, ва Ам гьадал ацукьна. 
MRK.11.8	Гзафбуру чпин пекер хтӀуниз, муькуьбуру тарарин хилер атӀуз, Исадин вилик рекьел экӀягъиз хьана. 
MRK.11.9	Вилик квайбуруни кьулухъ галайбуру гьарай къачуна лугьузвай:
MRK.11.9	– Гьасанна!
MRK.11.10	Чи бубайрин буба 
MRK.11.11	Иса Ярусалимдиз гьахьна. Ам Аллагьдин 
MRK.11.12	Бетандай экъечӀай пакагьан юкъуз Адаз гишин хьана. 
MRK.11.13	Яргъалай Исадиз пешери кьунвай инжилдин тар акуна. Адалай затӀ жагъидатӀа лугьуз фена. Атана килигайла, пешерилай гъейри Адаз затӀни гьатнач, вучиз лагьайтӀа инжилар кӀватӀдай вахт хьанвачир.
MRK.11.14	Исади тарциз лагьана:
MRK.11.14	– Ви майваяр садрани мад садани туьхтӀуьрай!
MRK.11.14	И гафарин ван Адан 
MRK.11.15	Исани 
MRK.11.16	Аллагьдин КӀвалин гьаятдай тӀуз шейэр тухудай ихтияр Ада садазни гузвачир. 
MRK.11.17	Ада абуруз несигьат кваз лагьана:
MRK.11.17	– «Зи кӀвализ вири халкьар патал 
MRK.11.18	И гафарин ван 
MRK.11.19	Няни хьайила, Ам тилмизрихъ галаз шегьердай экъечӀна хъфена.
MRK.11.20	Экуьнахъ инжил таран патавай фидайла, абуруз ам михьиз кьуранваз жагъана. 
MRK.11.21	Исадин лянет рикӀел хтана, Петруди Исадиз лагьана:
MRK.11.21	– Муаллим! Килиг, Вуна агь авур инжилдин тар кьурана.
MRK.11.22	– Аллагьдихъ 
MRK.11.23	За квез рикӀивай лугьузва: ни и пелез, рикӀе шак тун тавуна, агъунваз «Къарагъ, жува жув вириз вегь» лагьайтӀа, ада лагьай гафар кьилиз акъатда.
MRK.11.24	ГьакӀ хьайила За квез лугьузва: 
MRK.11.25+MRK.11.26	Квез са никай ятӀани хъел аваз хьайитӀа, дуьаяр ийизвай чӀавуз а касдилай гъил къахчу, цавараллай куь 
MRK.11.27	Исани 
MRK.11.28	– Вуна а крар гьикӀ лагьана ийизва? – жузуна абуру Адавай. – Абур ийидай ихтияр Ваз ни гана?
MRK.11.29	– За квевайни са кардикай хабар кьада, куьнени Заз жаваб це; ахпа Зани квез Заз ни ихтияр ганватӀа, лугьуда, – жаваб гана Исади. – 
MRK.11.30	 инсанрив чпиз кӀан хьана цик акахьун 
MRK.11.31	Абуру веревирдер авуна:
MRK.11.31	– Чна «Аллагьдин къастуналди» лагьайтӀа, Ада хабар кьада: «Бес куьн Ягьядихъ вучиз агъунач?»
MRK.11.32	«Инсанриз кӀан хьана» лугьуз жезвачир – халкьдихъай кичӀе тир, вучиз лагьайтӀа вири халкьди Ягья гьакъикъи 
MRK.11.33	Гьавиляй абуру Исадиз жаваб гана:
MRK.11.33	– Чаз чидач.
MRK.11.33	– Зани квез а крар, За ни ихтияр гана ийизватӀа, лугьудач, – лагьана Исади.
MRK.12.1	Исади Вичин патав атанвай чӀехи 
MRK.12.1	– Са инсанди ципицӀбагъ кутуна, адалай пару чӀугуна. Фур эгъуьнна, шуткьурган туькӀуьрна, ципицӀбагъдал вил алаз хьун патал минарани эцигна. Ибур вири вичиз кӀвалахиз кьунвай ципицӀбанрив вугана, вич сиягьатдиз фена. 
MRK.12.2	Вахт атайла, вичиз къвезвай пай къахчун патал, ада вичин нуькеррикай сад ципицӀбанрин патав ракъурна. 
MRK.12.3	ЦипицӀбанрини ам кьуна, хъсандиз гатана, затӀни гвачиз рахкурна.
MRK.12.4	Ада аниз муькуь нуькер рекье туна, гьадан кьилни хана, беябур авуна чукурна.
MRK.12.5	Мад сад рахкурна, гьамни абуру яна кьена. ГьакӀ гьар гъилера атай-атайди я гатадай, я рекьидай.
MRK.12.6	Эхирни ада «Зи хцикай абуруз регъуь жеда» лагьана, вичин рикӀ алай авай-авачир са хва гьаниз ракъурна.
MRK.12.7	Амма ципицӀбанри чпи чпиз лагьана: «Им варис я. Ша чна ам рекьин, адан ирсни чаз жеда». 
MRK.12.8	Абуру ам яна кьена, ципицӀбагъдай акъудна гадарна. 
MRK.12.9	Гила ципицӀбагъдин иесиди вуч ийида? Ада атана ципицӀбанар рекьида, ципицӀбагъни масабурун гъиле вугуда.
MRK.12.10	Куьне 
MRK.12.11	Бес им аламат тушни кьван чаз аквазвайди»
MRK.12.12	Кьиса чпикай тирдан гъавурда акьур абуруз Иса кьаз кӀанзавай, амма халкьдихъай кичӀе хьана. Иса гьанал туна, чеб хъфена.
MRK.12.13	Иса гафунал кьадай къаст аваз, абуру Адан патав 
MRK.12.14	Абуру атана Адаз лагьана:
