MAT.1.1	Leꞌa bexa ndee bexa ngok usan gox polta ten Jesucristo, dub xa ras David no xa ras Abraham.
MAT.15.21	Cha utoꞌo Jesús nchaꞌa xa dub sa gax gezh Tiro no gezh Sidón. 
MAT.15.22	Weꞌe leꞌa dub xagots ncho sa wa dub xa Canaán ulen wats Jesús, ugeꞌ ndab xa:
MAT.15.22	—¡Señor, xin David! ¡Blats ladna go naꞌ! Leꞌa xiꞌín gots naꞌ ncho mbi bxin len ladoꞌo na uzhebpa kweaꞌ nsak xa.
MAT.15.23	Ná leꞌa Jesús ni lá ikaꞌab ndoꞌ xa. Leꞌa be xmen Jesús cha ulen wats xa, cha ndab bexa:
MAT.15.23	—Gud go ndoꞌ xa baꞌ yaꞌ xa, leꞌa xa uzhebpa ndun ruid nsenkea xa tsoꞌo beuna.
MAT.15.24	Leꞌa Jesús cha ndab:
MAT.15.24	—Leꞌa Dios mtuꞌub naꞌ gakno naꞌ bexa Israeltsa, bexa nak cuent be borreg ulaꞌ.
MAT.15.25	Parea leꞌa xagots wa ubii, cha usaxib xa ndoꞌ Jesús, ndab xa:
MAT.15.25	—¡Señor, gokno ga naꞌ!
MAT.15.26	Leꞌa Jesús cha ndab:
MAT.15.26	—Naꞌanpa utsin nak ulat besa pan ndoꞌ be meꞌed, cha usaꞌab besa‑yá ndoꞌ be mbek.
MAT.15.27	Leꞌa xagots wa cha ndab:
MAT.15.27	—Ta ugeaka ta wa, Señor, parea leꞌa be mbek ndaw be taꞌa nlate xan mes ten xwan ma.
MAT.15.28	Leꞌa Jesús cha ndab:
MAT.15.28	—Xagots, uzheꞌeb ngeꞌ ladna lu naꞌ. Nat gak ta nlad lu.
MAT.15.28	Bi leꞌa gor wa leꞌa xingots xa wa cha myakna.
MAT.15.29	Leꞌa Jesús cha utoꞌo sa wa nchaꞌagal xa toꞌo lagun Galilea. Cha ukea xa dub bet, cha usob xa. 
MAT.15.30	Weꞌe leꞌa kwaꞌadpa men ulen wats xa, nseano bexa bexa lá yoo gan isea, no bexa lá naꞌ, no bexa lá yoo gan gudiꞌizh, no bexa moch, nsea kwaꞌadta bexa gizh. Cha mte bexa bexa gizh wa ndoꞌ Jesús, cha myunyakna Jesús bexa. 
MAT.15.31	Leꞌa be men wa ngwanseanabe gor uniꞌí bexa leꞌa bexa lá yoo gan gudiꞌizh wa ndadiꞌizhla, no bexa moch wa myaklana, no bexa lá yoo gan isea wa utsinla nsea, no bexa lá naꞌ wa nwiꞌila. No ndab be men leꞌa Dios ten bexa Israel uzheꞌeb dub Dios juert.
MAT.15.32	Cha utezh Jesús be xmen na, cha ndab xa:
MAT.15.32	—Leꞌa naꞌ nlats ladna be men kwaꞌad ndee, leꞌa bexa wizh nyonla nde wats naꞌ, parea lá ndapta bexa ta gaw na. Leꞌa naꞌ lá nlad utuꞌub naꞌ bexa lbaꞌatsa lá gaw bexa, nchaꞌa bexa lá uxik ilanseaꞌ ta lid na.
MAT.15.33	Leꞌa be xmen Jesús cha ndab ndoꞌ xa:
MAT.15.33	—¿Pa izheal beuna pan gaw dub lbaꞌata men kwaꞌad baꞌ? Leꞌa sa ndee sit nde be gezh.
MAT.15.34	Leꞌa Jesús cha unabdiꞌizh ndab:
MAT.15.34	—¿Plo pan ndap bega zha?
MAT.15.34	Leꞌa bexa cha ndab:
MAT.15.34	—Sgaꞌad pan nsea stapla mbeal byux.
MAT.15.35	Cha ndab Jesús ndoꞌ be men kwaꞌad wa kwe bexa ndoꞌ yo. 
MAT.15.36	Cha usen xa isagaꞌad pan nsea be mbeal wa, cha msaꞌa xa xno ndoꞌ Dios, no uleꞌa xa be ta wa sian bleꞌa. Weꞌe msaꞌa xa‑yá ndoꞌ be xmen xa, utseꞌa bexa‑yá ndoꞌ be men wa. 
MAT.15.37	Leꞌa be men wa itea udaw gast plo mzhea bexa. Cha mteleꞌe be xmen Jesús sgaꞌad zhum byux be ta myaꞌan sobr. 
MAT.15.38	Leꞌa lat bexa udaw wa ncho pa dap mil xabgiꞌitsa, parea naꞌanpa igaꞌab be xagots no be meꞌed. 
MAT.15.39	Cha ndab Jesús ndoꞌ be men yaꞌbe bexa. Cha ukea xa ndoꞌ barco wa nchaꞌa xa dub sa gax gezh nsaleaꞌ Magdala.
MAT.16.1	Leꞌa pla bexa fariseo no bexa saduceo ulen wats Jesús, nlad bexa gun bexa preb Jesús, ndab bexa ndoꞌ Jesús:
MAT.16.1	—Leꞌa besa nlad gun ga dub ta uluu leꞌa ga Dioska mtuꞌub.
MAT.16.2	Leꞌa Jesús cha ukaꞌab ndab:
MAT.16.2	—Leꞌa ncho uzhe leꞌa gibeꞌa baꞌ nane naꞌ, cha ndab bego leꞌa geꞌa naꞌanpa ilaꞌ gi. 
MAT.16.3	No ncho tempran leꞌa gibeꞌa baꞌ nane naꞌ no nde xkaw, cha ndab bega nat ilaꞌ gi. ¡Bego nluu cuentta xa wen ná bega ugap nak! Nyakbeꞌena bega xteꞌe nak be ta naꞌ bega gibeꞌa baꞌ, ná ni lá nyakbeꞌena bega ta ndun Dios tiemp nat. 
MAT.16.4	Leꞌa be men ncho nat uzhebpa be men ugap no nkwaꞌan bexa be ta naꞌanpa ta ugeapa nak Dios. Ndab bega gun naꞌ dub ta uluu na ton nak naꞌ, parea leꞌa naꞌ lá gun ta ndab bega. Ndi iniꞌítsa bega leꞌa naꞌ itiꞌid ltsaꞌa ta utid Jonás, xa mbidiꞌizh sakndoꞌ Dios tiemp polta.
MAT.16.4	Cha mlaꞌa Jesús bexa, cha nchaꞌa xa.
MAT.16.5	Weꞌe leꞌa Jesús nsea be xmen xa utakea stub toꞌo nits, parea myalad bexa ngoꞌo bexa pan gaw bexa. 
MAT.16.6	Leꞌa Jesús cha ndab ndoꞌ bexa:
MAT.16.6	—Blaꞌach bego, uzhebpa gop bega cuent nsea levadur ten bexa fariseo no levadur ten bexa saduceo.
MAT.16.7	Leꞌa bexa cha ndabbe ndoꞌ ltsaꞌa na:
MAT.16.7	—Li ndab xa baꞌ geal leꞌa beuna lá ngoꞌo pan.
MAT.16.8	Leꞌa Jesús cha mgenna ta li ndanbeꞌe bexa wa, cha ndab xa:
MAT.16.8	—¿Xtaꞌan lbaꞌa nyuꞌ ladna bega leꞌa bega lá noꞌo pan zha? ¡Ndidotsa ngeꞌ ladna bega naꞌ! 
MAT.16.9	¿Bi lá nyakbeꞌena bega be ta uniꞌí bega uyoꞌo wa zha? ¿Ni lá ntseꞌa ladna bega xteꞌe msa naꞌ gaꞌay pan udaw gaꞌay mil xabgiꞌi wa, no plo zhum ta myaꞌan sobr mteleꞌe bega zha weꞌe zha? 
MAT.16.10	¿No ni lá ntseꞌa ladna bega xteꞌe msa naꞌ dub gaꞌad pan udaw dub dap mil xabgiꞌi zha, no plo zhum ta myaꞌan sobr mteleꞌe bega zha? 
MAT.16.11	¿Xtaꞌan lá nyakbeꞌena bega leꞌa naꞌ naꞌanpa ndadiꞌizh cuent ten pan gor ndáp naꞌ gop bega cuent nsea levadur ten bexa fariseo no levadur ten bexa saduceo zha?
MAT.16.12	Leꞌa bexa wa cha myakbeꞌena leꞌa Jesús naꞌanpa ngab gap bexa cuent nsea levadur ten pan. Leꞌa xa ndi ndab gap bexa cuent nsea ta nluu bexa fariseo nsea bexa saduceo.
MAT.16.13	Leꞌa gor na ulayaꞌ bexa gax dub gezh nsaleaꞌ Cesarea Filipo, leꞌa Jesús cha unabdiꞌizh ndoꞌ be xmen na, ndab xa:
MAT.16.13	—¿Xteꞌe ndab be men ton nak Xa Myak Men Ndoꞌ Gizhliyo zha?
MAT.16.14	Leꞌa bexa cha ukaꞌab ndab:
MAT.16.14	—Leꞌa ncho be men ndab leꞌa go nak Juan xa ulaleaꞌ be men. No ncho bexa ndab leꞌa go nak Elí. No nchoga bexa ndab leꞌa go Jeremías, natal stubga xa mbidiꞌizh sakndoꞌ Dios tiemp polta.
MAT.16.15	Leꞌa Jesús cha ndab:
MAT.16.15	—¿Leꞌa bego zha xteꞌe gab ton nak naꞌ?
MAT.16.16	Leꞌa Simón Pedr cha ukaꞌab ndab:
MAT.16.16	—Leꞌa go nak Cristo Xin Dios nban.
MAT.16.17	Weꞌe leꞌa Jesús cha ndab ndoꞌ xa wa:
MAT.16.17	—Simón xin Jonás, uzhebpa wen yoo ladna lu, leꞌa ta ndab lu naꞌanpa men mluu ndoꞌ lu, ndi Xus naꞌ xa ncho gibeꞌa mluu‑yá ndoꞌ lu. 
MAT.16.18	Leꞌa lu nsaleaꞌ Pedr. Leꞌa ndoꞌ geꞌdaꞌa ndee kwe dub xkwaꞌa men gungea ladna naꞌ. Leꞌa juers ten gealgut naꞌanpa gun gan ndoꞌ bexa wa. 
MAT.16.19	Leꞌa naꞌ leꞌa usoꞌ lu gak lu xa yansu bexa leꞌa Dios nibeꞌe. Leꞌa itea be ta inibeꞌe lu ta lá gun bexa, leꞌa ta wa nokaga Dios lá ulaꞌa. No liga itea be ta inibeꞌe lu gun bexa, leꞌa ta wa ta na nokaga Dios inibeꞌe li gak.
MAT.16.20	Leꞌa Jesús cha unibeꞌe ndoꞌ be xmen na naꞌanpa gab bexa ndoꞌ ni dub men leꞌa Jesús nak Cristo xa mtuꞌub Dios.
MAT.16.21	Leꞌa zha weꞌe usaxan Jesús ndadiꞌizh ndoꞌ be xmen na leꞌa xa juerska yaꞌ Jerusalén, ndab xa:
MAT.16.21	—Leꞌa Jerusalén wa leꞌa bexa gox nsak nsea be uleꞌay nibeꞌe nsea be mech ten ley ugap gunno naꞌ. No gut bexa naꞌ, parea leꞌa wizh yon leꞌa naꞌ iban ndoꞌ gealgut.
MAT.16.22	Weꞌe leꞌa Pedr cha mbiꞌi Jesús dub lad, cha uteyo Pedr xa, ndab Pedr:
MAT.16.22	—¡Naꞌanpa li gak‑a, Señor! ¡Leꞌa Dios lá ulaꞌa li yasea ga!
MAT.16.23	Ná leꞌa Jesús cha myach mwiꞌi ndoꞌ Pedr, ndab xa:
MAT.16.23	—Utatsoꞌ wats naꞌ, leꞌa lu ndadiꞌizh cuent maxuꞌu, lá nlad lu gun naꞌ ta nlad Dios. Leꞌa lu lá ndanbeꞌe lak ndanbeꞌe Dios, leꞌa lu ndi ndanbeꞌe lak ndanbeꞌe be mentsa.
MAT.16.24	Cha ndab Jesús ndoꞌ be xmen na:
MAT.16.24	—Tal ton nlad isankea tsoꞌo naꞌ, nsabndoꞌ ulaꞌa xa iteanak ta nlad xa, cha goꞌo xa cruz ten xa, cha isankea xa tsoꞌo naꞌ. 
MAT.16.25	Leꞌa tal ton ukwaꞌan xteꞌe wen yoo xa, leꞌa xa wa ndi gun perdid gealnaban ten na ndoꞌ Dios. Ná leꞌa tal ton gat geal ndangea ladna xa naꞌ, leꞌa xa wa gap gealnaban ndoꞌ Dios. 
MAT.16.26	Tal leꞌa dub men ndap iteanak be ta ncho ndoꞌ gizhliyo ndee, cha gak perdid gealnaban ten xa ndoꞌ Dios, ¿xtiꞌin iteanak be ta ndap xa wa zha? Leꞌa be ta wa naꞌanpa ugal isiꞌi xa gealnaban ten xa. 
MAT.16.27	Leꞌa naꞌ, Xa Myak Men Ndoꞌ Gizhliyo, ilenno xeꞌa siꞌil ten Dios Xus naꞌ no be angel. Cha kixga naꞌ ikaꞌa kad dub men be ta mbin xa. 
MAT.16.28	Leꞌa naꞌ gáp ndoꞌ bego leꞌa ncho bega nde ndee naꞌanpa gat gast iniꞌí bega leꞌa naꞌ, Xa Myak Men Ndoꞌ Gizhliyo, ilen inibeꞌegal.
MAT.17.1	Ngol sxoꞌop wizh leꞌa Jesús mbiꞌi Pedr no Jacob no Juan wit Jacob, ukea bexa dub bet gaꞌap sa naꞌan men. 
MAT.17.2	Leꞌa sa wa leꞌa Jesús mtixndoꞌ ndoꞌ gaꞌal bexa wa, leꞌa ndoꞌ Jesús myak cuent xeꞌa wizh no xab xa ndon mbe mnaꞌ cuent xeꞌa. 
MAT.17.3	Zha leꞌa sa wa mlundoꞌ Moisés no Elí ndeyadiꞌizhno Jesús. 
MAT.17.4	Weꞌe leꞌa Pedr cha ndab ndoꞌ Jesús:
MAT.17.4	—Señor, uzhebpa wen nde beuna sa ndee. Tal go nlad gundeꞌe besa chon ramad: dub‑a ná ten go, leꞌa stub‑a ná ten Moisés, nsea stub‑a ná ten Elí.
MAT.17.5	Ndalen li nsoꞌyadiꞌizh Pedr, cha ulen dub xkaw msu xeꞌa idub sa ndebe bexa. Leꞌa lat xkaw wa mgen ti Dios ndab:
MAT.17.5	—Leꞌa ta ndee Xiꞌín naꞌ. Leꞌa naꞌ nkweaꞌ ladna xa no ntenno lad naꞌ xa. Bsakyoꞌón bega ta ndab xa.
MAT.17.6	Leꞌa gor na mbiꞌín be xmen Jesús ta wa, cha msaxib bexa gast ndoꞌ yo ngol xtuzh bexa, no uzhebpa mzheb bexa. 
MAT.17.7	Leꞌa Jesús cha ubii gax wats bexa, cha mgal Jesús gek bexa, cha ndab xa:
MAT.17.7	—Gosoꞌ bega, lá izhebta bega.
MAT.17.8	Leꞌa gor na mwiꞌi bexa yá naꞌanla ton ndebe sa wa. Leꞌa Jesús nabla nsoꞌ.
MAT.17.9	Leꞌa gor na nchaꞌlayoꞌo bexa bet wa, leꞌa Jesús ndab ndoꞌ bexa:
MAT.17.9	—Naꞌan ton ndoꞌ ná gudiꞌizh bega ta li uniꞌí bega wa, gast gor ibangal naꞌ, Xa Myak Men Ndoꞌ Gizhliyo.
MAT.17.10	Leꞌa bexa wa cha unabdiꞌizh ndoꞌ Jesús ndab:
MAT.17.10	—¿Xtaꞌan ndab be mech ten ley leꞌa Elí ned ilen, weꞌeta ilen Cristo xa utuꞌub Dios zha?
MAT.17.11	Leꞌa Jesús cha ukaꞌab ndab:
MAT.17.11	—Ta ugeaka leꞌa Elí nedka ilen ndontsa list kwe be men. 
MAT.17.12	Leꞌa naꞌ gáp ndoꞌ bego, leꞌa Elí wa mbiꞌidla. Ná leꞌa be men lá igondoꞌ xa, ndi ugap mbinno bexa xa lakta nlad bexa. No liga gunno bexa naꞌ, Xa Myak Men Ndoꞌ Gizhliyo.
MAT.17.13	Weꞌe leꞌa be xmen Jesús myakbeꞌena leꞌa Jesús mbidiꞌizh cuent ten Juan xa ulaleaꞌ be men.
MAT.17.14	Leꞌa gor na mlaꞌnchaꞌ bexa sa nde be men kwaꞌad, leꞌa dub xabgiꞌi cha ulen wats Jesús, cha msaxib xa ndoꞌ Jesús ndab xa:
MAT.17.15	—Señor, blats ladna go xiꞌín naꞌ, leꞌa meꞌed uzhebpa kweaꞌ nsak gizhkaw. Sian biaj nlayat meꞌed ndoꞌ giꞌ no ndoꞌ nits. 
MAT.17.16	Leꞌa naꞌ ngwaꞌnola meꞌed ndoꞌ be xmen ga, ná leꞌa bexa lá ngun gan yakna meꞌed.
MAT.17.17	Leꞌa Jesús cha ndab ndoꞌ be men:
MAT.17.17	—Uzheꞌeb ngud nak bega no ndidotsa ngeꞌ ladna bega Dios. ¿Ploxá tiemp yoꞌo naꞌ lat bega zhaga? ¿Sta ploxá tiemp uxik naꞌ ndoꞌ bega zhaga? Utseano bega meꞌed baꞌ sa ndee.
MAT.17.18	Leꞌa Jesús cha uteyo mbi bxin ncho ladoꞌo meꞌed bgiꞌi wa. Leꞌa mbi bxin wa cha utoꞌo, cha bi leꞌa gor wa myakna meꞌed wa.
MAT.17.19	Tsoꞌo wa leꞌa be xmen Jesús ulen wats Jesús, unabdiꞌizh bexa ndoꞌ Jesús, ndab bexa:
MAT.17.19	—¿Xtaꞌan lá ngun besa gan igontuꞌub besa mbi bxin wa zha?
MAT.17.20	Leꞌa Jesús cha ndab:
MAT.17.20	—Leꞌa bega ndidotsa ngeꞌ ladna Dios. Leꞌa naꞌ gáp ndoꞌ bega tal leꞌa bega ngeꞌ ladna Dios lak tuzh dub bid ten ya mostas, leꞌa bega sunka gan gab ndoꞌ bet ndee: “Bxoꞌon sa ndee, waꞌ sa baꞌ”; leꞌa bet cha uxoꞌon. Tal leꞌa bega li igeꞌ ladna Dios, leꞌa bega itea taꞌa sunka gan. 
MAT.17.21	Parea leꞌa be ltsaꞌa mbi bxin ndee lá yoo gan itoꞌo xagaꞌ. Nkiꞌin lá gaw bega dub tiemp no mas gudiꞌizhno bega Dios ndontsa slaꞌa be mbi bxin wa be men.
MAT.17.22	Leꞌa dub wizh zha ndencho bexa wa Galilea, leꞌa Jesús ndabgal ndoꞌ be xmen na:
MAT.17.22	—Leꞌa naꞌ, Xa Myak Men Ndoꞌ Gizhliyo, yak cuent ndoꞌ yaꞌa be men. 
MAT.17.23	Leꞌa bexa wa cha gut naꞌ, parea leꞌa wizh yon leꞌa naꞌ ibangal.
MAT.17.23	Leꞌa bexa wa cha uzhebpa uban myoꞌo ladna.
MAT.17.24	Leꞌa bexa wa cha nchaꞌagal gezh Capernaum. Weꞌe leꞌa bexa na nkaꞌa med ten niꞌi ten Dios ulen ndoꞌ Pedr, ndab bexa:
MAT.17.24	—¿Nkix mech ten bega med ndantiꞌin bexa niꞌi ten Dios zha?
MAT.17.25	Leꞌa Pedr cha ukaꞌab ndab:
MAT.17.25	—Leꞌa xa nkixka‑yá.
MAT.17.25	Ngol gor uyoꞌo Pedr len niꞌi, leꞌa Jesús ned uníꞌi ndoꞌ Pedr, ndab xa:
MAT.17.25	—¿Xteꞌe nsak lu, Simón? Leꞌa bexa ndon leꞌa nibeꞌe ndoꞌ gizhliyo, ¿ton ndoꞌ ná ndun bexa cobr be med zha? ¿Ndoꞌ bexa lazh xa nate ndoꞌ bexa ntoꞌo sit?
MAT.17.26	Leꞌa Pedr cha ukaꞌab ndab:
MAT.17.26	—Ndoꞌ bexa ntoꞌo sit ndun bexa cobr.
MAT.17.26	Leꞌa Jesús cha ndab:
MAT.17.26	—Ta ugeaka leꞌa bexa lazh xa nibeꞌe wa naꞌanpa juerska kix ta wa. 
MAT.17.27	Parea ndontsa lá gakloo bexa, waꞌ toꞌo lagun, cha btsaꞌab gibganch ndoꞌ nits wa. Leꞌa mbeal ned isen‑a, leꞌa toꞌo ma wa izheal lu dub med. Cha biꞌi‑yá waꞌtix ta ten itop beuna.
MAT.18.1	Tsoꞌo wa leꞌa be xmen Jesús ulen ndoꞌ Jesús ndab bexa:
MAT.18.1	—¿Ton mas nsak lat bexa nibeꞌe Dios?
MAT.18.2	Leꞌa Jesús cha utezh dub meꞌed, cha msoꞌ Jesús meꞌed tlaw bexa. 
MAT.18.3	Cha ndab xa ndoꞌ bexa:
MAT.18.3	—Leꞌa naꞌ gáp ndoꞌ bego leꞌa tal bega lá yak lak nak be meꞌed, leꞌa bega lá yoo gan yate lat bexa leꞌa Dios nibeꞌe. 
MAT.18.4	Ta weꞌe leꞌa tal ton yak tuzh ndoꞌ Dios lak nak dub meꞌed ndee, leꞌa xa wa mas nsak lat bexa leꞌa Dios nibeꞌe. 
MAT.18.5	Leꞌa tal ton dub xmen naꞌ utsin gak xa ndoꞌ dub meꞌed nak cuent meꞌed ndee, leꞌa xa wa cuentkata ndoꞌ naꞌ utsin nak.
MAT.18.6	’Leꞌa tal ton utsabgix dub xa ndangea ladna naꞌ ndoꞌ ta ugap, leꞌa xa wa mas dub gealkweaꞌ siꞌil iniꞌí ndoꞌ dub xa nkea dub geꞌ siꞌil gen na, cha utsaꞌab be men xa sa mas wat len nitsdoꞌo. 
MAT.18.7	Proꞌob be men nde ndoꞌ gizhliyo isabgix ndoꞌ ta ugap. Idub tiemp ncho ta ntsabgix be men ndoꞌ ta ugap, parea uzhebpa proꞌob bexa leꞌa utsabgix stubga men.
MAT.18.8	’Ta weꞌe tal leꞌa dub yaꞌa bega natal dub xoꞌo bega utsabgix bega, ulobtoꞌog bega‑yá cha udabi bega‑yá. Mas wen yoo bega wats Dios moch bega, ndoꞌ ndap bega itop yaꞌa bega nsea itop xoꞌo bega yaꞌ bega ndoꞌ giꞌ nunk lá yuꞌu. 
MAT.18.9	No tal leꞌa dub ngusndoꞌ bega utsabgix bega, uloꞌo bega‑yá cha udabi bega‑yá. Mas wen yoo bega wats Dios dubtsa ngusndoꞌ bega, ndoꞌ itop ngusndoꞌ bega yaꞌ bega ndoꞌ giꞌ infierno.
MAT.18.10	’Blaꞌach bega lá uxelad bega ni dub men ndangea ladna naꞌ lak dub meꞌed. Leꞌa naꞌ gáp ndoꞌ bego leꞌa be angel ndesoꞌ ulaꞌach bexa wa idub tiemp nde wats Xus naꞌ, xa nsob gibeꞌa. 
MAT.18.11	Leꞌa naꞌ, Xa Myak Men Ndoꞌ Gizhliyo, ndalteꞌezh naꞌ bexa ulaꞌ, bexa sit nak wats Dios, ndontsa gap bexa gealnaban ndoꞌ Dios.
MAT.18.12	’¿Xá nsak bega zha? Tal leꞌa dub xabgiꞌi ndap dub gayoꞌo borreg, cha ilaꞌ dub ma, ¿lid ulaꞌa xa isadap gaꞌal ncho tiꞌin bdap ma, cha ndi yaꞌ xa be geꞌe yaꞌkwaꞌan xa ma li ulaꞌ wa? 
MAT.18.13	Leꞌa naꞌ gáp ndoꞌ bega, leꞌa gor mzheal xa ma, leꞌa xa mas itenno ladna ma ulaꞌ wa ndoꞌ isadap gaꞌal ncho tiꞌin bdap bema naꞌanpa ilaꞌ. 
MAT.18.14	No liga leꞌa Dios Xus beuna xa nsob gibeꞌa lá nlad isabgix ni dub bexa ndangea ladna naꞌ.
MAT.18.15	’Tal dub ltsaꞌa ga ugap gunno ga, cha waꞌyadiꞌizhno ga nab xa. Tal xa nsakyoꞌón ta ndab ga wa, leꞌa ga mbinka gan mchealtsaꞌa xa wa. 
MAT.18.16	Ná tal leꞌa xa lá isakyoꞌón ta ndab ga, biꞌi ga stub xa natal stop xa ndontsa no bexa gab ndoꞌ xa ná xtaꞌan ta ugap mbin xa. 
MAT.18.17	Tal leꞌa xa wa lá isakyoꞌón ta ndab bexa wa, cha gab ga‑yá sa nzhealbe bexa nak xmen naꞌ. No binno bega xa cuent dub xa lá nchandoꞌ Dios natal cuent dub xa ugap nsen med nkix be men ndoꞌ Roma.
MAT.18.18	’Leꞌa naꞌ gáp ndoꞌ bego leꞌa ta na lá nlaꞌa bega gun be men ndoꞌ gizhliyo ndee, leꞌa ta wa no Dios lá ulaꞌa gun bexa wa. No liga ta na nsaꞌa bega diꞌizh gun be men ndoꞌ gizhliyo, leꞌa ta wa no Dios usaꞌa diꞌizh gun bexa.
MAT.18.19	’No gáp naꞌ stub biaj, tal leꞌa top bega dubtsa gudiꞌizh inab dub taꞌa ndoꞌ Xus naꞌ xa nsob gibeꞌa, leꞌa xa saꞌaka ta inab bega wa. 
MAT.18.20	Leꞌa sa nde top xa natal chon xa nak xmen naꞌ, leꞌa naꞌ no nsoꞌ tlaw bexa sa wa.
MAT.18.21	Leꞌa Pedr cha ulen wats Jesús cha unabdiꞌizh Pedr, ndab xa:
MAT.18.21	—Señor, ¿plo biaj nsabndoꞌ gungeꞌ lad naꞌ ndoꞌ dub ltsaꞌa naꞌ tal xa ugap gunno naꞌ zha? ¿Nati gaꞌad biaj?
MAT.18.22	Leꞌa Jesús cha ukaꞌab ndab:
MAT.18.22	—Naꞌanpa gáp naꞌ gaꞌadtsa biaj gungeꞌ ladna lu ndoꞌ xa, leꞌa naꞌ ndi gáp gast chon gaꞌal ncho tiꞌi gaꞌad biaj gungeꞌ ladna lu ndoꞌ xa.
MAT.18.23	’Leꞌa lak nibeꞌe Dios be men nak lak ndun dub rey nibeꞌe, gor na nlad xa iniꞌí xa ná plo med nsaꞌab be xmen xa ndoꞌ xa. 
MAT.18.24	Leꞌa gor na tiꞌi usaxan rey ndun ta wa, cha nseano bexa dub xmen rey uzhebpa sian mil med nsaꞌab ndoꞌ rey. 
MAT.18.25	Leꞌa xa wa naꞌanpa ndap xtaꞌan kix xa, ta weꞌe leꞌa rey wa unibeꞌe ndoꞌ be xmen na udoꞌo bexa xa nsaꞌab med wa no xagots ten xa no be xin xa no iteanak be ta ndap xa wa, ndontsa kix xa med wa. 
MAT.18.26	Weꞌe leꞌa xa wa cha msaxib ndoꞌ rey, ndab xa: “Señor, kweas go dub ndeꞌep leꞌa naꞌ skixka itea med wa.” 
MAT.18.27	Leꞌa rey cha mlats ladna xa wa, mbingeꞌ ladna rey ta li nsaꞌab xa wa, cha mxaꞌak rey xa. 
MAT.18.28	Parea leꞌa gor utoꞌo xmen rey sa wa, mzheꞌal xa stubga xmen rey nsaꞌab dub tuzh med ndoꞌ xa. Cha usen xa gen xa wa nkeutsebe xa‑yá, cha ndab xa: “¡Utix ta nsaꞌab lu ndoꞌ naꞌ!” 
MAT.18.29	Leꞌa xa nsaꞌabga wa cha usaxib, ndab xa: “Kweas ga dub ndeꞌep leꞌa naꞌ skixka itea‑yá.” 
MAT.18.30	Ná leꞌa xa wa lá ngungeꞌ ladna, cha ndi ngwaꞌukeꞌa xa xa nsaꞌab med wa litgiꞌib gast kix xa ta nsaꞌab xa wa. 
MAT.18.31	Leꞌa gor na uniꞌí stapla be xmen rey ta li mbin xa wa, cha uzheꞌeb uban myoꞌo ladna bexa. Cha nseaꞌbeyab bexa ndoꞌ rey ta li ngok wa. 
MAT.18.32	Leꞌa rey cha utezh xa na li mbin wa, cha ndab xa ndoꞌ xa: “¡Uzhebpa ugap nak lu! Leꞌa naꞌ mbingeꞌ ladna iteanak be ta nsaꞌab lu ndoꞌ naꞌ naꞌanpa ikix lu‑yá, geal leꞌa lu li unab ndoꞌ naꞌ. 
MAT.18.33	¿Lid no lu nsabndoꞌ ilats ladna ltsaꞌa lu wa zha, lak mlats lad naꞌ lu?” 
MAT.18.34	Leꞌa rey cha ngokloo cha unibeꞌe xa ndoꞌ be soldad ten xa utsaksi bexa xa wa gast kix xa itea be med nsaꞌab xa.
MAT.18.35	No ndab Jesús:
MAT.18.35	—Leꞌa Xus naꞌ xa nsob gibeꞌa noga li gunno bego tal leꞌa bega lá gungeꞌ ladna ndoꞌ be ltsaꞌa bega idub ncho ladna bega be ta ugap ndanno bexa bega.
MAT.19.1	Leꞌa gor mtayadiꞌizh Jesús ta wa, cha mkaꞌan xa Galilea nchaꞌa xa Judea stub toꞌo yowbeꞌe Jordán. 
MAT.19.2	Leꞌa sa wa leꞌa kwaꞌadpa men usankea tsoꞌo xa, cha myunyakna Jesús bexa gizh sa wa.
MAT.19.3	Weꞌe leꞌa pla bexa fariseo ulen wats Jesús, nlad bexa gab Jesús dub ta lid leꞌa nak, ndab bexa ndoꞌ Jesús:
MAT.19.3	—¿Utsin nak ulaꞌa dub xabgiꞌi xagots ten na, tal xa lá nsak ladna xtaꞌanla dub ta ndun xa zha?
MAT.19.4	Leꞌa Jesús cha ukaꞌab ndab:
MAT.19.4	—¿Lá ndoꞌol bega zha sa nkeaniꞌi diꞌizh ten Dios, leꞌa Dios leꞌa mbindeꞌe xabgiꞌi no xagots zha ned wa? 
MAT.19.5	Cha ndab Dios: “Ta weꞌe ulaꞌa xabgiꞌi xus na no xnaꞌa na zha na ikaꞌa xa xagots ten xa. Leꞌa cuent ten Dios leꞌa itop xa wa yak dubtsa men.” 
MAT.19.6	Leꞌa bexa wa dubtsa men myak, yá lid topta xa. Ta weꞌe gáp naꞌ leꞌa bexa mchealte Dios, lá nsabndoꞌ dub men uteltsaꞌa bexa.
MAT.19.7	Leꞌa bexa fariseo wa cha unabdiꞌizhgal ndab:
MAT.19.7	—¿Xtaꞌan ndab ley mkeꞌa Moisés zha leꞌa dub xabgiꞌi syoꞌo gan ulaꞌa xagots ten na, tal ned usaꞌa xa dub git ndoꞌ xagots, gab‑a leꞌa xa ulaꞌa xa wa?
MAT.19.8	Leꞌa Jesús cha ndab:
