GEN.1.1	Hapo mwanzo, Mungu aliumba mbingu na dunia.
NUM.8.23	Mwenyezi-Mungu alimwambia Mose, 
NUM.8.24	“Kila Mlawi mwenye umri wa miaka ishirini na mitano na zaidi, atahudumu katika hema langu la mkutano; 
NUM.8.25	na kustaafu afikishapo umri wa miaka hamsini. 
NUM.8.26	Baada ya hapo, anaweza kuwasaidia Walawi wenzake wanapohudumu katika hema, lakini haruhusiwi kutoa huduma yoyote peke yake. Ndivyo utakavyowapangia kazi Walawi.”
NUM.9.1	Kisha mnamo mwezi wa kwanza wa mwaka wa pili baada ya Waisraeli kutoka Misri, Mwenyezi-Mungu aliongea na Mose katika jangwa la Sinai. Alimwambia: 
NUM.9.2	“Waisraeli sharti waiadhimishe sikukuu ya Pasaka wakati uliopangwa. 
NUM.9.3	Hii itakuwa siku ya kumi na nne ya mwezi huu; wakati wa jioni watafanya hivyo kufuatana na masharti na maagizo yake yote.” 
NUM.9.4	Kwa hiyo, Mose akawaambia watu kwamba wanapaswa kuiadhimisha sikukuu ya Pasaka. 
NUM.9.5	Basi, wakaiadhimisha Pasaka jioni, siku ya kumi na nne ya mwezi wa kwanza, katika jangwa la Sinai. Waisraeli walifanya yote kama Mwenyezi-Mungu alivyomwamuru Mose.
NUM.9.6	Lakini, baadhi ya watu waliokuwapo walikuwa hawawezi kuiadhimisha sikukuu hiyo ya Pasaka kwa sababu walikuwa wamegusa maiti, wakawa najisi. Hao waliwaendea Mose na Aroni, 
NUM.9.7	wakawaambia, “Sisi tu najisi kwa kuwa tumegusa maiti, lakini kwa nini tukatazwe kumtolea Mwenyezi-Mungu sadaka zake kwa wakati uliopangwa pamoja na Waisraeli wengine?”
NUM.9.8	Mose akawajibu, “Ngojeni mpaka hapo nitakapopata maagizo juu yenu kutoka kwa Mwenyezi-Mungu.”
NUM.9.9	Naye Mwenyezi-Mungu akamwambia Mose, 
NUM.9.10	“Mmoja wenu au mmoja wa wazawa wenu akiwa najisi kwa sababu amegusa maiti au akiwa mbali safarini, lakini akiwa anataka kuiadhimisha sikukuu ya Pasaka, 
NUM.9.11	mtu kama huyo anaruhusiwa kufanya hivyo mwezi mmoja baadaye, jioni ya siku ya kumi na nne ya mwezi wa pili. Ataiadhimisha kwa kula mikate isiyotiwa chachu na mboga chungu. 
NUM.9.12	Wasibakize chakula chochote hadi asubuhi, wala wasivunje hata mfupa mmoja wa wanyama wa Pasaka. Wataiadhimisha sikukuu hii ya Pasaka kulingana na kanuni zake zote. 
NUM.9.13	Lakini mtu yeyote ambaye ni safi au hayumo safarini, asipoiadhimisha sikukuu ya Pasaka, atatengwa na watu wake kwa kuwa hakunitolea sadaka kwa wakati uliopangwa. Ni lazima aadhibiwe kwa ajili ya dhambi yake.
NUM.9.14	“Ikiwa kuna mgeni anayeishi pamoja nanyi na anapenda kuiadhimisha sikukuu ya Pasaka, mtu huyo sharti afanye hivyo kulingana na masharti na maagizo yote ya Pasaka. Kila mtu atafuata masharti yaleyale, akiwa mgeni au mwenyeji.”
NUM.9.15	Siku ambayo hema takatifu lilisimikwa, wingu lilishuka na kulifunika hema la maamuzi. Wakati wa usiku wingu hilo lilionekana kama moto mpaka asubuhi. 
NUM.9.16	Hivyo ndivyo ilivyokuwa kila siku; wingu lililifunika hema mchana, na usiku lilionekana kama moto. 
NUM.9.17	Kila mara wingu hilo lilipoinuliwa juu ya hema, Waisraeli walivunja kambi na kupiga kambi tena mahali wingu hilo lilipotua. 
NUM.9.18	Walisafiri kwa amri ya Mwenyezi-Mungu, na kupiga kambi tena kwa amri yake. Muda wote wingu hilo lilipokuwa juu ya hema, watu walikaa katika kambi hiyo. 
NUM.9.19	Hata kama wingu hilo lilikaa juu ya hema kwa muda wa siku nyingi, Waisraeli walimtii Mwenyezi-Mungu, nao hawakuondoka. 
NUM.9.20	Wakati mwingine wingu hilo lilikaa juu ya hema kwa muda wa siku chache tu; lakini kila wakati Waisraeli walibaki kambini; walihama kama Mwenyezi-Mungu alivyowaamuru. 
NUM.9.21	Wakati mwingine wingu lilikaa juu ya hema tangu jioni mpaka asubuhi tu; na mara tu lilipoinuliwa, hao watu pia walifunga safari. Na ikiwa lilikaa juu ya hema mchana kutwa na usiku kucha, wao waliondoka tu wingu lilipoinuliwa. 
NUM.9.22	Ikiwa ni siku mbili, mwezi, mwaka au zaidi, muda wote wingu hilo lilipokuwa juu ya hema, Waisraeli hawakuhama; lakini lilipoinuliwa, nao pia walihama. 
NUM.9.23	Kwa agizo la Mwenyezi-Mungu walipiga kambi na kwa agizo la Mwenyezi-Mungu walisafiri. Walishika agizo la Mwenyezi-Mungu kama alivyotoa amri yake kwa njia ya Mose.
NUM.10.1	Mwenyezi-Mungu alimwambia Mose, 
NUM.10.2	“Tengeneza tarumbeta mbili kwa fedha iliyofuliwa. Utazitumia tarumbeta hizo wakati wa kuwaita watu na wakati wa kuvunja kambi. 
NUM.10.3	Tarumbeta zote mbili zikipigwa pamoja, watu wote watakusanyika karibu nawe mbele ya lango la hema la mkutano. 
NUM.10.4	Lakini kama ikipigwa tarumbeta moja tu, basi ni viongozi tu wa makabila ya Israeli watakaokusanyika karibu nawe. 
NUM.10.5	Ishara hiyo ikitolewa kwa kupiga tarumbeta, wakazi wa kambi za mashariki wataanza safari. 
NUM.10.6	Ishara hiyo ikipigwa mara ya pili, wale wa kambi za upande wa kusini wataanza kuondoka. Ishara hiyo ya tarumbeta itatolewa kila wakati wa kuanza safari. 
NUM.10.7	Lakini wakati wa kuwaita watu wakusanyike pamoja, tarumbeta zitapigwa kwa njia ya kawaida. 
NUM.10.8	Wazawa wa Aroni, makuhani, ndio watakaopiga tarumbeta hizo. Utaratibu huo utafuatwa daima katika vizazi vyenu vyote.
NUM.10.9	“Wakati wa vita nchini mwenu dhidi ya adui wanaowashambulia, mtatoa ishara ya vita kwa kupiga tarumbeta hizi ili Mwenyezi-Mungu, Mungu wenu apate kuwakumbuka na kuwaokoa na adui zenu. 
NUM.10.10	Hali kadhalika katika siku zenu za furaha, kama vile sikukuu za mwandamo wa mwezi na sikukuu nyinginezo, mtazipiga tarumbeta hizi wakati mnapotoa sadaka zenu za kuteketezwa na tambiko za sadaka zenu za amani. Hapo mimi Mungu wenu nitawakumbukeni. Mimi ndimi Mwenyezi-Mungu, Mungu wenu.”
NUM.10.11	Mnamo siku ya ishirini ya mwezi wa pili, mwaka wa pili tangu wana wa Israeli walipoondoka Misri, wingu lililokuwa juu ya hema la maamuzi liliinuliwa, 
NUM.10.12	nao Waisraeli wakaanza safari yao kutoka jangwa la Sinai. Wingu hilo lilipaa na hatimaye likatua katika jangwa la Parani.
NUM.10.13	Kwa mara ya kwanza Waisraeli walifunga safari hiyo kwa amri ya Mwenyezi-Mungu kama ilivyotolewa na Mose. 
NUM.10.14	Wale waliokuwa chini ya bendera ya kikosi cha kabila la Yuda, walitangulia, kundi moja baada ya jingine. Kiongozi wao alikuwa Nashoni mwana wa Aminadabu. 
NUM.10.15	Nethaneli mwana wa Suari, alikuwa kiongozi wa kikosi cha kabila la Isakari. 
NUM.10.16	Naye Eliabu mwana wa Heloni, alikuwa kiongozi wa kikosi cha kabila la Zebuluni.
NUM.10.17	Kisha, hema lilishushwa, na watu wa ukoo wa Gershoni na wa Merari ambao walilibeba, walianza kuondoka.
NUM.10.18	Halafu, watu waliokuwa chini ya bendera ya kikosi kilichoongozwa na kabila la Reubeni, walifuata kundi moja baada ya jingine. Kiongozi wao alikuwa Elisuri mwana wa Shedeuri. 
NUM.10.19	Shelumieli mwana wa Suri-shadai, aliliongoza kabila la Simeoni. 
NUM.10.20	Naye Eliasafu mwana wa Deueli, aliliongoza kabila la Gadi.
NUM.10.21	Kisha walifuata watu wa ukoo wa Kohathi, wakiwa wamebeba vyombo vitakatifu. Walipowasili, hema lilikuwa limekwisha simikwa.
NUM.10.22	Baada ya hao, walifuata watu waliokuwa chini ya bendera ya kikosi kilichoongozwa na kabila la Efraimu, kundi moja baada ya jingine. Kiongozi wao alikuwa Elishama mwana wa Amihudi. 
NUM.10.23	Gamalieli mwana wa Pedasuri aliliongoza kabila la Manase, 
NUM.10.24	naye Abidani mwana wa Gideoni, aliliongoza kabila la Benyamini.
NUM.10.25	Mwisho, wale waliokuwa chini ya bendera ya kikosi kilichoongozwa na kabila la Dani, waliokuwa kama walinzi nyuma ya vikosi vyote, walisafiri, kundi moja baada ya jingine. Hawa waliongozwa na Ahiezeri mwana wa Amishadai. 
NUM.10.26	Pagieli, mwana wa Okrani, aliliongoza kabila la Asheri. 
NUM.10.27	Naye Ahira mwana wa Enani, aliliongoza kabila la Naftali. 
NUM.10.28	Huu basi, ndio utaratibu walioufuata Waisraeli kulingana na makundi yao, kila wakati walipovunja kambi na kuanza kusafiri tena.
NUM.10.29	Mose alimwambia shemeji yake, Hobabu mwana wa Reueli, Mmidiani, mkwe wake, “Sisi tunasafiri kwenda mahali ambapo Mwenyezi-Mungu amesema ‘Nitawapa nyinyi mahali hapo’. Basi, twende pamoja, nasi tutakutendea mema; maana Mwenyezi-Mungu ameahidi kutupa sisi Waisraeli fanaka.” 
NUM.10.30	Lakini Hobabu akajibu, “Mimi sitafuatana nanyi; ila nitarudi katika nchi yangu na kwa jamaa zangu.” 
NUM.10.31	Mose akamwambia, “Tafadhali usituache, maana wewe unajua mahali tunapoweza kupiga kambi jangwani, na unaweza kuwa kiongozi wetu. 
NUM.10.32	Tena ukiandamana nasi chochote chema atakachotutendea Mwenyezi-Mungu, ndicho utakachotendewa nawe pia.”
NUM.10.33	Basi, watu wakasafiri toka Sinai, Mlima wa Mwenyezi-Mungu, mwendo wa siku tatu. Sanduku la agano la Mwenyezi-Mungu liliwatangulia mwendo wa siku tatu, ili kuwatafutia mahali pa kupiga kambi. 
NUM.10.34	Kila waliposafiri kutoka kambi moja hadi nyingine, wingu la Mwenyezi-Mungu lilikuwa juu yao mchana.
NUM.10.36	Na kila wakati liliposimama, Mose alisema, “Warudie, ee Mwenyezi-Mungu, hawa maelfu na maelfu ya Israeli.”
NUM.11.1	Watu walianza kumlalamikia Mwenyezi-Mungu juu ya taabu zao. Mwenyezi-Mungu aliposikia, alishikwa na hasira, akawapelekea moto. Moto huo uliwaka kati yao na kuchoma upande mmoja wa kambi. 
NUM.11.2	Watu wakamlilia Mose, naye akamwomba Mwenyezi-Mungu na moto huo ukazimika. 
NUM.11.3	Kwa hiyo, mahali hapo pakaitwa Tabera,
NUM.11.4	Miongoni mwa Waisraeli kulikuwa na kundi fulani lililoandamana nao ambalo lilikuwa na hamu kubwa. Waisraeli kwa mara nyingine walilia, wakisema. “Laiti kama tungeweza kupata nyama ya kula! 
NUM.11.5	Tunakumbuka, samaki tuliokula kule Misri bila malipo, matango, matikiti, mboga, vitunguu na vitunguu saumu! 
NUM.11.6	Lakini sasa nguvu zimetuishia na hakuna chakula kingine isipokuwa hii mana tu!”
NUM.11.7	Mana ilikuwa kama punje za mtama, rangi yake ilikuwa kama ya bedoza. 
NUM.11.8	Watu walizungukazunguka na kuikusanya, kisha waliisaga kwa mawe ya kusagia au waliitwanga kwa vinu, halafu waliitokosa vyunguni na kutengeneza maandazi. Ladha yake ilikuwa kama ya maandazi yaliyokaangwa kwa mafuta. 
NUM.11.9	 (Umande ulipoanguka kambini wakati wa usiku, mana pia ilianguka pamoja na huo umande).
NUM.11.10	Mose alisikia watu wakilia katika familia zote, kila mtu penye lango la hema lake. Basi, hasira ya Mwenyezi-Mungu iliwaka sana; naye Mose alichukizwa. 
NUM.11.11	Ndipo Mose alipomwambia, Mwenyezi-Mungu “Kwa nini unanitendea vibaya mimi mtumishi wako? Mbona hupendezwi nami, kwa nini umenitwika mzigo wa kuwatunza watu wote hawa? 
NUM.11.12	Je, ni mimi niliyewazaa, hata ukaniambia niwabebe kifuani pangu kama mlezi abebavyo mtoto mchanga, na kuwapeleka mpaka nchi uliyoapa kuwapa babu zao? 
NUM.11.13	Nitapata wapi nyama ya kuwalisha watu hawa wote? Maana wanalia mbele yangu wakisema: ‘Tupe nyama tule!’ 
NUM.11.14	Siwezi kuwatunza watu wote hawa peke yangu; hilo ni jukumu kubwa mno kwangu! 
NUM.11.15	Ikiwa hivi ndivyo utakavyonitenda, afadhali uniue mara moja! Kama ninapata kibali mbele yako, usiniache niikabili taabu yangu.”
NUM.11.16	Basi, Mwenyezi-Mungu akamwambia Mose, “Wakusanyeni wazee sabini wa Israeli, ambao wewe unajua wanaheshimiwa na kukubaliwa na watu kuwa viongozi, uwalete kwenye hema la mkutano, wasimame karibu nawe. 
NUM.11.17	Nitashuka huko na kuzungumza nawe; nitachukua sehemu ya roho niliyokupa, niwape watu hao. Nao watabeba jukumu la kuwatunza watu hawa pamoja nawe, usije ukaubeba mzigo huo peke yako. 
NUM.11.18	Sasa waambie watu hivi: Jitakaseni kwa ajili ya kesho; mtakula nyama. Mwenyezi-Mungu amesikia mkilia na kusema kuwa hakuna wa kuwapeni nyama, na kwamba hali yenu ilikuwa nzuri zaidi mlipokuwa Misri. Sasa Mwenyezi-Mungu atawapeni nyama, nanyi sharti muile. 
NUM.11.19	Mtakula nyama si kwa muda wa siku moja tu, au mbili, au tano, au kumi au ishirini, 
NUM.11.20	bali kwa muda wa mwezi mzima! Mtaila hadi iwatoke puani, mpaka muikinai. Yote hayo ni kwa sababu mmemkataa Mwenyezi-Mungu aliye hapahapa miongoni mwenu, na kulia mbele yake mkisema, ‘Kwa nini tulitoka Misri?’”
NUM.11.21	Lakini Mose alimwambia Mwenyezi-Mungu, “Idadi ya watu ninaowaongoza hapa ni 600,000 waendao kwa miguu, nawe wasema, ‘Nitawapa nyama ya kuwatosha mwezi mzima!’ 
NUM.11.22	Je, panaweza kuchinjwa kondoo na ng'ombe wa kuwatosheleza? Je, samaki wote baharini wavuliwe kwa ajili yao?” 
NUM.11.23	Mwenyezi-Mungu akamjibu Mose, “Je, uwezo wangu umepungua? Utaona basi kama neno langu litakuwa la kweli kwako au la.”
NUM.11.24	Basi, Mose akaenda na kuwajulisha watu yale aliyosema Mwenyezi-Mungu. Kisha, akakusanya wazee sabini kutoka miongoni mwa wazee viongozi nao akawaweka kandokando kuizunguka hema. 
NUM.11.25	Hapo, Mwenyezi-Mungu akashuka katika wingu na kuzungumza naye. Halafu akatwaa sehemu ya roho aliyokuwa amempa Mose, akawapa kila mmoja wa wale wazee sabini. Walipoingiwa na roho hiyo, wazee hao walianza kutoa unabii, lakini hawakurudia kufanya hivyo.
NUM.11.26	Wazee wawili kati ya wale sabini waliochaguliwa, Eldadi na Medadi, walikuwa wamebaki kambini wenzao walipokwenda kwenye hema. Roho iliwajia humohumo kambini, wakaanza kutoa unabii mahali walipokuwa. 
NUM.11.27	Kijana mmoja alitoka mbio na kumwambia Mose, “Eldadi na Medadi wanatoa unabii kambini.” 
NUM.11.28	Hapo, Yoshua, mwana wa Nuni, ambaye alikuwa msaidizi wa Mose tangu ujana wake, akamwambia Mose, “Bwana wangu, wakataze!” 
NUM.11.29	Lakini Mose akamjibu, “Je, unaona wivu kwa ajili yangu? Laiti Mwenyezi-Mungu angewapa watu wake wote roho yake nao wakawa manabii!” 
NUM.11.30	Kisha Mose alirudi kambini pamoja na wale wazee sabini wa Israeli.
NUM.11.31	Baadaye Mwenyezi-Mungu akavumisha upepo kwa ghafla, ukaleta kware kutoka baharini na kuwafanya watue kando ya kambi, mwendo wa siku moja hivi kila upande kuizunguka kambi, wakarundikana chini karibu kimo cha mita moja hivi. 
NUM.11.32	Basi, siku hiyo yote, kutwa kucha, na siku iliyofuata watu walishughulika kukusanya kware; hakuna mtu aliyekusanya chini ya kilo 1,000. Wakawaanika kila mahali kandokando ya kambi ili wawakaushe. 
NUM.11.33	Kulipokuwa bado kuna nyama kwa wingi na kabla watu hawajawamaliza kuila, Mwenyezi-Mungu aliwakasirikia watu, akawapiga watu kwa pigo kubwa sana. 
NUM.11.34	Kwa hiyo mahali hapo palipewa jina Kibroth-hataava;
NUM.12.1	Kisha Miriamu na Aroni walianza kumsema vibaya Mose kwa sababu ya mwanamke Mkushi aliyekuwa amemwoa. 
NUM.12.2	Wakasema, “Hivi kwani Mwenyezi-Mungu amezungumza kwa kumwagiza Mose peke yake? Je, hajazungumza nasi pia?” Mwenyezi-Mungu aliyasikia maneno hayo. 
NUM.12.3	(Mose alikuwa mtu mnyenyekevu kuliko watu wengine wote waliokuwa duniani.) 
NUM.12.4	Halafu ghafla, Mwenyezi-Mungu akawaambia Mose, Aroni na Miriamu, “Njoni katika hema la mkutano, nyinyi watatu.” Basi, wote watatu wakaenda kwenye hema la mkutano. 
NUM.12.5	Hapo Mwenyezi-Mungu akashuka katika nguzo ya wingu, akasimama kwenye mlango wa hema, akawaita Aroni na Miriamu. Wote wawili wakasogea mbele. 
NUM.12.6	Kisha Mwenyezi-Mungu akawaambia, “Sikilizeni maneno yangu: Kama kuna nabii miongoni mwenu, mimi Mwenyezi-Mungu hujifahamisha kwake katika maono na kuongea naye katika ndoto. 
NUM.12.7	 Lakini kumhusu mtumishi wangu Mose, hali ni tofauti kabisa. Yeye ana jukumu la kuwatunza watu wangu wote. 
NUM.12.8	 Mimi huongea naye ana kwa ana, waziwazi na si kwa kutumia mafumbo. Yeye huliona umbo langu mimi Mwenyezi-Mungu. Kwa nini, basi, hamkuogopa kusema vibaya dhidi ya mtumishi wangu Mose?”
NUM.12.9	Hapo Mwenyezi-Mungu akawaka hasira dhidi yao, akaondoka, akaenda zake. 
NUM.12.10	Wingu lilipoondoka juu ya hema la mkutano, Miriamu alionekana ana ukoma, mweupe kama theluji. Aroni alipogeuka na kumtazama Miriamu, alishangaa kuona kuwa ameshikwa na ukoma. 
NUM.12.11	Hapo, Aroni akamwambia Mose, “Ewe bwana wangu, usituadhibu kwa kuwa tumetenda mambo ya kipumbavu na kufanya dhambi. 
NUM.12.12	Usimfanye Miriamu awe kama mtu aliyezaliwa mfu, ambaye karibu nusu ya mwili wake umelika.” 
NUM.12.13	Mose akamlilia Mwenyezi-Mungu akisema, “Nakusihi, ee Mungu, umponye.” 
NUM.12.14	 Lakini Mwenyezi-Mungu akamwambia Mose, “Kama baba yake angemtemea mate usoni, je, hangeaibika kwa siku saba? Basi, mtoe nje ya kambi akae huko muda wa siku saba, kisha unaweza kumruhusu arudi kambini.” 
NUM.12.15	Kwa hiyo, Miriamu akafukuzwa nje ya kambi kwa muda wa siku saba. Watu hawakuanza tena safari hadi Miriamu aliporudishwa tena kambini. 
NUM.12.16	Baada ya hayo, watu walifanya safari kutoka Haserothi, wakapiga kambi katika jangwa la Parani.
NUM.13.1	Mwenyezi-Mungu akamwambia Mose, 
NUM.13.2	“Tuma watu waende wakaipeleleze nchi ya Kanaani ambayo ninawapa wana wa Israeli. Utatuma mtu mmoja kutoka katika kila kabila, na mtu huyo lazima awe kiongozi katika kabila lake.”
NUM.13.3	Basi, kwa mujibu wa agizo la Mwenyezi-Mungu, Mose akatuma watu kutoka jangwa la Parani. Watu wote waliotumwa walikuwa viongozi wa makabila mbalimbali ya wana wa Israeli. 
NUM.13.4	Ifuatayo ndiyo orodha ya majina ya watu hao:
NUM.13.4	Kabila la Reubeni, Shamua mwana wa Zakuri.
NUM.13.5	Kabila la Simeoni, Shafati mwana wa Hori.
NUM.13.6	Kabila la Yuda, Kalebu mwana wa Yefune.
NUM.13.7	Kabila la Isakari, Igali mwana wa Yosefu.
NUM.13.8	Kabila la Efraimu, Hoshea mwana wa Nuni.
NUM.13.9	Kabila la Benyamini, Palti mwana wa Rafu.
NUM.13.10	Kabila la Zebuluni, Gadieli mwana wa Sodi.
NUM.13.11	Kabila la Yosefu (yaani kabila la Manase), Gadi mwana wa Susi.
NUM.13.12	Kabila la Dani, Amieli mwana wa Gemali.
NUM.13.13	Kabila la Asheri, Sethuri mwana wa Mikaeli.
NUM.13.14	Kabila la Naftali, Nabi mwana wa Wofsi.
NUM.13.15	Kabila la Gadi, Geueli mwana wa Maki.
NUM.13.16	Haya ndiyo majina ya watu ambao Mose aliwatuma kwenda kuipeleleza nchi ya Kanaani. Mose alimpa Hoshea mwana wa Nuni jina jipya, akamwita Yoshua.
NUM.13.17	Alipowatuma kwenda kuipeleleza nchi ya Kanaani, Mose aliwaambia: “Nendeni juu kule Negebu, hadi kwenye nchi ya milima, 
NUM.13.18	mkaipeleleze nchi ilivyo. Chunguzeni pia kama watu wanaoishi humo ni wenye nguvu au dhaifu, wengi au wachache. 
NUM.13.19	Pelelezeni kama nchi hiyo ni nzuri au mbaya, na kama miji wanamoishi ni kambi au ni nyumba zilizozungukwa na ngome. 
NUM.13.20	Chunguzeni pia kama nchi yenyewe ni tajiri au maskini, ina miti au haina. Muwe na mioyo ya ujasiri na mnaporudi chukueni baadhi ya matunda ya nchi hiyo.” Hayo yalikuwa majira ya zabibu zianzapo kuiva. 
NUM.13.21	Basi, watu hao wakaenda na kuipeleleza nchi toka jangwa la Sini hadi Rehobu, karibu na njia ya kuingilia Hamathi. 
NUM.13.22	Walikwenda hadi Negebu wakapita mpaka mji wa Hebroni. Humo waliwakuta Waahimani, Washeshai na Watalmai, wazawa wa Anaki. (Mji wa Hebroni ulikuwa umejengwa miaka saba kabla ya mji wa Soani ulioko nchini Misri). 
NUM.13.23	Walipofika katika Bonde la Eshkoli, watu hao walikata shada la mzabibu lililokuwa na matunda mengi nalo lilibebwa na watu wawili juu ya mti. Walichukua pia makomamanga kadhaa na tini. 
NUM.13.24	Mahali hapo paliitwa Bonde la Eshkoli
NUM.13.25	Baada ya kuipeleleza nchi kwa muda wa siku arubaini, watu hao walirudi. 
NUM.13.26	Waliwaendea Mose, Aroni na jumuiya ya Waisraeli huko Kadeshi, katika jangwa la Parani, wakatoa taarifa ya mambo waliyoyaona na kuwaonesha matunda ya nchi. 
NUM.13.27	Walimwambia Mose, “Tuliifikia nchi uliyotutuma tuipeleleze; hiyo ni nchi inayotiririka maziwa na asali, na hili ni tunda lake. 
NUM.13.28	Lakini wenyeji wake ni wenye nguvu sana, na miji yao ni imara na mikubwa sana. Zaidi ya hayo, huko tuliona wazawa wa Anaki. 
NUM.13.29	Waamaleki wanakaa katika eneo la Negebu; Wahiti, Wayebusi na Waamori wanakaa katika eneo la milima, na Wakanaani wanakaa karibu na bahari ya Mediteranea na karibu na kingo za mto Yordani.”
NUM.13.30	Lakini Kalebu aliwanyamazisha watu mbele ya Mose, akasema, “Twende mara moja tukaimiliki nchi hiyo. Kwa kuwa tunao uwezo sana wa kushinda.” 
NUM.13.31	Lakini watu walioandamana naye kuipeleleza nchi wakasema, “Hatutaweza kupigana na watu hao; wao wana nguvu kuliko sisi.” 
NUM.13.32	Kwa hiyo wakaeneza mambo ya uongo kati ya wana wa Israeli kuhusu nchi waliyoipeleleza, wakisema, “Nchi hiyo inawaua watu wake. Pia watu wote tuliowaona huko ni wakubwa sana. 
NUM.13.33	Tuliona majitu huko, wazawa wa Anaki. Sisi tulijiona kuwa kama panzi mbele yao, na ndivyo walivyotuona sisi.”
NUM.14.1	Jumuiya yote ya Waisraeli ikaangua kilio kikubwa, watu wakalia usiku ule. 
NUM.14.2	Waliwalalamikia Mose na Aroni wakisema, “Afadhali tungefia Misri! Afadhali tungefia papa hapa jangwani! 
NUM.14.3	Kwa nini Mwenyezi-Mungu anatupeleka katika nchi hiyo? Tutauawa vitani, na wake zetu na watoto wetu watachukuliwa mateka! Si afadhali turudi Misri?” 
NUM.14.4	Basi wakaanza kuambiana, “Na tuchague kiongozi, turudi Misri.”
NUM.14.5	Hapo, Mose na Aroni wakaanguka kifudifudi mbele ya jumuiya yote ya Waisraeli. 
NUM.14.6	Yoshua, mwana wa Nuni, na Kalebu, mwana wa Yefune, ambao walikuwa miongoni mwa wale watu waliokwenda kuipeleleza hiyo nchi, wakazirarua nguo zao 
NUM.14.7	na kuiambia jumuiya yote ya Waisraeli, “Nchi tuliyokwenda kuipeleleza ni nzuri kupita kiasi. 
NUM.14.8	Ikiwa Mwenyezi-Mungu amependezwa nasi, atatupeleka huko na kutupa nchi inayotiririka maziwa na asali. 
NUM.14.9	 Mradi tu msimwasi Mwenyezi-Mungu, wala msiwaogope wenyeji wa nchi hiyo. Maana wao ni mboga tu kwetu; kinga yao imekwisha ondolewa kwao, naye Mwenyezi-Mungu yu pamoja nasi; msiwaogope!” 
NUM.14.10	Lakini jumuiya yote ikatishia kuwapiga mawe. Ghafla, utukufu wa Mwenyezi-Mungu ukatokea juu ya hema la mkutano, mbele ya Waisraeli wote.
NUM.14.11	Kisha Mwenyezi-Mungu alimwambia Mose, “Watu hawa watanidharau mpaka lini? Na, mpaka lini wataendelea kutoniamini, hata pamoja na miujiza yote niliyotenda kati yao? 
NUM.14.12	Nitawapiga kwa maradhi mabaya na kuwatupilia mbali; lakini, kutokana nawe, nitaunda taifa lingine kubwa, lenye nguvu kuliko wao.”
NUM.14.14	watawapasha habari wakazi wa nchi hii. Maana watu hawa wamekwisha pata habari kwamba wewe, ee Mwenyezi-Mungu, u pamoja nasi; maana wewe, ee Mwenyezi-Mungu, unaonekana waziwazi wingu lako linaposimama juu yetu, na kwamba wewe hututangulia mchana kwa nguzo ya wingu na usiku kwa nguzo ya moto. 
NUM.14.15	Sasa basi, ukiwaua watu wako wote kwa mara moja, mataifa ambayo yamekwisha sikia sifa zako yatasema, 
NUM.14.16	‘Mwenyezi-Mungu aliwaua watu wake jangwani kwa sababu alishindwa kuwapeleka katika nchi aliyoahidi kuwapa.’ 
NUM.14.17	Basi, sasa nakusihi, ee Mwenyezi-Mungu, utuoneshe uwezo wako kwa kufanya kama ulivyotuahidi uliposema, 
NUM.14.18	 ‘Mimi Mwenyezi-Mungu si mwepesi wa hasira, ni mwenye fadhili nyingi, na ni mwenye kusamehe uovu na makosa. Lakini kwa vyovyote vile sitakosa kuwaadhibu watoto na wajukuu hadi kizazi cha tatu na cha nne kwa dhambi za wazazi wao.’ 
NUM.14.19	Nakusihi uwasamehe watu hawa dhambi zao, kadiri ya fadhili zako nyingi kama vile ulivyowasamehe tangu watoke Misri hadi sasa.”
NUM.14.20	Mwenyezi-Mungu akajibu, “Nimewasamehe kama ulivyoomba. 
NUM.14.21	 Lakini kwa kweli, kama niishivyo na kadiri dunia itakavyojaa utukufu wangu, 
NUM.14.22	hakuna hata mmoja wao ambaye amewahi kuuona utukufu wangu na miujiza yangu niliyoifanya Misri na jangwani kisha akazidi kunijaribu mara hizi zote bila ya kutii sauti yangu, 
NUM.14.23	ataiona nchi ile niliyoapa kuwapatia babu zao; kadhalika hata wale wanaonidharau pia hawataiona. 
NUM.14.24	 Bali kwa sababu mtumishi wangu Kalebu ni tofauti, na amenitii kikamilifu, nitamfikisha kwenye nchi hiyo aliyoingia na wazawa wake wataimiliki. 
NUM.14.25	Kwa kuwa Waamaleki na Wakanaani wanakaa katika mabonde ya nchi hiyo, kesho geukeni nyuma mwende jangwani kuelekea bahari ya Shamu.”
NUM.14.26	Kisha Mwenyezi-Mungu akamwuliza Mose na Aroni, 
NUM.14.27	“Kundi hili la watu waovu litaendelea kuninungunikia mpaka lini? Nimechoka na haya manunguniko ya Waisraeli juu yangu! 
NUM.14.28	Sasa wajibu hivi: Kama niishivyo, nasema mimi Mwenyezi-Mungu, nitawatendeeni yaleyale niliyosikia mkiyasema: 
NUM.14.29	 Mtakufa na miili yenu itatupwa humuhumu jangwani, kwa sababu mmenungunika dhidi yangu, hakuna hata mmoja wenu mwenye umri wa kuanzia miaka ishirini na zaidi, 
NUM.14.30	atakayeingia katika nchi hiyo ambayo niliapa kuwapa iwe yenu, isipokuwa Kalebu mwana wa Yefune, na Yoshua mwana wa Nuni. 
