MAT.1.1	Hembu omukanda womana owoiheombwale ya
MAT.26.14	Iya umo owomomulongo navavali nguu tiwa oJudas Iskariot, wa ya k
MAT.26.15	ha tyaa: “Mamu mpa tji, andaa mbe mu pa 
MAT.26.16	Iya okudha mpoka Judas Iskariot wa li ama taendha okaluvedhe koku mu yandja.
MAT.26.17	Etango lyolutenga lyotjipito tj
MAT.26.18	Ye we ve heela ha tyaa: “Enden̯i k
MAT.26.19	Iya ovalongwa va ninga ngahi va heelwa kuJesus, va longekedha Opaasa.
MAT.26.20	Iya okawiiwii hika wile pohi, Jesus wa kala pohi, hava li novalongwa ve omulongo navavali. 
MAT.26.21	Iya tainkolo va li amava li, we ve heela ha tyaa: “Ame me mu heele otjatjili okutya umo mun̯e ma ka mbweleleka.”
MAT.26.22	Wo va etetha onkenda unene, hava utu oku mu pula koumo naumo hava tyaa: “
MAT.26.23	Jesus we ve yaka ha tyaa: “Umo ngumatu himi naye mombiyona, oye ma ka mbweleleka.
MAT.26.24	Iinga, 
MAT.26.25	Judas ngwee ke mu weleleka, we mu pula ha tyaa: “
MAT.26.25	Jesus we mu yaka ha tyaa: “Oove, ngahi wa popi.”
MAT.26.26	Hiva li amava li, 
MAT.26.27	Wa itha po otjinwino, ha kumbu, he ve pa tjo, ha tyaa: “Nwen̯i mo amuhe. 
MAT.26.28	Hehi ombindhi yandje, 
MAT.26.29	Me mu heele okutya híme ka nwa uke ovinyu katee etango ndyoka hime ka nwa ovipe motjilongo tjaTate pamo nan̯e.”
MAT.26.30	Iya hiva dhi pokwiimba eimbilo, va ya k
MAT.26.31	Iya 
MAT.26.32	Iya amba imunwa kout̯e, me ke mu tenga koGalilea.”
MAT.26.33	Petrus wa yaka Jesus ha tyaa: “Nandaku tiwa avehe ve ke ku yetha, ame híme ke ku yetha nokanunu.”
MAT.26.34	Jesus we mu heela ha tyaa: “Me ku heele otjatjili, otjit̯iku tjandino tainkolo onkondombolo háiya popya, ove mo lintendele tutatu.”
MAT.26.35	Petrus we mu yaka ha tyaa: “Nandaku tiwa mba ka t̯a pamo naove, híme ke litendela ove.” Ovalongwa ovakwawo avehe nawo otjo va yaka.
MAT.26.36	Iya 
MAT.26.37	Wa itha po Petrus noomunkwaSebedeus vavali. Wa uta okweetetha onkenda, he ihamenwa. 
MAT.26.38	Iya we ve heela ha tyaa: “Omwenyo wandje wa pongo katee ket̯o. Kalen̯i hempa, pathumuken̯i pamo naame.”
MAT.26.39	Wa hweena uke komeho kanunu, ha wile pohi ompupama, ha kumbu, ha tyaa: “Taa, andaa matji tjiiwa otjinwino
MAT.26.40	Iya Jesus hiaa tjuna kovalongwa ve, we ve vadha ava lala. Wa pula Petrus ha tyaa: “Iya mwa anyenwa okupathumuka owola imo vala pamo naame? 
MAT.26.41	Pathumuken̯i, mu kumbe, hámu pwile momatyoletho. Ombepo yomuntu mai hala, iya olutu olunkundi.”
MAT.26.42	Iya Jesus wa tjuna ko uke otjikando otjityavali, wa kumba ha tyaa: “Taa, andaa kaatji tjiiwa otjinwino hehi tji mpon̯oke, ahame tji nu, ehalo lyoye ngali hwithilwe po.” 
MAT.26.43	Iya hiaa tjuna uke, we ve vadha uke ava lala, mena lyokutya va li nolupot̯i momeho.
MAT.26.44	Iya we ve thiaa po uke otjikando otjityatatu, ha ka kumba. Iya otjipuka soka otjo a popya uke. 
MAT.26.45	Iya wa tjuna uke kovalongwa, ha tyaa: “Mu na tjo, mwa lala tuu, mamu thuva? Taa tuutuu, owola ye thiki, 
MAT.26.46	Kulamen̯i, tu enden̯i. Taa tuutuu, nguma mbweleleke u li popedhi.”
MAT.26.47	Iya taa tuutuu, 
MAT.26.48	Omuweleleki wa vadhwa ae ve n̯anga onyala, ha tyaa: “Ngume hupita, oye e li ye, mu kambulen̯i.”
MAT.26.49	Judas wa ya kuJesus dhivadhiva, ha tyaa: “
MAT.26.50	Iya Jesus we mu yaka ha tyaa: “Ove, ninga hiwa endele.”
MAT.26.50	Tjau, mbenya have mu yumbu omawoko, have mu kambula. 
MAT.26.51	Iya umo owomumboka mbava li naJesus, wa pweya mo omukonda we, ha tono nawo omupika womuyambethi omunene, he mu kopola okutwi. 
MAT.26.52	Jesus we mu heela ha tyaa: “Tjun̯a mo omukonda woye motjilalo. Iya avehe mbamava dhipaa nomukonda, mava ka t̯a komukonda. 
MAT.26.53	Ne mo soko okutya ame híme ulu okwiithana Tate, a ntumine ovaengeli mbava pon̯a 
MAT.26.54	Iya 
MAT.26.55	Iya powola ndjoka Jesus wa heela engundwa lyovantu ha tyaa: “Mwe ya nomaonga nodhonkunye ngambamamu kambula otjimpulu? Omatango aehe ndji kala m
MAT.26.56	Iya hehi atjihe matji ningwa okutya omisonekwa vy
MAT.26.57	Mboka mbava kambula 
MAT.26.58	Petrus we mu landula, ae li kon̯ima kokule, we ya katee monganda yomuyambethi omunene. Wa hita monganda, ha kala pohi povayungi wonganda, a mone atjaa himatji ningwa. 
MAT.26.59	Ovayambethi ovanene n
MAT.26.60	atjaa kave u mwene, nandaku tiwa pa li odhombangi odhingi dhovithithi. Iya kon̯ima pe ke ya odhombangi mbali dhovithithi, 
MAT.26.61	hadhi tyaa: “Omuntu hengu wa tile: ‘Ame me ulu okuhan̯auna po 
MAT.26.62	Iya omuyambethi omunene wa kulama, ha pula Jesus ha tyaa: “Koo yaka ovantu mbaka mbamave ku popi?” 
MAT.26.63	Iya Jesus wa nyima vala. Omuyambethi omunene we mu heela ha tyaa: “Me ku anetha Kalunga omunamwenyo. Tu heela andaa oove 
MAT.26.64	Jesus we mu yaka ha tyaa: “Iinga, otjo ngahi wa popi. Iya ame me mu heele ame tyaa: ‘Okudha ndino mamu ka mona 
MAT.26.65	Iya omuyambethi omunene wa taula omidhalo vye, ha tyaa: “Wa penye Kalunga. Twa hepa uke odhombangi dhatji? Taa tuutuu, napano epenyo lye mwe li tee.
MAT.26.66	Mamu tya vi?”
MAT.26.66	Iya ve mu yaka hava tyaa: “U na onkali yokut̯a.”
MAT.26.67	Iya ve mu tjakela omate motjipala, have mu tono nodhongonyo. Vamo ve mu tona nomapi,
MAT.26.68	hava tyaa: “Messias, thimbila u tu heele okutya aan̯i ngwee ku tono.”
MAT.26.69	Napano Petrus wa li aa kala pohi pontanga yonganda. Puye pe ya omukadhona umo, ha tyaa: “Naove wa li pamo na
MAT.26.70	Iya we litendela movipathi vyovantu avehe, ha tyaa: “Ame himo popi, hí tji i.” 
MAT.26.71	Iya hiaa li ama piti mo, aa vyuuka kotjivelo, omukadhona umo we mu mona, ha heele ovantu mbava li mpoka ha tyaa: “Omuntu hengu wa li pamo naJesus Omunasareta.”
MAT.26.72	Petrus wa ana, he litendele uke, ha tyaa: “Omulumentu hengu hí mu i.”
MAT.26.73	Kon̯ima yokaluvedhe mbava li ava kulama mpoka, ve ya kuPetrus hava tyaa: “Naove wo oove umo owomuwo, mena lyokutya nelaka lyoye lye ku hololola.”
MAT.26.74	Iya wa uta okulithinga, ha ana ha tyaa: “Omulumentu hengu, hí mu i.”
MAT.26.74	Iya dhivadhiva onkondombolo ya popya. 
MAT.26.75	Iya Petrus wa thipaluka odhondaka dhaJesus ndhaa popya ha tyaa: “Onkondombolo tainkolo háiya popya, ove mo lintendele tutatu.” Iya wa pita pondje ama lili unene.
MAT.27.1	Iya omuhuka omunene hikwa tji, 
MAT.27.2	Ve mu kuta, have mu itha po, have mu yandja ku
MAT.27.3	Iya Judas, omuweleleki wa 
MAT.27.4	ha tyaa: “Ame mba lundha, himba weleleke ombindhi ndjihai na tja ombedhi.”
MAT.27.4	Mbenya ve mu yaka hava tyaa: “Tu na tji naove? Lipopila omwene!”
MAT.27.5	Judas wa yekelahi odhombongo dhotjisilveri m
MAT.27.6	Ovayambethi ovanene va nyanga po odhombongo dhotjisilveri, hava tyaa: “Ndhika kaadhi ulu okutuwa modhombongo dhotempeli, mena lyokutya othuto yombindhi.” 
MAT.27.7	Iya va tompola, have dhi landa otjana tjomume wodhombiya, tji ninge oluvedhe lwokupaka odhongendi. 
MAT.27.8	Iya otjana soka tee kundino hendi tji tiwa otjana tjombindhi.
MAT.27.9	Iya tja hwithilwa po soka hitja popiwa k
MAT.27.10	Iya ve dhi yandja kotjana tjomume wodhombiya, 
MAT.27.11	Jesus we mu yaka ha tyaa: “Iinga, otjo ngahi wa popi.” 
MAT.27.12	Iya hiaa li ama pewa onkali k
MAT.27.14	Iya Jesus ke mu yakele nokanunu, iya tja kumitha unene omutumini.
MAT.27.15	Pomatango otjipito tj
MAT.27.16	Iya va li nonkwatwa imo ndjaa li ai iwe nawa ndjii tiwa oBarabas. 
MAT.27.17	Iya hiva ongana, 
MAT.27.18	Iya Pilatus wa li ae tji i okutya ovantu Jesus ve mu yandja kuye mena lyonki.
MAT.27.19	Iya tainkolo Pilatus a li kotjipunditumino, omukadhe we mu tumina elaka ha tyaa: “Omulumentu hengu omuvyuuki. Hó mu ningile ouvi, mena lyokutya otjit̯iku tjandino mba loto ondjodhi ombi ouhunga naye.”
MAT.27.20	Iya 
MAT.27.21	Pilatus we ve pula ha tyaa: “Oun̯i po puhemba vavali ngumamu hala ndji mu kutululile?”
MAT.27.21	Ve mu yaka hava tyaa: “OBarabas!”
MAT.27.22	Pilatus we ve pula ha tyaa: “Iya hengu Jesus nguu tiwa oMessias, nge mu ninge vi?”
MAT.27.22	Avehe va yaka hava tyaa: “Mu papela k
MAT.27.23	Iya Pilatus we ve pula ha tyaa: “Omena lyatji, ouvi mbwaa ningi owatji?”
MAT.27.23	Iya wo va wololoka vala otjo mava tyaa: “Mu papela komutjaakano!”
MAT.27.24	Pilatus hiaa mono okutya ke na hima ulu, otjuuyila tja ningi otjinene, wa itha omeva, he likoho komawoko movipathi vyowingi wovantu, ha tyaa: “Ame hí na tja ombedhi yombindhi yomulumentu hengu, hehi otjipuka tjen̯i.”
MAT.27.25	Iya ovantu avehe va yaka hava tyaa: “Ombindhi ye ngai ye kombanda yetu nokombanda yodhondele dhetu!” 
MAT.27.26	Iya we ve kutululila Barabas, atjaa ha tonetha Jesus nodhosokoti, he mu yandja, a ka papelwe komutjaakano.
MAT.27.27	Ovakwavita womutumini va twala 
MAT.27.28	Ve mu dhula omidhalo vye, have mu dhaleke omudhalo omunene omuthilantu. 
MAT.27.29	Va manga ohala yomakuya, have mu dhaleke yo komutwe. Ve mu pa otjingenge mokuwoko kwe kwokokulyo, have mu twikile odhongolo, have mu penye, hava tyaa: “Lyepeko, ohamba yOvajuda!” 
MAT.27.30	Ve mu tjakela omate, hava itha otjingenge, otjo va kala amave mu tono natjo momutwe. 
MAT.27.31	Hiva dhi poku mu penya, ve mu dhula omudhalo omunene, have mu dhaleke omidhalo vye. Iya ve mu twala, a ka papelwe k
MAT.27.32	Hiva li amava piti mo, va mona omulumentu Omukireni nguu tiwa oSimon. Ve mu tumin̯in̯a e mu tjindile ko 
MAT.27.33	Iya hive ya koluvedhe nduu tiwa oGolgata, matji tya kOkalundu kOtjoolotwe, 
MAT.27.34	 ve mu pa a nwe ovinyu mbyaa lumbwalumbwa mumo nonyango, hiee vi lolo, ahama hala oku vi nwa.
MAT.27.35	Hive mu papele komutjaakano, ve liyandjela omidhalo vye, amava undapetha otjiholowoletho.
MAT.27.36	Wo va kala pohi hoka, have mu yungu. 
MAT.27.37	Va twaa kombanda yomutwe we esoneko lyonkali ndjaa sonekwa hinyahi: “Hengu oJesus, Ohamba yOvajuda.” 
MAT.27.38	Iya odhomputji mbali dha papelwa komutjaakano pamo naye, imo okokulyo nonkwawo okokumbinda kwe.
MAT.27.39	Mbava li amava ende po, va penya Jesus, otjo mava pukapuka komitwe.
MAT.27.40	Va popya hava tyaa: “Atjaa oove mo han̯auna 
MAT.27.42	“Nahi oye a hupitha ovantu, napano wa anyenwa okulihupitha. Oye e li ohamba yaIsrael, nga dhe ko napano komutjaakano, nt̯e tu mu itavele. 
MAT.27.43	Ye we liun̯ika muKalunga, iya Kalunga napano nge mu hupithe, andaa u mu hole, mena lyokutya ye omwene wa tile: ‘Aame MunwaKalunga.’ ”
MAT.27.44	Iya nodhomputji ndhaa papelwa pamo naye nadho wo dhe mu penya.
MAT.27.45	Iya owola omulongo nambali yokomutenya kwe ya et̯iku motjilongo atjihe, lyo hali kala ko katee owola ontyatatu yokomutenya. 
MAT.27.46	Mondatu yokomutenya 
MAT.27.47	Iya vamo owomumboka mbava li ava kulama mpoka, hive tji tee, va popya hava tyaa: “Ma ithana Elia.” 
MAT.27.48	Umo owomuwo wa dhamuka dhivadhiva, ha itha po otjitjawo, he tji tjava movinyu mbyaa lula, he tji nwitha Jesus.
MAT.27.49	Iya ovakwawo ve mu heele hava tyaa: “Mu yetha, tu tale, andaa Elia me ya oku mu hupitha.”
MAT.27.50	Iya Jesus wa popya uke nondaka yopeulu, tjau ha t̯i.
MAT.27.51	Iya taa tuutuu, otjitopa hitji yuvikila m
MAT.27.52	nodhombila dha patuluka, omalutu ovadhilikwa ovengi mbava t̯a, a imunwa kout̯e. 
MAT.27.53	Wo va dha mo modhombila, Jesus hiaa imuka kout̯e, have ya k
MAT.27.54	Omunene wovakwavita namboka mbava li amava yungu pamo naye, hiva mono eteketo lyohi novipuka avihe mbyaa ningwa po, va li ava tila unene, hava tyaa: “Omuntu hengu otjatjili wa li OmunwaKalunga.”
MAT.27.55	Iya kompuka hoka kwa li ovakadhintu ovengi mbava dhile koGalilea, mbava landulile Jesus, ve mu popile. Va li amava talele kokule.
MAT.27.56	Muwo mwa li Maria Magdalena naMaria, ina yaJakob naJosef, naina yoomunkwaSebedeus.
MAT.27.57	Iya okawiiwii hika wile pohi, pe ya omulumentu omuhona Omwaarimatia nguu tiwa oJosef, ngoka wo ngwaa li omulongwa wa
MAT.27.58	We ya ku
MAT.27.59	Josef wa itha otjivimbi, he tji dhingile motjitopa tj
MAT.27.60	We mu paka mombila ye ompe, ndjaa hokolele mewe. Iya wa alangatethela po ewe enene potjivelo tjombila, tjau ha dhi po. 
MAT.27.61	Iya hoka kwa li Maria Magdalena naMaria omukwawo, va li ava kala pohi, ava pilukile kombila.
MAT.27.62	Iya ngamuhuka etango ndyaa landula etango lyokulilongekedha, 
MAT.27.63	hava tyaa: “Taa, twa thipaluka, omupukithi ngunya tainkolo aa li nomwenyo, wa tile: ‘Andaa pa piti omatango atatu, me ka imunwa kout̯e.’
MAT.27.64	Iya popya okutya ombila ngai yungwe katee etango etyatatu, ovalongwa ve opo háve ya oku mu vaka mo, va heele ovantu, va tyee: ‘
MAT.27.65	Pilatus we ve heela ha tyaa: “Ovayungi hoowomba, iya enden̯i, n̯e mu ka yunge nawa ngahi mu tji i.”
MAT.27.66	Iya wo va ya, hava yedhile po ewe, hava twaa ko otjihako, nopombila hava twaa po ovayungi.
MAT.28.1	Iya kon̯ima y
MAT.28.2	Iya taa tuutuu, pa ningwa eteketo enene lyohi, mena lyokutya omweengeli wa
MAT.28.3	Olupe lwe lwa li amalu ngala olukeno lwombula, nomidhalo vye vya li avya pembana twee, havi ngala odhompawe. 
MAT.28.4	Iya ovayungi va li amave mu tila, va teketa, hava ngala mbava t̯i.
MAT.28.5	Omweengeli wa popitha ovakadhintu ha tyaa: “Hámu tila, mena lyokutya ndji tji i okutya mamu taendha 
MAT.28.6	Ke mo hemu, mena lyokutya wa imunwa kout̯e, ngahi a popile. Indjen̯i mu tale pompuka mpaa li aa lala po. 
MAT.28.7	Iya enden̯i, kanyauken̯i ka heelen̯i ovalongwa ve okutya Jesus wa imunwa kout̯e. Iya taa tuutuu, ma ka tenga okuya koGalilea, oko mamu ke mu mona. Taa tuutuu, ame mbe mu heele tjo.”
MAT.28.8	Iya pombila va dha po amava kanyauka, va li nowoma nehuluko enene, hava ka heela ovalongwa ve.
MAT.28.9	Iya Jesus wa wanena nawo ha tyaa: “Okamenen̯i!” Va hweena kuye, have mu kambula kodhompadhi, have liyongamene kuye. 
MAT.28.10	Jesus we ve heela ha tyaa: “Hámu tila, enden̯i mu ka heele ovakwetu, va ende koGalilea, hoka oko mava ka mbona.”
MAT.28.11	Tainkolo ovakadhintu va li mondjila yawo oku ka heela ovalongwa, ovayungi vamo ve ya k
MAT.28.12	Iya wo va ongana pamo novanene, va tompola, hava papa ovakwavita nodhombongo odhingi, 
MAT.28.13	hava tyaa: “Tyen̯i, ovalongwa ve ve ya out̯iku, have mu vaka mo, tainkolo twa lala. 
MAT.28.14	Iya andaa tja teeka komutumini, nt̯e matu ke mu hekela, nan̯e matu ke mu itha moudheu.”
MAT.28.15	Iya va tambula odhombongo, hava ningi ngahi va longwa. Otjipuka hehi tji hipululwa mokati kOvajuda, katee ndino hendi.
MAT.28.16	Iya napano ovalongwa omulongo naumo va ya koGalilea kondundu ndjoka 
MAT.28.17	Iya hive mu mono, ve liyongamena kuye, vamo va li ava limbililwa. 
MAT.28.18	Jesus we ya kuwo, he ve heele ha tyaa: “Ame mba pewa etumino alihe meulu nokombanda yohi. 
MAT.28.19	Iya enden̯i ka ningen̯i ovantu avehe ovalongwa vandje, mu ve tjatjele mena lyaIhe nolyOmuna nolyOmbepo Ondhilikwa,
MAT.28.20	n̯e mu ve longe okutakametha ovipuka avihe mbimbe mu longa. Iya taa tuutuu, ame ndji li pamo nan̯e omatango aehe katee pehulilo lyouye.”
MRK.1.1	Ondaka ombwa, ndjimai popi ouhunga na
MRK.1.2	Iya ngahi tja sonekwa membo ly
MRK.1.2	“Taa tuutuu, ame me tumu ontumwa yandje, nguma tenge,
MRK.1.2	ye ngoka ngume ke ku longekedhela ondjila,
MRK.1.2	tainkolo ove hóye ya.
MRK.1.3	Ondaka yomuwololoki mokuti mai tyaa:
MRK.1.3	‘Undapelen̯i 
MRK.1.3	mu vyuukililithilen̯i ovilila!’ ”
MRK.1.4	Johannes we ya mokuti, ha teetha okutya ovantu ngave liteyulule, wo va tjatjwe, opo odhonkali dhawo dhi ithwe po. 
MRK.1.5	Ovajudea avehe novantu avehe womoJerusalem va ya kuJohannes, wo hava tjatjwa kuye momulonga waJordan, hiva hipulula odhonkali dhawo.
MRK.1.6	Johannes wa dhalele omudhalo mbwaa undapwa nomaenya 
MRK.1.7	Naye wa teethela ovantu ha tyaa: “Ngoka ngume ya kon̯ima yandje omunene kwaame. Ame híme tji ulu nangahi tji li okukutulula omivya vyodhongaku dhe. 
MRK.1.8	Ame me mu tjatja nomeva, iya ye me mu tjatja nOmbepo Ondhilikwa.”
MRK.1.9	Pomatango ngenya 
MRK.1.10	Dhivadhiva Jesus hiaa dhi momeva, wa mona eulu ndyee liyapuka, nOmbepo yaKalunga amai lauka ngonguti, hai mu wilile. 
MRK.1.11	Meulu mwa dha ondaka hai tyaa: “Oove Omunwandje omuhivilikwa, ngumba hopa.”
MRK.1.12	Okudha mpoka Ombepo yaKalunga ye mu twala mokuti. 
MRK.1.13	Wa kala mokuti omatango omilongo vine, wa lolwa kuSatana, ye wa kala mokati kovithitu, iya ovaengeli ve mu popila.
MRK.1.14	Kon̯ima Johannes hiaa yedhililwa mokaliwoso, 
MRK.1.15	ha tyaa: “Otembu ye thiki, 
MRK.1.16	Jesus hiaa li ama lamba kontyo yelunga lyaGalilea, wa mona Simon nomunitje Andreas, amava yumbu omawaanda awo melunga, mena lyokutya va li ovahwee wodhohi. 
MRK.1.17	Jesus we ve heela ha tyaa: “Ndandula ndjen̯i, ame me mu ningi ovahwee wovantu.” 
MRK.1.18	Dhivadhiva va thiaa po omawaanda, have mu landula.
MRK.1.19	Hiaa hweene uke kanunu komeho, wa mona Jakob nomunitje Johannes, oomunkwaSebedeus. Wo va li mowato amava pampa omawaanda awo. 
MRK.1.20	Dhivadhiva Jesus we ve ithana, hava thii po ihe Sebedeus mowato pamo novaundapeleli, hava i pamo naye.
MRK.1.22	Ovantu ve kuminwa elongo lye, mena lyokutya we ve longa nganguu na odhonkono, hatjo ng
MRK.1.23	Mosinagoga moka mwa li omulumentu ngwaa li nombepo ombi, wa wololoka 
MRK.1.24	ha tyaa: “Jesus Omunasareta, mo tu halele tji? We ya oku tu han̯auna? Ndji ku i, oove Omudhilikwa waKalunga.”
MRK.1.25	Jesus wa anda ombepo ha tyaa: “Tutuvala, pita mo muye.”
MRK.1.26	Ombepo ombi ye mu pukutidha nodhonkono, hai ulu, yo hai dhi mo muye. 
MRK.1.27	Ovantu avehe ve kumwa unene, hava i mokulipula hava tyaa: “Otjitji hi? Elongo epe ndii na odhonkono? U heela odhombepo odhombi, dho hadhi mu itavele.”
MRK.1.28	Etumbuko lyaJesus lya handjana dhivadhiva n
MRK.1.29	Dhivadhiva 
MRK.1.30	Inaivi yaSimon wa li momala, ama vele elema. Wo have mu dhimbula kuJesus. 
MRK.1.31	Jesus we ya kuye, he mu yaka mokuwoko, he mu kaleke pohi. Elema hali dhi mo, he ve twiile po ovikulya.
MRK.1.32	Iya etango hilya hiti, okawiiwii hika wile pohi, ovantu va eta ovavedhi avehe nambava li n
MRK.1.33	Ovantu avehe wop
MRK.1.34	Jesus wa velulile ovavedhi ovengi mbava li nomitjithi mbii lili nambii lili, ha ta mo odhondemoni odhingi. Iya odhondemoni ke dhi yethele dhi popye, mena lyokutya dha li adhi mu i okutya ye aan̯i.
MRK.1.35	Omuhuka omunene, tainkolo ombimba háiya veta, 
MRK.1.36	Simon novantu mboka mbava li pamo naye va taendha Jesus. 
MRK.1.37	Hive mu mono, hava tyaa: “Ovantu avehe mave ku taendha.”
MRK.1.38	Jesus we ve yaka ha tyaa: “Tu enden̯i moulongo wopoulaanganda, opo ndji ka teethele mo wo, mena lyokutya hehi otjo mba endela.”
MRK.1.39	Iya Jesus wa endaenda moGalilea atjihe, ha teethele m
MRK.1.40	Omulumentu w
MRK.1.41	Jesus we mu t̯ila onkenda, ha yele okuwoko kwe, he mu t̯in̯i, ha tyaa: “Ame me hala, veluka.” 
MRK.1.42	Dhivadhiva ouvela wotjilundu we mu yetha, ha veluka. 
MRK.1.43	Jesus we mu ilikin̯a nodhonkono, he mu lekele dhiva, 
MRK.1.44	ye ha tyaa: “Taa tuutuu, otjipuka hehi hó tji heele omuntu noumo. Iya enda, u ke liyulikithe k
MRK.1.45	Omulumentu wotjilundu hiaa i pondje, ha utu okuhipulula otjipuka hehi apehe. Okutya Jesus ka ulile uke okweenda poluhandja motjilongo, wa ya kodhontyo huhaku na tja ovantu. Nandaku tiwa otjo nyahoka ovantu kodhombinga nodhombinga ve ya kuye.
MRK.2.1	Kon̯ima yomatango amo 
MRK.2.2	Ovantu ovengi va onganene, katee pomuvelo wondjuwo ahamapa kala uke olukalo. Tainkolo Jesus wa li ame ve teethele odhondaka dhaKalunga, 
MRK.2.3	pe ya ovalumentu vane mbava tjindi omulumentu nguu na 
MRK.2.4	Iya mena lyowingi wovantu va anyenenwe oku mu thikitha puJesus, hava uthula ontovi kombanda yondjuwo, hai vyuukilile pompuka mpoka mpapa li Jesus, hapo va thothononena otjiyalo moka mumwa li omuvedhi wotjinteya.
MRK.2.5	Jesus hiaa mono eitavelo lyawo, wa heela omuvedhi wotjinteya ha tyaa: “Ndele yandje, odhonkali dhoye dha ithwa po.”
MRK.2.7	“Ma popi vi nyahi? Ma penye Kalunga! Aan̯i nguma ulu okwiitha po odhonkali, haKalunga vala aika?”
MRK.2.8	Jesus wa iwa dhiva soka hiva li amave lipula momitima vyawo, we ve pula ha tyaa: “Omena lyatji mamu lipula ovipuka hembi momitima vyen̯i? 
MRK.2.9	Hitja puvala otjin̯i, okuheela omuvedhi wotjinteya okutya: ‘Odhonkali dhoye dha ithwa po,’ ne oku mu heela okutya: ‘Kulama, itha po otjiyalo tjoye, enda’? 
MRK.2.10	Iya opo mu kale amu tji i okutya 
MRK.2.11	“Ame me ku heele okutya kulama, itha po otjiyalo tjoye, enda konganda.”
MRK.2.12	Omuvedhi wotjinteya wa kulama, ha itha po otjiyalo tje, ha i pondje movipathi vyawo avehe. Ovantu avehe ve kumwa, hava hivilike Kalunga hava tyaa: “Otjipuka hitji li nyahi, nkee twa dhile katuye tji mona.”
MRK.2.14	Iya hiaa hweene komeho, wa mona Levi yaAlfeus, aa kala pohi pombonge yokuthendelela elilimo. Jesus we mu heela ha tyaa: “Ndandula ndje!” Levi wa kulama, he mu landula.
MRK.2.15	Jesus tainkolo a li monganda yaLevi, ama li, ovathendelethi ovengi novalundhi va lile pamo naye novalongwa ve, mena lyokutya owingi wawo va li ovalanduli vaJesus. 
MRK.2.16	 mboka mbava li 
MRK.2.17	Jesus hiee tji tee, we ve heela ha tyaa: “Mbave li nawa kava hepa otjimbanda, iya ovavedhi owo vala aveika mava hepa otjimbanda. Ame hí dhile okwiithana ovavyuuki, iya mbe ya okwiithana ovalundhi.”
MRK.2.18	Ovalongwa vaJohannes n
MRK.2.19	Jesus we ve yaka ha tyaa: “Ngundhe ovakongwa womukupi kaava ulu 
MRK.2.20	Iya katango omukupi mave ke mu nyekwa, opo mave ke litjaela ovikulya.
MRK.2.21	“Kape na tja omuntu nguma pampa omudhalo omukulu nelimendu epe ndihaliya kohwa, andaa me tji ningi, elimendu epe mali uthula omudhalo, nontovi mai ningi onene okupon̯a onkulu. 
MRK.2.22	Iya kape na tja omuntu nguma dhili ovinyu ovipe modhosaku dhotjipa odhonkulu. Iya andaa me tji ningi, ovinyu mavi uthula odhosaku. Ovinyu ovipe vi dhilwa modhosaku odhompe.”
MRK.2.23	M
MRK.2.24	 va heela Jesus hava tyaa: “Taa tuutuu, omena lyatji ovalongwa woye mava ningi soka hitja tjaelwa okuningwa mEsabati?”
MRK.2.25	Jesus we ve yaka ha tyaa: “Kamu tangele nan̯i soka David hiaa ningile, hiaa li aa t̯i ondjala, ye hé na hima li, omwene novantu ve?
MRK.2.26	Potjikando soka Abiatar hiaa li 
MRK.2.27	Jesus ha tyaa: “Esabati lya twiilwa po omuntu, hamuntu a twiilwa po Esabati. 
MRK.2.28	Iya 
MRK.3.1	Iya 
MRK.3.2	Ovantu mboka mbava li mo, va li amave mu talele, andaa me mu velula m
MRK.3.3	Jesus wa heela omulumentu ngwaa lemana okuwoko ha tyaa: “Kulama komeho yovantu.” 
MRK.3.4	We ve pula ha tyaa: “Otjitji hitja itavelwa okuningwa metango lyEsabati, okuundapa ouwa ne okuundapa ouvi, okuhupitha omwenyo ne okudhipaa?”
MRK.3.4	Wo va nyima vala. 
MRK.3.5	Jesus we ve tala nomadhinge, ye he ve etethele mo onkenda, mena lyokutya omitima vyawo vya li omikukutu. Wa heela omulumentu hengu ha tyaa: “Onyonona okuwoko kwoye.” Ye we ku onyonona, haku lemanuka. 
MRK.3.6	 va pita mo mosinagoga, hava utu dhivadhiva okutompola novantu mboka mbava li ava ama ku
MRK.3.8	nowomoJerusalem, nowomoIdumea natjikoohehinya tjaJordan nowomovilongo vyaTiro naSidon ve ya kuJesus, mena lyokutya va tyaa ovipuka mbyaa undapa. 
MRK.3.9	Jesus wa heela ovalongwa ve, ve mu longekedhele owato popedhi, mena lyokutya pa li ovantu ovengi, opo have mu thin̯a.
MRK.3.10	Jesus wa velula ovantu ovengi, mboka mbava li nomauvela awo va hweena otjo mave liyundulile kuye, opo ve mu t̯in̯e. 
MRK.3.11	Odhombepo odhombi hidhe mu mono, dhe lit̯imika po kotjipala tje, dho hadhi popile peulu hadhi tyaa: “Oove OmunwaKalunga!”
MRK.3.12	Jesus wa anda nodhonkono odhombepo odhombi, opo hadhi mu hololola.
MRK.3.14	Ye wa holowola omulongo navavali, va kale puye, he ve luku 
MRK.3.15	wo va kale nodhonkono dhokuta mo 
MRK.3.16	Mboka omulongo navavali mbaa holowola, hoowomba: OSimon, ngoka Jesus ngwaa luka Petrus, 
