MAT.1.1	Liáni áabai lista nashínaa náa'a Jesucristo wérrinaimica, rey David cúuleemi ya Abrahám.
MAT.14.31	Liyáalimi'e Jesús wína licáaji nácui, limá'ee lirrú:
MAT.14.31	—¡Jiyá jócai máacai jiwówau nunácu sáica! ¿Tánda jócu jéebida nuyá wásedeerri jiyá?
MAT.14.32	Náirra'inaamiwai lancha rícula, machúnucunaa liá'a cáulica. 
MAT.14.33	Néenee liyáali, náa'a yáainai lancha rícu, jáiwa natúyau náurrui juátamiyu Jesús náneewa, namá'ee lirrú:
MAT.14.33	—¡Yáawaiyi jiyá Dios Cúulee!
MAT.14.34	Nachuáu bajiála manuá, jáiwa náiinuque'e lishínaa cáinabi ítala liá'a Genesaret. 
MAT.14.35	Náa'a chóniwenai néeni sánaca nacúnusia nacába liá'a Jesúsca, lichuáni licáarraliau quinínama liá'a cáinabica. Natée Jesúsru náa'a bálinenaicoo, 
MAT.14.36	ya namésuda'ee liwówa namá'ee lirrú jínda nadúnu líibala númacua nácu cadánia; ya quinínama náa'a dúnuenaicani, sáicani máacacoo.
MAT.15.1	Narrúniu Jesúsru áabibi fariséobini ya áabibi quéewidacani ley shínaa, íinuenai Jerusalén néenee, ya nasáta néemiu liyá:
MAT.15.2	—¿Tánda jishínaa éewidenaicoo jócu néewida nawítee náa'a wawérrinaimica? ¿Ya tánda jócu nacúmplia nawítee nabádeda nacáajiu quéecha jóctanaa náaya, chaléjta nawánau'i naméda náa'a wawérrinaibimica?
MAT.15.3	Jesús má'ee nalí:
MAT.15.3	—Iyá jócani arrúnaa yáasacalaca náa'a éewidenaicoo nuájcha, níwata iyá iméda máashii mawí, ne iyá jócani méda Dios chuáni wánacaala, imédaque'e chaléja limáyu'u liá'a iwíteeca. 
MAT.15.4	Jiníwata Dios má'ee: ‘Cawáunta jiyá jitúya jisálijinau ya jitúwa,’ ya ‘liá'a máashii núma lisálijinaa nácu, ya litúwa nácu lécchoo, arrúnai'inaa náiinuaca.’ 
MAT.15.5	Ne iyá máinai yáawaa báqueerri washiálicuerri éewerri limá lisálijinaarru jócta litúwarru: ‘Jócu nuéewa nuyúda jiyá, jiníwata liá'a nuwáaliani quinínama nuáni'inaa Diosru’; 
MAT.15.6	ya tánashia máirri liáni, jócai éewa liyúda lisálijinau jócta litúwa. Chacábacanaa iyá jócani éewida Dios chuáni, quéewique'e iméda léjta iwítee wówau'ca. 
MAT.15.7	¡Iyá chámaini iwítee! Sáicai litáania liá'a Isaíasca íiwadedeerrimi Dios chuáni báinacu, limá'inaami inácu iyá:
MAT.15.8	‘Náani chóniwenaica éebidenai nanúmayu cháji'i,
MAT.15.8	ne nawówa déecuchai yáa núcha.
MAT.15.9	Jiní wéni báawita naméda culto nulí;
MAT.15.9	ne éewida nuchuáni nácu,
MAT.15.9	ya éewida liá'a napénsanica namáta náa'a nawánacaalactaca,
MAT.15.9	ne liyáwoo washiálicuenai chuáni bácai.’
MAT.15.10	Jáiwa Jesús máida náa'a chóniwenaica, limá'ee:
MAT.15.10	—Éemini ya yáa léenaa: 
MAT.15.11	Liá'a wárruerricoo washiálicuerri núma lícueji, jócai wána casácula liwówa. Ta léja liá'a jiérricoo washiálicuerri núma lícueji, wáneerri casácula liwówa.
MAT.15.12	Néenee náa'a lishínaa éewidenaicoo liá'a Jesúsca narrúniu lirrú, jáiwa nasáta néemiu liyá:
MAT.15.12	—¿Jiá léenaa íiwirri nawówa náa'a fariséoca néemi'inaa liáni jimánica?
MAT.15.13	Jesús éeba'ee limá'ee nalí liyú liáni licábacanaaca:
MAT.15.13	—Nusálijinaa liá'a yáairri áacairra, liúcaminaa bináawala quinínama náa'a éewidenai méenaami yáairri báawachala yáawaiyi yúcha, chaléjta liá'a cáabanacaica léerrua liúca quinínama lijíchu yáajchau náa'a banácali jócani liáabana. 
MAT.15.14	Imáacani, matuíyii liérra chái tée áabi matuíyii. Ne báqueerri matuíyii técta báqueerri matuíyii, chámatanaa nacáacoo útawi rícula.
MAT.15.15	Néenee Pé'eru ma Jesúsru:
MAT.15.15	—Jichúni jíiwadeda walí liá'a jimánica.
MAT.15.16	Jesús éeba'ee:
MAT.15.16	—Nuyá máashii wówa níwata iyá jócu yáa léenaa liá'a nuéewidanica. 
MAT.15.17	Iyá arrúnaa yáa léenaa liá'a quinínama wárruerricoo wanúma lícu, yáairriu wáayacua rícula, qéewique'e liáwinaami lijiáu wáiibicha. 
MAT.15.18	Ne lijiérricoo linúma lícueji, jiérriu liwówa lícueji liá'a washiálicuerrica, léwa liérra chái wána casácula liyá. 
MAT.15.19	Níwata liwówa liá'a washiálicuerrica najiáu náa'a máashii liwíteeca, liá'a náiinua'inaaca, namáa washiálicuerri yáajcha jócai náanirri, ya íinetoo rumáa washiálicuerri yáajcha jócai rúnirri; camédacani máashii náiinaayu, náa'a nédishica, nanúma yúwica, ya liá'a nacáitauca. 
MAT.15.20	Léewa liéni wáneerri casácula liá'a washiálicuerrica; ne náayacta ya jócu nacúmplia nabádeda nacáajiu, jócai wána casácula liyá.
MAT.15.21	Jesús yáau chéni Genesaret néenee liáque'iu cáinabi Tiro ya Sidón néerra. 
MAT.15.22	Báquetoo íinetoo Caná néenee sáu, yéechoo líta'aa liá'a cáinabica jí'ineerri Tiro, ruíinu Jesúsru rumáidadaca:
MAT.15.22	—¡Nuwácali, David táqueerrimi, carrúni jináata jicába nuyá! ¡Numíyacaula wáalechoo áabai espíritu máashii méderri rulí máashii!
MAT.15.23	Jesús jócai éeba ruchuáni. Néenee lishínaa éewidenaicoo rúniu lirrú, nasáta'ee liúcha:
MAT.15.23	—Jíiwa rulíni ruáque'iu wáucha ruá'a íinetooca bájialaca rumáidadaca wáishiirricu.
MAT.15.24	Jesús má'ee:
MAT.15.24	—Dios bánuerri nuyá nalí náa'a bácai náa'a chóniwenai yéenai Israel néeni, léjta oveja yúquenaicta wáni.
MAT.15.25	Ne ruá'a íinetoo ruáu rutúyacoo rúrrui juátamiyu Jesúsru, rumá lirrú'e:
MAT.15.25	—¡Nuwácali, jiyúda nuyá!
MAT.15.26	Jesús éeba'ee ruchuáni:
MAT.15.26	—Jócai sáicanata wéda náayanibi náa'a wéenibicoo wáaque'e nalí náa'a áulica.
MAT.15.27	Ruyá rumá'ee:
MAT.15.27	—Yáawaiyi, nuwácali; ne náa'a áulica íyenai liá'a lítabi cáirricoo nawácanai shínaa mesa yáajabala.
MAT.15.28	Néenee Jesús ma rulí:
MAT.15.28	—¡Íinetoo, máanui wérri liá'a jéebidauca! Liméda jirrú léjta jiwówauca.
MAT.15.28	Liyáalimi rumíyacaula ruá'a íinetooca sáica jíni.
MAT.15.29	Jesús jiáu néeni, jáiwa líinu á'a litácoowa liá'a lishínaa manuá liá'a Galileaca; néenee líirrau áabai dúuli ítala, jáiwa liwáawai. 
MAT.15.30	Íchaba chóniwenai yáawacau Jesúsru. Natée lirrú macáwani, matuíni, ya máacarrani cáaji, jócai éewa natáaniaca, ya áabibi wáalenai íchaba bálinacaalashi, náindani Jesús yáctalaca, jáiwa lichúni nayái. 
MAT.15.31	Tánda náa'a chóniwenaica cáarrudeneu, nacába natáaniacala náa'a jócanimi éewa natáaniaca, ya náa'a máacarrani cáaji, namáacau sáica lécchu, náa'a macáwanimica éewenai najínacoo, ya náa'a matuínica néewa nacábaca. Jáiwa nachána náa lirrú sáicai liá'a Dios chóniwenai Israel shínaaca.
MAT.15.32	Jesús máida lishínaa éewidenaicoorru, limá'ee nalí:
MAT.15.32	—Carrúni jináata nucába náani chóniwenaica, jiníwata nawáalia matáli éerri nayá nuájcha áani, jinícala nalí náayani'inaa. Jócu nuwówai nubánua nayá máayaca náabana néerrau, carrúnataca májina nayá iníjbaa lícu.
MAT.15.33	Lishínaa éewidenaicoo namá'ee lirrú:
MAT.15.33	—Ne ¿chíta quéewau wáiinu íyacashi áji'ani náaya náa'a chóniwenai íchabanica, líta'aa liáni júshiquitaca jinícta yáairri?
MAT.15.34	Jesús sáta léemiu nayá:
MAT.15.34	—¿Chíta máanaba páani iwáalia jíni?
MAT.15.34	—Siete páani ya píitui rími cubái júbinini, —néeba'ee nayá.
MAT.15.35	Néenee Jesús wána nawáacoo cáinabi rícu náa'a chóniwenaica, 
MAT.15.36	jáiwa liwína jíni náa'a siete páanica ya náa'a cubái rími, jáiwa liá sáicai Diosrui, lipúrraida, jáiwa liá lishínaa éewidenaicoorru jíni, néenee nashírrida jíni nalí náa'a chóniwenaica. 
MAT.15.37	Quinínama náaya cáawaina wérri, néenee náawaqueda néenamiu liá'a máaquerricoo siete canasta liyú liá'a litábimi máaquerricoo. 
MAT.15.38	Náa'a íyenaica cuatro mil namáanabaca washiálicuenaica, jócani najútada náa'a íinaca ya sáamanai. 
MAT.15.39	Néenee Jesús íiwa lináawau nalí náa'a chóniwenaica, jáiwa líirrawai lancha rícula, jáiwa liáwai chaléeni áabai cáinabi jí'ineerri Magadán.
MAT.16.1	Náa'a fariséobini ya náa'a saduceobini náau nacába Jesús néerra, nawówa namédaque'e lirrú áabai trampa, namá lirrú limédaque'e áabai señal jócai nacába cáji, néenedaque'i nacábawani yáawaicta íinuerri Dios néenee jíni, ne nanúma yúwicawajani. 
MAT.16.2	Ne Jesús éeba'ee nalí: “Táicala imá iyájoo: ‘Sáitai'inaa liá'a éerrica, jiníwata liá'a éerrica chunídai wérri'inaa’; 
MAT.16.3	manúlacaiba namá'ee: ‘Wáalee máashii'inaa éerri, jiníwata liá'a éerrica quíirrai ya casáculai’. Ne yácta léenaa icába liá'a éerri cábacanaa, ¿chíta quéewau'u jócu éewa yáa léenaa liá'a Dios médanica? 
MAT.16.4	Iyá chóniwenai máashiini jócani éebida yáawaiyiyu, nasáta áabai señal jócai nacába cáji; ne jócuminaa nuá irrú áabai señal mawiá léjta Jonás.” Jáiwa limáaca nayái, liáwai.
MAT.16.5	Quéecha'inaami nabésunacoo bajiála manuá, náa'a éewidenaicoo namíya máecha natée páani. 
MAT.16.6	Néenee Jesús ma nalí:
MAT.16.6	—Icábate, cáwi icába yúchau levadura fariséobini shínaaca ya saduceobinica.
MAT.16.7	Náa'a éewidenaicoo Jesús yáajcha jócu náa léenaa néemicani limánica, táda cha namá nayá jájiu:
MAT.16.7	—¡Jócuwa'ee waínda páanii!
MAT.16.8	Jesús yáa léenaa nanácu, limá'ee nalí:
MAT.16.8	—¿Táda imá jiníca irrú páani? ¡Píitui rími éebidaca yáawaa! 
MAT.16.9	Nuyá máashii wówa níwata iyá újnibi jócai yáa léenaa éemicani nuyá éewerri numéda jócai icába cáji, jiní éedanicoo linácu liá'a cinco páani nushírridani nalí náa'a cinco mil washiálicuenaica. ¿Ya chíta máanaba canasta yáawaqueda jíni? 
MAT.16.10	¿Jiní édacanicalau lécchoo linácu liá'a siete páani, nushírridani nalí náa'a cuatro mil, ya chíta máanaba canasta yáawaqueda jíni? 
MAT.16.11	¿Chíta jócu yáa léenaa éemiqui jíni jóca nutáania nuyá páani nácu? Cáwi icá'a yúchau náa'a jócani éewida yáawaiyi fariséobini shínaaca ya saduceobini shínaaca.
MAT.16.12	Néenee náa léenaa néemiqui jíni, Jesús jócai ma liyáca itúyaque'iu liúcha liá'a wáneerri páani múrracacoo, jócta quéewique'e cáwi nacá'a náuchau liá'a éewidacaishi nashínaa náa'a fariséobinica ya náa'a saduceobinica.
MAT.16.13	Quéecha'inaami Jesús íinucai lítala liá'a cáinabi jí'ineerri Cesarea Filipo shínaaca, lisáta léemiu lishínaa éewidenaicoo:
MAT.16.13	—¿Tána namá nunácu chái náa'a chóniwenai nuyá Washiálicuerri Dios Cúuleeca?
MAT.16.14	Néeba'ee lichuáni:
MAT.16.14	—Áabi máinei jiyácala'ee Juan Bautista cáwerriwai; áabi máinei jiyácala'ee Elías cáwerriwai, ya áabi máinei jiyácala'ee Jeremías cáwerriwai o áabimi cáiiwadedacanimi Dios chuáni báinacu cáweneu.
MAT.16.15	—Ya iyá, ¿tánashia imá nuyái? —Lisáta léemiu nayá.
MAT.16.16	Simón Pé'eru éeba'ee:
MAT.16.16	—Jiyá waliérra, Mesíasca, liá'a Dios Cúulee cáwiica mamáarraca éerri'inaa.
MAT.16.17	Néenee Jesús ma lirrú:
MAT.16.17	—Sáicta wérri jiwówa, Simón Jonás cúulee, jiníwata jiní báqueerri washiálicuerri íiyaderri jirrú liáni, liyárrimija liá'a nusálijinaa yáairri áacairra. 
MAT.16.18	Ne nuyá ma jirrú jiyácala Pé'eru, linácueji liáni jinísani jimáca, jicá'a áabai íiba nubárruedaque'e nushínaa iglésiau, jiníminaa máanalicai shínaa danáanshi éenaaca limárdaca nushínaa iglesia. 
MAT.16.19	Nuáminaa jirrú wánacaalashi áacai sái jicá'a áabai yáawi; liá'a jibájini líta cáinabi liáni, ne cháminaa limáacacoo libáji áacairrajoo, ne liá'a jiyá liwásedanica líta cáinabi liáni, cháminaa limáacacoo liwásedacoo áacairra.
MAT.16.20	Jáiwa Jesús bánua lishínaa éewidenaicoorru jócubeecha náiiwadeda matuínaamirru liyácala liá'a Mesíasca.
MAT.16.21	Liáwinaami liáni Jesús chánau líiwadeda lishínaa éewidenaicoorru, arrúnaaca'ee liácoo Jerusalénra, ya chaléeni náa'a salínai, sacerdótebini wácanai, ya qéewidacani ley shínaabinica, nawánaminaa carrúni jináata bájialanaa. Limá nalí nuyá náiinuaminaajoni, ne nucáwiaujoo matáli éerri rícula. 
MAT.16.22	Néenee Pé'eru tée liyá báawachalani, jáiwa lichánau licáita Jesús, limá lirrú:
MAT.16.22	—¡Dios jócu wówai, nuwácali! ¡Liéni jócai éewa libésunacoo jiájcha!
MAT.16.23	Jáiwa Jesús náawawai, limá Pé'erurru:
MAT.16.23	—¡Jishírriu núcha, níwata jiyá pénserri ya jitáania jiyáca chaléjta limédau'u liá'a Wawásimica, linácu jiliéni jimánica carrúnata jiwánata jócu néewida nusálijinaarru! Jiyá jócai cábau léjta Dios cábau'u, jiyá cáberri léjta nacábau náa'a washiálicuenaica.
MAT.16.24	Jáiwa, Jesús ma lishínaa éewidenaicoorru:
MAT.16.24	—Tánashia wówerri nushínaa éewiderricoo, limíya máecha liyá jájiu, yéerri liyá báitanacu lirrú liá'a carrúnataica ya cáashia máanalictalacani léewaque'e líinu nuíshiirricu, chaléjta litécta áabai cruz. 
MAT.16.25	Jiníwata liá'a wówerri liwáseda licáwicau jócai amáarra, yúquerri'inau; ne liá'a yúquerri licáwicau jócai amáarra nunácueji, líinuminaa cáwicaishi jócai amáarra. 
MAT.16.26	¿Tána liwéni lirrúi liá'a washiálicuerrica ligáanacta quinínama cáinabi, ya liúca licáwicau jócai amáarra jóca limédau chaléjta éewidenaicoo nuájcha? ¿O chíta máanaba léenaa lipáida liá'a washiálicuerri licáwica jócai amáarra nácuejiu? Jiní wérri léewa liwárruacoo áacairra báawita lipáidaca. 
MAT.16.27	Tándawa, yáau nuíshiirricu báawita libésunacoo liá'a bésuneerri'inaacoo, jiníwata nuyá Washiálicuerri Dios Cúuleeca, nuíinuminaa nusálijinaa wítee yáajchau ya nushínaa ángelbinica, ya néenee nupáidaminaa bácainaa tánashia namédanii. 
MAT.16.28	Ne yáawaiyi numá irrú, áabi yáainai áani jócuminaa máanali nayá, cáashia nacába nuyá Washiálicuerri Dios Cúulee nuíinu nuwánacaalaca.
MAT.17.1	Seis éerri liáwinaami, Jesús tée liájchau Pé'eru, Santiago ya Juan Santiago éenajirrica, ya liáu náajcha báawachala áabai dúuli áacai wérri ítala. 
MAT.17.2	Néeni libáwachau nanáneewa licábacanau liá'a Jesúsca. Lináni quéneerri jicá'a cáiwia, ya líibala náawerriu cabálaiyu jicá'a jucámarrabee. 
MAT.17.3	Liyáali nacába Moisés ya Elías táanianai nayá Jesús yáajcha. 
MAT.17.4	Pé'eru má'ee Jesúsru:
MAT.17.4	—Nuwácali, ¡sáicai wérri wayá áani! Jiwówaicta, waméda'a matálii cuíta rími; áabai jirrú sái'inaa, áabai Moisésru, ya áabai Elíasru.
MAT.17.5	Nácula Pé'eru táania liyáca, áabai sáanai quirrámini lirríjcueda nayá catámuabeeyu, líibee sáanaica áabai chuánshi jiáu, máirri nalí: “Léewa nucúulee caníinai nucábaca, liérra nuwínanica, éemiu lirrú.”
MAT.17.6	Néemi'inaamini liáni, náa'a éewidenaicoo natúyau náurrui juátamiyu, náa nanániu cáinabi nácula, cáarru wérri nayá. 
MAT.17.7	Jáiwa Jesús rúniu nalí, lidúnu nanácu limá'ee nalí:
MAT.17.7	—Ibárroo, ucáarru iyá.
MAT.17.8	Quéecha'inaami nacábacani, jiní néeni Moisés ya Elías, Jesús bácai yáa néeni.
MAT.17.9	Nácula náurrucoo dúuli ítacha, Jesús ma nalí:
MAT.17.9	—Jiníqui béecha náiiwadeda rúni liá'a nacábanica, cáashia nuyá Washiálicuerri Dios Cúuleeca cáwiacoo máanalini íibicha.
MAT.17.10	Néenee náa'a éewidenaicoo nasáta'ee néemiu Jesús:
MAT.17.10	—¿Tánda namá náa'a quéewidacani ley shínaaca Elías íinucala'ee libéechalawau liá'a Mesíasca?
MAT.17.11	Jesús éeba'ee:
MAT.17.11	—Yáawaiyi báqueerri léjta Elías íinuca quéechanacu, ne liyáminaajoo lipréparaminaa nawówa nayá quinínamajoo. 
MAT.17.12	Ne nuyá ma irrú Elías jái nísa líinucai, ne nayá jócu nacúnusia nacábaque'e jíni, ne naméda liájcha máashii quinínama liá'a nawówaini naméda lirrú. Chacábacanaa nuyá Washiálicuerri Dios Cúuleeca, nusúfria nacáaji rícujoo.
MAT.17.13	Néenee lishínaa éewidenaicoo yáa léenaa néemica, Jesús táaniaca liyá Juan Bautista nácucha, litáania'inaa liyáca jicá'a Elías.
MAT.17.14	Náiinu'inaami Jesús ya matálitai éewidenaicoo liájcha néerra báaniu chóniwenai yáctala ya náa'a áabi éewidenaicoo liájcha, báqueerri washiálicuerri rúniu Jesúsru, túyerriu lináneewa limá lirrú:
MAT.17.15	—Nuwácali, carrúni jináata jicába nucúulee, súfrierri bájiala liwáaliaca espíritu máashii, wánacaleerri liyá, jiníwata íchabachu licáacoo chichái rícula, jócta shiátai yáacula lécchoo. 
MAT.17.16	Áani nuínda nalíni náa'a jishínaa éewidenaicoo, ne jócai néenaa nachúnica.
MAT.17.17	Jáiwa Jesús éeba jíni:
MAT.17.17	—¡Wóo, iyá chóniwenai jócani éebida, ya máashiicani! ¿Chacálita arrúnaa nuyá yáajcha jíni? ¿Chacálita arrúnaa nuwánta yáajcha jíni? Índa nulí áani liérra icúlirrijuica.
MAT.17.18	Néenee Jesús licáita jíni liá'a espíritu máashii ya jáiwa liwána lijiácuwai icúlirrijui yúcha, jáiwa limáacau sáicai liyáalimi.
MAT.17.19	Liáwinaami náa'a lishínaa éewidenaicoo linácu natáania liájcha báawacha Jesús, jáiwa nasáta néemiu jíni:
MAT.17.19	—¿Tánda jócu wéenaa wajéda liá'a espíritu máashii wayá?
MAT.17.20	Néenee Jesús ma nalí:
MAT.17.20	—Iyá jócani éenaa ijéda bináawalani liá'a espíritu máashii, níwata jócala éebida Dios dánaniyu éewa imédacani. Yáawaiyii numá irrú, iwáaliactata liá'a éebidauca, áawita píitui rími léjta áabai ítashi íimi rími jí'ineerri mostaza, néenee éewa imá lirrú liáni dúulica: ‘Jishírroo chérra, ya jiáu báawachala’, ya dúuli lishírroominau. Yácta léenaa éebidaca, éewa iméda quinínama. [ 
MAT.17.21	Ne liérra licábacanaa espíritu máashiica, jócai najiáu jócta na'óraa Dios ya nayúnaca.]
MAT.17.22	Nácula lijínaniu náajcha líta'aa liá'a cáinabi Galilea shínaaca, Jesús má'ee nalí:
MAT.17.22	—Nuyá Washiálicuerri Dios Cúuleeca, néejuedani'inaa nacáaji rícu'inaa nalí náa'a washiálicuenai, 
MAT.17.23	ya náiinuaminaa nuyájoo; ne matálii éerri ricúla nucáwiaujoo.
MAT.17.23	Néemi'inaami liá'a chuánshi limáni nalí, máashii wérri nawówai.
MAT.17.24	Quéecha'inaami Jesús ya lishínaa éewidenaicoo íinu Capernaúmra, náa'a cóbrenai impuesto templorru, náuu nacába Pé'eru, jáiwa nasáta néemiu liyá:
MAT.17.24	—¿Ishínaa quéewidacai lipáida impuesto templorru?
MAT.17.25	Pé'eru éeba'ee:
MAT.17.25	—Jajá, lipáidani. Jáiwa, Pé'eru wárroo'inaamiu cuíta lícula, Jesús táania'ee lirrú quéechanacu, limá'ee lirrú:
MAT.17.25	—¿Chíta jimáqui jíni, Simón? ¿Tána yúcha nacobra impuesto ya náawaqueda yúcha náa'a reyebini cáinabi íta'aa sánaca: Náa'a chúnsana ásana áani o náweji náa'a bájirra cáinabi ítee sánaca?
MAT.17.26	Pé'eru éeba'ee lirrú:
MAT.17.26	—Náa'a bájirra cáinabi ítee sánaca.
MAT.17.26	Jesús má'ee mawí:
MAT.17.26	—Cháwajani náa'a chúnsana ásana áani, jócani rúnaa páidaca. 
MAT.17.27	Ne, jiníqui béecha wáucani chuáni, jiá namówai jitésuca manuála, jiúca jicúlupaniu úniacula, ya jijéda quéechanacu sái cubái wíneerri jirrú. Linúma lícu liá'a cubáica jíinuminaajoo áabai moneda, liyáminaa éenaa lipáida impuesto nushínaaca ya jishínaa, jitéeyuni jiáu jipáidaca.
MAT.18.1	Liyáalimi éerri náa'a éewidenaicoo rúniu Jesúsru, nasáta'ee néemiwani:
MAT.18.1	—¿Tána mawí cawéni wérri cái Dios médacta jiyá reyyu?
MAT.18.2	Néenee Jesús máida báqueerri samálita, libárrueda nalí béewamini, 
MAT.18.3	ya limá'ee:
MAT.18.3	—Yáawaiyi numá irrú, jóctaca ináawida iwíteu ya éejoo jicá'a liéni samálitaca, jócuminaa éewa iwárruacoo Dios wánacaalactalaca. 
MAT.18.4	Liá'a mawí cawéni wérri Dios wánacaalactalaca, liyáwa arrúnaa imíyai limédacoo, ya limédactau jicá'a liéni samálitaca níwata náa'a sáamanaica jócani pénsaa nayáca cawénini náiibi náa'a máanui namánica. 
MAT.18.5	Ya liá'a ríshibierri nují'inaa nácu báqueerri samálita léjta liéni, lirríshibiaminaa nuyá lécchoo.
MAT.18.6	“Matuínaami tánashia wáneerri nacáacoo jíconaashi rícula, bácai náani júbini éebidenai nunácu, mawíminata cawéni lirrú náajuedactatani dujíwala wérri manuá yáacula, áabai íibayu máanui wérri molino shínaa, nabájini liwáa nácu. 
MAT.18.7	¡Tándawa máashii wérri náani chóniwenai yáainai cáinabi íta'aa íchabacala máida naméda najíconau! Chái'inaa mamáarraca, ne ¡carrúni jináatai rími liá'a washiálicuerri wáneerri naméda najíconau áabica, súfrierri'inaa mawí bájialanaa castíguca!
MAT.18.8	“Lítala mawí, jicáajicta o jíiba wána jicáacoo jíconaashi rícula, ujiméda máashii, jicá'a liá'a jiwíchuani ya jiúca jiúchau déecuchalani, mawí sáicaca jiwárrocoo áacairra macáaji o máiba, ne jócubeecha jiáu chámainaa jicáaji ya jíiba, jiácoo chichái rícula jócai amáarra. 
MAT.18.9	Jituícta wána jicáacoo jíconaashi rícula, ujiméda máashii, jicá'a jijéda jiúchau ya jiúca déecuchalani, mawí sáicaca jiwárruacoo cáwicashi rícula, bátui jituí yáajchau, ne jócubeecha jiáu chámai jituí yáajchau infierno rícula.
MAT.18.10	“Jiní icháanini náani júbini
MAT.18.11	Jiníwata nuyá Washiálicuerri Dios Cúuleeca, íinuerri nuwásedaca náa'a yúquenaimicoo nayáca.]
MAT.18.12	“¿Chíta icábaqui jiníni? Báqueerricta washiálicuerri wáaliacta cien oveja, ya áabai yúquerriu liúcha, ¿jócuminaata limáaca náa'a noventa nueve awáca íibi, liáque'iu limúrru ruá'a áabai oveja jiáchocoo liúcha? 
MAT.18.13	Ne léenactata líinu runácu, ne yáawaiyi sáictai wérricta liwówa runácue ruárra ovejaca, náucha náa'a noventa nueveca jócani yúcau. 
MAT.18.14	Cháwa cábacanaa lécchoo liá'a Isálijinaaca yáairri áacairra, jócai wówai náucacoo liúcha naáani júbinini rímica.
MAT.18.15	“Ne jéenajirri médacta jirrú máashii, jitáania liájcha bácai, ya jiwána liá léenaa lijíconau. Ne limédacta jiwánacaala, jái jigáana liá'a jéenajirricoo. 
MAT.18.16	Ne jócta liméda jiwánacaala, jimáida jiájchau báqueerri o chámata chóniwenai mawí, quéewique'e quinínama náa lijíconaa, limáaque'iu chámata o matálitai chóniwenai náneewa náa'a yáainai léenaa linácu. 
MAT.18.17	Ne jócta liméda nawánacaala lécchoo, íiwa nalíni náa'a iglesia ísanaca éebidenai Dios chuáni; ne jócta liméda iglesia wánacaala, néeneeminaa imáacani léjta jócai éebida Dios nácu,
MAT.18.18	“Yáawaiyi numá irrú, liá'a ibájini mayéji áani cáinabi íteeji, lécchoo chalé'inaa ya áacairra, ne quinínama liá'a iwásedani mayéji áani cáinabi íteeji, cháminaa cábacanaa liwásacoo áacairra.
MAT.18.19	“Liéni numá irrú: Ne chámata iyá, áabeenacta iwówa cáinabi íta'aa, quéewique'e isáta máayabaca oraciónyu, nusálijinaa yáairri áacairra, liáminaa irrúni. 
MAT.18.20	Níwata chámata o matálitai yáawacactacoo nují'inaa nácu, néeniminaa nuyá béewami nalí, néemique'e nalí ya nusátaque'e Dios nanácu.
MAT.18.21	Néenee Pé'eru yáau lisáta léemiu Jesús:
MAT.18.21	—Nuwácali, ¿chíta máanabachu arrúnaa nupérdonaa nuéenajirriu méderricta nulí máashii mamáarracani? ¿Sietechu limáanabaca?
MAT.18.22	Néenee Jesús éeba'ee:
MAT.18.22	—Jócai numá jirrú siétechucalani, numá jirrú setentachu
MAT.18.23	Numéda irrú áabai licábacanaa quéewique'e yáa léenaa tánda iyá arrúnaa ipérdonaa liá'a méderri máashii irrú. “Liá'a Dios wánacaalactalaca, chái cábacanaa léjta báqueerri rey wówerri liméda cuenta lishínaa tráawajadorbini yáajchau. 
MAT.18.24	Wáali'inaate liméda liyáca, quéecha'inaami náayada lirrú báqueerri mówinierri máanui wérri millones. 
MAT.18.25	Ne liá'a catráawajaacai quiníyu léenaa lipáidaca, jáiwa liá'a reyca liwána nawénda liyái léjta esclavo, chámatanaa líinu yáajcha, ya léenibi, ya quinínama liá'a liwáalianica, quéewique'e limáacacoo páiderriu limówiniacalau.
MAT.18.26	“Liá'a catráawajaacaica, jáiwa litúyawai liúrrui juátamiyu lináneewa liá'a reyca, ya lisáta liúcha cáiwinaa, limá'ee: ‘Nuwácali, carrúni jináata jicába nuyá, mátaminaa nupáida jirrú quinínamani.’ 
MAT.18.27	Néenee liá'a reyca, jáiwa carrúni jináata licábaqui jíni, jáiwa lipérdonaa liúcha quinínama liá'a limówinianica, jócu liwána liácuwai cuíta manúmai rículai.
MAT.18.28	“Ne quéecha'inaami lijiácoo, liá'a mówinierrimica, jáiwa lijúnta báqueerri lijúnicai yáajcha, limówinierri lirrú píitui rími warrúwa. Jáiwa liwína liwáa nácui, lichána lisácumedacani, ta limá lirrúi: ‘¡Jipáida nuyá liá'a jimówinianica!’ 
MAT.18.29	Ne liá'a lijúnicaica, litúyau liúrrui juátamiyu lináneewa, limá'ee lirrú cáiwinaa: ‘Carrúni jináata jicába nuyá, mátaminaa nupáida jirrú quinínamajoni.’ 
MAT.18.30	Ne liá'a lijúnicaica jócu liwówai lipérdonaa liúcha jíni, jáiwa liwána naníquiqui jíni cuíta manúmai rícula, cáashia lipáida limówiniacalau lirrú. 
MAT.18.31	Jáiwa cáiwi liyá nalí náa'a áabi tráawajadorbinica rey shínaa, náau náiiwa reyrru quinínama liá'a bésuneerricoo. 
MAT.18.32	Néenee rey wána namáida liyái, jáiwa limá lirrúi: ‘¡Máashiicai jiyá! Nupérdonaa jiúcha quinínama liá'a jimówinianimica, jiníwata jisátawa núchani cáiwinaa. 
