MAT.1.1	Ḿfa nâ ane ndə́p-i-njû Jisos Krayis nnyo eyábhé-mmon í Debhit. Debhit a ri eyábhé-mmon Abraham.
MRK.8.13	Nji a chorê áno, a mághe ábho áfo a jî gyê okpi, á yáŋe njəm aya.
MRK.8.14	Atóbhá Jisos á gyíni á ká kən édî é tí, é ká chiŋi nsûm i brêt yə́t nnyi a ri ka okpi. 
MRK.8.15	Nji á kí bhughi á jak, Jisos a tʉ̂ ábho obhô ka otûŋ se, “Kó ên ebhú na yîs nnyi Erot na ane echəme Farasi á kágha ka brêt ábho.”
MRK.8.16	Nji a chorê nchot nnyí, atóbhá abhê á róghe echoróm kəma-kəma sê, “Kən nâ ka é ka kə́n édî é tí nâ ńjə́ne á chorá nná eé?”
MRK.8.17	Kən Jisos a mə́ŋe nji á chóra, a bhə̂p ábho se, “Nchot édî a dʉ nan mfá? Nâ-ngá o nyə́ne ó ka jáé ên a? Ó nəma ên jen kpá títí? 
MRK.8.18	Ó fon ên amə̂t echî okum mma mbá ó bhó yen ên tîk? Ó kak ên atûŋ ebhák mma ó bhó yuk ên mbá a? Ó gyini ên tîk
MRK.8.19	ofú mbi n kóe nsûm i brêt érôn n kíri n káre ane ntem-esam ntə̂m-ntə̂m ófó na ébháe na ejûm (5,000) a? Nji o bhúbhi ên akpât mma á kə́re o kâk ên ka bikáé, í súi í bhík?”
MRK.8.19	Á táme sê, “Í súi ófó na íbháe.”
MRK.8.20	A kpô bhə́p ábho se, “Ebhú nji n kóe nsûm i brêt enígisá n gyê ane ntem-esam ntə̂m-ntə̂m ófó (4,000), o bhûp ên akpât mma á kə́re á súi bikáé í bhík?”
MRK.8.20	Á táme sê, “Inígisá.”
MRK.8.21	Jisos a bhə̂p mân ábho se, “O nyə́ne ó ka jáé ên mân a?”
MRK.8.22	Nji Jisos na atóbhá abhê á síi ka eték í Besayida, ane etat á kô ntána-amə̂t á bhak mbâ eye, á góre yê sê a raŋ yê na obhô, a yim yê a yén mbá. 
MRK.8.23	Jisos a fî ntána-amə̂t nnyó ka obhô, á jak ka echî-mbá eték. Nji á jíi, Jisos a fə̂m nne-ndûm nnyó oson ka amə̂t, a râŋ yê na obhô. A bhə̂p mân yê se, “O ri ágo o yéná kpe ejûm a?”
MRK.8.24	Nne nnyó a yûŋ echî ka ósô, a táme se, “N kí yen ane á jená, kən á rî ə̂m noŋ átí.”
MRK.8.25	Jisos a kpô raŋ yê ka amə̂t. Ntána-amə̂t nnyó a náre amə̂t, a náre, amə̂t á bhâ rə́bhe. A chə́bhe a yéná mbá nono. 
MRK.8.26	Jisos a sə́re mân nne nnyó se, “Choŋ kʉ́ri, o kâ yáre ka eték.”
MRK.8.27	Jisos na atóbhá abhê á jak mân ka nték i Sesariya Firipi. Nji á síi ka mbá, a bhə̂p ábho se, “Ane á kí səre sê mme nâ énê?”
MRK.8.28	Á táme sê, “Etʉ̂ ane á kí səre sê we a ri Jon nnyo mfúgha-ane-ayép, mba tat sê we a ri Erayija, kən etʉ̂ sê we a ri nkara-otîp Obhasi yót nnyo éməné.”
MRK.8.29	Kən a bhə̂p mân ábho se, “Ên áfoné, ó məŋe sê mme a ri énê?”
MRK.8.29	Pita a táme se, “We a ri Krayis, nne nnyo Obhasi a túmi se a bhá yim ngun á sém.”
MRK.8.30	Nji Pita a chorê áno, Jisos a káre ábho ebhín se á kâ sə́re kpe nne yót.
MRK.8.31	Jisos a róghe mân atóbhá abhê esə́rə́m se, “Mmon-i-ntem-nne a ri a yén ekpatə́m oseŋe. Ane-akúí na ane-echî akará-agore Obhasi na atóŋá-ebhín á rî á jîŋ yê, á yúi yê. Kən á kən yê, a kâ mfín ésá, tîk a nyə́me ka ekʉ̂.” 
MRK.8.32	Jisos a sə́re atóbhá abhê nchot nnyí, kpe ejûm á ka bhə́t. Kən Pita a bhîŋ yê mbá-njəm a fáme yê se, “Ka kpo chot ntʉ́ghi nchot nnyí.”
MRK.8.33	Nji Pita a chorê áno, Jisos a fáre a kêp atóbhá abhê, a kpíghi mân mbâ Pita, a nyân yê se, “Satan, duî ə̂m ka ochî. Íkíkéré ifâ a ri mfi ane ngun, mfi Obhasi asík.”
MRK.8.34	Jisos a bhîŋ ekam ane nji é rî áfo a kpê na atóbhá abhê, a sə́re ábho se, “Ájoé nne a kí wom a tóp ə̂m, deê a kép biji ibhê se kpe ejûm á ka fáp, a kə́n achî-achot, kpe é rî nji ekʉ̂, a tóp ə̂m.
MRK.8.35	Echî aŋ? Kpe énê nnyo á woma se a nyáŋé ekpin ejê, a kí tane ńjə́ne. Kən nne nnyo á tane ekpin ejê ka obhô obhámé na ka obhô otîp ogyebhá-ḿbə́ŋé obhámé a kí chəbhé njəm a fon ńjə́ne.
MRK.8.36	Orʉrí obhâ a ri jen nji ó fon ngun ndə́m kən ó ka fon ekpin ejâ? 
MRK.8.37	Ka etʉri, ó kam ên sê kə́n nne a kô jen a yóŋe na ekpin ejê ka ngun nnyí? Nâ məŋê ên mân sê, 
MRK.8.38	ájoé nne a kí be nsôn nji á chəm na mme, é kpê na okpígha-ejûm obhámé ka ngun obhí nnyí, mme, Mmon-i-ntem-nne, tîk m bê nsôn fə́ne n kâ chə̂m na ntʉ́ghi nne ányo ebhú ḿ ba na ejík í Ńsé omé ka ósô na baénjel abhê.”
MRK.9.1	A sə́re mân ábho se, “Deê ń sə́ré ên bəre etʉ̂ ane á rî mfá ngyím mba tîk á bhó kpo ta á yên otúi Obhasi ó bhak na eyúp.”
MRK.9.2	Nji mfín eságasá a chíŋi, Jisos a bhîŋ Pita na Jems na Jon, a kô ábho á jak ka ósô ekpatə́m egúí, kpe nne etat á ka tóp ábho. Á kpó to á sí ágo, Jisos a kpíghi ngu.
MRK.9.3	Ḿfô nnyi a kaghê ka biji, a kpíghi ébháré, a kə̂t a kímá mənam-mənam, kpe nne ka ngun nnyo kə́n a sû éfô é bhât ekpak áji cháŋ. 
MRK.9.4	BaPita á kpó to á yén, Erayija na Mosis á fâp ka eji áji á róghe ekubhi ekubhúm na Jisos.
MRK.9.5	Kən Pita a sə́re Jisos se, “Ńsé, é nop êt e ri mfá. Deê é gbê ntəm ésá. Jə́t mbâ eya, nji tat mbâ Mosis, nji ngá mbâ Erayija.” 
MRK.9.6	Efup é súi Pita na atem abhê ka biji, kpe nji a kí chot á ka məŋé.
MRK.9.7	Átʉ́k í ngurobhú á bhúi ábho áfo. Eyum é fâp ka átʉ́k áma se, “Ḿfa a ri Mmon okot omé, yûk ên yê.”
MRK.9.8	BaPita na atem abhê á nîk, á kêp á fáre, kən kpe nne yót á ká kpo yen təm Jisos átíŋ.
MRK.9.9	Nji á bhə́ra egúí á chəbhe njəm, Jisos a káre ábho ebhín se á kâ sə́re kpe nne yót ejûm nji á yéne kpát ta ebhú nji Mmon-i-ntem-nne á nyəmé ka ekʉ̂.
MRK.9.10	Á ká səre fə́ne ane ejûm nji ábho á yéne, a ri á kə̂t á bhəbha atem sê, “Enyəmə́m ka ekʉ̂ nâ jen kpá títí?”
MRK.9.11	Á bhə̂p mân Jisos sê, “Jen é yími kən atóŋá-ebhín á kí chot sê Erayija tîk a râŋ mbá a bhák?”
MRK.9.12	A táme se, “Ka etʉri, Erayija a fonê ka ebháám ndaŋa-mbá a bhá tʉrí chénchén achot a kí. Kən á yími nan á sêŋ ka nwet Obhasi sê Mmon-i-ntem-nne tîk a yên oseŋe etî-etî, ane ngun á jîŋ yê. 
MRK.9.13	Kən n kí səre ên bəre Erayija ta a bhâ, kən ane á yîm nji-nji á kóre na yê noŋ fə́ne á séŋe ka nwet Obhasi.”
MRK.9.14	Nji Jisos á chə́bhe njəm á bhâ kpúghi atóbhá abhê mba á ka kó á jî ka ósô egúí, á yên ekpatə́m ekam ane é rî na ábho. Etʉ̂ atóŋá-ebhín á rî áfo fə́ne á fira áfírí na atóbhá abhê mbá. 
MRK.9.15	Etʉri-étʉ́ri nji ane á yéne Jisos, biji í mân ábho, á bhéne fə́ne ntə̂m yə́t á jí kûp yê.
MRK.9.16	Jisos a bhə̂p atóbhá abhê se, “Ó fira ên jen na ábho?”
MRK.9.17	Kən nne yót ka ekam njí a táme se, “Ńsé, ń ko mmon omé nnyo ojê ó kára oseŋe ta a gbô ochí, ḿ ba mbâ eya bəre ó yîm yê a chot nchot. 
MRK.9.18	Kpe bhaghé ebhú nji ojê mbí ó ruí ngyím, ó kí yim yê a gbô ka nsi, a kə̂t edíím akek, a tə́ne gbaŋŋ, mfî a fábhá yê ka nnyo fup-fup. Ń gore bəre ágbán abhâ á yíghi ojê mbí, kən á ká məŋé ekpak eyimím.”
MRK.9.19	Jisos a róghe mân atóbhá abhê efámám, a bhə̂p ábho se, “Abhon ebhú njí, echî ó bhó ki ên ḿbə́ŋé na Obhasi a ri jen? Ó woma ên sê ta ń ká nan na ên? Ń kúmi na ên ka nyâ é bhík? Kô ên mmon ányo bhák.”
MRK.9.20	Á kô yê á bhak. Ka ngyím ányi nji ojê mbí ó yéne Jisos, ó yîm mmon nnyó a nîk nnyam, a gbô ka nsi, a chə́bhe a síŋá, mfî a fábhá yê ka nnyo.
MRK.9.21	Jisos a bhə̂p ńsé mmon nnyó se, “Emaŋé njí é ka nan?”
MRK.9.21	A táme se, “É róghe yê ta ka obhonche. 
MRK.9.22	Ntə̂m etî-etî emaŋé njí é wóma mmon nnyó eyúúm, ka é yíma yê a gbok ka ngûn na ka ayép. Kən ájoé ó məŋe ekpak eyimím, ítəbhé, deê ó fôn nsôn na êt, ó nyáŋé êt.”
MRK.9.23	Jisos a táme se, “Se, ‘Ḿ məŋé ekpak eyimím a?’ Məŋê se n kí yim kpe bhaghé ejûm n káre nne kpe nnyón nnyo a kíi ḿbə́ŋé na Obhasi.”
MRK.9.24	Ńsé mmon nnyó, kpe ebhú á ka bhíbhí, a táme Jisos se, “Ń ki ḿbə́ŋé na Obhasi, kən okíghá-ḿbə́ŋé obhámé ó ká son. Ń gore, yim ḿbə́ne ó sôn.”
MRK.9.25	Nji Jisos a yéne se ane mba á rî áfo á kí bhene á bhak, a nyân ojê mbí mbâ mmon nnyó se, “We, ojê oyagha-atûŋ, ojê ochí, n kí səre wâ bəre fáp, maghê mmon nnyó, ka kpó gye yê ka biji.”
MRK.9.26	Ojê mbí ó kûk, ó yîm mmon nnyó a nîk nnyam, ó mághe yê áfo noŋ ékpoê nne. Ane etî-etî mba á rî áfo á chə́bhe á səra sê mmon ányo a kpô. 
MRK.9.27	Kən Jisos a fî mmon nnyó ka obhô, a yûŋ yê a rúi ngyím.
MRK.9.28	Nji Jisos na ágbán abhê á jî gyê ka njû á kúmi ábho-ábhô, á bhə̂p yê sê, “Jen é yími kən é ka məŋé oyighí ojê mmon ányo?”
MRK.9.29	A táme ábho se, “Obhasi egoróm átíŋ nâ ó kí yighí nne ntʉ́ghi ojê mbí, kpe ejûm etat cháŋ.”
MRK.9.30	Á mághe mân áfo, a jên á chîŋ ebhat í Gariri. Jisos á ka kam se kpe nne yót a məŋé ebhat nji yê a ri, 
MRK.9.31	ka a ri a sə́rá ágbán abhê se, “Tîk á fî Mmon-i-ntem-nne, á káre mbâ ane mba tîk á yúí yê. Kən á kən yê, ka osúí mfín ésá, tîk a chə́bhe njəm ka ekpin.”
MRK.9.32	Nchot nnyí á ka jáé ágbán abhê, kən á kí fup ebhə́bhə́m yê sê a sə́ré echî.
MRK.9.33	Jisos na atóbhá abhê á jen kpáát á si eték í Kapanom. Nji á gyée njû á kúmi, a bhə̂p ábho se, “Éyughí ka mbá ó fira ên kpá jen?” 
MRK.9.34	Kən á ká tame yê, ka á rî á fira nchot i nne ábho nnyo a ri noŋ nne-echî.
MRK.9.35	Jisos a kúmi okumí, a bhîŋ ábho ófó na ábháe. A sə́re ábho se, “Nne owəné nnyo á woma a joé nne-echî, deê a kép biji se kpe ejûm yê á ka fáp. A kí biji noŋ ḿgbán mbâ atem chénchén.”
MRK.9.36	A bhîŋ mân mmonche a bhâ gyími ka ochî ábho. A fî mmon nnyó a kâk ka biji, a sə́re ábho se, 
MRK.9.37	“Kpe énê nnyo á fi mmon ntʉ́ghi nnyó a kâk ka biji ka mbiŋ amé, a fiî ə̂m áno. Nne nnyo á fi ə̂m, á ka fi ə̂m, mme átíŋ, a fî fə́ne yê nnyo a túmi ə̂m ka nsi nnyí.”
MRK.9.38	Jon a sə́re yê se, “Ńsé, e yên nne nnyo á bhima ojê a yighá ka biji ane ka mbiŋ eya. Kən e sə́re yê sê a kâ kpô yim, ka yê nne owəré asík.”
MRK.9.39	Kən Jisos a táme se, “Ka kpó taŋé ên yê, ka kpe énê nnyo á yimá iyîm okpógha-biji ka mbiŋ amé, á bhó chot iyîm ibhí a kpe na mme. 
MRK.9.40	Echî aŋ? Kpe énê nnyo á ka fon áfírí na êt, a ri nne owəré.
MRK.9.41	Deê ń sə́ré ên bəre kpe énê nnyo á karé ên ńkôp ayép o gwô ên, tîk a fôn ekəp. A kí karé ên ka o kí top ên ə̂m, mme Krayis, nne nnyo Obhasi a túmi se a yim ngun á sém.”
MRK.9.42	Jisos se, “Kpe énê nnyo á choe mmonche ntʉ́ghi nnyó a yíghi ḿbə́ŋé nnyi a kíi na mme, é nôp é chîŋ á kô ekpatə́m í ntáé isú á bhôp ntʉ́ghi nne ányo ka ntuŋ, á bhî ka aya. 
MRK.9.43	Ájoé obhô obhâ ó kí kak wâ ka obhí, gbût bhum. É nóbhe sê ó gyé ka ekpin ótúm-ótúm na obhô bhə́t, na nji ó gyé ka erəmta-ngûn na abhô amâ ábháe. Erəmta-ngûn nji é rî ágo, é bhó tan ka ótúm-ótúm. [
MRK.9.44	Ka eji áji, adʉ mma á kí di ábho á kət á bhó kpo, erəmta-ngûn nnyi é kí righi ábho é bhó tan.]
MRK.9.45	Ájoé ekát ejâ é kí tum wâ ka obhí, gbût ńjə́ne yighî. É nop é chiŋ sê ó gyé ka ekpin na ekát jə́t na nji ó fôn akát ábháe, á kâk wâ ka erəmta-ngûn. [ 
MRK.9.46	Ka eji áji, adʉ mma á kí di ábho á kət á bhó kpo, erəmta-ngûn nnyi é kí righi ábho é bhó tan.]
MRK.9.47	Ájoé eyə̂t ejâ é kí kak wâ ka obhí, kpaghê ńjə́ne yighî. É nop é chiŋ sê ó yén otúi Obhasi na eyə̂t jə́t na nji ó fôn amə̂t ábháe á kâk wâ ka erəmta-ngûn.
MRK.9.48	Ka eji áji, adʉ mma á kí di ábho á kət á bhó kpo, erəmta-ngûn é bhó tan.
MRK.9.49	“Ka etʉri, tîk á gáe kpe énê na ngûn noŋ á kágha akâŋ ka édî sê é gyébhe. 
MRK.9.50	Akâŋ á gyebhá, kən ájoé ogyep akâŋ ó man, akâŋ mmá á ro kpó gyebhé. Fon ên amə́né akâŋ ka biji, o jóe ên ka ekone na atem.”
MRK.10.1	Jisos na atóbhá abhê á mághe mân Kapanom á jak ebhát í Judiya. Á yáŋe aya mma Jodan. Ane á bhak á nyígha onyíghí mbâ eye. Ka ekpak erû ejê, a róghe fə́ne ábho achot Obhasi ekpíím.
MRK.10.2	Ane echəme Farasi á bhak sê á gáe yê. Á bhə̂p yê sê, “Sə́re êt, ebhín ejə́ré é kam se nne-ndûm a bhím nkáé owe ka ebháé á?”
MRK.10.3	Jisos se, “Mosis a karê ên bhaghé ebhín ka nchot ebháé nnyí?”
MRK.10.4	Á táme sê, “Mosis a kâm se nne-ndûm nnyo a timî nkáé ebhímím, deê a séŋ nwet ebháé emanám kən a bhím mân nkáé.”
MRK.10.5	Jisos a sə́re ábho se, “A ri osoná-echî obhə́né nâ ó yími kən Mosis a káre ên ntʉ́ghi ebhín njí. 
MRK.10.6	Kən ka eróghá-ndə́p í ngun, ebhú Obhasi a yimî nne, a yimî nne-nkáé na nne-ndûm.
MRK.10.7	Ka echî njí, nne-ndûm tîk a mághe ńsé na nnyen, a chə̂m biji na nkáé owe, 
MRK.10.8	á kət ejûm jə́t. Ane mbá ábháe á chəbhe nne yót, á ká kpo joé ane ábháe.
MRK.10.9	Deê mân nne kpe yót a kâ chât ejûm nji Obhasi a chə̂m eji jə́t.”
MRK.10.10	Ebhú á chə́bhe njəm ka njû, atóbhá abhê á kpô bhə́p yê ebhə̂p ka nkúbhi nchot nnyí. 
MRK.10.11	A táme ábho se, “Nne-ndûm nnyo á bhim nkáé owe, a kô nnyo tat, a gbô ekun. 
MRK.10.12	Nne-nkáé fə́ne nnyo á maghé ndûm owe a kô nnyo tat, a gbô ekun.”
MRK.10.13	Ane etat á kô abhonche á bhak mbâ Jisos sê a kuní ábho obhô ka echî, a karé ábho enare. Kən atóbhá Jisos á nyân ane mbá sê á kâ kpô yim. 
MRK.10.14	Nji Jisos a yéne ábho á yimá erû njí, é yâm yê kpe-eji. A bhîŋ ábho a sə́re se, “Deê abhonche á bhá mbâ amé, ka kpó taŋé ên ábho. Echî aŋ? A ri ane mba á fóne ḿbə́ŋé jáé noŋ abhon ntʉ́ghi mbá, nâ á gyêk ka otúi Obhasi. 
MRK.10.15	Deê ń sə́ré ên bəre nne nnyo á ka gbíŋí otúi Obhasi noŋ mmonche á gbíŋa ásé, tîk á bhó yen ḿbə́ne.”
MRK.10.16	A kô mân abhonche mbá a kúni ábho obhô ka echî, a káre ábho enare.
MRK.10.17	Nji Jisos a kə́ bha oyəp ndə́p a ji ejen, nne-ndûm yót a bhéne a bhák mbâ eye. A tə̂m arúŋ ka nsi áfo ka ochî obhê. A bhə̂p yê se, “Nyima-ono ńsé, n kí yim jen kən ḿ fôn ekpin ótúm-ótúm?”
MRK.10.18	Jisos a bhə̂p yê se, “É yími nan o kí bhiŋ ə̂m se nyima-ono? Kpe nyima-ono yót cháŋ ka nsi nnyí, é ká chiŋi Obhasi átíŋ. 
MRK.10.19	Ó məŋe se bibhín Obhasi í rî sê o kâ yúi nne, o kâ gbô ekun, o kâ jʉ̂ ejʉ̂, o kâ gyími ntî-isê áfúbhí, o kâ móe nne, jíghí ńsé owa na nnyen owa.”
MRK.10.20	Kən nne nnyó se, “Ńsé, bibhín mbí chénchén, n dóghe ekíím ta ka obhóné obhámé.”
MRK.10.21	Kən Jisos a yûŋ amə̂t a kêp nne nnyó na okot, a sə́re yê se, “Ejûm é rî jə́t nji o nyə́ne ó ka yim. Choŋ ogurî iyîm ibhâ chénchén mbi o fonê. Karê ntí ámi mbâ akpák. Tôp ə̂m mân. Tîk o fôn efaŋ ka ósô.”
MRK.10.22	Nji nne nnyó a yúghi nchot nnyí, amə̂t á bhî ka echî, a mághe a kʉ́rá na nsae ka ḿbə́ŋé, ka yê a ri ekpatə́m í nne-ntí.
MRK.10.23	Jisos a kêp mân atóbhá abhê a fáre. A sə́re ábho se, “Tîk é sôn kpe-eji kən nne-ntí a yén otúi Obhasi.”
MRK.10.24	Biji í kpô atóbhá abhê kpe-eji ka ntʉ́ghi nchot nnyí. Kən Jisos a sə́re ábho a jak ochî se, “Abhon abhámé, tîk é sôn kən ane á yén otúi Obhasi. 
MRK.10.25	É ká yuŋi mfoŋ echóé a chíŋ ka mfúk ḿbíabə́n, noŋ é kí yuŋi nne efaŋ a yén otúi Obhasi.”
MRK.10.26	Nji atóbhá abhê á yúghi, á yíri biji, á kpíghi á bhə̂p atem sê, “Kən énê mân tîk a sêm?”
MRK.10.27	Jisos a yûŋ amə̂t a kêp ábho a sə́re se, “Nne á bhó bhik eyimím ejûm ntʉ́ghi njí, kən Obhasi a kí yim. Kpe ejûm nji é chíŋa Obhasi eyimím cháŋ.”
MRK.10.28	Pita a fâp a sə́re Jisos se, “Ńgyê êt, é maghe chénchén iyîm ibhə́ré e kí top wâ.”
MRK.10.29	Jisos a táme se, “Deê ń sə́ré ên bəre kpe bhaghé énê nnyo á maghé njû eye, kpe abhon-í-nnyen ka ane-akáé ka ane-arûm, a mághe nnyen kpe ńsé kpe abhon, a mághe mbin eye ka echî ejámé na ka echî otîp Obhasi, 
MRK.10.30	tîk a fôn ekpatə́m ekəp ka mfá-mfá. A kí fon iyîm ka nsam na nsam, ojû, abhon-í-nnyen, abhon-í-ńsé, anyen, abhon na kpe mbin. A ri tîk a fôn atû na ekpatə́m oseŋe ka obhô achot Obhasi. Kən ka nsígha-njəm ebhú, tîk a fôn ekpin ka ótúm-ótúm. 
MRK.10.31	Kən məŋê ên sê, tîk ane etî-etî mba mfá-mfá á rî ochî, á gbô njəm. Mba fə́ne á rî njəm mfá-mfá, tîk á chə́bhe ochî.”
MRK.10.32	Jisos na atóbhá abhê, á yə̂p á kí ji nnyi Jerusarem. Yê a ri mbá-ochî, atóbhá abhê á tóbha na ekpatə́m orəmá-ḿbə́ŋé. Ane mba á tóbha ábho, á fôn efup. Jisos a kpô bhiŋ ágbán abhê ófó na ábháe mbá-njəm, 
MRK.10.33	a sə́re se, “Yûk ên, é jak áno nnyi Jerusarem. Tîk á fî ə̂m, mme Mmon-i-ntem-nne, á káre mbâ ane-echî akará-agore Obhasi na atóŋá-ebhín. Tîk ane mbá á kími nchot sê á yúí ə̂m, á kô ə̂m á káre mbâ ajéné. 
MRK.10.34	Tîk ajéné mbá á kâk ə̂m ntuŋ, á chô ə̂m oson ka biji. Tîk á tə̂m ə̂m, á yúi ə̂m. Kən ebhú á kən ə̂m, ka osúí mfín ésá, tîk n nyə́me ka ekʉ̂.”
MRK.10.35	Jems na Jon mba abhon í Sebedi á bhâ sə́re Jisos sê, “Ńsé, e kí wom ó yîm ejûm jə́t ó káre êt.”
MRK.10.36	A bhə̂p ábho se, “Ó woma ń yîm jen ń káre ên?”
MRK.10.37	Á táme sê, “E kí goré sê ebhú ó kumí ka otúi obhâ na ejík, deê ó yîm êt é kúmi na we, yót obhô-okáé, yót obhô-orûm.”
MRK.10.38	Kən a sə́re ábho se, “Ó ka məŋé ên ejûm nji ó bhəbha áno. Deê m bə̂p ên kpá ebhə̂p. Nâ-ngá tîk o kâm ên o yên oseŋe mbi tîk n yên a? Kə́n o kâm ên o kpô ên ekpak ekʉ̂ nji mme tîk m kpô a?”
MRK.10.39	Á táme sê, “Nn̂, tîk e kâm.”
MRK.10.39	Jisos a sə́re mân ábho se, “Tîk o sôn ên ḿbə́ŋé o tábhe ên oseŋe noŋ mme, o kpô ên fə́ne ekpak ekʉ̂ nji n kí kpo. 
MRK.10.40	Kən ń ka fon ikom mfi n kí saŋ ane mba á kí kumí ə̂m mkpe obhô-orûm na mkpe obhô-okáé. Ngûm nnyí a ri mbâ ane mba Obhasi a sáŋe se á kúmi.”
MRK.10.41	Nji ágbán mba ngá ófó á yúghi nchot nnyí, á fôn ekpatə́m oyámá-ḿbə́ŋé na Jems na Jon. 
MRK.10.42	Kən Jisos a bhîŋ ábho chénchén a chôt se, “Ó məŋe ên sê ka ekpin ngun, ane mba á kébha sê a ri ane-echî ábho nâ á fóne ikom, kpe nnyón nne a ri ka óséré ábho.
MRK.10.43	Kən áno asík é kí joé na ên. Nne owəné nnyo a kí wom se yê a joé ochî, a ri a gbo osʉ́ŋ a karé atem chénchén. 
MRK.10.44	Nne owəné fə́ne nnyo a kí wom a joé ochî, deê a gbo osʉ́ŋ a karé atem chénchén.
MRK.10.45	Echî aŋ? Kpe Mmon-i-ntem-nne á ka bhá se ngun á tʉ́k yê, kən a bháe ngun otʉ́k, a karé fə́ne ekpin ejê se ane etî-etî á sém.”
MRK.10.46	Jisos na atóbhá abhê á jên á sî Jeriko. Ebhú á mághe Jeriko á kí ji, ekpatə́m ekam ane á tobha ábho á jak. Ntána-amə̂t yót nnyo á kamá se Batimeyus, mmon i Timeyus, a kun ka mkpe mbá a gyéŋá egyéŋé. 
MRK.10.47	Nji a yúghi se Jisos nnyo nne Nasaret nâ á bhak áno, a róghe ekúghúm se, “Jisos, mmon i Debhit, ri ə̂m nsôn.”
MRK.10.48	Ane etî-etî á nyân yê sê a maghé ejok. Kən á ka maghé, a kpére a kûk mân na ikom-ikom se, “Mmon i Debhit, ri ə̂m nsôn.”
MRK.10.49	Nji Jisos a síi áfo, a gyími. A sə́re ane se, “Bhiŋ ên yê a bhá.”
MRK.10.49	Á jî bhîŋ mân nne nnyó, á sə́re yê sê, “Duî ngyím, son ḿbə́ŋé bhák, a kí bhiŋ wâ.”
MRK.10.50	Nne nnyó a tə̂m a rúi ngyím a mə̂t éfô ńgô, a bhéne a jak mbâ Jisos.
MRK.10.51	Jisos a bhə̂p yê se, “Ó woma ń yîm jen ń káre wâ?”
MRK.10.51	A táme se, “Ńsé, n kí wom ḿ kpó yen mbá.”
MRK.10.52	Jisos a sə́re yê se, “Choŋ kʉ́ri, ḿbə́ŋé eya nnyi o kíi na Obhasi a yîm wâ ó son.”
MRK.10.52	Ka ngyím ányi, amə̂t amê á rə́bhe, a róghe Jisos etóbhóm.
MRK.11.1	Nji Jisos na atóbhá abhê á jen á kí kpiri Jerusarem, ka nték i Befagi na Betani, á bhâ ka Egui Orif. Nji á síi áfo, Jisos a tûm ágbán abhê ábháe ochî. 
MRK.11.2	A tíbhi ábho se, “Choŋ ên ka mmon eték nnyo a ri áno mbá-ochî. Ebhú ó si ên ágo, tîk o yên ên ekpak í mfoŋ-anyanyâ etat nnyi eguŋi. Á bhóbhe ńnyə́ne ka étí kən nne á ka nok obhéné, kpât ên kó bhák. 
MRK.11.3	Ebhú nne á bhəp ên se jen é yími kən o kí kpat ên, sə́ré ên yê sê ntûfâm a kí wom a bhéné ka ńnyə́ne kən tîk a chə́bhe njəm a fê mfá-mfá.”
MRK.11.4	Ane mbá á yə̂p á jak á jî yên fə́ne mfoŋ nnyí á bhop ka echî njû etat ka mkpe mbá. Nji á kpára, 
MRK.11.5	ane etat mba á gyím áfo á bhə̂p ábho sê, “Ágo nâ jen? O kí kpat ên mfoŋ ane ó jî ên fan?”
MRK.11.6	Kən atóbhá Jisos mbá á táme ane mbá ka ekpak a sə́re ábho kən á mághe ábho á jak na mfoŋ ányi. 
MRK.11.7	Á kô ńnyə́ne á bhak mbâ Jisos, á kô ḿfô ábho á sóbhe ńnyə́ne fép. Jisos a gyʉ̂t ka njəm, a yə̂p a kí gye Jerusarem. 
MRK.11.8	Ane etî-etî á yáe ḿfô ábho ka mbá nnyi Jisos á jená á jak, etʉ̂ á gbût amâŋ-obhî ka etə́m á bhâ tûp ka mbá. 
MRK.11.9	Ane mba á jéna nná á jak na yê, etʉ̂ mbá-ochî, etʉ̂ mbá-njəm, á róghe ekúghúm na ogyebhá-ḿbə́ŋé á jak sê,
MRK.11.9	“Ekûp na ejík é jóe é káre Obhasi.
MRK.11.9	Deê enare Ńtâ Obhasi é jóe na nne nnyo a kə́ bha ka mbiŋ eye.
MRK.11.10	Deê enare Obhasi é jóe na otúi ńsé owəré Debhit mbi ó kə́ bha.
MRK.11.10	Ekûp na ejík é jóe é káre Obhasi ósô.”
MRK.11.11	Nji Jisos a gyée Jerusarem, a jak ka ókʉ́rí achot Obhasi, a kêp ngûm a fáre. A kpô yén se ebhú é ji, a yə̂p a jak nnyi Betani na ágbán abhê ófó na ábháe.
MRK.11.12	Ntem-ofú nji á mághe Betani á kí chəbhé njəm, njaé a róghe Jisos eyámám. 
MRK.11.13	A kpo to a túp amə̂t ńgô, a yên étí fîk na ájé kəbha-kəbha. A yáre a jí kep ájoé é kap, yê a bhóŋ a dí. Kən nji a síi ágo, á ka yén kpe ejûm é ká chiŋi ajé áma ḿmáne-mmanê, ka kpe ebhú nkap asík. 
MRK.11.14	A chôt mba étí njí se, “É róghé ka égyé ta ó kə́t, o kâ kâp ane á dí.” Nji a chorê áno, ágbán abhê á yûk.
