MAT.1.1	Mapalivaisije Jesucristo pijasalinaivimi pelivaisi. Jesucristo rabaja Davidpijinë pemomoxiyajuvënënë. Davidpijinë pijinia Abrahampijinë pemomoxiyajuvënënë. 
MAT.24.37	—Pacuenia bajayata jemata itsi pamatacabi Noépijinë ponapona, bajara icatsia jemata itsane pamatacabi xanë, Daxitajivi Pematapijinënë, patsianicajë. 
MAT.24.38	Pamatacabi Noépijinë ponapona ira pebubutsivajënaeya, jivi picani xaniavaetsia jamatejema pexaejava xaevanapa. Apaevanapanua. Nacojiobapona itsamonae. Itsamonae pexënatoyonë pebijavabelia canajetapona petonacojiobinexatsi. Bajarapamonae jamatejema saya jinavanapa. Nexata bajarapamatacabi Noépijinë ëpijamonae pinijibarcoxanetojavabelia barëjunua. 
MAT.24.39	Daxitajivi abaxë itsiata apo yapëtae paepatota tocopiapatsijitsiatsi peyabubutsijavanexatsi. Nexata itsajivi ata yapëtaenejeva jemata ayaiemaxaneto itsa jopa ira pebubutsinexa, yapëtane jane baja. Bajarapamatacabi bubuna daxitajivi. Bajara pijinia pacuenia itsajivi ata yapëtaenejeva xanë, Daxitajivi Pematapijinënë, tapatsijavanexatsica, jemata patsianicajë. 
MAT.24.40	Nexata bajarapamatacabita anijanëbeje najuanacuenebanucaenabeje pabita. Itsanë tanejumecovënëtsinë tsane. Itsanë apo tanejumecovënëtsinë tsane. Nexata tanejumecovënëtsinë pitsianatsi ángelnë. Apo tanejumecovënëtsinë copatanutsianatsi. 
MAT.24.41	Bajara pijinia itsane petirivabeje ata. Najuacuabanucaenabeje caejavata. Nexata tanejumecovënëtsiva pitsianatsi ángelnë. Apo tanejumecovënëtsiva copatanutsianatsi.
MAT.24.42	Nexata nejamatabëcueneevetsiaya panecopiaevetavanapaename. Tsipaji raja apo panevajënaeyapëtaemë tsane paepatota xanë panijatuxanenënë icatsia patsijitsianëtsica. 
MAT.24.43	Pacanaëjëre mapacueneje. Bo pexainaenë itsa yapëtaejitsipa paepatota meravi pijaboyaberena patsijitsia pecobecovë petonacobetoxotsinënexatsi, nexata naëcotsiaya vajënaeevetsipa. Apo copatsi tsipae pijaboyaberena petojoneyanivatsi penacobetoxotsinënexa. 
MAT.24.44	Bajara pijinia pacuenia paxamë ata najamatabëcuenexaniavaetsiaya panecopiaevetavanapaename. Tsipaji xanë, Daxitajivi Pematapijinënë, paepatota apo panejamatabënajinaemë tapatsijavanexatsica, jemata icatsia patsianicajë, jai Jesús pijajivijavabelia tajëvelia penavajunupaebijavata itsamatacabi icatsia pepatsijavanexatsica.
MAT.24.45	Jesús livaisi tsipaeba pijajivijavabelia petuxanenë pijajivitonëbeje pelivaisicuenia. Bajarapacuenia pijajivijavabelia tsipaeba copiaevetsiaya petonacuenebavanapaenexatsi icatsia pepatsimatacabitsicajavabelianexa. Jesús jumaitsi mapacueniaje:
MAT.24.45	—Petuxanenë pijajivitonë, ponë xaniavaetsia pijatuxanenë pecovëta tonacuenebaponaponaena, majamatabëcueneitsi tsaneje. Bajaraponë itsajamatabëcuene xainaenejeva, copiaevetaponaponaena pijatuxanenë pepatsijavabelianexa. Bajaraponë pijatuxanenë pijajivi pecovëta toevetaponaponaena piabatabiabinexa pexaejava caematacabi canacujitsia pacuenia pijatuxanenë itorobatsi. 
MAT.24.46	Bajaraponë bitso barëya tsane pamatacabi pijatuxanenë patsiana, xaniavaetsia pijajivi petoevetaponaponaexae pecovëta. 
MAT.24.47	Xaniajanë pacuenia pacatsipaebijitsiatsi. Ponë xaniavaetsia tonacuenebiana pijatuxanenë pecovëta, bajaraponë evetsiaexanaenatsi daxita xua xaina pijatuxanenë. 
MAT.24.48	Itsa bajaraponë piajamatabëcuenebejenë tsipae, nexata pijatuxanenë pecovëta jamatabëjumaitsi tsipae: “Tajatuxanenë ajibi tsarucae tsane bajayajebi,” jamatabëjai tsipae. 
MAT.24.49	Nexata toconibabeyabiabijitsipa pijatuxanenë pijajivi. Ayaijava xaeyabiabijitsipa. Naapaeyabiabijitsipanua piaitajibivita. 
MAT.24.50	Nexata itsajota apo jamatabënajinae tsipae pijatuxanenë pepatsijavanexa, patsipa pijatuxanenë. 
MAT.24.51	Nexata bajaraponë ayaicuenia naneconitsiaexanaejitsipatsi pijatuxanenë. Pacuenia jivi peyamaxëitojorobabiabivi, Dioso ayaicuenia naneconitsiaexanaenatsi, bajarapacuenia pijatuxanenë naneconitsiaexanaejitsipatsi. Nexata natsinuejitsipa. Navonosinijitsipanua bitso penavixaetaexae, jai Jesús pijajivijavabelia petuxanenë pijajivitonëbeje pelivaisicuenia petsipaebijavata.
MAT.24.51	Bajarapacuenia Jesús tsipaeba pijajivi xaniavaetsia pecopiaevetavanapaenexatsi Jesús icatsia pepatsimatacabitsicajavabelianexa.
MAT.25.1	Jesús icatsia jumaitsi pijajivijavabelia:
MAT.25.1	—Pamatacabi icatsia patsianicajë, tajajivi peyapëtaexae tapatsijavanexatsica, jamatabëcueneaitavaya necopiaevetavanapaena. Itsamonae tajajivi yapëtae ata tapatsijavanexatsica, itsiata jamatabëcueneaitavaya apo necopiaevetavanapae tsane. Bajarapacuene yabara pacatsipaebianatsi mapalivaisije. Diez papejanavabeje yapëtane itsava pejanava penacasabijavanexa. Nexata diez papejanavabeje pijalámparabëxi, caeva canacujitsia, xaniavaeta penaponaenexa. Nexata capona pijalámparabëxi pabojavabelia eca penacasabivanexa. Bajarajota vajënaeevetsijitsia pepatsijava penacasabinënexa. Nexata itsa ponabeje penacasabijivibejenexa, bajarapapejanavi penaponaenexa bajarapajivibeje pepëta penacasabifiestajavabelia. 
MAT.25.2+MAT.25.3+MAT.25.4	Bajarapamonaeyajuvënëvi, cinco povabeje, yapëtae ata picani petsicaponaejavanexa aceiteranë pijalámparabëxinexa, itsiata apo tsicaponae itsa tovereverecatsi aceitera peepatsinexa icatsia pijalámparabëxijavabelia. Cinco pijinia povabeje peyapëtaexae petsicaponaejavanexa aceiteranë pijalámparabëxinexa, tsicapona. 
MAT.25.5	Nexata bajarapapetiriavi itayotena pijalámparabëxita. Bajayajebi picani vajënaeevetena penacasabinënexa pepatsijava. Nexata pijalámparabëxita paaceiteranë capona, tovereverecaponatsi baja. Tsipaji penacasabinënexa abaxë cuenenajemata pepatsinexa. Nexata baja daxita bajarapapetiriavi belia itamajitsipana. Nexata baja majita. 
MAT.25.6	Bajaraxuacujinae ayaimeravi tuatuajëta jumetane pevavajaijava. “¡Najetaruca rajane baja penacasabinënexa! ¡Papitsaparemena jane baja panecopiapitsinexa!” pejaijava jumetane. 
MAT.25.7	Nexata daxita bajarapapetiriavi nonobapuna pecopiapitsinexa jane baja. Papetiriavi aceiteranë tsicapona, epaca pijalámparabëxijavabelia. Caeva canacujitsia pijalámparabëxi ayaicotia exana. 
MAT.25.8	Nexata papetiriavi apo tsicaponae aceiteranë, jumaitsi aceiteranë petsicaponaevijavabelia mapacueniaje: “Panenarajure tsiquirijavaxi aceiteraxi. Tsipaji patajalámparabëxi panetoitacaëcaënapona,” jai bajarapamonae. 
MAT.25.9	Itsiata aceiteranë petsicaponaevi jumaitsi: “Jume. Apo caëjëpae. Paxanë ata meta apo panetocaëjëpae tsipae. Paponaremelia. Panijacuata pacomuare itsajotalia canajetabiaba aceiteranë,” jai aceiteranë petsicaponaevi pijalámparabëxinexa. 
MAT.25.10	Nexata papetiriavi aceiteranë apo tsicaponae pijalámparabëxinexa, ponalia aceiteranë pecomuacaenexa. Nexata pecovëta penacasabinënexa patanajetaruca. Nexata papetiriavi aceiteranë tsicapona pijalámparabëxinexa, napona baja penacasabifiestanexa pexanaebojavabelia. Pejonecujinaelia baupaxatata. 
MAT.25.11	Bajaraxuacujinae aceiteranë pijalámparabëxi petsicomuacaevi pata. Nexata bajarapapetiriavi jumaitsi penacasabinënexajavabelia: “¡Panetobaupare! ¡Panetobaupare! jai tsanubenae bojumavelia. 
MAT.25.12	Nexata penacasabinënexa jumaitsi: “Xaniajanë pacuenia pacatsipaebijitsiatsi. Apo pacayapëtaetsi cajena paxamë,” jai bajarapapetiriavijavabelia, jai Jesús mapalivaisije pijajivijavabelia.
MAT.25.13	Jesús icatsia jumaitsi pijajivijavabelia:
MAT.25.13	—Pacuenia cinco povabeje peyapëtaexae, aceiteranë tsicapona pijalámparabëxinexa, bajara pijinia pacuenia paxamë ata paneyapëtaexae, jamatabëcueneaitavaya panecopiaevetavanapaename. Tsipaji apo payapëtaemë tsane pamatacabita, paepatota ata, xanë, Daxitajivi Pematapijinënë, icatsia patsijitsianëtsica, jai Jesús pijajivijavabelia.
MAT.25.14	Jesús icatsia jumaitsi pijajivijavabelia:
MAT.25.14	—Tacovëta patajajivimë, itsamonae ata, pamonae tajajivi, panetonacuenebianame. Nexata pamatacabi icatsia patsianicajë, pacuenia pacasivanajamatabëxainaejitsiatsi, aeconoxae pacatsipaebianatsi. Pacatsipaebianatsi comparacióncuenia mapacueniaje. Petuxanenë itsa ponaejitsia tajënacuayabelia, junata pijajivi. Evetsiaexana pijapalata petoevetsinexatsi pecovëta.
MAT.25.15	Caenë canacujitsia evetsiaexanapona petocanacuenebinexatsi pecovëta pacuenia bajarapamonae caëjëpatsi. Nexata petuxanenë pijinia evetsiaexana cinco mil ponëbeje pepovi, bitso penamatamotsivi. Itsanë pijinia evetsiaexana dos mil ponëbeje. Itsanë pijinia evetsiaexana mil ponëbeje. Bajaraxuacujinae petuxanenë pona tajënacuayabelia.
MAT.25.16	Nexata jane baja ponë evetsiaexana cinco mil ponëbeje, canacueneba jane baja pecovëta bajarapapalata. Nexata pematatsënëa topitsapatsi icatsia itsacinco mil ponëbeje. Nexata baja daxitata diez mil ponëbeje caejavata. 
MAT.25.17	Bajara pijinia pacuenia itsanë canacueneba dos mil ponëbeje. Nexata pematatsënëa topitsapatsi icatsia itsados mil ponëbeje. 
MAT.25.18	Itsiata baitsi jane ponë toeveta mil ponëbeje, pona pematayatsinexa pijatuxanenë pijapalata. Matayatsia mëthëteta irata.
MAT.25.19	Bexëa nexata najetaruca petuxanenë. Junata pijajivi peyapëtaenexa pacuenia toevetatsi pecovëta pijapalata. 
MAT.25.20	Copiaya pata ponë cinco mil ponëbeje evetsiaexanatsi. Nexata bajaraponë tocanaviata pijatuxanenëjavabelia diez mil ponëbeje. Jumaitsi bajaraponë pijatuxanenëjavabelia: “Nevetsiaexaname cinco mil ponëbeje tacatoevetsinexa. Bajara macatocanaviatatsi bajarapapalataje. Catocanaviatatsi yajava icatsia itsacinco mil ponëbeje, xua nacanabajë bajarapapalatata,” jai bajaraponë pijatuxanenëjavabelia. 
MAT.25.21	Nexata petuxanenë jumaitsi: “Xanepana rabaja. Xaniavaetsia netoevetaponaponame. Itsajamatabëcuene apo najamatabëxainaemë. Tsiquirijavayo ata xaniavaetsia netoevetame. Nexata aeconoxae caevetsiaexanaenatsi pematatsënëa ayaijava. Jonemena xanëjavaberena barëyaya neponaponaenexa xanëjavata,” jai petuxanenë pijajivitonëjavabelia. 
MAT.25.22	Bajaraxuacujinae pata ponë dos mil ponëbeje evetsiaexanatsi. Nexata bajaraponë jumaitsi pijatuxanenëjavabelia: “Nevetsiaexaname dos mil ponëbeje tacatoevetsinexa. Bajara macatocanaviatatsi bajarapapalataje. Catocanaviatatsi yajava icatsia itsados mil ponëbeje, xua nacanabajë bajarapapalatata,” jai bajaraponë pijatuxanenëjavabelia. 
MAT.25.23	Nexata petuxanenë jumaitsi: “Xanepana rabaja. Xaniavaetsia netoevetaponaponame. Itsajamatabëcuene apo najamatabëxainaemë. Tsiquirijavayo ata xaniavaetsia netoevetame. Nexata aeconoxae caevetsiaexanaenatsi pematatsënëa ayaijava. Jonemena xanëjavaberena barëyaya neponaponaenexa xanëjavata,” jai petuxanenë pijajivitonëjavabelia. 
MAT.25.24	Icatsia pata ponë evetsiaexana mil ponëbeje. Bajaraponë jumaitsi pijatuxanenëjavabelia: “Cacueneyapëtanetsi. Xamë nijajivi apo itaxutobejiobiataeyabiabimë. Xamë nijajivi ubiaexanabiabame neubiaexanabiabijava nexata bajarapamonae pejamatabëcueneta ayaijava palata pecatopitsapaenexa. Bajara pijinia pacuenia xanë ata nevecuapitsipame xua nacanabijitsipajë nijapalatata itsa canacuenebijitsipajë. 
MAT.25.25	Bajaraxuata junavajë. Ponajë irata tamatayatsiamëthëtetsinexa nijapalata. Bajara manijapalata catocanaviatatsije,” jai bajaraponë pijatuxanenëjavabelia. 
MAT.25.26	Nexata petuxanenë jumaitsi: “Tajajivitonë atamë, itsiata ajamatabëcuenebejemë. Afaetabimënua. Xamë baja cajena yapëtaneme tajajivi taubiaexanabiabijava, taubiaexanabiabijava nexata bajarapamonae pejamatabëcueneta ayaijava palata tanetopitsapaenexa. 
MAT.25.27	Bajaraxuata xanepanaejitsipa itsa netocanacuenebiaexanaejitsipame tajapalata banco pevetsivijavabelia. Nexata aeconoxae banco pevetsivi tajapalata pecacovaetsijamatabëcuene netocanaviatsipa tajapalata pematatsënëa,” jai petuxanenë pijajivitonëjavabelia.
MAT.25.28	Nexata petuxanenë jumaitsi bajarajota penubenaevijavabelia: “Pavecuapire bajarapamil ponëbeje. Nexata juya parajure ponëjavabelia xaina diez mil ponëbeje. Tsipaji bajaraponë caëjëpatsi tanetoevetsinexa pematatsënëa. 
MAT.25.29	Tsipaji pajivi ayaijava baja xaina, pematatsënëa icatsia itsajava rajutsianatsi. Nexata xainaena ayaijava. Itsiata pajivi tsiquirijavayo xaina, bajarapajivi pijatsiquirijavayomi vecuapitsianatsi. 
MAT.25.30	Maponë tajajivitonëje, itsacuenejavayonexa ata, apo netoxanepanae. Paxuabaremelia pitaquirijavabelia. Bajarajota natsinuena. Navonosiniananua bitso penavixaetaexae,” jai petuxanenë, jai Jesús comparacióncuenia pijajivijavabelia.
MAT.25.30	Bajarapacuenia Jesús jumaitsi pamonae pijaneconi pexainaevi Jesús penaneconitsiaexanaenexa pamatacabi icatsia patsianica.
MAT.25.31	Jesús tajëvelia navajunupaeba pacuenia itsamatacabi exanaejitsia mapanacuataje. Jesús jumaitsi pijajivijavabelia mapacueniaje:
MAT.25.31	—Xanë, Daxitajivi Pematapijinënë, icatsia itsa najetarucaenajë daxitanacua taevetsinexa, ángelevi nematatoyoronaeya yajavanajetarucaenajë. Nexata ecaenajë tajapenivenivenaetronovënëjavata. 
MAT.25.32+MAT.25.33	Nexata daxitanacuanëpijivi caetuatsianatsi taitabarata. Tsataponaenajë bajarapamonae. Oveja pevetsinë ovejavecua chivo saicaya tsatapona. Nexata oveja pevetsinë petsavenonenia chivo nubenaeyaexana. Pecujuanenia pijinia oveja nubenaeyaexana. Bajara pijinia pacuenia xanë tsataponaenajë Dioso apo pejumecovënëtsivi, Dioso pejumecovënëtsivivecua. Dioso apo pejumecovënëtsivi tatsavenonenia nubenaeyaexanaenajë. Dioso pijinia pejumecovënëtsivi tacujuanenia nubenaeyaexanaenajë. 
MAT.25.34	Nexata jumaitsinë tsane tacujuanenia penubenaevijavabelia, Dioso pejumecovënëtsivi: “Naxanitsia. Paxamë taxa papecaitaxutotsoniataevi. Payajavajinavanapaename taxa pijanacuatatsia, itsajotatsia pacatoxaniavaeta tajëvelia. Dioso pacatoxaniavaeta nacua pexanaejavaveliacujinae. 
MAT.25.35	Itsa tajani, paxamë taxaejava panerajutame. Itsa mera jitsipajë, panerajutame mera. Itsanacuaverena itsa patajë, panecopiapitame xaniavaetsia. 
MAT.25.36	Itsa ajibi bitso tanaxatatsijava, panerajutame tanaxatatsijavanexa. Itsa avitanenë, papatame patanevetsinexamë. Itsa neeta penaneconitsivi pejebabiabibota, papatame patanetaenexamë,” janë tsane tacujuanenia penubenaevijavabelia. 
MAT.25.37	Nexata bajarapamonae nejumai tsane: “Tajatuxanenë, ¿detsa pacujinae niajanijavata patajacarajutsi nexaejava?” nejai tsane. ¿Detsa pacujinae mera nejitsipaejavata patajacarajutsi mera? nejai tsane. 
MAT.25.38	Itsa jume, nejumai tsane: “¿Detsa pacujinae itsanacuaverena nepatsinë patajacacopiapitsi xaniavaetsia?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae piajibijavata bitso nenaxatatsijava patajacarajutsi nenaxatatsijavanexa?” nejai tsane. 
MAT.25.39	Itsa jume, nejumai tsane: “¿Detsa pacujinae niavitanejavata patajaponae patacaevetsinexa?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae pecaetsijavata penaneconitsivi pejebabiabibota patajaponae patacataenexa?” nejai tsane. 
MAT.25.40	Nexata xanë jumaitsinë tsane bajarapamonaejavabelia: “Xaniajanë pacuenia pacatsipaebijitsiatsi. Daxita xua patoexaname paneyavenonaenexa tajajiviyajuvënëjivi, beveliajamatabëcuenevi petaevitsijavabelia, bajaraxua xanë taniji xanëjavaberena bepatanetoexanaejavamë,” janë tsane.
MAT.25.41	’Nexata tatsavenonenia penubenaevi, Dioso apo pejumecovënëtsivijavabelia, jumaitsinë tsane: “Panevecuanatsare panijaneconi paneyajavajinavanapaevi. Paponaremelia apo pevereverecaeisotojavabelia. Bajarapaisoto Dioso tajëvelia toxaniavaeta dovathinexa, dovathi pijajivinexa ata. 
MAT.25.42	Xanë itsa tajani, paxamë apo panerajutsimë taxaejava. Itsa mera jitsipajë, apo panerajutsimë mera. 
MAT.25.43	Itsanacuaverena itsa patajë, apo panecopiapitsimë xaniavaetsia. Itsa ajibi bitso tanaxatatsijava, apo panerajutsimë tanaxatatsijavanexa. Itsa avitanenë, apo papatsimë patanevetsinexamë. Itsa neeta penaneconitsivi pejebabiabibota, apo papatsimë patanetaenexamë,” janë tsane tatsavenonenia penubenaevijavabelia. 
MAT.25.44	Nexata bajarapamonae pijaneconi peyajavajinavanapaevi nejumai tsane: “Tajatuxanenë, ¿detsa pacujinae niajanijavata apo pacarajutsitsi nexaejava?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae mera nejitsipaejavata mera apo pacarajutsitsi?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae itsanacuaverena nepatsinë, apo pacacopiapitsitsi xaniavaetsia?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae bitso pecatoajibijavata nenaxatatsijava, apo pacarajutsitsi nenaxatatsijavanexa?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae niavitanejavata, apo paponaenë patacaevetsinexa?” nejai tsane. Itsa jume, nejumai tsane: “¿Detsa pacujinae penaneconitsivi pejebabiabibota pecaetsijavata, apo paponaenë patacataenexa?” nejai tsane bajarapamonae. 
MAT.25.45	Nexata xanë jumaitsinë tsane bajarapamonaejavabelia: “Xaniajanë pacuenia pacatsipaebijitsiatsi. Bajarapacuenia itsa apo patoexanaemë paneyavenonaenexa tajajiviyajuvënëjivijavabelia, nexata bajaraxua xanë taniji xanëjavaberena apo patanetoexanaejavamë,” janë tsane pijaneconi peyajavajinavanapaevijavabelia. 
MAT.25.46	Bajaraxuacujinae bajarapamonae ponaena penaneconitsiajinavanapaenexa daxitamatacabijavabelianexa. Pamonae Dioso pejumecovënëtsivi, bajarapamonae Dioso rajutsianatsi matacabi apo pevereverecaejava, jai Jesús pijajivijavabelia tajëvelia penavajunupaebijavata itsamatacabi penaneconitsiaexanaejavanexa pijaneconi pexainaevi, pamatacabi icatsia patsianica.
MAT.26.1	Itsa baja Jesús najumevereta pijajivijavabelia livaisi petsipaebijava, Jesús icatsia tajëvelia navajunupaeba itsamonae cruzajavabelia pecobematabiabarutsijavanexatsi. Jesús jumaitsi pijajivijavabelia mapacueniaje:
MAT.26.2	—Payapëtaneme rabaja anijamatacabibeje pesajinaejava pejonenexa baja pascuavënëfiesta. Nexata xanë, Daxitajivi Pematapijinënë, necanajetsiana itsamonae pecobeyabelia tanecobematabiabarutsinexa cruzajavabelia, jai Jesús pijajivijavabelia tajëvelia penavajunupaebijavata cruzajavabelia pecobematabiabarutsijavanexatsi.
MAT.26.3	Nexata bajarapaepatota nacaetuata sacerdotevi penamatacaitorobivi. Nacaetuata judíovi pecujarubivinua. Nacaetuata judíovi pijaancianovinua. Daxita bajarapamonae nacaetuata Caifásvënënë pijaboxanetota. Bajaraponë Caifás, sacerdotevi pepo penamatacaitorobinë.
MAT.26.4	Bajarajota daxita bajarapamonae najumejaita. Penajumetsënëtsilivaisita picani Jesús jamatabëvaetabatsi pebeyaxuabinexatsi. 
MAT.26.5	Itsiata bajarapamonae najumaitsi:
MAT.26.5	—Fiestajavata meta abaxë apo vaetabi tsanetsi jivi vajanacaitsacueniabiyaniva, najai daxita bajarapamonae.
MAT.26.6	Jesús ponapona Betania tomarata, Simón pijabota. Simón bajayajebi bitso peperabëtsabanaenëmi. 
MAT.26.7	Nexata Jesús petiriva cobenaimoxoyorenatsi petuxujuviaceitera, alabastrobotellabëta pejeaceitera. Bajarapora bitso penamatamotsira. Nexata Jesús penabanecaejavata mesata, bajarapova tsimataepanaicatsi bajarapaaceitera. 
MAT.26.8	Nexata Jesús pijajivi itsa taeyena Jesús petsimataepanaejavatsitsica bajarapaaceitera, Jesús pijajivi jamatabëcueneanaepanareca. Nexata ëpamonae najumai tsenae:
MAT.26.8	—¿Detsa xuajitsia saya xuaba bajarapacuenia maporaje? 
MAT.26.9	Canajetsipa rajane. Nexata matamopitsipa ayaimatamo. Bajarapapalata rajutsipa bepejiobivi bajarapacuenia peyavenonaenexa, najai tsenae Jesús pijajivi.
MAT.26.10	Nexata Jesús jumetane bajarapacuenia pijajivi pejumaitsijava. Nexata Jesús jumaitsi pijajivijavabelia:
MAT.26.10	—¿Detsa xuajitsia bajarapacuenia pajumaitsimë bajarapova pexanaejava yabara? Mara povaje pexaniacuene nexanaje. 
MAT.26.11	Daxitamatacabi raja bepejiobivi jinavanapa itsaxuayo pajinavanapame. Itsiata baitsi jane xanë daxitamatacabi apo ponaponaenë tsane paxamëjavata. 
MAT.26.12	Itsamonae petëpaejivi batsiperabëepana petuxujuviaceitera peperabëxaniavaetsinexa pemëthëtsivajënae. Bajara pijinia pacuenia mapovaje netsimataepana petuxujuviaceitera, abaxë apo tëpae atanë. Nexata baja bajarapova neperabëxaniavaeta itsamonae tanemëthëtsivajënae. 
MAT.26.13	Xaniajanë pacuenia pacatsipaebijitsiatsi. Daxitanacuanëjava tajajivi itsa paebanajetarubenaena pexanialivaisi jivi tacapanepaelivaisinexa, vajunupaebabiabiananua pacuenia exana xanëjavaberena mapapetirivaje, jai Jesús pijajivijavabelia tajëvelia penavajunupaebijavata pebeyaxuabijavanexatsi.
MAT.26.14	Jesús pijajivi, doce ponëbejeyajuvënënë, pevënë Judas Iscariote. Nexata Judas pona sacerdotevi penamatacaitorobivijavabelia. Jesús jane baja yajumejailiatsi pecanajetsinexatsi. 
MAT.26.15	Nexata Judas jumaitsi sacerdotevi penamatacaitorobivijavabelia:
MAT.26.15	—¿Detsa pacuenia panerajutsipame panecobeyabelia itsa canajetsipajë Jesús? jai Judas.
MAT.26.15	Nexata bajarapamonae Judas matamotatsi treinta ponëbeje pepo palatanëanë, bitso penamatamotsinëanë. 
MAT.26.16	Nexata bajaraxuacujinae Judas Jesús naitaxutocaevetsia ponapona. Nexata paepatota Judas toyapëxanepanatsi, perajutsinexa jane baja Jesús bajarapamonae pecobeyabelia.
MAT.26.17	Junua jane baja fiesta, pafiestajava judíovi baxane levadurata matajërëabinejeva pexanaepan. Nexata Jesús pijajivi imoxoyorenatsi. Yanijobatsi pijajivi.
MAT.26.17	—¿Detsa belia paponaenajë patacamitsaexanaenexa, xua jivi baxane pascua fiestamatacabi, nexaenexa? jai Jesús pijajivi.
MAT.26.18	Nexata Jesús jumaitsi pijajivijavabelia:
MAT.26.18	—Paponare tomarabelia. Pacatsipaebianatsi ponë pijabota papatsijitsiamë. Pajumaitsimë tsane bo pexainaenëjavabelia mapacueniaje: “Vajanacacujarubinë raja jumaitsi: ‘Imoxoyo rabaja tavajënae tanebeyaxuabinexa. Nexata bajaraponë pijabo netsicopatsiana patacabarëxaenexa xua jivi baxane pascua fiestamatacabi,’ jai raja vajanacacujarubinë,” pajamë tsane bo pexainaenëjavabelia, jai Jesús pijajivijavabelia.
MAT.26.19	Nexata baja Jesús pijajivi pona pacuenia Jesús jumaitsi. Nexata xua jivi baxane pascua fiestamatacabi daxita Jesús pijajivi pebarëxaenexa, Jesús pijajivi exana jane baja.
MAT.26.20	Nexata baja ajena meraviyotsia, Jesús pijajivi, doce ponëbeje, barëeca mesa muxuneneta. 
MAT.26.21	Nexata pexaeyenaejavata Jesús jumaitsi pijajivijavabelia:
MAT.26.21	—Xaniajanë pacuenia pacatsipaebijitsiatsi. Caenë paxamëyajuvënënë necanajetsiana tajavajabitsaë pecobeyabelia, jai Jesús pijajivijavabelia Judas yabara.
MAT.26.22	Nexata Jesús pijajivi bejamatabëjiobireca. Nexata Jesús pijajivi, caenë canacujitsia, Jesúsjavabelia yanijobapona.
MAT.26.22	—Tajatuxanenë, ¿xanë tsaja tsane? jai tsaponae Jesús pijajivi.
MAT.26.23	Nexata Jesús jumaitsi pijajivijavabelia:
MAT.26.23	—Ponëbeje peneta caecuenia panajuacajabutsianajëbeje panbë platojavabelia, bajaraponë necanajetsiana tajavajabitsaë pecobeyabelia. 
MAT.26.24	Xanë, Daxitajivi Pematapijinënë, tëpaenajë pacuenia baja cajena xanë yabara Dioso pejumelivaisibaxutota tajëvelia jumaitsi. Itsiata ponë tajavajabitsaë pecobeyabelia necanajetsiana, bajaraponë bitso bejiobi tsane pinijicuenia. Itsa meta bajaraponë apo naexanae tsipae, bajarapacuenia apo necanajetsi tsipae. Nexata xanepanaejitsipa bajaraponë itsa apo naexanae tsipae. Tsipaji apo naneconitsi tsipae Diosojavabelia, jai Jesús pijajivijavabelia Judas yabara.
MAT.26.25	Nexata Judas, ponë jane baja canajetsijitsiatsi Jesús pijavajabitsaë pecobeyabelia, jumaitsi:
MAT.26.25	—Petuxanenë, ¿xanë tsaja tsane? jai.
MAT.26.25	Nexata Jesús jumaitsi:
MAT.26.25	—Jãjã, xamë rabaja tsane, jai.
MAT.26.26	Pexaeyenaejavata Jesús pita panbë. Jesús jumaitsi Diosojavabelia:
MAT.26.26	—Pexaniacuene panetoexaname. Panerajutame pan, jai.
MAT.26.26	Bajaraxuacujinae Jesús epatsënëquejeba bajarapapanbë. Rajuta pijajivi. Jesús jumaitsi pijajivijavabelia:
MAT.26.26	—Paxaema. Mara tavitoje, jai.
MAT.26.27	Bajaraxuacujinae icatsia Jesús copavënëjavata yapita piapaeranexa. Diosojavabelia jumaitsi:
MAT.26.27	—Pexaniacuene panetoexaname. Panerajutame maporaje, jai.
MAT.26.27	Bajaraxuacujinae pijajivi bajarapora rajuta. Jumaitsi pijajivijavabelia:
MAT.26.27	—Papaema padaxitamë maporaje. 
MAT.26.28	Tsipaji tajana othopaena jivi ayaibitsaëtoxaneto pibisiacuene pexanaeneconi pevecuaajibiaexanaenexatsi. Nexata tatëpaejava pejamatabëcueneta, jivi yapëtaena pepacuene xaniajai Dioso jivi pecapanepaejavanexa, pacuenia baja cajena tajëvelia Dioso najumecapanepaeya jumaitsi. 
MAT.26.29	Xaniajanë pacuenia pacatsipaebijitsiatsi. Xanë rabaja mapanacuataje matavëjëa apo apaenë tsane uvacuaira, matapania icatsia pejanauvacuaira pacayajavaapaenatsi taxa pijanacuatatsia, jai Jesús pijajivijavabelia penavajunupaebijavata pebeyaxuabijavanexatsi.
MAT.26.30	Jesús pijajivi barënaxëana Diosojumevajianë. Bajaraxuacujinae Jesús pijajivi barëpona petsutojumabelia. Patsutojumata olivonaenë apaaxayo, bajarapatsutojumabelia barëpona. 
MAT.26.31	Nexata bajarapatsutojumata Jesús jumaitsi pijajivijavabelia:
