MAT.1.1	A Yesu Kɩrɩsɩto sãakpãmɩne nɩ nyã, wʊ yin a Nãa David nɩ Abraham bal pɔ, 
MRK.14.63	Ka a bɔɔrlo nãa tɔɔ a fuu chɩɛr nɩ suur, tɩ sʊʊr, “Bãa lɛ sɩn lɛ bʊɔrɔ nɩrɛ ɩka wʊ lɛ 'yɛr a wʊ 'yɛr go? 
MRK.14.64	Yɩn mãɛ wõ naa a lɛ wʊn fere. Ŋmɩnɛ lɛ yɩ tɩɛr?” Ka ba jaa 'yɛr ɩka wʊ sɛɛn kũu. 
MRK.14.65	Be lɛ a bamɩne piel chɩrɛ nataar 'yɔ̃ɔnɔ̃ wʊ, ka a bamɩne mɩ pɔɔ a wʊ nɩbie tɩ ŋme wʊ, tɩ sʊʊr wʊ, “Wiil sɩ a nɩrɛ 'lɔ na ŋme fʊ.” Ka a bala mɩ na guro a Puorfʊ Yir mɩ ŋme ŋme wʊ.
MRK.14.66	Pita jãnɛ naa a be a bɛchaar pɔ, ka a bɔɔrlo nãa gbãgbapɔɔbile ãsʊɔ wa wa. 
MRK.14.67	Wʊn wa nyɛ a Pita na uoro a bũu, wʊ kaa wʊ naa lɛ̃ɛɛ tɩ 'yɛr, “Fʊ mɩ dɔ̃ɔ turo a Yesu na yi a Najaretɩ.”
MRK.14.68	Ka a Pita chɩɩr tɩ 'yɛr, “N ba bɔ̃ɔ a lɛ fʊn 'yɛrɛ par ɛ.” Tɩ na wʊ tɔɔ chen tɩ ara a dɔ̃dɔr nɛɛ.
MRK.14.69	A pɔɔbile na wa nyɛ a Pita a be, wʊ lɛ 'yɛr kʊ a nɩbɛ na ara a be, “A nyã mɩ ɩ naa a ba ãsʊɔ.” 
MRK.14.70	Ka a Pita lɛ chɩɩr go. A ba kor ɛ, tɩ a bala na ara gbʊr a Pita mɩ 'yɛr, “Sɩrɛ jaa lɛ, fʊ ɩ naa a ba ãsʊɔ, bojũu Galilee lɛ fʊ mɩ yi.”
MRK.14.71	Ka a Pita pɔrɔ 'yɔ̃ɔnɔ̃ a wʊ mãɛ, tɩ pɔrɔ kʊrɔ ba 'yɛrɛ ɩka, “N ba bɔ̃ɔ a daba nyã 'yɛr yɩn 'yɛr ɛ.”
MRK.14.72	Ajienaa lɛ ka a nɔraa mɩ tɔ̃ɔ kõ a gbɛɛ ayi sʊɔ. Ka a Pita pãa tɩɛrtɔ a lɛ a Yesu na dɔ̃ɔ 'yɛr kʊ wʊ, “Fʊn chɩɩr ma naa gbɛɛ ata, tɩ ka a nɔrdɔ̃ɔ kõ gbɛɛ ayi.” Pita na wa tɩɛr bɔ̃ɔn a lɛ, ka wʊ kõ yɔɔ jaa.
MRK.15.1	A wɛr na wa chaar bibio, a Juu nɩbɛ bɔɔrlo nɩbɛrɛ nɩ a Mosesɩ Nɛɛ wiwiilbe nɩ a nɩbɛrɛ ba jaa nɩ a 'yɛr tɔɔrfʊ nɩbɛrɛ na chɛ, lɔ̃ɔn guor taa lũ a Yesu tara wʊ chiin tɩ kʊ a nãa Pilate.
MRK.15.2	Ka a Pilate sʊʊr wʊ, “Fʊ̃ʊ lɛ ɩ a Juu nɩbɛ nãa ɔ?” Ka a Yesu 'yɛr, “Ɔ̃ɔ, a ɩn a lɛ fʊn 'yɛr.” 
MRK.15.3	Ka a bɔɔrlo nɩbɛrɛ sɔ̃ɔnɔ̃ a Yesu yuor. 
MRK.15.4	Be lɛ a Pilate sʊʊr a Yesu, “Faa 'yɛrɛ 'yɛr jaa ɛ, nyɛ lɛ ban sɔ̃ɔnɔ̃ fʊ a yuor jã!”
MRK.15.5	Tɩchɛ Yesu ba haa nɛɛ ɛ, ka a 'maa a Pilate nɛɛ.
MRK.15.6	A mɩ ɩ naa a ba tʊ̃mɔ̃ lɛ ka bala wa lɔ̃ɔ taa dire a Gõl Bar Difʊ, a ba nãa ma ir nɩrɛ 'lɔ a nɩbɛ na bʊɔrɔ a pɔɔfʊ die pɔ bar. 
MRK.15.7	Barabasɩ mɩ dɔ̃ɔ pʊɔ a nɩbɛ bamɩne pɔ, na dɔ̃ɔ ir jɛɛr nɩ a paal nɩkpɛ̃ɛ na ba kʊ nɩbɛ, ka ba nyɔɔr ba pɔɔ. 
MRK.15.8	Nɩyɔɔ wa naa a Pilate sɛ̃ wa sʊɔr wʊ ɩka, wʊ ɩ kʊ ba a lɛ wʊn ma ɩ.
MRK.15.9	Ka a Pilate sʊʊr ba, “Yɩ bʊɔrɔ naa ɩka n ir a Juu nɩbɛ nãa kʊ yɩ bɩɩ?” 
MRK.15.10	Pilate bɔ̃ɔn naa ɩka a nyuur ban tara nɩ a Yesu lɛ vɛ̃ ban nyɔɔ wʊ waan a wʊ sɛ̃. 
MRK.15.11	Tɩchɛ ka a bɔɔrlo nɩbɛrɛ dʊ̃ a nɩbɛ toor ɩka, ba 'yɛr ɩka, wʊ yuo a Barabasɩ bar.
MRK.15.12	Ka a Pilate sʊʊr ba go, “Tɩ n ɩ ŋmɩnɛ nɩ a 'lɔ yɩn bʊɔlɔ a Juu nɩbɛ nãa?” 
MRK.15.13	Ka ba tãn, “Kpa wʊ a daa ju!”
MRK.15.14	Be lɛ ka a Pilate sʊʊr ba, “Bãa wʊ ɩ? Bo tʊ̃dɛɛr lɛ wʊ tʊ̃?” Tɩchɛ ka ba tãna kpɛ̃ɔ jaa, “Kpa wʊ a daa ju!”
MRK.15.15	Pilate na bʊɔrɔ ɩka wʊ pɛl a nɩbɛ pʊɔ jũu, wʊ yuo naa a Barabasɩ kʊ ba. Wʊ vɛ̃ naa ka ba fɔb a Yesu yɔɔ jaa, tɩ de wʊ kʊ a sojasɩ ɩka, ba tɩ kpa wʊ a daa ju, ka wʊ kpi.
MRK.15.16	Be lɛ a sojasɩ tara a Yesu kpɛ̃n a nãa yir kpɛ̃ɛ 'lɔ pɔ, tɩ bʊɔl a ba taaba sojasɩ lɔ̃ɔ taa. 
MRK.15.17	Ba den fuu jɩɛ nãa fuu kaar su wʊ, na ba lɛ de gʊʊr vil nãa jupil kaar su wʊ. 
MRK.15.18	Tɩ pãa piel laara wʊ, “Yãan yooo, Juu nɩbɛ nãa!” 
MRK.15.19	Tɩ ma de daa ŋmen wʊ a jũu tɩ chɩrɛ nataar 'yɔ̃ɔnɔ̃ wʊ. Ba gbur dumo a wʊ niem puoro wʊ. 
MRK.15.20	Ban wa la wʊ a nɩtɔ̃ wa baar, ba yaa naa a fuu 'lɔ̃nɔ̃ bar, tɩ de a wʊ mãɛ fuu su wʊ, na ba pãa de wʊ chiin ɩka ba tɩ kpa wʊ a daa ju.
MRK.15.21	A sɔr pɔ, ba nyɛn Simon na yi Sirenɩ tẽe pɔ, Aleksanda nɩ Worofʊs sãa lɛ. Mʊɔ pɔ lɛ wʊ yi tala, ka ba nyɔɔ wʊ fɩr ka wʊ de a Yesu daa tuo. 
MRK.15.22	Ba chiin naa a Yesu tɩ tãn a be ban bʊɔlɔ a Yesu nɩbɛ kɔkɔr pɔ, Gɔlgɔta. A par lɛ ɩka, Julaa Jie. 
MRK.15.23	Ka ba pãa de tãɩ kɔ̃ɔ 'yɔ̃ɔ a dãa pɔ, ɩka wʊ nyũ, tɩ wʊ tɔr. 
MRK.15.24	Be lɛ ba kpa wʊ a daa ju. Ba põ naa a wʊ fɔɔr na ba ŋme gbãm bɔ̃ɔ a ala ãsʊɔ jaa na na de.
MRK.15.25	Bibipɔl lɛ ba kpa wʊ. 
MRK.15.26	Ba sɛb naa a yele 'lɔ jũu ban kʊn wʊ mar a daa jũu ɩka, “A JUU NƖBƐ NÃA.” 
MRK.15.27	Ba mɩ kpan nãnyisɩ ayi a dabãbãnsɩ mɩ ju, ka ãsʊɔ be a Yesu nũsʊ̃ɔ loor ka a ãsʊɔ mɩ be a wʊ gʊba loor. 
MRK.15.29	A bala na tala a be a wʊ kpafʊ jie tʊrɔ wʊ, vavire a ba jur 'yɛrɛ, “Wooo, a fʊ̃ʊ nyã na 'yɛr ɩka fʊn sɔ̃ɔ naa a Nãaŋmɩn Puorfʊ Yir nyã bar tɩ mɛ wʊ a ber ata, 
MRK.15.30	wa suu a daa ju, na fʊ faa a fʊ mãɛ!”
MRK.15.31	Lɛ nɩ wʊ ju lɛ, a Juu nɩbɛ bɔɔrlo nɩbɛrɛ nɩ a Mosesɩ Nɛɛ wiwiilbe mɩ laara wʊ, na ba 'yɛrɛ kʊrɔ taa, “Nyɛ, wʊ faan bamɩne, tɩ wʊ kʊ̃ tʊ̃ɔ a wʊ mãɛ faa ɛ! 
MRK.15.32	Vɛ̃ a 'lɔ na 'yɛr ɩka, 'lɔ lɛ ɩ a Nɩ-iraa, na wʊ ɩ a Isɩral nɩbɛ nãa, suu a daa ju a sɩ kaa, tɩ na sɩ pãa sɔɔ.” A bala mɩ ban kpa gbʊr wʊ, lɛ lɛ ba mɩ tʊ wʊ.
MRK.15.33	A mɔ̃tɔ̃ɔ na wa ara a gar ju sãlsɔɔ, a wɛr wʊ jaa sɔb naa wa tɩ tãn a mɔ̃tɔ̃ɔ balfʊ sɔ̃ɔ. 
MRK.15.34	A sɔ̃ɔ 'lɔ̃nɔ̃ pɔ lɛ, ka a Yesu chɩɩr bʊɔl, “Eloi, eloi, lama sabakatanɩ.” A par lɛ a Yesu nɩbɛ kɔkɔr pɔ ɩka, “N Nãaŋmɩn, n Nãaŋmɩn, bo lɛ so ka fʊ lɩɛb puor 'yɔ̃ɔ ma?”
MRK.15.35	A bala na ara gbʊr a be wõ na ba 'yɛr, “Yɩ chɛlɛ! Elaija lɛ wʊ bʊɔlɔ.”
MRK.15.36	Ka a daba ãsʊɔ jo chen tɩ 'mɔɔ sapɔ 'lɔr a dãmiir amɩne pɔ, na wʊ chab daa tur a Yesu ɩka wʊ mʊʊr, tɩ na wʊ lɛ 'yɛr, “Yɩ vɛ̃ a sɩ kaara, Elaija na wa yɔɔ wʊ naa bɩɩ.”
MRK.15.37	Be lɛ a Yesu chɩɩr tɩ ŋmaa a vʊʊr.
MRK.15.38	Ka a Juu Nɩbɛ Puorfʊ Yir pɔ, ban lũ a fɔbaa var a die chɩɛr a saaju tɩ gbem a par.
MRK.15.39	A sojasɩ nɩkpɛ̃ɛ na ara a be a Yesu niem na wõ a wʊ chɩɩrfʊ, tɩ nyɛ a lɛ mɩ wʊn ŋmaa a vʊʊr, wʊ 'yɛr naa, “Yelmãɛ jaa, a daba nyã ɩ naa a Nãaŋmɩn Bie.”
MRK.15.40	A pɔbɔ bamɩne lɔ̃ɔn Mɛɛr na yi Magdala tẽe pɔ, nɩ Salome, nɩ a Mɛɛr na ɩ a Jemesɩ bile, nɩ Josesɩ ma mɩ ara na tɛɛr jaa tɩ kaar wʊ. 
MRK.15.41	A Galilee pɔ, a pɔbɔ banyãna lɛ turo wʊ, na ba sʊ̃nɔ̃ wʊ. Ka a pɔbɔ bamɩne mɩ na 'matãan wʊ wa a Jerusalɛm, mɩ be be.
MRK.15.42	A daar 'lɔ ɩ naa a ba Chɔɔrfʊ Bɩbir ban na chɔɔr a ba mãɛ, bojũu a mɔ̃tɔ̃ɔ wa mʊr, a Pɛ̃nfʊ Bɩbir piel naa. A jãanʊɔr na wa tara 
MRK.15.43	a Josefʊ na yi a Arimatɩya tẽe pɔ, na ɩ a nɩkpɛ̃ɛ ãsʊɔ ban 'yɔ̃ɔnɔ̃, tɩ mɩ dɔ̃ɔ chɛlɛ a Nãaŋmɩn Nãalʊ̃ʊ, nyɔɔn nyãa chen a Pilate sɛ̃, tɩ sʊɔr a Yesu ãgãn ɩka wʊ ũu. 
MRK.15.44	Pilate na wa wõ ɩka a Yesu kpi naa, a 'maa wʊn nɛɛ. Be lɛ wʊ bʊɔl a sojasɩ nɩkpɛ̃ɛ ka wʊ wa, ka wʊ sʊʊr wʊ, “A Yesu kpin bɩɩ?” 
MRK.15.45	Ka a sojasɩ nɩkpɛ̃ɛ 'yɛr, “Ɔ̃ɔ, wʊ kpi naa.” Ka a Pilate sɔɔ ɩka a Josefʊ wʊ tɩ yɔɔ a Yesu ãgãn. 
MRK.15.46	Josefʊ dãn fɔbaa na wʊ tɩ yɔɔ a Yesu ãgãn vil wʊ chiin tɩ ũu, a yaa ban chɩ kʊsɩr pɔ. Ba bil kʊsɩr wa pɔɔ a yaa nɛɛ. 
MRK.15.47	A Mɛɛr na yi a Magdala, nɩ a Mɛɛr na ɩ a Josesɩ ma, nyɛ naa a jie 'lɔ ban ũu wʊ.
MRK.16.1	A Pɛ̃nfʊ Bɩbir na wa baar, Mɛɛr na yi a Magdala, nɩ Salome, nɩ a Mɛɛr na ɩ a Jemesɩ ma, ba dãn a kãnyũur ala ɩka ba chiin tɩ jɛ a Yesu ãgãn. 
MRK.16.2	A Pɛ̃nfʊ divɩɛ bio daar, bibio mɔ̃tɔ̃ɔ na pur baar, ba chen naa a yaa par. 
MRK.16.3	A kʊsɩr na pɔɔ a yaa nɛɛ ba gbʊr ɛ, ka ba sʊrɔ taa, “An lɛ na tɩ bil a kʊsɩr bar sɩ a yaa nɛɛ?” 
MRK.16.4	Tɩchɛ ban dʊɔ kaa a ba nidaa, a kʊsɩr 'lɔ bil yi a yaa nɛɛ. 
MRK.16.5	Ban tɩ kpɩɛrɛ a yaa pɔ, ba nyɛn pɔlbile na su fuu pɩla jãnɛ nɩ a nũsʊ̃ɔ loor, ka pɩla ɔɔ ba.
MRK.16.6	A pɔlbile 'yɛr kʊ ba, “Yɩ ta vɛ̃ ka yɩ pɩla ɔɔrɔ ɛ. Yɩ bʊɔrɔ naa a Yesu 'lɔ na yi a Najaretɩ ban kpa a daa ju. Wʊ ir naa ɩ vʊr! Waa be a ka ɛ! Yɩ nyɛ a jie 'lɔ ban gaal wʊ. 
MRK.16.7	Yɩ lɩɛb kul tɩ 'yɛr a wʊ poturbo nɩ a Pita ɩka, wʊ de yɩn nie chiine a Galilee, be lɛ yɩn tɩ nyɛ wʊ, nɩtãa a lɛ wʊn dɔ̃ɔ 'yɛr kʊ yɩ.”
MRK.16.8	Chĩcham kpɛ ba naa ka ba nɛɛ 'maa, ka ba jo yi a yaa par. Baa 'yɛr 'yɛr kʊ nɩrɛ jaa ɛ, bojũu dãbãɛ kpɛ ba naa.
MRK.16.9	A Pɛ̃nfʊ divɩɛ bio daar bibio, Yesu na wa ir a kũu pɔ, wʊ den nie dũu a Mɛɛr na yi a Magdala, a 'lɔ pɔ wʊn dɔ̃ɔ dii a sɩdɛbɛ ayopõi bar ka a yi. 
MRK.16.10	A Mɛɛr chen tɩ 'yɛr kʊ a bala na dɔ̃ɔ be a Yesu sɛ̃, a bala a nie na sɔb ka baa kõnõ. 
MRK.16.11	Ban wa wõ ka wʊ 'yɛr ɩka a Yesu ir naa kũu pɔ ɩ vʊr, ka wʊ nyɛ wʊ, baa sɔɔ de ɛ.
MRK.16.12	A anyã puor lɛ, a Yesu lɩɛb nɩyuo na wʊ dũu a ba ayi na de sɔr chiine a tẽe ãsʊɔ pɔ. 
MRK.16.13	Ba lɩɛb chen a Jerusalɛm tɩ 'yɛr kʊ a ba taaba, tɩchɛ baa sɔɔ ɛ.
MRK.16.14	A ba kor ɛ, tɩ a Yesu lɛ dũu a Pie nɩ Bʊ̃'yen na 'mataa dire. Wʊ miin 'yɔ̃ɔ ba a ba ba sɔɔfʊ pɔ, nɩ a ba nyãkpãɛn jũu, bojũu baa sɔɔ de a bala na nyɛ wʊn ir a kũu pɔ 'yɛr.
MRK.16.15	Wʊ 'yɛr kʊ ba, “Yɩ yɔ a wɛr wʊ jaa, na yɩ mʊɔl 'yɛr a 'yɛr nʊ̃ɔ nyã kʊ a nɩbʊrɔ ba jaa. 
MRK.16.16	Nɩrɛ 'lɔ jaa na sɔɔ de a 'yɛr nʊ̃ɔ nyã, ka ba so wʊ a Nãaŋmɩn kʊ̃ɔ, wʊn nyɛn a Nãaŋmɩn faafʊ, tɩchɛ nɩrɛ 'lɔ jaa na ba sɔɔ de a 'yɛr nʊ̃ɔ nyã ɛ, a nɩnyɩnɛ na wɛ naa. 
MRK.16.17	A jãnsɩ anyã na turo naa bala na sɔɔ. Ban de naa n yuor diin sɩdɛbɛ ka a yi, na ba lɛ bɔ̃ɔ 'yɛrbʊlsɩ 'yɛrfʊ. 
MRK.16.18	Ban ma 'mɔɔr waba. Bala wa nyũ bon na tara lɔɔ, tɩ a kʊ̃ ɩ ba yele ɛ. Baalaa ban dɔɔl a ba nũu, wʊn sa naa.”
MRK.16.19	A Soro Yesu na wa 'yɛr a nɩtɔ̃ kʊ a wʊ poturbo, Nãaŋmɩn vɛ̃ naa ka wʊ do a saaju tɩ jãnɛ a wʊ nũsʊ̃ɔ loor. 
MRK.16.20	Be lɛ ka a poturbo yi chen tɩ mʊɔlɔ a 'yɛr nʊ̃ɔ jie jaa. Be lɛ ka a Soro 'mataa tʊ̃nɔ̃ nɩ ba, ka a wʊ nɛ'maa tʊ̃mɔ̃ anyã ban tʊ̃nɔ̃ wiil ɩka a wʊ 'yɛr nʊ̃ɔ ɩn yelmãɛ.
LUK.1.1	Nɩtãa lɛ a nɩyɔɔ na mɔ̃ man a lɛ na ɩ a sɩ ber anyã pɔ, 
LUK.1.2	a lɛ ɩn yelmãɛ, ba dɔ̃ɔ be be na ba nyɛn nɩbir a pielfʊ, na ba ɩ a 'yɛr nyã gbãgbaar. 
LUK.1.3	A lɛ jũu n baraa Teofilusɩ, n mɩ mɔ̃n vɩɛr a 'yɛr tɩ tãn a pielfʊ nyɛ ka a ɩ yelmãɛ lɛ, ka n bʊɔrɔ ɩka n sɛb a lɛ na tu taa kʊ fʊ. 
LUK.1.4	Ka fʊ na tʊ̃ɔ bɔ̃ɔ ɩka a lɛ ban wiil fʊ ɩn yelmãɛ.
LUK.1.5	A Judiya Nãa Hɛrɔd sɔ̃ɔ, a Juu nɩbɛ bɔɔrloro ãsʊɔ ben be ban bʊɔlɔ Jekariya wʊ pʊɔ naa a Abija gbul pɔ ka a wʊ pɔɔ yuor di Elijabetɩ na yi a Aaron bʊrɔ pɔ. 
LUK.1.6	Ba jaa ayi yele tor Nãaŋmɩn sɛ̃ ka ba turo a lɛ a Nãaŋmɩn nɛɛ na 'yɛr na baa tara chɛfʊ ɛ. 
LUK.1.7	Tɩchɛ baa tara bie ɛ, bojũu a Elijabetɩ abbaa ka 'lɔ naa sɩrɛ jaa nyɔ̃ɔ.
LUK.1.8	A mɩ lʊɔr wa ta a Jekariya ka wʊ̃n tʊ̃ a bɔɔr lofʊ tʊ̃mɔ̃ kʊ Nãaŋmɩn. 
LUK.1.9	Gbãm lɛ ba gba ir wʊ nɩtãa lɛ a ba bɔɔrlo tʊ̃mɔ̃ na be, ka wʊn ma kpɛ a puorfʊ yir tɩ chʊm a tãɩ nyũu vɩla ala. 
LUK.1.10	Ka a sɔ̃ɔ na wa ta ɩka wʊ chʊm a tãɩ nyũu vɩla anyãna, a nɩbɛ ara naa a yõo puoro.
LUK.1.11	Be lɛ a Nãaŋmɩn malaka wa dũu wʊ be a tãɩ nyũu vɩla chʊmfʊ jie a nũsʊ̃ɔ jie. 
LUK.1.12	Jekariya na wa nyɛ wʊ a lɛ, pɩla ɔɔ wʊ naa ka dãbãɛ kpɛ wʊ. 
LUK.1.13	Tɩchɛ ka a malaka 'yɛr kʊ wʊ, “Jekariya ta joro dãbãɛ ɛ, Nãaŋmɩn wõn a fʊ sʊɔrfʊ, a fʊ pɔɔ Elijabetɩ na dɔɔn dabile ka fʊ 'yɔ̃ɔ a wʊ yuor Jɔɔn. 
LUK.1.14	A wʊ yele na ɩn nʊ̃ɔ kpɛ fʊ ka fʊ chɩlɛ ka nɩyɔɔ mɩ chɩlɛ a wʊ dɔɔfʊ jũu. 
LUK.1.15	An ɩ wʊn ɩn kpɛ̃ɛ a Nãaŋmɩn niem, wʊ kʊ̃ nyũ dãa ban 'yɔ̃ɔ dãbɩl ɛ, bojũu Nãaŋmɩn Sɩɛ na sɛɛ wʊn be a ma pʊɔm. 
LUK.1.16	Wʊn lɩɛb naa a Isɩral nɩbɛ yɔɔ jie waan a ba Nãaŋmɩn sɛ̃. 
LUK.1.17	Wʊn den a sɩ Soro nie nɩ a sɩɛ nɩ a kpɛ̃ɔ 'lɔ na dɔ̃ɔ be a Elaija 'yɔ̃ɔ, na wʊ lɩɛb sãamɩne ka ba tara a ba bibiir tɩɛr. Ka bawõnsɩ mɩ nyɛ yɛ̃ na ba maala yeltorsɩ na wʊ vɛ̃ ka nɩbɛ mɩ chɔɔr ba mãɛ gun a sɩ Soro.”
LUK.1.18	Ka a Jekariya sʊʊr a malaka, “Ŋmɩnɛ ɩn ɩrɛ wa sɔɔ a nɩtɔ̃ fʊn 'yɛr? Maa nɩ n pɔɔ jaa kor naa.” 
LUK.1.19	Ka a malaka 'yɛr kʊ wʊ, “Maa lɛ a Gabɩrɛl na ma ara a Nãaŋmɩn niem, 'lɔ lɛ tʊ̃ ma nɩ a 'yɛr nyã ɩka n wa 'yɛr a 'yɛr nʊ̃ɔ nyã kʊ fʊ. 
LUK.1.20	A lɛ jũu fʊn ɩn wõo fʊ kʊ̃ lɛ tʊ̃ɔ 'yɛr 'yɛr ɛ, wa tãn a bɩbir 'lɔ a anyãna na ɩ bojũu faa sɔɔ de a 'yɛr ala na wa ɩ a sɔ̃ɔ 'lɔ na sɛɛ ɛ.”
LUK.1.21	A nɩbɛ bala na be a yõo chɛlɛ a Jekariya wʊ̃n kor a lɛ a Nãaŋmɩn puorfʊ yir, ka chĩcham kpɛ ba. 
LUK.1.22	Be lɛ ka wʊ wa yi tɩ wʊ kʊ̃ lɛ tʊ̃ɔ 'yɛr 'yɛr ɛ, ka a nɩbɛ bɔ̃ɔn ɩka wʊ nyɛn nyɛfʊ kɔ̃ɔ bojũu nuur kaalfʊ lɛ wʊ mana nɩ ba tɩ kʊ̃ tʊ̃ɔ 'yɛr ɛ.
LUK.1.23	A lɛ a wʊ tʊ̃mɔ̃ bɩbie na wa baar be a Nãaŋmɩn puorfʊ yir, wʊ lɩɛb kul a wʊ yir. 
LUK.1.24	A anyã puor lɛ ka wʊ pɔɔ Elijabetɩ tara pʊɔ na wʊ sɔɔl ŋmɛrsɩ anũu. 
LUK.1.25	Na wʊ pãa 'yɛrɛ, “Nyɛ lɛ a Nãaŋmɩn na maal ma, a wʊ maal vɩla bɩbir vɩɛ naa ka wʊ ir ma a vĩ yin a nɩbɛ niem bar.”
LUK.1.26	Elijabetɩ pʊɔ na wa ta ŋmɛrsɩ ayʊɔb, Nãaŋmɩn tʊ̃ naa a Gabɩrɛl a tẽe na be a Galilee paal pɔ ban bʊɔlɔ Najaretɩ, 
LUK.1.27	be lɛ pɔɔsarbile kɔ̃ɔ be, ka daba ban bʊɔlɔ Josefʊ na ɩ a Nãa David yɔ̃ɔ ŋmaa baraa na kul ka a pɔɔbile yuor di Mɛɛr. 
LUK.1.28	A malaka chen a wʊ sɛ̃ tɩ 'yɛr, “N puorfʊ naa, fʊ ɩn nɩ'yɔ̃ɔ naa, Nãaŋmɩn ben a fʊ sɛ̃.”
LUK.1.29	Ka dãbãɛ nyɔɔ a Mɛɛr nɩ a puorfʊ nyã bʊrɔ, na wʊ sʊrɔ wʊ mãɛ a puorfʊ nyã par. 
LUK.1.30	Tɩchɛ ka a malaka 'yɛr kʊ wʊ, “Ta joro dãbãɛ ɛ, fʊ ɩn nɩ'yɔ̃ɔ naa Nãaŋmɩn niem. 
LUK.1.31	Fʊn tara na pʊɔ dɔɔ dabile, na fʊ 'yɔ̃ɔ a wʊ yuor Yesu. 
LUK.1.32	Wʊn ɩn kpɛ̃ɛ, ka ba bʊɔlɔ wʊ a Nãaŋmɩn na be a Saaju Bie. A sɩ Soro Nãaŋmɩn na den a wʊ sãa David nãalʊ̃ʊ kʊ wʊ. 
LUK.1.33	'Lɔ lɛ na di a Jekɔb yir nãa jaa kpo kpo, a wʊ nãa kʊ̃ wa baar ɛ.” 
LUK.1.34	Ka a Mɛɛr sʊʊr a malaka, “N ba ta daba sɛrɛ ɛ, tɩ ŋmɩnɛ ɩn ɩrɛ wa dɔɔ a bie?”
LUK.1.35	Ka a malaka 'yɛr kʊ wʊ, “Nãaŋmɩn Sɩɛ na wa kpɛ fʊ naa, ka a Nãaŋmɩn kpɛ̃ɔ wa ger pɔɔ fʊ a bichɛchɛ 'lɔ fʊn na dɔɔ, ban bʊɔlɔ wʊ̃n Nãaŋmɩn Bie. 
LUK.1.36	Nyɛ a fʊ yɛbɛ Elijabetɩ gba na ɩ a pɔɔ abbaa na wʊ nyɔ̃ɔ tɩ wʊ tara na pʊɔ na dɔɔ bie, chuur ayʊɔb nɩ nyã wʊn gal. 
LUK.1.37	Yele jaa ba ɩ tuo Nãaŋmɩn sɛ̃ ɛ.” 
LUK.1.38	Be lɛ a Mɛɛr 'yɛr, “Nyɛ, Nãaŋmɩn gbãgbaa lɛ n ɩ, a ɩ a lɛ kʊ ma fʊn 'yɛr?” Ka a malaka bar wʊ tɩ chen.
LUK.1.39	A sɔ̃ɔ 'lɔ̃nɔ̃ lɛ a Mɛɛr pɔɔ yi do a tɔ̃ɔ ju a Judiya tẽe pɔ. 
LUK.1.40	Wʊ tɩ kpɛ naa a Jekariya yir na wʊ puor a Elijabetɩ. 
LUK.1.41	Elijabetɩ na wõ a Mɛɛr puorfʊ ka a bie ɔɔ lɩɛb be a wʊ pʊɔm ka a Nãaŋmɩn Sɩɛ sɛɛ a Elijabetɩ. 
LUK.1.42	Ka wʊ ŋme chɛlma 'yɛrɛ, “Nãaŋmɩn sʊ̃ʊ fʊn gar a pɔbɔ ba jaa, na wʊ mɩ sʊ̃ʊ a bie 'lɔ na be a fʊ pʊɔm. 
LUK.1.43	Tɩchɛ nyɛ 'yɔ̃ɔfʊ na kaara, ka a n Soro ma wa a n sɛ̃? 
LUK.1.44	Ɩ̃n wa wõ a fʊ puorfʊ a bie na gã a n pʊɔm ɔɔn lɩɛb nɩ pʊpɛl. 
LUK.1.45	Pʊpɛl sʊɔ lɛ fʊ ɩ an ɩ fʊ sɔɔn de a lɛ a n Soro na tʊ̃, ka ba wa 'yɛr fʊ ɩka an ɩ naa a lɛ.”
LUK.1.46	Ka a Mɛɛr 'yɛr, “N pɛɛn Nãaŋmɩn nɩ a pʊɔ wʊ jaa. 
LUK.1.47	A n sɩɛ chɩlɛ naa a Nãaŋmɩn na ɩ a n Fafaara 'yɔ̃ɔ. 
LUK.1.48	An ɩ wʊ tɩɛrtɔ a wʊ gbãgbapɔɔbile mãɛ siirfʊ. An yi dɩna chiine, a dɔɔ tu taa ba jaa na bʊɔlɔ ma naa bɔɔsʊ̃n sʊɔ. 
LUK.1.49	An ɩ a Tʊ̃ɔfʊ Sʊɔ lɛ maal a lɛ kʊ ma. A wʊ yuor ɩn chɛchɛ. 
LUK.1.50	A wʊ nɩbaal be naa a bala na joro wʊ dãbãɛ sɛ̃, yi a yɔn tɩ tãn a yɔn suulsɩ. 
LUK.1.51	A wʊ nũu tʊ̃n tʊ̃bɛrɛ, wʊ yɛ̃yɛl naa a bala na bʊɔrɔ a yuor a ba tɩɛr pɔ bar. 
LUK.1.52	Wʊ dɔɔn nãmɩne a ba nãa dakɔɔr jur bar, tɩchɛ na wʊ 'mɔɔr a bala na siir a ba mãɛ ka ba do saaju. 
LUK.1.53	Wʊ kʊ naa a kɔ̃ dẽme bʊ̃sʊ̃n, tɩ dii a tara dẽme bar nũjaalsɩ. 
LUK.1.54+LUK.1.55	Wʊ sʊ̃ʊn a wʊ gbãgbaa Isɩral tɩ tɩɛrtɔ ɩka wʊ kaa Abraham nɩ a wʊ yɔn nɩbaal bɩbir jaa, nɩtãa lɛ wʊn dɔ̃ɔ 'yɛr kʊ a sɩ sãamɩne.”
