GEN.1.1	I cakirok Were ocweyo polo gi piny. 
JOS.2.14	Cwo no jowaco rigo ni, “Kwo mawan ri aperin! K'ikiluwere kwoŋ tic mawan, nyaka walatic gi wor kodi genirok kodin ka Rwoth omiy wan lowo me.”
JOS.2.15	Kenyo to konyo jo loro piny gi thol gi dirisa, kole ot pere oyido nitie yuwoko ma kor ot ma tindi madwoŋ. 
JOS.2.16	Dhako no owaco rijo ni, “Kadhi win yupiny matendere, ŋey joma riemo win jokiri jowopodhi kwoŋ win. Pondi win kenyo ma ndelo adek, cuka joma riemo win jodok; nyaka rumacen to wikadho royo mewin.” 
JOS.2.17	Cwo no jowaco rigo ni, “Walagonyere kwoŋ cikirok me m'itieko miyo wakwoŋere rin. 
JOS.2.18	Neni, ka watundo i lowo, itwey adasa m'obokere me i dirisa m'imiyo waloro gine piny, icoki benin gi yokin i ot perin, wutmin in, gi peco mewin je. 
JOS.2.19	Ka ŋatimoro owok woko ma thigo ma ot perin to kidho i ngudo, jobino wegi romo gi tho pajo, to wan wangoye gi banja; to ka cingi dhano ojengi kwoŋ dhano moro je ma jonitie gi win i ot, walabielo banja ma tho pajo. 
JOS.2.20	To k'iluwere kwoŋ tic mawan me, nyaka to wagonyere kwoŋ cikirok me m'imiyo wakwoŋere rin.” 
JOS.2.21	Dheno to waco ni, “Cungo kwoŋ wac mewin won, weyi wobedi ameno.” Dheno osewila jo to jokadho. Kenyo to tweyo adasa m'obokere no i kor ot.
JOS.2.22	Joay to jokadho i piny matendere to jobedo kenyo ma ndelo adek, cuka joma riemo jo jodok. Joriem jo no oyido jodwaro jo malo to jok'onwaŋo gimoro. 
JOS.2.23	Kenyo cwo ario no joloro piny kendo wok i piny matendere. Joŋado to jobino bongi Yosuwa wod pa Nun, aka jowaco rigo gimoro je m'otimere rijo. 
JOS.2.24	Jowaco ri Yosuwa ni, “Adieri Rwoth otieko ketho lowo je i cingi wan; medo kwoŋ meno ji ma jobedo i piny no je cuny jo podho kwoŋbedo wan.”
JOS.3.1	Odikin maŋic Yosuwa oay to cako woth wok Sitim kodi Joisiraili je to jotundo Yordan. Joketho kambi pajo kenyo mafodi jok'oŋado Yordan. 
JOS.3.2	Munyo ndelo adek orumo jotel jowotho thoko kambi 
JOS.3.3	to jowodho or ri ji ni, “Ka wineno jocway ri Were pa Levi jotiŋo Kakan ma Cikirok pa Rwoth Were mewin, nyaka to wiwok i kabedo mewin. Luw win, 
JOS.3.4	ŋey nyaka winyal ŋeyo royo ma wiripo luwo, kole fodi wikiluwo royo me con mere. Kucel thwolo bino bedo i dier win kodi Kakan ma Cikirok, boro ma romo kilomita acel, wikiri wicore cegin gine.” 
JOS.3.5	Nyaka to Yosuwa waco ri ji ni, “Loki win kwo mewin maleŋ; kole Rwoth dikin latimo gir'aura i dier win.” 
JOS.3.6	Yosuwa owaco ri jocway ri Were i wi migam ni, “Kwany win Kakan ma Cikirok, aka wikadhi ruwaŋ ji.” Ameno to jokwanyo Kakan ma Cikirok to jokadho ruwaŋ ji.
JOS.3.7	Rwoth owaco ri Yosuwa ama: Ndelo me abino cako lokin ŋatadwoŋ i waŋ Isiraili gipi, ŋey jowonyal ŋeyo ni alabedo kodin paka cango abedo gi Musa. 
JOS.3.8	Ere in, wodhi or ri jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok, “Ka witundo dho dhok pi ma Yordan, iripo cungo liŋ i Yordan.” 
JOS.3.9	Kenyo Yosuwa owaco ri Joisiraili ni, “Core win cegin aka wiwinji wac pa Rwoth Were mewin.” 
JOS.3.10	Yosuwa owaco ni, “Gi gime wibino ŋeyo ni Were makwo nitie i dier win, aka go k'obedi ma k'ogweyo woko ruwaŋ win Jokanan, Johiti, Johivi, Joperiz, Jogagas, Joamor kodi Joyebus. 
JOS.3.11	Neni win, Kakan ma Cikirok pa Rwoth ma piny gipi kidho luwo ruwaŋ win donjo i Yordan. 
JOS.3.12	Onyo pama yer win cwo apar g'ario wok kwoŋ nonin ma Isiraili, acel kwoŋ kisi nono. 
JOS.3.13	Ka par tiendi jocway ri Were i wi migam ma jotiŋo Kakan pa Rwoth, Rwoth ma piny gipi, ogey pi ma Yordan, pi ma mol wok yumalo bino ŋadere woko, to jocungo i kidhur acel.”
JOS.3.14	Munyo ji joay i wemin pajo ma kidho ŋado Yordan, jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok oyido jonitie ruwaŋ ji. 
JOS.3.15	Onyo Yordan opoŋ de oy kiri malo i coŋino mere hongo je ma keco. Ameno munyo joma jotiŋo Kakan jotundo Yordan, aka par tiendi jocway ri Were i migam ma jotiŋo Kakan oluthere i thengi pi, 
JOS.3.16	pi ma mol wok malo ocungo liŋ, ka ay malo i wic acel bor swa i Adam, tindi madwoŋ macegin gi Zarethan, kareno meno ma jomol kadho i nam ma Araba, nam ma Cumbi, oyido oŋadi jo kicutho. Kenyo to ji joŋado kama ŋiyere gi Yeriko. 
JOS.3.17	Munyo Joisiraili oyido joŋado kam'othwo, Jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok pa Rwoth jocungo kam'othwo i dier Yordan, cuka nono parom jotieko ŋado Yordan.
JOS.4.1	Munyo nonin je jotieko ŋado Yordan, Rwoth owaco ri Yosuwa ni, 
JOS.4.2	“Kwany cwo apar g'ario wok kwoŋ ji, acel wok kwoŋ kisi nono, 
JOS.4.3	aka ior jo kwanyo telin apar g'ario wok i cuny Yordan, wok kwoŋ kabedo meno ma par tiendi jocway ri Were i wi migam onyono, aka witiŋ jo, to wijengo jo kama wilanind'iye wor me.” 
JOS.4.4	Kenyo to Yosuwa lwoŋo cwo apar g'ario kwoŋ Joisiraili, ma go oyido otieko yero, acel wok kwoŋ kisi nono. 
JOS.4.5	Yosuwa owaco rijo ni, “Tel win yuwiy Kakan ma Cikirok pa Rwoth Were mewin i dier Yordan, aka acel acele wotiŋ tele i goke, acel wocungi ri kisi nono ma Isiraili, 
JOS.4.6	ŋey me wobedi ranyuth i dier win. Ka nyithindho mewin jopenji win i hongo ma labino ni, ‘Dwoŋ telin no nyutho aŋo riwin?’ 
JOS.4.7	Nyaka wiwaci rijo ni pi ma Yordan oyido oŋadere woko ruwaŋ Kakan ma Cikirok pa Rwoth; munyo oluwo i wi Yordan, pi ma Yordan oŋadere woko. Ameno telin me bino bedo ri Joisiraili rapoy ma cil gi cil.”
JOS.4.8	Nyithindho pa Isiraili jotimo paka Yosuwa owodho or, to jokwanyo telin apar g'ario wok i dier Yordan, paka kwan ma nonin ma Isiraili nitie, paka Rwoth owaco ri Yosuwa, jotiŋo to jokadho gine kama joketh'iye kambi, to jojengo jo piny kenyo. 
JOS.4.9	To Yosuwa jengo telin apar g'ario i dier Yordan, i kabedo ma par tiendi jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok oyido ocung'iye; aka fodi jonitie kenyo tundo gunyo ni.
JOS.4.10	Jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok jodoŋ ma jocungo i dier Yordan, cuka kisi gimoro ma Rwoth ooro Yosuwa ni wowaci ri ji orumo, paka i gimoro je ma Musa ooro Yosuwa. Ji joŋado gi kwakirok. 
JOS.4.11	Munyo ji je jotieko ŋado, Kakan ma Cikirok pa Rwoth kodi jocway ri Were i wi migam joluwo ruwaŋ ji. 
JOS.4.12	Wot Ruben, wot Gad kodi adec ma nono pa Manase joluwo munyo jotiŋo gilweny ruwaŋ Joisiraili, paka Musa oyido owodho or rijo. 
JOS.4.13	Cegin gana piero aŋwen ma jotiŋo gilweny joŋado ruwaŋ Rwoth kidho kam'obipere ma Yeriko lweny. 
JOS.4.14	I ndelo no Rwoth omiyo Yosuwa dwoŋ i waŋ ji je ma Isiraili; to jocungo i dhier kwoŋe, paka oyido jotieko cungo i dhier ri Musa, hongo je ma kwo pere.
JOS.4.15	Rwoth owaco ri Yosuwa ni, 
JOS.4.16	“Wodhi or ri jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok, jowobin malo woko ma Yordan.” 
JOS.4.17	Riameno Yosuwa to wodho or ri jocway ri Were i wi migam ni, “Biye win malo woko ma Yordan.” 
JOS.4.18	Aka munyo jocway ri Were i wi migam ma jotiŋo Kakan ma Cikirok pa Rwoth jobino malo wok i dier Yordan, aka par tiendi jo oyido otiŋere malo kam'othwo, pi ma Yordan ogik i kabedo mere to mol i coŋino mere je paka con.
JOS.4.19	Ji jowok woko ma Yordan k'apar ma dwe marapena, to joketho kambi i Gilgal yuwok ceŋ ma kew gi Yeriko. 
JOS.4.20	Telin apar g'ario no, m'oyido jokwanyo wok i Yordan, Yosuwa ojengo i Gilgal, 
JOS.4.21	ka waco ri Joisiraili ni, “Ka nyithindho mewin jopenji jonywol pajo i hongo ma rumacen ni, ‘Telin me jonyutho aŋo?’ 
JOS.4.22	Nyaka wimiy nyithindho mewin ŋeyo ni, ‘Isiraili oŋado Yordan ka i lowo m'othwo.’ 
JOS.4.23	Kole Rwoth Were mewin othwo woko pi ma Yordan riwin cuka wipor loka, paka Rwoth Were mewin otimo ri Nam m'obokere, ma go othwo woko riwan cuka wapor loka, 
JOS.4.24	ŋey ji je ma piny gipi jowonyal ŋeyo ni cingi Rwoth nigi meni, ŋey jowonyal lworo Rwoth Were mewin cil gi cil.”
JOS.5.1	Munyo kerin je mapa Joamor yombo Yordan yupodho ceŋ, kodi kerin je mapa Jokanan yuthenge ma nam, jowinjo ni Rwoth othwo woko pi ma Yordan ri Joisiraili cuka jotieko por loka, cuny jo opodho, aka miseni moro kendo k'obedo i jo, kwoŋbedo Joisiraili.
JOS.5.2	I hongo no Rwoth owaco ri Yosuwa ni, “Tim apalin m'othedhi gi mac aka i thum Joisiraili madirio.” 
JOS.5.3	Ameno Yosuwa otimo apalin m'othedhi gi mac, to thumo Joisiraili i Gibeyath Haraloth.
JOS.5.4	Aka me am'obedo atoŋa m'omiyo Yosuwa othumo jo: Jono je ma jobedo cwo ma jowok Misir, jolweny je oyido jotho i ndir ma woth i thim munyo jotieko wok woko ma Misir. 
JOS.5.5	Kada ji je ma jowok oyido otiek thumo, kucel ji je ma jonywole i royo i thim munyo jotieko wok Misir oyido fodi k'othumi jo. 
JOS.5.6	Kole wot Isiraili jowotho ma oro piero aŋwen i thim, cuka nono je, jolweny ma jowok Misir, josika woko, ma jok'owinjo dwondi Rwoth. Were okwoŋere rijo ni jok'oneni lowo m'oyido okwoŋere ri kwarere pajo ni lamiyo wan, lowo ma mol gi cak kodi mo kic. 
JOS.5.7	Ameno obedo nyithindho pajo, ma go odongo jo i kabedo pajo, ma Yosuwa othumo jo; kole jothumere, rupiri oyido fodi jok'othumere i royo.
JOS.5.8	Munyo thumirok ma nono je orumo, jodoŋ i kabedo pajo i kambi cuka jocango. 
JOS.5.9	Rwoth owaco ri Yosuwa ni, “Konon atieko ŋilo woko kwoŋin wickwot ma Misir.” Aka riameno nyingi kabedo no ilwoŋo ni Gilgal
JOS.5.10	Munyo Joisiraili joketho kambi i Gilgal, jokuro kalima ma kadho othieno ma k'apar g'aŋwen ma dwe i kam'obipere ma Yeriko. 
JOS.5.11	I ndelo ma luwo kalima ma kadho, i ndelo no won, jocamo ranyak ma lowo, mugat ma buthow kodi nyingi cemo m'obul. 
JOS.5.12	Aka mana k'obedo kendo i ndelo ma jocam'iye ranyak ma lowo, Joisiraili jok'obedo gi mana kendo; jocamo cemo ma lowo ma Kanan i oro no.
JOS.5.13	Ndelo acel munyo Yosuwa oyido nitie cegin gi Yeriko, oŋiyo malo to neno dhano m'ocungo yunyime g'abor m'oyuy i cinge. Yosuwa okidho bonge to penjo go ni, “Ibedo acel kwoŋ wan, kosa acel kwoŋ jokwor mawan?” 
JOS.5.14	Ŋato odwoko ni, “Akibedo; to paka jamituka pa jolweny pa Rwoth, onyo atieko bino pama.” To Yosuwa podho gi nyime piny to lamo go, to waco rigo ni, “Ioro ŋeca perin timo aŋo, rwoth paran?” 
JOS.5.15	Jamituka pa jolweny pa Rwoth owaco ri Yosuwa ni, “Luny woko war ma par tiendin, kole kabedo m'icung'iye leŋ.” To Yosuwa timo ameno.
JOS.6.1	Onyo oyido ocegi waŋkace ma Yeriko gi woko kwoŋbedo Joisiraili; ongoye ŋat'owok kendo ongoye ŋat'odonjo. 
JOS.6.2	To Rwoth waco ri Yosuwa ni, “Neni, atieko ketho Yeriko i cingin, gi kere kodi cwo mere matek ma jomeni. 
JOS.6.3	Ibino ŋanjo thoko tindi madwoŋ, cwo je ma jolweny wikidhi withok tindi madwoŋ dicel. Wilatimo ameno ma ndelo aucel. 
JOS.6.4	Aka jocway ri Were i wi migam abirio jolatiŋo gwarin abirio ma tungi wot rombo ruwaŋ kakan; aka i ndelo mar'abirio wibino ŋanjo thoko tindi madwoŋ dibirio, kareno jocway ri Were i wi migam jokudho gwarin. 
JOS.6.5	Aka ka jotimo derino madwoŋ gi tungi wot rombo, tekin wiwinjo derino ma gwarin, nyaka to ji je jokoko gi woy madwoŋ; aka kor ot ma tindi madwoŋ lagore piny kicutho, aka ji jolakidho kisi dhano tirtir gine.” 
JOS.6.6	Ameno Yosuwa wod pa Nun olwoŋo jocway ri Were i wi migam to waco rijo ni, “Kwany win Kakan ma Cikirok, aka weyi jocway ri Were i wi migam abirio jowotiŋ gwarin abirio ma tungi wot rombo ruwaŋ Kakan ma Cikirok pa Rwoth.” 
JOS.6.7	To Yosuwa waco ri ji ni, “Tel win; ŋanji win withoki tindi madwoŋ, aka wiwey cwo ma jotiŋo gilweny jowoluwi ruwaŋ Kakan ma Cikirok pa Rwoth.”
JOS.6.8	Aka paka oyido Yosuwa otieko oro ji, jocway ri Were i wi migam abirio ma jotiŋo gwarin abirio ma tungi wot rombo ruwaŋ Rwoth to jokidho yumalo, kareno jokudho gwarin, gi Kakan ma Cikirok pa Rwoth m'oyido luwo jo. 
JOS.6.9	To cwo ma jotiŋo gilweny jotelo jocway ri Were i wi migam ma jokudho gwarin, aka jokur ma yucen joluwo Kakan ma Cikirok, kareno gwarin ywak m'ongoye liŋ. 
JOS.6.10	To Yosuwa wodho or ri ji ni, “Wikiri wikoki kosa wimiy dwondi win wowinjere, aka wac moro je wokiri wowoki i dhok win, cuka ndelo m'anoor win koko; nyaka to wikoko.” 
JOS.6.11	Ameno go omiyo Kakan ma Cikirok pa Rwoth woth thoko tindi madwoŋ, woth thoko dicel, to jotundo i kambi, to jonindo i kambi.
JOS.6.12	Kenyo Yosuwa ocew odikin maŋic, to jocway ri Were i wi migam jokwanyo Kakan ma Cikirok pa Rwoth. 
JOS.6.13	Jocway ri Were i wi migam abirio ma jotiŋo gwarin abirio ma tungi wod rombo ruwaŋ Kakan ma Cikirok pa Rwoth jokadho, kareno jokudho gwarin m'ongoye liŋ; aka cwo ma jotiŋo gilweny jotelo jo, to jokur ma yucen joluwo Kakan ma Cikirok pa Rwoth, kareno ikudho gwarin m'ongoye liŋ. 
JOS.6.14	Aka i ndelo mar'ario joŋanjo thoko tindi madwoŋ dicel, to jogik i kambi. Ameno apaka jotimo ma ndelo aucel.
JOS.6.15	I ndelo mar'abirio munyo jocewi odikin maŋic ma nyaka ŋamba cot, to joŋanjo thoko tindi madwoŋ i nger acel won dibirio. Oyido obedo i ndelo no won kende ma joŋanj'iye thoko tindi madwoŋ dibirio. 
JOS.6.16	Aka ma dibirio, munyo jocway ri Were i wi migam jotieko kudho gwarin, Yosuwa owaco ri ji ni, “Koki win, rupiri Rwoth otieko miyo win tindi madwoŋ. 
JOS.6.17	Aka tindi madwoŋ kodi gimoro je manitie i iye ilamiyo Rwoth mar'areya; kende Rahab m'obedo malaya kodi ji manitie gi go i ot ama wowey jo, rupiri go okano jopendo ma waoro. 
JOS.6.18	To win, gwokere win kwoŋ gigipiny m'omiy mar'areya, kosa ka witieko miyo jo wikwanyo gimoro je kwoŋ gigipiny m'omiy to witimo kambi ma Isiraili gimoro mar'areya, to wikelo teko kwoŋe. 
JOS.6.19	To feza je gi zahabu, kodi gigipiny ma ywel kodi nyweny, jobedo maleŋ ri Rwoth; jolakidho i od pesa pa Rwoth.” 
JOS.6.20	Ameno ji jokoko, t'ikudho gwarin. Tekin ji jowinjo derino ma gwarin to ji jokoko malo swa, to kor ot gore piny kicutho, ameno ji jodonjo i tindi madwoŋ, kisi dhano tirtir ruwaŋ go to jomako tindi madwoŋ. 
JOS.6.21	Kenyo joreyo woko kicutho kisi gimoro je ma tindi madwoŋ cwo gi mon, jomathindho kodi jom'oti, megikwe, rombo, gi punde, gi lew abor.
JOS.6.22	Yosuwa to waco ri cwo ario m'oyido jokadho dwaro nyaliŋliŋ ma piny ni, “Kidhi win i ot pa malaya, aka wiwodhi go, kodi jono je ma jobedo apere, paka wikwoŋere rigo.” 
JOS.6.23	Ameno to cwo m'oyido jobedo jopendo jodonjo, to jowodho Rahab gi bamere gi min gi wutmin kodi jono je ma jobedo apere; to jokelo wade pere je, to jojengo jo woko ma kambi ma Isiraili. 
JOS.6.24	To jowaŋo tindi madwoŋ gi mac, kodi gimoro je manitie i iye; kwanyowoko feza gi zahabu, gi gigipiny ma ywel kodi nyweny, joketho i od pesa ma Ot pa Rwoth. 
JOS.6.25	To Rahab m'obedo malaya, kodi ji ma ot pa bamere, kodi jono je ma jobedo apere, Yosuwa obotho jo makwo; aka go obedo i Isiraili kiri gunyo ni, rupiri go okano jopendo ma Yosuwa ooro timo nyaliŋliŋ i Yeriko.
JOS.6.26	“Lakeŋ kayo pere nyaka to jengo sigingi mere, aka lakeŋ ocoko pere nyaka to ketho waŋkace mere.”
JOS.6.27	Ameno to Rwoth bedo gi Yosuwa; aka oŋeyere i piny no parom.
JOS.7.1	To Joisiraili joturo yeyo i gima mako gigipiny m'omiy, rupiri Acan wod pa Karim, nyakwar Zabidi, wod pa Zera, ma nono pa Yuda, okwanyo gigipiny moro m'omiy; to nge pa Rwoth liel kwoŋ Joisiraili. 
JOS.7.2	Yosuwa odhiro cwo ma jowok Yeriko i Ay, macegin gi Bethaven, yuwok ceŋ ma Bethel, to waco rijo ni, “Kidhi win malo witim nyaliŋliŋ ma piny.” To cwo no jokadho malo to jotimo nyaliŋliŋ i Ay. 
JOS.7.3	To jogik bongi Yosuwa, to jowaco rigo ni, “Weyi jolweny jokiri jowokidhi malo, to weyi cegin cwo gana ario kosa gana adek, jokidhi malo to jomonjo Ay. Ikir'imiy ji je jowomonji kenyo, rupiri jonok.” 
JOS.7.4	Ameno cegin ji gana adek jokidho malo koro wok bongi ji; to joringo ruwaŋ cwo ma Ay, 
JOS.7.5	to cwo ma Ay joneko cegin cwo piero adek g'aucel kwoŋ jo, to joriemo jo dho waŋkac tundo kiri Sebarim, to joneko jo i kamaloro. To cuny Joisiraili podho to lworo mako jo.
JOS.7.6	Kenyo Yosuwa oyeco nangin pere, to podho piny gi nyime ruwaŋ Kakan ma Cikirok pa Rwoth tundo othieno, go kodi jodongo ma Isiraili to joywoyo fukefuke i wi jo. 
JOS.7.7	Yosuwa owaco ni, “Awi Rwoth Were, raŋo iyeyo ji me ŋado Yordan, t'ijwango wan i cingi Joamor joworey woko wan? Kabedi cango wayere bedo bor gi Yordan! 
JOS.7.8	Awi Rwoth, anowaci aŋo ma Joisiraili jowiro ŋey gin ruwaŋ jokwor pajo! 
JOS.7.9	Kole Jokanan kodi jopiny je, jolawinjo kwoŋe, to jothoko wan, to joŋado woko nyingi wan i piny; aka inotimi aŋo ri nyingin madwoŋ?”
JOS.7.10	Rwoth owaco ri Yosuwa ni, “Ay malo, raŋo onyo ipodho gi nyimin? 
JOS.7.11	Isiraili otieko timo reco; jotieko kibenga kwoŋ cikirok paran m'aoro jo; jotieko kwanyo gigipiny moro m'oyido joripo reyo woko, jotieko kwalo gi twodo, to joketho jo i dier gigipiny pajo. 
JOS.7.12	Riameno Joisiraili jokinyal cungo ruwaŋ jokwor pajo; joringo kwoŋ jokwor pajo, rupiri jotieko lokere gir'areya woko. Ak'obedi gi win kendo, kwanyowoko ka wireyo woko gigipiny no manitie i dier win. 
JOS.7.13	Ay malo, loki ji maleŋ, aka iwaci ni, ‘Lokere win maleŋ ri dikin; kole Rwoth ama luwo, Were pa Isiraili, “Nitie gigipiny m'omiy i dier win, awi Isiraili; wikinyal cungo ruwaŋ jokwor mewin, cuka wikwanyo gigipiny m'oyido iripo reyo i dier win.” 
JOS.7.14	Riameno odikin ilakelo win cegin gi nonin mewin; aka nono ma Rwoth lakwanyo lawok i pecin macegin; aka peco ma Rwoth okwany lawok cegin gi udi; aka ot ma Rwoth okwany lacore cegin gi cwo. 
JOS.7.15	Aka ŋat'okwany gi gigipiny m'oyido iripo reyo ilawaŋo gi mac, go kodi gimoro je manitie gine, rupiri go otieko timo kibenga kwoŋ cikirok pa Rwoth, kodi rupiri go otieko timo giwickwot i Isiraili.’ ”
JOS.7.16	Ameno to Yosuwa cew odikin maŋic, to kelo Isiraili cegin nono acel acele, t'ikwanyo nono pa Yuda. 
JOS.7.17	Go to kelo cegin nono pa Yuda, t'ikwanyo peco pa Zera, to go kelo cegin peco pa Zera kisi jacwo acel acele, t'ikwanyo Zabidi. 
JOS.7.18	To go kelo cegin peco pa Zabidi dhano acel acele, t'ikwanyo Acan wod pa Karim nyakwar Zabidi wod pa Zera, ma nono pa Yuda. 
JOS.7.19	Kenyo to Yosuwa waco ri Acan ni, “Wodan, miy dwoŋ ri Were pa Isiraili aka iŋuti reco perin. Onyo pama wac ran gim'itieko timo; ikir'ipan kwoŋan.” 
JOS.7.20	Acan to dwoko Yosuwa ni, “Adieri atieko timo reco kwoŋ Rwoth Were pa Isiraili, aka me a gim'atimo. 
JOS.7.21	Munyo aneno i dier gim'onyaga law maŋon mapa Jobabilon, kodi feza ma romo cegin kilo ario; kodi nyweny ma zahabu m'oyido romo adec kilo, kenyo t'agomba jo; t'akwanyo jo. Pama onyo jopanere i lowo i wema paran, gi feza i pende.” 
JOS.7.22	Ameno to Yosuwa dhiro jomikwenda, to joyombere i wema; aka neni, oyido opan i wema pere gi feza i pende. 
JOS.7.23	To jofudho woko jo i wema to jokelo jo ri Yosuwa kodi Joisiraili je; to jothango jo ruwaŋ Rwoth. 
JOS.7.24	Kenyo Yosuwa kodi Joisiraili je m'oyido jonitie gine jokwanyo Acan wod pa Zera, gi feza, law, kodi nyweny ma zahabu, gi wote kodi nyir pere, gi megikwe pere, punde, rombo, wema pere kodi kisi gimoro je m'oyido go nitie gine; t'itero jo i milelo ma Akor. 
JOS.7.25	Yosuwa to penjo go ni, “Raŋo ikelo teko kwoŋ wan? Rwoth kelo teko kwoŋin konon.” To Joisiraili je jocadho go gi telin cuka otho; jowaŋo jo gi mac to joyaro telin i wi jo. 
JOS.7.26	Aka jojengo i wiye kidhur telin madwoŋ ma fodi nitie gunyo ni; to Rwoth dwoko nge pere m'oliel cen. Riameno kiri gunyo ni nyingi kabedo no ilwoŋo ni Milelo ma Akor.
JOS.8.1	Kenyo to Rwoth waco ri Yosuwa ni, “Ikir'ilwor kosa ikir'ibwoki; kadhi gi ji ma jolwenyo je, aka ay malo, kidhi kiri Ay, par ni atieko ketho i cingin kere ma Ay, kodi ji pere, tindi pere madwoŋ kodi piny pere. 
JOS.8.2	Ibino timo ri Ay kodi kerin mere paka cango itimo ri Yeriko kodi kere mere; kwanyowoko mugugu gi dhok mere wikiri wikwany paka gim'onyaga ri wiwegi; wikethi apondi yuŋey tindi kwoŋ tindi madwoŋ.”
JOS.8.3	Ameno Yosuwa oay, kodi ji je ma jolweny, kidho malo i Ay. Yosuwa oyero cwo 30,000 ma jomeni aka jocwiny, to dhiro jo woko wor. 
JOS.8.4	Ooro jo ni, “Ciki ithi win, wibino nindo apondi kwoŋ tindi madwoŋ, yucen mere; wikiri wikidhi bor swa gi tindi madwoŋ, to wijoje bedi win ma wiyikere. 
JOS.8.5	An kodi ji je ma jonitie kodan walacore cegin gi tindi madwoŋ. Aka ka jowok woko romo gi wan, paka con mere, waladwire ruwaŋ jo; 
JOS.8.6	to jowok woko ka watieko ngoye, cuka watieko ywayo jo woko bor gi tindi madwoŋ; kole jolawaco ni, ‘Jodwire kwoŋ wan, paka con.’ Ameno waladwire woko kwoŋ jo; nyaka to wiay malo wok i dudi. 
JOS.8.7	Wiay malo wok i dudi, to wimako tindi madwoŋ; rupiri Rwoth Were mewin laketho jo i cingi win. 
JOS.8.8	Aka ka witieko mako tindi madwoŋ; wibino cwinyo tindi madwoŋ no gi mac, kareno witimo paka Rwoth otieko waco; ciki ithi win, witim paka atieko oro win.” 
JOS.8.9	Ameno to Yosuwa dhiro jo woko; to jokidho kam'otim'iye apondi, to jobedo i dier Bethel kodi Ay, yupodho ceŋ ma Ay; to Yosuwa nindo wor no i dier ji.
JOS.8.10	Yosuwa ocew odikin maŋic to lwoŋo ji kanyacel, to kidho malo, gi jodongo ma Isiraili, ruwaŋ ji i Ay. 
JOS.8.11	Ji je ma jolweny m'oyido jonitie gi go jokidho malo, to jocore cegin gi tindi madwoŋ, to joketho kambi pajo yuthenge ma yumalo ma Ay, gi milelo i dier jo kodi Ay. 
JOS.8.12	Yosuwa okwanyo cwo cegin 5,000 to ketho jo iy'apondi i dier Bethel kodi Ay, yupodho ceŋ ma tindi madwoŋ. 
JOS.8.13	Ameno joketho jolweny, kodi kitipa je m'oyido nitie yumalo ma tindi madwoŋ kodi jokur mere ma yucen yupodho ceŋ ma tindi madwoŋ. To Yosuwa nindo i milelo wor no. 
JOS.8.14	Aka munyo kere ma Ay oneno gime go kodi ji pere je, cwo ma tindi madwoŋ, jowok woko odikin maŋic ma comirok gi Isiraili kama lweny ogunj'iye kamaloro ma kidho i Araba, ma jok'oŋeyo ni oyido apondi nitie yucen ma tindi madwoŋ. 
JOS.8.15	Yosuwa kodi Joisiraili je jorendere p'igoyo jo ruwaŋ jo, to joŋweco yuthim. 
JOS.8.16	Ameno t'icoko ji je m'oyido jonitie i tindi madwoŋ olwoŋo jo kanyacel ma riemo jo, aka munyo joriemo Yosuwa, oyway jo woko wok i tindi madwoŋ. 
JOS.8.17	Ongoye kada jacwo acel m'odoŋ i Ay kosa Bethel, ma k'owoki riemo Isiraili; joweyo tindi madwoŋ m'oyawere, to joriemo Isiraili.
JOS.8.18	Kenyo to Rwoth waco ri Yosuwa ni, “Tel toŋ manitie i cingin woŋiy Ay; kole akidho ketho i cingin.” To Yosuwa telo toŋ m'oyido nitie i cinge to ŋiyo tindi madwoŋ. 
JOS.8.19	Tekin go telo cinge, to jolweny ma jonitie iy'apondi joay piyo piyo wok i kabedo pajo to jodonjo i tindi madwoŋ to jomako; jokwakere i tindi madwoŋ to jowaŋo. 
JOS.8.20	Aka munyo cwo ma Ay jowire to joŋiyo yucen, oyido nitie yiro ma tindi madwoŋ m'okidho malo i polo; to jongoye gi meni ma ŋwec kome kosa koca, rupiri ji ma joringo i thim jowire aŋey kwoŋ joma riemo jo. 
JOS.8.21	Munyo Yosuwa kodi Joisiraili je joneno ni apondi oyido oloyo kor tindi madwoŋ; aka yiro ma tindi madwoŋ okidho malo, kenyo to jowire to joneko cwo ma Ay. 
JOS.8.22	To cwo megi jobino wok i tindi madwoŋ romo gi jo; ameno Joisiraili jothoko jo, moro yuthenge acel, kodi megi yuthenge man; to Joisiraili neko jo, cuka ongoye kad'acel m'odoŋ makwo kosa m'okwale. 
JOS.8.23	To omaki kere ma Ay makwo, t'itero ri Yosuwa.
JOS.8.24	Munyo Isiraili otieko cowo neko jopiny je ma Ay i kam'othangere ma thim kama joriem'iye jo, aka munyo joje tundo kiri i macowe jotieko tho g'abor mabith, Joisiraili je jogik i Ay to jomonjo g'abor mabith. 
JOS.8.25	Aka joma jotho ndelo no cwo gi mon je, oyido obedo 12,000 ji je ma Ay. 
