MAT.1.1	In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham. 
MAT.22.4	Quemaj ocsejpa oquintitlan ocsequimej itequitcahuan, niman oquimijlij: “Xquimijlican on yejhuan yotiquinnotzcaj ica ye nicpia listo on tlacuajli. Nohuacaxhuan niman ocsequimej yolquej yejhuan tojtomajquej yoquinmictijquej, niman nochi on tlacuajli ye oncaj listo. Ma hualajtetzican ipan in ilhuitl.” 
MAT.22.5	Pero on itenotzcahuan xoquitencaquej. Semej yejhuamej oyaj oquintato itlalhuan, niman ocse oyaj otlasemanato. 
MAT.22.6	On ocsequimej oquimajsiquej itequitcahuan on rey niman sanoyej
MAT.22.7	Ijcuacon on rey sanoyej ocualan, niman oquintitlan isoldados para no ma quinmictitij on yejhuan otemictijquej, niman para quitlatisquej on impueblo. 
MAT.22.8	Quemaj oquimijlij on itequitcahuan: “Nochi ye oncaj listo para on ilhuitl, pero on yejhuan ye tlanotzalticatcaj xquinmelahuaya
MAT.22.9	Xhuiyan, tej, ipan iesquinas on calles, niman nochimej on yejhuan nenquinnamiquisquej xquinnotzacan ma huajhuiyan ipan in ilhuitl.” 
MAT.22.10	Yejhua ica on tequipanojquej oyajquej ipan on calles, niman oquinsentlalijquej nochimej on yejhuan oquinnamiquej. Oquisentlalijquej, tej, on yejhuan xcuajcualtin tlacamej niman on yejhuan cuajcualtin tlacamej. Niman ijcon on cajli oten ican tlanotzaltin.
MAT.22.11	’Quemaj on rey ocalac ipan on cajli para quintas on tlanotzaltin. Ompa oquitac se tlacatl yejhuan xonotlaquentij quen nonequi notlaquentihuas ipan on quen on ilhuitl. 
MAT.22.12	Niman oquijlij: “Notetlajsojcau
MAT.22.13	Quemaj on rey ijquin oquinnahuatij on yejhuan tetlamacayaj: “Xmasajsalocan niman xquicxisajsalocan, niman xcontlajcalican campa tlayohuatoc campa chocas niman notlantotopotzas.” 
MAT.22.14	Quemaj Jesús oquijtoj: “Dios miyequej oquinnotz, pero xmiyequej on yejhuan oquintlapejpenij.”
MAT.22.15	Quemaj on fariseos oyajquej, niman san secan oquinojlijquej quen ijqui quichihualtisquej Jesús itlaj ma quimijli yejhuan ica huelis quiteixpanhuisquej. 
MAT.22.16	Quemaj, tej, on fariseos oquintitlanquej itech Jesús on innomachtijcahuan inhuan on yejhuan oquipalehuijquej Herodes para ma calaqui rey. Yejhuamej oquijlijquej:
MAT.22.16	―Temachtijquetl, ticmatztoquej ica nochipa tiquijtohua on tlen melahuac. On tlacamej cuajli tiquintitia quen Dios quinequi para nohuicasquej. Tejhua xticchihuilia cuenta on tlen quijtohuaj motechcopa on tlacamej, masqui huejhueyixtoquej. 
MAT.22.17	Aman, tej, xtechijli tlinon ticnemilia. ¿Itlanahuatil Moisés techcahuilia titlatlaxtlahuasquej ican impuestos itech César yejhuan itequihuaj nochi on país de Roma?
MAT.22.18	Pero Jesús oquimat ica yejhuamej ijcon quitlajtoltiayaj san para cajcayahuasquej. Yejhua ica ijquin oquimijlij:
MAT.22.18	―Omexayacyejquej, ¿tlica
MAT.22.19	Xnechititican on tomin yejhuan ica notlaxtlahua on impuestos.
MAT.22.19	Niman yejhuamej oquititijquej se tomin. 
MAT.22.20	Ijcuac Jesús oquitac on tomin, oquintlajtoltij:
MAT.22.20	―¿Aquinon ixayac yejhua in, niman aquinon itocayo in nican tlajcuilolnesticaj ipan in tomin?
MAT.22.21	Yejhuamej oquijlijquej:
MAT.22.21	―Iyaxca
MAT.22.21	Quemaj Jesús oquimijlij:
MAT.22.21	―Xmacacan César on tlen yejhua iyaxca, niman no xmacacan Dios on tlen yejhua iyaxca.
MAT.22.22	Ijcuac yejhuamej ijcon ocacquej, otlamojcaitaquej, niman ijqui oquitlalcahuijquej, niman oyajquej.
MAT.22.23	Ipan sa no on tonajli semej saduceos oquitatoj Jesús. Yejhuamej temachtiayaj ica xhuelis yolihuisquej
MAT.22.24	―Temachtijquetl, Moisés oquijtoj ica tla miqui se tlacatl yejhuan xoquipix iconehuan, icniu on tlacatl ica oncaj nonamictis ihuan on sihuacahuajli
MAT.22.25	Aman, tej, nican totzajlan nemiyaj chicomemej icniutin. On achtoj teicniu ononamictij, niman omic. Niman ica xoquipix iconehuan, on icniu ihuan on sihuacahuajli ononamictij. 
MAT.22.26	No ijqui oquichiu on ica ome teicniu, quemaj on ica yeyi teicniu, niman ijqui onochijtiaj hasta otlanquej on chicomemej icniutin. 
MAT.22.27	Ijcuac on icniutin nochimej yomiquej, quej yejhua on sihuatl omic. 
MAT.22.28	Tla ijcon, tej, ijcuac yolihuis, ¿catlejhua itech tesihuau yes de yejhuamej on chicomemej icniutin, pampa nochimej oquipixquej quen insihuau?
MAT.22.29	Jesús oquimijlij:
MAT.22.29	―Nemejhuamej nemopopolohuaj, pampa xnenquimatij tlinon quijtohua on Yectlajcuilojli nion nenquimatij ica Dios nochi hueli quichihua. 
MAT.22.30	Tej, ijcuac on mimiquej yolihuisquej, xnonamictisquej nion on tatajtin quitemacasquej imichpochhuan para ma nonamictican. Ijcuacon nemisquej quen iilhuicactequitcahuan
MAT.22.31	’Niman aman on ica yolihuisquej niman noquetztehuasquej on mimiquej, ¿xnenquimomachtianij on tlen Dios omechijlij? Yejhua ijquin oquijtoj: 
MAT.22.32	“Nejhua niiDios Abraham, nejhua niiDios Isaac niman nejhua niiDios Jacob.” Ticmatij ica Dios xejhua inDios on mimiquej, yej yejhua inDios on yoltoquej.
MAT.22.33	Ijcuac on tlacamej ijcon ocacquej, nochimej otlamojcaitaquej ica on itemachtil Jesús.
MAT.22.34	Ijcuac on fariseos oquimatquej ica Jesús oquincamatzacu on saduceos, san secan onosentlalijquej, niman quej yejhuamej oquinisihuijquej Jesús. 
MAT.22.35	Quemaj semej yejhuamej on yejhuan tepantlajtojquetl catca ican itlanahuatil Dios oquinec quistlacos Jesús, niman ijquin oquitlajtoltij:
MAT.22.36	―Temachtijquetl, ¿catlejhua tlanahuatijli más hueyixticaj ipan on itlanahuatil Moisés?
MAT.22.37	Jesús oquijlij:
MAT.22.37	―“Xtlajsojtla
MAT.22.38	Yejhua in yejhua más hueyixticaj niman yejhua yecatzticaj de nochimej on tlanahuatiltin. 
MAT.22.39	Niman on ica ome tlanahuatijli yejhuan no ijqui hueyi quijtosnequi quen on achtoj tlanahuatijli ijquin quijtohua: “Xquintlajsojtla ocsequimej no ijqui quen tejhua timotlajsojtla.” 
MAT.22.40	Yejhua in ome tlanahuatijli quitzquijticaj nochi itlanahuatil Moisés niman intemachtilhuan on tiotlajtojquej.
MAT.22.41	Chica on fariseos san secan nemiyaj, Jesús ijquin oquintlajtoltij:
MAT.22.42	―¿Tlinon nenquinemiliaj nemejhuamej itechica Cristo on yejhuan Dios oquitlapejpenij para tlamandaros? ¿Aquinon itech huejca teixhuiu
MAT.22.42	Yejhuamej oquijlijquej:
MAT.22.42	―Yejhua huejca teixhuiu itech David.
MAT.22.43	Ijcuacon Jesús oquimijlij:
MAT.22.43	―¿Tlica, tej, on Espíritu Santo oquichihualtij David para ma quijto ica Cristo “noTeco”, pampa David ijquin oquijtoj:
MAT.22.44	Dios oquijlij noTeco: “Xmotlali nican ipan noyecma, hasta queman ma nimitztlali tlayecanquetl intech on yejhuan motlahuelicnihuan”?
MAT.22.45	Tla David ijcon oquijtoj ica Cristo yejhua iTeco, tla ijcon, tej, ¿quen ijqui Cristo hueli huejca teixhuiu itech David?
MAT.22.46	Niman xacaj ohuel oquinanquilij nion ican se tlajtojli. Niman desde ipan on tonajli nochimej pinahuayaj para itlaj quitlajtoltisquej.
MAT.23.1	Quemaj Jesús oquimijlij on tlacamej niman on inomachtijcahuan:
MAT.23.2	―On temachtijquej ican itlanahuatil Dios niman on fariseos quipiaj tlanahuatijli para quinoquitzquiltiaj on itequiu Moisés. Yejhua ica, aman yejhuamej nonequi temachtiaj ica on itlanahuatil Moisés. 
MAT.23.3	Yejhua ica, tej, nemejhuamej xquintlacamatican, niman xchihuacan nochi tlen mechijlisquej. Pero ma ca xmohuicacan quen yejhuamej, pampa yejhuamej quijtohuaj se tlamantli
MAT.23.4	Niman yejhuamej quinchihualtiaj on tlacamej cuajli ma quejehuacan on miyec tlanahuatiltin. Yejhua in sanoyej
MAT.23.5	Nochi intequiu quichihuaj san para on tlacamej ma quintacan. Cuelitaj quitquisquej sequimej ihuejhueyi textos on Yectlajcuilojli ijtic on incaja tlachijchiutin ican cuetlaxtli yejhuan quinotlaliliaj ipan imixcuateu niman ipan inma. Niman no cuelitaj quitlalisquej intlaquen ican puntas más pajpatlaquej xquen on ocsequimej tlacamej. 
MAT.23.6	Quinequij quipiasquej on yejhuan más huejhueyixtoquej sietas ne campa ilhuipan, niman on más cuajcualtin sietas ne ipan on tiopantin. 
MAT.23.7	Yejhuamej quinequij para on tlacamej ma quintlajpalocan ican miyec tetlacaitalistli ne ipan on plazas, niman ma quincuitican temachtijquej.
MAT.23.8	’Pero nemejhuamej ma ca nenquimocahuilisquej ma mechcuitican temachtijquej, pampa nochimej nemejhuamej nemicniutin niman nenquipiaj san se temachtijquetl. 
MAT.23.9	Niman ipan in tlalticpactli ma ca yacaj nenquijlisquej “noTajtzin”, pampa san se nemoTajtzin nenquipiaj, niman yejhua nemi ne ilhuicac. 
MAT.23.10	Nion ma ca nenquimocahuilisquej ma mechcuitican tlayecanquej, pampa san nejhua niCristo yejhuan Dios onechtlalij para tlamandaros, ninemotlayecancau. 
MAT.23.11	On yejhuan más hueyixticaj mechpalehuis. 
MAT.23.12	On yejhuan nohueyilia quipias nocnelilistli, pero on yejhuan nocnelis quipias hueyilistli.
MAT.23.13	’¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa on tlacamej xnenquincahuiliaj ma calaquican ne campa tlamandarohua on ilhuicac chanej. Niman sa no nemejhuamej xnencalaquij, nion nenquincahuiliaj calaquisquej on yejhuan quinequij calaquisquej.
MAT.23.14	’¡Lástima nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa on sihuacahualtin
MAT.23.15	’¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa nenquipaxalohuiliaj nochi tlalticpactli para ijqui nencalactiaj se tlacatl ipan nemorreligión, niman ijcuac se tlacatl yonencuepquej, nemejhuamej nenquichihuaj para on tlacatl ocpa ma quitocaro yas ne mictlan campa tetlajyohuiltiloyan xquen nemejhuamej.
MAT.23.16	’¡Lástima para nemejhuamej tlayecanquej yejhuan nenquitemachtiaj on tlen xnencajsicamatij! Lástima, pampa nenquijtohuaj: “Tla yacaj quitlalia se promesa, niman notlajtolpalehuiya itech on hueyi tiopan ica quichihuas on promesa, ipromesa xoc itlaj quijtosnequi. Pero tla notlajtolpalehuiya itech on oro yejhuan oncaj ne ipan on hueyi tiopan, on quemaj melahuac hueyi quijtosnequi ipromesa niman yejhua ica nonequi quichihuas on tlen oquitlalij ipan ipromesa.” 
MAT.23.17	¡Xnentlanemiliaj niman nenquitemachtiaj on tlen xnencajsicamatij! ¿Catlejhua más hueyixticaj: on oro, noso on hueyi tiopan yejhuan quichipajticaj on oro? 
MAT.23.18	Niman nemejhuamej no nenquijtohuaj: “Tla yacaj quitlalia se promesa, niman notlajtolpalehuiya itech on tlaixpan
MAT.23.19	¡Nemejhuamej nenquitemachtiaj on tlen xnencajsicamatij! ¿Catlejhua más hueyixticaj: on ofrenda, noso on tlaixpan yejhuan quichipajticaj on huintli? 
MAT.23.20	Tej, on yejhuan notlajtolpalehuiya itech on tlaixpan, ican ipromesa xsan itech on tlaixpan yej no itech on tlen oncaj ipan on tlaixpan. 
MAT.23.21	Niman on yejhuan notlajtolpalehuiya itech on hueyi tiopan, ican ipromesa xsan itech on tiopan notlajtolpalehuiya, yej no itech Dios yejhuan ompa chanti. 
MAT.23.22	No ijqui on yejhuan notlajtolpalehuiya itech ilhuicac ican ipromesa, no notlajtolpalehuiya itech on nesehuilpan campa tequihuajti Dios, niman no itech sa no yejhua Dios yejhuan ompa nosehuia.
MAT.23.23	’¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! On tlajtlamach
MAT.23.24	¡Nemejhuamej nenquitemachtiaj on tlajtlamach yejhuan xnencajsicamatij! Nemejhuamej nenquitemachtiaj on tlajtlamach yejhuan xhueyi quijtosnequi. Pero on yejhuan hueyi quijtosnequi, xnenquichihuaj.
MAT.23.25	’¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa nenquichihuaj para ma mechitacan quen sanoyej nencuajcualtin tlacamej, pero nemoyojlo tenticaj ican on tlen nenquitlanij ipan on tlachtecyotl niman ipan on nexicolyotl. 
MAT.23.26	Nemejhuamej fariseos nenquitemachtiaj on tlen xnencajsicamatij. Achtopa, tej, xchipahuacan nemoyojlo, niman quemaj nemotlalnacayo no chipahuis.
MAT.23.27	’¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa nemijcomej quen on micacajli yejhuan ne camposanto cuajli quistaliaj san para cualtzin tlajtlacha, pero ijtic tenticaj ican micaomimej niman ican nochi tlajtlamach tlen xchipahuac. 
MAT.23.28	Ne imixpan on ocsequimej nesi sanoyej nencuajcualtin tlacamej, pero nemojtic tenticaj ican on tlen xmelahuac niman ican tlajtlacojli.
MAT.23.29	’¡Lástima para nemejhuamej temachtijquej ican itlanahuatil Dios niman nemejhuamej fariseos, nenomexayacyejquej! Lástima, pampa nenquinchijchihuiliaj inmicacal on tiotlajtojquej, niman nenquitlatlajmachyotiaj
MAT.23.30	Niman nenquijtohuaj: “Tla tejhuamej tinemisquiaj ipan on tonaltin ijcuac onenquej on toachtojtajhuan, xtiquimpalehuisquiaj para quinmictisquiaj on tiotlajtojquej.” 
MAT.23.31	San nemopantlantiaj ica nenteconehuan intech on yejhuan oquinmictijquej on tiotlajtojquej. 
MAT.23.32	Xtlamican on tlajtlacojli yejhuan opejquej quichihuaj on nemoachtojtajhuan.
MAT.23.33	’¡Cohuamej! ¡Teconehuan intech on cohuamej! ¿Quen ijqui nemomaquixtisquej itech on castigo yejhuan oncaj ne mictlan campa tetlajyohuiltiloyan? 
MAT.23.34	Yejhua ica nemechinhuajtitlanilis on tiotlajtojquej, on tlajmatquej, niman on temachtijquej. Pero sequimej nenquinmictisquej, sequimej nenquimajmasohualtisquej
MAT.23.35	Yejhua ica, tej, nemejhuamej hebreos nenquiselisquej nochi castigo impampa on cuajcualtin tlacamej yejhuan oquinmictijquej huajpejtoc itech Abel hasta itech Zacarías iconeu Berequías, yejhuan nemejhuamej onenquimictijquej itzajlan on tiopan niman on tlaixpan
MAT.23.36	Ica tlen melahuac nemechijlia, ica on hebreos yejhuan aman nemij, quiselisquej nochi on castigo yejhuan hualejticaj intech on yejhuan oquinmictijquej.
MAT.23.37	’¡Oh nemejhuamej yejhuan nenchantij ne Jerusalén, nemejhuamej nenquinmictiaj on tiotlajtojquej niman nenquintemojmotlaj on yejhuan Dios mechinhuajtitlanilia! ¡Miyecpa onicnec nemechsentlalis quen yejhua on cuanaca quinsentlalia iconehuan itzintlan imajtlapalhuan, pero xonenquinequej! 
MAT.23.38	Aman Dios xoc mechpalehuis, yej mechtlalcahuis. 
MAT.23.39	Yejhua ica, tej, nemechijlia ica xoc ocsejpa nennechitasquej hasta ajsis on tonajli ijcuac nemejhuamej ijquin nenquijtosquej: “Ma Dios quitiochihua on yejhuan ocuajtitlan para tlamandaros.”
MAT.24.1	Jesús oquis ne ipan on hueyi tiopan, niman ye yajticatca, ijcuac on inomachtijcahuan oquinisihuijquej para quititisquej quen tlachijchiutli on hueyi tiopan. 
MAT.24.2	Pero Jesús oquimijlij:
MAT.24.2	―¿Nemejhuamej nenquitaj nochi yejhua in? Ica tlen melahuac nemechijlia, ica nican nion se tetl xnocahuas ipan ocse tetl, pampa nochi quixoxotonisquej.
MAT.24.3	Niman ijcuac yehuaticatca Jesús ne ipan on tepetl itoca Olivos, on nomachtijquej oyajquej itech niman ijquin sa iseltimej oquichtacaijlitoj:
MAT.24.3	―Xtechijli, ¿quemanon nochihuas on tlajtlamach
MAT.24.4	Ijcuacon Jesús oquimijlij:
MAT.24.4	―Xmotacan sa no nemehuamej para ma ca yacaj mechcajcayahuas, 
MAT.24.5	pampa miyequej huajlasquej yejhuan ican noTocatzin cualij tojtiasquej: “Nejhua niCristo”, niman miyequej quincajcayahuasquej. 
MAT.24.6	Nemejhuamej nencaquisquej ica nisiu oncaj on guerra, niman ica neca huejca no oncaj. Pero ma ca xmoyolpajsolocan pampa nochi on ica oncaj achtoj nochihuas. Pero ijcuac ijcon nochihuas oc
MAT.24.7	On tequihuajquej nohuijsoquisquej inhuan ocsequimej tequihuajquej niman on países nomictisquej inhuan ocsequimej países. Onyas apistli, niman onyas miyec cualolistli, niman tlalolinis miyecan. 
MAT.24.8	Pero in xsan ica nochi yes, yej más onyas tlajyohuilistli.
MAT.24.9	’Quemaj nemejhuamej mechtemacasquej para mechtlajyohuiltisquej, niman mechmictisquej, niman san nopampa nochi tlacatl mechtlahuelitas. 
MAT.24.10	Ipan on tonaltin ijcuac ijcon nochihuas, miyequej xoc nechneltocasquej, niman notlahuelitasquej semej ihuan ocsequimej, niman notemactilisquej semej ihuan ocsequimej. 
MAT.24.11	Niman miyequej tlacajcayajquej yejhuan notenehuaj tiotlajtojquej huajnesisquej, niman miyequej quincajcayahuasquej. 
MAT.24.12	Niman ica sanoyej
MAT.24.13	Pero on yejhuan quixicos hasta ijcuac nochi tlamis, on yejhua maquisas. 
MAT.24.14	Niman in cuajli tlajtojli yejhuan techijlia quen ijqui tlamandarohua on yejhuan ilhuicac chanej, noteijlis nochihuiyan ipan in tlalticpactli para nochimej países ma quixmatican on tlen melahuac. Niman ijcuac nochihuiyan yonoteijlij, ijcuacon tlatlalpolihuis.
MAT.24.15	’On yejhuan quinomachtis itlajcuilol Daniel ma cajsicamati. Yejhua otlajcuiloj ica yejhua on tlen tlaijtlacohua niman on tlen tetzinquixtia cuajtlalisquej ne campa tlayectiticaj. Ijcon, tej, ijcuac nemejhuamej nenquitasquej ica yejhua on tlen Daniel oquijcuiloj ye nochijticaj ne campa yectiticaj, 
MAT.24.16	ijcuacon on yejhuan nemisquej ne Judea ma cholocan niman ma huiyan ne ipan tepemej. 
MAT.24.17	Niman on yejhuan ipan on tonajli nemis ne icuapan ical, ma ca huajtemos para itlaj quixtis ne icalijtic. 
MAT.24.18	Niman on yejhuan nemis ne ipan imil, ma ca nocuepas ichan para concuis itlaj itlaquen. 
MAT.24.19	¡Sanoyej xcuajli yes para on sihuamej yejhuan ipan on tonaltin yocanquej inconetzin niman on sihuamej yejhuan ipan on tonaltin tlachichitisquej! 
MAT.24.20	Nemejhuamej xchihuacan oración itech Dios para ma ca nencholosquej ipan on tonaltin ijcuac sanoyej sehuas, nion ipan on tonajli ijcuac nosehuiaj on hebreos, 
MAT.24.21	pampa ijcuacon sanoyej miyec onyas tlajyohuilistli quen yejhuan xqueman oncaj desde ijcuac otzimpeu yejhua in tlalticpactli, niman xqueman onyas. 
MAT.24.22	Tla yejhua xquinteltlalis on tonaltin, nochimej miquisquej. Pero Dios quinteltlalis on tonaltin impampa on yejhuan yoquintlapejpenij.
MAT.24.23	’Tla ijcuacon yacaj mechijlis: “Xquitacan, nican nemi Cristo”, noso “Xquitacan, nepa nemi”, ma ca xneltocacan. 
MAT.24.24	Ma ca xneltocacan, pampa huajlasquej on tlacajcayajquej yejhuan notenehuasquej Cristos noso tiotlajtojquej. Niman quichihuasquej huejhueyi tlamajhuisoltin niman milagros para tecajcayahuasquej, niman hasta on yejhuan Dios yoquintlapejpenij. Pero yejhuamej xhuelisquej quincajcayahuasquej on yejhuan Dios yoquintlapejpenij. 
MAT.24.25	Xmotacan sa no nemejhuamej. Xquipia tlica
MAT.24.26	Yejhua ica, tla mechijlisquej: “Xquitacan, nepa nemi Cristo campa tlapatlaco”, ma ca xhuiyan. Noso tla mechijlisquej: “Xquitacan nican iyanticaj ijtic in caltzintli”, ma ca xneltocacan. 
MAT.24.27	Ma ca xneltocacan, pampa ijcuac nejhua yejhuan oninochiu Tlacatl nihuajlas, nochi tlacatl nechitas quen on tlapetlanajli nochi tlacatl quita ijcuac ne iquisayan tonaltzintli ompa pehua petlani niman hasta ne icalaquiyan tonaltzintli ontlami petlani.
MAT.24.28	’Ijcuac nihuajlas, nicuaquis castigo para nochi yejhuan xcuajli tlacatl no ijqui quen on tzopilomej huajlahuij ne campa xintoquej on yolquej yejhuan yomiquej.
MAT.24.29	’Ijcuac yopanoquej on tonaltin ican tlajyohuilistli, nimantzin xoc tlahuilos on tonaltzintli niman on metztli xoc petlanis. Niman on sitlalimej huajxinisquej niman hasta on tlen cojtilijticaj on cielo huihuixcas. 
MAT.24.30	Quemaj ne ipan cielo quitasquej notlamajhuisol, nejhua yejhuan oninochiu Tlacatl. Niman ijcuacon nochi tlajtlacoltlacatl quipias hueyi ajmantli, niman nechitas nejhua yejhuan oninochiu Tlacatl, nihuajlas ican nohueyi poder niman nohueyilis. Nihuajlas ipan on moxtli yejhuan quisa ne ilhuicac. 
MAT.24.31	Quemaj ica on trompeta chicahuac quipitzasquej, niquinhuajtitlanis on noilhuicactequitcahuan
MAT.24.32	’Xcajsicamatican in ejemplo itech on higuera. Ijcuac on imahuan seliaj niman pehua xojyoquisaj, nemejhuamej nenquimatij ica ye nisiu on xopantlaj. 
MAT.24.33	In sa no ijqui, ijcuac nemejhuamej nenquitasquej nochi yejhua in tlajtlamach ye nochijticaj, xmatican ica ye listo para nihuajnocuepas ocsejpa. 
MAT.24.34	Ica tlen melahuac nemechijlia, ica nochi yejhua in tlajtlamach nochihuas ijcuac xe miquij on tlacamej yejhuan nemij ipan in tonaltin. 
MAT.24.35	On cielo
MAT.24.36	’Pero on tonajli niman on hora para tlatlalpolihuis xacaj quimati, nion yejhuamej on ilhuicactequitquej ne ilhuicac nemij, nion nejhua yejhuan niiConeu Dios. Yej san Dios toTajtzin quimati.
MAT.24.37	’Ijcuac nejhua yejhuan oninochiu Tlacatl nihuajlas, on tlacamej ijcon quichihuasquej quen oquichijquej ipan on tonaltin ijcuac nemiya Noé. 
MAT.24.38	Ipan on tonaltin, ijcuac xe apachihuilo, on tlacamej tlacuayaj, atliyaj, nonamictiayaj niman quitemacayaj inichpochhuan para ma nonamictican hasta ipan on tonajli ijcuac Noé ocalac ipan barco. 
MAT.24.39	Niman yejhuamej xoquichihuilijquej cuenta on tlen nochijticatca, yej hasta ijcuac opeu quiahui niman on atl nochimej oquinmictij. Ijcon, tej, quen ipan on tonaltin onochiu, no ijqui nochihuas ijcuac nejhua yejhuan oninochiu Tlacatl nihuajlas. 
MAT.24.40	Ipan on tonajli omemej tlacamej tequitisquej ne ipan tepetl. Se cuicasquej niman ocse cajtehuasquej. 
MAT.24.41	Omemej sihuamej tistiasquej ipan se molino. Se cuicasquej niman ocse cajtehuasquej.
MAT.24.42	’Xtlachixtiacan, tej, pampa xnenquimatij tlen hora huajlas on nemoTeco. 
MAT.24.43	Pero xmatican yejhua in, ica tla se tlacatl tlayecanqui ican ichanchanecahuan
MAT.24.44	Yejhua ica, nemejhuamej no nochipa xnemican listos, pampa ijcuac xnenquinemilijtiasquej ica nihuajlas, nejhua yejhuan oninochiu Tlacatl ijcuacon nihuajlas.
MAT.24.45	’¿Aquinon on tequitquetl yejhuan nochipa quichihua quen iteco quinahuatia niman quipia cuajli itlamachilis? On tequitquetl sa no yejhua on, yejhuan iteco quimactilia ichanchanecahuan
MAT.24.46	Dios quitiochihuas on tequitquetl yejhuan ijcuac huajlas iteco, cuajnextis cuajli quichijticaj itequiu. 
MAT.24.47	Ica tlen melahuac nemechijlia, ica on iteco quimactilis on tequitquetl nochi tlen yejhua quipia para quejehuas. 
MAT.24.48	Pero tla yejhua on tequitquetl nocuepas xcuajli tlacatl, niman quinemilis ica iteco nohuejcahuas para huajlas, 
MAT.24.49	niman pehuas quinhuihuitequis on ocsequimej tequitquej, niman no notlalis tlacuas niman tlahuanis inhuan on tlahuanquej, 
MAT.24.50	on iteco huajlas ipan on tonajli niman ipan on hora ijcuac yejhua xquimatztias ica huajlas. 
MAT.24.51	Niman on iteco sanoyej quitlajyohuiltis, niman quitlalis inhuan on omexayacyejquej campa chocas niman notlantotopotzas.
MAT.25.1	’Ipan on tonajli ijcuac nihuajlas, on yejhuan quinequij calaquisquej ne campa tlamandarohua on yejhuan ilhuicac chanej, ijcon yesquej quen on majtlactlimej ichpocamej. Cada se oquitquic itlahuil ican aceite niman oyajquej ne campa conamiquisquej on novio, yejhuan huajlaya para nonamictis. 
MAT.25.2	Macuijli de yejhuamej xtlamatquej
MAT.25.3	On yejhuan xtlamatquej catcaj ijcuac oquitquiquej intlahuil, xoquitquiquej aceite para quitequilisquej on intlahuil. 
MAT.25.4	Pero on yejhuan tlamatquej catcaj oquitquiquej aceite ican imbotella. 
MAT.25.5	Niman ica on novio polihuiya para yejcos, nochimej opeu cochisnequij, niman ijqui ocochquej.
MAT.25.6	’Quemaj ijcuac canaj tlajcoihuan, ocaquistic se tlajtojli: “¡Ye huajlau on novio! ¡Xnamiquitij!” 
MAT.25.7	Nochimej on ichpocamej otlachixquej, niman opeu quectlaliaj intlahuil. 
MAT.25.8	Quemaj on macuiltimej ichpocamej xtlamatquej oquimijlijquej on yejhuan tlamatquej: “Achijtzin xtechmacacan nemoaceite, pampa totlahuilhuan ye sejtoquej.” 
MAT.25.9	Pero on yejhuan tlamatquej ichpocamej oquinnanquilijquej: “Ca, pampa tla ijcon xcaxilis para tejhuamej niman nemejhuamej. Más cuajli, xhuiyan campa quinamacaj, niman xcohuacan yejhuan para nemejhuamej.” 
MAT.25.10	Pero chica on macuijli ichpocamej xtlamatquej ocohuatoj on aceite, oyejcoc on novio. Quemaj on ichpocamej yejhuan quimachayaj oyajquej ihuan on novio ipan on ilhuitl campa nonamictihuaj. Ijcuac yejhuamej ocalaquej ipan on ilhuitl on tlatzacuilyotl
MAT.25.11	’Quemaj oajsiquej on ocsequimej ichpocamej, niman oquijtojquej: “¡Señor, Señor, xtechtlatlapohuili!” 
MAT.25.12	Pero yejhua oquinnanquilij: “Ica tlen melahuac nemechijlia ica nejhua xnemechixmati.”
MAT.25.13	Quemaj Jesús oquimijlij:
MAT.25.13	―Nemejhuamej xnemican ican tlamachalistli, pampa xnenquimatij on tonajli nion yejhua on hora ijcuac nejhua yejhuan oninochiu Tlacatl nihuajlas.
MAT.25.14	’Nemechijlia ocse ejemplo ica yejhua on tonajli ijcuac nihuajlas. Ijcuac nihuajlas nicchihuas quen oquichiu on tlacatl yejhuan, ijcuac ye yas ipan ocse país, oquinnotz on itequitcahuan niman oquinmactilij itomin para ma ica tequitican, ijcuac xac yes. 
MAT.25.15	Se oquimacac canaj ompoajli
MAT.25.16	’On tequitquetl, yejhuan oquiselij ompoajli huan majtlactli mil pesos, oquitequitiltij on tomin, niman ijqui oquitlan ocse ompoajli huan majtlactli mil pesos. 
MAT.25.17	Niman on yejhuan oquiselij sempoajli mil pesos sa no ijqui oquichiu, niman no oquitlan ocse sempoajli mil pesos. 
MAT.25.18	Pero on yejhuan oquiselij majtlactli mil pesos oyaj niman oquiyanato ne ijtic tlajli itomin on iteco.
MAT.25.19	’Miyec tonaltin más saquin
