MAT.1.1	Abraham Fapa, David Fapa, Jesuh Krih hringtu hna ṭialnâk cauk: 
JHN.6.10	Jesuh nih, “Mizapi hi ṭhutter hna u” tiah a ti. Cuhmun ah cun ramhring tampi a um. Cuticun patling hna cu an ṭhu i an tamning cu 5000 hrawng an si. 
JHN.6.11	Jesuh nih changreu kha a lâk i lawmhnâk bia a chimdih in lamkaltu kha a phawt hna, cubantukin lamkaltu nih mizapi kha an phawt hna. Nga zong kha an duh zat in an phawt hna. 
JHN.6.12	Cuticun an khim hnu ah, a lamkaltu hna sinah, “Zeihmanh tlawttlau lo dingin a ṭilfuan hi char dih u,” tiah a ti. 
JHN.6.13	Cucaah an hun char hna i barli changreu panga eitu hna ṭilfuan cu sei hleihnih khat in an char. 
JHN.6.14	Jesuh nih cubantuk hmelchunhnâk a tuahmi an hmuh tikah, mizapi nih, “Hi pa hi Profet, vawlei i a ra din cu a si taktak ko,” tiah an ti. 
JHN.6.15	Cucaah Jesuh nih Amah kha siangpahrang i hranhrâm lo in canter awkah tlaihbawh an timh ti kha a hngalh tikah, tlângcungah Amah lawng in lo diam a kal. 
JHN.6.16	Zanlei ah a lamkaltu kha tidîl ah an vung ṭum. 
JHN.6.17	Tilawngah an i cit i Kapernaum lei panh in tidîl kha tan an tim. Khua muih â tim cang i Jesuh kha an sinah a phân rih lo. 
JHN.6.18	Cuticun thli fakpi in a hrang i tilet kha a sângchin leng mang. 
JHN.6.19	Cubangin mengthum mengli hrawng an tilawng an zah hnu ah Jesuh cu tidîl cungah ke in anmah a rak panh lio kha an hmuh i an ṭih. 
JHN.6.20	Asinain an sinah, “Keimah ka si, ṭih hlah u” tiah a ti hna. 
JHN.6.21	Annih nih lunglawm tein tilawngah cit dingin an cohlân i a rauhhlanah an panhmi tidil kam kha an phân cawlh. 
JHN.6.22	A thaizingah varal lei i a dirmi mizapi nih, lamkaltu hna citmi tilawng dah tilo tilawng dang a um lo i anmah lawng an i cit i Jesuh cu â cit velo ti kha an hngalh. 
JHN.6.23	Asinain Bawipa nih lawmhnâk bia a chim dih i changreu an ei nâk pawngah khan, Tiberia khua i tilawng dang an rak phân. 
JHN.6.24	Mizapi nih Jesuh le a lamkaltu an um lo ti kha an hngalh tikah, annih zong tilawngah an i cit i Jesuh kawl in kapernaûm khua an rak phân. 
JHN.6.25	Varal khat te lei i an hmuh tikah a sinah, “Rabi, zeitikahdah hika hi na phâk?” tiah an ti. 
JHN.6.26	Jesuh nih, “Biataktein, biataktein kan chimh hna, hmelchunhnâk nan hmuh ruangah, nanka kawlmi a si lo, changreu khim tein nan ei ruangah a si. 
JHN.6.27	A rawkral khomi rawl ruah ah i phar len hlah u, Mi Fapa nih pêk an timhmi hna rawl ruah tu ah i pharlen u; zeicatiah Pa Pathian nih Amah cu a chinchiah cang. 
JHN.6.28	Annih nih, “Pathian rian kan ṭuan khawh nâkhnga, zeidah kan tuah lai?” tiah an ti. 
JHN.6.29	Jesuh nih, “Pathian rianṭuan cu hihi a si, A thlahmi zumh hi,” tiah a leh hna. 
JHN.6.30	Annih nih, “Kan hmuh i kan in zumh khawh nâkhnga, zeibantuk hmelchunhnâkdah na tuah lai? zei rian dah na ṭuan lai? 
JHN.6.31	Kan pupa hna nih ramcar ah mânâ kha an ei tawn ‘Van in an sinah changreu ei awk a pêk hna,’ tiah ṭialmi bangin,” tiah an ti. 
JHN.6.32	Jesuh nih, “Biataktein, biataktein kan chimh hna, Moses nih vanin changreu an pe hna lo, asinain ka Pa nih van in changreu taktak kha an pêk hna. 
JHN.6.33	Zeitintiah Pathian changreu cu van in ara i vawlei ah a nunnâk petu ding hi a si,” tiah a ti. 
JHN.6.34	Annih nih, “Cu changreu cu kan pe zungzal ko,” tiah an ti. 
JHN.6.35	Jesuh nih, “Keimah hi nunnâk changreu cu ka si. Ka sin i a rami pauh cu a rawl a ṭâm ti lai lo. A ka zummi pauh cu a ti a hâl ti lai lo. 
JHN.6.36	Asinain nan ka hmuh ko nain nan zum lo tiah kan chimh cang hna kha. 
JHN.6.37	Pa nih aka pêkmi vialte ka sinah an ra lai, ka sin i a rami pauh cu ka dawn hna lai lo. 
JHN.6.38	Zeitintiah mah duhnâk tuah awkah van in a rami ka si lo, aka thlahtu duhnâk tuah awkah a rami ka si. 
JHN.6.39	Hihi aka thlahtu Pa duhnâk cu a si, aka pêkmi vialte thlau loin ni dongh ni ah thawhter ding hi. 
JHN.6.40	Cun hihi aka thlahtu duhning a si, Fapa a hmu i a zummi pauh nih zungzal nunnâk ngeiseh law, cun ni dongh ni ah keimah nih ka thawhter lai,” tiah a ti. 
JHN.6.41	Van i a rungṭummi changreu cu ka si, a timi ruangah Judah mi cu a cungah an zai. 
JHN.6.42	Hipa hi Josef fapa, Jesuh a si lo maw, anu le apa zong kan theih ko hna? Van in ka rung ṭum, tiah zeitindah a ti khawh? tiah an ti. 
JHN.6.43	Jesuh nih, phunzai lengmang hlah u. 
JHN.6.44	Aka thlahtu Pa nih a hnuh hna dah tilo ahcun, ahohmanh ka sinah a ra kho lo. Cun ni hmadungbik ah ka thawhter lai. 
JHN.6.45	Profet hna cauk ah, “Pathian cawnpiak in an um dih lai,” tiah ṭial a si. Pa bia thei i a cawngmi pauh cu ka sinah an ra tawn. 
JHN.6.46	Pa a hmumi an um cang tinâk a si lo, Pathian sin in a rami lawnglawng hi Pa a hmutu um chun cu a si. 
JHN.6.47	Biataktein, biataktein kan chimh hna, aka zummi pauh cu zungzal nunnâk a ngei cang. 
JHN.6.48	Keimah hi nunnâk chungreu cu ka si. 
JHN.6.49	Nan pupa hna nih ramcar ah mana an ei i an thi. 
JHN.6.50	Hihi van in a rungṭummi changreu cu a si, minih an ei i an thih ti nâkhnga lo. 
JHN.6.51	Keimah hi van in a rungṭummi changreu nung ka si. Hi changreu a eimi pauh, zungzal in a nung peng lai. Vawlei nunnâk dingah ka pêk hngami changreu cu ka taksa hi a si.” tiah a ti. 
JHN.6.52	Judah mi kha an i al i, “Hi pa nih a taksa cu ei awkah zeitindah a kan pêk khawh lai?” tiah an ti. 
JHN.6.53	Jesuh nih, “Biataktein, biataktein kan chimh hna, Mi Fapa taksa nan ei i a thisen nan din lo ahcun, nanmah tein nunnâk nan ngei lo. 
JHN.6.54	Ka taksa a ei i ka thisen a dingmi pauh cu zungzal nunnâk a ngei cang, cun ni donghni ah a mah cu ka thawhter lai. 
JHN.6.55	Zeitintiah ka taksa hi rawl tak a si i ka thisen hi dinawk taktak cu a si. 
JHN.6.56	Ka taksa a ei i ka thisen a dingmi pauh cu keimah ah a hmun i kei zong amah ah ka hmun. 
JHN.6.57	A nungmi Pa nih aka thlah i Pa thawngin a nungmi ka si bangin, aka eitu pauh cu keimah thawngin a nung ve lai. 
JHN.6.58	Hihi vanin chungreu a rungṭummi cu a si, nan pupa hna nih mânâ an ei i an thih ṭhân bantuk kha a si lo. Hi changreu a eimi cu zungzal in a nung peng lai. 
JHN.6.59	Cu bia hna cu Kapernaûm khua i Sinogog chungah chim in a cawnpiakmi an si. 
JHN.6.60	Cucaah a zultu lakah mi tampi nih cu bia cu an theih i “Hihi a har ngai ngaimi bia a si, ahonihdah a theihthiam khawh lai?” tiah an ti. 
JHN.6.61	Cu kong ah a zultu an zailen kha Jesuh nih amah tein a hngalh i an sinah, “Hi bia nih hin lung si loin an umter hna hlah maw? 
JHN.6.62	Mi Fapa hi hlan i a rak umnâk i a kai nan hmuh tikah zeitindah nan ti kun lai? 
JHN.6.63	Nuntertu cu Thlarau a si, taksa cu san a tlai lo. Nan sin i bia ka chimmi hi thlarau an si i nunnâk zong an si. 
JHN.6.64	Asinain nan lakah cheukhat zumlotu nan um,” tiah a ti. Zeitintiah Jesuh nih Amah zum lotu hna le Amah rawitu ding kha a hramthawk in a rak hngalh cang. 
JHN.6.65	Cun a chim ṭhân i, “Cucaah dahkaw nan sinah Pa nih a pêk hna dah ti lo ahcun ahohmanh ka sinah nan ra kho lo, tiah kan ti hna kha,” tiah a ti. 
JHN.6.66	Cu cân thawk in a zultu lakah mi tampi an i zûk i Amah an kawm ti lo. 
JHN.6.67	Cuticun Jesuh nih hleihnih hna sinah, “Nannih zong kal nan duh ve maw? tiah a ti. 
JHN.6.68	Simon Peter nih, “Bawipa aho sinahdah kan kal lai? Nangmah nih zungzal nunnâk bia kha na ngei. 
JHN.6.69	Krih Pathian nung Fapa na si kha kan hngalh i kan zumh,” tiah a leh. 
JHN.6.70	Jesuh nih, “Nannih hleihnih hna hi Keimah thimmi nan si lo maw? Nan lak i pakhat khuachia a hei si rih,” tiah a ti. 
JHN.6.71	Simon fapa Judas Iskariot, hleihnih hna chung i â telmi kong a chimnâk a si, zeitintiah cupa cu Amah rawitu ding kha a si.
JHN.7.1	Cu thil hna hnu ah Jesuh nih Galili ram a ṭol i Judah mi nih thah an timh ruangah Judia ramah a kal duh lo. 
JHN.7.2	Judah mi Deu Thô kha a nai cang. 
JHN.7.3	A unau hna nih, “Hika hin Judia ramah va kal, na zultuhna nih na tuahmi hi an hmuh khawh nâkhnga. 
JHN.7.4	Zeitintiah mah minthannâk a kawlmi nih a thli in thil an tuah bal lo. Hi thil hna hi na tuah taktak ahcun vawlei hmai ah va langhter ngat,” tiah an ti. 
JHN.7.5	Zeitintiah a unau le hmanh nih Amah kha an zum lo. 
JHN.7.6	Jesuh nih, “Ka cân a phân rih lo, nannih cân tu cu phanh lo cân a um lo. 
JHN.7.7	Vawlei nih nannih an in hua kho hna lo, an tuahmi Ṭhatlonâk kha ka hngalhter tawn hna caah kei tu cu an ka huat. 
JHN.7.8	Nannih Thô ah vakal u, kei cu hi Thô ah hin ka kal rih lai lo, ka cân a phanh rih lo caah,” tiah a ti hna. 
JHN.7.9	Cubia a chim lio ahcun Galili ah a um ko rih. 
JHN.7.10	Asinain a unau hna thô i an kal hnu ah, anih zong lang lo dingin a thlithup in a kal. 
JHN.7.11	Cuticun Judah mi nih tho ah an kawl, “Khuazeiahdah a um?” tiah an ti. 
JHN.7.12	Amah kongah mizapi an i caih len i a cheu nih, “Mi ṭha a si,” an ti. A cheu nih, “Si hlah, mizapi a hlen tawn,” tiah an ti. 
JHN.7.13	Judah mi an `ihruangah langhngan in a konglam an chim ngam lo. 
JHN.7.14	Thô laifang ah Jesuh cu ṭempal ah a kal i a cawnpiak hna. 
JHN.7.15	Judah mi nih, “Hi pa hi cawng loin zeitindah ca a thiam khawh?” an ti i mak an ti ngai ngai. 
JHN.7.16	Jesuh nih a leh hna i, “Ka cawnpiakmi bia hi keimah ta a si lo, aka thlahtu ta a si. 
JHN.7.17	Amah duhnâk tuah a duhmi pauh nih ka cawnpiakmi hi Pathian sin in maw a si, keimah ṭawnchawm dah a si a hngalh ko lai. 
JHN.7.18	Mah ṭawnchawm a chimtu nih amah sunparnâk a kawl, sihmanhsehlaw a thlahtu sunparnâk lawng a kawltu cu midik a si i Amah ah dinlonâk zeihmanh a um lo. 
JHN.7.19	Moes nih nawlbia an pe hna lo maw? Asinain nan lakah a zulmi pakhat hmanh nan um lo. Zeiruangahdah thah nanka timh?” tiah a ti. 
JHN.7.20	Mizapi nih an leh i khuachia nih an tuah ko hih. Ahonihdah thah an in timh? tiah an ti. 
JHN.7.21	Jesuh nih, “Rian pakhat ka ṭuan i nan dihlak in mak nan ti. 
JHN.7.22	Hi ruangah dah kaw Moses nih cuarpar tannâk kong an pêk hna cu. Moses chuahtermi a si lo, hringtu pa hna chuahtermi a si. Sabbath ni zongah cuanpar nan tan fawn. 
JHN.7.23	Mi nih Sabbath ni ah cuarpar a tan i Moses nawlbia buar a si lo ahcun, Sabbath ni i mi ka damter ruangah ka cungah nan thin a hung lai maw? 
JHN.7.24	“A langhning lawngin thil hi zohhlah u, dik le fel tein ruat tuah u.” tiah a ti. 
JHN.7.25	Jerusalem i mi cheukhat nih, “Hipa hi maw thah an timhmi pa cu? 
JHN.7.26	Zohhmanh u, ralṭha in bia a chim ko ṭung, zeitihmanh in an ti fawn lo. Hotu hna zong nih Krih a si taktak hi an hngalh cang dahra? 
JHN.7.27	Asinain kannih nih hipa hi a chuahnâk tiangin kan hngalh dih fawn,” tiah an ti. 
JHN.7.28	Cuticun ṭempal i a cawnpiak lio ah Jesuh a au i, “Nanka hngalh, ka chuahnâk tiangin nan hngalh. Asinain keimah nawl i a rami ka si lo. Aka thlahtu hi mi taktak a si i Amah cu nan hngal lo. 
JHN.7.29	Asinain Amah cu ka hngalh, Asin in a chuakmi ka si i Amah thlahmi ka si,” tiah a ti. 
JHN.7.30	Cucaah tlaih an timh, asinain a cân a tlin lo caah ahohmanh nih kut in an tawng lo. 
JHN.7.31	Mitampi nih Amah cu an zumh i Krih a rak phâk tik zongah, Hi pa nâkin hmelchunhnâk tam a tuah hlei hnga maw?” tiah an ti. 
JHN.7.32	A kong i mizapi an i caih len kha Farasih hna nih an rak theih, cuticun Farasih hna le tlângbawi hna nih Amah tlaitu dingah palik kha an thlah. 
JHN.7.33	Jesuh nih, “Cân tawi te nan sinah ka um rih lai, cu hnu ah aka thlahtu sinah ka kir cang lai. 
JHN.7.34	Nannih nih nanka kawl lai i nanka hmu lai lo, ka umnâk zongah nan ra kho lai lo,” tiah a ti. 
JHN.7.35	Cuticun Judah mi an i caih i kan hmuh lo dingin hipa hi khawzei kal dah a timh hnga? Grik mi hna sin i â ṭhekmi hna sinah kal in, Grik mi cawnpiak a timh a si hnga maw? 
JHN.7.36	Nanka kawl lai i nanka hmu kho lai lo, ka umnâk zongah nan ra kho lai lo, a timi hi zeidah a sullam a si hnga?” tiah an ti. 
JHN.7.37	Thô ni donghnâk nisunglawi bik timi ah, Jesuh a dir i a au, “A ti a hâlmi pauh ka sinah ra seh law, ding seh. 
JHN.7.38	Cathiang nih a chim bangin aka zummi pauh cu a chungah tinung a luang lai, tiah a ti. 
JHN.7.39	Cubia cu Amah zumtu hna nih Thlarau an ngeihnâk ding a chimmi a si, Jesuh kha thangṭhat in a um rih lo caah Thiang Thlarau kha pêk a si rih lo.. 
JHN.7.40	Mizapi lakah mi tampi nih cu bia an theih tikah, “Hi pa hi profet a si hrimhrim ko,” tiah an ti. 
JHN.7.41	Midang nih, “Hihi Krih cu a si,” tiah an ti. Cheukhat nih, “Krih cu Galili ram in a rak chuak hnga maw? 
JHN.7.42	Krih cu David hrinthlâk in, David khua Bethlehem ah a chuah awk a si tiah Cathiang nih a chim ko lo maw?” tiah an ti. 
JHN.7.43	Cuticun Amah ruangah zapi lakah ṭhennâk a um. 
JHN.7.44	Cuhnuah a cheu nih tlaih an duh, asinain ahohmanh nih an kut in an tawng lo. 
JHN.7.45	Palik hna cu Farasih le tlângbawi sinah an ra i, “Zeiruangahdah nan rat pi lo?” tiah an rak ti hna. 
JHN.7.46	“Khipa bantukin ahohmanh nih bia an chim bal lo,” tiah an leh hna. 
JHN.7.47	Farasih hna nih, “Nan nih zong an hlenve cang hna mu,” 
JHN.7.48	Hotu hna le Farasih mi lakah Amah zumtu pakhat tal an um cang maw? 
JHN.7.49	Hi mizapi, nawlbia zong a hngal lomi hna hi, chiatserh dah kaw an si cu,” tiah an ti. 
JHN.7.50	Nikodimu (zan i Jesuh sin i a rami, anmah lak i pakhat) nih an sinah, 
JHN.7.51	“A tuahmi le chimmi theih hlanah, kan nawlbia nih mi thiamlo a coter kho maw?” tiah a ti. 
JHN.7.52	Annih nih, “Galili mi maw na si ve? zoh law, hlat, Galili in profet an chuak bal maw?” tiah an ti. 
JHN.7.53	Cun mikip an in cio ah an ṭin.
JHN.8.1	Jesuh cu Oliv tlângah a kal. 
JHN.8.2	Zingka tuante ah ṭempal ah a ra ṭhân i mizapi kha a sinah an ra. A ṭhu i a cawnpiak hna. 
JHN.8.3	Cuticun nawlbiacawnpiaktu le Farasih hna nih ṭangdang a kaimi minu pakhat an tlaih i an ratpi. A laiah an dirter i 
JHN.8.4	Jesuh sinah, “Cawnpiaktu, hi nu hi ṭangdang a kai lio ah, a sual lio hrimhrim ah tlaih a si. 
JHN.8.5	Moses cauk ah hibantuk minung hi lung in thi lak i cheh dingin nawl a kan pêk. Nang zeitindah na ruah? tiah an ti. 
JHN.8.6	Hi thil hi Amah hneksaknâk le sual an phawt khawh nâkhnga caah an tuahmi a si. Jesuh cu a kun i a thei lomi bangin vawlei ah a kutdong in a ṭial. 
JHN.8.7	An hal chih len caah, a dir i an sinah, “Nan lak ah sualnâk a ngei lomi nih nu cu chep hmasa seh,” tiah a ti. 
JHN.8.8	A kun ṭhân i leiah a ṭial ṭhân. 
JHN.8.9	A chimmi kha an theih tikah, an chiaṭha hngalhnâk ah sual a phawt hna i a upa bik in a dongh tiang pakhat hnu pakhat an i zûk dih. Jesuh le a lai i a dirmi mi nu lawng an tâng. 
JHN.8.10	Jesuh cu a rak dir ṭhân i minu dah tilo cu ahohmanh a hmuh hna lo tikah a sinah, “Minu sual an phawtu hna kha khawzei ah dah an um dih? Ahohmanh nih thiamlo an in coter lo maw?” tiah a ti. 
JHN.8.11	Anih nih, “Coter lo, Bawipa” tiah a ti. Jesuh nih, “Keizong nih thiamlo kan coter lo, kal law va sual ti hlah,” tiah a ti. 
JHN.8.12	Jesuh nih an sinah bia a chim ṭhân i, “Vawlei ceunâk ka si, aka zultu pauh cu mui ah a um lai lo, nunnâk ceu a ngei lai,” tiah a ti. 
JHN.8.13	Farasih hna nih, “Mah kong hngalhtertu na si, cucaah na hngalhternâk bia zong a dik lo,” tiah an ti. 
JHN.8.14	Jesuh nih a leh hna i, “Ka kong i hngalhter hmanhning law, ka hngalhtermi bia hi a dikmi a si, zeitintiah khawzei in dah ka rat i khawzeiahdah ka kal lai kha ka hngalh, nannih nih ka chuahnâk le ka kalnâk ding nan hngal lo. 
JHN.8.15	Nannih nih taksa bangin bia nan ceih. Kei cu ahohmanh ka ceih hna lo. 
JHN.8.16	Ceih hmanh ning law, ka biaceihnâk cu a dik lai, zeitintiah keimah lawngin ka um lo, aka thlahtu he kan umṭi. 
JHN.8.17	Nan nawlbia cauk zongah, ‘mi pahnih bia cu a dik’ ti a si kha. 
JHN.8.18	Mah tein mah kong hngalhtertu ka si, aka thlahtu Pa zong nih ka kong a hngalhter,” tiah a ti. 
JHN.8.19	Annih nih, “Na Pa cu khuazeiahdah a um?” tiah an ti. Jesuh nih, “Nannih nih nanka hngal lo, Ka Pa zong nan hngal hlei lo. Ka hngal ulaw, ka Pa zong nan hngalh ko hnga,” tiah a leh hna. 
JHN.8.20	Cu bia cu ṭempal i thawhlawm chiahnâk hmun i cawnpiak pah in a chim, ahohmanh nih an tlai fawn lo, zeitintiah a cân a phâk rih lo. 
JHN.8.21	Jesuh nih an sinah a chim ṭhân i, “Lo diam ka kal lai, nanka kawl lai i sual ngeibu in nan thi lai. Ka kalnâk dingah nan ra kho lai lo,” tiah a ti. 
JHN.8.22	Judah mi nih, “Thah â tim maw a si hnga? ‘Ka kalnâk dingah nan ra kho lai lo,’ a kan ti hi,” tiah an ti. 
JHN.8.23	Anih nih, “Nannih cu tanglei in a chuakmi nan si i kei cu cunglei in a chuakmi ka si. Nannih cu vawlei mi nan sin i kei cu vawlei mi ka si lo. 
JHN.8.24	Cucaah dah kaw nan sinah, “Sual ngeibu in nan thi lai,” kan ti hna cu. ‘Amah kha ka si’ ka timi hi nan zumh lo ahcun, nan sualnâk he nan thi hrimhrim ko lai,” tiah a ti. 
JHN.8.25	Annih nih, “Aho cu dah na si?” tiah an ti. Jesuh nih “Cucu dah kaw a hramthawk te in kan chimhmi hna kha a si cu,” tiah a ti. 
JHN.8.26	Nan kongah hin chim le ceih awk tampi ka ngei, zeiasihmanhah aka thlahtu cu mi dik a si: Asin in ka theihmi bia pauh vawlei sinah ka hngalhter tawn,” tiah a ti. 
JHN.8.27	Pa kong a chimh hna ti kha an hngal kho hrimhrim lo. 
JHN.8.28	Jesuh nih, “Mi Fapa hi nan târ hnu ah, ‘Amah cu ka si’ ti le keimah nawl in zeihmanh ka tuah lo i Pa nih a ka chimhning tein bia ka chim ti kha nan hngalh te lai. 
JHN.8.29	Aka thlahtu cu ka sinah a um. Pa nih keimah lawng aka umter ballo, Amah duhnâk ka tuah tawn caah,” tiah a ti. 
JHN.8.30	Cubantuk bia a chim hnu ah mi tampi nih Amah cu an zumh. 
JHN.8.31	Jesuh nih Amah zumtu Judah mi hna sinah, “Ka bia i nan hmunh ahcun, Aka zultu taktak nan si lai. 
JHN.8.32	Cun Biatak nan hngalh lai i biatak nih an luatter hna lai.” tiah a ti. 
JHN.8.33	Annih nih, “Abraham fa kan si i a tutiangin ahohmanh sal ah kan um ballo, an luatter hna lai, na timi kha zei na tinâk dah a si?” tiah an ti. 
JHN.8.34	Jesuh nih, “Biataktein, biataktein, kan chimh hna, sualnâk a tuahmi pauh cu, sual sal a si. 
JHN.8.35	Sal cu inah a um peng lo, fapa tu cu inah a um peng. 
JHN.8.36	Cucaah Fapa nih an luatter hna ahcun nan luat tak tak lai. 
JHN.8.37	“Abraham fa nan si kha ka hngalh; asinain thah nan ka timh fawn. Ka bia nih nanmah ah hmun a ngeih lo caah a si. 
JHN.8.38	Ka Pa sin in ka hmuhmi kha ka chim tawn. Nannih zong nanpa sin in nan hmuhmi kha nan tuah tawn,” tiah a ti. 
JHN.8.39	Annih nih, “Kanpa cu Abraham a si.” tiah an ti. Jesuh nih, “Abraham fale nan si ahcun Abraham rian nan ṭuan lai. 
JHN.8.40	Asinain Pathian sinin biatak a hngal i an chimtu hi, atu thah nan timh fawn. Abraham nih hi bantuk thil a tuah bal lo. 
JHN.8.41	Nannih nih nanpa tuahmi nan tuah tawn,” tiah a ti. Annih nih, “Lakfa kan si lo; Pa pakhat Pathian kan ngei,” tiah an ti. 
JHN.8.42	Jesuh nih, “Pathian nan pa a si ahcun, nan ka dawt lai. Zeitintiah Pathian sin i a chuakmi le, a sinin a rami ka si. Keimah nawlin ka ra lo, Amah nih a ka thlah. 
JHN.8.43	Zeiruangahdah ka bia nan theihthiam lo. Ka bia ngaih nan duh lo caah a si. 
JHN.8.44	Nannih cu nanpa khuachia ta nan si i a duhmi kha tuah nan duh. Amah cu a hramthawk in lainawng a rak si, biatakah a um lo, a chungah biatak a um lo caah. Lih a chim tikah, amah kokek a chimmi a si, anih cu milihchim a si i lih pa zong a si. 
JHN.8.45	Biatak kan chimh hna ruangah nanka zumh khawh lonâk hi a si. 
JHN.8.46	Nanlakah ahonihdah sual kongah thiamlo a ka coter kho lai? Cun biatak kan chimh hna ahcun, zeiruangahdah nan ka zumh lo? 
JHN.8.47	Pathian mi nih Pathian bia a ngaih tawn. Nannih nih ka bia nan ngai lo, zeicatiah Pathian ta nan si lo caah,” tiah a ti. 
JHN.8.48	Judah mi nih, “Samaria mi, khuachia tuahmi kan rak inti kha a dik tak ko lo maw?” tiah an leh. 
JHN.8.49	Jesuh nih, “Khuachia tuahmi ka si lo; ka Pa ka thangṭhat tu a si deuh, nannih nih nanka zomhtaih. 
JHN.8.50	Mah thangṭhatnâk ka kawl lo. A kawltu le ceihtu pakhat a um. 
JHN.8.51	Biataktein, biataktein kan chim hna, “Ka bia â tlaihmi pauh cu thihnâk a hmu hrimhrim lai lo,” tiah a ti. 
JHN.8.52	Judah mi nih, “Khuachia tuahmi na si kha atu kan hngalh cang! Abraham a thi cang, profet hna an thi cang, nang nih, “Mi nih ka bia a zulh ahcun thihnâk a tem lai lo,” tiah na ti fawn. 
JHN.8.53	A thi ciami hringtu kan Pa Abraham nâkin na ngan deuh maw? Profet zong an thi cang. Mi zei ah dah nâ ruah?” tiah an ti. 
JHN.8.54	Jesuh nih, “Keimah i thangṭhat ninglaw, kâ thangṭhatnâk cu zeihmanh a si lai lo. Kan Pathian nan timi ka Pa cu aka thangṭhattu a si. 
JHN.8.55	Nannih nih Amah nan hngal fawn lo. Kei nih cun Amah kha ka hngalh. Amah ka hngal lo, tining law, nanmah bantuk lihchimmi ka si ve lai, Amah ka hngalh i a bia zong ka zulh tawn. 
JHN.8.56	Nan pa Abraham cu ka ni hmu ding a si caah â lawm tawn, cun a hmuh taktak i â lawm taktak,” tiah a ti. 
JHN.8.57	Judah mi nih, “Nang, kum 50 hmanh a si lomi nih Abraham na hmuh maw?” tiah an ti. 
JHN.8.58	Jesuh nih, “Biataktein, biataktein kan chimh hna, “Abraham um hlanah, a UMMI ka si,” tiah a ti hna. 
JHN.8.59	Cuticun Amah chehnâk dingah lung an char cawlh, asinain Jesuh cu â thup i ṭempal in mizapi karlak ah â zuk i lo diam a kal.
JHN.9.1	A kal pah in Jesuh nih a chuahka in mincaw pakhat a hmuh. 
JHN.9.2	A lamkaltu hna nih, “Rabbi, mitcaw cia in hrin hi, a ho sual ruangah, amah maw a nu le pa dah?” tiah an hal. 
JHN.9.3	Jesuh nih, “Amah le anu le pa sual ruangah a si lo, a cungah Pathian rianṭuan a langhnâk ding tu ah a si. 
JHN.9.4	Chûn a si lio ah aka thlahtu rian ka ṭuan awk a si; zan a rak phân lai. cu cân ah cun ahohmanh nih rian an ṭuan kho ti lai lo. 
JHN.9.5	Vawlei i ka um lio ah, vawlei ceunâk ka si,” tiah a leh hna. 
JHN.9.6	Cu bia a chim hnu ah vawlei ah a cil a châk i tlak a ser i a mitah a benh. 
JHN.9.7	Cun a sinah, “Siloam tidil ah vâ ṭawl, tiah a ti. (Siloam sullam cu “Thlah” tinâk a si) Cuticun a kal i â ṭawl hnu ah mitdei in a rak kir. 
JHN.9.8	Cucaah an innpa hna le cuhlan i kutdawh i a hmutu hna nih, “Hi pa hi ṭhut bu i kut a dawhmi kha a si lo maw?” tiah an ti. 
JHN.9.9	Cheukhat nih, “Amah kha a si ko” an ti. Midang nih, “Amah he â lomi a si,” tiah an ti. Anih nih, “Amah kha ka si ko,” tiah a ti. 
JHN.9.10	Cucaah mi nih, “Zeitindah na mit a dei ṭhân” tiah an ti. 
JHN.9.11	Anih nih, “Mi pakhat Jesuh an timi nih tlak a ser i ka mit ah a benh, ‘Siloam tidil ah va kal law, va ṭawl’ a ka ti. Ka va kal i kâ ṭawl tikah, ka mit a dei i khua ka hmu kho,” tiah a ti. 
JHN.9.12	Annih nih, “Amah cu khuazeiahdah a um?” tiah an ti i “Ka hngal lo,” tiah a ti. 
JHN.9.13	Mitcaw pa cu Farasih hna sinah an kalpi. 
JHN.9.14	Jesuh nih tlak ser in a mit a deiter ni kha sabbath ni a rak si ngel cel. 
JHN.9.15	Cuticun Farasih hna nih a mit a dei `hannâk kong kha an hal ṭhân. Anih nih, “Ka mit ah tlak a benh i ka ṭawl tikah khua ka hmu kho ko” tiah a ti. 
JHN.9.16	Farasih cheukhat nih, “Hi mipa hi Sabbath a ulh lo ruangah Pathian sin in a rami a si lai lo,” tiah an ti. Cheukhat nih, “Mi sual nih zeitindah hi bantuk hmelchuanhnâk a tuah khawh lai?” tiah an ti ve i an lakah i ṭhennâk a chuak. 
JHN.9.17	Mitcaw sinah, na mit an deiternâk kongah nang zeitindah na ruah? tiah an ti. Anih nih, “Profet a si,” tiah a ti. 
JHN.9.18	Asinain Judah mi hna nih mitdei pa i nu le pa an kawh hlan cu mitcaw a rak si i atu ah khua a hmu ṭhân ti kha an zum duh lo. 
JHN.9.19	A nu le pa sinah, “Hi hi nan fapa mitcaw cia in a chuak nan timi kha a si maw? zeitindah atu khua a hmuh ṭhân? tiah an hal hna. 
JHN.9.20	A nu le pa nih an leh hna i, “Hi hi kan fapa a si i mitcaw cia in a chuak ti kha kan hngalh. 
JHN.9.21	Asinain atu ah zeiruangahdah a rak hmuh khawh ṭhân, kan hngal lo, a mit dei tertu zong kan hngal lo. Patling a si cang; amah hal ulaw, amah nih amah kong cu chim ko seh,” tiah an ti. 
