GEN.1.1	Haa fuɗɗam Allah tagi asamanji e lesdi. 
EXO.23.25	Min Jawmiraawo, Allah mooɗon feere am njaggantooɗon. Nden mi barkiɗinan ko nyaamoton e ko njaroton e mi daaynan nyawuji bee mooɗon. 
EXO.23.26	Rewɓe rufanɓe deeɗi e rimarɓe tawataake nder lesdi mooɗon fahin. Mi hokkan on juutal balɗe. 
EXO.23.27	Mi nelan kultoreeŋgol am haa yeeso mon, mi jiiɓan hakkiilooji ummaatooje ɗe on njotti haa maaje fuu. Mi lornan konne'en mon fuu ɓaawo ngam doggugo yeeso mooɗon. 
EXO.23.28	Mi nelan jabatti haa yeeso mon, ɗi ndiiwa Hewi'en e Kanaani'en e Heti'en yeeso mon. 
EXO.23.29	Mi riiwataa ummaatooje ɗe'e fuu yeeso mooɗon nder hitaande woore, ngam taa lesdi laato ladde meere, taa dabbaaji ladde ɗuuɗa dow mooɗon. 
EXO.23.30	Seɗɗa seɗɗa ndiiwranmi konne'en yeeso mooɗon, haa to on ɗuuɗi, nden maron lesdi. 
EXO.23.31	Mi waɗan keerol lesdi mon diga maayo Maaliya haa maayo Filisti'en, diga ladde haa maayo Efratis. Mi hokkan on jooɗiiɓe ton, on ndiiwa ɓe yeeso mooɗon. 
EXO.23.32	Taa kaɓɓe alkawal bee maɓɓe e ɗowanteeɓe maɓɓe. 
EXO.23.33	Taa ɓe njooɗo nder lesdi mon ngam ɓe esta on on mbaɗa hakke dow am. To on ndewi ɗowanteeɓe maɓɓe, on nastan nder tuuforgol.”
EXO.24.1	Jawmiraawo wi'i Muusa: “Wa'a, war haa am dow hooseere, an e Haruna e Nadab e Abihu e worɓe cappanɗe njoweeɗiɗo caka ndotti'en Isra'iila. Cujide diga daayiiɗum. 
EXO.24.2	Ɓaawoɗon a ɓadito haa am an feere ma, taa woɗɓe ɓadito. Taa ummaatoore boo wa'ido dow hooseere bee maaɗa.”
EXO.24.3	Muusa wari, yecci Isra'iila'en ko Jawmiraawo wi'i e kiitaaji maako fuu. Isra'iila'en fuu njaabi hunnduko wooto, mbi'i: “Ko Jawmiraawo wi'i fuu, min mbaɗan ɗum.” 
EXO.24.4	Muusa winndi ko Jawmiraawo wi'i mo fuu. Jaŋngo man o dawi fajiri cub, o mahi hirsirde haa les hooseere, o darni kaa'e ciftinorɗe sappo e ɗiɗi, fodde le'i Isra'iila sappo e ɗiɗi. 
EXO.24.5	Nden o neli Isra'iila'en sukaaɓe ɓe lii'ano Jawmiraawo guleteeɗi, ɓe kirsana mo boo ga'i kalhali, ngam kawtal maɓɓe bee maako. 
EXO.24.6	Muusa hoo'i reeta ƴiiƴam dabbaaji kirsaaɗi go, loowi ɗam nder daarooji, luttuɗam boo o wicci ɗam dow hirsirde. 
EXO.24.7	Ɓaawo man o hoo'i deftere alkawal
EXO.24.8	Nden Muusa hoo'i ƴiiƴam nder taasaaje go, wicci ɗam dow Isra'iila'en, o wi'i: “Ƴiiƴam ɗa'am ɗon tabitina alkawal ngal Jawmiraawo haɓɓi bee mooɗon fodde umrooje ɗe'e fuu.
EXO.24.9	Ɓaawo man Muusa wa'idi bee Haruna e Nadab e Abihu e ndotti'en Isra'iila cappanɗe njoweeɗiɗo go. 
EXO.24.10	Ɓe ngi'i Allah Isra'iila. Les kosɗe maako, woodi huunde bana caɓɓol kuuwraaɗum kaa'e safira, ɗelkanɗum bana asama. 
EXO.24.11	Allah fortaay juŋngo muuɗum ngam halkugo mawɓe Isra'iila ɓe'e. Ɓe ngi'i mo, ɓe nyaami, ɓe njari.
EXO.24.12	Jawmiraawo wi'i Muusa: “Wa'a, war haa am dow hooseere, jooɗa ɗon. Mi hokkete alluhaaje kaa'e bee umrooje tawreeta ɗe mbinndumi ngam a ekkitina Isra'iila'en.” 
EXO.24.13+EXO.24.14	Hiddeko Muusa wa'oda bee jaggiiɗo muuɗum Yosuwa dow hooseere Allah, o wi'i ndotti'en: “Ndeene min haa ɗo, sey to min ngarti. Haruna bee Huuru ngondan bee mooɗon. To goɗɗo woodi haala, o wara yeeso maɓɓe.”
EXO.24.15	Yaake Muusa wa'i dow hooseere, ruulde suddi nde. 
EXO.24.16	Tedduŋgal Jawmiraawo jippi dow hooseere Sina, ruulde suddi nde nyalɗe joweego. Nyannde joweeɗiɗawre o ewni Muusa nder ruulde. 
EXO.24.17	Isra'iila'en ngi'i tedduŋgal Jawmiraawo bana yiite wulanŋge dow hooseere. 
EXO.24.18	Muusa nasti haa caka ruulde, wa'i dow hooseere. O faɓɓi ton nyalawmaaje e jemmaaje cappanɗe nayi
EXO.25.1	Jawmiraawo wi'i Muusa: 
EXO.25.2	“Yeccu Isra'iila'en ngaddanammi dokkal
EXO.25.3	Ndaa ko woni dokkal ngal njaɓoton haa maɓɓe: Kaŋŋeeri e cardi e njamndi mboɗeeri, 
EXO.25.4	gaaraaji leŋ
EXO.25.5	e lare jawɗi baali boojinaaɗe e lare liɗɗi mawɗi boojinaaɗe e leggal gawaral 
EXO.25.6	e nebbam ngam pittirla e uurle ngam nebbam cenirɗam e uureteeɗum 
EXO.25.7	e kaa'e onikis e kaa'e takketeeɗe haa ɗancikiyel e jiiba wiɓɓere ngam hooreejo liman'en. 
EXO.25.8	Isra'iila'en mbaɗanammi jooɗorde seniinde, haa mi jooɗo caka maɓɓe. 
EXO.25.9	Mbaɗe jooɗorde senaande e kuuje maare fuu fodde misaalu mo mi hollete.”
EXO.25.10	“Ɓe mbaɗa sundukru ndu leggal gawaral. Njuutirka maaru meetir gootel bee reetita. Njaajirka maaru boo meetir gootel reetita walaa, towirka boo meetir gootel reetita walaa. 
EXO.25.11	A sudda ndu fuu bee kaŋŋeeri laaɓndi, nder e yaasi fuu. A taarna sera maaru bee fawne kaŋŋeeri. 
EXO.25.12	Ɓolin kalagaaje kaŋŋeeri nayi ngam maaru, feɗu ɗe haa coɓɓuli maaru nayi, kalagaaje ɗiɗi haa wuttudu wooru, non boo kalagaaje ɗiɗi haa wuttudu nduya. 
EXO.25.13	A waɗa cabbi leɗɗe gaware, cudda ɗi bee kaŋŋeeri. 
EXO.25.14	A nastina cabbi ɗi'i nder kalagaaje haa buttuli sundukru ngam roondaago ndu. 
EXO.25.15	Cabbi man nasta kalagaaje, taa ɗi itte e maaje. 
EXO.25.16	Alluhaaje seedamku ɗiɗi ɗe ndokkanmaami, wallin ɗe nder sundukru man. 
EXO.25.17	Nden waɗ jooɗorde ngam kefergal nde kaŋŋeeri laaɓndi, njuutirka maare meetir gootel bee reetita, njaajirka maare boo meetir gootel reetita walaa
EXO.25.18	A waɗa keruba'en ɗiɗo dow seɓattooji jooɗorde ngam kefergal ɗiɗi bee kaŋŋeeri tappaandi. 
EXO.25.19	A waɗa keruba gooto haa seɓatto wuttudu jooɗorde ngam kefergal wooru, keruba oya boo haa seɓatto wuttudu nduya. Mbaɗe keruba'en ɗiɗo, ɗum laato kuuwaaɗum gootum bee seɓattooji maare ɗiɗi fuu. 
EXO.25.20	Keruba'en mbeeɗa bileeji muuɗum'en haa dow, ɓe mbaɗa ɗowdi dow jooɗorde ngam kefergal bee bileeji maɓɓe. Geese maɓɓe tiitotira, ndaara jooɗorde ngam kefergal. 
EXO.25.21	A wallina alluhaaje seedamku ɗe ndokkanmaami nder sundukru, nden a maɓɓa ndu bee jooɗorde ngam kefergal. 
EXO.25.22	Ton pottanmi bee maaɗa. Haa jooɗorde ngam kefergal e haa keruba'en wonɓe dow sundukru alkawal mbi'anmaami umrooje am fuu ngam Isra'iila'en.”
EXO.25.23	“A waɗa taabal leggal gawaral, njuutirka maagal meetir gootel, njaajirka maagal reeta meetir, towirka maagal boo meetir gootel reetita walaa. 
EXO.25.24	A sudda ngal bee kaŋŋeeri laaɓndi, a taarna sera maagal bee fawne kaŋŋeeri. 
EXO.25.25	A waɗa haa maagal faddorde nde hapakaare, a taarna sera maare bee fawne kaŋŋeeri. 
EXO.25.26	A waɗa ngam maagal kalagaaje kaŋŋeeri nayi, a feɗa ɗe haa coɓɓuli nayi gonɗi haa kosɗe maagal. 
EXO.25.27	Kalagaaje man laato ɓadiiɗe faddorde. Ɗe njogo cabbi ngam roondaago taabal. 
EXO.25.28	A waɗa cabbi leɗɗe gaware, a sudda ɗi bee kaŋŋeeri. A roondoto taabal bee maaji. 
EXO.25.29	A waɗa taasaaje e taasahoy e bulki e jarduɗe ngam lii'aago dokke dufeteeɗe. A waɗa ɗum fuu bee kaŋŋeeri laaɓndi. 
EXO.25.30	Dow taabal man mballinta foroy tamseeje jo'inteeɗe yeeso am.
EXO.25.31	“A waɗa jo'inirɗum pittirlaaji joweeɗiɗi bee kaŋŋeeri tappaandi laaɓndi. Ɗum laato kuuwaaɗum gootum bee dubbeere e taasahoy e morle e pinndi haa maajum fuu. 
EXO.25.32	Lice joweego ngurto haa buttuli maajum. Tati haa wuttudu ndu'u, tati haa wuttudu nduya. 
EXO.25.33	Taasahoy tatoy bana ɓiɓɓe lawjahi
EXO.25.34	Haa dubbeere boo, taasahoy nayoy bana ɓiɓɓe lawjahi bee morle maare e pinndi maare. 
EXO.25.35	Morlere woore les lice maare ɗiɗi, kadiboo morlere woore les lice maare ɗiɗi, fahin morlere woore les lice maare ɗiɗi, ngam lice joweego gurtotooɗe haa jo'inirɗum pittirlaaji. 
EXO.25.36	Morle e lice bee jo'inirɗum pittirlaaji fuu, ɗum laato kuuwaaɗum gootum, ɗum kaŋŋeeri tappaandi laaɓndi. 
EXO.25.37	A waɗa pittirlaaji joweeɗiɗi, a jamna ɗi haa ɗi njayna yeeso maaji. 
EXO.25.38	A waɗa boo mekefje maajum e taasahoy ndoondi man bee kaŋŋeeri laaɓndi. 
EXO.25.39	A waɗa kuuwruɗe maajum fuu baakin kilo kaŋŋeeri laaɓndi cappanɗe tati. 
EXO.25.40	A hakkilana kuuɗe man booɗɗum, a waɗa ɗum fuu fodde misaalu mo ngi'ɗa dow hooseere.
EXO.26.1	“A waɗa jooɗorde senaande bee godooje sappo ɗe gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy. A waɗa ɗe bee suuraaji keruba'en ɗi tuppitoowo baawɗo waɗata. 
EXO.26.2	Njuutirka godoore fuu, meetir sappo e nayi dow meetir ɗiɗi. Ɗe pota kal-kal. 
EXO.26.3	A jokkindira godooje jowi, laato woore, non boo godooje jowi goɗɗe laato woore. 
EXO.26.4	A waɗa peɗinirɗe ɓoggi carwinaaɗi haa sera godoore ragareere haa jokkindiraaɗum gootum. Non a waarata haa sera godoore aranndeere haa jokkindiraaɗum feere boo. 
EXO.26.5	A waɗa peɗinirɗe cappanɗe jowi haa godoore woore, non boo peɗinirɗe cappanɗe jowi haa sera godoore wonnde haa jokkindiraaɗum ɗiɗaɓum. Peɗinirɗe maajum tiitotira. 
EXO.26.6	A waɗa jokkinirɗe ɗe kaŋŋeeri cappanɗe jowi. A hawta jokkindiraaɗe bee maaje, ngam haa jooɗorde senaande fuu laato woore.
EXO.26.7	A waɗa godooje sappo e go'o cannyiraaɗe gaasa be'i ngam laymaaru dow jooɗorde senaande. 
EXO.26.8	Njuutirka godoore fuu, meetir sappo e jowi dow meetir ɗiɗi. Godooje man fuu pota kal-kal. 
EXO.26.9	Jokkindir godooje jowi bee nyootugo, non boo godooje joweego. Sey a sowa godoore joweego'oore haa wuttudu yeeso laymaaru. 
EXO.26.10	A waɗa peɗinirɗe cappanɗe jowi haa sera godoore ragareere haa jokkindiraaɗum gootum. Non boo peɗinirɗe cappanɗe jowi haa sera jokkindiraaɗum ɗiɗaɓum. 
EXO.26.11	A waɗa jokkinirɗe ɗe njamndi mboɗeeri cappanɗe jowi. A nastina jokkinirɗe man nder peɗinirɗe, a hawta laymaaru haa ndu laato wooru. 
EXO.26.12	A jilwa ɗum haa laymaaru, waato reeta godoore luttunde, jilwu nde haa wuttudu ɓaawo jooɗorde senaande go. 
EXO.26.13	Reeta meetir haa ɗo e reeta meetir haa to diga luttuɗum njuuteeŋga godooje laymaaru, ɗe njilwa haa buttuli jooɗorde senaande ɗiɗi, ɗo bee to ngam suddugo ndu. 
EXO.26.14	A waɗana laymaaru suddaare bee lare jawɗi baali boɗeeje. Dow maare boo suddaare feere bee lare liɗɗi mawɗi.
EXO.26.15	A waɗa kaataakooje darotooɗe ngam jooɗorde senaande, ɗe leɗɗe gabde. 
EXO.26.16	Njuutirka kaataakowal fuu, meetir jowi e njaajirka boo meetir gootel reetita walaa. 
EXO.26.17	Jogorɗe ɗiɗi potanɗe laato haa kaataakowal fuu, bana non a waarata haa kaataakooje jooɗorde senaande fuu. 
EXO.26.18	A waɗa kaataakooje noogas ngam jooɗorde senaande wuttudu fombina. 
EXO.26.19	A waɗa kosɗe cappanɗe nayi ɗe cardi les kaataakooje noogas, kosɗe ɗiɗi les kaataakowal gootal haa jogorɗe maagal. 
EXO.26.20	Bana non boo kaataakooje noogas haa jooɗorde senaande wuttudu woyla, 
EXO.26.21	bee kosɗe maaje cappanɗe nayi ɗe cardi, kosɗe ɗiɗi les kaataakowal gootal. 
EXO.26.22	A waɗa kaataakooje joweego ngam jooɗorde senaande, wuttudu ɓaawo, gal hiirnaaŋge. 
EXO.26.23	A waɗa kaataakooje ɗiɗi ngam coɓɓuli jooɗorde senaande, wuttudu ɓaawo. 
EXO.26.24	Jogorɗe ɗiɗi ɗe'e laato haa les, non boo jogorɗe ɗiɗi ɗe laato haa dow baŋnge halagaare. Kaataakooje coɓɓuli ɗiɗi fuu laato kal-kal. 
EXO.26.25	Bana non woodi kaataakooje joweetati bee kosɗe maaje ɗe cardi, kosɗe sappo e joweego, kosɗe ɗiɗi les kaataakowal fuu.
EXO.26.26	A waɗa leɗɗe gaafotooɗe bee leɗɗe gaware, jowi ngam kaataakooje wuttudu jooɗorde senaande wooru 
EXO.26.27	e gaafotooɗe jowi ngam kaataakooje wuttudu jooɗorde senaande nduya, fahin gaafotooɗe jowi ngam wuttudu ɓaawo jooɗorde senaande, waato wuttudu hiirnaaŋge. 
EXO.26.28	Gaafotooŋgal cakaawal nasta caka kaataakooje diga soɓɓundu ndu'u haa soɓɓundu nduya. 
EXO.26.29	A sudda kaataakooje bee kaŋŋeeri. A waɗa kalagaaje kaŋŋeeri ngam jogaago gaafotooɗe, a sudda ɗe bee kaŋŋeeri. 
EXO.26.30	Ɓaawo man, sey a darna jooɗorde senaande nde'e fodde misaalu mo mi holli ma dow hooseere.
EXO.26.31	A waɗa wiirndallo bee gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi, boɗeeji seɗɗa e boɗeeji coy. A waɗa ngo bee suuraaji keruba'en ɗi tuppitoowo baawɗo waɗata. 
EXO.26.32	A ɓila ngo haa daŋraŋge nayi ɗe leɗɗe gabde bee ɓilduɗe, a sudda ɗe bee kaŋŋeeri, bee ɓilduɗe ɗe kaŋŋeeri e kosɗe ɗe cardi. 
EXO.26.33	A ɓila wiirndallo les ɓilduɗe. A nastina sundukru seedamku ton ɓaawo wiirndallo. Wiirndallo laatanto on senndorde hakkunde nokkuure seniinde e nokkuure ɓurnde senaago
EXO.26.34	A wallina jooɗorde ngam kefergal
EXO.26.35	A jo'ina taabal yeeso wiirndallo, non boo jo'inirɗum pittirlaaji haa tiitotira bee taabal, haa wuttudu jooɗorde senaande fombina. Taabal boo, a jo'ina ɗum haa wuttudu woyla. 
EXO.26.36	A waɗa wiirndallo ngam dammugal laymaaru, ngo gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy, ɗum laato tuppitaaɗum. 
EXO.26.37	A waɗana wiirndallo daŋraŋge jowi ɗe leɗɗe gabde, a sudda ɗe bee kaŋŋeeri, ɓilduɗe maaje boo ɗe kaŋŋeeri. A ɓolina ngam maaje kosɗe jowi ɗe njamndi mboɗeeri.”
EXO.27.1	“A waɗa hirsirde nde leggal gawaral, njuutirka maare meetir ɗiɗi bee reeta, njaajirka maare boo meetir ɗiɗi bee reeta. Hirsirde laato marnde tolɗi
EXO.27.2	A waɗa irin luwe haa coɓɓuli maare nayi, ɗe laato kuuwaaɗum gootum bee hirsirde. A sudda nde bee njamndi mboɗeeri. 
EXO.27.3	A waɗana nde payanɗe ɓoftugo ndoondi maare, non boo ɓoftirɗe e pehe biccirɗe ƴiiƴam e tufirɗe e pehe gulduɗe. A waɗa kuuje maare fuu bee njamndi mboɗeeri. 
EXO.27.4	A waɗana nde kuuwaaɗum jamɗe boɗeeje gaafiiɗe, nannduɗum bee zubaawol. Haa coɓɓuli man nayi, a waɗa kalagaaje nayi ɗe njamndi mboɗeeri. 
EXO.27.5	A jo'ina kuuwaaɗum go les taarnaaɗum hirsirde, diga les haa ɗum yotto reeta towirka hirsirde. 
EXO.27.6	A waɗa cabbi ngam hirsirde, ɗi leggal gawaral, a sudda ɗi bee njamndi mboɗeeri. 
EXO.27.7	A nastina cabbi man nder kalagaaje haa buttuli hirsirde ɗiɗi ngam roondaago nde. 
EXO.27.8	Nder maare baɗaaɗum bee kaataakooje, laato cookum. Sey a waɗa nde bana mi holli ma dow hooseere.”
EXO.27.9	“A waɗana boo jooɗorde senaande daldal. Haa wuttudu fombina, a waɗana ngal wiirndallooji gaaraaji leŋ ɗigguɗi baalaaɗi. Njuutirka wuttudu wooru meetir cappanɗe jowi, 
EXO.27.10	bee daŋraŋge maaru noogas e kosɗe maaje noogas ɗe njamndi mboɗeeri e ɓilduɗe daŋraŋge e gaafe daŋraŋge ɗe cardi. 
EXO.27.11	Bana non boo haa wuttudu woyla, njuutirka wiirndallooji meetir cappanɗe jowi, bee daŋraŋge maaru noogas e kosɗe maaje noogas ɗe njamndi mboɗeeri e ɓilduɗe daŋraŋge e gaafe daŋraŋge ɗe cardi. 
EXO.27.12	Njaajirka daldal man haa wuttudu hiirnaaŋge, wiirndallooji meetir noogas e jowi, bee daŋraŋge maaru sappo e kosɗe maaje sappo. 
EXO.27.13	Non boo njaajirka maagal haa wuttudu fuunaaŋge, meetir noogas e jowi: 
EXO.27.14	Wiirndallooji meetir joweeɗiɗi bee reeta haa wakeere woore, bee daŋraŋge maare tati e kosɗe maaje tati. 
EXO.27.15	Wakeere ndeya boo wiirndallooji meetir joweeɗiɗi bee reeta, bee daŋraŋge maare tati e kosɗe maaje tati. 
EXO.27.16	Ngam nastirde daldal, wiirndallo meetir sappo, ngo gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy, ɗum laato tuppitaaɗum, bee daŋraŋge maagal nayi e kosɗe maagal nayi. 
EXO.27.17	Daŋraŋge daldal fuu kawrite bee gaafe cardi. Ɓilduɗe maaje ɗe cardi, kosɗe maaje ɗe njamndi mboɗeeri. 
EXO.27.18	Njuutirka daldal laato meetir cappanɗe jowi, njaajirka maagal meetir noogas e jowi, towirka maagal boo meetir ɗiɗi bee reeta. Wiirndallooji fuu ɗi gaaraaji leŋ ɗigguɗi baalaaɗi, kosɗe fuu ɗe njamndi mboɗeeri. 
EXO.27.19	Ngam kuuje jooɗorde senaande e kuugal maaje fuu e tiggirɗe maaje fuu e tiggirɗe daldal fuu ɗe njamndi mboɗeeri.”
EXO.27.20	“An Muusa, umru Isra'iila'en ɓe ngaddane nebbam jaytunje arɓaaɗe laaɓɗam ngam jayŋgol pittirlaaji, ngam ɗi njamne foroy. 
EXO.27.21	Haruna e ɓikkoy muuɗum njo'ina jo'inirɗum pittirlaaji nder laymaaru fottirde, gaa'e wiirndallo wiirnanŋgo sundukru seedamku, pittirlaaji kuɓɓa yeeso am diga kiikiiɗe haa fajiri. Ɗo woni farilla nduumiika ngam gide mon fuu.”
EXO.28.1	“Muusa, hoo'u deerɗiraawo ma Haruna e ɓikkoy muuɗum: Nadab e Abihu e Eli'azaaru e Itamar ngara haa kommbi ma. A sennda ɓe bee Isra'iila'en woɗɓe, ngam ɓe kuuwanammi kuugal limanku. 
EXO.28.2	Waɗan deerɗiraawo ma Haruna limce ceniiɗe kollanɗe tedduŋgal e daraja muuɗum. 
EXO.28.3	Wolwan huuwooɓe waawɓe ɓe kebbinmi bee anndal fuu, haa ɓe mbaɗa limce Haruna ngam cenki maako, o huuwanammi kuugal limanku. 
EXO.28.4	Ndaa limce ɗe ɓe mbaɗata: Jiiba wiɓɓere e ɗancikiire e alkibbaare e toggoore tuppitaande e meetaleewol e taadorgol. Ɓe mbaɗa limce ceniiɗe ngam deerɗiraawo ma Haruna e ɓikkoy muuɗum, ngam ɓe kuuwanammi kuugal limanku.
EXO.28.5	Ɓe mbaɗa ɗum bee kaŋŋeeri e gaaraaji leŋ ɗigguɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy.
EXO.28.6	Ɓe mbaɗa ɗancikiire bee kaŋŋeeri e gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy ɗe tuppitoowo baawɗo waɗata. 
EXO.28.7	Balbe ɗiɗi laatano ɗancikiire man ngam jokkindirgo nde haa seɓattooji maare ɗiɗi. 
EXO.28.8	Taadorgol gonŋgol dow ɗancikiire ngam haɓɓugo nde, ɓe mbaɗa ngol bana ɗancikiire bee kaŋŋeeri e limce gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy, ɗum laato kuuwaaɗum gootum bee ɗancikiire. 
EXO.28.9	Nden ɓe koo'a kaa'e onikis ɗiɗi, ɓe mbinnda inɗe ɓiɓɓe Isra'iila dow maaje. 
EXO.28.10	Inɗe joweego dow hayre nde'e e joweego luttuɗe boo dow hayre ɗiɗawre, fodde tokkindirki danyeeki maɓɓe. 
EXO.28.11	Sey a winnda inɗe ɓiɓɓe Isra'iila dow kaa'e ɗiɗi fuu, bee binndi ta'aaɗi diga cehoowo kaa'e bana haatummeere. A nastina ɗe nder jogorɗe ɗe kaŋŋeeri. 
EXO.28.12	Feɗu kaa'e ɗiɗi ɗe'e dow balbe ɗancikiire, ɗe laato kaa'e ngam siftorgo ɓiɓɓe Isra'iila. Haruna roondo inɗe maɓɓe dow balbe mum ngam ciftorki yeeso Jawmiraawo. 
EXO.28.13	A waɗa jogorɗe ɗiɗi ɗe kaŋŋeeri 
EXO.28.14	e a waɗa callalluhoy kaŋŋeeri laaɓndi ɗiɗoy, bana ɓoggi bamaaɗi. Jokku callalluhoy mbamaakoy koy haa jogorɗe.
EXO.28.15	Waɗ jiiba wiɓɓere ngam hiitaago, kuugal man laato bana ngal tuppitoowo ɗancikiire, bee kaŋŋeeri e gaaraaji leŋ ɗigguɗi baalaaɗi e carwinaaɗi e boɗeeji seɗɗa e boɗeeji coy. 
EXO.28.16	Ka mara buttuli nayi potanɗi, ɓe cowa ka, njuutirka maaka hapakaare e njaajirka maaka hapakaare. 
EXO.28.17	Takku dow maaka kaa'e marɗe saman jabbi nayi. Jabbol aranol: Sardiyus, tupas, imiradi. 
EXO.28.18	Jabbol ɗiɗaɓol: Lipinlaare, safira, yaspa. 
EXO.28.19	Jabbol tataɓol: Yakintus, agate, ametistu. 
EXO.28.20	Jabbol nayaɓol: Kirisoliti, haako-haakoore, onikis
EXO.28.21	Limgal kaa'e laato fodde limgal ɓiɓɓe Isra'iila sappo e ɗiɗo, bee binndi ta'aaɗi diga cehoowo kaa'e bana haatummeere. Hayre koo ndeyeere fuu bee innde lenyol gootol. 
EXO.28.22	Waɗ callalluhoy kaŋŋeeri laaɓndi ɗiɗoy mbamaakoy bana ɓoggi haa jiiba wiɓɓere. 
EXO.28.23	Waɗ kalagaaje kaŋŋeeri ɗiɗi dow jiiba wiɓɓere. Feɗu kalagaaje man haa seɓattooji jiiba wiɓɓere ɗiɗi fuu. 
EXO.28.24	Haɓɓu ɓoggi kaŋŋeeri bamaaɗi go haa kalagaaje ɗiɗi gonɗe haa seɓattooji jiiba wiɓɓere. 
EXO.28.25	Seɓattooji ɓoggi goɗɗi, haɓɓu ɗi haa jogorɗe kaa'e gonɗe dow balbe ɗancikiire, wakeere yeeso. 
EXO.28.26	Waɗ kalagaaje kaŋŋeeri goɗɗe ɗiɗi, feɗu ɗe haa seɓattooji jiiba wiɓɓere, haa gawargal maaka keeduŋgal ɗancikiire, nder muuɗum. 
EXO.28.27	Kadiboo waɗ kalagaaje kaŋŋeeri ɗiɗi, jokku ɗe haa balbe ɗancikiire, wakeere yeeso haa les, haa jokkindirki maare dow taadorgol ɗancikiire. 
EXO.28.28	Ɓe njokka jiiba wiɓɓere bee kalagaaje maaka haa kalagaaje ɗancikiire. Ɓe njokka ka bee ɓoggol carwinaaŋgol, ngam jiiba laato haa dow taadorgol ɗancikiire, taa ka seeda bee maare. 
EXO.28.29	Nde Haruna nastata suudu seniindu fuu, o nastida bee inɗe ɓiɓɓe Isra'iila gonɗe dow jiiba kiitorka ngonka haa ɓernde maako. Ɗum laato ciftorki yeeso Jawmiraawo foroy. 
EXO.28.30	Wallin kaa'e kur'u bi'eteeɗe uriima e tumiima nder jiiba kiitorka. Ɗum laato dow ɓernde Haruna to o waŋgi yeeso Jawmiraawo. Haruna hiitano yimɓe Isra'iila bee maaje yeeso Jawmiraawo foroy
EXO.28.31	Waɗ alkibbaare les ɗancikiire bee gaaraaji carwinaaɗi, 
EXO.28.32	daande wona haa caka maare. Cannyoowo waɗa daɗɗaare haa sera maare. Ɗum wona bana daande sulkewol, ngam taa nde seeka. 
EXO.28.33	Haa gawargal alkibbaare waɗ ɓiɓɓe rummaanooje
EXO.28.34	Leŋnguru kaŋŋeeri e rummaanoore, leŋnguru kaŋŋeeri e rummaanoore, bana non haa gawargal alkibbaare taarotooŋgal fuu. 
EXO.28.35	Haruna ɓorno nde ngam huuwugo kuugal limanku. Ɓe nanan sonyo maajum nde o nastata suudu seniindu yeeso Jawmiraawo e nde o wurtoto fuu, ɗum anndinan ɓe o geeto.
EXO.28.36	Waɗ jaagnorde bee kaŋŋeeri laaɓndi, winndu dow maare bee binndol ta'aaŋgol bana haatummeere: Senaama ngam Jawmiraawo. 
EXO.28.37	Haɓɓu nde bee ɓoggol carwinaaŋgol, nde wona haa yeeso meetaleewol. 
EXO.28.38	Nde wona dow tiinde Haruna ngam faddaago Isra'iila'en to ɓe mbaɗi aybeeji wakkati ɓe cenata dokke e kirseteeɗi ngam Jawmiraawo fuu. Nde wona foroy haa tiinde maako ngam yerduye maɓɓe yeeso Jawmiraawo.
EXO.28.39	Waɗ toggoore cannyiraande jaage bee gaaraaji leŋ ɗigguɗi. Waɗ boo meetaleewol bee gaaraaji leŋ ɗigguɗi. Kadiboo waɗ taadorgol tuppitaaŋgol. 
EXO.28.40	Waɗan ɓiɓɓe Haruna toggooje e taadorli e kufneeje ngam hollugo tedduŋgal e daraja maɓɓe. 
EXO.28.41	Ɓornan ɗe deerɗa Haruna e ɓiɓɓe muuɗum. Waɗ nebbam cenirɗam dow ko'e maɓɓe, halfin ɓe kuugal, sen ɓe ngam ɓe kuuwanammi kuugal limanku. 
EXO.28.42	Waɗan ɓe gajeeje leŋ ngam suuraago diga kaddorɗe haa dawɗe. 
EXO.28.43	Haruna e ɓikkoy muuɗum ɓorno koy to ɓe nasti laymaaru fottirde malla to ɓe ɓaditake hirsirde, haa ɓe kuuwa kuugal suudu seniindu, ngam taa aybe wara dow maɓɓe, taa ɓe maaya. Ɗum woni umroore duumaniinde mo kaŋko e danygol maako ɓaawo maako.”
EXO.29.1	“Ndaa ko a waɗata ngam a sena liman'en haa ɓe kuuwanammi kuugal limanku: Hoo'u ngaari kalhaldi e jawɗi baali ɗiɗi ɗi ngalaa aybe 
