GEN.1.1	Haa fuɗɗam Allah tagi asamanji e lesdi. 
DEU.14.24	To on mbaawaay yahrugo zakka kuuje ɗe Jawmiraawo barkiɗini on bee muuɗum'en, ngam daayaare laawol bee nokkuure nde Allah suɓi ngam innde muuɗum wona ton, 
DEU.14.25	nden kam coorre kuuje man, koo'e ceede coggu man, njahde bee man haa suudu Jawmiraawo mooɗon. 
DEU.14.26	Coode bee ceede man ko ɓerɗe mon ngiɗi fuu, dabbaaji mawɗi e dammooji e inaboojam e nguykinoojam. Nden nyaame ton, ceye yeeso Jawmiraawo, Allah mooɗon, onon e yimɓe ci'e
DEU.14.27	Ammaa taa ɗawe
DEU.14.28	Haa timmoode hitaande tataɓre, ngadde zakka kuuje fuu ɗe keɓoton hitaande man, mooɓte ɗum nder berniiji mon. 
DEU.14.29	Lewi'en ngaran kooca geɗal muuɗum'en, ngam ɓe marataa gese caka mooɗon. Luttuɗum boo ɗum laatano hoɗɓe e atiime'en e rewɓe yurumɓe wonɓe nder berniiji mon. Ɓe fuu ɓe keɓa, ɓe nyaama, ɓe kaara, ngam haa Jawmiraawo, Allah mooɗon barkiɗina kuugal juuɗe mooɗon fuu
DEU.15.1	Haa timmoode duuɓi joweeɗiɗi fuu, on njaafana hoo'uɓe nyamaale haa mooɗon. 
DEU.15.2	Ndaa nii mbaaroton hitaande man: Koo moy tokkiiɗo Isra'iilaajo keeddiɗɗum nyamaande fuu, sey o yaafano mo nde, taa o doola keeddiɗɗum e deerɗum yoɓugo ngam Jawmiraawo bee hoore mum umri wooynaandu dimɗinki ki'i. 
DEU.15.3	On njaawnan jananno haa o hokkita on nyamaande, ammaa keeddiɗɗiraawo mon e deerɗiraawo mon, njaafane ɓe.
DEU.15.4	Jawmiraawo, Allah mooɗon barkiɗinan on nder lesdi ndi o marnata on. Talakaajo laatataako caka mooɗon, 
DEU.15.5	to on nanani Jawmiraawo, Allah mooɗon, to on kakkilani umrooje fuu ɗe umranmi on hannde, to on ɗowtani ɗe. 
DEU.15.6	Ngam Jawmiraawo, Allah mooɗon barkiɗini on bana o wi'i. On ndokkan ummaatooje ɗuuɗɗe nyamaale, ammaa onon on ɗaɓɓataa nyamaale. On laamanto ummaatooje ɗuuɗɗe, ammaa walaa ummaatoore laamanto on.
DEU.15.7	To Isra'iilaajo talkiɗi haa berniwol koo ngole nder lesdi ndi Jawmiraawo, Allah mooɗon hokkata on, taa caatine ko'e mon, taa tamnde juuɗe mon yeeso Isra'iilaajo deerɗiraawo mooɗon. 
DEU.15.8	Ammaa mbeeɗane mo juuɗe mon, ndokke mo nyamaande deydey haaje maako
DEU.15.9	Kakkilane ko'e mooɗon, taa numooji meereeji ummo nder ɓerɗe mon, on mbi'a: Aa'a, hitaande joweeɗiɗawre ɓadake, ɗum hitaande dimɗinki. To on calake hokkugo deerɗiraawo mon talakaajo nyamaande, o wulloto on yeeso Jawmiraawo, ɗum laatoto hakke dow mooɗon. 
DEU.15.10	Ndokke mo bee ɓernde saahiinde, naa mettunde. Ngam daliila maajum Jawmiraawo, Allah mooɗon barkiɗinan kuuɗe ɗe kuuwoton fuu. 
DEU.15.11	Talaka'en njinnataa nder lesdi mon. Ngam maajum umranmi on: Ndokke deerɗiraaɓe mon laafuɓe e talaka'en nder lesdi mon bee caahaaki
DEU.15.12	To Isra'iilaajo, gorko malla debbo, soorri ma hoore mum, sey o huuwane duuɓi joweego. Nder nduuɓu njoweeɗiɗaɓru sey a yoofta mo o dilla o dimo. 
DEU.15.13	Saa'i njooftata mo o dilla, taa o wurto juŋngo meere. 
DEU.15.14	Hoo'an mo ɗuuɗɗum haa dammooji ma e alkamaari ma e inaboojam ma, haa ko keɓruɗa bee barka Jawmiraawo, Allah maaɗa fuu, ndokka mo ɗum caahu. 
DEU.15.15	Ciftore, onon boo, naane on laatino maccuɓe nder lesdi Misra, ammaa Jawmiraawo, Allah mooɗon rimɗini on. Ngam maajum umrumi on umroore nde'e hannde.
DEU.15.16	“Ammaa to maccuɗo ma yiɗaa dillugo, ngam o yiɗi ma, an e saare ma, ngam o jooɗodi bee maaɗa jam, 
DEU.15.17	nden kam hoo'u tufirɗum, tuf nofru maako haa dammugal saare ma. Bana non o laatorto maccuɗo ma haa foroy. Waɗan korɗo ma boo bana non. 
DEU.15.18	Taa mimsita yooftugo jeyaaɗo ma, ngam o huuwani ma duuɓi joweego. Saman maajum fotan bee ngeenaari huuwooɓe ɗiɗo. To a huuwi bana non, Jawmiraawo, Allah maaɗa barkiɗinan kuuɗe ma fuu.”
DEU.15.19	“Afi gorɗi haa dabbaaji mon e dammooji mon fuu on lii'ano ɗi Jawmiraawo, Allah mooɗon. Taa kuuwe kuugal koo ngale bee afi na'i mon, taa ta'e gaasa afi dammooji mon boo
DEU.15.20	Nde hitaande yaalti fuu, onon e yimɓe ci'e
DEU.15.21	Ammaa to aybe ɗon haa maaji, ɗi laƴan malla bumɗi, to aybewol maŋngol koo ngole ɗon haa maaji, taa lii'ane ɗi Jawmiraawo, Allah mooɗon. 
DEU.15.22	Nyaame ɗi haa saare. Koo moy mooɗon nyaama ɗi, cenaaɗo bee mo senaaki, bana nyaamroton lelji e jabaaje. 
DEU.15.23	Ammaa taa nyaame ƴiiƴam maaji, sey on ndufa ɗam haa lesdi bana ndiyam
DEU.16.1	“Kakkilane lewru wi'eteendu Abiiba, on mbaɗana Jawmiraawo, Allah mooɗon juulde 
DEU.16.2	Njehe haa nokkuure nde o suɓata ngam innde maako wona ton. Kirse ton gootel dabbaaji mon mawɗi malla dammooji mon, ɗum laato nyaamdu Paska ngam on teddina Jawmiraawo, Allah mooɗon. 
DEU.16.3	Taa nyaamde ɗum bee tamseeje ufnaaɗe. Nyalɗe joweeɗiɗi nyaame tamseeje ɗe ufnaaka ngam on ngurti Misra bee jaawal. Tamseeje ɗe'e ciftinoran on ɓillaare mon, ngam taa on ngejjita nyalaade gurtaaki mon lesdi Misra, balɗe ngeendam mooɗon fuu. 
DEU.16.4	Taa ufnirɗum tawe nder lesdi mon nyalɗe joweeɗiɗi ɗe'e. Kusel dabbaaji ɗi kirsoton nyannde arannde bee kiikiiɗe, taa lutta haa jaŋngo fajiri.
DEU.16.5	Taa kirse ndabbaawa Paska nder berniiji ɗi Jawmiraawo, Allah mooɗon hokkata on. 
DEU.16.6	Taa kirse nga, sey haa nokkuure nde o suɓata ngam innde maako wona ton. Kirse nga saa'i naaŋge ɗon muta, waato saa'i gurtaaki mon Misra. 
DEU.16.7	Ndefe kusel maaga, nyaame ngel ton haa nokkuure nde Jawmiraawo, Allah mooɗon suɓata. Jaŋngo maajum on ummo, on loro haa ci'e
DEU.16.8	Nyalɗe joweego nyaamoton tamseeje ɗe ufnaaka. Ammaa nyannde joweeɗiɗawre mbaɗe mooɓtorde juulde ngam on cujidana Jawmiraawo, Allah mooɗon, taa kuuwe kuugal koo ngale
DEU.16.9	“To on puɗɗi wa'ugo alkamaari, lime asaweeje joweeɗiɗi. 
DEU.16.10	Nden mbaɗane Jawmiraawo, Allah mooɗon juulde ƴaamle aartuɗe. Ngaddane mo dokke caahiiɗe fodde no Jawmiraawo, Allah mooɗon barkiɗiniri on. 
DEU.16.11	Ceye yeeso maako, onon bee ɓikkoy mooɗon worɓe e rewɓe e jeyaaɓe mon e Lewi'en wonɓe nder berniiji mon e hoɗɓe e atiime'en e rewɓe yurumɓe caka mooɗon. Mbaɗe ɗum haa nokkuure nde Jawmiraawo, Allah mooɗon suɓata ngam innde muuɗum wona ton. 
DEU.16.12	Ciftore, naane on laatino maccuɓe haa lesdi Misra. Kakkilane farillaaji ɗi'i, ɗowtane ɗi
DEU.16.13	“To on timmini fiyugo alkamaari e ɓiɗɗugo inabooje, mbaɗe juulde bukkaaji nyalɗe joweeɗiɗi. 
DEU.16.14	Ceye wakkati juulde nde'e, onon bee ɓikkoy mooɗon e jeyaaɓe mon e Lewi'en e hoɗɓe e atiime'en e rewɓe yurumɓe wonɓe nder berniiji mon. 
DEU.16.15	Nyalɗe joweeɗiɗi mbaɗanton Jawmiraawo, Allah mooɗon juulde man, haa nokkuure nde o suɓata ɗum. Jawmiraawo, Allah mooɗon barkiɗinan gese mon e kuugal juuɗe mooɗon. Fakat on keewan seyo
DEU.16.16	Hitaande fuu, yimɓe nder mooɗon ngara yeeso Jawmiraawo, Allah mooɗon nde tati, haa nokkuure nde o suɓata ngam: Juulde tamseeje ɗe ufnaaka e juulde ƴaamle aartuɗe e juulde bukkaaji. Taa ɓe ngara juŋngo meere yeeso Jawmiraawo. 
DEU.16.17	Koo moy wadda dokkal bana o waawi, fodde ko o heɓi bee barka Jawmiraawo, Allah mooɗon.”
DEU.16.18	“Ndarne hiitooɓe e kaliifa'en fodde le'i mon, nder gure ɗe Jawmiraawo, Allah mooɗon hokkata on fuu. Kamɓe ɓe mbaɗana yimɓe kiita ngooŋɗuka. 
DEU.16.19	Taa ɓe cela laawol gooŋga haa kiita. Taa ɓe cenndindira yimɓe. Taa ɓe njaɓa caahu rusiya, ngam rusiya haɗan yi'ugo gooŋga, waylan haala gooŋɗuɓe
DEU.16.20	Ɗaɓɓe gooŋgaaku, sey gooŋgaaku tan. Nden kam on ngeeɗan, on maran lesdi ndi Jawmiraawo, Allah mooɗon hokkata on.
DEU.16.21	To on nyiɓani Jawmiraawo, Allah mooɗon hirsirde, taa ndarne suuraaji Asera malla lekki feere baŋnge maare
DEU.16.22	Taa ndarne daŋraŋge labbi boo. Jawmiraawo, Allah mooɗon ɗon wanya kuuje ɗe'e fuu
DEU.17.1	“Taa lii'ane Jawmiraawo, Allah mooɗon ngaari kalhaldi malla ndammoowa, to aybewol koo ngole ɗon haa maajum, ngam ɗum nyidduɗum haa Jawmiraawo, Allah mooɗon.
DEU.17.2	Teema on nanan habaru haa berniwol koo ngole caka berniiji ɗi Jawmiraawo hokkata on. Goɗɗo gorko malla debbo ton waɗi hakke dow Jawmiraawo, Allah mooɗon, luuti alkawal maako, 
DEU.17.3	sujidani ɗowanteeɓe woɗɓe malla naaŋge malla lewru malla koode, luuti umroore Jawmiraawo
DEU.17.4	To on nani haala man, linye ka booɗɗum. To huunde nyiddunde nde'e laatake nder Isra'iila fakat, 
DEU.17.5	sey on ngurtina baɗɗo kalluɗum man yaasi wuro, on piɗa mo bee kaa'e haa o maaya. 
DEU.17.6	Goɗɗo mbarataake dow seedamku gooto tan. Kiita mbareego fuu tabita dow seedamku seedooɓe ɗiɗo malla tato
DEU.17.7	Seedooɓe aarta fiɗugo mo bee kaa'e ngam mbarugo mo, ɓaawoɗon ummaatoore fuu fiɗa mo. Bana non ittirton halleende caka mooɗon
DEU.17.8	Teema haala kiita makka bana mbar-hoore malla haɓre malla naawnere haa goɗɗo malla jokkirgol dow marle, salori hiitooɓe wuro, nden kam njehe haa nokkuure nde Jawmiraawo, Allah mooɗon suɓata. 
DEU.17.9	Njahre haala mooɗon yeeso liman'en Lewi'en e kiitoowo nyalɗe man, kamɓe ɓe ta'ana on kiita. 
DEU.17.10	Onon boo on mbaɗa fodde wolde maɓɓe nde ɓe mbolwanta on fuu haa nokkuure nde Jawmiraawo suɓata. 
DEU.17.11	Njaɓe kiita maɓɓe fodde umroore tawreeta, tokke ko ɓe ekkitini on haa nokkuure nde'e fuu, taa cele ɗum, koo haa nyaamo malla haa nano. 
DEU.17.12	Koo moy ƴaggiiɗo mo ɗowtantaako kiitoowo malla limanjo jaggantooɗo Jawmiraawo, Allah mooɗon ton, o mbareteeɗo. Bana non ittirton halleende nder Isra'iila. 
DEU.17.13	Yimɓe ummaatoore fuu nana habaru man, ɓe kula, ngam taa goɗɗo feere mawnito waɗa halleende nde'e fahin.”
DEU.17.14	“To on nasti nder lesdi ndi Jawmiraawo, Allah mooɗon hokkata on, to on mari ndi, on ɗon njooɗi ton, teema on mbi'an: Sey en mbaɗa laamiiɗo bana ummaatooje taariiɗe en fuu
DEU.17.15	nden kam, sey on laamina goɗɗo mo Jawmiraawo, Allah mooɗon suɓata caka deerɗiraaɓe mooɗon. Taa laamine jananno mo laataaki deerɗiraawo mon dow mooɗon. 
DEU.17.16	Taa laamiiɗo mara pucci ɗuuɗɗi. Taa o lorna ummaatoore haa Misra boo ngam heɓoygo pucci ɗuuɗɗi. Ngam Jawmiraawo wi'i on: Taa lorte ton sam
DEU.17.17	Taa laamiiɗo mara rewɓe ɗuuɗɓe, ngam taa ɓernde maako huucitana ɓe, acca Jawmiraawo. Taa o ɗuɗɗinana hoore maako cardi e kaŋŋeeri boo
DEU.17.18	To o laatake laamiiɗo, o winndana hoore maako deftere tawreeta ka'a fodde deftere wonnde haa liman'en Lewi'en. 
DEU.17.19	O jogo nde baŋnge maako, o jaŋnga nde balɗe ngeendam maako fuu, ngam o ekkito hulugo Jawmiraawo, Allah maako, o hakkilana bolle tawreeta ka'a fuu. O ɗowtano farillaaji ɗi'i fuu. 
DEU.17.20	Ɗum aynan mo, taa ɓernde maako mawnito dow deerɗiraaɓe maako Isra'iila'en, taa o sela umrooje ɗe'e koo haa nyaamo koo haa nano. Nden kaŋko e danygol maako laamanto Isra'iila duuɓi ɗuuɗɗi.”
DEU.18.1	“Lewi'en liman'en, koo lenyol Lewi fuu heɓataa geɗal lesdi nder Isra'iila. Ɓe nguura bee guleteeɗi e dokke ɗe ummaatoore lii'anto Jawmiraawo. Kanjum woni geɗal maɓɓe. 
DEU.18.2	Taa ɓe mara lesdi caka deerɗiraaɓe maɓɓe Isra'iila'en. Maral maɓɓe, ɗum Jawmiraawo bee hoore mum, bana ko o wi'i ɓe
DEU.18.3	To goɗɗo lii'anake Jawmiraawo ngaari malla ndammoowa, balawal e galaŋge e ndeera fuu liman'en jeyi. 
DEU.18.4	On ndokkan ɓe boo geɗal aartuŋgal haa alkamaari mon e inaboojam mon e nebbam mon e gaasa baali mon. 
DEU.18.5	Ngam Jawmiraawo, Allah mooɗon suɓi lenyol Lewi caka le'i mon fuu, haa ngol huuwana mo kuugal limanku haa foroy.
DEU.18.6	Koo moy Lewiijo gonɗo haa berniwol koo ngole nder Isra'iila fuu yiɗi wurtaago ngol e wargo haa nokkuure nde Jawmiraawo suɓata, 
DEU.18.7	ngam jagganaago Jawmiraawo, Allah mum ton bana deerɗiraaɓe mum Lewi'en woɗɓe, darotooɓe ton yeeso Jawmiraawo, 
DEU.18.8	o soorra goɗɗum haa ndonŋgu baaba maako, o wuura bee saman coggu man, o heɓa boo geɗal nyaamdu bana liman'en woɗɓe.”
DEU.18.9	To on nasti lesdi ndi Jawmiraawo, Allah mooɗon hokkata on, taa on tokko al'aadaaji nyidduɗi ɗi ummaatooje goɗɗe tokkoto ton. 
DEU.18.10	Taa goɗɗo caka mooɗon lii'o ɓiɗɗo mum gorko malla debbo guleteeɗo. Taa goɗɗo laato baɗoowo hatti malla daaroowo kuuje feere malla hiilaajo
DEU.18.11	malla ciiroowo malla carwotooɗo maayɓe malla carwotooɗo ruuhuuji goɗɗi
DEU.18.12	Kuuwanɗo kuuje ɗe'e o nyidduɗo haa Jawmiraawo, Allah mooɗon. Ngam daliila kuuje nyidduɗe ɗe'e, o ɗon riiwa ummaatooje ɗe'e yeeso mooɗon. 
DEU.18.13	Ammaa onon laate on timmuɓe yeeso Jawmiraawo, Allah mooɗon
DEU.18.14	Nden Muusa wi'i: “Ummaatooje ɗe nyaamoton lesdi muuɗum'en, ɗon nanana hiila'en e laarooɓe. Ammaa onon, Jawmiraawo, Allah mooɗon duŋanaaki on waɗugo irin maajum. 
DEU.18.15	Jawmiraawo umminanan on annabiijo nder mon bana am, goɗɗo caka deerɗiraaɓe mooɗon, kaŋko nananton
DEU.18.16	Nyalaade on mooɓi haa hooseere Horeb, on tori taa on nana sawtu Jawmiraawo, Allah mooɗon fahin, taa on meeta yi'ugo yiite maŋnge go boo, ngam taa on maaya. 
DEU.18.17	Jawmiraawo wi'i yam: Tornde maɓɓe fotti. 
DEU.18.18	Mi umminanan ɓe annabiijo bana maaɗa iwanɗo caka deerɗiraaɓe maɓɓe. Mi waɗan bolle am nder hunnduko maako, o wolwanan ɓe ko mi umri mo fuu. 
DEU.18.19	To goɗɗo salake ɗowtanaago ko annabiijo wolwi bee innde am, mi hiitoto mo
DEU.18.20	Ammaa to annabiijo goɗɗo mawnitake, wolwi bee innde am bilaa umroore am, o mbareteeɗo. Annabiijo mo wolwi bee innde ɗowanteeɓe jananɓe boo, o mbareteeɗo.
DEU.18.21	To on numi: Noy min anndirta wolde nde Jawmiraawo wolwaay ɗum? 
DEU.18.22	To annabiijo wolwi bee innde Jawmiraawo, ko o wi'i man laataaki, nden kam naa ɗum wolde Jawmiraawo, annabiijo oo mawniti, wolwi meere. Taa kule mo.”
DEU.19.1	“To Jawmiraawo, Allah mooɗon hokki on lesdi, nattini ummaatooje gonɗe ton, to on ndiiwi ɓe, on koo'i berniiji maɓɓe, on njooɗake nder cuuɗi maɓɓe, 
DEU.19.2	nden kam cuɓe berniiji tati caka maaji. 
DEU.19.3	Lesdi ndi Jawmiraawo, Allah mooɗon marnata on, cennde ndi geɓe tati. Poonde njuutirka laabi, cuɓe berniwol gootol nder yeɓre lesdi koo ndeye. Mo mbari goɗɗo bilaa anniya, dogga, yaha ton, heɓa hisrude. 
DEU.19.4	To goɗɗo mbari keeddiɗɗum bilaa anniya, to o meeɗaay wanyugo mo boo, nden kam o dogga, o hisa nder gootol berniiji ɗi'i. 
DEU.19.5	To worɓe ɗiɗo njehi fe'ugo leɗɗe. Gooto maɓɓe ɗon fe'a, njamndi fe'irde seŋti diga leggal mum, naŋngi oya, mbari ɗum. Nden kam pe'uɗo dogga, yaha haa gootol berniiji man, hisa ton. 
DEU.19.6	Ngam to on cuɓi berniwol gootol tan, laawol daayoto. Nden baatoowo heɓan jokkaago mo. Nder tikkere maako o mbaran goɗɗo mo kiita mum he'aay mbareego, ngam o meeɗaay wanyugo mo. 
DEU.19.7	Ngam maajum umrumi on: Sey on cuɓa berniiji tati.
DEU.19.8	To Jawmiraawo, Allah mooɗon yaajini lesdi mon bana o hunani kaakiraaɓe mon, to o hokki on lesdi man fuu, 
DEU.19.9	sey on kakkilana umrooje ɗe umranmi on hannde fuu, on ɗowtano ɗe ngam yiɗugo Jawmiraawo, Allah mooɗon, on tokko laabi maako foroy. Nden on ɓesda berniiji kisruɗi tati fahin dow ɗiya go. 
DEU.19.10	Mbaɗe ɗum, ngam taa on mbara yimɓe ɓe ngalaa aybe nder lesdi ndi Jawmiraawo, Allah mooɗon hokkata on, maron ɗum. To naa non ƴiiƴam maayɓe ɓe'e loroto dow ko'e mooɗon.
DEU.19.11	Ammaa to goɗɗo wanyi keeddiɗɗum, waaltanake mo, ukkanake mo, mbari mo, doggi haa gootol berniiji kisruɗi ɗi'i, 
DEU.19.12	nden kam mawɓe berniwol maako nela yimɓe naŋngoygo mo ton. Ɓe ndokka mo haa juŋngo baatoowo ngam o mbara mo. 
DEU.19.13	Taa enɗe mo. Cottine mbarɗo mo walaa aybe oo diga ummaatoore Isra'iila ngam keɓon hayru
DEU.19.14	“Taa sottin keerol keeddiɗɗa ngol kaakiraaɓe mon mbaɗi ɓooyma nder lesdi ndi Jawmiraawo, Allah mooɗon hokkata on, maron
DEU.19.15	Ceedoowo gooto he'ataa ngam tabitinki aybewol malla hakkewol koo ngole ngol goɗɗo waɗi. Sey wullaandu fuu daro dow seedamku seedooɓe ɗiɗo malla tato
DEU.19.16	To ceedoowo wullaandu kalluɗo gooto ɗaɓɓi aybingo goɗɗo bee wi'ugo o tuurtuɗo, 
DEU.19.17	nden kam waabotirooɓe ɗiɗo ɓe'e fuu ndaro yeeso Jawmiraawo, liman'en e hiitooɓe huuwanɓe wakkati man mbaɗana ɓe kiita. 
DEU.19.18	Hiitooɓe linya haala man booɗɗum. To ceedoowo seedake fewre dow deerɗiraawo mum, 
DEU.19.19	ɓe lorna ko o anniyino waɗango deerɗiraawo maako dow hoore maako. Bana non ittirton halleende caka mooɗon. 
DEU.19.20	Yimɓe nanan habaru maajum, ɓe kulan, ngam taa goɗɗo feere waɗa halleende nde'e caka mooɗon fahin. 
DEU.19.21	Taa enɗe aybuɗo. Kiita laato yoŋki bee yoŋki, yiitere bee yiitere, nyiindere bee nyiindere, juŋngo bee juŋngo, kosŋgal bee kosŋgal boo
DEU.20.1	Koo ndey on ngurtoto ngam haɓre bee konne'en mon, to on ngi'i pucci e mootaaji pucci e jama'aare konu ɓurannde on ɗuuɗugo, taa kule! Jawmiraawo, Allah mooɗon gurtinɗo on lesdi Misra, ɗon wondi bee mooɗon. 
DEU.20.2	Hiddeko on puɗɗa haɓre, limanjo daro yeeso honooɓe mon, wi'a ɓe: 
DEU.20.3	Nane, onon worɓe Isra'iila! On nastan haɓre bee konne'en mon hannde. Taa ɓerɗe mooɗon ta'a, taa kule, taa ndiwne yeeso maɓɓe. 
DEU.20.4	Ngam Jawmiraawo, Allah mooɗon ɗon wondi bee mooɗon. Kaŋko o haɓan bee konne'en mon, ngam hisnugo on.
DEU.20.5	Nden kaliifa'en mbolwana yimɓe, mbi'a: Moy timmini nyiɓugo suudu, waɗanaay ndu do'a, nastaay ndu tawon? Sey o hoota, ngam taa o maaya nder haɓre, nden goɗɗo feere mara ndu. 
DEU.20.6	Moy jubi ngesa inabooje, heɓaay ittugo ɓiɓɓe maaje tawon? Sey o hoota, ngam taa o maaya nder haɓre, nden goɗɗo feere seyoro ɗe. 
DEU.20.7	Moy haɓɓi teegal, yottinaay debbo haa saare mum tawon? Sey o hoota, ngam taa o maaya nder haɓre, nden goɗɗo feere te'a mo.
DEU.20.8	“Nden kaliifa'en tokko wolwango honooɓe: Woodi goɗɗo kulɗo mo ɓernde mum ta'i, ɓolwi na? Sey o hoota, ngam taa o ɓolwina ɓerɗe deerɗiraaɓe maako. 
DEU.20.9	To kaliifa'en timmini wolwango ummaatoore, ɓe cuɓa hoore'en konu, ɓe ardo honooɓe.
DEU.20.10	To on ɓaditake berniwol ngam haɓre bee maagol, nufane yimɓe maagol salaaman tawon. 
DEU.20.11	To ɓe njaɓi sulhu, ɓe maɓɓiti dammuɗe berniwol, nden kam on laatina ummaatoore maagol fuu maccuɓe mon, ɓe njaggano on. 
DEU.20.12	Ammaa to ɓe culhotiraay bee mooɗon, to ɓe ngiɗi haɓugo bee mooɗon, nden kam kippe berniwol maɓɓe. 
DEU.20.13	To Jawmiraawo, Allah hokki on ɓe, sey on mbara worɓe maɓɓe fuu bee kaafahi. 
DEU.20.14	Ammaa to on ngiɗi, kooce rewɓe e ɓikkoy e dabbaaji e kuuje gonɗe nder berniwol fuu. On nyaama keɓal konu konne'en mon, ngam Jawmiraawo, Allah mooɗon hokki on ɗum. 
DEU.20.15	Bana non mbaaroton berniiji daayiiɗi masin, ɗi laataaki berniiji ummaatooje ɗe'e.
DEU.20.16	Ammaa to on nyaami berniiji nder lesdi ndi Jawmiraawo, Allah mooɗon marnata on, taa on acca koo ɗume bee yoŋki. 
DEU.20.17	Nattine yimɓe fuu, waato: Heti'en e Amoori'en e Kanaani'en e Perezzi'en e Hewi'en e Yebusi'en, bana Jawmiraawo, Allah mooɗon umri on. 
DEU.20.18	Mbare ɓe, ngam taa ɓe ekkitina on huuwugo kuuɗe maɓɓe nyidduɗe ɗe ɓe kuuwanta labbi maɓɓe fuu, ngam taa on mbaɗa hakke dow Jawmiraawo, Allah mooɗon.
DEU.20.19	To on ɗaɓɓi hippaago berniwol, taa pe'e leɗɗe maagol marɗe ɓiɓɓe nyaameteeɗe, koo to on taarake ngol nyalɗe ɗuuɗɗe. Nyaame ɓiɓɓe man, ammaa taa nattine leɗɗe, ngam ɗe laataaki yimɓe haa on kona ɗe. 
DEU.20.20	Sonaa leɗɗe ɗe ɓiɓɓe maaje nyaamataake, kanje kam pe'e ɗe, nattine ɗe, on mbaɗa kuuje kipporɗe bee maaje, haa to on nyaami berniwol kaɓanŋgol bee mooɗon.”
DEU.21.1	“To on ngi'i mbaraaɗo baaliiɗo yaasi berniwol nder lesdi ndi Jawmiraawo, Allah mooɗon marnata on, ammaa on anndaa mbarɗo mo, 
DEU.21.2	ndotti'en mon e hiitooɓe mon ngurto. Ɓe poonda daayaare hakkunde pellel mbaraaɗo e berniiji taariiɗi. 
DEU.21.3	Nden ndotti'en berniwol ɓurŋgol ɓadaago maayɗo, koo'a wiige nge meeɗaay remugo malla dasugo saret tawon. 
DEU.21.4	Ndotti'en berniwol man njahra nge haa maayel ilooyel foroy, haa nokkuure nde meeɗaay remeego malla aaweego, ton ɓe ngewa daande maage nder maayo. 
DEU.21.5	Liman'en Lewi'en njaha ton boo, ngam kamɓe, Jawmiraawo, Allah mooɗon suɓi ɓe ngam ɓe kuuwana mo, ɓe mbarkiɗina bee innde maako. Dow umroore maɓɓe, kiita jokkirgol e sarru e naawnere fuu ta'ete. 
DEU.21.6	Nden ndotti'en berniwol ɓurŋgol ɓadaago nokkuure nde ɓe tawi mbaraaɗo go, ɓe fuu ɓe loota juuɗe maɓɓe dow wiige nge ɓe ngewi daande haa maayo go. 
DEU.21.7	Ɓe mbi'a: Juuɗe amin ndufaay ƴiiƴam ɗa'am, gite amin boo ngi'aay ko waɗi. 
DEU.21.8	Yaa Jawmiraawo, yaafana ummaatoore ma Isra'iila nde kisnuɗa. Taa liman min aybe mbarki goɗɗo mo walaa aybe, mo ɓe mbari caka ummaatoore ma Isra'iila. Bana nii yaafuye ƴiiƴam ɗam heɓrete. 
DEU.21.9	Bana non mbaaroton ko fottani Jawmiraawo, on ittiran aybe ƴiiƴam man caka mooɗon.”
DEU.21.10	“Koo ndey on ngurtoto ngam haɓre bee konne'en mon, to Jawmiraawo, Allah mooɗon hokki on ɓe, on naŋnga naŋngeteeɓe. 
DEU.21.11	To gooto mon yi'i caka horɓe naŋngaaɓe debbo booɗɗo mo o yiɗi haa o te'a ɗum, 
DEU.21.12	nden kam o yahra debbo oo nder saare maako. Debbo oo femmba gaasa hoore mum, helnya peɗeeli mum, 
DEU.21.13	ɓorto limce ɗe ɓe naŋngiri ɗum, ɓorno limce goɗɗe, jooɗo nder saare maako lewru wooru ngam woyugo saaro'en mum. Ɓaawo man o waawan te'ugo debbo oo haa o laato debbo maako. 
DEU.21.14	Yeeso boo, to gorko oo wanyi mo, sey o yoofta mo o dimo, ngam o dooli mo waaldugo bee maako, ngam maajum o waawataa jogitaago mo bana korɗo, o waawataa soorrugo mo boo.”
DEU.21.15	“Teema goɗɗo woodi rewɓe ɗiɗo. O yiɗi oo, o ɗon yawo oya. Ɓe ɗiɗo fuu ɓe ndanyani mo ɓiɓɓe worɓe. Ammaa afo maako woni ɓii jawaaɗo. 
DEU.21.16	Nyalaade nde o yiɗi ronnugo ɓikkoy maako, taa o ɓurna ɓii giɗaaɗo dow afo maako, ɓii jawaaɗo. 
DEU.21.17	Sey o hokka afo maako geɓe ɗiɗi haa maral maako, koo to o yiɗaa daada maako. Doole o gooŋɗina afaaku, o hokka afo maako ko woodani mo.”
DEU.21.18	“To goɗɗo woodi ɓiɗɗo gorko saata-hooreejo, tuurtoowo, mo sali ɗowtanaago baaba mum e daada mum, koo nde ɓe elti mo. 
DEU.21.19	Nden kam saaro'en maako njahra mo yeeso ndotti'en haa dammugal berniwol maako haa nokkuure kiita. 
DEU.21.20	Ɓe mbi'a ndotti'en berniwol maɓɓe: Ɓiɗɗo amin oo o saata-hooreejo, tuurtoowo, o sali ɗowtanaago min, o daakaareejo e guykoowo. 
DEU.21.21	Nden yimɓe berniwol maako fuu piɗa mo bee kaa'e haa o maaya. Bana non ittirton halleende caka mooɗon. Isra'iila'en fuu nana habaru maajum, ɓe kula.”
DEU.21.22	To goɗɗo waɗi hakkewol maŋngol, o hiitaama kiita mbareego, to on mbari mo, on ɓili ɓanndu maako haa leggal, 
