MAT.1.1	Yàrɨ́ nɨ́ Yěsù 
MAT.11.22	Wɔ̀ dhu-okú dɔ̀ rɔ̀ nɨ́ ndɨ, ma mɨ́ dhu ɔ̀vɔ kpangba fʉ̌kʉ̀. Kàgàwà rɨ̌ ìndrǔ-ànyǎ nɨ́tdɨ̀ nɨ́nganɨ́, kɨ̌tdɨ̀ya dhu dʉ̀kʉ́ abhàbhɔ́ nyʉ́, ròsè Tirò mà, Sìdɔnà mànà tɔ́ kɨgɔ̀ dɔ̌ ndɨ̀ ndɨ́tdɨ̀na dhu dɔ̀nǎ. 
MAT.11.23	Ndɨrɔ̀ ɨnyɨ, Kàpɛ̀rnàwumù tɔ̀ kɨgɔ̌, yà ʉ̀nʉ́ ndɨ̀ nɔ́nzɨ̀ wɨwɨ̀ nɨ́’ɨ̀yana gukyè Sɔ̀dɔmɔ̀ tɔ́ kɨgɔ̀ ɔ̌ ndɨ̀ nanzɨ̀ dhu tɨ́, nɨ́ Sɔ̀dɔmɔ̀ nɨ́’ɨ̀yana ìnè indo màtɨ́. Nɨ́ ndɨ dhu-okú dɔ̀ rɔ̀, ɨnyɨ, Kàpɛ̀rnàwumù tɔ̀ kɨgɔ̌, nyɨ nyà’ù tɨ́ dhu, ɨ̀dzɨ̌ Kàgàwà ràrǎdʉ̀ nyɨdzɨ ɔ̀rʉ̀-akpà ɔ̀? Ɨ̀nzɨ̌ rádʉ̀ nyɨdzɨ, akɛkpá màtɨ́. Pbɛ́tʉ̀, kà rɨ̌ nyifǒ obvò, ndàdʉ̀ nyobvù ɨ̀nzɨ̌ arávɛ dhòdhódhónganà kàzʉ ɔ̀. 
MAT.11.24	Ndɨ dhu-okú dɔ̀ rɔ̀ nɨ́ ndɨ ma mɨ́ dhu ɔ̀vɔ kpangba fʉ̌kʉ̀, Kàpɛ̀rnàwumù ɔ̌ bhǎ, Kàgàwà rɨ̌ ìndrǔ-ànyǎ nɨ́tdɨ̀ nɨ́nganɨ́, kɔ̌tdɨ́ya dhu Kàpɛ̀rnàwumù tɔ̀ kɨgɔ̀ dɔ̌ abhɔ nyʉ́, ròsè Sɔ̀dɔmɔ̀ tɔ̀ kɨgɔ̀ dɔ̌ ndɨ̀ ndɔ́tdɨ̀na dhu dɔ̀nǎ.»
MAT.11.25	Tdɨ́tdɔ̌ Yěsù adʉ̀ àtɨ̀nà: «Ɔ̀ɔ, Àba Kàgàwà, ɔ̀rʉ̀-akpà mà, yà adzɨ mànà ɔ̌ Ádrʉ̀ngbǎlɛ́, ma mɨ̀fʉ nyɨ atdídɔ̌ yà ɨnga nʉ́nɨ dhu tɨ́ ka kɔ́zʉ̀na alɛ-rɔ̌ nyɨ nyarù dhu nɨ́ nyɨ nyábhʉ àkyǎkyɛ̀ alɛ nyʉ́ rʉ̀nɨ nɨ́dhunɨ̌. 
MAT.11.26	Obhó tɨ́ Àbá, nyɨ nyazè ndɨ dhu rɔ̀nzɨ̀ ndɨ̀ wɔ̀ dhu bhěyi.»
MAT.11.27	Wɔ̀ dhu-dzidɔ̌, kǎdʉ̀ àtɨ̀nà: «Àbadu níibho wà kɔ́rɔ́ dhu tɔ́ ádrʉ̀ngbǎnga fudú. Atdí alɛ mà nʉ́nɨ nzá Kàgàwà t’ídhùnà, pbɛ́tʉ̀ ka nʉ́nɨ nɨ́ kà t’Ábanà kɛ̀lɛ̌. Ndɨrɔ̀ atdí alɛ mà nʉ́nɨ nzá kà t’Ábanà, pbɛ́tʉ̀ ka nʉ́nɨ nɨ́ Ɨma kà t’ídhùnà kɛ̀lɛ̌, yà ma mózè mɔvɔ̀ ka fɨ̌yɔ̀ alɛ mànà.»
MAT.11.28	Tdɨ́tdɔ̌ kǎdʉ̀ àtɨ̀nà: «Nyìwǔ tɨdu ɔ̀, nyɨ̌ kɔ́rɔ́ yà nyɨ̌ nyɨ̀ngyɛ̌ nyɨ̌, nyǎdʉ̀ ɨ̀’ɨ̀ ɨ̀ nà’ɛ ànɔ̀ nà dʉ̀kʉ́ rɔ̀. Nɨ́ ma mɨ́ asota nábhʉ fʉ̌kʉ̀. 
MAT.11.29	Nyòsò yà tudú rɨ́’ɨ̀ kɔ̀mɔ̀ átɔ̀ tukʉ́, ndɨrɔ̀ nyɨ̀rɨ fʉ̌kʉ̀ ma mʉ́yǎna dhu. Obhó tɨ́, ɨma nɨ́ ndɨ ɨ̀yɔ̀ arádɨ, ndɨrɔ̀ yɔrɔwà tɔ́ afína nà alɛ. Ndɨrɔ̀ nɨ́ ndɨ nyɨ̌ nyádʉ̀ asota nábà afíkʉ ɔ̀. 
MAT.11.30	Obhó tɨ́, pbàkà kɔ̀mɔ̀ nɨ́ ɨsɔ́ rɔ́’ɔ kɔ̀mɔ̀, ndɨrɔ̀ pbàkà ànɔ̀ nɨ́ ɨsɔ́ ɨnzá ndɨ̀ nà’ɛ ànɔ̀
MAT.12.1	Wɔ̀ dhu-dzidɔ̌, sàbatʉ̀-ɨdhɔ̀ ɔ̌, Yěsù mà pbɨ̀ndà 
MAT.12.2	Nɨ́ 
MAT.12.3	Nɨ́ Yěsù adʉ̀ dhu àdu abádhí tɔ̀ ndàtɨ: «Nyɨ̌ nyàpɛ̀ tɨ́ obhó Dàwudì mà, rɔ̀ná alɛ mànà náanzɨ̀ atdíku àwù nà ɨ̀ ɨ́’ɨ̀ rɔ̀ dhu nɔ́zʉ̀
MAT.12.4	Àbadhi náatsù Kàgàwà bhà ɨdza, ndàdʉ̀ pɛrɛ̀ tɨ́ ka kùbho Kàgàwà tɔ̀ mʉ̀gatì núgù, ɨ̀ rɔ̀nyʉ̀ rɔ̀ná alɛ mànà. Wɔ̀ ndɨ mʉ̀gatì nɨ’ɨ̀ ɨnzá àkǎ àbadhi mà, rɔ̀ná alɛ mànà rɔ̀nyʉ̀ mʉ̀gatì. Pbɛ́tʉ̀, kɔ̀nyʉ̀ rádʉ̀ alɛ nɨ’ɨ̀ 
MAT.12.5	Ndɨrɔ̀, nyɨ̌ nyɔ́zʉ̀ tɨ́ obhó Músà bhà Ʉyátá ɔ̀ ka kándǐ dhu, katɨ: ‹Sàbatʉ̀-ɨdhɔ̀ ɔ̌ arɨ́ kasʉ ɔ̀nzɨ Kàgàwà bhà ɨdzá, ɨ̀nzɨ̌ ’ɨ̀fʉ ndɨ ɨdhɔ pbàkùhánɨ́, nɨ́ dɔ̌ ka ràrɨ̌ nzɨ̌ àdʉ̀ ndɨ dhu nɔ́zʉ̀ afátá tɨ́?› 
MAT.12.6	Pbɛ́tʉ̀, ma mɨ́ dhu ɔ̀vɔ kpangba fʉ̌kʉ̀: yà ɨrɔ́ rɨ́’ɨ̀ dhu nósè ɨwà Kàgàwà bhà ɨdza dɔ̀nǎ màtɨ́. 
MAT.12.7	Dhu ɨ́’ɨ̀ná gukyè ɨwà nyɨ̌ nyʉ́nɨ yà Kàgàwà bhà Andítá rʉ̌nɔna dhu-tɨ̀ dhu tɨ́, yà ɨ̀tɨ́ rátɨna: ‹Ma mózè dhu nɨ́ ɨzʉ àbà ka kɨ́ ìndrǔ dɔ̌ dhu, ɨ̀nzɨ̌ nɨ́ ɨ̀zǎ tɔ́ pɛrɛ̀ núbhǒ ka kɨ́ idù dhu kɛ̀lɛ̌
MAT.12.8	Obhó tɨ́, Ìndrǔ t’ídhùnà nɨ́ ndɨ sàbatʉ̀-ɨdhɔ̀ dɔ̌ Ádrʉ̀ngbǎlɛ.»
MAT.12.9	Ʉrɔ́ rɔ̀ Yěsù nɨ́ɨvà ndɨ̀, ndàrà òtsù fɨ̀yɔ́ unduta-dzà ɔ̀. 
MAT.12.10	Nɨ́ ɔtsʉ́na ótsù atdí alɛ nɨ́ɨ’ɨ̀ ányɨ̀ ɨdza. Ányɨ̀ rɔ̌ ɨ̀’ɨ̀ alɛ náazè ’ɔ̀bhʉ̀ Yěsù. Nɨ́ ndɨ dhu-okú dɔ̀ rɔ̀, abádhí níivú dhu Yěsù-tsʉ̌, ’àtɨ: «Àlɛ̌ tɔ́ Ʉyátá návi tɨ́ àvǐ ìndrǔ kɨgʉ̌ sàbatʉ̀-ɨdhɔ̀ ɔ̌?» 
MAT.12.11	Nɨ́ Yěsù adʉ̀ dhu àdu abádhí tɔ̀, ndàtɨ: «Nzínzìkʉ ɔ̌ atdí alɛ náapɛ́ ɨ̀’ɨ̀ atdí tàmà nà tɨ́, ndɨ tàmà ràdʉ̀ ɨ̀tsɨ̀ ádzǐ ibhu-akpà ɔ̀ sàbatʉ̀-ɨdhɔ̀ ɔ̌, nɨ́ ndɨ alɛ tɨ́ nzɨ̌ àdʉ̀ òfo ndɨ ibhu-akpà ɔ̀, ndàrà kìdyì ányɨ̀ rɔ̀? 
MAT.12.12	Ìndrǔ òsè tɨ́ nzá tàmà dɔ̀nǎ! Nɨ́rɔ̀, Músà bhà Ʉyátá návi wà kɔnzɨ̀ ídzìnga ìndrǔ tɔ̀ sàbatʉ̀-ɨdhɔ̀ ɔ̌.» 
MAT.12.13	Nɨ́ Yěsù adʉ̀ àtɨ̀nà wɔ̀ ɔtsʉ́na ótsù alɛ nɨ̌: «Ɨ́gba ɔtsʉ́nʉ.» Nɨ́ ndɨ alɛ náadʉ̀ ɔtsʉ́na nɨ́gbà, ndɨ kɔ̌tsʉ́ ràdʉ̀ ɔ̀gʉ̀, ròngò yà ídzì rɔ̌ rɔ̀ rɨ̌’ɨ̀ ngǎtsi kɔ̌tsʉ́ bhěyi.
MAT.12.14	Nɨ́ Pbàfàrìsáyó núuvò, ’òwù ’ùndu, ndɨ́nɨ̌ ɨ̀ ɨrɨ tɨ́ ɨ̀ ɨ̀ngbǎ dhu bhěyi màtɨ́ ɨ̀ ɨ́ Yěsù nábhʉ̌ kohò dhu dɔ̌.
MAT.12.15	Yěsù níitdègu wɔ̀ dhu nɨ́rɨ, nɨ́ kǎdʉ̀ ndɨ̀và ányɨ̀ rɔ̌ rɔ̀ ndàrà. Nɨ́ ábhɔ̌ alɛ́-yà náadʉ̀ òwu kǒwù ɔ̌, kà ràdʉ̀ andɨ nà rɨ́’ɨ̀ alɛ nɨ́gʉ kɔ́rɔ́. 
MAT.12.16	Pbɛ́tʉ̀, kʉ̌yá dhu ɔbɨ nyʉ́ nà abádhí tɔ̀, ɨ̀nzɨ̌ àdhɨ màtɨ́ ndɨ̀ ndɨ́’ɨ̀ dhu nʉnɔ tɨ́ ìndrǔ tɔ̀. 
MAT.12.17	Wɔ̀ dhu anzɨ̀ ndɨ̀ ndɨ́nɨ̌ yà Kàgàwà nʉ́ʉnɔ pbɨ̀ndà 
MAT.12.18	«Kànɨ̌ ma mɔ́pɨ̀ pbàkà ɨnɔ-akpà,
MAT.12.18	yà atdídɔ̌ ma mózè alɛ, ndɨrɔ̀ afídu arɨ́ ɨdha nɔ́mvʉ̀ pbɨ̀ndà dhu dɔ̌ alɛ.
MAT.12.18	Ma mɨ́ kɨ̀rǎ pbàkà Ɨ̀lɨ̌lǎ-Alafí nɨ̌,
MAT.12.18	ndɨrɔ̀ kà rɨ̌ obhónánga ɔ̀vɔ kɔ́rɔ́ pbìrì ɔ̌ alɛ tɔ̀.
MAT.12.19	Kà rɨ̌ nzɨ̌ tsʉ̀na nálɛ̀ atdí alɛ nà màtɨ́, ndɨrɔ̀ kà rɨ̌ nzɨ̌ ɔtɛ ɔrʉ́ tǔna nà. Atdí alɛ mà rɨ̌ nzɨ̌ kà-tù ɨ̀rɨ ngʉdhà ɔ̌ rɔ́tɛ rɔ́.
MAT.12.20	Kà rɨ̌ nzɨ̌ ndɨ̀ nàtdo ízò nʉ́kɔ̀,
MAT.12.20	ndɨrɔ̀ kà rɨ̌ nzɨ̌ núnúnú rɔ́rʉ̀ tarà nɨ́vɛ̌,
MAT.12.20	ràrà àhʉ mʉ̀lɛ̀mà nábhʉ̌ kà rɨ̌ obhónánga tɔ̀ dhu ɔ̀.
MAT.12.21	Nɨ́ kɔ́rɔ́ pbìrì ɔ̌ alɛ náapbáya afíya kà-rɔ̌ tɨ́
MAT.12.22	Nɨ́rɔ̀ nɨ́ ndɨ ìndrǔ níiwú nzɛ́rɛ-alafí arɨ́ ɔ̀nà atdí alɛ nà Yěsù-tɨ’ɔ̀. Ndɨ alɛ nɨ’ɨ̀ ndùmùndúmú, ndɨrɔ̀ ɨ̀nzɨ̌ arɔ́tɛ alɛ. Nɨ́ Yěsù ɨgʉ́ ka, ràdʉ̀ ndɔ̀pɛ̀ ndɔ̀tɛ̀, ndàdʉ̀ ɨnga àla. 
MAT.12.23	Nɨ́ ɨdhɔ nʉ́ʉkɔ kɔ́rɔ́ ányɨ̀rɔ̌ ɨ̀’ɨ̀ alɛ, abádhí ràdʉ̀ àtɨ̀nà: «Tɨ́ nzɨ̌ Dàwudì t’ídhùnà yà?» 
MAT.12.24	Pbɛ́tʉ̀, abádhí rʉ̌nɔna dhu nɨ̀rɨ̀ Pbàfàrìsáyó náadʉ̀ àtɨ̀nà: «Yàrɨ́ alɛ náarɨ́ nzɛ́rɛ-alafí nódì Bɛ̀lìzèbulì tɨ́ kátɨna pfɔ̀mvɔ ɔ̌ 
MAT.12.25	Pbɛ́tʉ̀ Yěsù nʉ́ʉnɨ abádhí rɨ̌rɛ̀na dhu, nɨ́ kǎdʉ̀ àtɨ̀nà abádhí nɨ̌: «Atdí ádrʉ̀ngbǎ kamà bhà pbìrì ɔ̌ alɛ náapɛ́ ambɛ ’ùgyè dɔ̌ nzínzìya ɔ̌, nɨ́ ndɨ ádrʉ̀ngbǎ kamà bhà idzi-tsʉ̀ rǎdʉ̀ ndɔ̀dɨ̀ ɔ̀dɨ̀ tɨ́. Atdí kɨgɔ̀ ɔ̌ alɛ mà, ndɨrɔ̀ atdí ɔdhɨ mà náapɛ́ àmbɛ anya nɔ́nzɨ̀ dɔ̌ nzínzìya ɔ̌, nɨ́ ɨ kɨgɔ̀ náarɨ́ nzɨ̌ àpɛrɛ, ndɨrɔ̀ ɨ alɛ tɔ́ ɔdhɨ-tɨ̀ náarɨ́ nzɨ̌ ìde. 
MAT.12.26	Nɨ́ pfɔ̀mvɔ 
MAT.12.27	Ndɨrɔ̀, ma mapɛ́ ɨ̀’ɨ̀ Bɛ̀lìzèbulì bhà ɔbɨ nɨ̌ ma márɨ́ nzɛ́rɛ-alafí nódì dhu tɨ́, nɨ́ fʉ̀kʉ́ inzo náarádʉ̀ kòdì àdhɨ bhà ɔbɨ nɨ̌? Ndɨ dhu-okú dɔ̀ rɔ̀ nɨ́ ndɨ, abádhí nɨ́ɨtdɨ̀ya ndɨ ànyǎkʉ. 
MAT.12.28	Pbɛ́tʉ̀, dhu apɛ́ ɨ̀’ɨ̀ Kàgàwà bhà Ɨ̀lɨ̌lǎ-Alafí bhà ɔbɨ nɨ̌ ma márɨ́ nzɛ́rɛ-alafí nódì dhu tɨ́, nɨ́ ɔ̀rʉ̀-akpà ɔ̌ Ádrʉ̀ngbǎ kamà Kàgàwà bhà idzi nɨ́rà wà àhʉ bvʉ̀kʉ̀. 
MAT.12.29	Ɨ̀nzɨ̌ atdí alɛ mà rǎdʉ̀ òtsù ɔbɨ nɨ̌ ɨ̀dzɨ̌dzɔ̀ alɛ bhà ɨdza, ndàdʉ̀ kàbhà ɨdzá dhu nʉ́mbà, ɨnzá ndɨ̀ ndʉ̀tsɨ̀ ndɨ ɨ̀dzɨ̌dzɔ̀ alɛ angyi rɔ́rɔ̀. Pbɛ́tʉ̀ ka ndɨ̀ ndʉ̀tsɨ̀ dhu-dzidɔ̌ nga nɨ́ ndɨ kà rǎdʉ̀ kɔ́rɔ́ kàbhà ɨdzá dhu nʉ́mbà nɨ̌. 
MAT.12.30	Ɨ̀mbǎ rɨ́’ɨ̀ tɨdu ɔ̀nǎ rɔ̀ alɛ nɨ́ pbàkà òmvǔ. Ndɨrɔ̀ ɨ̀nzɨ̌ rɨ́ dhu-tsʉ̀ ùndǔ
MAT.12.31	Ndɨ dhu-okú dɔ̀ rɔ̀ nɨ́ ndɨ ma mɨ́ kʉ̀nɔ kpangba fʉ̌kʉ̀: ìndrǔ náabáya àbà kɔ́rɔ́ fɨ̌yɔ́ nzɛ́rɛnga mà, Kàgàwà nɨ̌ ɨ̀ arɨ́ dhu ʉ̀nɔ nzɛ́rɛ dhu mànà dhu tɔ́ ʉbàta. Pbɛ́tʉ̀, Kàgàwà bhà Ɨ̀lɨ̌lǎ-Alafí nɨ̌ rɨ́ dhu ʉ̀nɔ nzɛ́rɛ alɛ, náabáya nzɨ̌ ʉbàta akɛkpá màtɨ́. 
MAT.12.32	Ìndrǔ t’ídhùnà nɨ̌ rɨ́ nzɛ́rɛ dhu ʉ̀nɔ alɛ náabáya àbà ʉbàta. Pbɛ́tʉ̀, Kàgàwà bhà Ɨ̀lɨ̌lǎ-Alafí nɨ̌ rɨ́ nzɛ́rɛ dhu ʉ̀nɔ alɛ náabáya nzɨ̌ ʉbàta, yà kombí rɨ́’ɨ̀ kàsʉmɨ̀ ɔ̌ màtɨ́, ndɨrɔ̀ olù rɨ́rà kàsʉmɨ̀ ɔ̌ màtɨ́.»
MAT.12.33	Wɔ̀ dhu-dzidɔ̌, Yěsù adʉ̀ àtɨ̀nà: «Atdí itsu náapɛ́ ɨ̀’ɨ̀ ídzì itsu-tɨdɔ̀ tɨ́, nɨ́ ndɨ itsu rǎdʉ̀ ɨ̀’ɔnà nɨ́ ídzì itsu-kpɔ̌-tɨdɔ̀. Ndɨrɔ̀ itsu náapɛ́ ɨ̀’ɨ̀ nzɛ́rɛ itsu-tɨdɔ̀ tɨ́, nɨ́ ndɨ itsu rǎdʉ̀ ɨ̀’ɔnà nɨ́ nzɛ́rɛ itsu-kpɔ̌-tɨdɔ̀. Obhó tɨ́, itsu nʉ́nɨ̌ ka karɨ́ kpɔ̌na rɔ̌. 
MAT.12.34	Nyɨ̌, ámvɔ̀ tɔ́ osu tɔ́ rʉ̀gànda tɨ́rɔ̀, ídzì ɔtɛ rǎdʉ̀ àhʉ ɨ̀ngbǎ dhu bhěyi likʉ ɔ̀ rɔ̀, àzèmbè nyɨ̌ nongó ɨ̀’ɨ̀ nzɛ́rɛ alɛ nyʉ́? Obhó tɨ́, alɛ-tsʉ̀ arórìna dhu nɨ́ alɛ-afí àlè nɨ̌ ɨrɛ̀ta. 
MAT.12.35	Ídzì afína nà alɛ-afí ɔ̀ rɔ̀ aráhʉ dhu nɨ́ ídzì dhu, ndɨrɔ̀ nzɛ́rɛ afína nà alɛ-afí ɔ̀ rɔ̀ aráhʉ dhu nɨ́ nzɛ́rɛ dhu. 
MAT.12.36	Ma mɨ́ obhó dhu nʉ́nɔ fʉ̌kʉ̀, Kàgàwà rɨ̌ ìndrǔ-ànyǎ ɨ̀tdɨ̀ nɨ́nganɨ́, kǎraya ìndrǔ návi rɔ̌ ràwɛ yà ɨ̀ ʉnɔ ɨ̀mbǎ tɨ̌na nà dhu mà kɔ́rɔ́. 
MAT.12.37	Obhó tɨ́, tsʉ̀nʉ-bvʉ rɔ̌ nɨ́ ndɨ ka kɔzʉ́ya nyɨ obhónángatálɛ tɨ́, ndɨrɔ̀ tsʉ̀nʉ-bvʉ rɔ̌ nɨ́ ndɨ ka kɔtdɨ́ya anya dʉ̀nʉ́.»
MAT.12.38	Wɔ̀ dhu-dzidɔ̌, Músà bhà Ʉyátá tɔ́ ngúfe màlímó mà, ngúfe Pbàfàrìsáyó mànà náatɨ Yěsù nɨ̌: «Màlimǒ, mǎ mòzè nyɔnzɨ̀ wɨwɨ̀ ndɨ́nɨ̌ mǎ mala tɨ́.» 
MAT.12.39	Nɨ́ Yěsù adʉ̀ dhu àdu abádhí tɔ̀ ndàtɨ: «Indo arɨ́’ɨ̀ alɛ narɨ́ nzɛ́rɛ alɛ, ndɨrɔ̀ abádhí náarɨ́ nzɨ̌ Kàgàwà ózè dhu ɔ̀nzɨ. Abádhí òzè kɔnzɨ̀ wɨwɨ̀ kɛ̀lɛ̌ fɨ̌yɔ̀, nɨ́ ka kɨ́ nzɨ̌ atdí wɨwɨ̀ mà nɔ́nzɨ abádhí tɔ̀. Pbɛ́tʉ̀, abádhí tɔ̀ ka kávǐna dhu nɨ́ nabì Yɔ̌nà rɔ̌ ndɨ̀ nanzɨ̀ wɨwɨ̀ kɛ̀lɛ̌. 
MAT.12.40	Àdhàdhɨ̀ nabì Yɔ̌nà náadhɔ̀ ɨ̀bhʉ ɨdhɔ ádrʉ̀ngbǎ ɨ̀bhɛ̌-yà-ba ɔ̀ dhu bhěyi tɨ́, nɨ́ ndɨ dhu bhěyi tɨ́, Ìndrǔ t’ídhùnà nɔ́ɔdhɔ́ya ɨ̀bhʉ ɨdhɔ adzɨ ɔ̀. 
MAT.12.41	Nabì Yɔ̌nà rʉ̌nɔna Kàgàwà bhà Ídzì Màkʉ̌rʉ̀ ɨ̀ ɨ̀rɨ̀ rɔ̀, Nìnawè tɔ́ kɨgɔ̀ ɔ̌ bhà nʉ́ʉgɛ̀rɛ̀ ɨ̀, ’ʉ̀bhà fɨ̌yɔ́ nzɛ́rɛnga. Nɨ́ ndɨ dhu-okú dɔ̀ rɔ̀, Kàgàwà rɨ̌ ìndrǔ-ànyǎ nɨ́tdɨ̀ nɨ́nganɨ́, Nìnawè ɔ̌ bhà nɨ́ɨvàya ɨ̀ ’ìkò indo arɨ́ alɛ-nyɨ̀kpa rɔ̌, ’àdʉ̀ abádhí-ànyǎ nɨ́tdɨ̀. Ndɨrɔ̀ yà ɔnzɨ̀kʉ́ ìdè alɛ nósè wà Yɔ̌nà dɔ̀nǎ. 
MAT.12.42	Músùngú dɔ̀nǎ rɔ̀ arɨ́’ɨ̀ Sabà tɨ́ kátɨna pbìrì ɔ̌ tsìbhá ádrʉ̀ngbǎ kamà nɨ́ɨra yà adzɨ-tsʉ̀ ɔ́dɨ̀ ndɨ̀ ɨ rɔ̀, ndɨ̀rà yà dhu-ɔ̌nga t’óvòta nʉnɨ ádrʉ̀ngbǎ kamà Sɔ̀lɔ̀mɔnɨ̀ rʉ̌nɔna ɔtɛ nɨ́rɨ̀. Nɨ́ ndɨ dhu-okú dɔ̀ rɔ̀, Kàgàwà rɨ̌ ìndrǔ-ànyǎ nɨ́tdɨ̀ nɨ́nganɨ́, ɨ́yàdhíyà nɨ́ɨvàya ndɨ̀, ndìdè indo arɨ́ alɛ-nyɨ̀kpa rɔ̌, ndàdʉ̀ abádhí-ànyǎ nɨ́tdɨ̀. Pbɛ́tʉ̀, yà ɔnzɨ̀kʉ́ ìdè alɛ nósè wà Sɔ̀lɔ̀mɔnɨ̀ dɔ̀nǎ màtɨ́.»
MAT.12.43	Yěsù adʉ̀ àtɨ̀nà tdɨ́tdɔ̌: «Nzɛ́rɛ-alafí náapɛ́ àhʉ atdí alɛ ɔ̀ rɔ̀, nɨ́ kà rǎdʉ̀ àrà, ndùbhi rʉ̀ngʉ̀ ɔ̀nǎ, ndàmbɛ ndɨ̀ ndárà ndàso rɔ́nga nɔ́mɛ̀ dɔ̌, ɨ̀nzɨ̌ ndàdʉ̀ àbànà. 
MAT.12.44	Nɨ́ kà rǎdʉ̀ àtɨ̀nà afína ɔ̀: ‹Ma mɨ́ madǔ yà ma mahʉ̀ ɔ̀nà rɔ̀ pbàkà ɨdza ɔ̀.› Ányɨ̀ kàdu ndɨ̀ rɔ̀, kà rɨ̌ ndɨ ɨdza nótù tɨ́rɔ̌rɔ̀, ɨwà ka kàtsù ɔ̀nánga, kadʉ̀ ɔ̀bhɔ̀lɔ̀nà mběyi nyʉ́ rɔ́. 
MAT.12.45	Nɨ́rɔ̀ nɨ́ ndɨ kà rǎdʉ̀ àrà àrʉ̀bhʉ̀ ngʉ̌kpà nzɛ́rɛ-alafí, yà atdídɔ̌ ɔ̀rʉ̀ ròsè dɔ̀na nǎ núnzì, ’ìwǔ òtsù mànà atdíkpá ndɨ alɛ ɔ̀. Nɨ́ wɔ̀ dhu-dzidɔ̌, ndɨ alɛ bhà ɔ́fɔ̀ rǎdʉ̀ ɨ̀’ɨ̀ nzɛ́rɛ nyʉ́ ròsè yà angyi ɨ’ɨ̀ kàbhà ɔ́fɔ̀ dɔ̀nǎ. Nɨ́ ndɨ dhu nɨ́ɨ’ɨya ndɨ dhu bhěyi tɨ́ yà indo arɨ́ nzɛ́rɛ alɛ tɔ̀.»
MAT.12.46	Yěsù rɨ̌ dhu ɔ̀vɔ ìndrǔ tɔ̀ ɔ̀ná kàsʉmɨ̀ ɔ̌, kà-tsánà mà kà t’ádɔ́na mànà níiwú ùvò kà rɨ̌’ɨ̀ ɔ̀nà ɨdza-lí. Nɨ́ abádhí níitsi iko irinǎ rɔ̀, ’àdʉ̀ ’òzè ndɨ́nɨ̌ ɨ̀ ɔtɛ tɨ́ Yěsù nà. 
MAT.12.47	Nɨ́ atdí alɛ náadʉ̀ àtɨ̀nà Yěsù nɨ̌: «Ɨ́yànʉ mà adɔ́nʉ mànà rɨ̌’ɨ̀ irí, nɨ́ abádhí òzè ’ɔ̀tɛ̀ ɨnyɨ nà.» 
MAT.12.48	Nɨ́ Yěsù adʉ̀ dhu ìvu ndɨ alɛ-tsʉ̌ ndàtɨ: «Ɨ́yàdu nɨ́ àdhɨ, ndɨrɔ̀ adɔ́du nɨ́ àdhɨ mà?» 
MAT.12.49	Tdɨ́tdɔ̌ kǎdʉ̀ pbɨ̀ndà ábhàlɨ̌ nɨ́tɛ̀ ɔtsʉ́na nɨ̌, ndàdʉ̀ àtɨ̀nà: «Kànɨ̌ ɨ́yàdu mà, adɔ́du mànà. 
MAT.12.50	Obhó tɨ́, adɔ̀du, awɛ̀du, ndɨrɔ̀ ɨ́yàdu nɨ́ yà ɔ̀rʉ̀-akpà ɔ̀ arɨ́’ɨ̀ Àbadu Kàgàwà ózè dhu ɔ̀nzɨ arɨ́ alɛ.»
MAT.13.1	Ndɨ nɨ́nganɨ́ tɨ́, Yěsù náahʉ̀ ɨdza rɔ̀, ndàdʉ̀ àrà àdɨ rɛ̀rʉ̀-bɨdɔ̌. 
MAT.13.2	Nɨ́, ádrʉ̀ngbǎ ihé-yà nyʉ́ núundu ɨ̀, ɨ̀ ràkpɔ̀rɔ̀ kà-ngbɔ̀. Nɨ́ ndɨ dhu-okú dɔ̀ rɔ̀, kǎdʉ̀ ùpo, ndàdɨ ibhú ɔ̀. Ihé-yà náadʉ̀ òko rɛ̀rʉ̀-bɨdɔ̌. 
MAT.13.3	Yěsù nʉ́ʉnɔ ábhɔ̌ dhu nyʉ́ abádhí tɔ̀ mbólí ɔ̌, ndàtɨ: «Atdí alɛ náahʉ̀ ndàmbɛ ɔ̀nyʉ̀-tsè nɔ́rɛ̀ dɔ̌.
MAT.13.4	Nɨ́ yà ɔ̀nyʉ̀-tsè nɔ́rɛ kà rɨ̌ pbɨ̀ndà ɨnga ɔ̌ ɔ̀ná kàsʉmɨ̀ ɔ̌, atdídhená itse náawà ɨ̀ otu-gì dɔ̌. Nɨ́ àrɛ̀ náadʉ̀ ìwu, ’ùbhǐ ɨ itse otu-gì dɔ̌ rɔ̀. 
MAT.13.5	Ngʉ̌kpà-tsí náadʉ̀ ’àwà ɨ̀mbǎ adzɨ rɨ̌’ɨ̀ abhɔ dɔ̀ná odu-kɛngɛrɛ dɔ̌. Ɨ itse nɨ́ɨnga kòmbómbí, ɨ̀mbǎ adzɨ rɨ̌’ɨ̀ abhɔ tsìyà nɨ́dhunɨ̌. 
MAT.13.6	Pbɛ́tʉ̀, adyifɔ̀ níitdègu ɨ̀ka, nɨ́ kǎdʉ̀ wɔ̀ ɨ̀ngɨngà ɔ̀nyʉ̌-nzo nʉ́bɨ̀, ràdʉ̀ òtdyù, ɨnzá ɨvɛ́ya nótsù ádzàdzǐ adzɨ ɔ̀ nɨ́dhunɨ̌. 
