MAT.1.1	Ali ni lishauma lyamaimyo lyavanakuluvake Yesu Klistu ndukulugwe Daudi na jojo ndukulugwe Abulaamu.
MRK.10.3	Nae kushidoni, “Da Musha annamulidilé dashi?” 
MRK.10.4	Vanavo, “Musha atulamulidilé munu amwandikile italaka nkongwe atwale anneke.”
MRK.10.5	Nae kutwala kushidoni, “Musha andimwandikila lilamulo alyo mwaa mwenu mitima vyenu vyakunanopa. 
MRK.10.6	Kanji tangu kunantandi kukandyanga Nnungu shilambo, ‘nae ankandyengé nnume na nkongwe.’
MRK.10.7	‘Nadoni nnume andalyumadyanga patatake na panyoke kuka ndalyunganianga na nkongwe ndyagwe 
MRK.10.8	kutwala vanu vavili ava kuva mili umo.’
MRK.10.9	Napavedoni shaunganienge Nnungu, munu hanapukaniange.”
MRK.10.10	Napanelo vavele kavili paing'ande, vakwoda vake vandímuudyangidya ing'ano ayo. 
MRK.10.11	Yesu kutwala kuvajang'ula kushidoni, “Munu woewoe ánneka ndyagwe kuka nannomba nkongwe junji, munu ajo ankulavalava na ankuntagela ndyagwe ntandi. 
MRK.10.12	Namomo nkongwe ánneka ntwagwe kuka ndalombwa na nnume junji, nkongwe ajo ankulavalava.”
MRK.10.13	Napanelo vanu vashindavaidanavo vadyoko kumwe Yesu avavikile makono kutwala vakwoda vake kuvashulanga. 
MRK.10.14	Yesu pagwene shitendo asho inínnyatila kutwala kushidoni, “Valeke vadyoko vaide kwangu, hamunavaleye mwaa utawala wa Nnungu wavanu vavéle mwavadyoko. 
MRK.10.15	Ninkumwaulila mwiu doni, aijá ákapwashalela utawala wa Nnungu kenga ndyoko, ajo mwiko hainjila shinu muutawala awo.” 
MRK.10.16	Bai nae andívatwala vadyoko vo kuvavikila makono na kuvaalaliya.
MRK.10.17	Napanelo Yesu pashuukanavo kavili mushu na shimwanda shake, munu jumo aníntukutila kuka ndaguguvala mushu mwake ndaashidoni, “Mwalimu wambone, ngutandelé mwashi pakulota ngupate shingumi shíkamalilika?” 
MRK.10.18	Nae kushidoni, “Mwaa shani ungushema kuva wambone? Hapali munu wambone; wambone ni gweka Nnungu bai. 
MRK.10.19	Wako unkumanya malamulo, ‘Haunabyae, Haunalavalave, Haunaive, Haunaumye ushuda waushwang'a, Haunatindinganiange na Mwishimu tatako na anyoko.’ ” 
MRK.10.20	Nnemba jo kushidoni, “Mwalimu, nangu malamulo ala ninkwodedya tangu shidyoko shangu.” 
MRK.10.21	Yesu pannadile aninnagwaledya kutwala kushidoni, “Shindikubakila shinu shimo. Uti vyauvenavo wena ukashulushe, njuluku wo uvape vákave pashinu. Undavanavo libadila kuwa; ling'oto, ida ungwode.” 
MRK.10.22	Nnemba aijá paigwite lilove alyo andítangadikanga shintimatima na andívanavo shipalodi shoe mwaa avenavo vinu vyoe.
MRK.10.23	Yesu kushiliuka kulalyanga nnyenje mwake kuvaulila vakwoda vake kushidoni, “Pandikamadyanga namene vatajili kwinjila muutawala wa Nnungu!” 
MRK.10.24	Vakwoda vake vandíshanga malove alo kanji nae kavili kushidoni, “Mmanavangu, me pandikamadyanga namene
MRK.10.25	Shíkakamadyenge ni kupaleta ngamila mulilanga lyakashinji kuliko kwinjila ntajili muutawala wa Nnungu.” 
MRK.10.26	Vanavo kumamodya namene kushanga kutwala kudyania shivenevene vaashidoni, “Ikava davo po, aambwalegwa nyani?” 
MRK.10.27	Yesu kuvalola kutwala kushidoni, “Kwavanu shinu ashi hashinaululika shinu kanji kwa Nnungu i mwanavo mwaa Nnungu vinu uti ankuulula.”
MRK.10.28	Napanelo Patulu kushidoni, “Wetu tundileka vyetu uti kukwoda wako.” 
MRK.10.29	Yesu kushidoni, “Ninkumwaulila mwiu kenga, kula munu álakile ing'ande yake, ávalakile vanung'unuvake kwali vakuluvake, ávalakile valumbuvake, ánnakile tatake kwali anyoke, ánnakile ndyagwe kwali vanavake, álakile mashamba kwamwaa wangu nangu na kwamwaa wantenga wambone, 
MRK.10.30	munu aju muwakati wowo au, kwakwanjadyeka myanda miya andapata ding'ande adyo, vanung'unumunu avo, valumbumunu avo, vajujumunu avo, vana avo na mashamba alo pamo na kupapatigwa. Namomo muwakati wída, munu ajo andapata shingumi shíkamalilika. 
MRK.10.31	Kanji manya kenga vanu voe vatandi vandava vamwisho na vamwisho vandava vatandi.”
MRK.10.32	Napanelo vanavo vauka mushu na shimwanda shave sha ku Yelusalemu, Yesu àlangaladile vakwoda vake vandímwoda kunyuma akuno vashanga shimwanda asho na vanu vanji váshivoda vashindajopa. Nae ni pavashamadile kavili kwagweka avalá kumi na mbili kuvaulila vinu uti vilóta kuntandeka aashidoni, 
MRK.10.33	“Mwenu, tunkuka ku Yelusalemu. Koko ko, Mwana Wamunu vanannimya kunkamudya kumakono kwavanang'olo vavakulangalalela-shadaka na kwavamwalimu vadishaliya. Vovo vo, vandamuukumu apele na vanankamudya kumakono kwavamidi. 
MRK.10.34	Vanavo vandamwiludyanga, kunshunangila mata, kunshapa viboko na vanampedya. Kanji muliduva lyantatu lyake andadyuka.”
MRK.10.35	Napanelo Tiyagu namu Nshuwau vanavake Shebedeu vandímuukila Yesu ndamwaulila doni, “Mwalimu, wetu tulota utwangangole shoeshoe shatulota kukujugwa.” 
MRK.10.36	Nae, “Mulota nimwangangole nyamani?” 
MRK.10.37	Vanavo do, “Paulota kupagwa mulishangelo lyako, tupa litala lyakwikala, jumo kunkanakono junji kunshanda kwako.” 
MRK.10.38	Nae kushidoni, “Hamunamanya shinu shakujugwa. Da mwenu munkuulula kukumbila luwene lwangukumbila nangu kwali kupata ubatisho wangupata nangu?” 
MRK.10.39	Vanavo, “Elo, tunkuulula.” Yesu kushidoni, “Luwene lwangukumbila nangu, mundakumbila. Ubatisho wangupata nangu, mundapata 
MRK.10.40	kanji yakwikala kunkanakono kwali kunshanda kwangu, ayo hainava shinu yakujava nangu. Vene mautu alo ni avalá vavapanganiangididye.”
MRK.10.41	Bai vanji kumi vo vakaigwe malove alo, vanímmikila shitundi Tiyagu namu Nshuwau. 
MRK.10.42	Yesu kuvashema kuvaulila doni, “Mwenu munkumanya kenga avalá vánavavika kuva vakutawala vavamidi vandálitumbudya kwavenentete na vakumene vave vandátumila madalaka kwavanavo. 
MRK.10.43	Kwaupande wenu mwenu hainave davo. Aijá álota ave nang'olo pakati penu inimmaikila ave ntumika. 
MRK.10.44	Namomo aijá álota ave ntandi, inimmaikila ave ntumwa wenu mwenu uti. 
MRK.10.45	Ata jo Mwana Wamunu aju haidile vantumike; nae aidilé ndatumika na kujaula shingumi shake shive lyambolelo lyavanu voe.”
MRK.10.46	Bai Yesu pamo na vakwoda vake vandíwika pa Yeliko. Napanelo pavashuma nkaja mo nae na vakwoda vake pamo na imbumba yavanu, ndila mo andíikala munu jumo nkújugwajugwa wakuputala mevo walina Balitimeu mwanagwe Timeu. 
MRK.10.47	Nae paigwite kenga Yesu wa ku Nashaleti ankupita mulyutu alyo andítunduvanga kushema pashanya po aashidoni, “Mwanagwe Daudi,
MRK.10.48	Vanu kunshulanga vamwaulila amalale kanji nae kuka mushu tu ashema pashanya po, “Mwanagwe Daudi, ngwanangila shididi!” 
MRK.10.49	Yesu kwimila kutwala kushidoni, “Nsheme!” Vanavo kunshema aijá wakuputala mevo kumwaulila doni, “Lyunge ntima! Takatuka, ankukushema.” 
MRK.10.50	Nae kutwala ikanju yake kujela ako, kudaloka kwimila kutwala kumuukila. 
MRK.10.51	Yesu kumudya, “Da ulota ndikutandele nyamani?” Nae doni, “Mwalimu, ngulota nguujile kulola.” 
MRK.10.52	Yesu kushidoni, “Wena, likulupililo lyako lindikuposha.” Muwakati wowo munu jo kulalenneu kutwala kupita amwoda Yesu mwashuka.
MRK.11.1	Napanelo vanavo pavavandike pa Yelusalemu vàvele pa Betepashi na Betaniya, palishinga lyamilandi Vyaulivela Yesu andívatuma vakwoda vake vavili 
MRK.11.2	kutwala kuvaulila doni, “Wena palikaja livéle mushu mo. Pamwinjila munankodya mwana wapunda ákanava kunkwela munu vamuungangidile. Mwenu muungule mumwidenavo. 
MRK.11.3	Akamudya munu kushidoni, ‘Da punda jo mumuungulila nyamani?’ Mwaulile doni, ‘
MRK.11.4	Vanavo kuka nankodya mwana wapunda vamuungangidile pannango nanyenje ibalabala kutwala kumuungula. 
MRK.11.5	Napanelo pakati pavanu ve vapagwíte apo kuvaudya, “Mumuungulila nyamani punda jo?” 
MRK.11.6	Vanavo kuvajang'ula kenga mo mwavaulidile Yesu, vanu vo kuvaleka vauke. 
MRK.11.7	Bai vanavo kumwidanavo punda jo kumwe Yesu kuntandikanga dinguvo, Yesu kunkwela. 
MRK.11.8	Vanu voe kupita vatandikanga dinguvo dyave mwindila, vanji kwanganga dinavi dyamilandi kupita valadyanga ndila. 
MRK.11.9	Vanu váshuka mushu na váshaloka panyuma vashindapita vatangola pashanya po vaashidoni,
MRK.11.9	“Ashibike!”
MRK.11.9	“Aalaligwe áida palina limwe 
MRK.11.10	“Walaligwe utawala wída watatagwetu Daudi!”
MRK.11.10	“Kushibika kupagwe kushanya-uti!”
MRK.11.11	Bai Yesu andíinjila pa Yelusalemu kukinneu ndainjila nng'ande ya Nnungu. Nae andílalyanga shana kula shinu kanji kwodamwaa wakati undípita andyúma namu avalá kumi na mbili kuka ku Betaniya.
MRK.11.12	Palyamba lyake pavashuma pa Betaniya Yesu kunkola indala. 
MRK.11.13	Akone kwakushu nnandi uvéle mwankuju
MRK.11.14	Bai nae andítangalela nnandi awo kushidoni, “Kwako wako mwiko, halya munu kavili vyepo.” Malove alo, vakwoda vake vashindaigwa.
MRK.11.15	Vanavo vankuwika pa Yelusalemu. Yesu painjidile mwing'ande ya Nnungu andítunduvanga kuvakumulanga vanu váshishumidyanga na váshishumanga vinu, kugang'alanga dimesha dyavakushenji-njuluku na dikiti dyavanu váshishumidyanga ding'unda. 
MRK.11.16	Nae ashindaleya munu kunyukata shinu shanshulushu mwing'ande ya Nnungu 
MRK.11.17	na ashindapundisha aashidoni, “Da havaandike, ‘Ing'ande yangu indashamegwa ing'ande yakushwalidya venentete uti’?
MRK.11.18	Malove alo, vanang'olo vavakulangalalela-shadaka pamo na vamwalimu vadishaliya vashindaigwa. Vanavo vashindalambela dindila dyakummalididya mwaa vashinanjopa kwoda vanu uti vashindashanga mapundisho ake. 
MRK.11.19	Pauwikile wakati wayalyulo vanavo vandyúma panjini po.
MRK.11.20	Napanelo lyamba lyake vapita pannandi po ndakodya ujumile kutunduvangila dinyija. 
MRK.11.21	Patulu kukumbukila kutwala kumwaulila Yesu, “Labi, lola nnandi wautaile dilana wo, undijuma.” 
MRK.11.22	Yesu kushidoni, “Mwenu, Nnungu nkulupile. 
MRK.11.23	Ninkumwaulila mwiu kenga munu woewoe átangalela lishinga ali doni, ‘Bubuka apa uke ukalijele mwimanga,’ atangola bila kwambambidyanga muntima mwake, akulupila kenga vyatangwele vindátandeka, vindatandakela mo mwatangaladile. 
MRK.11.24	Napavedoni ninkumwaulila, uti vyamulota kujugwa kwaindila yakushwali kulupila kenga mundipata nadoni vindakutandakela momo. 
MRK.11.25	Pamushwali, shikapagwa shinu muntima mwako na munumwavo, nnivalive pakulota Tatagwenu ávele kuwa nanae annivalive kupujungula kwenu.” 
MRK.11.27	Vanavo vankwinjila kavili pa Yelusalemu. Napanelo Yesu apita awanawananga mwing'ande ya Nnungu, vandímwidila vanang'olo vavakulangalalela-shadaka, vamwalimu vadishaliya pamo na vanang'olo 
MRK.11.28	kutwala kumudya, “Vinu avi unkutenda kwamadalaka shani? Da madalaka ene lo autandela vinu avi akupelé nyani?” 
MRK.11.29	Yesu kushidoni, “Nanangu ndamudya shinu shimo mukangujang'ula, nanangu madalaka angutandela vinu avi, ndamwaulila. 
MRK.11.30	Da ubatisho umwe Nshuwau walakadilé kuwa kwali kwavanu? Ngujang'ula!” 
MRK.11.31	Vanavo kwaulanila shivenevene vaashidoni, “Tukaashidoni, ‘Walakadilé kuwa,’ nae andatudya, ‘Mwaa shani hamunkulupidile?’ 
MRK.11.32	Ata tukaashidoni, ‘Walakadilé kwavanu…’ ” Vanavo vashindavajopa venentete mwaa venentete vashindamwamini Nshuwau kuva nkúlava. 
MRK.11.33	Bai vanínjang'ula, “Wetu hatumanyite.” Yesu kutwa kushidoni, “Ata nanangu momo hanimwaulila madalaka angutandela vinu avi.”
MRK.12.1	Napanelo Yesu andítunduvanga kutangola na vanavo atumila mikong'o aashidoni, “Munu jumo andílima lishamba lyamilandi vyavinyu kutwala kudangela lingongo, kwimba shima shakuminyangila vyepo na kudenga libodo lyakulepa; kuvakodisha vakulima mwene kutwala mwanda kuka. 
MRK.12.2	Pauwikile wakati wakupuna, nae kuntumidya ntumika jumo kwavakulima vo akatwale isemu yavyepo vyamulishamba lyake. 
MRK.12.3	Vanavo kunkamula, kunkanyalanga, kunneka auka makonodavo. 
MRK.12.4	Nae kuntumidya ntumika junji; vanavo kumbandulanga mmuti na kuntukananga. 
MRK.12.5	Kuntumidya kavili junji; ajo vanavo kumpedya. Nae kuvatumidya vanji voe; vanavo, vanji kuvakamanga, vanji vo kuvapedya.
MRK.12.6	“Napanelo andíijalila munu jumo e avele mwanagwe washinnagwaledya mwene. Bai kumwisho kwake aníntumidya jojo jo aashidoni, ‘Apa mwanangu aju vandamwishimu!’ 
MRK.12.7	Kanji avalá vakulima vandyáulanila shivenevene vaashidoni, ‘Aju ni jojo walota kunkamudya lishamba. Idananga akuno tummalidye kwambangidya lishamba live lyetu.’ 
MRK.12.8	Nadoni vanavo vanínkamula kumpedya kutwala kunjela kunyenje lishamba. 
MRK.12.9	Napanelo mwene lishamba jo alota kutandela mwashi? Nae andaida ndavabyanga uti vakulima avo kutwala lishamba lyo kuvapa vanu vanji. 
MRK.12.10	Da mwenu hamushamidye Maandiko ala,
MRK.12.10	“ ‘Vakudenga lijanga lyavaitile lyo,
MRK.12.10	lindyuka ndava lijanga lyapalitununa.
MRK.12.11	Átandile davo ni 
MRK.12.11	ni vinu vyamakango kwetu wetu.’ ”
MRK.12.12	Napavedoni vanavo vashindalambela dindila dyakunkamulila mwaa vandímanya kenga nkong'o awo, ashivakang'ela vanavo. Kanji kwodamwaa vashindajopa imbumba yavenentete, vanínneka kutwala kuukananga.
MRK.12.13	Napanelo vandívatuma mapalishayo vanji pamo na vanu vashipinga shimwe Elode vauke vakampatikaniange mumalove ake. 
MRK.12.14	Vanavo kumuukila kutwala kushidoni, “Mwalimu, wetu tundimanya shana kenga wako ni umunu waumwiu úkananapela mumaoni avanu mwaa haunalola ing'ope yamunu kanji unkupundisha kwaumwiu indila yalota Nnungu. Napanelo ni shambone nkati mulilamulo lyetu kunnipa Shashali ukodi
MRK.12.15	Nae amanya avi shinankulaba shave, andívajang'ula kushidoni, “Mwaa shani munkungulinga? Ngupa yela
MRK.12.16	Vanavo kwidanavo ndamupa kutwala nae kuvaudya, “Da ing'ope ai imwe nyani na namakong'o aju umwe nyani?” Vanavo kushidoni, “Shashali.” 
MRK.12.17	Kutwala Yesu kushidoni, “Vimwe Shashali, mwing'e mwene Shashali na vimwe Nnungu, mwing'e mwene Nnungu.” Bai vanavo vashinanshanga.
MRK.12.18	Napanelo mashadukayo, vanu vánaashidoni hakupali kudyuka kwavakupela, vanímmandika Yesu kutwala kumudya, 
MRK.12.19	“Mwalimu, Musha atwandikidilé doni, nkulumunu akapela anneka namwili bila kummalakela mwana, nung'unumunu ainjile ding'ande pakulota ammalakele vana wakujala.
MRK.12.20	Nadoni vandípagwa vanung'unumunu saba vashitumbo shimo. Ntandi jo kulomba kutwala kupela kwabila kummaleka mwana. 
MRK.12.21	Kwida wambili kwinjila ding'ande nanae kupela bila kummalekela nkongwe jo mwana. Kwatika wantantu nanae kutandakela momo. 
MRK.12.22	Vanung'umunu ava uti saba hapali hammaleke mwana. Kumwisho kwake nanae nkongwe jo kupela. 
MRK.12.23	Napanelo kushi muliduva lyakudyuka vanu lyo nkongwe ajo mwene alota kuva wakwashi pakati pavalume avo? Mwaa vanu avo uti vaninnomba!” 
MRK.12.24	Kutwala Yesu kushidoni, “Shitadídye mwenu muduwangike da i mwaa mwenu me kumanya Maandiko na ata dimongo dyake Nnungu? 
MRK.12.25	Mwenu, pavalota kudyuka vanu mukupela, hakupali kulomba na kulombwa kanji uti valota kuva kenga vanjelo kuwa. 
MRK.12.26	Kwamwaa wakudyuka vanu, da hamushamidye mulibuku limwe Musha pavele palyukutu?
MRK.12.27	Nadoni nae hanava shinu Nnungu wavakupela, ni Nnungu wavangumi. Mwenu mundiduwangika namene!”
MRK.12.28	Napanelo mwalimu jumo pakati pavamwalimu vadishaliya andívandika kwigwilila shavashitaukananga. Bai nae pagwene kenga Yesu andivajang'ula shana, andímudya kushidoni, “Pakati pamalamulo uti, lilamulo shani likumene lipundíle anji uti?” 
MRK.12.29	Yesu kushidoni, “Lilamulo likumene lipundíle anji ni ali, ‘Igwa wako Ishilaeli! 
MRK.12.30	Nnagwaledye 
MRK.12.31	Lyambili ni ali, ‘Nnagwaledye mujo kenga mo mwaulinagwaladyedya wako umwene.’
MRK.12.32	Munu jo kutwala kushidoni, “Shambone namene Mwalimu! Unditangola viu pautédoni, Nnungu avelé jumo bai hapali junji kavili wakumpunda nae. 
MRK.12.33	Namwiu kunnagwaledya Nnungu na ntima wako uti, makumbukililo ako uti, dimongo dyako uti na kunnagwaledya mujo kenga mo mwaulinagwaladyedya wako umwene kunkuvanavo mana makumene kuliko vyadaka na vyadaka vyakutikinyuki-uti.” 
MRK.12.34	Bai Yesu pangwene munu jo kujang'ula na limanyilo andímwaulila kushidoni, “Wako hauvé kushu na utawala wa Nnungu.” Nadoni kutunduvangila apo hapali munu áshilyalaveka kumudya shinu shoeshoe.
MRK.12.35	Napanelo Yesu akajang'ule, akuno apundisha mwing'ande ya Nnungu andyúdya doni, “Ivenavo mana shani vamwalimu vadishaliya pavaashidoni, ‘Klistu, mwanagwe Daudi?’ 
MRK.12.36	Jo mwene Daudi alangalalegwa na Imumu Wanashwe atédoni,
MRK.12.36	“
MRK.12.37	Napanelo ikava kenga jo mwene Daudi ankunshema Klistu kuva Nang'olo wake,
MRK.12.38	Yesu pashipundisha ashitangola doni, “Lilaledye na vamwalimu vadishaliya! Vanavo kuvanagwela namene kugwala mikwakwala muumbala vaudyangigwe na ishima, 
MRK.12.39	muvitala vyakulipudidya kwikala muviteng'u vyamushu na muvikukulu kuvanagwela mumautu aishima. 
MRK.12.40	Vanavo vyavanamwili vankulyanga na mukushwali mo, vandátima do jii kanji ni kulikulukuwa tu bai. Vovo vo vandapata ukumu yakujowa kupunda apo.”
MRK.12.41	Napanelo Yesu andíikala mushu lishanduku lyashadaka. Nae ashilola imbumba yavanu mwavashijalela njuluku mulishanduku na kuvona vatajili voe vajela njuluku woe. 
MRK.12.42	Bai popo po, kwida namwili jumo ákave pashinu ndajela dishingo mbili dyakunyambikanga. 
MRK.12.43	Nae kuvashema vakwoda vake kuvaulila kushidoni, “Ninkumwaulila mwiu doni, namwili aju ákave pashinu, nae ni ájadile poe mulishanduku lyashadaka kuvapunda vanu vanji uti. 
MRK.12.44	Vanu vanji vo vaumidyé padyumbele, nae aumidyé paungapata wake kujela uti shavenavo na kujela uti shingumi shake.”
MRK.13.1	Napanelo Yesu pashuma mwing'ande ya Nnungu nkwóda wake jumo andímwaulila kushidoni, “Mwalimu, lola majanga alalá mwamanyikangidile na ding'ande adilá kumanyikanga doni!” 
MRK.13.2	Yesu kushidoni, “Unkwona ding'ande adi ding'umene adi? Bai haliikala lijanga pashanya lijangamwagwe palikabamalegwa.”
MRK.13.3	Yesu akaikala pashanya lishinga lyamilandi vya Ulivela livéle shalatoto naing'ande ya Nnungu, Patulu, Tiyagu, Nshuwau namu Andaleya kumudya kwagweka kushidoni, 
MRK.13.4	“Twaulila, vinu avi vilota kutandeka duvani? Shimanyikilo shani shilota kulilodya vinu avyo uti vivelé pepi na kuwikila popo?”
MRK.13.5	Nae kutwala kutunduvanga kuvaulila doni, “Lilaledye pakulota hanapagwe wakunduwanga. 
MRK.13.6	Vandaida vanu voe vatumila lina lyangu vaashidoni, ‘Nangu ni nene!’ Vovo vo, vandavaduwanga vanu voe. 
MRK.13.7	Mukaigwa ding'ondo na manyinyi ading'ondo mwenu hamunajope. Vinu avyo vindivaikila vitandeke kanji haunava shinu mwisho. 
MRK.13.8	Venentete vandatandana ing'ondo na venentetemwave, shilambo shindatandana ing'ondo na shilambomwagwe. Shindaumilila shindangenda mumautu akuvilingananga namomo indaumilila indala. Vinu avi uti ni shitunduvangilo tu shamauvilo akushuluwa.
MRK.13.9	“Mwenu lilaledye! Vanu vandamuukanavo mudikamati na muvitala vyakulipudidya vananshapa viboko. Kwamwaa wangu nangu mundaimila mushu mwavananangalaledi vamajimbo na mwavaumu kenga ushuda kwavanavo. 
MRK.13.10	Napanelo ukanava kuwika mwisho indivaikila ntenga wambone uvalangangigwe kwavenentete uti. 
MRK.13.11	Vakantwala vamuukanavo nankamudya, hamunangaikange mulambela mwakujang'ulila. Sho shilóta kumwidila muwakati awo mwenu tangola shosho mwaa i mwenu múlota kutangola ila ni Imumu Wanashwe. 
MRK.13.12	Nkulumunu anankamudya nung'unumunu vampedye na tatamunu anatandela momo kwamwanamunu. Vana vandavavangedya vatatavave na vandavapedya. 
MRK.13.13	Mwenu mundavangadika na vanu uti kwamwaa wangu nangu kanji aijá álota kulipililila mpaka kumwisho, ajo andaambolegwa.
MRK.13.14	“Mukona shakudabukanga shiídanavo kubamola shìimidile palyutu líkavaikidile,
MRK.13.15	Ávele panda apumula hanatakatuke kwinjila nng'ande ndatwala shinu shoeshoe. 
MRK.13.16	Ávele kundila hanauje kuka kukaja ndatwala ikanju yake. 
MRK.13.17	Vapambale vakongwe valóta kuvanavo vitumbo na valóta kujang'edya mumaduva alo. 
MRK.13.18	Shwali pakulota vinu avyo havinatandeke muwakati washipwepwe. 
MRK.13.19	Mwaa mumaduva alo andapagwa mauvilo ainamuna íkanava kwaneka tangu kunantandi kukandyanga Nnungu shilambo mpaka nelo na haipagwa kavili. 
MRK.13.20	Leka 
MRK.13.21	Bai munu akamwaulila doni, ‘Mwenu, Klistu aju apa,’ kwali, ‘Avelé akulá,’ hamunankulupile. 
MRK.13.22	Mwaa vandaumilila vaklistu vakushang'apa pamo na vakulava vakushang'apa. Vovo vo, vandatenda vimanyikilo na vyakutikinikanga kwambangidya vavaashadyange ikaulukika vakutandalegwa. 
MRK.13.23	Napavedoni mwenu lilaledye! Nangu ninnaililidile kaladavo kwamwaa wavinu uti.
MRK.13.24	“Kanji napanelo mumaduva alo amwisho, ling'oto lyamauvilo lo, liduva lindadimba, mwedi hauvala, 
MRK.13.25	dinondo kuwa ko dindagwanga na vyadimongo vyakuniania vindating'inigwa.
MRK.13.26	Bai apo vandamwona Mwana Wamunu aaloka mumaundi na dimongo dyoe pamo na lishangelo.
MRK.13.27	Kutwala nae andavatuma vanjelo avalá vauke vakavatwalange vakutandalegwa vake mudisemu nsheshe dyamushilambo kutunduvangila kumwisho kwake shilambo shapai mpaka kumwisho kwake shilambo shakuwa.
MRK.13.28	“Napanelo kwankungu lipundishe nkong'o au, paunaipukila mwenu mumanyinneu doni, shipondo shindiwika. 
MRK.13.29	Namomo mukona vinu avyo vitandeka manyinneu doni, mwisho undiwika, uvé mo mmilango myenu. 
MRK.13.30	Ninkumwaulila mwiu doni, vanu vaimbula ai havamalilika vinu avi vikanava kutandeka. 
MRK.13.31	Kuwa na pai kundapita ila malove angu mwiko hapita.
MRK.13.32	“Napane liduva lyene lyo na isaa, hapali ámanyite, ata vanjelo kuwa havamanyite, ata Mwana hamanyite ila ámanyite ni Atata bai. 
MRK.13.33	Lilaledye, ava mevo! Mwenu hamumanyite wakati wamwisho duvani paulota kuwika. 
MRK.13.34	Inkulinganana na munu ávenavo mwanda. Panauma pang'ande pake avapele madalaka vatumika vake kula munu na madengo ake anánnamulila nkúshunga-nnango ave mevo. 
MRK.13.35	Napavedoni namwenu ava mevo mwaa hamumanyite wakati walota kuja nang'olo mwene ing'ande; inkuulukika kwali kuva lyulo, shilo shing'ati, kumatingatinga kwali lyamba. 
MRK.13.36	Doni, ava mevo, akaida shingangala hanankodye mulele. 
MRK.13.37	Vyanimwaulila mwenu avi, ninkuvaulila vanu uti kushidoni, ava mevo!”
MRK.14.1	Akuno àbakidile maduva mavili pakulota kuwika Pasaka na shikukulu shamagung'u ákavele nkukumuku, vanang'olo vavakulangalalela-shadaka na vamwalimu vadishaliya vashindalambela dindila dyakushang'apa pakulota vankamule Yesu vammyae. 
MRK.14.2	Vanavo vashindatangola vaashidoni, “Haunave wakati washikukulu mwaa inkuulukika venentete kutenda mandamano akupinga.”
MRK.14.3	Bai nae àvele ku Betaniya, àikele pandamu nng'ande mwake Simoni aijá wamangundula, kuwika nkongwe jumo ànyukete ishupa yamauta akunung'angila ambone-uti aúka njuluku woe. Nkongwe ishupa yo kutumbula kutwala kumiminila mauta mmuti mwake Yesu. 
MRK.14.4	Napanelo vanji ve vapagwíte mulyutu alyo vandíshanga, “Mauta ala mwaa shani ankujaikanga pashikapali? 
MRK.14.5	Akandyululika kushulushika kupunda dinali dimiya nnatu
MRK.14.6	Kanji napanelo Yesu kushidoni, “Nneke. Mwaa shani munkumwangaishanga? Nae aningutandela shinu shambone. 
MRK.14.7	Mwenu ngwengwe munkupagwa pamo na vákavele pashinu; mukalota munkuulula kuvatandela wambone wakati woewoe. Napane nangu hangupagwa ngwengwe namu mwenu. 
MRK.14.8	Nae atandilé shaulwile. Apakilé kaladavo mauta mumili wangu apanganianga mashiko angu. 
MRK.14.9	Ninkumwaulila mwiu doni, kula kushinu kwavalota kuvalanganga ntenga wambone mushilambo amu, namomo vinu vyatandile nkongwe aju vandavalanganga kenga kumbukumbu kwake nae.”
MRK.14.10	Kutwala Yudashi Shikaliyote, jumo pakati pa avalá kumi na mbili kuvaukila vanang'olo vavakulangalalela-shadaka pakulota avakamudye Yesu. 
MRK.14.11	Bai vanavo vakamwigwe, vandípuwanga namene kutwala kulivika kunnipa njuluku. Nadoni nae andítunduvanga kulambela dindila dyakuvakamudidya.
MRK.14.12	Napanelo muliduva litandi lyashikukulu shamagung'u ákavele nkukumuku pavashinshinda ngandolo wa Pasaka, vakwoda vake Yesu vandímudya kushidoni, “Ulota Pasaka ai tukakupanganiangidye kwashi ulye?” 
MRK.14.13	Yesu kutwala kuvatuma vakwoda vake vavili kuvaulila kushidoni, “Wena kunjini. Koko ko mundakadyania na munu jumo ànyukete shilongo shamedi, mwode 
MRK.14.14	mpaka paing'ande yalota kwinjila. Mwenu mwaulile mwene ing'ande jo doni, ‘Mwalimu ankudya, “Shumba shangu shangulota kulyela Pasaka na vakwoda vangu shakwashi?” ’ 
MRK.14.15	Nae anannangudya nshana wakulyandaula shana úvenavo vyombo uti, bai mwenu panganianga popo po.”
MRK.14.16	Napanelo vakwoda vake vakauke nkaja mo vandíkadyedya kenga mo mwavaulidile. Bai vanavo vandípanganianga Pasaka. 
MRK.14.17	Pauwikile wakati wayalyulo, Yesu andyúka pamo na vakwoda vake kumi na mbili. 
MRK.14.18	Napanelo vàvele pandamu valya, Yesu andítangola kushidoni, “Ninkumwaulila mwiu doni, munu jumo pakati penu álya namu nangu, anangulimya.” 
MRK.14.19	Vanavo vandítunduvanga kuvanavo shipalodi kula munu amudya nae doni, “Da nangu?” 
MRK.14.20	Kutwala Yesu kushidoni, “Ni jumo pakati penu mwenu kumi na mbili, munu álidya pamo namu nangu mundamu. 
MRK.14.21	Ninkumwaulila mwiu doni, Mwana Wamunu andaukila kenga mo mwavaandikidile vamwamba nae, napane aijá munu álota kunnimya Mwana Wamunu, munu ajo apambale! Kudyanga jojo jo, hanavalekwe.”
