MAT.1.1	Kou Iesu Keliso buluve deiadaike ko. Iesuu Ebalahamuta Deividita valadamo lohonu.
LUK.8.30	Ige Iesuu namihai avoe, “A ivilike ole.” Kateige au loui avoe, “Di ivilike Moaga.” Malaha keu louale keu koseanu. Munanae toela moagaeau uvuvemo holoeavolu. 
LUK.8.31	Ilike vage abu Iesu imihai loui avoe, “Ainaho kumoe no hanavegelive.”
LUK.8.32	Kateaito elehasege ovo degomoleau tanae lovi isi olahama. Ige munanae toela keau Iesu namihai avoe, “No hanavege noeabuna ovoe uvue tai.” Ige Iesuu loui avoe, “Teve.” 
LUK.8.33	Kateai louge munanae toelaeau malaha ke halevai ovoe uvue deluhovolu. Ige ovoeau detuluvisi tialeau seika vuvegevei tabu balugamo biloluvisi e isi haluvilu. 
LUK.8.34	Ige ovo nibievemale keau vaveve ke elehai detuluvisi tialeau humaha tavae ata namigevei tialeau oe ata bahata namigevelu. 
LUK.8.35	Ige ata bahataeau vaveve ke elehaho Iesue loholu. Lohoge malaha nehe au munanae toela avuemo nunuveale keu ogoe dua vai tilogoholisito momoleai Iesu veloe heimo ugulamoi ua. Ige abu ke elehai tetelahalu. 
LUK.8.36	Ige vaveve ke elehale keau tilogoe atau momoleale ke deiada loui oe ata haivelu. 
LUK.8.37+LUK.8.38	Ige Gelasene ata bahataeau Iesu namihai avoe, “Halei tenela.” Kosealemo keau vabu balugalu. Ige Iesuu boutimo biloai tiho vasege malaha nehe munanae toelau avuemo uoholiale keu Iesu namihai avoe, “Dana aiti tai.” Ige Iesuu keluai loui avoe, “Unela. 
LUK.8.39	Isi hoilahai talive Dilavau aemo vaveve dua vale ke loui a oe ata bahata haivenela.” Kateige au halei tiale Iesuu vaveve dua avuemo vale ke loui au oe ata haivenu.
LUK.8.40	Ige Iesuu bouti mai e vaki moleve tige ata moagaeau hoesehavoho hemei uma. 
LUK.8.41	Ige Diue dubu nalimale kosive mole Diailosi keu lohoale Iesu veloe heimo kome bokoai vata bisi imihai avoe, “Lohoge nahi di oe tai.” 
LUK.8.42	Au louale keu koseanu. Mave igaehameu vagana tuelo (12) kemo vavahaniale hatiho vama. Ige Iesuu malaha keti tisege ata moagaeau lohoale evilikahavolu.
LUK.8.43	Kateisege keate mole vavahanie toela male keu lohoale Iesu ogola holinu. Vavahanive keu koseanu. Vagana tuelo (12) kemo tahoe toelau uvuvemo lohoma. Iale keu dua valiho au moni bahata ata hoesegevemale kebiamo hatuito vavahanive keu sohu avuemo ua. 
LUK.8.44	Iale keate keu ata moaga uvumo lohoaleu Iesu iae ogove ivila holinu. Ige solekavesite tahoe toelau avuemo lohomale keu uoholinu. 
LUK.8.45	Ige Iesuu loui avoe, “Oleike daela holinu.” Ige ata bahataeau loui avoe, “No hilokaholilu.” Ige esemuve mole Bitau loui avoe, “Kosive, ata moagatahoeau a evilikahavoale kemo nahi oleve kateai bae hilokai.” 
LUK.8.46	Ige Iesuu loui avoe, “Di ata hoesegevemale vuvuneu daemo uoholige di hilokage ata moleu daela holinu.” 
LUK.8.47	Ige keate keu huhuige Iesuu vaveveve ke hilokanu. Isi teteai lohoale Iesu veloe heimo dobai holumai ata bahatae nimo au deiada loui Iesu namihai avoe, “Di lohoale a ogola holige di vavahani keu uoholi seleveanu.” 
LUK.8.48	Kateai louge Iesuu avuho loui avoe, “Di ma, a a uvu bahata mai daemo mamoike vage vavahani keu aemo uoholinu. Iale vahaehomo tenela.”
LUK.8.49	Kateai lousege Diailosi esemu moleu lohoale Diailosi namihai avoe, “A mau aike hatiale ainaho kosive keho louge au loholive.” 
LUK.8.50	Isito Iesuu hoto ke evisi Diailosi namihai avoe, “Vabu hale. Ana a uvu mai daemo mamoge a mana bae hovelahai.” 
LUK.8.51	Ige abu tialeu oe velehovoge Iesuu louge ataeau oe uvue tioholilu. Isito Iesu, Bita, Dioni, Diemisi isi ma ke neinave isi mamave kebia unahaeau o ke uvue tilu. 
LUK.8.52	O ke uvue tisege ata bahataeau o kemo uale keau ma keho ninalahama. Ige Iesuu loui avoe, “Ninalaha halevave. Ma keu hatioholisito lahaike au ke vanu.” 
LUK.8.53	Kateai louge abu bituhavoi hehavolu. Kosealemo abu hilokage ma keu hati seleveanu. 
LUK.8.54	Isito Iesuu ma ke adala holisi loui avoe, “Maia, hovelahanela.” 
LUK.8.55	Kateai louge ma ke munanau hoilahai lohoge au solekavesite hovelahanu. Ige Iesuu kebia namigevei avoe, “Lovi mai omige au isi.” 
LUK.8.56	Kateige mamave isi neinave keau ke elehai tetelahalu. Ige Iesu abuho loui avoe, “Lainaho di vale ko loui ata namigevelive.”
LUK.9.1	Vani mole Iesuu au esemu tuelo (12) hohavege abu lohoale igaetoasege au munanae toela nunuveveve vuvune ovei vavahanitebia hoesegeveveve vuvune keta ovenu. 
LUK.9.2	Isime hanavei loui avoe, “Talive ataeau Dilava adae vuvunemo uveve hoto ke loui ata haivei vavahaniamale kebia hoesegeveve.” 
LUK.9.3	Isi tota loui avoe, “La tiliege lainaho onobehame malelive. Mesoho bedoea, mogamoga, lovi, moni, dabae ogo lainaho bae kateale malelive. 
LUK.9.4	La o moleve tiliege ata moleu la malevei o hatuevege avuluvuta ovemo uve. Ilive la tiho valiege bae o ke halevai teve. 
LUK.9.5	Isito ata degomoleau laheho isiviholisi la malevei o hatueveholige o ke halevai anakaeabemo la veloe gogea sesilahave. Ige abuna la vaveve ke elehai kemo huhuai kosea, ‘Dilavana no aiogevei.’” 
LUK.9.6	Kateai hoto ke lougeto esemuiabeau halevai tialeau o igaegaela ata haivei tilu. Tiale hotoe dua loui ata haivei vavahanite kebia hoesegevema.
LUK.9.7	Kateimalela Galilie kosive baluga Elodiu Iesu vaveve ke bahata evisi dolodoloanu. Kosealemo ata degomoleau loui avoe, “Mesoho ata babatisogevemale Dioniu hatiale keike tota hovelahanu.” 
LUK.9.8	Isege degomoleau loui avoe, “Mesoho Ilaidiau hovelahanu.” Isege degomoleau loui avoe, “Mesoho subuta beloveta moleu hovelahanu.” 
LUK.9.9	Isito Elodiu loui avoe, “Di louge abu Dioni eno etulelu. Isito ata ole igaeike vaveve ko vama.” Isi katealemo vani baita isiviai ata ke elehai.
LUK.9.10	Iesu abostoloeau hoidevei lohoale abu vamale ke bahata loui Iesu namihalu. Ige Iesuu kebia holoevege abu unahaeau o mole Betesaidae tilu. 
LUK.9.11	Keve tisege ata moagau ke evisi ehovei tilu. Ehovege Iesuu itumuholisito kebia hoesegevei ataeau Dilava adae vuvunemo uveve hoto ke loui haivei vavahanitebia hoesegevenu.
LUK.9.12	Iniale vau dobasege Iesu esemu tuelo (12) keau lohoale Iesu namihai avoe, “Ata kobia iovege abu tai. Loviu uvesite matamaike ko. Iale abu talive bulue lovi malei abu oe ladevei.” 
LUK.9.13	Kateai louge Iesuu namigevei loui avoe, “La biaeau lovi ovege abu isi.” Ige abu namihai avoe, “Noeau valava ada mole isi huena abuita unahahameike ko. Iale a huhuige noeabuna oleve kateai lovi moaga ata kobiaho malei.” 
LUK.9.14	Kosealemoike abu hoto ke loulu. Malaha bahata keve uale keau moagataho vai taoseni (5,000). Ige Iesuu au esemu namigevei avoe, “Bahata namigevege abu vivti (50) vivtiai uguiavoi tai.” 
LUK.9.15	Ige esemuiabeau ke nahate loui ata namigevege ataeau ugulelevai lotilu. 
LUK.9.16	Ige Iesuu valava ada mole isi huena abuita nehe ke malei otogoe niai ke hoesehavoi vakoinata malei au esemu ovege abu malei ata kebia igaegaeai ovei lotilu. 
LUK.9.17	Ige ata ke bahataeau lovi ige uniabeau hanilahalu. Ige Iesu esemuiau lovie sigu ke iuhai malei basiketi tuelomo (12) udage ililoholu.
LUK.9.18	Vani mole Iesu ahuvela Dilava imihasege esemuiabeau avue lohoge au abuho loui avoe, “Ataeau huhuige dau ole.” 
LUK.9.19	Ige abu loui avoe, “Ata degomoleau a mai loui avoe, ‘Ata babatisogevemale Dioni keike ke.’ Isege degomoleau a mai loui avoe, ‘Ilaidiaike ke.’ Isege degomoleau a mai loui avoe, ‘Subuta beloveta moleu hatiale munanave keike ke.’” 
LUK.9.20	Ige Iesuu loui avoe, “Isege laeau huhuige dau ole.” Ige Bitau avuho loui avoe, “A keu Keliso. Dilavau a hanavoale ke ailike.”
LUK.9.21	Kateai louge Iesuu isuta namigevei avoe, “Lainaho bae ke loui ata namigevelive. 
LUK.9.22	Atae Esena bae vatetumu baluga malei. Oe kosive, dubu nalimale kosive baluga isi Diue menaka loui haivemale ata keabuna bae kabebihavoi hamage auna hatisito vanie ni abuita igaetaeau uoholisege auna tota hovelahai.”
LUK.9.23	Iesuu namigevei avoe, “La oleu daiti tiho vaniege au lako au isivi va halei au vatehani maleveve ke huhu haleito vani bahata di ehomagei. 
LUK.9.24	Iale olena au ebika unaha huhuaniege au bae ukolikoli malivebene. Isito olena au ebika huhuholisito di ivimo vatehani malei hatiniege auna ukolikoli mai. 
LUK.9.25	Isi olena vatae onobenobemo kunaite holisito Dilavaemo au uvu mamoholisito hatiniege auna oleve kateai ukolikoli mai. 
LUK.9.26	Isime oleuoleu di mati vai di hoto ke louliho isiviholige dana bae di lohomale kela di atagamo, di Mamae atagamo, anelu tumute atagamo lohoniege data ata kebia matigevei. 
LUK.9.27	Iale seleveta di la namigevege evive. La degomoleau kove uale keau bae haluvilivebene. Isito ataeau Dilava adae vuvunemo uveve ke elehaito bae haluvisi.
LUK.9.28	Iesuu kateale louito bula igaeu uoholige au Bita, Dioni, isi Diemisi kebia holoevei abuhi tana mole balugae guliguliho tilu. 
LUK.9.29	Keve tiale guliguliasege Iesu ni keu nimoleanu. Ige ogoveu tae seleveanu. 
LUK.9.30	Ige ihunivesite Moseseu Ilaidiati avuluvuta hotohotoima. 
LUK.9.31	Keau lohoale vavaeabe keu levolevoai ua. Keau Iesuluvuta au Dielusalemae hativeve hoto ke louma. Isi avoe, “A hativeve keu Dilava isivilike.” 
LUK.9.32	Kateisege Bita isi haokuvuiabe keau ladeveale hovedevei Iesu ataga elehage malaha mole abuitaeau avuluvuta lavisi ua. 
LUK.9.33	Iniale malaha abuita keau Iesu halevai tisege Bitau Iesu namihai avoe, “Kosive, hoeseike no vai kove loholu. Iale noeabuna la nenita oe ese abuita igaeta houevei. Ilive elike moleu ahoe. Moleu Moseseho. Isege moleu Ilaidiaho.” Keu hoto ke louito luleleholinu. 
LUK.9.34	Kateai lousege goeu dobai lohoale bamuevege Iesu esemuiau vabulahalu. 
LUK.9.35	Ige goe kemo hoto moleu lohoale loui avoe, “Di moike ke. Dailike ke ebagemanu. Iale hotove evive.” 
LUK.9.36	Hoto keu kateai uoholige Iesu igaeu lamisi ua. Ige Iesu esemuiau vani moaga abu elehale ke loui ata namigeveholilu.
LUK.9.37	Vavita abu tana ke halevai lohosege ata moagatahoeau Iesuluvuta belehovolu. 
LUK.9.38	Ige ata moagataho kebia vigomo malaha mole igaeu hovelahai baita Iesu hohavoi avoe, “No haivemale ata, di di mo igae mai lohoge elehanela. 
LUK.9.39	Vani igaegae munanae toelana avuemo lohosege auna dobai kekoai teteisege aivemo sabavena hahosihovogei. Vani moaga munanae toela kena kateai di mo ko aiohavogei. 
LUK.9.40	Ige di a esemu kebia namigevege abu di mo hoesehavoveve keu abuemo anekianu.” 
LUK.9.41	Kateai louge Iesuu abuho loui avoe, “La uvu keau tolobe nimolealemoike la evieviholilu. Iale la huhuige dana vali vani moaga lahehi ui laheho loviai.” Kateai abuho louito malaha ke namihai avoe, “A mo mai kove loho.” 
LUK.9.42	Ige au mo mai lohosege munanae toelau move aiohavoge moveu dobai vatamo tobilakanu. Ige niveu vealuvilu. Kateisege Iesuu munanae toela iomai mo ke hoesehavoge au dua vanu. Ige Iesuu mai mamave ominu. 
LUK.9.43	Ige ata bahataeau Dilava vuvune ke elehai vikolahalu. Isime Iesuu onolenole vamale ke huhulahai Iesu hoesehavoma.
LUK.9.44	Iesuu tota au esemuho loui avoe, “Di aike hoto ko louge evive. Ataeabuna Atae Ese mai ata degomole ovege abuna hamage hatai.” 
LUK.9.45	Kateigeto Iesu esemuiau hoto ke evisito Dilavau huhuihuhuiabe bamualemo ke ihu hilokaholilu. Abu isiviai Iesu belahai. Isito vabulahalemo belahaholilu.
LUK.9.46	Iniale abu mole belagevei avoe, “Iesuna nahiemo ole ebagemage auna kosive baluga holisi.” 
LUK.9.47	Kateisege Iesuu huhuihuhuiabe hilokaime ese mole ese mai lohoale au vavamo mamonu. 
LUK.9.48	Isi abuho loui avoe, “Olena di ivimo ese ko nahate mai o hatui hoesehavoniege daike au ke hoesehavonu. Isi Dilavau di hanavoale keta hoesehavonu. Iale la oleu au ebika etolemai eseese vaveve nahate vale kena bae kosive baluga holisi.”
LUK.9.49	Ige Dioniu loui avoe, “No kosive, no malaha mole elehasege keu a ivimo munanae toela nunuvema. Ige no namihai kosea, ‘Halenela.’ Kosealemo keu a esemu holioholinu.” 
LUK.9.50	Ige Iesuu abuho loui avoe, “Lainaho kelualive. Ata oleu kateale vale keu nahie aiogeveholisito nahie tedaeveike au ke vama.”
LUK.9.51	Iesuu ehue tiveve vani keu vuguvuguanu. Ige au tiveve ke huhuaito halei Dielusalemae tinu. 
LUK.9.52	Isi au esemu degomole hanavege abu ulila tiale Samalia ata namigevege abu Iesu hoesehavoho bevuai hemei uliho. 
LUK.9.53	Isito o ke biaeau isiviholilu Iesuu loholive abuhi uliho. Kosealemo abu hilokage Iesu keu Dielusalemae tima. 
LUK.9.54	Kateige Diemisi isi Dioni keau ke evisi Iesu namihai avoe, “Kosive, ana isiviage no Dilava imihage au vene hanavoge otogomo dobai lohoi ata kebia aiogevei.” 
LUK.9.55	Kateai louge Iesuu hoilahai keluevei namigevei avoe, “Lainaho kateale valive.” 
LUK.9.56	Kateai louito abuhi halevai o moleve tilu.
LUK.9.57	Abu tiale humaha tavae tisege malaha moleu lohoale Iesu namihai avoe, “Ana oleve keve tige dana aiti tai.” 
LUK.9.58	Ige Iesuu avuho loui avoe, “Seleveta ana isiviale daiti tai. Ovoeabuna abu aeamamo ladevegei. Ige uguiabuna abu hanidamo ladevegei. Isito Atae Eseu lahaveve o keu uoholinu.” 
LUK.9.59	Kateai louito malaha mole namihai avoe, “Di ehomanela.” Isito malaha keu loui avoe, “Kosive, usege di vasohuta talive di mamau hatiale ke mai guliaito bae lohoi a ehomai.” 
LUK.9.60	Ige Iesu loui avoe, “Halege nahi tisege haluviveve keau bae mole malevei gulievei. Isito lohoge nahi talive ataeau Dilava adae vuvunemo uveve hoto ke loui haivei.” 
LUK.9.61	Isege ata moleu Iesu namihai avoe, “Kosive, dana aiti tai. Iale di isiviai vasohuta talive di ese elegeveito bae lohoi.” 
LUK.9.62	Ige Iesuu avuho loui avoe, “Oleuoleu di lovi kemo inuta tioholisito hoilahai au iae niale keu bae ataeau Dilava adae vuvunemo uveve hoto ke loui ata haivevevemo negoalivebene.”
LUK.10.1	Iesuu vaveve kateale vage uoholige ke iae au esemu seveniti (70) malevei isiviale abuibuiai hanavege keau vasohuta talive o bahata keve ata haivesege Iesuu bae gabie ehovei tai. 
LUK.10.2	Isi namigevei avoe, “Lovi moagaeau baelahalu. Isito lovi ke malei valahumo otoveveve ataeau moagaholilu. Iale bulu ke biageho guliguliage au lovi ke malei otoveveve ata hanavege abu lovive bahata malei otovei.” 
LUK.10.3	Isi tota loui avoe, “La keau mamoe ese nahate. Tobalu kebia vigomo di la hanavema. 
LUK.10.4	La tiho valiege lainaho moni, mogamoga isi tamakata matagevelive. Isi humahala tiliege atahi belehovoi abuhi nona halevave. 
LUK.10.5	Talive la o oletemo biloluviliege o kebia ata hoesegeveve. 
LUK.10.6	Ige abu la hoto evige la kebia hoesegeveale hoto abuho louale kena abuemo vuvuneai. Isito mesoho abu la hoto evioholige la kebia hoesegeveale keu bae abuemo vuvunealivebene. 
LUK.10.7	Abu la hoto mage lainaho bae o degomolebiatala vealuvilive. Isito o ke igae uvumo uve. Isime abu lovi onole laovege ke ive. Kosealemo la di lovi vale ke ibinahoike abu ke lovi laovelu. 
LUK.10.8	La o oleve keve tige ataeau la hoesegevei lovi laovege ke ive. 
LUK.10.9	Isi o kemo ata vavahaniteau uge kebia hoesegeveve. Isi namigevei kosea, ‘Ataeau Dilava adae vuvunemo uveve vaniu aike lohoma.’ 
LUK.10.10	Isito la o oleve keve tige abu la hoesegeveholige halevai talive o ke ivila lavisi bae abuho louve. 
LUK.10.11	Namigevei loui kosea, ‘La oe vatau no veloe votomo uale ko noeabuna tota la omo sesilahai. Iale ko elehai huhulahave. Ataeau Dilava adae vuvunemo uveve hoto no mai lohoge la avuho isiviholilu.’ 
LUK.10.12	Iale kemo di la namigevei. Dilava kotae vaniu lohoge au vata ko aiohavomale vanila keabuna bae vatehani malei. Subuta Sodoma ataeau maleale keu eseve. Isito keabuna bae vatehani baluga seleve malei.”
LUK.10.13	“Kolasini ata la nohovu. Isi Betesaida ata la nohovu. Vatehani balugana bae laemo lohoi. Kosealemo di laemo vikoe vaveve moaga vaevege la ke elehaito la vaveve toelamo hoideveholilu. Subuta Taea isi Saidoni keve di vaveve kateale vatebene abu ogo bukate hatui uti hohuvai uvulahai abu vaveve toela halevalu. Isito laeau kateholilu. 
LUK.10.14	Iale Dilavana au kotae vanila vatehani baluga laoveito Taea isi Saidoni ata kebia vatehani eseve ovei. 
LUK.10.15	Isi Kabenumu ataea, di laheho louge evive. La keau isiviale la ebia tabagevei malei otogoe otovei. Isito di la namigevei. La keabuna veneu lahai hodovavesite keve tihatuve.”
LUK.10.16	Kateai louito au esemu namigevei avoe, “Olete abuna la hoto eviliege abuna di hotota evisi. Isito olete abuna la hoto hamaliege abuna di hotota hamai. Isi olete abuna di hoto hamaliege keabuna di hanavoale ke hotota hamai.”
LUK.10.17	Iniale vani mole ata bahata seveniti (70) keau vahaeho balugata hoidevei lohoale Iesuho loui avoe, “No Kosive, no a ivimo munanae toela kebia namigevege abu no hoto evilu.” 
LUK.10.18	Hoto kateale louge Iesuu namigevei avoe, “La vaveve kateale vage di elehage hatau nivolekale ke nahate Setene vuvuneu solekavesite uoholinu. 
LUK.10.19	Di hoto evive. Di nego mai laovenu. Iale la bahoe Setene ke vuvuneu bae laemo negoalivebene. Iale la utee toela isi haeho kebiamo dage abu bae la uagevelivebene. Ige vaveve toelabeu bae la aiogevelivebene. 
LUK.10.20	Lainaho munanae toelaeau la hoto eviale kemo vahaehoalive. Isito otogoe la iviu uale kemo bae vahaeholahave.”
LUK.10.21	Kateimale vanila Munana Tumuteu Iesu mai vahaehotige au vahaeho baluganu. Isi loui avoe, “Di Mama, au otogota vatata Kosive. A a lulele malei luleleholiale kebia ovenu. Isito vatae ataeau abu ebika tabagevei kemo luleleage a lulele malei kebia oveholinu. Di Mama, a kateale vale keu a isivilike. Katealemo di a hoesehavoma.”
LUK.10.22	Kateai louito ata namigevei avoe, “Di Mamau onobenobe bahata daonu. Ige ataeau Moveta Mamaveta hilokaholilu. Isito Mamave igaeike au Mo hiloka seleveanu. Ige Move igaeike au Mama hiloka seleveai isivive ata tabagevei lulele ovege abu Mamave hilokalu.”
LUK.10.23	Hoto kateale louge uoholige au esemu unahaho loui avoe, “Laeau hoeselahalu. Kosealemo onobenobe bahata di vamale ke la elehalu. 
LUK.10.24	Isito di la namigevege evive. Subuta beloveta isi vatae kosive keau isiviale la elehale ke nahate elehai. Isito abu elehaholilu. Isi abu isiviale la eviale ke nahate abuta evisi. Isito abu ke eviholilu.”
LUK.10.25	Kateige menaka haivemale malaha moleu hovelahai isiviale Iesu lobohavoi. Isi namihai avoe, “No haivemale ata, dana onole vai bae ukolikoli mai.” 
LUK.10.26	Ige Iesuu namihai avoe, “Bukae Hotou hisaiale kemo a hoto oleteale dodavenu.” 
LUK.10.27	Ige malaha keu namihai avoe, “A uvu bahata, a isivi bahata, a nego bahata, isi a lulele bahata malei a Kosive baluga Dilava omisi hoesehavonela. Isi a a ebika hoesehavoale ke nahate a haokuvu kebiata isivi ovei hoesegevenela.” 
LUK.10.28	Ige Iesuu avuho loui avoe, “A hoto keu inutolotoloale ke nahate vaime bae ukolikoli manela.”
LUK.10.29	Ige malaha keu ata tedaeveliho isiviholialelua Iesu hoto ke evisi loui avoe, “Di haokaike ole.” 
LUK.10.30	Ige Iesuu malaha ke namihai loui avoe, “Malaha moleu Dielusalema halei Dielikoe tisege laskoloe ataeau humaha tavae evudei ogove dikohai hamai ehalovage au nibedai lahai ua. 
LUK.10.31	Lahai usege Diue dubu nalimale ata moleu humaha nehe kela tiniale malaha nehe abu hamai mai humaha vavae ehalovale ke elehai aehai halei tinu. 
LUK.10.32	Ige Livai malaha moleu humaha nehe ke igaela tinu. Keve tiniale malaha nehe ke elehaito aehai tinu. 
LUK.10.33	Ige Samalia ata moleu humaha kela tinu. Malaha keu Diue ata holioholinu. Isito keu tiale malaha nehe ke elehai avuho uvuanu. 
LUK.10.34	Isime tiale abu hamale ke ohe hoesegevei mulamulai vilianu. Isi malaha ke ebagemai mai au ovoe golomo mamoi avuti tiliale ladevemale o moleve tilu. Isi vavi kemo hoesehavoi avuti ua. 
LUK.10.35	Iniale vavita hovelahai mune bai baluga malei o ke nalimale malaha omisi namihai avoe, ‘Ko mai malaha ke nalisi hoesehavonela. Ilive vani mole di tota hoilahai loholive a avuemo vaesute hatuale ke dana bae tota aoi.’” 
LUK.10.36	Deiada kateale louge uoholige au malaha ke namihai avoe, “A huhuige malaha abuita igaeta kebia vigomo oleteu abu malaha nehe hamale keti haokanu.” 
LUK.10.37	Ige malaha keu Iesu namihai avoe, “Avuho uvuai hoesehavoale ata ke.” Ige Iesuu avuho loui avoe, “Seleveike. Iale ata talive ke nahate vanela.”
LUK.10.38	Iesuu hoto kateale louge uoholige au esemu holoevei tialeau keate mole ivi Mata ke oe tige au malevei o hatuevenu. 
LUK.10.39	Isege hohove Meli keu o kemo ua. Iale Iesuu hoto lousege hohoveu velove heimo ugulamoi ui hotove ke gaeahavoma. 
LUK.10.40	Isege Matau ahuvela lovi vanata Meliho itumuai lohoaleu Iesu namihai avoe, “Kosive, a huhuige di hohou di tedahoholisito keve ugulamoi uge kena duave. Ana vali iomage au loholive di tedahoi.” 
LUK.10.41	Kateai louge Iesuu namihai avoe, “Mata, a keu unie hani huhu baluganu. Isi a kemo huhuihuhuibe ni mole vanu. 
LUK.10.42	Isito di hotoe dua eviveve keu baluga. Iale Meliu vaveve keho isiviai vanu. Iale atabeu bae vaveve ke avuemo malivebene.”
LUK.11.1	Vani mole Iesuu matama moleve tiniale au Mama imihaniale uoholisege esemuve moleu avuho loui avoe, “Kosive, guliguliaveve humaha no haive. Dioniu au esemu haiveale ke nahate ata no haivenela.” 
LUK.11.2	Ige Iesuu abuho loui avoe, “Noinoi ko nahate louve. No Mama, no isiviale ata bahataeau a ivie tumu hoesehavogei. Ilive a matamae dogau lohoge duave. 
LUK.11.3	Isi vani igaegaela no isivie lovi ke noevegenela. 
LUK.11.4	Ige ata oleteau noemo vaveve toela vage no vaveveabe toela ke huhuoholige ata no vaveve toela ulihai huhuoholi. Isi ainaho no halevesege no Setene lobomo dobuluvilive.”
LUK.11.5	Guligulie hoto ke loui haiveito kemo hoto mole abuho lounu. Isi loui avoe, “Mesoho la moleu vavie minamo au haoka oe tiniege namihai kosea, ‘Aemo lovibe abuita igaetaeau uge daonela. 
LUK.11.6	Di haoka moleu oai lohoale di oe velemanu. Ige daemo lovibehameu uoholinu.’ 
LUK.11.7	Ige mesoho auna aho loui kosea, ‘Ainaho di nita huegelive. Di udaha bamui di ese holoevei abuhi aike ladevema. Iale di bae hovelahai lovibe aolivebene.’ 
LUK.11.8	A haokana hoto kateale louge ana osioi. Isito di laheho louge evive. A haokave holialemo au bae hovelahai lovi aolivebene. Isito ana matiholisito negobedai udahavemo hamai imihalage auna bae lovi aoi. 
LUK.11.9	Iale di laheho louge evive. Lana Dilava imihage auna la isivi ke laovei. Isi lana ono mole kaovaliege bae mave. Isi lana udaha hamage auna bae laheho alavoi. 
LUK.11.10	Kosealemo oleuoleu onoleho Dilava imihage auna isiviabe ke ovei. Isi oleuoleu ono mole kaovale ke abuna mai. Isi oleuoleu udaha hamage auna abuho alavoi. 
LUK.11.11	La olena eseveu huenaho imihage auna vali ute mai omisi. 
LUK.11.12	Isi mesoho auna ugue uniho isiviage auna vali haeho mai omisi. Ba, keu anekianu. Lana isiviabe mai oveve. 
LUK.11.13	Laeau vaveve toela vamale ataea. Isito laeau la ese kebia hoesegevei isiviabe ke oveveve ke hilokalu. Iale ke nahate lana la Mamau otogoe umale ke imihage auna la vaveve evihai Munana Tumute laovei.”
LUK.11.14	Iesuu malaha mole uvute kemo munanae toela nunuvanu. Munanae toela keu avuemo uge keu hotoholinu. Isito munanae toelau uoholige malaha keu bae hotoai hoto louge ataeau ke elehai vikolahalu. 
LUK.11.15	Isito ata degomoleau ke elehai loui avoe, “Munanae toelae kosive Biesabolo ke vuvunemoike Iesuu munanae toela kebia nunuvema.” 
LUK.11.16	Ige ata degomoleau lobohavoi namihai avoe, “Bato, vavevebe negote otogomo vanela. Ige no bae ke elehai hilokai kosea, ‘Dilavaike a hanavonu.’” 
LUK.11.17	Kateai lousege Iesuu huhuihuhuiabe hilokaime abuho loui avoe, “Vata igaemo ataeau mole tasalievei molehi mole haveliege abu bae ui egealivebene. Isi valada igaeau mole tasalievei molehi mole haveliege abu bae ui egealivebene. Abuna katelahaliege solekai uoholisi. 
LUK.11.18	Iale ke nahate Setene ataeabuna mole tasalievei molehi mole haveliege abuna oleve kateai. Keu anekianu. La loui kosea, ‘Seteneike au vuvune daoge di munanae toela kebia nunuvema.’ Isito di ke vuvunemo kebia nunuveholima. 
LUK.11.19	Dana kateai Setene vuvunemo munanae toela nunuvege la esemu abuna ole vuvunemo munanae toela kebia nunuvei. Iale lana la esemu belagevege abuna loui kosea, ‘Dilava vuvunemoike no kebia nunuvema.’ 
LUK.11.20	Ige data Dilava vuvunemoike munanae toela kebia nunuvema. Kateige lana ke elehai hilokage Dilava matamae doga ke vuvuneu laemo lohonu.
LUK.11.21	“Ata negotena au soe mai bi mai au o nibige ove kunai keabuna ue dua vai. 
LUK.11.22	Isito ata negote selevena lohoniege ovemo velemai hamai soeveta biveta malei ove kunai malei tai. Dovudovue hoto kemo la hilokage di negoai Setene aiohavoi atave nunuvema.
LUK.11.23	“Iale ata oleuoleu di tedahoholimale keau di aiohavomale ataeabulike. Isi oleuoleu ata maleveveve kemo di tedahoholiale keau ata kebia nunuvema.”
LUK.11.24	“Di hoto mole louge evive. Munanae toelana ata mole halei tiniege eu uvesiteve uveve matama kaovai. Isito uveve matamabeu uoholige auna huhuai kosea, ‘Dana hoilahai di subuta uale kemo ui.’ 
LUK.11.25	Kateaime hoilahai lohoniege ata nehe ke elehage au au uvu hoesehavoge onobenobe toelau avuemo uoholinu. 
LUK.11.26	Ige auna tota hoilahai tiniege munanae toela seveniau (7) vuvune balugale kebia holoevei abuhi lohoniege ata nehe kemo deluhovoi. Ige ata kena toela seleveai. Kosealemo subuta munanae toela igaeu avuemo ua. Isito gabie munanae toela eiti (8) keau avuemo ua.”
LUK.11.27	Iesuu kateai louge keate moleu ata moaga kebia vigomo hovelahai Iesuho loui avoe, “A mamoi a amumale keate ke vahaehou baluga.” 
LUK.11.28	Ige Iesuu avuho loui avoe, “Ito. Isito ataeau Dilava hoto evilike vaime vahaeho balugatahoalu.”
LUK.11.29	Ige ataeau bahata mole bevuevei igaetoai Iesu evilikahavosege Iesuu namigevei avoe, “Novae ata la koeau atae toelaea. La di belahai isiviale di vikoe vaveve vai. Isito di bae la louale ke valivebene. Isito dana beloveta mole Dionau vale ke nahate dana data vai. 
