MAT.1.1	Je² libro xi³ cho⁴ta⁴jchi¹nca³-le⁴ Jesucristo, ˀnti¹-le⁴ David, cˀoa⁴ ˀnti¹-le⁴ Abraham.
MAT.14.22	Jesús tsa³cˀe¹ne² nti⁴ton⁴-le⁴ cho⁴ta⁴-le⁴ nca³ ja³ˀa³sˀen³ ya⁴ya³ chi³tso³-ve⁴, cˀoa⁴ nca³ qui³ti¹tjon²-le⁴ sa³ˀnta³ xi³ncoa³nta¹-ni³ jan¹. Tjen⁴ Jesús qui³si³xa³tˀa³ cho⁴ta⁴. 
MAT.14.23	Cˀia⁴ nca³ je³cˀoa⁴-sˀin² tsa³cˀe¹ne²-le⁴ cho⁴ta⁴ncjin², Jesús qui³mi³ ya⁴ ni³nto³, qui³cˀe¹tsˀoa³ tˀa³xin². Cˀia⁴ nca³ je³coan³xon², to⁴je² tsa³cˀe²jna³ ya⁴-ve⁴. 
MAT.14.24	Cˀoa⁴ je² chi³tso³-ve⁴ je³tjen⁴ va³sen³ jin³ nta¹chi³con³-ve⁴. Na³nta¹ si³ ti¹si¹cao⁴, nca⁴ ntjao⁴ cja⁴ˀai¹-sˀin² ti¹fa³ˀa³. 
MAT.14.25	Cˀia⁴ nca³ ji³cho²ca³ las tres nca³ ta⁴njion²ya³, Jesús qui³con³-le⁴ tso²ˀva³son² nta¹chi³con³-ve⁴. 
MAT.14.26	Cˀoa⁴ je² cho⁴ta⁴-le⁴ nca³ tsa³ve³ nca³ tso²ˀva³son² nta¹chi³con³, jo³ qui³tsa³cjon¹, qui³tso²: To⁴sen¹-le⁴ cho⁴ta⁴. Jo¹ nˀion¹ qui³squi³ˀntia¹, nca³ qui³tsa³cjon¹. 
MAT.14.27	To⁴nca³ Jesús nti⁴ton⁴ qui³nchja⁴-le⁴, qui³tso²: Tˀe²jnco³ta³con²³, an³ nia¹³, a³li² jcon³-jion²³. 
MAT.14.28	Cˀia⁴ Pedro qui³nchja⁴-le⁴, qui³tso²-le⁴: Señor, tsa² ji³ ni¹³, tˀe²ne²-nai¹³ nca³ cjoi¹con³-le²³ son² na³nta¹-ve⁴. 
MAT.14.29	Cˀoa⁴ Jesús qui³tso²: Nčhoai¹³. Cˀoa⁴ Pedro ji³tjo³jen³-ni³ ya⁴ chi³tso³-ve⁴. Tsˀa³mjen³son² na³nta¹ nca³ qui³con³-le⁴ Jesús. 
MAT.14.30	Cˀia⁴ nca³ tsa³ve³ je² ntjao⁴ xi³ nˀion¹, qui³tsa³cjon¹. Tsa³cˀe¹tsˀia⁴cao⁴ nca³ qui³sˀen³jin³ na³nta¹, qui³squi³ˀntia¹, qui³tso²: Señor, chˀa⁴sje³ntjai²-nai¹³. 
MAT.14.31	Nti⁴ton⁴ Jesús tsa³cjen¹ ntsja³, qui³tsoa³, cˀoa⁴ qui³tso²-le⁴: Ji³ xi³ choa³ ma³cjain¹-li², a¹-ni³ nca³ jao² ca²vˀe²-si¹ni³ ta³coin²³. 
MAT.14.32	Cˀia⁴ nca³ je² ja³ˀa³sˀen³ ya⁴ chi³tso³-ve⁴, qui³sˀe³jyo¹ ntjao⁴. 
MAT.14.33	Cˀia⁴ je² xi³ tjio¹ ya⁴ chi³tso³, tsa³qui³ncha³xco¹nchˀin³tˀa³-le⁴ tsa³ve³xcon¹, qui³tso²: Xi³ ña³qui³ cjoa⁴qui²xi⁴, ji³ ni¹³ ˀnti¹-le⁴ Ni³na¹.
MAT.14.34	Cˀia⁴ nca³ je³ja³ˀa³to³tˀa³ nta¹chi³con³, ji³cho² ya⁴ na³nqui³ jña³ Genesaret ˀmi². 
MAT.14.35	Cˀia⁴ nca³ je² cho⁴ta⁴ xi³ tsˀe⁴ ya⁴ ˀnte³-ve⁴ tsa³ve³xcon³ Jesús, qui³si³ca³sen¹ nca³qui³jnta² ja⁴ˀnte³ ya⁴ čhian³-le⁴, ja³ˀai³ cha³ni²-le⁴ nca³ je² nca³tsˀi³ xi³ tjio¹mˀen³. 
MAT.14.36	Cˀoa⁴ tsa³cˀe¹tsˀoa³-le⁴ nca³ to⁴coi³cjoan² si⁴²cao⁴ tjon³ na³jño³-le⁴, cˀoa⁴ nca³tsˀi³ xi³ cˀoa⁴-sˀin² qui³si³cao⁴ coan³nta³-ni¹.
MAT.15.1	Cˀia⁴ tjin¹ cˀa³ cho⁴ta⁴ scribano cao⁴ cho⁴ta⁴ fariseos xi³ tsˀe⁴ Jerusalén, xi³ ji³cho²con³-le⁴ Jesús, qui³tso²-le⁴: 
MAT.15.2	A¹-ni³ nca³ si¹qui³tson¹-si¹ni³ cho⁴ta⁴-li⁴ costumbre-le⁴ cho⁴ta⁴jchi¹nca³, nca³ tsi² va³ne¹jon³ ntsja³ cˀia⁴ nca³ cjen² nio⁴. 
MAT.15.3	Cˀia⁴ Jesús qui³tso²-le⁴: A¹-ni³ nca³ cˀoa⁴-ti⁴ ti³ma³ni²qui³tson¹-si¹nio³ jon² cjoa⁴te¹xo³ma³-le⁴ Ni³na¹ xi³ to⁴cjoa⁴ tˀa³tsˀe⁴ costumbre-no³. 
MAT.15.4	Nca⁴ Ni³na¹ xi³ cˀoa⁴qui³tso²: Jcha⁴xcoin¹³ nˀai³-li⁴ cao⁴ na⁴-li⁴. Je² xi³ nchja⁴ˀaon³-le⁴ nˀai³-le⁴ a³xo⁴ na⁴-le⁴ ntia³ ca²ta³mˀen³. 
MAT.15.5	To⁴nca³ jon² xi³ vi³xon¹³: To⁴ˀya³-ni³ xi³ coi⁴tso⁴-le⁴ nˀai³-le⁴ a³xo⁴ na⁴-le⁴: Nca³yi³je³ xi³ ma³chjen¹-li² xi³ tsˀan⁴, an³ je³qui³tsjoa³-le⁴ cjoa⁴tjao² Ni³na¹, 
MAT.15.6	nca³ je² cho⁴ta⁴-ve⁴ li²coi³ ma³chjen¹ nca³ scoe⁴xcon¹ nˀai³-le⁴ a³xo⁴ na⁴-le⁴. Cˀoa⁴-sˀin² qui³ni²xo²yao³ cjoa⁴te¹xo³ma³-le⁴ Ni³na¹ xi³ to⁴cjoa⁴ tˀa³tsˀe⁴ costumbre-no³. 
MAT.15.7	Xi³ cho⁴ta⁴ jao²ncjain¹ ˀmi²-no³, nta³ qui³nchja⁴ya³ xi³ tˀa³tsaon⁴³ je² Isaías xi³ cˀoi⁴qui³tso²: 
MAT.15.8	Je² na⁴xi⁴na³nta¹ cao⁴ en¹-le⁴ ve³xcon¹-na³, to⁴nca³ ni⁴ma⁴-le⁴ xin² tjio¹-na³. 
MAT.15.9	To⁴nca³ li²jme³ chji¹-le⁴ nca³ ve³xcon¹-na³, nca⁴ va³co¹ya³ cjoa⁴fa³ˀai³tsjen³ xi³ to⁴xquia⁴ cjoa⁴te¹xo³ma³-le⁴ cho⁴ta⁴. 
MAT.15.10	Cˀoa⁴ qui³nchja⁴-le⁴ cho⁴ta⁴ncjin², qui³tso²-le⁴: Ti⁴no¹ˀyao²³, cˀoa⁴ nta³ ca²ta³ma³cho⁴ya³-no³: 
MAT.15.11	Li²coi³ je² xi³ fa³ˀa³sˀen³ tsˀoa³ xi³ si¹qui³tson¹ cho⁴ta⁴, to⁴nca³ je² xi³ vi³tjo³-ni³ tsˀoa³, je² xi³ si¹qui³tson¹. 
MAT.15.12	Cˀia⁴ ji³cho²con³-le⁴ cho⁴ta⁴-le⁴, qui³tso²-le⁴: A³ ˀya³-ni¹ nca³ je² cho⁴ta⁴ fariseos coan³jti³-le⁴ cˀia⁴ nca³ qui³nčhˀoe¹ je² en¹-vi⁴. 
MAT.15.13	To⁴nca³ cˀia⁴ qui³nchja⁴-nca¹ni³ Jesús: Nca³yi³je³ tso³jmi²ntje² xi³ tsi² tsa² coi³ tsa³cˀe¹ntje² Nˀai³-na⁴ xi³ tsˀe⁴ ncˀa³jmi³, cˀoa⁴-sˀin² tjo¹ne²-ni³. 
MAT.15.14	Ti⁴ca³tio¹ xi³ cˀoa⁴cjoan³. To⁴xca⁴² cjoan³, cˀoa⁴ va¹ntia⁴²-le⁴ xi³ xca⁴. Cˀoa⁴ tsa² je² xi³ xca⁴ cjoan³ coa⁴²ntia⁴²-le⁴ je² xi³ xca⁴ cjoan³, tsao⁴ya³ nca³ jao² jña³ ti⁴xˀa⁴. 
MAT.15.15	Cˀoa⁴ qui³nchja⁴ Pedro: Ti⁴qui²xi⁴ya³-ni³na³jin⁴ je² cjoa⁴xco¹son²-vi⁴. 
MAT.15.16	Cˀoa⁴ Jesús qui³tso²: A³ cˀoa⁴²-ti⁴ to⁴jo³ cje³ ma³cho⁴ya³-jin²no³ jon². 
MAT.15.17	A³ tsi² ma³cho⁴ya³-no³ nca³ nca³yi³je³ xi³ fa³ˀa³sˀen³ tsˀoa³ fi²sˀen³ tsˀoa⁴, cˀoa⁴ fa³ˀa³-ni³le⁴. 
MAT.15.18	To⁴nca³ je² xi³ vi³tjo³-ni³ tsˀoa³, ni⁴ma⁴-le⁴ nčhoa¹jin³-ni³. Je²-vi⁴ xi³ si¹qui³tson¹ cho⁴ta⁴. 
MAT.15.19	Nca⁴ ni⁴ma⁴-ve⁴ vi³tjo³-ni³ cjoa⁴fa³ˀai³tsjen³ xi³ tsˀen⁴, xi³ si¹cˀen³ cˀen³, cˀoa⁴ cjoa⁴cha³jnqui³ xi³ sˀin¹ xi³ je³chi³xan² cˀoa⁴ xi³ cje³ vi³xan³-jin², cjoa⁴che¹, xi³ en¹nti³so³ va³sen¹-le⁴ xi¹ncjin¹, cˀoa⁴ xi³ nchja⁴ˀaon³. 
MAT.15.20	Coi³ cjoa⁴ je²-vi⁴ xi³ si¹qui³tson¹ cho⁴ta⁴. Je² xi³ cjen² nca³ cje³ va³ne¹jon³ ntsja³, je²-vi⁴ li²coi³ si¹qui³tson¹ cho⁴ta⁴.
MAT.15.21	Cˀoa⁴ ji³tjo³-ni³ ya⁴-ve⁴ Jesús, qui³ ˀnte³ jña³ Tiro ˀmi² cao⁴ ya⁴ jña³ Sidón ˀmi². 
MAT.15.22	Coe⁴-ni³ jnco³ chjon⁴² cananita ji³tjo³-ni³ ya⁴ ˀnte³-ve⁴ nˀion¹ qui³nchja⁴-le⁴ Jesús: Señor, ˀnti¹-le⁴ David, jcha⁴ma⁴ta³con²-nai¹³. Je² tso²ti³-na⁴ cjai¹ tse³ cjoa⁴ñˀain³ ti¹fa³ˀa¹ nca³ nai⁴² xi³ nta³jin³ ti¹jna³jin³ ni⁴ma⁴-le⁴. 
MAT.15.23	To⁴nca³ Jesús ni⁴jnco³-jin² en¹ tsa³cja¹cao⁴. Cˀia⁴ ji³cho²con³-le⁴ cho⁴ta⁴-le⁴, tsa³cˀe¹tsˀoa³-le⁴: Cˀoa⁴tˀin²-lai⁴ nca³ ca²ta³vi³tjo³xin² nca³ cji³ˀntia¹tjen⁴nqui³-na¹. 
MAT.15.24	Cˀoa⁴ je² qui³nchja⁴-nca¹ni³le⁴: Li²coi³ cˀoa⁴-sˀin² qui³ni²ca³sen¹-na³. To⁴tˀa³tsˀe⁴ va³rre² xi³ qui³cha³, xi³ tsˀe⁴ ntˀia³-le⁴ Israel qui³ni²ca³sen¹-ni³na³. 
MAT.15.25	Cˀia⁴ je² chjon⁴²-ve⁴ ja³ˀai³, tsa³ca³sen²xco¹nchˀin³tˀa³-le⁴, qui³tso²-le⁴: Señor, ti⁴sen⁴cao⁴-nai¹³. 
MAT.15.26	Cˀoa⁴ Jesús qui³tso²-le⁴: Li²coi³ nta³ nca³ chjoe¹ nio⁴xti²la⁴-le⁴ ˀnti¹xti³, cˀoa⁴ nia¹ˀnti¹ ni²cˀa³tsao³-le⁴. 
MAT.15.27	Cˀoa⁴ je² qui³tso²: Jaon³, Señor, to⁴nca³ nia¹ˀnti¹ cji³ne³ xcoa⁴ˀnti¹ xi³ tsao³nqui³ ya¹mi²xa⁴-le⁴ xi³ tsˀe⁴ nai³-le⁴. 
MAT.15.28	Cˀia⁴ qui³nchja⁴ Jesús: Ji³ chjon⁴², nˀion¹ nta³ ma³cjain¹-li². Cˀoa⁴ ca²ta³ma³-li² jo³-sˀin² nca³ me³-li². Cˀoa⁴ tso²ti³-le⁴ coan³nta³-ni³ ti⁴coi³-ni³ hora.
MAT.15.29	Cˀia⁴ nca³ qui³-ni³ Jesús ya⁴-ve⁴, ja³ˀai³ čhian³-le⁴ nta¹chi³con³ Galilea. Qui³mi³jon³ ni³nto³, ya⁴ tsa³cˀe²jna³. 
MAT.15.30	Cˀoa⁴ ncjin² cho⁴ta⁴ ji³cho²con³-le⁴ xi³ cˀoa⁴-sˀin² tjen⁴cao⁴ xi³ chi⁴ˀnque¹, xi³ xca⁴, xi³ yo⁴ma⁴, xi³ tjio¹xco¹ya³ ntsja³, cˀoa⁴ ncjin²-sa³je⁴, cˀoa⁴ ya⁴ qui³si³ca³tio¹ nqui³ntso⁴co⁴ Jesús, cˀoa⁴ qui³si³nta³-ni³. 
MAT.15.31	Cˀoa⁴-sˀin² to⁴coan³xcon¹-le⁴ cho⁴ta⁴, nca³ tsa³ve³ nca³ coan³ qui³nchja⁴ je² xi³ yo⁴ma⁴, cˀoa⁴ je² xi³ tjio¹xco¹ya³ ntsja³ coan³nta³-ni³, coan³ tsa³cˀe¹ma³-ni³ je² xi³ chi⁴ˀnque¹, coan³ qui³sco²tsen³-ni³ je² xi³ xca⁴. Tsa³cˀa³sje³je³ya³ Ni³na¹ xi³ tsˀe⁴ cho⁴ta⁴ Israel.
MAT.15.32	Cˀoa⁴ Jesús qui³nchja⁴-le⁴ cho⁴ta⁴-le⁴: Cjai¹nca³ ma³ma⁴que⁴ cho⁴ta⁴ncjin²-vi⁴, nca³ je³coan³ jan²-le⁴ ni⁴čhjin³ nca³ tjio¹ma³tjen⁴nqui³-na³, nca³ tsin²-le⁴ xi³ cji³ne³-jin². A³li²coi³ me³-na³ nca³ sca⁴ni²nchjan², jme¹-ni³ nca³ tsi² ya⁴ coan⁴ˀi³nta³-si¹ni³ ya⁴ ntia⁴². 
MAT.15.33	Cˀia⁴ cho⁴ta⁴-le⁴ qui³tso²-le⁴: Jña¹-ni³ sa⁴co²-na³jin⁴ nio⁴xti²la⁴ xi³ ncjin² ma³-ni³ i⁴ ˀnte³tˀa³xin²tˀa³-vi⁴, xi³ coan⁴squi³-ni³ cho⁴ta⁴ncjin²-vi⁴. 
MAT.15.34	Cˀia⁴ Jesús qui³tso²-le⁴: Jo¹ tjin¹ nio⁴xti²la⁴ cjio³-no³. Cˀoa⁴ je² qui³tso²: Ña³to³ ma³-ni³, cˀoa⁴ jnco³jao² ma³-ni³ jti⁴ˀnti¹. 
MAT.15.35	Cˀoa⁴ tsa³cˀe¹ne²-le⁴ cho⁴ta⁴ nca³ ca²ta³va³tio²ne² na³nqui³. 
MAT.15.36	Cˀoa⁴ qui³scoe¹ je² nio⁴xti²la⁴ xi³ ña³to³-ve⁴ cao⁴ jti⁴-ve⁴, cˀoa⁴ qui³tsjoa³ cjoa⁴nta³, qui³si³xcoa⁴, cˀoa⁴ qui³tsjoa³-le⁴ cho⁴ta⁴-le⁴. Je² cho⁴ta⁴-le⁴ qui³si³cˀa³vi¹-le⁴ cho⁴ta⁴ncjin². 
MAT.15.37	Cˀoa⁴ tsa³cjen² nca³tsˀi³, ña³qui³ coan³squi³. Tsa³cˀe¹xco¹ xi³ qui³njen²nqui³, ña³to³ ni⁴sin⁴ya¹ ma³-ni³ nio⁴xti²la⁴ čhˀoa¹. 
MAT.15.38	Cˀoa⁴ je² xi³ tsa³cjen² ño³ jmi³ ma³-ni³ xi³ xˀin⁴, cˀoa⁴ tˀa³xin² ya¹nchjin¹ cao⁴ ˀnti¹xti³. 
MAT.15.39	Cˀia⁴ nca³ tsa³cˀe¹ne²-le⁴ nca³ ca²ta³fi²-ni³ cho⁴ta⁴, ja³ˀa³sˀen³ chi³tso³, ji³nčhoa³ ya⁴ ˀnte³ Magdala.
MAT.16.1	Cˀia⁴ ji³cho²con³-le⁴ cho⁴ta⁴ fariseos cao⁴ cho⁴ta⁴ saduceos, nca³ chˀao³ si⁴²cao⁴, qui³si³je¹-le⁴ nca³ coa⁴co²jnco³-le⁴ choa⁴ ya⁴ ncˀa³jmi³. 
MAT.16.2	To⁴nca³ Jesús qui³nchja⁴-nca¹ni³: Cˀia⁴ nca³ je³ma³xon² nca³ ni⁴čhjin³, jon²-vi⁴ vi³xon¹³: Nta³ chon³ nchaon³, nca⁴ ni² chon³ ncˀa². 
MAT.16.3	Cˀoa⁴ nca³ ta⁴njion²: Ntˀai⁴ cˀoa⁴ jtsi¹, nca⁴ yo³jvi³jma² cjoan³ xi³ ncha³ ncˀa², cˀoa⁴ ni² chon³ ncˀa². Xi³ cho⁴ta⁴jao²ncjain¹ ˀmi²-no³, ma³-no³ cho¹tˀa³ jo³ ma³ chon³ ncˀa², to⁴nca³ choa⁴-le⁴ ni⁴čhjin³ li²coi³ ma³-no³. 
MAT.16.4	Je² cho⁴ta⁴ xi³ ntˀai⁴ tjio¹, xi³ tsˀen⁴-ni¹, xi³ to⁴si¹cha³jnqui³, si¹je¹ choa⁴, to⁴nca³ choa⁴ li²coi³ cˀoai⁴-le⁴, to⁴je² choa⁴-le⁴ Jonás xi³ qui³nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹. Cˀoa⁴ Jesús qui³si³ca³tio¹ cho⁴ta⁴, qui³-ni³.
MAT.16.5	Cˀoa⁴ ja³ˀai³ cho⁴ta⁴-le⁴ xi³ncoa³tˀa³ nta¹chi³con³, qui³cha³jin³-le⁴ nio⁴xti²la⁴. 
MAT.16.6	Jesús qui³tso²-le⁴: Cho¹tsaon³, ti⁴coi²nta⁴-lao⁴³ yao³-no³ je² na⁴ˀyo⁴san³ xi³ tsˀe⁴ cho⁴ta⁴ fariseos cao⁴ cho⁴ta⁴ saduceos. 
MAT.16.7	To⁴nca³ je² tsa³cjao¹ya³-ni³, cˀoa⁴ qui³tso²-le⁴ xi¹ncjin¹: Coi³ nca³ cˀoa⁴ ca²tso²-na¹ nca³ tsi² qui³chˀa¹ nio⁴xti²la⁴. 
MAT.16.8	Cˀoa⁴ coan³jin³-le⁴ Jesús, qui³tso²-le⁴: Cho⁴ta⁴ xi³ choa³ ma³cjain¹-no³, a¹-ni³ nca³ cˀoa⁴-sˀin² ti³cho³va²ya³-si¹nio³ jin³-no³ nca³ jon² nca³ tsin²-no³ nio⁴xti²la⁴-jin². 
MAT.16.9	A³ cje³ ma³cho⁴ya³-jin²no³, a³ tsi² tjin¹jin³-no³ je² xi³ aon² nio⁴xti²la⁴-ve⁴ xi³ tsˀe⁴ cho⁴ta⁴ xi³ aon² jmi³ ma³-ni³, cˀoa⁴ jo³ tjin¹ ni⁴sin⁴ tsa³cˀe²xco¹³. 
MAT.16.10	Ni⁴je²-jin² xi³ ña³to³ nio⁴xti²la⁴, xi³ tsˀe⁴ xi³ ño³ jmi³ ma³-ni³, cˀoa⁴ jo³ tjin¹ ni⁴sin⁴ya¹ tsa³cˀe²xco¹³. 
MAT.16.11	Jo¹-sˀin²ni³ nca³ tsi² ma³cho⁴ya³-no³ nca³ tsi² to⁴tˀa³tsˀe⁴ nio⁴xti²la⁴ cˀoa⁴ca²xin³-no³ nca³ ti⁴coi²nta⁴-lao⁴³ yao³-no³ je² na⁴ˀyo⁴san³ xi³ tsˀe⁴ cho⁴ta⁴ fariseos cao⁴ cho⁴ta⁴ saduceos. 
MAT.16.12	Cˀia⁴ coan³cho⁴ya³-le⁴ nca³ tsi² tsa² cˀoa⁴qui³tso²-le⁴ nca³ si⁴²coi²nta⁴-le⁴ yao³-le⁴ na⁴ˀyo⁴san³ xi³ tsˀe⁴ nio⁴xti²la⁴, to⁴nca³ xi³ to⁴tˀa³tsˀe⁴ cjoa⁴fa³ˀai³tsjen³-le⁴ cho⁴ta⁴ fariseos cao⁴ cho⁴ta⁴ saduceos.
MAT.16.13	Cˀia⁴ nca³ ji³nčhoa³ Jesús ya⁴ ˀnte³ jña³ Cesarea xi³ nchja⁴-ni³ Filipo, qui³sco²na³nqui³-le⁴ cho⁴ta⁴-le⁴: Jo¹ tso² cho⁴ta⁴, ˀya¹-la⁴ xi³ ˀnti¹-le⁴ cho⁴ta⁴. 
MAT.16.14	Cˀoa⁴ je² qui³tso²: Tjin¹ cˀa³ xi³ tso² nca³ je² Juan Bautista, cˀoa⁴ tjin¹ cˀa³ xi³ tso² je² Elías, cˀoa⁴ tjin¹ xi³ tso² je² Jeremías, a³xo⁴ je² jnco³ xi³ tsˀe⁴ xi³ nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹. 
MAT.16.15	Cˀoa⁴ Jesús qui³tso²-le⁴: Cˀoa⁴ nca³ jon², jo¹ vi³xon¹³, ˀya¹-nia³ an³. 
MAT.16.16	Qui³nchja⁴ Simón Pedro: Ji³ ni¹³ Cristo, xi³ ˀnti¹-le⁴ Ni³na¹ xi³ ti¹jna³con³. 
MAT.16.17	Cˀia⁴ qui³nchja⁴ Jesús: Jo¹ to⁴nta³-li² nca³ ji³, Simón, ˀnti¹-le⁴ Jonás, nca³ tsi² tsa² cho⁴ta⁴son³ˀnte³ xi³ tsa³ca³co¹son²tsen³-li², to⁴je² Nˀai³-na⁴ xi³ ti¹jna³ ncˀa³jmi³. 
MAT.16.18	To⁴nca³ cˀoa⁴-ti⁴ xin³-le²³, nca³ ji³ ni¹³ Pedro. Cˀoa⁴ son² coi³ la⁴jao⁴-vi⁴ cˀoe³nta³soan²³ je² na⁴xi⁴na³nta¹-na⁴. Cˀoa⁴ je² nca³nˀion¹-le⁴ ˀnte³cjoa⁴ñˀain³, li²coi³ si⁴²qui³njen³-le⁴ na⁴xi⁴na³nta¹-na⁴. 
MAT.16.19	Cˀoa⁴ ji³ si³ntsja³-le²³ yo²vi⁴ xi³ tsˀe⁴ xo⁴ntjoa⁴-le⁴ cjoa⁴te¹xo³ma³-le⁴ ncˀa³jmi³, cˀoa⁴ nca³yi³je³ cjoa⁴ xi³ tsi² tsa² coi³ cˀoai⁴ˀnte³-lao⁴³ i⁴ son³ˀnte³-vi⁴, cˀoa⁴-ti⁴ li²coi³ cˀoai⁴ˀnte³-le⁴ ya⁴ ncˀa³jmi³. Nca³yi³je³ cjoa⁴ xi³ cˀoai⁴ˀnte³-lao⁴³ i⁴ son³ˀnte³-vi⁴, cˀoa⁴-ti⁴ cˀoai⁴ˀnte³-le⁴ ya⁴ ncˀa³jmi³. 
MAT.16.20	Cˀia⁴ Jesús tsa³cˀe¹ne²-le⁴ cho⁴ta⁴-le⁴ nca³ ni⁴ˀya³-jin² xi³ jo³ coi⁴tso⁴-le⁴ nca³ je² ni¹ xi³ Cristo.
MAT.16.21	Sa³ˀnta³ nca³ ti⁴coi³-ni³ ni⁴čhjin³-ve⁴. Jesús tsa³cˀe¹ tsˀia⁴cao⁴ nca³ qui³si³qui²xi⁴ya³-le⁴ cho⁴ta⁴-le⁴ nca³ coan⁴chjen¹-le⁴ nca³ coai⁴ Jerusalén, nca³ tse³ cjoa⁴ñˀain³ cjoa⁴ˀa² xi³ tˀa³tsˀe⁴ cho⁴ta⁴jchi¹nca³, cao⁴ cho⁴ta⁴ti¹tjon²-le⁴ na⁴ˀmi³, cao⁴ cho⁴ta⁴ scribano, cˀoa⁴ nca³ si⁴cˀen³-ni³ nca³ je², to⁴nca³ si⁴cja³ˀa¹ya³-ni³le⁴ xi³ coan⁴jan²-ni³ ni⁴čhjin³. 
MAT.16.22	Cˀoa⁴ Pedro qui³cao⁴ tˀa³xin², tsa³cˀe¹tsˀia⁴ nca³ qui³nchja⁴ti³cao⁴ qui³tso²: Señor, Ni³na¹ ca²ta³vˀe¹chjoa²-le⁴ cjoa⁴-vi⁴ tˀa³tsi⁴. Ni⁴cˀia³-jin² nca³ cˀoa⁴coan⁴tˀain³. 
MAT.16.23	Cˀia⁴ qui³si³cˀo¹fa³ya³ Jesús, qui³nchja⁴ti³cao⁴ Pedro: Ti⁴tja¹jton³-nai¹³, ji³ Satanás. Cjai¹ to⁴chˀao³ ni²cao⁴-nai¹³, nca³ tsi² ˀmi³tˀa³-lai⁴ cjoa⁴-le⁴ Ni³na¹, to⁴nca³ ˀmi³tˀa³-lai⁴ cjoa⁴-le⁴ cho⁴ta⁴. 
MAT.16.24	Cˀia⁴ Jesús qui³tso²-le⁴ cho⁴ta⁴-le⁴: To⁴ˀya³-ni³ve⁴ xi³ me³-le⁴ nca³ cho⁴ta⁴-na⁴ coan⁴, ca²ta³tsjion¹con³ yao³-le⁴, ca²ta³vˀa³mi³ cro²-le⁴, cˀoa⁴ nta³ ca²ta³fi²tˀa³-na³. 
MAT.16.25	To⁴ˀya³-ni³ve⁴ xi³ me³-le⁴ cˀoa⁴sje³ntjai² ni⁴ma⁴-le⁴, to⁴si⁴²cha³ ni⁴ma⁴-le⁴, cˀoa⁴ to⁴ˀya³-ni³ve⁴ xi³ si⁴²cha³ ni⁴ma⁴-le⁴ xi³ to⁴tˀa³tsˀan⁴, coan⁴sjai³-ni³le⁴. 
MAT.16.26	Jme¹ xi³ sca⁴son²-le⁴ cho⁴ta⁴, nta³ tsa² coi⁴njen⁴-le⁴ nca³yi³je³ son³ˀnte³, tsa² si⁴²cha³ ni⁴ma⁴-le⁴. A³xo⁴ jme¹ chji¹ xi³ tsjoa¹ cho⁴ta⁴ xi³ tˀa³tsˀe⁴ ni⁴ma⁴-le⁴. 
MAT.16.27	Nca⁴ je² ˀnti¹-le⁴ cho⁴ta⁴ sˀa⁴ cjoa⁴ˀai¹cao⁴ cjoa⁴je³ya³-le⁴ Nˀai³-le⁴ cao⁴ a²ncje⁴-le⁴, cˀoa⁴ cˀia⁴ cˀoe⁴²chji¹ nca³ jnco¹jnco¹ jo³-sˀin² si¹xa¹. 
MAT.16.28	Xi³ cjoa⁴qui²xi⁴ xi³ xin³-no³: tjin¹ cˀa³ xi³ i⁴ tjio¹-vi⁴ xi³ tsi²coi³ coi⁴ya² sa³ˀnta³ nca³ scoe⁴ ˀnti¹-le⁴ cho⁴ta⁴ xi³ cjoa⁴ˀai¹cao⁴ cjoa⁴te¹xo³ma³-le⁴.
MAT.17.1	Xi³ coan³ jaon³ ni⁴čhjin³, Jesús qui³cao⁴ Pedro cao⁴ Jacobo cao⁴ Juan xi³ ntsˀe⁴, cˀoa⁴ qui³mi³jon³ tˀa³xin² jnco³ ni³nto³ xi³ nˀion¹ ncˀa³. 
MAT.17.2	Tsˀa³ntjai²ya³ nqui³xcon⁴ nca³ je². Coan³fa³te³ ncjain¹ jo³-ni³ tsa² tsˀoi¹, cˀoa⁴ na³jño³-le⁴ coan³čhoa³ jo³-ni³ tsa² nchˀan¹. 
MAT.17.3	Coe⁴-ni³ je² cho⁴ta⁴-ve⁴ tsa³ve³ Moisés cao⁴ Elías, xi³ tjio¹fa¹cao⁴ Jesús. 
MAT.17.4	Cˀoa⁴ qui³nchja⁴ Pedro, qui³tso²-le⁴ Jesús: Señor, nta³-ni¹ nca³ i⁴ ti³yoi³⁴-jin⁴. Tsa² me³-li² i⁴ si⁴nta³² jan² xco¹jnta², jnco³ xi³ tsi⁴, jnco³ xi³ tsˀe⁴ Moisés, cˀoa⁴ jnco³ xi³ tsˀe⁴ Elías. 
MAT.17.5	Tjen⁴ nca³ ti¹nchja⁴ nca³ je², coe⁴-ni³ jnco³ yo³jvi³fa³te³ ja³ˀa³ne²-le⁴. Cˀoa⁴ coe⁴-ni³ jnco³ jta⁴ qui³no²ˀya²-le⁴ ya⁴jin³ yo³jvi³-ve⁴, xi³ qui³tso²: Je²-vi⁴ ˀnti¹-na⁴ xi³ tsjoa³que⁴. Jo³ nta³ sˀe³coan³ xi³ tˀa³tsˀe⁴. Ti⁴no¹ˀya²-lao⁴³ nca³ je². 
