GEN.1.1	Tana vuivuni mai dania God te gonia na kokou mana pari. 
GEN.25.17	Ishmael te saravia sakai na hangalatu tolu hangavulu vitu (137) na niuluna ge mate. 
GEN.25.18	Na lei vaivarina tara ghahara tana bona ighobudira i Havilah mi Shur, tana halautu te sara i uluna Egypt me tona va i Asshur.
GEN.25.19	Aeni na tutuguna Isaac dalena Abraham. 
GEN.25.20	Mi tana bona Isaac te vati hangavulu na niuluna me tauna Rebekah, na vaivine eni a dalena Bethuel, na mane ni Aram, tana komu Padan-aram, na vaivinena Laban. 
GEN.25.21	Me mua tangomana na logho gari a Rebekah, keri ge Isaac te kokoeliulivuti vania Yahweh ge ke tangomana vania. Ma Yahweh te rongovia nina kokoeliulivuti Isaac, ge logho gari a Rebekah. 
GEN.25.22	Mana baso vunaghi lokana na kutuna tinadira. Mara mua vahura mua, moro veipipilighi lokana na kutuna Rebekah. Ma Rebekah te huatia Yahweh, “E ghua ge kaleu na totobo te vaghaa eni?”
GEN.25.23	Yahweh te bosa tughu vania,
GEN.25.23	“Erua na kema ilokana na kutumu,
GEN.25.23	Mo ko vatura erua na butonikomu toro veihughuhughui.
GEN.25.23	Sakai na kema ke laga vulea sakai,
GEN.25.23	Mana tughana ke lutu vania na tahina.”
GEN.25.24	Me sara nina bongi ni vahuhu a Rebekah, ge vahura na baso vunaghi. 
GEN.25.25	Na diki te malasisia me vuvulua na hulina, keri ge ra holoa nia Esau
GEN.25.26	Na ruani tara vahua mai te tabe ngasilia na borokasi ni tuana Esau. Keri ge ra holoa nia Jacob
GEN.25.27	Mi tana bona toro sule dato na gari raini ke, ma Esau te ghilala utoa na hili maumanu, te liona ngangata na vola ni tautalu. Ma Jacob te hodohodo me kabu komu vamua. 
GEN.25.28	Ma Isaac te dolovia va Esau, na pukuna na vihahi ni maumanu te lavighi mai ge ke ghanighi. Ma Rebekah te dolovia va Jacob.
GEN.25.29	Mi ta sakai na bongi a Jacob te kukia na supusupu me oli mai tana hili a Esau ge toroa na vitolo, 
GEN.25.30	me bosa vania Jacob, “Inau te torou na vitolo mo ko heu mai na pile supusupu te sisi to kukia!” (Keri ge rana vure tara holoa nia Esau eruani na ahana Edom).
GEN.25.31	Jacob te bosa tughu, “Ko heu mughua nimua na tunuva ni kamanagho ge ku hegho na pile supusupu.”
GEN.25.32	Esau te bosa, “E uto so! Inau te toro mateu na vitolo, mu ku mate ke, ma kara mua hangau na lei totobo raini!”
GEN.25.33	Ge bosa Jacob, “Ko diki baubahu vaniu tua itaeni, ge ko heu sughua na tunuvamu.” Me baubahu Esau vania Jacob, ge hea na tunuvana ni kamanagho vania Jacob a tahina. 
GEN.25.34	Keri vaho gea Jacob te hea Esau na balu supusupu, mana balu berete. Esau te vanga me inu, ge ke tughuru me tona. Keri ke, gaia te mua ghanaghana mavaa na tunuva ni kamanagho.
GEN.26.1	Ma sakai na ngengere sule te ghoi kalea na butonikomu udolu vaghaa te kale tana bongina Abraham. Keri ke, ma Isaac te gharadu vaa i Gerar, te ghahaa igaa a Abimelech, didira na vunaghi haba rana vure ni Philistia. 
GEN.26.2	Yahweh te tate vania Isaac, ge bosa vania, “Ko bei tona i Egypt! Ko kabu tua tana pari eni tu bosaa vanigho ko kabu igaa. 
GEN.26.3	Ko ghanagho tua iani, mi nau ku kabu kolugho mu ku vautogho. Inau ku hegho na bona udolu eni, maia ghua rana vaivarimu. Inau ku pangotia na baubahu tu nea vania tamamu Abraham. 
GEN.26.4	Inau ku nera na lei vaivarimu ge kara subo vaghara na veitughu tana parako, mu ku hera udolu tua na bona eni. Mi tadira na lei vaivarimu ku vautora na lei kema ilokana na maramana. 
GEN.26.5	Inau ku vautogho na pukuna Abraham te varongohia na bosagu me taonighi nigua na lei vetena mana keikeri.”
GEN.26.6	Keri ge ghahaa i Gerar a Isaac. 
GEN.26.7	Mana lei mane ni komu keri tara huatia Isaac nia a tauna, ge bosa vanira, “Aeni ke vaivinegu,” na pukuna te mataghunira na lei mane kara matea gea ma kara lavia Rebekah, te vaivine matakage gaia.
GEN.26.8	Me daro na bona tua te ghahaa i Gerar Isaac. Mi ta sakai na bongi na vunaghi haba Abimelech te gena horu mai tana matakene na valena me righia Isaac te avihia Rebekah. 
GEN.26.9	Abimelech te vetenara ge ra lavia Isaac mai tatana, ge bosa vania, “A taumu na vaivine keri ge! ?Me ghua ge o bosa ke na vavinemu gaia?”
GEN.26.9	Ge bosa tughu Isaac, “Inau tu ghanaghana ke, ma kara mateu gea ge u bosaa te taugu gaia.”
GEN.26.10	Me bosa Abimelech, “?Na hava to nea vanighai? Ma ge siki sakai tadira nigua na mane lutu kara nia maturu kolu taumu ke, ighai ke kaleghai nia na palu sule, na pukuna ighoe.” 
GEN.26.11	Keri ge Abimelech te bosa papara vanira kulana na vure, “Siki sakai ke gonidikalaa siki totobo hahi vania na mane eni pa tauna ke, me ke mate mughua.”
GEN.26.12	Mi tana niulu keri Isaac te umania na leghai tana pari me subasubaa iga, mana vuavua te subai tara vangagha subo ngangata na pukuna Yahweh te vautoi. 
GEN.26.13	A nina lutu te tona haliu so na uto, me nea ge vuha mane logho rongo. 
GEN.26.14	Na pukuna te subo nina ovu ni sheep mana buluka mana mane lutu ghua, ge ra vuha nia ghaghana na vure ni Philistia. 
GEN.26.15	Keri ge ra parikuvighi na tuvu tara ghelighi nina mane lutu Abraham tana bona te vola mua. 
GEN.26.16	Ma Abimelech te bosa vania Isaac, “Ko rughuhoru tana komumami eni, na pukuna to mane rongagha ngangata, to laga mo maana vuleghai tua.”
GEN.26.17	Keri ge tona Isaac me va gonighi na lei vale tapolena tana boboko i Gerar me ghahaa iga. 
GEN.26.18	Gaia te ghoi ghelighi na tuvu tara diki ghelighi mai tua tana bongina Abraham i dania. Na vure Philistia tara pari kuvighi na tuvu kiri i murina te mate tua Abraham. Ma Isaac te ghoi holoi nia so na lei tuvu, vaghai te holoi nia tua Abraham tamana idania. 
GEN.26.19	Nina mane lutu Isaac tara ghelia sakai na tuvu tana boboko mara sodoa na beti gaa. 
GEN.26.20	Ma rana righitaoni sheep ni Gerar tara hughuhughu kolura rana righitaoni sheep ta Isaac mara bosa, “A nimami na beti eni.” Keri ge Isaac te holoa nia na tuvu keri na aha, “Esek
GEN.26.21	Ma rana mane lutu ta Isaac tara ghoi ghelia sakai na tuvu ghua, ma rana vure iga tara nia hughuhughu so, ge holoa nia “Sitnah.
GEN.26.22	Gaia te ghoi gharadu sania na bona keri, ma rana mane lutu tara ghoi ghelia sakai na tuvu. Rana vure iga tara mua nia hughuhughu, keri ge holoa nia, “Rehoboth.
GEN.26.23	Mi murina keri, Isaac te sania na komu keri me tona i Beersheba. 
GEN.26.24	Mi tana bongi keri Yahweh te tate vania ge bosa, “Inau, a nina God tamamu Abraham. Ko bei mataghu, inau itamua so. Inau ku vautogho mu ku negho ge ke sepa na vaivarimu taonia nigua na baubahu vania nigua na mane lutu a Abraham.” 
GEN.26.25	Ma Isaac te kisua na bela sukaghi ge holohabaa Yahweh iga. Gaia te gonighi na lei vale tapolena me kabu igaa, ma nina mane lutu tara ghoi ghelia sakai na tuvu.
GEN.26.26	Ma sakai na bongi na vunaghi haba Abimelech te mai, kolua Ahuzzath nina mane huhuli, ma Phicol, na mane naghodira nina ovu ni gehemate. Tara tughuru i Gerar mara va righia Isaac. 
GEN.26.27	Ma Isaac te huatira, “?Vaho ghua ge au mai righiu itaeni? Te padu tua, tau kanahaghiniu, ma au tiva kehau tana komumiu.”
GEN.26.28	Mara bosa tughu gaira mara ghaghua, “Ighai tai ghilala itaeni Yahweh itamua, mai ghanaghana ke, me uto ge ka baubahu i ghobuda hegheda. Ighai tai liona ko baubahu vanighai, 
GEN.26.29	ge ko bei vahaghitailighai vaghaa tai mua vahaghitailigho ighoe. Tai arovigho, ge ai vetena kehagho tana mabo. Mi taeni tai righi kalea Yahweh te vautogho sughua.”
GEN.26.30	Ma Isaac te gonia na vanga kolu vanira, ma gaira kolua gaia tara vanga mara inu. 
GEN.26.31	Me roropo ghana sopa gaira tara baubahu mara ngasilia nia na papari. Keri ge bahura Isaac me sanira ge ra oli tana komudira tana mabo.
GEN.26.32	Mi tana bongi keri ghua, nina mane lutu Isaac tara mai bosaa vania nia na tuvu tara ghelia. Mara ghaghua, “Ighai tai topoa tua na beti.” 
GEN.26.33	Ma Isaac te vatua na tuvu keri nia na aha, “Shibah.
GEN.26.34	Me vati hangavulu na niuluna Esau me taudira e rua na vaivine tana vure ni kemana Het, Judith, dalena Beeri, ma Basemath dalena Elon. 
GEN.26.35	Na nilabudira rana vaivine raini te nera na voladira a Isaac ma Rebekah ge ro mua togotogo.
GEN.27.1	Tana bona Isaac te tonikama tua, me dutu vania ge ke rorodo, gaia te holoa Esau na diki dalena na kamanagho, me ghaghua, “?Kula dalegu?”
GEN.27.1	Ma Esau te bosa tughu me ghaghua, “?Na hava Tamagu?”
GEN.27.2	Ma Isaac te ghaghua, “Inau tu tonikama tua, mu mua ghilala ke daro na volagu. 
GEN.27.3	Keri ge ko lavighi nimua na baghe mana kuali, mo ko tona tana tautalu, mo ko hilivia vaniu mai siki maumanu asi. 
GEN.27.4	Ko gonidila vaniu na vanga te liona na liogu me ke loghoa na nainami te uto. Mo ko lavia vaniu mai, mu ku ghania. Keri ge ku vahegho na vauto, ke vanigho ighoe na dalegu na kamanagho naghona ge ku mate.”
GEN.27.5	Ma Rebekah te rongovia na hava Isaac te bosa vania Esau. Mi tana bona Esau te rughuhoru ge ke va hilivighi mai na maumanu asi, 
GEN.27.6	ma Rebekah te ghaghua vania na dalena Jacob, “Inau tu rongovia na tamamu te bosa vania Esau, me ghaghua, 
GEN.27.7	‘Tona mo ko va matea siki maumanu asi, mo ko gonidila vaniu na puku ni vanga te uto. Mi murina ku ghania, eliogu ge ku vautogho tana matana Yahweh i naghona ge ku mate.’”
GEN.27.8	Rebekah te bosa so, “Kula dalegu, itaeni ko goni taonia na hava tua ku bosaa vanigho. 
GEN.27.9	Ko tona rughuhoru va tana lei ovu ni volivoli ni maumanu mo ko lavighi vaniu mai erua na dale goat vaolu. Inau ku gonidila vania tamamu na vanga te uto ngangata te liona tana goat raeni. 
GEN.27.10	Mo ko lavighi na vanga raeni vania tamamu, ma gaia ke ghanighi ge ke va hegho na vauto tughua a Esau inaghona ge ke mate.
GEN.27.11	Ma Jacob te bosa tughu, “Kula Tinagu, e mua malumu koro pegoa na tamagu. Ko ghanaghana va ivei te vagha na vuvuluna na hulina Esau maia ivei te vagha na madolona na ghuighuligu inau. 
GEN.27.12	?Ivei ke ghaghua ke vagha ke tabeu a tamagu? Agaia ke ghilala kalea inau tu pegoa, ma gaia ke varangau vamua me ke mua heu na vauto.”
GEN.27.13	Ma Rebekah te ghaghua, “Dalegu tu dolovigho, lubatia na vavaranga keri ge ke tumu ivuvungagu. Mo ko gonia vamua na hava tu bosaa vanigho. Ko tona mo ko lavighi mai na goat.” 
GEN.27.14	Keri ge Jacob te taonighi na lei kokoe te bosai vania tinana, me holai vania mai ra rua na goat. Ma tinana te lavighi rana goat, ge gonia na puku ni vanga te vagha te liona Isaac. 
GEN.27.15	Ma gaia Rebekah te lavia nina na puku ni pupulu Esau te ghahai tua ilokana na vale tapole me pupulua nia Jacob. 
GEN.27.16	Me saroi na limana mana luana Jacob nia na ghuighuli ni goat te vuvulugha. 
GEN.27.17	Ma Rebekah te hea na popo ni vanga, te uruurua ngangata, maia na balu berete tara vaho bitighi.
GEN.27.18	Ma Jacob te lavia na popo ni vanga vania tamana me ghaghua, “?Kula Tamagu?”
GEN.27.18	Ma Isaac te bosa tughu me ghaghua, “Eo! ?Ahei eni? ?Esau pa Jacob?”
GEN.27.19	Ma Jacob te bosa tughu, “A Esau na dalemu na kamanagho. Aeni tua na maumanu asi. U goni taonia tua na hava to bosaa vaniu nia, me momoha tua. Ko sopou dato mai mo ko vanga, ge ko vaheu nimua na vauto.”
GEN.27.20	Ma Isaac te huahuati, “?Kula dalegu, ivei te ghaghua ge o tangomana na sodo minaminaana?”
GEN.27.20	Ma Jacob te bosa tughu, “Na pukuna a Yahweh, nimua na God, te hangau ge u sodo minaminaa.”
GEN.27.21	Ma Isaac te ghaghua vania Jacob, “Ko tughuru ghalagha mai iani. Eliogu ge ku tabegho ge ku taluutunia to Esau utuni sughua.” 
GEN.27.22	Ma Jacob te tona ta tamana, ma Isaac te tabea. Ma Isaac te bosa heghena, “Na kokoe te vagha na kokoena Jacob, hauva na limana te vuvulugha te vagha Esau.” 
GEN.27.23	Me mua ghilala pukulaghinia te Jacob, na pukuna na limana Jacob tara vaghai sono na limana Esau tara vuvulua. Keri ke, Isaac te dutu ni vautoana Jacob, 
GEN.27.24	me huatia, “?Na puku ni dalegu a Esau sughua ighoe?”
GEN.27.24	Ma Jacob te bosa tughu, “Eo, inau utuni!”
GEN.27.25	Keri ge ghaghua Isaac, “Kula dalegu, ko lavia vaniu mai na vinahina na maumanu ge ku vanga ge ku vahegho nigua na vauto.” Ma Jacob te lavighi na vanga va ta tamana, ma Isaac te ghanighi. Me inuvia ghua na wine a Jacob te gonidilaa vania. 
GEN.27.26	Keri ge ghaghua Isaac, “Kula dalegu, ko mai tagua mo ko nonginongiu.” 
GEN.27.27	Ma Jacob te va tona me nonginongia. Mi tana bona te urumighi na lei pupuluna, Isaac te taluutunia ge vautoa na dalena, me ghaghua,
GEN.27.27	“Na uruuruna na dalegu te vagha na uruna na leghai te va vautoi tua Yahweh.
GEN.27.28	Mi nau ku nongia God ke va hegho mai na kebu ge ke volai nimua na lei subasuba,
GEN.27.28	ge ko loghoa na puku ni baore te hali tana lei nimua na subasuba mana lei grape tara gonighi nia na wine.
GEN.27.29	Rana lei kema kara nimua na vure ni lutu, ma kara taonia na hava to bosaa.
GEN.27.29	Mi ghoe ko vunaghi pungisira na lei hoghomu. Rana lei vaivaridira tinamu kara nigho kikinima.
GEN.27.29	Ma rahei tara bosa kaugho, God ke bosa kaura. Ma rahei tara vautogho, God ke vautora.”
GEN.27.30	Mi tana bona Isaac te vauto sokoa vaso Jacob, me ke rughu horu sania tamana, Esau te pulohi mai ta nina na rughuhoru ni hili. 
GEN.27.31	Esau te gonidila vania tamana na puku ni vanga te liona, na vinahina na maumanu asi, me lavia va ta tamana. Ge ghaghua gaia Esau, “Kula tamagu, inau tu mai tua, mi nau tu lavia mai na maumanu asi to liona. Ko sopou dato mai mo ko ghania, keri ge ko vaheu nimua na vauto.”
GEN.27.32	Ma Isaac te huatia gaia, “?Ahei ighoe?”
GEN.27.32	Ma gaia te bosa tughu, “Inau a Esau, na dalemu na kamanagho.”
GEN.27.33	Ma Isaac te tatata me kanoragha, ge ghaghua, “Ma hei vaso ka, te vaheu na maumanu asi, mu ghania vaso? Mu vautoa tua gaia nia na puku ni vauto, keri ge o mai ighoe. Ma God ke vautoa gaia, na pukuna ku mua tangomana na tughuana nigua na vauto.”
GEN.27.34	Mi tana bona Esau te rongovia na tamana, gaia te tangi ngangaraha, me kurutia tamana me ghaghua, “Kula tamagu, ko vautou mai ghua inau!”
GEN.27.35	Mana tamana te vania, “A hoghomu te pegou me lavi kehaa tua nimua na vauto.”
GEN.27.36	Ma Esua te bosa, “E utuni sughua na ahana ke, Jacob
GEN.27.37	Ma Isaac te bosa vania Esau me ghaghua, “U talua tua Jacob ge ke nimua na vunaghi haba mu tughuniladaa tua ge na lei kulana vure kara nina vure ni lutu. Mu baubahu vania ge gaia ke lologho au vule tana subasuba mana wine kara subo vaa. ?Mana hava iga ke ghoi hagha vanigho?”
GEN.27.38	Ma Esau te nongia sono a tamana me ghaghua, “E taho tua sakai na vauto ke ghana olia vaniu? Kula tamagu, ko vautou ghua inau.” Ma Esau te tangi me dikalio.
GEN.27.39	Keri ke, Isaac te ghaghua vania,
GEN.27.39	“Ighoe ko kabu hauvia tana pari uto,
GEN.27.39	mo ko hauvia ghua na uha uto te butu mai ikokou.
GEN.27.40	Mi ghoe ko nia vola na isi.
GEN.27.40	Mi ghoe ko lutu vania a hoghomu.
GEN.27.40	Hauva, mi tana bona ko luba sania, ge ko tatavahale itatana.”
GEN.27.41	Keri ke, Esau te nia ghighirou a Jacob na pukuna te gitoa nina na vauto. Keri ge ghaghua tana ghanaghanana heghena, “A tamagu ke mua hau me ke mate, ma ka nia tangimate. Tana bona na posabongi ke soko, mi kakeri vaho ge ku labumatea Jacob.” 
GEN.27.42	Ma siki sakai te rongovia na hava te bosatatea Esau, ge va tughunia vania Rebekah. Ma gaia te holoa mai Jacob, ge bosa vania, “A Esau te ghanaghana ge ke lavitughugho, me ke labu mategho. 
GEN.27.43	Aeni na hava ko gonia. Ko sogha polo va ta vaivinegu Laban te hagha i Haran. 
GEN.27.44	Ko kabu kolua polo ke soko nina lei ghanaghana dika Esau itamua. 
GEN.27.45	Tana bona vaho ke nighi ponolio na lei totobo to gonighi vania, ge ku bosa vanigho gatu. Na hava na pukuna ge ku sanighau iroghau udolu ta sakai na bongi vamua?”
GEN.27.46	Ma Rebekah te ghaghua vania Isaac, “Inau to nia vahaghitaili mu nia lugu nigua na lei vinekama voo ni kemana Het. Ke vagha Jacob ke tauna siki sakai tadira, e manana ku mate nigua vaso ge ku mua ghoi righia.”
GEN.28.1	Keri ke, Isaac te holoa Jacob, ge vautoa me vania, “Ko bei tauna gea siki sakai tadira rana lei vaivine ni Canaan raini. 
GEN.28.2	Hauva, ko tona tua i Paddan-aram, tana valena kukuamu Betheul, mo ko tauna sakai na dalena vaivine a tubumu Laban. 
GEN.28.3	Ma God puku ni maana ke vautogho me ke va hegho na sonihalavu ge ko vahura na lei gari subo. Mana lei vaivarimu kara puputu ni ovu subo ni kema sule. 
GEN.28.4	Ma God ke talua ivuvungamu ma rana vaivarimu na vauto te nia baubahu vania Abraham. Mi ghoe ko loghoa na bona eni toro sinogho mai iga iroghita itaeni, na pukuna God te va hea tua Abraham.” 
GEN.28.5	Ma Isaac te nia vetena Jacob, ma gaia te tona i Paddan-aram me kabu kolua a tubuna Laban, na vaivinena tinana, na dalena Bethuel tana kemana Aram.
GEN.28.6	Ma Esau te rongovia gaia tamana te vautoa Jacob me nia vetena tona i Paddan-aram, ge ke va lavia iga na tauna, maia te hove pungisia Jacob ge ke bei tauna gea siki vaivine ni Canaan. 
GEN.28.7	Me ghilala ghua sono gaia a Jacob te taonira na tinana mana tamana ge ke tona i Paddan-aram. 
GEN.28.8	Ma Esau te righikalea gaia tamana te nira sika na lei vaivine ni Canaan raini. 
GEN.28.9	Na pukuna keri, gaia te va kaoa nina binaboli a tubuna Ishmael, me tauna a sakai na dalena na vaivine a Ishmael, na dalena Abraham, kolua nia na lei tauna te kabukolura tua. Mana ahana na vaivine vaolu te tauna ke a Mahalath, agaia na vaivinena Nebaioth.
GEN.28.10	Mi tana bona vaghana keri, Jacob te rughuhoru sania i Beersheba me tona potaa Haran. 
GEN.28.11	Tana huu ni aho gaia te va sara ta sakai na bona te uto, me kabu beto kakeri vania na bongi. Ma Jacob te kenea na vatu ge ke nia ulunga me koli horu, ge maturu. 
GEN.28.12	Mi tana bona te maturu agaia te righia na mabubuna na lata te vuivuni iani maramana ma sara ikokou. Me righira nina angel God tara dato mara horu igaa. 
GEN.28.13	Mi kokou sosokona na lata keri agaia Yahweh te tughuru ge ghaghua, “Inau na Yahweh, ma God nina na kukuamu Abraham, ma God nina tamamu Isaac. Mana bona to koli iga itaeni ke animua. Inau ku vahegho mara rana lei vaivarimu. 
GEN.28.14	Mana lei vaivarimu kara subo te vagha na pughu ni pari tana maramana. Gaira kara sepalaghi ta didira na lei bona te vuivuni uluna mi bokona, mi launa mi longana, mana lei kema tana maramana ku vautora na pukuna ighoe mana lei vaivarimu. 
GEN.28.15	Inau ku kabu kolugho mu ku pilupungisigho ivei tua ko va igaa. Inau, ta siki dani ku lavi oli tatavahalegho mai tana bona eni. Inau itamua talau polo ge ku soko na heamu na lei totobo tu nia baubahu na heamu.”
GEN.28.16	Ma Jacob te rarai, ge ghaghua, “E utuni sughua a Yahweh te kabu tana bona eni, mi nau tu mua ghilala.” 
GEN.28.17	Ma gaia te mataghu ge ghaghua, “Na bona eni te vatei mamataghugha! Aeni na valena God sughua, na mataula haghe va ikokou.”
GEN.28.18	Mi tana roropo ghana Jacob te mina me tapatughuru. Ma gaia te lavia na vatu te nia ulunga ge tughuruvaghini datoa te vaughilala nia na vatei ghanaghana oliana, keri ge lavia na kokolo ni olive me vulia nia. 
GEN.28.19	Me holoa nia bona keri Bethel
GEN.28.20	Ma Jacob te gonia nina na baubahu eni, “Ge ke vagha ighoe God ko kabu koluu mo ko pilupungisiu tana tonatona eni, mo ko vaheu na vanga mana pupulu, 
GEN.28.21	ma ge ko lavi oli tatavahaleu va ta tamagu ke, mi nau ku negho Yahweh, ge ko nigua na God. 
GEN.28.22	Mana vatu ni vatei ghanaghana oli eni ke, na bona rana vure tara holohaba iga God. Mi nau ku nia heveioli vanigho e hangavuluni na lei totobo ko vaheu mai.
GEN.29.1	Ma Jacob te tona so, me va haghe tana butonikomu iulu. 
GEN.29.2	Ma gaia te vaevanea va ihalahau e tolu na ovu ni sheep tara koli tana bona oka lilighina na tuvu. Ma rana righitaoni sheep tara hera na beti ga vanira na lei sheep, mana vatu te mava ngangata te pungisia na matana na tuvu. 
GEN.29.3	Mana vetena iga ikakeri ke, na lei ovu ni sheep udolu mughua kara mai sara ge kara lavikehaa na vatu. Mi murina kara hera tua na beti, gaira kara ghoi taovaghiniolia na vatu tana matana na tuvu.
GEN.29.4	Ma Jacob te va tona itadira rana righitaoni sheep ge huatira, “?Ivei tau haghaghau?”
GEN.29.4	Ma gaira tara ghaghua, “I Haran.”
GEN.29.5	Gaia te huatira, “?Ivei te ghaghua au ghilala so sakai na tinoni ikakeri na ahana Laban na kukuana Nahor?”
GEN.29.5	Ma gaira tara bosa tughu, “Eo, ai ghilalaa so.”
GEN.29.6	Ma Jacob te huatira, “?E vola uto so?”
GEN.29.6	Ma gaira tara bosa tughu, “Gaia te vola uto so. Ko righia va, gaia na dalena Rachel te nira mai na lei sheep.”
GEN.29.7	Ma Jacob te huatira, “Itaeni te danikama mua. E mua na bona ni aho mua ge kau savukolura na lei sheep te vagha ge kara aheahe vania na nulavi. ?Na hava na pukuna ge au mua hera ghadira beti na sheep, ge kara pulohi tana bona kara vanga iga?”
GEN.29.8	Mara ghaghua gaira, “Kai mua tangomana na boki kehaana na vatu mana va heghedira beti polo kara ghaha udolura iani na lei sheep maia rana lei righitaoni sheep.”
GEN.29.9	Mana tutugu te tona haliu so, Rachel te nira sara mai nina na sheep a tamana na pukuna agaia na righitaoni sheep. 
GEN.29.10	Mi tana bona Jacob te righia Rachel, na dalena Laban, na vaivinena tinana, mana pukuna na sheep tara nina tubuna, Jacob te tona tana tuvu me boki kehaa na vatu me hera na beti nina na ovu ni sheep a tubuna. 
GEN.29.11	Keri ge Jacob te nonginongia Rachel, mana kolobu te mai tana matana na pukuna te togotogo sule ngangata. 
GEN.29.12	Ma gaia te tughunia vania, “Inau na kulana vure na tamamu. Inau Jacob na dalena Rebekah.” Ma Rachel te mina sama tona tana tamana Laban ge bosa vania na hava te rongovia.
GEN.29.13	Mi tana bona Laban te rongovia na rongorongona Jacob, na dalena vaivinena, gaia te rughuhoru ge ke va topoa, me nonginongia. Ma Laban te lavia va tana valena, ma Jacob te bosa vania na lei totobo te kalea. 
GEN.29.14	Ma Laban te ghaghua, “Eo, ighoe sughua na puku ni vinahigu mana ghabugu heghegu.
GEN.29.14	Ma Jacob te ghahaa itatana tubuna, Laban, ta sakai na vula. 
GEN.29.15	Ma Laban te ghaghua vania, “Ko mua tangomana na lutu vaniagu ge ko mua lavia na taba na pukuna ighoe na kulagu. ?Me ngiha te liomu ge ku pelugho nia?” 
GEN.29.16	Ma Laban te loghora ara rua dalena na vaivine, Leah na kamanagho ma Rachel na tahina. 
GEN.29.17	Leah te loghoi na mata marabu, ma Rachel te ghaugharugha me matakage. 
GEN.29.18	Mana pukuna Jacob te dolovia tua Rachel, keri ge bosa vania tua tamana, “Inau ku lutu vanigho e vitu na niulu ge ighoe ko heu tua Rachel ke taugu.”
GEN.29.19	Ma Laban te bosatughu ge talamaghi, “Inau ku va hegho ighoe ku mua vahea na keha te mua ghaha ilokana na binaboli.” 
GEN.29.20	Keri ge Jacob te lutu so e vitu na niulu na peluna Rachel. Ma nina dolo vania te laga ngangata, te vagha te mua daro vania na lei niulu rakiri.
GEN.29.21	Me sara tua na bona ge koro taulaghi, ma Jacob te ghaghua vania Laban, “Ko heu mai Rachel ge koro taulaghi na pukuna tu sokoa tua nigua na lutu.” 
GEN.29.22	Ma Laban te holokolura na ghana na komukolu ge kara mai tana gougonu ni taulaghi ta Jacob ma Rachel. 
GEN.29.23	Mi tana bongi keri, tana bona te pungi tua, Laban te lavia Leah vania Jacob, ma gaia te maturu kolua. 
GEN.29.24	Ma Laban te vahea Leah a sakai na seka, a Zilpah, ge ke nina ghairau.
GEN.29.25	Mi tana puipungi ghana te rarai a Jacob, agaia te righi kalea a Leah. Ma Jacob te rutu vania Laban, “?Na hava na pukuna ge o pegou? Inau tu lutu vanigho ra vitu na niulu vania Rachel! ?Mana hava to ghanaghanaa ge o pegou?”
GEN.29.26	Ma Laban te bosa tughu, “E mua dida na vetena ge ke diki taulaghi na kamamuri tatana na kamanagho. 
GEN.29.27	Mo ko pitu koekobe kara padi ra vitu na bongi tana gougonu ni sonikolu, ge ko tauna Rachel. Hauva, mo ko ghoi baubahu vaniu mughua ge ko lutu vaniu ra vitu na niulu.”
GEN.29.28	Ma Jacob te talamaghi ge ke ghoi lutu so e vitu na niulu. Me vitu tua na bongi murina toro taulaghi a Jacob ma Leah, Laban te hea so ghua a Rachel. 
GEN.29.29	Ma Laban te hea Rachel sakai na seka, na ahana Bilhah, ge ke nina ghairau. 
GEN.29.30	Ma Jacob te maturu kolua ghua Rachel, me dolovi ngangata va vulea Leah. Ma gaia te ghoi lutui ra vitu na niulu vania Laban.
GEN.29.31	Mana pukuna Jacob te dolovia Rachel haba vulea va Leah, Yahweh te lubatia Leah ge ke logho gari, ma Rachel te mua logho gari. 
GEN.29.32	Ma Leah te logho gari me vahua na dalena na mane. Me ghaghua gaia, “Yahweh te ghilala nigua na vahaghitaili, mi taeni na taugu ke doloviu.” Keri ge holoa nia Reuben
GEN.29.33	Mi murina keri te ghoi logho gari so, me ghoi vahua na dalena na mane. Me holoa nia Simeon
GEN.29.34	Me Leah te ghoi logho gari so, me vahua sakai na mane me holoa nia Levi
GEN.29.35	Ma gaia te ghoi logho gari sono, me vahua na dalena na mane me holoa nia Judah
GEN.30.1	Mi tana bona Rachel te righia te mua tangomana na logho gari, gaia te ghaghana vania tughana. Me bosa vania Jacob, “E liogu na logho dalegu, taho ke, mu ku mate nigua vaso.”
GEN.30.2	Ma Jacob te rutu, ge huatia me ghaghua, “?Inau ke a God? Agaia God heghena vamua ke tangomana na lubatiamu ge ko logho gari.”
GEN.30.3	Ma Rachel te bosa vania, “Ko maturu kolua nigua na ghairau Bilhah, ma gaia ke vahua na gari vaniu.” 
GEN.30.4	Keri ge Rachel te vahea Bilhah ge ke tauna, ma Jacob te maturu kolua. 
GEN.30.5	Ma Bilhah te logho gari, ge vahua na dalena na garimane. 
GEN.30.6	Rachel te bosa, “God te dete maemaneu, maia te rongovia nigua na nongi ge vaheu mai na garimane eni,” na pukuna keri gaia te holoa nia Dan
GEN.30.7	Me Bilhah te ghoi logho gari sono, me ghoi vahua vania Jacob eruani na garimane. 
GEN.30.8	Rachel te holoa nia Naphtali
GEN.30.9	Mi tana lei bona vaghai raini, Leah te ghilala ke mua ghoi logho gari tua, ma gaia te vahea nina na ghairau, Zilpah, vania Jacob ge ke tauna. 
