MRK.1.1	Ne Adaghsaweaghtsera ne Gospel Jesus Christ ne Niyoh Royè‐ah.
MRK.4.19	Neoni Tsiniyakotsden’yàrouh nekea Yoghwentsyàde, ne oni ne Tsinikotshànighne Atshokowaghtsera, ne oni ne Tsinìyonikoughrod kwaght oyàs‐hou niyadeyoriwakeh ondaweyade, ondoeriòkdea ne Oweàna ne wahòeni yagh deyonenhonda‐ouh.
MRK.4.20	Neoni keagàyea ne aga‐ouha nennè egh Tsiyoghwentsiyoh kayent‐houhòene tsiyakot‐hònde ne Oweàna, neoni wa‐eyèna, neoni yakáhhewe, wakaneahhòndea, oddyake aghseaniwaghs‐hea n’agàkoh, oddyake yàyakniwaghs‐hea, oddyake easkagh Teweaniyawe.
MRK.4.21	Neoni waghsakaweahhaghse ronouhha, Ohhokàda kea ayehhewe et‐ho yayèyea Kanaghkògouh, kea teas gàyea ne Kanaktògon yèyea? Neoni yagh egh t’hayeghniyòdea Yehokadodaghkwàg?
MRK.4.22	Ikea yaghogh‐t’haorihhòdea ne aoughseghdòehak ne yagh èneh t’hiyaondoghsere: yagh oni nonweandoh oght‐haorihhòdea ayodaghseghdàouh, ok deaghnòch yeyorihhowanhàouh.
MRK.4.23	Tokàh oughka ne Rongwe, Tehhahhoughdonde raghrònkha, ràronk nissa.
MRK.4.24	Neoni wahhakàweahhaghse Tsyadeanikòerareah tsinahhòdea t’syat‐hònde: Ot‐hok Nìwadeniyenideaghtserodeàhak eayesadeniyènt‐haghse, t’karìwakónde catyondenyèndea n’ìse: neoni ìse ne sat‐hòende t’kariwakónde èso‐seahha eayèson.
MRK.4.25	Ikea raouhha ne ròyea t’karìwakónde eahòeyouh; neoni ne raouhha ne yaghdegh‐hòyea, raouhhàge n’onkadeátsyeghkwe ne tsinahòdea royèndaghgwe.
MRK.4.26	Neoni waheàrouh, Eghsèkeanìyought ne Royànertsera ne Nìyoh, tsynìyought tòkah n’onkeah ne Ròngwe yahòdyh ne Kànea et‐ho Oghwentsyàge Kaheghdàge.
MRK.4.27	Neoni ahòdawe, neoni ahatgetskoh aghsondàge neoni keaweandè, neoni ne Kànea et‐ho Akeanìo neoni aondeghyàrou, yagh dehhoderyèndare tsiniyetyèrea.
MRK.4.28	Ikea ne Oghwentsya aohha wa‐aweghyàrou tsyondoèny Yakaneahhóndea, tontyèreaghde Wakeanaghsòndea, eadeghnòe yakaghradayerìne, oghnakeànke Yaneghsdayèrine n’Oghraghdàge.
MRK.4.29	Ok ne ònea ne tsiwakeaneahhòndea yakahhewe, yokondattye Yakeanekeriyàkt‐hake wahhàyea, ne wakarihhòeny n’eayahahhoewe Tsiniyakeanekerìyaks.
MRK.4.30	Neoni wahhearouh, ka oughde noewe n’adonsagyàdderea ne Raoyanertsera Niyoh? neteas oghnahòdea donsagyatyèrea ne da‐edewarìwarea?
MRK.4.31	Keagàyea deskyatyèrea, s’Kanea‐at Mustard Kanea, ne kahá onea eayeyènt‐ho, ne Oghwentsyàge, ne eghyeyoghst‐hòuh agwègouh tsinìgouh ne Kanea‐ogoh ne Oghwentsyàge gàyea.
MRK.4.32	Ok ne ònea kayent‐hoh, ondeghyàrouh, neoni aouhha suhha wakowànha tsiniyought n’oddyàke agwègouh Ohhónde‐sòewa, neoni wakanhághtouh Yonhaghtowàneaghse, ne nonkea Tsideas‐hòewa et‐ho akonòewede Oneaghrògouh tsi‐Yoraghgwawèrrhouh.
MRK.4.33	Neoni yotkàde ne eghnìyought Teyorighwageàwaghdouh (Parables) tsiwahhadàdyh raouha ne Oweàna ronouhhàge, asé tsinahadigwèny tsironathònde.
MRK.4.34	Ok yaghdea nenné T’hadehorighwageawàghdouh tsiwahadàdi ne ronouhàge: neoni ne ònea ok ronòuhhà‐ah, raouha wat‐harighwàt‐héde agwègouh tsiyadekarìwage ne Raotyoughkwàge.
MRK.4.35	Neoni ne Saheghnisera ne ónea Yokaraghskha, raouhha waghsakaweahhaghse ronouhha, kìnyoh dewaghdeandih tewadohhets ìsinonkàdighkoh Kanyadaràge.
MRK.4.36	Neoni ne ònea saghsakonadègwaghde ne Tsinikeantyoughkwa, ronouhha raouhha wahòne, ok nè‐e n’egh ne tsirayàdyh. Kahhoeweyakowaghne ok sàne oni wahòne raouhha òya Kanikahhoewàsa.
MRK.4.37	Neoni et‐ho noewe ontketskoh kowànea Owrouh watkaweraghkwe, neoni tsiwatyongwareeghsde waòyeaghde ne Kahoeweyàt, ne se wahòeni ònea wakaghnèkanaghne.
MRK.4.38	Neoni raouhha oghnàgea‐nòewe t’hayàdih ne Kahhòewakouh, ròdàs rotkòesere, neoni wahoewàyeghde, neoni wahoeweahhah Seweanìyo yaghkea‐deghseghre wa‐agweahheye?
MRK.4.39	Neoni wahatketskoh, neoni wahhàrisde tsiyaòde, neoni waghreahhaghse ne Kanyàdara skeanea, dàs‐dòdek. Neoni ne Yaòde wakawereant‐ho, Wahhondarayewènt‐hoh.
MRK.4.40	Neoni ronouhha waghsakaweaghse, oghnea nè‐e esòtsy wesewaghderòne? oghna‐àwea ne yaght‐ha tediseweghdàghkouh.
MRK.4.41	Neoni ronouhha kowànea wahhodighderòne, neoni wat‐hondadeahhaghse, ogh‐nòe niyotyèrea tsinihayadòdea nekea, egh nenè ok oni ne Owerouh ne on’né Kanyàdare wahhoweanàraghwe.
MRK.5.1	Neoni ronouhha èrea n’akanyadaràdyh, yahhòenewe Enakeraghserakohhe Gadarenes.
MRK.5.2	Neoni ne ònea wahadidaghkoh ne Kahhòewakoh, yokondatyea wat‐hoewaderaghde egh dàyea Tsiyeyattadarryouh n’Ongweh yodàks‐hea Kanigòera ratyeànib.
MRK.5.3	Raouhha egh t’hihanakere Tsiyehàttadarryoh, neoni yaghoughka n’Ongwe t’hayegwèny, akhoewanereanke, yaghtea oni Tsinewat‐honwaristodarrhoh.
MRK.5.4	Ne karihhòeni yodkàde ronwaghnereaghne ne Teyondaderistodarrhoghst‐ha, neoni ne Tekaristodarhòeh t’hadewadòdarighsyh tsiraghnereaghne, neoni ne Teyondaderistodarrhoghst‐ha t’hadewadeyàkhoe; yagh oni oughka n’Ongwe t’hayegwèny aaghsakoreànha.
MRK.5.5	Neoni t’yodkouh, Aghsondàge neoni Eant’yeghke, et‐ho ìrése Tsiyonondennyouh, neoni Tsiyondattyadatta‐àghst‐ha, raweanodattyèse, neoni rodadnereahattyèse Oneàya ràt‐ha.
MRK.5.6	Ok tsi ònea yahotkaght‐ho Jesus ìnouh‐niyòre, wat‐haraghdade neoni wahhonideaghtea raouhha.
MRK.5.7	Neoni wat‐haghseant‐ho roweàndeght neoni wahheàrou, nahhòtea takwatsteristaghkwa, Jesus, ìse Yesayè‐ah nene Enegeaghtsy Nivoh? t’kàkondáne Raghseanagouh Niyoh ne toghsa takeroughyàkeant.
MRK.5.8	(Ikea wahheàrouh raouhhàge, katsyàgean ne Rayàdakoh ne Ròngweh, ìse yodaks‐heah Kanigòera.)
MRK.5.9	Neoni wahorighwanòndouhse, nahhotea yesàyats? neoni raouhha dahhadàdy, wahheàrouh, Legion yonkyats: ikea yongwat’kàdése.
MRK.5.10	Neoni agwagh èso wahhorighwanègea raouhha nene yagh‐t’honsaghsakodegwaghdàne ronouhha ne Enakeraghseràgouh.
MRK.5.11	Oewa et‐ho kea niyorè‐ah nà‐ah Yonondennyouh, Yodityoghkowànea koewadinoughnattyèse Kuskus yonadekhonihattyèse.
MRK.5.12	Neoni agwègouh ne Oneghs‐houghrono‐òkouh wahhoewarighwanègea raouhha, wakonnìrouh, etho nonkà takwadègwaght Kuskusn’eh, nenè n’eayagwadaweyàdea onouhha.
MRK.5.13	Neoni yokondattyea Jesus dahhawerohhatyea onouhha. Neoni ne Kanikoughraksease wakondiyàgeane neoni waonadawevàdea Kuskus, neoni Tsiniyodityoughkwa wàtkoeràghdade yakontsneaghde Teyoghròewis et‐ho Kaniadaràgouh (Tekonnyaweeghtseraghsea ne oughdeh) neoni et‐ho wakondoeryokdea Kanyadaràge.
MRK.5.14	Neoni ronouhha ne radinòendeaghsgwe ne Kuskus wahhondègoh, neoni yonsahhontròry ne Kanàdágoh, neoni tsiyenakeronnyouh. Neoni et‐ho wàeaghde ne ayontkaght‐ho tsinahhòtea tsina‐àwea.
MRK.5.15	Neoni et‐ho wàoewe wahhoewayatòreane ne Jesus neoni wahhoewatkaght‐ho raouhha ne Oneghs‐houghrònouh rodeweaniyoughsdeanìghne, nène Legion, et‐ho reanderouh, neoni shohhere neoni ronikoughrayèry neoni ronouhha wahhodighderòne.
MRK.5.16	Neoni ronouhha ne wahhont‐kaght‐ho, wahhont‐ròry ne tsinahoyàdawea raouhha ne Oneghshoughrònouh rodeweaniyoghsdeanighne, neonì ne tsina‐awea ne Kuskus.
MRK.5.17	Neoni ronouhha tahondaghsawea wakhoeweanideaghtea raouhha ne èrea oesàreghde ne ronouhha Raonadoughwentsyàge.
MRK.5.18	Neoni ne ònea et‐ho wàrawe Kahòewakouh, raouhha ne Oneghs‐houghrònouh rodeweanìyoghsdeanighne, wahhonideaghtea nene a‐aghnèseke raouhha.
MRK.5.19	Ok sàne, Jesus yaghdeh‐hawèrou et‐ho niyàwea, ok deaghnòe wahhaweahhaghse, sasaghdeàndyh egh sàseght tsit’yèdéron ne Shènoghkwe, sheghrorighne Tsinikarihhowànea ne Royàner tsinahhyàyere tsinahhyat’yèráse, neoni tsinahhyeàdeare;
MRK.5.20	Neoni raouhha èrea sàreghde, neoni tahhadàghsáwea wahharihhòwanaghde et‐ho Decapolis, Tsinikarihhowàneaghse Jesus tsinahhotyèráse raouhha; neoni agwègouh n’Ongweh wahodineghràgo.
MRK.5.21	Neoni ne ònea Jesus sahhadóhhetsde àre ne Kahhoeweyàge ne èrea nonkadìghkon, éso Ongwe waontkeanissa‐a raouhhàge, neoni ráouhha ok èt‐ho Kanyadaràge.
MRK.5.22	Neoni satkaght‐ho, èt‐ho dàre shayàdad ne nè Radirighwakwadàckwaghs ne Synagogue, Jaìrus roewàyats, neoni ne onea wahot’kaght‐ho raouhha raghsìge wahhatyadòndyh.
MRK.5.23	Neoni agwagh wahhorighwanègea raouhha, ràdouh, kaniyagà‐ah Kheyèa‐ah yeyat’yòny yaihhèyoughse, wakoeyeanideaghtea èt‐ho à‐aghseghde neoni a‐aghseanisnoughsarea aouhhàge, nene onsayotsyende, neoni eayonheke.
MRK.5.24	Neoni Jesus sàhne raouhha, neoni èso Ongwe wahoewaghnonderattyeghde raouhha, neoni wathoewanétst‐haraghde.
MRK.5.25	Neoni kayadatògea Tyodhoewìsea òya Karaghkwa tekeni Syoghseràre et‐ho shiyoyàdaweaghse,
MRK.5.26	Neoni èso yorìwake tsiniyoroughyàgea oni èso Yorìwake n’Atshinaghkeànta nahhòtea, neoni agwègouh yodeanhàghdouh tsiniyoyèndaghkwe, neoni yaghot‐hénoe teyokwennyoh ok hègea annyough suhha dakarighwakeannyade.
MRK.5.27	Ne ònea shòerónke ne Jesus, et‐ho òewe tsideyeghsìhháre oghnàgea nonkàdih, neoni yagayéna ne Ra‐onènah.
MRK.5.28	Ikea wageàrouh, tògà ne ok ne yakyèna ne Raonènah, èt‐ho easkyeweàndáne.
MRK.5.29	Neoni agwagh oksaok tsinityawènouh n’Aonegweaghsa oughstatt‐hea: neoni yahhontstògea ne Kayerònke nene tsisakoewatsyende tsiniyoyadaweaghskwe.
MRK.5.30	Neoni Jesus yokondatyea roderiyèndare raonha‐tseràgouh oughdeàndih Kàshatsteàghsera, wàt‐hadaghradenìhhoh Keantyoghkwagouh, wahheàrouh, oughka wakayèna n’Akènah?
MRK.5.31	Neoni ne Ra‐otyoughkwa wahhoeweahhaghse, deghskànere Keantyoghkowànea teyesanetst‐haraghdohhattyea, nene sàdon, oughka yahhonkyèna?
MRK.5.32	Neoni raouhha wat‐hat‐kaght‐honnyoewe t’hadaghgwadasède ne ahat‐kaght‐ho aouhha nenekea ètho nakàyere.
MRK.5.33	Ok ne Tyot‐hoewìsea watyodouhhareàrouh neoni waoyadisshoughkwe, yoderiyèndaretsina‐awea n’aohhàge, òewe èt‐ho, neoni eghdàge ontyadòendyh raoheàndouh, neoni wahhoghròry agwègouh t’karighwayèry ne Tòkeaghske‐òewe.
MRK.5.34	Neoni waghreahhaghse, Koeyèa‐ah, Tsidiseghtaghkouh ne sesatsyende: wà‐as skeànea t’hitsisanikoughròendak, neoni sasàdouh tsiniasyàdaweaghskwe.
MRK.5.35	Aghsouh roght‐hare ’nea wàoeweh tayeyeàghtaghkwe tsit‐honoughsode ne Rarighwagwadackwaghs ne Synagogue nè e wa‐aìrouh, Sheyeà‐ah ’nea yaweahhèyouh: oghneanè suhha ok deaghsenikourhàrea ne Raweanìyoh sègouh isi nòewe?
MRK.5.36	Agwagh ne ok Jesus wahhàronke ne Oweàna n’egh waondàdy, wahhaweahhaghse n’èt‐ho ne Rarighwakwadackwaghs ne Synagogue, toghsa aesaghderòne, ne ok ne kaseghtaghkòehak.
MRK.5.37	Neoni waghshakonhèse yaghughka n’Ongwe ne ahoewaghnonderatyeghde, ne ok ne Peter, neoni James, neoni John, ne Yadadegeà‐ah ne James.
MRK.5.38	Neoni wàrawe Tsironoùghsode ne Rarighwakwaddackwaghs ne Synagogue, ne òni wahatkaght‐ho yoritstare, yontstàrouh agwàgh yondadenàse.
MRK.5.39	Ne ònea Rodaweyàdouh, waghshakaweahhàse, oghneà nè‐eh ne kea tsinisewatyèrea oni sewatstárrha? ne ok nekea ne yòdás ne Kayàdáse.
MRK.5.40	Neoni wahoewaghsdèrisde wa‐akokeaghràdea. Ok ne ònea agwègouh saghsakoyadinnegeáwe, ne yaghs‐hakoyadeáhhawe ne Roniha neòni ne Onisteáhha ne Kaksà‐ah, neoni ronouhha ne tsinihadì ne raouhha rònene, neoni yahhondaweyàde tsinòewe t’yeyattyòeny ne Iksàkeahha.
MRK.5.41	Neoni raouhha tahhanunts‐ha ne Kaksà‐ah, neoni wághreaghse, (
MRK.5.42	Neoni agwagh oksaok ne Kaksá‐ah ontketskoh neoni oughdeàndyh; Ikea tekeni‐yoghseràre tsinityòyeah; neoni wa‐akorighwaneghràgo ne kowànea Yorighwaneghrackwaght.
MRK.5.43	Neoni waghsakorihhòendeane agwègouh, yaghoughka n’Ongwe t’hayakoderiyèndaráne: neoni waghsakaweaghse kassenouh eaghska énouh ne a‐àonke.
MRK.6.1	Neoni sahhayàkeáne wàreghde, neoni et‐ho sàrawe tsi raouhha agwagh ranakere, neoni Raotyoughkwa roewaghnonderattye.
MRK.6.2	Neoni ne ònea Wa‐aweandadogeaghdàne, tahhadaghsawea waghsakorihhonnyea et‐hòne Syno?-?gogue: neoni yawetowànea yakott‐hòende na‐ah, wa‐akorighwaneghràgoh, waìrouh, Kàh oughde?-?nòe tahhawe nekea‐ea Tsinikarihhòdease? neoni oghna Kanikoughròdea oughde ne roewàwyh, ne kì nong?-?keah n’agwagh Kayodeaghseràs‐hatsde yoyòdeh ne Rasnònke?
MRK.6.3	Wahhy yagh kea nè dègeah ne Ranoughsò?-?nighs, Royèa‐ahy ne Mary, ne Yadadegea‐ah ne James neoni Joses, neoni ne Judas, neoni Simon? neoni wahhy yagh kea ne Rondeanoseahhah keant‐ho oghseròeni deweanderouh? neoni t’ha‐hodi?-?keaghràdea raouhhàge.
MRK.6.4	Ok Jesus waghsakaweahhaghse ronouhha, Prophet et‐ho nòewe ok yaght‐ha hoewàkon?-?nyeghsde, tsi agwagh ne raouhha ranakere, neoni ok Otyoùghgwákouh ne Radàddénoughwe, neoni tsi?-?Konoughsode ne raouhha.
MRK.6.5	Neoni yagh nè et‐ho tehhotyèrea Akayo?-?deaghseràs‐hatsdège, ne kìok na‐ah nene Waghs?-?hakonisnoughsarea toghkarra Niyongwèdake n’Ya?-?konoughwakdanyh, neoni saghs‐hakotsynde.
MRK.6.6	Neoni wahhoneghràgo ne wakarihhòeny tsi?-?Yagh‐detyakaweghdàghkouh. Neoni wahhaghdeàndy wahatkwadóewe et‐ho tsikanadayèndo nà‐ah, shakorighhonnyèny.
MRK.6.7	Neoni yaghsakònonke raouhhàge ne Teke?-?nis‐hadìre, neoni tahhadaghsawea ne yaghsakonhàne ronouhha teyongwèdakehhattye, neoni waghs‐ha?-?gàouh Kaes‐hatsdeaghtsera n’eayoghtòrarake ne wahhetkea Ranigòera.
MRK.6.8	Neoni waghsakaweahhaghse ronouhha nene yaghot‐hènoh t’hahadíhhawe ne Raonat‐hahhì?-?nonke, ne ok n’Adeànits yadekayàdyh: yagh‐oni ne Scrip, (Kàyare) yaghtea oni ne Kanàdarohk, yaghtea oni n’Oghwìsda aondaghke n’Akoghna?-?datseràgouh:
MRK.6.9	Ok ne ok ne teayakoghdarryonke Aghta: neoni yaghtea ne takenìhake n’Akodyàdawid.
MRK.6.10	Neoni wahhearouh n’onouhhàge, ot’hok Ni?-?wadoughwentsyodeàhak tsinòe n’eassewawe easewa?-?daweyade Kanoughsagouh, et‐ho easeweanderòndake tsi‐èrea n’eatsisseweghde ne et‐ho Wadough?-?whentsyàde.
MRK.6.11	Neoni oughka kì‐ok ne yaght‐ha yets‐hi?-?yèna, yagh oni t’heayets‐hiyat‐hòndeke, ne ònea èreah eatsisseweghde, ne et‐ho tsyakeàrawak ne Ogeàrare ne Tsyaghsìdakouh, Ikea ne eawatrorih?-?heke ronouhhàge nonkàdy. Agwagh wagweahhaghse, seahha na‐ah teayonoughyanìghdáne ne tsiniyaweà‐ouh ne Sodom neoni Gomorrha n’eaweghniseràdeke Tsinadeayondattyadòreghde, n’et‐ho Kanàdayea.
MRK.6.12	Neoni wahhoughdeàndy neoni waghderigh?-?waghnòdouh ne Ongwe ne onsayondatrewághde.
MRK.6.13	Neoni ronouhha sahhadiyadinnegeawe yawetowànea Oneghs‐houghrònouh, neoni waghs‐ha?-?konoughkawe Geàyéh yawetowànea nene Yakonough?-?wákdany, neoni saghsakoditsyende.
MRK.6.14	Neoni Kòragh Herod wahhàronke raouhha Jesus (Ikea ne Raoghseàna wadewaderighwarènyh wakarihhowànha) neoni wahheàrouh, nene John ne Sakoghnegosseraghs shotketsgweah tsihaweahhe?-?youghne, ne gadi wahhòeni Kayodeaghseràs‐hatsde tsinahontyérea wahhaderihhòwanaghde ronouhha raouha‐tseràgouh.
MRK.6.15	T’higàde ne waìrouh, ne wahhy Elias. Neoni t’higàde oni waìrouh Prophet nè keà‐eah, kea deas gàyea nè‐e easkagh ne Prophet‐hògouh.
MRK.6.16	Ok ne ònea ne Herod wahhàronke na‐ah, wahheàrouh, John negea‐eah raouhha ne Renìyarri?-?yàgouh, raouhha shotketsgwea Keahhéyàdne.
MRK.6.17	Ikea Herod raouhha yeghs‐hakonhàouh neoni roewayèna ne John, neoni roewànerea raouhha roewanhòdouh Ranaghskwa Ikea Herodias orìwa, raouhha Yadadegea‐ah Philip Ròne; ikea raouhha rodinyàkouh n’aouhha.
MRK.6.18	Ikea ne John raweàny ne Herodeghne, kea det’karighwayèry ne kea n’ìse doesetsyaderàne ne Tsyadadegeà‐ah Ròne.
MRK.6.19	Ne gàdy wahhoèni ne Herodias teyori?-?warhèouh raouhhàge nongadyh, neoni ahhorryoke raouhha, ok yagh deyokwennyouh.
MRK.6.20	Ikea Herod wahotsàníge ne John, roder?-?yèndáre Yongwedìyoh, neoni Royadadogeaghty, ne rodeanikòerare raouhha; neoni ònea rodeweanat?-?hònde, èso Yorìwake tsinahhàyere, neoni tsirode?-?weanat‐hònde wahats‐heanòenyh.
MRK.6.21	Neoni ne ònea waoweyeastàne yahhondegh?-?nìseríhhewe, nene Herod Weghnisera tsinihonake?-?ràdouh waghs‐hakaweanyòdea ne Raoyanetdaòkouh, Radighseanowàneaghse, neoni ne T’hadiyadagwenìyose ne radinakere Galilee:
MRK.6.22	Neoni ne ònea n’Akoyéyah ne Herodias dondaweyade, neoni watkanonnyagh‐kwe, neoni tah?-?haweridiyòne Herod, neoni ronouhha ne easkaghne radìderouh ne raouhha, ne Kòrah waghreahhaghse ne Kayàdase, Takerighwanòndouh tsiok nahhòtea eaghsérheke, eankòeyouh.
MRK.6.23	Neoni yorighwaghnìrouh wahhaweaneàndáse, tsioknahhòtea eaghskerighwanòndoughse, ne eankòe?-?yoh n’ìsse, èt‐ho ne sadewaghseànea niyekanihharàne Tsiniwakyaneghtsera.
MRK.6.24	Neoni soughdeàndy, neoni wa‐aweahhaghse n’Onisteahhah, ot‐oughde nahhòtea eankerighwanòn?-?doh? neoni wageàrouh ne Raonòntsy ne John ne Shakoghnegosseraghs.
MRK.6.25	Neoni sàwéghde agwagh oksaok watyoghs?-?terihhea et‐ho Koraghne, neoni wakarighwanòndoh, wageàrouh, kenòewese nene ìse a‐aghskouh oewah Kèghratne ne Ra‐onòentsy ne John ne Shakoghnekosseraghs.
MRK.6.26	Neoni ne Kòrah yoneghrackwaght wahha?-?weryendakshea: ok shègoh sàne ikea ne ne Aorìwa tsiniyorighwaghnìrouh rodàdyh, neoni ikea ne Ra?-?odirìwa ne raouhha easkaghne radìderouh, yagh?-?deh‐hanòewese n’ahaweanóndyh.
MRK.6.27	Neoni yokondattye ne Kòrah yaghshakonhàne ne Shakòdirryoghs, neoni waghshageaweahhaghse n’eantyénhawe ne Raonòentsyh: neoni wàreghde neoni yahhonnyàrriake raouhha et‐ho Tsinanàghs?-?gwayea.
MRK.6.28	Neoni wa‐ehhewe ne Raonòentsy Keghràtne karattye, neoni yakòeyouh ne Kayàdase: neoni ne ya‐à‐ouh ne Onisteahhah.
MRK.6.29	Neoni ne ònea ne Raotyoughkwa wahhòeronke, et‐ho whhònewe neoni wat‐hàdighkwe ne Raoyeroendakeahha, ne oni et‐ho yahhadìdea Tsiyondattyadada‐àghst‐ha.
MRK.6.30	Ne oni ne Apostlehògouh wahhontkeanissà oghseròenih et‐ho Jesusne, neoni wahhoewagh?-?ròry agwègouh n’othènouh, detsyàrouh ne tsinah?-?hontyere, neoni tsinaghsákodirihhonnyeh.
MRK.6.31	Neoni was‐hasaweahhaghse kàro kasseneght t’hatsyouhhà‐hak Karhàgouh noewe, eadesewadorìss?-?hea nyàre: Ikea àsé yawetowànea yagohattyeh neoni tsyakoghdeandyouhhattyeh, neoni ne ronouhha yaghde‐yàweght ahonoerisseàndáne are oni ne ok ne dahontskàhouh.
MRK.6.32	Neoni èreah wahhòneghde et‐ho Karhàgouh noewe Kahhonweyagowaghne ok adaghsegh?-?dòenke.
MRK.6.33	Neoni wahhoewadìgea n’Ongweh ronouhha tsi‐èrea wahhòneghde, neoni yotkàde ne wahhoewayènderéne raouhha, neoni watyòeraghdade egh?-?dageghshouh et‐ho nongadih tayoughdeantyònkoh agwègouh tsi‐Kanadayèndouh, neoni yahhoe?-?wàdy yatòreane, neoni wàoewe oghseròenih raouhhàge.
MRK.6.34	Neoni Jesus, ne ònea tahhayàgeane, ne wagh?-?sakotkaght‐ho Sakotyoughkowànea, neoni ne wa?-?honikoughràreke ne Keandearouh ronouhhàge, ne wahhoni ronouhha aniyought Teyodinagaron?-?dòe‐ah yagh‐eas‐hìgea deyodìyea n’Akoewadikagh?-?datyèseke: neoni tahhadaghsawea waghsakorihhonnyeh ronouhha èso Yorìwage.
MRK.6.35	Neoni ne ònea ìnouh Ondeghnisereaháwe noewa, Raotyoughkwa raouhhàge wahhònewe, neoni wahhóeweaghse, Karhàgouh wahhy ne keànt‐hoh, neoni nonwa ne n’isinih tsi Ondeghniserìne.
MRK.6.36	Sas‐heyadègwaght, soughdeàndyh nene yoe?-?sahhònewe Tsityenakeronnyoh, neoni et‐ho tsi‐Ka?-?nadayendòe‐a, neoni ahondatnìnoese Kanadarohk: Ikea yaghot‐hènoe dehhodìyea n’ahàdige.
MRK.6.37	Raouhha tondahhadàdy wahheàrouh ne ronouhàge, yetshìyoh n’ìse n’eahhàdige. Neoni sahhoe?-?weahhaghse raouhha, Eayagwaghninoehha kea nàah tekeni Teweanyawe (penny) tsinea‐yoghs‐heagh?-?seraghske ne Kanadarohk, neoni eayahhìyouh ronouhha ne eahhàdeke?
MRK.6.38	Raouhha waghsakaweahhaghse ne ronouhha, do ni‐Kanadaràge sewàyea? wàsene yatsyat‐kaght?-?hoh. Neoni ne onea waditòkeaghse, wahhonnìrouh wisk, neoni Teckeantsyàge.
MRK.6.39	Neoni raouhha waghsaweahhah agwègouh eghdàge yondedaràyea Eakeantyoghkwadogeahhà?-?donke et‐ho Ohhondàge.
MRK.6.40	Neoni waondedaràyea Tekaneàradennyouh, ne Teweanyawe‐ehattye neoni wisksouh Niwaghs?-?heahhattye.
MRK.6.41	Neoni ne ònea wàtraghkwe ne wisk ni’Ka?-?nadaràge, neoni ne Teckeantsyàge, Karoughyàge ya?-?hat’kaght‐hoh, neoni wahhayadadìrihsde, neoni wàt?-?hayàk‐hoe ne Kanadaroh’k, neoni yaghshagàouh ne Raotyoughkwa, ne oheandou àghsakodiyeàhaghse: neoni ne Teckeantsyàge wahak‐haghsyoènkoh Rao?-?dityoughgwakouh agwègouh.
MRK.6.42	Neoni ronouhha agwègouh wahhàdike, neoni wahhonaghdàne.
MRK.6.43	Neoni doesahàdighkwe tekeni yaweàre Ni?-?wat‐hèrake ne Wa‐akokwìne, neoni ne Keantsyoh.
MRK.6.44	Neoni ronouhha nene wahhàdike ne Kanadarohk wisk Niweanyawe‐eghtseraghsea oughde Ongwe (niyongwèdake).
MRK.6.45	Neoni agwagh oksaok raouhha t’hondagh?-?sakonough dòese ne Raodyoughkwa n’oesahhonditta ne Kahhoeweyakowaghne, neoni n’ahhoughdeandy ne èrea nongadighkouh ohheàndou ne et‐ho Bethsaida, aghsouh ne raouhha easeghsakodègwaghde tsini‐Keantyoughkwa n’eatsyoughdeàndyh.
MRK.6.46	Neoni ònea tsyakoghdeantyonke, raouhha aèrea wàreghde Onontohharàge ne et‐ho yahadereà?-?nayea.
MRK.6.47	Neoni ne onea Yokaraghskha, ne Kahhoeweyakòwah ’nea Sadekanyadarrhea nòewe, neoni rà?-?ouhhà‐tsiwa et‐ho Eghdiyògeh.
MRK.6.48	Neoni waghsakot‐kaght‐ho ronatoriànerouh rodikawehhattyeh: (ikea akde tsinityowereáhha ro?-?diweraghraouhhattyea) neoni ònea oughdeh kayè?-?rihhadont Tsiniyodaghsondadihhea et‐ho wàreghde ronouhhàge, ìreh Kanyadaràge, neoni ashakotohhets?-?deany ronouhha.
MRK.6.49	Ok ne ònea ronouhha wahhoewatkaght‐ho raouhha ìreh Kanyadarage, wahhònere ok Adonhets kea? neoni wat‐houghseant‐ho oksa.
MRK.6.50	(Ikea ronouhha agwègouh wahhoewat‐kaght?-?ho, wahhonaderoughyeaghtea:) neoni yokondattyeh raouhha waghshakoweànaráne, neoni washakaweah?-?hase, sewanìgoghraghnirouhhak, I‐ih ne keà‐eah, toghsa a‐esewaghderòne.
MRK.6.51	Neoni et‐ho wàreghde ronouhhàge et‐ho Kahhòewakouh; neoni wa‐atkewearìyáke tsiyaòde: neoni ne‐e nè koewàyats wahhodinikoughrinnegeane ronouhhatseràgouh, neoni yeyottohhetsdouh wahho?-?dineghràgo.
MRK.6.52	Ikea ronouhha yat’ha tehhodiyadoreghdouh ne tsiniyotyanàdouh ne wisk ni‐Kanadaràge: ikea ronouhha Raoneriane nà‐ah kaniràdouh.
MRK.6.53	Neoni ne ònea wat‐hondohhersde ne reanoe?-?gàdy, wahhòne et‐ho Oghwentsyàge ne na‐ah Gen?-?nesaret, neoni Atsyàkta wahhòneghde.
MRK.6.54	Neoni ne ònea ronadidàghkweáne Kahoewe?-?yagowàghne, agwagh oksaok wahhoewayènderéne nené raouhha,
