MAT.1.1	Huā'mā' lista ū'tza' ī'xū'nāpap Jesucristo ē xla' ī'xū'nātā'nat David ē nā Abraham.
MRK.2.13	Palaj tunca Jesús a'mpālh na ixquilhtūn mar. Ixlīpō'ktuca'n tachi'xcuhuī't talaka'lh ē ixcāmāsu'yuni'. 
MRK.2.14	A'cxni' Jesús ixa'mā'lh, tētaxtulh jā ixmātā'jīni'ncan līxokot ē laktzī'lh Leví ixka'hua'cha Alfeo. Jesús huanilh:
MRK.2.14	―Caquistā'la'ni'.
MRK.2.14	Xla' tāyalh ē stālani'lh.
MRK.2.15	Milh a'ktin quilhtamacuj a'cxni' Jesús ixuā'yamā'lh na ixchic Leví. Tachā'lh lhūhua' mātā'jīni'nī'n līxokot ē ā'makapitzīn tī ixcālakmaka'ncan. Xlaca'n ixcātā'huā'yamā'lh Jesús ē ī'scujnu'nī'n. Lhūhua' tī ixtastālani'. 
MRK.2.16	A'cxni' xamākelhtahua'kē'ni'nī'n līmāpa'ksīn ē fariseos talaktzī'lh ixcātā'huā'yan mātā'jīni'nī'n ē ā'makapitzīn tī ixcālakmaka'ncan, tahuanilh ī'scujnu'nī'n Jesús:
MRK.2.16	―¿Tū ixpālacata cātā'huā'yan Jesús mātā'jīni'nī'n ē tī jā tzeya chi'xcuhuī'n?
MRK.2.17	A'cxni' Jesús kexmatli huā'mā' tachihuīn, cāhuanilh:
MRK.2.17	―Xlaca'n tī jā tata'jatatla jā tamaclacasqui'n doctor. Xmān tī tata'jatatla tamaclacasqui'n. Quit jā icmilh iccāputza tī tapuhuan xlaca'n lactze. Icmilh iccāputza tachi'xcuhuī't tī taca'tzī jā tze xlaca'n.
MRK.2.18	Ī'scujnu'nī'n Juan ē fariseos makatunu' ixtalīhui'lī jā ixtahuā'yan. Makapitzīn chi'xcuhuī'n talakmilh Jesús ē tahuanilh:
MRK.2.18	―Ī'scujnu'nī'n Juan ē nā ī'scujnu'nī'n fariseos makatunu' talīhui'lī jā tahuā'yan. ¿Tū ixpālacata miscujnu'nī'n pō'ktu quilhtamacuj tahuā'yan?
MRK.2.19	Jesús cāhuanilh:
MRK.2.19	―Xlaca'n tī cā'invitarlīcanī't jā tamakaxtokmā'ca, ¿ē natalīhui'lī jā catitahuā'yan? Līhuan cātā'lahuī'lhcus squi'nīni', natahuā'yan ixamigos. 
MRK.2.20	Namin a'ktin quilhtamacuj a'cxni' nalē'ncan squi'nīni'. A'cxni' namin tzamā' quilhtamacuj, jā catitahuā'yalh ixamigos ixpālacata natalīpuhuan. (A'cxni' Jesús cāhuanilh huā'mā', ixlīchihuīna'mā'ca ixlē'cstu.)
MRK.2.20	Jesús cāhuanipālh:
MRK.2.21	―Huā'mā' tū quit icmāsu'yu, ū'tza' xasāsti'. Palh catīhuālh namākentaxtū ē nā mākentaxtūcu'tun ixtahui'latca'n mixū'nāpapna'ca'n, xla' nala hua'chi chā'tin tī nasita xasāsti' lu'xu' nalīlactza'pa' xamasni'. Xasāsti' lu'xu' nata'a'ktimī ē nastanca xamasni' ē a'ntza' jā taxtī'tli ā'chulā' ka'tla' nala. 
MRK.2.22	Xaxcān uva tū jāna'j xcu'ta, jā tī chā'tin catipūmojōlh xamasni' ixko'xka' purecu'. Palh chuntza' ixtlahuaca, napanka ko'xka' a'cxni' naxcu'tan xaxcān uva. Namojōcan xasāsti' nac ko'xka'. A'cxni' naxcu'tan, jā catipankli. Chuntza' jā pāxcat catilalh ko'xka' ē jā catitaxtuni'lh xaxcān uva ―cāhuanilh Jesús.
MRK.2.23	A'ktin quilhtamacuj tū ixpūjaxcan, Jesús ixcātā'tētaxtumā'lh ī'scujnu'nī'n nac a'ktin cā'tacuxtu. Xlaca'n tatzuculh ta'ī' pātin pātu' tza'ktza'. 
MRK.2.24	Palaj tunca tahuanilh Jesús fariseos:
MRK.2.24	―Cala'ktzi'. Miscujnu'nī'n tascujmā'nalh ē chuhua'j quilhtamacuj tū pūjaxcan. Chuntza' jā mākentaxtū ixlīmāpa'ksīn Moisés.
MRK.2.25	Jesús cākelhtīlh:
MRK.2.25	―¿Ē jā līkelhtahua'kanī'ta'ntit tū tlahualh David a'ktin quilhtamacuj? Xla' ē tī ixtatā'a'mā'nalh ixtatzi'ncsa ē cāsputni'lh līhua'. 
MRK.2.26	Tanūlh na ixchic Dios a'cxni' Abiatar xapuxcu' pālej ixuanī't ē hua'lh pāntzīn tū ixmālacnūcanī't Dios. Jā minī'ni' ixua'lh huā'mā' pāntzīn ixpālacata xmān pālejni' tzē natahua'. Nā David cāmaxquī'lh chi'xcuhuī'n tī ixtatā'a'mā'nalh.
MRK.2.27	Nā Jesús cāhuanilh:
MRK.2.27	―Dios tlahualh quilhtamacuj tū pūjaxcan ixpālacataca'n tachi'xcuhuī't ē jā tlahualh tachi'xcuhuī't ixpālacata quilhtamacuj tū pūjaxcan. 
MRK.2.28	Chuntza' quit Chi'xcu' xala' Tālhmā'n ē tzē na'icmāpa'ksī tū natlahuacan a'cxni' quilhtamacuj tū pūjaxcan.
MRK.3.1	Jesús tanūpālh na ixtemploca'n israelitas. Ixuī'lh a'ntza' chā'tin chi'xcu' tī ixmacascācnī't. 
MRK.3.2	Tachi'xcuhuī't ixtamaktaka'lhmā'nalh Jesús palh namātzeyīni'n tzamā' quilhtamacuj tū pūjaxcan ixpālacata ixtalīmālacsu'yucu'tun. 
MRK.3.3	Jesús huanilh chi'xcu' tī ixmacascācnī't:
MRK.3.3	―Cata't ē catāya' na quilacpu'na'i'tātca'n.
MRK.3.4	Cāhuanilh tachi'xcuhuī't:
MRK.3.4	―¿Tū ā'chulā' minī'ni' tlahuacan quilhtamacuj tū pūjaxcan? ¿Ē na'ictlahua tū tze o tū jā tze? ¿Ē minī'ni' na'icmakapūtaxtū chi'xcu' o na'icmaknī?
MRK.3.4	Xlaca'n ca'cs ixtahui'lāna'lh. 
MRK.3.5	Jesús cālaktzī'lh ixlīpō'ktuca'n tī ixtalītamacsti'li'nī't. Ixsītzī'yālh ē nā ixlīlīpuhuayālh chī jā ixtalakalhu'man ta'jatatlani' ē huanilh chi'xcu':
MRK.3.5	―Castu'ncti mimacan.
MRK.3.5	A'cxni' stu'ncli ixmacan, tzetza' ixuanī't. 
MRK.3.6	Palaj tunca fariseos tataxtulh ē tatā'chihuīna'nli ixchi'xcuhuī'n Herodes chī natalīmaknī Jesús.
MRK.3.7	Jesús a'lh na ixquilhtūn lago ē ī'scujnu'nī'n tatā'a'lh. Lhūhua' tachi'xcuhuī't xalanī'n nac estado Galilea tastālani'lh Jesús. A'cxni' takexmatli pō'ktu tū tlahualh Jesús, talakmilh nā xlaca'n xalanī'n nac estado Judea. 
MRK.3.8	Xalanī'n nac Jerusalén ē xalanī'n nac Idumea talakmilh Jesús. Xlaca'n xalanī'n ixtuntacut nac xcān Jordán ē xalanī'n lacatzuna'j cā'lacchicni' Tiro ē Sidón nā talakmilh. Lhūhua' tachi'xcuhuī't talakmilh Jesús a'cxni' takexmatli tū tlahualh. 
MRK.3.9	Cāhuanilh ī'scujnu'nī'n catacāxui'līlh a'ktin barco jā natojō ē chuntza' lhūhua' tachi'xcuhuī't jāla catitatancsli. 
MRK.3.10	Lhūhua' ixcāmātzeyīnī't ē pō'ktu tī ixtata'jatatla ixtalaktalacatzuna'jī ē ixtalālacxquitimā'nalh. Ixtaxa'macu'tun Jesús. 
MRK.3.11	A'cxni' xlaca'n tī ixtaka'lhī jā tzeya ū'nī' talaktzī'lh Jesús, xlaca'n tatatzokostani'lh ē palha' tahuanli:
MRK.3.11	―Hui'x ī'Ska'ta' Dios.
MRK.3.12	Xla' cāmāpa'ksīlh ē cāhuanilh jā ixtahuanli tīchu xla'.
MRK.3.13	Jesús a'lh nac sipej ē cāta'sani'lh tī cālacasqui'nli ē talakmilh. 
MRK.3.14	Cālacsacli kelhacāujtu' tī natatā'latā'kchoko ē nacāmacā'n natamāsu'yu ixtachihuīn Dios. 
MRK.3.15	Nā xlaca'n cāmaxquī'ca līmāpa'ksīn natamātzeyī ta'jatatlanī'n ē natamāxtu jā tzeya ū'nī'n. 
MRK.3.16	Tzamā' kelhacāujtu': Simón tī hui'līni'ca ixtacuhuīni' Pedro, 
MRK.3.17	ē nā Jacobo ē Juan ixtā'tin tī ixka'hua'chan Zebedeo ixtahuanī't ē xlaca'n cāhui'līni'ca ixtacuhuīni' Boanerges tū huanicu'tun hua'chi jilini'. 
MRK.3.18	Nā Andrés ē Felipe ē Bartolomé ē Mateo ē Tomás ē Jacobo ixka'hua'cha Alfeo ē Tadeo ē Simón. Huā'mā' Simón ixtapa'ksīni' partido cananistas. 
MRK.3.19	Ē Judas Iscariote, xla' tī ā'līstān macamāstā'lh Jesús.
MRK.3.19	Jesús a'lh na ixchic. 
MRK.3.20	Tatakēstokpālh lhūhua' tachi'xcuhuī't hasta jāla ixtahuā'yan Jesús ē ī'scujnu'nī'n. 
MRK.3.21	A'cxni' ixtalakapasnī'n taca'tzīlh huā'mā', xlaca'n talakmilh natachi'pa ixpālacata ixtahuan xla' hua'chi chuyani' ixlīla.
MRK.3.22	Xamākelhtahua'kē'ni'nī'n līmāpa'ksīn tī ixtaminī'ta'ncha' nac Jerusalén ixtahuan:
MRK.3.22	―Beelzebú, tī xapuxcu' jā tzeya ū'nī'n, xla' tanūni'nī't Jesús. Ū'tza' cālīmāxtu jā tzeya ū'nī'n.
MRK.3.23	Jesús cāta'sani'lh ē cāhuanilh tū līca'tzīni'can:
MRK.3.23	―¿Chī nalīmāxtucan Skāhuī'ni' palh ū'tza' tī tanūma'lh? 
MRK.3.24	Palh māpa'ksīni'nī'n tatapitzi ē talātucsa, jā catitatāyani'lh. 
MRK.3.25	Palh tampūtin familia tatapitzi ē natalātucsa, jā catitatāyani'lh. 
MRK.3.26	¿Chī Skāhuī'ni' nalīmāxtu ixtā'skāhuī'ni' palh chu ū'tza' tī māpa'ksīmā'lh? Palh Skāhuī'ni' natapitzi, jāla catitāyani'lh; tzē nalaksputa.
MRK.3.27	’Jā tī chā'tin catitanūlh naka'lhāna'n na ixchic chā'tin tī tli'hui'qui palh jā pūla nachī'can ixtēcu' chic. A'cxni' chī'hui'līcanī'ttza', a'cxni' tzētza' namakka'lhāna'ncan.
MRK.3.28	’Ixlīcāna' tū iccāhuaniyān: Tzē namātza'nkēna'ni'can ixlīpō'ktu ixcuentaca'n tachi'xcuhuī't ē catūxcuhuālh jā tze tū tahuan. 
MRK.3.29	Palh catīhuālh ixuanlī jā tze tū tlahua Espíritu Santo, xla' jāla catimātza'nkēna'ni'ca. Xla' naka'lhī ixcuenta pō'ktu quilhtamacuj.
MRK.3.30	Jesús huanli huā'mā' ixpālacata ixtahuan: “Xla' ka'lhī jā tzeya ū'ni'.”
MRK.3.31	Ā'līstān tachā'lh ixtzī' ē ixtā'timīn Jesús. Tatāyalh nac kēpūn ē māta'satīnīni'nca xla'. 
MRK.3.32	Tachi'xcuhuī't ixtalītasti'li'nī't ē tahuanilh:
MRK.3.32	―Tayāna'lh mintzī' nac kēpūn ē mintā'timīn ē tatā'chihuīna'ncu'tunān.
MRK.3.33	Xla' cākelhtīlh:
MRK.3.33	―¿Ē ca'tzīyā'tit tīchu iccālaktzī'n hua'chi quintzī' ē quintā'timīn?
MRK.3.34	Ixcālaktzī'nkō' ixlīpō'ktuca'n tī ixtahui'lāna'lh ē ixtalītasti'li'nī't ē cāhuanilh:
MRK.3.34	―Tzamā' ū'tunu'n quintzī' ē quintā'timīn. 
MRK.3.35	Ixlīpō'ktuca'n tī natatlahua tū lacasqui'n Dios, ū'tunu'n quintzī' ē quintā'timīn.
MRK.4.1	Palaj tunca Jesús tzucupālh māsu'yu na ixquilhtūn mar. Talaktakēstokli lhūhua' tachi'xcuhuī't ē ū'tza' lītojōlh a'ktin nac barco. Tahuī'lh nac barco tū ixuī'lh na ixkelhni' xcān. Ixlīpō'ktuca'n tachi'xcuhuī't tatachokolh na ixquilhtūn xcān. 
MRK.4.2	Lhūhua' ixcālīmāsu'yuni'mā'lh tū līca'tzīni'can. A'cxni' ixcāmāsu'yuni'mā'lh, cāhuanilh:
MRK.4.3	―Cakexpa'ttit. Ixuī'lh chā'tin cha'nāna' ē taxtulh nacha'n ixlīcha'nat. 
MRK.4.4	A'cxni' ixmakahuanīmā'lh līcha'nat, makapitzīn tayujli nac tej. Tamilh spūnī'n ē tasacua'lh. 
MRK.4.5	Ā'makapitzīn tayujli nac cā'chihuixni' jā jā pūlhmā'n ti'ya't. Palaj pu'nli huā'mā' līcha'nat ixpālacata jā pūlhmā'n ti'ya't. 
MRK.4.6	A'cxni' chi'chini'lh, scācli xapa'lhma' ixpālacata jāla tā'cnūlh ixtankēxē'k ē xnekli. 
MRK.4.7	Ā'makapitzīn līcha'nat huampala tayujli nac cā'lhtucū'n ē lhtucu' tastacli ē tamā'ktzī'lh ē jā tū tahua'ca'lh. 
MRK.4.8	Ā'makapitzīn līcha'nat tayujli jā tze ti'ya't ē pu'nli ē stacli ē māstā'lh ixtahua'ca't. Makapitzīn līcha'nat tamāstā'lh pu'xamacāuj ē ā'makapitzīn tamāstā'lh tu'tumpu'xam ē ā'makapitzīn tamāstā'lh a'ktin cientu.
MRK.4.9	Jesús cāhuanilh:
MRK.4.9	―Palh kexpa'tnī'ta'ntit, cuenta catlahua'tit.
MRK.4.10	A'cxni' ixta'a'nī'ttza' lhūhua' tachi'xcuhuī't, xmān tatachokolh Jesús ē kelhacāujtu' ē ā'makapitzīn huampala. Kelhacāujtu' takelhasqui'nīlh ixpālacata tū līca'tzīni'can. 
MRK.4.11	Jesús cāhuanilh:
MRK.4.11	―Dios cāmāsu'yunī'ta'n hui'xina'n tū tatzē'knī't ixpālacata chī nala ixlīmāpa'ksīn Dios. Ā'makapitzīn iccālītachihuīna'n xmān chī natalīca'tzīni'n. 
MRK.4.12	Chuntza' masqui takexmatli, jā catitaca'tzīlh ē masqui talaktzī'n, tasu'yu hua'chi jā talacahuāna'n. Ū'tza' jā catitalīlakpalīlh ixtalacapāstacni'ca'n ē jā caticāmātza'nkēna'ni'ca ixcuentaca'n.
MRK.4.13	Jesús cāhuanilh:
MRK.4.13	―Palh jā kexpa'tā'tit huā'mā' tū līca'tzīni'can, jā catica'tzī'tit ixlīpō'ktu ā'makapitzīn. 
MRK.4.14	Cha'nāna' cha'nli ixtachihuīn Dios. 
MRK.4.15	A'ntza' jā yujli līcha'nat nac tej, ū'tza' hua'chi tachi'xcuhuī't tī takexmatli ē palaj milh skāhuī'ni' ē cāmāpātza'nkēnīlh tū ixtasca'tnī't.
MRK.4.16	’Nā chuntza' jā yujli līcha'nat nac cā'chihuixni', ū'tza' hua'chi tī takexmata ixtachihuīn Dios ē talakatī. 
MRK.4.17	Hua'chi līcha'nat tū jā ixka'lhī pūlhmā'n ixtankēxē'kca'n jā tāyani'lh, chuntza' xlaca'n jā makās tatāyani'. A'cxni' tapātī catūhuālh o a'cxni' cāputzastālani'can ixpālacata tū ta'a'ka'ī'lh, jātza' talakatī ē tamakxtekcu'tun ixtachihuīn Dios.
MRK.4.18	’Jā yujli līcha'nat nac cā'lhtucū'n, ū'tza' hua'chi xlaca'n tī takexmata tachihuīn ē sca'ta. 
MRK.4.19	Masqui tasca'tli, talacapāstaca chī natalīhuā'yan ē chī lacricujnu' natalīhuan. Nā talacasqui'n lhūhua' catūhuālh. Ixlīpō'ktu huā'mā' cāmāmakchuyī ē jā cāmakxteka natalacapāstaca tū takexmatli. Jātza' tatasu'yu palh ta'a'ka'ī'. Chuntza' tzamā' hua'chi lhtucu' tū tamā'ktzī'lh līcha'nat.
MRK.4.20	’Jā yujli līcha'nat nac tze ti'ya't, ū'tza' hua'chi xlaca'n tī takexmata tachihuīn ē tasca'ta ē tzej tatasu'yu palh ta'a'ka'ī'. Ixlīpō'ktuca'n taka'lhī tū natalīmakapāxuī Dios. Xlaca'n hua'chi līcha'nat tū māstā'lh pu'xamacāuj ē makapitzīn ā'chulā' taca'tzī tamakapāxuī Dios. Xlaca'n hua'chi līcha'nat tū māstā'lh tu'tumpu'xam o a'ktin cientu ixtahua'ca't.
MRK.4.21	Jesús cāhuanilh:
MRK.4.21	―Jā tī chā'tin līmin pūcās ē nalīmakchahua catūhuālh o nahui'lī na ixtampīn tama'. Hui'līcan a'ktin nac mesa o a'ktin nac cajón. 
MRK.4.22	Pō'ktu tū tatzē'knī't chuhua'j, pō'ktu namāsu'yukō'can. Tū tatzē'knī'tcus, ū'tza' naca'tzīkō'can. 
MRK.4.23	Palh kexpa'tnī'ta'ntit, cuenta catlahua'tit.
MRK.4.24	Chuntza' cāhuanilh Jesús:
MRK.4.24	―Cuenta catlahua'tit tū kexpa'tā'tit. Palh nalīhui'lī'yā'tit nasca'tā'tit, Dios nacāmaktāyayān ē ā'chulā' nasca'tā'tit. 
MRK.4.25	Tī cuenta tlahua ixtachihuīn Dios, ā'chulā' nasca'ta. Tī jā cuenta tlahua, napātza'nkākō' tū kexmatnī't.
MRK.4.26	Jesús huanli:
MRK.4.26	―Chī Dios māpa'ksīni'nkō', ū'tza' hua'chi a'cxni' chā'tin chi'xcu' nacha'n līcha'nat nac ti'ya't. 
MRK.4.27	Xla' nalhtata tzī'sa ē natā'kaquī' tzi'saj. Līcha'nat napu'n ē nastaca ē xla' jā ca'tzī chī līpu'nli ē chī līstacli. 
MRK.4.28	Ti'ya't ixlīmān makapu'nli; pūla tasu'yu xapa'lhma' ē palaj tunca xaxihuī't ē ā'līstān tza'ktza'n. 
MRK.4.29	A'cxni' scāclitza' ē cuxi'tza' nahuan, palaj tunca ī'can ixpālacata chilhtza' quilhtamacuj tū napū'ī'can.
MRK.4.30	Jesús huanli:
MRK.4.30	―¿Chī huan ixlīmāpa'ksīn Dios? ¿Chī nalīmāsu'yuyāuj chī natalhūhua'n xlaca'n tī Dios cāmāpa'ksī? 
MRK.4.31	Natalhūhua'n hua'chi a'ktin xalīcha'nat tū huanican mostaza. Huā'mā' xalīcha'nat ā'chulā' xamactzina'j ē jā ixlīpō'ktuca'n ā'makapitzīn līcha'nat tū cha'ncan. 
MRK.4.32	A'cxni' cha'ncanī'ttza', ē nastaca, ka'tla' nahuan ē lhūhua' ixpekenī'n naka'lhī. Chuntza' spūnī'n tzē natatlahua ixmāsekca'n jā skē'knin.
MRK.4.33	Chuntza' lhūhua' ixcālīmāsu'yuni' tū līca'tzīni'can ē līlacatzucu cāmāsu'yuni'lh chuntza' chī tzē natalīsca'ta. 
MRK.4.34	Xmān tū līca'tzīni'can ixcālītā'chihuīna'n tachi'xcuhuī't. A'cxni' ixlīmānca'n xla' ē ī'scujnu'nī'n, tzej ixcālīmāsu'yuni' ixlīpō'ktu.
MRK.4.35	Kōtanūtza' ixuanī't tzamā' quilhtamacuj ē Jesús cāhuanilh ī'scujnu'nī'n:
MRK.4.35	―Ca'a'uj ixtuntacut nac xcān.
MRK.4.36	Jesús ixuī'lhcus nac barco, ē chuntza' talīlē'lh nac barco ē cāmakxtekli lhūhua' tachi'xcuhuī't. Ā'makapitzīn barco nā tatā'a'lh ixtuntacut nac xcān. 
MRK.4.37	A'cxni' ixtatacutmā'nalh, palha' tzuculh ū'nun. Mar sno'kli barco ē ixlītatzumamā'lh xcān. 
MRK.4.38	Jesús xtum ixmā'lh nac barco ē ī'lhtatamā'lh ē ixa'ktzi'mā'lh a'ktin ixa'ktzi'. Tamālakahuanīlh ē tahuanilh:
MRK.4.38	―Mākelhtahua'kē'ni', tā'cnūmā'nauj ē hui'x jā cuenta tlahua'ya'.
MRK.4.39	Jesús tā'kaquī'lh ē lacaquilhnīlh ū'ni' ē huanilh mar:
MRK.4.39	―Caca'csla'.
MRK.4.39	Ca'cslalh ū'ni' ē ca'cs tahuī'lh mar. 
MRK.4.40	Jesús cāhuanilh ī'scujnu'nī'n:
MRK.4.40	―¿Tū ixpālacata jicua'nā'tit? Jā quilālīpāhuanāuj.
MRK.4.41	Talī'a'cnīlh ē talāhuanilh chā'tunu' xlaca'n:
MRK.4.41	―¿Tichūyā chi'xcu' huā'mā'? Hasta tzē cāmāpa'ksī ū'ni' ē mar ē takexmatni'.
MRK.5.1	Tachā'lh xlaca'n ixtuntacut mar nac a'ktin ti'ya't jā huanican Gadara. 
MRK.5.2	A'cxni' Jesús tacutli nac barco, palaj tunca laktalacatzuna'jīlh chā'tin chi'xcu' tī taxtulh na ixpu'nan pūtā'cnūn. Ixka'lhī jā tzeya ū'ni'. 
MRK.5.3	Xla' ixlahuī'lh nac lhu'cu' jā ixcāmā'cnūcanī't nīnī'n. Jā tī chā'tin tzē ixchī' ē masqui ixlīchī'can cadenas. 
MRK.5.4	Maklhūhua' ixtūpixchī'canī't ē ixmacatūpixchī'canī't līcā'n ē cadenas ē xla' lacpu'xli cadenas ē lacstīn tlahualh līcā'n ē jā tī chā'tin tzē ī'skāhuī'. 
MRK.5.5	Cā'tzī'sni' ē cā'cuhuīni' jā ixuī'lh lhu'cu' ē na ixlacapūn sipej pō'ktu quilhtamacuj ixta'satā'kchoko ē ixlītakāhuī'can chihuix. 
MRK.5.6	Makatcus ixmimā'cha' Jesús a'cxni' chi'xcu' laktzī'lh ē laktu'jnulh ē lakachi'xcuhuī'lh. 
MRK.5.7	Tā'chihuīna'nli palha' ē huanli:
MRK.5.7	―¿Tū ixpālacata ta'na' hui'x jā icuī'lh, Jesús? Hui'x ī'Ska'ta' Dios xaka'tla'. ¿Ē mimaca'tzi tū ictlahuamā'lh? Icsqui'ni'yān jā naquintimakapātīnīna'.
MRK.5.8	Chuntza' ī'squi'ni'mā'ca Jesús ixpālacata xla' ixuaninī't jā tzeya ū'ni':
MRK.5.8	―Cataxtuni' tzamā' chi'xcu'.
MRK.5.9	Jesús kelhasqui'nīlh:
MRK.5.9	―¿Chī huanica'na'?
MRK.5.9	Xla' kelhtīlh:
MRK.5.9	―Quihuanican Legión ixpālacata quina'n lhūhua'.
MRK.5.10	Ixtasqui'ni'mā'nalh Jesús jā cacāmacā'lh makat. 
MRK.5.11	Lhūhua' pa'xnī'n ixtahuā'yamā'nalh lacatzuna'j a'ntza' na ixlacapūn sipej. 
MRK.5.12	Jā tzeya ū'nī'n tasqui'ni'lh Jesús:
MRK.5.12	―Caquilāmacamini'uj lhūhua' pa'xnī'n ē tzē na'ictanūpalayāuj na ixpūlacni'ca'n tzamā' pa'xnī'n.
MRK.5.13	Palaj tunca cāmakxtekli natatanū. Jā tzeya ū'nī'n tataxtuni'kō'lh chi'xcu' ē tapūlactojōlh ixpūlacni'ca'n pa'xnī'n. Xlaca'n tatu'jnulh ta'a'lh lacatampān ē tatojōcha' nac xcān ē tajicsua'kō'lh. Chī a'ktu' mil pa'xnī'n ixtahuanī't.
MRK.5.14	Chi'xcuhuī'n tī ixtamaktaka'lhmā'nalh pa'xnī'n ē tatzā'lalh ē tamāca'tzīnīni'lh nac cā'lacchicni' ē ixquilhtūn cā'lacchicni'. 
MRK.5.15	A'cxni' ā'makapitzīn tachā'lh jā ixuī'lh Jesús, xlaca'n talaktzī'lh chi'xcu' tī jātza' ixcāka'lhī jā tzeya ū'nī'n. Xla' ca'cs ixuī'lh ē ixmālhekē'canī'ttza'. Xlaca'n tajicua'nli. 
MRK.5.16	Tī ixtalaktzī'nī't tahuanilh tū ixa'kspulanī't chi'xcu' tī ixcāka'lhīnī't jā tzeya ū'nī'n ē nā tū ixcā'a'kspulanī't pa'xnī'n. 
MRK.5.17	Palaj tunca tatzuculh tasqui'ni' Jesús nataxtu a'ntza'.
MRK.5.18	A'cxni' Jesús ixtojōmā'lh nac barco, milh chi'xcu' tī ixcāka'lhīnī't jā tzeya ū'nī'n ē squi'ni'lh camakxtekli natā'a'n. 
MRK.5.19	Jesús jā makxtekli natā'a'n ē huanilh:
MRK.5.19	―Cataspi'tti na minchic ē nacāhua'ni'kō'ya' mintalakapasni' ē minamigos lhūhua' tū Māpa'ksīni' tlahuani'nī'ta'n ē chī lakalhu'manī'ta'n hui'x.
MRK.5.20	Chi'xcu' a'lh ē calhāxcuhuālh jā huanican Decápolis xla' tzuculh līchihuīna'n tū Jesús tlahuani'lh. Ixlīpō'ktuca'n tachi'xcuhuī't talī'a'cnīlh.
MRK.5.21	A'cxni' Jesús pūtacutpālh barco ixtuntacut nac xcān, talaktakēstokli lhūhua' tachi'xcuhuī't jā xla' ixuī'lh lacatzuna'j nac mar. 
MRK.5.22	Milh chā'tin xapuxcu' ixtemploca'n israelitas ē ixtacuhuīni' Jairo. A'cxni' laktzī'lh Jesús, tatzokostani'lh. 
MRK.5.23	Squi'ni'lh ē huanilh:
MRK.5.23	―Quintzu'ma'jāt nīmā'lhtza'. Cata't ē namacaxa'ma'ya'. Natzeyan ē nalatahui'lapala.
MRK.5.24	Jesús tā'a'lh. Ixtastālani' lhūhua' tachi'xcuhuī't ē ixtalālacxquititēlha. 
MRK.5.25	Na ixpu'nanca'n ixa'mā'lh chā'tin puscāt tī ixta'jatatla. Ixka'lhītza' a'kcāujtu' cā'ta jāla ixcāsni' ixka'lhni'. 
MRK.5.26	Lhūhua' doctornu' ixtamakapātīnīnī't ē ixmakasputkō'nī'ttza' ixtumīn ē jā tū tū ixmacuani'. Ā'chulā' ixlamā'. 
MRK.5.27	Ixkexmatnī't chī ixtlahua Jesús ē laktalacatzuna'jīlh na ixchakēn na ixpu'nanca'n lhūhua' tachi'xcuhuī't ē xa'malh ixlu'xu'. 
MRK.5.28	Chuntza' tlahualh ixpālacata puhuanli: “Xmān ca'icxa'malh ixlu'xu' ē na'ictzeyan.” 
MRK.5.29	Chuntza' palaj tunca tzeyanli. Makca'tzīlh na ixmacni' ixtzeyanī'ttza' ixta'jatat. 
MRK.5.30	Palaj tunca Jesús u'cxca'tzīlh chī ixlīmātzeyīnī't ixlītli'hui'qui. Cālaktalakspi'tli tachi'xcuhuī't ē cāhuanilh:
MRK.5.30	―¿Tīchu xa'malh quilu'xu'?
MRK.5.31	Tahuanilh ī'scujnu'nī'n:
MRK.5.31	―Laktzī'na' chī lhūhua' tachi'xcuhuī't talālacxquitiyān. Ē hui'x kelhasqui'nīni'na': “¿Tīchu quixa'malh?”
MRK.5.32	Xla' calhāxcuhuālh ixlacaputzamā'lh nalaktzī'n tī ī'xa'manī't. 
MRK.5.33	Puscāt ixca'tzī tū ixa'kspulanī't ē chī ixtzeyanī'ttza' ē xla' ixjicua'n. Ī'xpipitēlha laka'lh ē tatzokostani'lh Jesús ē huanikō'lh. 
MRK.5.34	Xla' huanilh:
MRK.5.34	―Quintzu'ma'jāt, tzeyanī'ta' ixpālacata a'ka'ī'nī'ta'. Līpāxuhua capit. Tzeyanī'ta' minta'jatat.
MRK.5.35	Ixchihuīna'mā'lhcus Jesús a'cxni' tamilh makapitzīn xalanī'n na ixchic Jairo. Tahuanilh Jairo:
MRK.5.35	―Mintzu'ma'jāt nīlhtza'. ¿Tū ixpālacata māmakchu'yī'ya'cus Mākelhtahua'kē'ni'?
MRK.5.36	Jesús jā cuenta cātlahuani'lh tū ixtahuan. Huanilh xapuxcu' xala' nac templo:
MRK.5.36	―Jā cajicua'nti, xmān ca'a'ka'i'.
MRK.5.37	Jesús jā makxtekli jā tī chā'tin nastālani', xmān Pedro ē Jacobo ē Juan ixtā'tin Jacobo. 
MRK.5.38	Ta'a'lh na ixchic xapuxcu' ixtemploca'n israelitas. A'cxni' tachā'lh, Jesús laktzī'lh lhūhua' tachi'xcuhuī't. Ixtacalhuamā'nalh ē ixtata'samā'nalh. 
MRK.5.39	Jesús a'cxni' tanūlh, cāhuanilh:
MRK.5.39	―¿Tū ixpālacata ta'sayā'tit ē calhua'nā'tit? Tzu'ma'jāt jā nīnī't, xmān lhtatamā'lh.
