GEN.1.1	Mwanzo Mwenyezimungu komba bingu na duniya. 
EXO.25.9	Utenda piya kamba omi vyanukolotera kuwa nfano wa Ema pamoja na piya vyombo vyake. Utende novyo-novyoni.
EXO.25.10	Watende Kashoti ya Miyadi ya mbawo za mpegu. Iwe na sentimeturu miya na kumi za urefu, sentimeturu sitini na sita za upana pamoja na ujunda. 
EXO.25.11	Upambe na oru swafi panja na nkati, na utaye misirimbo ya oru nanyenje. 
EXO.25.12	Ufula kankana nne za oru, utaya mmembe zónne, kankana mbiri upande mmoja na mbiri upande mwengine. 
EXO.25.13	Uwajire miti yake ya mpegu, neyo novyo upamba na oru. 
EXO.25.14	Miti-yo usweke nkankana-mo mumbavu ya Kashoti-yo kuno na kuno mupatikane mwakusukurira. 
EXO.25.15	Miti-yo ijuzi ibaki nkankana za Kashoti-yo, ailaviwa. 
EXO.25.16	Na utaye nKashoti-mo ushahidi wanisaka kukupa.
EXO.25.17	Novyo mutenda Kiti ca Rehema ca oru swafi. Urefu wake uwe sentimeturu miya na kumi, na upana sentimeturu sitini na sita. 
EXO.25.18	Muwatende novyo makerubim
EXO.25.19	Untende kerubim nanyenje upande mmoja, na kerubim mwengine upande mwengine. Citende kuwa kinu kimoja na Kiti ca Rehema-co, ikuwa uwatenda makerubim wawiri nanyenje yake. 
EXO.25.20	Makerubim-wo mbawa zawo wakunjurira julu, mbawa zawo zifinika Kiti ca Rehema-co. Uso wawo, wo-wawiri wanang'aniza Kiti-co. 
EXO.25.21	Kiti ca Rehema-co uture julu ya Kashoti ya Miyadi yakupatana. Nkashoti-mo, utaye ushahidi wanisaka kukupa. 
EXO.25.22	Epo omi nukuwona na nisowera nawe. Na julu ya kiti-co, kati ya makerubim wawiri-wo (wari julu ya Kashoti ya Ushahidi-yo), nisowera nawe kuhusu piya vyanisaka kuwamuru wanu wa Iziraeli.
EXO.25.23	Tendani novyo meza ya mbawo za mpegu. Urefu wake uwe wa sentimeturu tamanini na nane, na upana uwe wa sentimeturu arubaini na nne, na ujunda uwe wa sentimeturu sitini na sita. 
EXO.25.24	Upambe na oru swafi, ikisa utaye misirimbo ya oru nanyenje. 
EXO.25.25	Na nanyenje utende novyo mordura wa kipimo ca vyala vine; nanyenje ya misirimbo utendera korowa ya oru. 
EXO.25.26	Tendani novyo kankana nne za oru, ikisa nkankana-mo uvaze viti viri mmaulu wó mane a meza-yo. 
EXO.25.27	Mbere ya misirimbo zikuwepo kankana mahala mwa kupitisa miti yakusukurira meza. 
EXO.25.28	Miti-yo tendani ya mpegu, na upambe na oru, iwe yakusukurira meza. 
EXO.25.29	Tendani novyo finga na vikombe mutaye lubani, pamoja na vikombe vyakumiminira swadaka ya kinywaji. Utende viwe vya oru swafi. 
EXO.25.30	Julu ya meza, tulani Mikate Takatifu mbere yangu daima.
EXO.25.31	Tendani novyo uralu wa kandiyeru wa oru swafi. Ciwe ca oru yakufuriwa. Tako rake, muti wake, basiya rake, vyakudambwinya, pamoja na maluwa ake piya ciwe kinu kimoja noco. 
EXO.25.32	Upande wa kuno na kuno ikuwa nawo mibombe sita, upande mmoja wa kandiyeru mibombe mitatu na upande mwengine mibombe mitatu. 
EXO.25.33	Kila mbombe, ukuwa na vikombe kamba nango ya amendwa, tako na luwa na vikombe kamba nango ya amendwa, mbombe mwengine, tako na luwa. Novyo ndi vyavisaka kuwa mibombe yó sita ilawa nkandiyeru-yo. 
EXO.25.34	Na nkati ya uralu-mo, vikuwepo vikombe vine vyakulanda amendwa, na tako rake na maluwa ake. 
EXO.25.35	Rikuwepo tako rimoja, sini yake kila nkono, mikono yó sita ilawire nkandiyeru-yo. 
EXO.25.36	Matako na mibombe yake iwe ya kifure kimoja noco, na piya iwe upande moja, iwe ya oru swafi yakutengeziwa na nyundo. 
EXO.25.37	Novyo tendani kandiyeru saba zikorere zimwarike mbere yake. 
EXO.25.38	Tizora za kusinjira paviu za kandiyeru na combo ca rivu vijuzi viwe vya oru swafi. 
EXO.25.39	Tendani uralu pamoja na vyombo vyake piya ca talanta moja ya oru swafi. 
EXO.25.40	Ona, yerera kutenda novyo-novyoni nfano kamba vyawoloteriwe pamwango.
EXO.26.1	Visitoshe, tendani Ema Takatifu na pazira kumi, za nguwo ya linyu nyepepe ya niri, nyeundu yakuzuzela, pamoja na nyeundu pyũ. Muwatende sana-sana makerubim nkati ya pazira. 
EXO.26.2	Urefu wa pazira moja ukuwa wa meturu kumi na mbiri, na upana wa pazira ukuwa wa meturu mbiri. Ezi pazira-zi piya zikuwa na kipimo sawa-sawa. 
EXO.26.3	Pazira ntanu upambanya mmoja na nyenziwe, na ntanu nyengine-zo utende novyo. 
EXO.26.4	Nanyenje mutukunyeriwe utaye lupindo ra kipindi ca niri mwinsho ya pazira mwakusanganya. Utende novyo kumwinsho mwaisirize pazira nyengine upande mwengine usanganyiwe-wo. 
EXO.26.5	Utukunyere mara amusini pazira moja, na nyengine mara amusini nanyenje ya pazira ilungane na yapiri. Mutukunyeriwe-mo mularirana na mwenziwe. 
EXO.26.6	Tenda novyo kurusheti amusini za oru, kurusheti-zo utumire kupita ukisanganya pazira-zo moja na nyenziwe, ipate Ema Takatifu iwe kinu kimoja tu basi.
EXO.26.7	Tendani novyo pazira ya mabururu a mbuzi, muture ema julu ya Ema Takatifu. Tendeni pazira kumi na moja. 
EXO.26.8	Urefu wa pazira moja ukuwa wa meturu kumi na natu, na upana wa noyo pazira-yo ukuwa wa meturu mbiri. Pazira kumi na moja-zi zikuwa na kipimo sawa-sawa. 
EXO.26.9	Pazira ntanu musanganye mufungire, na nyengine sita musanganye mufungire. Pazira ya sita ukunje iwe mbere ya Ema. 
EXO.26.10	Mutukunyere mara amusini nlupindo ra pazira. Mwinsho, musanganyiwe mutukunyere mara amusini nlupindo ra pazira nyengine musanganyiwe mwapiri-mo.
EXO.26.11	Tendani novyo kurusheti amusini za shaba, kurusheti-zo utaye mutukunyeriwe-mo. Javyo usanganya ema-yo ikuwa moja. 
EXO.26.12	Pazira nyengine zisaka kubaki-zo wangike nyuma ya Ema 
EXO.26.13	Nusu meturu isaka kurema upande moja na wapiri, ufungira upande mmoja na mwengine ufinike. 
EXO.26.14	Ema-yo upambe na sambala za makondoo wa rangi nyeundu, na julu yake uvike na sambala za mbuzi.
EXO.26.15	Tendeni novyo mbawo za mpegu zakujengera Ema Takatifu zisaka kulamusiwa. 
EXO.26.16	Urefu wa mbawo moja ukuwa wa meturu nne, na upana wa kila mbawo ukuwa wa sentimeturu sitini na sita. 
EXO.26.17	Kila mbawo isimbiwe mara mbiri ilunganisiwe moja na nyenziwe. Tendani novyo piya mbawo za Ema Takatifu-yo. 
EXO.26.18	Mbawo za Ema Takatifu-zo tendani javi: mbawo shirini upande wa suheli. 
EXO.26.19	Tendani novyo viti arubaini vya parata vyakwikazira mbawo shirini-zo. Viti viwiri sini ya mbawo moja ikarire musangiwe-mo, na viti viwiri sini ya mbawo nyengine ikarire musangiwe-mo. 
EXO.26.20	Na zikuwepo mbawo shirini upande mwengine wa kashikazini wa Ema Takatifu. 
EXO.26.21	Na viti vyake arubaini vya parata, viti viwiri sini ya kila mbawo, na viti viwiri sini ya kila mbawo nyengine. 
EXO.26.22	Na upande wa maswera-juwa wa Ema Takatifu, tulani mbawo sita. 
EXO.26.23	Tendani novyo mbawo mbiri za mmembe ya Ema Takatifu upande wa nyuma. 
EXO.26.24	Pansi pake zijuzi zasanane fala julu upambanye kankana moja. Mbawo nyengine mutende novyo. Ezo zikuwa mbawo mbiri za mmembe. 
EXO.26.25	Zikuwa mbawo nane na viti vyake vya parata, matako kumi na sita. Viti viwiri sini ya mbawo moja na viti viwiri sini ya mbawo nyengine
EXO.26.26	Wimise novyo baroti za mpegu, ntanu kwa ajili ya mbawo za upande moja wa Ema Takatifu, 
EXO.26.27	na baroti ntanu kwa ajili ya mbawo za upande wa piri wa Ema-yo, na baroti ntanu novyo kwa ajili ya mbawo za upande ukizungunukira malawira-juwa. 
EXO.26.28	Na fundo ra kati-kati rikuwa kati ya mbawo, ripita mwanzo wa upande mmoja mpaka upande mwengine. 
EXO.26.29	Mbawo pambani na oru, na kankana zake tendeni vya oru upenyeze baroti, na baroti nezo pambani na oru. 
EXO.26.30	Kwa javyo, lamusani Ema Takatifu, kwa nfano kamba vyawoloteriwe pamwango.
EXO.26.31	Ikisa tendani pazira moja ya nguwo ya linyu nyepepe pamoja na linyu yakupakasiwa ya rangi ya niri, nyeundu yakuzuzela, na nyeundu pyũ. Watendeni sana-sana makerubim nkati ya pazira. 
EXO.26.32	Tulani julu ya maribwi mane a miti ya mpegu yakupambiwa na oru, na kurusheti zake zikuwa za oru, julu ya viti vine vya parata. 
EXO.26.33	Mwangike pazira-yo sini ya kurusheti, ikisa tayani nomo nkati ya pazira-mo Kashoti ya Ushahidi. Pazira-yo ikwawanya Mahala Patakatifu na Mahala Patakatifu Pakulu. 
EXO.26.34	Ikisa finikani Kiti ca Rehema julu ya Kashoti ya Ushahidi nkati ya Mahala Patakatifu Pakulu. 
EXO.26.35	Meza tulani panja ya pazira, upande wa kashikazi wa Ema-yo. Na kandiyeru tulani upande wa suheli wa Ema upande mwengine wa meza.
EXO.26.36	Tenderani novyo panryango wa Ema, kifiniko ca nguwo ya linyu nyepepe yakolota kazi ya kubordari. Tumirani linyu yakupakasiwa ya rangi ya niri, nyeundu yakuzuzela, pamoja na nyeundu pyũ. 
EXO.26.37	Tengerani kifiniko-co maribwi matanu a miti ya mpegu, yakupambiwa na oru. Kurusheti zake zikuwa za oru. Tenderani novyo viti vitanu vya kufuriwa vya shaba.
EXO.27.1	Tendeni novyo uralu wa kafara na mbawo za mpegu, urefu wake meturu mbiri na sentimeturu shirini na ntanu, na upana wake sawa-sawa. Ndimana uralu uwe membe zó nne sawa-sawa na ujunda wake uwe meturu mmoja na sentimeturu talatini na ntanu. 
EXO.27.2	Membe zó nne usongore ransi zake. Ezo ransi nne-zo zilungana kuwa kinu kimoja na uralu. Na upambe na shaba. 
EXO.27.3	Utende novyo vyombo vyake vyakukumbira rivu, na paa, mabasiya, garufu, pamoja na vyakulavira makala a moto. Vyombo vyake piya utende vya shaba. 
EXO.27.4	Utende uralu wa shaba, nfano wa redi. Nowo uralu-wo utendere kankana nne za cuma mmembe zó nne. 
EXO.27.5	Ikisa utaye nanyenje sini yake, ipate uralu waujengire wingire mpaka ufike kati-kati. 
EXO.27.6	Utende novyo miti yakusukurira, ya mbawo za mpegu, na upambe na shaba. 
EXO.27.7	Miti-yo upenyeze nvikum ipate miti-yo iwepo upande wa kuno na kuno wa uralu ukisukuriwa. 
EXO.27.8	Utende uralu wakuwa na manga. Kamba vyanûkolotere pamwango, utende novyo.
EXO.27.9	Utende novyo luwanja ra ema. Upande wa suheli, luwanja-ro riwe na pazira za linyu nyepepe yakutukunyeriwa. Urefu wa kila upande ukuwa wa meturu nne na nusu. 
EXO.27.10	Na rikuwa nawo novyo maribwi shirini, na viti vyake vyakwikazira viwe vya shaba. Fala kurusheti zawo na vyuma vyawo vyakwinyamizira viwe vya parata. 
EXO.27.11	Na novyo upande wa kashikazi, ufungire pazira. Urefu wake uwe wa meturu nne na nusu, maribwi ake shirini, na viti vyake shirini vyakwikazira viwe vya shaba. Fala kurusheti za maribwi na vyuma vyawo vyakwinyamizira viwe vya parata. 
EXO.27.12	Upana wa luwanja, upande wa malawira-juwa, ufungire pazira za meturu mbiri na sentimeturu shirini na ntanu, na maribwi ake kumi, na viti vyake kumi vyakwikazira. 
EXO.27.13	Na novyo upana wa upande wa maswera-juwa uwe wa meturu mbiri na sentimeturu shirini na ntanu. 
EXO.27.14	Upande mmoja wa nryango, ziwepo pazira za meturu sita na sentimeturu sabini na ntanu, na maribwi ake matatu, na viti vyawo vyakwikazira vitatu. 
EXO.27.15	Upande mwengine novyo, pazira iwe ya meturu sita na sentimeturu sabini na ntanu, na maribwi ake matatu, na viti vyawo vyakwikazira vitatu. 
EXO.27.16	Panryango wa luwanja, iwepo pazira yakufinika ya meturu kenda, yakupakasiwa na luzi ra rangi ya niri, ya njambalãu, na nyeundu, na linyu nyepepe yakupakasiwa, kolota kazi ya ufundi wa kubordari. Iwe nawo maribwi mane, na viti vyawo vyakwikazira vine. 
EXO.27.17	Maribwi piya a luwanja nanyenje yake vitayiwe vyuma vyakwinyamizira vya parata. Kurusheti zawo ziwe za parata, na viti vyawo viwe vya shaba. 
EXO.27.18	Urefu wa luwanja uwe wa meturu kenda, upana wa meturu nne na nusu, na ujunda wa meturu mbiri na sentimeturu shirini na ntanu. Pazira piya ziwe za linyu nyepepe yakupakasiwa, na viti vyawo vya shaba. 
EXO.27.19	Vyombo piya vya muema papitire combo na kazi yake, omo piya na omo za luwanja ziwe za shaba.
EXO.27.20	Uwe uwamuru wana wa Iziraeli waje nawo mafuta swafi a nzaituni akukomangiwa ataiwe nkandiyeru ipate ziwake nfululu moja. 
EXO.27.21	Muema ya Kusimanana, panja ya pazira mbere ya Ushahidi, Aruna pamoja na wanawe watengeza sana-sana, mwanzo wa jironi mpaka subuu, mbere ya Mola. Eyi iwe shuruti zakufulata milele wana wa Iziraeli piya na vizazi vyake.
EXO.28.1	Sambi, umwite nduyo Aruna, iye pamoja na wanawe, kati ya wana wa Iziraeli, wanikorere kazi ya kulongoza dini. Ewa wanu-wa ndi Aruna na wanawe Nadabu, Abihu, Eliezeri, pamoja na Itamari. 
EXO.28.2	Na unsonesere nduyo Aruna mavazi takatifu a kuwa akivala atukuziwa na akwinshimiwa. 
EXO.28.3	Wambire piya wenye wijiwifu waniwejaze roho za wijiwifu, wansonere mavazi Aruna ipate awe takatifu atende kazi zangu zakulongoza dini. 
EXO.28.4	Eya ndi mavazi a musaka kuwasonera: kapa rapakifuwa, lusungi, nguwo ya ntunda, anzu yakubordariwa, lemba, pamoja na ukanda. Ewo wasone mavazi takatifu a nduyo Aruna pamoja na wanawe watende kazi za kulongoza dini. 
EXO.28.5	Wapokerera maluzi a rangi ya oru, ya niri, ya njambalãu, na nyeundu, pamoja na linyu nyepepe.
EXO.28.6	Watende lusungi kwa kutumira maluzi a rangi ya oru, ya niri, ya njambalãu, na ya nyeundu, pamoja na linyu nyepepe, yakutukunyeriwa sana-sana. 
EXO.28.7	Malunsa mawiri a nguwo muwepo, mwakupenyeza makono kuno na kuno munguwo-mo ipate kulungiwa. 
EXO.28.8	Na ukanda usaka kuwa pakapa ra ulongozi wa dini ukuwa namuna moja wa oru, na cakudambwanda caniri, ca njambalãu, na ceundu, pamoja na linyu nyepepe. 
EXO.28.9	Mutware mawe mawiri a kuwajiwa, wandike mazina a wana wa Iziraeli. 
EXO.28.10	Mazina awo sita wandike riwe rimoja, na mazina sita mengine wandike riwe rengine, kamba vyavifulatane vizazi vyawo. 
EXO.28.11	Nanyenje wandike na oru mawe wó mawiri mazina a wana wa Iziraeli kamba vyayandikiwa selu utende novyo. 
EXO.28.12	Mawe wó mawiri-wo muture mmaweya a kapa-ro, iwe kumbu-kumbu ya wana wa Iziraeli. Na Aruna alamusa mavazi awo kwa piya maweya awo iwe kumbu-kumbu mbere ya Mola. 
EXO.28.13	Tenda vikum vya oru, 
EXO.28.14	na mikufu miwiri ya oru maalumu, yakupikisiwa kamba nzizi. Mikufu yakupikisiwa-yo, mutaye nvikum-mo.
EXO.28.15	Tendani novyo kifiniko ca kifuwa, ca kulamula, kazi za kifundi. Itendiwe sana-sana, kwa namuna ya lusungi. Na maluzi a rangi ya oru, ya niri, ya njambalãu, na nyeundu, pamoja na linyu nyepepe ndi vyaujuzi kupakasa. 
EXO.28.16	Wajuzi wakunje viwe viwiri, upana na urefu ukuwa wa sentimeturu shirini na mbiri. 
EXO.28.17	Wijaze mawe a kung'anira, swafa nne. Swafa yakwanza ikuwa ya mawe meundu, a safarãu na a rangi ya masamba. 
EXO.28.18	Swafa yapiri ikuwa ya mawe a kung'anira a niri, na a diamanti. 
EXO.28.19	Swafa yatatu ikuwa ya mawe a rangi ya laranja, nyelupa, na a rangi ya jambalãu. 
EXO.28.20	Swafa yaane ikuwa ya mawe a kung'anira, a rangi ya masamba, na a yasipi. Mawe-yo ataiwe vikum vya oru. 
EXO.28.21	Akuwa are mawe kumi na mbiri, kila riwe na zina rake kwa marikolo kumi na mawiri a Iziraeli. Mawe-yo akuwa akuwajiwa alama ya ushahidi, kila riwe randikiwe zina rake kwa marikolo kumi na mawiri. 
EXO.28.22	Kifiniko ca pakifuwa novyo utendere mikufu ya yakupakasiwa ya oru maalumu. 
EXO.28.23	Tendeni novyo pakifiniko capakifuwa mete mbiri za oru, na mutaye mete mbiri nanyenje ya kifiniko ca pakifuwa-co. 
EXO.28.24	Sambi mikufu miwiri yakufuriwa ya oru mutunge mete mbiri-zo nanyenje ya kifiniko ca pakifuwa. 
EXO.28.25	Mwinsho kaisirize mikufu-ko musweke nkati ya bwara, ikisa utaye mbere ya kapa-ro mulamburera. 
EXO.28.26	Na mete mbiri za oru-zo, mutende novyo. Mutaye nanyenje ya kifiniko ca pakifuwa kuno na kuno, mubordariwe mupambanye na kapa nkati-nkati. 
EXO.28.27	Mutende novyo mete mbiri za oru, mutaye mbere ya kapa mulamburera zombiri, karibu ya mahala musanganyiwe. 
EXO.28.28	Vikum vya kinga ra kifuwa vifungiwa na vikum vya kapa na nzizi wa niri vilunganisiwe kinga ra pakifuwa na ukanda visasane na kapa ra nlongozi wa dini. 
EXO.28.29	Kila mara Aruna pengira Mahala Takatifu, mmoyo mwake asukula mazina a wana wa Iziraeli nkinga ra pakifuwa, kolota kumbukumbu ya milele mbere ya Mola. 
EXO.28.30	Novyo, pakifiniko ca pakifuwa, mutaye Urimu na Tumimu. Viwe nkati ya moyo wa Aruna, iye pengira mbere ya Mola. Kwa javyo Aruna daima awalamusa wana wa Iziraeli mmoyo mwake wakati wasakula kwijiwa nafsi ya Mola mbere yake.
EXO.28.31	Nguwo ya kapa, mupakase ya rangi ya niri. 
EXO.28.32	Na gofiya ya nkiswa ikuwa kati-kati. Gofiya-yo ikiwa ya kubordariwa nanyenje kamba gofiya ya luzi ipate isisanike. 
EXO.28.33	Mubordariwe-mo, mupakase kokomanga na luzi rangi ya niri, ya njambalãu na nyeundu. Mutaye novyo masekese a oru kati-kati uzungurize. 
EXO.28.34	Riwe sekese ra oru na kokomanga, sekese rengine ra oru na kokomanga nyengine, munguwo-mo nanyenje. 
EXO.28.35	Aruna ájuzi avare wakati wakola kazi, na shauti yake isikirikane wakati yengira Mahala Patakatifu mbere ya Mola, na wakati wakulawa, ipate aasifwe.
EXO.28.36	Mutende novyo lamina ya oru maalumu, ikisa kamba vyaiwa selu wandike javi: ‘Utakatifu ka Mola.’ 
EXO.28.37	Mutunga muluzi ra rangi ya niri ipate ciwe upande wa mbere ya lemba. 
EXO.28.38	Cikuwa pacenye ca Aruna, ipate Aruna atware mabaya a vinu takatifu vyawasaka kuhalalisha wana wa Iziraeli kwa piya swadaka zawo za vinu takatifu. Cikuwa daima pacenye pake ipate wakubaliwe mbere ya Mola.
EXO.28.39	Mutende nguwo ya linyu nyepepe, na mutende novyo lemba ra linyu nyepepe. Novyo, mutende ukanda wakubordariwa.
EXO.28.40	Kwa wana wa Aruna, muwatengezere nguwo na muwatendere ukanda na makonga. Evyo vitendiwe kwa kuwa ewo watukuziwa na wawairiwa. 
EXO.28.41	Unvaze vyonse-vyo Aruna nduyo pamoja na wanawe, uwamiminire mafuta, uwatawaze na uwature wawe wangu, wanikorere kazi za ulongozi wa dini. 
EXO.28.42	Wasonesere novyo kabudula za linyu nyepepe wafinike diki yawo, mwanzo wa nkiuno mpaka mmapaja. 
EXO.28.43	Vikuwa julu ya Aruna na julu ya wanawe pawasaka kwingira muEma ya Kusimanana, au pawasaka kufika pauralu kutenda kazi Mahala Takatifu, wasije kusukula makosa, wakifwa. Eyi ndi isaka kuwa shuruti kwake iye pamoja na wanawe daima.
EXO.29.1	Javi ndi vyaujuzi kutenda, wapate kuwa watakatifu, ipate wanitumike kamba walongozi wa dini: Ntware ng'ombe nlume moja na makondoo walume wawiri sawana mabaka, 
EXO.29.2	na mikate saitayiwe furumento, mandazi saatayiwe furumento zakupakiwa mafuta, pamoja na roti sazitaiwe furumento zakupakiwa mafuta. Mutende piya na ufu wa tirigu. 
EXO.29.3	Mutaye nkikalala, muje nawo nkati ya kikalala nomo pamoja na ng'ombe na makondoo wawiri-wo. 
EXO.29.4	Ikisa ukuja naye Aruna pamoja na wanawe panryango wa Ema ya Kusimanana uwatawadisa na maji. 
EXO.29.5	Ukisa, utware mavazi, unvaze Aruna. Unvaze anzu, ntunda, lusungi, na kapa rake pakifuwa. Unfungire ukanda wa lusungi, rakutendiwa sana-sana. 
EXO.29.6	Na nkiswa cake unkonge lemba, na untaye korowa takatifu julu ya lemba-ro. 
EXO.29.7	Utware mafuta a kutawaza, ummiminire nkiswa, javyo ndi vyaujuzi kuntawaza. 
EXO.29.8	Ikisa, uwafikise wanawe, newo uwavaze anzu. 
EXO.29.9	Na uwavaze ukanda Aruna pamoja na wanawe, novyo uwakonge lemba. Kwa shuruti ya ulongozi wawo wa dini wawe daima milele. Basi uwature Aruna na wanawe watende kazi takatifu.
EXO.29.10	Ukisa pare, untware ng'ombe unfikise mbere ya Ema ya Kusimanana. Aruna pamoja na wanawe makono awo wature julu ya kiswa ca ng'ombe-yo 
EXO.29.11	Ikisa, ng'ombe-yo unsinja mbere ya Mola panryango wa Ema ya Kusimanana. 
EXO.29.12	Ukisa kunsinja, udabure na cala cako-co damu aba ya ng'ombe-yo, upite ukipaka mmembe ya uralu. Damu isaka kubaki-yo, miminira sini ya uralu. 
EXO.29.13	Ikisa utware mafuta piya afinike utumbo, upande mwema wa rini, na mifuko ya mikojo pamoja na mafuta ari nkati mwake, woce julu ya uralu. 
EXO.29.14	Fala nyama, sambala, na mavi vya ng'ombe-yo, woce moto kunyenje ya mangisha. Eyo ndi swadaka kwa ajili ya dambi.
EXO.29.15	Ukisa, untware kondoo nlume-yo, Aruna pamoja na wanawe wanture makono pakiswa kondoo-yo. 
EXO.29.16	Ikisa kondoo-yo unsinje, damu yake usasanyire nanyenje ya uralu. 
EXO.29.17	Ukisa, kondoo-yo umwawanye vipande-vipande. Utumbo wake pamoja na maulu ake, wose, ikisa uture pamoja na vipande vyake na kiswa cake. 
EXO.29.18	Kondoo-yo piya umoce julu ya uralu. Eyo ndi swadaka yakociwa ka Mola. Ndi swadaka yakunuwira sana mbere ya Mola, swadaka ya cakurya kwake iye.
EXO.29.19	Ikisa untwala kondoo mwengine, Aruna pamoja na wanawe wanture makono pakiswa kondoo-yo. 
EXO.29.20	Ukisa, kondoo-yo unsinja, utwala damu yake aba, undonosera Aruna pamoja na wanawe mwinsho ya sikiro ra nkono nriro, na undonosera cala kikulu ca mmakono ca nkono nriro, na cala kikulu ca mmaulu ca nkono nriro. Damu isaka kubaki-yo, usasanyira nanyenje ya uralu. 
EXO.29.21	Utwala damu yake aba isaka kuwa pajulu ya uralu, pamoja na mafuta a kutawaza, untingidire Aruna na mavazi ake pamoja na wanawe na mavazi awo. Iye na mavazi ake awe takatifu, pamoja na wanawe na mavazi awo, newo novyo
EXO.29.22	Ikisa utwala mafuta a kondoo nlume-yo, nkira wake, mafuta afinike utumbo wake pamoja na rini na mirumba ya mikojo, pamoja na weya ra nkono nriro, kamana eyo ndi kondoo wa kazi takatifu. 
EXO.29.23	Utware novyo nkate moja wa ufu, nkate moja wa mafuta, na nkate moja wa roti nkikalala ca mikate saitaiwe furumento ituriwe mbere ya Mola. 
EXO.29.24	Evi piya-vi ukumpa Aruna mmakono, na uwapa wanawe mmakono, upereka, ikuwa ndi swadaka yakufikisa mbere ya Mola. 
EXO.29.25	Ikisa utware vinu-vyo mmakono mwawo, woce pauralu na swadaka yakociwa. Eyo ndi swadaka yakunuwira sana mbere ya Mola, ndi swadaka ya cakurya ka Mola.
EXO.29.26	Ikisa utware kifuwa ca kondoo wa kazi takatifu za Aruna-yo, wefye iwe swadaka ya kufikisa mbere ya Mola. Nero rikuwa ndi fungu rako. 
EXO.29.27	Na utakatisa kifuwa ikuwa swadaka, pamoja na weya ya fungu ra nlongozi, Aruna pamoja na wanawe, vilamusiwe vya kondoo wa kazi takatifu. 
EXO.29.28	Neco ndi kwa Aruna pamoja na wanawe, cikuwa fungu rawo kwa milele, rawapewe na wanu wa Iziraeli. Ndi swadaka ya wanu wa Iziraeli itwariwe salama nkati ya swadaka zawo, swadaka zawo mbere ya Mola.
EXO.29.29	Nguwo takatifu za Aruna zikuwa za ujukulu wake.Wavare wakati wawatawaziwa na wawatakatifiwa. 
EXO.29.30	Kati ya wanawe piya, mwana ája kwikala cewo ca nlongozi wa dini onse, akingíra muEma ya Kusimanana kutenda kazi Mahala Takatifu, ajuzi avare mavazi suku saba.
EXO.29.31	Ujuzi utware nyama ya kondoo wa kazi takatifu, utokose mahala patakatifu. 
EXO.29.32	Aruna pamoja na wanawe wajuzi watafune nyama ya kondoo-yo na mikate iri nkikapu panryango wa Ema ya Kusimanana. 
EXO.29.33	Nopo wakurya vinu vitengeziwe kupata kuswamiiwa dambi, ila munu wa panja asirye, konta evyo vyakurya-vyo takatifu. 
EXO.29.34	Na ikiwa vyakurya-vyo nyama au mikate vibaki mpaka subuu, woce moto. Visiriwe tena konta evyo vyakurya-vyo takatifu.
EXO.29.35	Basi, uwatenze Aruna pamoja na wanawe, kamba vyanukwamurire. Muda wa suku saba, uwature watende kazi takatifu. 
EXO.29.36	Kila suku untengeza ng'ombe nlume awe kafara ya kuswamiiwa dambi. Novyo, kuswafi pauralu, paukitenda jambo ra kuswamiiwa dambi. Julu ya mahala-po, utawaze pawe takatifu. 
EXO.29.37	Muda wa suku saba, utende jambo ra kuswamiiwa dambi julu ya uralu, na utenze mahala-po kuwa takatifu. Pauralu pakuwa mahala takatifu pakulu. Kila kinu cikumbula pauralu conse cikuwa takatifu.
EXO.29.38	Sambi, eci ndi camujuzi kulavya swadaka, julu ya uralu, suku daima: makondoo wawiri wa mwaka moja. 
EXO.29.39	Kondoo mmoja unlavya kafara subuu, kondoo mwengine unlavya kafara jironi. 
EXO.29.40	Pamoja na kondoo wa kwanza-yo, unlavya kilu moja ya ufu maalumu, wakusanganyiwa na lituru moja ya mafuta akukomangiwa na lituru moja ya vinyu. Eci ndi swadaka ya kunywa. 
EXO.29.41	Kondoo mwengine unlavya kafara jironi. Kamba vyaunlavire wa subuu, unlavya swadaka ya kurya na swadaka ya kunywa. Ezi ndi swadaka zakunuwira sana mbere ya Mola, swadaka ya cakurya kwake iye. 
EXO.29.42	Eyi ndi isaka kuwa kafara ikociwa kwa vizazi piya, panryango wa Ema ya Kusimanana, mbere ya Mola, ndi panisaka kukusingana, nisowere nawe. 
EXO.29.43	Epo ndi panisaka kuwawona wana wa Iziraeli, na mahala-po palawirira kuwa patakatifu kwa sababu ya utukufu wangu. 
EXO.29.44	Nitakatifu Ema ya Kusimanana pamoja na uralu wa kafara. Nintakatisa novyo Aruna pamoja na wanawe ipate wakore kazi za kulongoza dini. 
EXO.29.45	Nikwikala kati ya wanu wa Iziraeli, nikuwa Nlungu wawo. 
EXO.29.46	Newo wakwijiwa kuwa omi niwa Mola, Nlungu wawo, niwalavire inti ya Miswiri, ipate nikare kati yawo. Omi Mola, Nlungu wawo.
EXO.30.1	Ujenga novyo uralu wakufukiza lubani, kwa kutumira mbawo za mpegu. 
EXO.30.2	Ukuwa na sentimeturu arubaini na ntanu ya urefu, na upana ukuwa sawa-sawa, kuno na kuno. Na sentimeturu tuswini za urefu. Usomeka manyanga cikuwa combo kimoja na nowo uralu-wo. 
EXO.30.3	Na utware oru swafi upake julu yake, nanyenje nvipama, na mmanyanga. Ikisa utaya misambo ya oru nanyenje. 
