MAT.1.1	Kĩtabũ kya wĩleli wa kĩYesu Kilisito, umuana wa kĩDaudi, umuana wa kĩIbũlahimu. 
LUK.2.26	Alĩ wakũnukulĩĩlue nuMuau Muelu kĩna walekiona uukiu sunga wamuone tangua uKilisito wa kĩShekulu. 
LUK.2.27	Nuuza muNumba ya kĩNzua mutongeelue nuMuau; nĩaleli pĩna alĩ amuleetile umuana ũYesu amutendele kuntendo ya Ulagĩĩlio, 
LUK.2.28	Paapo uyo numusola numukũmazukia uNzua, nuũga,
LUK.2.29	“Ĩpaino Shekulu wamulekela umuasi waako
LUK.2.29	wende nĩmatiliga, kulukaani luako.
LUK.2.30	kuitĩ ĩmiiso maane mauonaa uugũnua waako
LUK.2.31	naaluzĩpĩlĩĩlie pamiiso ma antu ensi,
LUK.2.32	uweelu wa kuamĩlĩkĩla ĩa ndugu nazĩngĩ,
LUK.2.32	nuukulu kuantu aako ĩa Ĩsilaeli.”
LUK.2.33	ũShee nunina alĩ ikulĩlua kuzaasio naalĩ ntambulue kunsooko yaakue. 
LUK.2.34	uSimoni nuakembeta, numuĩĩla uMalia unina,
LUK.2.34	“Laaa, uyu waĩĩkaguaa iingĩ ague, iingĩ ĩĩmĩke
LUK.2.34	mu Ĩsilaeli,
LUK.2.34	ukitũla kĩlĩngasĩĩlio nakĩkikungumigua ibĩĩ
LUK.2.35	(nunduue, iyũmba likishoma ĩnkolo yaako),
LUK.2.35	koona ĩmasĩĩgo ma nkolo ningĩ makũnukuke.”
LUK.2.36	Alukoolĩ munakĩdagu-mukĩĩma ĩliina liakue Ana muana wa kĩPanueli wa luuli lwa kĩAsheli; alĩ wakombitile. Alũkyalile numugoosia miaka mupũngatĩ kwipũna unanso waakue, 
LUK.2.37	alĩ mukiĩlua wa miaka makumi munaana nĩnĩĩ. Nasika alukulegaa muNumba ya kĩNzua ĩpa alukuuza nwilaalĩla nukwilompa nukĩtekela munsĩ nuutiku. 
LUK.2.38	Nunduyo nuuza ityũngo lĩĩlo-lĩĩloo numusongelia uNzua, nuaĩĩla impola zaakue ĩaasio tũlũ naalĩ alaaĩlĩĩle uukomolua wa Yelusalemũ.
LUK.2.39	Pĩna naazikondeelia tũlũ kuUlagĩĩlio wa kĩShekulu, naashooka kũGalilaya, kukaa yaao kuNazaleti. 
LUK.2.40	uMuana nukula, nongeeleka ningulu, mũjuligue ĩmasala, nuukende wa kĩNzua alĩ wĩĩlĩ mumuakue.
LUK.2.41	ĩAleli aakue alĩ akuenda muaka kumuaka kũYelusalemũ kulutondo nalukulu ulwa Pasaka 
LUK.2.42	ũYesu pĩna nuĩutĩĩte miaka kyumi nĩbĩlĩ, naalongola kĩna alĩ ntendo ya luutondo lukulu. 
LUK.2.43	Pĩna naazikondia intondo, naashooka, ĩpa umuana ũYesu nusaaga kũYelusalemũ; ĩaleli aakue sika naamana. 
LUK.2.44	Naasĩĩgile kĩna ukoolĩ mumusĩnzo; naagenda munsĩ pii, naĩĩ kumudũũma muantua nĩasuaĩĩa. 
LUK.2.45	Pĩna naamuulia, naashooka kũYelusalemũ, naakumudũũma. 
LUK.2.46	Pĩna nazikĩla ntondo zitatu naamuonela muNumba ya kĩNzua, wikyalansile pakatĩ ya amania nukukuategeela nukukuakolia. 
LUK.2.47	Tũlũ naalĩ amutegelĩĩle naakulĩlua kuulĩngi nuushookeelia waakue. 
LUK.2.48	Pĩna namuona naakũmia; nunina numuĩĩla, “Muana waane, nĩkĩ wakutendela itĩ. Laaa, ũshoo nineene aza kukukudũũmaa kuusungu.” 
LUK.2.49	Nuaĩĩla, “Nĩkĩ aza mwindũũma? Sika mumanilene kĩna injĩpĩĩle nĩĩ nĩĩlĩ munumba ya kĩTata waane?” 
LUK.2.50	Ndĩo sika naalulĩnga ulukaani naalĩ waaĩĩlĩĩle. 
LUK.2.51	Nulongola palumuĩ ndĩo, nupika kuNazaleti, nwĩniinupilie kumiao. UNina nuziĩĩka inkaani zensi munkola yaakue.
LUK.2.52	ũYesu nwĩongeela mumasala nuukuli nuukende kwa kĩNzua nukuantu.
LUK.3.1	Pamuaka wikyumi nakataano wa kutema kwa kĩTibelio Kaisali, uPontio Pilatu pĩna alĩ mutemi wa Uyahũdi nuHelode pĩna alĩjũmbe wa Galĩlaya; nuFilipo umunũna waakue pĩna alĩ jũmbe wa Itulea nĩTalakoniti; nuLisania pĩna alĩ jũmbe wa Abilene. 
LUK.3.2	Pĩna Anasi nuKayapa alĩ Apolia naAkulu, paapo ulukaani lwa kĩNzua nalumuagaana uYohana sha Zakalia mumbuga. 
LUK.3.3	Nuenda kunsĩĩ zensi nazĩpiipĩ piYolidani, nuutanantia ubadĩĩzo wa upeli kuuleegeligua wa mĩlandu, 
LUK.3.4	kĩna yoi nayandĩkue mukĩtabũ kya nkaani za kĩYesaya umunakĩdagu
LUK.3.4	“Luli lwa muntu lukĩtunta mumbuga,
LUK.3.4	Mĩzĩpĩĩliĩ ĩnzĩla ya kĩShekulu
LUK.3.4	pigololĩ ipijĩla piakue.
LUK.3.5	Magĩlĩlĩ mensi mikitinĩĩlua,
LUK.3.5	ĩnkonko yensi ikishĩmbuulua, nĩ makikilague mensi gaa
LUK.3.5	pana yĩpetile ikitũla igolokũ;
LUK.3.5	pana lyĩndĩ ikilĩganĩĩligua,
LUK.3.6	nĩ antu tũlũ ensi ĩkakuuona uugũnua wa kĩNzua.”
LUK.3.7	Itĩ numaĩĩla ĩmaũmbĩ naalĩ mamuagaanile mabadĩĩzigue nduyo “Inie wĩleli wa nzoka, waani numusuguĩle kukuutalama uutaki nawijile. 
LUK.3.8	Pĩĩ gua inkali nazijĩpĩĩle uupeli; kangĩ mulekiandia kwitambula munkolo zaani, ‘Kutĩĩte utata, nduyo;’ uIbũlahimu, kuitĩ namuĩĩla kĩna uNzua usũũmile muna magũe aya kukumunansulĩlia uIbũlahimu ĩaana. 
LUK.3.9	Ĩpaino ĩmpoopo yaĩĩkaguaa pamatina ma makota; kuitĩ ikyota liensi nalyasiitipĩa inkali nanziiza lyukutemaguaa nukwitaagua mumooto.” 
LUK.3.10	ĩMaũmbĩ namamukolia, “kutendeeii gua?” 
LUK.3.11	Nushookeelia nuaĩĩla, “Nutĩĩte intiila zibĩlĩ wamupeele namugila, nduyo nutĩĩte india watende iio-iioo.” 
LUK.3.12	Nĩasangulia-koodi naamuagaana abadĩziigue, naamuĩĩla, “Mumania, aishie kutendeeii.” 
LUK.3.13	Nuaĩĩla “Mulekishangulia kwikĩlĩkĩĩla namualagĩĩligue.” 
LUK.3.14	Sunga ĩĩlaasi naamukolia naaũga, “Aishie kutendeeii.” Nuaĩĩla “Lekioopokiĩ kamumtu wensi katia kukumusokia kuulongo, kangĩ muendue muumo nĩkĩnamulĩmo kiani.”
LUK.3.15	Nĩantu pĩna alĩ alaaĩlĩĩle nazĩkakigyelela, naipindĩkia munkolo zaao impola za kĩYohana zĩmbũge kĩna uyo muene Kilisito, 
LUK.3.16	uYohana nushookeelia nuaĩĩla tũlũ “ĩne tai nukumubadĩĩzagiaa kumazĩ, ĩpa upolokile umukola usũũmi kwinkĩla ĩne, nineene sikaka nijĩpĩĩle kukumutũngulĩlia sunga ĩmĩkoa ya ilaatu yaakue. Uzo ukakumubadĩĩzia kuMuau Muelu nukumooto. 
LUK.3.17	ĩKĩsela kiakue kiĩlĩ mumukono waakue, nduyo ukakukĩpiagula sue ĩkĩuga kiakue, ukakuuĩĩka uupemba mwishagĩ liakue, ĩpa ĩmapuulĩlo ukakumasonsa mumooto nasika ukudibaa.”
LUK.3.18	Iio gua, nuasugula kunkaani nazĩngĩ ningĩ nukukuatanantĩlia ĩantu iMpola naNziiza. 
LUK.3.19	Ĩpa ũjũmbe Helode pĩna nutakĩlua nduyo kunsooko ya kĩHelodia umusungu wa munũna waakue, nukunsooko ya ubĩĩ tũlũ uHelode naaluutendile, 
LUK.3.20	nongeelia kangĩ nuutendi uu numutũnga uYohana mukĩtũngo.
LUK.3.21	ĩAntu tũlũ pĩna naabadĩĩzigua, nũYesu pĩna nubadĩĩzigua pĩna alĩ wilompa, igyulu nalĩkũnukuka 
LUK.3.22	nuMuau Muelu nutima mumuakue zĩ kũkyelu lya nkunda, nululi nalupũna kwigyulu, naluũga “Ue uue Muana waaane muloogua, nanumuloeeligue ninduue.”
LUK.3.23	ũYesu pĩna nuandia umulĩmo waakue alĩ waalĩĩ zĩ miaka makumi matatu, nusĩĩgĩlua kĩna muana wa kĩYosefu, mwana wakĩ Heli, 
LUK.3.24	wakĩ Matati, wakĩ Lawi, wakĩ Meliki, wakĩ Yosepũ, wakĩ Heli, 
LUK.3.25	wakĩ Matatia, wakĩ Amosi, wakĩ Nahumũ, wakĩ Esili, wakĩ Nagai 
LUK.3.26	wakĩ Maati, wakĩ Matatia, wakĩ Semei, wakĩ Yosepũ, wakĩ Yuda 
LUK.3.27	wakĩ Yoana, wakĩ Lesa, wakĩ Zelubabeli, wakĩ Selitieli, wakĩ Neli, 
LUK.3.28	wakĩ Meleki, wakĩ Adi, wakĩ Kosamũ, wakĩ Elimdamũ, wakĩ Eli, 
LUK.3.29	wakĩ Yosua, wakĩ Eliezeli, wakĩ Yolimũ, wakĩ Matati, wakĩ Lawi, 
LUK.3.30	wakĩ Simoni, wakĩ Yuda, wakĩ Yosepũ, wakĩ Yonamũ, wakĩ Eliakimũ, 
LUK.3.31	wakĩ Melea, wakĩ Mena, wakĩ Yolamũ, wakĩ Matata, wakĩ Natani, wakĩ Daudi, 
LUK.3.32	wakĩ Yese, wakĩ Obedi, wakĩ Boazi, wakĩ Salimoni, wakĩ Nasoni, 
LUK.3.33	wakĩ Aminadabũ, wakĩ Alamũ wakĩ Heziloni, wakĩ Pelesi, wakĩ Yuda, 
LUK.3.34	wakĩ Yakobo, wakĩ Isaki, wakĩ Ibũlahimu, wakĩ Tela, wakĩ Naholi, 
LUK.3.35	wakĩ Sekugi, wakĩ Lagaũ, wakĩ Pelegi, wakĩ Ebeli, wakĩ Seela, 
LUK.3.36	wakĩ Kenani, wakĩ Alifakisadi, wakĩ Semũ, wakĩ Noe, wakĩ Lameki, 
LUK.3.37	wakĩ Metusala, wakĩ Enoki, wakĩ Yeladi, wakĩ Mahaleli, wakĩ Kenani, 
LUK.3.38	wakĩ Enosi, wakĩ Seti, wakĩ Adamu, wakĩ Nzua.
LUK.4.1	ũYesu nwijuile uMuau Muelu, nushooka kwipũna kũYolidani, nutualua numuau kumbuga 
LUK.4.2	kuntondo makumi manĩĩ kunu nũgemua nũShetani muntondo zaasio sika alukulĩaa kakĩntu, sunga pĩna naziula nukolua nzala.
LUK.4.3	ũShetani numuĩĩla “malĩĩ ue ĩwĩ Muana wa kĩNzua, lĩĩĩle igyũe ĩlĩ lĩtũle ugalĩ.” 
LUK.4.4	ũYesu numushookeelia nuũga, “Yandĩkue, umuntu sika witũla muumĩ kuugalĩ dũũ.” 
LUK.4.5	Numunankĩlia kukiania, numulagĩĩla uutemi tũlũ wensi wa unkũmbigyulu kukatũngo kaniino. 
LUK.4.6	ũShetani numuĩĩla, “Nĩkakukupeela uusũũmi uu tũlũ nuukulu waakue, kunsooko uwaasio ĩne numupeeegue, nineene nukumupeela tũlũ wensi muna numuloelue. 
LUK.4.7	Iio gua, ue kanga wĩntekele, tũlũ mikitũla maako.” 
LUK.4.8	ũYesu nushookeelia numuĩĩla, “Yandĩkue, Umutekele ũShekulu Nzua waako, ninduyo wing'ene dũũ umutumĩle. 
LUK.4.9	numutuala kũYelusalemũ numuĩmĩkia kunsonge ya Numba ya kĩNzua, numuĩĩla, Malĩĩ ue ĩwĩ Muana wa kĩNzua, ĩsuulie pansĩ kwipũna ĩpa; 
LUK.4.10	Kuitĩ yandĩkue,
LUK.4.10	‘Ukakukulagĩlĩlia ĩmalaĩka aakue akulindĩĩle,’
LUK.4.11	Kangĩ,
LUK.4.11	ĩkakukukenka mumĩkono yaao,
LUK.4.11	Uleke kĩkũmpia umugulu waako mwigyũe.”
LUK.4.12	ũYesu numushookeelia, “Itambulue Uleke kumugema ũShekulu Nzua waako.” 
LUK.4.13	umupembelia, pĩna numala ĩmagemua mensi, numuleka kwityũngo.
LUK.4.14	ũYesu nushooka ningũlũ za kĩMuau, nuenda kũGalilaya; impola zaakue nazikũmuuka munsĩĩ tũlũ nazĩpiipĩ. 
LUK.4.15	Ninduyo alukumanagiaa mumasũnagogi maao nwikuligua nĩantu tũlũ.
LUK.4.16	Nupika kuNazaleti paasio pĩna alukulĩĩle, nũingĩla palutondo lwa wikyali mũshũnagogi kĩna alĩ ntendo yaakue, nuĩmĩka wasome. 
LUK.4.17	Nupeegua ĩkĩtabũ kya munakĩdagu Yesaya. Pĩna nukĩkũnukula ĩkĩtabũ kiasio nuona pĩna yandĩkue,
LUK.4.18	“uMuau wa kĩShekulu wĩĩlĩ mumuane,
LUK.4.18	kuitĩ wampakile ĩmakũta kukuatanantĩlia ĩatũka
LUK.4.18	iMpola na Nziiza.
LUK.4.18	Untumile nĩatanantĩlie ĩatũngua uutũnguĩlua waao,
LUK.4.18	nĩapokũ aone kangĩ,
LUK.4.18	nĩatende akolelua naalĩ atuunĩĩligue,
LUK.4.19	nuutanantie umuaka wa kĩShekulu namugombigue.”
LUK.4.20	Nukĩkũnĩkĩla ĩkĩtabũ, numushookelia umwĩtumi, nwikyalansa. Tũlũ ensi naalĩ akoolĩ mũshũnagogi naamutuupĩĩlĩkia. 
LUK.4.21	Nuandia kukuaĩĩla, “Nantende uandĩkua uu watimĩĩlagiguaa muakutuĩ aani.” 
LUK.4.22	Tũlũ naamukuĩla iiza, naakulĩlua kunsooko ya nkaani za ukende naalĩ zipũnile mumulomo waakue, naaũga “Uyu sika wayu muana wa kĩYosepũne?” 
LUK.4.23	Nuaĩĩla “Tai, mukimbuĩla uung'enua uu, ‘Mukilĩki, ĩkamie uuue;’ inkaani zensi nalĩ kuziigilie kĩna alĩ zitendekile muKapelinaũmũ zitende nĩndĩĩpa gua muna nsĩĩ yaako.” 
LUK.4.24	Nuũga “Tai namuĩĩla, Kutilĩ kamunakĩdagu nukugombagiguaa munsĩĩ yaakue umuene.” 
LUK.4.25	Ĩpa tai namuĩĩla, “Pantondo za kĩElia alĩ akoolĩ akiĩlua iingĩ muĨsilaeli pĩna igyulu aligyalĩlue miaka ĩtatu nĩmieli mutandatu, pĩna nĩtũla nzala nkulu munsĩĩ yensi; 
LUK.4.26	Ĩpa uElia sika alĩ mutume kuumuĩ wa aasio isiititũla kumukiilua wa Salepita munsĩĩ ya Sidoni. 
LUK.4.27	Kangĩ alĩ akoolĩanamatana iingĩ muĨsilaeli pantondo za munakĩdagu Elisha, sunga kutilĩ naalĩ mueligue isiititũla uNamani wa kuSilia.” 
LUK.4.28	Tũlũ ensi naalĩ akoolĩ mũshũnagogi pĩna naaziigia izi, naijulua nuutaki, 
LUK.4.29	naauuka naamupũnia kĩnzinzi kya kaa, naamutuala kunkilimbua ya nkonko pana alĩ nzengue ĩkaa yaao, koona amugumĩle pansĩ; kĩngaalĩ ngaalĩ 
LUK.4.30	Ĩpa uyo nukĩlĩla pakatĩ yaao, nulongola.
LUK.4.31	Nutima kuKapelinaũmũ, kaa ya Galĩlaya, nuĩ kuamania palutondo lwa wikyali. 
LUK.4.32	Naakũmia uumania waakue kunsooko ulukaani luakue alĩ lutĩĩte usũũmi. 
LUK.4.33	Mũshũnagogi alukoolĩ muntu munalĩsĩĩmuĩ, nukuuta kululi lukulu, 
LUK.4.34	nuũga “Hai! Kwĩmbii nĩnduue, Yesu Munazaleti. Wijile kukukumalane, Nukuĩzĩ kĩnaue wĩwaani, wĩMuelu wa kĩNzua.” 
LUK.4.35	ũYesu nulĩtakĩla nuũga Mũma! Pũna mumuakue! Paapo ĩlĩsĩĩmuĩ nalĩmuguusia pakatĩ yaao, nalĩmupũna, sika nalĩmulemaalia. 
LUK.4.36	Ensi naakũmia, naĩtambuĩla eene kueene naaũga, “Lukaani kĩ ulu, kuusũũmi ningũlũ ukumalagĩĩlia ĩmasĩĩmuĩ, ndayo mipũna.” 
LUK.4.37	iMpola zaakue nazikũmuuka munandĩ zensi za nsĩĩ niasio.
LUK.4.38	Nupũna mũshũnagogi, nũingĩla munumba ya kĩSimoni. uMukuĩ wa kĩSimoni, unina wa musungu waakue, alugonile muluĩle alĩ wisonselĩĩle naamulompa kunsooko yaakue. 
LUK.4.39	Nuĩmĩka piipĩ nduzo, nuutakĩla uuluĩle naumulegela. ĩkamuĩ nuuuka, nuĩ kuatumĩla.
LUK.4.40	ĩMpasu pĩna nĩsaalĩĩla, ensi naalĩ atĩĩte ĩaluĩle naauluĩle nawĩsiasia naaaleeta kumuakue. Numuĩĩkĩla wensi ĩmĩkoono nuakamia. 
LUK.4.41	Nĩmasĩĩmuĩ namaapũna iingĩ, namikuuta namiũga, “Uwe wĩmuana wa kĩNzua.” Numatakĩlĩkia, sika numagombia kwitambula, kunsooko alĩ mamanile kĩna uzo ingĩ Kilisito.
LUK.4.42	Pĩna naweela nupũna, nulongola kĩna tilĩ kaantu, ĩmaũmbĩ namaa kumudũũma, namapika kumuaakue, namaa kumugilĩĩlia walekilega kunsiao. 
LUK.4.43	Ĩpa nuaĩĩla, “Injĩpĩĩle kwitanantia impola na Nziiza za utemi wa kĩNzua numukaa nzia, kuitĩ yoi alĩ numutumue.”
LUK.4.44	Nũitanantagiaa mumasũnagogi ĩma muGalĩlaya.
LUK.5.1	Pĩna iyũmbĩ nalĩmutuunĩĩlia kukulutegeela ulukaani lwa kĩNzua, uzo alĩ wĩĩmĩkile pikiki lya nanza ya Genesaleti; 
LUK.5.2	nuona mapango mabĩlĩ namĩĩlĩ pikiki, ĩpa ĩazui alĩ apũnaa kukumoogia ĩmazũĩlo maao. 
LUK.5.3	Nũingĩla mwipyango lĩmuĩ, naalĩ lya kĩSimoni, numulompa walĩtelie iniino nikiki. Nũkyalansa numamania ĩmaũmbĩ pĩna alĩ wĩĩlĩ mũpyango. 
LUK.5.4	Pĩna nukondia kwitambula, numuĩĩla uSimoni, “Tuala pĩna ishimu mumagumĩle ĩmazũĩlo maani muzũe.” 
LUK.5.5	uSimoni nushookeelia numuĩĩla, “Shekulu, kuagile utiku pee, sika kwaligia kakĩntu, ĩpa kulukaani luako nĩkakumagumĩla ĩmazũĩlo.” 
LUK.5.6	Pĩna naatenda itĩ, naailingĩĩla inshiĩ ningĩ sunga ĩmazĩĩlo maao namiitiĩka. 
LUK.5.7	Naaangaazĩlia ĩakamantani aao naalĩ ĩĩlĩ mũpyaango lĩĩa, aaze kukuaalĩĩlia; naaaza naamijulia ĩmapango tũlũ mabĩlĩ sunga namiisheketela. 
LUK.5.8	uSimoni Petelo pĩna nuona, nutũngama pamĩgulu ya kĩYesu nuũga “Lega kumuane Shekulu, kunsooko ĩne numukola mĩlandu.” 
LUK.5.9	Kuitĩ alĩ wakulĩlaguaa uwingĩ wa nsiĩ naalĩ aligagiaa, uzo nĩĩĩa tũlũ naalĩ ĩpalumuĩ nduyo; 
LUK.5.10	sunga gaa uYakobo nuYohana ĩaana a kĩZebedayo, naalĩ akamantani a kĩSimoni. ũYesu numuĩĩla uSimoni, “Lekioopoka, kwipũna nantende ukitũlijũaa antu.” 
LUK.5.11	Pĩna naamasũgamĩĩlia ĩmapango pikiki, naaleka tũlũ naamutiata.
LUK.5.12	Pĩna alĩ wĩĩlĩ mukaa ĩmuĩ ya kaa zaasio, laaa, alukoolĩ muntu naalukankatile ĩmatana. Pĩna numuona ũYesu, nugua uũndaala numupeepia nuũga, “Shekulu, malĩĩ umuloe, wishũũma kwinjelia.” 
LUK.5.13	Paapo nuunansula umukono numuamba, nuũga, “Numuloe, eela!” Ĩkamuĩ ĩmatana namamulegela. 
LUK.5.14	Numulagĩĩlia waleke kumuĩĩla kamuntu. Nuũga, “Ĩpa lenda wĩambie kumupolia, upũnie ĩsadaka ya kueligua kumuako kĩna uMusa alulagĩlĩĩlie, yĩĩ ukuĩli kumuao.” 
LUK.5.15	Ĩpa impola zaakue nazishapatĩlĩkia; namĩlundĩĩla maũmbĩ makulu kwiigia nukwikamigua ĩmauluĩle maao. 
LUK.5.16	Ĩpa uzo alukĩũnaa kumbuga nulompa.
LUK.5.17	Palutondo lumuĩ lwa ntondo zaasio alĩ wimania alĩ akoolĩ Apalisayo nĩalangi alĩ ikyalansile naalĩ apũnile mũishaalĩ yensi ya Galĩlaya nuUyahũdi niYelusalemũ. Nuusũũmi wa kĩShekulu alĩ wĩpalumuĩ ninduyo kwikamia. 
LUK.5.18	Laaa, antu alĩ amukenkile muntu muluĩle wa kukiigyandi muulĩlĩ, naasiia kukumũingĩlia munumba kukumuĩĩka pamuakue. 
LUK.5.19	Pĩna naaulia ĩlioma lya kumũingĩlia kunsooko iyũmbĩ, naanankĩla kwityembe, naamũikia pakĩkololo muulĩlĩ waakue pakatĩ ntongela ya kĩYesu. 
LUK.5.20	Pĩna nuona uusuĩĩli waao, numuĩĩla “Mbuane, ĩmĩlandu yaako yeelagiguaa.” 
LUK.5.21	Naandia ĩalangi nĩApalisayo kukĩsĩĩgia, naaũga “Aauyu waani nwitambula inkaani za utuki? Waani nusũũmile kwileegelania ĩmĩlandu isiititũla uNzua wing'ene udũũ.” 
LUK.5.22	ũYesu pĩna nulĩnga uwĩsĩĩgia waao, nushookeelia, nuaĩĩla “Mwishĩĩga yaani munkolo zaani. 
LUK.5.23	Nayĩmbi naitontũ; kwiũga, ĩMĩlandu yaako yaleegagiguaa; katia kwiũga, ‘Uuka, ulongole.’ 
LUK.5.24	Ĩpa gua, mumane kĩna uMuana-muntu utĩĩte usũũmi muna nsĩĩ kwileegelania ĩmĩlandu.” Numuĩĩla umukiigyandi, “Nakuĩĩla uuka, wĩtuĩke uulĩlĩ waako, ulongole kukaa.” 
LUK.5.25	Ĩkamuĩ nuĩmĩka ntongela yaao nwĩtuĩka waasio naaluugonĩĩle, nulongola kunumba yaakue, kunu nukumukulia uNzua. 
LUK.5.26	Ukulĩlua nauityapa tũlũ ensi naamukulia uNzua, naijulua nuooa, naaũga Kuoonie makula natende.
LUK.5.27	Izi pĩna nazikĩla, nulongola, numuona musangulia koodi ĩliina liakue Lawi, wikyalansile panumba ya usangulĩlio wa koodi, numuĩĩla, “Ntiata.” 
LUK.5.28	Nuleka yensi, nuuuka, numutiata.
LUK.5.29	NuLawi numulũgĩla ndia ningĩ munumba yaakue. Muasio alĩ lĩkoolĩ yũmbĩ kyulu lya asangulia-koodi nĩnaĩngĩ naalĩ ikyalansile palumuĩ ndĩo pandia. 
LUK.5.30	ĩaPalisayo nĩalangi aao naĩĩ kuang'ung'untĩlia ĩamanigua aakue naaũga “Nĩkĩ mwilĩa nukwikopa palumuĩ nĩasangulia koodi nĩanamĩlandu?” 
LUK.5.31	ũYesu nushookeelia nuaĩĩla Naapanga agila kansula ya mukilĩki, ĩpa naaluĩle 
LUK.5.32	Sika nijile kukuĩĩta ĩanakulukuuluu, ĩpa ĩanamĩlandu, apele.
LUK.5.33	Nĩndĩo naamuĩĩla, “Nĩkĩ gua ĩamanigua a kĩYohana akulaalĩlaa nkua ningĩ nukwilompa, iio nĩamanigua a Apalisayo, ĩpa ĩaako akulĩaa nukwikopa?” 
LUK.5.34	ũYesu nuaĩĩla, “Mwishũũma mbii kukualaalĩlia ĩanawĩnga pĩna umutooli yĩensi nĩndĩo.” 
LUK.5.35	Ĩpa intondo zikiiiza pĩna ijilileegeligua umutooli; muntondo zaasio paapo ijilitũlilaalĩla.
LUK.5.36	Kangĩ nuaĩĩla ĩmpiani, “Kutilĩ kaumuĩ nukutemaa ĩkĩtaaso muntiila nampia nukukukĩĩĩkĩla muntiila nankulukulu; kanga watende itĩ umĩtanduĩle ĩntiila nampia, nĩkĩtaaso kiasio sika kilĩganĩĩla nĩniasio nankulukulu. 
LUK.5.37	kangĩ kutilĩ kaumuĩ nukutaagĩlaa umubinio mũyĩndĩ ya ndĩlĩ naikulukulu; kanga wataagĩle, umubinio namupia ukakuitandula iyĩndĩ ya ndĩlĩ, nunduo wiitĩka, niyĩndĩ ya ndĩlĩ ioononeka. 
LUK.5.38	Ĩpa umubinioo namupia utaagĩlue mũyĩndĩ ya ndĩlĩ naipia. 
LUK.5.39	Sunga kutilĩkaumuĩ nukukopaa umubinio nwa kalĩ nukwiona nsula kwikopa namupia; kuitĩ ukuũgaa, ‘Nwa kalĩ muuza nangũlũ.’”
LUK.6.1	Palutondo lwa wikyali pĩna alukĩlĩĩle mumĩgunda, ĩamanigua aakue naaũna upikisua naakuupikisa-pikisa mumĩkono, naakuulĩa. 
LUK.6.2	Ĩpa ityũmpĩ lya Apalisayo naaũga, “Nĩkĩmwitenda nalugiligue palutondo lwa wikyali.” 
LUK.6.3	ũYesu nushookeelia nuũga, “Sika musomilene kĩna alutendile uDaudi pĩna alĩ mukolue ĩnzala, uyo nĩndĩo naalĩ ĩensi nduyo. 
LUK.6.4	Kĩna alĩ wingĩĩle munumba ya kĩNzua, numasola ĩmapũli naalĩ mĩkũmbĩkĩlo kwa kĩNzua, nuMalia, nuapeela nĩaasio naalĩ ĩensi ninduyo, ĩmaasio namũiko kwilĩĩgua nĩnaĩngĩ isiititũla ĩapolia udũũ?” 
LUK.6.5	Nuaĩĩla, “uMuana-muntu ingĩ Shekulu wa lutondo lwa wikyali.”
LUK.6.6	Palutondo luua lwa wikyali nũingĩla mũshũnagogi nukwimania. Muasio alukoolĩ muntu, mukono waakue wa kĩgoosia alĩ mulema. 
LUK.6.7	ĩAlangi nĩApalisayo namukũsĩla, aone kaukikamania palutondo lwa wikyali, koona aone uusokia kumuakue. 
LUK.6.8	Ĩpa uyo nulĩnga ĩmasĩĩgo maao, numuĩĩla umuntu nwa mukono mulema, “Uuka, ĩĩmĩka pakatĩ.” Nuuuka nuĩmĩka. 
LUK.6.9	ũYesu nuaĩĩla, “Numukolia inie, Ijĩpĩĩlene palutondo lwa wikyali kwitenda naiiza katia naibĩĩ, kwigũna ĩnkolo ya muntu katia kwilimĩĩlia.” 
LUK.6.10	Nuakĩnduĩla tũlũ ensi pensi, numuĩĩla umuntu, “Golola mukono waako.” Nutenda iio, numukoono waakue naukamia. 
LUK.6.11	Naijulua nuutaki, naĩtambuĩla eene kueene amutende yaani ũYesu.
LUK.6.12	Pantondo zaasio nuenda kunkonko kwilompa, nwikyala utiku pee kukumulompa uNzua. 
LUK.6.13	Pĩna naweela, nuĩĩta ĩamanigua aakue, nuasaagula mumiao kyumi naabĩlĩ, nuĩĩta Atumua; 
LUK.6.14	uSimoni numuĩta Petelo, nuAndelea munũna waakue, Yakobo nuYohana, Filipo nuBalitolomayo, 
LUK.6.15	Matayo nuTomaso, Yakobo ũsha Alifayo nuSimoni nukuĩtanguaa Zelote, 
LUK.6.16	Yuda sha Yakobo nũYuda nwa kuIsikaliote, uyo naalĩ musakania.
LUK.6.17	Nutima palumuĩ ndĩo nuĩmĩka paweeleela palumuĩ niyũmbĩ lya amanigua aakue numulundo namukulu wa antu naalĩ upũnile muUyahũdi wensi numũYelusalemũ numunkilimbua za Tilo nĩSidoni; naalĩ ijile kukumũigia nukwikamigua uuluĩle waao; 
LUK.6.18	nĩndĩo naalĩ akuagagiguaa nĩmasĩĩmuĩ; naakamigua. 
LUK.6.19	Niyũmbĩ tũlũ nalĩgema kukumupaatia kunsooko uusũũmi alĩ ukumupũnaa naukuakamia tũlũ.
LUK.6.20	Nunansula ĩmiiso maakue kuamanigua aakue, nuũga “Mualiukũ inie atũka kunsooko uutemi wa kĩNzua ingĩ waani.
LUK.6.21	“Mualiukũ inie namuakolue ĩnzala ĩpaino, kunsooko mukakikyutigua.
LUK.6.21	“Mualiukũ inie namũlĩla ĩpaino, kunsooko mukisheka.
