MAT.1.1	Yesu Kristo a ofi ɔhene Dawid ne Abraham abusua mu no mpanyimfo din na edidi so yi: 
MRK.1.39	Enti ɔkɔɔ Galileaman mu baabiara kɔkaa Asɛmpa no wɔ hyiadan mu, tuu ahonhommɔne bebree nso.
MRK.1.40	Ɔkwatani bi bɛkotow no srɛɛ no sɛ, “Mesrɛ wo, sa me yare.”
MRK.1.41	Ɔkwatani no yɛɛ Yesu mmɔbɔ, enti ɔde ne nsa kaa no kae se, “Mɛsa wo yare! Wo ho ntɔ wo!” 
MRK.1.42	Amonom hɔ ara, kwata no fii ne ho maa ne ho tɔɔ no!
MRK.1.43	Yesu bɔɔ nʼano denneenen se, 
MRK.1.44	“Nka saa asɛm yi nkyerɛ obiara, na mmom fa wo ho kɔkyerɛ ɔsɔfo. Sɛ worekɔ a, fa wʼafɔrebɔde a Mose ahyɛ sɛ akwatafo a wɔasa wɔn yare mfa nka wɔn ho nkɔ no, ka wo ho kɔ sɛnea ɛbɛma obiara ahu sɛ, wo ho atɔ wo bio.”
MRK.1.45	Nanso ɔrekɔ no nyinaa, na ɔde nteɛteɛm rebɔ nʼayaresa no ho dawuru. Esiane eyi nti, sɛ Yesu kɔ baabiara a, nnipadɔm betwa ne ho hyia. Ɛno nti, afei baabiara a ɔbɛkɔ no, onyi ne ho adi. Enti ɔtenaa sare so hɔ maa nnipa bebree baa ne nkyɛn wɔ hɔ.
MRK.2.1	Nna bi akyi no, Yesu kɔɔ Kapernaum bio. Oduu hɔ no, nnipa pii tee sɛ waba hɔ. 
MRK.2.2	Ankyɛ na nnipa bebree bɛhyɛɛ ofi a na ɔwɔ mu no mu ma tɔ. Ofitii ase kaa Asɛmpa no kyerɛɛ wɔn. 
MRK.2.3	Mmarima baanan bi de obubuafo bi a wɔso no baa hɔ. 
MRK.2.4	Esiane sɛ na wontumi mfa nnipadɔm no mu nkɔ Yesu nkyɛn no nti, wɔforoo ɔdan a Yesu wɔ mu no, kotuu tokuru wɔ atifi. Wɔde obubuafo a ɔda ne kɛtɛ so no faa mu gyaagyaa no brɛoo de no kɔtoo Yesu anim.
MRK.2.5	Yesu huu wɔn gyidi a wɔwɔ wɔ ne mu no, ɔka kyerɛɛ ɔyarefo no se, “Ɔba, wɔde wo bɔne akyɛ wo!”
MRK.2.6	Nanso mmara no akyerɛkyerɛfo a wɔwɔ hɔ no tee nea Yesu kae no, wɔdwenee wɔ wɔn tirim 
MRK.2.7	se, “Asɛm bɛn na ɔreka yi! Abususɛm na ɔreka yi! Osusuw sɛ ɔyɛ Onyankopɔn? Onyankopɔn nko na otumi de bɔne kyɛ.”
MRK.2.8	Yesu huu wɔn adwene no, ɛhɔ ara, ɔka kyerɛɛ wɔn se, “Adɛn na moma asɛm a mekae yi haw mo? 
MRK.2.9	Me, Onipa Ba no, mewɔ tumi wɔ asase so sɛ mede bɔne kyɛ. Sɛ obi bɛka asɛm bi no, nyɛ den. Obiara betumi aka asɛm a mekae yi. 
MRK.2.10	Nanso sɛnea ɛbɛyɛ na mubehu sɛ Onipa Ba no wɔ tumi sɛ ɔde bɔne kyɛ nti,” ɔka kyerɛɛ obubuafo no se, 
MRK.2.11	“Mise wo sɛ, sɔre gyina hɔ. Fa wo kɛtɛ na kɔ wo fi.”
MRK.2.12	Obubuafo yi sɔre bobɔw ne kɛtɛ, na ɔde anigye ne ahosɛpɛw faa nnipadɔm no mu kɔe. Nnipa no ho dwiriw wɔn, ma wɔkamfoo Onyankopɔn kae se, “Yenhuu eyi bi da!”
MRK.2.13	Yesu san kɔɔ mpoano hɔ bio na ɔkaa Asɛmpa no kyerɛɛ nnipakuw a wɔahyia wɔ hɔ no. 
MRK.2.14	Bere a ɔnam mpoano hɔ no, ohuu Alfeo ba Lewi sɛ ɔte atowgyei. Ohuu no no, ɔka kyerɛɛ no se, “Di mʼakyi.” Ɛhɔ ara, Lewi sɔre dii nʼakyi.
MRK.2.15	Saa da no anadwofa, Lewi tow pon, too nsa frɛɛ nʼafɛfo towgyefo ne nnebɔneyɛfo bi sɛ wɔmmra na ɔne wɔn ne Yesu ne nʼasuafo nto nsa nnidi. Nnipa a wodii Yesu akyi no bi te sɛ Lewi ara pɛ. 
MRK.2.16	Farisifo no hui sɛ ɔne nnebɔneyɛfo ne towgyefo ato nsa redidi no, anyɛ wɔn dɛ. Wobisaa nʼasuafo no se, “Adɛn nti na ɔne towgyefo ne nnebɔneyɛfo te sɛ eyinom to nsa didi?”
MRK.2.17	Yesu tee nea wɔkae no, obuaa wɔn se, “Wɔn a wɔwɔ ahoɔden no, ɔyaresafo ho nhia wɔn. Wɔn a wɔyare no na ɔyaresafo ho hia wɔn. Mamma sɛ merebɛka akyerɛ atreneefo se wɔnsakra wɔn adwene na mmom, nnebɔneyɛfo.”
MRK.2.18	Da bi a Yohane Osuboni akyidifo ne Farisifo no redi mmuada no, nnipa bi kɔɔ Yesu nkyɛn kobisaa no se, “Adɛn nti na Yohane ne Farisifo no akyidifo di mmuada na wʼakyidifo de, wonni mmuada?”
MRK.2.19	Yesu nso bisaa wɔn se, “Moahu ayeforokunu nnamfo a wɔbɛba ayeforo ase a wɔbɛka se, wɔredi mmuada enti wɔrennidi anaa? Mmere dodow a wɔne ayeforokunu no nam no de, wɔrenni mmuada da. 
MRK.2.20	Nanso da bi bɛba a, wɔbɛfa ayeforokunu no afi wɔn nkyɛn. Saa bere no na wobedi mmuada. 
MRK.2.21	Ɛte sɛ wode ntama foforo atare ntama dedaw mu. Dɛn na ɛba? Ntaremu no bɛtew ntama dedaw no mu, na ayi afi mu, na ama tokuru a ɛda hɔ no aso asen kan de no. 
MRK.2.22	Munim sɛ wɔmfa nsa foforo ngu aboa nhoma nkotoku dedaw mu. Anyɛ saa a, ɛbɛpae. Nsa no behwie agu, na nkotoku a nsa no wɔ mu no nso bɛpaapae. Ɛsɛ sɛ wɔde nsa foforo gu nkotoku foforo mu.”
MRK.2.23	Homeda bi a Yesu ne nʼasuafo nam aburowfuw bi mu no, asuafo no pempan aburow no bi wee.
MRK.2.24	Farisifo no bi ka kyerɛɛ Yesu se, “Enni ho kwan sɛ wɔyɛ saa! Yɛn mmara mma ho kwan sɛ wobu aburow Homeda.”
MRK.2.25	Yesu nso bisaa wɔn se, “Monkenkan nea ɔhene Dawid yɛɛ bere a ɔkɔm dee ɔne wɔn a na wɔka ne ho no, 
MRK.2.26	ne sɛnea ɔkɔɔ Onyankopɔn fi, ɔsɔfo panyin Abiata bere so, na ɔne wɔn a wɔka ne ho kodii abodoo a wɔde abɔ afɔre ama Onyankopɔn no, a obiara nni ho kwan sɛ odi, gye asɔfo nko ara, no pɛn? Na ɛno nso tia mmara. 
MRK.2.27	Onipa nti na wɔyɛɛ Homeda, na ɛnyɛ Homeda nti na wɔbɔɔ onipa. 
MRK.2.28	Na me, Onipa Ba no mpo, mewɔ tumi sɛ mekyerɛ nea ɛsɛ sɛ onipa tumi yɛ Homeda!”
MRK.3.1	Yesu baa Kapernaum no, ɔkɔɔ hyiadan mu bio. Oduu hɔ no, ohuu ɔbarima bi a ne nsa baako awu.
MRK.3.2	Na saa da no yɛ Homeda enti na Yesu atamfo no retetɛw no ahwɛ sɛ ɔbɛsa ɔbarima no yare anaa. Na wɔabɔ wɔn tirim sɛ, sɛ ɔsa no yare a, wɔbɛkyere no! 
MRK.3.3	Yesu ka kyerɛɛ ɔbarima no se ommegyina nnipa no anim. 
MRK.3.4	Ɔdanee ne ho kyerɛɛ nʼatamfo no bisaa wɔn se, “Eye sɛ obi yɛ papa Homeda? Anaasɛ ɛyɛ da a wɔde yɛ bɔne? Ɛyɛ da a wɔde gye nkwa anaa wɔma obi nkwa hwere no?” Nanso wɔammua no. 
MRK.3.5	Ɔde abufuw hwɛɛ wɔn hyiae. Ɛhaw no sɛ wonni ahummɔbɔ ma nnipa enti ɔka kyerɛɛ ɔbarima no se, “Teɛ wo nsa no mu.” Ɔteɛɛ mu, na amonom hɔ ara, ne nsa no yɛɛ yie.
MRK.3.6	Ɛhɔ ara, Farisifo no kohyiaa Herodefo no ne wɔn susuwii ɔkwan a wɔbɛfa so akum Yesu no ho.
MRK.3.7	Yesu ne nʼasuafo no fii hɔ kɔɔ mpoano. Nnipadɔm fifi Galilea, Yudea, Yerusalem, 
MRK.3.8	Idumea, asubɔnten Yordan agya, Tiro ne Sidon fam nyinaa tu dii Yesu akyi. Efisɛ, na nʼanwonwade a ɔyɛ no atrɛw mmaa nyinaa enti na ebinom pɛ sɛ wɔbɛhwɛ no.
MRK.3.9	Ɔka kyerɛɛ nʼasuafo no se, wɔmpɛ ɔkorow bi nsi nkyɛn baabi na sɛ nnipadɔm no kyere ne so wɔ mpoano hɔ a, watena mu akɔ. 
MRK.3.10	Da no, na wasa nyarewa bebree. Nanso, na ayarefo no ba ara na wɔreba a wɔpɛe sɛ wɔde wɔn nsa ka nʼatade.
MRK.3.11	Bere biara a wɔn a wɔwɔ ahonhommɔne no bi behu no no, wotwa hwe fam, wosow biribiri, ka se, “Woyɛ Onyankopɔn Ba.” 
MRK.3.12	Nanso, ɔbɔɔ wɔn ano se, wɔnnkyerɛ onipa ko a ɔyɛ.
MRK.3.13	Akyiri yi, ɔkɔɔ bepɔw so, frɛɛ wɔn a wayi wɔn no baa ne nkyɛn. 
MRK.3.14	Oyii wɔn mu dumien a daa wɔne no bɛnantew, na wɔakɔka Asɛmpa no, 
MRK.3.15	na wɔatu ahonhommɔne nso. 
MRK.3.16	Dumien a oyii wɔn no din ni: Simon a ɔtoo no din foforo Petro. 
MRK.3.17	Sebedeo mma Yakobo ne Yohane nso, ɔfrɛɛ wɔn Boanerges a, ase ne aprannaa mma. 
MRK.3.18	Wɔn a wɔka ho nso ni: Andrea, Filipo, Bartolomeo, Mateo, Toma, Yakobo Alfeo ba; Tadeo ne Simon ɔmanyɛfo, 
MRK.3.19	ɛne Yuda Iskariot a oyii no mae no.
MRK.3.20	Ɔsan baa ofi a ɔte mu no mu no, nnipakuw bi san baa ne so bio. Ankyɛ koraa na ɛhɔ nyinaa ayɛ ma a onnya kwan koraa nnidi. 
MRK.3.21	Ne fifo tee asɛm a aba no, wɔkɔɔ hɔ sɛ wɔrekɔfa no akɔ wɔn fi, efisɛ, wɔkae se, “Ne tiri mu ka no.”
MRK.3.22	Mmara no akyerɛkyerɛfo a wofi Yerusalem bae no kae se, “Beelsebub a ɔyɛ ahonhommɔne panyin no afa no, na ɔnam saa tumi no so na etu ahonhommɔne no.”
MRK.3.23	Yesu frɛɛ wɔn kasa kyerɛɛ wɔn abebu mu se, “Ɛbɛyɛ dɛn na Satan betumi atu Satan? 
MRK.3.24	Ahenni biara a ɛne ne ho di asi no begu. 
MRK.3.25	Saa ara na ofi biara a ɛne ne ho di asi no nnyina ara ne no. 
MRK.3.26	Na sɛ Satan twa ne ho ne ne ho di asi a, ɛbɛyɛ dɛn na watumi adi nkonim? Obedi nkogu. 
MRK.3.27	Obiara ntumi nkɔ ɔhoɔdenfo fi nkɔfa ne nneɛma kwa, gye sɛ, onii no di kan kyekyere ɔhoɔdenfo no, ansa na watumi afa ne nneɛma.
MRK.3.28	“Mereka akyerɛ mo se, bɔne a onipa ayɛ biara no, wotumi de kyɛ no na mpo obi ka abususɛm tia me a, wotumi de kyɛ no; 
MRK.3.29	nanso nea ɔka abususɛm tia Honhom Kronkron no de, wɔremfa nkyɛ no da. Ɛyɛ bɔne a ɛrempopa da.”
MRK.3.30	Ɔkaa saa asɛm yi, efisɛ, na wɔka se, ɔwɔ honhommɔne.
MRK.3.31	Ogu so rekyerɛkyerɛ no, ne na ne ne nuanom begyinaa nnipadɔm no mu baabi somaa obi sɛ, ɔnkɔfrɛ no mmra, na wɔne no nkasa. 
MRK.3.32	Saa bere no na nnipadɔm no atwa ne ho ahyia. Nnipa no ka kyerɛɛ Yesu se, “Wo na ne wo nuanom gyina afikyiri hɔ pɛ sɛ wɔne wo kasa.”
MRK.3.33	Yesu bisaa wɔn se, “Hena ne me na? Ɛhefo ne me nuanom?” 
MRK.3.34	Ɔhwɛɛ nnipadɔm no hyiae kae se, “Eyinom ne me na ne me nuanom! 
MRK.3.35	Obiara a ɔbɛyɛ Onyankopɔn apɛde no, ɔno ne me nuabarima ne me nuabea ne me na.”
MRK.4.1	Bere a ogu so rekyerɛkyerɛ no, nnipadɔm san betwaa ne ho hyiae wɔ mpoano hɔ. Eyi nti, ɔkɔtenaa ɔkorow mu toaa ne nkyerɛkyerɛ no so. 
MRK.4.2	Na sɛnea ɔyɛ daa no, ɔnam mmebu so kasa kyerɛɛ wɔn. Baako a ɔkae ne sɛ,
MRK.4.3	“Da bi, okuafo bi kɔɔ nʼafum koguu aba. Ogu so regu aba no no, 
MRK.4.4	aba no bi guu kwankyɛn maa nnomaa bɛsosɔw ne nyinaa dii. 
MRK.4.5	Ebi nso koguu ɔbotan bi so. Nanso, dɔte a ɛwɔ so no nnɔɔso. 
MRK.4.6	Ankyɛ na efifii, nanso esiane sɛ dɔte a ɛwɔ ɔbotan no so no nnɔɔso no nti, owia bɔɔ so no, ne nyinaa hyewee. 
MRK.4.7	Aba no bi nso guu nsɔe mu, maa nsɔe no kyekyeree no enti antumi ansow aba. 
MRK.4.8	Aba no bi guu asase pa mu, maa ebi nyin sow mmɔho aduasa, ebi aduosia, ɛnna afoforo nso mmɔho ɔha! 
MRK.4.9	Sɛ mowɔ aso a, muntie!”
MRK.4.10	Akyiri yi a ɛkaa ɔne Dumien no ne asuafo afoforo bi no, wobisaa no se, “Asɛm a wokae no, ase ne dɛn?”
MRK.4.11	Obuaa wɔn se, “Mo de, wɔada Onyankopɔn ahenni ho ahintasɛm adi akyerɛ mo. Nanso, afoforo de, wɔka no abebu mu na ɛkyerɛ wɔn. 
MRK.4.12	Esiane saa nti, ‘wohu, na wɔte nanso wɔrente nea wɔte no ase, na wɔrennan mma Onyankopɔn nkyɛn, na wɔremfa wɔn bɔne nso nkyɛ wɔn.’ 
MRK.4.13	Na sɛ moante saa bɛ yi ase a, ɛbɛyɛ dɛn na moate mmɛ ahorow a merebebu no ase?
MRK.4.14	“Okuafo a mekaa ne ho asɛm no gyina hɔ ma obiara a ɔde Onyankopɔn asɛm no kɔma afoforo. Ɔregu aba pa no wɔ wɔn mu. 
MRK.4.15	Aba a eguu kwankyɛn no gyina hɔ ma wɔn a wɔte Onyankopɔn asɛm, nanso sɛ wɔte asɛm no a, ntɛm so, ɔbonsam ba wɔn nkyɛn, na wɔn werɛ fi nea wɔate no nyinaa. 
MRK.4.16	Aba a eguu ɔbotan so no gyina hɔ ma nnipa a wɔde anigye tie asɛm no. 
MRK.4.17	Nanso, wɔte sɛ aba a afifi foforo a ne ntini nkɔ fam. Mfitiase no, wɔkɔ so fɛfɛɛfɛ, nanso sɛ ɛba sɛ asɛm no nti, ɔtaa anaa amanehunu bi to wɔn pɛ, na wɔapa abaw.
MRK.4.18	“Aba a eguu nsɔe mu no nso gyina hɔ ma nnipa a wɔte Asɛmpa no, 
MRK.4.19	nanso ɛnkyɛ koraa na wiase yi mu afɛfɛde ne ahonyade ne ɔbra yi mu dadwene, nnaadaa ne nneɛma bi ho akɔnnɔ abɛhyɛ wɔn koma mu. Eyi nti, asɛm no ntumi nsow aba biara.
MRK.4.20	“Aba a eguu asase pa mu no gyina hɔ ma wɔn a wɔte Onyankopɔn asɛm no, na wɔsow aba bebree. Nnipa no bi sow mmɔho aduasa. Ebi nso sow aduosia, na afoforo nso sow ɔha.”
MRK.4.21	Afei Yesu bisaa wɔn se, “Moahu obi a ɔsɔ kanea na ɔde hyɛ mpa ase anaasɛ ɔde ahina butuw so? Dabida. Wɔrenhu kanea no hyerɛn anaa wɔrentumi mfa nyɛ hwee. Wɔde kanea si petee mu na ahyerɛn ma ɛho aba mfaso.
MRK.4.22	“Da bi, nea ahintaw saa bere yi no nyinaa bɛda adi. 
MRK.4.23	Nea ɔwɔ aso a obetie no, ma ontie. 
MRK.4.24	Momfa asɛm a mote no nyɛ adwuma. Moyɛ eyi ansa a na mobɛte nea meka kyerɛ mo no ase. 
MRK.4.25	Nea ɔwɔ biribi no, wɔbɛma no bi aka ho; nea onni ahe bi no, kakraa a ɔwɔ no mpo, wobegye afi ne nsam.”
MRK.4.26	Yesu san buu bɛ foforo faa Onyankopɔn ahenni no ho se, “Ɛte sɛ okuafo bi a okoduaa aburow wɔ nʼafum.
MRK.4.27	“Ogyaw nʼaburowfuw no hɔ kɔe a wanhwɛ, nanso aburow no nyinyinnii a onnim ɔkwan a ɛnam so nyinii. 
MRK.4.28	Asase no na ɛmaa aburow no fifii, yii ahaban, turuu mma, nyinii, hoae, 
MRK.4.29	maa okuafo no faa ne dade bebuu aburow no.”
MRK.4.30	Yesu bisae se, “Dɛn ho na mede ɔsoro ahenni no bɛto? Dɛn na menka mfa nkyerɛkyerɛ mu? 
MRK.4.31	Ɛte sɛ onyaa aba ketewaa bi. 
MRK.4.32	Ɛwom, ɛyɛ aba ketewaa bi de, nanso sɛ enyin a, ɛka nnutan akɛse no ho. Eyiyi abaa atenten ma nnomaa yɛ wɔn birebuw wɔ so.”
MRK.4.33	Abebu a ɛtete sɛ eyinom na ɔde kaa asɛm kyerɛɛ wɔn. 
MRK.4.34	Ɔnam abebu so na ɔkasa kyerɛɛ wɔn a wobetiee no no nyinaa, na sɛ ɛka ɔne nʼasuafo no nko a, ɔkyerɛ wɔn ne nyinaa ase.
MRK.4.35	Eduu anwummere no, Yesu ka kyerɛɛ nʼasuafo no se, “Momma yentwa nkɔ asuogya nohɔ.” 
MRK.4.36	Ɔkaa saa no, wogyaw nnipadɔm no hɔ na ɔne wɔn kɔe a akorow foforo di wɔn akyi. 
MRK.4.37	Prɛko pɛ, ahum kɛse bi tui, maa asorɔkye bu bɛkɛtaa ɔkorow no so, ma ɛyɛɛ sɛ ɛremem. 
MRK.4.38	Saa bere no, na Yesu wɔ ɔkorow no to de ne ti ato sumii so ada. Asuafo no de ahopopo ne nteɛteɛm konyanee no kae se, “Kyerɛkyerɛfo, yɛreyɛ amem yi, ɛmfa wo ho?”
MRK.4.39	Ɔsɔre teɛteɛɛ mframa no ka kyerɛɛ po no se, “Yɛ komm!” Mframa no gyaee, na po no yɛɛ dinn!
MRK.4.40	Yesu bisaa wɔn se, “Adɛn na moyɛ ahufo saa? Adɛn, munnye me nni anaa?”
MRK.4.41	Na wɔn ho dwiriw wɔn yiye, bisabisaa wɔn ho wɔn ho se, “Onipa bɛn ni a mframa ne po mpo tie no yi?”
MRK.5.1	Yesu ne nʼasuafo beduu po no fa baabi wɔ Gerasefo asase so. 
MRK.5.2	Ɔresi afi ɔkorow no mu no, ɔbarima bi a honhommɔne wɔ ne mu di mmirika fi amusiei behyiaa no.
MRK.5.3	Na saa ɔbarima yi te amusiei hɔ. 
MRK.5.4	Ɔyɛ obi a na ne ho yɛ den yiye nti, sɛ wɔde nkɔnsɔnkɔnsɔn mpo gu ne nsa a, otumi bubu mu a obiara ntumi nkɔ nʼanim. 
MRK.5.5	Awia ne anadwo nyinaa na ɔnenam amusiei hɔ mmepɔw no mu a, ɔde abo a ano yɛ nam twitwa ne ho.
MRK.5.6	Ɔbarima yi huu Yesu wɔ akyirikyiri no, otuu mmirika bebuu no nkotodwe.
MRK.5.7	Ɔteɛteɛɛm se, “Yesu, Ɔsorosoro Nyankopɔn no Ba, dɛn na wowɔ ne me yɛ? Mesrɛ wo, nyɛ me ayayade biara!” 
MRK.5.8	Yesu teɛɛ honhommɔne a ɛwɔ ɔbarima no mu no se, “Honhommɔne, fi ne mu fi!”
MRK.5.9	Yesu bisaa no se, “Wɔfrɛ wo dɛn?” Obuaa Yesu se, “Me din de ‘Dɔm’, efisɛ, yɛdɔɔso.”
MRK.5.10	Afei, ɔsrɛɛ Yesu anibere so sɛ ɔmmpam wɔn nnkɔ akyirikyiri.
MRK.5.11	Saa bere no, na mprakokuw bi redidi wɔ bepɔw no nkyɛn baabi a ɛbɛn po no. 
MRK.5.12	Enti, ahonhommɔne no srɛɛ Yesu sɛ, “Tu yɛn na yɛnkɔhyɛ mprako no mu.”
MRK.5.13	Yesu maa wɔn ho kwan ma wɔkɔhyɛɛ mprako no mu. Mprako no de ahoɔhare sianee bepɔw no koguu po no mu ma ɛfaa wɔn.
MRK.5.14	Mprakohwɛfo no guan baa nkurow a ɛbemmɛn hɔ no mu bɛkaa nea wɔahu no kyerɛɛ wɔn. Wɔn a wɔtee no kɔhwɛɛ nea asi no. 
MRK.5.15	Nnipakuw no duu faako a Yesu wɔ no, wohuu ɔbarima a na hohommɔne ahyɛ no ma no sɛ ɔte hɔ dinn a nʼadwenem atew no. Eyi maa wɔn ho dwiriw wɔn. 
MRK.5.16	Wɔn a wohuu nea asi no ka kyerɛɛ afoforo, 
MRK.5.17	maa nnipakuw no srɛɛ Yesu sɛ, omfi wɔn nkyɛn nkɔ, na wɔn ho ntɔ wɔn! 
MRK.5.18	Enti ɔsan foro kɔtenaa ɔkorow no mu. Ɔbarima a na honhommɔne wɔ ne mu no srɛɛ Yesu sɛ ɔpɛ sɛ ɔne no kɔ. 
MRK.5.19	Nanso, Yesu kae se, “Dabi, kɔ na kɔka anwonwade a Onyankopɔn ayɛ ama wo yi ne nʼahummɔbɔ ho asɛm kyerɛ wo nnamfo.”
MRK.5.20	Enti, ɔbarima no fii hɔ kɔɔ Dekapoli, “Nkurow Du”, no a ɛwɔ saa ɔmantam no mu no mu, kɔkaa anwonwade a Yesu ayɛ ama no no kyerɛɛ obiara. Wɔtee asɛm no no, wɔn ho dwiriw wɔn.
MRK.5.21	Yesu de ɔkorow no twa baa po no fa baabi no, nnipakuw betwaa ne ho hyiae wɔ mpoano hɔ.
MRK.5.22	Asafopanyin bi a na ɔwɔ hɔ a wɔfrɛ no Yairo no, buu Yesu nkotodwe, 
MRK.5.23	srɛɛ no sɛ, ɔnsa ne babea yare mma no. Ofi ahoyeraw mu ka kyerɛɛ Yesu se, “Abofra no rewu, enti mesrɛ wo sɛ, fa wo nsa bɛka no na onya nkwa.”
MRK.5.24	Yesu ne no kɔe a nnipakuw no di wɔn akyi. 
MRK.5.25	Na ɔbea bi a watu mogya mfe dumien ka nnipakuw no ho. 
MRK.5.26	Ɔde ne yare no akyin ayaresafo bebree so atua sika bebree ama wayɛ ohiani, nanso na ne ho ntɔ no ara. 
MRK.5.27	Na wate anwonwade a Yesu ayɛ no nyinaa, na ɛno nti na ɔde ne ho fraa nnipakuw no, de ne nsa besoo Yesu atade mu no.
MRK.5.28	Odwenee ho kae se, “Sɛ mitumi nya ne ho kwan, de me nsa so nʼatade mu kɛkɛ a, me ho bɛtɔ me.” 
MRK.5.29	Ampa ara, oso a osoo nʼatade no mu pɛ, na mogya no twae maa ne ho tɔɔ no!
MRK.5.30	Amonom hɔ ara, Yesu tee nka sɛ ayaresa tumi afi ne mu. Ɔdanee ne ho kyerɛɛ nnipakuw no bisae se, “Hena na osoo mʼatade mu no?”
MRK.5.31	Nʼasuafo no buae se, “Saa nnipakuw a obiara de ne ho twitwiw ne yɔnko yi na worebisa se, hena na ɔde ne nsa aka wʼatade?”
MRK.5.32	Nanso, ɔpɛe sɛ ohu onipa ko a osoo nʼatade mu no. 
MRK.5.33	Bere a ɔbea no huu asɛm a asi no, ɔde ahopopo bebuu Yesu nkotodwe kaa nea ɔyɛe no kyerɛɛ no. 
MRK.5.34	Yesu ka kyerɛɛ no se, “Ɔbabea, wo gyidi ama wo ho atɔ wo; fa asomdwoe kɔ; wo yare no agyae.”
MRK.5.35	Ogu so rekasa akyerɛ ɔbea no no, abɔfo fi Yairo fi bɛbɔɔ amanneɛ se, Yairo babea no awu, enti ɛho nhia sɛ Yesu bɛba bio. 
MRK.5.36	Yesu antie nea wɔreka no koraa, na ɔka kyerɛɛ Yairo se, “Nsuro. Gye me di.”
MRK.5.37	Afei, Yesu ka kyerɛɛ nnipakuw no se, obiara nnni mʼakyi nnkɔ Yairo fi hɔ gye Petro, Yakobo ne Yohane. 
MRK.5.38	Bere a Yesu duu hɔ no, ohui sɛ ɛhɔ nyinaa ayɛ manyamanya a nnipa retwa agyaadwo. 
MRK.5.39	Ɔkɔɔ ofi no mu ne wɔn a wɔwɔ hɔ no kɔkasae. Obisaa wɔn se, “Adɛn ne agyaadwotwa ne basabasayɛ yi? Abofra no nwui; nna na wada!”
MRK.5.40	Wɔn a wɔwɔ hɔ no tee asɛm a Yesu kae no, wɔserew no. Yesu ka kyerɛɛ wɔn a wɔwɔ fie hɔ no se, wɔn nyinaa mfi adi. Ɔne abofra no agya ne ne na ne nʼasuafo baasa no kɔɔ nea abofra no da hɔ.
MRK.5.41	Osoo abea no nsa na ɔka kyerɛɛ no se, “Talita kuum” a ase ne sɛ, “Abeawa, mise wo sɛ sɔre!” 
MRK.5.42	Amonom hɔ ara abeawa no sɔree na ofii ase nantewee. 
MRK.5.43	Na wadi mfirihyia dumien. Nea esii yi maa wɔn ho dwiriw wɔn papa.
MRK.6.1	Ankyɛ na Yesu ne nʼasuafo no fii nea wɔwɔ hɔ kɔɔ ne kurom Nasaret. 
MRK.6.2	Ɔkɔɔ hyiadan mu Homeda, fitii ase kyerɛkyerɛe, maa wɔn a wobetiee no no ho dwiriw wɔn wɔ ne nyansa ne nʼanwonwade a ɔyɛ no ho, efisɛ, nea wonim ne sɛ, ɔte sɛ wɔn ara pɛ.
MRK.6.3	Wɔkae se, “Ɔnsen yɛn wɔ hwee mu. Ɛnyɛ Maria ba kapentani a ne nuanom ne Yakobo ne Yosef ne Simon no ni? Ɛnyɛ yɛne no ne ne nuammeanom na ɛte ha!” Anokwa, wɔn bo fuwii.
MRK.6.4	Yesu ka kyerɛɛ wɔn se, “Odiyifo wɔ anuonyam wɔ nea ɔwɔ biara, gye ne kurom ne ne fi ne nʼabusuafo mu.” 
MRK.6.5	Na esiane sɛ wɔannye no anni no nti, wantumi anyɛ anwonwade ahorow wɔ hɔ, gye ayarefo kakraa bi na ɔde ne nsa guu wɔn so saa wɔn yare.
MRK.6.6	Gye a wɔannye no anni no yɛɛ no nwonwa de, nanso ɔkɔɔ so kyinkyinii nkuraa a ɛwɔ mpɔtam hɔ no ase kyerɛkyerɛe.
MRK.6.7	Yesu frɛɛ nʼasuafo dumien no baa ne nkyɛn, na ɔsomaa wɔn baanu baanu, maa wɔn ahonhommɔne so tumi. 
MRK.6.8	Ɔka kyerɛɛ wɔn se, wɔmmfa biribiara nnkita gye wɔn poma nko ara; wɔmmfa aduan anaa kotoku anaa sika. 
MRK.6.9	Bio, wɔmmfa mpaboa foforo anaa atade foforo nnka nea ɛhyɛ wɔn no ho.
MRK.6.10	Afei, ɔka kyerɛɛ wɔn se, “Baabiara a mobɛkɔ no, montena ofi baako pɛ mu. Monnsesa mo atenae. 
MRK.6.11	Na sɛ morefi kurow bi a wɔannye anaa wɔantie mo mu akɔ a, momporoporow mo nan ase tutuw mfa nni adanse.”
MRK.6.12	Asuafo no kɔ kɔkaa asɛm no kyerɛɛ obiara a wohyiaa no no sɛ ɔnsakra nʼadwene, ntwe ne ho mfi ne bɔne ho. 
MRK.6.13	Na wotutuu ahonhommɔne bebree, de ngo sraa ayarefo pii saa wɔn yare.
MRK.6.14	Esiane Yesu anwonwade a na ɔyɛ no nti, ne din trɛw maa ɔhene Herode tee ne nka. Ɔhene no susuwii sɛ Yesu yɛ Yohane Osuboni na wasan aba nkwa mu bio. Nnipa bi kae se, “Ɛnyɛ nwonwa sɛ otumi yɛ anwonwade a ɔyɛ yi.” 
MRK.6.15	Ebinom nso susuwii sɛ, Yesu yɛ odiyifo Elia na wasan aba. Afoforo nso kae se, odiyifo foforo bi a ɔte sɛ tete adiyifo akɛse no bi na waba.
