MAT.1.1	Авраампа Давид йӑхӗнчен ҫуралнӑ Иисус Христосӑн йӑх-несӗл тымарӗ. 
MRK.6.35	Каҫ пулса килнӗрен вӗренекенӗсем Иисус патне пырса ҫапла каланӑ: «Кунта ҫын пурӑнман вырӑн, ӗнтӗ каҫ та пулса килет. 
MRK.6.36	Эсӗ ҫынсене таврари ялсене кайса хӑйсем валли ҫӑкӑр туянмашкӑн ярсамччӗ, вӗсен ҫиме ҫук». 
MRK.6.37	«Ҫимелли вӗсене эсир хӑвӑр парӑр», – тавӑрнӑ Иисус. «Вӗсене ҫитерме пӗр ик ҫӗр динарийлӗх ҫӑкӑр кирлӗ. Кайса туянмалла-и вара пирӗн?» – тенӗ Ӑна. 
MRK.6.38	«Кайса пӑхӑр-ха, сирӗн миҫе ҫӑкӑр пур?» – тенӗ Иисус вӗсене. «Пилӗк ҫӑкӑрпа икӗ пулӑ», – тенӗ лешсем кайса пӗлнӗ хыҫҫӑн. 
MRK.6.39	Вара Иисус халӑха ушкӑнӑн-ушкӑнӑн ҫерем ҫине лартма хушнӑ. 
MRK.6.40	Ҫынсем ушкӑнӑн-ушкӑнӑн ҫӗршерӗн, аллӑшарӑн ларса тухнӑ. 
MRK.6.41	Унтан Иисус пилӗк ҫӑкӑрпа икӗ пулла илсе ҫӳлелле пӑхнӑ та Турра тав тунӑ. Ҫӑкӑрсене Вӑл халӑха валеҫмешкӗн вӗренекенӗсене хуҫа-хуҫа панӑ; икӗ пуллине те ҫавнашкалах валеҫнӗ. 
MRK.6.42	Пурте ҫисе тӑраннӑ. 
MRK.6.43	Унтан юлнӑ ҫӑкӑр татӑкӗсене, пулӑ татӑкӗсене тата вун икӗ кунтӑк туллиех пухнӑ. 
MRK.6.44	Ҫиекенсенчен арҫынсем кӑна пилӗк пине яхӑн пулнӑ.
MRK.6.45	Ҫавӑн хыҫҫӑнах Иисус вӗренекенӗсене кимӗ ҫине ларма, Хӑйӗнчен маларах тепӗр енне, Вифсаидӑналла, кимӗпе ишсе каҫма хушнӑ. Хӑй халӑха ӑсатма юлнӑ. 
MRK.6.46	Халӑхпа сывпуллашсан Иисус ту ҫине кӗлтума кайнӑ. 
MRK.6.47	Каҫхине кимӗ тинӗс варрипе ишсе пынӑ, Иисус вара пӗчченех ҫыран хӗрринче пулнӑ. 
MRK.6.48	Вӑл вӗренекенӗсем кӗсменпе вӑйран кайса ҫиле хирӗҫ ишнине курнӑ. Тул ҫутӑласпа вара, тинӗс ҫийӗпе утса, Иисус вӗсем патне пынӑ, иртсе каясшӑн та пулнӑ. 
MRK.6.49	Вӑл тинӗс ҫийӗпе утса пынине курсан вӗренекенӗсем, куҫа мӗлке курӑнать пулӗ тесе, хӑранипе кӑшкӑрсах янӑ. 
MRK.6.50	Вӑл пурин куҫне те курӑннӑран вӗсен сехри хӑпнӑ та. Иисус вара ҫав самантрах сасӑ парса: «Хастар пулӑр! Ку – Эпӗ, ан хӑрӑр!» – тенӗ. 
MRK.6.51	Вӑл вӗсен кимми ҫине ларсанах ҫил чарӑннӑ. Вӗренекенӗсем тӗлӗнмеллипех тӗлӗннӗ. 
MRK.6.52	Мӗншӗн тесен чунӗсем уҫӑлса ҫитеймен пирки вӗсем ҫӑкӑрпа тунӑ хӑвата та ӑнланса илеймен пулнӑ-ха.
MRK.6.53	Тинӗс урлӑ ишсе каҫсан вӗсем Геннисарет ҫӗрне ҫитнӗ те ҫыран хӗррине пырса чарӑннӑ. 
MRK.6.54+MRK.6.55	Кимӗ ҫинчен ансанах унти ҫынсем Иисуса палласа илнӗ те йӗри-таврах Ун ҫинчен пӗлтерсе ҫӳренӗ. Вара чирлисене вырӑнӗ-мӗнӗпех Иисус ҫавӑнта тенӗ ҫӗре илсе пыра пуҫланӑ. 
MRK.6.56	Яла-и, хулана-и – Иисус кирек ӑҫта пырсан та – пур ҫӗрте те ҫынсем чирлисене уҫӑ лаптӑка илсе тухса вырттарнӑ. Вара Иисусран тумтир аркине те пулин сӗртӗнтерме йӑлӑннӑ. Ӑна сӗртӗнекенсем пурте сывалнӑ.
MRK.7.1	Пӗррехинче Иисус патне фарисейсем тата Иерусалимран пынӑ темиҫе саккун вӗрентӳҫи пухӑннӑ. 
MRK.7.2	Вӗсем Иисусӑн хӑш-пӗр вӗренекенӗсем ҫуман, таса мар алӑпах ҫӑкӑр ҫинине асӑрханӑ та вӗсене ӳпкеленӗ. 
MRK.7.3	Кунта ҫакна каламалла: фарисейсем, пур иудейсем пекех, ваттисен йӑлипе аллисене тӗплӗн ҫумасӑр ҫимеҫҫӗ. 
MRK.7.4	Ҫавнашкалах пасартан тавӑрӑнсан та ҫӑвӑнас йӑлана туса ирттермелле, вара тин ҫимелле. Вӗсен тата ытти нумай йӑласене те тытса пымалла: савӑт-сапана та, сак-тенкеле те йӗркене пӑхӑнса ҫумалла. 
MRK.7.5	Унтан фарисейсемпе саккун вӗрентӳҫисем Иисусран ыйтнӑ: «Мӗншӗн Санӑн вӗренекенӳсем ваттисен йӑлине пӑхӑнмаҫҫӗ, ҫиес умӗн аллисене ҫумаҫҫӗ?» 
MRK.7.6	Иисус вӗсене ҫапла хуравланӑ: «Сирӗн ҫинчен, икӗ питлӗскерсем ҫинчен, Исаия пророк Турӑ сӑмахӗсемпе аван ҫырса хӑварнӑ: „Ҫак ҫынсем чӗлхи-ҫӑварӗпе Мана хисеплеҫҫӗ, анчах чун-чӗрипе Манран питӗ аякра. 
MRK.7.7	Вӗсем этем шухӑшласа кӑларнӑ вӗрентӗве, йӑла-йӗркене вӗрентеҫҫӗ пулсан, вӗсем Мана пуҫҫапни усӑсӑр“. 
MRK.7.8	Эсир те Турӑ хушнине пӑрахӑҫласа этем шухӑшласа кӑларнӑ йӑласене ҫеҫ – савӑт-сапа ҫӑвассине тата ҫавӑн евӗрлӗ ытти тем те пӗре – тытса пыратӑр». 
MRK.7.9	Иисус татах ҫапла каланӑ: «Эсир хӑвӑр йӑлӑра тытса пырас тесе Турӑ хушнине пӑрахӑҫлани лайӑх-им? 
MRK.7.10	Моисей ҫапла каланӑ пулнӑ-ҫке-ха: „Аҫу-аннӳне хисепле“ тата „Ашшӗне е амӑшне усал сӑмах калакана вилӗм ҫиттӗр“. 
MRK.7.11	Эсир вара мӗне вӗрентетӗр? „Ҫын хӑй ашшӗне е амӑшне парассине „корван“ (Турӑ валлилӗх) тесе уйӑрса хума пултарать“, – тетӗр эсир. 
MRK.7.12	Капла вӗренти вӑл ҫынна аҫушӑн е аннӳшӗн нимӗн тумасан та юрать тениех-ҫке. 
MRK.7.13	Ҫавнашкал япаласем эсир урӑх та нумай тӑватӑр. Ҫапла майпа эсир хӑвӑр кӑларнӑ йӑла-йӗркешӗн Турӑ сӑмахне пӑрахӑҫлатӑр».
MRK.7.14	Унтан Иисус халӑха чӗнсе ҫапла каланӑ: «Пурте Мана итлӗр те ӑнланса илӗр. 
MRK.7.15	Ҫынна тулашран кӗрекенни нимӗн те ирсӗрлетме пултараймасть, ӑшран тухаканни ирсӗрлетет. 
MRK.7.16	Илтме хӑлха пурри илттӗр!
MRK.7.17	Иисус халӑхран уйӑрӑлса пӳрте кӗрсен вӗренекенӗсем Унран ҫак ытарлӑх мӗне пӗлтернине ыйтнӑ. 
MRK.7.18	Иисус вӗсене ҫапла каланӑ: «Эсир те ҫав териех ӑнланусӑр-и? Тулашран кӗрекенни нимӗн те ҫынна ирсӗрлетме пултарайманнине те ӑнланмастӑр-и? 
MRK.7.19	Тулашран кӗрекенни ҫын чун-чӗрине мар, вар-хырӑмне кӗрет те тулашах тухать». (Ҫапла майпа Иисус мӗн пур апат-ҫимӗҫ таса пулнине пӗлтернӗ.) 
MRK.7.20	«Ӑшран тухаканни вара ҫынна Турӑ умӗнче ирсӗрлетет, – тенӗ Вӑл малалла. 
MRK.7.21+MRK.7.22	– Мӗншӗн тесен усал шухӑшсем пурте: мӑшӑра улталасси, аскӑнланасси, ҫын вӗлересси, вӑрласси, ҫӑткӑнланасси, хаярланасси, улталасси, чарак ҫукки, кӗвӗҫесси, Турра хурласси, мӑнкӑмӑлланасси, ӑссӑрланасси – ҫын ӑшӗнчен, чун-чӗринчен тухаҫҫӗ. 
MRK.7.23	Ҫак пӗтӗм усаллӑх ӑшран тухать, ҫынна Турӑ умӗнче ирсӗрлетет».
MRK.7.24	Унтан кайсан Иисус Тирпа Сидон ҫӗрне пынӑ та пӗр ҫуртра чарӑнса тӑнӑ. Вӑл Хӑй унтине никама та пӗлтересшӗн пулман, анчах ҫынсем пурпӗрех пӗлнӗ. 
MRK.7.25	Хӗрне усал ернӗ пӗр хӗрарӑм Иисус килни ҫинчен илтнӗ те, пырса, Ун ури умне ӳксе пуҫҫапнӑ, 
MRK.7.26	хӗрӗ ӑшӗнчи усала хӑваласа кӑларма тархасланӑ. Вӑл хӑй урӑх халӑх хӗрарӑмӗ, Сирофиники ҫынни пулнӑ. 
MRK.7.27	Анчах та Иисус ӑна ҫапла каланӑ: «Малтан ачасене тӑрантармалла, мӗншӗн тесен ачасем ҫиес ҫӑкӑра йытӑсене пӑрахса пани аван мар». 
MRK.7.28	«Ҫапли ҫапла та-ха, Хуҫамӑр, – тавӑрнӑ Ӑна хӗрарӑм, – анчах йытӑсем те ача-пӑча сӗтел айне ӳкернӗ тӗпренчӗксене ҫиеҫҫӗ-ҫке». 
MRK.7.29	«Сӑмаху тӗрӗс пулчӗ, – тенӗ ӑна Иисус, – халӗ каях, хӗрӳ ӑшӗнчи усал тухрӗ!» 
MRK.7.30	Киле пырсан ҫак хӗрарӑм хӑйӗн хӗрӗ вырӑн ҫинче выртнине курнӑ. Ун ӑшӗнчи усал тухнӑ иккен.
MRK.7.31	Иисус Тирпа Сидон ҫӗрӗнчен Вунхула ҫӗрӗ витӗр каллех Галилея тинӗсӗ хӗррине тухнӑ. 
MRK.7.32	Ҫавӑнта Иисус патне хӑлхасӑр, селӗп ҫынна илсе пынӑ та Ӑна ҫав ҫын ҫине аллине хума тархасланӑ. 
MRK.7.33	Иисус ӑна халӑхран уйӑрнӑ та, куҫа-куҫӑн юлсан, Хӑйӗн пӳрнисене унӑн хӑлхи шӑтӑкӗсене чикнӗ. Унтан Вӑл сурнӑ та унӑн чӗлхине сӗртӗннӗ. 
MRK.7.34	Вара тӳпенелле пӑхса ассӑн сывласа янӑ та ҫав ҫынна: «Еффафа», – тенӗ (ку вӑл «уҫӑл» тени пулать). 
MRK.7.35	Ҫав самантрах унӑн хӑлхи уҫӑлнӑ, чӗлхи ҫыхланни те иртсе кайнӑ, вӑл чип-чиперех калаҫа пуҫланӑ. 
MRK.7.36	Иисус ҫынсене ҫак ӗҫ пирки никама та калама хушман. Анчах чарнӑҫемӗн вӗсем ытларах та ытларах калаҫса ҫӳренӗ. 
MRK.7.37	«Вӑл мӗн туни пӗтӗмпех вырӑна килет, – тенӗ вӗсем тӗлӗнмеллипех тӗлӗнсе, – хӑлхасӑррисем те илтме тытӑнаҫҫӗ, чӗлхесӗррисем те калаҫма пуҫлаҫҫӗ».
MRK.8.1	Ҫав кунсенче пӗрре Иисус патне питӗ нумай халӑх пухӑннӑ. Ҫимелли вӗсен нимӗн те пулман. Иисус Хӑйӗн вӗренекенӗсене чӗнсе илсе ҫапла каланӑ: 
MRK.8.2	«Ҫак халӑха Эпӗ шеллетӗп: ҫынсем ӗнтӗ виҫӗ кун хушши Манпа пӗрле, ҫиме вӗсен нимӗн те ҫук. 
MRK.8.3	Килӗсене выҫах ярсан, вӗсем ҫул ҫинче халран кайӗҫ, мӗншӗн тесен хӑшӗ-пӗри питӗ инҫетрен килнӗ». 
MRK.8.4	«Кунта, ҫын пурӑнман вырӑнта, вӗсене тӑраниччен ҫитермелӗх кам ӑҫтан ҫӑкӑр тупма пултарӗ?» – тавӑрнӑ Ӑна вӗренекенӗсем. 
MRK.8.5	«Сирӗн миҫе ҫӑкӑр пур?» – ыйтнӑ вӗсенчен Иисус. «Ҫиччӗ», – тенӗ вӗсем. 
MRK.8.6	Вара Иисус халӑха ҫерем ҫине ларма хушнӑ. Унтан ҫав ҫичӗ ҫӑкӑра илсе Турра тав тунӑ та халӑха валеҫме вӗренекенӗсене хуҫа-хуҫа панӑ, лешсем вара валеҫнӗ. 
MRK.8.7	Тата вӗсен кӑштах вӗтӗ пулӑ пулнӑ. Турра тав тунӑ хыҫҫӑн Иисус пуллине те халӑха валеҫме хушнӑ. 
MRK.8.8	Пурте ҫисе тӑраннӑ. Юлнӑ татӑкӗсене тата ҫичӗ карҫинкка пухнӑ. 
MRK.8.9+MRK.8.10	Ҫиекеннисем тӑватӑ пине яхӑн пулнӑ. Халӑхпа сывпуллашсанах Вӑл вӗренекенӗсемпе кимӗ ҫине ларса Далмануфа ҫӗрне ишсе кайнӑ.
MRK.8.11	Унта фарисейсем пынӑ та Иисуспа тавлашма пуҫланӑ. Вӗсем, Ӑна илӗртсе тӗрӗслес тесе, тӳперен хӑват кӑтартма хистесех ыйтнӑ. 
MRK.8.12	Вара Вӑл ассӑн сывласа янӑ та ҫапла каланӑ: «Ҫак ӑру мӗншӗн-ха хӑват кӑтартма хистесех ыйтать? Чӑн калатӑп сире: ӑна нимӗнле хӑват та пулмӗ». 
MRK.8.13	Вӗсенчен уйӑрӑлсан Иисус каллех кимӗпе тинӗс тепӗр енне кайма тухнӑ.
MRK.8.14	Вӗренекенӗсем хӑйсемпе пӗрле ҫӑкӑр илме маннӑ, кимӗ ҫинче вӗсен пурӗ те пӗр ҫӑкӑр анчах пулнӑ. 
MRK.8.15	Иисус вӗсене хытарсах каланӑ: «Асӑрханӑр, фарисейсен кӑвас тӗпӗнчен, Иродӑн кӑвас тӗпӗнчен сыхланӑр». 
MRK.8.16	«Вӑл пирӗн ҫӑкӑр ҫуккишӗн ҫапла калать ӗнтӗ», – тенӗ вӗсем пӗр-пӗрин хушшинче. 
MRK.8.17	Вара Иисус вӗсем мӗн ҫинчен калаҫнине пӗлсе ҫапла каланӑ: «Мӗншӗн эсир хӑвӑрӑн ҫӑкӑр ҫукки пирки калаҫатӑр? Халичченех ӑнкарса, ӑнланса илейместӗр-и? Халичченех ӑс-тӑнӑрсем уҫӑлса ҫитеймерӗҫ-и? 
MRK.8.18	Куҫлӑ пулин те – курмастӑр-им? Хӑлхаллӑ пулин те – илтместӗр-им? Ҫакна астумастӑр-им: 
MRK.8.19	Эпӗ пилӗк ҫӑкӑра пилӗк пин ҫынна хуҫа-хуҫа парсан, юлашки юлнӑ татӑкӗсене миҫе кунтӑк туллиех пухрӑр-ха эсир?» «Вун иккӗ», – тавӑраҫҫӗ Ӑна. 
MRK.8.20	«Тата ҫичӗ ҫӑкӑра тӑватӑ пин ҫынна валеҫсе парсан, юлнӑ татӑкӗсене миҫе карҫинкка тултартӑр-ха?» «Ҫиччӗ», – теҫҫӗ лешсем. 
MRK.8.21	«Эппин мӗншӗн-ха халичченех ӑнланмастӑр?» – тенӗ вара Иисус.
MRK.8.22	Пӗррехинче, вӗсем Вифсаида витӗр тухнӑ чухне, Ун патне суккӑра ҫавӑтса пынӑ та Иисуса ӑна сӗртӗнме йӑлӑннӑ. 
MRK.8.23	Иисус ҫав суккӑр ҫынна ялтан ҫавӑтса тухнӑ та унӑн куҫне сурчӑкпа йӗпетсе шӑлса, ун ҫине аллине хурса ыйтнӑ: «Мӗн те пулин куратӑн-и?» 
MRK.8.24	Лешӗ пӑхнӑ та ҫапла каланӑ: «Уҫӑмсӑр курӑннӑ пирки иртсе ҫӳрекен ҫынсем йывӑҫ пек курӑнаҫҫӗ». 
MRK.8.25	Иисус каллех аллипе ун куҫне сӗртӗннӗ, пӑхма каланӑ. Суккӑр ҫын вара тӳрленнӗ, йӑлтах витӗр куракан пулнӑ. 
MRK.8.26	Вара Иисус ӑна киле ярса ҫапла каланӑ: «Яла-мӗне кӗрсе ан тӑр, ялта никама та каласа ан кӑтарт».
MRK.8.27	Унтан Иисуспа вӗренекенӗсем Филипп Кесарийӗ таврашӗнчи ялсене кайнӑ. Ҫул ҫинче Иисус Хӑйӗн вӗренекенӗсенчен: «Ҫынсем Мана Кам вырӑнне хураҫҫӗ?» – тесе ыйтнӑ. 
MRK.8.28	«Пӗрисем – Шыва кӗртекен Иоанн вырӑнне, теприсем вара – Илия вырӑнне, хӑшӗ-пӗрисем тата – пӗр-пӗр урӑх пророк вырӑнне хураҫҫӗ», – тавӑрнӑ вӗренекенӗсем. 
MRK.8.29	«Эсир хӑвӑр вара Мана Кам вырӑнне хуратӑр?» – ыйтнӑ вӗсенчен Иисус. «Эсӗ – Турӑ Суйласа илни, Христос», – тавӑрса каланӑ Ӑна Петр. 
MRK.8.30	Иисус вӗсене Хӑй ҫинчен никама та калама хушман.
MRK.8.31	Унтан Иисус вӗренекенӗсене Этем Ывӑлӗ нумай асап курасси ҫинчен, ятлӑ-сумлӑ ҫынсемпе аслӑ священниксем тата саккун вӗрентӳҫисем Хӑйне йышӑнас ҫукки ҫинчен кала пуҫланӑ. Тата Вӑл Хӑйне вӗлересси ҫинчен, виҫҫӗмӗш кунне чӗрӗлсе тӑрасси ҫинчен те каласа панӑ. 
MRK.8.32	Ҫак сӑмахсене Вӑл уҫҫӑнах каланӑ. Анчах та Петр Ӑна, аяккарах чӗнсе илсе, хирӗҫлеме пуҫланӑ. 
MRK.8.33	Вара Иисус вӗренекенӗсем ҫине ҫавӑрӑнса пӑхнӑ та Петра пат татса ҫапла каланӑ: «Кай Ман патӑмран, шуйттан! Эсӗ Турра юрӑхли ҫинчен мар, этеме юрӑхли ҫинчен шухӑшлатӑн!» 
MRK.8.34	Унтан халӑха тата Хӑйӗн вӗренекенӗсене чӗнсе илсе каланӑ: «Кам Ман хыҫҫӑн пырас тет, ҫав хӑй ҫинчен манса, хӑйӗн асап хӗресне йӑтса, Ман хыҫҫӑн пытӑр. 
MRK.8.35	Мӗншӗн тесен хӑйӗн пурӑнӑҫне упраса хӑварас текен ӑна ҫухатӗ. Хӑйӗн пурӑнӑҫне Мана тата Ырӑ Хыпара халалласа ҫухатакан ӑна упраса хӑварӗ. 
MRK.8.36	Ҫын, пӗтӗм тӗнчене хӑй аллине илсен те, хӑй чунне сиен тусан, ӑна мӗн усси пулӗ? 
MRK.8.37	Ҫын хӑй чунне мӗн хакпа илейӗ? 
MRK.8.38	Кам ҫак пӑсӑк та ҫылӑхлӑ ӑру хушшинче Манран тата Ман сӑмахӑмсенчен вӑтанать, Этем Ывӑлӗ те Ашшӗ мухтавӗпе, святой ангелӗсемпе пӗрле килсен унран вӑтанӗ».
MRK.9.1	«Чӑн калатӑп сире, – тенӗ унтан Иисус вӗсене, – ҫакӑнта тӑракансенчен хӑшӗ-пӗрисем Турӑ Патшалӑхӗ хӑватлӑн килнине хӑйсем виличченех курӗҫ».
MRK.9.2	Пӗр ултӑ кун иртсен Иисус Петра, Иакова тата Иоана ыттисенчен уйрӑммӑн Хӑйпе пӗрле ҫӳллӗ ту ҫине илсе кайнӑ. Вара Унӑн сӑн-сӑпачӗ вӗсен умӗнчех улшӑннӑ: 
MRK.9.3	Унӑн тумтирӗ юр пек чӑлт шуррӑн ҫуталса тӑнӑ, ҫӗр ҫинчи пӗр шуратакан та унашкал шуратаймасть. 
MRK.9.4	Сасартӑк вӗсене Иисуспа калаҫса тӑракан Илияпа Моисей курӑннӑ. 
MRK.9.5	Ҫавӑн чухне Петр Иисуса каланӑ: «Равви!
MRK.9.6	Ҫакна вӑл ним калама аптӑранӑран каланӑ, мӗншӗн тесен вӗсем хӑраса ӳкнӗ пулнӑ. 
MRK.9.7	Сасартӑк вӗсене пӗлӗт пырса хупӑрласа илнӗ, пӗлӗт ҫинчен вара: «Ҫакӑ Манӑн савнӑ Ывӑлӑм, Ӑна итлӗр!» – текен сасӑ илтӗннӗ. 
MRK.9.8	Вӗренекенӗсем йӗри-тавралла йӑпӑр-япӑр пӑхкаланӑ, анчах та Иисуссӑр пуҫне урӑх никама та курман.
MRK.9.9	Ту ҫинчен аннӑ чухне вара Иисус вӗсене мӗн курни ҫинчен Этем Ывӑлӗ вилӗмрен чӗрӗлсе тӑриччен никама та калама хушман. 
MRK.9.10	Вӗсем хушнине итленӗ: ҫын ҫине сӑмах кӑларман. Вилӗмрен чӗрӗлсе тӑрасси тени мӗне пӗлтерет-ши тесе кӑна пӗр-пӗринпе калаҫнӑ. 
MRK.9.11	«Мӗншӗн-ха саккун вӗрентӳҫисем Христосран маларах Илия килмелле теҫҫӗ?» – ыйтнӑ Унран вӗренекенӗсем. 
MRK.9.12	Иисус вӗсене ҫапла тавӑрса каланӑ: «Малтан Илия килсе пурне те хатӗрлесе хумалла тени тӗрӗсех ӗнтӗ. Эппин мӗншӗн-ха Этем Ывӑлӗн нумай асап курмалла, мӑшкӑл тӳсмелле тесе те ҫырнӑ? 
MRK.9.13	Калатӑп сире: Илия килнӗччӗ ӗнтӗ. Анчах та, Ҫырнинче каланӑ пекех, унпа ҫынсем хӑйсем мӗн тӑвас тенине турӗҫ».
MRK.9.14	Унтан Иисус, ытти вӗренекенӗсем патне пырсан, вӗсем тавра халӑх йышлӑн тӑнине, саккун вӗрентӳҫисем Хӑйӗн вӗренекенӗсемпе тавлашнине курнӑ. 
MRK.9.15	Ӑна асӑрхасанах пӗтӗм халӑх тӗлӗнсе кайнӑ, ҫынсем Ун патне чупа-чупа пырса сывлӑх суннӑ. 
MRK.9.16	«Эсир вӗсемпе мӗн пирки тавлашатӑр?» – тесе ыйтнӑ Вӑл саккун вӗрентӳҫисенчен. 
MRK.9.17	Халӑх хушшинчен пӗри Ӑна ҫапла хуравланӑ: «Вӗрентекен! Эпӗ Сан патна чӗлхесӗр тӑвакан усал сывлӑш ернӗ ывӑлӑма илсе килтӗм. 
MRK.9.18	Ҫав усал сывлӑш ӑна ӑҫта ярса илет, ҫавӑнта ҫӗре ӳкерет. Вара ывӑлӑм кӑпӑк кӑларса, шӑлне шатӑртаттарса выртать, шӑнӑр туртнипе хытсах каять. Ҫав усала хӑваласа кӑларма эпӗ Санӑн вӗренекенӳсенчен ыйтрӑм, анчах вӗсем пултараймарӗҫ». 
MRK.9.19	Иисус вара ӑна ҫапла тавӑрса каланӑ: «Эй, ӗненмен ӑру! Тата хӑҫанччен Манӑн сирӗнпе пулмалла-ши? Хӑҫанччен Манӑн сире тӳсмелле-ши? Ачине Ман патӑма илсе килӗр эппин». 
MRK.9.20	Ӑна Иисус патне илсе пынӑ. Усал сывлӑш Иисуса курнӑ-курманах ачана чӗтретсе пӑрахнӑ та, вӑл ҫӗре ӳксе, кӑпӑк кӑларса йӑвалана пуҫланӑ. 
MRK.9.21	«Ывӑлна капла пулни чылайранпа-и?» – ыйтнӑ вара Иисус ачан ашшӗнчен. «Мӗн пӗчӗкренех, – тенӗ лешӗ. 
MRK.9.22	– Усал сывлӑш ӑна пӗтерес тесе вута та, шыва та темиҫе хут сиктерчӗ. Хӗрхенсем пире, мӗн те пулин тума пултарсан, пулӑшсам». 
MRK.9.23	Иисус вара ӑна ҫапла каланӑ: «Мӗн чухлӗ те пулин ӗненетӗн пулсан, ӗненекеншӗн Турӑ пурне те пултарттарать». 
MRK.9.24	Ача ашшӗ, куҫҫульленсе, ҫав самантрах: «Ӗненетӗп, Хуҫамӑр! Ӗненсех ҫитерейместӗп пулсан, пулӑшсам!» – тесе кӑшкӑрса янӑ. 
MRK.9.25	Иисус, халӑх васкаса пуҫтарӑннине курса, усал сывлӑша чарса каланӑ: «Чӗлхесӗр-хӑлхасӑр тӑвакан сывлӑш, сана хушатӑп: тух ун ӑшӗнчен, текех нихӑҫан та ун ӑшне ан кӗр!» 
MRK.9.26	Вара усал сывлӑш кӑшкӑрса ярса, ачана чӗтретсе пӑрахса ун ӑшӗнчен тухнӑ. Ача вилнӗ пек выртнине курсан: «Вилсе кайрӗ», – тенӗ чылайӑшӗ. 
MRK.9.27	Анчах та Иисус ӑна аллинчен тытса тӑратнӑ та, вӑл тӑнӑ. 
MRK.9.28	Унтан, Иисус пӗр пӳрте кӗрсен, куҫа-куҫӑн юлнӑ вӗренекенӗсем Унран ҫапла ыйтнӑ: «Мӗншӗн эпир усала хӑваласа кӑлараймарӑмӑр?» 
MRK.9.29	«Усал-тӗсел таврашне кӗлтунипе тата типӗ тытнипе
MRK.9.30	Иисуспа вӗренекенӗсем ҫав тӑрӑхран кайнӑ. Вӗсем Галилея ҫӗрӗпе пынӑ. Хӑйсем унта пулнине Иисус пӗлтересшӗн пулман. 
MRK.9.31	Иисус Хӑйӗн вӗренекенӗсене: «Этем Ывӑлне ҫынсен аллине тытса парӗҫ, Ӑна вӗлерӗҫ, вӗлерсен виҫҫӗмӗш кунне Вӑл чӗрӗлсе тӑрӗ», – тесе вӗрентсе каланӑ. 
MRK.9.32	Анчах вӗсем ҫак сӑмахсене ӑнланса илеймен, Хӑйӗнчен ыйтма вара хӑранӑ.
MRK.9.33	Иисуспа вӗренекенӗсем Капернаума ҫитнӗ. Пӗр пӳрте кӗрсен Иисус вӗренекенӗсенчен ыйтнӑ: «Ҫул ҫинче эсир пӗр-пӗринпе мӗн ҫинчен калаҫаттӑрччӗ-ха?» 
MRK.9.34	Вӗсем чӗнмен, мӗншӗн тесен ҫул тӑршшӗпех хӑйсенчен хӑшӗ аслӑраххи пирки тавлашса пынӑ пулнӑ. 
MRK.9.35	Ларсан Вӑл Вун иккӗшне Хӑй патне чӗнсе илнӗ те ҫапла каланӑ: «Кам пуринчен те аслӑ пулас тет, ҫав пуринчен те кӗҫӗн, пуриншӗн те тарҫӑ пултӑр». 
MRK.9.36	Вара Вӑл пӗр пӗчӗк ачана вӗсен умне илсе пырса тӑратнӑ. Унтан, ачана ыталаса, вӗренекенӗсене каланӑ: 
MRK.9.37	«Кам ҫакнашкал ачасенчен пӗрне Ман ятӑмшӑн хапӑл тӑвать, ҫав Мана йышӑнать. Мана хапӑл тӑваканни Мана ҫеҫ мар, Мана кунта Яракана та йышӑнать».
MRK.9.38	«Вӗрентекен! – тенӗ ҫавӑн чухне Иоанн. – Эпир Сан ятупа усалсене хӑваласа кӑларакан пӗр ҫынна тӗл пултӑмӑр, анчах хамӑрпа пӗрле ҫӳременрен эпир ӑна чартӑмӑр». 
MRK.9.39	Иисус вара ҫапла каланӑ: «Ан чарӑр ӑна: Ман ятӑмпа хӑват тӑвакансенчен нихӑшӗ те Ман ҫинчен часах усал калаҫас ҫук. 
MRK.9.40	Кам сире хирӗҫ мар, ҫав сире майлӑ». 
MRK.9.41	«Чӑн калатӑп сире: кам сире Христос ҫыннисем тесе Ман ятӑмпа пӗр курка шыв ӗҫтерет, ҫав хӑйӗн илес сӑвапне ҫухатмӗ.
MRK.9.42	Кам та кам ҫак Мана ӗненекен пӗчӗкскерсенчен пӗрне те пулин илӗртсе ҫылӑха кӗртет, ҫавӑн мӑйне арман чулӗ ҫакса тинӗсе пӑрахсан, ӑна хӑйне лайӑхрах пулӗччӗ. 
MRK.9.43	Сана аллу ҫылӑх тума илӗртет пулсан, ӑна касса пӑрах: икӗ аллупа тамӑка, сӳнми вута кӗриччен ӗмӗрлӗх пурӑнӑҫа чӑлаххӑн кӗни саншӑн лайӑхрах. 
MRK.9.44	Унта, тамӑкра, вӗсене ҫиекен хурчӗ те вилмест, ҫунтаракан вучӗ те сӳнмест
MRK.9.45	Сана уру ҫылӑх тума илӗртет пулсан, ӑна касса пӑрах: икӗ урупа тамӑка, сӳнми вута пӑрахнинчен ӗмӗрлӗх пурӑнӑҫа уксаххӑн кӗни саншӑн лайӑхрах. 
MRK.9.46	Унта, тамӑкра, вӗсене ҫиекен хурчӗ те вилмест, ҫунтаракан вучӗ те сӳнмест. 
