MAT.1.1	Iya na itu kapangkatan si Isa Almasi, panubu' si Daud iya panubu' si Ibrahim.
MRK.12.13	Na, niya' pipahi' ni si Isa manga Parisi maka manga be'-bean si Herod. Siyoho' sigam tiyaw iya pahap bo' supaya iya tasaggaw ma panambung na. 
MRK.12.14	Jari itu pahi' sigam ni si Isa bo' uk sigam, “Tuwan Guru, katauhan kami in kau pote' asal atay nu. 'Nsa' du kau tiyāw siyaway uk sayi-sayi sabab sali' du bohan nu ma aa kamemon. Bannal sadja pamandu' nu pasal kawul maka piil iya kibayaan uk Tuhan. Na, bang ma kau, bang kita ganta' mayad sukay ni parinta Roma iya deyo' min Sultan Mahatinggi hi', langgal ta baha' sara' agama tabi? Wajib kita mayad atawa 'nsa'?”
MRK.12.15	Suga' kitauhan asal uk si Isa pangakkal sigam, hangkan uk na ni sigam. “Angay kaam baya' naggaw aku ma bissala ku? Songin aku pisita. Pandain aku.”
MRK.12.16	Biyohan iya dakayo' pisita bo' tiyaw na sigam, uk na, “Patta' sayi maka ōn sayi ma sin itu?”
MRK.12.16	“Patta' Sultan Mahatinggi maka sulat na,” uk sambung sigam.
MRK.12.17	“Na!” uk si Isa, “pagka suku' sultan ko' itu pamayarun bi ni iya. Damikkiyan na bang niya' ayi-ayi suku' Tuhan, ungsurin bi isab ni Tuhan.”
MRK.12.17	Inu-inu magtuwi manga aa ian ma si Isa.
MRK.12.18	Puwas hi' niya' pay'an ni si Isa manga aa Saddusi, daginis agama Yahudi iya uk na 'nsa' niya' 'llum pabing ma 'llaw damuwi. Tiyaw sigam ma si Isa. 
MRK.12.19	“Tuwan Guru,” uk sigam, “niya' sara' bayi pangamban kitabi uk si Musa pasal aa matay ma 'nsa' taga tubu'. In balu na subay killo' handa uk siyay na bo' supaya niya' anak bista tubu' min aa bayi matay hi'. 
MRK.12.20	Na,” uk sigam, “niya' bayi pitu' lalla magdanakan. Maghanda siyaka hi' suga' matay iya ma 'nsa' taga anak. 
MRK.12.21	Jari balu hi', killo' handa uk siyay pasunu' bo' matay isab iya ma 'nsa' taga anak. Damikkiyan na isab siyay katallu na. 
MRK.12.22	Papuut ta na, in pitu' magdanakan bayi makahanda ni dakayo' du danda hi' bo' matay sigam kamemon ma 'nsa' taga anak. Ma katapusan na matay isab danda. 
MRK.12.23	Na, Tuwan,” uk sigam, “bang taabut 'llaw pagpakallum pabayik manga aa magpatayan, handa sayi baha' danda hi'? Sabab bayi iya takallo' handa uk sigam kapitu' magdanakan.”
MRK.12.24	Nambung si Isa ma sigam, uk na, “Iya hangkan kaam sā' sabab 'nsa' katauhan bi bang ayi ma diyōm kitab, maka 'nsa' katauhan bi kōsōg kawasa Tuhan. 
MRK.12.25	Sabab bang manusiya' itu pikallum min kamatay makasali' du sigam ni bangsa malaikat ma diyōm sulga' sabab 'nsa' na sigam maghanda-maghalla. 
MRK.12.26	Na, iya pasal isab manga aa pikallum pabing min kamatay, kila ku 'nsa' tabassa bi ma diyōm kitab si Musa, iya pasal poon puhung nuleyab. Halling Tuhan ma iya, ‘Aku iya Tuhan di si Ibrahim, si Isahak maka si Ya'kub.’ 
MRK.12.27	Tuhan itu,” uk si Isa, “pagtuhanan asal uk manga aa 'llum, 'nsa' uk aa magpatayan. Mehe pahap kasaan bi!” (Hati na masi 'llum di si Ibrahim ian ma diyōm ahirat minsan taggōl na kamatay ginhawa-baran sigam.)
MRK.12.28	Na, niya' may'an dakayo' guru ma sara' agama, bo' take na pagbissala si Isa maka manga Saddusi hi'. Tapikil na peen hap panambung si Isa ma sigam, pasikōt iya ni si Isa tiyaw, uk na, “Ingga iya panohoan Tuhan halgaan min kamemon?”
MRK.12.29	Uk si Isa, “Iya na itu dakayo', iya uk na hi', ‘Pake kaam bangsa Israil! Dakayo' du Panghu' tabi, iya na Tuhan tabi Alla. 
MRK.12.30	Wajib kaam lasa tōōd ma Panghu' bi Tuhan. Iya lasa bi ma iya subay min diyōm atay bi, min panahuhan bi, min diyōm ginhawa-baran bi, maka min kōsōg bi.’ 
MRK.12.31	Iya na itu panohoan karuwa na, iya uk na hi', ‘Wajib isab kaam lasahan pagkahi bi manusiya' sali' uk bi lasahan baran bi.’ 'Nsa' niya' panohoan makaliyu min duwa panohoan iyu hi'.”
MRK.12.32	“Tawwa', Tuwan Guru,” uk guru ian ni si Isa. “Bannal iya uk nu iyu. In Tuhan tabi dakayo' du. 'Nsa' niya' saddi min iya. 
MRK.12.33	Maka manusiya' itu wajib lasa ma Tuhan min diyōm atay na maka min diyōm ginhawa-baran na maka min kōsōg na. Wajib isab iya lasahan pagkahi na manusiya' sali' uk na lasahan baran na. Halgaan panohoan karuwa itu, wajib biyōgbōgan labi le' min hinang pangungsud sasumbayan atawa lalabōtan kaginis-ginisan ni Tuhan.”
MRK.12.34	Jari tasayu uk si Isa lōm tau aa ian nambung salaihi', hangkan uk na ma iya, “Kau iyu sikōt na ni diyōman pagparinta Tuhan.” Puwas hi' 'nsa' niya' makatawakkal tiyaw ayi-ayi ma si Isa.
MRK.12.35	Manjari itu, pasalta' peen si Isa mandu' ma diyōm langgal pagkulbanan, niya' tiyaw na, uk na, “Angay manga guru ma sara' agama magpandu' pasal si Almasi in iya tubu' si Sultan Daud? 
MRK.12.36	Sabab si Daud baran na bayi magpalatun, waktu kapagbaya' Nyawa Sutsi ma iya. Salaitu bayi pagpalatun na hi':
MRK.12.36	‘Bayi ngabtang Tuhan ni Panghu' ku, uk na,
MRK.12.36	Dayi' kau; ningko' kau ma bihing ku sakap ni katau,
MRK.12.36	Bo' bo ku palbantahan nu tatawu' ma deyo' pat-nayi' nu.’
MRK.12.37	Na,” uk si Isa, “pagka si Almasi iyōnan Panghu' uk si Daud, tantu iya 'nsa' panubu' si Daud sadja.”
MRK.12.37	Manjari landu' heka aa kiyōgan pake ma si Isa. 
MRK.12.38	Uk na ma diyōm pandu' na, “Halliin bi manga guru ma sara' agama, iya tagihan maglunsul magpamakay juba taha'. Tagihan isab sigam hiyulmat bang ma mayiran. 
MRK.12.39	Bang ma diyōm langgal baya' sigam pitingko' ma tingkoan bangsahan. Iya du bang sigam ma pagjamuhan, subay paningkoan iya tiyawuan aa langkaw. 
MRK.12.40	Nganyaya uk sigam manga luma' balu danda, maka pitaha' uk sigam sambahayang sigam paglaku-laku sigam in sigam bal-iman. Hangkan du pikalap kabinsanaan ma sigam ma ahirat.”
MRK.12.41	Na, ningko' peen si Isa ma diyōm langgal, ma tōngōd tuung pangahugan sin pagjakat, nganda'-nganda' iya ma manga aa ngahug sin pagjakat sigam. Heka aa dayahan hi' ngahug pilak heka. 
MRK.12.42	Manjari niya' pay'an dakayo' danda balu, miskin tōōd, ngahug duwa pisita tumbaga halga' na dakayo' sin. 
MRK.12.43	Sakali siyoho' uk si Isa manga mulid na patipun ni iya bo' uk na ma sigam, “Bannal iya pama' ku kaam itu, iya duwa pisita sin tahug uk danda miskin itu halgaan le' min pilak kamemon bayi tahug uk kasehean. 
MRK.12.44	Sabab kasehean ian bayi pamuwan sigam min alta' sigam maglabi-labi. Suga' danda itu, minsan iya miskin, bayi muwan sin na kamemon iya arak pamalli na balanja' na.”
MRK.13.1	Manjari itu, pasalta' peen si Isa paluwas min langgal pagkulbanan, niya' dakayo' mulid na halling ni iya, “'Ndaun ba, Tuwan!” uk na. “Lingkat pahap langgal itu maka manga batu bayi pangahinang iya!”
MRK.13.2	Nambung si Isa, uk na, “Tanda' nu kamehe langgal itu kamemon, a? Suga' baan ta kau, ma sosongun in langgal itu lubu du. 'Nsa' du niya' batu na ngapin magbangkat, kiyanat du kamemon.”
MRK.13.3	Puwas hi', ningko' peen si Isa ma Bud Kayu Jaitun, ma tampalan langgal pagkulbanan hi', pay'an ni iya si Petros, si Ya'kub, si Yahiya maka si Andariyas, bo' sigam-sigam sadja na. 
MRK.13.4	Uk sigam ni si Isa, “Pahatihun kono' kami bang umay paniya' iya bayi uk nu sini', maka bang paltandaan ayi piluwas bo' kitauhan in pakaradjaan ian kamemon song pitakka na?”
MRK.13.5	Nambung si Isa, uk na, “Kamaya'-maya' kaam bo' kaam 'nsa' kaakkalan. 
MRK.13.6	Sabab ma sosongun heka paitu nabbut ōn ku, maglaku-laku in sigam si Almasi na bo' heka tabo-bo iyakkalan uk sigam. 
MRK.13.7	Bang niya' take bi hunub-hunub pagbono' ma kasikōtan atawa habal pasal pagbono' ma lahat saddi, daa kaam gawa. Tantu paniya' pagbono' suga' 'nsa' le' ian hi' 'llaw kiyamat. 
MRK.13.8	Magbono' du bangsa dakayo' maka dakayo', parinta dakayo' isab maka parinta dakayo'. Paniya' du isab linug ma sabarang lahat, maka paniya' isab gōtōm. Suga' in bala' itu kamemon, tagnaan na sadja, sali' dalil danda battōng bang iyampa tananam na paddi' song nganak.
MRK.13.9	“Suga' kaam iyu,” uk si Isa, “subay painsap tōōd sabab siyaggaw du kaam bo' kaam pitakkahan ni paghukuman. Piglapdōsan du kaam ma diyōm manga langgal Yahudi. Biyo du kaam patampal ni manga gubnul maka ni manga sultan ma sabab aku iya pamean bi, supaya kaam makapatanyag lapal hap ni sigam. 
MRK.13.10	Lapal hap itu subay pignasihat dahu ni sabarang bangsa bo' iyampa taabut 'llaw kiyamat dunya. 
MRK.13.11	Bang kaam ganta' siyaggaw bo' pitakkahan ni sara' daa kaam magsusa dahu bang ayi subay pamissala bi. Ayi-ayi lapal pamuwan ma kaam bang taabut waktu na, iya na hi' pamissalahun bi. Sabab na 'nsa' baran bi iya halling ma waktu hi' suga' Nyawa Sutsi. 
MRK.13.12	Ma waktu siyong ian niya' du manga aa nukbalan danakan sigam ni aa bo' piyatay. Niya' du isab manga maas lalla nukbalan anak na bo' piyatay. Manga anak isab manta du ma maas sigam, noho' isab subay piyatay. 
MRK.13.13	Maka kaam manga mulid ku,” uk si Isa, “kibansihan du kaam uk aa kamemon ma sabab aku iya pamean bi. Suga' lappasan du sayi-sayi hōgōt iman na sampay napusan kabinsanaan ian.”
MRK.13.14	“Ma sosongun niya' du tanda' bi ayi-ayi makasammal pibōtang ma 'nsa' patut pabōtangan na. (Sayi-sayi kaam magbassa itu hi' siyoho' pahati). Bang ihi' piniya' na, sasuku pabōtang ma tana' Yahudiya subay lahi pahi' ni kabūd-būran. 
MRK.13.15	Bang niya' aa ganta' ma luwasan luma' na subay 'nsa' pabing ma diyōm luma' na ngallo' ayi-ayi na. 
MRK.13.16	Bang niya' aa ma huma na subay 'nsa' pabing ngallo' badju' na paghaggut. 
MRK.13.17	'Ndu', makaase'-ase' manga danda battōng ma masa ian hi' maka manga danda taga anak duru' le'. 
MRK.13.18	Amuin bi ase' ni Tuhan bang peen pakaradjaan ian 'nsa' magsabu maka musim haggut. 
MRK.13.19	Sabab iya kabinsanaan patumbuk ma masa ma sosongun ian,” uk si Isa, “kalap le' bisa na min kabinsanaan kamemon bayi kalabayan manusiya' sataggōl min waktu pamapanjari dunya uk Tuhan sampay ni kabuttihian. Maka 'nsa' isab kabayikan. 
MRK.13.20	Lipara kiyulangan du uk Tuhan taggōl kabinsanaan ian. Bang bayi 'nsa', 'nsa' du niya' ngapin 'llum. Kiyulangan du uk Tuhan ma sabab manga aa na iya asal tapene' na.
MRK.13.21	“Na, bang taabut waktu ian hi' bo' niya' ganta' ma' ni kaam, uk na hi', ‘'Ndaun bi! Tiya' na Almasi,’ atawa, ‘Ian na iya may'an,’ daa tōōd kahagarun bi. 
MRK.13.22	Sabab na ma waktu ian niya' du paluwas manga aa magnahu'-nahu' in sigam si Almasi atawa in sigam nabi min Tuhan. Magpanda' sigam hinang barakatan maka manga paltandaan kainu-inuhan aa bo' supaya kaakkalan sampay aa suku' Tuhan iya asal tapene' na, bang ganta' tabo iyakkalan. 
MRK.13.23	Suga' painsap kaam,” uk si Isa ni manga mulid na hi'. “Bayi na kaam pahati ku pasal pakaradjaan iyu kamemon, ma 'nsa' le' taabut waktu na.”
MRK.13.24	“Ma 'llaw ma sosongun ian,” uk si Isa, “puwas peen manga kabinsanaan bayi tasabbut ku hi', ngalindōm du mata 'llaw maka bulan 'nsa' na muwan sawa na. 
MRK.13.25	Manga bituun isab magkapakpak na min diyata' langit maka ayi-ayi bayi pibōtang uk Tuhan ma tōngaan ayan tabo du maglingas. 
MRK.13.26	Puwas hi' makanda' du manga manusiya' ma aku, Anak Manusiya' itu, me' min gabun tudju paitu. Tanda' du uk sigam kōsōg barakat ku maka sahaya ku. 
MRK.13.27	Soho' ku du manga malaikat ku ni 'mpat pidju dunya nipun manga aa bayi tapene' ku, min bihing langit dambiya' maka dambiya'.”
MRK.13.28	“Pamintangin bi poon kayu igira,” uk si Isa. “Bang tanda' bi kayu igira itu ngugbus tong engas-engas na sampay ngandawun na tōōd, minnihi' katauhan bi song musim pangallaw na. 
MRK.13.29	Damikkiyan na bang tanda' bi paniya' na bayi pamissala ku ma kaam hi', minnihi' isab katauhan bi in kabayik ku ni dunya sikōt na. 
MRK.13.30	Bannal iya pama' ku itu ma kaam, ma 'nsa' le' magpatayan manga aa iya 'llum ma buttihian, paniya' du pakaradjaan kamemon bayi pamissala ku hi'. 
MRK.13.31	Papinda du langit maka dunya suga' kabtangan ku itu 'nsa' tōōd magkapinda.”
MRK.13.32	“'Nsa' niya' makatau,” uk si Isa, “bang umay 'llaw maka waktu kabayik ku paitu ni dunya. Minsan bangsa malaikat ma diyōm sulga', 'nsa' kitauhan uk sigam. Minsan aku, Anak Tuhan, 'nsa' katauhan ku. Duwal 'Mma' ku Tuhan iya makatau. 
MRK.13.33	Painsap kaam! Pajaga kaam, sabab 'nsa' katauhan bi ian hi' bang umay waktu pamaniya' na. 
MRK.13.34	Iya dalil na sali' aa magbamba pakallo' min luma' na mangngan ni lahat saddi. Pajagahan na ayi-ayi na ma manga sosohoan na. Pabōtangan na sigam hinang pakaniya-kaniya, bo' amay-amayan na tunggu' lawang, siyoho' pajaga tōōd. 
MRK.13.35	Na,” uk si Isa, “iya du kaam subay pajaga sabab 'nsa' katauhan bi bang umay waktu katakka iya dapu luma', bang song kohap, tōnga' bahangi, waktu panigauk manuk, atawa waktu pagkallat 'llaw. 
MRK.13.36	Kamaya'-maya' kaam tagha' takka iya dapu luma', arakala' taabut kaam magtuwihan. 
MRK.13.37	Hangkan na panohoan ku ma kaam subay sali' uk ku ma aa kamemon, ‘Pajaga kaam!’ ”
MRK.14.1	Na, duwangallaw le' bo' hinang Pangintōman maka hinang pagkakan manga Yahudi tinapay 'nsa' kalamuran pasulig. Manjari manga kaimaman langkaw maka manga guru ma sara' agama mag-isun bang salaingga uk sigam naggaw ma si Isa ma 'nsa' niya' makatauhan iya, bo' supaya iya piyatay. 
MRK.14.2	“Daa pasalta' ta ma pagjamu,” uk sigam, “bo' 'nsa' hiluhala' manga aa mahadjana'.”
MRK.14.3	Na, ian si Isa ma Betani, ma diyōm luma' si Simun aa bayi ipul. Ma pagkakanan peen si Isa niya' pay'an ni iya dakayo' danda mo bingki'-bingki' hinangan batu pote', lōōnan 'nsallan pahamut. 'Nsallan itu 'nsallan narda 'nsa' niya' simbug na, landu' halgaan. Jari hiyopo' uk danda kallong bingki'-bingki' bo' tiyumpahan 'nsallan na hi' ni diyata' kok si Isa. 
MRK.14.4	Niya' may'an manga aa ngandugal bo' magbissala-bissala sigam, “Angay 'nsallan halgaan itu pikaat? 
MRK.14.5	Arapun piballihan labi tallu hatus pilak bo' ballihan na ian pamuwan ni manga aa miskin.” Jari siyaway bidda' uk sigam danda bayi numpa hi'.
MRK.14.6	Suga' halling si Isa, uk na, “Pasarin bi na iya. Angay iya sasaw bi? Hap kalandu' hinang na ma aku itu. 
MRK.14.7	Sabab saumul na peen niya' aa miskin ma kaam. Makatabang du kaam ma sigam bang niya' kabayaan bi umay-umay. Suga' aku itu 'nsa' du taggōl ma kaam. 
MRK.14.8	Danda itu bayi makahinang iya takowe' na, hati na tumpahan na 'nsallan pahamut ni baran ku pangawal 'llaw pagkubul ma aku. 
MRK.14.9	Bannal iya halling ku itu ma kaam,” uk si Isa, “paingga-paingga lahat pagnasihatan lapal hap ma kalohahan dunya, kissa du pasal bayi hinang danda itu pangintōman manga aa ma iya.”
MRK.14.10	Puwas peen ian si Judas Iskariyut, dakayo' mulid si Isa min sangpu' ka duwa, bayi pahi' ni kaimaman langkaw bahasa mag-isun nongan si Isa ni sigam. 
MRK.14.11	Pagtake sigam bang ayi gawi si Judas itu, magtuwi sigam kiyōgan bo' nganjanji' sigam namba iya maka sin. Puwas ian meha na iya waktu hap panong na si Isa ni sigam.
MRK.14.12	Na, taabut tagnaan 'llaw paghinang manga Yahudi ma hinang Tinapay 'Nsa' bayi Kalamuran Pasulig. Iya na ian 'llaw panumbay manga anak bili-bili iya kiyakan uk sigam pangintōman waktu bayi kapangalappas Tuhan ma ka'mbo'-mboan sigam ma lahat Misil hi'. Tīyaw si Isa uk manga mulid na. Uk sigam, “Maingga kabayaan nu panakapan kami pagjamuhan nu ma hinang Pangintōman?”
MRK.14.13	Jari siyoho' uk si Isa duwangan mulid na, uk na, “Pahi' kaam ni diyōm daira iyu. Siyampang du kaam uk dakayo' lalla mo kibut lōōnan bohe'. Turulun bi iya 
MRK.14.14	ni luma' iya pasōran na, bo' bain bi aa dapu luma' hi'. Uk bi, ‘Siyoho' kau tīyaw uk guru hi' bang maingga kono' bilik pagjamuhan na maka manga mulid na ma hinang Pangintōman?’ 
MRK.14.15	Jari pindaan du kaam bilik loha ma pangkat diyata',” uk si Isa. “Panyap asal bilik ian bo' may'an kaam magsakap kiyakan tabi.”
MRK.14.16	Na, pahi' duwangan mulid hi' ni diyōm daira. Tanda' uk sigam mahi' sali' bayi pamissala sigam uk si Isa bo' siyakap uk sigam kiyakan ma hinang Pangintōman.
MRK.14.17	Taabut peen song kohap magbe' si Isa maka mulid na sangpu' ka duwa pay'an ni luma' pagsakapan kiyakan hi'. 
MRK.14.18	Jari itu, pasalta' sigam mangan, missala si Isa ni sigam, uk na, “Bannal iya halling ku itu ma kaam, niya' dangan min kaam maggara' nongan aku ni banta ku. Tiya' ma itu magsawu maka aku.”
MRK.14.19	Magtuwi katakkahan susa manga mulid hi' bo' tiyaw sigam ma si Isa magsunu'-sunu'. Uk na hi', “'Nsa' baha' aku?”
MRK.14.20	Uk sambung si Isa, “Aa du min kaam sangpu' ka duwa, sehe' ku magsawu nublakan tinapay na ni diyōm pinggan itu. 
MRK.14.21	Aku itu, Anak Manusiya',” uk si Isa, “matay du sali' bayi tasulat ma pasalan ku ma diyōm kitab. Suga' siya-siya du aa iya nongan Anak Manusiya' ni banta na. Hap le' aa ian 'nsa' bayi iyanakan.”
MRK.14.22	Sabu peen sigam masi mangan, killo' tinapay uk si Isa. Iyamuan uk na pagsukulan bo' iyampa pighopo'-hopo' uk na bo' pamuwan na ma manga mulid na. “Sambutun bi,” uk na, “sabab tinapay itu baran ku ko'.”
MRK.14.23	Killo' isab uk na dakayo' sawan bo' iyamuan uk na isab pagsukulan bo' iyampa songan na ni sigam panginuman sigam kamemon. 
MRK.14.24	Uk na ma sigam, “Laha' ku ko' itu, tanda' kapagsulutan Tuhan maka manusiya'. Laha' ku song pitumpa ma sabab aa heka supaya sigam kalappasan. 
MRK.14.25	Bannal iya pama' ku itu ma kaam, puwas itu 'nsa' aku nginum bohe' anggul itu pabing. Subay aku ma diyōm pagparintahan Tuhan na bo' iyampa aku nginum bohe' anggul bahu.”
MRK.14.26	Puwas hi', ubus peen uk sigam bayi ngalang dakayo' kalangan pamudji Tuhan, paluwas na sigam minnihi' tudju ni Bud Kayu Jaitun.
MRK.14.27	Manjari halling si Isa ni sigam, uk na, “Lahi du kaam kamemon ngalabba min aku sabab tasulat ko' ian ma diyōm kitab. Uk na hi', ‘Papatay ku,’ uk Tuhan, ‘aa bayi ngipat bili-bili bo' kawukanat manga bili-bili bayi daumpigan.’ 
MRK.14.28	Suga' bang aku tapakallum na pabing min kamatay ku parahu du aku min kaam tudju ni lahat Jalil.”
MRK.14.29	Halling si Petros ni iya, uk na, “'Nsa' tōōd kau 'mbanan ku minsan kau 'mbanan uk kasehean itu.”
MRK.14.30	Uk si Isa, “Baan ta kau tōōd, ma sangōm itu, ma 'nsa' le' taminduwa panigauk manuk, mayilu du kau min tallu in aku 'nsa' katauhan nu.”
MRK.14.31	Gam peen kōsōg uk si Petros halling, uk na, “Minsan aku paunung matay ma kau 'nsa' du kau payiluhan ku.” Iya du manga mulid kasehean, salaihi' isab halling sigam.
MRK.14.32	Manjari palanjal le' sigam ni kabbun iyōnan Getsemane bo' uk si Isa ni manga mulid na, “Maitu le' kaam ningko'. Pay'an le' aku nambahayang.” 
MRK.14.33	Iya biyo uk si Isa sehe' na pay'an si Petros maka si Ya'kub maka si Yahiya. Sakali magkasusahan iya, magkabba-kabba atay na. 
MRK.14.34	Uk na ni tallungan mulid na hi', “Aku itu agōn magkamamatay ma sabab kasusahan itu. Ngagad kaam ma itu magjaga.”
MRK.14.35	Makalawak-lawak peen iya min sigam pahantak iya ni tana' maka uk na nabbut ni Tuhan. Iya iyamu' uk na bang makajari iya 'nsa' na pitakkahan kabinsanaan iya song taabut na. 
MRK.14.36	“'Ndu', 'Mma'!” uk na. “Bang makajari pakalloin le' min aku kabinsanaan itu. Suga' 'nsa' kabayaan ku subay diyulan, bang peen min kabayaan nu.”
MRK.14.37	Puwas hi' pabing si Isa ni manga mulid na tallungan bo' tatawwa' na sigam magtuwihan. Uk na ni si Petros, “O Simun, tuwi kau? 'Nsa' kau makatatas baha' nganjaga minsan laa danjam sadja? 
MRK.14.38	Pajaga kaam. Ngamu' kaam tabang ni Tuhan bo' kaam 'nsa' tabo uk sasat. Baya' tōōd kaam diyōm atay bi me' ma soho' ku suga' 'nsa' takaya uk baran bi.”
MRK.14.39	Sakali pahi' si Isa nabbut ni Tuhan pabing sali' bayi panabbut na dahu. 
MRK.14.40	Makabayik peen iya ni di si Petros tatawwa' na isab sigam magtuwihan pabing sabab kiyaru' kalandu'. 'Nsa' kitauhan uk sigam bang ayi panambung sigam ma si Isa.
MRK.14.41	Pagbayik si Isa kamintallu na, uk na ni sigam, “Oy, tuwi le' kaam? Pahali-hali le' kaam? Sarang na ko' iyu. Taabut na waktu. Aku, Anak Manusiya' itu, song na tiyukbalan ni pangantanan manga aa laat. 
MRK.14.42	Papunduk kaam. Sung na kitabi sabab iyu na aa iya nongan aku ni sigam.”
MRK.14.43	Na, pasalta' peen si Isa halling le' ni manga mulid na, magtuwi du takka pay'an si Judas, dakayo' mulid si Isa min sangpu' ka duwa hi'. Heka aa magbe' maka iya magbo takōs maka manga kakakal. Manga aa ian bayi siyoho' pay'an uk manga kaimaman langkaw sampay uk manga guru ma sara' agama maka manga kamaasan. 
MRK.14.44	Manga aa magtatakōs ian bayi asal biyuwanan pandōga uk si Judas. Bayi uk na ma sigam, “Iya aa siyum ku, iya na hi' saggaw bi. Bohun bi iya pahi' maka jagahin bi iya pahap-hap.”
MRK.14.45	Pagtakka si Judas pay'an magtuwi iya pasikōt ni si Isa. “Tuwan Guru,” uk na. Jari siyum uk na si Isa. 
MRK.14.46	Manjari siyaggaw na si Isa uk manga aa ian, intanan pahōgōt. 
MRK.14.47	Suga' niya' dakayo' min manga aa magtanggehan may'an ngahurusan patakōs na. Liyagut uk na dakayo' sosohoan Imam-nakura' bo' bintas dambiya' tainga na. 
MRK.14.48	Halling si Isa ni manga aa bayi managgaw iya, uk na, “Kaba' bi in aku mundu baha', iya poon kaam subay mo takōs maka kakakal panaggaw bi ma aku? 
MRK.14.49	Kahaba'-kahaba' 'llaw bayi aku mandu' ma diyōm langgal pagkulbanan hi'. Mahi' aku ma kaam bo' 'nsa' aku bayi saggaw bi mahi'. Suga' ayi-ayi bayi tasulat ma diyōm kitab subay niya' kamaksuran na.”
MRK.14.50	Manjari maglahihan manga mulid si Isa kamemon bo' pisaran iya may'an.
MRK.14.51	Niya' isab may'an dakayo' subul me' ma si Isa, magsiob-siob sadja. Arak iya siyaggaw uk sigam, 
MRK.14.52	suga' 'mbanan uk na siob bayi pisiag uk na bo' lahi iya ma 'nsa' niya' sammek na.
MRK.14.53	Manjari itu biyo si Isa uk sigam ni luma' Imam-nakura'. Ian magtipun manga kaimaman langkaw kamemon maka manga kamaasan maka manga guru ma sara' agama. 
MRK.14.54	Na, si Petros iya bayi paturul ma si Isa suga' min katahan. Paturul iya sampay pasōd na ni diyōm halaman luma' Imam-nakura' bo' may'an iya magtingkoan maka manga jaga imam hi', parangka di na ma bihing api. 
MRK.14.55	Iya kaimaman langkaw maka manga aa ma palhimpunan ian kamemon, meha sababan panuntut sigam ma si Isa bo' supaya iya pibōtangan hukuman ni kamatay. Suga' 'nsa' niya' panuntutan tatawwa' uk sigam. 
MRK.14.56	Heka magsaksi' puting bahasa iya katuntutan suga' 'nsa' mag-uyun saksi' sigam.
MRK.14.57	Niya' aa kasehean bayi nangge bahasa naksi' panuntut sigam ma si Isa suga' putingan isab. 
MRK.14.58	Uk na hi', “Bayi take kami aa itu ngupama in iya ngalubu langgal pagkulbanan iya hinangan tangan manusiya' ian. Bo' ma diyōm tallu 'llaw kono' matangge iya saddi, suga' 'nsa' manusiya' iya ngahinang iya.” 
MRK.14.59	Suga' minsan le' salaihi' panaksi' sigam 'nsa' du mag-uyun bissala sigam.
MRK.14.60	Manjari nangge Imam-nakura' ma tangngaan sigam niyaw ma si Isa. Uk na, “Kau iyu, 'nsa' niya' baha' daawa nu ma panuntut ma kau itu?”
MRK.14.61	Suga' 'nsa' halling si Isa. 'Nsa' iya nambung. Missala pabing Imam-nakura', uk na, “Kau si Almasi baha', Anak Tuhan?”
MRK.14.62	“Aku na,” uk si Isa. “Bo' tanda' bi du aku, Anak Manusiya' itu, ningko' ma bihing Tuhan Sangat Kawasa, sakap ni katau. Maka tanda' bi du aku paitu me' ma gabun min diyōm sulga'.”
MRK.14.63	Manjari giyese' uk Imam-nakura' juba na sabab min dugal na. Uk na, “Daa na kitabi meha saksi' saddi! 
MRK.14.64	Take bi na halling na pangkal ni Tuhan! Ayi pangahukum bi?” Sakali dauyunan du pangahukum sigam kamemon, in si Isa patut subay piyatay.
MRK.14.65	Jari niya' sigam kasehean nagna' ngaluraan si Isa. Tiyambunan isab bayihu' na uk sigam bo' iyampa pigtibu' uk sigam. Uk sigam ma iya, “Tōkōrun kono' bang sayi nibu' kau!” Siyampak isab iya uk manga jaga, pagkallo' peen sigam ma iya.
MRK.14.66	Na, ma diyōm peen si Petros ma halaman luma' hi', niya' palabay minnian dakayo' danda sosohoan Imam-nakura'. 
MRK.14.67	Pag'nda' na ma si Petros parangka ma api magtuwi 'nda' na pahap bo' uk na, “Kau iyu, bayi kau me' ma aa Nasaret ian, ma si Isa!”
MRK.14.68	Suga' mayilu magtuwi si Petros. “'Nsa' katauhan ku,” uk na. “'Nsa' tahati ku bang ayi halling nu iyu.” Bo' pakallo' iya minnihi' tudju ni bo' lawang paluwas min halaman hi'. Jari nigauk manuk.
MRK.14.69	Tanda' na iya pabing uk sosohoan danda hi' bo' halling iya ni manga aa magtanggehan may'an. Bayikan uk na bayi halling na tagna'. “Aa iyu,” uk na, “bayi sehe' sigam du.” 
MRK.14.70	Suga' mayilu na isab si Petros.
MRK.14.70	'Nsa' taggōl halling ni si Petros manga aa magtanggehan may'an. Uk sigam, “Katauhan kami du in kau bannal bayi sehe' di si Isa sabab aa Jalil du kau isab!”
MRK.14.71	Sakali napahan di na si Petros bo' uk na, “'Nsa' katauhan ku aa pagbissala bi iyu!”
