MAT.1.1	Jisu Krista ni phagararao ni greng: bo David ni basa, ar David, Abraham ni basa.
MRK.11.27	Jerusalem ha bonsi phaiphin ba. Jisu bikhoh ni bisingha daoding baha, Jonthaimarao jang Dara khe slingriyarao ar Khraorao boni ha phaihi bokhe sing ba, 
MRK.11.28	Ebo khusi buthu khe dang mane hukhum sere ninthane ri ba?
MRK.11.29	Jisu bonsi khe thiphin ba, Angbo nisi khe grao masi sing nang, nisi thiphin phu re thikhade, sereni hukhum jang ang khusi dang ba, bokhe ang thi nang. 
MRK.11.30	Baptisma riyaba Johan la sorgo ni phrang na subung ni phrang angkhe thiphin sang?
MRK.11.31	Bonsi jarni bisingha sainlai ba. Sorgo ni phrang jing thi khade, bo snadi jabani boni grao khe lonyaba? thi bu nang, 
MRK.11.32	Subung ni phrang jing thi khade jing subung buthu khe khin du; bede thikhade Johan khe khrip subungbo gibi gorasali thihi mani ba. 
MRK.11.33	Odebani Jisu khe thiphin ba, Jing mithiya.
MRK.11.33	Jisu bonsi khe thiphin ba, Ode thikhade angbo sereni hukhum jang ebo khusi buthu khe dang ba, ang sainthiya.
MRK.12.1	Odehe, Jisu bonsi niha daogari jang grao sainthi ba, Subung saosi grep ni bari dang ba. Ar sersi giding bari khe khading hi grep sep mane hakhorbo khu ba. 
MRK.12.2	Grep min dada, khao mane basain sophaiba ha, jarni phantha khe mai mane bo jarni leng saosi khe khusi dangyarao niha haiha ba. 
MRK.12.3	Khusi dangyarao bo leng khe rem dada, dohi suhi yao khongja jang haiphin ha ba. 
MRK.12.4	Bubra gibin leng khe phin haiphin ha ba. Khusi dangyarao boni bokhro ha do dada bokhe laji phnu ba. 
MRK.12.5	Bubra gibin leng khe haiha ba. Bonsi bokhe sthai ba, ode gabang lengraoni basao habo olei ning dang ba, ode gejesi khe doba suba ar sthai ba. 
MRK.12.6	Yaohonthao ha, boni mayani basa saosi, mang mang se ning dong si ba. Ani basa khede bonsi man khlai nang thihi bao dada bokhe haiha ba. 
MRK.12.7	Thikhabo, khusi dangyarao sainlai ba. Bubrani basa ebo ning don maiginyaba se, bokhe jing sthaihi bari khe jini ja thar la nang. 
MRK.12.8	Odehe, bokhe sthai dada, grep bari ni bajiha dangkhlai ba.
MRK.12.9	“Bonsi olei khlai kha la, barini bubra phai hi snadi khlai nang?” ode thi dada Jisu bonsi khe thi ba, Bubra phai dada subung buthu khe sthaihi bo bari khe gibin khusi dangyarao niha nepha ma se. 
MRK.12.10	Ebo Madai ni laisi ni graokhe nisi phuriya?
MRK.12.10	Noh dangyarao nangjaoya hi dangkhlaiya ba longthai de
MRK.12.10	nang daothaoyaba longthai ja kha.
MRK.12.11	Ebo ning Gabra dangyaba khusi
MRK.12.11	Jini khlaihi de gmang thaosisiyaba se.
MRK.12.12	Bo daogari grao khe Judarao ni hojarao khna hi bonsini balam ha thiyaba thihi tharmai ba, ode Jisukhe rem ma bao ba. Thikhabo, bonsi subung githim laiyarao khe khin ba. Odebani bokhe garhi thang la kha.
MRK.12.13	Grao jobaha remphu mani khlaihi gejesi Pharisairao ar Herod ni dol ni subung gejesi Jisu niha haiha ba. 
MRK.12.14	Bonsi boniha phaihi thi ba, Slingriyah, ningde gibi subung se. Saosi khebo bera khlaiya thihi jing tharmai du, ode saosi khebo dangkhlai daoya. Madaini grao khe hamsisi sling ri du. Jingkhe thi lah, Kaisar niha khajna riba la Dara ha dong na giri? Jing rima na riya?
MRK.12.15	Bonsini khah nainaiba khe Jisu tharmai hi bonsi khe thiphin ba, Snadi jabani angkhe khah nainai ba? Aduli bakhrai khe labuhi angkhe phnu sang.
MRK.12.16	Ode, bonsi aduli labu ba. Jisu bonsi khe sing ba, Ebo la sereni saogari ar sereni bumu?
MRK.12.16	Kaisar ni bonsi thiphin ba.
MRK.12.17	Odebani Jisu bonsi khe thiphin ba, Olei jakha de, Kaisarni khede Kaisar ne ri lah, ar Madaini khe Madai ne ri lah.
MRK.12.17	Ar bonsi Jisukhe hamsi ning gmang kha.
MRK.12.18	Boha, gejesi Saddukairao, subung thihba ni yaohonha baijaphinba giri thiyarao, Jisu niha phaihi bokhe thi ba, 
MRK.12.19	“Slingriyah, subung asababo basa bisik maiyahi thih re thikha la, boni buphlung boni bihih khe noh jama nang ma, odehe, bo boni bada ne khlai hi ansarao mai ri nang thihi Moses jinthane dara masi reb hi ri ba. 
MRK.12.20	Khaphlung sni dong ba. Bonsini bisingha raodao thaoyaba noh ja dada, basa bisik maiyahi thih kha. 
MRK.12.21	Gididaoyaba bo boni bihih khe noh ja ba. Bobo basa bisik maiyahi thih kha. Bo tha gididaoyaba bo olei ning ja ba. 
MRK.12.22	Ode, bonsi khrip khaphlung snibo bo masainjik jang noh jahi, sasik maiyahi thih thar kha, ar yaohonthao ha bo masainjik bo thih kha. 
MRK.12.23	Ode thikhala baija phinbani basain ha sereni bihih ja nang? Khaphlung sni khripbo bokhe noh ja kha.”
MRK.12.24	Jisu bonsi khe thiphin ba, Nisini baothai de bao gajai se. Madaini laisini grao khe ar Madaini raothai khe nisi mithiya bani se. 
MRK.12.25	Subung githirao baijaphinba hade sorgoni deglarao lai bonsi ja nang, noh ja nang niya kha. 
MRK.12.26	Ode, githirao baijaphin bani grao hade, Moses ni laisi ha suphrip bejeng ha jingyaba waislai ni grao khe nisi phuriya? Ang ning Abraham ni Madai, Isak ni Madai ar Jakob ni Madai thihi sainlaiyaba rebba dong. 
MRK.12.27	Bo ning thanghi dongyarao ni Madai se, githirao ni Madai niya. Nisi de bao gajai ba se!
MRK.12.28	Dara khe slingriyaba saosi bonsi grao sainlaiba khe khna hi bo oraha dongba. Ar Saddukairao khe ragaosisi khlai hi thiphinba khe nu ba, ode bo Jisu niha phai dada bokhe sing ba, Dara disa ni bisingha nangdao thaoyaba dara snadi?
MRK.12.29	Jisu bokhe thiphin ba, Khrip tha muima jadao thaoyaba de ebo se: O Israelrao, khna lah, Gabra jini Madai de Gabra masi se ning. 
MRK.12.30	Ning nini khah muh jang, nini bese jang, nini khahsu jang, nini raothai jang, nini Gabra Madai khe hamjao ma nang du. 
MRK.12.31	Boni yaohonha de, ning jarkhe hamjao ba lai ning, nini noharirao khebo hamjao lah. Ebo thane grao riyaba dedaohi gibin giri kha.
MRK.12.32	Dara khe slingriyah Jisukhe thi ba, Slingriyah, ning gibi ning thi kha! Ning thiba lai ning Gabra khe ning Madai se, bokhe garhide ar gibin Madai giri. 
MRK.12.33	Odebani subung de Madai khe khah jang muh jang, khahsu jang, raothai jang, hamjao ma nang re. Ode jar khe hamjao ba lai ning jarni noharirao khebo hamjao ma nang du. Daomi jang gibin gibin dara jang Madai huba thane ebo dara magin khe mani ba nangdaothao.
MRK.12.34	Odebani bo girik hi thiphinba khe Jisu tharmai hi boniha thi ba, Madaini raji ni phrang ning de gabang jainya.
MRK.12.34	Eboni yaohon hade, Jisukhe gibin grao saosibo sing raoya kha.
MRK.12.35	Jisu Madaikhoh ha sling ribaha bonsi khe sing ba, Messiah David ni basa se thihi Dara slingriyarao bede thiphu ba? 
MRK.12.36	Bese Gathar jang David grao johi thi ba, Gabra, ani Gabra niha thi ba, nini sotrurao khe nini igah ni bakhla ha ang dengya side, ning ani yaoda gede kham lah, 
MRK.12.37	David jar ning bokhe Gabra thihi long ba, ode thikhala bedehe Messia David ni basa japhu ma kho?
MRK.12.37	Gabang subung Jisu ni grao khe khaja hi khna ba. 
MRK.12.38	Bo bonsi khe sling ribaha bonsi khe thi ba, Dara slingriyarao ni phrang girik lah. Bonsi sola galao galao thuhi daobai ma nangjao re, ar hathai ha man khlai jaoma nangjao re. 
MRK.12.39	Ode, bonsi sunagog buthu ni melha bo khamthan hamdao ha kham ma nangjao re; 
MRK.12.40	Bonsi, banjikrao ni rang khe ji re, ode subung buthu khe thokhi mane budu galao Madai bi re. Bonsi hamyadao hi saja mai ma se!
MRK.12.41	Odehe, Jisu Madai khoh ha rang dengyaba khaojeb gabasi ha khamba ha subung buthu oraha khrangphain riba khe bo nuba. Gnangrao gabang khrangphain ri ba. 
MRK.12.42	Boha, banjik dukhisa saosi phaihi paisa magin dangsing ba. 
MRK.12.43	Jisu boni yaohon rikphayarao khe longthim hi thi ba, Ang nisikhe thi du, khrip thane ebo banjik dukhisa bangdao hi dangsing kha. 
MRK.12.44	Bede thikhade gibin subung buthu de, bonsi niha gabang dongyaba ni phrang se ri ba. Thikhabo bode dukhisa jakhabo, thanghi dongmane boniha dongyaba si khe rithar ba.
MRK.13.1	Jisu Madaikhoh ni phrang baigo bani yaohon ha boni yaohon rikphayarao ni bising ha saosi bokhe thi ba, Nai lah, slingriyah, ebo noh ode longthai buthu de bisi majang du.
MRK.13.2	Jisu thiphin ba, Ebo noh gedeba khe nisi nu du? Longthai masi mang mang bo grungya hi dong nang niya; khrip longthai buthu grungya hi dong nang niya.
MRK.13.3	Jisu Madaikhoh gede sagang hi Oliv hading ha khamhi dong ba. Peter, Jakob ar Andria boniha phirik phirik phaihi sing ba, 
MRK.13.4	Ebo buthu la bakhali ja nang, ning jinthane sainthi lah. Ode, bo buthu sophaima kha thihi phnu mani sin snadi japhai nang?
MRK.13.5	Jisu bonsi khe thi ba, Saosi bo nisi khe thokhiya mane girik lah. 
MRK.13.6	Gabang subung Krista ang ning thihi ani bumu lahi phaima se, ar gabang subung khe thokhi nang. 
MRK.13.7	Ode, jbah jang jbah ni grao gublungyaba khe nisi khna hi nisi da gmang. Bo buthu de sophaima ning, thikhabo jamma nede niya kho. 
MRK.13.8	Jadi gibin jang jadi gibin jbah ja nang, raji gibin jang raji gibin jbah ja nang, hathan gibin gibin ha banglama phai nang, asari galai nang. Bo buthu de sao go mane saba lai se ja ma se.
MRK.13.9	“Odebani, nisi mirik hi dong lah. Nisi khe remhi bisardar niha lang nang. Hamba graojma khe sainthi mane nisi ani bumu ni khlai hi hojarao ar Rajarao ni sagang ha song nang. 
MRK.13.10	Thikhabo, yaohonthao ni basain sophaiya sani sagang ha, hamba graojma khe sainthi ma nang ma. 
MRK.13.11	Ar nisi remjao hi nisi khe bisar khoh ha lang khabo, snadi grao khe thi ma thihi nisi waimu da nang. Bo bubli sophai baha, snadi grao khe ning thi ba, bo nisini grao niyahi, Bese Gathar ni phrang phaiyaba grao ja ma. 
MRK.13.12	Subungrao jarni bada-buphlung khe rem ri nang, odelei ning bupha jarni ansarao khe rem ri nang, ansarao bo jarni bupha khe sthai nang. 
MRK.13.13	Ani khlai hi khrip bo nisi khe naisle nang. Thikhabo, yaohonthao sosi sere khah lao nang, bo se ning sogo jao ma se.”
MRK.13.14	Khinthaosiyaba boni songthan niyayaba hathan ha songba khe nisi nu nang. Sere phuri re ebo khe mithi thing. Boha de Judai rajiha dongyarao, bonsi hading gede khai la thing. 
MRK.13.15	Sere noh khim saoha dong, musi jinis khe bo la mane da nakhai thing. 
MRK.13.16	Ode, phadain ha dongyarao bo jarni rih khe laphai mane noh ha da phaiphin thing. 
MRK.13.17	Sao khonggin jayarao ar nana gnangrao ni khlai hi bo basain buthu hade gabang dukhu ja ma. 
MRK.13.18	Odebani, maisingha jaya mane Madai niha bi lah. 
MRK.13.19	Bede thikhade, bo basain ni dukhu de Madai sangsai jenba ni phrang duha sosi musi khali bo jaya kho, ar jabo ja nang niya kha. 
MRK.13.20	Bo basain buthu khe Gabra songthe daoriya thikhade subung saosibo thanghi dong nang niya. Bo jarne saikhoyarao ni khlai hi bo basain buthu khede songthe ri ma se.
MRK.13.21	Okhali ha asababo nisi khe thi nang, Nai lah, Messiah eraha dong ode oraha dong thi re thikhade bokhe da lon lah. 
MRK.13.22	Bede thikhade Krista mosolrao ode gorasali mosolrao baigo nang, bonsi gmang thaosisi sin phnu hi khusi dang nang. Blai khade saikho jaoyarao khebo thokhiphu mani khlai hi khusi dang ma se. 
MRK.13.23	Nisi de girik hi dong lah, bo basain phaiya sani sagang ha nisi ne khrip khe bo sainthi kha.
MRK.13.24	Bo dukhu ni basain ni yaohon hade sainbo andar ja lang la nang; ar dainbo jna nang niya kha. 
MRK.13.25	Nokhasao ni phrang sathrai buthu garai nang ar nokhasao ha raothai buthu smao nang. 
MRK.13.26	Okhali ni basain hade Marsini Basa, raothai gedeba ar muima jang jimi ha phaihi nujao nang. 
MRK.13.27	Boni yaohonha mulug grongbri ha habsao thaothan sosi, boni deglarao khe haihahi bo jar saikhoyarao khe bojom khlai ma se.
MRK.13.28	“Thaikhrao phang ni phrang daogari nai hi nisi sling lah. Boni boso ridim hi balai gili baigo phai kha ning jalang japhai kha thihi nisi tharmai du 
MRK.13.29	Odelai ning, nisi bo buthu sophaiba khe nu kha ning, bo phaima ni bubli sampha kha ar derga kholei ha songphai kha thihi tharmai lah. 
MRK.13.30	Ebo buthu sophaiya side duha thanghi dongyarao khripde thihthar nang niya thihi wainso lah. 
MRK.13.31	Habsao ar nokhasao jam lang nang, thikhabo ani graothai de jam nang niya.”
MRK.13.32	Thikhabo, bo basain ar bubli khede Bupha khe garhide sorgoni deglaraobo, ar Basabo, saosibo mithiya. 
MRK.13.33	Nalaibo girikhi salaihi bi dada dong lah, bede thikhade bo basain ar bubli khe nisi mithiya. 
MRK.13.34	Subung saosi jarni lengrao niha khusi dang mane nephahi ar derga naisoyaba khe bo girikhi dong mane sani dada, jarni noh khe garlang hi hah gajain ha thang la ba lai se. 
MRK.13.35	Odebani, nisi grik hi dong lah, noh bubra bakhali sophai phin ma, sainbli habo ja la phu re, hor habo ja la phu re, daono gisi habo ja la phu re, phorong habo ja la phu re, nisi mithiya. 
MRK.13.36	Ode niyakha la srap phaiphin khade, nisi thuhi dongba khe bo nu nang. 
MRK.13.37	Snadi grao khe ang nisi niha sainthi ba, khrip niha ang sainthi ba se, girik hi dong lah.
MRK.14.1	Baiglaini mel ar humao giriyaba honni melni sain gin sagang ni basain ha, Jonthaimarao ar Dara khe slingriyarao Jisu khe phirik phirik remhi sthai mane lama smai ba. 
MRK.14.2	Bonsi thi ba, Mel basain hade da ja thing, niyakhala, subung buthu nam khlai la phu re.
MRK.14.3	Bethani nolei ha Jisu khunthi jayaba subung saosi, Simon ni noh ha makham jihi kham ba. Masainjik saosi thao midim dam duyaba alabastar bithol gablai si labu hi phai ba. Bo bithol khe dokhrip dada thao midim khe Jisu ni bokhro ha lukhru ba. 
MRK.14.4	Thikhabo, oraha dongyarao gejesi thamsi baigohi thi lai ba, Snadi jabani bo thao midim khe khma ba? 
MRK.14.5	Aduli rjatham thane bangdao hi phain dada dukhirao ne riphu nang mu, thihi boni basaoha bonsi berlai ba.
MRK.14.6	Thikhabo, Jisu bonsi khe thi ba, Bokhe musibo da thi. Snadi jabani nisi bokhe yesisi dukhu ri ba? Bo ani basao ha gibi ar majang sisi khusi khe ning dang ba se. 
MRK.14.7	Dukhi sarao de nalaibo nisi niha dong nang, nisi nangba ha bonsi khe juru phu du. Thikhabo, ang la nalai bo nisi niha dong nang niya. 
MRK.14.8	Bode jar dangphuba lai dang la kha. Ani saomang phip mane thao huda ba se. 
MRK.14.9	Odebani, ang gibi khe nisi niha thi du, khrip habsao ha hamba graojma khe braha sainthi re, bo masainjik dangyaba khusi khe bo wainso mane sainthi nang.
MRK.14.10	Juda Iskariot, Jisu ni yaohon rikphayarao jhigin ni bisingha saosi, Jisu khe rem rimane Jonthairao niha thang ba. 
MRK.14.11	Boni grao khe khna hi bonsi khaja ba. Odebani bonsi bone rang rimane grao hanggai ba. Odehe, Juda Jisu khe bonsi niha yaopha mane hajora smai kha.
MRK.14.12	Humao giriyayaba Baiglai Mel ni basain sagangthao ha, Jisu ni yaohon rikphayarao bokhe sing ba, Jing braha thanghi jinthane Baiglai ni Mel salai ma ning nangjao du.
MRK.14.13	Odehe, Jisu bonsini bisingha subung gini khe haihahi bonsi khe thi ba, Nisi nogorha thangba ha, subung saosi dihdig ha dih labuba khe goron nang. Boni yaohon rikpha lah, 
MRK.14.14	ode bo hapyaba noh ha hap hi noh ni bubra niha edehe thi lah, Slingriyah thi ba, ‘ang jang ani rikphayarao Baiglai ni Mel jhiginyaba noh ni khutha braha dong ba?’ 
MRK.14.15	Odehe, bo ning nisi ne basaothao ni khutha gedeba khe salaihi dengyaba khe nisi ne phnu nang. Oraha nisi jinthane khrip khebo jimane salai lah.
MRK.14.16	Ode rikphaya gini baigo langhi thang dada nogor ha hap hi kha. Jisu bonsi niha sainthiba lai lai khripbo bonsi nuhiba ar oraha bonsi Baiglai ni Mel salai kha.
MRK.14.17	Sainbli jaba ha, Jisu jarni yaohon rikphayarao jang sophai kha. 
MRK.14.18	Odehe bonsi khalai khamlaiba ha, Jisu bonsi khe thi ba, Gibi jang ang nisi khe thi du, nisi ni bising ha saosi ang jang jiphayaba angkhe rem rima.
MRK.14.19	Odebani, yaohon rikphayarao waimu nang hi saosi saosi khlai hi, Ang la niya na? thihi bokhe sing ba.
MRK.14.20	Jisu bonsi khe thiphin ba, Nisi ni bising ha saosi ang jang khopra masi ha khalai jiphayaba ja nang. 
MRK.14.21	Marsini Basa de Madai ni laisi ha rebba lai ning thangma se. Thikhabo, Marsini Basa khe rem riyaba de bislei boni khlaihi de bubain risi nang. Boni khlai hide hajaiyayaba se hamdao mu.
MRK.14.22	Odehe, bonsi jilai saiba ha Jisu hon khe laha hi hamthai ri dada sbai hi sbai hi boni yaohon rikphayarao ne ri ba, ode bo bonsi khe thi ba, Ebo ning ani saomang, laha hi ji lah.
MRK.14.23	Odehe, bo bela khe laha hi, hamthai ri dada bonsi ne yaopha ba, ode bonsi khripbo bokhe ling ba. 
MRK.14.24	Jisu bonsi khe thi ba, Ebo de gadain hanggaiyaba ani bithi se, gabang subung buthu ne khlai hi baigoyaba, 
MRK.14.25	Ang gibi jang nisi khe thi du, Madai ni raji ha gadain ling mani basain soya side ang lingphinya kha.
MRK.14.26	Odehe, bonsi rajab dada baigo langhi Oliv hading ha thang la kha.
MRK.14.27	Jisu bonsi khe thi ba, Nisi khrip bo jajaoya jama se. Madai ni laisi ha thiba lai ning, Melma raokhiyaba khe ang sthai nang, ode melma buthu khaiphlung thar ma 
MRK.14.28	Thikhabo, ang thih hi baijaphin bani yaohon ha ang nisini sagang ha Galili raji ha thang da nang.
MRK.14.29	Peter bokhe thiphin ba, Ning khe bonsi khrip khah ha jajaoya ja khabo, angde musi khalibo ning khe garya.
MRK.14.30	Odebani, Jisu Peter khe thiphin ba, Ang ning khe thi du, dini hor ha, daola gisi gagin ni sagang ha ning ang khe phin tham niya ma.
MRK.14.31	Peter bol jang thiphin ba, “Ning thihba ha thih phama nang la khabo, ang niya nang niya”.
MRK.14.31	Gibin yaohon rikphayarao khrip bo olei ning thi ba.
MRK.14.32	Bonsi Gethsemani thiyaba hathan ha sophai ba. Jisu jarni yaohon rikphayarao khe thi ba, Ang Madai bidu si, nisi eraha ning kham lah. 
MRK.14.33	Bo Peter, Jakob ar Johan khe langpha ba, ar glimdi galaisi dukhu waimu nang ba. 
MRK.14.34	Bonsi khe bo thi ba, Ani khah ha hamsi ning dukhu nang bani thih thao thao ang ja du. Nisi eraha ang jang salai hi dongpha.
MRK.14.35	Bo thangdao hi thang dada hah ha blip pha ba, ar blai khade bo dukhu ni bubli khe lailang mane bi ba. 
MRK.14.36	“Abai, nini khlaihi de khrip khebo blai du. Ebo dukhu ni bela khe ani phrang degaolang ri lah. Thikhabo ang nangjaoba lai da ja thing, ning nangjaoba lai ja thing.”
MRK.14.37	Bo phaiphin baha boni yaohon rikphaya gatham thuhi dongba khe nu ba, odebani bo Peter khe thi ba, Simon, nisi thuba se na? Gonta masi mang mangbo nisi smao hi dong phuya? 
MRK.14.38	Ode, bonsi khe thi ba, Naigrik ha galaiya mani khlai hi smao hi ning bi lah. Bese de blai du, thikhabo saomang de raoya ja du.
MRK.14.39	Bo thangphin hi sagang ha thiba lai ning biphin ba. 
MRK.14.40	Bo yaohon rikphayarao niha phaiphinba ha, bonsi thuba khe nu ba. Bonsi muthai naisi phuya si dongba ode bonsi snadi khe boni ha thi ma bonsi mithiya.
MRK.14.41	Ode, bo phai hi, phintham ha bonsi khe thi ba, “Duha de thu hi lenggo la ga, bublibo ja kha! Bubli sophai kha! Nai lah, Marsi ni Basa de phaphirao ni yao ha rem rijao ma kha. 
MRK.14.42	Baija hi, jing thang la nang. Nai lah, angkhe remginyaba eraha sophai kha”.
MRK.14.43	Bo olei grao josaiba ha, yaohon rikphaya jhigin ni bising ha saosi Juda sophai kha. Bo jang baosi jahi Jonthairao, Dara khe slingriyarao ar hojarao jang haiha jaoyaba subung buthu seng ar daobu labu hi sophai kha. 
MRK.14.44	Remginyaba subung buthu khe sin rihi thi ba, Sere khe ang khudim nang, bo khe ning remhi hamsisi khlai hi lang lah.
MRK.14.45	Juda sophaiba jang, Jisu khe Rabbi thihi bokhe khudim kha. 
MRK.14.46	Odehe, bonsi Jisu khe remhi kha ba. 
MRK.14.47	Thikhabo, oraha songyarao ni bising ha saosi jarni seng khe khaikho dada Jonthaima ni leng khe dainba ha, boni khmao saikhao se dainso ba. 
MRK.14.48	Jisu bonsi khe thi ba, Ang khe makhao mithim khe rem mane phaiba lai seng jang daobu labu hi nisi phaiba na? 
MRK.14.49	Madai khoh ha sain midi sling rihi, nisi niha ang dong ba. Nisi angkhe remya lao. Thikhabo, Madaini laisi ha grao dongyaba khe sophai mani khlai hi se elei ja ba.
MRK.14.50	Boha ning boni yaohon rikphayarao khrip bokhe gar dada khailang thar kha.
MRK.14.51	Naga saosi, rih guphu phinyaba, Jisu khe rikpha ba; bokhe bonsi remma bao ba. 
MRK.14.52	Thikhabo, bo naga jarni rih khe dangkhlai hi, saoha rih giri hi bo khailang kha.
MRK.14.53	Jisu khe Jonthaima ni noh ha lang ba. Ode bo jang baosi khrip Jonthairao, Hojarao ar Dara khe slingriyarao oraha bojom jalai ba. 
MRK.14.54	Peter gajain ni phrang rikpha hi Jonthaima ni noh ni daoglap ha hap ba, ar siphaiyarao jang baosi bo waisi kham ba. 
MRK.14.55	Jonthairao ar khrip bisardarrao Jisu khe sthai mane balam smai ba, thikhabo bonsi saosibo musi balam mai phuya. 
MRK.14.56	Jisu ni basao ha thokhi hi subung gabang mosol sakhi ri khabo, bonsini grao miliya.
MRK.14.57	Subung gejesi song dada mosol sakhi ri ba. 
MRK.14.58	Ebo subung de subung ni yao jang dangyaba Madai khoh khe sbai dada saintham ni bisingha yao jang dangya hi gibin dangphin nang thiba khe jing khna kha, thihi thi ba. 
MRK.14.59	Olei sosi bonsi sakhi ri khabo, bonsini grao miliya.
MRK.14.60	Jonthaima subung buthu ni sagang ha songkhu dada Jisukhe sing ba, Bonsi nini basaoha sakhi riyaba khe ning grao thiphin phuya kha?
MRK.14.61	Thikhabo, Jisu grao thiphinya hi phirik phirik dong ba. Odebani, Jonthaima bokhe singphin ba, Ning la Messiah, Judaothao ha dongyaba ni Basa na?
MRK.14.62	Jisu bokhe thiphin ba, Ang ning, ar Marsini Basa khe raoma jang Madaini yaoda gede kham dada, jimi jang phaiba khe nisi nu nang.
MRK.14.63	Jonthaima jarni rih khe jikhao hi thiba, Jing musi sakhi nangdaoya kho, 
MRK.14.64	Bo ning Madai sijiba khe nisi khna kha da. Nisi bedehe bao du?
MRK.14.64	Bonsi khripbo bokhe sthai mane baolei ba.
MRK.14.65	Gejesi subung bokhe khudi thuphra ba, ar boni muthai khe khaphong hi bokhe do ba, Sere ningkhe do ba? Dei, thi sang, bonsi thi ba, ar siphaiyaraobo bokhe langhi bakhao lai ri ba.
MRK.14.66	Odehe, Peter noh bakhla ni hakhli ha khamba ha Jonthaima ni lengjikrao ni bising ha saosi mala phai ba. 
MRK.14.67	Peter waisi khamba khe nuhi, bokhe naipha dada thi ba, Ning bo Nazareth Jisu jang dongphayaba saosi se.
MRK.14.68	Thikhabo Peter mithiya maisi hi thiphin ba, Snadi grao khe ning thi ba ang tharmaiya. Ode bo baji ha baigo lang kha. Boha ning daola gisi kha.
MRK.14.69	Bo lengjik mala bokhe nuhi oraha songyarao niha thi ba, Bo bonsini subung se.
MRK.14.70	Thikhabo, Peter niyaphin ba.
MRK.14.70	Khaisa yaohon ha oraha songyarao Peter khe thi ba, Ning bo Galili rajini se, bonsini bising ni subung se.
MRK.14.71	Thikhabo, Peter thi ba, Ang gibi khe thiba se, niyakhade Madai angkhe dukhu ri thing. Nisi thiyaba subung khe ang mithiya, thihi smai dang ba.
MRK.14.72	Boha ning daono phin gini gisi kha. Daono phin gin gisiyasa ni sagang ha ning angkhe phintham niya ma, thihi Jisu bokhe thiyaba grao khe Peter wainso hi, dukhu nang dada bol jang gra ba.
MRK.15.1	Phorongma ha Jonthaimarao, Dara khe slingriyarao ar bisardarrao jang goronlai hi sainlai ba, ode Jisu khe Pilat niha siklang ba. 
MRK.15.2	Pilat Jisu khe sing ba, Ning Judarao ni Raja?
MRK.15.2	Jisu thiphin ba, Ning ning thila kha.
MRK.15.3	Jonthaimarao boni basao ha gabang gajai bisar ri ba. 
MRK.15.4	Odebani Pilat bokhe phin singphin ba, Ning thiphinya kha? Nai lah, ning khe bisar riyarao khe.
MRK.15.5	Jisu musi khebo thiphinya bani Pilat hamsi ning gmang ba.
MRK.15.6	Baiglai ni melni bising ha, phathoha dongyarao ni bising phrang, sere khe subung buthu nangjao re, Pilat saosi khe bonsine haiger ri re. 
MRK.15.7	Bo bubliha subung saosi, Barabba thiyaba, hamyayarao ni dol jang subung sthaipha bani phathoha dong ba. 
MRK.15.8	Odehe, subung buthu Pilat niha bojom jahi nalai bede yaowaiba olei bonsi ne dang ri mani khlai hi khainsu ba. 
MRK.15.9	Pilat bonsi khe sing ba, Nisi ni khlai hi Judarao ni Raja khe haiger ma nisi nangjao du? 
MRK.15.10	Bede thikhade, Jonthaimarao hingsa ni rang jang bokhe boni ha yaophaba thihi mithi du.
MRK.15.11	Thikhabo, Jonthaimarao subung buthu khe bonsi ne Barabba khe haiger ri mane sani ba. 
MRK.15.12	Odebani, Pilat githim laiyarao khe singphin ba, Judarao ni Raja nisi thiyaba khe snadi ang khlai ma?
MRK.15.13	Bonsi jirik khaophin hi thi ba, Bokhe kross ha dikpha lah.
MRK.15.14	Pilat bonsi khe thi ba, Bo snadi dang gajai ba?
MRK.15.14	Bonsi jirik khao ba, Kross ha dikpha lah.
MRK.15.15	Subung buthu khe Pilat khaja rima nangjao bani Barabba khe haiger ri kha, ar Jisu khe la su ri dada kross ha dikpha mane yaopha kha.
MRK.15.16	Odehe, siphaiyarao Jisu khe bisardar ni nohkhoh, Praitorian ha lang ba, ar bonsini dol ni khrip khebo long ba. 
MRK.15.17	Bonsi Jisu khe rih gajao phin rihi, ar busuni bedep jang khrothu slam hi, bokhe thu riba. 
MRK.15.18	Juthai, Judarao ni Raja, nini hayu lao thing! thihi bokhe bonsi khlim ba. 
MRK.15.19	Bonsi boni bokhro ha goda jang do ba ar bokhe khudi thuphra ba. Ode, bonsi sagang ha yasgu thuhi khlim ba. 
MRK.15.20	Odehe, bokhe mlao-thalao khlai bani yaohonha bonsi rih gajao khe khohi bone boni rih khe thuphin riba ar bonsi dikthai mane bokhe lang ba.
MRK.15.21	Kurini noleini subung saosi Simon khe siphayarao lama ha remhi Jisuni kross khe bain riba. (Bode Aleksandar jang Rufus ni bupha se.) 
MRK.15.22	Odehe, Jisukhe Golgotha hathanha langba, boni ortho de Laokhrong hathan thiyaba se. 
MRK.15.23	Oraha murra jang grep bidih gibringyaba khe bonsi bone ling rima bao ba, thikhabo lingya. 
MRK.15.24	Odehe, bokhe kross ha dikpha kha ar bonsi boni rih phinyaba khe khophal naihi ron laiba. 
MRK.15.25	Phorong ni bubli masgu ha ning bonsi Jisu khe kross ha dikthai ba. 
MRK.15.26	Boni basao ha sijithai musuthai ni grao Judarao ni Raja khe reb hi deng ba. 
