MAT.1.1	Lhibro de l’ourige de Jasus Cristo, filho de Dabide, filho de Abraan.
MRK.1.12	Lhougo apuis, l Sprito ampurrou-lo pa l zerto. 
MRK.1.13	Eilhi, ne l zerto, stubo quarenta dies i era atentado por Satanás; bibie culs bichos de l monte i ls anjos andában a serbir par’el.
MRK.1.14	Apuis de Juan haber sido atraiçonado, Jasus bieno pa la Galileia a apregonar l Eibangeilho de Dius, 
MRK.1.15	dezindo: «Acabou-se l tiempo i stá quaijeque a benir l Reino de Dius. Fazei peniténcia i acraditai ne l Eibangeilho.»
MRK.1.16	Un die, iba a passar a la borda de l mar de la Galileia i biu a Simon i a Andrés, armano de Simon, a botar las redes al mar, puis éran pescadores. 
MRK.1.17	I Jasus dixo-le: «Beni cumigo i fazerei de bós pescadores de homes.» 
MRK.1.18	I naqueilha hora, apuis de deixáren las redes, fúrun-se cun el. 
MRK.1.19	Un cachico mais alantre, biu a Tiago, filho de Zebedeu, i a Juan, armano del, que tamien stában na barca a remendar las redes, 
MRK.1.20	i lhougo chamou por eilhes. Eilhes deixórun l pai, Zebedeu, na barca culs oubreiros i fúrun-se atrás del.
MRK.1.21	Apuis antrórun an Cafarnaún. Ne l sábado alantre antrou na sinagoga a ansinar. 
MRK.1.22	I stában mui admirados cula doutrina del, puis ansinaba-los assi cumo quien ten poder i nó cumo ls scribas. 
MRK.1.23	Alhá na sinagoga deilhes staba un home cun un sprito mui malo, que ampeçou a boziar, 
MRK.1.24	dezindo: «Que tenes tu a ber cun nós, Jasus de Nazaré? Beniste acá para mos zgraciar? Sei bien quien tu sós: L santo de Dius.» 
MRK.1.25	Jasus dou-le ũa orde, dezindo-le: «Calha-te i sal desse home para fuora!» 
MRK.1.26	I lhougo l sprito malo saliu del para fuora, dando bózios mui fuortes. 
MRK.1.27	Todos quedórun tan admirados, que preguntában uns als outros, dezindo: «Que bénen a ser estas cousas? Ũa doutrina nuoba cun poder, que le dá ordes als spritos malos i eilhes oubedécen-le!» 
MRK.1.28	I la fama del corriu-se por to la parte, an toda la region de la Galileia.
MRK.1.29	Apuis de salir de la sinagoga, fui-se para casa de Simon i de Andrés, cun Tiago i Juan. 
MRK.1.30	Mas la suogra de Simon staba deitada na cama cun un febron mui grande i lhougo le dórun parte deilha. 
MRK.1.31	El fui alhá, agarrou-le la mano i alhebantou-la. L febron deixou-la i eilha puso-se a serbir par’eilhes.
MRK.1.32	A la nuitica, yá apuis de l sol se haber çpuosto, traírun-le todos ls que tenien algun mal i ls que tenien demonhos andrento, 
MRK.1.33	i toda la cidade s’ajuntou a la puorta. 
MRK.1.34	El sanou muitos que stában atacados por bárias moléstias i botou muito diabro pa la rue, mas nun deixaba ls diabros falar, porque sabien quien el era.
MRK.1.35	Lhougo a la purmanhana cedico, inda cun de nuite, alhebantou-se i fui-se para un sítio sien un germo i eilhi quedou a rezar. 
MRK.1.36	Simon i ls que andában cun el fúrun-se a saber del. 
MRK.1.37	Quando l achórun, dezírun-le: «Anda todo mundo a saber de ti.» 
MRK.1.38	Dixo-le, anton, a eilhes: «Bamos a outro sítio, als pobicos bezinos, para tamien ende pregar, puis fui para esso que you bin.» 
MRK.1.39	I andaba por to la Galileia a pregar nas sinagogas deilhes i a botar ls demonhos pa la rue.
MRK.1.40	Bieno a tener cun el un lheproso, a pedir-le de zinolhos drobados, dezindo: «Se quejires, puodes-me lhimpar.» 
MRK.1.41	El tubo muita pena, stendiu-le la sue mano, topou-le i dixo-le: «Quiero, queda lhimpo.» 
MRK.1.42	Lhougo la lhepra zapareciu i el quedou lhimpo. 
MRK.1.43	Apuis, Jasus mirou mui sério para el i mandou-lo ambora deilhi, 
MRK.1.44	dezindo-le: «Mira a ber, nun le digas nada a naide, mas bai-te, amostra-te al saçardote i faç ũa oufierta pula tue cura cumo mandou Moisés, para que sirba de teçtemunho para eilhes.» 
MRK.1.45	Mas el, mal apenas saliu deilhi, ampeçou a apregonar mui alto i a spalhar la nobidade, de modo que yá nien podie antrar a las claras na cidade. Por bias dessas cousas, quedaba fuora an sítios sien naide i íban a tener cun el de todas las partes.
MRK.2.1	Uns dies apuis, antrou outra beç an Cafarnaún i corriu-se que el staba an casa. 
MRK.2.2	Ajuntou-se tanta giente, que nien sequiera cabie delantre la puorta i falaba-le la Palabra. 
MRK.2.3	Anton, chegórun uns que le traien ũa pessona tolhida, lhebada por quatro. 
MRK.2.4	Cumo nun fúrun capazes de la poner delantre del por bias de la muita giente, çtelhórun l telhado ne l sítio adonde el staba i, por un buraco, passórun la xerga adonde l tolhido staba stendido. 
MRK.2.5	Al ber la fé deilhes, Jasus dixo-le al que staba tolhido: «Filho, son-te perdonados ls tous pecados.»
MRK.2.6	Stában eilhi sentados alguns de ls scribas, que pensában alhá cun eilhes: 
MRK.2.7	«Quien ye este para falar assi? El blasfema! Quien puode perdonar ls pecados a nun ser Dius?» 
MRK.2.8	Mas Jasus nistante se dou de cuonta, ne l sou pensar, l que eilhes stában a matinar andrento deilhes, i dixo-le: «Porque stais a pensar essas cousas ne ls buossos coraçones? 
MRK.2.9	L quei ye mais fácele, dezir-le al que stá tolhido “ls tous pecados quédan perdonados” ou dezir-le “alhebanta-te, agarra la tue xerga i camina”?» 
MRK.2.10	Antoce, para que sábades que l Filho de l Home ten l poder de perdonar ls pecados na tierra, dixo-le al que staba tolhido: 
MRK.2.11	«Faç l que te digo: Alhebanta-te, agarra an tue xerga i bai-te pa tue casa.» 
MRK.2.12	El alhebantou-se i, sien parar, agarrou la xerga i saliu delantre de todos, de modo que todos quedórun de boca abierta i dában grácias a Dius, dezindo: «Nunca bimos ũa cousa assi!»
MRK.2.13	Apuis, saliu outra beç pa la borda de l mar. Todo mundo benie a tener cun el i el ansinaba-los. 
MRK.2.14	Quando iba a passar, biu a Lebi, filho de Alfeu, sentado adonde recebien ls ampuostos, i dixo-le: «Ben cumigo.» El alhebantou-se i fui-se atrás del. 
MRK.2.15	Ũa beç, Jasus staba sentado a la mesa an casa del i cun el stában sentados muitos recebidores d’ampuostos i pecadores i tamien ls deciplos del; éran rialmente muitos i andában atrás del. 
MRK.2.16	Ls scribas de ls fariseus, bendo que staba a quemer cun pecadores i recebidores d’ampuostos, dezien-le als deciplos del: «Porquei come cun recebidores d’ampuostos i cun pecadores?» 
MRK.2.17	I Jasus, cumo oubira essas palabras, dixo-le: «Quien stá sano nun percisa de doutor, mas quien ten algun mal. You nun bin a chamar ls justos, mas ls pecadores.»
MRK.2.18	Outra beç, stában ls deciplos de Juan i ls de ls fariseus a ayunar. Bénen a tener cun el i dízen-le: «Porquei ls deciplos de Juan i ls deciplos de ls fariseus ayúnan, mas ls tous deciplos nun ayúnan?» 
MRK.2.19	I Jasus dixo-le: «Será que puoden ayunar ls cumbidados dũa boda, anquanto l moço stá cun eilhes? Anquanto tubíren l moço cun eilhes, nun puoden ayunar. 
MRK.2.20	Ha de benir un die an que l moço le bai a ser tirado i nesse die yá puoden ayunar.
MRK.2.21	Naide bota un remendo de panho fuorte nũa roupa bielha, senó l remendo nuobo stica l panho bielho i l rasgon inda queda mais grande. 
MRK.2.22	Tamien naide bota un bino nuobo an botos bielhos, senó l bino rompe ls botos i perde-se tanto l bino cumo ls botos. Mas bota-se l bino nuobo an botos nuobos.»
MRK.2.23	Outra beç, al sábado, caminaba el por ũa centenada i ls sous deciplos ampeçórun a agarrar spigas al modo que íban andando. 
MRK.2.24	I ls fariseus dezien-le: «Mira cumo stan a fazer al sábado ũa cousa que nun se puode fazer.» 
MRK.2.25	I el dixo-le: «Nunca listes l que fizo Dabide, quando se biu an necidade i le dou la fame, tanto el cumo ls que stában cun el? 
MRK.2.26	De cumo antrou na casa de Dius, sendo nesse tiempo Abiatar l xefe de ls saçardotes, i quemiu ls panes cunsagrados, que solo ls saçardotes puoden quemer, i dou-se-los tamien als que stában cun el?» 
MRK.2.27	I dezie-le: «L sábado fui feito por bias de las pessonas i nó las pessonas por bias de l sábado. 
MRK.2.28	L Filho de l Home tamien ye senhor de l sábado.»
MRK.3.1	Tornou a antrar na sinagoga i staba alhá un home que tenie la mano seca. 
MRK.3.2	Mirában para el a ber se sanaba al sábado i assi tenéren modo de lo acusar. 
MRK.3.3	Jasus dixo-le al home que tenie la mano seca: «Ben pa l meio.» 
MRK.3.4	Diç-le, anton, a eilhes: «Al sábado, debe de se fazer bien ou mal? Debe de se salbar ũa bida ou perdé-la?» Mas eilhes quedában calhados. 
MRK.3.5	Anton, Jasus, botando-le uns uolhos anrabiados i triste por ber ls coraçones deilhes tan ancalhados, dixo-le al home: «Stica la mano.» El sticou-la i la mano del quedou sana.
MRK.3.6	Ls fariseus salírun deilhi mui debrebe, ajuntórun-se culs partidários de Harodes i fazírun un cunceilho contra el, para achar modo de dáren cuonta del.
MRK.3.7	Jasus fui-se, culs sous deciplos, para an pie de l mar cun un grande juntouro de giente que benie atrás del zde la Judeia, 
MRK.3.8	de Jarusalen i de la Eidumeia i tamien de l lhado d’alhá de l Jordan i de ls alredores de Sídon i Tiro, muita giente bieno a tener cun el pa lo oubir i ber l que fazie. 
MRK.3.9	Abisou ls sous deciplos pa que le tubíran ũa barca purparada para que aqueilha giente toda nun l ambarrasse.
MRK.3.10	Cumo sanou a muita giente, ls que tenien algue malina atirában-se acontra el para le topáren. 
MRK.3.11	I ls spritos malos, quando l bien, botában-se-le als pies i boziában, dezindo: «Tu sós l filho de Dius!» 
MRK.3.12	Mas el ourdenaba-le cun to la fuorça para nun lo apersentáren.
MRK.3.13	Apuis, chubiu-se a un cabeço, chamou cun el ls que el quijo i eilhes fúrun-se a tener cun el. 
MRK.3.14	Scolhiu doze para stáren cun el i para ls mandar a pregar, 
MRK.3.15	tenendo l poder de botar ls demonhos pa la rue. 
MRK.3.16	Scolhiu a Simon, que le chamou Pedro; 
MRK.3.17	a Tiago, filho de Zebedeu, i a Juan, armano de Tiago, i dou-le l nome de Boanerges, l que quier dezir, «filhos de l truono»; 
MRK.3.18	a Andrés, a Felipe, a Burtelameu, a Mateus, a Tomé, a Tiago, filho de Alfeu, a Tadeu, a Simon, l cananeu, 
MRK.3.19	i a Judas Scariotes, que fui quien lo atraiçonou.
MRK.3.20	Apuis tornou para casa. Ende, bieno outra beç tanta giente a tener cun el que nien l deixában quemer un cachico de pan. 
MRK.3.21	Quando ls sous soubírun l que se passaba, salírun a ber se fazien bida del, puis dezien: «El puso-se boubo.»
MRK.3.22	I ls scribas, que habien benido de Jarusalen, dezien: «Ten l diabro andrento» i inda: «Ye cul poder de l xefe de ls demonhos que el bota ls demonhos pa la rue.» 
MRK.3.23	El chamou-los i dixo-le por meio de parábolas: «Cumo puode Satanás spulsar a Satanás? 
MRK.3.24	Se un reino se debide contra el mesmo, esse reino nun se puode aguantar. 
MRK.3.25	Se ũa casa se debide contra eilha mesma, essa casa nun ye capaç de s’aguantar. 
MRK.3.26	I se Satanás s’alhebantou contra el mesmo i stá debedido, nun se puode aguantar, mas stá a chegar a las últimas. 
MRK.3.27	La berdade ye que naide puode antrar an casa dũa pessona mui fuorte i roubá-le l que ten sien purmeiro la prender i solo apuis le roubará la casa.
MRK.3.28	Quedai bien ciertos de l que bos digo: Als filhos de ls homes seran-le perdonados todos ls pecados i las malas palabras que dezíren; 
MRK.3.29	mas quien falar contra l Sprito Santo nunca tenerá perdon, mas l crime del será eiterno.»
MRK.3.30	Dixo estas cousas porque dezien: «Ten l diabro andrento del.»
MRK.3.31	Anton, la mai i ls armanos del, que quedórun na rue, mandórun-lo chamar. 
MRK.3.32	Staba muita giente sentada alredror del, que le dezie: «Mira, tue mai i tous armanos i tues armanas stan na rue a spera de ti.» 
MRK.3.33	El respundiu-le, dezindo: «Quien ye mie mai i quien son mius armanos?» 
MRK.3.34	I mirando bien para todos ls que stában sentados alredror del, dixo-le: «Eiqui stá mie mai i mius armanos. 
MRK.3.35	L que fazir l que miu pai quier, esse ye miu armano, mie armana i mie mai.»
MRK.4.1	Jasus ampeçou outra beç a ansinar a la borda de l mar. Ajuntou-se alredror del un grande juntouro de pessonas, de modo que tubo de se chubir para ũa barca i ende se sentou, ne l mar, anquanto todo mundo quedaba an tierra, na borda de l mar. 
MRK.4.2	Ansinaba-los ousando muita parábola i dezie-le na sue prática: 
MRK.4.3	«Oubi. Ũa beç, saliu un sembrador a sembrar. 
MRK.4.4	I dou-se que, anquanto sembraba, ũa parte de la semiente aparou a la borda de l camino i benírun ls páixaros i comírun-la. 
MRK.4.5	Outra aparou an sítio cheno de piedras, adonde nun habie muita tierra, i lhougo naciu porque la tierra era pouco fonda; 
MRK.4.6	mas, mal apenas l sol naciu, lhougo s’abranou i, cumo nun tenie raiç, secou-se. 
MRK.4.7	Outra fui a aparar pa l meio de gatunhas, las gatunhas crecírun i abafórun-la i nun dou fruito. 
MRK.4.8	Houbo inda outra que aparou an tierra buona i creciu, berdegou i dou fruito, ũa a trinta granos cada ũa, outra a sessenta i outra a un ciento.» 
MRK.4.9	I dezie: «Quien tubir oubidos para oubir, ouba.»
MRK.4.10	Quando quedou el solico, ls que stában eilhi alredror del i ls Doze preguntórun-le l que querien dezir las parábolas. 
MRK.4.11	El respundiu-le: «A bós fui-bos dado l coincer l mistério de l Reino de Dius, mas als que son de fuora todo ten que le ser puosto an parábolas, 
MRK.4.12	para que, 
MRK.4.13	Apuis dixo-le: «Nun antendeis esta parábola. Anton, cumo podereis antender las outras parábolas? 
MRK.4.14	L que sembra, sembra la palabra. 
MRK.4.15	Ls que stan a la borda de l camino son aqueilhes adonde ye sembrada la palabra, mas, mal apenas la óuben, ben Satanás i saca-le la palabra neilhes sembrada. 
MRK.4.16	Aqueilhes an que sembra porriba de piedras, son ls que óuben la palabra i lhougo l’acéitan mui cuntentos, 
MRK.4.17	mas nun ténen raiç andrento, que stá a la flor de la tierra: antoce, mal le benga algun cuntratiempo ou perseguiçon por bias de la palabra, lhougo pérden la fé. 
MRK.4.18	Ls outros an que se sembra ne l meio de gatunhas son ls que oubírun la palabra, 
MRK.4.19	mas ls cobradeiros de cabeça de la bida i l matinar nas riquezas i noutras paixones que le éntran n’alma, abáfan la palabra i eilha nun puode granar. 
MRK.4.20	I aqueilhes an que se sembra an tierra buona son ls que óuben la palabra i la recíben, dando uns a trinta semientes cada un, outros a sessenta i outros a un ciento.»
MRK.4.21	Tamien le dezie: «Acauso ũa pessona trai ũa candela pa la poner ambaixo l alqueire ou ambaixo la cama? Nun ye pa la colgar ne l belador? 
MRK.4.22	Porque nun hai nada que steia scundido que nun benga a ser amostrado, nien nada que seia feito a las scuras que nun seia puosto a las claras. 
MRK.4.23	Quien tubir oubidos para oubir, ouba.» 
MRK.4.24	Dezie-le, inda: «Quedai cun bien atento al que oubis. Cula medida cun que medirdes, assi bos mediran i bos daran la paga. 
MRK.4.25	Puis, al que ten dará-se-le i al que nun ten até l que ten se le ha de tirar.»
MRK.4.26	Dezie tamien: «L reino de Dius ye acumparado a un home que sembrou la semiente na tierra, 
MRK.4.27	apuis drume-se i alhebanta-se, de nuite i de die, i la semiente nace i crece, sien el saber cumo. 
MRK.4.28	Porque la tierra purmeiro dá la yerba, apuis la spiga i al fin queda granada la spiga. 
MRK.4.29	Apuis de star bien criado l grano, lhougo le bota la fouce, porque bieno l tiempo de la segada.»
MRK.4.30	I dezie mais: «A quei hemos d’acumparar l Reino de Dius ou an qual parábola lo hemos de poner? 
MRK.4.31	Tal i qual cumo l grano de mostarda que ye sembrado i anterrado cumo la mais pequeinha de todas las semientes que se sémbran. 
MRK.4.32	Mas, apuis de sembrado, crece i faç-se mais grande do que todo quanto se pon na huorta i bota galhos tan grandes que ls páixaros puoden quedar a la selombra deilha.»
MRK.4.33	Cun estas i muitas outras parábolas le falaba de la Palabra, cunsante cada un era capaç d’antender, 
MRK.4.34	i nunca le falaba sien ser por parábolas. Mas quando staba el solico culs deciplos splicaba-le todo.
MRK.4.35	Nesse die, yá a la tardica, dixo: «Bamos-mos pa l outro lhado.» 
MRK.4.36	I deixando aqueilha giente toda, lhebórun-lo cun eilhes, na barca adonde staba; i outras barcas fúrun cun el. 
MRK.4.37	Ende, alhebantou-se ũa airaçada tan grande que las óndias yá antrában na barca i esta ampeçaba a quedar chena d’auga. 
MRK.4.38	Nesse antretiempo el staba na parte de la frente de l barco a drumir nũa almofada. Spertórun-lo i dízen-le: «Mestre, nun se t’amporta que mos muorramos todos?» 
MRK.4.39	El alhebantou-se, dou-le orde al aire i dixo-le al mar: «Calha-te, assossega.» I l aire parou i quedou todo mui sereno. 
MRK.4.40	Apuis dixo-le a eilhes: «Porque stais cun tanta grima? Será que nun teneis fé?» 
MRK.4.41	I quedórun todos cun tanto respeito, que dezien uns pa ls outros: «Quien será este, que até l aire i l mar le oubedécen?»
MRK.5.1	Adepuis, alhá chegórun al outro lhado de l mar, a la tierra de ls gadarenos. 
MRK.5.2	Mal apenas se abaixou de la barca, lhougo bieno a correr para el un home, salido dũa sepultura, que tenie un sprito malo; 
MRK.5.3	el moraba nas sepulturas i yá naide, nien cun corrientes, era capaç de l prender, 
MRK.5.4	porque muita beç fura apeado i preso cun corrientes, mas el scachou las apeias i las corrientes i naide era capaç de lo adominar; 
MRK.5.5	i andaba siempre, de nuite i de die, pulas sepulturas i puls cabeços a ouliar i a ferir-se a el mesmo cun piedras. 
MRK.5.6	Al ber Jasus de loinge, dou ũa fugida i adorou-lo, 
MRK.5.7	i boziando cun ũa boç mui alta, dixo: «Que tenes tu a ber cumigo, á Jasus, filho de l Dius Altíssemo? Por Dius te pido que nun m’atermentes.» 
MRK.5.8	Porque le habie dezido a el: «Sal desse home, sprito malino.» 
MRK.5.9	Preguntou-le: «Que nome te dan?.» El respundiu-le: «L miu nome ye Lhegion, porque somos muitos.» 
MRK.5.10	I pedien-le por todo que nun ls botasse para fuora daqueilha region.
MRK.5.11	Dá-se l causo que andaba a pacer ne l monte eilhi acerca ũa bezeira de cochinos; 
MRK.5.12	i pedírun-le, dezindo: «Manda-mos pa ls cochinos, para mos metermos andrento deilhes.» 
MRK.5.13	El alhá ls deixou ir. Anton, ls spritos malinos, mal apenas salírun, lhougo se metírun ne ls cochinos. Ls cochinos, arrimado a uns dous mil, çfaiórun-se cun to la fuorça por ũa faia pa l mar i afogórun-se ne l mar.
MRK.5.14	Ls que andában culs cochinos scapórun-se i spalhórun las amboras pula cidade i puls campos; i todos acudírun a ber l que se habie passado. 
MRK.5.15	Anton, benírun a tener cun Jasus i bírun l que tenie andrento l demonho chamado Lhegion, sentado, bestido i an sou juízo i tubírun miedo. 
MRK.5.16	Ls que bírun estas cousas cuntórun l que se habie passado tanto cul que tenie l demonho andrento cumo l causo de ls cochinos. 
MRK.5.17	Apuis ampeçórun-le a pedir que se fura ambora de l sou termo.
MRK.5.18	Habendo-se chubido para ũa barca, l que habie tubido l demonho andrento, pedie-le que l deixasse ir cun el. 
MRK.5.19	Mas el nun l deixou antrar i dixo-le: «Bai para tue casa i pa la tue giente i cunta-le las cousas que l Senhor fizo cuntigo i de cumo tubo pena de ti.» 
MRK.5.20	El fui-se ambora i ampeçou a apregonar na Decápole todas las cousas que Jasus le habie feito i todos quedában mui admirados.
MRK.5.21	Mal apenas Jasus atrabessou ne l barco pa l’ourielha de l outro lhado, bieno a tener cun el un grande juntouro de pessonas, an pie de l mar. 
MRK.5.22	Ende, chegou un de ls xefes de la sinagoga, que le chamában Jairo, i mal apenas l biu botou-se als pies del 
MRK.5.23	i pediu-le sien parar, dezindo: «La mie filhica stá a dar las últimas; ben i pon-le las manos porriba para que se salbe i biba.» 
MRK.5.24	El fui-se cun el i todo aquel juntouro de pessonas se fui atrás del, apertando-lo.
MRK.5.25	Anton, ũa mulhier que yá doze anhos que tenie un corrimiento de sangre 
MRK.5.26	i yá passara por muito doutor, gastando todo quanto tenie i quedando cada beç mais mala, 
MRK.5.27	quando oubiu falar de Jasus, bieno pul meio la giente i achegou-se por trás i topou-le na roupa, 
MRK.5.28	puis dezie alhá par’eilha: «Se topar nien que seia na roupa del, quedarei sana.» 
MRK.5.29	I lhougo eilhi se le secou l corrimiento de sangre i sentiu ne l cuorpo que staba sana daquel mal. 
MRK.5.30	Jasus, al sentir ũa fuorça que salira del, buolto pa l juntouro de pessonas, preguntou: «Quien topou na mie roupa?» 
MRK.5.31	Dezien-le ls deciplos del: «Bien bés que stá tanta giente a apertá-te i inda preguntas, “quien me topou?”» 
MRK.5.32	El cuntinaba a mirar alredror para ber aqueilha que le habie topado. 
MRK.5.33	Antoce la mulhier, chena de miedo i a tembrar, sabendo l que se habie passado cun eilha, bieno i botou-se als pies del i cuntou-le la berdade toda. 
MRK.5.34	El, anton, dixo-le: «Filha, la tue fé salbou-te; bai an paç i queda sana de l tou mal.»
MRK.5.35	Inda staba el a falar quando chégan uns de casa de l xefe de la sinagoga a dezi-le: «La tue filha morriu-se; para que bás a anquemodar mais al mestre?» 
MRK.5.36	Mas Jasus, cumo oubiu l recado, dixo-le al xefe de la sinagoga: «Nun tengas miedo; bonda que acradites.» 
MRK.5.37	I nun deixou a naide ir atrás del, a nun ser a Pedro, a Tiago i a Juan, armano de Tiago.
MRK.5.38	Quando chegórun a la casa de l xefe de la sinagoga, bei un grande rebolhiço i giente a chorar i a gritar muito. 
MRK.5.39	Antrou para andrento i dixo-le: «Porque bos apoquentais i chorais? La menina nun se morriu, stá a drumir.» 
MRK.5.40	Eilhes fazien caçuada del, mas el, apuis de habéren salido todos pa la rue, agarrou cun el l pai i la mai de la rapazica i ls que stában cun el i antrando para adonde staba la rapazica, 
MRK.5.41	agarrou-le la mano i dixo-le: «
MRK.5.42	Lhougo la rapazica s’alhebantou i andaba, pus yá tenie doze anhos. I todos quedórun mui admirados. 
MRK.5.43	Pediu-le muito pa que naide soubira l que se passara i mandou-le dar de quemer a la rapazica.
MRK.6.1	Apuis, saliu deilhi i fui-se pa la sue tierra i ls deciplos fúrun cun el. 
MRK.6.2	Quando chegou l sábado, ampeçou a ansinar na sinagoga. Muitos que stában a oubir quedában mui admirados, dezindo: «De adonde le benírun estas cousas todas i que sabedorie ye esta que le dórun? Cumo tan grandes marabilhas son feitas pulas manos del? 
MRK.6.3	Anton, este nun ye l carpinteiro, l filho de la Marie i armano de Tiago, de Jesé, de Judas i de Simon? I las armanas del nun móran eiqui cun nós?» I quedában sacandelizados cun el. 
MRK.6.4	Jasus, anton, dezie-le: «Nun hai porfeita que seia çfamado a nun ser na tierra del, na parentena del i na casa del.» 
MRK.6.5	I nun quijo fazer eilhi mais milagres. Solo curou uns pouquitos de malos, apuis de le poner las manos porriba. 
MRK.6.6	Quedaba mui admirado cula falta de fé deilhes.
MRK.6.6	Andaba, anton, a ansinar pulas terricas alredror. 
MRK.6.7	Adepuis, chamou ls doze i ampeçou a mandá-los als dous de cada beç i dou-le poder contra ls spritos malos. 
MRK.6.8	Dixo-le que nun lhebáran pul camino mais do que ũa choupa: Nien pan, nien alforjas, nien denheiro ne l cinto; 
MRK.6.9	que calçaran las albarcas, mas que nun lhebássen dues capas. 
MRK.6.10	I dixo-le, tamien: «Quando antrardes nũa casa, quedai alhá até que bos báiades desse sítio. 
MRK.6.11	I se ũa tierra nun bos recebir nien las pessonas bos oubíren, al salir dalhá sacudi l puolo de ls buossos pies an teçtemunho contra eilhes.» 
MRK.6.12	Eilhes fúrun-se a pregar para que fazíran penitença, 
MRK.6.13	botában muito demonho pa la rue i ountában cun azeite a quien stubisse malo i lhougo sanaba.
MRK.6.14	Cumo l nome del habie ganho muita nomeada, l rei Harodes oubiu falar del. Uns dezien: «Juan Batista rucecitou de ls muortos i ye por bias desso que nel óbran aqueilhes milagres todos.» 
MRK.6.15	Mas outros dezien: «Ye Eilias.» I outros: «Ye un porfeta, acumparado a un de ls porfetas.» 
MRK.6.16	Oubindo estas cousas, Harodes dezie: «Aquel Juan a quien le cortei l cachaço, el rucecitou.»
MRK.6.17	Ye berdade que esse Harodes mandara prender a Juan i habie-lo botado nũa cadena por bias de Harodíade, la mulhier de Felipe, armano del, porque se habie casado cun eilha. 
MRK.6.18	Dezie-le, anton, Juan a Harodes: «Nun tenes l dreito de bibir cula mulhier de tou armano.» 
MRK.6.19	Harodíade puso-se contra el i querie-lo matar, mas nun podie 
MRK.6.20	porque Harodes tenie-le miedo a Juan, puis sabie que era un home justo i santo, i defendie-lo; apuis de lo oubir quedaba cheno de miedo, mas assi i todo gustaba muito de l oubir.
MRK.6.21	Mas chegou un die al modo, an que Harodes fizo anhos i dou ũa boda pa ls sous prencipales, pa ls oufeciales i pa ls maiorales de la Galileia. 
MRK.6.22	Ende apersentou-se a beilar la filha daqueilha Harodíade i agradou a Harodes i als sous cumbidados. L rei dixo-le a la rapaza: «Pide-me l que quejires i you darei-te-lo.» 
MRK.6.23	I jurou-le muita beç: «Dou-te qualquiera cousa que me pidas, nien que seia la metade de l miu reino.»
MRK.6.24	Eilha saliu i preguntou-le a la mai: «L que le bou a pedir?» I eilha respundiu-le: «La cabeça de Juan Batista.» 
MRK.6.25	Lhougo eilha tornou a antrar para adonde staba l rei i fizo-le l pedido dezindo: «Quiero que agora mesmo me deias, nun prato, la cabeça de Juan Batista.» 
MRK.6.26	Mui triste, l rei, cumo habie feito la jura i por bias de ls cumbidados, nun le quijo faltar cula palabra 
MRK.6.27	i lhougo mandou un guarda cun orde para traier la cabeça de Juan. L guarda fui-se a la cadena i eilhi le cortou l cachaço 
MRK.6.28	i trouxo la cabeça del nun prato i dou-se-la a la rapazica i la rapazica dou-se-la a la mai deilha. 
MRK.6.29	Quando soubírun de l que se passara, ls deciplos de Juan fúrun-se a buscar l cuorpo del i ponírun-lo nũa sepultura.
MRK.6.30	Nesse antretiempo, bolbírun ls apóstelos i cuntórun-le a Jasus todas las cousas que habien feito i ansinado. 
MRK.6.31	El dixo-le: «Beni bós solicos para un sítio sien naide i çcansai un cachico.» Porque era muita la giente que andaba para alhá i para acá, que eilhes nien tiempo para quemer tenien. 
MRK.6.32	Scapórun-se, anton, eilhes solicos nun barco para un sítio sien naide. 
MRK.6.33	Quando ls bírun salir, muitos dórun-se de cuonta para adonde íban. Antoce, fui-se par’alhá a pie la giente de muita cidade i inda chegórun purmeiro do que eilhes.
MRK.6.34	Al abaixá-se de l barco, biu un grande juntouro de giente i tubo pena deilha, porque éran cumo canhonas que nun tenien pastor, i ampeçou-le a ansinar muita cousa. 
MRK.6.35	Quando la hora yá staba a quedar mui adelantrada, fúrun-se a tener cun el ls deciplos i dezírun-le: «Este sítio ye un ermo i la hora yá bai mui adelantrada; 
MRK.6.36	manda-los ambora, para que se báian pulas tierras i quintas alredror a cumprar algo que quemer.» 
MRK.6.37	Mas el respundiu-le, dezindo: «Dai-le bos a quemer.» I eilhes dezírun-le: «Bamos, anton, alhá a cumprar duzientos denheiros de pan i damos-se-lo a quemer.» 
MRK.6.38	El preguntou-le: «Quantas fogaças teneis ende? Ide alhá a ber.» Quando eilhes soubírun, dezírun-le: «Cinco fogaças i dous peixes.»
MRK.6.39	Dou-le, anton, orde pa que fazíran sentar a todo mundo, an grupos, anriba ls fenascos inda berdes. 
MRK.6.40	Eilhes sentórun-se, apartados an grupos de cien i de cinquenta. 
MRK.6.41	Agarrou apuis nas cinco fogaças i ne ls dous peixes, mirou pa l cielo, beneziu i partiu las fogaças i iba-se-las dando als sous deciplos para que se las díran a las pessonas; partiu tamien ls dous peixes. 
MRK.6.42	I quemírun todos até fartar. 
MRK.6.43	Inda arrecolhírun doze cestas chenas de carolos i puostas de peixe. 
MRK.6.44	Ls que quemírun l pan éran cinco mil homes.
MRK.6.45	Lhougo a seguir, oubrigou ls sous deciplos a chubir pa l barco para passáren pa l outro lhado, para Betsaida, anquanto el mandaba l pobo ambora. 
MRK.6.46	Apuis de ls haber mandado ambora, fui-se para un cabeço a rezar. 
