MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
LUK.10.18	Er antwortete ihnen: "Ja, ich sah den Satan wie einen Blitz vom Himmel fallen.
LUK.10.19	Seht, ich habe euch die Macht verliehen, über Schlangen und Skorpione dahinzuschreiten
LUK.10.20	Doch freut euch nicht darüber, daß euch die Geister gehorchen; freut euch vielmehr darüber, daß eure Namen im Himmel eingetragen sind!"
LUK.10.21	In jener Stunde rief Jesus, erfüllt vom Heiligen Geist, in lautem Jubel aus: "Ich preise dich, o Vater, Herr des Himmels und der Erde, daß du dies den Weisen und Verständigen verborgen und es den Einfältigen offenbart hast. Ja, Vater, so hat dir's gefallen! 
LUK.10.22	Alles ist mir von meinem Vater übergeben worden, und niemand weiß, wer der Sohn ist, als nur der Vater, und wer der Vater ist, als nur der Sohn und der, dem der Sohn es offenbaren will." 
LUK.10.23	Dann sprach er, nur zu den Jüngern gewandt: "Selig sind die Augen, die das sehen, was ihr seht! 
LUK.10.24	Denn ich sage euch: Viele Propheten und Könige haben gewünscht zu sehen, was ihr seht, und haben es nicht gesehen, und zu hören, was ihr hört, und haben es nicht gehört." 
LUK.10.25	Da erhob sich ein Gesetzeslehrer, der ihm eine Falle stellen wollte, und fragte ihn: "Meister, was muß ich tun, um ewiges Leben zu erlangen?" 
LUK.10.26	Jesus sprach zu ihm: "Was steht im Gesetz geschrieben? Wie liest du dort?" 
LUK.10.27	Er antwortete: "Du sollst den Herrn, deinen Gott, lieben mit ganzem Herzen, mit ganzer Seele, mit aller Kraft und mit allem Denken und deinen Nächsten wie dich selbst."
LUK.10.28	Jesus sprach zu ihm: "Deine Antwort ist ganz richtig; tue das, so wirst du leben."
LUK.10.29	Doch der Gesetzeslehrer wollte sich (wegen seiner Frage) rechtfertigen und sprach deshalb zu Jesus: "Wer ist denn mein Nächster?"
LUK.10.30	Da erwiderte Jesus: "Ein Mann
LUK.10.31	Nun kam zufällig ein Priester jenes Weges; der sah den Mann, aber er ging vorüber. 
LUK.10.32	Ebenso kam ein Levit dorthin; der sah ihn und ging auch an ihm vorüber. 
LUK.10.33	Dann kam ein Samariter, der auf Reisen war, an die Stätte. Als der den Mann erblickte, ward er von Mitgefühl ergriffen: 
LUK.10.34	er trat hinzu, goß Öl und Wein
LUK.10.35	Am anderen Morgen zog er zwei Silberlinge
LUK.10.36	Wer von diesen dreien hat nun nach deiner Meinung als Nächster an dem Mann gehandelt, der den Räubern in die Hände fiel?" 
LUK.10.37	Der Gesetzeslehrer erwiderte: "Der Barmherzigkeit an ihm bewiesen hat." Da sprach Jesus zu ihm: "Geh hin und handle du ebenso!" 
LUK.10.38	Als sie weiterwanderten, kam er in ein Dorf. Dort nahm ihn eine Frau mit Namen Martha in ihr Haus auf. 
LUK.10.39	Sie hatte eine Schwester, die hieß Maria. Die lauschte, zu des Herrn Füßen sitzend, auf seine Unterweisung. 
LUK.10.40	Martha aber machte sich viel zu schaffen, um ihn reichlich zu bewirten. Und sie trat zu Jesus und sprach: "Herr, kannst du es ruhig mitansehen, daß mich meine Schwester alles allein besorgen läßt? Sag ihr doch, sie solle mir helfen!" 
LUK.10.41	Der Herr aber antwortete ihr: "Martha, Martha, du sorgst und mühst dich um vielerlei.
LUK.10.42	Aber nur wenig ist not.
LUK.11.1	Einst betete er an einem Ort. Als er damit zu Ende war, sprach einer seiner Jünger zu ihm: "Herr, lehre uns beten, wie auch Johannes seine Jünger es gelehrt hat." 
LUK.11.2	Da sprach er zu ihnen: "Wenn ihr betet, so sprecht: Vater, dein Name werde geheiligt! Dein Königreich komme! 
LUK.11.3	Unser Brot für morgen gib uns Tag für Tag! 
LUK.11.4	Und vergib uns unsere Sünden; denn auch wir vergeben jedem unserer Schuldner! Und führe uns nicht in Versuchung!"
LUK.11.5	Dann fuhr er fort: "Denkt euch: einer von euch hat einen Freund. Zu dem kommt er um Mitternacht mit der Bitte: 'Freund, leihe mir drei Brote; 
LUK.11.6	ein Freund von mir ist auf der Reise bei mir eingekehrt, und ich habe ihm nichts vorzusetzen.' 
LUK.11.7	Jener antwortet ihm nun von drinnen: 'Laß mich in Ruhe; die Tür ist schon verschlossen, und meine Kinder sind mit mir zu Bett gegangen. Ich kann nicht aufstehen und dir etwas geben.' 
LUK.11.8	Ich sage euch: Steht er auch nicht deshalb auf und gibt ihm Brot, weil es sein Freund ist, so wird er doch, weil der andere ihm so zusetzt, aus seinem Bett aufstehen und ihm geben, soviel er nötig hat. 
LUK.11.9	Darum sage ich euch auch: Bittet, so wird euch gegeben! Sucht, so werdet ihr finden! Klopft an, so wird euch aufgetan! 
LUK.11.10	Denn wer bittet, der empfängt, wer sucht, der findet, und wer anklopft, dem wird aufgetan. 
LUK.11.11	Wer von euch bittet seinen Vater um Brot, und der gibt ihm einen Stein? oder um einen Fisch, und er reicht ihm statt des Fisches eine Schlange? 
LUK.11.12	Oder wer bittet seinen Vater um ein Ei, und der reicht ihm statt dessen einen Skorpion? 
LUK.11.13	Wißt ihr nun, obwohl ihr böse seid, euern Kindern gute Gaben zu geben: wieviel mehr wird da der Vater vom Himmel her den Heiligen Geist
LUK.11.14	Eines Tages trieb er einen bösen Geist aus, der war stumm. Als der böse Geist ausgefahren war, konnte der Stumme sprechen. Da waren die Leute verwundert. 
LUK.11.15	Einige aber von ihnen sagten: "Im Bunde mit Beelzebul, dem Obersten der bösen Geister, treibt er die Teufel aus." 
LUK.11.16	Andere, die ihn aushorchen wollten, verlangten von ihm, er möge vom Himmel her ein Wunderzeichen kommen lassen.
LUK.11.17	Er aber durchschaute ihre Gedanken und sprach zu ihnen: "Jedes Reich, das in sich selbst uneins ist, das fällt in Trümmer: ein Haus stürzt auf das andere. 
LUK.11.18	Ist nun auch der Satan mit sich selbst uneins, wie sollte da sein Reich bestehen können? Ihr sagt ja, ich treibe die bösen Geister aus im Bund mit Beelzebul. 
LUK.11.19	Treibe ich nun im Bunde mit Beelzebul die bösen Geister aus, mit wessen Hilfe treiben sie denn eure Anhänger aus? Sie werden darum eure Richter sein. 
LUK.11.20	Treibe ich aber durch Gottes Finger die bösen Geister aus, so ist ja Gottes Königreich zu euch gekommen. 
LUK.11.21	Solange ein starker Kriegsmann in voller Waffenwehr seine Burg bewacht, ist sein Besitz in Sicherheit. 
LUK.11.22	Wenn aber ein Stärkerer ihn überfällt und überwindet, so nimmt er ihm seine Rüstung, worauf er sich verließ, und teilt die Beute, die er gewonnen, unter seine Kampfgenossen aus. 
LUK.11.23	Wer nicht mit mir ist, der ist gegen mich; und wer nicht mit mir sammelt, der zerstreut. 
LUK.11.24	Ist der unreine Geist von einem Menschen ausgefahren, so wandert er durch Wüsten: er sucht dort eine Ruhstatt und findet keine. Dann spricht er: 'Ich will zurückgehen in mein Haus, das ich verlassen habe.' 
LUK.11.25	Und kommt er dann, so findet er's gefegt und wohlgeschmückt. 
LUK.11.26	Nun geht er hin und holt noch sieben andere Geister, die schlimmer sind als er: die ziehen ein und wohnen dort. So wird's mit einem solchen Menschen am Ende ärger als zuvor." 
LUK.11.27	Als er so redete, rief ein Weib aus der Menge mit lauter Stimme: "Heil dem Schoß, der dich getragen! Heil der Brust, die dich genährt!" 
LUK.11.28	Er aber sprach: "Jawohl, Heil denen, die Gottes Wort hören und es halten!" 
LUK.11.29	Als sich die Leute um ihn scharten, fing er an zu reden: "Das gegenwärtige Geschlecht ist ein böses Geschlecht. Es begehrt ein Zeichen. Es wird ihm aber kein anderes Zeichen gegeben werden als das Zeichen Jonas. 
LUK.11.30	Denn wie Jona den Bewohnern Ninives ein Zeichen wurde, ebenso wird auch der Menschensohn für dies Geschlecht ein Zeichen sein. 
LUK.11.31	Die Königin aus Süden wird zugleich mit den Leuten dieses Geschlechts vor Gericht erscheinen und sie verurteilen; denn sie kam vom Ende der Erde, um Salomos Weisheit zu hören. Und hier steht doch einer, der größer ist als Salomo! 
LUK.11.32	Die Leute aus Ninive werden zugleich mit diesem Geschlecht vor Gericht erscheinen und es verurteilen; denn sie bekehrten sich bei Jonas Predigt. Und hier steht doch einer, der größer ist als Jona! 
LUK.11.33	Niemand zündet eine Lampe an und stellt sie dann in einen Keller oder unter einen Scheffel; sondern er setzt sie auf den Leuchter, damit alle, die eintreten, den Lichtglanz sehen. 
LUK.11.34	Die Leuchte deines Leibes ist dein Auge. Ist dein Auge gesund, so ist auch dein ganzer Leib im Licht; ist es aber krank, so ist auch dein Leib in Finsternis. 
LUK.11.35	Gib deshalb acht, daß nicht das Licht in dir verfinstert sei! 
LUK.11.36	Wenn nun dein ganzer Leib vom Licht durchdrungen ist, so daß kein Teil an ihm verfinstert bleibt, dann wird er so nach allen Seiten hin erleuchtet werden, als wenn die Lampe dich mit ihrem hellen Schein bestrahlt."
LUK.11.37	Kaum hatte Jesus ausgeredet, da lud ihn ein Pharisäer zum Frühmahl ein.
LUK.11.38	Der Pharisäer aber war verwundert, als er sah, daß sich Jesus vor dem Essen nicht erst die Hände wusch. 
LUK.11.39	Da sprach der Herr zu ihm: "Ja, ja, ihr Pharisäer! Ihr haltet Becher und Schüsseln von außen rein, doch drinnen in euern Herzen seid ihr voll Raubgier und Bosheit. 
LUK.11.40	Ihr Toren, hat nicht derselbe, der das Äußere geschaffen, auch das Innere gebildet?
LUK.11.41	Gebt nur, was sich in euern Bechern und Schüsseln findet, als Almosen! Dann ist euch alles rein.
LUK.11.42	Doch weh euch Pharisäern! Minze, Raute und alle anderen Küchenkräuter verzehntet ihr. Aber recht zu handeln und Gott zu lieben: daran geht ihr vorüber. Doch gerade dies solltet ihr tun, aber auch jenes nicht unterlassen. 
LUK.11.43	Weh euch, ihr Pharisäer! Ihr wollt in der gottesdienstlichen Versammlung die Ehrenplätze haben, und auf den Straßen soll man euch voll Ehrfurcht grüßen. 
LUK.11.44	Weh euch! Ihr gleicht verdeckten Gräbern,
LUK.11.45	Da nahm einer der anwesenden Gesetzeslehrer das Wort und sprach zu ihm: "Meister, mit diesen Worten beleidigst du auch uns." 
LUK.11.46	Jesus erwiderte: "Weh auch euch Gesetzeslehrern! Denn ihr legt den Leuten Lasten auf, die sie nicht tragen können; aber ihr selbst rührt diese Lasten mit keinem Finger an.
LUK.11.47	Weh euch! Ihr erbaut den Propheten Grabdenkmäler, und eure Väter haben sie getötet. 
LUK.11.48	Ihr seid darum Zeugen für die Taten eurer Väter und billigt sie; denn jene haben die Propheten getötet, und ihr errichtet ihnen Bauten.
LUK.11.49	Deshalb hat Gottes Weisheit auch gesprochen:
LUK.11.50	damit das Blut aller Propheten, das seit Anbeginn der Welt vergossen ist 
LUK.11.51	- von dem Blut Abels an bis auf das Blut Sacharjas, der zwischen dem Altar und dem Tempelhaus getötet worden ist —, von dem gegenwärtigen Geschlecht gefordert werde.'
LUK.11.52	Weh euch Gesetzeslehrern! Ihr habt den Schlüssel zur Erkenntnis
LUK.11.53	Als er von dort
LUK.11.54	Dabei waren sie auf der Lauer, ob sie vielleicht ein unbedachtes Wort aus seinem Mund erhaschen könnten.
LUK.12.1	Inzwischen hatten sich Tausende von Menschen angesammelt; die drängten sich so sehr, daß sie einander traten. Da begann er zuerst zu seinen Jünger zu sagen: "Vor allem hütet euch vor dem Sauerteig der Pharisäer; damit meine ich: hütet euch vor der Heuchelei!
LUK.12.2	Denn nichts ist so verhüllt, daß es nicht einst enthüllt würde; und nichts ist so verborgen, daß es nicht einst gesehen würde.
LUK.12.3	Deshalb wird alles, was ihr im geheimen geredet habt, dereinst ganz öffentlich vernommen werden; und was ihr in den Kammern ins Ohr geflüstert habt, das soll auf den Dächern
LUK.12.4	Euch aber, meinen Freunden, sage ich: Fürchtet euch nicht vor denen, die den Leib töten und die danach nichts weiter tun können! 
LUK.12.5	Ich will euch sagen, vor wem ihr euch zu fürchten habt: Fürchtet euch vor dem, der die Macht besitzt, nicht nur zu töten, sondern auch in die Hölle
LUK.12.6	Verkauft man nicht fünf Sperlinge für zehn Pfennige? Trotzdem ist keiner von ihnen bei Gott vergessen.
LUK.12.7	Nun sind aber sogar die Haare auf euerm Haupt allesamt gezählt. Habt keine Furcht! Ihr seid mehr wert als viele Sperlinge. 
LUK.12.8	Ferner sage ich euch: Wer sich zu mir bekennt vor den Menschen, zu dem wird sich der Menschensohn auch bekennen vor den Engeln Gottes. 
LUK.12.9	Wer mich aber verleugnet vor den Menschen, der soll auch verleugnet werden vor den Engeln Gottes. 
LUK.12.10	Wer ein Wort sagt gegen den Menschensohn, der wird Vergebung finden; wer aber eine Lästerung ausspricht gegen den Heiligen Geist, der findet keine Vergebung.
LUK.12.11	Führt man euch nun vor die Gemeindegerichte
LUK.12.12	Denn der Heilige Geist wird euch in jenem Augenblick die rechten Worte geben."
LUK.12.13	Einer aus dem Volk sprach zu ihm: "Meister, sage doch meinem Bruder, er solle das Erbe mit mir teilen." 
LUK.12.14	Jesus erwiderte ihm: "Mensch, wer hat mich zum Richter oder Schiedsmann über euch bestellt?" 
LUK.12.15	Dann wandte er sich an alle und sprach: "Nehmt euch in acht und hütet euch vor aller Habsucht! Denn so reich auch jemand ist, sein Leben kann er sich nicht sichern durch seine Güter." 
LUK.12.16	Nun trug er ihnen dieses Gleichnis vor: "Die Felder eines reichen Mannes hatten viel getragen. 
LUK.12.17	Da dachte er bei sich: 'Was soll ich tun? Ich habe keinen Platz, wo ich meine Ernte unterbringen kann.' 
LUK.12.18	Dann sprach er: 'So will ich's machen: ich lasse meine Speicher niederreißen und größere bauen. Dort bringe ich die ganze Ernte und meine andere Habe unter 
LUK.12.19	und sage dann zu meiner Seele: Liebe Seele, du hast auf viele Jahre reichen Vorrat; nun ruhe, iß und trink und freue dich des Lebens!'
LUK.12.20	Gott aber sprach zu ihm: 'Du Tor! Diese Nacht noch soll dir deine Seele abgefordert werden. Was bleibt dir dann von allem, was du dir aufgespeichert hast?' 
LUK.12.21	So geht es einem, der sich Schätze sammelt und ist dabei nicht reich für Gott."
LUK.12.22	Dann wandte er sich an seine Jünger mit den Worten: "Darum sage ich euch: Sorgt nicht ängstlich für euer Leben, was ihr essen sollt, auch nicht für euern Leib, was ihr anziehen sollt! 
LUK.12.23	Denn das Leben ist mehr wert als die Nahrung, und der Leib steht höher als die Kleidung. 
LUK.12.24	Seht die Raben an! Sie säen nicht, sie ernten nicht, sie haben keine Vorratskammer oder Speicher; trotzdem ernährt sie Gott. Wieviel höher steht ihr als die Vögel! 
LUK.12.25	Wer von euch kann mit all seinem Sorgen sein Leben auch nur um eine kurze Spanne Zeit verlängern? 
LUK.12.26	Vermögt ihr nun nicht einmal das Geringste, was macht ihr euch da Sorge um das andere? 
LUK.12.27	Seht die wilden Lilien an! Sie spinnen nicht und weben nicht. Und doch — das sage ich euch — ist selbst Salomo in all seiner (königlichen) Pracht nicht so (herrlich) gekleidet gewesen wie eine von ihnen. 
LUK.12.28	Wenn Gott nun das Gras auf dem Feld, das heute noch in Blüte steht und morgen in den Ofen geworfen wird, so herrlich kleidet, wie wird er da vielmehr euch Kleidung geben, ihr Kleingläubigen! 
LUK.12.29	Darum sollt ihr nicht ängstlich fragen nach Speise und Trank. Seid deshalb ohne Bangen! 
LUK.12.30	Denn das sind lauter Fragen, womit sich die Heiden hier in der Welt beschäftigen. Euer Vater weiß ja, daß ihr dies nötig habt. 
LUK.12.31	Trachtet nur nach seinem Königreich; dann soll euch dies
LUK.12.32	Sei ohne Furcht, du kleine Herde! Denn euerm Vater hat's gefallen, euch das Königreich zu geben. 
LUK.12.33	Verkauft eure Habe und gebt sie hin als Almosen! Macht euch Geldbeutel, die nicht veralten: erwerbt euch einen unerschöpflichen Schatz im Himmel, wo kein Dieb Zugang findet, wo keine Motte Zerstörung übt! 
LUK.12.34	Denn wo euer Schatz ist, da ist auch euer Herz. 
LUK.12.35	Seid umgürtet an euern Hüften und erhaltet eure Lampen brennend!
LUK.12.36	Denn ihr sollt Leuten gleichen, die auf die Rückkehr ihres Herrn von einer Hochzeit warten und ihm sofort zu öffnen haben, wenn er bei seiner Ankunft an die Tür klopft. 
LUK.12.37	Wohl den Knechten, die der Herr bei seinem Kommen wachend findet! Wahrlich, ich sage euch: Er wird sich gürten, sie zu Tisch führen und dann herumgehen, um sie zu bedienen.
LUK.12.38	Mag er in der zweiten,
LUK.12.39	Das seht ihr ein: wenn ein Hausherr wüßte, zu welcher Stunde der Dieb käme, so (bliebe er wach und) ließe nicht in sein Haus einbrechen.
LUK.12.40	So haltet auch ihr euch immerfort bereit; denn der Menschensohn kommt zu einer Stunde, da ihr es nicht vermutet!" 
LUK.12.41	Da sprach Petrus: "Herr, gilt dies Gleichnis nur uns
LUK.12.42	Der Herr antwortete: "Wäre doch jeder Verwalter
LUK.12.43	Wohl dem Knecht, den der Herr bei seiner Rückkehr also tätig findet! 
LUK.12.44	Wahrlich, ich sage euch: Er wird ihn über alle seine Güter setzen. 
LUK.12.45	Denkt aber jener Knecht in seinem Herzen: 'Mein Herr bleibt noch lange weg'; fängt er dann an, die Knechte und die Mägde zu mißhandeln, auch zu schmausen, zu zechen und sich zu berauschen: 
LUK.12.46	so wird sein Herr ihn überraschen an einem Tag, wo er's nicht vermutet, und zu einer Stunde, wo er's nicht erwartet. Dann wird er ihn blutig peitschen lassen und ihn an den Ort verweisen, wo die Treulosen sind. 
LUK.12.47	Ein Knecht, der seines Herrn Willen kennt und trotzdem nicht nach seinem Willen alles vorbereitet und besorgt, soll viele Streiche leiden. 
LUK.12.48	Wer aber nicht des Herrn Willen kennt und etwas tut, wofür er Züchtigung verdient, der soll die Peitsche nur wenig fühlen. Wer viel empfangen hat, von dem wird auch viel gefordert; und wem viel anvertraut worden ist, von dem wird um so mehr verlangt. 
LUK.12.49	Ich bin gekommen, um Feuer auf die Erde zu schleudern. O, was wünschte ich mehr, als daß es schon brennte! 
LUK.12.50	Zuvor aber muß ich eine Taufe erleiden.
LUK.12.51	Meint ihr, ich sei gekommen, um Frieden zu stiften auf Erden? Nein, sage ich euch, sondern Zwietracht.
LUK.12.52	Denn von nun an werden fünf, die in demselben Haus wohnen, in Zwietracht miteinander leben: drei werden stehen gegen zwei und zwei gegen drei. 
LUK.12.53	Der Vater wird in Feindschaft leben mit dem Sohn und der Sohn mit dem Vater, die Mutter mit der Tochter und die Tochter mit der Mutter, die Schwiegermutter mit der Schwiegertochter und die Schwiegertochter mit der Schwiegermutter." 
LUK.12.54	Dann sprach er zu dem Volk: "Seht ihr Gewölk im Westen aufsteigen, so sagt ihr alsbald: 'Es gibt Regen', und so geschieht es auch. 
LUK.12.55	Und weht ein Südwind, so sagt ihr: 'Es wird heiß', und so trifft's ein. 
LUK.12.56	Ihr Heuchler, das Aussehen der Erde und des Himmels versteht ihr zu deuten; wie kommt es denn, daß ihr die Zeit, worin ihr lebt, nicht deuten könnt? 
LUK.12.57	Warum könnt ihr nicht auch von selbst
LUK.12.58	Wenn du mit deinem Gläubiger vor Gericht gehst, so gib dir noch unterwegs Mühe, dich gütlich mit ihm abzufinden. Sonst könnte er dich vor den Richter schleppen, und der Richter würde dich dann dem Gerichtsvollzieher übergeben,
LUK.12.59	Ich sage dir: Du kommst dort nicht eher heraus, als bis du den letzten Heller bezahlt hast."
LUK.13.1	Zu der Zeit kamen einige Leute zu Jesus und erzählten ihm von den Galiläern, die Pilatus bei ihrem Opfer hatte niederhauen lassen.
LUK.13.2	Da sagte er zu ihnen: "Meint ihr, diese Galiläer seien größere Sünder gewesen als alle anderen Galiläer, weil sie ein solches Ende genommen haben? 
LUK.13.3	Nein, sage ich euch; sondern wenn ihr euch nicht bessert, werdet ihr alle ebenso schrecklich umkommen. 
LUK.13.4	Meint ihr ferner, jene achtzehn, auf die der Turm am Teich von Siloah
LUK.13.5	Nein, sage ich euch; sondern wenn ihr euch nicht bessert, werdet ihr alle ebenso furchtbar umkommen." 
LUK.13.6	Er erzählte ihnen dann dies Gleichnis: "Jemand hatte einen Feigenbaum in seinem Weinberg stehen.
LUK.13.7	Da sprach er zu dem Weingärtner: 'Jetzt komme ich schon drei Jahre
LUK.13.8	Aber der Weingärtner erwiderte: 'Herr, laß ihn auch dieses Jahr noch stehen; ich will erst noch einmal rings um ihn her das Land umgraben und düngen. 
LUK.13.9	Vielleicht trägt er dann künftig doch noch Frucht. Wo nicht, so laß ihn umhauen!'" 
LUK.13.10	Einst lehrte er am Sabbat in einem Versammlungshaus. 
LUK.13.11	Dort war eine Frau, die von einem (bösen) Geist zu leiden hatte, der sie schon achtzehn Jahre lang mit Krankheit plagte: sie war dadurch verkrümmt und nicht imstande, sich völlig gerade aufzurichten. 
LUK.13.12	Als Jesus sie erblickte, rief er sie zu sich und sprach zu ihr: "Weib, du bist von deiner Krankheit frei." 
LUK.13.13	Dann legte er ihr die Hände auf. Sofort ward sie wieder gerade und pries Gott. 
LUK.13.14	Der Gemeindevorsteher aber war darüber ungehalten, daß Jesus am Sabbat heilte,
LUK.13.15	Darauf erwiderte der Herr: "Ihr Heuchler, bindet nicht ein jeder unter euch am Sabbat seinen Ochsen oder Esel von der Krippe los und führt ihn hin zur Tränke? 
LUK.13.16	Und da sollte diese Frau, eine Tochter Abrahams, die der Satan nun schon achtzehn Jahre lang gebunden hat, nicht am Sabbattag von ihrer Fessel befreit werden dürfen?" 
LUK.13.17	Bei diesen Worten schämten sich alle seine Widersacher; das ganze Volk aber freute sich über alle seine herrlichen Taten. 
LUK.13.18	Dann sprach er: "Wem ist das Königreich Gottes gleich, und unter welchem Bild soll ich's darstellen? 
LUK.13.19	Es ist wie ein Senfkorn, das einer nimmt und in seinen Garten sät; das wächst und wird zu einem großen Baum, und die Vögel des Himmels nisten in seinen Zweigen." 
LUK.13.20	Ferner sagte er: "Unter welchem Bild soll ich das Königreich Gottes darstellen? 
LUK.13.21	Es ist wie ein Sauerteig, den eine Frau nimmt und ihn so lange in drei Scheffel Weizenmehl knetet, bis der ganze Teig durchsäuert ist." 
LUK.13.22	So wanderte er, die Leute lehrend, von Stadt zu Stadt, von Dorf zu Dorf und zog weiter nach Jerusalem. 
LUK.13.23	Einst fragte ihn jemand: "Herr, soll wirklich nur eine kleine Schar gerettet werden?"
LUK.13.24	"Setzt alle Kraft daran, durch die enge Pforte einzugehen!
LUK.13.25	Hat sich der Hausherr
LUK.13.26	Dann werdet ihr anfangen zu sagen: 'Wir haben doch vor deinen Augen gegessen und getrunken, und auf unseren öffentlichen Plätzen hast du uns belehrt!'
LUK.13.27	Er aber wird euch erwidern: 'Ich wiederhole: ihr gehört nicht hierher; weicht von mir, all ihr Übeltäter!' 
LUK.13.28	Da wird lautes Klagen und Zähneknirschen sein, wenn ihr seht, wie Abraham, Isaak und Jakob und die Propheten alle im Königreich Gottes sind, während ihr hinausgewiesen werdet. 
LUK.13.29	Von Ost und West, von Nord und Süd werden die Leute
LUK.13.30	Denn solche, die jetzt die Letzten sind, werden die Ersten sein, und solche, die jetzt die Ersten sind, werden die Letzten sein."
LUK.13.31	Zu der Stunde traten einige Pharisäer zu ihm und sagten: "Geh weg aus dieser Gegend, denn Herodes
LUK.13.32	Er antwortete ihnen: "Geht hin und meldet diesem Fuchs:
LUK.13.33	Freilich muß ich heute und auch morgen noch und übermorgen wandern;
LUK.13.34	Jerusalem, Jerusalem, du tötest die Propheten und steinigst Gottes Boten! Wie oft habe ich deine Kinder um mich sammeln wollen, wie eine Henne ihre Küchlein unter ihre Flügel sammelt! Doch ihr habt nicht gewollt! 
LUK.13.35	Darum soll euch euer Haus verlorengehen.
LUK.14.1	An einem Sabbat ging er in das Haus eines Gemeindevorstehers, der zu den Pharisäern gehörte, um an einem Mahl teilzunehmen. Alle Tischgenossen sahen scharf auf ihn. 
LUK.14.2	Plötzlich stand ein Wassersüchtiger vor ihm.
LUK.14.3	Da nahm Jesus das Wort und sprach zu den Gesetzeslehrern und Pharisäern: "Darf man am Sabbat heilen oder nicht?" 
LUK.14.4	Sie schwiegen. Nun faßte er den Kranken bei der Hand, heilte ihn und ließ ihn gehen. 
LUK.14.5	Dann fragte er die Versammelten: "Zieht nicht jeder unter euch, dem am Sabbattag sein Esel oder sein Ochs in einen Brunnen fällt, ihn ohne weiteres sofort heraus?" 
LUK.14.6	Darauf konnten sie keine Antwort geben. 
LUK.14.7	Als er bemerkte, wie sich die geladenen Gäste nach den ersten Plätzen drängten, trug er ihnen ein Gleichnis vor: 
LUK.14.8	"Wenn dich jemand zu einem Hochzeitsmahl lädt, so setze dich nicht obenan! Es könnte einer geladen sein, der vornehmer wäre als du. 
LUK.14.9	Dann käme der Gastgeber, der euch beide geladen hat, und spräche zu dir: 'Mache diesem Platz!' Und du müßtest nun beschämt untenan sitzen. 
LUK.14.10	Wirst du geladen, so gehe vielmehr und setze dich untenan! Dann wird der Gastgeber kommen und dich auffordern: 'Freund, rücke weiter hinauf!' Das wird dir eine Ehre sein vor allen deinen Tischgenossen.
LUK.14.11	Denn wer sich selbst erhöht, der soll erniedrigt werden; und wer sich selbst erniedrigt, der soll erhöht werden."
LUK.14.12	Zu dem Gastgeber sprach er dann: "Richtest du ein Mahl aus am Mittag oder Abend, so lade nicht deine Freunde, deine Brüder, deine Verwandten und deine reichen Nachbarn dazu ein! Die laden dich sonst wieder ein, und so wird dir Gleiches mit Gleichem vergolten. 
LUK.14.13	Sondern wenn du jemand bewirten willst, so rufe Arme, Krüppel, Lahme und Blinde zu deiner Tafel!
LUK.14.14	Dann bist du glücklich zu preisen; denn diese Leute können es dir nicht wiedervergelten. Es soll dir aber vergolten werden bei der Auferstehung der Gerechten."
LUK.14.15	Bei diesen Worten sprach einer von den Gästen zu ihm: "Heil dem, der einst teilnehmen darf an dem Mahl in Gottes Königreich!" 
LUK.14.16	Darauf versetzte Jesus: "Jemand wollte eine große Abendmahlzeit geben und lud
LUK.14.17	Als dann der Tag des Mahles kam, sandte er seinen Knecht zu den geladenen Gästen mit der Botschaft: 'Kommt, es ist nun angerichtet!'
LUK.14.18	Da begannen alle ohne Ausnahme sich zu entschuldigen. Der erste sprach zu ihm: 'Ich habe einen Acker gekauft und muß notwendig hingehen und ihn besichtigen; ich bitte dich: sieh mich als entschuldigt an.' 
LUK.14.19	Ein anderer sagte: 'Ich habe fünf Paar Ochsen gekauft und will nun gerade hingehen, um sie mir anzusehen; ich bitte dich: sieh mich als entschuldigt an.' 
LUK.14.20	Ein dritter sprach: 'Ich habe mich eben verheiratet; darum kann ich nicht kommen.' 
LUK.14.21	Der Knecht kam zurück und meldete das alles seinem Herrn. Da ward der Hausherr zornig und sprach zu seinem Knecht: 'Lauf schnell auf die Plätze und Straßen der Stadt und bring die Armen, die Krüppel, die Blinden und Lahmen her!' 
LUK.14.22	Der Knecht berichtete dann: 'Herr, dein Befehl ist ausgeführt; aber es ist noch Platz vorhanden.' 
LUK.14.23	Da sprach der Herr zu dem Knecht: 'Geh auf die Feldwege und an die Zäune
LUK.14.24	Denn das sage ich euch: Keiner von den Männern, die zuerst geladen waren, soll mein Mahl genießen."
LUK.14.25	Große Scharen folgten ihm auf seiner Wanderung. An die wandte er sich mit den Worten: 
