GEN.1.1	Im Anfang schuf Gott die Himmel 
JDG.6.22	Da sah Gideon, daß es der Engel Jehovas war, und Gideon sprach: Ach Herr, Jehova! Dieweil ich den Engel Jehovas gesehen habe von Angesicht zu Angesicht! 
JDG.6.23	Und Jehova sprach zu ihm: Friede dir! Fürchte dich nicht, du wirst nicht sterben. 
JDG.6.24	Und Gideon baute daselbst Jehova einen Altar und nannte ihn: Jehova-Schalom 
JDG.6.25	Und es geschah in selbiger Nacht, da sprach Jehova zu ihm: Nimm den Farren deines Vaters, und zwar den zweiten Farren von sieben Jahren; und reiße nieder den Altar des Baal, der deinem Vater gehört, und die Aschera, die bei demselben ist, haue um; 
JDG.6.26	und baue Jehova, deinem Gott, einen Altar auf dem Gipfel dieser Feste 
JDG.6.27	Und Gideon nahm zehn Männer von seinen Knechten und tat, so wie Jehova zu ihm geredet hatte. Und es geschah, da er sich vor dem Hause seines Vaters und vor den Leuten der Stadt fürchtete, es bei Tage zu tun, so tat er es bei Nacht. 
JDG.6.28	Und als die Leute der Stadt des Morgens früh aufstanden, siehe, da war der Altar des Baal umgerissen, und die Aschera, die bei demselben war, umgehauen, und der zweite Farre war als Brandopfer auf dem erbauten Altar geopfert. 
JDG.6.29	Und sie sprachen einer zum anderen: Wer hat das getan? Und sie forschten und fragten nach, und man sagte: Gideon, der Sohn des Joas, hat das getan. 
JDG.6.30	Da sprachen die Leute der Stadt zu Joas: Gib deinen Sohn heraus, daß er sterbe, weil er den Altar des Baal umgerissen, und weil er die Aschera, die bei demselben war, umgehauen hat! 
JDG.6.31	Und Joas sprach zu allen, die bei ihm standen: Wollt ihr für den Baal rechten, oder wollt ihr ihn retten? Wer für ihn rechtet, soll getötet werden bis zum Morgen. Wenn er ein Gott ist, so rechte er für sich selbst, weil man 
JDG.6.32	Und man nannte ihn an selbigem Tage Jerub-Baal, indem man sprach: Der Baal rechte mit ihm, weil er seinen Altar umgerissen hat.
JDG.6.33	Und ganz Midian und Amalek und die Söhne des Ostens versammelten sich allzumal, und sie setzten über den Jordan und lagerten sich im Tale Jisreel. 
JDG.6.34	Und der Geist Jehovas kam über 
JDG.6.35	Und er sandte Boten durch ganz Manasse, und auch sie wurden zusammengerufen, ihm nach. Und er sandte Boten durch Aser und durch Sebulon und durch Naphtali. Und sie zogen herauf, ihnen entgegen. 
JDG.6.36	Und Gideon sprach zu Gott: Wenn du Israel durch meine Hand retten willst, so wie du geredet hast- 
JDG.6.37	siehe, ich lege ein Wollvließ 
JDG.6.38	Und es geschah also. Und er stand am anderen Morgen früh auf, und er drückte das Vließ aus und preßte Tau aus dem Vließe, eine Schale voll Wasser. 
JDG.6.39	Und Gideon sprach zu Gott: Dein Zorn entbrenne nicht wider mich! Und ich will nur noch diesmal reden. Laß mich es doch nur noch diesmal mit dem Vließe versuchen: Möge doch Trockenheit sein auf dem Vließe allein, und auf dem ganzen Boden sei Tau. 
JDG.6.40	Und Gott tat also in selbiger Nacht; und es war Trockenheit auf dem Vließe allein, und auf dem ganzen Boden war Tau.
JDG.7.1	Und Jerub-Baal, das ist Gideon, und alles Volk, das mit ihm war, machten sich früh auf, und sie lagerten sich an der Quelle Harod; das Lager Midians aber war ihm nordwärts, nach dem Hügel More hin, 
JDG.7.2	Und Jehova sprach zu Gideon: Des Volkes, das bei dir ist, ist zu viel, als daß ich Midian in ihre Hand geben sollte; damit Israel sich nicht wider mich rühme und spreche: Meine Hand hat mich gerettet! 
JDG.7.3	Und nun rufe doch vor den Ohren des Volkes aus und sprich: Wer furchtsam und verzagt ist, kehre um und wende sich zurück vom Gebirge Gilead! Da kehrten von dem Volke 22000 um, und 10000 blieben übrig. 
JDG.7.4	Und Jehova sprach zu Gideon: Noch ist des Volkes zu viel; führe sie ans Wasser hinab, daß ich sie dir daselbst läutere; und es soll geschehen, von wem ich dir sagen werde: dieser soll mit dir ziehen, der soll mit dir ziehen; und jeder, von dem ich dir sagen werde: dieser soll nicht mit dir ziehen, der soll nicht ziehen. 
JDG.7.5	Und er führte das Volk ans Wasser hinab. Und Jehova sprach zu Gideon: Jeder, der mit seiner Zunge von dem Wasser leckt, wie ein Hund leckt, den stelle besonders; und auch jeden, der sich auf seine Knie niederläßt, um zu trinken. 
JDG.7.6	Und die Zahl derer, welche mit ihrer Hand zu ihrem Munde leckten, war dreihundert Mann; und das ganze übrige Volk hatte sich auf seine Knie niedergelassen, um Wasser zu trinken. 
JDG.7.7	Und Jehova sprach zu Gideon: Durch die dreihundert Mann, die geleckt haben, will ich euch retten und Midian in deine Hand geben; das ganze übrige Volk aber soll gehen, ein jeder an seinen Ort. 
JDG.7.8	Und sie nahmen die Zehrung des Volkes mit sich und seine Posaunen. Und er entließ alle Männer von Israel, einen jeden nach seinen Zelten; aber die dreihundert Mann behielt er. Das Lager Midians war aber unter ihm im Tale.
JDG.7.9	Und es geschah in selbiger Nacht, da sprach Jehova zu ihm: Mache dich auf, gehe in das Lager hinab; denn ich habe es in deine Hand gegeben. 
JDG.7.10	Und wenn du dich fürchtest, hinabzugehen, so gehe mit Pura, deinem Knaben, zum Lager hinab; 
JDG.7.11	und du wirst hören, was sie reden; und danach werden deine Hände erstarken, und du wirst in das Lager hinabgehen. Da ging er mit Pura, seinem Knaben, hinab bis an das Ende der Gerüsteten, die im Lager waren. 
JDG.7.12	Und Midian und Amalek und alle Söhne des Ostens lagen im Tale, wie die Heuschrecken an Menge; und ihrer Kamele war keine Zahl, wie der Sand, der am Ufer des Meeres ist, an Menge. 
JDG.7.13	Und Gideon kam, und siehe, ein Mann erzählte seinem Genossen einen Traum und sprach: Siehe, ich habe einen Traum gehabt; und siehe, ein Laib Gerstenbrot rollte in das Lager Midians; und es kam bis zum Zelte 
JDG.7.14	Und sein Genosse antwortete und sprach: Das ist nichts anderes als das Schwert Gideons, des Sohnes Joas, eines Mannes von Israel; Gott hat Midian und das ganze Lager in seine Hand gegeben. 
JDG.7.15	Und es geschah, als Gideon die Erzählung des Traumes und seine Deutung hörte, da betete er an. Und er kehrte in das Lager Israels zurück und sprach: Machet euch auf! Denn Jehova hat das Lager Midians in eure Hand gegeben.
JDG.7.16	Und er teilte die dreihundert Mann in drei Haufen und gab ihnen allen Posaunen in die Hand und leere Krüge, und Fackeln in die Krüge. 
JDG.7.17	Und er sprach zu ihnen: Sehet es mir ab und tut ebenso; siehe, wenn ich an das Ende des Lagers komme, so soll es geschehen, daß ihr ebenso tut, wie ich tue. 
JDG.7.18	Und stoße ich in die Posaune, ich und alle, die bei mir sind, so sollt auch ihr in die Posaunen stoßen rings um das ganze Lager, und sollt rufen: Für Jehova und für Gideon! 
JDG.7.19	Und Gideon und die hundert Mann, die bei ihm waren, kamen an das Ende des Lagers, beim Beginn der mittleren Nachtwache; man hatte eben die Wachen aufgestellt. Und sie stießen in die Posaunen und zerschmetterten die Krüge, die in ihrer Hand waren. 
JDG.7.20	Und die drei Haufen stießen in die Posaunen und zerbrachen die Krüge; und sie hielten in ihrer linken Hand die Fackeln und in ihrer rechten Hand die Posaunen zum Blasen und riefen: Schwert Jehovas und Gideons 
JDG.7.21	Und sie standen ein jeder an seiner Stelle, rings um das Lager. Da lief das ganze Lager und schrie und floh. 
JDG.7.22	Und sie stießen in die dreihundert Posaunen; und Jehova richtete das Schwert des einen wider den anderen, und zwar im ganzen Lager. Und das Lager floh bis Beth-Schitta, nach Zerera hin, bis an das Ufer 
JDG.7.23	Und es versammelten sich 
JDG.7.24	Und Gideon sandte Boten in das ganze Gebirge Ephraim und ließ sagen: Kommet herab, Midian entgegen, und nehmet ihnen die Gewässer bis Beth-Bara, und den Jordan! Da versammelten sich alle Männer von Ephraim und nahmen ihnen die Gewässer bis Beth-Bara und den Jordan. 
JDG.7.25	Und sie fingen die zwei Fürsten von Midian, Oreb und Seeb; und sie erschlugen Oreb an dem Felsen Oreb, und Seeb erschlugen sie bei der Kelter Seeb; und sie jagten Midian nach. Und die Köpfe Orebs und Seebs brachten sie zu Gideon auf die andere Seite des Jordan.
JDG.8.1	Und die Männer von Ephraim sprachen zu ihm: Was ist das für eine Sache, die du uns getan, daß du uns nicht gerufen hast, als du hinzogest, um wider Midian zu streiten! Und sie zankten heftig mit ihm. 
JDG.8.2	Und er sprach zu ihnen: Was habe ich nun getan im Vergleich mit euch? Ist nicht die Nachlese Ephraims besser als die Weinlese Abiesers? 
JDG.8.3	In eure Hand hat Gott die Fürsten von Midian, Oreb und Seeb gegeben; und was habe ich tun können im Vergleich mit euch? Da ließ ihr Zorn von ihm ab, als er dieses Wort redete.
JDG.8.4	Und Gideon kam an den Jordan; er ging hinüber, er und die dreihundert Mann, die bei ihm waren, ermattet und nachjagend. 
JDG.8.5	Und er sprach zu den Männern von Sukkoth: Gebet doch dem Volke, das mir nachfolgt, einige Laibe Brot; denn sie sind ermattet, und ich jage den Königen von Midian, Sebach und Zalmunna, nach. 
JDG.8.6	Und die Obersten von Sukkoth sprachen: Ist die Faust Sebachs und Zalmunnas schon in deiner Hand, daß wir deinem Heere Brot geben sollen? 
JDG.8.7	Da sprach Gideon: Darum, wenn Jehova Sebach und Zalmunna in meine Hand gegeben hat, werde ich euer Fleisch zerdreschen mit Dornen der Wüste und mit Stechdisteln! 
JDG.8.8	Und er zog von dannen nach Pnuel hinauf und redete zu ihnen auf dieselbe Weise. Und die Männer von Pnuel antworteten ihm, wie die Männer von Sukkoth geantwortet hatten. 
JDG.8.9	Da sprach er auch zu den Männern von Pnuel und sagte: Wenn ich in Frieden zurückkomme, so werde ich diesen Turm niederreißen! 
JDG.8.10	Sebach und Zalmunna waren aber zu Karkor, und ihre Heere mit ihnen, bei 15000 Mann, alle, die übriggeblieben waren von dem ganzen Lager der Söhne des Ostens; und der Gefallenen waren 120000 Mann, die das Schwert zogen. 
JDG.8.11	Und Gideon zog hinauf des Weges zu den Zeltbewohnern, östlich von Nobach und Jogbeha; und er schlug das Lager, und das Lager war sorglos. 
JDG.8.12	Und Sebach und Zalmunna flohen, und er jagte ihnen nach; und er fing die beiden Könige von Midian, Sebach und Zalmunna; und das ganze Lager setzte er in Schrecken. 
JDG.8.13	Und Gideon, der Sohn Joas, kehrte aus dem Streite zurück, von der Anhöhe Heres herab. 
JDG.8.14	Und er fing einen Jüngling von den Männern von Sukkoth und befragte ihn; und dieser schrieb ihm die Obersten von Sukkoth und seine Ältesten auf, 77 Mann. 
JDG.8.15	Und er kam zu den Männern von Sukkoth und sprach: Sehet hier Sebach und Zalmunna, über welche ihr mich verhöhnt habt, indem ihr sprachet: Ist die Faust Sebachs und Zalmunnas schon in deiner Hand, daß wir deinen Männern, die ermattet sind, Brot geben sollen? 
JDG.8.16	Und er nahm die Ältesten der Stadt und Dornen der Wüste und Stechdisteln, und er züchtigte die Männer von Sukkoth mit denselben. 
JDG.8.17	Und den Turm zu Pnuel riß er nieder und erschlug die Männer der Stadt.
JDG.8.18	Und er sprach zu Sebach und zu Zalmunna: Wie waren die Männer, die ihr zu Tabor erschlagen habt? Und sie sprachen: Wie du, so waren sie, ein jeder an Gestalt gleich einem Königssohne. 
JDG.8.19	Und er sprach: Das waren meine Brüder, die Söhne meiner Mutter. So wahr Jehova lebt, wenn ihr sie am Leben gelassen hättet, so erschlüge ich euch nicht! 
JDG.8.20	Und er sprach zu Jether, seinem Erstgeborenen: Stehe auf, erschlage sie! Aber der Knabe zog sein Schwert nicht; denn er fürchtete sich, weil er noch ein Knabe war. 
JDG.8.21	Da sprachen Sebach und Zalmunna: Stehe du auf und stoße uns nieder; denn wie der Mann, so seine Kraft. Und Gideon stand auf und erschlug Sebach und Zalmunna; und er nahm die Halbmonde, welche an den Hälsen ihrer Kamele waren.
JDG.8.22	Und die Männer von Israel sprachen zu Gideon: Herrsche über uns, sowohl du, als auch dein Sohn und deines Sohnes Sohn; denn du hast uns aus der Hand Midians gerettet. 
JDG.8.23	Und Gideon sprach zu ihnen: Nicht ich will über euch herrschen, und nicht mein Sohn soll über euch herrschen; Jehova soll über euch herrschen. 
JDG.8.24	Und Gideon sprach zu ihnen: Eine Bitte will ich von euch erbitten: Gebet mir ein jeder sie Ohrringe seiner Beute! (denn sie hatten goldene Ohrringe, weil sie Ismaeliter waren). 
JDG.8.25	Und sie sprachen: Gern wollen wir sie geben. Und sie breiteten ein Oberkleid aus und warfen darauf ein jeder die Ohrringe seiner Beute. 
JDG.8.26	Und das Gewicht der goldenen Ohrringe, die er erbeten hatte, war 1700 Sekel Gold, außer den Halbmonden und den Ohrgehängen und den Purpurkleidern, welche die Könige von Midian trugen, und außer den Halsketten, 
JDG.8.27	Und Gideon machte daraus ein Ephod und stellte es in seiner Stadt auf, in Ophra. Und ganz Israel hurte demselben dort nach; und es wurde Gideon und seinem Hause zum Fallstrick. 
JDG.8.28	So wurde Midian vor den Kindern Israels gebeugt, und es hob sein Haupt nicht mehr empor. Und das Land hatte in den Tagen Gideons Ruhe vierzig Jahre.
JDG.8.29	Und Jerub-Baal, der Sohn Joas, ging hin und wohnte in seinem Hause. 
JDG.8.30	Und Gideon hatte siebzig Söhne, die aus seiner Lende hervorgegangen waren; denn er hatte viele Weiber. 
JDG.8.31	Und sein Kebsweib, das zu Sichem war, auch sie gebar ihm einen Sohn; und er gab ihm den Namen Abimelech. 
JDG.8.32	Und Gideon, der Sohn Joas, starb in gutem Alter; und er wurde begraben im Grabe seines Vaters Joas, zu Ophra der Abieseriter. 
JDG.8.33	Und es geschah, als Gideon tot war, da hurten die Kinder Israel wiederum den Baalim nach und machten sich den Baal-Berith 
JDG.8.34	Und die Kinder Israel gedachten nicht Jehovas, ihres Gottes, der sie errettet hatte aus der Hand aller ihrer Feinde ringsum. 
JDG.8.35	Und sie erwiesen keine Güte an dem Hause Jerub-Baal-Gideons, nach all dem Guten, das er an Israel getan hatte.
JDG.9.1	Und Abimelech, der Sohn Jerub-Baals, ging nach Sichem zu den Brüdern seiner Mutter; und er redete zu ihnen und zu dem ganzen Geschlecht des Hauses des Vaters seiner Mutter und sprach: 
JDG.9.2	Redet doch vor den Ohren aller Bürger von Sichem: Was ist besser für euch, daß siebzig Männer über euch herrschen, alle Söhne Jerub-Baals, oder daß ein Mann über euch herrsche? und bedenket, daß ich euer Gebein und euer Fleisch bin. 
JDG.9.3	Und die Brüder seiner Mutter redeten von ihm vor den Ohren aller Bürger von Sichem alle diese Worte. Und ihr Herz neigte sich Abimelech nach; denn sie sprachen: Er ist unser Bruder. 
JDG.9.4	Und sie gaben ihm siebzig Sekel Silber aus dem Hause Baal-Berith; und Abimelech dingte damit lose und übermütige Männer, und sie folgten ihm nach. 
JDG.9.5	Und er kam in das Haus seines Vaters, nach Ophra, und ermordete seine Brüder, die Söhne Jerub-Baals, siebzig Mann auf einem Steine; aber Jotham, der jüngste Sohn Jerub-Baals, blieb übrig, denn er hatte sich versteckt. 
JDG.9.6	Und alle Bürger von Sichem und das ganze Haus Millo 
JDG.9.7	Und man berichtete es Jotham. Da ging er hin und stellte sich auf den Gipfel des Berges Gerisim, und er erhob seine Stimme und rief und sprach zu ihnen: Höret auf mich, Bürger von Sichem, so wird Gott auf euch hören! 
JDG.9.8	Einst gingen die Bäume hin, einen König über sich zu salben; und sie sprachen zum Olivenbaum: Sei König über uns! 
JDG.9.9	Und der Olivenbaum sprach zu ihnen: Sollte ich meine Fettigkeit aufgeben, welche Götter und Menschen an mir preisen, 
JDG.9.10	Da sprachen die Bäume zum Feigenbaum: Komm du, sei König über uns! 
JDG.9.11	Und der Feigenbaum sprach zu ihnen: Sollte ich meine Süßigkeit aufgeben und meine gute Frucht, und sollte hingehen, zu schweben über den Bäumen? 
JDG.9.12	Da sprachen die Bäume zum Weinstock: Komm du, sei König über uns! 
JDG.9.13	Und der Weinstock sprach zu ihnen: Sollte ich meinen Most aufgeben, der Götter und Menschen erfreut, und sollte hingehen, zu schweben über den Bäumen? 
JDG.9.14	Da sprachen alle Bäume zum Dornstrauch: Komm du, sei König über uns! 
JDG.9.15	Und der Dornstrauch sprach zu den Bäumen: Wenn ihr mich in Wahrheit zum König über euch salben wollt, so kommet, vertrauet euch meinem Schatten an; 
JDG.9.16	Und nun, wenn ihr in Wahrheit und in Redlichkeit gehandelt habt, daß ihr Abimelech zum König gemacht, und wenn ihr Gutes getan habt an Jerub-Baal und an seinem Hause, und wenn ihr ihm getan habt nach dem Tun seiner Hände, - 
JDG.9.17	denn mein Vater hat für euch gestritten und sein Leben dahingeworfen und euch aus der Hand Midians errettet; 
JDG.9.18	ihr aber habt euch heute wider das Haus meines Vaters erhoben und seine Söhne ermordet, siebzig Mann auf einem Steine, und habt Abimelech, den Sohn seiner Magd, zum König gemacht über die Bürger von Sichem, weil er euer Bruder ist- 
JDG.9.19	wenn ihr also an diesem Tage in Wahrheit und in Redlichkeit an Jerub-Baal und an seinem Hause gehandelt habt, so freuet euch Abimelechs, und auch er möge sich euer freuen! 
JDG.9.20	Wenn aber nicht, so gehe Feuer von Abimelech aus und verzehre die Bürger von Sichem und das Haus Millo; und es gehe ein Feuer aus von den Bürgern von Sichem und von dem Hause Millo und verzehre Abimelech! 
JDG.9.21	Und Jotham floh und entwich und ging nach Beer; und er blieb daselbst wegen seines 
JDG.9.22	Und Abimelech herrschte über Israel drei Jahre. 
JDG.9.23	Und Gott sandte einen bösen Geist zwischen Abimelech und die Bürger von Sichem; und die Bürger von Sichem handelten treulos gegen Abimelech, 
JDG.9.24	damit die Gewalttat an den siebzig Söhnen Jerub-Baals über ihn käme, und ihr Blut gelegt würde auf ihren Bruder Abimelech, der sie ermordet, und auf die Bürger von Sichem, die seine Hände gestärkt hatten, seine Brüder zu ermorden. 
JDG.9.25	Und die Bürger von Sichem legten einen Hinterhalt 
JDG.9.26	Und Gaal, der Sohn Ebeds, kam mit seinen Brüdern, und sie zogen durch Sichem; und die Bürger von Sichem vertrauten ihm. 
JDG.9.27	Und sie gingen aufs Feld hinaus und lasen ihre Weinberge und kelterten; und sie hielten ein Dankfest und gingen in das Haus ihres Gottes und aßen und tranken und fluchten dem Abimelech. 
JDG.9.28	Und Gaal, der Sohn Ebeds, sprach: Wer ist Abimelech und wer Sichem, daß wir ihm dienen sollten? Ist er nicht der Sohn Jerub-Baals, und Sebul sein Statthalter? Dienet den Männern Hemors, des Vaters von Sichem! denn warum sollten wir ihm dienen? 
JDG.9.29	Hätte ich nur dieses Volk unter meiner Hand, so wollte ich Abimelech wegschaffen! Und er sprach von Abimelech: Mehre nur dein Heer und ziehe aus! 
JDG.9.30	Und Sebul, der Oberste der Stadt, hörte die Worte Gaals, des Sohnes Ebeds, und sein Zorn entbrannte; 
JDG.9.31	und er sandte Boten an Abimelech mit List und sprach: Siehe, Gaal, der Sohn Ebeds, und seine Brüder sind nach Sichem gekommen, und siehe, sie wiegeln die Stadt wider dich auf. 
JDG.9.32	Und nun, mache dich in der Nacht auf, du und das Volk, das bei dir ist, und lege dich in Hinterhalt auf dem Felde. 
JDG.9.33	Und es geschehe am Morgen, wenn die Sonne aufgeht, so mache dich früh auf und überfalle die Stadt; und siehe, wenn er und das Volk, das bei ihm ist, gegen dich hinausziehen, so tue ihm, wie deine Hand es finden wird. 
JDG.9.34	Und Abimelech und alles Volk, das mit ihm war, machten sich in der Nacht auf, und sie legten sich in vier Haufen gegen Sichem in Hinterhalt. 
JDG.9.35	Und Gaal, der Sohn Ebeds, ging hinaus und trat an den Eingang des Stadttores. Da machten sich Abimelech und das Volk, das bei ihm war, aus dem Hinterhalt auf. 
JDG.9.36	Und Gaal sah das Volk und sprach zu Sebul: Siehe, Volk kommt von den Gipfeln der Berge herab. Und Sebul sprach zu ihm: Den Schatten der Berge siehst du für Männer an. 
JDG.9.37	Und Gaal redete wiederum und sprach: Siehe, Volk kommt von der Höhe des Landes herab, und ein Haufe kommt des Weges nach Elon-Meonenim. 
JDG.9.38	Da sprach Sebul zu ihm: Wo ist nun dein Maul, da du sprachest: Wer ist Abimelech, daß wir ihm dienen sollten? Ist das nicht das Volk, welches du verachtet hast? Ziehe doch jetzt aus und streite wider ihn! 
JDG.9.39	Und Gaal zog aus vor den Bürgern von Sichem und stritt wider Abimelech. 
JDG.9.40	Und Abimelech jagte ihm nach, und er floh vor ihm; und es fielen viele Erschlagene bis an den Eingang des Tores. 
JDG.9.41	Und Abimelech blieb zu Aruma; und Sebul vertrieb Gaal und seine Brüder, so daß sie nicht mehr in Sichem blieben. 
JDG.9.42	Und es geschah am anderen Tage, da ging das Volk aufs Feld hinaus; und man berichtete es dem Abimelech. 
JDG.9.43	Und er nahm das Volk und teilte es in drei Haufen und legte sich in Hinterhalt auf dem Felde. Und er sah, und siehe, das Volk kam aus der Stadt heraus; und er erhob sich wider sie und schlug sie. 
JDG.9.44	Und Abimelech und die Haufen, die mit ihm waren, brachen hervor und stellten sich an den Eingang des Stadttores; und zwei der Haufen fielen über alle her, die auf dem Felde waren, und erschlugen sie. 
JDG.9.45	Und Abimelech stritt wider die Stadt jenen ganzen Tag; und er nahm die Stadt ein, und das Volk, das darin war, tötete er; und er riß die Stadt nieder und bestreute sie mit Salz. 
JDG.9.46	Und alle Bewohner 
JDG.9.47	Und es wurde dem Abimelech berichtet, daß alle Bewohner des Turmes von Sichem sich versammelt hätten. 
JDG.9.48	Da stieg Abimelech auf den Berg Zalmon, er und alles Volk, das bei ihm war; und Abimelech nahm eine Axt in seine Hand und hieb einen Baumast ab und hob ihn auf und legte ihn auf seine Schulter, und er sprach zu dem Volke, das mit ihm war: Was ihr gesehen habt, das ich getan habe, das tut eilends wie ich. 
JDG.9.49	Da hieb auch das ganze Volk ein jeder seinen Ast ab, und sie folgten Abimelech nach und legten sie an die Burg und zündeten die Burg über ihnen mit Feuer an. Und so starben auch alle Leute des Turmes von Sichem, bei tausend Männer und Weiber.
JDG.9.50	Und Abimelech zog nach Tebez, und er belagerte Tebez und nahm es ein. 
JDG.9.51	Es war aber ein starker Turm mitten in der Stadt, und dahin flohen alle Männer und Weiber, alle Bürger der Stadt; und sie schlossen hinter sich zu und stiegen auf das Dach des Turmes. 
JDG.9.52	Und Abimelech kam an den Turm und stritt wider ihn; und er nahte zum Eingang des Turmes, um ihn mit Feuer zu verbrennen. 
JDG.9.53	Da warf ein Weib den oberen Stein einer Handmühle auf den Kopf Abimelechs und zerschmetterte ihm den Schädel. 
JDG.9.54	Und er rief eilends den Knaben, der seine Waffen trug, und sprach zu ihm: Ziehe dein Schwert und töte mich, daß man nicht von mir sage: Ein Weib hat ihn umgebracht! Und sein Knabe durchstach ihn, und er starb. 
JDG.9.55	Und als die Männer von Israel sahen, daß Abimelech tot war, da gingen sie ein jeder an seinen Ort. 
JDG.9.56	Und so brachte Gott die Bosheit Abimelechs, die er an seinem Vater verübt hatte, indem er seine siebzig Brüder ermordete, auf ihn zurück. 
JDG.9.57	Und die ganze Bosheit der Männer von Sichem brachte Gott auf ihren Kopf zurück, und es kam über sie der Fluch Jothams, des Sohnes Jerub-Baals.
JDG.10.1	Und nach Abimelech stand auf, um Israel zu retten, Tola der Sohn Puas, des Sohnes Dodos, ein Mann von Issaschar; und er wohnte zu Schamir im Gebirge Ephraim. 
JDG.10.2	Und er richtete Israel 23 Jahre; und er starb und wurde zu Schamir begraben. 
JDG.10.3	Und nach ihm stand Jair, der Gileaditer, auf; und er richtete Israel 22 Jahre. 
JDG.10.4	Und er hatte dreißig Söhne, die auf dreißig Eseln ritten, und sie hatten dreißig Städte; diese nennt man bis auf diesen Tag die Dörfer Jairs, welche im Lande Gilead sind. 
JDG.10.5	Und Jair starb und wurde zu Kamon begraben.
JDG.10.6	Und die Kinder Israel taten wiederum, was böse war in den Augen Jehovas, und sie dienten den Baalim und den Astaroth, und den Göttern Syriens und den Göttern Zidons und den Göttern Moabs und den Göttern der Kinder Ammon und den Göttern der Philister; und sie verließen Jehova und dienten ihm nicht. 
JDG.10.7	Da entbrannte der Zorn Jehovas wider Israel, und er verkaufte sie in die Hand der Philister und in die Hand der Kinder Ammon. 
JDG.10.8	Und sie bedrückten und plagten die Kinder Israel in selbigem Jahre; achtzehn Jahre bedrückten sie alle Kinder Israel, welche jenseit des Jordan waren im Lande der Amoriter, das in Gilead ist. 
JDG.10.9	Und die Kinder Ammon zogen über den Jordan, um auch wider Juda und wider Benjamin und wider das Haus Ephraim zu streiten; und Israel wurde sehr bedrängt.
JDG.10.10	Da schrieen die Kinder Israel zu Jehova und sprachen: Wir haben gegen dich gesündigt, und zwar weil wir unseren Gott verlassen und den Baalim gedient haben. 
JDG.10.11	Und Jehova sprach zu den Kindern Israel: Habe ich euch nicht von den Ägyptern und von den Amoritern, von den Kindern Ammon und von den Philistern gerettet? 
JDG.10.12	und als die Zidonier und Amalekiter und Maoniter euch bedrückten, und ihr zu mir schrieet, euch aus ihrer Hand gerettet? 
JDG.10.13	Ihr aber habt mich verlassen und habt anderen Göttern gedient; darum werde ich euch nicht mehr retten. 
JDG.10.14	Gehet hin und schreiet zu den Göttern, die ihr erwählt habt: sie mögen euch retten zur Zeit eurer Bedrängnis! 
JDG.10.15	Und die Kinder Israel sprachen zu Jehova: Wir haben gesündigt. Tue du uns nach allem, was gut ist in deinen Augen; nur errette uns doch an diesem Tage! 
JDG.10.16	Und sie taten die fremden Götter aus ihrer Mitte hinweg und dienten Jehova; und seine Seele wurde ungeduldig über die Mühsal Israels. 
JDG.10.17	Und die Kinder Ammon versammelten sich und lagerten sich in Gilead; und die Kinder Israel kamen zusammen und lagerten sich zu Mizpa. 
JDG.10.18	Da sprach das Volk, die Obersten von Gilead, einer zum anderen: Wer ist der Mann, der anfängt, wider die Kinder Ammon zu streiten? Er soll allen Bewohnern Gileads zum Haupte sein.
JDG.11.1	Und Jephtha, 
JDG.11.2	Und auch das Weib Gileads gebar ihm Söhne; und als die Söhne des Weibes groß wurden, da vertrieben sie Jephtha und sprachen zu ihm: Du sollst nicht erben im Hause unseres Vaters, denn du bist der Sohn eines anderen Weibes. 
JDG.11.3	Und Jephtha floh vor seinen Brüdern und wohnte im Lande Tob. Und es sammelten sich zu Jephtha lose Leute und zogen mit ihm aus.
JDG.11.4	Und es geschah nach einiger Zeit, da stritten die Kinder Ammon mit Israel. 
JDG.11.5	Und es geschah, als die Kinder Ammon mit Israel stritten, da gingen die Ältesten von Gilead hin, um Jephtha aus dem Lande Tob zu holen. 
JDG.11.6	Und sie sprachen zu Jephtha: Komm und sei unser Anführer, daß wir wider die Kinder Ammon streiten! 
JDG.11.7	Und Jephtha sprach zu den Ältesten von Gilead: Seid ihr es nicht, die mich gehaßt und mich aus dem Hause meines Vaters vertrieben haben? Und warum kommet ihr jetzt zu mir, da ihr in Bedrängnis seid? 
JDG.11.8	Und die Ältesten von Gilead sprachen zu Jephtha: Darum sind wir jetzt zu dir zurückgekehrt, daß du mit uns ziehest und wider die Kinder Ammon streitest; und du sollst uns zum Haupte sein, allen Bewohnern Gileads. 
JDG.11.9	Und Jephta sprach zu den Ältesten von Gilead: Wenn ihr mich zurückholet, um wider die Kinder Ammon zu streiten, und Jehova sie vor mir dahingibt, werde ich euch dann wirklich zum Haupte sein? 
JDG.11.10	Und die Ältesten von Gilead sprachen zu Jephtha: Jehova sei Zeuge 
JDG.11.11	Da ging Jephtha mit den Ältesten von Gilead, und das Volk setzte ihn zum Haupte und zum Anführer über sich. Und Jephtha redete alle seine Worte vor Jehova zu Mizpa.
JDG.11.12	Und Jephtha sandte Boten an den König der Kinder Ammon und ließ ihm sagen: Was haben wir miteinander zu schaffen, daß du gegen mich gekommen bist, mein Land zu bekriegen? 
JDG.11.13	Und der König der Kinder Ammon sprach zu den Boten Jephthas: Weil Israel mein Land genommen hat, als es aus Ägypten heraufzog, vom Arnon bis an den Jabbok und bis an den Jordan; und nun gib die Länder 
JDG.11.14	Da sandte Jephtha abermals Boten an den König der Kinder Ammon 
