MAT.1.1	Awa ndiwo makholo a dzindza ya Yezu Kirixtu, Mwana wa Dhavidhi, Mwana wa Abharaamu.
MRK.7.33	Yezu am'bulusa mamuna pakati pa mbumba mbamuikha pyala m'makutu mwace. Buluka penepo, aphula mata mbaaikha pa lirimi ya mamuna. 
MRK.7.34	Na tenepo, alang'ana kudzulu, mbapuma na mphambvu, mbalonga tenepa: “Efata!” Ndiko kubveka: “Funguka!” 
MRK.7.35	Makutu a mamuna ule afunguka, pa n'dzidzi ubodzi-bodzi lirimi yace yasudzuka, mbatoma kulonga mwadidi mwene. 
MRK.7.36	Penepo Yezu akhondesa anthu onsene kumwaza mphangwa zenezi. Mbwenye pikhaakhondesa Iye, anthu akhalongeratu kakamwe. 
MRK.7.37	Na tenepo, onsene akhabva akhadzumatirwa napyo mbalonga tenepa: “Onani, asacita pyonsene mwadidi kakamwe! Anakhonda kubva, asabva, anakhonda kulonga, asalonga!”
MRK.8.1	Pakupita ntsiku pang'ono, wagumanyikana pontho mwinji ukulu wa anthu. Na thangwi ya kusoweka cakudya, Yezu acemera anyakupfundza ace mbaapanga tenepa: 
MRK.8.2	“Ndina ntsisi na mwinji wa anthu uyu, thangwi ana ntsiku zitatu mbali na Ine, pontho iwo nkhabe cakudya. 
MRK.8.3	Ndingaabweza m'midzi mwawo tenepa na njala, ana komoka n'njira, thangwi anango abuluka kutali.” 
MRK.8.4	Mbwenye anyakupfundza ace antawira tenepa: “Tinaigumana kupi mikate yakukwana toera kudyesa anthu onsene awa, n'thando ninga muno?” 
MRK.8.5	Yezu aabvundza tenepa: “Muna mikate mingasi penepo?” Iwo atawira kuti: “Tina mikate minomwe.” 
MRK.8.6	Yezu aipanga mbumba kuti ikhale pantsi. Buluka penepo, akwata mikate minomwe ire mbapereka takhuta kuna Mulungu, aigwanda mbaipasa anyakupfundza ace toera iwo aigawirembo mbumba. Iwo penepyo apicita. 
MRK.8.7	Zikhalipombo nyama pang'ono za m'madzi. Yezu azikwata mbapereka takhuta kuna Mulungu, mbazipasa anyakupfundza ace, toera iwo azigawirembo mbumba. 
MRK.8.8	Mbumba yadya mbikhuta. Pontho, na mapindi akhadasala, akwanisa kudzadza pitundu pinomwe. 
MRK.8.9	Penepo pakhali na amuna akhathamangira pikwi pinai (4.000). Na tenepo, Yezu aabweza mbaenda. 
MRK.8.10	Buluka penepo, Yezu apakira m'bote na anyakupfundza ace mbaenda cisa ca Dhalimanuta.
MRK.8.11	Afarisi abwera mbatoma kuketesana na Yezu. Toera kumulesera, am'phemba cirengo ca kudzulu. 
MRK.8.12	Mbwenye Yezu anentseka pikulu mbalonga kuti: “Thangwi yanji anthu awa asaphemba cidzindikiro ca cirengo? Mphapo Ine ndisakupangani pakweca kuti iwo nkhabe cidzindikiro cinango cinafuna kudza kaona iwo.” 
MRK.8.13	Penepo Yezu aasiya, mbapakira pyace pontho m'bote, mbaenda ntunda unango wa nyandza.
MRK.8.14	Anyakupfundza a Yezu akhadaduwala kukwata mikate. Iwo akhali na nkate ubodzi basi m'bote. 
MRK.8.15	Penepo Yezu aacenjeza mbalonga kuti: “Cenjerani pontho mucite mphole na ntombwe wa kutupisa mikate wa afarisi na wa Herodhi.” 
MRK.8.16	Na tenepo, anyakupfundza na kubva penepyo akhaketesana okha-okha, mbakhalonga kuti: “Iye asalonga penepi thangwi ife nkhabe mikate.” 
MRK.8.17	Yezu na kubva kuketesana kukhacita iwo, aabvundza tenepa: “Thangwi yanji musaketesana na thangwi ya kusowa mikate? Kodi imwe mudzati kupidziwa na kupibvesesa tayu? Ndi thangwi yanji musauma mitima tenepa? 
MRK.8.18	Muna maso mbwenye nkhabe kuona? Muna makutu mbwenye nkhabe kubva? Imwe nkhabe kukumbuka, 
MRK.8.19	mikate mixanu idagawira ine anthu akukwana pikwi pixanu? Pitundu pingasi pidadzaza imwe na mapindi a kusala?” Iwo atawira kuti: “Khumi na piwiri.” 
MRK.8.20	“Pontho nkhabe kukumbuka, kuti Ine ndagawa mikate minomwe kuna anthu akukwana pikwi pinai? Pitundu pingasi pyakudzala na mapindi a mikate adagumanya imwe?” Iwo atawira kuti: “Pinomwe.” 
MRK.8.21	Yezu aabvundza kuti: “Mphapo imwe mudzati basi kupibvesa tayu?”
MRK.8.22	Buluka penepo, Yezu na anyakupfundza ace afika ku dziko ya Bhetisaidha. Penepo anthu anango abweresa boli-boli m'bodzi, mbadembetera kuna Yezu kuti an'khuye. 
MRK.8.23	Yezu aphata nkono wa boli-boli mbamulamusa mbaenda na iye kunja kwa cisa. Kweneko Yezu aphula mata mban'khwaza m'maso mwace, ansandzika manja mbam'bvundza kuti: “Usaona pinthu?” 
MRK.8.24	Mamuna afungula maso ace mbalonga kuti: “Ande ndiri kuona anthu. Mbwenye ndiri kuaona ninga miti yakufamba.” 
MRK.8.25	Na tenepo, Yezu asandzika pontho manja m'maso mwa mamuna. Kubulukira penepo, mamuna awanga, mbatoma kuona mwadidi na kutali, pyonsene pikhali n'khundu mwace. 
MRK.8.26	Penepo Yezu amuendesa kunyumba kwace mbampanga kuti: “Leka kupita n'cisa.
MRK.8.27	Buluka penepo, Yezu abuluka na anyakupfundza ace mbaenda m'pisa pya Sezareya ya Filipi. Mukhaenda iwo n'njira, Yezu aabvundza kuti: “Kodi anthu asalonga kuti Ine ndine ani?” 
MRK.8.28	Iwo atawira tenepa: “Anango asalonga ndimwe Juwau Bhatixta. Anango asalonga kuti ndimwe Eliya. Anangombo asalonga kuti ndimwe m'bodzi wa maporofeta.” 
MRK.8.29	Yezu aabvundza pontho kuti: “Kodi imwembo musalonga kuti Ine ndine ani?” Pedhru atawira tenepa: “Imwe ndimwe Kirixtu.” 
MRK.8.30	Penepo, Yezu aacenjeza kuti aleke kupanga munthu unango pinthu penepyo.
MRK.8.31	Na tenepo, Yezu atoma kupfundzisa anyakupfundza ace mbaapanga kuti: “Ine, Mwana wa Munthu ndisafunika kuti ndione nyatwa zizinji, pontho ndikhondiwe na mathubu, na akulu aanyantsembe, na anyakudziwisa a Mwambo, mbandiphiwa, mbwenye pakupita ntsiku zitatu, ndinadza kalamuka pa kufa.” 
MRK.8.32	Iye akhalonga penepyo pakweca. Penepo Pedhru acemera Yezu pa khundu, mbatoma kunsandika. 
MRK.8.33	Mbwenye Yezu azungunuka mbalang'ana anyakupfundza ace, mbasandika Pedhru na kumulongera kuti: “Buluka Sathani pamaso panga! Thangwi pinanyerezera iwe si pya Mulungu tayu, mbwenye ndi pya anthu.” 
MRK.8.34	Na tenepo, Yezu acemera mbumba yonsene pabodzi na anyakupfundza ace, mbaapanga tenepa: “Ule anafuna kunditowera asatongwa akhondeke ekha ene, akwate ntanda wace anditowere. 
MRK.8.35	Thangwi ule anafuna kukoya moyo wace, anauluza. Mbwenye ule analuza moyo wace na thangwi yanga na ya Mphangwa Zadidi, anapulumuka. 
MRK.8.36	Thangwi pinaphedzeranji kuna munthu kuwina dziko yonsene ya pantsi, mbaluza nzimu wace? 
MRK.8.37	Peno ndi ninji cikhafuna kupereka munthu toera acinje na nzimu wace? 
MRK.8.38	Na tenepo, munthu anakhala na manyadzo na Ine pontho na mafala anga, pa midzidzi ino ya anthu a kuipa na anyakudawa, Ine, Mwana wa Munthu ndinadza kakhalambo na manyadzo na iye, ndingadza kabwera na mbiri ya Baba wanga pabodzi pene na anju zace zakucena.”
MRK.9.1	Yezu athimiza na kuapanga kuti: “Ndimo mwene ndisakupangani kuti, anango ali pano, nkhabe kufa mbadzati kuona Umambo wa Mulungu mbubwera na mphambvu.”
MRK.9.2	Pakupita ntsiku zitanthatu, Yezu akwata Pedhru, Tiyago, na Juwau, okha ene, mbaenda na iwo pa phiri yakulapha kakamwe. Penepo Yezu aphinduka makhaliro ace pamaso pawo. 
MRK.9.3	Nguwo zace zadza kaceneratu kakamwe mbaziyetimira. Nkhabe munthu wakudziwisa kufula pa dziko ino, anakwanisa kufula mbazicenesa tenepale. 
MRK.9.4	Penepo abulukira patsogolo pawo Eliya na Mozesi, mbakhaceza na Yezu. 
MRK.9.5	Na tenepo, Pedhru alonga kuna Yezu kuti: “Mpfundzisi, mphyadidi tikhale pyathu pano! Timange makumbi matatu. Ibodzi yanu, ibodzi ya Mozesi, inango ya Eliya.” 
MRK.9.6	Pedhru hakhapidziwa tayu pikhafuna iye kulonga, thangwi iwo onsene akhagopa. 
MRK.9.7	Penepo pene, yabwera khole ibodzi mbiagudumira. Pa khole, pabveka fala ibodzi ikhalonga tenepa: “Uyu ndi Mwana wanga wakufunika. M'bvereni!” 
MRK.9.8	Pa n'dzidzi ubodzi-bodzi, anyakupfundza ace alang'ana n'khundu hadaonabve munthu unango tayu. Aona Yezu ekha basi. 
MRK.9.9	Mukhachita iwo pa phiri, Yezu aapanga kuti aleke kupanga munthu m'bodzi pire pidaona iwo, mpaka kufikira kuti Iye, Mwana wa Munthu, alamuka pa kufa.
MRK.9.10	Iwo acita ninga mudaapangira Yezu, mbwenye akhaketesana okha-okha na kufuna kudziwa kuti isabvekanji fala eneyi ya “kulamuka pa kufa.” 
MRK.9.11	Na tenepo, iwo am'bvundzisa kuti: “Thangwi yanji anyakudziwisa a Mwambo asalonga kuti pisafunika Eliya abwere pa kutoma?” 
MRK.9.12	Yezu aatawira tenepa: “Ndimo mwene, Eliya anabwera pa kutoma, kudza kasasanyira pinthu pyonsene. Na tenepo, thangwi yanji mphapo Bukhu ya Mulungu isalonga kuti Ine, Mwana wa Munthu ndisafunika kuti ndidze kaone nyatwa zikulu mbandikhondiwa? 
MRK.9.13	Mbwenye Ine ndisakupangani kuti: Eliya abwera kale, pontho iwo ancitira pyonsene pikhafuna iwo, ninga mudalemberwa ipyo m'Bukhu ya Mulungu pa thangwi yace.”
MRK.9.14	Mudafika iwo dhuzi na anyakupfundza andzawo, aona mwinji ukulu wa anthu ukhadaazungulira. Penepo anyakudziwisa a Mwambo akhaketesana na iwo. 
MRK.9.15	Penepo pene, mbumba yonsene pidaona iwo Yezu, yatutumuka mbithamanga kwenda kam'mwanyika. 
MRK.9.16	Na tenepo, Yezu abvundza kuti: “Ndi ninji pinaketesana imwe?” 
MRK.9.17	Mamuna m'bodzi pakati pa mwinji wa anthu antawira tenepa: “Mpfundzisi, ndakudzeserani mwana wanga wa mamuna thangwi iye ana nzimu wa kuipa, unancimwanisa kulonga. 
MRK.9.18	Kazinji kene nzimu wa kuipa ungam'phata, usan'gwisa pantsi. Penepo asatoma buluka mapobvu n'kanwa, mbaluma mano, manungo ace mbauma. Ine ndaphemba anyakupfundza anu kuti aubuluse nzimu unowu wa kuipa, mbwenye iwo aucimwana.” 
MRK.9.19	Yezu atawira tenepa: “Imwe anthu akusowa cikhulupiro! Ndinakhala na imwe mpaka lini? Mpaka lini ndinakuonerani nyatwa? M'bwereseni pano m'phale.” 
MRK.9.20	Na tenepo, iwo an'dzesera. Nzimu wa kuipa na kuona Yezu, penepo pene wabhoma m'phale na mphambvu mbagwa pantsi, mbatoma kubulumunda na kubuluka mapobvu n'kanwa. 
MRK.9.21	Penepo, Yezu abvundza baba wace mwana kuti: “Atoma nayo lini nthenda eneyo mwana wako?” Iye antawira kuti: “Atoma nayo mbali mwana. 
MRK.9.22	Kazinji kene nzimu wa kuipa usan'gwisa pa moto, na m'madzi, toera kumupha. Mbwenye mungakwanisa Mbuya tibverenimbo ntsisi mutiphedze.” 
MRK.9.23	Yezu antawira tenepa: “Mungakwanisa? Nkhabe cinthu cinacimwanika kuna munthu anakhulupira.” 
MRK.9.24	Penepo pene, baba wace m'phale akhuwa mbalonga tenepa: “Ine ndisatawira, mbwenye ndiphedzeni kusowa kwanga cikhulupiro!” 
MRK.9.25	Yezu na kuona mwinji wa anthu ukhanfendedzera, aupwekera nzimu wa kuipa mbaupanga kuti: “Iwe nzimu wakukhonda kubva na kulonga, buluka muna mwana uyu. Leka kupita pontho muna iye.” 
MRK.9.26	Nzimu wa kuipa wakhuwa mbubhoma mwana na mphambvu, mbubuluka muna iye mbansiya akomoka. Na thangwi eneyi, anthu onsene akhali penepo, akhalonga kuti mwana afa. 
MRK.9.27	Mbwenye Yezu amphata mwana pa nkono mbamulamusa, iye mbalimira.
MRK.9.28	Pidapita Yezu n'nyumba, anyakupfundza ace am'bvundzisa pa khundu kuti: “Thangwi yanji ife taucimwana kuubulusa nzimu unowu?” 
MRK.9.29	Iye aatawira tenepa: “Khaindi eneyi ya mizimu ya kuipa isabuluka basi na miphembero pontho na kupimana cakudya.
MRK.9.30	Yezu na anyakupfundza ace abuluka penepo mbapita na ku Galileya. Mbwenye Iye hakhafuna tayu kudziwika na munthu kukhakhala Iye. 
MRK.9.31	Thangwi Iye akhapfundzisa anyakupfundza ace, mbaapanga tenepa: “Ine, Mwana wa Munthu ndinati ndiperekwe m'manja mwa anthu. Iwo anandipha, mbwenye pakupita ntsiku zitatu, Ine ndinalamuka pa kufa.” 
MRK.9.32	Anyakupfundza ace hakhapibvesa mwadidi tayu pikhalonga Iye, mbwenye akhagopa kum'bvundzisa.
MRK.9.33	Yezu na anyakupfundza ace afika ku nzinda wa Kafaranaumi. Pikhakhala iwo pa nyumba, Yezu abvundza anyakupfundza ace khumi na awiri tenepa: “Ndi ninji pikhadza imwe mbamuketesana na njira?” 
MRK.9.34	Mbwenye iwo amatama, thangwi n'njira akhadza mbaketesana kuti mbani nkulu pa nsoka wawo. 
MRK.9.35	Penepo Yezu akhala pantsi, acemera anyakupfundza ace khumi na awiri, mbaapanga tenepa: “Ule anafuna khala wakutoma, anakhala wakumalisa, pontho anakhala nyabasa wa onsene.” 
MRK.9.36	Penepo akwata mwana m'bodzi wang'ono mbamuikha pakati pawo. Yezu an'khumbatira mbalonga kuna anyakupfundza ace tenepa: 
MRK.9.37	“Ule anatambira mwana m'bodzi wang'ono ninga uyu na dzina yanga, asatambira Ine ene. Pontho ule ananditambira, hasatambira Ine basi tayu, mbwenye na ule ene adandituma.”
MRK.9.38	Penepo Juwau ampanga Yezu tenepa: “Mpfundzisi, taona mamuna m'bodzi mbakhathamangisa mizimu ya kuipa na dzina yanu, mbwenye ife tan'khondesa, thangwi iye si ndzathu tayu.” 
MRK.9.39	Yezu aatawira tenepa: “Lekani kun'khondesa. Thangwi nkhabe munthu anakwanisa cita pirengo na dzina yanga, pa n'dzidzi ubodzi-bodzi mbandilonga pontho kuipa. 
MRK.9.40	Thangwi ule anakhonda kutipokanya, unowu ngwathu. 
MRK.9.41	Kumbukani kuti ule anakupasani ndiko ibodzi ya madzi na dzina yanga na thangwi ya kuti imwe ndimwe a Kirixtu, ndimo mwene ndisakupangani kuti iye nkhabe kudza kaluza m'bairo wace.”
MRK.9.42	Yezu aapanga pontho kuti: “Munthu anagwisa n'kudawa m'bodzi wa ana ang'ono awa adanditawira, pikhali pyadidi kum'mangirira libwe ikulu n'khosi mwace mbaponyiwa m'bara. 
MRK.9.43	Mphapo ngakhala manja ako asakupitisa n'kudawa, agwande. Thangwi mphyadidi upite mu upulumuki wakukhonda kumala mbudalamala, kupiringana kukhala na manja ako mawiri, mbuyenda mu mbuto ya moto wakukhonda kuthima. 
MRK.9.44	[Mpfunye za mwenemu nkhabe kufa, pontho moto wace nkhabe thima.
MRK.9.45	Ngakhala mwendo wako usakupitisa n'kudawa, ugwande. Thangwi mphyadidi upite mu upulumuki wakukhonda kumala mbudalamala, kupiringana kukhala na myendo yako miwiri, mbuponyiwa mu infernu. 
MRK.9.46	[Mpfunye za mwenemu nkhabe kufa, pontho moto wace nkhabe thima.
MRK.9.47	Ngakhala ndi diso yako ibodzi inakucitisa kuti udawe, ibuluse. Thangwi ndi pyadidi upite mu Umambo wa Mulungu na diso ibodzi basi, kupiringana kukhala na maso mawiri mbuponyiwa mu infernu. 
MRK.9.48	Mpfunye za mwenemu nkhabe kufa, pontho moto wace nkhabe thima.
MRK.9.49	“Thangwi m'bodzi na m'bodzi anadza kaikhwa munyu na moto. 
MRK.9.50	Munyu ngwadidi. Mbwenye ungasuluka unadza kadzipisa tani? Khalani na munyu n'kati mwanu mbamukhala na ntendere m'bodzi na m'bodzi.”
MRK.10.1	Yezu abuluka penepo mbaenda ku cisa ca Djudeya, ntunda unango wa nyandza ya Djorodani. Penepo mwinji wa anthu watoma pontho kudzala n'khundu mwa Yezu. Na tenepo, Yezu atoma kuapfundzisa pontho anthu ninga nsambo wace. 
MRK.10.2	Afarisi anango afendedzera Yezu toera kun'dida, mbam'bvundza kuti: “Pisatawirirwa mamuna kumwalana na nkazi wace?” 
MRK.10.3	Yezu aatawira mbaabvundzisa kuti: “Kodi Mozesi akupanganinji?” 
MRK.10.4	Iwo atawira mbalonga kuti: “Mozesi atawirisa kuti mamuna alembe tsamba ya kumwalana nayo, angamala mbampereka mwawo.” 
MRK.10.5	Penepo Yezu aapanga kuti: “Mozesi akutawirisani mwambo unowu na thangwi ya kuuma kwanu mitima. 
MRK.10.6	Mbwenye pakutoma kwa pinthu pyonsene, Mulungu ‘aacita mamuna na nkazi.’ 
MRK.10.7	‘Na thangwi eneyo mamuna anasiya baba wace na mai wace, mbadza kaphatana na nkazi wace, 
MRK.10.8	pontho mu uwiri mwawo anadza kakhala nyama ibodzi basi.’ Na tenepo, iwo si anthu awiribve tayu, mbwenye ndi nyama ibodzi basi. 
MRK.10.9	Mphapo pidaphataniza Mulungu, munthu mbaleke kupimwaza.” 
MRK.10.10	Pidafika iwo ku nyumba, anyakupfundza abvundzisa pontho Yezu na thangwi ibodzi ene. 
MRK.10.11	Yezu aatawira tenepa: “Mamuna onsene anamwalana na nkazi wace, mbakwatana na unango mbacita na iye banja, asacitira upombo nkazi wace wakutoma. 
MRK.10.12	Sawa-sawa na nkazi angamwalana na mamuna wace, mbakwatana na mamuna unango mbacita na iye banja, asacitambo upombo.”
MRK.10.13	Buluka penepo, anthu anango akhadza na ana ang'ono kuna Yezu toera Iye aakhuye. Mbwenye anyakupfundza ace akhaasandika. 
MRK.10.14	Mphapo Yezu na kupiona asirizwa napyo mbaapanga kuti: “Asiyeni ana abwere kuna Ine, lekani kuakhondesa. Thangwi Umambo wa Mulungu ndi wa ale adalandana na iwo. 
MRK.10.15	Ndimo mwene, ndisakupangani kuti: Ule anakhonda kutambira Umambo wa Mulungu ninga mwana ng'ono, cipo anadza kapitamo.” 
MRK.10.16	Pakumala, Yezu akhumbatira ana ang'ono, aapasa nkhombo mbaasandzika manja.
MRK.10.17	Mukhabuluka Yezu, mamuna m'bodzi abwera mbathamanga kuna Iye, an'godamira mbabvundza kuti: “Mpfundzisi Wadidi, ndisafuna ndicitenji toera ndikhale na upulumuki wakukhonda kumala?” 
MRK.10.18	Yezu antawira tenepa: “Thangwi yanji usandicemera wadidi? Wadidi ndi m'bodzi basi, ndiye Mulungu. 
MRK.10.19	Pontho iwe usadziwa matongero analonga tenepa: ‘Leka kupha munthu, leka kucita upombo, leka kuba, leka kukhala nyamaso wa uthambi, leka kunyengeza andzako, lemedza baba wako na mai wako.’ ”
MRK.10.20	Penepo mamuna antawira mbalonga tenepa: “Mpfundzisi, penepi pyonsene ine ndisapicita kutomera mbandiri mwana.” 
MRK.10.21	Yezu amulang'ana na kunfuna konsene, mbapanga tenepa: “Casala cinthu cibodzi basi kuna iwe. Ndoko, gulisa pyonsene pina iwe, kobiri yace upase anyakucherenga. Tenepa unakhala na mpfuma kudzulu. Ungamala, bwera unditowere.” 
MRK.10.22	Mphapo iye na kubva mafala enewa, abuluka mbatsukwala, thangwi akhali na mpfuma zizinji. 
MRK.10.23	Na tenepo, Yezu alang'ana n'khundu mwace, mbapanga anyakupfundza ace kuti: “Pisanentsadi pikulu kakamwe kuna apfumi kuti apite mu Umambo wa Mulungu!” 
MRK.10.24	Anyakupfundza adzumatirwa na mafala enewa. Mbwenye Yezu athimiza basi na kulonga kuti: “Ananga, pisanentsadi pikulu kakamwe kupita mu Umambo wa Mulungu! 
MRK.10.25	Pisanentsa pikulu kakamwe kupitisa m'pfumi mu Umambo wa Mulungu, kupiringana kupitisa cinyama cinacemerwa kamelo mu benga ya ntsingano.” 
MRK.10.26	Anyakupfundza na kubva mafala enewa adzumatirwa na iwo pikulu kakamwe, mbakhabvundzana okha-okha kuti: “Pingakhala ndi tenepa, mbani anakwanisa kupulumuka?” 
MRK.10.27	Yezu aalang'ana anyakupfundza ace mbaapanga kuti: “Penepi pisacimwanika kuna anthu, mbwenye kuna Mulungu nkhabe. Thangwi kuna Mulungu pyonsene pisakwanisika.” 
MRK.10.28	Na tenepo, Pedhru atoma kumpanga Yezu kuti: “Lang'anani, ife tasiya pyonsene mbatikutowerani.” 
MRK.10.29	Yezu atawira tenepa: “Ndimo mwene, ndisakupangani kuti: Nkhabe munthu anasiya nyumba yace, abale ace aamuna, abale ace aakazi, baba, mai, ana, peno minda yace, na thangwi yanga na ya Mphangwa Zadidi, 
MRK.10.30	mbakhonda kutambira pa midzidzi ino, dzana na madzana a nyumba, dzana na madzana a abale amuna, abale aakazi, amai, ana, dzana na madzana a minda, na kuidiwa. Pontho mbakhonda kutambira upulumuki wakukhonda kumala pa midzidzi inafuna kudza. 
MRK.10.31	Mbwenye azinji akutoma, anadza kakhala akumalisira. Pontho akumalisira, anadza kakhala akutoma.”
MRK.10.32	Yezu na anyakupfundza ace khumi na awiri, akhaenda ku Djerusalema. Iye kutsogolo, anyakupfundza ace mbakhantowera. Anyakupfundza ace akhadadzumatirwa, mbwenye anango akhaenda na iwo, akhagopa. Na tenepo, Yezu acemera pa khundu anyakupfundza ace khumi na awiri, mbatoma kuapanga pire pikhafuna kudza kacitika kuna Iye kuti: 
MRK.10.33	“Lang'anani, ife tiri kwenda ku Djerusalema. Kweneko, Ine, Mwana wa Munthu, ndinadza kaperekwa kuna akulu aanyantsembe na anyakudziwisa a Mwambo. Iwo anadza kandikonesa kuti ndiphiwe, mbandipereka kuna anthu adakhonda kukhala madjuda. 
MRK.10.34	Iwo anadza kandisingirira, anadza kandiphulira mata, anadza kandikwapula pontho mbandipha. Mbwenye pakupita ntsiku zitatu, ndinadza kalamuka pa kufa.”
MRK.10.35	Penepo, anfendedzera Tiyago na Juwau, ana a Zebhedheu, mbampanga tenepa: “Mpfundzisi, tisaphemba kuti muticitire pinafuna kukumphembani ife.” 
MRK.10.36	Yezu aabvundza tenepa: “Musafuna kuti ndikucitireninji?” 
MRK.10.37	Iwo atawira kuti: “Tisafuna kuti mungakhala mu Umambo wanu wa mbiri mutisiye, m'bodzi akhale ku nkono wanu wa madyo, unango ku nkono wanu wa bzere.” 
MRK.10.38	Mbwenye Yezu aatawira tenepa: “Imwe nkhabe kupidziwa pinaphemba imwe. Imwe munakwanisa kumwa ndiko inamwa Ine, peno kutambira batixmu inatambira Ine?” 
MRK.10.39	Iwo atawira kuti: “Tinakwanisa.” Yezu aapanga tenepa: “Ndimo mwene, imwe munadza kamwa ndiko inamwa Ine, pontho munadza katambira batixmu inatambira Ine. 
MRK.10.40	Mbwenye pya kukhala ku nkono wanga wa madyo, peno ku nkono wanga wa bzere, penepi si pyanga tayu. Thangwi mbuto zenezi ndi za ale adamala sasanyirwa mbuto zenezi.” 
MRK.10.41	Anyakupfundza anango khumi, na kubva penepyo, aipirwa na Tiyago na Juwau. 
MRK.10.42	Na tenepo, Yezu aacemera mbaapanga kuti: “Imwe musadziwa kuti ale analongwa kuti mbatongi a mbumba, asaponderera mbumba. Pontho akulu-akulu, ana mphambvu za kuatonga. 
MRK.10.43	Pakati panu mbapikhonde kukhala tenepa. Mbwenye ule anafuna kukhala nkulu pakati panu, mbakhale n'dzakazi. 
MRK.10.44	Pontho ule anafuna kukhala wakutoma pakati panu, mbakhale n'dzakazi wa onsene. 
MRK.10.45	Thangwi Ine ene, Mwana wa Munthu, sidabwera kudza kaphatirwa basa tayu, mbwenye ndabwera kudza kaphatira basa anthu, na kupereka moyo wanga, toera kuombola anthu azinji.”
MRK.10.46	Yezu na anyakupfundza ace afika ku nzinda wa Djeriko. Pikhabuluka Iye mu nzinda na anyakupfundza ace, pabodzi na mwinji ukulu wa anthu, agumana n'khundu mwa njira, boli-boli m'bodzi dzina yace ndi Bhartimeu, mwana wa Timeu, mbakhaphemba pinthu. 
MRK.10.47	Boli-boli pikhabva iye mbapilongwa kuti ndi Yezu wa ku Nazareti akhapita na njira, atoma kukhuwa mbalonga kuti: “Yezu, Mwana wa Dhavidhi, ndibverenimbo ntsisi!” 
MRK.10.48	Anthu azinji akhansandika toera amatame. Mbwenye iye akhakhuwiratu kakamwe mbakhalonga kuti: “Yezu, Mwana wa Dhavidhi, ndibverenimbo ntsisi!” 
MRK.10.49	Yezu alimira mbalonga kuti: “Ncemereni.” Iwo aenda kancemera mbampanga kuti: “Wangisira! Lamuka! Yezu asakucemera.” 
MRK.10.50	Na tenepo, boli-boli ataya cakufinika cace, alamuka na mwansanga, mbaenda kuna Yezu. 
MRK.10.51	Penepo Yezu am'bvundza kuti: “Usafuna kuti ndikucitirenji?” Iye antawira kuti: “Mpfundzisi, ine ndisafuna ndione.” 
MRK.10.52	Yezu ampanga kuti: “Ndoko. Kukhulupira kwako kwakuwangisa.” Pa n'dzidzi ubodzi ene, iye atoma kuona pontho, mbatowera Yezu pa ulendo wace.
MRK.11.1	Mukhakhala iwo dhuzi na Djerusalema, mbafika pa cisa ca Bhetifaji na ca Bhetanya, dhuzi na phiri ya Mulivera, Yezu atuma anyakupfundza ace awiri, 
MRK.11.2	mbaapanga tenepa: “Ndokoni ku cisa ciri patsogolo panu. Pinacita imwe pite mwenemu, munagumana mwana buru wakumangirwa, kuti cipo adzati kupakirwa na munthu. Nsudzuleni mubwere na iye kuno. 
MRK.11.3	Mungabvundziwa na munthu kuti: ‘Thangwi yanji musacita penepi?’ Mpangeni kuti: Mbuya asanfuna, angamala anam'bweza pontho kuno.” 
MRK.11.4	Iwo aenda mbagumana mwana buru ali njira, wakumangirirwa pa nsuwo ukulu wa kunja. Mukhansudzula iwo, 
MRK.11.5	anthu anango akhakhala penepo aabvundza kuti: “Ninji pinacita imwe? Thangwi yanji musasudzula mwana buru?” 
MRK.11.6	Anyakupfundza atawira ninga mukhadapangwa iwo na Yezu. Tenepa iwo aasiya mbaenda. 
MRK.11.7	Iwo ankwata mwana buru mbaenda na iye kuna Yezu. Mbakwata nguwo zawo mbaziyikha pa nsana pa mwana buru, buluka penepo Yezu mbapakira. 
MRK.11.8	Anthu azinji akhathasika nguwo zawo n'njira, anango akhathasika masandzu akhagwanda iwo m'minda. 
MRK.11.9	Anthu akhaenda kutsogolo, na ale akhabwera n'nduli mwa Yezu, akhakhuwa tenepa: “Hosana!” “Mbasimbwe ule anadza na dzina ya Mbuya!” 
MRK.11.10	“Mbusimbwe umambo unafuna kudza wa baba wathu Dhavidhi!” “Hosana kudzulu kakamwe!” 
MRK.11.11	Yezu afika mu Djerusalema, mbapita mu Nyumba ya Mulungu. Alang'anisa pyonsene n'khundu mwace, mbabuluka kwenda ku cisa ca Bhetanya na anyakupfundza ace khumi na awiri, thangwi dzuwa ikhadoka.
MRK.11.12	Mangwana mwace, mukhabwerera iwo buluka ku Bhetanya, Yezu abva njala. 
MRK.11.13	Iye aona na kutali muti wa nsambvu mbudadzala na masamba. Aenda penepo kwenda kaona ngakhala wabala misapu. Mudafika iye dhuzi, agumana masamba basi, thangwi n'dzidzi wa misapu ukhadzati kwana. 
MRK.11.14	Na tenepo, Yezu aupikirira mbaupanga kuti: “Na lini nsapu wako unadza kadyiwa pontho na munthu.” Penepo anyakupfundza ace amubva pikhalonga Iye penepyo.
MRK.11.15	Mudafika iwo ku Djerusalema, Yezu apita mu Nyumba ya Mulungu, mbatoma kuthamangisa onsene akhagula na akhagulisa mwenemu. Abhoma meza za ale akhacinja kobiri, pontho na mipando ya ale akhagulisa nkhangaiwa. 
