MAT.1.1	Huā'mā' lista ū'tza' ixnapapna' Jesucristo lā' xla' ixtā'nat David lā' nā Abraham.
MRK.1.23	Lā' tuncan tanūlh huan nac lītokpān kalhatin chi'xcu' a'ntī ixka'lhī huan tlajana'. Lā' xla' ta'salh lā' hualh:
MRK.1.24	―Jesús xala' nac Nazaret, ¿a'chī' quilālaktanū'j quina'n? ¿Chā ta'nī'ta' para naquilāmālaksputūyāuj? Quit iclakapasāni'. Hui'x ixla' Dios lā' Santo hui'x.
MRK.1.25	Lā' Jesús lacaquilhnīlh huan tlajana' lā' huanilh:
MRK.1.25	―¡Caquilhca'csla'! ¡Camakxtekti huā'mā' chi'xcu'!
MRK.1.26	Lā' huan chi'xcu' xtacnānīlh lā' huan tlajana' palha' ta'salh lā' taxtuni'lh. 
MRK.1.27	Lā' ixlīhuākca'n lej talē'cnīlh lā' talākalhasqui'nīlh:
MRK.1.27	―Lā' ¿tuchū huā'mā' a'ntū quincāmāsu'ni'mā'ni' quina'n? Sāsti' huā'mā'. Huā'mā' chi'xcu' chihuīna'n con līmāpa'ksīn. Hasta huan tlajana'nī'n ta'a'kahuāna'ni' a'xni'ca' xla' cāmāpa'ksī.
MRK.1.28	Lā' tuncan a'kahualh chu xalhā nac estado de Galilea ixpālacata a'ntū tlahualh Jesús.
MRK.1.29	Lā' a'xni'ca' Jesús taxtulh de na ixlītokpānca'n israelitas, tuncan a'lh lā' tanūlh na ixchicca'n Simón lā' Andrés. Lā' tatā'a'lh Jacobo lā' Juan. 
MRK.1.30	Lā' ixpuhuiti' Simón ixchi'chīxni'mā' lā' ixmā'. Lā' tuncan māca'tzīnīca Jesús. 
MRK.1.31	Lā' xla' a'lh lā' macachi'palh lā' mā'kaquī'lh lā' tuncan tapānūni'lh ixtachi'chīxni'. Lā' tuncan huan puscāt cāmāhuī'lh huan ā'makapitzīn.
MRK.1.32	Lā' kōtanūtza' a'xni'ca' ixtā'cnūmā'tza' huan chi'chini', cālīmini'ca Jesús ixlīhuākca'n a'ntī ixta'ī'tza'ca'n lā' a'ntī ixtaka'lhī huan tlajana'nī'n. 
MRK.1.33	Lā' ixlīhuākca'n xalanī'n huan cā'lacchicni' tatakēstokli na ixtanquilhni' huan chic. 
MRK.1.34	Lā' cāmātzeyīlh lhūhua' a'ntī ixta'ī'tza'ca'n de chuxatūyā ta'jatat ixtaka'lhī chā'tunu'. Lā' cāmāxtuni'lh lhūhua' tlajana'nī'n. Lā' tū' cāmakxtekli natachihuīna'n huan tlajana'nī'n como tū' ixlacasqui'n que xlaca'n ixtahualh tichū xla'.
MRK.1.35	Lā' ixlīlakalī lej tzi'sāt Jesús tāquī'lh lā' taxtulh lā' a'lh nac lakatin lugar a'nlhā tintī' ixa'nan. Lā' a'ntza' kalhtō'ka'lh. 
MRK.1.36	Lā' Simón a'lh putza lā' ā'makapitzīn tatā'a'lh. 
MRK.1.37	Lā' a'xni'ca' takaksli Jesús, tahuanilh:
MRK.1.37	―Ixlīhuākca'n huan tachi'xcuhuī't lej taputzayāni'.
MRK.1.38	Lā' xla' cāhuanilh:
MRK.1.38	―Cāhui huan nac ā'makapitzīn cā'lacchicni' a'ntūn tahui'lāna' pajtzu lā' quit na'icmāsu'yu a'ntza' ixtachihuīn Dios. U'tza' iclīminī't.
MRK.1.39	Lā' chu xalhā nac estado de Galilea ixmāsu'yu na ixlītokpānca'n israelitas. Lā' cāmāxtulh huan tlajana'nī'n.
MRK.1.40	Lakchā'lh Jesús kalhatin chi'xcu' a'ntī ixka'lhī ta'jatat a'ntū māmasī quinquinītca'n lā' a'ntū huanican lepra. Xla' tatzokostani'lh Jesús lā' lej squi'ni'lh:
MRK.1.40	―Palh hui'x lacasqui'na', tzē naquimātzeyī'ya'.
MRK.1.41	Lā' Jesús lakalhu'malh lā' stu'ncli ixmacan lā' xa'malh lā' huanilh:
MRK.1.41	―Chuntza' quit iclacasqui'n. Catzeya'nti.
MRK.1.42	Lā' a'xni'ca' huanilh huā'mā', tapānūni'lh ixta'jatat huan ī'tza'ca' lā' tzeyalh. 
MRK.1.43	Lā' a'xni'ca' Jesús macā'lh, stu'tu'lu' huanilh:
MRK.1.44	―Catamaktaka'lhti lā' tū' tihua'ni'ya' nīn tintī'. Xmān nalakpina' huan ixcuraca'n israelitas lā' namāsu'ni'ya' mimacni' para nalaktzī'n palh tzeyanī'ta'tza'. Lā' na'a'ksa'juī'ni'na' chuntza' hua'chi māpa'ksīni'lh Moisés para a'ntī ixtatzeyanī'ttza' de huanmā' ta'jatat. Chuntza' nacālīmāca'tzīnī'ya' tachi'xcuhuī't que tzeyanī'ta'tza'.
MRK.1.45	Pero xla' tuncan taxtulh lā' tzuculh cāhuanitā'kchoko līlhūhua' lā' cāhuanilh a'ntū ixpātle'keni'nī't. Lā' chuntza' Jesús tūlatza' ixtanū huan nac cā'lacchicni' na ixlacapūnca'n tachi'xcuhuī't, como tū' ixlacasqui'n que lej ixtatakēstokli. Lā' chuntza' xmān tachokolh na ixquilhtūn cā'lacchicni'. Lā' tachi'xcuhuī't xalanī'n lakachu ixtalaka'n.
MRK.2.1	Lā' ixlīlātma'j Jesús taspi'tli lā' tanūpā huan nac Capernaum. Lā' tachi'xcuhuī't takaxmatli que ixuī' nac chic. 
MRK.2.2	Lā' tuncan līlhūhua' talaktakēstokli hasta tū'tza' ixtatanūkō' ixchakān huan chic. Lā' nā tatzumalh huan tanquilhni'. Lā' ixcāmāsu'ni' ixtachihuīn Dios. 
MRK.2.3	Lā' talakmilh ā'makapitzīn lā' na ixlaclhpu'nanca'n kalhatā'ti' chi'xcuhuīn ixtapūlīmimā'na laklaj. Lā' huan nac laklaj ixmā' kalhatin ī'tza'ca' a'ntī lhtuculu' ixuanī't. 
MRK.2.4	Lā' como tūlalh talakchā'lh Jesús ixpālacata huan lhūhua' tachi'xcuhuī't a'nlhā ixtzuma huan chic, tapūtō'ca'lh huan escalera lā' ta'a'kstīlhuakli huan chic ixlakstu'nc Jesús.
MRK.2.4	Lā' a'xni'ca' xa'nca tamālaquī'lh, tamāyujūlh huan ī'tza'ca' con ixlaklaj. 
MRK.2.5	Lā' a'xni'ca' Jesús laktzī'lh a'nchī ixtakalhlaka'ī' ixlīmāpa'ksīn, xla' huanilh huan ī'tza'ca':
MRK.2.5	―Quincaman, icmāsputūnu'ni'kō'ni'tza' ixlīhuāk mintalaclē'i'.
MRK.2.6	Lā' ixtakaxmatui'lāna' ā'makapitzīn xamākalhtō'kē'ni'nī'n huan ley lā' tapuhualh ixa'cstuca'n: 
MRK.2.7	“¿A'chī' chihuīna'n chuntza' huā'mā' chi'xcu'? Xla' tā'talacastucmā' Dios a'nchī chihuīna'lh. Nīn tintī' tzē naquincāmāsputūnu'ni'yāni' quintalaclē'i'ca'n, xmān Dios”.
MRK.2.8	Lā' tuncan Jesús ixa'cstu ca'tzīlh a'nchī xlaca'n ixtapuhuamā'na lā' cāhuanilh:
MRK.2.8	―Lā' ¿a'chī' puhua'nā'tit chuntza' na mi'a'clhcunucca'n? 
MRK.2.9	Icuanilhtza' huan ī'tza'ca': “Icmāsputūnu'ni'kō'ni'tza' ixlīhuāk mintalaclē'i'”, pero tuntū' tasu'yu a'yuj māsputūnu'ni'ca. Palh xa'icuanilh: “Catā'kaqui' lā' casmi'li' mixti'cat lā' catlā'hua'”, chuntza' ixtasu'yulh palh natzeyan o tū'. 
MRK.2.10	Quit huan Chi'xcu' xala' Tālhmā'n. Lā' chuhua'j na'iccāmāsu'ni'yāni' a'nchī icka'lhī līmāpa'ksīn nac huā'mā' cā'quilhtamacuj lā' tzē na'iccāmāsputūnu'ni' ixtalaclē'i'ca'n tachi'xcuhuī't.
MRK.2.10	Lā' tuncan Jesús huanilh huan lhtuculu' chi'xcu':
MRK.2.11	―Icuaniyāni', catā'kaqui' lā' casmi'li' mixti'cat lā' capit na minchic.
MRK.2.12	Lā' tuncan tā'kaqui'lh na ixlacapūnca'n ixlīhuākca'n a'ntī ixtahui'lāna' lā' sacli ī'xti'cat lā' taxtulh. Lā' ū'tza' talīlē'cnīlh ixlīhuākca'n lā' tamācā'tanīlh Dios lā' tahualh:
MRK.2.12	―Tū' maktin laktzī'nī'ta'uj a'ntū laktzī'uj chuhua'j.
MRK.2.13	Tuncan Jesús a'mpā na ixquilhtūn huan mar. Lā' ixlīhuākca'n tachi'xcuhuī't talaka'lh. Lā' ixcāmāsu'ni'. 
MRK.2.14	Lā' a'xni'ca' Jesús ixa'mā', tētaxtulh a'nlhā ixmātā'jīni'ncan impuestos lā' laktzī'lh Leví ixo'kxa' Alfeo. Lā' Jesús huanilh:
MRK.2.14	―Caqui'o'kska'lhi'.
MRK.2.14	Lā' xla' tāyalh lā' stālani'lh.
MRK.2.15	Lā' milh lakatin chi'chini' a'xni'ca' Jesús ixuā'yamā' na ixchic Leví. Lā' tachā'lh lhūhua' mātā'jīni'nī'n impuestos lā' ā'makapitzīn a'ntī ixcālakmaka'ncan. Lā' xlaca'n ixcātā'huā'yamā' Jesús lā' ī'sca'txtunu'nī'n como lhūhua' ixtastālani'. 
MRK.2.16	Lā' a'xni'ca' huan xamākalhtō'kē'ni'nī'n huan ley lā' huan fariseosnu' talaktzī'lh que ixcātā'huā'yan mātā'jīni'nī'n lā' ā'makapitzīn a'ntī ixcālakmaka'ncan, tahuanilh ī'sca'txtunu'nī'n Jesús:
MRK.2.16	―¿A'chī' cātā'huā'yan Jesús mātā'jīni'nī'n lā' a'ntīn tū' tzeyā chi'xcuhuī'n?
MRK.2.17	Lā' a'xni'ca' Jesús kaxmatli huā'mā' tachihuīn, cāhuanilh:
MRK.2.17	―Huan a'ntīn tū' ta'ī'tza'ca'n, xlaca'n tū' tamaclacasqui'n huan doctor. Xmān huan a'ntīn ta'ī'tza'ca'n tamaclacasqui'n. Quit tū' icmilh iccāputza a'ntīn tapuhuan que xlaca'n xalacuan. Icmilh iccāputza xlaca'n a'ntīn taka'lhī ixtalaclē'i'ca'n.
MRK.2.18	Lā' ī'sca'txtunu'nī'n Juan lā' huan fariseosnu' a'katunu' ixtalīhui'lī tū' natahuā'yan. Lā' makapitzīn chi'xcuhuīn talakmilh Jesús lā' tahuanilh:
MRK.2.18	―I'sca'txtunu'nī'n Juan lā' nā ī'sca'txtunu'nī'n huan fariseosnu' a'katunu' talīhui'lī tū' natahuā'yan. Lā' misca'txtunu'nī'n, ¿a'chī' pō'ktu tahuā'yan?
MRK.2.19	Lā' Jesús cāhuanilh:
MRK.2.19	―Xlaca'n a'ntī cākantāyacanī't a'nlhā tapūchahuamā'ca, ¿chā natalīhui'lī tū' natahua' līhua't? Līhuan cātā'lahuī'cus huan squi'nīni', natahuā'yan ixamigos. 
MRK.2.20	Pero namin lakatin chi'chini' a'xni'ca' nalē'ncan huan squi'nīni'. Lā' a'xni'ca' namin huanmā' chi'chini', tū' catitahuā'yalh ixamigos porque natalakaputza.
MRK.2.20	Lā' Jesús cāhuanipā:
MRK.2.21	―Huā'mā' a'ntū quit icmāsu'yu, ū'tza' xasāsti'. Lā' palh catīhuā natlōkentaxtū lā' nā tlōkentaxtūcu'tun ixtalanānca'n mixū'yāpapnaca'n, xla' nala hua'chi kalhatin a'ntī nachu'cu xasāsti' lu'xu' para nalīlactza'pa' huan xamasni'. Huan xasāsti' lu'xu' natatimī lā' nastanca xamasni' lā' lhān taxtī'tli más ka'tla' nala. 
MRK.2.22	Lā' huan xaxcān uva a'ntū tūna'j xcu'tan, nīn tintī' catimojōlh nac xakōlūhua' ixko'xka' borrego. Palh chuntza' ixtlahuaca, ixpankli huan ko'xka' a'xni'ca' naxcu'tan huan xaxcān uva. Namojōcan nac xasāsti' ko'xka'. Lā' a'xni'ca' naxcu'tan, tū' catipankli huan ko'xka'. Chuntza' tū' pāxcat catilalh huan ko'xka' lā' tū' catitaxtuni'lh huan xaxcān uva ―hualh Jesús.
MRK.2.23	Lā' lakatin chi'chini' a'ntū pūjaxcan, Jesús ixcātā'tlā'huantēlha ī'sca'txtunu'nī'n nac lakatin cā'tacuxtu. Lā' xlaca'n tatzuculh ta'ī' macsti'na'j huan trigo. 
MRK.2.24	Lā' tuncan tahuanilh Jesús huan fariseosnu':
MRK.2.24	―Cala'ktzi'. Misca'txtunu'nī'n tascujmā'na lā' chuhua'j huan chi'chini' a'ntū pūjaxcan. Chuntza' tū' ta'a'kahuāna'ni' huan ixley Moisés ―tahuanilh.
MRK.2.25	Lā' Jesús cākalhtīlh:
MRK.2.25	―¿Chā tū' lakapūtlekenī'ta'ntit a'ntūn tlahualh David maktin huā? Xla' lā' a'ntī ixtatā'a'n ixtatzi'ncsa lā' cāsputni'lh līhua't. 
MRK.2.26	Lā' David tanūlh na ixchic Dios. Lā' Abiatar xapuxcu' sacerdote ixuanī't. Lā' David hua'lh huan pāntzi a'ntū ixmālacnūni'canī't Dios. Lā' tū' līmakuan ixua'lh huā'mā' pāntzi. Xmān huan curasna' taka'lhī talacasqui' para natahua'. Lā' nā David cāmaxquī'lh huan chi'xcuhuī'n a'ntī ixta'o'kska'lhī.
MRK.2.27	Nā Jesús cāhuanilh:
MRK.2.27	―Dios tlahualh huan chi'chini' a'ntū pūjaxcan por ixpālacataca'n tachi'xcuhuī't lā' tū' tlahualh tachi'xcuhuī't para chi'chini' a'ntū pūjaxcan. 
MRK.2.28	Lā' chuntza' quit huan Chi'xcu' xala' Tālhmā'n lā' nā tzē na'icmāpa'ksī a'ntū natlahuacan huan chi'chini' a'ntū pūjaxcan.
MRK.3.1	Lā' Jesús tanūpā na ixlītokpānca'n israelitas. Lā' ixuī' a'ntza' kalhatin chi'xcu' a'ntī ixmacascōhuanī't. 
MRK.3.2	Lā' huan tachi'xcuhuī't ixtamaktaka'lhmā'na Jesús a ver palh ixmātzeyīni'lh huanmā' chi'chini' a'ntū pūjaxcan como ixtalē'ksa'nīni'ncu'tun. 
MRK.3.3	Lā' Jesús huanilh huan chi'xcu' a'ntī ixmacascōhuanī't:
MRK.3.3	―Cata't lā' catāya' na quilaclhpu'nanca'n.
MRK.3.4	Lā' cāhuanilh huan tachi'xcuhuī't:
MRK.3.4	―¿Tuchū más minī'ni' tlahuacan huan chi'chini' a'ntū pūjaxcan? ¿Chā na'ictlahua a'ntū tzey o a'ntūn tū' tzey? ¿Chā līmakuan na'icmāpūtaxtū huan chi'xcu' o na'icmaknī?
MRK.3.4	Pero xlaca'n ca'cs ixtahui'lāna'. 
MRK.3.5	Lā' Jesús cālaktzī'lh ixlīhuākca'n a'ntī ixtalītamacxti'li'nī't lā' ixa'kchā'yā. Lā' Jesús ixlīlakaputzayā como tū' ixtalakalhu'man huan ī'tza'ca' lā' huanilh huan chi'xcu':
MRK.3.5	―Castu'ncti mimacan.
MRK.3.5	Lā' a'xni'ca' stu'ncli ixmacan, tzeytza' ixuanī't. 
MRK.3.6	Lā' tuncan huan fariseosnu' tataxtulh lā' tatā'lacchihuīna'lh ixchi'xcuhuī'n Herodes a'nchī natalīmaknī Jesús.
MRK.3.7	Pero Jesús a'lh na ixquilhtūn huan lago lā' ī'sca'txtunu'nī'n tatā'a'lh. Lā' lhūhua' tachi'xcuhuī't xalanī'n nac estado de Galilea tastālani'lh Jesús. Lā' a'xni'ca' takaxmatli huāk a'ntū tlahualh Jesús, talakmilh nā xlaca'n xalanī'n nac estado de Judea. 
MRK.3.8	Lā' xalanī'n nac Jerusalén lā' xalanī'n nac Idumea talakmilh Jesús. Lā' xlaca'n xalanī'n tintacut nac pūxka Jordán lā' xalanī'n pajtzu huan cā'lacchicni' Tiro lā' Sidón nā talakmilh. Lhūhuā' tachi'xcuhuī't talakmilh Jesús a'xni'ca' takaxmatli a'ntūn tlahualh. 
MRK.3.9	Lā' cāhuanilh ī'sca'txtunu'nī'n que cāxni'j cahui'līlh lakatin barco a'nlhā natojō lā' chuntza' huan lhūhua' tachi'xcuhuī't tūlalh catitapi'ta'lh. 
MRK.3.10	Lej lhūhua' ixcāmātzeyīnī't lā' huāk a'ntī ixta'ī'tza'ca'n ixtalaktapajtzū lā' ixtalāpi'ta'mā'na para nataxa'ma Jesús. 
MRK.3.11	Lā' a'xni'ca' xlaca'n a'ntī ixtaka'lhī huan tlajana' talaktzī'lh Jesús, xlaca'n tatatzokostani'lh lā' palha' tahualh:
MRK.3.11	―Hui'x ixO'kxa' Dios.
MRK.3.12	Pero xla' lej cāmāpa'ksīlh lā' cāhuanilh que tū' ixtahualh tichū xla'.
MRK.3.13	Lā' Jesús a'lh nac o'kspū'n lā' cāta'sani'lh a'ntī cālacasqui'lh lā' talakmilh xla'. 
MRK.3.14	Lā' cālacsacli kalhacāujtu' a'ntī natatā'latā'kchoko lā' nacāmaca'n natamāsu'yu ixtachihuīn Dios. 
MRK.3.15	Lā' nā xlaca'n cāmaxquī'ca līmāpa'ksīn para natamātzeyī chuxatūyā ta'jatat lā' natamāxtu huan tlajana'. 
MRK.3.16	Huan tamā'na kalhacāujtu': Simón a'ntí hui'līni'ca ixtacuīni' Pedro, 
MRK.3.17	lā' nā Jacobo lā' Juan ixtā'tin a'ntī ixo'kxa'n Zebedeo ixtahuanī't lā' xlaca'n cāhui'līni'ca ixtacuīni' Boanerges a'ntū huanicu'tun hua'chi jilini'. 
MRK.3.18	Lā' nā Andrés lā' Felipe lā' Bartolomé lā' Mateo lā' Tomás lā' Jacobo ixo'kxa' Alfeo lā' Tadeo lā' Simón. Huā'mā' Simón ixtapa'ksī con huan partido cananistasna'. 
MRK.3.19	Lā' Judas Iscariote, xla' a'ntī ā'calīstān macamāstā'lh Jesús.
MRK.3.19	Jesús a'lh na ixchic. 
MRK.3.20	Lā' tatakēstokpā lej lhūhua' tachi'xcuhuī't hasta tūla ixtahuā'yan Jesús lā' ī'sca'txtunu'nī'n. 
MRK.3.21	Lā' a'xni'ca' ixtalakapasnī'n taca'tzīlh huā'mā', xlaca'n talakmilh para natachi'pa como ixtahuan que xla' hua'chilh chuyani' līlalh.
MRK.3.22	Lā' xamākalhtō'kē'ni'nī'n huan ley a'ntī ixtaminī'ta'ncha' de nac Jerusalén ixtahuan:
MRK.3.22	―Huan ko'ti'ti', Beelzebú, a'ntī xapuxcu' huan tlajana'nī'n, xla' tanūni'nī't huan Jesús lā' por ixlīmāpa'ksīn ko'ti'ti' tzē cāmāxtu huan tlajana'nī'n.
MRK.3.23	Lā' Jesús cāta'sani'lh lā' cāhuanilh huan a'ntū lītalacastuca:
MRK.3.23	―¿Chichū nalīmāxtucan Satanás palh māni' ū'tza' tanūma'? 
MRK.3.24	Lā' palh huan pūchihuīna'nī'n natatapitzi lā' natalātucsa, tū' catitatāyani'lh. 
MRK.3.25	Lā' palh lakatin familia natatapitzi lā' natalātucsa, tū' catitatāyani'lh. 
MRK.3.26	Lā' palh Satanás natā'kaquī' contra māni' xla', chuntza' tapitzi lā' tūlalh catitāyani'lh; ka'lhī nasputa.
MRK.3.27	’Nīn tintī' tūlalh catitanūlh para naka'lhāna'n na ixchic kalhatin a'ntī lej tli'hui'qui palh tū' pū'la nachī'can huan ixtēcu' chic. A'xni'ca' chī'hui'līcanī'ttza', a'xni'ca' tzētza' namakka'lhancan.
MRK.3.28	’Lā' stu'ncua' a'ntū iccāhuaniyāni': Tzē nacāmāsputūnu'ni'can ixlīhuāk ixtalaclē'i'ca'n tachi'xcuhuī't lā' chuxatū tū' tzey a'ntūn tahuan. 
MRK.3.29	Pero catīhuā a'ntī nahuan que tū' tzey a'ntūn tlahua huan Espíritu Santo, xla' tūla catimāsputūnu'ni'ca. Xla' naka'lhī ixtalaclē'i' para pō'ktu.
MRK.3.30	Jesús hualh huā'mā' como ixtahuan: “Xla' ka'lhī huan tlajana'”.
MRK.3.31	Lā' a'calīstān tachā'lh ixtzī't lā' ixtā'timīn Jesús. Tatāyalh kēpūn lā' māta'satīnīni'nca xla'. 
MRK.3.32	Lā' tachi'xcuhuī't ixtalītaxti'li'nī't lā' tahuanilh:
MRK.3.32	―Mintzī't lā' mintā'timīn tayāna' kēpūn lā' tatā'chihuīna'ncu'tunāni'.
MRK.3.33	Lā' xla' cākalhtīlh:
MRK.3.33	―¿Chā ca'tzīyā'tit tichū iccālaktzī'n hua'chilh quintzī't lā' quintā'timīn?
MRK.3.34	Lā' ixcālaktzī'nkō' ixlīhuākca'n a'ntī ixtahui'lāna' lā' ixtalītaxti'li'nī't lā' cāhuanilh:
MRK.3.34	―Huā' tamā'na, ū'tunu'n quintzī't lā' quintā'timīn. 
MRK.3.35	Lā' ixlīhuākca'n a'ntī natatlahua a'ntū lacasqui'n Dios, ū'tunu'n quintzī't lā' quintā'timīn.
MRK.4.1	Lā' tuncan Jesús tzucupā māsu'yu na ixquilhtūn huan mar. Lā' talaktakēstokli lhūhua' tachi'xcuhuī't lā' ū'tza' lītojōlh nac lakatin barco. Lā' tahui'lalh huan nac barco a'ntū ixuī' na ixkalhni' xcān. Lā' ixlīhuākca'n huan tachi'xcuhuī't tatachokolh na ixquilhtūn huan xcān. 
MRK.4.2	Lā' lhūhua' catūhuā ixcālīmāsca'tī huan a'ntū lītalacastuca. Lā' a'xni'ca' ixcāmāsca'tīmā', cāhuanilh:
MRK.4.3	―Cakaxpa'ttit. Ixuī' kalhatin cha'nāna' lā' taxtulh para nacha'n huan ixti'ni'. 
MRK.4.4	Lā' a'xni'ca' ī'xua'ya'maka'mā' huan ti'ni', makapitzīn tayujli nac tej. Lā' tamilh huan spūnnu' lā' tasacua'lh. 
MRK.4.5	Lā' ā'makapitzīn tayujli nac cā'chihuixni' a'nlhā tū' pūlhmā'n huan ti'ya't. Lā' palaj pu'nli huā'mā' ti'ni' como tū' pūlhmā'n huan ti'ya't. 
MRK.4.6	Lā' a'xni'ca' chi'chini'lh, scōhualh xachi'tin como tūlalh tā'cnūlh ixtankāxē'k lā' tīlh. 
MRK.4.7	Lā' ā'makapitzīn ti'ni' huampala tayujli nac cā'lhtucū'nnu' lā' huan lhtucu'n tastacli lā' tamā'ktzī'lh lā' nīn tuntū' tō'ca'lh. 
MRK.4.8	Lā' ā'makapitzīn ti'ni' tayujli a'nlhā tzey huan ti'ya't lā' pu'nli lā' stacli lā' lana'lh. Lā' makapitzīn ti'ni' tamāstā'lh pu'xamacāuj lā' ā'makapitzīn tamāstā'lh tu'tumpu'xam lā' ā'makapitzīn tamāstā'lh cien.
MRK.4.9	Lā' Jesús cāhuanilh:
MRK.4.9	―Palh kaxpa'tnī'ta'ntit, cuenta catlahua'tit.
MRK.4.10	Lā' a'xni'ca' ixta'a'nī'ttza' huan lhūhua' tachi'xcuhuī't, xmān tatachokolh Jesús lā' huan kalhacāujtu' lā' ā'makapitzīn huampala. Lā' huan kalhacāujtu' takalhasqui'nīlh ixpālacata huan a'ntū lītalacastuca. 
MRK.4.11	Lā' Jesús cāhuanilh:
MRK.4.11	―Dios cāmāsca'tīnī'ta'ni' hui'xina'n a'ntūn tatzē'knī't ixpālacata a'nchī nala ixlīmāpa'ksīn Dios. A'makapitzīn iccālīchihuīna'n xmān a'nchī lītalacastuca. 
MRK.4.12	Lā' chuntza' natalaktzī'n pero tū' natamāchekxī a'ntū huanicu'tun a'ntūn talaktzī'n. Lā' nā natakaxmata pero tū' catitamāchekxīlh a'ntūn takaxmata. Lā' chuntza' tū' catitaxtāpalīlh huan ixtapāstacna'ca'n lā' tū' caticāmāsputūnu'ni'ca ixtalaclē'i'ca'n.
MRK.4.13	Lā' Jesús cāhuanilh:
MRK.4.13	―Palh tū' māchekxī'yā'tit huā'mā' a'ntū lītalacastuca, tū' caticāmāchekxī'tit ixlīhuāk ā'makapitzīn. 
MRK.4.14	Huan cha'nāna' cha'nli ixtachihuīn Dios. 
MRK.4.15	Lā' a'nlhā yujli huan ti'ni' nac tej, ū'tza' hua'chi tachi'xcuhuī't a'ntīn takaxmatli lā' palaj milh huan ko'ti'ti' lā' cāmāpātza'nkānīlh a'ntū ixtasca'tnī't.
MRK.4.16	’Lā' nā chuntza' a'nlhā yujli huan ti'ni' nac cā'chihuixni', ū'tza' hua'chi a'ntīn takaxmata ixtachihuīn Dios lā' lej talakatī. 
MRK.4.17	Pero hua'chi huan ti'ni' a'ntūn tū' ixka'lhī pūlhmā'n ixtankaxē'kca'n, tū' tāyani'lh, nā xlaca'n tū' makān tatāyani'. Tū' xa'nca tamāchekxī huan tachihuīn, lā' a'xni'ca' tapātī catūhuā o a'xni'ca' cāmacaputzacan por ixpālacata a'ntūn takalhlaka'ī'lh, tū'tza' talakatī lā' tamakxtekcu'tun.
MRK.4.18	’Lā' a'nlhā yujli huan ti'ni' nac cā'lhtucū'n, ū'tza' hua'chi xlaca'n a'ntīn takaxmata huan tachihuīn lā' tamāchekxī. 
MRK.4.19	Pero lej tapāstaca a'nchī natalītlaja ixlīhua'tca'n lā' a'nchī lacricosnu' natalīla. Lā' nā lej talacasqui'n lhūhua' catūhuā. Ixlīhuāk huā'mā' cāmāmakchuyī lā' tū' cāmakxteka natapāstaca a'ntūn takaxmatli. Tū'tza' tatasu'yu palh takalhlaka'ī'. Lā' chuntza' huan tamā'na hua'chi huan lhtucū'n a'ntūn tamā'ktzī'lh huan ti'ni'.
MRK.4.20	’Lā' a'nlhā yujli huan ti'ni' nac tzey ti'ya't, ū'tza' hua'chi xlaca'n a'ntīn takaxmata huan tachihuīn lā' tamāchekxī lā' xa'nca tatasu'yu palh takalhlaka'ī'. Ixlīhuākca'n taka'lhī a'ntū natalīmāpāxuhuī Dios lā' makapitzīn lej taca'tzī tamāpāxuhuī hua'chi huan ti'ni' a'ntū māstā'lh cien ixtō'ca't.
MRK.4.21	Lā' Jesús cāhuanilh:
MRK.4.21	―Nīn tintī' līmin huan pūmaksko lā' natampīmānū huan chā'xta o na ixtampīn tama'. Hui'līcan nac lakatin mesa o nac lakatin cajón. 
MRK.4.22	Huāk a'ntūn tatzē'knī't chuhua'j, huāk namālacsu'yukō'can. Lā' a'ntū lakatzē'kcus, ū'tza' naca'tzīkō'can. 
MRK.4.23	Palh kaxpa'tnī'ta'ntit, cuenta catlahua'tit.
MRK.4.24	Lā' chuntza' cāhuanilh Jesús:
MRK.4.24	―Cuenta catlahua'tit a'ntū kaxpa'tā'tit. Palh nalīhui'lī'yā'tit nasca'tā'tit, Dios nacāmaktāyayāni' lā' ā'chulā' nasca'tā'tit. 
MRK.4.25	Huan a'ntī cuenta tlahua ixtachihuīn Dios, más namāchekxī. Lā' huan a'ntīn tū' cuenta tlahua, napātza'nkākō' a'ntū kaxmatnī't.
MRK.4.26	Lā' Jesús hualh:
MRK.4.26	―A'nchī Dios cāmāpa'ksīkō' tachi'xcuhuī't, ū'tza' hua'chi a'xni'ca' kalhatin chi'xcu' nacha'n ti'ni' nac ti'ya't. 
MRK.4.27	Xla' nalhtata de tzī'sa lā' natā'kaquī' cā'tzi'sāt. Lā' huan ti'ni' napu'n lā' nastaca lā' xla' tū' ca'tzī chī līpu'nli lā' chī līstacli. 
MRK.4.28	Huan ti'ya't ixa'cstu māpu'nū; pū'la tasu'yu huan xachi'tin lā' tuncan xaxihuī't lā' ā'calīstān huan tza'ktza'. 
MRK.4.29	A'xni'ca' scōhualhtza' lā' cuxi'tza' lanī't, tuncan ī'can como chilhtza' huan chi'chini' a'ntū napū'ī'can.
MRK.4.30	Lā' Jesús hualh:
MRK.4.30	―¿Tuchū nahuanāuj para namāsu'yuyāuj a'nchī natalīlhūhua'n a'ntī natakalhlaka'ī' Dios? ¿Chichū nacālīmālacastucāuj a'nchī natalhūhua'n? 
MRK.4.31	Natalhūhua'n hua'chi lakatin ti'ni' a'ntū huanican mostaza. Huā'mā' ti'ni' līhua'ca' xamactzina'j que ixlīhuākca'n ā'makapitzīn ti'ni' a'ntū cha'ncan. 
