LUK.1.1	Гьал ппараттар алучӀуная ахъакьас че мисаъ хьуна, ккеттушу курарихъас. 
LUK.6.20	Ӏисайи, хъуланди Учин ученикарихъ, пуная:
LUK.6.20	– Бахттлубур э гӀеджизар!
LUK.6.20	Аллагьдин Паччагьвел чвефе.
LUK.6.21	Бахттлубур э агьал гашила аяттар!
LUK.6.21	Аллагьди чун тухъ акьасе.
LUK.6.21	Бахттлубур э чун, агьал Ӏешаяттар! Чун элхъенди ахьасе.
LUK.6.22	Бахттлубур э чун, инсанарис чвакес хъел адина, чун уджуз акьуна адикая гуна, чве ттур беябур аркьая гуна Инсандин КӀиркӀахъас.
LUK.6.23	Шад ухь ге ягъа, бахил ухь!
LUK.6.23	Заварил чвас зурба пай ая.
LUK.6.23	Чун дакканттарин дадара, гьелиштти ахьуная пайгъамбарарихъайра.
LUK.6.24	Язукъ э чве девлетлубур!
LUK.6.24	Чвас кӀукӀ алди хьуная иджвелар.
LUK.6.25	Язукъ э чве, агьал фун ацӀунаттар!
LUK.6.25	Чун гашила ахьасе.
LUK.6.25	Язукъ э чве, агьал элхъендеттар!
LUK.6.25	Чун, ав алихьуна, Ӏешай ахьасе.
LUK.6.26	Язукъ э чве, кӀилди инсанари чве хӀа гаф аркьагуна!
LUK.6.26	Дузди гьелиштти хӀа гаф аркьай хьуная чӀире пайгъамбарарина гьеле инсанарин дадари.
LUK.6.27	– Чвас, Заал юркӀв алийинаттарис, Зун агъая: Ккан ухь чве душманар, иджвел акье чун дакканттарис, 
LUK.6.28	иджвелин гаф уп, чвас рукъалар аркьаттарис, дуьгӀе акье чун уджуз аркьаттарис. 
LUK.6.29	Ве суратин са багулигӀас чӀепӀ гӀадивучин, джуьре багвра кичикӀ. Ве варттал але кан фаттивуттис, берхӀемра фачи. 
LUK.6.30	Вафас тӀалаб аркьаттарис, джаллабурис фачи, веф гъушуттис, хаб фаша магъа. 
LUK.6.31	Чвас джуьре инсанари чвас фиштти акьуна кканчин, гьегиштти чун гьегебурисра акье. 
LUK.6.32	Нагагь чвас Ӏаре те чун кканеттар идехаб кканеф, фи баркаллагь э чвас авеф? Гунагьар кеяттарисра те чаб кканеттар э кканеф. 
LUK.6.33	Нагагь чун иджвел аркьаф Ӏаре, те чвас иджвел аркьаттарис идехаб, фи баркаллагь э чвас авеф? Гунагьар кеяттарира гьегиштти аркьа. 
LUK.6.34	Нагагь чун бурджуни ирцӀанф Ӏаре те хаб ирцӀанттарис ичин, фи баркаллагь э чвас авеф? Гунагьар кеяттарира бурджуни ирцӀанде гунагьар кеяттарис, гебури хаб есе пуна. 
LUK.6.35	Чун гиштти маркьа! Ккан ухь чве душманар, иджвелар акье гебурис, бурджуни фачи, хаб зе есе пуна дагъузуна. Гьетегуна чвас зурба пай хьасе. Чун Варттал Алеттин шиникквар хьасе, Ли Учира баркаллагь адаттарисра кехӀей, Ӏаттарисра кехӀей иджвел аркьахӀела. 
LUK.6.36	Чве Заварин Дадан суман идже юркӀв, чвера ухь.
LUK.6.37	– Сайинна диван маркьа, чве диванна акьасттава. Сайикра тахсир кимикӀа, чвакра тахсир кикӀасттава. Гъил гъуршанди акье, чвааласра гъил гъушанасе. 
LUK.6.38	ИрцӀанди акье, чвасра есе. Чвас Ӏуьрджанди, кӀукӀ алди есе, багварихъас алархъай. Чун фишттин кьуларилди алцанчин, гьегишттинттарилди чвасра алцанасе.
LUK.6.39	Ӏисайи ахъакьуная гебурис мишттин мисала:
LUK.6.39	– Хьасев сукъурафас сукъур гъас? Ӏудара къуйди архьастту гебур? 
LUK.6.40	Ученикдифас учин мегӀелимдилас хӀаф хьас верефттава, хуруна ккиркӀугуна дала, гифас агърукьасттава учин мегӀелим суманф хьас.
LUK.6.41	Фас вас сасрайин улиъ ая са бицӀи чӀирхӀ аргвафе, веттиъ ая цӀагъун даргвай? 
LUK.6.42	Фиштти пас ве вафас сасрайис: «Нан зун ве улиъ ая чӀирхӀ аттивас», вас ве улиъ цӀагъун даргвахаб? Агь мезрухӀ! Сагелай ве улиас цӀагъун аттив – гьетегуна вас агвасе, фиштти аттивайчин чӀирхӀ сасрайин улиас.
LUK.6.43	Идже кӀуранил чӀирхӀе емишар алгъавейдава, утӀуф ке кӀуранил батӀар емишар алгъавейдава. 
LUK.6.44	Гьер кӀур ягӀарве учин емишарилди. МеркӀварилас инджирар завал аркьайдава, зазарилас тӀибитӀарин лукар алдартӀайдава. 
LUK.6.45	Идже инсандин юркӀураас иджвел э аттвереф, Ӏа инсандин юркӀураас Ӏайвел э аттвереф. Фитти юркӀв ацӀуна аячин, гьеге э инсандин мезурал алвеф.
LUK.6.46	Фас чун Зас агъафе: «Е хӀаф, е хӀаф», Зун агъаттар даркьагуна. 
LUK.6.47	Те Заалди вереф, Зе гафарил юркӀв алихьуна, Зун пеф аркьаф гъинахъай фачикӀас хьасичин ягӀав? 
LUK.6.48	Те фачикӀас хьасе уьркӀе хандаг рукӀуна, дагьар ккея мукьуйил хал алихьу инсандихъай. ХӀа нецӀв адина хулалди алгъархьугуна, хал тӀушуна адава, мехӀкамди алихьунаф идехӀела.
LUK.6.49	Те Зе гафарил юркӀв алихьуна, амма Зун петтар даркьаф фачикӀас хьасе хандаг дарукӀуна, джилил хал алихьу инсандихъай. Хулалди нецӀв алгъархьугуна, хал садпуна арчӀуная. Хулакес са арчӀу гъванарин пус э илгунаф.
LUK.7.1	Халкьдис джалла пас ккандеттар пехаб, Ӏиса адиная Кафернагьумдиди. 
LUK.7.2	Римдин са эскерарин хӀекиман ппара ккане лукӀ Ӏайи иттай аккихьуна ахьуная. 
LUK.7.3	Ӏисайихъас унихьуна, эскерарин хӀекима гьикуная Ӏисайилди джугьутӀарин хӀа къуджабур тӀалаб акьас Тикес, шаб пуна учин лукӀ сагъ акьас. 
LUK.7.4	ХӀа къуджабури адина Ӏисайилди ппара Ӏайи миннат акьуна пуная:
LUK.7.4	– Те лайикь иде инсан э, Вун кумак акьас. 
LUK.7.5	Тис хье халкь кканве, дуьгӀебур хура халла кехӀей алихьуная ти хьес.
LUK.7.6	Ӏиса ушуная къуджабурихъай. Ӏиса гьучарукьагуна, эскерарин хӀекиман хулагьди, хӀекима гьикуная Гилди учин дусттар, пас:
LUK.7.6	– Вун бизар мева, зе хӀаф. Вун зе хулади ачадес, зун лайикьлу инсан дава. 
LUK.7.7	Зун Ваалди душуф гьемихъас э, зун лайикьлу инсан давахӀела. Вун Ӏаре са гаф уп – зе лукӀ сагъ хьасе. 
LUK.7.8	Зунна хӀуькуматтис мутӀеӀ иде инсан э, амма зе гъиликкра ккея эскерар. Сайис агъа зун: «Ях» – ге ве; сасрайис: «Мич шаб» – ге гьучаве; лукӀус агъа: «Акье гьеме гьеме» – ги аркьа.
LUK.7.9	Ге гафар унихьугуна, Ӏиса муьхӀтал хьуная, алдаркуна учин кьабахъай вея инсанарилди, Ги пуная:
LUK.7.9	– Зун чвас агъая миштти хъугъуна инсан Зас Ӏизраилдира кехӀей гьучархьуна адава.
LUK.7.10	Эскерарин хӀекима гьикунаттар хулади адегуна, гебурис агуная лукӀ сагъ хьуна.
LUK.7.11	Са чӀукь вахттунилас Ӏиса ушуная Наин агъа шагьурдиди. Гихъай ахьуная Учин ученикара, ппара халкьра. 
LUK.7.12	Ӏиса шагьурдин къапубуригьди гьучарукьугуна, шагьурдиас аттгъай хьуная ашкӀин бабахъ хъая са кӀиркӀан майит. Шагьурдиас бабахъай вей хьуная ппара инсанара. 
LUK.7.13	Ге баб агугуна, баб Ӏегвал хьуна Ӏисайи пуная:
LUK.7.13	– МеӀеша.
LUK.7.14	Гьучушуна, гъил кирхӀуная Ӏисайи суьрик. Суьри гъая инсанар гъузуная. Ӏисайи пуная:
LUK.7.14	– Е джигьил идеми, Зун вас агъая, гъайш!
LUK.7.15	КӀинаф гъайшина гъургъуная. Ӏисайи хаб йиная бабас кӀиркӀ. 
LUK.7.16	Джаллабуриъ гучӀ архьуная, гебури шукур аркьай Аллагьдис агъай хьуная:
LUK.7.16	– ЧагӀди зурба пайгъамбар адиная! Аллагь Учин халкьдилди адиная!
LUK.7.17	Ӏисайин ад архьуная кӀилди Ягьудея дерейиъра кӀилди Ягьудея дерейин багулив фая мукьвариъра.
LUK.7.18	ЯхӀъяйис учин ученикари ахъакьуная кӀилди ге курарихъас. 
LUK.7.19	ЯхӀъяйи унахъуна учин Ӏу ученикдис, гьикуная гебур Ӏисайилди хабар гъушанас: «Вун эв – Те, чаалди адина ккандеф, хъара чин сасрайихъ гъузуна ккандеяв?»
LUK.7.20	Ученикари адина Ӏисайилди пуная:
LUK.7.20	– ХьеттигӀ гӀучӀуна гӀайчӀва гӀедат аркьа ЯхӀъяйи гьикунаттар э чин Ваалди хабар гъушанас: «Вун эв – Те, чаалди адина ккандеф, хъара чин сасрайихъ гъузуна ккандеяв?»
LUK.7.21	Те вахттуни Ӏисайи сагъ аркьай хьуная итталар кея инсанар, гӀанаъ шейтӀанар аяттар, сукъурар. 
LUK.7.22	Ӏисайи джуваб йиная гьикунаттарис:
LUK.7.22	– Ушуна ахъакь ЯхӀъяйис джалла чвас агуттара, чвас унихьуттара:
LUK.7.22	сукъурарис – Ӏекв аргвая,
LUK.7.22	хъурунаттар – вея,
LUK.7.22	кабкар кеяттар – мертт вея,
LUK.7.22	карабурис – унихьая,
LUK.7.22	кӀинаттарик – джан керхьая,
LUK.7.22	гӀеджизарис – иджвелин хабар аркьая.
LUK.7.23	Бахттлу инсан э те, Захъ хъугъуф.
LUK.7.24	ЯхӀъяйи гьикунаттар ушугуна, Ӏисайи пуная халкьдис ЯхӀъяйихъас:
LUK.7.24	– Фи агвас ушунаттари чун къумариди? Кулаки къамиш фиштти турттанчин агвас эв? 
LUK.7.25	Фи агвас ушунаттари чун? Багьа кунар але инсан агвас пуна эв? Багьа кунар але инсанар, ухьтанди ешемиш веттар, паччагьарин къалабуриъ э аяф.
LUK.7.26	Фуш агвасе пуна юркӀураъ уйи чве? Пайгъамбар эв? Э, чвас пайгъамбар э агуф, Зун агъая чвас, те пайгъамбардиласра хӀаф э. 
LUK.7.27	ЯхӀъяйихъас Гирами Китабиъ ликӀиная: «Магьа Зун гьикая Ве удигьай Зе хабар фаяф, Ве удигь, Вас рекъ хӀезур акьас». 
LUK.7.28	Зун агъая чвас, джилил але инсанаригӀ, ЯхӀъяйилас хӀа пайгъамбар гӀадава. Амма Аллагьдин Паччагьвелдиъ джаллабурилас бицӀифра кехӀей хӀаф э, те далара.
LUK.7.29	КӀилди халкьди ЯхӀъяйил юркӀв алихьуная. Налукар завал аркьаттарира кехӀей, Аллагь хӀекь акьуная, адина ЯхӀъяйилди хьеттигӀ гӀучӀуна гӀайчӀва гӀедат акьас. 
LUK.7.30	Фарисеярина Ӏелимари ЯхӀъяйин гӀедат дакьуна, Аллагьди чиппис акьуна ният кьабул акьуна адава.
LUK.7.31	Ӏисайи пуная:
LUK.7.31	– Гьинахъай фачикӀа Зун ме гьалдин инсанар? Фушар суманттар э мебур? 
LUK.7.32	Мебур гимил экьуна бицӀи шиникквар суман э, са сайис гьараяр аркьай: «Чин чвас суьретӀ йирхӀуне, чун лихъундава, чин Ӏешалар акьуне, чун Ӏешундава».
LUK.7.33	Адине ЯхӀъя, ги я гуни Ӏелдава, я чехир ухайдава – чун агъа: «Гиъ шейтӀан ая!» 
LUK.7.34	Адине Инсандин КӀиркӀ, Ги Ӏелдира э, ухайра э – чун агъа: «Хъуттурфен, тагьа фунтай, чехир ухас кканеф, налукар завал аркьаттаринна сасра гунагьар кеяттарин дустт». 
LUK.7.35	Аллагьдин хӀа Ӏекьул аргвая Гин Ӏекьул фацунаттариъ.
LUK.7.36	Са фарисея шаб пуная Ӏисайис учихъди гуни ӀуьтӀанас. Ӏиса адина фарисеян хулади, са багулихъди къархьил ирхӀуна экьуная суфрайихъ. 
LUK.7.37	Гьеге шагьурдиъ ая гунагьар кея са хьирас ягӀархьуная Ӏиса фарисеян хулаъ аяф. Ге хьир адиная тисади Ӏачин бицӀи гаджини ая батӀар ниъ хъая ччамра фай. 
LUK.7.38	Кьабахъас Ӏисайин лекарикк ккерхуна, Ӏешуная ге. Гин негъвар алавей хьуная Ӏисайин лекарилди, учин чӀарарилди джикай хьуная ги Ӏисайин лекар. Лекарис мачар икӀай, батӀар ниъ хъая ччам китӀиршанди хьуная ги Ӏисайин лекарик.
LUK.7.39	Гьегиштти агугуна, Ӏиса хъаттфайшуна фарисеяйи, фикир акьуная: «Эгер ме инсан хӀекьданди пайгъамбар ичин, Мис ягӀай ахьаси, Учик гъилар кирхӀая хьир, гунагьар кеяф идеф». 
LUK.7.40	Ӏисайи пуная фарисеяс:
LUK.7.40	– Е Симон, Зас вас са чӀал пас ккандея.
LUK.7.40	– Уп, МегӀелим, – пуная ги.
LUK.7.41	Ӏисайи пуная:
LUK.7.41	– Ӏу инсандик кехьуная са эессин бурдж. Сайик кехьуная гӀифуверш арсуран манат, сасрайик – гӀифцӀур. 
LUK.7.42	Гебурифас бурдж ес девехӀела, Ӏударисра бурджар хуьлал акьуная эесси. Магьа гебурикес гьинас ппара кканхьасе эесси?
LUK.7.43	Симона джуваб йиная:
LUK.7.43	– Зун фикир аркьа, те ппара бурдж хӀуьлал акьуттис.
LUK.7.43	– Вун дузди фикир акьуне, – пуная Ӏисайи.
LUK.7.44	Ӏисайи, алдаркуна ге хьиралди, пуная Симонас:
LUK.7.44	– Аргваяв вас ме дишагьли? Зун ве хулади адегуна, вун зас хьед йиндава лекар Ӏуьччанас. Ппай ме дишагьли учин негъварилди Ӏуьччуна Зе лекар, учин чӀарарилди джикуне. 
LUK.7.45	Зун ачадегуна, вун Зас мач икӀундава. Ппай ме дишагьли, Зун мисаъ а вахттунилас мич, гьайчӀундава Зе лекарис мачар икӀай. 
LUK.7.46	Вун ччам Зе кӀилик китӀишиндава, ппай ме дишагьли батӀар ниъ хъая ччам Зе лекарик китӀишине. 
LUK.7.47	Зун вас пасе фас ичин: Ме дишагьлин ппара гунагьарилас гъил гъушуная, дехӀела э мис ппара кканди аяф. Гьиналас чӀукь гъил гъушуна айчин, тис чӀукь кканди ая.
LUK.7.48	Дишагьлис Ӏисайи пуная:
LUK.7.48	– Гъил гъушуная ве гунагьарилас.
LUK.7.49	Гихъай экьуна сасра гӀулари чаб чиппикди агъай хьуная: «Фуш эгьан Ме, гунагьариласра гъил гъуландеф?»
LUK.7.50	Ӏисайи пуная ге дишагьлис:
LUK.7.50	– Ве хъугъувелди вун ухӀуне. ЮркӀв сакинди ях.
LUK.8.1	Тегунанхаб са чукь вахттунилас Ӏиса ушуная шагьурариди, хӀурариди инсанарис Аллагьдин Паччагьвелдихъас иджвелин хабар фай. Гихъай ахьуная цӀеӀу ученик. 
LUK.8.2	Хъара Ӏисайихъай ахьуная са Ӏу дишагьлира, гӀанаас шейтӀанар адикуна, итталарикесра сагъ акьунаттар: Майрам, Магдалина агъа ттур хъитӀунаф, гиас Ӏисайи адикуна ахьуная ери шейтӀан, 
LUK.8.3	Югьана, Иродан мулкарин хӀавел аркьа Хуза агъаттин хьир, Сусана, хъара ацӀуна джуьреттара. Ге дишагьлибури, Ӏисайинна Гин ученикарин гереквеларис, чиппикес аркьай хьуная харджар.
LUK.8.4	Сагелай гьер джуьре усариас адина завал хьунагуна ацӀуна инсанар, Ӏисайи ахъакьуная гебурис мисала:
LUK.8.5	– Са неджбер айчӀуна ахьуная тум узас. Узагуна, са Ӏу ударар алархьуная рекъуьлди – гебурил лекара алишиная, джакьварира ӀуьтӀуная. 
LUK.8.6	Сур ударар алархьуная гъванарилди, гебур кегъучӀуная, амма Ӏаш адавай – кегъучӀуттар рукъуная. 
LUK.8.7	Сур ударар гӀархьуная меркӀваригӀ – меркӀвар къалин хьуна, тум вартт гӀагъучӀуна адава.
LUK.8.8	Сур ударар алархьуная гӀане ругулди, кегъучӀуна, вершпай алтухъди мехӀсул йиная.
LUK.8.8	Ме мисалара ахъакьуна, Ӏисайи пуная:
LUK.8.8	– ЮркӀв алийинаттарис, унихьурай.
LUK.8.9	Ученикари хабар гъушуная Ӏисайифас: «Ле мисалайин мегӀна фи э?» 
LUK.8.10	Ӏисайи джуваб йиная:
LUK.8.10	– Чвас дахъуная Аллагьдин Паччагьвелдин сирар, аме инсанарис гебур мисалабурилди э ягӀаяф, хъуланди аячира, гебурис аргвай адава, унихьай аячира, гебур гъавурдиъ архьай адава.
LUK.8.11	Ме мисалайин мегӀна ме э:
LUK.8.11	Тум – Аллагьдин гаф э. 
LUK.8.12	Рекъуьлди алархьу тумун ударар – гебур Аллагьдин гаф унихьуна инсанар э; амма хаб адина Иблис, ге гаф юркӀуралас вес аркьа гебурин, гебур хъудугъурай пуна, гебур духӀас. 
LUK.8.13	Гъванарилди алархьуна тумун ударар, гебур чиппис унихьуна Аллагьдин гаф, шатти кьабул аркьа инсанар э; амма мерӀер хъудава гебурин хъугъувелдихъ, дехӀела са вахттунисттегьен хъугьа гебур, четинвелар алчархьегуна, хаб йирхӀа. 
LUK.8.14	МеркӀваригӀ гӀархьу тумун ударар, гебур Аллагьдин гаф унихьуна инсанар э; амма хаб гӀачӀугъуна, девлетарихъ, рехӀетарихъ ахъихьуна ве гебурин Ӏуьмур. Гебурин кӀетӀу бегьер ирцӀандава. 
LUK.8.15	Авадан ругулди алархьу тумун ударар, гебур чиппис унихьуна Аллагьдин гаф, чиппин идже дуз юркӀураъ икӀуна, ухӀа инсанар э. Сабур хъахӀела, гебурин кӀетӀу бегьера ирцӀанде.
LUK.8.16	Сайира, лампа кикӀуна, гин варттал бахӀти алияндава, я ккараватин кӀенаккра ккичикӀайдава. Лампа алиланде кьасал, ачавереттарис Ӏекв агвас. 
LUK.8.17	Фера афттава джинабанф, ашкара девеф, фера афттава джин акьас вереф, ягӀархьуна вартталди агъдархьаф. 
LUK.8.18	Фикир акье чвас унихьа гафарил: хъаяттис – хъара ппара есе, хъудаваттифас, учихъ хъая суман верефра, фаттивасе.
LUK.8.19	Адиная Ӏисайилди Учин бабна чуппар, халкь ппара ай, гӀайчӀвас хьуна адава гебурифас Ӏисайилди. 
LUK.8.20	Ӏисайис хабар акьуна пуная:
LUK.8.20	– Ве бабна Ве чуппар гъузуная раккахъ, Вун агвас кканди.
LUK.8.21	Ӏисайи пуная гебурис:
LUK.8.21	Зе бабна чуппар гьетебур э, Аллагьдин гафттил юркӀв алийина, гихъ хъучавереттар.
LUK.8.22	Са ягъа, Ӏиса учӀуна Учин ученикарихъай лодкайиъ, пуная гебурис:
LUK.8.22	– Див хьин алттвес сасра къирагъихъди.
LUK.8.22	Гебур гӀачушуная. 
LUK.8.23	Лодкайи ай алттверегуна, Ӏиса гӀачушуная ахунигӀ. Садпуна хӀуьлилди тӀурфан гъайшиная, лепебур гӀагъархьуна, лодкайиди авей хьуная хьед. Ппара хӀа бала кьадайикк кичархьуная гебур. 
LUK.8.24	Ученикари кегъикуна Ӏиса пуная:
LUK.8.24	– МегӀелим, МегӀелим хьин луькӀея!
LUK.8.24	КетӀуна, Ги къадагъа акьуная кулакисра, гуджлу хӀа лепебурисра. Фера андавай, хӀуьл сакин хьуная.
LUK.8.25	Ӏисайи пуная ученикарис:
LUK.8.25	– Нахьи чве хъугъувел?
LUK.8.25	ГучӀра муьхӀталла хьуна ученикари агъай хьуная сайи сайис:
LUK.8.25	– Фуш э Ме? Ми кулакисра, хьеттисра кехӀей буюрмишар аркьа, гебура Мис мутӀеӀ ве.
LUK.8.26	Гебур гӀаттиная Галилея дерейис гьучадаркуна Гераса агъа мукьуйин джилилди. 
LUK.8.27	Ӏиса къирагъихъди гӀайчӀугуна, Гис гьучархьуная гьеге дерейин шагьурдиас гӀанаъ шейтӀанар ая са инсан. Ге инсан ацӀуна гагь хьуная кунар алдавай вей, хулаъ ешемиш девей, некьваригӀ ешемиш вей. 
LUK.8.28	Ӏиса агугуна, ге инсанди акьуна вевер, ккерхьуна Гин лекарикк, гьавайикес пуная:
LUK.8.28	– Фи э Вас закес ккандеф, Аллагь ТегӀелайин КӀиркӀ Ӏиса? Миннате Вас, азият майицӀана зас!
LUK.8.29	Ге инсанди гиштти пеф, Ӏисайи шейтӀандис буюрмиш акьухӀела хьуная, айчӀв лин гӀанаас пуна. АцӀуна гагь хьуная гис гӀезаб ирцӀанди шейтӀанди. Гъилара лекара итӀуна синджилариъ алгъузучира, кьатӀ акьуна синджилара гъишай хьуная ге, шейтӀанди агьихьуна, инсан адава мукьвариди. 
LUK.8.30	Ӏисайи хабар гъушуная гифас:
LUK.8.30	– Фуш агъа вас?
LUK.8.30	– Къушум, – пуная ге инсанди, учин гӀанади ппара шейтӀанар ачушунахӀела.
LUK.8.31	ШейтӀанари миннат аркьай хьуная Ӏисайис, гьимика чин кӀен ккедава мукьуйиди агъай. 
LUK.8.32	Тисаъ сувал алхьуная ваккарин хӀа лудж. ШейтӀанари тӀалаб акьуная Ӏисайис чиппис ахттигьар тин пуна, ваккарин гӀанаъ учӀас. Ӏисайи йиная ахттигьар. 
LUK.8.33	ШейтӀанар, айчӀуна инсандиас, учӀуная ваккариъ. Ваккарин кӀаратӀ дивуна адина аратӀихъди, алахъуна хӀуьлигӀди, адивуная. 
LUK.8.34	Ккабанари, ге хьуна кар чиппис агугуна, ушуна ахъакьуная гихъас шагьурдира, багулив фая галарира. 
LUK.8.35	Инсанар ушуная хъуттурфанас фи ичугвас хьунаф. Ӏисайилди адегуна, гебурис агуная те шейтӀанар айчӀуна инсан, кунара алди, учин гъавурдира ай, экьуна Ӏисайин лекаригь. Инсанарис гучӀ хьуная.
LUK.8.36	Ге Ӏеламат агуттари, ахъаркьай хьуная инсанарис, фиштти сагъ хьучин гӀанаъ шейтӀанар ая инсан. 
LUK.8.37	Гераса дерейиъ ешемиш вея инсанарис ппара Ӏайи гучӀ хьуная, гебури миннат акьуная Ӏисайис ях пуна чиппин мукьариас. Ӏиса учӀуна лодкайиъ, хаб алттушуная. 
LUK.8.38	Ге гӀанаас шейтӀанар айчӀу инсанди, учра хъай ях пуна тӀалаб акьуная Ӏисайис. Амма Ӏисайи хаб гьикуная ге, пуна:
LUK.8.39	– Ушуна ве хулади ахъакь вас Аллагьди акьудегьенттарихъас.
LUK.8.39	Ге инсанди ушуна, кӀилди шагьурдис ахъаркьай хьуная, фикьунчин учис Ӏисайи.
LUK.8.40	КӀилди ахъутӀуна ахьуная Ӏисайихъ, дехӀела Ӏиса адегуна, халкьди шатти кьабул акьуная Ге. 
LUK.8.41	Гьеге вахттуни адиная Ягьир агъа са инсан, ге хьуная дуьгӀебур хура хулан хӀаф. Ягьир, ккерхьуна Ӏисайин лекарикк, миннат акьуная Гис учин хулади шаб пуна. 
LUK.8.42	Ягьиран цӀеӀу ис вея хъая са руш луькӀей хьуная. Ӏиса ушуная Ягьирахъай; джалла багварихъас алчахъуна, халкьдин арайиъ ахьуная Ӏиса. 
LUK.8.43	Са дишагьлин цӀеӀу ис хьуная, хъаттдартӀай, иъер вей. Ги учихъ хъаеф хъудаваф кӀилди хардж акьуна ахьуная духттурарис, амма сайифасра сагъ акьас вей хьуна адава ге. 
LUK.8.44	Кьабахъас гьучадина, ге дишагьли кирхӀуная гъил Ӏисайин палашин мурттук, гьеге сеӀетти иъ атӀуная. 
LUK.8.45	Ӏисайи хабар гъушуная:
LUK.8.45	– Гьина э Зак кирхӀуф?
LUK.8.45	Сайира чиппи кирхӀундава пегуна, Петтруйи пуная:
LUK.8.45	– Е МегӀелим, Вун халкьдин арайиъ ая агуна, гьер багулихъас Вахъ хъузиландея.
LUK.8.46	Ӏисайи пуная:
LUK.8.46	– Дава, гьина ичин Зак кирхӀуне. Зас хабар хьуне, Заас кьуват аттушуна.
LUK.8.47	Ге дишагьли, гъавурдиъ архьуная учифас джинихьвас девеф. КӀакӀ архьуна гьучадина, ккерхьуна Ӏисайин лекарикк, кӀилди халкьдин удигь ахъакьуная ге дишагьли, фиттихъас кирхӀуф ичин учи Ӏисайик, фиштти гьеге сеӀетти уч сагъ хьучин. 
LUK.8.48	Ӏисайи пуная ге дишагьлис:
LUK.8.48	– Е руш, ве хъугъувелди вун сагъ хьуне. Архайин хьуна ях.
LUK.8.49	Ӏиса гъургъай ай, адина Ягьиран хулаас са инсанди пуная:
LUK.8.49	– Е Ягьир, ве руш кӀине. Сара бизар маркьа мегӀелим.
LUK.8.50	Ге гафар унихьугуна, Ӏисайи пуная Ягьирас:
LUK.8.50	– ГучӀ мева. Вун хъугъ, ве руш сагъ хьасе.
LUK.8.51	Ягьиран хулади адегуна, Ӏисайи сайисра ахттигьар йина адава Учихъай ачавес, са Петтруйисна, ЯхӀъяйисна, Якьубас дала. Рушан дадасра, бабасра ахттигьар йиная. 
LUK.8.52	Джалла Ӏешай рахвай ахьуная ге рушахъас. Ӏисайи гебурис пуная:
LUK.8.52	– МеӀеша. Ге кӀина адава, ге гъархьунаф э.
LUK.8.53	Гебур элхъенди ахьуная Ӏисайил, ге кӀинаф ягӀахӀела. 
LUK.8.54	Ӏисайи, фацуна ге рушан гъил, гьавайикес пуная:
LUK.8.54	– Е руш, гъайш!
LUK.8.55	Руш гьеге сеӀетти, джан керхьуна гъайшиная. Ӏисайи Ӏелеф фачи пуная гис. 
LUK.8.56	Дадна баб муьхӀтал хьуная. Ӏисайи сайисра магъа пуная гебурис ме кардихъас.
LUK.9.1	Унахъуна Учин цӀеӀу вакилас, Ӏисайи йиная гебурис хӀавелна кьуват кӀилди шейтӀанар адикасра, итталар сагъ акьасра. 
LUK.9.2	Ӏисайи гьикуная гебур Аллагьдин Паччагьвелдихъас хабар акьас, итталара сагъ акьас. 
LUK.9.3	Ӏисайи пуная вакиларис:
LUK.9.3	– Фера магъуяна рекъуьди: я Ӏесса, я чанта, я гуни, я пул, я духӀуба аркьа кунар. 
LUK.9.4	Нае хулади ачушучин, гьетисаъ экьве, чун хаб рекъуьъ учӀасттегьен. 
LUK.9.5	Чун кьабул дакьу мукьуйиъ, тебурин хӀуриас верегуна, чве лекарил алекьуна кумра кехӀей кейхӀуна ате тебурис. Гьегилди ягӀархьурай тебурис.
LUK.9.6	Вакилар ушуна алдаркай хьуная хӀурарил иджвелин хабар аркьай, джалла усари итта инсанара сагъ аркьай.
LUK.9.7	Ӏисайи аркьа джалла курарихъас унихьуная хӀекимвелдиъ ая Иродас. Гис фи фикир аркьайчира ягӀай хьуна адава, сур инсанари, кӀина ЯхӀъя э Те гъайшинаф агъай хьуная, 
LUK.9.8	сури – Илйа пайгъамбар э Те адинаф, сасрабури – фушчин са авалдин пайгъамбар э Те джан керхьунаф агъахӀела. 
LUK.9.9	Ирода пуная:
LUK.9.9	– ЯхӀъяйин зун кӀил алдихьуне. Те инсан фуш эгьан, мидегьенттар унихьа зас Тихъас?
LUK.9.9	Иродас агвас кканди ахьуная Ӏиса.
LUK.9.10	Адегуна, вакилари ахъакьуная Ӏисайис джалла чиппи акьуттарихъас. Сасрабури мушат дакьас, Ӏиса хъай Учин вакилара ушуная Вифсаида агъа шагьурдин багулив фая сакин мукьуйиди. 
LUK.9.11	Амма инсанарис хабар хьуна, Ӏисайин кьабахъай чабра ушуная. Ӏисайи гебур ачухъди кьабул акьуная, агъай хьуная гебурис Аллагьдин Паччагьвелдихъас, иттаттара сагъ аркьай хьуная.
LUK.9.12	ГӀуьбехъми гагь вей хьуная. Вакилари, гьучадина, пуная Ӏисайис:
LUK.9.12	– Фадат инсанар, ушуна багулив фая хӀураридина галариди, джикӀирай чиппис Ӏуьш акьас эркьва мукьна Ӏелеф, хьин мисаъ инсан адава мукьуйи э аяф.
LUK.9.13	Ӏисайи пуная вакиларис:
LUK.9.13	– Чун фачи гебурис Ӏелеф.
LUK.9.13	Вакилари пуная:
