MAT.1.1	Yomba i Yesus Krais
LUK.20.16	Ana yomba ka i pirtre, ye dingwa, “Yeglmere ta paikrambuka!”
LUK.20.17	Yesus toro mendigl pandigl yomba kandre ana krapoglkwa, “Ka yeglmere muno beglkwa pangwa i mambuno sraglmere pame?
LUK.20.17	“‘Ana kamda wagle
LUK.20.17	kombuglo i kinde wedi plendi
LUK.20.17	menda endingwa. Ba
LUK.20.17	kombuglomo wu kombuglo
LUK.20.17	kauglange giglendi pangwa.’
LUK.20.18	Yomba prapra yange kombuglo igle bolamugl simbi ye bogl deruwagl eraglkwa, ba kombuglo i yange yomba ta sinan, bogl deruwagl ere surmane eraglkwa.”
LUK.20.19	Ana lo beke teingwa yomba ya pris kande wagle ye ka di simbogl dungwa i no erme keunde konbauna ta doko kan indre Yesus kane sinamnedi erikwa. Sraglpre, dumedi pre ana ye yomba kundutno geglkwa.
LUK.20.20	Ye eremogl Yesus suglmo mangigl wora aimande kanmogltre ana ka waiye yomba diendingwa. Ye kamo kaima pirkwa mereyegl ere ana kimbi-koglo krapeglmbi Yesus ka ta di aglau eran kandre, ana kanesi gavman kande tenaglkwa. 
LUK.20.21	Yeglpre, kuie kana eingwa yomba i krapogl Yesus teingwa, “Beke Notnga, ka dinga ya beke notnga i kuno orkwa, no punga ene yomba kanno pamara dikitnga, ba God prumere ka kaima yomba beke tenga. 
LUK.20.22	Dinoro, nono takis Sisa tenamuno mo tekramne?”
LUK.20.23	Yesus eremogl ye kakimbi kogl dingwa i kanpogl sindre ana ye ditongwa, 
LUK.20.24	“Ene moni silva suwarata i na ombuno diyo, ira kuiya ya kangiye tembe pame?”
LUK.20.25	Ye di ikine endingwa, “Sisa pangwa.”
LUK.20.25	Yesus di yomba tongwa, “Ana Sisa taraglmo Sisa teiyo, te God taraglmo God teiyo.”
LUK.20.26	Ye yomba merkinde meglmara ka yegl dungwa i si akenaglkwa mere mango. Ana ye singokondi, kiendi meglkwa.
LUK.20.27	Sadyusi wagle tau Yesus moglmara undre, krapeglkwa. Ye eremogl yomba geglkwa andiglkraglme dingwa yomba. 
LUK.20.28	Ye dingwa, “Beke Notnga, Moses lomo i nono pre muno boglkwa: Yagl ta gogltre, embiye kondinambuka ba gak ta kugl yeikran, ana goglkwa yagle i angigle ombugl embiye werai inan, ana ye yagl goglkwa dumomugl i gak kugl suglo sinambirka. 
LUK.20.29	Okuna imbo angiglma angiglma 7 meglkwa. Ana angro komuno ambu ta yungwa. Ba ye gak ta kugl yeikre goglkwa. 
LUK.20.30	Angigle okuwo ambu werai ikra yungwa. 
LUK.20.31	Ana angigle okuwo ta ama ambumo i yungwa, ana angiglma komuno okuwo 7 prapra ambumo suwara i keunde ingwa, ba gak ta kugl yeikre geglkwa. 
LUK.20.32	Okuwo kaima ambumo i ama goglkwa. 
LUK.20.33	Ana yomba geglkwa andraglkwa enge ambu i ira embiye morambe? Sraglpre, angiglma komuno okuwo 7 ambumo suwara i keunde ingwa.”
LUK.20.34	Yesus di ikine endungwa, “Ene erme yagl ambu bogl ingwa. 
LUK.20.35	Ba yagl ambu andigl ukor pindre, ana okuwo kor-moraglkwa enge yagl ambu ta bogl ikraglkwa. 
LUK.20.36	Ye angelo meglmere yegl mogltre ana goglkraglkwa. Ye God nangiglma moraglkwa. Sraglpre, ye goglkwa ba God ere-ikor endungwa. 
LUK.20.37	Ana Moses ombugl yomba geglkwa andigl ukor enaglkwa i ombunodi norkwa. I endi donga tekele dongwa kamo boglo i mina Moses yegl dungwa, ‘Yaglkande ye Abraham Godmo mogl, te Aisak Godmo mogl, ana Jekop Godmo moglkwa dungwa.’
LUK.20.38	God yomba geglkwa Godno tamanga, ba ye yomba kor-meglkwa Godno. Ye mina yomba prapra kor-meglkwa.”
LUK.20.39	Lo beke teingwa yomba tau di ikine endingwa, “Beke Notnga, ene ka wakai dinga!” 
LUK.20.40	Ye kundugl gogltre aglke krapoglkrikwa.
LUK.20.41	Ana Yesus krapogl tongwa, “Yomba sraglpre Mesaia Devit Wam moglme dime? 
LUK.20.42	Devit yene Buk Song mina dipendigl endungwa:
LUK.20.42	“‘Yaglkande di na
LUK.20.42	Yaglkandena tongwa, “Na
LUK.20.42	onguna wokra amedi mogl emin,
LUK.20.43	ana na kundan ikine ene
LUK.20.43	katn mina atnekra yenaglka.” ’
LUK.20.44	Devit eremogl ye pre ‘Yaglkande’ we dungwa, ana sraglmere Yaglkande i Devit wam morambe?”
LUK.20.45	Yomba prapra kinano gundo pir meglkwa enge, Yesus disaipelma wagle ditongwa, 
LUK.20.46	“Lo beke teingwa yomba mambunono i kan kuno eriyo, ye gagl olto ende indre konbauna wanamnedi munduno pango, te maket dumo yomba no diwakai yenaglmedi pirtre, te makai yungu bogl wakai mina amedi mogltre, ana mokna bir nemara angai gumamugl mogl-mogl erikwa. 
LUK.20.47	Ye ambu werai wagle bakaglte yunguno kunogl indre, ana kakimbi kogl yomba no kanaglmedi, kamange oltokuri erikwa. Yomba yegl ye giu kinde inaglkwa paimoglkwa.”
LUK.21.1	Yesus kan koglkoglo ende ana kangwa yomba moni mere paitongwa ye God holi yungumo mina ofa te-te erimara gagl mina monino ende suna endingwa. 
LUK.21.2	Ye ama kangwa ambu werai kiuglgiunde ta moni mongo kembra suwo keunde endungwa. 
LUK.21.3	Ana Yesus dungwa, “Na ka kaima ene diteinga, ambu werai kiuglgiunde i moni ende kawate yomba tau tongwa. 
LUK.21.4	Yomba prapra moni mere paitongwa, ana ye kuri ta te menda endingwa, ba ambu i paitongwa mere mundu ende kondungwa. Ye okuwo ta yenan ere ninambuka manga.”
LUK.21.5	Disaipelma wagle tau God holi yungumo pre dingwa, “Kombuglo wakai kaima yene ya ofa teingwa i akiye God yungumo ekin teingwa.” Ba Yesus dungwa, 
LUK.21.6	“Taragl prapra ene kanigwa i enge ta yenan ana kombuglo mangigl yeingwa i suwarata kombuglo ta mina tembe yei paikraglkwa, i prapra sigurndi atne endinaglkwa.”
LUK.21.7	Ye krapeglkwa, “Beke Notnga, taragl i enge aunake plau dinaglme? Ana sragl diu ere ombuno dinan kandre, ana enge ikra plau dina erimiwo dinamune?”
LUK.21.8	Yesus di ikine endungwa, “Ene kanpogl siyo, yomba kakimbi ditenaglkwa. Sraglpre, yomba merkinde na kangina mina undre ana ‘Na ye’ we dindre, ana ‘Enge mangigl orumiwo’ dinaglkwa. Ba ye mokono mina pikriyo. 
LUK.21.9	Ene pirmbi kunda mangigl boraglkwa mo kunda kande beglme dimbi ana ene kundugl goglkriyo, taragl yeglmere komnaiye plau dinaglkwa, ba enge kande oglandi ta yeikrambuka.”
LUK.21.10	Ana ye ditongwa, “Dumo kande ta yomba pi dumo kande ta kunda bogl tenaglkwa, king ta sugl moglmara yomba pi king ta sugl moglmara kunda bogl tenaglkwa. 
LUK.21.11	Ana imem pond kaima dumo tau unan te kindan pond yenan ana kinde kanekane dumo koglkoglo sinan erambuka. Ana diu kande ya kundugl goraglkwa taragl kanekane kamun kua mina plau dinaglkwa.
LUK.21.12	“Taragl i prapra plau dikrimbi, yomba ene eresindre ana sikanesi ipi makai yungu pindre ana kane yungu endinaglkwa. Ye ene ipi king wagle ya gavman kande dumonomugl enaglkwa, ana i na kangina ene mina yongwa pre yegl eraglkwa. 
LUK.21.13	I ene engeno ta yongwa, ipre kamambuno wakai yomba ditenaglkwa. 
LUK.21.14	Ana ene komnaiye no sragl ka dinamunedi nomano mina pir epigl erekriyo. 
LUK.21.15	Sraglpre, na ka yegl do ditendre, ana nomano wakai teimbo kade ene dimbi ana kundano ikine na ka tenaglkwa i mane dikre ana ake atne endekraglkwa. 
LUK.21.16	Ene nen man ya angitnma wagle ya bormai suwara ya te yeinengwa ye ene ipi kunda ikine tembi ana ye eremogl ene tau sigoraglkwa. 
LUK.21.17	Yomba prapra nomano kinde pir ene tenaglkwa, sraglpre, na kangina ene mina yongwa. 
LUK.21.18	Ba ene bitno yungo suwara ta wau boglkrambuka. 
LUK.21.19	Ana enene andigl giglendi mogl ana kor-moraglkwa ere-inaglkwa.
LUK.21.20	“Ene kanimbi kimbirnem undre Jerusalem mogl winambo dimbi ana ene piraglkwa, dumo kande kinde erambuka engemo mangigl ungwa. 
LUK.21.21	Ana yomba Judia dumo meglkwa i teke ende kamun muglo enaglkwa, yomba Jerusalem suna meglkwa i kondo ende menda embi, ana yomba kamun kande bina meglkwa i ende siti suna pikraglkwa. 
LUK.21.22	Enge i giugl engemo yenambuka, sraglpre, kamambuno pepa mina muno beglkwa pangwa i prapra pai inambuka. 
LUK.21.23	Ambu gak dano meglkwa ya te ambu gak am temeglkwa, ye yumbun pond inaglkwa. Ande enge i yumbun kinde kaima makan igle plau dinambuka ana God dem kumbrukwa yomba i mina panambuka. 
LUK.21.24	Ana tau dikumba prak mina sigoraglkwa, ana tau sikanesi yend dumo kande prapra enaglkwa, ana Yomba Bina wu Jerusalem sugl mogl eimbi ana ye engeno mina dundinambuka.
LUK.21.25	“Ana enge igle ande mina ya ba mina ya te kugl kuri mina diu kanekane plau dinaglkwa. Makandle yomba nomano kinde eran, ana mundi nigl mong sitombuno yakemakete yomba nomano sikugl endinan ana kundugl goraglkwa. 
LUK.21.26	Makandle koglkoglo taragl plau dina orkwa ipre yomba ongumutno wanan kundugl goraglkwa, sraglpre, kamun mitna taragl prapra giglendi paingwa i pingakar dinaglkwa. 
LUK.21.27	Enge igle yomba kanimbi Yomba Wam kuakawa mina suna unambuka i yombuglo ya ambuglangemo kande bogl akiye unambuka. 
LUK.21.28	Taragl i mambuno bogl plau dinamunedi eraglkwa enge, ene andigltre ana bitno kanple diyo, sraglpre, God ene toposi ikine endinambuka engeno mangigl ungwa.”
LUK.21.29	Yesus ka i di simbogl yomba ditongwa, “Ene endi kogla ya endi tau i prapra kaniyo. 
LUK.21.30	Ene kanimbi yaundo kor mambuno bogl sinamnedi erikwa enge, ana ene piraglkwa ande akan panambuka enge mangigl orume dinaglkwa. 
LUK.21.31	Kuno yeglmere ana ene kanimbi taragl yeglmere plau dinaglkwa enge, ene God kingdomo unambuka mangigl ormedi piraglkwa.
LUK.21.32	“Na ka kaima ene diteinga, yomba epigl erme meglkwa i prapra goglkrimbi taragl i prapra plau dinambuka. 
LUK.21.33	Kamun mitna ya makan okuwo wau borambrika. Ba na kanna prapra ta wau boglkrambuka.”
LUK.21.34	Yesus yegl dungwa, “Ene kankun eriyo. Ene wain gigle dungwa engenge nendre ana du erekraglkwa. Te nangino taragl pre egluwe ere pirkriyo, sraglpre, taragl yeglmere ene nomano sikugl endinan pirpogl sikre meglmbi, ana Yaglkande engemo tambre kana ene mina plau dinambuka. 
LUK.21.35	Enge i kitn sumere yeglmere makan koglkoglo yomba prapra meglmara plau dinambuka. 
LUK.21.36	Ene engenge kuie kanmogltre ana kamange ere God tembi, ana yombro panan kade taragl kinde plau dina orkwa i prapra ikorugl ende ana Yomba Wam guma mina andiglmbi kuno erambuka.”
LUK.21.37	Ande enge yomere yomere Yesus eremogl God holi yungumo yungugl ka bekete mogl ana akenam dungo ye ende egli Olip Kamun Muglo we dimara pindre enduwer igle moglpai orkwa. 
LUK.21.38	Ana yomba prapra tangina kinde kana Yesus kamo piramnedi ende God holi yungumo wingwa.
LUK.22.1	Ana Bret Yis Paikrukwa ne-ne erikwa enge yongwa i yomba Pasova we dingwa i mangigl orko 
LUK.22.2	ana lo beke teingwa yomba ya pris kande wagle ye yomba kundutno gogltre ana ye konbauna tau doko kan indre Yesus sigoramnedi pirkwa. 
LUK.22.3	Ana Satan ende Judas mina suna ongwa. Ye kangiye Iskariot we dingwa, Yesus disaipelma 12 mina ye ta moglkwa. 
LUK.22.4	Ana ye endpi pris kande wagle ya God holi yungumo mina kimbirnem sugl meglkwa yomba meglmara ongo, ana ye srambre ere Yesus tekoglo yaglkumba onguno mina endinambere pre ka dikeglkwa. 
LUK.22.5	Ye gun yendre ana ka dikogl moni pra tenamniwo dingwa. 
LUK.22.6	Judas i pra we dindre ana enge wakai ta yenan yomba i-wedi ta kankrimbi, ana Yesus tekoglo kunda ikine tenagledi sugl moglkwa.
LUK.22.7	Ana Bret Yis Paikrukwa ne-ne erikwa engemo ungo, ana sipsip nangigle kombuglange gagl ama Pasova kaiya mokna ne-ne erikwa. 
LUK.22.8	Yesus eremogl Pita ya Jon diende dungwa, “Ene pindre nono Pasova kaiya mokna ninamga pre akekun ere yeiro.”
LUK.22.9	Ye krapogl Yesus tembrika, “Ene pitn no aglokra taragl i akekun ere yenambugle?”
LUK.22.10	Ana Yesus di ikine endungwa, “Ene ende siti suna embir ana yagl ta nigl mingi kake yundre ene tengigl yenambuka. Yagle i yungu ta yungugl enambara i ene pindre, 
LUK.22.11	ana yungu nemyagl diteiro, ‘Beke Norkwa yagle ene pre krapoglkwa, “Yungu kula aglokra mere na disaipelna bogl Pasova ninamne?” ’ 
LUK.22.12	Ye yungu mundu i kula kande tembe kra bogl prapra yomara igle ene ombuno ditenambuka, ana igle ene akekun eriro.”
LUK.22.13	Ana ye endpi taragl prapra Yesus ditomere mere kan indre ana Pasova ninaglkwa pre akekun eurika.
LUK.22.14	Ana ande kuiya yongo, Yesus eremogl aposelmo wagle bogl akiye bogl mina amedungwa. 
LUK.22.15	Yesus ditongwa, “Pasova i ninamnedi pirka mere nomuno ana okuwo na giu ya yumbun inaglka. 
LUK.22.16	Ipre na ene diteinga, na aglketa kaiya mokna nekre mogl pi, ana okuwo taragl kaima God kingdomo suna wu pene enambuka.”
LUK.22.17	Okuwo Yesus kap wain indre, ana God diwakai yeite dungwa, “I indre enene mina yumbu siyo. 
LUK.22.18	Yeglpre na ene diteinga, na erme wain nuglo i ta nekre mogl-eimbo God kingdomo unambuka.”
LUK.22.19	Okuwo ye bret indre God diwakai yei, bukondi ana ye tendre, dungwa, “I na nangina, i ene pre teinga, yeglmere ere na pre poglodi piryo.”
LUK.22.20	Kaiya mokna ne kondingo, kuno yegl keunde ere ye kap minge ta indre, dungwa, “Kap i God kontrakmo kor, i na bormaina, i ene pre toindi endiga.
LUK.22.21	Ba kaniyo, na ipi yaglkumba tenambuka yagle, ye no akiye bogl bolamugl mouglka. 
LUK.22.22	Sraglpre, Yomba Wam gorambedi God dipanduglmara pai inambuka, ba yomba ta ipi kunda ikine tenambuka i yene yumbun pond inambuka.” 
LUK.22.23	Ye yene mina krapogl imboriya endingwa, ira mere ye sragl i erambe.
LUK.22.24	Disaipelma wagle yene mina tengramodi ira yagl kande morambe dingwa. 
LUK.22.25	Yesus ditongwa, “Yomba Bina kingno wagle ye mina yagl kande meglkwa. Ana ye mina yomba kande mogl-mitna endingwa i kangino ‘Yomba yeinongwa yagle’ we dingwa. 
LUK.22.26	Ba ene mina yegl ta paikrano, ene mina kande ta morambuka i ye wu gak kembra mereyegl mogltre, ana kaungo yomba ye eremogl nigl-kongun yoko erikwa yomba mereyegl morambuka. 
LUK.22.27	Ana ira yagl kande moglme, yomba bogl mina amedi mogl kaiya nongwa i kande moglmo mo kaiya mokna yumbu sungwa i kande moglme? Ta bogl mina amedungwa i kande moglkwa. Ba na ene mina suna nigl-kongun yoko yomba mereyegl moglka. 
LUK.22.28	Ana na yumbuna kanekane iga enge ene na bogl akiye mogl wingura. 
LUK.22.29	Ana na Nina kingdomo sugl moglo di narkwa, kuno yeglmere ene pra sugl molo ditenaglka. 
LUK.22.30	Na kingdomna suna botna mina ene kaiya ya nigl nendre, ana bogl wakaile mina amedi mogltre, Israel yungu ombuno 12 sutno moraglkwa.
LUK.22.31	“Saimon, Saimon, pro! Ene prapra pirngino Satan ere kanagledi pre ka dikondungwa i wit ereyaglkwa yomba wit yumbusi, wakai ya kinde i-perepere endumere yeglmere endinambuka. 
LUK.22.32	Ba na ene pre kamange ere kondinga, Saimon, ene pirngi dinga yange sikrambuka. Ana ene ende ikine na mina unatnga enge, ene angitnma wagle pirngino sigigledi to.”
LUK.22.33	Ana Pita di ikine endungwa, “Yaglkande, na ene bogl akiye ende kane pindre ana ene bogl akiye gorambuglka pre akekun erika.”
LUK.22.34	Ana Yesus di ikine endungwa, “Pita, na ene diteinga, erme enduwer konduwagle wi sikran, ene enge suwota na ye kankrika we dinatnga.”
LUK.22.35	Ana Yesus disaipelma wagle krapogl tongwa, “Na ene dimenda endinga enge i moni paus ya gagl kamban ya te katno towo ta ikre yoko engura. Ene taragl ta dokindu no?”
LUK.22.35	Ye di ikine endingwa, “Tamangra.”
LUK.22.36	Yesus dungwa, “Ba erme, yomba ta moni paus mo gagl kamban ta yenambuka i yondo. Ana yomba ta dikumba prak yeikrambuka ana gaglmo suna tembe moni bogl indre ana dikumba topo erambuka. 
LUK.22.37	Ipre na ene diteinga, kamambuno muno beglmara yegl dungwa, ‘Ye kunogl gogl yomba ta moglme dingwa.’
LUK.22.38	Ana disaipelma wagle dingwa, “Yaglkande, kano. Dikumba prak suwo mangigl ya yongwa.”
LUK.22.38	Ye di ikine endungwa, “I pra kuno orkwa.”
LUK.22.39	Yesus dumo kande kondo ana ende Olip Kamun Muglo ye okuna pipi ormere ikra orko ana disaipelma wagle omara eingwa. 
LUK.22.40	Ye ende dumo igle undre ana disaipelma wagle ditongwa, “Baglnu mina ene yange sikraglkwa pre kamange eriyo.” 
LUK.22.41	Ye meglmara igle kondo ende eglke pi, kombuglo singo pi eglke sing yomere yegl pindre ana goglko bondugl kamange orkwa, 
LUK.22.42	“Nina ene prawedi pitn, nigl mingi na mina i korugl endo, na pirka mere i kondinatnga, ba ene piratnere mere eratnga.” 
LUK.22.43	Ana angelo ta heven moglkwa ye moglmara plau dite ana yombuglo bogl tongwa. 
LUK.22.44	Ana Yesus yumbun pond pirtre, ana kamange merkinde orkwa, ana ye pitnboglkwa i bormai mereyegl kuglosi yange makandle sungwa.
LUK.22.45	Ana kamange erekondo ye andigltre, ende ikine disaipelma wagle meglmara pindre, ana kango ye ugl paimeglkwa. Sraglpre, ye nomano yumbun dongo pre ugl paingwa. 
LUK.22.46	Ana Yesus krapogl tongwa, “Ene sraglpre ugl paime? Andigltre ana kamange eriyo, ene baglnu mina yangesi dinaglkwa pre.”
LUK.22.47	Ana Yesus ka dimoglko yomba merkinde wingwa. Ye nangiglma 12 mina suwarata kangiye Judas we dingwa. Ye yomba auro indre okuna kana wu, ana Yesus moglmara kungro pauna mina sinongwa, 
LUK.22.48	ba Yesus krapogl tongwa, “Judas, ene Yomba Wam kunda ikine tenapre kungro pauna mina sineno?”
LUK.22.49	Yesus mokomugl eingwa yomba taragl plau dina orkwa i kandre, ye dingwa, “Yaglkande, no pra dikumba prak mina ere sinamuno?” 
LUK.22.50	Ana ye mina suna ta dikumba indre pris kande nigl kongunmo yomba ta kina wokra simbiglkidi endungwa.
LUK.22.51	Ba Yesus di ikine endungwa, “Yeglmere ta erekriyo!” Ana Yesus yaglmo kina ake indre, ana pandigl ikine ende tongo wakai pangwa.
LUK.22.52	Ana Yesus pre pris kande wagle ya God holi yungumo sugl meglkwa ya te yomba mina ende okuna eingwa ye inamunedi wingo, ana ye ditongwa, “Ene pirkwa na kunda gogl koglkwa yomba ta moglmedi pre, ene dikumba prak ya kumba indre wimo? 
LUK.22.53	Na ande engenge God holi yungumo togl suna ene bogl akiye moungra, ana ene onguno ta na nangina akekrikura. Ba ande kuiya erme i ene engeno yongo te mim yombuglomo wu pond pi yombuglo orkwa.”
LUK.22.54	Ana Yesus sikane sindre auro yend pris kande yungumugl eingwa. Ana Pita eremogl Yesus omara tau eglke dagl ongwa. 
LUK.22.55	Ba togl sunakra kot pirmara igle ende donga gaglkwa dongo yomba makaisi amedi meglmara, ana Pita ombugl akiye meglkwa. 
LUK.22.56	Ana nigl-kongun ambai suwarata kango donga ambuglange sumara iro Pita amedi moglkwa. Ambaimo pi mangigl kaima kandre ana dungwa, “Yagl i ama Yesus bogl akiye waningura!”
LUK.22.57	Ba Pita ditorwa ere dungwa, “Ambai ya, na ye kaima ta kankrika.”
LUK.22.58	Ana kurita meglko okuwo yagl ta Pita kandre ana dungwa, “Ene ama ye bogl akiye waningura!”
LUK.22.58	Ana Pita di ikine endungwa, “Yagl ya, na ta mangra.”
LUK.22.59	Ana ande kuiya suwarata endongo, okuwo yagl ta undre ka giglendi dungwa, “Kaima, yagl i ye bogl akiye waningura, sraglpre, ye ama Galili yagl.”
LUK.22.60	Pita di ikine endungwa, “Yagl ya, ene ka dinga i na ta pirpogl sikrika.” Ye ka di moglko ana tambre kana konduwagle kumugl wi sungwa. 
LUK.22.61	Ana Yesus kan akete toro mendigl pandigl Pita kango, ana Pita pir ikine ende Yesus ka yegl ditongwa ikra prukwa, “Erme konduwagle wi sikran, ene enge suwota na ye ta kankrika we dinatnga.” 
LUK.22.62	Ana Pita ende menda pindre kai pond kaima orkwa.
LUK.22.63	Ana Yesus suglmo meglkwa yomba mambuno bogl bakagl tendre ana eresingwa. 
LUK.22.64	Ana ye eremogl ongumuglo tusi te pandigl ana krapogl teingwa, “Ira ene sume, dipoglo!” 
LUK.22.65	Ana ye ka kinde kanekane di Yesus teingwa.
LUK.22.66	Ana kamun tangungo ana Juda yomba mina ende okuna eingwa ya pris kande wagle ya te lo beke teingwa yomba wu suwara pindre, ana Yesus ipi yene kaunsolno meglmara eingwa. 
LUK.22.67	Ana ye dingwa, “No dinoro, ene Mesaia motno?”
LUK.22.67	Ye di ikine endungwa, “Na ene diteimbo ene na ta pirngi dikraglkwa. 
LUK.22.68	Na ama ka kra ta pogl ene teimbo ana ene ka mongo ta di ikine endekraglkwa. 
LUK.22.69	Ba enge erme yei ende imbor enambuka, Yomba Wam ye God yombuglo kande pangwa, ongo wokra amedi morambuka.”
LUK.22.70	Ye prapra dingwa, “Yeglpre ene God Wam kaima motn kana?”
LUK.22.70	Ye di ikine ende tongwa, “Ene kuno ere dingwa, i na moglka.”
LUK.22.71	Ana ye dingwa, “No ka waiye kanekane eraglkwa i ta pirkramga, no nono ka i prapra yene dra mina dungo pir kondumga.”
LUK.23.1	Yomba makaisi meglkwa i prapra andigltre ana Yesus auro ipi Pailat moglmara eingwa. 
LUK.23.2	Ana ye mambuno bogl kakimbi kogl di Yesus nangiye dangindre, ana dingwa, “No yagl i mambunomo kan kondumga. Ye eremogl no yombano bakagl tendre ana dumo kande kinde erambe dungwa te takis Sisa tekriyo dindre, ana yene pre Krais mogl, ana king mole dungwa.”
LUK.23.3	Ana yegl dingo Pailat krapogl Yesus tongwa, “Ene Juda yomba kingno motno?”
LUK.23.3	Yesus di ikine endungwa, “Enene yegl dinga.”
LUK.23.4	Ana Pailat eremogl pris kande wagle ya te yomba prapra ditongwa, “Na yagl i kot ere tenaglka, i ye aglau ta orko kan ikrika.” 
LUK.23.5	Ba yomba ka giglekuidi dingwa, “Ye Judia kamun koglkoglo i yomba prapra ka beke tomara i nomano erekinde eretongwa. Ye Galili kamun mambuno bogltre ana aimande ere ende wu erme mangigl igle ungwa.”
LUK.23.6	Pailat ka i pirtre ana Yesus Galili nem moglmo mo di krapoglkwa. 
LUK.23.7	Ana Pailat pirkan orkwa i Yesus eremogl Herot kamun sugl moglmara suna igle moglkwa pango ana Pailat eremogl Yesus di Herot moglmara endungwa. Sraglpre, enge igle Herot ama Jerusalem moglkwa.
LUK.23.8	Herot eremogl Yesus kangwa enge, ana ye gun pond kaima yongwa. Sraglpre, Yesus taragl tau orkwa i dingo pirtre, ana ye enge olto kaima Yesus kanagledi pre sugl moglkwa. Ana Yesus kimagl tau eran kanagledi prukwa. 
LUK.23.9	Yeglpre, Herot ka kra merkinde pogl Yesus tongwa. Ba Yesus ka suwarata di ikine endekrukwa. 
LUK.23.10	Ana pris kande wagle ya te lo beke teingwa yomba wu mangigl andigl mogltre ana ka giglendi di Yesus nangiye dangingwa. 
LUK.23.11	Ana Herot kimbirmo nem bogl Yesus bakagl tendre, ana erekinde erete, ana king gagl olto wakai ta ende tendre, ana di ikine Pailat moglmara endingwa. 
LUK.23.12	Okuna Herot ya Pailat kunda ikine-ikine miurka, ba erme ye wu suwara pi yeinembrika.
LUK.23.13	Ana Pailat eremogl pris kande wagle ya yomba mina ende okuna eingwa ya te yomba mere aglendi imakai sindre, 
LUK.23.14	ana ye ditongwa, “Ene yagl i auro i na moglmara undre ana ene yegl dingura, ‘Ye yomba bakagl tendre ana nomano erekinde eretongwa.’ Ipre na ene meglmara igle ye sragl aglau ta orme dingura i doko i-pene ende kot eretenagledi erika, ba kaima ta kan ikrika. 
LUK.23.15	Herot ama Yesus aglaumo ta doko kan ikre, ana ye di ikine nono mounara endungwa. Ana enene kanigwa, ye gorambuka mereyegl aglau ta erekrukwa. 
LUK.23.16	Yeglpre na kimbirnem dimbo kumba simbi, ana diendimbo endinambuka.”
LUK.23.17	Ana Pasova enge yomere yomere Pailat eremogl kane paingwa yomba suwarata dimenda ende-ende orkwa.
LUK.23.18	Ipre yaglambu prapra wu suwara pi kaglkane kande indre dingwa, “Yesus sigogltre, ana Barabas diendin ende no mounara unano.” 
LUK.23.19	(Barabas siti gavman bogl kunda bogl tendre, te yomba sigoglkwa ana ipre ye kane singo pangwa.)
LUK.23.20	Ana Pailat eremogl Yesus dimenda endinagledi pre aglke kordagl kamo ikra yomba ditongwa. 
LUK.23.21	Ba yomba aimande kaglkane i paimogl di ikine ende dingwa, “Yesus endi-prak mina siyo! Endi-prak mina siyo!”
LUK.23.22	Ana Pailat eremogl yomba ka ditomere ikra aglke ditongo enge suwota orkwa, “Sraglpre sinamune? Ye sragl aglau orum? Na doko kaninga ye aglau ta orko kankrika, ipre sigolo dinaglka paikrukwa. Yeglpre na uglmbo kumba sindre ana diendimbo yoko endinambuka.”
LUK.23.23	Ba yomba prapra kaglkane binan bogl indre dingwa, “Yesus endi-prak mina sigolo” dindre mangre kaglkane ingo ana Pailat kamo ende atne ongwa. 
LUK.23.24	Yeglpre, Pailat eremogl yomba prapra Yesus sigolo dimere yegl prawe dinagledi prukwa. 
LUK.23.25	Ana Pailat eremogl yagl gavman kunda bogl tendre, te yomba sigoglkwa pre kane singo pangwa, ikra dimenda endinambedi krapogl teimere pre di ye meglmara ende, ana Yesus taragl ta eretena dingwa i ere tenaglmedi pre, tekoglo kimbirnem tongwa.
LUK.23.26	Ana kimbirnem eremogl Yesus auro yend menda eingwa. Yagl ta kangiye Saimon we dingwa, Sairini kamun nem. Ye dumo menda moglkwa ende dumo kande suna enapre ungo, ana akegidi mogltre, endi-prak komba mina pandigl teingo kake indre, ana Yesus omara mokomugl ongwa. 
LUK.23.27	Ana yomba merkinde kaima Yesus omara mokomugl eingwa. Ana eimara i ambu tau Yesus pre miriye gogl kai giglendi erikwa. 
LUK.23.28	Yesus kan aketendre ana ye ditongwa, “Jerusalem ambu wagle, na pre kai erekriyo, enene pre ya nangro pre kaino eriyo. 
LUK.23.29	Ana okuwo enge ta yenan yomba yegl dinaglkwa, ‘Ambu kur temine paingwa ya, te gak kuglkrikwa ya, te gak am tekrikwa God eran ye gun yenaglkwa!’ 
LUK.23.30	Enge igle,
LUK.23.30	“‘yomba yegl di, makan
LUK.23.30	muglo tenaglkwa, “Ukandi
LUK.23.30	no sindakaglo!” te Makan
LUK.23.30	meglmbe pre yegl dinaglkwa, “Wu no simbi do!” ’
LUK.23.31	Endi kor pangwa enge yomba taragl yegl eraglkwa, ana endimo i gorambuka enge sragl taragl plau dinambe dine?”
LUK.23.32	Ana kunogl gogl nembrika yagl suwo ombugl Yesus bogl akiye sigora pre auro imenda eingwa. 
LUK.23.33	Enge igle ye ende wu, dumo ta kangiye “Bitno Yombuglo” we dimara undre ana igle Yesus endi-prak mina singwa. Te kunogl gogl nembrika yagl suwo ikra sindre, ana ta ye ongo wokra pandigl te ta ongo kondakra pandiglkwa. 
