GEN.1.1	Deusũ nai inũ mai dami wakĩ eska wakĩ taewanikiaki. 
2KI.5.4	hawẽ shanẽ ibuhaira anu Naamã kashũ habias hãtxa ha txipash hãtxashinakiri banabimakĩ yuia 
2KI.5.5	Síria nawabu shanẽ ibuhairatũ kemakĩ yuikĩ:
2KI.5.5	—Peki. Ikis hatũ shanẽ ibuhaira ẽ mia keneshunaii. Ẽ kene bui katãwẽ, hau mia shushawanunã— aka
2KI.5.5	kakĩ 30.000 prata pei heshe inũ 6.000 ouro pei heshe inũ 10 haya besiti tari pepa hawẽrua bui Samaria anu hawẽ tsumabube Naamã kashũ 
2KI.5.6	hawẽ shanẽ ibũ kene buma Israel shanẽ ibuhaira inã bitã dĩtu betsa anu kashũ kene bepẽshũ uĩkĩ hawẽ hãtxa keneshina yuikĩ: —Ẽ hãtxa uĩkĩ hawẽ bitxiki txamima hau mĩ shushawanũ ẽ shanẽ ibu beshmas Naamã mianu ẽ nitxiaiĩ, mĩ uinunã. Ea shushawashũwẽ— akĩ
2KI.5.7	keneshina Israelĩ enabu shanẽ ibuhairatũ ha kene uĩ keyutã hawẽ datekĩ hawẽ tari ushnitã hawẽ anibu unanepabu hatu yuikĩ:
2KI.5.7	—Earã, ẽ Deus keskamẽ? Hatũ besti hiwea hatu inãtã hatu mebĩmiskẽ ẽ haska keskari watiru shinãkĩ ha shanẽ ibũ hawẽ huni betsa bitxiki txamima ẽ shushawashũtiru ea yunushinaki. Shinãkĩ uĩrakãwẽ. Nuku haska wakĩ nuku unãti waikiki, nukuki ana sinatakatsirã— hatu wa
2KI.5.8	shanẽ ibũ kene uĩtã datekĩ hawẽ tari ushnishina txanibaunaibu Deusũ hãtxa yuishunika Eliseũ nĩkatã Israelĩ enabu shanẽ ibuhaira anu hau hãtxa bunũbũ: “Haskakĩ mĩ tari mĩ ushnishinamẽ? Ha huni ea anu yunuwe, hau ea uĩyununã. Hatũ ẽ Deusũ hãtxa yuishunika Israel anu ẽ hiwea hau tapĩyununã”, hatu wa bushũ shanẽ ibuhaira yuiabu,
2KI.5.9	nĩkatã Eliseu anu Naamã yunua hawẽ tsumabu cavalo katsaumeabube hawẽ cavalõ tarãbaĩtiki mapua bui Naamã kai Eliseũ hiwe bebũ niti ika nikẽ 
2KI.5.10	ibubis kama hãtxa bunika Eliseũ yunua kashũ Naamã Eliseũ hãtxa yuishũkĩ: “Jordão Hene anu ka bututã 7ki nashi pukutãtani txukitãwẽ. Mĩ haskaya mĩ bitxiki txamima shushai mĩ yura sakara iki mĩ shũpĩshanaii”, aka
2KI.5.11	haska wa nĩkatã Naamã sinatahairakĩ hawenabu yuikĩ:
2KI.5.11	—Tashnikirã eki nukutã ea dapi nishũ hawẽ mekenika Senhor Deus ea yukashũkĩ ẽ bitxiki txamima hawẽ mekẽnẽ ea mebaũkĩ ea shushawashanimẽkaĩ, iwanã, ẽ shinãbiabirãshina haska wakinã, ea maĩwaĩmẽkaĩ. 
2KI.5.12	Damasco anu nukũ hene dabe Abana inũ Farpar Israelĩ enabũ mai pakea anua keskamaki. Nukuna pehairaki, dasibi hatuna binuarã. Shushanũ ika nukũ hene dabe anu ẽ nashitirumamẽ?— ikaini
2KI.5.12	sinatahairatã hanua kaya 
2KI.5.13	hakia hawẽ dayarubu ha dapi bushũ yuikĩ:
2KI.5.13	—Shanẽ ibuũ, Deusũ hãtxa yuishunikatũ mia merabewakĩ: “Hawara bikahairawẽ ea yunuwe”, ishũ mĩ haskakiri shinaĩ? Hawẽ hãtxa txibaĩ mĩ ikatsi ikamaki. Hakia: “Hene Jordão anu nashitãwẽ”, akĩ mia yunua nashitã mĩ shushatiruki, iwanã, mia yuishurã, hawa bikamaki. Iki kawe— akabu pes nibiabai
2KI.5.14	habũ pe shinaĩ hatu nĩkatã Hene Jordão kesha anu butua haska Deusũ hãtxa yuishunika Eliseũ yunushu keskai 7ki nashi pukutãtani neshekeaya hawẽ bitxiki txamima shushai hawẽ yura berunã bitxi keskai shũpĩ ana detsis mese neamakẽ 
2KI.5.15	hawẽ yura ma shusha uĩtã Naamã inũ habe beshiãbu Eliseu anu ana txĩtũbaini haki nukunũ ibaini Eliseu tashnia nia Naamã haki kematã yuikĩ:
2KI.5.15	—Nenu Israelĩ enabu anu Deus Kayabi hayaki. Ikis ẽ ikũwaiĩ. Txanima mai hirabi anu Deus betsa hayamaki. Ẽ mĩ dayaruwẽ taeshũ hawara pepa mia inãkuinũ ishũ ẽ mia ea akaii— aka
2KI.5.16	Eliseũ kemakĩ yuikĩ:
2KI.5.16	—Senhor Deusũ ea uiãyã ẽ mia yubaii. Haska mĩ hawara ea inãkatsis ikai ẽ bitirumaki— aka
2KI.5.16	—Haskama biwe! Biwe!— akĩ heneamabia hawa biama Eliseũ hawa bikatsi ikama nemahairakubainaya 
2KI.5.17	hawa biama Naamãnẽ unãtã ana yuikĩ:
2KI.5.17	—Haskawẽ taeshũ yushibubu kẽwãkĩ mabuwẽ duawakĩ inabu ẽ ana kuakĩ menukĩ keyuama ishanaii. Mĩ mekenika Senhor Deus besti kẽwãkĩ inabu kuakĩ ẽ menukĩ keyukubainaiwẽ taeshũ Israelĩ enabũ mai pakea anua saku ewapa dabe inũ dabe mai mata washũ mula dabeki dũtãrabetã ẽ mae anu butãpa? Hi bau watã ha mai mãtxiã anu haki dãti ika beti ishũ Senhor Deus besti ẽ kẽwãkubaĩshanaii. 
2KI.5.18	Hau ea kupiyamashanũ na besti Senhor Deus ea yukashũkubaĩshãwẽ. Yushibu Rimom kẽwãti hiwe anushũ ẽ shanẽ ibuhairatũ kẽwaĩ kakĩ ẽ pũyã ea pũtsũbaĩkĩ ea iyua ẽ habe hikikaĩ ẽ habe dãti ika beti ikũkainaya ẽ txakabu Senhor Deusũ hau ana shinãyamanũ ea yukashũkubaĩshãwẽ, hau ea kupiyamashanunã— aka
2KI.5.19	Eliseũ kemakĩ yuikĩ:
2KI.5.19	—Peki. Deus ẽ mia yukashũkubaĩshanaii. Dateama unanuma kai petãwẽ— aka mai bitã hanua Naamã hawenabube kaĩkaini txaihaira kariamakẽ 
2KI.5.20	Eliseũ dayarũ shinãkĩ: “Mabu pepa hamẽ beshiãbu Eliseũ hawa biama Síria nawa Naamã ẽ tsuma Eliseũ ma nitxiãki. Senhor Deuswẽ ẽ yubakaii. Hawaira txibaĩ kushikaini haki nukushũ hawara bewanaibu eã ẽ bi kaii”, ikaini
2KI.5.21	kushikaĩkĩ Geazĩ Naamã txibaĩ ha itxũ kushikainaya nasaukeshũ Naamãnẽ uĩtã hawẽ cavalõ tarãbaĩti niti atã mananũ ika butua nikẽ ma haki nukua Naamãnẽ yukakĩ:
2KI.5.21	—Hawa kaya ẽ txakabuwabiranai mĩ txibaĩ?— aka
2KI.5.22	Geazĩ kemakĩ yuikĩ:
2KI.5.22	—Hawamaki. Hakia Efraimnẽ enabũ mati matipa anua Deusũ hãtxa yuishunika berunã dabe dama bei hikikãshu ẽ mia yuiyunũ ẽ tsumapã ea yunushuki. 3.000 prata pei heshe inũ 2 haya besiti tari hawẽrua mĩ hatu inãkuĩtirukiaki. Haska ẽ mia yukayushuki— aka
2KI.5.23	Naamãnẽ kemakĩ:
2KI.5.23	—Haska bestima menã 6.000 prata pei heshe hatu bishũriwe— akĩ hau binũ yunuhairatã saku dabeki 6.000 prata pei heshe inũ 2 haya besiti tari mistukĩ naneshũ hau bushunũbũ hawẽ dayaru dabe iamashũ Geazi bebũ hatu nitxiã 
2KI.5.24	kai Geazi hatube mapeketã saku dabe hatu mebĩshũ nitxiã buaibũ hiwe hune anu arutã 
2KI.5.25	txipu hawẽ tsuma Eliseu bebũ ni tushiai yukakĩ:
2KI.5.25	—Geaziĩ, harakiria mĩ huai?— aka
2KI.5.25	Geazinẽ kemakĩ yuikĩ:
2KI.5.25	—Ẽ harakiri kamaki— aka
2KI.5.26	hakia hãtxa kushipawẽ Eliseũ yuikĩ:
2KI.5.26	—Mia inũ ika hawẽ cavalõ tarãbaĩti anua Naamã butuai ẽ yushĩ mibe nishũ dasibi ẽ uĩshuki. Pei heshe inũ haya besiti tari hawẽrua mĩ bishurã, pemaki. Yunu bai inũ, uva nishi beshea bai inũ, txashuwã inũ, ina awa inũ, huni dayarubu inũ, aĩbu dayarubu ha peiwẽ mĩ bikatsis ikai txakabuhairaki. 
2KI.5.27	Haskawẽ taea Naamã bitxiki txamima shushakaĩshurã, mikiri tekikũkaĩshanikiki. Mia bestimarã, mĩ bakebu pakubainaibu ha bitxiki txami ipapakeshãkanikiki— aka
2KI.5.27	ana dayashunama Eliseũ hiwe anua tashnikaini Geazi hawẽ yura hirabi ma txami keyua matsi tãkia keska hushupahaira uinibukiaki.
2KI.6.1	Txipu shaba betsatiã Deusũ hãtxa yuishunikabu Eliseube hiweshũ betsã Eliseu yuikĩ:
2KI.6.1	—Uiã. Mibe hiwea hanu nũ ushamis dĩtu hashuhairaki. 
2KI.6.2	Ana hiwe bena ewapa wakĩ hashpa duakabi wanũ ika Hene Jordão keshakea nuku tibitũ hi bestitxai txaipa nũ meshtei kai mĩ nuku yunutirumẽ?— akabu
2KI.6.2	Eliseũ hatu yunukĩ:
2KI.6.2	—Butãkãwẽ— hatu waya
2KI.6.3	betsã Eliseu yuikĩ:
2KI.6.3	—Hamaki. Nuku banawakaini nukube kawe— aka
2KI.6.3	kemakĩ:
2KI.6.3	—Peki. Ẽ matube katiruki— ikaini
2KI.6.4	Hene Jordão anu hatube Eliseu butua hanushũ hi meshtekĩ taewaibũ 
2KI.6.5	huni bestitxaitũ hi meshtekĩ taewaya due hawẽ bake anua hãtsekekaini henẽ pukuai uĩ sai ikĩ yuikĩ:
2KI.6.5	—He ee. Pemaki! Yusinaã, na duerã, huni betsana ẽ beãshuki. Ẽ haska washanai?— aka
2KI.6.6	Eliseũ yukakĩ:
2KI.6.6	—Hani kaya pukushumẽ?— aka
2KI.6.6	hanu pukushu anu metua hanushũ Eliseũ hi txaipa meshteshũ hanu due pukushu anu putakĩ urẽshũ dami wakĩ due nũtãtã 
2KI.6.7	yunukĩ:
2KI.6.7	—Neshewe!— aka meshũkaĩ due tsumatã neshebaini benimabaĩkĩ hi buaibũ
2KI.6.8	Síria nawa shanẽ ibuhairatũ Israelĩ enabu maemanũ ika ana hatube datenameaibu hawẽ detenamenikabu shanẽ ibubube itxa hatube yubakai Síria nawa shanẽ ibuhairatũ hatu yuikĩ: “Hune hari bushũ Israelĩ enabu detenamenikabu e imatã maemakĩ nũ hatu keyushanaii”, hatu wakĩ hari hanu huneshanaibu hatu yui yubakai 
2KI.6.9	hatũ shinã haskaibu Eliseũ unãtã Israelĩ enabu shanẽ ibuhaira anu Eliseũ hawẽ hãtxa bumakĩ yuikĩ: “Síria nawa detenamenikabu hari huneshũ matu detekatsis iki manaibuwẽ taea hari buyamashãkãwẽ”, hatu wa 
2KI.6.10	Israelĩ enabu shanẽ ibuhaira Eliseũ yuia hawẽ hãtxa nĩkatã Síria nawa detenamenika huneabu dũkekubainibukiaki.
2KI.6.11	Hanua Síria nawa shanẽ ibuhaira haska shinãtiruma hawẽ shanẽ ibu beshmasbu hatu kena itxabu hatu yuikĩ:
2KI.6.11	—Ea yuikãwẽ, haska nũ yubakamis tsua nukunabu kashũ Israelĩ enabu shanẽ ibuhaira bebũkiri yuitãtãmismẽkainã— hatu wa
2KI.6.12	habu bestitxaitũ kemakĩ yuikĩ:
2KI.6.12	—Shanẽ ibuũ, nukũ nũ yuismaki. Hakia Deusũ hãtxa yuishunika Eliseu Israelĩ enabube hiweshũ haska mĩ hune nuku yuimis inũ haska mĩ ushatianua mĩ hãtxai unãtã Israelĩ enabu shanẽ ibuhaira unãmakĩ hawẽ shanẽ ibuhaira yuimiski— aka
2KI.6.13	nĩkatã hatu yunukĩ:
2KI.6.13	—Hau Eliseu atxinũbũ ẽ hanu hatu yunutiru yuka ikaũkĩ unãti watãkãwẽ— hatu waya huni betsã nĩkatã hawẽ shanẽ ibuhaira yuikĩ:
2KI.6.13	—Israelĩ enabu mai pakea anu mae betsa hawẽ kena Dotã anu ikis hiweakiaki— aka 
2KI.6.14	hanua hawẽ detenamenikabu itxapa cavaloki katsaumebainaibu inũ, cavalõ tarãbaĩtiki mapubainaibu inũ, hatiri maĩ buaibu Síria nawa shanẽ ibuhairatũ hatu yunua hune meshu merã bui Dotã anu hikitã mae hirabi kebauni nati ikabũ 
2KI.6.15	ushashini bestẽkauã penamahaira Eliseũ dayaru betsa butukaĩkĩ cavaloki katsaumeabu inũ cavalõ tarãbaĩtiki mapuabu itxapabu mae hirabi kebauni nati ikabu uĩ datekaini ana hiwe merã hikishũ Eliseu yuikĩ:
2KI.6.15	—Yusinaã, nukũ mae hirabi keshebaunabuki. Ikisrã, nũ haskai?— aka
2KI.6.16	Eliseũ yuikĩ:
2KI.6.16	—Nukũ merabenanikatunarã, hatuna binuaki, habutimarã. Hawa dateyamawe— iwanã,
2KI.6.17	Eliseũ Senhor Deus ea akĩ yuikĩ: “Hau hatu uinũ ẽ dayarũ beru betsa watã uĩmawe”, atã “Senhor Deusuũ, haska ẽ mia ea akaii”, aka Senhor Deusũ hawẽ beru bepeshkĩ pewashuna, txi keska katsaumeabu itxapahaira inũ txi keska cavalõ tarãbaĩtiki mapuabu itxapahairari mati anu Eliseũ hiwe keshekĩ keyubaunabu hawẽ dayarũ uĩbaunaya
2KI.6.18	atxinũ ika Síria nawabu txaima bei taeaibũ Eliseũ Senhor Deus ea akĩ yuikĩ: “Síria nawabu beaibu mĩ hatũ beshush wakĩ betsa wanũ ẽ mia ea akaii”, aka
2KI.6.18	haska Eliseũ ea akai keska habũ shinã haikaimas wakĩ Senhor Deusũ hatu beru betsa wakẽ 
2KI.6.19	hatu unãtimaska wakĩ Eliseũ hatu yuikĩ:
2KI.6.19	—Narã, ha baimaki. Ha maewã mã benairã, nenumaki. Ha huni mã benai anu matu iyunũ ea txibãbaĩkãwẽ— hatu watã Samaria maewã anu hatu iyua 
2KI.6.20	hikitã Eliseũ ana dayuikĩ: “Senhor Deusuũ, hau shinãkĩ uĩ pewanũbũ ikis habũ beru pewakĩ betsa wawe”, aka hanushũ Senhor Deusũ hatũ beru betsa waya bepesheai keskatã uĩbaũkĩ: “Habaa! Nũ Samaria merãki!” ikĩ uĩ dateaibũ 
2KI.6.21	Israelĩ enabu shanẽ ibuhairatũ hatu uĩtã Eliseu yukakĩ:
2KI.6.21	—Epaã, dete keyukĩ hatu tenãpa?— aka
2KI.6.22	hakia Eliseũ kemakĩ:
2KI.6.22	—Haskamaki. Hatu tenãyamawe. Pia inũ matxatu txaipawẽ detenamekĩ huni betsabu atxitã txipu mã hatu tenãmismẽ? Nũ haska beyatirumaki. Hakia hatũ detenameti dasibi hatu mebĩ keyutã piti inũ mabesh hatu pimakãwẽ. Hau yaniwatã hatũ shanẽ ibuhaira anu hau unanuma bunũbũ hatu nitxĩkãwẽ— aka
2KI.6.23	piti pepa inũ mabesh pepa itxapa aĩbuaibũ bawabu hatu inãkubaunabu, pikĩ mabesh akĩ keyuabu, Israelĩ enabu shanẽ ibuhairatũ unanuma hatu nitxiã, hatũ mae Síria nawa shanẽ ibuhaira anu txĩtũbainaibũ haska wakĩ Israelĩ enabu Síria nawabũ hatu date date atã hatũ mai pakea ibuwakubaĩmisbu hatu heneyubainibukiaki.
2KI.13.14	Mawakatsi Eliseu isĩ teneai Israelĩ enabu shanẽ ibuhaira Jeoásĩ uinũ ika kai hikia haya kashakĩ ikushũ yuikĩ:
2KI.13.14	—Epaã, epaã, mĩ Israelĩ enabu mekenika kushipahairaki, huni detenamenikabu itxapa keskarã— aka
2KI.13.15	nĩkatã Eliseũ shanẽ ibu yunukĩ:
2KI.13.15	—Kanũ inũ pia hatira bitã tsumawe— aka
2KI.13.15	kanũ inũ pia bitã ma tsumakẽ 
2KI.13.16+2KI.13.17	Eliseũ ana yunukĩ:
2KI.13.16+2KI.13.17	—Bari huaikiri hanu uĩti shui bepẽwẽ— aka
2KI.13.16+2KI.13.17	ma bepẽkẽ Eliseũ ana yunukĩ:
2KI.13.16+2KI.13.17	—Bishkukatsi kanũ inũ pia pewawe— aka
2KI.13.16+2KI.13.17	kanũ inũ pia shanẽ ibũ pewaya Eliseu hawẽ petxiuria benikaĩ nishũ shanẽ ibũ mekẽ dabeki mepishũ ana yunukĩ:
2KI.13.16+2KI.13.17	—Ikis bishkuwe— aka
2KI.13.16+2KI.13.17	pia bishkuaya hãtxa kushipawẽ Eliseũ yuikĩ:
2KI.13.16+2KI.13.17	—Senhor Deusũ mekenikã piaki, Síria nawabu maemati piarã. Afeca anushũ hatu detekubaĩkĩ Síria nawabu mĩ hatu tenã keyushanaii— itã
2KI.13.18	txipu shanẽ ibu Eliseũ ana yuikĩ:
2KI.13.18	—Pia ana tsumawe— aka
2KI.13.18	ana bikẽ Eliseũ ana yunukĩ:
2KI.13.18	—Ikis piawẽ mai bekush bekush awe— aka
2KI.13.18	shanẽ ibũ dabe inũ bestiki piawẽ mai bekush bekush akĩ heneaya 
2KI.13.19	haska waiwẽ taea Eliseu haki sinatakĩ yuikĩ:
2KI.13.19	—Hatu detekubaĩkĩ Síria nawabu maemakĩ keyukĩ yamawashanũ, iwanã, 5 kasmai 6ki piawẽ mĩ mai bekush bekush ati sharashuki. Hakia dabe inũ bestiki mai mĩ bekush bekush ashuwẽ taeshũ dabe inũ bestiki Síria nawabu mĩ hatu maemashanaii, hatu tenãkĩ keyuamarã— atã
2KI.13.20	ana hãtxa wama Eliseu mawa hanushũ maiwanibukiaki. Ano tibi Israelĩ enabũ mai pakea anu Moabe nawabũ hatu itxakawai yumetsubu yumetsui bebirã bebiranaibũ 
2KI.13.21	ushe betsatiã hatũ haibu ma mawa Israelĩ enabu hunibũ maiwanũ, iwanã, mai pukĩkĩ Moabe nawa yumetsubu beaibu betxitã Eliseu mai wanibu anu hatũ haibu mawa datãbaini datei pashaibũ, hakia ha huni mawatũ yura Eliseũ shau mamaki hanakĩ hawẽ shau metsamabu ana hiwei benitã inũ kanikiaki.
2KI.13.22	Israelĩ enabu shanẽ ibu Jeoacaz hiweyukẽ Síria nawa shanẽ ibuhaira Hazaelĩ Israelĩ enabu dasibi itxakawakĩ hatu tenãkĩ yamawapanã 
2KI.13.23	Abraão inũ, Isaque inũ, Jacóbe Deus hatube yubakaniwẽ taea Israelĩ enabuwẽ nuikĩ hatu shinãkĩ Senhor Deusũ hatu merabewakĩ Síria nawabu hatu nemashũkubainikiaki. Hatu txakabuwakĩ yamawakatsi ikama inũ ha bebunua hatu putakatsi ikama ikũkainikiaki. Na habiatiã Senhor Deusũ hatu mekeriakubainikiki.
2KI.13.24	Hanua Síria nawa shanẽ ibu Hazael mawaya hawẽ huni bake hawẽ shãtukũ Ben-Hadade shanẽ ibunikiaki. 
2KI.13.25	Hanua Jeoacazĩ huni bake Jeoás shanẽ iburiatã hawẽ epa mae mebinibu Ben-Hadade kushipai anua Jeoás dabe inũ bestiki habe detenamekũkaĩkĩ ana hatu putamanikiaki. Haska wakinã, Israelĩ enabũ mae Jeoásĩ Ben-Hadade detenamekũkaĩkĩ hatũ mae ana hatu bishũkĩ hatu ibuwamanikiaki.
2KI.18.1+2KI.18.2	Samaria anu Israelĩ enabu yunui Elá huni bake Oséias 3 ano shanẽ ibukũkainaya Acazĩ huni bake Ezequias 25 bariya shanẽ ibui Judá enabu yunui Jerusalém anu 29 ano shanẽ ibukũkainikiaki. Ezequiasĩ ewarã, Abi inikiaki. Abĩ eparã, Zacarias inikiaki. 
2KI.18.3	Haska hawẽ shenipabu Davi hiweshũ apauni keska wakĩ kaneama Ezequiasĩ txibãkubainai Senhor Deusũ haska betxipaiai ashuaĩ uĩ hawẽ benimakũkainikiaki. 
2KI.18.4	Ha shanẽ ibushunã, mati keyatapa anua yushibubu kẽwãti hiwe meribi tibi hau txakabuwakĩ pusa pusa anũbũ hatu yunua hanua betsa yushibu dami betsa betsapa dasibi nitxiniburi hau tekekĩ keyurianũbũ inũ mane bronze dunu dami Moisĩ hatu ashuni kenakĩ: “Neustãki”, anibu kẽwãkĩ ha bebũ Israelĩ enabũ inĩti kuakubaĩmisbu Ezequiasĩ hatu mebĩ keyutã hatu pusa pusa amanikiaki.
2KI.18.5	Israelĩ enabũ mekenika Senhor Deus Ezequiasĩ ikũhairawakubaini shanẽ ibukũkainirã, ha shanẽ ibu tibi ha bebũ inũ ha txipu Judá enabu shanẽ ibu ikubiranibu Ezequias pepahaira keska tsua betsa hayama inikiaki. 
2KI.18.6	Haska Senhor Deusũ Moisés yununi txibãkĩ hawẽ yunuti inũ hawẽ nemati hamebi heneama ikũkaĩkĩ Ezequiasĩ Senhor Deus nĩkakĩ txibãkubainaiwẽ taeshũ 
2KI.18.7	hawara atimapa tibi pewakĩ taewakubainaiwẽ taeshũ Senhor Deusũ Ezequias merabewakĩ pewakĩ keyumanikiaki.
2KI.18.7	Haska wakĩ Assíria nawa shanẽ ibuhaira Ezequiasĩ danãkĩ ana hawẽ tsumatã hawẽ imposto ana pakakatsi ikama haki sinatanikiaki. 
2KI.18.8	Ha inũ, hawẽ mai pakea anua Filisteu nawabu nitxĩkĩ hawẽ detenamenikabubetã Ezequiasĩ hatu maemakubaĩkĩ ha hanu keshei irutã uĩti hiwe pishta keyatapa inũ hatũ maewã mishki kenebaunibu betsa betsapa anu hawẽ detenamenikabubetã hatu mebĩkĩ keyukĩ Gaza mai pakea hirabi ibuwanikiaki.
2KI.18.9	Ezequias shanẽ ibui ma 4 ano ikainaya hanua Samaria anu Elá huni bake Oséias Israelĩ enabu anu shanẽ ibui ma 7 ano ikaitiã Assíria nawa shanẽ ibuhaira Salmaneser hawẽ detenamenikabu mirima iwei Samaria anu hushũ hau mae dasibi keshebaunũbũ hatu yunua keshekĩ keyubaunabu atxinũ, iwanã, harakiri nitimawakĩ hatu kebẽkubainabu ana hawawẽ kushipatirubumakẽ hatu detekubaĩkĩ 
2KI.18.10	3 ano atimas hatu di akĩ keyukĩ hatu atxinibukiaki. Ezequias shanẽ ibui ma 6 ano ikaya Samaria anu Oséias Israelĩ enabu shanẽ ibui ma 9 ano keyuaya Assíria nawa detenamenikabũ atimas Samaria atxinibukiaki. 
2KI.18.11	Hanushũ hatũ mae pakea hirabi anua Israelĩ enabu dasibi maĩ hatu nitxiã bukatsi ikabumabiakẽ hawẽ detenamenikabũ hatu iyukĩ hashiwẽ hatu txatxi txatxi akubainaibũ hatũ mai pakea Assíria anu Assíria nawa shanẽ ibuhairatũ hatu iyukĩ hatu bitxitã mae betsa Hala inũ mai pakea betsa Habor inũ Hene Gozã dapi inũ Média nawabũ maewã betsa betsapa anu hatu hiwemakĩ hawa pakama hatu dayamapaunibukiaki. 
2KI.18.12	Senhor Deusũ tsuma Moisĩ hatu yusĩtã hatu keneshũbiani inũ haska Deusũ betxipaiai keskai ana hawẽ hiwebainabumakẽ hatube Senhor Deus yubakabiani hatũ mekenika Deus hawa nĩkabuma ikubainaibuwẽ taea Assíria nawabũ hatu itxakawaibu Senhor Deusũ hatu nemashunama inikiaki.
2KI.18.13	Txipu 10 ano kakẽ Ezequias Jerusalém anu shanẽ ibui ma 14 ano keyuaya Assíria shanẽ ibuhaira betsa hawẽ kena Senaqueribe hawẽ detenamenikabu mirimabube Judá enabũ mai pakea anu hushũ Jerusalém dapi hatũ mae mishki kenebaunibu tibi dapi mapushũ pia inũ hashi inũ mashash turewẽ tsaka tsaka akĩ puta puta akubaĩkĩ ushe itxapa kaya atimas hatu dasibi atxikĩ keyukubainaibũ 
2KI.18.14	haskaibuwẽ taeshũ Jerusalém anushũ Judá enabu shanẽ ibuhaira Ezequiasĩ hawẽ hãtxa keneshũ bumakĩ: “Ẽ kaneniki. Hawara mĩ ea yukai ẽ mia pakashanaii, ẽ mai anua mia inũ mĩ detenamenikabu mã kanunã”, atã keneshũtã huni betsa bumakĩ yunua mae betsa Laquis anu Assíria nawa shanẽ ibuhaira anu hawẽ kene bushũ inã bishũ uĩtã kemakĩ hati hau pakanũ 300 talento prata mane, ha 10.000 quilo pratara, inũ 30 talento ouro mane, ha 1.000 quilorã, Assíria nawa shanẽ ibuhairatũ Ezequias hãtxa kushipawẽ yunua 
2KI.18.15	haska wawẽ taeshũ Senhor Deus kẽwãti hiwe anua Ezequiasĩ mane prata hati betxishũ hatu bimakĩ keyushũ hanus itxawashũ ha katxu hawẽ hiwe hawẽrua anu kai hikishũ hawẽ mabu pepa aruti dĩtu anua hawẽ mane prata hirabi hatu bimakĩ keyuriashũ habianuri itxawashũ habiastiãri 
2KI.18.16	Senhor Deus kẽwãti hiwe hanu hikiti shui istabĩ dabenibu inũ, matsanibu inũ, hawẽ beputi dabe wanibu bemakis inũ uke merã Ezequiasĩ ouro mane tashipawẽ hatu buyamabaũtã hatu bepushmani ha mane ouro tashipa dasibi Ezequiasĩ hatu tsekamakĩ keyumashũ haki dasiwatã Assíria nawa shanẽ ibuhaira anu hau bunũbũ hatu yunua buaibũ
2KI.18.17	hatũ prata mane inũ hatũ ouro mane inã bibiatã hawa daeama haki sinatai heneama Jerusalém txakabuwanũ, iwanã, Laquis anua hawẽ detenamenikabu shanẽ ibu kushipa Tartã inũ, hawẽ merabewanika haki txiti ika inũ, shanẽ ibu beshmas kushipa betsari hawẽ detenamenikabu mirimabe Ezequias anu Assíria nawa shanẽ ibu Senaqueribẽ hatu yunua bui Jerusalém dapi hikitã pashku debu mishkiwẽ buyabaĩkĩ ũpash hababaĩti wanibu dapi inũ hanu kashũ tari patsamisbu bai ka dapi hatũ tari hiwe pũtebaũshina 
2KI.18.18	shanẽ ibu Ezequiasbe hãtxanũ, iwanã, kenabu ha kama hawẽ merabewanikabu Hilquiasĩ huni bake Eliaquim hatũ shanẽ ibũ hiwe mekeshũmis inũ, Sebnã shaba tibi ikaibu hatũ kenekubaĩmis inũ, Asafẽ huni bake Joá shanẽ ibu keneshunika Assíria nawa shanẽ ibu beshmasbube hãtxanũ ika, Jerusalém anua tashnibaĩ hatuki nukuabu 
2KI.18.19	Assíria nawa detenamenikabu shanẽ ibu Rabsaquẽ hatu yuikĩ:
2KI.18.19	—Assíria nawa shanẽ ibu kushipahairatũ hãtxa matũ shanẽ ibu Ezequias eska yuishũtãkãwẽ: “Haratutũ mia merabewai, mĩ haki txiti ika ikai? 
2KI.18.20	Yuba hãtxa hawẽrua itxapa mĩ unaĩ keska beparãbaĩ detenamea mĩ unãmahairaki! Ẽ hãtxa mĩ danãmiswẽ taea haratu mĩ haibuki mĩ txiti ika ikai? 
2KI.18.21	Egito nawabũ mia merabewashanai mĩ shinaĩ ẽ unaiĩ. Hakia haburã, hatũ shanẽ ibube hawa kushipa hayabumaki, mã dasibi haki txiti ipanãbunã. Dasibibũ hawẽ hãtxa nĩkakĩ ikũwaĩbu, Egito nawa shanẽ ibu Faraó babukĩ tsua merabewatirumaki. 
2KI.18.22	Ha inũ, matũ yuikĩ: Hau nuku merabewashanũ: Nukũ mekenika Senhor Deus ha besti nũ ikũwaiĩ, akĩ mã yuitiruki. Hakia matũ mekenika kẽwãpanãbũ matunabu Ezequiasĩ nemakĩ habũ mati keyatapa anua kẽwãti meribi inũ habu inabu kuashũkĩ menuti txi tapu dasibi hawẽ dayarubu txakabuwamakĩ yamawakĩ hatu keyumabiatã hanushũ Ezequiasĩ hatu yunukĩ Judá enabũ mai pakea anu hiweshũ Jerusalém anushũ besti Senhor Deus kẽwãkĩ inabu nami inũ hawẽ sheni kuakĩ menukĩ hau keyukubaĩshanũbũ mĩ shanẽ ibu Ezequiasĩ hatu yununiki, matũ mekenika sinatamakinã. 
