MAT.1.1	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
MRK.10.28	tadā pitara uvāca, paśya vayaṁ sarvvaṁ parityajya bhavatōnugāminō jātāḥ|
MRK.10.29	tatō yīśuḥ pratyavadat, yuṣmānahaṁ yathārthaṁ vadāmi, madarthaṁ susaṁvādārthaṁ vā yō janaḥ sadanaṁ bhrātaraṁ bhaginīṁ pitaraṁ mātaraṁ jāyāṁ santānān bhūmi vā tyaktvā
MRK.10.30	gr̥habhrātr̥bhaginīpitr̥mātr̥patnīsantānabhūmīnāmiha śataguṇān prētyānantāyuśca na prāpnōti tādr̥śaḥ kōpi nāsti|
MRK.10.31	kintvagrīyā anēkē lōkāḥ śēṣāḥ, śēṣīyā anēkē lōkāścāgrā bhaviṣyanti|
MRK.10.32	atha yirūśālamyānakālē yīśustēṣām agragāmī babhūva, tasmāttē citraṁ jñātvā paścādgāminō bhūtvā bibhyuḥ| tadā sa puna rdvādaśaśiṣyān gr̥hītvā svīyaṁ yadyad ghaṭiṣyatē tattat tēbhyaḥ kathayituṁ prārēbhē;
MRK.10.33	paśyata vayaṁ yirūśālampuraṁ yāmaḥ, tatra manuṣyaputraḥ pradhānayājakānām upādhyāyānāñca karēṣu samarpayiṣyatē; tē ca vadhadaṇḍājñāṁ dāpayitvā paradēśīyānāṁ karēṣu taṁ samarpayiṣyanti|
MRK.10.34	tē tamupahasya kaśayā prahr̥tya tadvapuṣi niṣṭhīvaṁ nikṣipya taṁ haniṣyanti, tataḥ sa tr̥tīyadinē prōtthāsyati|
MRK.10.35	tataḥ sivadēḥ putrau yākūbyōhanau tadantikam ētya prōcatuḥ, hē gurō yad āvābhyāṁ yāciṣyatē tadasmadarthaṁ bhavān karōtu nivēdanamidamāvayōḥ|
MRK.10.36	tataḥ sa kathitavān, yuvāṁ kimicchathaḥ? kiṁ mayā yuṣmadarthaṁ karaṇīyaṁ?
MRK.10.37	tadā tau prōcatuḥ, āvayōrēkaṁ dakṣiṇapārśvē vāmapārśvē caikaṁ tavaiśvaryyapadē samupavēṣṭum ājñāpaya|
MRK.10.38	kintu yīśuḥ pratyuvāca yuvāmajñātvēdaṁ prārthayēthē, yēna kaṁsēnāhaṁ pāsyāmi tēna yuvābhyāṁ kiṁ pātuṁ śakṣyatē? yasmin majjanēnāhaṁ majjiṣyē tanmajjanē majjayituṁ kiṁ yuvābhyāṁ śakṣyatē? tau pratyūcatuḥ śakṣyatē|
MRK.10.39	tadā yīśuravadat yēna kaṁsēnāhaṁ pāsyāmi tēnāvaśyaṁ yuvāmapi pāsyathaḥ, yēna majjanēna cāhaṁ majjiyyē tatra yuvāmapi majjiṣyēthē|
MRK.10.40	kintu yēṣāmartham idaṁ nirūpitaṁ, tān vihāyānyaṁ kamapi mama dakṣiṇapārśvē vāmapārśvē vā samupavēśayituṁ mamādhikārō nāsti|
MRK.10.41	athānyadaśaśiṣyā imāṁ kathāṁ śrutvā yākūbyōhanbhyāṁ cukupuḥ|
MRK.10.42	kintu yīśustān samāhūya babhāṣē, anyadēśīyānāṁ rājatvaṁ yē kurvvanti tē tēṣāmēva prabhutvaṁ kurvvanti, tathā yē mahālōkāstē tēṣām adhipatitvaṁ kurvvantīti yūyaṁ jānītha|
MRK.10.43	kintu yuṣmākaṁ madhyē na tathā bhaviṣyati, yuṣmākaṁ madhyē yaḥ prādhānyaṁ vāñchati sa yuṣmākaṁ sēvakō bhaviṣyati,
MRK.10.44	yuṣmākaṁ yō mahān bhavitumicchati sa sarvvēṣāṁ kiṅkarō bhaviṣyati|
MRK.10.45	yatō manuṣyaputraḥ sēvyō bhavituṁ nāgataḥ sēvāṁ karttāṁ tathānēkēṣāṁ paritrāṇasya mūlyarūpasvaprāṇaṁ dātuñcāgataḥ|
MRK.10.46	atha tē yirīhōnagaraṁ prāptāstasmāt śiṣyai rlōkaiśca saha yīśō rgamanakālē ṭīmayasya putrō barṭīmayanāmā andhastanmārgapārśvē bhikṣārtham upaviṣṭaḥ|
MRK.10.47	sa nāsaratīyasya yīśōrāgamanavārttāṁ prāpya prōcai rvaktumārēbhē, hē yīśō dāyūdaḥ santāna māṁ dayasva|
MRK.10.48	tatōnēkē lōkā maunībhavēti taṁ tarjayāmāsuḥ, kintu sa punaradhikamuccai rjagāda, hē yīśō dāyūdaḥ santāna māṁ dayasva|
MRK.10.49	tadā yīśuḥ sthitvā tamāhvātuṁ samādidēśa, tatō lōkāstamandhamāhūya babhāṣirē, hē nara, sthirō bhava, uttiṣṭha, sa tvāmāhvayati|
MRK.10.50	tadā sa uttarīyavastraṁ nikṣipya prōtthāya yīśōḥ samīpaṁ gataḥ|
MRK.10.51	tatō yīśustamavadat tvayā kiṁ prārthyatē? tubhyamahaṁ kiṁ kariṣyāmī? tadā sōndhastamuvāca, hē gurō madīyā dr̥ṣṭirbhavēt|
MRK.10.52	tatō yīśustamuvāca yāhi tava viśvāsastvāṁ svasthamakārṣīt, tasmāt tatkṣaṇaṁ sa dr̥ṣṭiṁ prāpya pathā yīśōḥ paścād yayau|
MRK.11.1	anantaraṁ tēṣu yirūśālamaḥ samīpasthayō rbaitphagībaithanīyapurayōrantikasthaṁ jaitunanāmādrimāgatēṣu yīśuḥ prēṣaṇakālē dvau śiṣyāvidaṁ vākyaṁ jagāda,
MRK.11.2	yuvāmamuṁ sammukhasthaṁ grāmaṁ yātaṁ, tatra praviśya yō naraṁ nāvahat taṁ garddabhaśāvakaṁ drakṣyathastaṁ mōcayitvānayataṁ|
MRK.11.3	kintu yuvāṁ karmmēdaṁ kutaḥ kuruthaḥ? kathāmimāṁ yadi kōpi pr̥cchati tarhi prabhōratra prayōjanamastīti kathitē sa śīghraṁ tamatra prēṣayiṣyati|
MRK.11.4	tatastau gatvā dvimārgamēlanē kasyacid dvārasya pārśvē taṁ garddabhaśāvakaṁ prāpya mōcayataḥ,
MRK.11.5	ētarhi tatrōpasthitalōkānāṁ kaścid apr̥cchat, garddabhaśiśuṁ kutō mōcayathaḥ?
MRK.11.6	tadā yīśōrājñānusārēṇa tēbhyaḥ pratyuditē tatkṣaṇaṁ tamādātuṁ tē'nujajñuḥ|
MRK.11.7	atha tau yīśōḥ sannidhiṁ garddabhaśiśum ānīya tadupari svavastrāṇi pātayāmāsatuḥ; tataḥ sa tadupari samupaviṣṭaḥ|
MRK.11.8	tadānēkē pathi svavāsāṁsi pātayāmāsuḥ, paraiśca taruśākhāśchitavā mārgē vikīrṇāḥ|
MRK.11.9	aparañca paścādgāminō'gragāminaśca sarvvē janā ucaiḥsvarēṇa vaktumārēbhirē, jaya jaya yaḥ paramēśvarasya nāmnāgacchati sa dhanya iti|
MRK.11.10	tathāsmākamaṁ pūrvvapuruṣasya dāyūdō yadrājyaṁ paramēśvaranāmnāyāti tadapi dhanyaṁ, sarvvasmāducchrāyē svargē īśvarasya jayō bhavēt|
MRK.11.11	itthaṁ yīśu ryirūśālami mandiraṁ praviśya caturdiksthāni sarvvāṇi vastūni dr̥ṣṭavān; atha sāyaṁkāla upasthitē dvādaśaśiṣyasahitō baithaniyaṁ jagāma|
MRK.11.12	aparēhani baithaniyād āgamanasamayē kṣudhārttō babhūva|
MRK.11.13	tatō dūrē sapatramuḍumbarapādapaṁ vilōkya tatra kiñcit phalaṁ prāptuṁ tasya sannikr̥ṣṭaṁ yayau, tadānīṁ phalapātanasya samayō nāgacchati| tatastatrōpasthitaḥ patrāṇi vinā kimapyaparaṁ na prāpya sa kathitavān,
MRK.11.14	adyārabhya kōpi mānavastvattaḥ phalaṁ na bhuñjīta; imāṁ kathāṁ tasya śiṣyāḥ śuśruvuḥ|
MRK.11.15	tadanantaraṁ tēṣu yirūśālamamāyātēṣu yīśu rmandiraṁ gatvā tatrasthānāṁ baṇijāṁ mudrāsanāni pārāvatavikrētr̥ṇām āsanāni ca nyubjayāñcakāra sarvvān krētr̥n vikrētr̥ṁśca bahiścakāra|
MRK.11.16	aparaṁ mandiramadhyēna kimapi pātraṁ vōḍhuṁ sarvvajanaṁ nivārayāmāsa|
MRK.11.17	lōkānupadiśan jagāda, mama gr̥haṁ sarvvajātīyānāṁ prārthanāgr̥ham iti nāmnā prathitaṁ bhaviṣyati ētat kiṁ śāstrē likhitaṁ nāsti? kintu yūyaṁ tadēva cōrāṇāṁ gahvaraṁ kurutha|
MRK.11.18	imāṁ vāṇīṁ śrutvādhyāpakāḥ pradhānayājakāśca taṁ yathā nāśayituṁ śaknuvanti tathōेpāyaṁ mr̥gayāmāsuḥ, kintu tasyōpadēśāt sarvvē lōkā vismayaṁ gatā atastē tasmād bibhyuḥ|
MRK.11.19	atha sāyaṁsamaya upasthitē yīśurnagarād bahirvavrāja|
MRK.11.20	anantaraṁ prātaḥkālē tē tēna mārgēṇa gacchantastamuḍumbaramahīruhaṁ samūlaṁ śuṣkaṁ dadr̥śuḥ|
MRK.11.21	tataḥ pitaraḥ pūrvvavākyaṁ smaran yīśuṁ babhāṣaṁ, hē gurō paśyatu ya uḍumbaraviṭapī bhavatā śaptaḥ sa śuṣkō babhūva|
MRK.11.22	tatō yīśuḥ pratyavādīt, yūyamīśvarē viśvasita|
MRK.11.23	yuṣmānahaṁ yathārthaṁ vadāmi kōpi yadyētadgiriṁ vadati, tvamutthāya gatvā jaladhau pata, prōktamidaṁ vākyamavaśyaṁ ghaṭiṣyatē, manasā kimapi na sandihya cēdidaṁ viśvasēt tarhi tasya vākyānusārēṇa tad ghaṭiṣyatē|
MRK.11.24	atō hētōrahaṁ yuṣmān vacmi, prārthanākālē yadyadākāṁkṣiṣyadhvē tattadavaśyaṁ prāpsyatha, itthaṁ viśvasita, tataḥ prāpsyatha|
MRK.11.25	aparañca yuṣmāsu prārthayituṁ samutthitēṣu yadi kōpi yuṣmākam aparādhī tiṣṭhati, tarhi taṁ kṣamadhvaṁ, tathā kr̥tē yuṣmākaṁ svargasthaḥ pitāpi yuṣmākamāgāṁmi kṣamiṣyatē|
MRK.11.26	kintu yadi na kṣamadhvē tarhi vaḥ svargasthaḥ pitāpi yuṣmākamāgāṁsi na kṣamiṣyatē|
MRK.11.27	anantaraṁ tē puna ryirūśālamaṁ praviviśuḥ, yīśu ryadā madhyēmandiram itastatō gacchati, tadānīṁ pradhānayājakā upādhyāyāḥ prāñcaśca tadantikamētya kathāmimāṁ papracchuḥ,
MRK.11.28	tvaṁ kēnādēśēna karmmāṇyētāni karōṣi? tathaitāni karmmāṇi karttāṁ kēnādiṣṭōsi?
MRK.11.29	tatō yīśuḥ pratigaditavān ahamapi yuṣmān ēkakathāṁ pr̥cchāmi, yadi yūyaṁ tasyā uttaraṁ kurutha, tarhi kayājñayāhaṁ karmmāṇyētāni karōmi tad yuṣmabhyaṁ kathayiṣyāmi|
MRK.11.30	yōhanō majjanam īśvarāt jātaṁ kiṁ mānavāt? tanmahyaṁ kathayata|
MRK.11.31	tē parasparaṁ vivēktuṁ prārēbhirē, tad īśvarād babhūvēti cēd vadāmastarhi kutastaṁ na pratyaita? kathamētāṁ kathayiṣyati|
MRK.11.32	mānavād abhavaditi cēd vadāmastarhi lōkēbhyō bhayamasti yatō hētōḥ sarvvē yōhanaṁ satyaṁ bhaviṣyadvādinaṁ manyantē|
MRK.11.33	ataēva tē yīśuṁ pratyavādiṣu rvayaṁ tad vaktuṁ na śaknumaḥ| yīśuruvāca, tarhi yēnādēśēna karmmāṇyētāni karōmi, ahamapi yuṣmabhyaṁ tanna kathayiṣyāmi|
MRK.12.1	anantaraṁ yīśu rdr̥ṣṭāntēna tēbhyaḥ kathayitumārēbhē, kaścidēkō drākṣākṣētraṁ vidhāya taccaturdikṣu vāraṇīṁ kr̥tvā tanmadhyē drākṣāpēṣaṇakuṇḍam akhanat, tathā tasya gaḍamapi nirmmitavān tatastatkṣētraṁ kr̥ṣīvalēṣu samarpya dūradēśaṁ jagāma|
MRK.12.2	tadanantaraṁ phalakālē kr̥ṣīvalēbhyō drākṣākṣētraphalāni prāptuṁ tēṣāṁ savidhē bhr̥tyam ēkaṁ prāhiṇōt|
MRK.12.3	kintu kr̥ṣīvalāstaṁ dhr̥tvā prahr̥tya riktahastaṁ visasr̥juḥ|
MRK.12.4	tataḥ sa punaranyamēkaṁ bhr̥tyaṁ praṣayāmāsa, kintu tē kr̥ṣīvalāḥ pāṣāṇāghātaistasya śirō bhaṅktvā sāpamānaṁ taṁ vyasarjan|
MRK.12.5	tataḥ paraṁ sōparaṁ dāsaṁ prāhiṇōt tadā tē taṁ jaghnuḥ, ēvam anēkēṣāṁ kasyacit prahāraḥ kasyacid vadhaśca taiḥ kr̥taḥ|
MRK.12.6	tataḥ paraṁ mayā svaputrē prahitē tē tamavaśyaṁ sammaṁsyantē, ityuktvāvaśēṣē tēṣāṁ sannidhau nijapriyam advitīyaṁ putraṁ prēṣayāmāsa|
MRK.12.7	kintu kr̥ṣīvalāḥ parasparaṁ jagaduḥ, ēṣa uttarādhikārī, āgacchata vayamēnaṁ hanmastathā kr̥tē 'dhikārōyam asmākaṁ bhaviṣyati|
MRK.12.8	tatastaṁ dhr̥tvā hatvā drākṣākṣētrād bahiḥ prākṣipan|
MRK.12.9	anēnāsau drākṣākṣētrapatiḥ kiṁ kariṣyati? sa ētya tān kr̥ṣīvalān saṁhatya tatkṣētram anyēṣu kr̥ṣīvalēṣu samarpayiṣyati|
MRK.12.10	aparañca, "sthapatayaḥ kariṣyanti grāvāṇaṁ yantu tucchakaṁ| prādhānaprastaraḥ kōṇē sa ēva saṁbhaviṣyati|
MRK.12.11	ētat karmma parēśasyāṁdbhutaṁ nō dr̥ṣṭitō bhavēt||" imāṁ śāstrīyāṁ lipiṁ yūyaṁ kiṁ nāpāṭhiṣṭa?
MRK.12.12	tadānīṁ sa tānuddiśya tāṁ dr̥ṣṭāntakathāṁ kathitavān, ta itthaṁ budvvā taṁ dharttāmudyatāḥ, kintu lōkēbhyō bibhyuḥ, tadanantaraṁ tē taṁ vihāya vavrajuḥ|
MRK.12.13	aparañca tē tasya vākyadōṣaṁ dharttāṁ katipayān phirūśinō hērōdīyāṁśca lōkān tadantikaṁ prēṣayāmāsuḥ|
MRK.12.14	ta āgatya tamavadan, hē gurō bhavān tathyabhāṣī kasyāpyanurōdhaṁ na manyatē, pakṣapātañca na karōti, yathārthata īśvarīyaṁ mārgaṁ darśayati vayamētat prajānīmaḥ, kaisarāya karō dēyō na vāṁ? vayaṁ dāsyāmō na vā?
MRK.12.15	kintu sa tēṣāṁ kapaṭaṁ jñātvā jagāda, kutō māṁ parīkṣadhvē? ēkaṁ mudrāpādaṁ samānīya māṁ darśayata|
MRK.12.16	tadā tairēkasmin mudrāpādē samānītē sa tān papraccha, atra likhitaṁ nāma mūrtti rvā kasya? tē pratyūcuḥ, kaisarasya|
MRK.12.17	tadā yīśuravadat tarhi kaisarasya dravyāṇi kaisarāya datta, īśvarasya dravyāṇi tu īśvarāya datta; tatastē vismayaṁ mēnirē|
MRK.12.18	atha mr̥tānāmutthānaṁ yē na manyantē tē sidūkinō yīśōḥ samīpamāgatya taṁ papracchuḥ;
MRK.12.19	hē gurō kaścijjanō yadi niḥsantatiḥ san bhāryyāyāṁ satyāṁ mriyatē tarhi tasya bhrātā tasya bhāryyāṁ gr̥hītvā bhrātu rvaṁśōtpattiṁ kariṣyati, vyavasthāmimāṁ mūsā asmān prati vyalikhat|
MRK.12.20	kintu kēcit sapta bhrātara āsan, tatastēṣāṁ jyēṣṭhabhrātā vivahya niḥsantatiḥ san amriyata|
MRK.12.21	tatō dvitīyō bhrātā tāṁ striyamagr̥haṇat kintu sōpi niḥsantatiḥ san amriyata; atha tr̥tīyōpi bhrātā tādr̥śōbhavat|
MRK.12.22	itthaṁ saptaiva bhrātarastāṁ striyaṁ gr̥hītvā niḥsantānāḥ santō'mriyanta, sarvvaśēṣē sāpi strī mriyatē sma|
MRK.12.23	atha mr̥tānāmutthānakālē yadā ta utthāsyanti tadā tēṣāṁ kasya bhāryyā sā bhaviṣyati? yatastē saptaiva tāṁ vyavahan|
MRK.12.24	tatō yīśuḥ pratyuvāca śāstram īśvaraśaktiñca yūyamajñātvā kimabhrāmyata na?
MRK.12.25	mr̥talōkānāmutthānaṁ sati tē na vivahanti vāgdattā api na bhavanti, kintu svargīyadūtānāṁ sadr̥śā bhavanti|
MRK.12.26	punaśca "aham ibrāhīma īśvara ishāka īśvarō yākūbaścēśvaraḥ" yāmimāṁ kathāṁ stambamadhyē tiṣṭhan īśvarō mūsāmavādīt mr̥tānāmutthānārthē sā kathā mūsālikhitē pustakē kiṁ yuṣmābhi rnāpāṭhi?
MRK.12.27	īśvarō jīvatāṁ prabhuḥ kintu mr̥tānāṁ prabhu rna bhavati, tasmāddhētō ryūyaṁ mahābhramēṇa tiṣṭhatha|
MRK.12.28	ētarhi ēkōdhyāpaka ētya tēṣāmitthaṁ vicāraṁ śuśrāva; yīśustēṣāṁ vākyasya saduttaraṁ dattavān iti budvvā taṁ pr̥ṣṭavān sarvvāsām ājñānāṁ kā śrēṣṭhā? tatō yīśuḥ pratyuvāca,
MRK.12.29	"hē isrāyēllōkā avadhatta, asmākaṁ prabhuḥ paramēśvara ēka ēva,
MRK.12.30	yūyaṁ sarvvantaḥkaraṇaiḥ sarvvaprāṇaiḥ sarvvacittaiḥ sarvvaśaktibhiśca tasmin prabhau paramēśvarē prīyadhvaṁ," ityājñā śrēṣṭhā|
MRK.12.31	tathā "svaprativāsini svavat prēma kurudhvaṁ," ēṣā yā dvitīyājñā sā tādr̥śī; ētābhyāṁ dvābhyām ājñābhyām anyā kāpyājñā śrēṣṭhā nāsti|
MRK.12.32	tadā sōdhyāpakastamavadat, hē gurō satyaṁ bhavān yathārthaṁ prōktavān yata ēkasmād īśvarād anyō dvitīya īśvarō nāsti;
MRK.12.33	aparaṁ sarvvāntaḥkaraṇaiḥ sarvvaprāṇaiḥ sarvvacittaiḥ sarvvaśaktibhiśca īśvarē prēmakaraṇaṁ tathā svamīpavāsini svavat prēmakaraṇañca sarvvēbhyō hōmabalidānādibhyaḥ śraṣṭhaṁ bhavati|
MRK.12.34	tatō yīśuḥ subuddhēriva tasyēdam uttaraṁ śrutvā taṁ bhāṣitavān tvamīśvarasya rājyānna dūrōsi|itaḥ paraṁ tēna saha kasyāpi vākyasya vicāraṁ karttāṁ kasyāpi pragalbhatā na jātā|
MRK.12.35	anantaraṁ madhyēmandiram upadiśan yīśurimaṁ praśnaṁ cakāra, adhyāpakā abhiṣiktaṁ (tārakaṁ) kutō dāyūdaḥ santānaṁ vadanti?
MRK.12.36	svayaṁ dāyūd pavitrasyātmana āvēśēnēdaṁ kathayāmāsa| yathā| "mama prabhumidaṁ vākyavadat paramēśvaraḥ| tava śatrūnahaṁ yāvat pādapīṭhaṁ karōmi na| tāvat kālaṁ madīyē tvaṁ dakṣapārśv upāviśa|"
MRK.12.37	yadi dāyūd taṁ prabhūṁ vadati tarhi kathaṁ sa tasya santānō bhavitumarhati? itarē lōkāstatkathāṁ śrutvānananduḥ|
MRK.12.38	tadānīṁ sa tānupadiśya kathitavān yē narā dīrghaparidhēyāni haṭṭē vipanau ca
MRK.12.39	lōkakr̥tanamaskārān bhajanagr̥hē pradhānāsanāni bhōjanakālē pradhānasthānāni ca kāṅkṣantē;
MRK.12.40	vidhavānāṁ sarvvasvaṁ grasitvā chalād dīrghakālaṁ prārthayantē tēbhya upādhyāyēbhyaḥ sāvadhānā bhavata; tē'dhikatarān daṇḍān prāpsyanti|
MRK.12.41	tadanantaraṁ lōkā bhāṇḍāgārē mudrā yathā nikṣipanti bhāṇḍāgārasya sammukhē samupaviśya yīśustadavalulōka; tadānīṁ bahavō dhaninastasya madhyē bahūni dhanāni nirakṣipan|
MRK.12.42	paścād ēkā daridrā vidhavā samāgatya dvipaṇamūlyāṁ mudraikāṁ tatra nirakṣipat|
MRK.12.43	tadā yīśuḥ śiṣyān āhūya kathitavān yuṣmānahaṁ yathārthaṁ vadāmi yē yē bhāṇḍāgārē'smina dhanāni niḥkṣipanti sma tēbhyaḥ sarvvēbhya iyaṁ vidhavā daridrādhikam niḥkṣipati sma|
MRK.12.44	yatastē prabhūtadhanasya kiñcit nirakṣipan kintu dīnēyaṁ svadinayāpanayōgyaṁ kiñcidapi na sthāpayitvā sarvvasvaṁ nirakṣipat|
MRK.13.1	anantaraṁ mandirād bahirgamanakālē tasya śiṣyāṇāmēkastaṁ vyāhr̥tavān hē gurō paśyatu kīdr̥śāḥ pāṣāṇāḥ kīdr̥k ca nicayanaṁ|
MRK.13.2	tadā yīśustam avadat tvaṁ kimētad br̥hannicayanaṁ paśyasi? asyaikapāṣāṇōpi dvitīyapāṣāṇōpari na sthāsyati sarvvē 'dhaḥkṣēpsyantē|
MRK.13.3	atha yasmin kālē jaitungirau mandirasya sammukhē sa samupaviṣṭastasmin kālē pitarō yākūb yōhan āndriyaścaitē taṁ rahasi papracchuḥ,
MRK.13.4	ētā ghaṭanāḥ kadā bhaviṣyanti? tathaitatsarvvāsāṁ siddhyupakramasya vā kiṁ cihnaṁ? tadasmabhyaṁ kathayatu bhavān|
MRK.13.5	tatō yāśustān vaktumārēbhē, kōpi yathā yuṣmān na bhrāmayati tathātra yūyaṁ sāvadhānā bhavata|
MRK.13.6	yataḥ khrīṣṭōhamiti kathayitvā mama nāmnānēkē samāgatya lōkānāṁ bhramaṁ janayiṣyanti;
MRK.13.7	kintu yūyaṁ raṇasya vārttāṁ raṇāḍambarañca śrutvā mā vyākulā bhavata, ghaṭanā ētā avaśyammāvinyaḥ; kintvāpātatō na yugāntō bhaviṣyati|
MRK.13.8	dēśasya vipakṣatayā dēśō rājyasya vipakṣatayā ca rājyamutthāsyati, tathā sthānē sthānē bhūmikampō durbhikṣaṁ mahāklēśāśca samupasthāsyanti, sarvva ētē duḥkhasyārambhāḥ|
MRK.13.9	kintu yūyam ātmārthē sāvadhānāstiṣṭhata, yatō lōkā rājasabhāyāṁ yuṣmān samarpayiṣyanti, tathā bhajanagr̥hē prahariṣyanti; yūyaṁ madarthē dēśādhipān bhūpāṁśca prati sākṣyadānāya tēṣāṁ sammukhē upasthāpayiṣyadhvē|
MRK.13.10	śēṣībhavanāt pūrvvaṁ sarvvān dēśīyān prati susaṁvādaḥ pracārayiṣyatē|
MRK.13.11	kintu yadā tē yuṣmān dhr̥tvā samarpayiṣyanti tadā yūyaṁ yadyad uttaraṁ dāsyatha, tadagra tasya vivēcanaṁ mā kuruta tadarthaṁ kiñcidapi mā cintayata ca, tadānīṁ yuṣmākaṁ manaḥsu yadyad vākyam upasthāpayiṣyatē tadēva vadiṣyatha, yatō yūyaṁ na tadvaktāraḥ kintu pavitra ātmā tasya vaktā|
MRK.13.12	tadā bhrātā bhrātaraṁ pitā putraṁ ghātanārthaṁ parahastēṣu samarpayiṣyatē, tathā patyāni mātāpitrō rvipakṣatayā tau ghātayiṣyanti|
MRK.13.13	mama nāmahētōḥ sarvvēṣāṁ savidhē yūyaṁ jugupsitā bhaviṣyatha, kintu yaḥ kaścit śēṣaparyyantaṁ dhairyyam ālambiṣyatē saēva paritrāsyatē|
MRK.13.14	dāniyēlbhaviṣyadvādinā prōktaṁ sarvvanāśi jugupsitañca vastu yadā tvayōgyasthānē vidyamānaṁ drakṣatha (yō janaḥ paṭhati sa budhyatāṁ) tadā yē yihūdīyadēśē tiṣṭhanti tē mahīdhraṁ prati palāyantāṁ;
MRK.13.15	tathā yō narō gr̥hōpari tiṣṭhati sa gr̥hamadhyaṁ nāvarōhatu, tathā kimapi vastu grahītuṁ madhyēgr̥haṁ na praviśatu;
MRK.13.16	tathā ca yō naraḥ kṣētrē tiṣṭhati sōpi svavastraṁ grahītuṁ parāvr̥tya na vrajatu|
MRK.13.17	tadānīṁ garbbhavatīnāṁ stanyadātrīṇāñca yōṣitāṁ durgati rbhaviṣyati|
MRK.13.18	yuṣmākaṁ palāyanaṁ śītakālē yathā na bhavati tadarthaṁ prārthayadhvaṁ|
MRK.13.19	yatastadā yādr̥śī durghaṭanā ghaṭiṣyatē tādr̥śī durghaṭanā īśvarasr̥ṣṭēḥ prathamamārabhyādya yāvat kadāpi na jātā na janiṣyatē ca|
MRK.13.20	aparañca paramēśvarō yadi tasya samayasya saṁkṣēpaṁ na karōti tarhi kasyāpi prāṇabhr̥tō rakṣā bhavituṁ na śakṣyati, kintu yān janān manōnītān akarōt tēṣāṁ svamanōnītānāṁ hētōḥ sa tadanēhasaṁ saṁkṣēpsyati|
MRK.13.21	anyacca paśyata khrīṣṭōtra sthānē vā tatra sthānē vidyatē, tasminkālē yadi kaścid yuṣmān ētādr̥śaṁ vākyaṁ vyāharati, tarhi tasmin vākyē bhaiva viśvasita|
MRK.13.22	yatōnēkē mithyākhrīṣṭā mithyābhaviṣyadvādinaśca samupasthāya bahūni cihnānyadbhutāni karmmāṇi ca darśayiṣyanti; tathā yadi sambhavati tarhi manōnītalōkānāmapi mithyāmatiṁ janayiṣyanti|
MRK.13.23	paśyata ghaṭanātaḥ pūrvvaṁ sarvvakāryyasya vārttāṁ yuṣmabhyamadām, yūyaṁ sāvadhānāstiṣṭhata|
MRK.13.24	aparañca tasya klēśakālasyāvyavahitē parakālē bhāskaraḥ sāndhakārō bhaviṣyati tathaiva candraścandrikāṁ na dāsyati|
MRK.13.25	nabhaḥsthāni nakṣatrāṇi patiṣyanti, vyōmamaṇḍalasthā grahāśca vicaliṣyanti|
MRK.13.26	tadānīṁ mahāparākramēṇa mahaiśvaryyēṇa ca mēghamāruhya samāyāntaṁ mānavasutaṁ mānavāḥ samīkṣiṣyantē|
MRK.13.27	anyacca sa nijadūtān prahitya nabhōbhūmyōḥ sīmāṁ yāvad jagataścaturdigbhyaḥ svamanōnītalōkān saṁgrahīṣyati|
MRK.13.28	uḍumbaratarō rdr̥ṣṭāntaṁ śikṣadhvaṁ yadōḍumbarasya tarō rnavīnāḥ śākhā jāyantē pallavādīni ca rnigacchanti, tadā nidāghakālaḥ savidhō bhavatīti yūyaṁ jñātuṁ śaknutha|
MRK.13.29	tadvad ētā ghaṭanā dr̥ṣṭvā sa kālō dvāryyupasthita iti jānīta|
MRK.13.30	yuṣmānahaṁ yathārthaṁ vadāmi, ādhunikalōkānāṁ gamanāt pūrvvaṁ tāni sarvvāṇi ghaṭiṣyantē|
MRK.13.31	dyāvāpr̥thivyō rvicalitayōḥ satyō rmadīyā vāṇī na vicaliṣyati|
MRK.13.32	aparañca svargasthadūtagaṇō vā putrō vā tātādanyaḥ kōpi taṁ divasaṁ taṁ daṇḍaṁ vā na jñāpayati|
MRK.13.33	ataḥ sa samayaḥ kadā bhaviṣyati, ētajjñānābhāvād yūyaṁ sāvadhānāstiṣṭhata, satarkāśca bhūtvā prārthayadhvaṁ;
MRK.13.34	yadvat kaścit pumān svanivēśanād dūradēśaṁ prati yātrākaraṇakālē dāsēṣu svakāryyasya bhāramarpayitvā sarvvān svē svē karmmaṇi niyōjayati; aparaṁ dauvārikaṁ jāgarituṁ samādiśya yāti, tadvan naraputraḥ|
MRK.13.35	gr̥hapatiḥ sāyaṁkālē niśīthē vā tr̥tīyayāmē vā prātaḥkālē vā kadāgamiṣyati tad yūyaṁ na jānītha;
MRK.13.36	sa haṭhādāgatya yathā yuṣmān nidritān na paśyati, tadarthaṁ jāgaritāstiṣṭhata|
MRK.13.37	yuṣmānahaṁ yad vadāmi tadēva sarvvān vadāmi, jāgaritāstiṣṭhatēti|
MRK.14.1	tadā nistārōtsavakiṇvahīnapūpōtsavayōrārambhasya dinadvayē 'vaśiṣṭē pradhānayājakā adhyāpakāśca kēnāpi chalēna yīśuṁ dharttāṁ hantuñca mr̥gayāñcakrirē;
