MAT.1.1	ibrAhImaH santAno dAyUd tasya santAno yIzukhrISTastasya pUrvvapuruSavaMzazreNI|
LUK.10.16	yo jano yuSmAkaM vAkyaM gRhlAti sa mamaiva vAkyaM gRhlAti; kiJca yo jano yuSmAkam avajJAM karoti sa mamaivAvajJAM karoti; yo jano mamAvajJAM karoti ca sa matprerakasyaivAvajJAM karoti|
LUK.10.17	atha te saptatiziSyA Anandena pratyAgatya kathayAmAsuH, he prabho bhavato nAmnA bhUtA apyasmAkaM vazIbhavanti|
LUK.10.18	tadAnIM sa tAn jagAda, vidyutamiva svargAt patantaM zaitAnam adarzam|
LUK.10.19	pazyata sarpAn vRzcikAn ripoH sarvvaparAkramAMzca padatalai rdalayituM yuSmabhyaM zaktiM dadAmi tasmAd yuSmAkaM kApi hAni rna bhaviSyati|
LUK.10.20	bhUtA yuSmAkaM vazIbhavanti, etannimittat mA samullasata, svarge yuSmAkaM nAmAni likhitAni santIti nimittaM samullasata|
LUK.10.21	tadghaTikAyAM yIzu rmanasi jAtAhlAdaH kathayAmAsa he svargapRthivyorekAdhipate pitastvaM jJAnavatAM viduSAJca lokAnAM purastAt sarvvametad aprakAzya bAlakAnAM purastAt prAkAzaya etasmAddhetostvAM dhanyaM vadAmi, he pitaritthaM bhavatu yad etadeva tava gocara uttamam|
LUK.10.22	pitrA sarvvANi mayi samarpitAni pitaraM vinA kopi putraM na jAnAti kiJca putraM vinA yasmai janAya putrastaM prakAzitavAn taJca vinA kopi pitaraM na jAnAti|
LUK.10.23	tapaH paraM sa ziSyAn prati parAvRtya guptaM jagAda, yUyametAni sarvvANi pazyatha tato yuSmAkaM cakSUMSi dhanyAni|
LUK.10.24	yuSmAnahaM vadAmi, yUyaM yAni sarvvANi pazyatha tAni bahavo bhaviSyadvAdino bhUpatayazca draSTumicchantopi draSTuM na prApnuvan, yuSmAbhi ryA yAH kathAzca zrUyante tAH zrotumicchantopi zrotuM nAlabhanta|
LUK.10.25	anantaram eko vyavasthApaka utthAya taM parIkSituM papraccha, he upadezaka anantAyuSaH prAptaye mayA kiM karaNIyaM?
LUK.10.26	yIzuH pratyuvAca, atrArthe vyavasthAyAM kiM likhitamasti? tvaM kIdRk paThasi?
LUK.10.27	tataH sovadat, tvaM sarvvAntaHkaraNaiH sarvvaprANaiH sarvvazaktibhiH sarvvacittaizca prabhau paramezvare prema kuru, samIpavAsini svavat prema kuru ca|
LUK.10.28	tadA sa kathayAmAsa, tvaM yathArthaM pratyavocaH, ittham Acara tenaiva jIviSyasi|
LUK.10.29	kintu sa janaH svaM nirddoSaM jJApayituM yIzuM papraccha, mama samIpavAsI kaH? tato yIzuH pratyuvAca,
LUK.10.30	eko jano yirUzAlampurAd yirIhopuraM yAti, etarhi dasyUnAM kareSu patite te tasya vastrAdikaM hRtavantaH tamAhatya mRtaprAyaM kRtvA tyaktvA yayuH|
LUK.10.31	akasmAd eko yAjakastena mArgeNa gacchan taM dRSTvA mArgAnyapArzvena jagAma|
LUK.10.32	ittham eko levIyastatsthAnaM prApya tasyAntikaM gatvA taM vilokyAnyena pArzvena jagAma|
LUK.10.33	kintvekaH zomiroNIyo gacchan tatsthAnaM prApya taM dRSTvAdayata|
LUK.10.34	tasyAntikaM gatvA tasya kSateSu tailaM drAkSArasaJca prakSipya kSatAni baddhvA nijavAhanopari tamupavezya pravAsIyagRham AnIya taM siSeve|
LUK.10.35	parasmin divase nijagamanakAle dvau mudrApAdau tadgRhasvAmine dattvAvadat janamenaM sevasva tatra yo'dhiko vyayo bhaviSyati tamahaM punarAgamanakAle parizotsyAmi|
LUK.10.36	eSAM trayANAM madhye tasya dasyuhastapatitasya janasya samIpavAsI kaH? tvayA kiM budhyate?
LUK.10.37	tataH sa vyavasthApakaH kathayAmAsa yastasmin dayAM cakAra| tadA yIzuH kathayAmAsa tvamapi gatvA tathAcara|
LUK.10.38	tataH paraM te gacchanta ekaM grAmaM pravivizuH; tadA marthAnAmA strI svagRhe tasyAtithyaM cakAra|
LUK.10.39	tasmAt mariyam nAmadheyA tasyA bhaginI yIzoH padasamIpa uvavizya tasyopadezakathAM zrotumArebhe|
LUK.10.40	kintu marthA nAnAparicaryyAyAM vyagrA babhUva tasmAddhetostasya samIpamAgatya babhASe; he prabho mama bhaginI kevalaM mamopari sarvvakarmmaNAM bhAram arpitavatI tatra bhavatA kiJcidapi na mano nidhIyate kim? mama sAhAyyaM karttuM bhavAn tAmAdizatu|
LUK.10.41	tato yIzuH pratyuvAca he marthe he marthe, tvaM nAnAkAryyeSu cintitavatI vyagrA cAsi,
LUK.10.42	kintu prayojanIyam ekamAtram Aste| aparaJca yamuttamaM bhAgaM kopi harttuM na zaknoti saeva mariyamA vRtaH|
LUK.11.1	anantaraM sa kasmiMzcit sthAne prArthayata tatsamAptau satyAM tasyaikaH ziSyastaM jagAda he prabho yohan yathA svaziSyAn prArthayitum upadiSTavAn tathA bhavAnapyasmAn upadizatu|
LUK.11.2	tasmAt sa kathayAmAsa, prArthanakAle yUyam itthaM kathayadhvaM, he asmAkaM svargasthapitastava nAma pUjyaM bhavatu; tava rAjatvaM bhavatu; svarge yathA tathA pRthivyAmapi tavecchayA sarvvaM bhavatu|
LUK.11.3	pratyaham asmAkaM prayojanIyaM bhojyaM dehi|
LUK.11.4	yathA vayaM sarvvAn aparAdhinaH kSamAmahe tathA tvamapi pApAnyasmAkaM kSamasva| asmAn parIkSAM mAnaya kintu pApAtmano rakSa|
LUK.11.5	pazcAt soparamapi kathitavAn yadi yuSmAkaM kasyacid bandhustiSThati nizIthe ca tasya samIpaM sa gatvA vadati,
LUK.11.6	he bandho pathika eko bandhu rmama nivezanam AyAtaH kintu tasyAtithyaM karttuM mamAntike kimapi nAsti, ataeva pUpatrayaM mahyam RNaM dehi;
LUK.11.7	tadA sa yadi gRhamadhyAt prativadati mAM mA klizAna, idAnIM dvAraM ruddhaM zayane mayA saha bAlakAzca tiSThanti tubhyaM dAtum utthAtuM na zaknomi,
LUK.11.8	tarhi yuSmAnahaM vadAmi, sa yadi mitratayA tasmai kimapi dAtuM nottiSThati tathApi vAraM vAraM prArthanAta utthApitaH san yasmin tasya prayojanaM tadeva dAsyati|
LUK.11.9	ataH kAraNAt kathayAmi, yAcadhvaM tato yuSmabhyaM dAsyate, mRgayadhvaM tata uddezaM prApsyatha, dvAram Ahata tato yuSmabhyaM dvAraM mokSyate|
LUK.11.10	yo yAcate sa prApnoti, yo mRgayate sa evoddezaM prApnoti, yo dvAram Ahanti tadarthaM dvAraM mocyate|
LUK.11.11	putreNa pUpe yAcite tasmai pASANaM dadAti vA matsye yAcite tasmai sarpaM dadAti
LUK.11.12	vA aNDe yAcite tasmai vRzcikaM dadAti yuSmAkaM madhye ka etAdRzaH pitAste?
LUK.11.13	tasmAdeva yUyamabhadrA api yadi svasvabAlakebhya uttamAni dravyANi dAtuM jAnItha tarhyasmAkaM svargasthaH pitA nijayAcakebhyaH kiM pavitram AtmAnaM na dAsyati?
LUK.11.14	anantaraM yIzunA kasmAccid ekasmin mUkabhUte tyAjite sati sa bhUtatyakto mAnuSo vAkyaM vaktum Arebhe; tato lokAH sakalA AzcaryyaM menire|
LUK.11.15	kintu teSAM kecidUcu rjanoyaM bAlasibUbA arthAd bhUtarAjena bhUtAn tyAjayati|
LUK.11.16	taM parIkSituM kecid AkAzIyam ekaM cihnaM darzayituM taM prArthayAJcakrire|
LUK.11.17	tadA sa teSAM manaHkalpanAM jJAtvA kathayAmAsa, kasyacid rAjyasya lokA yadi parasparaM virundhanti tarhi tad rAjyam nazyati; kecid gRhasthA yadi parasparaM virundhanti tarhi tepi nazyanti|
LUK.11.18	tathaiva zaitAnapi svalokAn yadi viruNaddhi tadA tasya rAjyaM kathaM sthAsyati? bAlasibUbAhaM bhUtAn tyAjayAmi yUyamiti vadatha|
LUK.11.19	yadyahaM bAlasibUbA bhUtAn tyAjayAmi tarhi yuSmAkaM santAnAH kena tyAjayanti? tasmAt taeva kathAyA etasyA vicArayitAro bhaviSyanti|
LUK.11.20	kintu yadyaham Izvarasya parAkrameNa bhUtAn tyAjayAmi tarhi yuSmAkaM nikaTam Izvarasya rAjyamavazyam upatiSThati|
LUK.11.21	balavAn pumAn susajjamAno yatikAlaM nijATTAlikAM rakSati tatikAlaM tasya dravyaM nirupadravaM tiSThati|
LUK.11.22	kintu tasmAd adhikabalaH kazcidAgatya yadi taM jayati tarhi yeSu zastrAstreSu tasya vizvAsa AsIt tAni sarvvANi hRtvA tasya dravyANi gRhlAti|
LUK.11.23	ataH kAraNAd yo mama sapakSo na sa vipakSaH, yo mayA saha na saMgRhlAti sa vikirati|
LUK.11.24	aparaJca amedhyabhUto mAnuSasyAntarnirgatya zuSkasthAne bhrAntvA vizrAmaM mRgayate kintu na prApya vadati mama yasmAd gRhAd AgatohaM punastad gRhaM parAvRtya yAmi|
LUK.11.25	tato gatvA tad gRhaM mArjitaM zobhitaJca dRSTvA
LUK.11.26	tatkSaNam apagatya svasmAdapi durmmatIn aparAn saptabhUtAn sahAnayati te ca tadgRhaM pavizya nivasanti| tasmAt tasya manuSyasya prathamadazAtaH zeSadazA duHkhatarA bhavati|
LUK.11.27	asyAH kathAyAH kathanakAle janatAmadhyasthA kAcinnArI tamuccaiHsvaraM provAca, yA yoSit tvAM garbbhe'dhArayat stanyamapAyayacca saiva dhanyA|
LUK.11.28	kintu sokathayat ye paramezvarasya kathAM zrutvA tadanurUpam Acaranti taeva dhanyAH|
LUK.11.29	tataH paraM tasyAntike bahulokAnAM samAgame jAte sa vaktumArebhe, AdhunikA duSTalokAzcihnaM draSTumicchanti kintu yUnasbhaviSyadvAdinazcihnaM vinAnyat kiJciccihnaM tAn na darzayiSyate|
LUK.11.30	yUnas tu yathA nInivIyalokAnAM samIpe cihnarUpobhavat tathA vidyamAnalokAnAm eSAM samIpe manuSyaputropi cihnarUpo bhaviSyati|
LUK.11.31	vicArasamaye idAnIntanalokAnAM prAtikUlyena dakSiNadezIyA rAjJI protthAya tAn doSiNaH kariSyati, yataH sA rAjJI sulemAna upadezakathAM zrotuM pRthivyAH sImAta Agacchat kintu pazyata sulemAnopi gurutara eko jano'smin sthAne vidyate|
LUK.11.32	aparaJca vicArasamaye nInivIyalokA api varttamAnakAlikAnAM lokAnAM vaiparItyena protthAya tAn doSiNaH kariSyanti, yato hetoste yUnaso vAkyAt cittAni parivarttayAmAsuH kintu pazyata yUnasotigurutara eko jano'smin sthAne vidyate|
LUK.11.33	pradIpaM prajvAlya droNasyAdhaH kutrApi guptasthAne vA kopi na sthApayati kintu gRhapravezibhyo dIptiM dAtaM dIpAdhAroparyyeva sthApayati|
LUK.11.34	dehasya pradIpazcakSustasmAdeva cakSu ryadi prasannaM bhavati tarhi tava sarvvazarIraM dIptimad bhaviSyati kintu cakSu ryadi malImasaM tiSThati tarhi sarvvazarIraM sAndhakAraM sthAsyati|
LUK.11.35	asmAt kAraNAt tavAntaHsthaM jyoti ryathAndhakAramayaM na bhavati tadarthe sAvadhAno bhava|
LUK.11.36	yataH zarIrasya kutrApyaMze sAndhakAre na jAte sarvvaM yadi dIptimat tiSThati tarhi tubhyaM dIptidAyiprojjvalan pradIpa iva tava savarvazarIraM dIptimad bhaviSyati|
LUK.11.37	etatkathAyAH kathanakAle phiruzyeko bhejanAya taM nimantrayAmAsa, tataH sa gatvA bhoktum upaviveza|
LUK.11.38	kintu bhojanAt pUrvvaM nAmAGkSIt etad dRSTvA sa phiruzyAzcaryyaM mene|
LUK.11.39	tadA prabhustaM provAca yUyaM phirUzilokAH pAnapAtrANAM bhojanapAtrANAJca bahiH pariSkurutha kintu yuSmAkamanta rdaurAtmyai rduSkriyAbhizca paripUrNaM tiSThati|
LUK.11.40	he sarvve nirbodhA yo bahiH sasarja sa eva kimanta rna sasarja?
LUK.11.41	tata eva yuSmAbhirantaHkaraNaM (IzvarAya) nivedyatAM tasmin kRte yuSmAkaM sarvvANi zucitAM yAsyanti|
LUK.11.42	kintu hanta phirUzigaNA yUyaM nyAyam Izvare prema ca parityajya podinAyA arudAdInAM sarvveSAM zAkAnAJca dazamAMzAn dattha kintu prathamaM pAlayitvA zeSasyAlaGghanaM yuSmAkam ucitamAsIt|
LUK.11.43	hA hA phirUzino yUyaM bhajanagehe proccAsane ApaNeSu ca namaskAreSu prIyadhve|
LUK.11.44	vata kapaTino'dhyApakAH phirUzinazca lokAyat zmazAnam anupalabhya tadupari gacchanti yUyam tAdRgaprakAzitazmazAnavAd bhavatha|
LUK.11.45	tadAnIM vyavasthApakAnAm ekA yIzumavadat, he upadezaka vAkyenedRzenAsmAsvapi doSam Aropayasi|
LUK.11.46	tataH sa uvAca, hA hA vyavasthApakA yUyam mAnuSANAm upari duHsahyAn bhArAn nyasyatha kintu svayam ekAGguुlyApi tAn bhArAn na spRzatha|
LUK.11.47	hanta yuSmAkaM pUrvvapuruSA yAn bhaviSyadvAdino'vadhiSusteSAM zmazAnAni yUyaM nirmmAtha|
LUK.11.48	tenaiva yUyaM svapUrvvapuruSANAM karmmANi saMmanyadhve tadeva sapramANaM kurutha ca, yataste tAnavadhiSuH yUyaM teSAM zmazAnAni nirmmAtha|
LUK.11.49	ataeva Izvarasya zAstre proktamasti teSAmantike bhaviSyadvAdinaH preritAMzca preSayiSyAmi tataste teSAM kAMzcana haniSyanti kAMzcana tADazSyinti|
LUK.11.50	etasmAt kAraNAt hAbilaH zoNitapAtamArabhya mandirayajJavedyo rmadhye hatasya sikhariyasya raktapAtaparyyantaM
LUK.11.51	jagataH sRSTimArabhya pRthivyAM bhaviSyadvAdinAM yatiraktapAtA jAtAstatInAm aparAdhadaNDA eSAM varttamAnalokAnAM bhaviSyanti, yuSmAnahaM nizcitaM vadAmi sarvve daNDA vaMzasyAsya bhaviSyanti|
LUK.11.52	hA hA vyavasthapakA yUyaM jJAnasya kuJcikAM hRtvA svayaM na praviSTA ye praveSTuJca prayAsinastAnapi praveSTuM vAritavantaH|
LUK.11.53	itthaM kathAkathanAd adhyApakAH phirUzinazca satarkAH
LUK.11.54	santastamapavadituM tasya kathAyA doSaM dharttamicchanto nAnAkhyAnakathanAya taM pravarttayituM kopayituJca prArebhire|
LUK.12.1	tadAnIM lokAH sahasraM sahasram Agatya samupasthitAstata ekaiko 'nyeSAmupari patitum upacakrame; tadA yIzuH ziSyAn babhASe, yUyaM phirUzinAM kiNvarUpakApaTye vizeSeNa sAvadhAnAstiSThata|
LUK.12.2	yato yanna prakAzayiSyate tadAcchannaM vastu kimapi nAsti; tathA yanna jJAsyate tad guptaM vastu kimapi nAsti|
LUK.12.3	andhakAre tiSThanato yAH kathA akathayata tAH sarvvAH kathA dIptau zroSyante nirjane karNe ca yadakathayata gRhapRSThAt tat pracArayiSyate|
LUK.12.4	he bandhavo yuSmAnahaM vadAmi, ye zarIrasya nAzaM vinA kimapyaparaM karttuM na zakruvanti tebhyo mA bhaiSTa|
LUK.12.5	tarhi kasmAd bhetavyam ityahaM vadAmi, yaH zarIraM nAzayitvA narakaM nikSeptuM zaknoti tasmAdeva bhayaM kuruta, punarapi vadAmi tasmAdeva bhayaM kuruta|
LUK.12.6	paJca caTakapakSiNaH kiM dvAbhyAM tAmrakhaNDAbhyAM na vikrIyante? tathApIzvarasteSAm ekamapi na vismarati|
LUK.12.7	yuSmAkaM ziraHkezA api gaNitAH santi tasmAt mA vibhIta bahucaTakapakSibhyopi yUyaM bahumUlyAH|
LUK.12.8	aparaM yuSmabhyaM kathayAmi yaH kazcin mAnuSANAM sAkSAn mAM svIkaroti manuSyaputra IzvaradUtAnAM sAkSAt taM svIkariSyati|
LUK.12.9	kintu yaH kazcinmAnuSANAM sAkSAnmAm asvIkaroti tam Izvarasya dUtAnAM sAkSAd aham asvIkariSyAmi|
LUK.12.10	anyacca yaH kazcin manujasutasya nindAbhAvena kAJcit kathAM kathayati tasya tatpApasya mocanaM bhaviSyati kintu yadi kazcit pavitram AtmAnaM nindati tarhi tasya tatpApasya mocanaM na bhaviSyati|
LUK.12.11	yadA lokA yuSmAn bhajanagehaM vicArakartRrAjyakartRNAM sammukhaJca neSyanti tadA kena prakAreNa kimuttaraM vadiSyatha kiM kathayiSyatha cetyatra mA cintayata;
LUK.12.12	yato yuSmAbhiryad yad vaktavyaM tat tasmin samayaeva pavitra AtmA yuSmAn zikSayiSyati|
LUK.12.13	tataH paraM janatAmadhyasthaH kazcijjanastaM jagAda he guro mayA saha paitRkaM dhanaM vibhaktuM mama bhrAtaramAjJApayatu bhavAn|
LUK.12.14	kintu sa tamavadat he manuSya yuvayo rvicAraM vibhAgaJca karttuM mAM ko niyuktavAn?
LUK.12.15	anantaraM sa lokAnavadat lobhe sAvadhAnAH satarkAzca tiSThata, yato bahusampattiprAptyA manuSyasyAyu rna bhavati|
LUK.12.16	pazcAd dRSTAntakathAmutthApya kathayAmAsa, ekasya dhanino bhUmau bahUni zasyAni jAtAni|
LUK.12.17	tataH sa manasA cintayitvA kathayAmbabhUva mamaitAni samutpannAni dravyANi sthApayituM sthAnaM nAsti kiM kariSyAmi?
LUK.12.18	tatovadad itthaM kariSyAmi, mama sarvvabhANDAgArANi bhaGktvA bRhadbhANDAgArANi nirmmAya tanmadhye sarvvaphalAni dravyANi ca sthApayiSyAmi|
LUK.12.19	aparaM nijamano vadiSyAmi, he mano bahuvatsarArthaM nAnAdravyANi saJcitAni santi vizrAmaM kuru bhuktvA pItvA kautukaJca kuru| kintvIzvarastam avadat,
LUK.12.20	re nirbodha adya rAtrau tava prANAstvatto neSyante tata etAni yAni dravyANi tvayAsAditAni tAni kasya bhaviSyanti?
LUK.12.21	ataeva yaH kazcid Izvarasya samIpe dhanasaJcayamakRtvA kevalaM svanikaTe saJcayaM karoti sopi tAdRzaH|
LUK.12.22	atha sa ziSyebhyaH kathayAmAsa, yuSmAnahaM vadAmi, kiM khAdiSyAmaH? kiM paridhAsyAmaH? ityuktvA jIvanasya zarIrasya cArthaM cintAM mA kArSTa|
LUK.12.23	bhakSyAjjIvanaM bhUSaNAccharIraJca zreSThaM bhavati|
LUK.12.24	kAkapakSiNAM kAryyaM vicArayata, te na vapanti zasyAni ca na chindanti, teSAM bhANDAgArANi na santi koSAzca na santi, tathApIzvarastebhyo bhakSyANi dadAti, yUyaM pakSibhyaH zreSThatarA na kiM?
LUK.12.25	aparaJca bhAvayitvA nijAyuSaH kSaNamAtraM varddhayituM zaknoti, etAdRzo lAko yuSmAkaM madhye kosti?
LUK.12.26	ataeva kSudraM kAryyaM sAdhayitum asamarthA yUyam anyasmin kAryye kuto bhAvayatha?
LUK.12.27	anyacca kAmpilapuSpaM kathaM varddhate tadApi vicArayata, tat kaJcana zramaM na karoti tantUMzca na janayati kintu yuSmabhyaM yathArthaM kathayAmi sulemAn bahvaizvaryyAnvitopi puSpasyAsya sadRzo vibhUSito nAsIt|
LUK.12.28	adya kSetre varttamAnaM zvazcUllyAM kSepsyamAnaM yat tRNaM, tasmai yadIzvara itthaM bhUSayati tarhi he alpapratyayino yuSmAna kiM na paridhApayiSyati?
LUK.12.29	ataeva kiM khAdiSyAmaH? kiM paridhAsyAmaH? etadarthaM mA ceSTadhvaM mA saMdigdhvaJca|
LUK.12.30	jagato devArccakA etAni sarvvANi ceSTanate; eSu vastuSu yuSmAkaM prayojanamAste iti yuSmAkaM pitA jAnAti|
LUK.12.31	ataevezvarasya rAjyArthaM saceSTA bhavata tathA kRte sarvvANyetAni dravyANi yuSmabhyaM pradAyiSyante|
LUK.12.32	he kSudrameSavraja yUyaM mA bhaiSTa yuSmabhyaM rAjyaM dAtuM yuSmAkaM pituH sammatirasti|
LUK.12.33	ataeva yuSmAkaM yA yA sampattirasti tAM tAM vikrIya vitarata, yat sthAnaM caurA nAgacchanti, kITAzca na kSAyayanti tAdRze svarge nijArtham ajare sampuTake 'kSayaM dhanaM saJcinuta ca;
LUK.12.34	yato yatra yuSmAkaM dhanaM varttate tatreva yuSmAkaM manaH|
LUK.12.35	aparaJca yUyaM pradIpaM jvAlayitvA baddhakaTayastiSThata;
LUK.12.36	prabhu rvivAhAdAgatya yadaiva dvAramAhanti tadaiva dvAraM mocayituM yathA bhRtyA apekSya tiSThanti tathA yUyamapi tiSThata|
LUK.12.37	yataH prabhurAgatya yAn dAsAn sacetanAn tiSThato drakSyati taeva dhanyAH; ahaM yuSmAn yathArthaM vadAmi prabhustAn bhojanArtham upavezya svayaM baddhakaTiH samIpametya pariveSayiSyati|
LUK.12.38	yadi dvitIye tRtIye vA prahare samAgatya tathaiva pazyati, tarhi taeva dAsA dhanyAH|
LUK.12.39	aparaJca kasmin kSaNe caurA AgamiSyanti iti yadi gRhapati rjJAtuM zaknoti tadAvazyaM jAgran nijagRhe sandhiM karttayituM vArayati yUyametad vitta|
LUK.12.40	ataeva yUyamapi sajjamAnAstiSThata yato yasmin kSaNe taM nAprekSadhve tasminneva kSaNe manuSyaputra AgamiSyati|
LUK.12.41	tadA pitaraH papraccha, he prabho bhavAn kimasmAn uddizya kiM sarvvAn uddizya dRSTAntakathAmimAM vadati?
LUK.12.42	tataH prabhuH provAca, prabhuH samucitakAle nijaparivArArthaM bhojyapariveSaNAya yaM tatpade niyokSyati tAdRzo vizvAsyo boddhA karmmAdhIzaH kosti?
LUK.12.43	prabhurAgatya yam etAdRze karmmaNi pravRttaM drakSyati saeva dAso dhanyaH|
LUK.12.44	ahaM yuSmAn yathArthaM vadAmi sa taM nijasarvvasvasyAdhipatiM kariSyati|
LUK.12.45	kintu prabhurvilambenAgamiSyati, iti vicintya sa dAso yadi tadanyadAsIdAsAn praharttum bhoktuM pAtuM madituJca prArabhate,
LUK.12.46	tarhi yadA prabhuM nApekSiSyate yasmin kSaNe so'cetanazca sthAsyati tasminneva kSaNe tasya prabhurAgatya taM padabhraSTaM kRtvA vizvAsahInaiH saha tasya aMzaM nirUpayiSyati|
LUK.12.47	yo dAsaH prabheाrAjJAM jJAtvApi sajjito na tiSThati tadAjJAnusAreNa ca kAryyaM na karoti sonekAn prahArAn prApsyati;
LUK.12.48	kintu yo jano'jJAtvA prahArArhaM karmma karoti solpaprahArAn prApsyati| yato yasmai bAhulyena dattaM tasmAdeva bAhulyena grahISyate, mAnuSA yasya nikaTe bahu samarpayanti tasmAd bahu yAcante|
LUK.12.49	ahaM pRthivyAm anaikyarUpaM vahni nikSeptum Agatosmi, sa ced idAnImeva prajvalati tatra mama kA cintA?
LUK.12.50	kintu yena majjanenAhaM magno bhaviSyAmi yAvatkAlaM tasya siddhi rna bhaviSyati tAvadahaM katikaSTaM prApsyAmi|
LUK.12.51	melanaM karttuM jagad Agatosmi yUyaM kimitthaM bodhadhve? yuSmAn vadAmi na tathA, kintvahaM melanAbhAvaM karttuMm Agatosmi|
LUK.12.52	yasmAdetatkAlamArabhya ekatrasthaparijanAnAM madhye paJcajanAH pRthag bhUtvA trayo janA dvayorjanayoH pratikUlA dvau janau ca trayANAM janAnAM pratikUlau bhaviSyanti|
LUK.12.53	pitA putrasya vipakSaH putrazca pitu rvipakSo bhaviSyati mAtA kanyAyA vipakSA kanyA ca mAtu rvipakSA bhaviSyati, tathA zvazrUrbadhvA vipakSA badhUzca zvazrvA vipakSA bhaviSyati|
LUK.12.54	sa lokebhyoparamapi kathayAmAsa, pazcimadizi meghodgamaM dRSTvA yUyaM haThAd vadatha vRSTi rbhaviSyati tatastathaiva jAyate|
LUK.12.55	aparaM dakSiNato vAyau vAti sati vadatha nidAgho bhaviSyati tataH sopi jAyate|
LUK.12.56	re re kapaTina AkAzasya bhUmyAzca lakSaNaM boddhuM zaknutha,
LUK.12.57	kintu kAlasyAsya lakSaNaM kuto boddhuM na zaknutha? yUyaJca svayaM kuto na nyASyaM vicArayatha?
LUK.12.58	aparaJca vivAdinA sArddhaM vicArayituH samIpaM gacchan pathi tasmAduddhAraM prAptuM yatasva nocet sa tvAM dhRtvA vicArayituH samIpaM nayati| vicArayitA yadi tvAM praharttuH samIpaM samarpayati praharttA tvAM kArAyAM badhnAti
LUK.12.59	tarhi tvAmahaM vadAmi tvayA niHzeSaM kapardakeSu na parizodhiteSu tvaM tato muktiM prAptuM na zakSyasi|
LUK.13.1	aparaJca pIlAto yeSAM gAlIlIyAnAM raktAni balInAM raktaiH sahAmizrayat teSAM gAlIlIyAnAM vRttAntaM katipayajanA upasthApya yIzave kathayAmAsuH|
LUK.13.2	tataH sa pratyuvAca teSAM lokAnAm etAdRzI durgati rghaTitA tatkAraNAd yUyaM kimanyebhyo gAlIlIyebhyopyadhikapApinastAn bodhadhve?
LUK.13.3	yuSmAnahaM vadAmi tathA na kintu manaHsu na parAvarttiteSu yUyamapi tathA naMkSyatha|
LUK.13.4	aparaJca zIlohanAmna uccagRhasya patanAd ye'STAdazajanA mRtAste yirUzAlami nivAsisarvvalokebhyo'dhikAparAdhinaH kiM yUyamityaM bodhadhve?
LUK.13.5	yuSmAnahaM vadAmi tathA na kintu manaHsu na parivarttiteSu yUyamapi tathA naMkSyatha|
LUK.13.6	anantaraM sa imAM dRSTAntakathAmakathayad eko jano drAkSAkSetramadhya ekamuDumbaravRkSaM ropitavAn| pazcAt sa Agatya tasmin phalAni gaveSayAmAsa,
LUK.13.7	kintu phalAprApteH kAraNAd udyAnakAraM bhRtyaM jagAda, pazya vatsaratrayaM yAvadAgatya etasminnuDumbaratarau kSalAnyanvicchAmi, kintu naikamapi prapnomi tarurayaM kuto vRthA sthAnaM vyApya tiSThati? enaM chindhi|
LUK.13.8	tato bhRtyaH pratyuvAca, he prabho punarvarSamekaM sthAtum Adiza; etasya mUlasya caturdikSu khanitvAham AlavAlaM sthApayAmi|
LUK.13.9	tataH phalituM zaknoti yadi na phalati tarhi pazcAt chetsyasi|
LUK.13.10	atha vizrAmavAre bhajanagehe yIzurupadizati
LUK.13.11	tasmit samaye bhUtagrastatvAt kubjIbhUyASTAdazavarSANi yAvat kenApyupAyena Rju rbhavituM na zaknoti yA durbbalA strI,
LUK.13.12	tAM tatropasthitAM vilokya yIzustAmAhUya kathitavAn he nAri tava daurbbalyAt tvaM muktA bhava|
LUK.13.13	tataH paraM tasyA gAtre hastArpaNamAtrAt sA RjurbhUtvezvarasya dhanyavAdaM karttumArebhe|
LUK.13.14	kintu vizrAmavAre yIzunA tasyAH svAsthyakaraNAd bhajanagehasyAdhipatiH prakupya lokAn uvAca, SaTsu dineSu lokaiH karmma karttavyaM tasmAddhetoH svAsthyArthaM teSu dineSu Agacchata, vizrAmavAre mAgacchata|
LUK.13.15	tadA pabhuH pratyuvAca re kapaTino yuSmAkam ekaiko jano vizrAmavAre svIyaM svIyaM vRSabhaM gardabhaM vA bandhanAnmocayitvA jalaM pAyayituM kiM na nayati?
LUK.13.16	tarhyASTAdazavatsarAn yAvat zaitAnA baddhA ibrAhImaH santatiriyaM nArI kiM vizrAmavAre na mocayitavyA?
LUK.13.17	eSu vAkyeSu kathiteSu tasya vipakSAH salajjA jAtAH kintu tena kRtasarvvamahAkarmmakAraNAt lokanivahaH sAnando'bhavat|
LUK.13.18	anantaraM sovadad Izvarasya rAjyaM kasya sadRzaM? kena tadupamAsyAmi?
LUK.13.19	yat sarSapabIjaM gRhItvA kazcijjana udyAna uptavAn tad bIjamaGkuritaM sat mahAvRkSo'jAyata, tatastasya zAkhAsu vihAyasIyavihagA Agatya nyUSuH, tadrAjyaM tAdRzena sarSapabIjena tulyaM|
LUK.13.20	punaH kathayAmAsa, Izvarasya rAjyaM kasya sadRzaM vadiSyAmi? yat kiNvaM kAcit strI gRhItvA droNatrayaparimitagodhUmacUrNeSu sthApayAmAsa,
LUK.13.21	tataH krameNa tat sarvvagodhUmacUrNaM vyApnoti, tasya kiNvasya tulyam Izvarasya rAjyaM|
