GEN.1.1	In den beginne schiep God de hemel en de aarde. 
2SA.22.44	volken die ik niet kende, werden mij dienstbaar.
2SA.22.45	Vreemden veinsden onderdanigheid tegenover mij;
2SA.22.45	nauwelijks hadden zij van mij gehoord,
2SA.22.45	of zij gehoorzaamden mij.
2SA.22.46	Vreemden verloren hun kracht
2SA.22.46	en verlieten bevend hun burchten.
2SA.22.47	De 
2SA.22.47	en verhoogd zij de God mijns heils,
2SA.22.48	de God, die mij wraak heeft verleend,
2SA.22.48	die volken aan mij onderworpen heeft
2SA.22.49	en mij van mijn vijanden heeft bevrijd.
2SA.22.49	Gij hebt mij verhoogd boven hen die tegen mij opstonden,
2SA.22.49	Gij hebt mij gered van de geweldenaar.
2SA.22.50	Daarom loof ik U, o 
2SA.22.50	en wil ik uw naam psalmzingen.
2SA.22.51	Hij schenkt zijn koning grote uitreddingen,
2SA.22.51	en betoont trouw aan zijn gezalfde,
2SA.22.51	aan David en zijn nageslacht voor altijd.
2SA.23.1	Dit zijn de laatste woorden van David:
2SA.23.1	Spreuk van David, de zoon van Isaï,
2SA.23.1	en spreuk van de man die hoog geplaatst is,
2SA.23.1	de gezalfde van Jakobs God,
2SA.23.1	de liefelijke in Israëls lofzangen.
2SA.23.2	De Geest des 
2SA.23.2	zijn woord is op mijn tong;
2SA.23.3	Israëls God spreekt,
2SA.23.3	Israëls Rots zegt tot mij:
2SA.23.3	Een rechtvaardige heerser over de mensen,
2SA.23.3	een heerser in de vreze Gods,
2SA.23.4	hij is als het morgenlicht bij het opgaan der zon,
2SA.23.4	een morgen zonder wolken:
2SA.23.4	door de glans na de regen
2SA.23.4	spruit jong groen uit de aarde.
2SA.23.5	Maar niet alzo mijn huis bij God!
2SA.23.5	Toch heeft Hij mij een eeuwig verbond gegeven,
2SA.23.5	geordend in alles en verzekerd.
2SA.23.5	Want al mijn heil en alle welbehagen,
2SA.23.5	zou Hij die niet laten uitspruiten?
2SA.23.6	Doch de nietswaardigen – zij zijn allen als verstrooide doornen;
2SA.23.6	voorwaar, zij worden niet met de hand aangevat:
2SA.23.7	moet iemand ze aanraken,
2SA.23.7	dan voorziet hij zich van ijzer of lansschacht,
2SA.23.7	en met vuur worden zij op de plaats zelf geheel verbrand!
2SA.23.8	Dit zijn de namen van de helden van David: Een inwoner van Sebet der Tachkemonieten, de aanvoerder der hoofdlieden, namelijk Adino, de Esniet, (zwaaide zijn speer) over achthonderd, die in één keer verslagen waren. 
2SA.23.9	En na hem kwam Elazar, de zoon van Dodo, de zoon van een Achochiet; hij behoorde tot de drie helden. Hij was bij David, toen zij de Filistijnen tartten, die zich daar ten strijde verzameld hadden, terwijl de mannen van Israël weggetrokken waren. 
2SA.23.10	Hij stond op en richtte een slachting aan onder de Filistijnen, tot zijn hand vermoeid werd, tot zijn hand aan het zwaard kleefde. De 
2SA.23.11	Na hem kwam Samma, de zoon van de Harariet Age. Toen de Filistijnen zich te Lechi verzameld hadden – daar was een stuk land, vol linzen – en het volk voor de Filistijnen vluchtte, 
2SA.23.12	ging hij midden op dat stuk land staan, wist het te behouden en versloeg de Filistijnen; een grote overwinning schonk de 
2SA.23.13	Eens daalden drie van de dertig aanvoerders af en kwamen tot David, tegen de oogsttijd, bij de grot van Adullam, terwijl een schare Filistijnen gelegerd was in de vlakte Refaïm. 
2SA.23.14	David bevond zich toen in de vesting en een wachtpost der Filistijnen lag toen in Betlehem. 
2SA.23.15	En er kwam een verlangen bij David op en hij zeide: O, dat iemand mij water te drinken gaf uit de put van Betlehem, die bij de poort is! 
2SA.23.16	Toen braken die drie helden door het leger der Filistijnen heen, schepten water uit de put van Betlehem, die bij de poort is, namen het mee en brachten het naar David. Maar deze wilde het niet drinken, doch plengde het voor de 
2SA.23.17	en zeide: Het zij verre van mij, 
2SA.23.18	Abisai, de broeder van Joab, de zoon van Seruja, was het hoofd van de drie. En hij zwaaide zijn speer over driehonderd verslagenen; hij had groot aanzien onder de drie. 
2SA.23.19	Was hij onder de drie niet geëerd? Ja, hij was hun overste, maar tot de (eerste) drie reikte hij niet.
2SA.23.20	Voorts Benaja, de zoon van Jojada, de zoon van een krijgsman, groot van daden, uit Kabseël; hij versloeg de twee grote helden van Moab. Ook liet hij zich eens, op een dag dat er sneeuw lag, in een kuil zakken en doodde daarin een leeuw. 
2SA.23.21	Hij versloeg ook een Egyptenaar, een geweldig man; in de hand van de Egyptenaar was een speer, maar hij ging met een stok op hem toe, rukte de speer uit de hand van de Egyptenaar en doodde hem met zijn eigen speer. 
2SA.23.22	Dit heeft Benaja, de zoon van Jojada, gedaan; hij had groot aanzien onder de drie helden. 
2SA.23.23	Onder de dertig was hij geëerd, maar tot de (eerste) drie reikte hij niet. En David gaf hem het bevel over zijn lijfwacht.
2SA.23.24	Asaël, de broeder van Joab, was onder de dertig; voorts Elchanan, de zoon van Dodo, uit Betlehem; 
2SA.23.25	de Charodiet Samma; de Charodiet Elika; 
2SA.23.26	de Paltiet Cheles; Ira, de zoon van de Tekoïet Ikkes; 
2SA.23.27	de Antotiet Abiëzer; de Chusatiet Mebunnai; 
2SA.23.28	de Achochiet Salmon; de Netofatiet Maharai; 
2SA.23.29	Cheleb, de zoon van de Netofatiet Baäna; Ittai, de zoon van Ribai, uit Gibea der Benjaminieten; 
2SA.23.30	de Piratoniet Benaja; Hiddai uit de dalen van Gaäs; 
2SA.23.31	de Arbatiet Abialbon; de Barchumiet Azmawet; 
2SA.23.32	de Saälboniet Eljachba; de zonen van Jasen; Jonatan; 
2SA.23.33	de Harariet Samma; Achiam, de zoon van de Harariet Sarar; 
2SA.23.34	Elifelet, de zoon van Achasbai, de zoon van een Maäkatiet; Eliam, de zoon van de Giloniet Achitofel; 
2SA.23.35	de Karmeliet Chesrai; de Arbiet Paärai; 
2SA.23.36	Jigal, de zoon van Natan, uit Soba; de Gadiet Bani; 
2SA.23.37	de Ammoniet Selek; de Beërotiet Nachrai, de wapendrager van Joab, de zoon van Seruja; 
2SA.23.38	de Jetriet Ira; de Jetriet Gareb; 
2SA.23.39	de Hethiet Uria; tezamen zevenendertig.
2SA.24.1	De toorn des 
2SA.24.2	Toen zeide de koning tot de legeroverste Joab, die bij hem was: Doorkruis al de stammen van Israël van Dan af tot Berseba toe; telt het volk, opdat ik het getal van het volk wete. 
2SA.24.3	Toen zeide Joab tot de koning: De 
2SA.24.4	Maar het bevel van de koning was sterker dan het verzet van Joab en de legeroversten; dus gingen Joab en de legeroversten heen in opdracht van de koning om het volk Israël te tellen. 
2SA.24.5	Zij staken de Jordaan over en legerden zich te Aroër, ten zuiden van de stad, die midden in het dal van Gad ligt, en bij Jazer. 
2SA.24.6	Daarna kwamen zij naar Gilead en naar het land Tachtim Chodsi. Verder kwamen zij naar Dan-Jaän en naar de omgeving van Sidon. 
2SA.24.7	Daarna kwamen zij aan de vesting Tyrus en alle steden der Chiwwieten en der Kanaänieten; en zij kwamen tenslotte uit in het zuiden van Juda, te Berseba. 
2SA.24.8	Nadat zij het gehele land doorkruist hadden, kwamen zij na verloop van negen maanden en twintig dagen weer te Jeruzalem. 
2SA.24.9	En Joab meldde de koning de uitkomst van de volkstelling: Israël telde achthonderdduizend krijgslieden die het zwaard konden voeren; en de mannen van Juda waren vijfhonderdduizend.
2SA.24.10	Maar David had wroeging, nadat hij het volk geteld had, en David zeide tot de 
2SA.24.11	Toen David in de morgen opgestaan was, kwam het woord des 
2SA.24.12	Ga heen, spreek tot David: zo zegt de 
2SA.24.13	Daarop kwam Gad bij David, deelde hem dit mee en zeide tot hem: Zal er zeven jaar hongersnood in uw land komen? Of wilt gij drie maanden vluchten voor uw tegenstanders, terwijl dezen u vervolgen? Of zal er drie dagen pest zijn in uw land? Welnu, denk na en overweeg, wat ik mijn Zender moet antwoorden.
2SA.24.14	Toen zeide David tot Gad: Het is mij zeer bang te moede; laat ons toch vallen in de hand des 
2SA.24.15	Dus bracht de 
2SA.24.16	Toen de engel zijn hand naar Jeruzalem uitstrekte om het te verdelgen, berouwde het onheil de 
2SA.24.17	En David sprak tot de 
2SA.24.18	Op die dag kwam Gad tot David en zeide tot hem: Ga heen, richt een altaar op voor de 
2SA.24.19	En David ging heen, naar het woord van Gad, naar het gebod des 
2SA.24.20	Toen Arauna uitkeek en de koning met zijn dienaren zag naderen, ging Arauna naar buiten en boog zich voor de koning neer met het aangezicht ter aarde. 
2SA.24.21	En Arauna vroeg: Waarom komt mijn heer de koning tot zijn knecht? David antwoordde: Om van u de dorsvloer te kopen, ten einde een altaar voor de 
2SA.24.22	Toen zeide Arauna tot David: Mijn heer de koning moge nemen en offeren wat hem goeddunkt; ziedaar de runderen voor het brandoffer, en de dorssleden en het tuig der runderen tot brandhout. 
2SA.24.23	Dit alles geeft Arauna, o koning, aan de koning. Voorts zeide Arauna tot de koning: De 
2SA.24.24	Maar de koning zeide tot Arauna: Neen, maar ik wil het in elk geval van u voor de volle prijs kopen, want de 
2SA.24.25	En David bouwde daar een altaar voor de 
1KI.1.1	Koning David nu was oud en hoogbejaard, en hoewel men hem met dekens toedekte, werd hij niet warm. 
1KI.1.2	Toen zeiden zijn dienaren tot hem: Men zoeke voor mijn heer de koning een jonge maagd, opdat zij de koning ten dienste sta en hem tot verzorgster zij, en in uw schoot ligge, zodat mijn heer de koning warm wordt. 
1KI.1.3	Men zocht dan een schoon meisje in het gehele gebied van Israël en men vond Abisag, de Sunamitische, en bracht haar tot de koning. 
1KI.1.4	Het meisje was uitermate schoon; zij was de koning tot verzorgster en bediende hem, maar de koning had geen gemeenschap met haar.
1KI.1.5	Adonia nu, de zoon van Chaggit, was zo overmoedig te denken: Ik zal koning worden; hij schafte zich wagens en ruiters aan en vijftig mannen, die voor hem uit liepen. 
1KI.1.6	Nu had zijn vader hem zijn leven lang geen verwijt gemaakt: Waarom doet gij zo? Ook was hij zeer welgevormd van gestalte en volgde in geboorte op Absalom. 
1KI.1.7	Hij dan hield besprekingen met Joab, de zoon van Seruja, en met de priester Abjatar, en zij werden helpers en volgelingen van Adonia. 
1KI.1.8	Maar de priester Sadok, Benaja, de zoon van Jojada, de profeet Natan, Simi, Reï en Davids helden stonden niet aan de zijde van Adonia.
1KI.1.9	Daarop slachtte Adonia schapen, runderen en gemest vee bij de steen Zochelet naast de bron Rogel, en nodigde al zijn broeders, des konings zonen, en alle mannen van Juda, des konings dienaren; 
1KI.1.10	maar de profeet Natan, Benaja, de helden en zijn broeder Salomo nodigde hij niet.
1KI.1.11	Toen zeide Natan tot Batseba, de moeder van Salomo: Hebt gij niet gehoord, dat Adonia, de zoon van Chaggit, koning is geworden, zonder dat onze heer David het weet? 
1KI.1.12	Nu dan, laat mij u toch een raad geven, opdat gij uw leven en dat van uw zoon Salomo redt. 
1KI.1.13	Ga heen, treed bij koning David binnen en zeg tot hem: Hebt gij, mijn heer de koning, aan uw dienstmaagd niet gezworen: Voorzeker, Salomo, uw zoon, zal na mij koning worden en hij zal op mijn troon zitten? Waarom is dan Adonia koning geworden? 
1KI.1.14	Zie, terwijl gij dan nog met de koning in gesprek zijt, zal ik na u binnenkomen en uw woorden aanvullen. 
1KI.1.15	Dus trad Batseba bij de koning de kamer binnen; de koning was zeer oud en Abisag, de Sunamitische, bediende de koning. 
1KI.1.16	Toen knielde Batseba en boog zich voor de koning neer, waarop de koning zeide: Wat hebt gij? 
1KI.1.17	Daarop zeide zij tot hem: Mijn heer, gij hebt bij de 
1KI.1.18	Maar nu, zie, Adonia is koning geworden, en zelfs thans weet gij, mijn heer de koning, het niet. 
1KI.1.19	Hij heeft runderen, gemest vee en schapen in menigte geslacht, en al de zonen van de koning en de priester Abjatar en de legeroverste Joab uitgenodigd, maar uw knecht Salomo heeft hij niet uitgenodigd. 
1KI.1.20	Op u echter, mijn heer de koning, op u zijn de ogen van geheel Israël gericht, dat gij hun bekend zult maken wie op de troon van mijn heer de koning na hem zitten zal. 
1KI.1.21	Anders zal het gebeuren, dat ik en mijn zoon Salomo als opstandelingen zullen gelden, zodra mijn heer de koning bij zijn vaderen te ruste gegaan is.
1KI.1.22	En zie, terwijl zij nog met de koning in gesprek was, daar kwam de profeet Natan, 
1KI.1.23	en men meldde de koning: De profeet Natan is er. Toen Natan tot de koning gekomen was, en zich voor de koning had neergebogen met het aangezicht ter aarde, 
1KI.1.24	zeide hij: Mijn heer de koning, gij hebt dus zelf gezegd: Adonia zal na mij koning zijn en hij zal op mijn troon zitten; 
1KI.1.25	want hij is heden runderen, gemest vee en schapen in menigte gaan slachten; hij heeft al de zonen van de koning, de legeroversten en de priester Abjatar uitgenodigd, en zie, zij zijn bij hem aan het eten en drinken, en zij roepen: Leve koning Adonia! 
1KI.1.26	Maar mij, uw knecht, de priester Sadok, Benaja, de zoon van Jojada, en uw knecht Salomo heeft hij niet uitgenodigd. 
1KI.1.27	Indien dit vanwege mijn heer de koning is geschied, dan hebt gij uw knechten niet laten weten, wie op de troon van mijn heer de koning na hem zitten zal.
1KI.1.28	Toen antwoordde koning David: Roept mij Batseba. Zij trad binnen bij de koning en bleef voor de koning staan. 
1KI.1.29	Toen zwoer de koning en zeide: Zo waar de 
1KI.1.30	zeker, zoals ik u bij de 
1KI.1.31	Toen knielde Batseba met het aangezicht ter aarde, boog zich voor de koning neer en zeide: Mijn heer de koning David leve in eeuwigheid!
1KI.1.32	Voorts zeide koning David: Roept mij de priester Sadok, de profeet Natan en Benaja, de zoon van Jojada; en zij traden binnen bij de koning. 
1KI.1.33	En de koning zeide tot hen: Neemt de dienaren van uw heer met u; laat mijn zoon Salomo op mijn eigen muildier rijden, en brengt hem naar Gichon. 
1KI.1.34	Daar zullen de priester Sadok en de profeet Natan hem tot koning over Israël zalven; blaast dan op de bazuin en roept: Leve koning Salomo! 
1KI.1.35	Trekt dan achter hem op en laat hij binnenkomen en op mijn troon gaan zitten; hij namelijk moet koning worden in mijn plaats; hem heb ik bestemd tot vorst over Israël en Juda. 
1KI.1.36	En Benaja, de zoon van Jojada, antwoordde de koning: Amen, zo bevestige de 
1KI.1.37	Zoals de 
1KI.1.38	Toen gingen de priester Sadok, de profeet Natan en Benaja, de zoon van Jojada, met de Keretieten en Peletieten heen, lieten Salomo op het muildier van koning David rijden en leidden hem naar Gichon. 
1KI.1.39	De priester Sadok had de hoorn met olie uit de tent meegenomen, en hij zalfde Salomo; toen blies men op de bazuin, en al het volk riep: Leve koning Salomo! 
1KI.1.40	Daarna trok al het volk achter hem op, terwijl het op fluiten speelde en zich met grote blijdschap verheugde, zodat de aarde van hun geluid spleet.
1KI.1.41	Dit hoorden Adonia en al de genodigden die bij hem waren, toen zij juist met de maaltijd gereed waren. Toen Joab het geluid van de bazuin hoorde, zeide hij: Waarom klinkt dit geluid in de rumoerige stad?
1KI.1.42	Terwijl hij nog sprak, daar kwam Jonatan, de zoon van de priester Abjatar, en Adonia zeide: Treed binnen, want gij zijt een flink man en zult wel een goede tijding brengen. 
1KI.1.43	Maar Jonatan antwoordde Adonia: Integendeel, onze heer koning David heeft Salomo koning gemaakt. 
1KI.1.44	De koning toch heeft met hem de priester Sadok, de profeet Natan en Benaja, de zoon van Jojada, met de Keretieten en Peletieten uitgezonden, en zij hebben hem op het muildier van de koning laten rijden; 
1KI.1.45	de priester Sadok en de profeet Natan hebben hem te Gichon tot koning gezalfd, en zij zijn vandaar juichend opgetrokken, zodat de stad in opschudding is; dat is het geluid dat gij gehoord hebt. 
1KI.1.46	En ook zit Salomo reeds op de koninklijke troon; 
1KI.1.47	bovendien zijn de dienaren van de koning onze heer koning David hun zegenwens komen brengen: Uw God make de naam van Salomo roemrijker dan de uwe en zijn troon verhevener dan de uwe. Daarop heeft de koning zich op het rustbed neergebogen. 
1KI.1.48	En de koning heeft aldus gesproken: Geprezen zij de 
1KI.1.49	Toen sprongen al de genodigden die bij Adonia waren, ontsteld op en gingen heen, ieder zijns weegs.
1KI.1.50	Ook Adonia vreesde voor Salomo; hij stond op, ging heen en greep de hoornen van het altaar. 
1KI.1.51	En men meldde Salomo: Zie, Adonia vreest voor koning Salomo, en zie, hij heeft de hoornen van het altaar gegrepen, en gezegd: Laat koning Salomo mij eerst zweren, dat hij zijn knecht niet met het zwaard zal doden. 
1KI.1.52	Toen zeide Salomo: Indien hij zich betrouwbaar gedraagt, dan zal geen haar van hem ter aarde vallen, maar indien er kwaad in hem bevonden wordt, dan zal hij sterven. 
1KI.1.53	Daarop liet koning Salomo hem van het altaar halen. Toen hij binnengetreden was, boog hij zich voor koning Salomo neer, waarop Salomo tot hem zeide: Ga naar uw huis.
1KI.2.1	Toen de dagen van Davids sterven naderden, gebood hij zijn zoon Salomo: 
1KI.2.2	Ik sta op het punt de weg der gehele aarde te gaan, wees gij nu sterk en toon u een man; 
1KI.2.3	en neem uw plicht jegens de 
1KI.2.4	opdat de 
1KI.2.5	Nu weet gij ook wel, wat Joab, de zoon van Seruja, mij aangedaan heeft, wat hij namelijk gedaan heeft aan de beide legeroversten van Israël, aan Abner, de zoon van Ner, en aan Amasa, de zoon van Jeter, hoe hij hen gedood en in vredestijd bloed vergoten heeft als was het oorlog, en dit bloed gebracht heeft aan de gordel om zijn middel en aan het schoeisel aan zijn voeten. 
1KI.2.6	Handel dan naar uw wijsheid, en laat zijn grijze haar niet in vrede in het dodenrijk nederdalen.
1KI.2.7	Doch aan de zonen van de Gileadiet Barzillai zult gij weldoen, zodat zij onder uw disgenoten zijn, want zo zijn zij mij tegemoet gekomen, toen ik voor uw broeder Absalom vluchtte. 
1KI.2.8	En zie, bij u is Simi, de zoon van Gera, de Benjaminiet uit Bachurim; hij was het, die mij met een vreselijke vloek vervloekte, toen ik naar Machanaïm ging; hij was het ook, die mij tegemoet kwam naar de Jordaan; toen heb ik hem bij de 
1KI.2.9	Maar nu moet gij hem niet ongestraft laten, want gij zijt een wijs man, en weet wel, wat gij hem doen moet om zijn grijze haar met bloed in het dodenrijk te doen nederdalen.
1KI.2.10	Toen ging David te ruste bij zijn vaderen en werd begraven in de stad Davids.
1KI.2.11	De tijd nu, die David over Israël geregeerd heeft, is veertig jaar; te Hebron regeerde hij zeven jaar, en te Jeruzalem regeerde hij drieëndertig jaar. 
1KI.2.12	En Salomo zat op de troon van zijn vader David, en zijn koningschap werd zeer bevestigd.
1KI.2.13	En Adonia, de zoon van Chaggit, trad binnen bij Batseba, de moeder van Salomo, en zij vroeg: Komt gij met vredelievende bedoeling? En hij antwoordde: Ja. 
1KI.2.14	Voorts zeide hij: Ik heb iets met u te bespreken. En zij zeide: Spreek. 
1KI.2.15	Toen zeide hij: Gij weet, dat mij het koningschap toekwam; ook had geheel Israël naar mij uitgezien, dat ik koning zou worden, maar door een ommekeer viel het koningschap aan mijn broeder ten deel, want het is hèm van de 
1KI.2.16	Nu wil ik u één verzoek doen; wijs mij niet af. 
1KI.2.17	En zij zeide tot hem: Spreek. En hij zeide: Zeg toch tot koning Salomo – want hij zal u niet afwijzen – dat hij mij Abisag, de Sunamitische, tot vrouw geve. 
1KI.2.18	Daarop zeide Batseba: Goed, ik zal over u tot de koning spreken.
1KI.2.19	Toen Batseba bij koning Salomo binnentrad om tot hem over Adonia te spreken, rees de koning op om haar tegemoet te gaan, en boog zich voor haar neer; daarna zette hij zich op zijn troon en liet een zetel plaatsen voor de koningin-moeder, en zij zette zich aan zijn rechterhand. 
1KI.2.20	En zij zeide: Ik wil u een klein verzoek doen, wijs mij niet af. En de koning zeide tot haar: Vraag, moeder, want ik zal u niet afwijzen. 
1KI.2.21	Toen zeide zij: Abisag, de Sunamitische, worde aan uw broeder Adonia tot vrouw gegeven. 
1KI.2.22	Maar koning Salomo gaf zijn moeder ten antwoord: En waarom vraagt gij (enkel) Abisag, de Sunamitische, voor Adonia? Vraag liever voor hem het koningschap, omdat hij mijn oudere broeder is; zowel voor hem, als voor de priester Abjatar, alsook voor Joab, de zoon van Seruja. 
1KI.2.23	Toen zwoer koning Salomo bij de 
1KI.2.24	En nu, zo waar de 
1KI.2.25	En koning Salomo liet hem door Benaja, de zoon van Jojada, neerstoten, zodat hij stierf.
1KI.2.26	Tot de priester Abjatar zeide de koning: Ga naar Anatot, op uw landgoed, want gij zijt een kind des doods, maar op deze dag zal ik u niet doden, omdat gij de ark van de Here 
1KI.2.27	Toen verdreef Salomo Abjatar, zodat hij geen priester des 
1KI.2.28	Toen het gerucht tot Joab doordrong – Joab had immers partij gekozen voor Adonia, maar hij had geen partij gekozen voor Absalom – vluchtte Joab naar de tent des 
1KI.2.29	Daarop meldde men koning Salomo: Joab is naar de tent des 
1KI.2.30	En Benaja trad de tent des 
1KI.2.31	Toen zeide de koning tot hem: Doe zoals hij gezegd heeft, stoot hem neer en begraaf hem; verwijder van mij en van het huis van mijn vader het onschuldige bloed dat Joab vergoten heeft. 
1KI.2.32	Zo zal de 
1KI.2.33	Zo zal hun bloed op het hoofd van Joab en van zijn nageslacht voor altoos wederkeren, maar David, zijn nageslacht, zijn huis en zijn troon zullen voor altoos vrede hebben van de 
1KI.2.34	Daarop ging Benaja, de zoon van Jojada, heen, stiet hem neer en doodde hem, waarna hij in zijn huis in de woestijn begraven werd. 
1KI.2.35	En de koning stelde Benaja, de zoon van Jojada, in zijn plaats over het leger aan, en de priester Sadok stelde de koning aan in de plaats van Abjatar.
1KI.2.36	Vervolgens ontbood de koning Simi, en zeide tot hem: Bouw u een huis in Jeruzalem, en vestig u aldaar; gij zult daar niet vandaan gaan, herwaarts noch derwaarts; 
1KI.2.37	weet goed, dat gij op de dag, waarop gij daarvandaan gaat en de beek Kidron overschrijdt, zeker sterven zult; uw bloed zal op uw hoofd zijn. 
1KI.2.38	En Simi zeide tot de koning: Het is goed; zoals mijn heer de koning gesproken heeft, zo zal uw knecht doen. En Simi woonde geruime tijd te Jeruzalem.
1KI.2.39	Na verloop van drie jaren liepen twee slaven van Simi weg naar Akis, de zoon van Maäka, de koning van Gat, en men deelde Simi mee: Zie, uw slaven zijn te Gat. 
1KI.2.40	Toen stond Simi op, zadelde zijn ezel, en ging naar Gat, naar Akis, om zijn slaven te zoeken; en Simi ging heen en bracht zijn slaven uit Gat terug. 
1KI.2.41	Toen men Salomo meldde, dat Simi uit Jeruzalem naar Gat gegaan en teruggekeerd was, 
1KI.2.42	liet de koning Simi roepen, en zeide tot hem: Heb ik u niet bij de 
1KI.2.43	Waarom hebt gij dan de eed bij de 
1KI.2.44	Voorts zeide de koning tot Simi: Gij weet al het kwaad – uw hart is zich daarvan bewust –, dat gij mijn vader David hebt aangedaan; nu zal de 
1KI.2.45	koning Salomo echter zij gezegend en de troon van David zij voor altoos bevestigd voor het aangezicht des 
1KI.2.46	Toen gebood de koning Benaja, de zoon van Jojada, en hij ging heen en stiet hem neer, zodat hij stierf. En het koningschap was in de hand van Salomo bevestigd.
1KI.3.1	En Salomo verzwagerde zich met Farao, de koning van Egypte; hij nam namelijk Farao’s dochter en bracht haar in de stad Davids, totdat hij de bouw van zijn huis en van het huis des 
1KI.3.2	Alleen was het volk gewoon op de hoogten te offeren, omdat tot op die dagen nog geen huis voor de naam des 
1KI.3.3	En Salomo betoonde zijn liefde tot de 
1KI.3.4	Zo ging de koning naar Gibeon om daar te offeren, omdat dit de voornaamste hoogte was; duizend brandoffers bracht Salomo op dat altaar. 
1KI.3.5	Te Gibeon verscheen de 
1KI.3.6	Toen zeide Salomo: Gij hebt uw knecht, mijn vader David, grote goedertierenheid bewezen, evenals hij voor uw aangezicht in trouw en rechtvaardigheid en oprechtheid van hart jegens U gewandeld heeft; en Gij hebt aan hem deze grote goedertierenheid bevestigd door hem een zoon te geven, die op zijn troon zit, zoals heden het geval is. 
1KI.3.7	En nu, 
1KI.3.8	Zo staat uw knecht te midden van uw volk, dat Gij uitverkoren hebt, een groot volk, dat niet te tellen of te schatten is vanwege de menigte. 
1KI.3.9	Geef dan uw knecht een opmerkzaam hart, opdat hij uw volk richte, door te onderscheiden tussen goed en kwaad, want wie zou in staat zijn dit uw talrijk volk te richten? 
1KI.3.10	En het was goed in de ogen des 
1KI.3.11	En God zeide tot hem: Omdat gij dit gevraagd hebt, en voor u geen lang leven hebt gevraagd, en geen rijkdom, en ook niet gevraagd hebt het leven uwer vijanden, maar voor u inzicht hebt gevraagd om een rechtszaak te kunnen horen, 
1KI.3.12	zie, Ik doe naar uw woord; zie, Ik geef u een wijs en verstandig hart, zodat uws gelijke vóór u niet geweest is, noch na u zal opstaan. 
1KI.3.13	En ook wat gij niet gevraagd hebt, geef Ik u, zowel rijkdom als eer, zodat onder de koningen uws gelijke niet zal zijn geweest al uw dagen. 
1KI.3.14	En indien gij op mijn wegen wandelt en mijn inzettingen en geboden bewaart, zoals uw vader David gewandeld heeft, dan zal Ik uw leven verlengen. 
1KI.3.15	Daarop ontwaakte Salomo, en zie, het was een droom. En toen hij te Jeruzalem gekomen was, stelde hij zich voor de ark van het verbond des 
1KI.3.16	Toentertijd kwamen twee vrouwen, hoeren, tot de koning en stelden zich vóór hem. 
1KI.3.17	En de ene vrouw zeide: Met uw verlof, mijn heer, ik en deze vrouw wonen in één huis, en ik heb bij haar in huis gebaard. 
1KI.3.18	Op de derde dag nadat ik gebaard had, heeft ook deze vrouw gebaard, en wij waren tezamen, er was geen vreemde bij ons in huis; alleen wij tweeën waren in huis. 
1KI.3.19	Toen is de zoon van deze vrouw des nachts gestorven, doordat zij op hem gelegen had. 
1KI.3.20	En zij is te middernacht opgestaan en heeft mijn zoon naast mij weggenomen, terwijl uw dienstmaagd sliep, en heeft hem in haar schoot gelegd, en haar dode zoon heeft zij in mijn schoot gelegd. 
1KI.3.21	Toen ik des morgens opstond om mijn zoon te voeden, zie, hij was dood; maar ik gaf in de morgen acht op hem, en zie, het was niet de zoon, die ik gebaard had. 
1KI.3.22	Doch de andere vrouw zeide: Niet waar! de levende is mijn zoon en de dode is uw zoon. En deze zeide weer: Niet waar! de dode is uw zoon en de levende is mijn zoon. Zo krakeelden zij in tegenwoordigheid van de koning. 
1KI.3.23	Toen zeide de koning: De ene zegt: Deze, de levende, is mijn zoon, en de dode is uw zoon; en de andere zegt: Niet waar! de dode is uw zoon en de levende is mijn zoon. 
1KI.3.24	Daarop zeide de koning: Haalt mij een zwaard. En zij brachten een zwaard bij de koning. 
1KI.3.25	En de koning zeide: Snijdt het levende kind in tweeën en geeft de helft aan de ene en de helft aan de andere. 
1KI.3.26	Toen sprak de vrouw, van wie het levende kind was, tot de koning, omdat haar moederlijk gevoel voor haar zoon was opgewekt; zij zeide dan: Met uw verlof, mijn heer, geeft haar het levende kind, maar doodt het in geen geval. Doch de andere zeide: Het zal noch van mij noch van u zijn, snijdt door. 
1KI.3.27	Toen antwoordde de koning en zeide: Geeft haar het levende kind en doodt het in geen geval: zij is de moeder. 
1KI.3.28	Toen geheel Israël het oordeel vernam, dat de koning had uitgesproken, werden zij met ontzag voor de koning vervuld, want zij merkten, dat de wijsheid Gods in hem was om recht te doen.
1KI.4.1	Koning Salomo was dus koning over geheel Israël. 
1KI.4.2	Dit waren zijn vorsten: Azarja, de zoon van Sadok, was de priester; 
1KI.4.3	Elichoref en Achia, de zonen van Sisa, waren schrijvers; Josafat, de zoon van Achilud, was de kanselier; 
1KI.4.4	Benaja, de zoon van Jojada, voerde het bevel over het leger; Sadok en Abjatar waren priesters; 
1KI.4.5	Azarja, de zoon van Natan, ging over de landvoogden; Zabud, de zoon van Natan, een priester, was des konings vriend; 
1KI.4.6	Achisar was de hofmaarschalk; en Adoniram, de zoon van Abda, stond over de herendienst.
1KI.4.7	En Salomo had over geheel Israël twaalf landvoogden, die de koning en zijn huis van voedsel moesten voorzien; één maand per jaar rustte op ieder de plicht om te leveren. 
1KI.4.8	En dit zijn hun namen: Ben-Chur op het gebergte van Efraïm; 
