MAT.1.1	Si Abraham gëlok nennë, Dabid gë oli, Jisu Kristo gë hürum ë. 
MRK.13.1	Jisu gë kumko namë lokkë inlen dakkulo, bük rëgënam aken gonnë bü ëm mento, “Saar, kaatoka! yadü në ülü ëm paatëm sila kaalük ru nam namë go sigi!”
MRK.13.2	Jisu menrükto, “Nonu namtë runë ülü namë sim kaaken rubë kaadui? sigi lëken ne lüchak gochin dooko sogo dooma rëku; Lüchak lüchür ëm darla ërpak rë.”
MRK.13.3	Jisu bük Yürnë ne kumko namë kolam gonë gë Olib moodi lo duudak ëm Pitor, Jems, Jon okkë Andriu bulu aala tasitarupla takato. 
MRK.13.4	Bulu mento, “Yaddëm sigi jijja bë rütë rënnadü ngonnuëm menji lake.” “Okkë sokë buppü sokë rüddü ë püduuku ëmla yo go kaarü gënë nam go rücho tado naadü ëgumchin ngonnuëm menji lake.”
MRK.13.5	Jisu bullëm mento, Yëchin nonnuëm mëkup maado bë darsi tolaka. 
MRK.13.6	Yaaka në nyi ë ngok aminlokë aala, “Ngo kuna bü ë ëmrë!” okkë ëmbë dada yaaka në nyi ëm mëkup rë. 
MRK.13.7	Okkë yadü lo nonu Nyimak gë sidu poben ëm nëchi loba odoo bë tarë dü, bossoë ëmla mëëma bëka, ëkëru gaddë rüru deenë, rülachin ëgë rëtür alo gë aanam ëmo. 
MRK.13.8	Ope ope ë pamin sirë, okkë mooko mooko ë agmin sirëp rë. Rëgo duugo buppülo moodüh moobüh ë ëgrë, okkë doma yarë angin bë rërëp rë. Sigi gadë si mëëdük mou gë ochi chinam garübë rürëp rë.
MRK.13.9	Nonu aü ëm dinchi bë chebë robë sitolaka. Nonnuëm serë okkë doolu këbalo jilük rëlë pëla okkë kumko namë gadë lochin dëmrë; ngok lëga lokë takenna dooyü menji doobë nonnuëm rutum në okkë roja gadë gë kaagalo daglen morë. 
MRK.13.10	Rülachin rëtür alo ë loma dabë, takenna dooyü ëm ope buppü lo menngam jicho rë. 
MRK.13.11	 Okkë yadü lo nonnuëm sellela doolu këbalo hüka doobë ingë rëdü, nonu yo go mensadü ëmla mëëdür sicho kü yooka; Yadü chë lo, nom yoyo go mendobë mendü ëm jirëdü. Nokë gomchür menlen sa gaddë nokë lokëmo; Ëgë gomchür gadë ëgë Dëën Doü gëlokë menlen morë. 
MRK.13.12	Nyi ë aü gë achë abür ëm sikolo kublük minsirë, okkë abboë aü oroh ëm ëmbë dada rürë. Oroh gaddëchin aü gë abo anë gë nyiroh bë dagrëpla bullëm mokë morë. 
MRK.13.13	 Nyi buppü ë nonnuëm ngok lëga bë rëbë rëlo gëkër rë rülachin yë rëpin lobë addü rëdü bü tushü baalë nam ëm paarë.
MRK.13.15	Yë nyi yë bük namë mülolo rëdudü namë arabë iimo kumarë ëgë maalachin yo yëku yëra laamo kumarë 
MRK.13.16	 Rükü lokë rënnë yëchin aü gë namë lo inkurla laklük ejë laamo momarë. 
MRK.13.17	Ëgë alo ëgë akilo ungnga gënë nëli lëga bëla okkë achu tüngo sidobë ungnga bënë nëli gaddük lëga bëyadü go boso ruunam bë rürë dü! 
MRK.13.18	Sigi gadësi düchülo rüma doobë Yürnë gëlo kumto laka! 
MRK.13.19	Yo lëga ëgë alo ëgë tani mookom Yürnëgë pülen daklokkë ijja lobë yaddü lochin adür enka maanam alë yaaru maanëbë rürë okkë ëgum kooküëm lëken godachin endi maasë gobë rürë. 
MRK.13.20	Rülachin Rutum bü ëgum alo ëgum anni go lodë motu, bü ëgum lodë moma nago boolo yëchin turla duunë kaamarë. Rünamë bük darlen nam nyi gaddëk lëga bë, alo gaddëm bü loodë jimotu.
MRK.13.21	Ogo alo lo aken gonnë nonnuëm menrë, “Kristo sigi duudu!” “Kaasi toka” ëgë maalachin, “Aë Kristo duudu, kaasi toka!” ëmdak bëchin ëgum nonu jijja bë mëëmëm maabëka. 
MRK.13.22	Yo lëga Kristo bë mësinë okkë nyijük bë mësinë nenrë. Okkë bulu Yürnë gë darlen nam gaddëm kubnam lëga bë arüsinyo në rürü rünyo ëmchin rüjirë. 
MRK.13.23	Ëkë lëga bë aüë darbë silaka, ngo nonnuëm yo buppü ë rüddü ë püma dabë mencho jidu.
MRK.13.24	Endür encho alo gadë ëgë inrobë, Doonyi ë kanë rëku okkë Poolo ëchin lou kumarë; 
MRK.13.25	Takar gaddë talë tolokë olo rë. Talë mooko ë tuü baalë rëku. 
MRK.13.26	Ëmbë rüdak ëm Tani Oroh ngo nyi buppü ë kaado bë tornam rubëla yuunam kaapabë hürga rubë doomü gë aarëku. 
MRK.13.27	Ogo bü bük taayo lampoh gaddëm tani mooko gë chëënyu appi sogo inlen morë okkë talë getür gonë gë getür gonëbë bük darnam nyi gaddëm makum morë.
MRK.13.28	Ijja kukcho sünë arin lokë kaachen sitoka; Yadü ëm sokë agbë gadë lo annüë pajurla jee bë pambuk rëbrë dü, nonu chensilaka düur ë nendu ëmla. 
MRK.13.29	Ëmbë rünamë, yaddëm nonu sim gadë sim rüdobë kaarë dü, nonu chensilaka bük aakur dü ë nëchibë Rabgolo püüduku ëmla chensilaka. 
MRK.13.30	Nonu mëëbë laka sigi rürü rüma buppü sigi rüngam maalo si hürum si ngemarë. 
MRK.13.31	 Mëdo sichü ë sigum mëyoh larë, rülachin ngok gomu ë sigum mëyoh lamarë-Taayo mooko ëla tani mooko ë ngelarë, rülachin ngok agom gaddë yaddü lochin ngela maarë.
MRK.13.32	“Yëchin ëgum aloëm maalachin rüddëm chenma. Taayo lampoh ëlachin Oroh ngo lachin chenma, rügërëlla Abo nyum chendu. 
MRK.13.33	Nonu yaddü ëm sigi gadë si rüarëdü chenma, ëkë lëga bë aü ëm hardë bë ensilaka. 
MRK.13.34	 Sigi nyi gonnë aü gë nammëm aü gë agër rüra nëlo aken aken gë agër rüssëm parlükla okkë rabtëm kaara nëmchin kaarala dagdo bë parlük tola odoo bë nyibo moin innyo nam garü ë. 
MRK.13.35	Yaddëm namë ato ë aakur rëkudü nonu chensima, ëkë lëga bë larchëk bë darbë sitolaka, bü arum bë aala kuba rurë, ayoh yora bë, porok lugoh bëba okkë aroh paa bëdü aarë kunna, ëgum nonu yëchin chenma. 
MRK.13.36	Bü aalom namgo, kaarëmchin, bü nonnuëm yupngak la doodo bë kaapa koyolaka. 
MRK.13.37	Ngo yo ëm nonnuëm mendudü, nyidum nyimü buppülo ngo mendu, larchëk bë darbë silaka!
MRK.14.1	Nbo donam okkë opop lükma bë ütü donam güdü loosë loonyi go doodo bë, jügtë gaddë la okkë Ayon saar gaddë Jisu ne kasila segë doola, mokë doobë pinla rëto. 
MRK.14.2	Bulu mensito, “Nyi gaddë yachu piira bë dude bendela,” “Ngonu sim güdü domen dodoso rüyo jü ëmto,”
MRK.14.4	Ogo okë duumin gënë nyi atu gonnë marto okkë buluk aralo mensi to. “Yo rüladü namken në sim pübum naala rüpak doyë mëm duuna dü? 
MRK.14.5	Sim chamrü aum ngennë Silbor saanür gobë pukdo lappe okkë ëgum murko gadë ëgum nyima open gaddëpë jila doolë pe!” okkë bulu neli ëm roodür roomürla moto.
MRK.14.6	Rülachin Jisu bü mento, “Mü aken ëm rüsi motoka! nonu yo bë mük rünam ëm adük raaduna? Mü ngom alë rubë kaaken runë agër go rüjika. 
MRK.14.7	 Nonu loodak tëm nyima gaddëm rëgëdu, okkë yaddü ëm nonu bullëm rügur so mëërë dü rügur ladu. Rülachin nonu ngom loodak bë rëyar gëmmarë. 
MRK.14.8	Mü yo go rüla sibadü rüka; mü ngom nyibu rudak ëm mük namken në tel ëm pübum saëm ngok aülo pübum chodu. 
MRK.14.9	Ijja, ngo nonnuëm jijja ëm mendu, yo lo dooyü taken nam tani mooko buppü sogo menggo rëdü, mük rünam simchin, mü ëm mëëpa gënë naabë menpa kambë rë.”
MRK.14.10	Sokë kookü bë Judas Iskoriot, nyidum ürü gola anyi lokë aken gonnë, Jisu ne jügtë gadë buluklo rukub lükji lapë ëmla inlen nyooto. 
MRK.14.11	Bulu bük yo go menjila aabe dü majja bë talükto okkë murko lokë bü ëpë jido bë torük sito. Okëi Judas Iskoriot bü Jisu ne buluk alak lo kublük deeko alë në age go marëp to.
MRK.14.12	Opop lükma bë ütü dodü güdü lootu lokë alo gë Inbo donam güdü lëga bë bembo ao pado lo, Jisu bük rëgënam gaddë bü ëm takato, “Yo lo no ngonnuëm Inbo donam güdü domen ëm dodo bë ruuno taabë innek mëëdoko?”
MRK.14.13	Ogo Jisu nyidum anyi go inmo duula sëmbë menlükto: “Taon alo bë aeka, okkë nyi go ishi püchü Joonë go inrük sirë, ëgum nonu inmin gëtoka. 
MRK.14.14	Ëgum nonu bük namë aako lobë inmin gëtoka, okkë namë lërü ëm mentoka: ‘Yo namë aru lo ngok rëgënam gaddëm Inbo donam güdü domen ëm dogë saëdü?’ ‘Saar ëmdu ëmtoka.’ 
MRK.14.15	Ogo bü taayo namë lo kairunë namë aru go nonnuëm molap rülapla anam go, yo lo ngonuk lëga bë buppü ëm mono rünola ajinam go kaatom rë, ogo ngonukë lëga bë ruuno pëno chootaka.”
MRK.14.16	Rëmin gënë gaddë inlenla, taon lo aanamë Jisu gë bullëm mennam chëëbë yëku yëra buppü ëm paato. Ëmbë rünamë bulu ogo Inbo donam ëm ruuno toku.
MRK.14.17	Arum rëku ogo, Jisu bük rëgënam nyidum ürü gola anyi ëm aagëla aalük toku. 
MRK.14.18	 Doko tebul lo dobam sila duudola, Jisu bullëm mento, “Ngo alëja bë nonnuëm mendu, nonuk atür okë aken gonnë ngom gëru bëënyo la pinkub rë, ëgë ngom dobam sila duunë bü.”
MRK.14.19	Ogo rëgënam gaddë aglü mëëdük bë rüto okkë bü ëm aken aken ë taka rëpto, “Nokë mengë doonam ëgë alë jaa bë ngom menma doore ai ëmto?”
MRK.14.20	Jisu menjito, “Ëgë nonuk nyidum ürü gola anyi ara lokë aken gonnë, yë ngom malulo ütü ëm nüknyom mingë në bü maabë. 
MRK.14.21	Tani Oroh ngo Dëën boi lokë bük lëga bë eknam chëëbë sirë. Rügëdola Tani Oroh ngom pinruh pinnyonë nyi bü yadü go endür encho enka elëpëdü. Sim nyi bü ëm yaddü lochin aajur ogar maanë goe boolochin alë yaade baye nyi.”
MRK.14.22	Bulu yadü lo dongo sibadü, Jisu ütü ajëk go laagë doola, Yürnë ne ëkëja ëmla koik gëlla, pentu to, okkë ëgum bük rëgënam gaddëm orgë rëlla mento, “Sim laatoka dotoka sigi ngok amür ë,”
MRK.14.23	Okë kookü bë bü koobu ëm laagë rëlla, Yürnë ne ëkëja ëmla koik gëllakuda ëgum bullëm jito, okkë ëgum bulu buppü ë tübamto. 
MRK.14.24	Jisu bullëm mento, “Sigi ngok Iyi ë, yaaka në nyi lëga bë, Yürnë gë ali Daapo bë billen jinamë.
MRK.14.25	Ngo nonuëm mendu, Yürnë gë rëgëkolo sim ali bë tüdü alo ë looma yëërlo, ngo anggur ola sim lëken goda tüdi kumarë ëmto.”
MRK.14.26	Ogo bulu niitom go gogto okkë Olib moodi bë inlen toku.
MRK.14.27	Jisu bullëm mento, “Ngom ëpaktola nonu buppü ë keppen sirë, yo lëga Yürnë gë boilo mentu, ‘Yürnë gë solar rëgënëm mokërë, ogo solar gaddë keppen sila kegnyorë.’
MRK.14.28	 Rülachin ngok turkur robë, nonukë Galili lo inchi damabë ngo incho rë.”
MRK.14.29	Ogo Pitor mendato, “Nyi buppü ë nom ëpak tola kegnyo dakkom, ngo yaddü lochin nom ëpaktola kegnyo maarë!”
MRK.14.30	Jisu bü Pitor ne mentoku, “Ngo nom jijja ëm mendu, sio gë ayoh tolo porok lënyi go kokma dabë no ngom lëum go chenma ëmla menpak sirë.”
MRK.14.31	Pitor addü yaada bë menrük to, “Ngo nokë sikolo side dakkom, yadü lochin nom ngo chenma ëmla mëpak simarë!” okkë rëmin gënë buppü ëchin lëken gobë ëmbë mento.
MRK.14.32	Bulu Gethsemane ëmnam mookolo aalük to, okkë Jisu bük rëgënam gaddëm mento, “Ngok kumdu ëm nonu sogo duucho tolaka.” 
MRK.14.33	Jisu bü Pitor ne Jems ne okkë Jon ne lëken gobë inbam nento, okkë bü achen maabë mëëdük hakdükë rülento. 
MRK.14.34	Bü bullëm mento, “Ngok asin aapuk sigi adük ë rüeba. Nonu sogo darla, ensila duutoka ëmto.”
MRK.14.35	Jisu bullëm ajji go adobë innyo doola, kode lo durpë doola, pakla dobolo aadu kuëm bük lokkë inpak molaka ëmla kumto. 
MRK.14.36	Bü kumto, “Abboa” “Ngokë Abbo a! No buppü ëm rülado. Mëëdük mou koobu sim ngok sokkë laapak geka. Ëgë dakkom ngok mëënam bëmo, rülachin noükë mëënam bë rülaka.”
MRK.14.37	Okë kookü bë bü nendo kula kaanamë rëgënam aumë yupngak la dooto. Ogo bü Pitor ne “Simon, No yupdunai? nonu hago gochin yupma bë ula duula mai?” 
MRK.14.38	Okkë bü bullëm mentokuda, “Larchëk bë utolaka, okkë nonnuë rüka darka kolo aalük maado bë kumsi toka. Yaloh si larchëk du rülachin adin si rënyak dakku.”
MRK.14.39	Bü lëken goda insek doola mennam agom chëëm menla kumto. 
MRK.14.40	Bü nenkur dookula kaanamë bulu yupduchë kudanyi. Buluk anyik ë nyükpo lachin gëla maato. Okkë bulu bü ëm menrük sissëmchin yo chensi maato.
MRK.14.41	Bü yadü lo lëum naabë nenkur kubadü, bü bullëm mentoku. “Nonu ijja lobë yumi ëm gëmen kambë duunai? ëgë bacho! kaatola Tani Oroh ngom rümur në nyi gaddëk alak lo laklük dü ë püüdu kunna. 
MRK.14.42	Gërëptok, kaju indola, kaatoka, siina ngom pinkup në nyi ë aadu na!”
MRK.14.43	Jisu bük agom menngo sidobë ürü gola anyi rëgënam lokë aken gonnë Judas bü aalük to. Bük aakolo jügtë gaddëk, Ayon saar gaddë okkë rutum gaddëk kanam nam ëkë nëbu, roksë okkë horup sotam ë lülabë rünë ëkë nyitügo aamin gëto. 
MRK.14.44	Pinruh pinnyonë bü nyitü ëm rürü rüma go menrüh jito. “Ngokë gomrük sila muupuk nam ëgë nonukë manam nyi ë. Nonu bü ëm sela nonuk aralo chela rola ingë gekuka.”
MRK.14.45	Yadü lo Judas bü Jisu gëlo aalük badü “Saar!” ëmla gogtola gombë to okkë bü ëm muupuk to. 
MRK.14.46	Ogo nyi gaddë Jisu ne segë rëlla leeto. 
MRK.14.47	Ëmbë rüdak ogo okë dagnë yaame aken gonnë aü gë Roksëm sedda gëlla jüktë gë pakbo, aken golokë nyeru ëm paloto. 
MRK.14.48	Ogo Jisu bü bullëm mento, “Nonu yo bë ngom yachu piira rügënë garü bë nëbu roksë okkë horup sotam gëtola setë bë aaduna? 
MRK.14.49	 Ngo alo dükü bë Yürnë ne kumko namë lo nonnuëm niitin la rëto, ogo yo bë nonu ngom sema namme la. Rülachin Yürnë gë boi lokë agomë jijja bë buupü ru moto ëmla Jisu bü mento.”
MRK.14.50	Ëmbë rüdak ogo Jisu bük rëgënam gaddë bü ëm ëpaktola keppen keggenla kegnyo toku.
MRK.14.51	Yaame aken go rënyak në jechëk nyum gënë go, Jisu gë kookü lo inmin gëto. Bü ëm bulu setë to, 
MRK.14.52	Rülachin bü jechëk ëm ëpak tola aü arin bë kennyo to.
MRK.14.53	Jügtë rutum gaddë, këba lërü gaddë okkë Ayon saar gaddë duupomko jügtë aken namë golo Jisu ne aagë to. 
MRK.14.54	Pitor bü ado adobë inmin gëdola jügtë namë gë baatu lobë aamin gëto. Bü ogo Rabgo daggë në gaddëm, ëmë hiimin gëla duuto. 
MRK.14.55	Jügtë lërü gaddëla këba okë kainë gaddë Jisu ne agla guunyü lükgëlla mokë gënë naanë lëga bë makü to. Rülachin bulu yo guunyü malük maato. 
MRK.14.56	Yaaka në nyi ë mëla Jisu ne agkër to. Ëgëchin buluk agom hünamë lëyü simato.
MRK.14.57	Nyi ëkë, Jisu ne anek leela dagrëp doola mëla mento. 
MRK.14.58	 “Ngonu bü ëm sëmbë mendobë tato. ‘Ngo sim Yürnë ne kumko namë nyi alak lokë monam sim pëyak rë, okkë nyi alak lokë moma nam go loum kookü bë ngo mojirë ëmto.’” 
MRK.14.59	Ëgumchin bulu buppü ë lëyü gobë tojup maato.
MRK.14.60	Jügtë rutum ë buppü gë kaaga lo dagrëp doola Jisu ne takato. “Buluk buppü gë nom guunyü lüknam ëm no yo menrük sa kaamare?”
MRK.14.61	Rülachin Jisu gomken gochin menrük maabë atcho bë dagto. Lëken gokuda Jügtë rutum ë bü ëm takato, “No re Kristo, Yürnë gë murlük nam rülibongo Yürnë gë Oroh ë?”
MRK.14.63	Jügtë rutum ëgë aü gë ejjëm pudup sidola mento, “Ngo Yo ya go menji yaado bë! 
MRK.14.64	 Nonu bük Yürnë ne mennyü nammëm tasito. Nonnuë mëëpëk ë yo bëla! bulu buppü ë bü ëm anekla tolükto, bü guunyü gërudu, okkë bü ëm pakë kendo ëmla tokë lükto?”
MRK.14.65	Okë kookü bë nyi atu gonnë Jisu ne tachur ë churkap churnyap la morëp to okkë bulu bük anyik ëm puutum to okkë bulu këlak ë siggë rëlla mento, “Yë la nom siddunë chentok ëmto.” Okkë këbë Sontri gaddë bü ëm selle kula chiimen intoku.
MRK.14.66	Pitor bük baatu lo duubë do lo jüktë gë agër rüranë ome nyijür gonnë nenlük to. 
MRK.14.67	Yadü lo mü Pitor bü büëm ëmëlo pamsila duuba dü, mü tugdabë büëm kaadila kaagëlla mento, “Nochin Najarath Jisu gë rëkolo rëmin gënnë da!”
MRK.14.68	Rülachin bü menpak sito, “Ngo chenma, no yëk baab ëm mendudü ngo tachen chinma” bü ëmra sito, okkë bü agum rabgo bë inlen pikdolo porok kokcho ë kokto.
MRK.14.69	Rüranë nyijür ëgë kaagë rëkudala dagbam gaddëm mendi jito, “Bü buluk aken gonnë ruuna!” 
MRK.14.70	Pitor ogochin menpak bë to.
MRK.14.70	Anni go dagro kookü bë dagbam gaddë Pitor büëm guunyü lükla menkam rëpto, “No buluk aken gonnë mo ëmla menpak silamarë, yo lëga nochin, Galili lokë goma bë.”
MRK.14.71	Ogo Pitor mento, “Ngo jijja bë ngoü ëm chesidu! ngo jijja ëm menma duubolo Yürnë ngom morik chikek laka! nonu yë nyi yëkë baab ëm mendudü ngo chenmaru!” 
MRK.14.72	Ëmbë menngo jaadolo porok ë lënyi naanëm koktoku, ogo Pitor Jisu yo go bü ëm menbe dü mëëpa toku, “Porok ë lënyi go kokma dabë no ngom lëum go chenma ëmrë ëmnam agom ëm.”
MRK.14.72	Okkë bü aadük dükkur sila kaptoku.
MRK.15.1	Aroh komchi bë jügtë rutum gaddë, nyigü solo gaddë, Ayon saar gaddë okkë këba baanë buppü ë bübabë inkum sidadola parju sila rüda to. Bulu Jisu ne leegë rëlla bollela bü ëm Pailat gëlo boa jito. 
MRK.15.2	Pailat bü ëm takato, “No Jius gaddëk roja ë lare?” Ëgum Jisu “Ë, Nokë mennam ëgë maabë” ëmrük to.
MRK.15.3	Jügtë gaddë Jisu ne yaaka go ajë ëm menbum lükto. 
MRK.15.4	Ëmbë rünamë Pailat bü Jisu ne taditokuda “No menrük lümare? buluk guunyü ajë ëm tasitola yadü go nom tuulük du.”
MRK.15.5	Ëmbë rüdakkom Jisu bü yo agom menrük sima tokuda. Ogo Pailat yo jaa bë rüdu naadü ëmla arüsinyo bë mëëto.
MRK.15.6	Inbo donam güdü dodü dükü bë patëk lokë anam nyi aken go tonyo bë tolen doobë nyi gaddëk konam go toji ladobë rüpe go Pailat gëlo kaato. 
MRK.15.7	Ëmbë rüdak ogo Barabas ëmnam nyi go nyi ëm rübu sitola güürüh mennë go mokë nago patëk lo duuto. 
MRK.15.8	Yadü lo nyitü ë inkum badü bulu Pailat bük rüpe rüchü ëm bullëm rüjilaka ëmla koto. 
MRK.15.9	Bü bullëm takato, “Ngom nonu nonuk Jius roja ne nonuk lëga bë tonyo bë tolen jilaka ëmla re?” 
MRK.15.10	Buluk nënam kootür lokëmum jügtë gaddë Jisu ne ngok lo jilük tunamë ëmla bü chensila gagto.
MRK.15.11	Rülachin jügtë rutum gaddë nyitü ë Pailat no Barabas ne tonyo bë tolen jilaka ëmdobë menür lükto. 
MRK.15.12	Ogo Pailat këba ëm hüka tokuda, “Nonuk Jius gaddëk roja ë ëmnam nyi sim ngo yo rütoka ëmla mëëdo?”
MRK.15.13	Bulu rumkër la mento. “Bü ëm paakolo pikkë geka.”
MRK.15.14	Pailat takatokuda, “Rülachin, yo në rümur rümëm gola bük rütu nammë?” ogo bulu rumkik yayala mento “Bü ëm paakolo pikkë geka.”
MRK.15.15	Pailat nyitü ëm rünyum naabë, bü bullëpë Barabas ne tonyo bë tolen jitoku. Ogo Pailat bü Jisu ne siddür gëlla, buluk alaklo bü ëm paakolo pikkë doobë jilük toku.
MRK.15.16	Sipai gaddë buluk ajen atür ëm gogkum silleela Jisu ne roja gë këba duugëko derë lo nengë toku. 
MRK.15.17	Bulu lübo lülonë jeboh go piklük to okkë tao gëdobë monam boolup go bük dumpolo puklük to. 
MRK.15.18	Ogo bulu bü ëm rülu dole bë salamla rüto, okkë menlu rüle rubë “Jius gaddëk Roja ë turyar laka!” ëmla gogto. 
MRK.15.19	Bulu sitdi sitdila bük dumpolokë këlak ë sitto, okkë bü ëm tachur ë churkap churnyap la moto. Aü aü ë Jisu gë alëlo durga doola kumkü kumpak la bulu kumto. 
MRK.15.20	Yadë lo buluk menlu rüle, rülu dole saëm rüngam badü bulu bük aü lokë lübo lülonë Jeboh piklük nammëm pikrek toku okkë bük jeku gëbë ëm pikkur lükto. Okë kookü bë bulu bü ëm paakolo pikkë doobë nengë toku.
MRK.15.22	Bulu Jisu ne Golgotha ëmko mooko atam lo aalük gëto. “Golgotha ëmnam si dumpo garü në moodi putu ë.” 
MRK.15.23	Okë kookü bë bulu anggur olalo lumbak Myrrh ëm sonyom gëlla bü ëm tütoka ëmla jito, rülachin Jisu ëgum tümato. 
MRK.15.24	 Ëmbë rütola bulu Jisu ne paakolo piklük gëlla tuchatola bük ejë laklük gaddëm orpen sidobë yë paarë dü ëmla lümë suka sito. 
MRK.15.25	Jisu ne buluk pikkë dak ogo aroh gë doonyi bajji ë kengnga to. Bulu Jisu ne aroh gë doonyi bajji ë kengnga bë pikkë to. 
MRK.15.26	Bü ëm guunyü lükla ekpak naanë “Jius gaddëk Roja Ë” Ëmla pori doobë ekto. 
MRK.15.27	Bulu Jisu ne pikkë kolo choobë në anyi gochin, akennëm lakbëk peelë okkë akennëm lakchi peelëbë pitta lükto. 
MRK.15.28	 Ëgë dërëk në boi lokë bük baab ëm ekchonam “Bü alë maanë nyi gaddëk ajë ëm laapen sika” ëmnam agom ëm jijja bë buupü moto ku.
MRK.15.29	Bëda lokë inpek në nyi gaddëchin dumpo ë panu pabekla rüdola Jisu ne menlu rüle rubë sëmbë mento, “A ha! no Yürnë ne kumko namë ëm seyaak gëlla loum lo moru tadak ku! 
MRK.15.30	Paako okkë iido kula ijja noü ëm turbu daalë sito kuke!”
MRK.15.31	Ëmbë dada jügtë rutum gaddë okkë Ayon saar gaddë, bulu aken aken ë Jisu ne nyürlu soole duula mento. “Bü këbbëm motur lato, rülachin bü aü ëm motur sila kuma! 
MRK.15.32	Këlo Kristo Israel gë roja ëm, paako lokkë ijja aü ëm iisi moto kuka, ogo ngonuchin kaagë rëlla mëëtin doobë!” ëmto.
MRK.15.32	Bü ëm pikko lo pittanam nyi gadë ëgëchin bü ëm menlu rülela mento.
MRK.15.33	Yadü lo alo loopo badü, kanë ë narëp nëgë arum gë doonyi baji gë aum lobë mooko buppü ë kanëla dakto. 
MRK.15.34	 Aum baji bë Jisu dutë rubë kula kapla mento “Eloi, Eloi, lama Sabakthani?” sokë ëmnamë “Ngom Yürnë, ngom Yürnë no yo bë ngom tugü pagge dakku naala?”
MRK.15.35	Yadëlo nëchi okë dagnë atu gonnë bü ëm ëgum tabadü, bulu mento. “Tatoka bü Elijah ne gogduna!” 
MRK.15.36	 Ogo aken gonnë jukda nëgë rënyak tola ishi nyomlük nëlo rümüh lo, ngurla kusuk nëkë nüknyom gëlla, ëgum tachëk tubë golo këggü to, okkë ëgum Jisu gë nabbëlo hüji dagebë ëmla tüji duula mento, “Ijja! kaju kaalaju Elijah bü aarula paako lokkëm bü ëm laalo gërë dü!”
MRK.15.37	Okkë ku dutë rubë gogtola Jisu bintoku.
MRK.15.39	Sipai nyigom yë kaaga peelë bë dagbe dü, Jisu gë dutë rubë gogtola binnam ëm yadü lo kaabadü bü sëmbë mento, “Si Nyi si bërok bë Yürnë gë Oroh rue nyi!”
MRK.15.40	Nëli nëngo ëkë odoo lokkë kaatenla dakto, buluk atür okë Mari Magdalin la abürya Jems gëla Joseph gë anë Mari okkë Salomi. 
MRK.15.41	Bulu Jisu gë Galili alo rëdak okë rëmin gënnëku okkë bü ëm rügur nëku. Okkë bü ëm inmin gëla Jerusalem inmin gënë nëli ëkëchin yaaka go rëto. 
MRK.15.42	Duunu alo lëga bë duunu dü alo gë arum ë rumrëku ogo, 
MRK.15.43	Arimathia lokë Joseph, këba lokëchin amin gënë membor go, bü aü ë Yürnë gë rëgë koëm tora nago, puktë sintë rubë Pailat gëlo aanë ëgë Jisu gë sima ëm jido bë koto. 
MRK.15.44	Pailat Jisu sikaku ëmnam ëm tala lomto. Bü sipai nyigom ëm goggëlla Jisu kojju aho bë siru enare ëmla takato. 
MRK.15.45	Bü sipai nyigom okë alëja bë sika ëmnam ëm chengë rëlla, bü Joseph ne sima ëm laado bë jito. 
MRK.15.46	Ëmbë rünamë Joseph sima ëm laaloto, okkë ejë ëkë rëgë rëlla sima ëm puchë naato. Okkë lülë lütak golo nyibu dünam golo sima ëm rutoku. Okë kookü bë bü nyibu ëm lüjap taktë runë gonnë ngurtum to. 
MRK.15.47	Nyibu runam ëm Mari Magdalin la okkë Joseph gë anë Mari bunyi kaato.
MRK.16.1	Duunu alo inro bë, Mari Magdalin la Jems gë anë Mari okkë Salomi bulu Jisu gë sima aülo hürdobë ëmla amuk namken në asin amin ëkë ruulela into. 
MRK.16.2	Hopta lokë lootu okkë aroh komchi bë, doonyi ë chaalen nyum doobë, bulu nyibu peelë bë into. 
MRK.16.3	Bulu bëdalo indula aken aken ë hüka sila into. “Yë kudü nyibu rabgo gë ülü am ngonnuëm ngurkok jide kunnë?” (Lëga ë nyibu aru ngurtum naanë ülü ë majja bë püttë nago) 
MRK.16.4	Rülachin bulu aado la kaanamë nyibu rabgolokë ülü ë ngurkok sila doodo bë kaapato. 
MRK.16.5	Bulu nyibu lo aanamë, Yaame go yapu në ejë gënë go lakbëk peelë bë, duudo bë kaapato, ogo bulu majja bë lomla bosoto.
MRK.16.6	Bü mento “Lomla boso yooka” “Ngo chendu, nonu paako lokë pikkënam Najarath lokë Jisu ne madu ëmla, bü sigi dookuma! bü turkur kaaku. Bü ëm yo lo abe dü akkoë siina, kaasitola. 
MRK.16.7	 Ijja den inne kula bük rëgënam gaddëm okkë Pitor bullëm sim dooyü sim menji taakuka. ‘Bü Galili alo nonnuëm incho yaarë, nonu bü ëm alo kaarük sirë.’ ”
MRK.16.8	Nëli gaddë nyibu lokkë nendo kula bosso ë paden ë rütola juktoku. Bulu yëmchin yo gochin menji maato. Lëga ë bulu boso to.
MRK.16.8	Korum gë ekcho ko boi lo Mark 16.9-20 gë sigi dooma.
MRK.16.9	Yadü lo Jisu bü hopta lokë lootu lokë gë komchi bë turkur kubadü, bük kaarük sicho yaaru nammë yëkë lokë bü ui kanü go minpak kubadü Mari Magdalin ne kaatom sitoku. 
MRK.16.10	Mü intoku okkë mëëdük la kapla riila duunë Jisu bük rëgë nam gaddëm menjitoku. 
