GEN.1.1	Abatelipuna elana Yabowaine labulabum ge panayawi i ginolil. 
1SA.30.25	Inoke Deibid logugui i pagasisi i ola to, i tabwa Isileli ali logugui ana siga lan ebe.
1SA.30.25	Sauga hi sikal Siklag, yaka bugubugul bolo hi oem haveyana, enuna i patuna labi Yuda ana tonowakau elal, bolo valila hi labe sauga iya ge wana hevalau hi lou nawanawa wali labiya. (puna 26-31)
1SA.31.1	Pilistiya hi haveyan Isileli elal oya Gilbowa elana. Yaka Isileli hi louem elal ge hi gewi hi lopaaligaliya to. 
1SA.31.2	He hi petaki Sol ge natunau eliyaa nige ali bwaga, yaka natunau bolau Diyontan, Abinadab, ge Malki-Suwa hi lopaaligal. 
1SA.31.3	Pilistiya hi haveyan gagasisi Sol eliyana, yaka toloegipoyo gau hi alihin Sol hi howa pwamwaun ge i lomwan nabi.
1SA.31.4	Inoke Sol i baek wana elohaveyan ana tokaval elana i ba, “Wam haveyan kilepana u momol tagilan abanaa yaka u howa paaligau. Bahi Pilistiya, heliya nige Yehoba hi aatena ge nige gotomwa yoho paganina hi aahe, nihi nenem tuwau nihi papalomwani ge nihi hohowa paaligau.”
1SA.31.4	Yaa wana elohaveyan ana tokaval i lovakun nabi yaka nige i giginol. Inoke Sol totona wana haveyan kilepana i ahe, yaka i pamilil ge i soguek pwatanaa. 
1SA.31.5	Sauga wana elohaveyan ana tokaval i kite Sol iyaka i aliga, inoke iya al ge wana haveyan kilepana i ahe i pamilil ge i soguek pwatanaa, yaka alona ge Sol hi aliga toyawa. 
1SA.31.6	Inoke Sol alonau natunau bolau eton, i ola al wana elohaveyan ana tokaval ge wana tolohaveyan, gegewel hi aliga lan maisena o elana.
1SA.31.7	Isileli bolo hi minaa abwabwa Oya Gilbowa gabulanaa ge wewel Yolidani labi leunati, hi kite wali tolohaveyan iyaka hi lou, ge wasa hi hago Sol alonau ge natunau iyaka hi aliga. Inoke wali panuwa ona hi lou luwail, yaka Pilistiya hi na hi holavel.
1SA.31.8	Hi kenu lan i gan, yaka Pilistiya hi na Isileli bolo hi aliga wali bugubugul waiwaisal hi bugulan, inoke Sol ge natunau eton bwaliwawagal
1SA.31.9	Inoke Sol mwamwalina hi gotomwa ge wana elohaveyan hi bugulan. Yaka elopapatuna hi patunal hi na Pilistiya ana labi gegewena elal, inoke wana yaomal wasana hi wasaan wali yabowaineyau wali limi tapwalolowa ge gamagalau elal. 
1SA.31.10	Wana elohaveyan hi teleliya wali yabowaine Astolet
1SA.31.11	Panuwa Yabesi, iyoho labi Giliyad elana, wasa hi hago hauna Pilistiya hi ginol Sol elana, 
1SA.31.12	yaka wali tolohaveyan waiwaisal gegewel bulina hi nawanawa hi na hi vin panuwa Bet-San. Inoke Sol ge natunau tuwaliya hi ahe lowan panuwa ana gana elana yaka hi pwatanik wali panuwaa Yabesi ge hi tonil. 
1SA.31.13	Yaka tutuwaliya hi ahe hi na hi yamwil abwakil tamalik
2SA.1.1	Sol wana yaomal enaa liwanina i ola hiwe. He Deibid alonau ge ana hevalau iyaka boda Amaleki hi pakokovel ge hi sikal hi miminaa panuwa Siklag. Sol i aliga ge lan labui al i mowasi, 
2SA.1.2	yaka lan etonina elana abwe heval etega i noem labi toto Sol ge wana tolohaveyan hi lohaveyana ni na Deibid elana. Nuwanak kaiwena ana kaliko i kukuleli ge papakova i yoho heheyan kokowanaa. Sauga i na Deibid elana, yaka heval o awatauwan kaiwena i talpo bilibiliya.
2SA.1.3	Yaka Deibid i neli i ba, “Owa ga u neem?”
2SA.1.3	Anana i lahe i ba, “Ya louem labi toto Isileli wali tolohaveyan hi lohaveyana.”
2SA.1.4	Inoke Deibid i baek elana i ba, “No wasa u pem haveyan wasana ga i ola?”
2SA.1.4	Anana i lahe i ba, “Isileli wali tolohaveyan hi louem haveyana, ge hi gewi Pilistiya hi lopaaligal. I ola al, Sol ge natuna Diyontan iyaka hi aliga.”
2SA.1.5	Yaka Deibid i baek heval elana i ba, “Ga u atena ola tage Sol ge natuna Diyontan iyaka hi aliga?”
2SA.1.6	Yaka heval i liwan Deibid elana i ba, “Nau iyoho ya oya Gilbowa te Sol ya nopwawa wana gau puna i antawan bilibiliya ge i gena palalek elana. Yaka Pilistiya wali waga momomol ginebi ge ana tolohaveyan hi tapalelu nok kelaubwa nihi vin elana. 
2SA.1.7	Inoke i tagena pil ge i kiteyau, yaka i yogaagau ge ya ba, ‘Tonowak, ga i ola?’
2SA.1.8	“Inoke i nelau i ba, ‘Henala owa?’
2SA.1.8	“Anana ya lahe ya ba, ‘Nau boda Amaleki gamagalina.’
2SA.1.9	“Inoke i awanun eliyau i ba, ‘U nem hiwe gegeliwa e yaka u gopaaligau, kaiwena bwagana yawaliu momolona, yaa i pulowan hot eliyau.’
2SA.1.10	“Inoke ya nok gegelinaa ge ya gopaaliga, kaiwena ya atena te iyaka hi howa bubun ge nige ni momolu. Kokowana ana hanahana ge nimana ana tovaha ya ahel, heliya hiwe ya pwatanim owa no babala eliyam.”
2SA.1.11	Yaka nuwanak kaiwena Deibid ana kaliko i kukulelelian, ge ana hevalau hi ginol ola al to. 
2SA.1.12	Inoke hi lonuwanak, hi kahikahin ge ali galebu hi palahikan, ana siga sabwelu i lobek, kaiwena Sol, natuna Diyontan, Yehoba wana tolohaveyan ge boda Isileli iyaka hi aliga haveyan kilepana elana.
2SA.1.13	Yaka Deibid heval i neli i ba, “Hapanuwa gamagalina owa?”
2SA.1.13	Anana i lahe i ba, “Nau boda Amaleki gamagalina ge ya mibwabwali labi Isileli.”
2SA.1.14	Inoke Deibid i ba, “Ga i ola ge nige u lolovakun? Yaka binimala Yehoba wana hilihili gamagalina bahi nu aapanak.”
2SA.1.15+2SA.1.16	Yaka Deibid i ba vevehe al i ba, “Wam gegi lahena nu aliga, kaiwena totom u wasaagiwa te u ba, ‘Yehoba wana hilihili gamagalina iyaka ya gopaaliga.’” Inoke wana hevalau avaliya etega i yogaan ge i baek elana i ba, “U nok u na u gopaaliga.” Yaka wana haveyan kilepana elana heval o i gopaaliga.
2SA.1.17	Kahin wonana ya Deibid i wonaan Sol alona ge natuna Diyontan kaiweliya. 
2SA.1.18	Inoke i ba nihi panpankiti-an un Yuda gamagaliliyau eliyalil. He alana Egipoyo Wonana ge iyoho Yasa i leli lowan wana buki gamwanaa.
2SA.1.19	O Isileli, wala toematana bwaliwawagal
2SA.1.20	Bahi nuku baubaunan panuwa Gat gamwanaa, o ebo nuku wawasaan Askelon ana kamwasa elal,
2SA.1.20	eba Pilistiya yowauiliyau nuwaliya ni waisi, ge bolo nige Yehoba hi aatena wali yowau nihi yaliyaya.
2SA.1.21	O labi Gilbowa oyana, bahi kehe ge bekubeku hunhunina ni lalau eliyam, ge bahi bibilem enona ni gagan.
2SA.1.21	Kaiwena toasiyala hi aligaa tei, ge wali ligovan i mibwagabwaga bilibiliya; Sol wana ligovan iyahe tei nige al nihi papaenonu.
2SA.1.22	Diyontan wana egipoyo gauina hi lilimwaun yaka tolohaveyan gasigasisel tuwaliya hi howa.
2SA.1.22	Sol wana haveyan kilepana nige i sisikal abanaa enoenovana, yaa ana topihigelgel saliyaliya i lau hi aliga.
2SA.1.23	Gamagalau Sol ge Diyontan yawaliliya miminana elana hi nunuwana-agil bubun, ge yaomal elana hi aliga toyawa.
2SA.1.23	Bwasumu magisubu hi mweyaha lakel ge laiyoni hi gasisi luwagil.
2SA.1.24	Isileli yowauiliyau, Sol baena nuku kahin,
2SA.1.24	kaiwena kaliko waiwaisana matana keketina elana i pagaloimiu, ge tuwan ana isela gold hi ginoliya elana i paiselamiu.
2SA.1.25	I bwe ge wala toasiyala hi pasogol haveyana! Diyontan bwaliwawagana iyoho wala oya pwataliyaa.
2SA.1.26	Taliu Diyontan, nuwau i nak nabi kaiwem, kaiwena ya nunuwanagiwa
2SA.1.26	ge wam nunuwana nau kaiweu i getoga hot, i lake te yova wana nunuwana lagona elana.
2SA.1.27	I bwe ge wala toasiyala hi pasogol! Wali elohaveyan hi eguluwagil nige al ali waisi.
2SA.2.1	Sauga etega al, Deibid i nel
2SA.2.1	Anana i lahe i ba, “E, nu sikal.”
2SA.2.1	Yaka Deibid i nel al i ba, “Hauna awan elana na minaa?”
2SA.2.1	Anana i lahe i ba, “Panuwa Hebiloni.”
2SA.2.2	Inoke Deibid lagonau labui i ahel alonau, etegana Ahinoam Diyeslil yovana ge labuina Abigeil Nabal gagama Kamel abuabulina. 
2SA.2.3	I ola al ana hevalau avaliyau lagoliyau ge natuliyau i ahel hi na hi minaa Hebiloni ge awanina ona elal. 
2SA.2.4	Yaka Yuda bolauiliyau hi na Hebiloni, inoke enonu hi hol Deibid kokowanaa i tabwa boda Yuda wali kin.
2SA.2.4	He Deibid wasa i hago te Yabesi, iyoho labi Giliyad, bolauiliyau Sol tuwana iyaka hi ahe ge ga hi teli ola. 
2SA.2.5	Inoke elopapatuna i patunal hi na elal ge hi ba, “Yehoba ni muloluagimiu, kaiwena wami tonowak Sol tuwana ku ahe ge ku teli, inoke eliyana wami nunuwana iya kaiwena ku pamasal. 
2SA.2.6	Inoke ya awanun Yehoba wana nunuwana ni pamasal hikahikani eliyamiu. Nau al ge ginol waiwaisana toto ku ginol Sol elana lahena na ginol bubun eliyamiu. 
2SA.2.7	He wami tonowak Sol iyaka i aliga ge Yuda enonu hi hol kokowawa iyaka ya tabwa wali kin, inoke atemiu ni matuwa ge nuku lohaveyan gagasisi.”
2SA.2.7	He Abna, Sol wana tolohaveyan wali tohouwa, iyaka Sol natuna Isboset i ahe hi na panuwa Mahanaim ge i pakin un gegewel al kaiweliya. (puna 8-11)
2SA.2.7	Lan etega Abna Isboset wana tolohaveyan i nulil hi na panuwa Gibiyon. Yowab Deibid wana tolohaveyan al i nulil, yaka boda labui hi petupatupa-agil wewel kenken etega elana iyoho Gibiyon. Yaka abwe boda labui hi lohaveyan gagasisi, yaa Deibid wana tolohaveyan hi gasisi yaka Abna ge Isileli wali tolohaveyan hi pakokovel ge hi lou. (puna 12-17)
2SA.2.7	Yowab talina Asahel Abna i take. Abna i baek elana i ba, “Bahi nu tatakeyau. Nige nuwau na loliwa, kaiwena owa Yowab talina.” Yaa Asahel iyoho ya i pepetaki, inoke Abna Asahel i lopaaliga. (puna 18-23)
2SA.2.7	Yaka abwe Yowab ge talina etega al alana Abisai, avaliyau wali tolohaveyan Abna ge wana boda hi takel. Sabwelu i lolobek Abna ge wana boda hi minaa oya etega pwatanaa ge i yoga Yowab elana i ba, “Besela taulol!” Yaka Yowab i bakuhu lopetaki. (puna 24-28)
2SA.2.7	Yaka Abna alonau wana tolohaveyan hi sikal Mahanaim. Yaa Yowab alonau wana tolohaveyan Asahel tuwana hi teliya Bedeliyema, yaka abwe hi sikal Hebiloni. (puna 29-32)
2SA.4.4	(He Sol natuna Diyontan natuna tauina etega i gan alana Mepiboset, iya wana baliman nimala panuna abwe aena labui hi nak. He saugena o Sol ge Diyontan wali yaomal wasana i noem labi Diyeslil, yaka ana tomatahikan i kalivai ge hi lou. Yaa patotoya kaiwena inoke i pwabun ge abwe aena hi nak, nige bosowaina ni nawanawa bubun.)
2SA.4.4	Lan etega alalatiya, Isboset i kenu wana abakenuwa. Bana ge Lekab hi tuk wana lum gamwanaa, yaka hi howaa tinenaa ge abwe mwamwalina hi gotomwa. Inoke balomana hi pwatanik Deibid elana Hebiloni. Heliya hi nuwatu tage Deibid ni pwamolal, yaa i ba, “Tau ya nige wana gegi te ku lopaaliga totona wana abakenuwa, inoke nige ami lahi ni kakala.” Yaka i ba wana tolohaveyan hi lopaaligal. (puna 5-12)
2SA.5.1	Sauga etega al abwe Isileli ali un gegewel hi na Deibid hi kite panuwa Hebiloni ge hi baek elana hi ba, “Tunahot ama tutuma owa. 
2SA.5.2	Valila Sol iya wama kin, yaa owa te ama Isileli wama tolohaveyan u nunulil haveyan elal. Ge Yehoba i baewa elam i ba, ‘Owa bwaliga nu ola sipi ali tomatahikan no gamagalau Isileli kaiweliya, ge nu tabwa wali tohouwa.’”
2SA.5.3	Inoke Hebiloni elana Deibid alonau ge Isileli wali tonowakau hi pebaabateli-agil Yehoba matanaa, yaka enonu hi hol kokowanaa i tabwa wali kin.
2SA.5.4	Deibid wana baliman teti (30) te i tabwa kin, yaka i logugui baliman ali gewi poti (40). 
2SA.5.5	Hebiloni elana Yuda i logugui-agil baliman seben ge waikena sikis, yaka abwe Yelusalema elana Isileli ge Yuda gegewel i logugui-agil baliman teti tili (33).
2SA.5.6	Deibid wana tolohaveyan i nulil hi na Yelusalema nihi lohaveyan Yebusi elal, heliya labi o towohiliyau. Heliya hi nuwatu tage Deibid nige bosowaina ni tuk wali panuwaa, yaka hi ba hanaha elana hi ba, “Nige nuku tutuk wama panuwaa. Bwagana tomatakai ge bolo aeliya i kom, bosowailiya ya te nihi palimiu.” 
2SA.5.7	Bwagana hi ba ola o, yaa Deibid ge wana tolohaveyan hi tuk ge wali sivesive
2SA.5.8	Mulaa abwe hi tuk hi haveyan, he lan o elana Deibid i ba, “Ebo nuwala Yebusi ta pakokovel, inoke ta uluhek gol kenken toto wewel ana abawagi
2SA.5.9	Sauga wali sivesive Deibid i ahe, inoke i na i minaa ge alana i tun Deibid wana Panuwa. Yaka abwe panuwa i tal painan pwabwata, i telipunaa labi toto bwana hi ken ginolil labilabiya mwalu kaiweliya ge i tal tuk panuwa gamwanaa. 
2SA.5.10	Yaka Deibid wana gasisi i bwatabwata ya, kaiwena Yehoba Yabowaine Togasisi Hot i minaa elana.
2SA.5.11	Panuwa Taya wali kin alana Hilam wana elopapatuna i patunal hi na Deibid elana, ginebi ge abwakil sida
2SA.5.12	Inoke Deibid iyaka i atena te Yehoba i patunahot iya i kin Isileli elal, ge wana abalogugui alana i pwabwata wana gamagalau Isileli wali waisi kaiwena.
2SA.5.13	Sauga Deibid panuwa Hebiloni i eguluwan i na i minaa Yelusalema, inoke yowau hi gewi al i alolon-agil, enuna lagonau hot, ge enuna 
2SA.5.14	He natunau bolau bolo hi abiliya to alaliya i ola hiwe: Samuwa, Sobab, Neitan, Solomon, 
2SA.5.15	Ibhal, Elisuwa, Nepeg, Yapiya, 
2SA.5.16	Elisama, Eliyada ge Elipelet.
2SA.5.17	Sauga Pilistiya wasa hi hago te Isileli enonu hi hol Deibid kokowanaa i tabwa wali kin, inoke wali tolohaveyan gegewel hi tagil hi na hi loyaan. Wasaliya Deibid i hago, inoke i na ababunsumi elana.
2SA.5.18	He Pilistiya iyaka hi nem hi holaviya Abwab Lepaim ge hi pakalaopop. 
2SA.5.19	Yaka Deibid i nel
2SA.5.19	Anana Yehoba i lahe i ba, “E, nu nok. Tunahot na telel nimwamwa.”
2SA.5.20	Inoke Deibid alonau wana tolohaveyan hi na panuwa Bal-Pelasim avaliyau Pilistiya hi lohaveyan ge hi pakokoveliya to. Yaka i ba, “Yehoba o topihigelgel i tagalekaleka-agil maniniwa i ola banata gasigasisena.” Inoke heiya te kaiwena panuwa o alana i tun Bal-Pelasim.
2SA.5.21	He Pilistiya wali yabowaineyau gogoginol hi lou luwagiliya to, yaka Deibid ge wana tolohaveyan hi kalivail egonagil.
2SA.5.22	Sauga etega al abwe Pilistiya hi sikal hi holaviya Abwab Lepaim ge hi pakalaopop. 
2SA.5.23	Inoke Deibid Yehoba i neli ga ni ginol ola. Wana nel i lahe i ba, “Bahi nuku nonopasapu elal, yaa nuku nopain eliyaa, yaka abwe nuku tuk nuku haveyan elal abwakil popla awoliyaa. 
2SA.5.24	Sauga ebo butun nuku hago abwakil popla lamwaliyaa ni ola tolohaveyan aeliya butuna, yaka etimwawa nuku tuk nuku haveyan elal. Kaiwena nau Yehoba na nohouwa awomiwa Pilistiya wali tolohaveyan na lolil.” 
2SA.5.25	Yaka Deibid i ginol ola Yehoba wana baaba, inoke alonau ge wana tolohaveyan Pilistiya hi takel ge hi mimi lololil, i telipunaa panuwa Gibiyon i na ana siga panuwa Gesel.
2SA.6.1	Sauga etega Deibid Isileli wali tolohaveyan bolo waiwaisal ali gewi teti tausan (30,000) i yoga gogonil 
2SA.6.2	ge hi nok hi na panuwa Bala
2SA.6.3	He Yabowaine wana Bateli ana Dedewaga hi ahem Abinadab wana limiya, i miminaa oya etega elana, inoke hi usana waga momomol vavaluna etega gamwanaa.
2SA.6.4	toto Yabowaine wana Bateli ana Dedewaga iyoho pwatanaa. Ahiyo i nohouwa waga momomol ge bulumwakau awoliyaa i kelauni. 
2SA.6.5	Yaka Deibid alonau Isileli gegewel ginebi wali gasisi bwalibwaligena hi yaliyaliyaya Yehoba matanaa. Egalagalavenu hapi tomaha ona, tambalin, kal ge simbol
2SA.6.6	Sauga hi vin Nakon wana 
2SA.6.7	Yaa Usa i gegi to, kaiwena Bateli ana Dedewaga ana logugui nige i hehenapu-an.
2SA.6.8	Yaka Deibid i huga, kaiwena Yehoba tinena i lut Usa elana ge i tagapaaliga. Inoke panuwa o alana i tun Peles-Usa,
2SA.6.9	Yaa lan o elana Deibid Yehoba i lovakunan ge i ba, “Iyaka nige bosowaiu Yehoba wana Bateli ana Dedewaga na ahe ni minaa elau.” 
2SA.6.10	Yaka nige nuwana Yehoba wana Bateli ana Dedewaga ni ahe ni pwatanik Deibid wana Panuwaa, yaa i na i teliya gagama Gat,
2SA.6.11	He waikena eton i miminaa to, yaka Yehoba Obed-Idom ge wana limi ana heniheni gegewel i mulolu-agil.
2SA.6.12	Yaka abwe kin Deibid wana wasa hi pek hi ba, “Yehoba Obed-Idom wana limi ana heniheni i mulolu-agil ge wana bugubugul gegewel hi waisi, kaiwena Yabowaine wana Bateli ana Dedewaga i miminaa elana.” Inoke Deibid alonau wana gamagalau hi na Yabowaine wana Bateli ana Dedewaga hi ahem Obed-Idom wana limiya ge alona wali yaliyaya bwabwatana hi kalivai hi pwatanik Deibid wana Panuwaa. 
2SA.6.13	Sauga bolo hi kaval hi nawa egon aeliya hi teli pasikis, yaka Deibid i ba hi talmilil inoke bulumwakau melutauina etega ge bulumwakau natuna tatabwana etega i powonagil Yehoba elana. 
2SA.6.14	Wali nawanawa kamwasaa, holahola alana ipod, hi ginolem kaliko waiwaisana elana, Deibid i galoi,
2SA.6.15	Alonau Isileli gegewel Yehoba wana Bateli ana Dedewaga hi pwatanik Yelusalema, hi nonoyogayoga ge bwagigi hi yuyu.
2SA.6.16	Sauga hi kaval tukan Deibid wana Panuwaa, Sol natuna Mikal iyoho matana i laulau windowa, i kite lagona Deibid i susupeni ge i sagasaga Yehoba matanaa. Yaka atena eliyana i awa naknak-an.
2SA.6.17	Yaka hi na Bateli ana Dedewaga hi kaval teliya abanaa, epanapana toto Deibid i pamilil gamwanaa. Inoke Deibid bwasumu i powonagil Yehoba elana, enuna i powonagil pwabwaligel ge enuna 
2SA.6.18	Sauga i powon haba, yaka gamagalau i ba mulolu-agil Yehoba Togasisi Hot alana elana. 
2SA.6.19	Inoke beleid maisena, 
2SA.6.20	Sauga Deibid i sikal wana limiya tage ni ba wana limi ana heniheni Yehoba ni mulolu-agil, yaka lagona Mikal Sol natuna i tagil i na i kite ge i baek elana i ba, “Ga i ola ge lan ebe owa Isileli wali kin, totom am puluwawi u ginol ge tuwam u pabokaboka alomwau wali totuwalali loloyowanil galokau mataliyaa, i ola tosigasiga wali ginol?”
2SA.6.21	Anana Deibid i lahe i ba, “Yehoba matanaa te ya sagasaga. Iya i hileyau tamwam ya milahe, i ola al nige ana un gamagalina etega i hihile. Yaa nau i hileyau ya tabwa wana gamagalau Isileli ali tologugui, inoke na yaliyaliyaya ya Yehoba matanaa. 
2SA.6.22	Ya yaliyaya te alau na teli lowan hoti, o ebo totou o puluwawi na ginol. Yaa totuwalali galokau bolo baliya u babaa ei, heliya nihi awatau-agau.”
2SA.6.23	He Sol natuna Mikal nige sauga etega i aab ana siga i aliga.
2SA.7.1	Sauga Yehoba kin Deibid i labe ana topihigelgel gegewel bolo hi minaa labi Isileli bebenaa i pakokovel ge i veyaho, yaka Deibid i mibubun wana limi elana, 
2SA.7.2	inoke i baek palopita Neitan elana i ba, “Nau hiwe ya minaa kin limena abwakil sida elana hi taliya, yaa Yabowaine wana Bateli ana Dedewaga i minaa epanapana gamwanaa.”
2SA.7.3	Kin anana Neitan i lahe i ba, “Hauna u nuwatuan atemwa, he nu ginol ya, kaiwena Yehoba i minaa eliyam.”
2SA.7.4	Yaa lan o bulinina Yehoba i baek Neitan elana i ba:
2SA.7.5	“Nu na nu baek no totuwalali Deibid elana nu ba, ‘Yehoba i ba ola hiwe: Owa nige limi nu tatal kaiweu ge na miminaa. 
2SA.7.6	I telipunaa sauga Isileli ya ahel hi tagilem Itipita ana siga lan ebe, nige ya miminaa limi etega gamwanaa. Ya mimi nawanawa panuwa ge panuwa ona elal, he ya miminaa ya te epanapana gamwanaa. 
2SA.7.7	Alowau boda Isileli wama minawanawa labi gegewena elal, nige sauga etega ya babaek tohouwa bolo ya telel no gamagalau Isileli ali tomatahikan elal ya babaa, “Ga i ola ge nige abwakil sida elana limi waiwaisana etega ku tatal kaiweu?” ’
2SA.7.8	“Inoke nu baek no totuwalali Deibid elana nu ba, ‘Yehoba Togasisi Hot i ba ola hiwe: Nau ya ahewaa uleyaa owa sipi ali tomatahikan ge ya hilewa u tabwa no gamagalau Isileli ali tohouwa. 
2SA.7.9	Hauna labi elana valila u noek alou owa ya, ge am topihigelgel gegewel ya pakokovel maninimwa. Inoke alam na teli heyan, ni ola gamagalau alaliya bwabwatal panayawiya. 
2SA.7.10	I ola al, no gamagalau Isileli wali panuwa etega na pek elal ge na telel nihi holaviya, inoke ni tabwa totoliya wali panuwa ge nihi mibubun. Inoke toginol naknak nige al nihi papalomwan-agil ni oola valila hi ginol elal, 
2SA.7.11	i telipunaa sauga toto toasiyala ya telel no gamagalau Isileli hi houwaagil. Ge am topihigelgel gegewel na pakokovel ge nu veyaho.
2SA.7.11	“‘Ya baewa elam te nau Yehoba limi etega na pamilil kaiwem. He ya ba alomwau tubutubumwau heyan ge heyan nuku tologugui. 
2SA.7.12	Ebo iyaka wam sauga ni pwawa ge nu aliga nu na alomwau tubumwau, inoke natum etega totom saliyam hot na palut abam ni milahe, yaka wana abalogugui na pamilil ni gasisi. 
2SA.7.13	He iya te Limi Bwabwalena ni tal alau kaiwena, inoke wana abalogugui na pamilil ni gasisi ge ni kalapapanet tubutubunau elal ni mihot. 
2SA.7.14	Nau na ola tamana ge iya ni ola natu. Ebo ni gegi, inoke suki elana na nibihi, ni ola taman etega natuna i papahenapu. 
2SA.7.15	Yaa no nunuwana nige na aahek yoho eliyana, nige ni oola toto ya ginola Sol elana, iya ya ahek yoho abanaa ge owa u milahe. 
2SA.7.16	Wam limi ge wam abalogugui nihi mihot matawa sauga gegewena; wam abalogugui ni gasisi ge ni kalapapanet tubutubumwau elal nige ni momowasi.’”
2SA.7.17	Yaka Yehoba wana baaba gegewena toto pankite ya eliyana, Neitan i na i baunanik Deibid elana.
2SA.7.18	Inoke kin Deibid i na i tuk epanapana gamwanaa toto Bateli ana Dedewaga i miminaa, yaka i misiyo Yehoba awonaa ge i awanun i ba:
2SA.7.18	“O Babala Yehoba, henala nau ge henalau nam ana un, ge iyaka u aheyau u teleyau abamina bwabwatana ya elana? 
2SA.7.19	Yaa Babala Yehoba, toto o nige mananana! Yaka u ginol paetulan ge u bateli nau wam totuwalali natu ge tubutubuwau sauga mulaa kaiweliya. O Babala Yehoba, age u giginol ola o gamagalau gegewel elal? 
2SA.7.20	Gamwaniniu i kevakeva, nige bosowaina na baaba! O Babala Yehoba, nau wam totuwalali o nuwan u tu ge u hileyau. 
2SA.7.21	U bateli ge nuwam nu ginol ola, inoke ginol bwabwatana ya u ginol ge u pamasal nau wam totuwalali eliyau.
2SA.7.22	“O Babala Yehoba, owa alam i bwata. Nige etega wasana ha hahago i ola owa! Nige Yabowaine etega al i gagan, maisem ya. 
2SA.7.23	Nige boda etega panayawiya i oola wam gamagalau Isileli! Owa Yabowaine u pwamola pasikaliliem Itipita hi tabwa owa wam gamagalau ge alam u pawasawasa. I ola al, ginol yawiyawi bwabwatal u ginolil, inoke boda tomaha ona avaliyau wali yabowaineyau u pakokovel ge u takel tagilagil wam gamagalau o awoliyaa ge hi minaa labi toto u hile kaiwem. 
2SA.7.24	Boda Isileli u hilel hi tabwa owa wam gamagalau sauga gegewena nige ni momowasi, ge owa Yehoba, u tabwa wali Yabowaine.
2SA.7.25	“Inoke Yehoba Yabowaine, wam bateli nau wam totuwalali ge tubutubuwau kaiwema nu patunahot ge ni mihot. Nu ginol ni ola wam bateli, 
2SA.7.26	inoke alam ni wasawasa sauga gegewena nige ni momowasi. Yaka gamagalau nihi ba, ‘Yehoba Togasisi Hot iya Isileli wali Yabowaine!’ Nau wam totuwalali Deibid no abalogugui nu pamilil ni gasisi matamwa ge ni kalapapanet tubutubuwau elal nige ni momowasi.
2SA.7.27	“O Yehoba Togasisi Hot, Isileli wama Yabowaine, u pamasal nau wam totuwalali eliyau u ba, ‘Nau limi etega na pamilil kaiwem, inoke alomwau tubutubumwau heyan ge heyan nuku tologugui.’ Inoke ateu i matuwa te awanun ya ya awanuni eliyam. 
2SA.7.28	O Babala Yehoba, owa Yabowaine tutunahotina! Wam baaba i tunahot, ge waisi toto ya iyaka u bateli nau wam totuwalali eliyau. 
2SA.7.29	Kaiwena owa Babala Yehoba u ba ola to, inoke alowau ge tubutubuwau nu ba mulolu-agima, yaka owa matamwa abalogugui ni mihot eliyama. Wam ba mulolu o ni mihot alowau tubutubuwau eliyama!”
2SA.8.15	Deibid i tabwa kin Isileli gegewel elal ge wana logulogugui i waisi ge i sapu. 
2SA.8.16	Seluwaiya natuna Yowab, iya tolohaveyan wali tohouwa. Ahilud natuna Yehosapat, iya kin wana logugui ana tomatahikan ge ana towasa. 
2SA.8.17	Ahitub natuna Seidok, ge Abaiyada natuna Ahimelek,
2SA.8.18	Yehoiyada natuna Benaiya, iya boda Keleti ge boda Peleti wali tohouwa. Ge Deibid natunau heliya hi ola topowon.
2SA.9.1	Lan etega Deibid i nel wana totuwalali elal i ba, “Tab Sol tubutubunina etega iyoho ya i minamina, inoke na atilomwan-an Diyontan ana awatauwan kaiwena?”
2SA.9.2	He Sol wana totuwalali etega alana Siba iyoho i gan, inoke hi yogaan i na kin Deibid elana. Yaka i nel i ba, “Owa alam Siba?”
2SA.9.2	Anana i lahe i ba, “E, nau wam totuwalali alau tei.”
2SA.9.3	Inoke kin i nel i ba, “Tab Sol tubutubunina etega iyoho ya i minamina, inoke na atilomwan-an ni ola Yabowaine wana atilomwan.”
2SA.9.3	Anana Siba i lahe i ba, “E, Diyontan natuna melutauina etega i gan iyoho, yaa aena labui hi nak, nige bosowaina ni nawanawa bubun.”
2SA.9.4	Inoke kin i nel i ba, “He iya ga?”
2SA.9.4	Anana Siba i lahe i ba, “Iya iyoho Amiyel natuna Makil wana limiya panuwa Lo-Debal.”
2SA.9.5	Inoke kin Deibid wana totuwalali i patunal hi na hi ahem Lo-Debal ge hi pwatanim elana.
2SA.9.6	Sauga Mepiboset, iya Diyontan natuna ge Sol tubuna, i na Deibid elana, yaka i kululu maninina i pahanalowanek bilibiliya.
2SA.9.6	Inoke Deibid i baek elana i ba, “Ateu owa Mepiboset!”
2SA.9.6	Anana i lahe i ba, “Nau wam totuwalali.”
2SA.9.7	Yaka Deibid i ba, “Bahi nu lolovakun, kaiwena nasi na atilomwan-agiwa tamwam Diyontan ana awatauwan kaiwena. Inoke bilibili gegewena toto valila i minaa tubum Sol eliyana na pewa eliyam, ge owa sauga gegewena nu aanana no teibola.”
2SA.9.8	Yaka Mepiboset i kululu ge i baek Deibid elana i ba, “Nau gamagal bwagabwaga ya, ya ola ya te wanuka alialigana, inoke ga i ola ge u atilomwan-agau?”
