MAT.1.1	Yesu Kristo, Owíe 
MRK.6.55	Mʋ́ sʋ bɛsrɩ́ yótsu amʋ́ alɔpʋ sʋ́rá akpasʋ, tsú ntɩ́nɛ́-ntɩ́nɛ́ bɔtʋ mʋ ɩnʋ. 
MRK.6.56	Ɔtɩ́nɛgyíɔtɩ́nɛ́á Yesu lɔ́yɔ, igyi wúlutɔ ntɛ́ɛ akuda ó á, bɔpʋ amʋ́ alɔpʋ bɔtswɩ brɔnʋsʋ, kókóli mʋ bɛɛ, ɔhá alɔpʋ amʋ abʋpʋ ɩbɩ da mʋ atadɩɛ ɔdanʋ́ kpán. Amʋ́á bɔpʋ ɩbɩ da mʋ́ fɛ́ɛ́ benya ɩlɔtsá.
MRK.7.2	Mʋ́ʋ́ bowun ánɩ́ mʋ akasɩ́pʋ́ amʋ akʋ bʋmɔfwɩ ɩbɩ amándɩ́ɛ́ ɔkpasʋ asa bʋdɛ atɔ́ gyí.
MRK.7.3	(Tsúfɛ́ 
MRK.7.4	Alɩ kɛ́n nɩ́ bʋmɔkʋ́gyʋ́ra ɩwɩ á, bʋtamagyi tɔ́á bɔpʋtsúa bíásʋ́ ba nɩ. Amándɩ́ɛ́ bámbá kʋ aná ɛ́ bʋ ɩnʋ, bʋtráa bʋdɛ mʋ́tɔ́ tsú nwɛ núu ntsu, nlɔ́ pʋ́ nlanka ɩwɩ.)
MRK.7.5	Mʋ́ sʋ amʋ́a Mose mbla asunápʋ́ bɛfɩtɛ́ Yesu bɛɛ, “Ntogyi sʋ́ fʋ́ akasɩ́pʋ́ amʋ bʋtamagyi anɩ anáin amándɩ́ɛ́sʋ́, bʋmɔfwɩ ɩbɩ amándɩ́ɛ́ ɔkpasʋ asa abʋgyi atɔ́?”
MRK.7.6	Yesu lɛ́lɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Ɔnɔkwalɩ 
MRK.7.6	‘Ahá ánfɩ bʋdɛpʋ amʋ́ ɔnɔ́ bú mɩ́,
MRK.7.6	támɛ amʋ́ klʋn bʋ ɩfɔ́ mɩ́ wá.
MRK.7.7	Kpaalɩ bʋdɛ mɩ́ sum,
MRK.7.7	tsúfɛ́ basí Bulu mbla tswɩ,
MRK.7.7	yɔ́ bʋdɛ anyánkpʋ́sa mbla suná.’
MRK.7.8	“Mlɩlasí Bulu mbla ámʋ tswɩ, mlɩdɛ́ mlɩ anáin amándɩ́ɛ́tɔ́.”
MRK.7.9	Ɩnʋ ɔlɛbláa amʋ́ ɔbɛ́ɛ, “Mlɩlapina si Bulu mbla ámʋ tswɩ nyánsatɔ, mɛ́nɩ mlégyi mlɩ onutó amándɩ́ɛ́sʋ́. 
MRK.7.10	Tsúfɛ́ Mose lɔ́wanlɩ́n wá Bulu mbla ámʋtɔ ɔbɛ́ɛ, ‘Bu fʋ́ sɩ́ mʋa fʋ́ yin.’ Ɔlɛtrá wanlɩ́n ɔbɛ́ɛ, ‘Nɩ́ ɔkʋ lɛ́blɩ́ asʋkpan tsú mʋ sɩ ntɛ́ɛ mʋ yin ɩwɩ á, bʋmɔ́ɔ mʋ.’ 
MRK.7.11	Támɛ mlɩ mʋ́ mlɩaa, ɔha ɔbɛ́talɩ́ bláa mʋ sɩ ntɛ́ɛ mʋ yin ɔbɛ́ɛ, ‘Tɔ́á tɛkɩ nɔ́pʋhá fʋ́ á, napʋ́bwɛ́ Koban.’
MRK.7.12	Mlɩlahá ahá bʋmɛdɛ́ tɔtɔ bwɛ há amʋ́ akwɩɩ́pʋ́. 
MRK.7.13	Mlɩ anáin amándɩ́ɛ́ sʋ mlɩtráa mlɩmɛ́dɛ́ Bulu mblasʋ gyí. Ntobí tsɔtsɔɔtsɔ ɛ́ bʋ ɩnʋá mlɩtráa mlɩdɛ́bwɛ tsɩ́a ɩ́nɩtɔ.”
MRK.7.14	Yesu lɛ́trá tɩ ɔdɔm amʋ ba mʋ ɩwɩ wá, ɔlɛbláa amʋ́ ɔbɛ́ɛ, “Mlɩ fɛ́ɛ́ mlɩyaa asʋ amlɩnu ɩ́nɩ asɩ! 
MRK.7.15+MRK.7.16	Megyí tɔ́á ɔha tegyi tɔ́kpɔ́ɩ́ mʋ Bulu ansɩ́tɔ́. Mboún mʋ́á ɩtɛdálɩ tsu mʋ ɔnɔ́.
MRK.7.17	Brɛ́á ɔlɛnatɩ́ sí ɔdɔm amʋ yɔ́ wóyítɔ́ a, mʋ akasɩ́pʋ́ amʋ bɛfɩ́tɛ́ mʋ yébi anfɩ asɩ. 
MRK.7.18	Ɔlɛlɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Mlɩ ɛ́ mlɩtamanú asʋ́n asɩ? Mlɩméyín ánɩ́ tɔ́á itowíé ɔha ɔnɔ́ tamakpɔ́ɩ́ mʋ Bulu ansɩ́tɔ́? 
MRK.7.19	Tsúfɛ́ megyí mʋ klʋntɔ itowíé, mboún mʋ iputɔ itowíé, ɔtɛyɛ́lɛ mʋ́ wá ɔkpʋntɔ.” (Yesu lɛ́lɛ mʋ́tɔ́ pʋ́súná ánɩ́ atogyihɛ kugyíkʋ 
MRK.7.20	Ɩnʋ ɔlɛbláa amʋ́ ɔbɛ́ɛ, “Tɔ́á ɩtɛdálɩ tsu ɔha klʋntɔ tɔ́kpɔ́ɩ́ mʋ Bulu ansɩ́tɔ́. 
MRK.7.21	Tsúfɛ́ ɔha klʋntɔ ágywɩɩn laláhɛ kugyíkʋ tɛdálɩ tsu. Mʋ́tɛhá mʋ ɔtɔwá atsɩ mʋ́a ayin asʋ́n, otowí atɔ́, ɔtɔmɔ́ ɔha, ɔtɔtɔ́ mbʋa, 
MRK.7.22	ɔtɔwá ɔnsɩpɛ, ɔtɔbwɛ́ lalahɛ, ɔtɛmlɛ́ ahá, ɔtɔwá hakpan, ɔtɔwá olu, otetsii ɔha, ototsú ɩwɩ, ɔtɔbwɛ́ mimlála. 
MRK.7.23	Ɔha klʋntɔ, atɔ laláhɛ anfɩ fɛ́ɛ́ ɩtɛdálɩ tsu. Mʋ́tɔ́kpɔ́ɩ́ mʋ nɩ.”
MRK.7.24	Yesu lɛ́natɩ́ ɩnʋ yɔ́ Tiro nsáɩntɔ. Ɔlɔyɔ́swɩɩ́ wóyí kʋtɔ. Omedéklé ɔbɛ́ɛ ahá bʋbɩ́ɩ ánɩ́ maba ɩnʋ, támɛ ɔmɛtalɩ́ ŋáín mʋ ɩwɩ. 
MRK.7.25	 bʋ ɔtsɩ ɔkʋ mʋ bi tsɩ́hɛ́tɔ́. Olenya nú Yesu nka alɩ, ɔlɔwa ɔsa bɛda akpawunu mʋ ayabitɔ. 
MRK.7.26	Griikiyintse ɔtsɩ ánfɩ gyí. Bɔkwɩɩ́ mʋ Siro Foenike ɔsʋlʋ́sʋ. Olokokóli Yesu ɔbɛ́ɛ, ogyáa ɔŋɛ laláhɛ amʋ lɛ mʋ bi ámʋtɔ. 
MRK.7.27	Támɛ Yesu lɛ́bláa mʋ ɔbɛ́ɛ, “Ha nyebí ámʋ abʋmwɛ asa, tsúfɛ́ ɩma alɛá fɔ́swɩɩ́ nyebí atogyihɛ pʋ́há akɩ́aɩ.”
MRK.7.28	Ɔtsɩ ámʋ lɛ́lɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Owíé, ɩbʋ mʋ́tɔ́ alɩ, támɛ akɩ́aɩ ánɩ́ bʋda ɔpʋ́nʋ́ ámʋ asɩ ɛ́ bʋtegyi nyebí atogyihɛ mpupubiá ɩtɛkpákpa bun amʋ́ ɔpʋ́nʋ́asɩ.”
MRK.7.29	Mʋ́ʋ́ Yesu lɛ́bláa mʋ ɔbɛ́ɛ, “Fabɩ́ lɛ́ mʋ́ ɔnɔ́. Mʋ́ sʋ natɩ, ɔŋɛ laláhɛ amʋ ladálɩ fʋ́ bí tsɩ́hɛ́ ámʋtɔ.”
MRK.7.30	Brɛ́á ɔtsɩ ámʋ lɔ́yɔ wóyítɔ́ a, olowun ánɩ́ ɔŋɛ laláhɛ amʋ ladálɩ mʋ bi ámʋtɔ, alasí ɔda mpásʋ́.
MRK.7.31	Yesu lɛ́natɩ́ Tiro ɩnʋ yɔ́ Sidon yóbomlí kplɩ́ ba Dekapoli
MRK.7.32	Bɔpʋ ɩsʋtín ɔkʋ ba mʋ, ɔtamatálɩ́ tɔ́ɩ́ wankláán. Bokokóli mʋ bɛɛ, ɔpʋ́ʋ ɩbɩ dɩnka mʋsʋ. 
MRK.7.33	Mʋ́ʋ́ ɔlɛkpa oyin ámʋ ya ɩfʋ́ntɔ́, pʋ́ mʋ asrebi wá oyin ámʋ asʋtɔ, olotu atsʋnɔ́ dɩ́nká mʋ osrebisʋ, pʋ́dá oyin ámʋ ɔdandʋsʋ. 
MRK.7.34	Ɩnʋ olotsu ansɩ́ fʋ́á kɩ ɔsʋ́sʋ́, lʋ́n ɔŋɛ́ fʋ́. Mʋ́ʋ́ ɔlɛblɩ́ ɔbɛ́ɛ, “Hefata.” 
MRK.7.35	Ɩnʋnʋ mʋ asʋ lefinkí, mʋ ɔdandʋ ɛ́ lɛsankɩ́, ɔlɔtɔɩ́ wankláán. 
MRK.7.36	Mʋ́ʋ́ Yesu lɛ́da ahá ámʋ ɔlá kpákpáákpá ɔbɛ́ɛ, bʋmábláa ɔhaa. Támɛ tsé dʋ́dʋ́ʋ́dʋ́á ɔlɛda amʋ́ ɔlá á, alɩ kɛ́n bɛda asʋ́n ámʋ ɔkan nɩ. 
MRK.7.37	Ɔnɔ́ lɛhɩɛ bwíé amʋ́, bɛblɩ́ bɛɛ, “Alabwɛ́ tógyítɔ́ wankláán. Alahá asʋtín bʋdɛ asʋ́n nu, amúmu ɛ́ bʋdɛtɔɩ́.”
MRK.8.1	Nkɛ ámʋtɔ á, ɔdɔm kpɔnkpɔɔnkpɔntɩ bɛtrá befia Yesu wá. Amʋ́ atogyihɛ lɛta. Mʋ́ sʋ Yesu lɛ́tɩ mʋ akasɩ́pʋ́, bláa amʋ́ ɔbɛ́ɛ, 
MRK.8.2	“Ahá ánfɩ asʋ́n dɛ mɩ́ nwɛ wa. Ndɛ ɛkɛ sáásɩ́ ɔpá bʋbuo mɩ. Bʋtráa bʋma tɔtɔá bégyi. 
MRK.8.3	Nɩ́ nɛhá amʋ́ bɔpʋ́ akʋ́n nátɩ́ bɔyɔ́ wóyí á, ansɩ́tɔ́ béyébi amʋ́ ɔkpatɔ, tsúfɛ́ amʋ́tɔ́ akʋ ɔkpa bʋ ɩfɔ́.”
MRK.8.4	Mʋ́ʋ́ akasɩ́pʋ́ amʋ bɛfɩtɛ́ mʋ bɛɛ, “Nkʋ́nʋ́ abénya atogyihɛ há ahá ánfɩ fɛ́ɛ́ bégyi mwɛ dimbí ánfɩsʋ.”
MRK.8.5	Yesu lɛ́fɩtɛ́ amʋ́ ɔbɛ́ɛ, “Bodobodo afɩnɩ mlɩbʋ?”
MRK.8.5	Bɛlɛ mʋ́ ɔnɔ́ bɛɛ, “Asienɔ́.”
MRK.8.6	Yesu lɛ́ha ɔdɔm amʋ betsiá ɔsʋlʋ́tɔ. Mʋ́ʋ́ olotsu bodobodo asienɔ́ ámʋ, dá Bulu ɩpán, olebiabía mʋ́tɔ́ há akasɩ́pʋ́ amʋ beye mʋ́ há amʋ́. 
MRK.8.7	Bʋbʋ ntsutso iye bwáhɛ́ kpalobí kʋ ɛ́. Yesu lóyulá mʋ́sʋ́, ɔlɔpʋ mʋ́ ɛ́ há akasɩ́pʋ́ amʋ, beye ha amʋ́. 
MRK.8.8	Amʋ́ fɛ́ɛ́ begyi mwɛ. Akasɩ́pʋ́ amʋ bɔtɔsɩ́ isíanhɛ bʋ́lá alakpá yilé asienɔ́. 
MRK.8.9	Ahá ámʋ bɔ́bwɛ fɛ́ mpɩ́m-na (4,000), Yesu lési amʋ́ ɔkpa. 
MRK.8.10	Ɩnʋnʋ mʋa mʋ akasɩ́pʋ́ bɔdʋ wíé ɔklʋntɔ ba Dalmanutafɔ ɔsʋlʋ́sʋ.
MRK.8.11	Farisifɔ bonu ánɩ́ Yesu laba ɩnʋ, bɛba bʋdɛ mʋ asʋ́n fɩtɛ́. Bɛbláa mʋ bɛɛ, ɔbwɛ́ɛ osúna pʋsuna amʋ́ ánɩ́ lɛ́lɛ́ otsú Bulu wá. 
MRK.8.12	Yesu lɔ́lʋn ɔŋɛ́ fʋ́. Mʋ́ʋ́ ɔlɛfɩtɛ́ amʋ́ ɔbɛ́ɛ, “Ntogyi sʋ́ mlɩ ndɛmba-abí mlɩdɛ́ osúna dunká amlɩwun? Mbláa mlɩ ɔnɔkwalɩ. Mmɔ́ɔbwɛ osúna kʋkʋ súná mlɩ!”
MRK.8.13	Ɩnʋ ɔlɛnatɩ sí amʋ́, yɔ́ dʋ wíé ɔklʋntɔ, fá ɔpʋ ámʋ yɔ́ mʋ́ ɔbɩn.
MRK.8.14	Yesu akasɩ́pʋ́ amʋ bʋmɛkaɩ́n tsú bodobodo kɩ́tá. Ipin kʋlɛ pɛ́ bʋ ɔklʋn amʋtɔ. 
MRK.8.15	Brɛ́á bʋdɩn ntsu ámʋsʋ bɔyɔ́ á, Yesu lɛ́da amʋ́ ɔlá ɔbɛ́ɛ, “Mlɩkɩ wankláán Farisifɔ pʋ́ ɔmásʋ́ ogyípʋ́ 
MRK.8.16	Akasɩ́pʋ́ amʋ bɛfɩtɛ́ aba bɛɛ, “Bodobodo amʋ́ʋ́ anɩmɛ́dɛ́ ámʋ sʋ́ ɔdɛ asʋ́n ánfɩ blɩ́ lóó?”
MRK.8.17	Yesu lónu asʋ́n ánɩ́ bʋdɛblɩ́. Mʋ́ʋ́ ɔlɛfɩtɛ́ amʋ́ ɔbɛ́ɛ, “Ntogyi sʋ́ mlɩdɛ́blɩ́ mlɩaa, mlɩmɛ́dɛ́ bodobodo? Mʋ́ sʋ ɩklʋntɔ bʋ mlɩ odwin mlɩ ɛ́? 
MRK.8.18	Mlɩ ansíbi tamawun atɔ́, mlɩ asʋ ɛ́ tamanú asʋ́n? Mlɩtamakáɩ́n asʋ́nsʋ́? 
MRK.8.19	Brɛ́á neye bodobodo apin anu ámʋ há ahá mpɩ́m-nu (5,000) á, isíanhɛ alakpá afɩnɩ mlɩlɔ́tɔsɩ́?”
MRK.8.19	Bɛlɛ mʋ́ ɔnɔ́ bɛɛ, “Dúanyɔ.”
MRK.8.20	“Bodobodo apin asienɔ́ ámʋ́ʋ́ neye ha ahá mpɩ́m-na ámʋ ɛ́ mɛ́, isíanhɛ alakpá yílé afɩnɩ mlɩlɔ́tɔsɩ́?”
MRK.8.20	Bɛlɛ mʋ́ ɔnɔ́ bɛɛ, “Asienɔ́.”
MRK.8.21	Ɩnʋ Yesu lɛ́fɩtɛ́ amʋ́ ɔbɛ́ɛ, “Ɩmɔkʋ́wánkɩ́ mlɩ kɩ?”
MRK.8.22	Yesu mʋa mʋ akasɩ́pʋ́ bɛba Betsaida wúlutɔ. Aha akʋ bɛkpa ansibi obwiepʋ́ ɔkʋ ba. Bobwií ɩpa há mʋ bɛɛ, ɔpʋ́ʋ ɩbɩ da mʋ, ɔtsa mʋ ɩlɔ. 
MRK.8.23	Yesu lɛ́kɩtá ansibi obwiepʋ́ ámʋ ɩbɩ, kpá mʋ dálɩ wúlu amʋtɔ. Ɩnʋ olotu atsʋnɔ́ dɩ́nká oyin ámʋ ansíbisʋ, pʋ́ ɩbɩ dɩ́nká mʋsʋ. Mʋ́ʋ́ ɔlɛfɩtɛ́ mʋ ɔbɛ́ɛ, “Fʋdɛ atɔ́ wúun?”
MRK.8.24	Ansibi obwiepʋ́ ámʋ lótsu nwun fʋ́á kɩ, ɔlɛblɩ́ ɔbɛ́ɛ, “Ndɛ anyánkpʋ́sa wúun, támɛ bʋgyi fɛ́ nyí bʋna.”
MRK.8.25	Ɩnʋ Yesu lɛ́trá pʋ mʋ ɩbɩ dɩ́nká mʋ ansíbisʋ. Oyin ámʋ lóbwií ansíbi kɩ a, mʋ ansíbi lawá alɛ́, ɔdɛ tógyítɔ́ wúun wankláán ngya. 
MRK.8.26	Yesu léyinkía mʋ sɩ́sɩ́ wóyítɔ́ ɔbɛ́ɛ, “Natɩ laa yɔ wóyí. Mátepí wíé wúlu amʋtɔ kʋ́ráá.”
MRK.8.27	Yesu mʋa mʋ akasɩ́pʋ́ amʋ bɛnatɩ́ ɩnʋ bɔyɔ́ Kaesarea Filipi awúlusʋ. Brɛ́á bʋna ɔkpatɔ á, ɔlɛfɩtɛ́ amʋ́ ɔbɛ́ɛ, “Ma ahá bɛɛ ngyi?”
MRK.8.28	Bɛlɛ mʋ́ ɔnɔ́ bɛɛ, “Akʋ bɛɛ, fʋ́gyí Asú Ɔbɔpʋ́ Yohane. Akʋ bɛɛ, Bulu ɔnɔ́sʋ́ ɔtɔɩ́pʋ́ 
MRK.8.29	Mʋ́ʋ́ ɔlɛfɩtɛ́ amʋ́ ɔbɛ́ɛ, “Mlɩ ɛ́ mɛ́? Mlɩa mɩ́gyí ma?”
MRK.8.29	Petro lɛ́lɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Fʋ́gyí 
MRK.8.30	Ɩnʋ ɔlɛda amʋ́ ɔlá ɔbɛ́ɛ, “Mlɩmábláa ɔhaa mɩ́ ɩwɩ asʋ́n ánfɩ.”
MRK.8.31	Ɩnʋ Yesu léfi asɩ ɔdɛ asʋ́ntɔ́ lɛ súná amʋ́ ɔbɛ́ɛ, “Ilehián ánɩ́ mɩ́, Nyankpʋsa-Mʋ-Bi ánfɩ nɛ́hɩɛ wun ɩwɩɔsɩn tsɔtsɔɔtsɔ. 
MRK.8.32	Ɔmɔpʋ asʋ́n ánfɩ ŋáín amʋ́. Mʋ́ sʋ Petro lɛ́tɩ mʋ ya ɩtsɛ́tɔ́ yɛ́ka mʋ itin ɔbɛ́ɛ, ɔmátrá blɩ́ alɩ. 
MRK.8.33	Ɩnʋ ɔlɛdamlí kɩ akasɩ́pʋ́ amʋ, ɔlɔkplʋ́n wa Petro ɔbɛ́ɛ, “
MRK.8.34	Ɩnʋ ɔlɛtɩ ɔdɔm amʋ pʋ́ mʋ akasɩ́pʋ́ ba mʋ ɩwɩ wá. Mʋ́ʋ́ ɔlɛbláa amʋ́ ɔbɛ́ɛ, “Nɩ́ ɔkʋ dékléá obóbuo mɩ á, osíi tɔ́á otekle bwɛ, otsu mʋ 
MRK.8.35	Tsúfɛ́ nɩ́ ɔkʋ lɛ́prɩ mʋ nkpa á, ɔbɔ́hʋlɩ́ɩ mʋ́. Nɩ́ ɔkʋ ɛ́ lɔ́hʋlɩ́ɩ mʋ nkpa mɩ́a Bulu 
MRK.8.36	Nɩ́ ɔkʋ onyá ɔyɩ́tɔ́ atɔ́ fɛ́ɛ́, támɛ ɔhʋ́lɩ mʋ ɔkláa a, labi mɔmʋ ɩlɔwa há mʋ? 
MRK.8.37	Ntɛ́ɛ ntɔ ɔha ɔbɛ́talɩ́ pʋ́tsɛ mʋ nkpa? 
MRK.8.38	Tsúfɛ́ nɩ́ ɔkʋ onyá mɩ́a mɩ́ atosunáhɛ́ pɛ́lɩ ndɛmba-abí laláhɛá badámlí ɔma há Bulu ansɩ́tɔ́ á, mɩ́, Nyankpʋsa-Mʋ-Bi ánfɩ ɛ́ nénya mʋ pɛ́lɩ brɛ́á mɩ́a 
MRK.9.1	Yesu lɔ́yɔ mʋ tɔ́ɩsʋ ɔbɛ́ɛ, “Ɔnɔkwalɩ ndɛ mlɩ bláa. Akʋ bʋbʋ mlɩtɔ nfɩ bʋmóowu, yɔ́fʋn brɛ́á bawun ánɩ́ Bulu iwíegyí amʋ ɩna túmisʋ ɩbá.”
MRK.9.2	Nkensíé ɔma a, Yesu lɛ́kpa Petro, Yakobo mʋa Yohane, mʋa amʋ́nyɔ bɔdʋ yɔ́ ɩbʋ kʋsʋ amʋ́ nkʋlɛ. Ɩnʋ Yesu lɛ́tsɛ amʋ́ ansɩ́tɔ́. 
MRK.9.3	Mʋ atadɩɛ lɛdamlí futútúútú, ɩdɛ ogyá kpa. Tɔtɔ ma ɔsʋlʋ́ʋ anfɩsʋá ɩbɛ́talɩ́ bwɛ́ mʋ́ ibófulí alɩ. 
MRK.9.4	Ɩnʋ 
MRK.9.5	Mʋ́ʋ́ Petro lɛ́bláa Yesu ɔbɛ́ɛ, “Osunápʋ́, ɩbʋ alɛ́á abétsiá nfɩ. Ha ada abú asa. Fʋ́ klɛ́ kʋlɛ, Mose klɛ́ kʋlɛ, Elia ɛ́ klɛ́ kʋlɛ.” 
MRK.9.6	Ifú lɛhɩɛ kɩ́tá Petro mʋa mʋ aba ámʋ dʋbɩ. Mʋ́ sʋ omowun asʋ́n ánɩ́ ɔblɩ́ɩ.
MRK.9.7	Ɩnʋ agyinde kʋ lobobun amʋ́sʋ́, ɔmɛ kʋ lɛdalɩ tsu mʋ́tɔ́ ɔbɛ́ɛ, “Ɔ́nɩ gyí mɩ́ Bí ɔdwɛpʋ́ nɩ́! Mlɩyaa asʋ amlɩnu mʋ asʋ́n!” 
MRK.9.8	Ɩnʋ bɛlakɩ, támɛ bʋmɛtrá wun ɔhaa dʋn Yesu nkʋlɛ.
MRK.9.9	Brɛ́á bʋdɛ ɩbʋ ámʋ kplɩ́ á, Yesu lɛ́da amʋ́ ɔlá ɔbɛ́ɛ, “Mábláa ɔhaa tɔ́á bayówun, yɔ́fʋn ɛkɛá Bulu ɔbɔ́kʋsʋ́a mɩ́, Nyankpʋsa-Mʋ-Bi ánfɩ tsú afúlitɔ.”
MRK.9.10	Asʋ́n ánfɩ lesin amʋ́ nwuntɔ, betsiá fɩ́tɛ́ aba bɛɛ, “Kʋsʋ́ tsú afúlitɔ ánfɩ asɩ mɛ́?” 
MRK.9.11	Ɩnʋ bɛfɩtɛ́ Yesu bɛɛ, “Ntogyi sʋ́ Mose mbla asunápʋ́ amʋ bɛɛ, ilehián ánɩ́ Elia obéyinkí bá asa Kristo amʋ ɔbɛ́ba?”
MRK.9.12	Ɔlɛlɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Ɔnɔkwalɩ igyi, ánɩ́ Elia obégyankpá bá bɛla tógyítɔ́ yáɩ́ wankláán. Mʋ́ ntogyi sʋ́ Bulu asʋn wanlɩ́nhɛ́ amʋ kɛ́n lɛ́blɩ́ tsú mɩ́ ɩwɩ ɔbɛ́ɛ, mɩ́, Nyankpʋsa-Mʋ-Bi ánfɩ nɛ́hɩɛ wun ipian, ahá bɔ́sʋpáa mɩ? 
MRK.9.13	Ndɛ mlɩ bláa mbɛ́ɛ, Elia layínkí bá dodo. Ahá bɔbwɛ mʋ alɩá bʋdeklé, fɛ́ alɩá bɔwanlɩ́n wá Bulu asʋ́n ámʋtɔ.”
MRK.9.14	Brɛ́á beyinkí bowie akasɩ́pʋ́ atráhɛ amʋ wá á, bowun ánɩ́ ɔdɔm kpɔnkpɔɔnkpɔntɩ bafia bomlí amʋ́, Mose mbla asunápʋ́ akʋ bʋdɛ akasɩ́pʋ́ amʋ nwɛ́ɛn gyí. 
MRK.9.15	Brɛ́á ɔdɔm amʋ bowun Yesu a, ɩlɔwa amʋ́ wánwan, bɛsrɩ́ yéfia mʋ, há mʋ ayɛ. 
MRK.9.16	Yesu lɛ́fɩtɛ́ mʋ akasɩ́pʋ́ amʋ ɔbɛ́ɛ, “Amansʋ mlɩa amʋ́nyɔ mlɩdɛ́bɩtɩ́?”
MRK.9.17	Ɔdɔm amʋtɔ ɔkʋ lɛ́lɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Osunápʋ́, nɛkpa mɩ́ bí yínhɛ́ ba fʋ mbɛ́ɛ afʋtsa mʋ ɩlɔ. Ɔŋɛ laláhɛ lahá ɔtamatɔ́ɩ́. 
MRK.9.18	Brégyíbrɛ́á ɔŋɛ laláhɛ amʋ ɩba mʋsʋ á, ɩtɔwʋ́sʋ mʋ, fɩn mʋ dá ɔsʋlʋ́tɔ. Mʋ ɔnɔ́ tɔbwɛ́ afu, ɔtɔwɩ́ ayín, ɔtɛsɩ́nsɩn. Nɛbláa fʋ́ akasɩ́pʋ́ mbɛ́ɛ, bʋgyáa ɔŋɛ́ ámʋ lɛ mʋtɔ ha mɩ, támɛ bʋmɛtalɩ́.”
MRK.9.19	Yesu lɛ́bláa amʋ́ ɔbɛ́ɛ, “Ndɛmba-abíá mlɩmá hógyi, alɩ́ nétsiá mlɩ wá yɔ́ nɩ́? Yɔ́fʋn ɔmɛnkɛ nnyá klʋn ha mlɩ? Mlɩkpa kebi ámʋ ba mɩ!” 
MRK.9.20	Bɛkpa kebi ámʋ ba Yesu.
MRK.9.20	Ɔŋɛ laláhɛ amʋ lénya wun Yesu alɩ, ɩlɔwʋsʋ́ʋ kebi ámʋ fɩn mʋ dá. Odemináa, mʋ ɔnɔ́ ɛ́ ɩdɛ afu. 
MRK.9.21	Yesu lɛ́fɩtɛ́ obí mʋ sɩ ámʋ ɔbɛ́ɛ, “Tsú brɛ́ mɔmʋtɔ ɩlɔ ánfɩ lefi asɩ?”
MRK.9.21	Ɔlɛlɛ mʋ́ ɔnɔ́ ɔbɛ́ɛ, “Tsú mʋ nyebitɔ ɔpá. 
MRK.9.22	Ɩtɔtswɩ mʋ wá ogyá mʋ́a ntsu aná fɛ́ɛ́tɔ́, itekleá ɩbɔ́mɔ mʋ, támɛ nɩ́ fɛ́talɩ́ bwɛ́ tɔkʋ tsú mʋ́ ɩwɩ á, wun anɩ nwɛ afʋgyi anɩ bʋalɛ.”
MRK.9.23	Yesu lɛ́fɩtɛ́ mʋ ɔbɛ́ɛ, “Blɩ́ fʋdɛ fɛɛ, nɩ́ nɛ́talɩ́? Tógyítɔ́ lɔpɔn ha ohógyipʋ.”
MRK.9.24	Ɩnʋ obí mʋ sɩ ámʋ lɔ́kplʋn blɩ́ ɔbɛ́ɛ, “Nohogyi, támɛ mɩ́ hógyi mɔtsɔ́. Gyi mɩ bʋalɛ, mɩ́ hógyi imoní!”
MRK.9.25	Brɛ́á Yesu lówun ánɩ́ ɔdɔm amʋ bʋtráa bʋsrɩ́ bɛbá á, ɔlɔkplʋ́n wa ɔŋɛ laláhɛ amʋ ɔbɛ́ɛ, “Fʋ́ ɔdandʋbiabía mʋ́a ɩsʋtín ɔŋɛ́, dalɩ kebi ámʋtɔ. Mátrá wie mʋtɔ ɛkɛkɛɛkɛ!”
MRK.9.26	Ɔŋɛ laláhɛ amʋ lɔ́sʋrá okitikíti kʋ́klʋ́kʋ́ʋ́, ɩlɛtrá wʋsʋ́ʋ mʋ nyányányányáa, ɩlɛdalɩ mʋtɔ. Ɔŋɛ́ lɛta mʋ. Mʋ́ sʋ ahá ámʋtɔ akʋ bɛblɩ́ bɛɛ, “Alawú.” 
MRK.9.27	Támɛ Yesu lɛ́kɩtá mʋ ɩbɩ tsú mʋ fʋ́á, ɔlɔkʋsʋ́ lɩ́ɩ́.
MRK.9.28	Mʋ́ ɔma, brɛ́á Yesu mʋa mʋ akasɩ́pʋ́ amʋ nkʋlɛ bʋbʋ wóyítɔ́ a, bɛfɩtɛ́ mʋ bɛɛ, “Ntogyi sʋ́ anɩ mʋ́ anɩmɛ́talɩ́ gya ɔŋɛ laláhɛ amʋ dálɩ kebi ámʋtɔ?”
MRK.9.29	Mʋ́ʋ́ ɔlɛbláa amʋ́ ɔbɛ́ɛ, “Ɩ́nɩ odu mʋ́ á, nkɛ́tɩ mpáɩ
MRK.9.30	Brɛ́á Yesu mʋa mʋ akasɩ́pʋ́ amʋ bɛnatɩ́ ɩnʋ á, bɔtsʋn Galilea ɔsʋlʋ́sʋ, támɛ Yesu mékléá ɔhaa ɔbɩ́ɩ ɔtɩ́nɛ́á mʋbʋ. 
