GEN.1.1	A fɔlɔfɔlɛ la, Ala ka saŋɛ nun duge da.
GEN.46.15	Deŋɛnu le ka, Leya ka minnu sɔtɔ Yaguba ye Padan Arami. A la den kayireŋɛnu anun den musereŋɛnu, a bɛ kɔnte labɛndeŋɛ mɔgɔ bisaba nun saba. A ka a la den musereŋɛ Dina tugun sɔtɔ wo kunma.
GEN.46.16	Gadi tɛn deŋɛnu: Sifɔn, Hagi, Suni, Ebon, Eri, Arodi nun Areli. 
GEN.46.17	Aseri tɛn deŋɛnu: Yimina, Yisiwa, Yisiwi, Beriya, anun anu dɔgɔ musuma, Sera. Beriya la deŋɛnu mata Hebɛri nun Malikili la. 
GEN.46.18	Laban ka Silipa min dii nun a la den musereŋɛ Leya ma jon muse la, wo ka deŋɛnu minnu sɔtɔ Yaguba ye, a bɛ kɔnte labɛndeŋɛ mɔgɔ tan nun wɔɔrɔ.
GEN.46.19	Yaguba la musu Rakeli tɛn deŋɛnu le ka: Yusufu nun Bunyamin. 
GEN.46.20	Potifari sarika lakela min be On saa banba tɔ, a la den musereŋɛ Asinata ka den kayiren fila sɔtɔ Yusufu ye Misira duge tɔ: Manasi nun Efirayimu. 
GEN.46.21	Bunyamin tɛn den kayireŋɛnu le ka: Bela, Bekeri, Asibeli, Gera, Nayaman, Eyi, Rosi, Mupin, Hupimu, anun Aradi. 
GEN.46.22	Rakeli ka den kayireŋɛnu minnu sɔtɔ Yaguba ye, sa a mamareŋɛnu la, a bɛ labɛndeŋɛ mɔgɔ tan nun naani.
GEN.46.23	Dan ka Husimu sɔtɔ. 
GEN.46.24	Nafutali tɛn deŋɛnu le ka: Yatiseli, Guni, Yeseri, anun Selemi. 
GEN.46.25	Laban ka Bila min dii nun a la den musereŋɛ Rakeli ma jon muse la, wo ka deŋɛnu minnu sɔtɔ Yaguba ye, a bɛ kɔnte labɛndeŋɛ mɔgɔ wɔrɔwila.
GEN.46.26	Yaguba nun mɔgɛnu min bere kɔnte tagata, a bɔnsɛ kunama bɛ labɛndeŋɛ, mɔgɔ bi wɔɔrɔ nun wɔɔrɔ, bɔɔ a la deŋɛnu la musenu la. 
GEN.46.27	Yusufu ka den kayiren fila le sɔtɔ Misira. Yaguba la jama minnu tagata Misira duge tɔ, a bɛ kɔnte labɛndeŋɛ, anu mɔgɔ bi wɔrɔwila le mu.
GEN.46.28	Awa, Yaguba ka Juda lasanba a ɲatɔ Yusufu dula, alako a ni a masɔ tagala Gosen. Yaguba nun a la jama to donta Gosen duge tɔ, 
GEN.46.29	Yusufu ka a la sarɛti tabɛn a tagata Gosen a baaba Yaguba labɛndula. A la kereŋɛ a ma, a milinta a kaŋɛ la, a tota dila ɲɔ han. 
GEN.46.30	Yaguba ka a fɔ a la den Yusufu ye, a ko: «Hali n fagata kɔtɛ, bayi n bata i ɲa kɔtɔ yen, i be baluren han bi.» 
GEN.46.31	Yusufu ka a fɔ a baaba dɔndɛnu nun a baaba la denbayanu ye, a ko: «N ni taga a lasagi Misira mansa ma ka a fɔla n baaba dɔndɛnu anun n baaba la denbaya minnu be sabatiren nun Kanana duge tɔ, anu bɛ bata na n bata. 
GEN.46.32	Kɛ mɔgɛnu, wɔɔrɔ tige le mu anu la. Anu si kolofeŋɛnu daɲini. Anu bata na anu la wɔɔrɛ fɛ, baanu, saakanu, ningenu, anun anu sɔtɔfeŋɛ bɛ. 
GEN.46.33	Ka Misira mansa ka wo makele, a ka wo maɲininka: ‹Wo la wale mu fen de la?›, 
GEN.46.34	wo be a jaabila le: ‹I la joŋɛnu, mɔ mu kolofen kolola le la bɔɔla mɔ dendeŋɛ la han kɔtɛ, iko mɔ baabanu ka a ma ki min na nun.› Wo butɔ wo be naala tola Gosen duge le tɔ, bayi kolofen daɲinilanu bɛ tana le Misira kaanu la.»
GEN.47.1	Yusufu tagata a lasagi Misira mansa ma, a ka a fɔ a ye, a ko: «N baaba nun n baaba dɔndɛnu bata na kabɔɔ Kanana duge tɔ, anun anu la kolofen lanmanu nun a banbanu bɛ, sa anu sɔtɔfeŋɛnu bɛ kunma min be anu bolo. Anu bata na Gosen duge tɔ ka.» 
GEN.47.2	A ka a kɔtɔ mɔgɔ loolu nati, a ka anu dantɛgɛ Misira mansa ye. 
GEN.47.3	Misira mansa ka Yusufu kɔtɔnu maɲininka, a ko: «Wo la wale mu fen de la?» Anu ka Misira mansa jaabi, anu ko: «I la joŋɛnu, mɔ mu kolofen daɲinila le la, iko mɔ benbanu ka a ma ki min na nun.» 
GEN.47.4	Anu mɛn ka a fɔ Misira mansa ye: «Mɔ be naren luntanya le la kɛ duge tɔ betunna, bayi kɔnkɛ bata sɛnbɛ sɔtɔ Kanana duge tɔ. Dɔmɔ bele i la joŋɛnu la kolofeŋɛnu ye bitugun. Mɔ bata i táran, i ni i la joŋɛnu sago dii anu ni sigi Gosen duge tɔ.» 
GEN.47.5	Misira mansa ka a fɔ Yusufu ye: «I baaba nun i baaba dɔndɛnu to bata na i bata, 
GEN.47.6	Misira jamanɛ be i sagoe tɔ. Kandula ɲinma ɲini kɛ jamanɛ tɔ, i baaba nun i baaba dɔndɛnu si sigi ka min na. Anu si nɔ sigila Gosen duge tɔ. Ka i ka mɔgɛnu lɔn anu tɔ minnu ka wale lɔn, anu jigan anu ni ma n na kolofen kantalanu kuŋɛnu la.»
GEN.47.7	Yusufu ka a baaba Yaguba nati, a ka a dantɛgɛ Misira mansa ye. Yaguba dubata Misira mansa ye. 
GEN.47.8	Misira mansa ka Yaguba maɲininka, a ko: «I san jelu le ka?» 
GEN.47.9	Yaguba ka a jaabi, a ko: «N na simaya san kɛmɛ san bisaba le ka. N be yirindi yirindila, bɔɔla jamanɛ do tɔ n ni taga do tɔ. N ɲan ma simaya banba sɔtɔ iko n baabanu ka a sɔtɔ ki min na, minnu tota yirindila nun anu ni taga dula do tɔ. Wo butɔ, n mɛn bata tɔɔrɔ banba sɔtɔ dunuya.» 
GEN.47.10	Yaguba mɛn dubata Misira mansa ye, a bɔɔta a kɛnna.
GEN.47.11	Wo la tanbireŋɛ, Yusufu tugun ka a baaba nun a kɔtɔnu sigi Misira jamanɛ tɔ, a ka duge kan ɲinma dii anu ma Ramise duge tɔ, iko Misira mansa ka a yamɔri ki min na. 
GEN.47.12	A be a baaba nun a baaba dɔndɛnu nun a baaba la denbayanu bɛ kɔtɔ sɔren, hali den mɛsɛŋɛnu.
GEN.47.13	Kɔnkɛ bata ban sɛnbɛ sɔtɔla, dɔmɛ bele yenna duge kan do kan tɔ, kabɔɔ Misira han ka sigi Kanana la. Kɔnkɛ la ko sabu bata mɔgɛnu bara. 
GEN.47.14	Mɔgɛnu minnu bɔɔta Misira nun Kanana duge tɔ, wonu ka anu la nafule bɛ nati anu ka a san dɔmɛ la. Yusufu ka wo nafule madɛn a ka a mandi Misira mansa la boŋɛ butɔ. 
GEN.47.15	Nafule to banta Misira anun Kanana kaanu bolo, Misira kaanu bɛ nata Yusufu bata, anu tota a fɔla a ye: «Mɔ kɔ dɔmɛ! Ka i ma mɔ dɛman, mɔ si faga le i ɲala, bayi nafulu bele mɔ bolo bitugun!» 
GEN.47.16	Yusufu ka anu jaabi, a ko: «Ka nafule bele wo bolo, wo wo la kolofeŋɛnu nati, n ni anu mafalin dɔmɛ la.» 
GEN.47.17	Anu ka anu la kolofeŋɛnu nati Yusufu bata. Ale tugun ka dɔmɛ don anu bolo, anu la soeenu faliŋɛ la, anun saakanu, anun ningenu, anun sofalenu. Wo saŋɛ la, a ka anu kɔtɔ sɔ dɔmɛ la anu la kolofeŋɛnu bɛ faliŋɛ la.
GEN.47.18	Wo saŋɛ to tanbita, anu ka a fɔ Yusufu ye, wo san tɔ saage, anu ko: «Mɔ te nɔ dogonna mɔ marige la. Nafulu yo bele mɔ bolo. Mɔ la kolofeŋɛnu tugun bɛ bata ma ile mɔ marige tɛŋɛ la. Fenfen bele toren mɔ marige ye bitugun fɔ mɔ wunde anun mɔ la duge. 
GEN.47.19	I kana a to mɔ ni faga i ɲala, mɔ la dugenu ni boloka. Mɔ nun mɔ la dugenu mafalin dɔmɛ la, mɔ ni ma Misira mansa la joŋɛnu la, mɔ la dugenu ni ma a tɛŋɛ la. Suge don mɔ bolo mɔ ni a lawali, alako mɔ ni balu, mɔ kana faga, duge kana naa bolokala.» 
GEN.47.20	Wo ka a taran, kɔnkɛ bata a tɛ kiti anu la. Wo butɔ, Yusufu ka Misira duge bɛ san Misira mansa ye, bayi Misira kaanu bɛ ka anu la duge mayita le. Duge bɛ mata Misira mansa tɛŋɛ la ɲɔgɔnna le. 
GEN.47.21	A ka jama ma joŋɛ la, ka bɔɔ Misira naaniŋɛnu sonkiŋɛ tɔ, han tagala sigila sonkiŋɛ doe tɔ. 
GEN.47.22	Hali wo bɛ to mata, a ma sarika lakelanu la duge san, bayi Misira mansa bata sariya ɲinma jigan anu la ko tɔ, Misira mansa ni kɛnɛ dɔmɛ fatanna anu ma. Wolo mu, anu ma anu la duge mayita.
GEN.47.23	Yusufu ka a fɔ jama ye: «Kɔtɛ, n bata wo nun wo la dugenu san Misira mansa ye. Wo la sugenu le ka, wo ni dugenu lawali. 
GEN.47.24	A tɛgɛ tɛmuɛ tini ke, wo be a sigi looluɲɔgɛ le donna Misira mansa bolo. Sigi naanɛ min tota wo si ma suge la anun wo nun wo la deŋɛnu balue la, anun mɔgɛnu minnu be wo bolo wo la boŋɛnu butɔ.» 
GEN.47.25	Anu ka a jaabi: «I bata mɔ lakisi! Mɔ bata mɔ marige la hinnɛnteya yen i be min maren mɔ ye. Mɔ be mala kɔtɛ Misira mansa la joŋɛnu le la.» 
GEN.47.26	Yusufu ka wo ma sariya la Misira duge tɔ, han bi wolo be sabatiren. Sigi looluɲɔgɛ ni ma Misira mansa tɛŋɛ la, fɔ sarika lakelanu la dugenu, wolo te ma Misira mansa tɛŋɛ la.
GEN.47.27	Yaguba bɔnsɛ sabatita Misira jamanɛ tɔ, Gosen duge tɔ. Wo duge mata anu tɛŋɛ la. Anu jiidita, anu siyata han. 
GEN.47.28	Yaguba ka san tan nun wɔrɔwila le ma Misira jamanɛ tɔ. Yaguba la simaya bɛ labɛndeŋɛ tabɛnta san kɛmɛ san binaani nun wɔrɔwila. 
GEN.47.29	A faga tɛmuɛ to bata sutuya, a ka a la den Yusufu kele, a ka a fɔ a ye: «Ka i be diren hinnɛnteya mala n ɲɛ, n bata i táran i ni i bole lasori n wote kɔtɔ, i ni i lakali n ɲɛ. I ni telen n ɲɛ kanunteya la. N bata i táran i kana n mandi Misira duge tɔ. 
GEN.47.30	Ka n fagata tɛmuɛ min tɔ iko n baabanu fagata ki min na, i si n nabɔɔ le Misira, i ni taga n mandi anu la gaburu dula tɔ.» Yusufu ka a jaabi, a ko: «I be min fɔren n ɲɛ, n si a ma le.» 
GEN.47.31	Yaguba ka a fɔ: «I kali n ɲɛ.» Yusufu ka a kali a ye. Wo kɔma, Yaguba ka a lawali sa, a butinta a la benbe kunsadula.
GEN.48.1	Wo koenu tanbi kɔma, anu ka a fɔ Yusufu ye, anu ko: «A fɛlɛ i baaba bele kendeyaren.» Bɔɔla a ka a mɔɛ, ale nun a la den kayiren fila tagata, Manasi nun Efirayimu. 
GEN.48.2	Anu ka a fɔ Yaguba ye: «I la den Yusufu be naren i bata.» A katata, a wulita, a sigita benbe tɔ. 
GEN.48.3	Yaguba ka a fɔ Yusufu ye, a ko: «Ala sɛnbɛ tige bɔɔta le n ma Lusi, Kanana duge tɔ. A ka barikɛ sa n na ko tɔ. 
GEN.48.4	A ka a fɔ n ɲɛ, a ko: ‹Nde le mu ka, n si i lajiidi, n ni i lasiya, n ni i ma jama banba tige la. N si kɛ duge dii le i bɔnsɛ ma hali i tanbi kɔma, a ni ma anu tɛŋɛ la kudai.› 
GEN.48.5	Kɔtɛ i ka den kayiren filanu minnu sɔtɔ Misira yannun n ni na i dula Misira, Efirayimu nun Manasi, n bata anu ma n na deŋɛnu la, iko Rubɛn nun Simeyɔn to mu n na deŋɛnu la. 
GEN.48.6	Kɔnɔ ka i ka deŋɛnu minnu sɔtɔ kɛnu kɔma, wonu si ma ile tɛŋɛ la. Anu be naala tola anu kɔtɔnu le kɔma anu la kɛɛ la ko la. 
GEN.48.7	N na bɔɔreŋɛ Padan, yannun n ni ke Efarata, Kanana duge tɔ, i nɛɛnɛ Rakeli fagata n bolo kila la. N ka a mandi Efarata kila la ɲɔ, ka min tɔgɔ Betilɛmu.»
GEN.48.8	Yaguba ka Yusufu la deŋɛnu fɛlɛ, a ka a fɔ a ko: «Ɲɔmɔ le kɛnu la?» 
GEN.48.9	Yusufu ka a baaba jaabi: «N na den kayireŋɛnu le, Ala ka minnu dii n ma yan.» Yaguba ka a fɔ, a ko: «N bata i táran yandi, anu madon n na alako n ni duba anu ye.» 
GEN.48.10	Yaguba bata kɔtɔya, a ɲanu bele feŋɛnu lasagala. A te nɔ fondo yenna bitugun. Yusufu ka a la deŋɛnu madon a la, Yaguba ka anu masunbu a ka anu hibbɛ a ma. 
GEN.48.11	Yaguba ka a fɔ Yusufu ye, a ko: «N bele a miraren nun ka a fɔla n mɛn si i tayen. Kɔnɔ a fɛlɛ, Ala bata a laɲini n ni i la deŋɛnu yati yen.» 
GEN.48.12	Yusufu ka a la deŋɛnu jigan a baaba kɛn kunma. A ka a majigi a butinta duge ma. 
GEN.48.13	Wo kɔma, Yusufu ka a la den fila bita a bole ma, a ka Efirayimu bita a bolo ɲinma bole la, Yaguba bolo mara sɔngɛ la. A ka Manasi bita a bolo mara bole la, Yaguba bolo ɲinma sɔngɛ la. A ka anu madon a la. 
GEN.48.14	Kɔnɔ Yaguba ka a bolo ɲinma bole latanbi a bolo mara sɔngɛ la, a ka a sa Efirayimu kuŋɛ ma, min mu dendeŋɛ la. A ka a bolo mara bole latanbi a bolo ɲinma sɔngɛ la, a ka a sa Manasi kuŋɛ ma, hali a to mu den fɔlɛ la. A dun ka a lɔn a be koe min mala a bolenu la. 
GEN.48.15	A dubata Yusufu ye, a ka a fɔ a ye, a ko:
GEN.48.15	«N mankayi Iburahima nun n baaba Isiyaka be Ala min na kila kɔma,
GEN.48.15	ile Ala min mu n dankunna la kabɔɔ n sɔtɔ luŋɛ han bi,
GEN.48.16	Ile min mu maleka la, i ka n bɔɔ ko bɛlɛŋɛ tɔ,
GEN.48.16	ile Ala ni hɔrɔma to kɛ deŋɛnu la ko tɔ.
GEN.48.16	Anu ni anu kele nde tɔgɛ la,
GEN.48.16	anun n mankayi Iburahima nun n baaba Isiyaka tɔgɛ la.
GEN.48.16	Anu ni jiidi jamanɛ butɔ koola.»
GEN.48.17	Kɔnɔ Yusufu to ka a yen a baaba bata a bolo ɲinma bole sa Efirayimu kuŋɛ ma, wo koe ma diya a ye feu. A ka a baaba bole bita alako a ni a bɔɔ Efirayimu kuŋɛ ma, a ni a sa Manasi kuŋɛ ma. 
GEN.48.18	Yusufu ka a fɔ a baaba ye: «N baaba, i bata tantan, bayi Manasi le mu kina la. I be i bolo ɲinma bole sala ale le kuŋɛ ma.» 
GEN.48.19	A baaba ma sɔn, a ka a fɔ: «N ka a lɔn, n na deŋɛ, n ka a lɔn. Ale tugun be naala mala bɔnsɔ siyama tige le la. Ale tugun si siya le, kɔnɔ a dɔgɛ le si naa fisaya siyala ale ko. A dɔgɛ bɔnsɛ si naa ma le sii siyama tige la.» 
GEN.48.20	A dubata anu ye wo lun, a ka a fɔ: «Bani Isirayila kaanu be naala duba mala wo tɔgɛnu le la. Anu si naa a fɔ Ala mu barikɛ sala i la ko tɔ iko Efirayimu nun Manasi.» A ka Efirayimu sɔ ɲatɔ Manasi ko, ɲɔgɔnna le. 
GEN.48.21	Yaguba ka a fɔ Yusufu ye: «A fɛlɛ, n be faga da le tɔ. Kɔnɔ Ala si to le wo fɛ, a mɛn ni wo talasagi wo benbanu la duge tɔ. 
GEN.48.22	N bata Sisɛmu saa dii i ma, ka min fisa i kɔtɔnu tɛŋɛ ko, n ka ka min nabita Amɔri kaanu bolo n na faŋɛ nun n na kala la.»
GEN.49.1	Yaguba ka a la deŋɛnu kele, a ka a fɔ anu ye:
GEN.49.1	«Wo madɛn n ni kuma do fɔ wo ye,
GEN.49.1	min be naala wo takela sinan.
GEN.49.2	Wo madon, wo ni wo tolomasɔ n na, nde Yaguba la deŋɛnu,
GEN.49.2	wo tolomasɔ wo baaba Yaguba la.
GEN.49.3	Ile Rubɛn, i mu n na den fɔlɛ le la,
GEN.49.3	n ka ile len fɔlɔ sɔtɔ sɛnbɛ be n na tɛmuɛ min tɔ,
GEN.49.3	fisamanteya nun sɛnbɛ be i ye i dɔgɛnu ko.
GEN.49.4	I si wuruntun iko mɔrɔŋɛ,
GEN.49.4	i bata sa i baaba la benbe tɔ i ka a manɔgɔ,
GEN.49.4	i nun i nanden bata kafu n na benbe tɔ.
GEN.49.4	Wolo mu i te ma fisamante la.
GEN.49.5	Simeyɔn nun Lewi mu nɛɛnɛ dɔndɔma le la,
GEN.49.5	anu la faŋɛ mu kɛlɛmafeŋɛ le la.
GEN.49.6	Kɔnɔ n te to anu la janfaɲɔgɔya tɔ,
GEN.49.6	n te kafu anu ma anu la bɛŋɛ tɔ,
GEN.49.6	bayi anu la jusu yɛlɛ butɔ anu ka kayenu faga,
GEN.49.6	anu la kalabanteya la anu ka turanu maba.
GEN.49.7	N bata anu la jusu yɛlɛ danka,
GEN.49.7	bayi a sɛnbɛ kolo kɛlɛ tɛgɛ la.
GEN.49.7	N bata anu la mɔnɛ danka
GEN.49.7	bayi anu ɲa bɛlɛ.
GEN.49.7	N si anu nun Yaguba bɔnsɛ lafatan de,
GEN.49.7	n mɛn ni anu mafatan Isirayila jamanɛ butɔ.
GEN.49.8	Juda, i baaba dɔndɛnu si ile le tantu,
GEN.49.8	i si naa nɔɛ sɔtɔ le i jaguenu kunma.
GEN.49.8	I baaba la den kayireŋɛnu si anu majigi le i ye.
GEN.49.9	N na den Juda, jata deŋɛ le mu i la,
GEN.49.9	i tini sube dɔmɔ i ni saagi i todula tɔ.
GEN.49.9	I be i kunbeleŋɛnu ŋɔrɔmɔntɔnna le iko jata,
GEN.49.9	iko jata muse, ɲɔmɔ le si nɔ i lawulila?
GEN.49.10	Mansa tungare be naala tola Juda bɔnsɛ le bolo.
GEN.49.10	Mɔgɔ yo te mansaya nɔɛ bɔɔ a bɔnsɛ bolo.
GEN.49.10	Fɔ a tige tini na tɛmuɛ min tɔ,
GEN.49.10	see bɛ mɛn ni naa sujudu a ye.
GEN.49.11	A be a la sofale kitila rɛsɛn lɔgɛ le la.
GEN.49.11	A be a la sofale deŋɛ tugun kitila rɛsɛn lɔgɔ ɲinma le la.
GEN.49.11	A be a la doroke kola beere je le la,
GEN.49.11	a be a la kima doroke tugun kola beere ji wuleŋɛ le la.
GEN.49.12	Beere je be a ɲanu lawulenden,
GEN.49.12	nɔnɛ be a ɲiŋɛnu labeyaren.
GEN.49.13	Sabulɔn be naala sabatila ba dala le,
GEN.49.13	bakki da si sɔtɔ ka min na kuluŋɛnu ye.
GEN.49.13	A la naaniŋɛ be Sidɔn sɔngɛ le la.
GEN.49.14	Isakari mu sofale sɛnbɛma le la,
GEN.49.14	min be sala wɔɔrɛ fila tɛma.
GEN.49.15	A ka a yen a be a sulenna dula min tɔ, a kaɲin;
GEN.49.15	a be saren duge min tɔ, ɲɔ be diyaren a ye.
GEN.49.15	A be a kɔɛ lafontiren kote kɔtɔ,
GEN.49.15	a be jonya wale le tɔ.
GEN.49.16	Dan, a si a tɛn jama makiiti le,
GEN.49.16	iko bani Isirayila bɔnsɛ doenu.
GEN.49.17	Dan si to iko kaa, min be kila tɔ,
GEN.49.17	iko tanbalunbe min be kɛn kila tɔ.
GEN.49.17	A ni soee tingiliŋɛnu kin,
GEN.49.17	soo laborilá ni boe a kɔɛ ma.
GEN.49.18	Ee Alatala, n hakkile be i ma, i si n nakisi le.
GEN.49.19	Gadi, boen malanu si boe le a ma,
GEN.49.19	kɔnɔ ale tugun si bɔɔ anu bolo a ni anu jokki.
GEN.49.20	Aseri la duge be dɔmɔ ɲinma le labɔɔla,
GEN.49.20	mansa be a la dɔmɛ sɔtɔla ka min na.
GEN.49.21	Nafutali si to iko minan muse min be a fan ye,
GEN.49.21	a ni den ɲinmanu sɔtɔ.
GEN.49.22	Yusufu si to iko kifeŋɛ min bulata tenge kɛnna,
GEN.49.22	a boliŋɛnu be yɛlɛla tatta kunma,
GEN.49.22	a be wolola a ɲinma la.
GEN.49.23	Ndaka fililanu ka kɛlɛ tɛgɛ a ma,
GEN.49.23	anu ka kala fili a ma,
GEN.49.23	han anu ka a ladumɛn.
GEN.49.24	Kɔnɔ a la kala te lamaga a bole tɔ,
GEN.49.24	a bole tugun telenta,
GEN.49.24	Yaguba la Ala sɛnbɛ tige sabu la,
GEN.49.24	min be maren bani Isirayila bɔnsɛ dankunna la,
GEN.49.24	min be toren iko kuru banba.
GEN.49.25	I baaba Marigi Ala le si i dɛman,
GEN.49.25	Ala min mu sɛnbɛ tige la,
GEN.49.25	a ni barikɛ sa i la ko tɔ,
GEN.49.25	a ni saŋɛ barikɛnu lajigi kabɔɔ kantɔ,
GEN.49.25	a ni duge tɔ je barikɛ dii i ma,
GEN.49.25	a ni den sɔtɔ koe laɲini i ye
GEN.49.25	a ni i bɔnsɛ singi je lasiya.
GEN.49.26	I baaba la barikɛ tanbita ko ɲinma bɛ la,
GEN.49.26	min bɛ bata ma nun kabɔɔ tɛmu yanfama tɔ.
GEN.49.26	Wo bɛ ni to Yusufu kunma,
GEN.49.26	min bata masubɛ a baaba dɔndɛnu tɛma.
GEN.49.27	Bunyamin si to iko wula butɔ wulu fate.
GEN.49.27	Saguma fɔ a ni sube puruntin,
GEN.49.27	a ka min sɔtɔ, wura la a ni a fatan.»
GEN.49.28	Bani Isirayila bɔnsɔ tan nun fila bɔɔta kɛndelen tɔ. Anu baaba saarata anu la, a ka kɛlɛ fɔ a saarata anu bɛ la, bɛ nun a la saara.
GEN.49.29	Wo kɔma a ka wo yamɔre sa a la deŋɛnu ma, a ko: «N benbanu minnu fagata, n be anu jokkila le. Ka n fagata wo ni n mandi n baabanu fure mandita ka min na fanmɛ tɔ min be Efurɔn Hɛti kaa la duge tɔ, 
GEN.49.30	fanmɛ min be Makipela duge tɔ, Mamire tabɛŋɛ tɔ Kanana duge tɔ. Iburahima ka wo duge san de Efurɔn Hɛti kaa ma, alako ɲɔ ni ma a la gaburu dula la. 
GEN.49.31	Anu ka Iburahima nun a la musu Sara mandi ɲɔ le. Anu ka Isiyaka tugun nun a la musu Rebeka mandi ɲɔ le. Nde tugun ka Leya mandi ɲɔ le. 
GEN.49.32	Wo duge nun fanmɛ min be ɲɔ, anu santa Hɛti bɔnsɛ le ma.» 
GEN.49.33	Yaguba to banta kumala a la deŋɛnu ye, a sata benbe tɔ, a nɛ bɔɔta, a tagata a benbanu taran.
GEN.50.1	Yusufu ka a kunsin a baaba fure ma, a ka a masunbu, a dita a kunma. 
GEN.50.2	Wo kɔma Yusufu ka a la boori bɔɔlanu yamɔri anu ni boore ladon a baaba bali kɔtɔ alako a kana bɔrɔ. Anu ka wo ma Yaguba la. 
GEN.50.3	Anu tota wolo tɔ han tele binaani, anu la naamuŋɛ kɛɲa ma. Misira kaanu ka a la faga koe kinikini ma han tele bi wɔrɔwila.
GEN.50.4	Faga koe to bɔɔta a la, Yusufu ka a fɔ Misira mansa mamakafuɲɔgɛnu ye: «Ka wo si nɔ hinnɛnteya mala n ɲɛ, n bata wo táran wo n na kuma matanbi Misira mansa ma. 
GEN.50.5	N baaba ka n nakali le, a ka a fɔ, aa be faga koe le tɔ. Aa n ni a mandi gabure le tɔ min be soeren Kanana duge tɔ. Kɔtɛ, n bata mansa táran, a ni a to n ni taga n baaba mandi. Wo tɛmuɛ n si na.» 
GEN.50.6	Misira mansa ka a jaabi, a ko: «Yɛlɛ, i ni taga i baaba mandi iko a ka i lakali ki min na.»
GEN.50.7	Yusufu yɛlɛta, tagala a baaba mandi dula. A nun Misira mansa la walilanu bɛ nun a la bon butɔ kuntigenu anun Misira kuntigenu bɛ, 
GEN.50.8	anun Yusufu la denbaya bɛ, a baaba dɔndɛnu anun a baaba la denbaya, a bɛ tagata le. Dendeŋɛnu anun kolofeŋɛnu a banba nun a lanma tun de tota Gosen duge tɔ. 
GEN.50.9	Yusufu nun sarɛtinu anun soo laborilanu tugun tagata. Wo koe mata jama banba le la han a tanbita a tɔ.
GEN.50.10	Anu to keta Atadi lɔŋɛ tɔ, Yurudɛn kɔɛɛ kɔkɔma, anu ka fure makinikini, wo mata suunu belebele la han a tanbita a tɔ. Yusufu ka a baaba makinikini han tele wɔrɔwila. 
GEN.50.11	Kanana kaanu ka wo fure la kinikinɛ yen, min be maren Atadi lɔŋɛ tɔ, anu ka a fɔ: «Kɛ faga koe be maren suunu belebele la Misira kaanu ye.» Wolo ka a ma anu ka wo dula tɔgɔ sa ‹Misira suunɛ›, Yurudɛn kɔɛɛ kɔkɔma. 
GEN.50.12	Yaguba ka a la deŋɛnu yamɔri ki min na, anu ka wo lakamali. 
GEN.50.13	A la deŋɛnu ka a fure doni Kanana duge tɔ, anu ka a mandi Makipela duge tɔ fanmɛ tɔ Mamire tabɛŋɛ tɔ, Iburahima ka duge min san Efurɔn Hɛti kaa ma alako ɲɔ ni ma gaburu dula la. 
GEN.50.14	Anu to bata ban a baaba mandila, Yusufu nun a baaba dɔndɛnu, anun mɔgɛ min bɛ tagata a masɔdula a baaba baadɛ tɔ, anu sagita Misira duge tɔ.
GEN.50.15	Yusufu baaba dɔndɛnu to bata a yen anu baaba bata faga, anu ka a fɔ ɲɔgɔn ye: «Ka Yusufu ka kɛlɛɲɔgɔya telen mɔ la, mɔ ka ko koroŋɛ min bɛ ma a la, tumado a si a tɛŋɛ yɔgɔ le mɔ la.» 
GEN.50.16	Wo butɔ, anu ka kiila kii a ni a fɔ Yusufu ye: «I baaba ka yamɔri le sa yannun a ni faga, a ko: 
GEN.50.17	aa mɔ ni kɛ fɔ ile Yusufu ye: aa baaba bata i táran, aa i ni diɲa i kɔtɔnu la tiɲare ma anun anu la hakkɛ, bayi anu ka ko koroŋɛ ma le i la. Kɔtɛ yandi, aa i ni diɲa i baaba Marigi Ala la joŋɛnu la tiɲare ma.» Wo kumanu to fɔta Yusufu ye, a dita. 
GEN.50.18	A kɔtɔnu faŋɛ nata anu boeta a kɛn kɔtɔ, anu ka a fɔ: «Mɔle len ka, i la joŋɛnu.» 
GEN.50.19	Yusufu ka a fɔ anu ye: «Hali wo ma kilan. Nde le ma Ala la. 
GEN.50.20	Wo bɛnta le n kunma wo ni ko koroŋɛ sigi n ma, kɔnɔ Ala kan ka a mafalin a ɲinma la a ni jama banba nɛ lakisi min be nala kela iko bi. 
GEN.50.21	Kɔtɛ, hali wo ma kilan. N si wo hajue bɛ jara le, anun wo la deŋɛnu.» Yusufu la wo kuma ka anu juse sa.
GEN.50.22	Yusufu nun a baaba la denbaya sabatita Misira. A ka san kɛmɛ san tan sɔtɔ simaya la. 
GEN.50.23	Yusufu ka Efirayimu la deŋɛnu yen de. A ka a mamaren tolobita yen. A ka Manasi la den Makiri la deŋɛnu bɛ ma a la deŋɛnu le la. 
GEN.50.24	Yusufu ka a fɔ a baaba dɔndɛnu ye: «Nde tugun be faga da le tɔ. Kɔnɔ wo ni laa a la, Ala si hinnɛ le wo la. A si naa wo jigan de Misira, a ni wo doni duge tɔ, a ka a kali lahire min jigan koe la Iburahima nun Isiyaka nun Yaguba ye.» 
GEN.50.25	Yusufu ka Yaguba la deŋɛnu lakali, a fɔla: «Ala tini hinnɛ wo la, wo tɛmuɛ wo si n bɔɔ yan, wo ni n fure doni kunma.»
