GEN.1.1	Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga, 
JOS.8.17	Naglamag sa mga Israelita an gabos na lalaki sa Ai,
JOS.8.18	Dangan tinaraman nin 
JOS.8.19	asin pakaitaasan niya kan saiyang kamot, nagruluwas tolos an mga soldados na nagtarago, naglaog sa syudad asin sinakop idto. Hidali nindang sinulo an syudad. 
JOS.8.20	Kan magsalingoy an mga taga Ai, nahiling ninda an aso na nag-iitaas. Dai na sindang madudulagan, huli ta an mga Israelita na nagdurulag pasiring sa desyerto nagbaralik gabos tanganing labanan sinda. 
JOS.8.21	Kan mahiling ni Josue asin kan saiyang mga soldados na sakop na kan iba nindang kairiba an syudad saka nagkakalayo na ini, nagbaralik sinda asin ginaradan an mga taga Ai. 
JOS.8.22	An mga Israelitang nasa syudad nagruluwas tanganing tabangan sinda. Kaya napalibotan nanggad kan mga Israelita an mga taga Ai. Nagadan gabos an mga taga Ai asin dai nin nakadulag o nakaligtas maski saro sainda. 
JOS.8.23	Alagad dinakop ninda an hade kan Ai asin dinara ki Josue.
JOS.8.24	Ginaradan kan mga Israelita an gabos na kaiwal duman sa kalangtadan na pinaglamagan sainda. Dangan nagbalik sinda sa Ai asin ginaradan an mga tawo duman. 
JOS.8.25+JOS.8.26	Padagos na itinuro ni Josue an saiyang garod asin dai niya ibinaba sagkod na dai nagadan an mga tawo duman. An gabos na taga Ai nagadan kan aldaw na idto—mga dose mil na lalaki asin babae. 
JOS.8.27	Kinurua kan mga Israelita para sa saindang sadiri an mga hayop saka an mga rogaring na sinamsam ninda sa Ai siring sa itinaram nin 
JOS.8.28	Sinulo ni Josue an Ai asin binayaan na mayong kamugtakan; siring an kamugtakan kaiyan sagkod ngunyan. 
JOS.8.29	Binitay niya sa kahoy an hade kan Ai asin binayaan duman an bangkay sagkod sa hapon. Pagsolnop kan aldaw, ipinababa niya an bangkay asin ipinatapok sa may trangkahan kan syudad. An bangkay tinambakan ninda nin mga gapo na mahihiling pa duman sagkod ngunyan.
JOS.8.30	Dangan nagpatindog si Josue nin sarong altar sa Bukid nin Ebal para sa 
JOS.8.31	Ginibo niya ini siring sa ipinagboot ni Moises sa mga Israelita, siring sa sinasabi sa Katogonan ni Moises: “sarong altar na gibo sa gapo na dai sinapsapan nin lansang na kasangkapan.” Sa ibabaw kan altar na idto nagdolot sinda sa 
JOS.8.32	Sa lugar na idto, sa atubang kan mga Israelita, inukit ni Josue sa mga gapo an katogonan na sinurat ni Moises. 
JOS.8.33	An mga Israelita, kairiba an saindang mga lider, an mga opisyal, an mga hukom, asin an mga dayuhan na nakikihimanwa sainda, nagtirindog sa mag-ibong kan Kaban nin Tipan nin 
JOS.8.34	Dangan makosog na binasa ni Josue an bilog na Togon, kaiba an mga bendisyon asin mga maldisyon, sosog sa pakasurat sa libro kan Katogonan. 
JOS.8.35	An lambang pagboot ni Moises binasa ni Josue sa bilog na katiriponan, kaiba an kababaehan asin kaakian, siring man an mga dayuhan na nag-eerok sa kaibahan ninda.
JOS.9.1	An mga kapangganahan kan Israel nabaretaan kan gabos na hade sa solnopan kan Jordan—sa kabubuldan, sa kababan, asin sa baybayon kan Dagat nin Mediteraneo sagkod sa Lebanon, sa parteng amihan. Sinda iyo an mga hade kan mga Heteo, Amoreo, Cananeo, Perezeo, Heveo, asin mga Jebuseo. 
JOS.9.2	Nagsararo an mga hadeng ini tanganing labanan si Josue asin an mga Israelita.
JOS.9.3	Alagad an ginibo ni Josue sa Jerico asin sa Ai nabaretaan kan mga Heveong taga Gibeon, 
JOS.9.4	asin nagkaoroyon sinda na dayaon si Josue. Nagkurua sinda nin mga pagkakan asin kinargahan ninda an saindang mga asno nin mga daan na sako saka mga may tagubhang na anit na laogan nin arak. 
JOS.9.5	Nagsulot sinda nin mga girising gubing asin pudpod na mga sandalyas. Nagbalon sinda nin mga tinapay na matagas na asin alamagon. 
JOS.9.6	Nagduman sinda ki Josue sa kampo sa Gilgal dangan nagsabi saiya asin sa mga kamagurangan kan Israel, “Hale kami sa harayong lugar. Hinahagad ming makipagtipan kamo sa samo.”
JOS.9.7	Alagad nagsimbag an mga kalalakihan nin Israel, “Tano ta makikipagtipan kami saindo? Tibaad harani man sana an pinag-eerokan nindo.”
JOS.9.8	Nagsabi sinda ki Josue, “Andam kaming maglingkod saindo.”
JOS.9.8	Hinapot sinda ni Josue, “Mga siisay kamo? Saen kamo harale?”
JOS.9.9	Dangan nag-istorya sinda: “Hale kami sa sarong lugar na harayo nin marahay, huli ta nadangog mi an manongod sa 
JOS.9.10	asin an ginibo niya sa duwang hadeng Amoreo sa sirangan kan Jordan: si Hadeng Sihon kan Hesbon asin si Hadeng Og kan Basan, na nag-erok sa Astarot. 
JOS.9.11	Sinabihan kami kan samong mga lider asin kan gabos na tawo sa samong daga na mag-andam nin pagkakan para sa halawig na pagbaklay pasiring digdi, tanganing makihampang saindo asin sabihan kamo na andam kaming maglingkod saindo asin pakiolayan kamo na makipagtipan samo. 
JOS.9.12	Hilinga nindo an samong tinapay; mainit pa ini kan maghale kami sa harong asin magpoon kaming maglakaw tanganing makihampang saindo. Alagad hilinga! Ngunyan matagas na ini asin alamagon. 
JOS.9.13	Bago pa an mga anit na ini kan panoon mi nin arak; uya ngunyan mga girisi na. Girisi na man an samong mga gubing asin pudpod na an samong mga sandalyas huli sa halawig na paglakaw.”
JOS.9.14	Inako kan mga kamagurangan an pagkakan ninda, alagad dai ngona nakihumapot sa 
JOS.9.15	Nakipagtipan si Josue sa mga taga Gibeon asin tinugotan niya sindang mabuhay. Nagsumpa an mga lider kan banwaan nin Israel na ootobon ninda an tipan.
JOS.9.16	Tolong aldaw pakatapos na gibohon an tipan, naaraman kan mga Israelita na an mga tawong idto nag-eerok mananggad sa lugar na harani sainda. 
JOS.9.17	Kaya nagralakaw an mga Israelita asin pakalihis nin tolong aldaw, nakaabot sinda sa mga syudad na pinag-eerokan kan mga tawong idto: sa Gibeon, Kefira, Beerot asin Kiriat-jearim. 
JOS.9.18	Alagad dai ninda pwedeng gadanon an mga tawong idto, huli ta an saindang mga lider nanumpa sainda sa ngaran nin 
JOS.9.19	alagad nagsimbag an mga lider, “Nanumpa kami sainda sa ngaran nin 
JOS.9.20	Papabayaan ta sindang mabuhay huli kan samong sumpa; kun dai, papadusahan kita nin Dios. 
JOS.9.21	Pabayaan nindo sindang mabuhay, alagad kaipuhan magputol sinda nin kahoy asin magsakdo nin tubig para sato.” Ini an nagin pahayag kan mga lider.
JOS.9.22	Ipinaapod ni Josue an mga taga Gibeon asin hinapot, “Tano ta dinaya nindo kami? Tano ta sinabi nindong hale kamo sa harayong lugar, mantang digdi man sana kamo nag-eerok? 
JOS.9.23	Huli ta ginibo nindo ini, kinondenar kamo nin Dios. Danay kamong magigin oripon, mga paraputol nin kahoy asin parasakdo nin tubig para sa santwaryo nin sakong Dios.”
JOS.9.24	Nagsimbag sinda, “Ginibo mi idto huli ta naaraman mi na totoong ipinagboot nin 
JOS.9.25	Ngunyan nasa irarom kami kan saindong kapangyarihan; giboha nindo samo an pinaghohona nindong matanos.” 
JOS.9.26	Kaya ini an ginibo ni Josue: ilinigtas niya sinda asin dai tinugotan an mga Israelita na gadanon sinda. 
JOS.9.27	Alagad ginibo niya sindang mga oripon, mga paraputol nin kahoy asin parasakdo nin tubig para sa mga Israelita asin para sa altar nin 
JOS.10.1	Nabaretaan ni Adonizedek, an hade kan Jerusalem,
JOS.10.2	Natakot an mga taga Jerusalem huli ta an Gibeon arog kadakula kan arin man na syudad na igwa nin hade; mas dakula pa ini ki sa Ai asin marahay sa pakilaban an mga lalaki kaini. 
JOS.10.3	Kaya nagpadara kan mensaheng ini si Adonizedek ki Hadeng Hoham kan Hebron, ki Hadeng Piram kan Jarmut, ki Hadeng Jafia kan Lakis asin ki Hadeng Debir kan Eglon: 
JOS.10.4	“Magdigdi kamo asin tabangan nindo akong salakayon an Gibeon huli ta an mga tawo duman nakipagtipan ki Josue asin sa mga Israelita.” 
JOS.10.5	Nagsararo an limang hadeng Amoreo na iyo an mga hade sa Jerusalem, Hebron, Jarmut, Lakis, asin Eglon. Pinalibotan ninda an Gibeon asin saindang sinalakay.
JOS.10.6	An mga taga Gibeon nagpadara nin mensahe ki Josue duman sa kampo sa Gilgal: “Dai mo kami pagpabayaan! Magdigdi ka tolos asin tabangan mo kami! Iligtas mo kami huli ta nagkasararo an mga hadeng Amoreo na nag-eerok sa kabubuldan asin sinalakay kami!”
JOS.10.7	Kaya hale sa Gilgal, nagduman si Josue kaiba an bilog niyang hukbo, asin an pinakamarahay niyang mga soldados. 
JOS.10.8	Nagtaram an 
JOS.10.9	Magdamlag na naglakaw si Josue asin an saiyang mga soldados hale sa Gilgal pasiring sa Gibeon, asin bigla nindang sinalakay an mga Amoreo. 
JOS.10.10	Ginibo nin 
JOS.10.11	Mantang nagdudurulag an mga Amoreo sa hukbo kan Israel duman sa dalan na paibaba kan Bet-horon, pinauranan sinda nin 
JOS.10.12	Kan aldaw na itinao nin 
JOS.10.12	“Aldaw, mag-ontok ka sa tangod kan Gibeon;
JOS.10.12	Bulan, mag-ontok ka sa tangod kan Kapantayan nin Aijalon.”
JOS.10.13	Nag-ontok an aldaw asin dai naghiro an bulan sagkod na nadaog kan Israel an saindang mga kaiwal. Nasusurat ini sa 
JOS.10.14	Dai pa lamang nangyari asin dai na liwat mangyayari an siring na aldaw na an 
JOS.10.15	Pakatapos kaini, nagbalik si Josue asin an saiyang bilog na hukbo sa kampo duman sa Gilgal.
JOS.10.16	Alagad nakadulag an limang hadeng Amoreo asin nagtago sa sarong lungib sa Makkeda. 
JOS.10.17	May nakaaram kan pinagtatagoan ninda asin ibinareta ini ki Josue. 
JOS.10.18	Nagsabi si Josue, “Sulaton nindo nin nagkapirang darakulang gapo an laogan kan lungib. Dangan pabantayan nindo 
JOS.10.19	alagad dai kamo mag-ontok duman. Lamagon nindo an mga kaiwal, asin salakayon nindo sinda hale sa likodan; dai nindo pagtugotan na makalaog sinda sa saindang mga syudad! Itinao na saindo nin 
JOS.10.20	Ginadan sinda ni Josue asin kan saiyang mga soldados alagad igwa nin nagkapirang nakadulag asin nakalaog sa saindang syudad kaya nakaligtas. 
JOS.10.21	Dangan ligtas na nagbalik sa kampo sa Makkeda an gabos na soldados ni Josue.
JOS.10.21	Mayo nin siisay man sa daga na nangahas na magtaram laban sa mga Israelita.
JOS.10.22	Dangan nagsabi si Josue, “Bukasan nindo an laogan kan lungib asin darahon nindo sako an limang hadeng iyan.” 
JOS.10.23	Kaya binukasan ninda an lungib asin ilinuwas an mga hade kan Jerusalem, Hebron, Jarmut, Lakis saka Eglon 
JOS.10.24	dangan dinara ninda ki Josue. Inapod ni Josue an saiyang mga soldados asin sinugo an mga opisyal na nag-iba saiya na tungtongan an liog kan mga hade. Nagsunod an mga opisyal. 
JOS.10.25	Nagsabi si Josue sa mga opisyal, “Dai kamo matakot o manluya. Magmakosog kamo asin magmaisog huli ta arog kaiyan an gigibohon nin 
JOS.10.26	Ginadan ni Josue an limang hade asin binitay an saindang mga bangkay sa limang kahoy sa bilog na maghapon. 
JOS.10.27	Pagsolnop kan aldaw nagboot si Josue, asin an saindang mga bangkay ibinaba sa nabibitayan dangan itinapok sa lungib na pinagtagoan ninda. Binurugtakan nin darakulang gapo an laogan kan lungib asin sagkod ngunyan yaon pa an mga gapo.
JOS.10.28	Kan aldaw na idto, sinalakay asin sinakop ni Josue an Makkeda asin an hade duman. Ginadan niya an gabos na nasa syudad; mayo siyang itinadang buhay. Ginibo niya sa hade kan Makkeda an ginibo niya sa hade kan Jerico.
JOS.10.29	Paghale sa Makkeda sinalakay ni Josue asin kan saiyang hukbo an Libna. 
JOS.10.30	Itinao man nin 
JOS.10.31	Paghale sa Libna, nagpasiring sa Lakis si Josue asin an saiyang hukbo. Pinalibotan ninda an Lakis asin sinalakay. 
JOS.10.32	Itinao nin 
JOS.10.33	Uminabot si Hadeng Horam kan Gezer sa pagtabang sa Lakis, alagad siya asin an saiyang hukbo dinaog ni Josue; mayo sainda nin itinadang buhay.
JOS.10.34	Hale sa Lakis, nagpasiring sa Eglon si Josue asin an saiyang mga soldados. Pinalibotan ninda an syudad asin sinalakay. 
JOS.10.35	Kan aldaw na idto, sinakop ninda an syudad asin ginadan an gabos na yaon duman, siring kan ginibo ninda sa Lakis.
JOS.10.36	Pakahale sa Eglon, nagtukad sa kabubuldan si Josue asin an saiyang hukbo pasiring sa Hebron. Sinalakay ninda an syudad 
JOS.10.37	asin sinakop. Ginadan ninda an hade asin an gabos na tawo sa syudad siring man an mga nag-eerok sa kataraed na mga banwa. Sinulo ni Josue an syudad, siring kan ginibo niya sa Eglon. Mayo siyang itinadang buhay.
JOS.10.38	Dangan binalikan ni Josue asin kan saiyang hukbo an Debir asin sinalakay. 
JOS.10.39	Sinakop niya an syudad, an hade asin an gabos na kataraed na banwa. Ginadan ninda an lambang saro. Ginibo ni Josue sa Debir asin sa hade duman an ginibo niya sa Hebron, sa Libna, asin sa saindang mga hade.
JOS.10.40	Sinakop ni Josue an bilog na daga. Nadaog niya an mga hade sa kabubuldan, sa mga tukadon sa parteng sirangan, sa mga kababan sa solnopan, asin sa habagat na parte kan Canaan. Mayo siyang ilinigtas; ginadan niya an gabos. Iyo ini an ipinagboot nin 
JOS.10.41	An pakikilaban ni Josue nagpoon sa Kades-barnea sa habagat sagkod sa Gaza harani sa baybayon, kaiba an bilog na daga kan Gosen sagkod sa Gibeon sa amihan. 
JOS.10.42	Dinaog ni Josue an mga hade duman asin sinakop an saindang mga teritoryo sa laog nin saro sanang pagsalakay, huli ta nakipaglaban para sa mga Israelita an 
JOS.10.43	Pakatapos kaini, nagbalik si Josue asin an saiyang hukbo sa kampo duman sa Gilgal.
JOS.11.1	Kan makaabot ki Hadeng Jabin kan Hazor an bareta kan mga kapangganahan nin Israel, nagpadara siya nin mensahe ki Hadeng Jobab kan Madon, sa mga hade kan Simron asin Acsaf, 
JOS.11.2	sa mga hade sa kabubuldan sa parteng amihan, sa kapantayan nin Jordan sa timog kan Danaw nin Galilea, sa mga kababan, asin sa baybayon harani sa Dor. 
JOS.11.3	Nagpasabi man siya sa mga Cananeo sa mag-ibong na gilid kan Jordan, sa mga Amoreo, Heteo, Perezeo, asin sa mga Jebuseo na nag-eerok sa kabubuldan, siring man sa mga Heveo na nag-eerok sa pamitisan kan Bukid nin Hermon sa daga nin Mizpa. 
JOS.11.4	Nag-abot an mga hadeng ini kaiba an gabos nindang soldados—sarong dakulang hukbo na an bilang siring sa mga baybay sa pangpang kan dagat. Igwa pa sinda nin dakul na mga kabayo saka mga karwahe. 
JOS.11.5	Pinagsararo kan mga hadeng ini an saindang hukbo asin nagtiripon sinda sa may Sapa nin Merom tanganing labanan an Israel.
JOS.11.6	Tinaraman nin 
JOS.11.7	Kaya biglang sinalakay sinda ni Josue asin kan saiyang mga soldados sa may Sapa nin Merom. 
JOS.11.8	Itinao nin 
JOS.11.9	Ginibo sainda ni Josue an ipinagboot nin 
JOS.11.10	Dangan nagbalik si Josue asin sinakop an Hazor saka ginadan an hade duman. (Kaidtong panahon, an Hazor iyo an pinakamakosog sa mga kahadean na idto.) 
JOS.11.11	Ginadan kan mga Israelita an mga tawo duman; mayo sindang itinadang buhay, dangan sinulo ninda an syudad.
JOS.11.12	Sinakop ni Josue an gabos na syudad na idto asin an saindang mga hade. Ginadan niya an mga tawo duman siring sa ipinagboot ni Moises na sorogoon nin 
JOS.11.13	Alagad dai sinulo kan mga Israelita an arin man sa mga syudad na itinugdok sa mga bulod; an Hazor sana an sinulo ni Josue. 
JOS.11.14	Sinamsam kan mga Israelita an mga mahalagang kagamitan saka an mga hayop sa mga syudad na idto para sa sainda. Alagad ginadan ninda an mga tawo; mayo sindang itinadang buhay. 
JOS.11.15	Pinagbotan nin 
JOS.11.16	Sinakop ni Josue an bilog na daga—an mga syudad sa kabubuldan asin sa kababan, sa amihan saka sa habagat, an bilog na teritoryo kan Gosen, an habagat na parte kan Canaan, sagkod an Kapantayan nin Jordan. 
JOS.11.17+JOS.11.18	An teritoryo minapoon sa Bukid nin Halak sa habagat harani sa Edom, sagkod sa Baal-gad sa amihan, sa Kapantayan nin Lebanon sa habagat kan Bukid nin Hermon. Haloy na nakigera si Josue sa mga hade kan teritoryong idto, alagad nabihag niya sinda gabos asin saiyang ginadan. 
JOS.11.19	An nakipagtipan sa Israel iyo sana an syudad kan Gibeon na pinag-erokan kan nagkapirang Heveo. Nadaog gabos sa gera an iba. 
JOS.11.20	Ginibo nin 
JOS.11.21	Kan panahon na idto, nagduman si Josue asin tinunaw an rasa kan mga higante na inapod Anakim na nag-erok sa kabubuldan—sa Hebron, Debir, Anab, sagkod sa gabos na kabubuldan kan Juda saka Israel. Ginadan sinda gabos ni Josue asin sinakop an saindang mga syudad. 
JOS.11.22	Mayo nin natada sa mga Anakim sa daga nin Israel; alagad sa Gaza, Gat asin Asdod, igwa nin natadang nagkapira.
JOS.11.23	Sinakop ni Josue an bilog na daga, siring sa ipinagboot nin 
JOS.11.23	Dangan nagpahingalo sa pakigera an mga tawo.
JOS.12.1	Nasakop na kan mga Israelita an daga sa sirangan kan Jordan asin duman na sinda nag-erok. An dagang idto minapoon sa Kapantayan nin Arnon sagkod sa Kapantayan nin Jordan asin sa Bukid nin Hermon sa amihan. Duwang hade an nadaog ninda. 
JOS.12.2	An saro iyo si Sihon, an hadeng Amoreo na nag-erok sa Hesbon. Sakop kan saiyang kahadean iyo an kabanga kan Gilead: magpoon sa Aroer (sa gilid kan Kapantayan nin Arnon) asin magpoon sa syudad na nasa tahaw kan nasabing kapantayan sagkod sa Salog nin Jabbok sa pagdolonan nin Ammon; 
JOS.12.3	sakop pa kan saiyang kahadean an Kapantayan nin Jordan magpoon sa Danaw nin Galilea na nasa timog kan Bet-jesimot (sa sirangan kan Gadan na Dagat) sagkod sa pamitisan kan Bukid nin Pisga.
JOS.12.4	Nadaog man kan mga Israelita si Hadeng Og kan Basan, saro sa mga natada sa rasa kan Refaim; nag-erok siya sa Astarot asin sa Edrei. 
JOS.12.5	Sakop kan saiyang kahadean an Bukid nin Hermon, Saleca, an bilog na Basan sagkod sa pagdolonan kan Gesur saka Maaca, asin an kabanga kan Gilead, sagkod sa teritoryo ni Hadeng Sihon kan Hesbon.
JOS.12.6	An duwang hadeng ini dinaog ni Moises asin kan mga Israelita. An saindang daga itinao ni Moises, na sorogoon nin 
JOS.12.7	Dinaog ni Josue asin kan mga Israelita an gabos na hade sa solnopan kan Salog nin Jordan magpoon sa Baal-gad na nasa Kapantayan nin Lebanon sagkod sa Bukid nin Halak sa habagat, harani sa Edom. An dagang idto binaranga ni Josue sa mga tribu kan Israel tanganing magin pagsadiri ninda sagkod lamang. 
JOS.12.8	An dagang idto iyo an kabubuldan, an mga kababan sa solnopan, an Kapantayan nin Jordan, asin an kababan duman, an mga tukadon sa sirangan, sagkod sa habagat na parte kan Canaan. Iyo idto an dagang dating pinag-eerokan kan mga Heteo, Amoreo, Cananeo, Perezeo, Heveo, asin Jebuseo. 
JOS.12.9	Dinaog kan mga Israelita an mga hade kan mga syudad na ini: Jerico, Ai (harani sa Betel), 
JOS.12.10	Jerusalem, Hebron, 
JOS.12.11	Jarmut, Lakis, 
JOS.12.12	Eglon, Gezer, 
JOS.12.13	Debir, Geder, 
JOS.12.14	Horma, Arad, 
JOS.12.15	Libna, Adullam, 
JOS.12.16	Makkeda, Betel, 
JOS.12.17	Tappua, Hefer, 
JOS.12.18	Afek, Lasaron, 
JOS.12.19	Madon, Hazor, 
JOS.12.20	Simron-meron, Acsaf, 
JOS.12.21	Taanac, Megido, 
JOS.12.22	Kedes, Jokneam (sa Carmelo), 
JOS.12.23	Dor (sa baybayon), Goiim (sa Galilea
JOS.12.24	asin Tirza—treynta y unong hade gabos.
JOS.13.1	Gurang nang marahay si Josue. Tinaraman siya nin 
JOS.13.2	an bilog na teritoryo nin Filistia asin Gesur, 
JOS.13.3	siring man an bilog na teritoryo nin Avvim sa parteng habagat. (An daga poon sa sapa nin Sihor, sa pagdolonan nin Egipto, sagkod sa pagdolonan nin Ekron sa parteng amihan ibinilang na sadiri kan mga Cananeo; an mga hade kan mga Filisteo nag-eerok sa Gaza, Asdod, Askelon, Gat, saka Ekron.) 
JOS.13.4	Yaon pa an bilog na daga kan mga Cananeo, asin an Meara na sadiri kan mga Sidoneo, sagkod sa Afek sa pagdolonan kan mga Amoreo; 
JOS.13.5	an daga kan mga Gibalita; an bilog na Lebanon sa sirangan, magpoon sa Baal-gad sa habagat kan Bukid nin Hermon, sagkod sa Dalan nin Hamat. 
JOS.13.6	Kabilang digdi an gabos na teritoryo kan mga Sidoneo na nag-eerok sa mabulod na daga sa pagultanan kan Kabukidan nin Lebanon asin Misrefot-maim. Papahaleon ko an mga tawong ini sa pagdangadang kan mga Israelita. Kaipuhan hirason mo an daga sa mga Israelita siring sa ipinagboot kong gibohon mo. 
JOS.13.7	Kaya ngani bangaon mo an dagang ini tanganing masadirihan kan siyam na tribu asin kan kabanga kan tribu ni Manases.”
JOS.13.8	An mga tribu ni Ruben, Gad asin an kabanga kan tribu ni Manases nag-ako na kan dagang itinao sainda ni Moises na sorogoon nin 
JOS.13.9	An teritoryo ninda minaabot sa Aroer (na nasa gilid kan Kapantayan nin Arnon) asin an syudad na nasa tahaw kan kapantayan na ini saka an gabos na kapatagan sa bukid na minapoon sa Medeba sagkod sa Dibon; 
JOS.13.10	sagkod an gabos na syudad ni Sihon, an hade kan mga Amoreo, na naghade sa Hesbon, sagkod sa pagdolonan nin Ammon; 
JOS.13.11	kaiba an Gilead saka an mga rehiyon nin Gesur asin Maaca; an bilog na Bukid nin Hermon sagkod an bilog na Basan pasiring sa Saleca. 
JOS.13.12	Sakop man kan teritoryo ninda an kahadean ni Og, an natada sa mga Refaim, na naghade sa Astarot asin Edrei. Dinaog ni Moises an mga tawong ini asin pinahale sa saindang daga. 
JOS.13.13	Alagad dai pinahale kan mga Israelita an mga taga Gesur saka Maaca; sagkod ngunyan nag-eerok sinda sa Israel.
JOS.13.14	Dai tinawan ni Moises nin daga an tribu ni Levi. Bilang saindang pamana, maako sinda nin kahirasan sa mga dolot na tinututong sa altar para sa 
JOS.13.15	Hinirasan ni Moises kan daga an mga pamilya kan tribu ni Ruben bilang saindang pagsadiri. 
JOS.13.16	An saindang teritoryo abot sa Aroer (na nasa gilid kan Kapantayan nin Arnon) asin an syudad na nasa tahaw kan kapantayan na idto saka an gabos na kapatagan sa bukid sa palibot kan Medeba. 
JOS.13.17	Sakop kan teritoryo ninda an Hesbon saka an gabos na syudad sa kapatagan sa bukid: an Dibon, Bamot-baal, Bet-baal-meon, 
JOS.13.18	Jahaz, Kedemot, Mefaat, 
JOS.13.19	Kiriat-haim, asin an Sibma. Sakop man ninda an Zeret-sahar na nasa bulod kan kapantayan, 
JOS.13.20	an Bet-peor, an mga tukadon kan Bukid nin Pisga, asin an Bet-jesimot; 
JOS.13.21	an gabos na syudad sa kapatagan sa bukid asin an bilog na kahadean kan Amoreong hade na si Sihon na naghade sa Hesbon. Nadaog ni Moises si Sihon, siring man an mga namamayo kan Midian: si Evi, Rekem, Zur, Hur sagkod si Reba. Sinda an namayo sa daga para ki Hadeng Sihon. 
JOS.13.22	Kaiba sa mga ginadan kan mga Israelita iyo an parahula na si Balaam na aki ni Beor. 
JOS.13.23	An Salog nin Jordan iyo an pagdolonan kan tribu ni Ruben sa parteng solnopan. Iyo ini an mga syudad saka mga banwa na itinao bilang pamana sa mga pamilya kan tribu ni Ruben.
JOS.13.24	Hinirasan man ni Moises kan daga an mga pamilya kan tribu ni Gad bilang saindang pagsadiri. 
JOS.13.25	Sakop kan saindang teritoryo an Jazer asin an gabos na syudad kan Gilead, an kabanga kan daga nin Ammon sagkod sa Aroer, na nasa sirangan kan Rabba. 
JOS.13.26	Magpoon sa Hesbon, an saindang daga minaabot sa Ramat-mizpe saka sa Betonim, poon sa Mahanaim sagkod sa pagdolonan kan Lodebar. 
JOS.13.27	Sa Kapantayan nin Jordan, kahirasan ninda an Bet-haran, Bet-nimra, Sukkot, asin an Safon, an natadang kabtang kan kahadean ni Hadeng Sihon kan Hesbon. An pagdolonan ninda sa parteng solnopan minapoon sa Salog nin Jordan sagkod sa Danaw nin Galilea. 
JOS.13.28	Iyo ini an mga syudad asin mga banwa na itinao bilang pamana sa mga pamilya kan tribu ni Gad.
JOS.13.29	Hinirasan ni Moises kan daga an mga pamilya kan kabanga kan tribu ni Manases bilang saindang pagsadiri. 
JOS.13.30	An saindang kahirasan abot sa Mahanaim asin kaiba an Basan—an bilog na kahadean ni Og, na hade kan Basan, siring man an sesentang baryo nin Jair sa Basan. 
JOS.13.31	Napasainda an kabanga kan Gilead, siring man an Astarot saka Edrei, an duwang pangenot na syudad kan kahadean ni Og sa Basan. Ini gabos itinao sa kabanga kan mga pamilyang gikan ki Makir na aki ni Manases.
JOS.13.32	Siring kaini an pagkabanga ni Moises kan daga sa sirangan nin Jerico asin nin Salog nin Jordan kan siya yaon duman sa Kapantayan nin Moab. 
JOS.13.33	Alagad an tribu ni Levi dai tinawan ni Moises nin daga. Sinabihan niya sinda na an saindang pamana iyo an 
JOS.14.1	An masunod iyo an istorya kun paano binanga sa mga Israelita an daga nin Canaan sa solnopan kan Salog nin Jordan. Binaranga idto sa mga tawo kan padi na si Eleazar, ni Josue na aki ni Nun, asin kan mga lider kan mga pamilya kan mga tribu nin Israel. 
JOS.14.2	Siring sa ipinagboot nin 
JOS.14.3+JOS.14.4	Itinao na ni Moises sa duwa may kabangang tribu an daga sa sirangan kan Salog nin Jordan. (An kapagarakian ni Jose binanga sa duwang tribu: an tribu ni Manases asin ni Efraim.) Dai tinawan ni Moises nin daga an mga Levita. Alagad tinawan niya sinda nin mga syudad na pag-eerokan na igwa nin mga pasabsaban para sa saindang mga hayop. 
JOS.14.5	Binanga kan mga Israelita an daga siring sa ipinagboot nin 
JOS.14.6	Sarong aldaw, nagkapirang mga tawo na gikan sa tribu ni Juda an nagduman ki Josue sa Gilgal. An saro sainda, si Caleb na aki ni Jefunne na Keneceo, nagsabi saiya, “Aram mo an itinaram nin 
JOS.14.7	Kwarenta an sakong edad kan sugoon ako ni Moises na sorogoon nin 
JOS.14.8	Tinakot an mga tawo kan mga kairiba ko, alagad maimbod na kinuyog ko an 
JOS.14.9	Huli ta ginibo ko ini, nanuga sako si Moises na itatao niya sako sagkod sa mga aki ko bilang samong pamana an daga na sakong lalakawan. 
JOS.14.10	Alagad kwarenta y singkong taon na ngunyan an nakaagi magpoon kan itaram iyan nin 
JOS.14.11	alagad makosog pa ako ngunyan siring kan aldaw na sugoon ako ni Moises. Makosog pa ako para sa pakilaban o para sa ano man. 
JOS.14.12	Kaya itao mo sako ngunyan an mabulod na daga na ipinanuga sako nin 
JOS.14.13	Benendisyonan ni Josue si Caleb na aki ni Jefunne asin itinao niya saiya an syudad nin Hebron bilang saiyang pamana. 
JOS.14.14	An Hebron sadiri ngunyan kan mga kapagarakian ni Caleb na aki ni Jefunne na Keneceo, huli ta maimbod siyang nagkuyog sa 
JOS.14.15	Kaidto an Hebron inapod na syudad ni Arba. (Si Arba iyo an pinakabantog sa mga Anakim.)
JOS.14.15	Matoninong na kaidto sa daga.
JOS.15.1	An mga pamilya kan tribu ni Juda nag-ako kan kahirasan na daga na ilinaladawan siring kaini:
JOS.15.1	An daga minapasiring sa habagat sa pinakaporo kan kalangtadan nin Zin, sa pagdolonan kan Edom. 
JOS.15.2	An pagdolonan na ini sa habagat minapoon sa poro kan Gadan na Dagat, 
