MAT.1.1	Yesu Kristo gɔ nɖe Igara David ɔwa tɛtɛ, fiɛ David ɔ̃ wũ ɔɖe Abraham ɔwa ɔɣekparɛ i ngbe ne.
MAT.19.29	Ɔbiara gɔ lonyua ayo, manyiibi rɛrɛ̃ gu marɔ̃go, ɔ̃ ɔse gu ɔnyi, kukpɛkɔ̃ ɔsɛ ala wũ ɔso ne, ɔto ɔ̃afɔ ne ikpɛ kulafa fiɛ ɔ̃ana ngbã mɛ loisɛ miro ana. 
MAT.19.30	Ɣɛɛ gbodzoo ma nɖe maɖeakatɔ̃ kiniɔ to maakpese matsɔra fiɛ mawɛ̃ ma nɖe matsɔra kiniɔ to maakpese maɖeakatɔ̃.
MAT.20.1	“Ɣaa sigarakaɖekɔ̃ se lɛ ɔrɛrɛ̃ ɔwɛ̃ gɔ lota kaya tutuutu ɔsɛ ɔ̃abie marabaradze sɔ masɛ maabara karabara i ɔ̃ adziribi kakpɛkɔ̃ ame. 
MAT.20.2	Ɔnɔ karɔ̃ sɔ ɔ̃atã ma ikpɛnɛ kuso lɛ kumɛgɔ masɛ matã fiɛ ɔsese ma sia.
MAT.20.3	“Lɛ iɖɔwũ kaiwɛ̃ ne, ɔledza kuɣa ame isɛ, ne ɔnya gɔ mawɛ̃ ɣɛ mmɔ maito mabara kuira. 
MAT.20.4	Ne ɔɣere ma ma wũ sɔ, ‘Mikɛlɛ wũ kakpɛkɔ̃ miabara karabara ne nto loatã mi ikpɛnɛ kuso.’ 
MAT.20.5	Ne ɔso marui makɛlɛ.
MAT.20.5	“Iɖɔwũ iweo-inyɔ gu iɖɔwũ itɛ ame ne, ɔledza ibara ngbɔ ame. 
MAT.20.6	Ito ikɛlɛ iɖɔwũ iru ame ana gɔ ɔsɛ kuɣa ame ne, ɔledza marɛrɛ̃ mawɛ̃ inya gɔ maɣɛ i mmɔ. Ɔkarɛ ma sɔ, ‘Be ɔso mito miwɔra ikpɛnɛ siefe sɔ miito mibara kuira?’
MAT.20.7	“Ne matã mmuai sɔ, ‘Kuwɛ̃ iisu bo sɔ bosɛ boabara ɔ̃ karabara.’
MAT.20.7	“Ne ɔɣere ma sɔ, ‘Mi wũ mikɛlɛ wũ kakpɛkɔ̃ ame miabara karabara.’
MAT.20.8	“Gɔ kutsuɛ ɔɣo ne, kakpɛkɔ̃sate ɔɣere ngɔ nto ɔnyɔ marabaradze iso sɔ, ‘Kpere marabaradze bɔ si atã ma ma kuso. Sɛ karɔ̃ i mma lotsɔra sia ɔkɛlɛ iso si awirigu mma loɖe katɔ̃ makɛlɛ iso.’
MAT.20.9	“Marabaradze ma lokɛlɛ ku iɖɔwũ iru ame ne, matã ma ɔbiara ikpɛnɛ kuso. 
MAT.20.10	Ne ɔso gɔ marabaradze ma loɖe katɔ̃ makɛlɛ ɔba mafɔ ma kuso ne, mabu sɔ maatã ma iɖo ngbɔ, ɣɛɛ ma wũ ikpɛnɛ kuso matã ma ɔɖuɖu. 
MAT.20.11	Gɔ mafɔ sikã ne, matsɛ kakpɛkɔ̃ sate iɣɛtɛ sɔ, 
MAT.20.12	‘Mma lotsɔra sia ɔba ne, ɔɖɔwũ ɔwɛ̃ pɛ mabara karabara atoa sɔ bo ne, bobara karabara ikpɛnɛ ɔɖuɖu i kuɣɛ̃ ame, ɣɛɛ kuso kuwɛ̃ ɔtã bo!’
MAT.20.13	“Ne kakpɛkɔ̃ sate ɔtã ma ɔwɛ̃ mmuai sɔ, ‘Ɔrɛrɛĩ, loiɖe mi amumu alasɔ kuso gɔ boɣɛ bosia ita kuɖe lotã mi. 
MAT.20.14	Ne ɔso su fɔ sikã si akɛlɛ iyo. Mme mɔmɔ me lobie sɔ loatã mma lotsɔra ɔba lɛ kumɛgɔ lotã mi. 
MAT.20.15	Fiɛ loba ɔri sɔ lobara wũ sikã karabara kumɛgɔ loɖɔɛ, ne ɔso anɔ si adaarɛtɛ-ɔ i wũ ara itsɛ iso.’ ”
MAT.20.16	Ne Yesu ɔwirigu ma sɔ, “Ne ɔso mma nɖe matsɔra to maakpese maɖeakatɔ̃ fiɛ mma nɖe maɖeakatɔ̃ to maakpese matsɔra.”
MAT.20.17	Gɔ Yesu to ɔkɛlɛ Yerusalem ne, ɔkpere ɔ̃ marasuãdze iweo-inyɔ ɔɣedza i kuruɛ ɔɣere ma sɔ, 
MAT.20.18	“Mikã atsue, boto bokɛlɛ Yerusalem ngbegɔ mato maaɖi mme, Ɔturi Awune Ɔbi, matã masɔrɛdze makpakpa gu mmara matedze matã me kukpi ipɔ. 
MAT.20.19	Maaɖi me matã mma loiɖe ma Yudase mabara me aɣiãra, mapɛ me, fiɛ maapɛ me mamatãra i kudziri iso, ɣɛɛ ikpɛnɛ tɛare iso ne, nto loaledza ita iwe ngbã.”
MAT.20.20	Zebedeo ɔre ɔkɔ ɔ̃ mabi inyɔ maba Yesu kɔrɛ, mapɛ agɛgɛ̃ makarɛ wũ sɔ ɔbuai ma.
MAT.20.21	Ne Yesu ɔkarɛ ma sɔ, “Be mito mibie?”
MAT.20.21	Ne ma ɔnyi ɔtã mmuai sɔ, “Tã sɔ wũ mabi inyɔ magbe aasɛ i fɔ kuɖearɔ̃ gu fɔ kubena iso ku ɔwi gɔ aaɖe sigara.”
MAT.20.22	Yesu ɔɣere ma sɔ, “Miiɣe nnɛ mito mikarɛ. Miawo inyɛwe gu kukpi gɔ ame loaki ɔki?”
MAT.20.22	Ne matã mmuai sɔ, “Aĩ, boto boawo.”
MAT.20.23	Mmɔ i Yesu to ɔɣere ma sɔ, “Gbaã iɖe sɔ mito miawo. Ɣɛɛ ne, lona ɔri sɔ loaɖi mma loasɛ i wũ kuɖearɔ̃ gu kubena iso. Kusɛkɔ̃ gɔmɔ ne, mma i wũ Ɔse ɔledza ɔsɛ ɔkpɛ ɔɖe.”
MAT.20.24	Gɔ marasuãdze iweo tsɔra ɔnɔ itɔ̃me nɛgbe ne, managu manyiibi inyɔ magbe sikpã. 
MAT.20.25	Ne ɔso Yesu ɔkpere ma ɔɖuɖu ɔsirakanya ɔɣere ma sɔ, “Miɣe sɔ mma loiɖe ma Yudase magara sɛ mate so mapia mma mato maɖe iso, fiɛ ma matɔ̃ɖedze ana sɛ maɖe ma iso ku ɔle ɔɖuɖu. 
MAT.20.26	Ɣɛɛ ne, idaawe i mi ame ngbɔ, si mi ndɛ̃ ɔrere to ɔbie sikpakpa ne, ɔbara so sumudze ɔtã matsɔra. 
MAT.20.27	Fiɛ si mi ɔrere to ɔbie sɔ ɔ̃aɖe ɔɖeakatɔ̃ ne, ɔbara so ɔɖabo ɔtã matsɔra. 
MAT.20.28	Mme Ɔturi Awune Ɔbi kɔra ne, loiba sɔ masumu me, ɣɛɛ sɔ loasumu losu wũ ngbã lotã ala maturi gbodzoo iɖi ɔso.”
MAT.20.29	Ɔwi gɔ i Yesu gu ɔ̃ marasuãdze to mabɔrɛ i Yeriko ne, maturi gbodzoo ɔsiai ma. 
MAT.20.30	Manɔbiɛdze inyɔ ma nsi i ɔri kuruɛ ɔnɔ sɔ Yesu to ɔfe, ne ɔso matsɛ kulu teteree sɔ, “Yesu, Igara David Ɔbi, nyɔ bo nnya!”
MAT.20.31	Maturi ɔnyagalagu ma sɔ malo, ɣɛɛ makɔlɛ ma silɔ mabua sɔ, “Igara David Ɔbi nyɔ bo nnya soo!”
MAT.20.32	Yesu ɔtui ɔya ne ɔkpere ma ɔkarɛ sɔ, “Be mito mibie sɔ lobara lotã mi?”
MAT.20.33	Matã mmuai sɔ, “Tete, boto bobie sɔ boanya ara!”
MAT.20.34	Ma ara ɔɖo Yesu kayiri, ne ɔpɛgu ma anɔmi matsɛ inya fiɛ marui masiai wũ ne.
MAT.21.1	Ɔwi gɔ i Yesu gu ɔ̃ marasuãdze ɔɔbore mabo Yerusalem ne, maba maabo Betfage i kube gɔ marɔ sɔ Oliva adziri Kube iso. Mmɔ ɔpia ɔ̃ marasuãdze inyɔ ɔɖegu katɔ̃ 
MAT.21.2	ɔɣere ma sɔ, “Mikɛlɛ akorowa wa mpia i katɔ̃, si mibo ne, mito mianya ɔfirimu gɔ makɔra maɣedza, ɔ̃ ibi ɣɛ wũ i kɔrɛ. Mikurisi wũ mibɔ me. 
MAT.21.3	Si ɔrere ɔɣɛ ira irere ne, miɣere wũ sɔ, ‘Bosate nto ɔbie ma’ iyɔ ɔluwɛ̃ ne, ɔto ɔ̃aɖi ma arɔĩ.”
MAT.21.4	Iba ngbɔ gɔ itã sɔ nnɛ i kanyaɖidze ɔɣɛ aaba i ne ame sɔ,
MAT.21.5	“Miɣere Zion kaɖe sɔ,
MAT.21.5	‘Nyɔ, fɔ igara to ɔba fɔ kɔrɛ!
MAT.21.5	Ɔsi i ɔfirimu gu ɔ̃ ibi iso i karɔ̃ ibɔso ame ɔto ɔba.’ ”
MAT.21.6	Ne ɔso marasuãdze ɔrui masɛ maabara lɛ kumɛgɔ i Yesu ɔpia ma. 
MAT.21.7	Makɔ ɔfirimu gu ɔ̃ ibi mabɔ, maɖi ma sikati masia i mabɔi iso fiɛ Yesu ɔta ɔsɛ i ma iso. 
MAT.21.8	Maturi gbodzoo ɔɖi ma awu masɛ i ɔri fiɛ mawɛ̃ ana ɔɖaɛ kudzirikpai mafere i ɔri iso. 
MAT.21.9	Maturi gbodzoo ma nɖe Yesu katɔ̃ gu mma ngbikama to mafa kayiɖu teteree sɔ,
MAT.21.9	“Boale David Ɔbi,
MAT.21.9	fiɛ Ɣaa aafere ngɔ nto ɔba i Bosate iyere ame kusɛkusɛ.
MAT.21.9	Boale Ɣaa!”
MAT.21.10	Gɔ Yesu ɔbo Yerusalem ɔmagɛ̃ ame ne, kulu ko nto ɣee, ne maturi to makarɛ sɔ, “Ne nna ɔɖe ngbe?”
MAT.21.11	Ne mawɛ̃ to matã mmuai sɔ, “Ɔ̃ nɖe Kanyaɖidze Yesu gɔ lobɔrɛ i Nasaret i Galilea ne.”
MAT.21.12	Yesu ɔkɛlɛ Ɣaa isɔrɛyo ɔsɛ ɔ̃asa mma ɔɖuɖu nto maɣa ara gu mma nto marɔdɛ̃ ara ɔɖi i mmɔ. Ɔli mma nto manyuarã sikã sipɔrɔ̃ gu mma nto marɔdɛ̃ abɔrɔnuma ayara ɔpɛyu. 
MAT.21.13	Ne ɔɣere ma sɔ, “Matsɛrɛ i Ɔko Sekelea ame sɔ Ɣaa ɔɣɛ sɔ, ‘Maarɔ wũ iyo sɔ kayi kakparamakɔ̃,’ ɣɛɛ miɔsu ne mibara mayukukpe kawɛrɛkɔ̃!”
MAT.21.14	Manɔbiɛdze gu mabafã ɔba ɔ̃ kɔrɛ i kasɔrɛkɔ̃ mmɔ fiɛ ɔsa ma. 
MAT.21.15	Ɣɛɛ gɔ masɔrɛdze makpakpa gu mmara matedze ɔnya awawãra wa ɔto ɔbara gu kumɛgɔ i mabiɛtɛ to mala kulu i isɔrɛyo ame sɔ, “Maale David Ɔbi!” ne, ikpɛ̃ ma sikpã.
MAT.21.16	Ne mato makarɛ Yesu sɔ, “Ato anɔ nnɛ mato maɣɛ i ngbe?”
MAT.21.16	Yesu ɔtã ma mmuai sɔ, “Nto lonɔ. Miika itɔ̃me nɛgbe minya i Ɔko Sekelea ame sɔ, ‘Akararã mabiɛtɛ sɔ ma kanya ame i ile nɛ loyi sɛ ibɔrɛ.’ ”
MAT.21.17	Ne kama ne, Yesu ɔrui ɔnyua ma ɔkɛlɛ Betania ɔmagɛ̃ ame ngbegɔ ɔsɛ ɔ̃arɛ.
MAT.21.18	Kaɖesɛ̃a kaya tututu gɔ ɔ̃ɔkpese ɔto ɔba ɔmagɛ̃ ame ne, kukã ɔkpɛ̃ wũ. 
MAT.21.19	I ɔri kuruɛ ne, ɔnya figi kudziri gɔ kuɣɛ ne ɔso ɔkɛlɛ kɔ̃ kɔrɛ, ɣɛɛ gɔ ɔsɛ ne, ɔ̃inya ibi kuiwɛ̃ iɖo aɣata. Ne ɔɣere kudziri sɔ, “Ita i nɔme ne, aisibaɣɔ̃ abi anya.” Ɔluwɛ̃ kudziri ko loɣɔ.
MAT.21.20	Gɔ ɔ̃ marasuãdze ɔnya nnɛ loba ne ibara ma ɣii, ne mato makarɛ sɔ, “Nda i kuɖedziri ɔɣɔ ɔluwɛ̃ ngbɔ?”
MAT.21.21	Ne Yesu ɔtã ma mmuai sɔ, “Nto loɣere mi gbaã sɔ si mifɔ miɖe fiɛ miiwararã ne, mito miawo nnɛ lobara kudziri gɔgbe ɔbara. Fiɛ iiɖe ne kere, ɣɛɛ mito miaɣere kube gɔgbe sɔ, ‘Kɛlɛ aafuĩdza so apia i ɔpo ame,’ fiɛ iaba ngbɔ. 
MAT.21.22	Si mifɔ Ɣaa miɖe ne, ira biara nɛ miakarɛ wũ i kayi ikparama ame ne, mito miafɔ ne.”
MAT.21.23	Yesu ɔkpese ɔba isɔrɛyo ame ne gɔ ɔto ɔte ara ne, masɔrɛdze makpakpa gu makpakpa ɔba ɔ̃ kɔrɛ makarɛ wũ sɔ, “Lɛ ana ɔle gɔ ato abara ala ara wagbe fiɛ nna lotã-ɔ ɔle gɔmɔ?”
MAT.21.24	Yesu ɔtã ma mmuai sɔ, “Mitã lokarɛ mi itɔ̃me iwɛ̃ lonɔ, si mitã me mmuai ne, nto loaɣere mi ɔle gɔ loto lobara ala ara wagbe. 
MAT.21.25	Yohanes ne, nna lotã wũ ɔle fiɛ ɔpie maturi Ɣaa ndu? Ɣaa ɛɛbɛrɛ maturi lotã wũ?”
MAT.21.25	Ne matsɛgu so iwararã sɔ, “Be boaɣɛ? Si boɣɛ sɔ Ɣaa kɔrɛ ne, ɔto ɔ̃akarɛ bo sɔ ‘Be ɔso miifɔ Yohanes miɖe?’ 
MAT.21.26	Ɣɛɛ si boɣɛ ana sɔ ‘Maturi kɔrɛ’ ne, boto bonigã maturi alasɔ ma ɔɖuɖu ɔfɔ maɖe sɔ Ɣaa kanyaɖidze ɔɖe.”
MAT.21.27	Ne ɔso maɣere Yesu sɔ, “Boiɣe ngbegɔ i ɔ̃ ɔle ɔbɔrɛ.”
MAT.21.27	Ne Yesu ɔ̃ wũ ɔɣere ma sɔ, “Mme wũ loibaɣere mi ngbegɔ i wũ ɔle gɔ loto lobara ala karabara gagbe ɔbɔrɛ.”
MAT.21.28	“Nda minya itɔ̃me nɛgbe? Ɔrɛrɛ̃ ɔwɛ̃ ɔwe gɔ ɔba mabirɛrɛĩ inyɔ. Ɔɣere kpakpare sɔ, ‘Ɔbi, sɛ aabara karabara i kakpɛkɔ̃ ame nɔme.’
MAT.21.29	“Ɔbi ɔɣere ɔ̃ ɔse sɔ, ‘Loibasɛ,’ ɣɛɛ ne kama ne, ɔfinikira ɔ̃ adzuni ɔrui ɔkɛlɛ sia.
MAT.21.30	“Ɔse ɔkpere ɔbi nyɔare ɔpia wũ katɔ̃me gagbe ame. Ɔtɔrã i ɔ̃ ɔse katɔ̃ sɔ ɔ̃asɛ, ɣɛɛ ɔ̃isɛ.
MAT.21.31	“Mabi inyɔ magbe ne, ma ɔmele lobara ɔ̃ ɔse kuɖɔɛ?”
MAT.21.31	Matã mmuai sɔ, “Kpakpare.”
MAT.21.31	Ne Yesu ɔɣere ma sɔ, “Nto loɣere mi sɔ, ma lampofɔdze gu asɔrɔ̃ maɖedze ɔɔɖe mi katɔ̃ makpa Ɣaa sigarakaɖekɔ̃. 
MAT.21.32	Alasɔ Ndupiedze Yohanes ɔba ɔ̃ate mi sibɔlɔlɔ ɔri, ɣɛɛ miifɔ wũ miɖe, ɣɛɛ ma lampofɔdze gu asɔrɔ̃maɖedze ɔfɔ wũ maɖe. Atoa sɔ minya nwagbe ne, miifinikira mi adzuni mifɔ wũ miɖe.”
MAT.21.33	Yesu ɔɣere ma sɔ, “Minɔ igbã mama ana. Kpɛ̃dze ɔwɛ̃ ɔwe ku ɔwi gɔ lofe gɔ ɔkpɛ̃ adziribi wa masɛ masu mabara ala ndã kakpɛkɔ̃. Ɔtɛ̃ ɔkpã ɔki ɔlɔ kakpɛkɔ̃, ɔɖi itawo nɛ ame maakã ndã, fiɛ ka ɔtsue iyo kɔlɛa ngbegɔ i ngɔ loadzuɛ̃ kakpɛkɔ̃ aaya. Ɔsu kakpɛkɔ̃ ɔpia i marabaradze nrɔɔ̃ ame fiɛ ɔkɛlɛ ɔri. 
MAT.21.34	Gɔ adziribi ɔsɔrɛ̃wi ɔɣo ne, ɔpia ɔ̃ maɖabo sɔ masɛ maafɔ ɔ̃ kaɖekɔ̃ mabɔ wũ i marabaradze kɔrɛ.
MAT.21.35	“Marabaradze ɔmɔɛ̃ maɖabo magbe, mapɛ ɔwɛ̃, maɖoe ɔwɛ̃, fiɛ mapɛ ɔwɛ̃ ata. 
MAT.21.36	Ɔrɛrɛ̃ gɔgbe ɔledza maɖabo mama isese iɖo maɖeakatɔ̃. Ma wũ ne, marabaradze ɔbara ma lɛ maɖeakatɔ̃. 
MAT.21.37	Kawirikɔ̃ ne, ɔsese ɔ̃ ɔbi ala ɔɣere so sɔ, ‘Loɣe sɔ mato maawarɛ wũ ɔbi.’
MAT.21.38	“Ɣɛɛ gɔ marabaradze ɔnya ɔbi ne, maɣere so sɔ, ‘Kakpɛkɔ̃ sate ɔbi gɔ loaɖe ɔ̃ ara i ngbe ne. Mitã boɖoe wũ si boaɖe ɔ̃ ara.’ 
MAT.21.39	Ne ɔso mamɔɛ̃ wũ mafuĩdza i ɔkpã kama fiɛ maɖoe wũ.”
MAT.21.40	Ne Yesu ɔkarɛ ma sɔ, “Be mifɔ miɖe sɔ kakpɛkɔ̃ sate aabara marabaradze magbe si ɔba?”
MAT.21.41	Matã mmuai sɔ, “Ɔto ɔ̃aɖoe marabaradze lalaa magbe ɔsu kakpɛkɔ̃ ɔtã marabaradze mama ma loasu ɔ̃ kaɖekɔ̃ mabɔ wũ i ɔwi iso si masɔrɛ̃ ɔraɖui.”
MAT.21.42	Ne Yesu ɔɣere ma sɔ, “Miika i Ɔko Sekelea ame sɔ,
MAT.21.42	‘Ita nɛ i mayotsuedze ɔsɛ̃ sɔ iilɛ ne,
MAT.21.42	ne loba iakpese ita nɛ lofɔ kuɣa iɖo ata ɔɖuɖu pelepele ne.
MAT.21.42	Bosate lobara ira siare nɛgbe
MAT.21.42	fiɛ ibo bo anɔ gbaã!’ ”
MAT.21.43	Yesu ɔkɛlɛgu i katɔ̃ sɔ, “Ɣaa to ɔ̃amɔɛ̃ ɔ̃ sigarakaɖekɔ̃ ɔfɔ mi iso ɔsu ɔtã mma loaɣɔ̃ abi sɛɛ. 
MAT.21.44	Ngɔ loakpase i itã nɛgbe iso ne, ɔto ɔ̃afɛfɛ̃ ɖukuɖuku, fiɛ ngɔ i ita nɛgbe aakpase iwuĩ ne, ito iakɔtɛ wũ ɖɛkpɛrɛɛ.”
MAT.21.45	Gɔ masɔrɛdze makpakpa gu ma Farisise ɔnɔ agbã wa i Yesu ɔpɛ ne, matsue sɔ ma ɔto. 
MAT.21.46	Ne ɔso mabie sɔ si mamɔɛ̃ wũ, ɣɛɛ manigã maturi gbodzoo ma mpia i mmɔ ala masɛ mabu Yesu lɛ Ɣaa kanyaɖidze awe.
MAT.22.1	Yesu ɔledza agbã isu ite ma ara sɔ, 
MAT.22.2	“Ɣaa sigarakaɖekɔ̃ se lɛ ngbe. Ɔwi ɔwɛ̃ ame ne, igara ɔwɛ̃ ɔkɔ ɔrɔ̃go ɔtã ɔ̃ ɔbi. 
MAT.22.3	Ɔpia ɔ̃ maɖabo sɔ masɛ maakpere mma matã itsue sɔ maba iyi kaɖekɔ̃ sɔ ka maba, ɣɛɛ masɛ̃ sɔ maito maba.
MAT.22.4	“Ne ɔso ɔpia maɖabo mama sɔ maɣere ma sɔ, ‘Lotã maɖoe mabɔi gu ma nantsuĩ ma mba iɖa, mawa aɖera masɛ, ira biara ɔɔkote, ne ɔso ka miba wũ ɔpɔrɔ̃ gɔ lotu lotã irɔ̃gokɔ katɔ̃!’
MAT.22.5	“Ɣɛɛ maturi ma makpere iipia wũ kanya. Makɛlɛ ma kurabara iso, ɔwɛ̃ ɔkɛlɛ sia, ɔwɛ̃ ana ɔkɛlɛ kuɣa kaɖekɔ̃. 
MAT.22.6	Mawɛ̃ ana ɔmɔɛ̃ maɖabo mamɔ mapɛ ma, maɖoe mma. 
MAT.22.7	Sikpã ɔmɔɛ̃ igara gɔmɔ gbaã, ne ɔso ɔpia ɔ̃ makpakpɛ̃dze masɛ maaɖoe maturiɖoese mamɔ, matsuedza ma ɔmagɛ̃.
MAT.22.8	“Ne ɔkpere ɔ̃ maɖabo ɔɣere ma sɔ, ‘Wũ ɔrɔ̃go ikɔ aɖera wa mawa ka ase, ɣɛɛ mma lokpere sɔ maba maaɖe ara iikote. 
MAT.22.9	Ne ɔso mikɛlɛ siri iso si mikpere ɔbiara gɔ mianya mibɔ.’ 
MAT.22.10	Ne maɖabo ɔrui makɛlɛ itiri gu siri iso masɛ maakpere maturi ɔɖuɖu ma manya, masɛɛ gu malalaa, itã sɔ iyo nɛ ame matu ɔpɔrɔ̃ ɔyi gu maturi.
MAT.22.11	“Gɔ igara ɔba ɔ̃anyɔ mma loba aɖera kaɖekɔ̃ ne, ɔnya ɔrɛrɛ̃ ɔwɛ̃ gɔ loipia awu wa masɛ mapia i ɔrɔ̃go kakɔkɔ̃. 
MAT.22.12	Ne igara ɔkarɛ wũ sɔ, ‘Wũ ɔlaa, nda abara fiɛ abo i ngbe gɔ aipia irɔ̃gokɔ awu?’ Ɣɛɛ ɔrɛrɛ̃ iinya kuira ɔɣɛ.
MAT.22.13	“Ne igara ɔɣere ɔ̃ maɖabo sɔ, ‘Minyi wũ nrɔɔ̃ gu ngba si mifuĩdza wũ i kayoma i idududu ame. Mmɔ i kaku gu inyɛwe pia ne.’ ”
MAT.22.14	Ne Yesu ka ɔwirigu ma sɔ, “Maturi gbodzoo i Ɣaa ɔkpere, ɣɛɛ kɛkɛĩ kere ɔ̃aɖi i ma ndɛ̃.”
MAT.22.15	Ma Farisise ɔsɛ maabara adzuni sɔ maamɔɛ̃ Yesu i ma atɔ̃me ikarɛ ame. 
MAT.22.16	Ne ɔso mapia ma marasuãdze gu Herodes masiaidze mawɛ̃ ɔ̃ kɔrɛ makarɛ wũ sɔ, “Ratedze, boɣe sɔ asɛ aɣɛ ɔnukuare, asɛ ate maturi nnɛ nɖe Ɣaa kuɖɔɛ gɔ aisɛ akã siruɛ atsue alasɔ aisɛ anyɔ ɔturi i katɔ̃. 
MAT.22.17	Ne ɔso ɣere bo fɔ adzuni. Lɛ sɔ boatã Roma Igarakpakpa lampo ɛɛbɛrɛ ita iya i bo mmara iso?”
MAT.22.18	Yesu ɣe ma adzuni ne ɔso ɔɣere ma sɔ, “Mi ma nsɛ mibie sɔ mibo maturi anɔ! Be ɔso mito mibie sɔ miala me minyɔ? 
MAT.22.19	Mitã me sikã dzɛ misɛ mitã ala lampo lonyɔ.” Ne masu mabɔ wũ ne.
MAT.22.20	Ne ɔkarɛ ma sɔ, “Nna katɔ̃ gu iyere iɖe nsia i sɛ̃ iso?”
MAT.22.21	Matã wũ mmuai sɔ, “Roma Igarakpakpa ire iɖe.”
MAT.22.21	Ne Yesu ɔɣere ma sɔ, “Misu nnɛ nɖe Kaisaro ire mitã wũ si misu nnɛ nɖe Ɣaa ire ana mitã Ɣaa.”
MAT.22.22	Gɔ manɔ nnɛgbe ne, ibara ma ɣii, ne marui maɣɛ wũ ne.
MAT.22.23	Iyi nɛmɔ ame ne, ma Zadukise ma nsɛ maɣɛ sɔ makpise iisibata ɔba Yesu kɔrɛ maba maaɣere wũ sɔ, 
MAT.22.24	“Ratedze, Mose ɔɣɛ sɔ si ɔrɛrɛ̃ ɔkpi ɔɣɛ ɔ̃ ɔre fiɛ maiɣe ɔbi ne, ɔ̃ ɔnyiibi si ɔsu ɔrɔ̃go ɔyiri si maɣe mabi. Maanyɔ mabi ma maaɣe mmɔ lɛ ɔ̃ ɔnyiibi gɔ lokpi mabi. 
MAT.22.25	Ɔwi ɔwɛ̃ ame ne, manyiibi rɛrɛ̃ ikɔdzɛ mawɛ̃ ɔwe i ngbe. Kpakpare ɔyiri ɔrɔ̃go ɣɛɛ ɔ̃iɣe ɔbi fiɛ ɔkpi ɔnyua ɔ̃ ɔre ɔsɛ ɔ̃ ɔkpeama. 
MAT.22.26	Ngbɔ ame ibara ɔbirɛrɛĩ nyɔare ɔtɛare gbɔgbɔɔgbɔ isɛ iabo ɔkɔdzɛva ne. 
MAT.22.27	Kawirikɔ̃ ne, ɔrɔ̃go ɔ̃ wũ ɔba ɔ̃akpi. 
MAT.22.28	Kiniɔ ne, ma nna ɔre i ɔrɔ̃go aaɖe ku iyi nɛ i makpise aaledza ita gɔ ma ɔɖuɖu ɔɔyiri wũ manya.”
MAT.22.29	Yesu ɔɣere ma sɔ, “Mmɔ miɣɛrɛ ne, alasɔ miiɣe Ɔko Sekelea ame atɔ̃me fiɛ miiɣe Ɣaa ɔle ana. 
MAT.22.30	Alasɔ si makpise ɔta ne, maase lɛ Ɣaa makpabo ma i kato fiɛ maibayiri so. 
MAT.22.31	Ɣɛɛ i makpise ita iso ne, miika nnɛ i Ɣaa ɔɣere mi? Ɔɣɛ sɔ, 
MAT.22.32	‘Mme nɖe Abraham Ɣaa gu Isak Ɣaa gu Yakob Ɣaa ne.’ Magbanadze Ɣaa ɔɖe ne iiɖe makpise ɔre ɔɖe.”
MAT.22.33	Gɔ maturi gbodzoo ma mpia mmɔ ɔnɔ ara wagbe ne, ɔ̃ ara ite ɔbara ma ɣii.
MAT.22.34	Gɔ ma Farisise ɔnɔ kumɛgɔ i Yesu mmuai ɔpia ma Zadukise ibɔra i kanya ne, maba maasakanya. 
MAT.22.35	Ne ma ndɛ̃ ɔwɛ̃ gɔ nɖe mmaratedze ɔkarɛ Yesu itɔ̃me sɔ si ɔla wũ ɔnyɔ ne. 
MAT.22.36	Ɔkarɛ wũ sɔ, “Ratedze, mme mmara lomɔ miɖo?”
MAT.22.37	Yesu ɔtã wũ mmuai sɔ, “Ɖɔɛ Bosate Ɣaa ku fɔ ɔtu ɔɖuɖu gu fɔ ɔkala ɔɖuɖu gu fɔ adzuni ɔɖuɖu 
MAT.22.38	Mmɛgbe nɖe mmara ɖeakatɔ̃ gu mmɛ lonya miɖo pelepele ne. 
MAT.22.39	Minyɔare mɛ ka lonya se lɛ miɖeakatɔ̃, ‘Ɖɔɛ fɔ ɔnyii lɛ kumɛgɔ ato aɖɔɛ so.’ 
MAT.22.40	Mmara aka anyɔ wagbe iso matsue Mose mmara ɔɖuɖu gu Kanyamaɖidze ara ite masia ne.”
MAT.22.41	Gɔ ma Farisise mawɛ̃ ɔsakanya ne, Yesu ɔkarɛ ma sɔ, 
MAT.22.42	“Nna mibu sɔ Kristo ɖe? Nna ɔbi ɔɖe?”
MAT.22.42	Matã mmuai sɔ, “Igara David Ɔwa tɛtɛ ɔɖe.”
MAT.22.43	Ne Yesu ɔkarɛ ma sɔ, “Si igara David ɔbi ɔɖe ne, lɛ ise ɔso i David ɔki i Ɣaa Siwarã ɔle ame ɔkpere wũ sɔ Bosate? David ɔɣɛ sɔ,
MAT.22.44	‘Ɣaa ɔɣere Bosate sɔ,
MAT.22.44	“Sɛ i wũ kuɖearɔ̃ iso
MAT.22.44	gbɔgbɔɔgbɔ loatã
MAT.22.44	asu ngba asia i fɔ matsirise iso.” ’
MAT.22.45	Si igara David ɔkpere wũ Bosate ne, nda i Kristo aaɖe ɔ̃ ɔbi ɔɣɛ?” 
MAT.22.46	Ma kuwɛ̃ iiwo Yesu mmuai ɔtã, ne ɔso ita iyi nɛmɔ iso ne, ma kuwɛ̃ iisikarɛ wũ kuira.
