MAT.1.1	Arepa Abraham Chha, ngale Devit Chha, Jisu Krista te awa heh nginkong.
MAT.14.31	Lemlienma Jisu Piter tâko hûka lahma Atenâng lolahma ngatwah, “Nangnâng dâlem pa atôrîn ne! chenrãngma rinsamtoh a?”
MAT.14.32	Waniinii khôankhoko chhangwãng phumma pôngpông pa jekwah. 
MAT.14.33	Erediko khôankho kowah dijunte hehma Jisu nâng soamwah, ngale “Linlin nanga Joban Chha!” ngama Atenâng ngatwah.
MAT.14.34	Thinma josi danlahma Ginisarat hahnâng hokwah, 
MAT.14.35	Enângwah mihnyan hehma Jisu jetloatwah. Ephumma khoanchette mihnyan heh Jisu tânâng siethok kohrãng thin tûm arien diak hehnângmin thinma ngin matchhoan wah. 
MAT.14.36	Jisu nâng thinma khunte hehnâng nang khetsako sahlothuk mêngo ngama roatsep wah; ngale ate khetsako sahloatte chentô heh khoanchet wah mêwah.
MAT.15.1	Erediko Farasi ngale Niemarang hethôte heh Jeroselem wah kalahma Jisu nâng chhienwah, 
MAT.15.2	“Chenni rãngma nang dijunte hehma nãngte nãngwa hehma hethô wah Niemarang heh lekep re eka? Thinma phhekchhah chhah mako dek senthemthem soanmah!”
MAT.15.3	Jisu ma dânthâng wah, “Nema chenni rãngma Joban nginpa lekep thangma nededema thôeken junko dangekena? 
MAT.15.4	Chenrãngma ngako, Joban ma aroh ngaeka, ‘Nang nyong nangwa nginkepkep dango,’ ngale ‘henhenma mâmâ nyong awa nâng tem athoak eka, arepa ritphe rêmin.’ 
MAT.15.5	Phumma nema mâmâ nyong awa nâng chohsok thiakpa, ‘Joban nâng lâkohtih’ ngama hethô eken, 
MAT.15.6	Ephumma thinma thinnyong awa ngin keptumah. Eroh nema Joban nginpa chhihsiet letma nededema thôeken junko songtong eken. 
MAT.15.7	Ahuhkhoanglep heh! Isaia ma nerãngma profisi hôantahpa toangtang dângwah!
MAT.15.8	Joban ma ngaeka, ‘Are mihnyan hehma nganâng thunma loloba soamtô ehang,
MAT.15.8	Phumma thin hungpa linlinko nga tâwah ataangnâng.
MAT.15.9	Thinma nganâng soamtô pejô mahto nâng soamtô wak ehang,
MAT.15.9	chenrãngma ngako, thinma mihnyan ma hôaneka niemarang heh nganiem ngarang rãngrãng hethôeka!’ ”
MAT.15.10	Erediko Jisu ma mihnyan heh ate tânâng roolahma thinnâng ngatwah, “Tat en, ngale jetlo en! 
MAT.15.11	Mihnyan thunko chenni chhahwen eka erepumma niemarang junko ate ngeksiet mah; ate thunwah chenni loatchhoan eka ere pummeba ngeksiet eka.”
MAT.15.12	Erediko dijunte heh ate tânâng hûlahma Atenâng ngatwah, “Nangma jet ekole, nangma chennijab eko erepumma Farasi heh hungnâng chet reka?”
MAT.15.13	Jisu ma dânthâng wah, “Rangkhethung wah Ewa ma lekhiet bãng chentôpa phuphe rêmin,” 
MAT.15.14	“Thinrãngma neksekmah en! thin a mitdoak, ngale mitdoak heh lemsênte; ngale chenthu mitdoak wathema ahan mitdoak lem mesen ako waniinii jongnâng ejâriiwak a.”
MAT.15.15	Piter ma dânthâng wah, “Are nginpa ninâng senthemthem thôkoh tanhi.”
MAT.15.16	Jisu ma thinnâng ngatwah, “Nea athângheh min ahan heh noma chhin achhiak dangmetne. 
MAT.15.17	Nema jetmetne? mihnyan thunko chenni chhahwên eka, arepa ate woknâng kaeka, ngale ate phoangwah loatchhoan reka. 
MAT.15.18	Phumma mihnyan thunwah loatjab ekapa ate hungkhen wah loatjabwên era, ngale ere jabkhab pumma mihnyan pa ngeksiet eka. 
MAT.15.19	Chenrãngma ngako, ate hungkhen wah buthi mongthem chhih hongeka, erejunko atema mihritphe, mihtangnyu demnâng kaamchhih moat, ngale lirup kaamchhih moat; mihwahnyen, mothô khoanglep, erediko mihphoang chhihthô. 
MAT.15.20	Ereheh meba mihnyan pa ngeksiet eka. Phumma, thinma ngaeka rãngrãng nema deklesoan thangma chhahrãngma mihnyan pa ngeksiet mah.”
MAT.15.21	Jisu erethe kowah loatchhoan lahma Tair ngale Sidon hah ngenâng katwah. 
MAT.15.22	Ere diaknâng sôngte Kananet dihiaknyu ate tânâng hûlahma raksepwah, “Devit Chha!” “nganâng mammînchen hang! echha dihiaknya sekko juchhih lupeka, phumma nyahrãng cheili chêmeka.”
MAT.15.23	Rohkomin Jisu ma Atenâng khabthemin rânjabho. Phumma ate dijunte heh ate tâko wãng lahma roatsep wah, “Dihiaknyu pa chienchhoan eko! Atema nãngdidi ko junkhoam lahma are chentôpa chaptin eka!”
MAT.15.24	Ephumma Jisu ma dânthâng wah, “Nga a amahkhôamte saak rãngrãng Isrial mihnyan mahhâm eka heh tânâng loloba chienkat ehang”
MAT.15.25	Ephumma dihiaknyu ma Jisu dathongko khupjup kalahma ngatwah. “Teso, nganâng mamchoh sûhang!”
MAT.15.26	Jisu ma dânthâng wah, “Leta heh phhekchhah pa hu hehnâng joakli dangmah.”
MAT.15.27	Dihiaknyu ma dânthâng wah, “Teso erepete edanga,” “rohkomin thin tângtewa ma jâphe eka chempha heh hu hehma rângchhah a.”
MAT.15.28	Ere diphumma Jisu ma Atenâng dânthâng wah, “Nanga putedâlem dong dihiaknyu! nangma chenni hun eko erepa edang kohho.” Phumma ere sanpoat poatko ate chhapa mewah.
MAT.15.29	Jisu erethe kowah loatchhoan lahma, Galili josi ngenâng katwah. Phumma hahhokho ko kowâng lahma tôngwâng wah. 
MAT.15.30	Mihnyan hehma ate tânâng dakò, mitdoak, dekke dake, aba jabmuh, ngale lihân khoanchetma chêmte heh siethû lahma ate dathongko thienhok wah, phumma atema mesiet wah. 
MAT.15.31	Aba jabmuh jienjab, dekke dake heh sen, dakò heh jienkhoam, ngale mitdoak hehma jienkhe rewah; erepa khelahma mihnyan heh bârit wah; ephumma thinma Isrial heh Joban nâng dangkoh a ngalahma choangpe wah.
MAT.15.32	Jisu ma ate dijunte heh roolahma ngatwah, “Ngama are mihnyan hehnâng nyahrãng mînchen ekang, chenrãngma ngako, nga demnâng jârem lâjohkhoam wakthang, ngale ade phumma thinnâng phhekchhah thin chenmin ahotu. Chenmin lephhek chhahthuk thangma chienchhoan hunmek, chenrãngma ngako thin humnâng wânglemko bôanrit môangrewak a.”
MAT.15.33	Dijunte hehma Atenâng chhienwah, “Are hahran khokowah aretô mihnyan hehnâng lanle phhekchhah thukroh chenwah phhekchhah chohmin a?”
MAT.15.34	Jisu ma thinnâng chhienwah, “Nenâng bankên chentô tonghèn a?”
MAT.15.34	Thinma dânthâng wah, “Ninâng bankên wanengit, ngale, ngah arinchha heh roanche tonghi.”
MAT.15.35	Ephumma Jisu ma mihnyan hehnâng hahko tongen ngama chienwah. 
MAT.15.36	Erediko Jisu ma bankên wanengit ngale ngah heh semlahma Joban nâng dangkoh a ngat rangsoam soamlahma chhupsiet wah, erediko atema dijunte hehnâng kohwah; ngale dijunte hehma mihnyan hehnâng phenkoh wah. 
MAT.15.37	Thin chentôma phoatphoat phhekchhah wah. Erediko dijunte hehma bâachâ heh phâengit chõngchõng khôantôan wah. 
MAT.15.38	Erekowah phhekchhahte mihnyan heh dihiak ngale leta lechhih heh leweih thangma hahjat belii dângwah.
MAT.15.39	Erediko Jisu ma mihnyan heh chienchhoan lahma, atea khôankhoko chhangka lahma Magadan diaknâng katwah.
MAT.16.1	Farasi ngale Saduki Jisu tânâng hutah hehma Jisu bukritthuk rãng hunwah, ngale Joban pa ate demnâng ngama jetrãngma, ninâng patritli moatlem molohma khesok hi ngama chienwah. 
MAT.16.2	Phumma Jisu ma dânthâng wah, “Chenthu sannyup katko, nema rângnga en, ‘rangsen edanga, chenrãngma ngako rangpa cheksoaksoak.’ 
MAT.16.3	Ngale rangkhahko rangpa cheksoaksoak ngale rangkhu dângko, ‘rang epat a’ ngama rângnga en. Nema rangnâng sûletma rangchhih rangme pa jetlo eken, rohkomin nema athângwah sanpoat pa jienjet lomet! 
MAT.16.4	Areroan wah mihnyan heh achhih ngale Joban nâng putedâlem wakmah! nema nganâng patritli moatlem khesok rãng chien eha? khesokmah! Nenâng khesokthin pa Jona patritli petah peloloba khesok eka.”
MAT.16.4	Ere diphumma thin tâwah ate loatchhoan rewah
MAT.16.5	Chenthu dijunte heh josi ranka nâng dânko, thinma phhekchhah lekphe lahma dânwakwah. 
MAT.16.6	Jisu ma thinnâng ngatwah, “Jetletma dangen, Farasi ngale Saduki heh wichhi wah ataangnâng dangen.”
MAT.16.7	Phumma thindede tungko jabmîn wah, “Atema are ngaeka pa nãngma phhekchhah lekep dângjunko ngaehi.”
MAT.16.8	Jisu ma thin jabmîn ekapa jetlo lahma ngatwah, “Nedede tungko phhekchhah aho junko chenrãng jabmîn eken a? nenâng putedâlem atô rînne! 
MAT.16.9	Nema athâng nângmin mata jetlo ekenne? Ngama bankên wanbangâ pa hahjat bangâ mihnyan nâng phhekchhah thuktekpa thonghun metne? ngale phâmerôan bâlahma nema khôantoan tet a? 
MAT.16.10	Ngale bankên wanengit kowah hahjat belii mihnyan hehnâng phhekchhah thuktekpa thonghun ekenle? Ngale phâmeroan bâlahma khôantoan tet a? 
MAT.16.11	Ngama nenâng bankên lekep junko ngat dangmahhi ngama chenrãngma lejet reken a? Farasi ngale Saduki heh wichhi hehwah jetletma dangen!”
MAT.16.12	Erediko dijunte hehma pheban nâng rêmthin wichhi kowah taang ngat dangmahhi, rohkomin Farasi ngale Saduki hehma hethôeka niemarang chhih hehwah taangrãng ngaehi ngama jetloat wah.
MAT.16.13	Jisu Kasaria Filipi kêwah hahnâng hûlahma ate dijunte hehnâng ngatwah, “Mihnyan Chha ko mihnyan hehma hen edanga ngama ngaeka?”
MAT.16.14	Thinma dânthâng wah, “wawathema Jon baptis ngaeho, Ilija ngamemin ngaeho, ngale wawathema Jirimia, erediko hen akomin mõng ngamemin ngaeho.”
MAT.16.15	Phumma atema thinnâng chhienwah, “Nema chenroh ngaeken a?” “Nema nga hen edangang ngama ngaeha?”
MAT.16.16	Simon Piter ma dânthâng wah, “Nanga Krista ahîn Joban Chha.”
MAT.16.17	Jisu ma dânthâng wah, “Jona chha Simon, nanga rangkepte!” “chenrãngma ngako, are toangtang jabkhabpa mihnyan nyuchha hei angem hungwah hongjab dangmoh, rangkhethung wah tôngte Ewa Joban ma nangnâng hongjab thuk eho. 
MAT.16.18	Ngale piter, ngama nangnâng thôkoh eki: “nanga longrã, are longrã khohko ngama nga Asâthem pa ehoan ang, ngale arepa ritchaan memin leta jienmin. 
MAT.16.19	Ngama rangkhethung Hahsông kowah sâbipa nangnâng ekoh e; nangma hahtokkhoh ko chenpa tãng eko, arepa rangkhethung nângmin tângmin, ngale nangma hahtokkhoh ko chenpa letãng dangeko arepa rangkhethung nângmin letãngmin.”
MAT.16.20	Erediko Jisu ma ate dijunte hehnâng atea Krista ngama hennâng min nekthôkoh en ngama ngatwah.
MAT.16.21	Ere sanpoat phumma Jisu ma ate dijunte hehnâng laangthôkoh wah, “Nga Jeroselem nâng metkep katmin, phumma khhepho phannang, soam aroakte adong, ngale Niemarang hethôte hehma echêmsiet hang. Nga ritphe ere hang, rohkomin, jârem diko ngakhîn ereang.”
MAT.16.22	Phumma Piter ma sietchhoan lahma Jisu nâng ritngat wah. “Teso! Joban ma arepa ledang thukmin!” ngale “Arepa nangnâng chenthumin ledangmin!”
MAT.16.23	Jisu ma tokdi litphong lahma Piter nâng ngatwah, “joak! ngatâwah taangchhoan o nanga nga lemnâng tângbâng thukte, chenrãngma ngako nangma are thonghun ekopa Joban wah dangmah, mihnyan hei angem hungwah thonghun eko”
MAT.16.24	Erediko Jisu ma ate dijunte hehnâng ngatwah, “Hen akomin nga demnâng chhoan mehun enko, atedede lekpherii lahma, ate bãngphak pa pelahma nga dijunmin. 
MAT.16.25	Chenrãngma ngako, henhenma atedede roandôngpa pêsietrit huneka, erepumma mahphe erea; rohkomin henhenma atedede roandôngpa ngarãng mahphe eka, erehehma echoh a. 
MAT.16.26	Nema rangkhen hahtok pa phangtang tachoh letma nedede roandôngpa memahphe enko nema chenni echoh ena? 
MAT.16.27	Chen-rãngma ngako, Mihnyan Chhapa ate Wa chaan keplahma rangkhethung wah ngintatte heh demnâng ekara, ngale erediko anga nganâng mâmâ moatlem junko atema thã ekoh a. 
MAT.16.28	Ngale ngama nenâng linlin thôkoh eka, Mihnyan Chhapa Lowang danglahma kat lekhe thangma ako leriite mihnyan tongen.”
MAT.17.1	Jâerok diko Jisu ma ate demnâng Piter ngale pho anaa Jems ngale Jon sietlahma hahho choang khonâng wângwah, ereko thinlolo dangwah. 
MAT.17.2	Thin mitkhe kheko, Jisu litjâ lahma khewakwah: Ate thhenphãng pa san rãngrãng phiakwah, ngale ate khetpa nyahrãng potutu pôphiakwah. 
MAT.17.3	Erediko dijunte warem pumma Mosa le Ilija nii Jisu demnâng nginthômîn lahma khewah. 
MAT.17.4	Ephumma piter ma Jisu nâng ngatwah, “Teso nãng aretheko tôngpa chentôsên a! nangma mehun oko, ngama ako hum phangrem hoan ang, nangrãng phangthe, Mosa rãng phangthe, ngale Ilija rãng phangthe hoan ang.”
MAT.17.5	Ate jabmîn thuko, thinkhoko phoam phiakjaja bukhok wah, ngale phoam kowah jabkhab hongjab lahma ngatwah, “Arepa nga Chha linlin, ngama Atenâng nyahrãng hun ekang, ngale nga ate demnâng nyahrãng rinme ekang-ate ngin tat en!”
MAT.17.6	Dijunte hehma ere jabkhabpa tat lahma, nyahrãng cheiwak lahma hahko khupjup wah. 
MAT.17.7	Jisu thin tânâng kalahma, thinnâng sahlo kalahma ngatwah, “Chepen” “Nekchei en!” 
MAT.17.8	Ephumma, thinma toansok wênko ahan henjô lekhetu thangma Jisu leklek chohkhe wah.
MAT.17.9	Thin hahkongkho wah ngakkatko, Jisu ma thinnâng ngatwah, “Mihnyan Chha ritwah mangak ngakhinko, are nema chohkhe tetpa hennâng min nekthôkoh en.”
MAT.17.10	Erediko dijunte hehma Jisu nâng ngatwah, “Chenni rãngma Niemarang hethôte hehma Ilija khekho katmin ngama ngaeka?”
MAT.17.11	Jisu ma dânthâng wah, “Ilija pa linlin khekho ekara,” “ngale rongruppa atema ekhoakhem a. 
MAT.17.12	Rohkomin ngama nenâng thôkoh eka, ‘Ilija râkatha’ phumma mihnyan hehma ate lejet thangma thinma chenroh huneka eroh Atenâng hôanjôan wah. Erohjô Mihnyan Chha komin thinma ehôanjôan a.”
MAT.17.13	Erediko ba atema thinnâng Jon baptis junma thôkoh wah ngama dijunte hehma jetloat wah
MAT.17.14	Chenthu thin loangchhang tânâng ngakhokko, mihnyan wathe hûlahma ate mathahko dakuh thôhok wah, 
MAT.17.15	ngale atema ngatwah, “Teso, ngachha ko mammînchen mêngo! atea wobuhte ngale cheili loangrii lahma roantangma wen ngale jonâng chijârii eka. 
MAT.17.16	Ngama nang dijunte heh tânâng siethok wah, rohkomin thinma tasensiet mah.”
MAT.17.17	Jisu ma dânthâng wah, “Nema putedâlem met, ngale nea mihnyan chhih! Chentô rangwo nga nedemnâng eta johtonga? ngale chentô rangwo ngama nenâng eta chohsûa? naa pa ngatâko sietwênro!” 
MAT.17.18	Jisu ma juchhih ko chhoanrãng chien phumma naa sekkowah loatchhoan wah, phumma ere sanpoatko naa pa sênwah.
MAT.17.19	Erediko dijunte heh Jisu tânâng thin lolo hûlahma Atenâng thôngphâ wah, “Nima chenrãngma juchhih pa letajunlo rekia?”
MAT.17.20	Jisu ma dânthâng wah, “Nenâng putedâlem pa ajah aho dângkowah nema letajunlo reken” “Ngama nenâng nginlinlin thôkoh eka, nenâng jokangken dôngtô putedâlem metong hènko, nema are hahkong komin, ‘arekowah ireko kao!’ ngama tanga en, eko are hahkong pa eka a. Nema chenmin tamo en!” 
MAT.17.22	Dijunte heh Galili nâng phangtang roamkhôan hokko, Jisu ma thinnâng ngatwah, “Mihnyan Chhapa ate ritphete mihnyan heh deknângkoh lâthângtah 
MAT.17.23	thinma ate ritphe erea; rohkomin, jârem diko ate ngakhîn erea.”
MAT.17.23	Ephumma dijunte heh nyahrãng hungchhih wah.
MAT.17.24	Chenthu Jisu le ate dijunte heh Kaparnam hahnâng hokko, rangsoamhum thã thãkho thâte hûlahma Piter nâng thôngphâ wah, “Ne hethôte ma rangsoamhum thã thãkhokoh ekale?”
MAT.17.25	Piter ma, “Koh eka” ngama dânthâng wah,
MAT.17.25	Chenthu Piter humkhen nâng lupwângko, Jisu ma ranjabkho ranjabwah, “Simon nangma chenroh thonghun eko? Are hahtokkhoh wah lowang hehrãng moatlem pa henma mokoh eka, ngale thinnâng thãkho henma koheka? ate diakwah mihnyan hehma koh ekale, mihdiak wah mihnyan hehma koheka?”
MAT.17.26	Piter ma dânthâng wah, “Mihdiak wah mihnyan hehma koheka”
MAT.17.26	Jisu ma wîen dânthâng wah, “Sen a,” “eroh medang ako are diakwah mihnyan hehma lethummin. 
MAT.17.27	Rohkomin nãngma are mihnyan heh hungkethuk hunmih. Erohwah ngahnôan janphoan pa kepletma josiko noankat en. Nema khebâng thôan chohnôan eken ngah thunkâko ngunpha echoh en, ere ngunphapa ngarãngmin, ngale nekhu rãngmin rangsoamhum thãkho lânle thumroh edanga. Erepa kepletma nãngkhu anga ngarãng thumwên en.”
MAT.18.1	Ere sanpoatko dijunte heh hûlahma Jisu nâng thôngphâ wah, “Rangkhethung Hahsông theko henpa adongthôan dângmin a?”
MAT.18.2	Phumma, Jisu ma letachha wathe roolahma thinmako chepthuk wah, 
MAT.18.3	ngale atema ngatwah, “Ngama nenâng nginlinlin thôkoh eka, nemin hung arin litletma are letachha rãngrãng ledang kenko, rangkhethung Hahsông thenâng chenthumin leta chohwãngmin. 
MAT.18.4	Rangkhethung Hahsông thenâng adong thôanpa, are letachha rãngrãng atedede hen numnene dangeka ereheh dângmin. 
MAT.18.5	Ngale henma akomin are letachha rãngrãng danglahma ngamînko tãngroo eka, erepa nganâng tãngroo ehang.
MAT.18.6	“Henma akomin nganâng putedâlemte are arinchha hehwah wathe nganâng putedâlem pa memah phethuk ako, ere mihnyan rãngma ate bohko longdong khhek lahma josiko jâtoakkat peba asen edanga. 
MAT.18.7	Are hahtokkhoh wah mihnyan heh putedâlem mahphe thukthin tongeka pa thinrãngma chentô cheilia! phumma arerãngrãng pa roantangma edanga - rohkomin ere mahphe thukte hehrãngma chentô cheili dângmin a!
MAT.18.8	“Nedek ba neda ma ne putedâlem pa memah phethuk hènko, erepa thahdoak letma petphe en! nerãngma dektu datu dangletma khope choh peba, dek ada kaniinii thienletma chenthujô lemutthin papwendô nâng khâmrit rãng phekat noma asen edanga. 
MAT.18.9	Ngale nemit ma ne putedâlem pa memah phethuk hènko, erepa loatphe re en! nerãngma mitka dangletma khope choh peba, mit kaniinii thienletma chenthujô lemutthin papwendô nâng khâmrit rãng phekat noma asen edanga.
MAT.18.10	“Jetletma dangen, nema are arinchha thôan hehnângmin thã nekjõ en. Ngama nenâng thôkoh eka, thin nângmin rangkhethung nâng thin ngintatte tonga, ereheh rangkhethung wah nga Wa Joban demko roantangma johtong eka. 
MAT.18.12	“Nema chenroh thonghun eken a, chenjô komin mihnyan wathema ate saak châthe kowah wanthe lâmah phetah? Atema roak ekhu wan ekhupa hahkong khoko phemphhek thukthien lahma, mahkhôam re eka saak wanthepa lemrãng echhoan a. 
MAT.18.13	Ngama nenâng thôkoh eka, chenthu atema erepa mechoh tahko, lemah khoamte roak ekhu wan ekhu noma, mah retah wanthe demko ajahthem rin eroan a. 
MAT.18.14	Ererãngrãng nekhu Wa rangkhethung nâng tôngte Joban memin are arinchha hehwah wathe tomin mahphe hunmah.
MAT.18.15	“Nepho nenaa pumma nerãng pap memo ako, ate tânâng kaletma ate chenni nâng theka erepa khesok en. Phumma erepa nechhe tungko lolo huhphen sietmîn en. Phumma atema nang ngin mekep hoko nangma nangpho ba nangnaa pa lâta ngaksiettoh. 
MAT.18.16	Rohkomin atema nang nginpa lekep medang hoko, Joban nyapraang nâng raangeka rãngrãng, ‘nang demko wathe ba wanii mihnyan lesiet o, erohkoba wanii warem hâkhi demnâng kaletma ate chentônâng thê eka ereheh loatthôkoh en.’ 
MAT.18.17	Ngale atema thin nginmin lekep medang ako, chentôpa Asâthem hehnâng thôkoh en, ngale atema Asâthem heh nginmin lekep medang ako, Joban lejette mihnyan ngale thãkho thâte mihnyan heh rãngrãng thinphe en.
MAT.18.18	“Ngale ngama nekhu anga nganâng thôkoh eka: Nekhuma are hahtokkhoh ko chenpa lemothin moatlem a erepa rangkhethung nângmin lemomin, ngale nekhuma are hahtokkhoh ko chenpa moeken a arepa rangkhethung nângmin moatmin.
MAT.18.19	“Ngale ngama nenâng ademin thôkoh eka: Are hahtokkhoh ko nekhu wah wanii hungjut letma chenni rãng komin rangmesoam enko, rangkhethung wah nga Wa Joban ma erepa nerãng emokohhèn. 
MAT.18.20	Chenrãngma ngako, chenko wanii ba warem ngamînko khôan eka, ereko ngamin thin demnâng etongang.”
MAT.18.21	Erediko Piter Jisu tânâng kalahma thôngphâ wah, “Teso, nga pho anaa ma ngarãng pap metham depmo ako, ngama Atenâng depmeroan map kohmin a? Dep engit kohminne?”
MAT.18.22	Jisu ma dânthâng wah, “Dangmah, Dep engit dangmah,” “roakengit dep engit kohmin, 
MAT.18.23	Chenrãngma ngako, rangkhethung Hahsông pa arerãngrãng. Rekthenâng lowang wathema ate haaheh demnâng thãpê phênsietmîn rãng phungwah. 
MAT.18.24	Atema phênsietmîn rãng ngatko, Atenâng hahjat echhi thãpê pête wathe bângsiet hokkohwah. 
MAT.18.25	Phumma haako ate thãpê pa lanta ngakthumroh ngun aho dângwah, ephumma lowang pumma ate thãpê pa tâthum rãng, ere haako ate tangnyu, ate chha heh, ngale ate chhahkhem wanlem phangtang mihnâng hu ahaarãng senglohma thãpê heh thumhang ngatwah. 
MAT.18.26	Haa pumma dakuhtho lahma lowang ko roatsep wah, ‘Nganâng mammînchen hang,’ ‘ngama chentôpa ethum e!’ 
MAT.18.27	Lowang pumma Atenâng mînchenwah, ngale ate thãpê heh map kohlahma chhoanthuk wak. 
MAT.18.28	“Erediko ere haapa chhoan lahma ate rãngrãng haa Atenâng châthe thãpê pête chohmînwah. Phumma atema lolahma bohko phiet lahma, ‘ngawah thapê pêthangpa ngakthum ehang!’ ngama ngatwah. 
MAT.18.29	Ephumma ere haa pumma khupjup lahma Atenâng roatsep wah, ‘nganâng mammînchen hang, ngama chentôpa ethum e!’ 
MAT.18.30	Rohkomin, atema mapkohmah; mapkoh noma, thapê heh phangtang mata tathum phâtek nâng sekwah. 
MAT.18.31	Chenthu haa ahan hehma chenni dangeka arepa khelahma, thin nyahrãng hungchhih lahma lowang tânâng wãng lahma chentôpa thôkoh wah. 
MAT.18.32	Ephumma ate haapa roolahma ngatwah, ‘Nanga sekhothôan haa! nangma roatsep junko ngama nangwah thapê heh phangtang map lâkohtih. 
MAT.18.33	Ngama nangnâng map kohtih rãngrãng, nang memin nang rãngrãng haako mapkohli dangmah tohne.’ 
MAT.18.34	Ephumma lowang pumma nyahrãng rinkhah lahma ere haapa Atenâng thapê heh mata tangak thum phâtek nâng sek lahma chêmsiet wah.”
MAT.18.35	Ngale Jisu ma jekthô wah, “Nememin nepho anaa hehnâng nehung khenma maplekoh kenko, rangkhethung wah tôngte nga Wa memin nenâng eroh ehôanhèn.”
MAT.19.1	Chenthu Jisu ma are nginpa thôkoh diko, Galili wah chhoan lahma jordanjo ranka wah Judia diaknâng katwah. 
MAT.19.2	Loangchhang dongpa ate diko junkhoam wah, ngale Atema eretheko mesiet wakwah.
MAT.19.3	Farasi khuthe hûlahma ate bukritthuk hunlahma Atenâng thôngphâ wah, “Nãng Niem junko, tangwa ma ate tangnyu pa atema chenni junko chiakphe huneka, erejunko tachiakphe ale?”
MAT.19.4	Jisu ma dânthâng wah, “Joban ma rang ahah bânghôan thuko mihnyan pa dihiak ngale dela hôanwah, ngama Joban nyapraang nâng raang ekapa nema mathat chohweihne? 
MAT.19.5	Ngale Joban ma ngatwah, ‘Are junko tangwa ma ate nyong awa thinphe lahma ate tangnyu demnâng johroam sôngmin, ngale wanii pa phoangtherãng dângmin.’ 
MAT.19.6	Erohwah thin a wanii dangtumah, wathe lâdangtah. Joban ma chenpa roapsiet eka, erepa mihnyan ma lephan sietmin.”
MAT.19.7	Phumma Farasi hehma atenâng chhienwah, “Eroh medang ako, Mosa ma kohwah ate Niem junko tangwa ma ate tangnyu ko chiakphe nyapraang raang kolahma chenchien chhoan a, ngama chenrãng ngatwah a?”
MAT.19.8	Jisu ma dânthâng wah, “Nenâng hethô pa alat dângjun ko Mosa ma ne tangnyu tachiakphe en ngama ngatwah. Rohkomin rang ahah benghôan thuko eroh ledangwah. 
MAT.19.9	Ngama nenâng thôkoh eka, henma komin ate tangnyu mihdela demnâng kaamchhih moatjun wah ledang thangma chiakphe lahma tangnyu ahan methe ngakkep ako, ere thêkep reka dihiaknyu demko kaamchhih lâmotah.”
MAT.19.10	Ate dijunte hehma atenâng ngatwah, “Tangnyu tangwanii are ngin junko lolo tâchiakphe mînmin ngama medang ako, lechêm kepmîn peba asen.”
MAT.19.11	Jisu ma dânthâng wah, “Are hethô ekapa anga ngama takepmah, Joban ma henhen nâng koh eka erehehma loloba takep eka. 
MAT.19.12	Chenrãngma ngako mihnyan nâng mâmâ jat apat junko dihiak lekep thangma tôngte hongeka: wawathe pa achhat mejû lekepjat hongchha eka; wawathe pa mihnyan hehma dihiak lekepte dangthuk eka. Ngale wawathe pa rangkhethung Hahsông rãngma sênrãngma lekep thangma tongwak eka. Are niem pa chente ma takep eka erehehma chenkep a.”
MAT.19.13	Mihnyan khuthema thin chhuchha heh Jisu tânâng ate dekma sahlo lahma rangsoam koh rãng siethok wah, phumma dijunte hehma mihnyan hehnâng ritngat rewah. 
MAT.19.14	Jisu ma thinnâng ngatwah, “Nekjek tangen, letachha heh ngatânâng chenwãngra, chenrãngma ngako rangkhethung Hahsông pa are letachha rãngrãng heh thiak.”
MAT.19.15	Atema letachha heh khoko dekma sahlo lahma chienchhoan wah.
MAT.19.16	Rekthenâng mihnyan wathe Jisu tânâng hûlahma atenâng chhienhok wah. “Hethôte,” “ngama roantang roanjêng lerii roandông chohrãngma chenni moatlemsen moatmin a?”
MAT.19.17	Jisu ma dânthâng wah, “Nganâng chenpa moatlemsen moatthin a erepa chenrãngma chhien ehanga?” “Asenpa wathe loloba tonga. Nangma roantang roanjêng lerii roandông chohhun medang oko, Joban hôkum heh phangtang kep o.”
MAT.19.18	Mihwa pumma dânthâng wah, “Joban hôkum heh chenheh a?”
MAT.19.18	Jisu ma dânthâng wah, “Mih nekritphe, mihdihiak demnâng kaamchhih nekmo; ahuh nekre; mihnâng ledangli nâng neksekham; 
MAT.19.19	Nang nyong nangwa rancheichei dango; ngale nang kêanâ wah mihnyan hehnâng nangdede phoangko hunrii eko rãngrãng hun o.”
MAT.19.20	Techhuwa ma dânthâng wah, “Are chentô hôkum heh ngama kepkangjû” “Are leko ngama lihân chenni moatthin tongtûa?”
MAT.19.21	Jisu ma atenâng ngatwah, “Nanga rongrup ngenâng asen dânghun medang oko, chhoan lohma nang chhahkhem chentôpa senglohma ngunpa tangchhih hehnâng koh o, ephumma nanga rangkhethung nâng techhu thôan edango; ngale erediko ngakka lohma ngadijun hang.”
MAT.19.22	Chenthu techhuwa ma erengin pa chohtattah diko hungkeke danglahma ngakchhoan wah, chenrãngma ngako atea nyahrãng techhu dângwah.
MAT.19.23	Erediko Jisu ma ate dijunte hehnâng ngatwah, “Ngama nenâng nginlinlin thôkoh eka: Techhu hehrãngma rangkhethung Hahsông thenâng wângpa nyahrãng alat. 
MAT.19.24	Ngama ademin thethôkoh eka: Techhuwa pa Joban Hahsông thenâng tâwâng noma, ut peba metku polo pumma eta lienlup a.”
